   Sudhanakinnaryavadāna	SuDana-kinnarya-vadAna
   sadyaḥ pradīptā vidyeva nirdahaty eva sādhakam // KAvk_64.88 //	sadyas pradIptA vidyA-iva nirdahati eva sADakam // Ka-avc-_64.88 //
   māṃ vicārya dhiyā dhīmann ucitāya prayacchataḥ /	mAm vicArya DiyA DIman ucitAya prayacCataH /
   bhaviṣyati tavāvaśyam mahān dharmadhanāgamaḥ // KAvk_64.89 //	Bavizyati tava-avaSyam mahAn Darma-Dana-AgamaH // Ka-avc-_64.89 //
   pīḍāṃ pāśakṛtām etāṃ na sahe muñca bandhanam /	pIxAm pASa-kRtAm etAm na sahe muQca banDanam /
   svayaṃ vrajāmy ahaṃ tatra yatra te 'bhimatā gatiḥ // KAvk_64.90 //	svayam vrajAmi aham tatra yatra te aBimatA gatiH // KAvc-_64.90 //
   divam utplutya gacchāmi na tv ahaṃ muktabandhanā /	divam utplutya gacCAmi na tu aham mukta-banDanA /
   yadvaśān me gatir vyomni cūḍāratnaṃ gṛhāṇa tat // KAvk_64.91 //	yad-vaSAt me gatiH vyomni cUxAratnam gRhANa tat // Ka-avc-_64.91 //
   ity uktaḥ sa tayā sāsraṃ prayātaḥ karuṇārdratām /	iti uktaH sa tayA sa-asram prayAtaH karuNA-Ardra-tAm /
   cūḍāmaṇiṃ samādāya pāśaṃ muktvā jagāda tām // KAvk_64.92 //	cUxAmaNim samAdAya pASam muktvA jagAda tAm // KAvc-_64.92 //
   samāśvasihi kalyāṇi na śokaṃ kartum arhasi /	samASvasihi kalyANi na Sokam kartum arhasi /
   na nāmānucitāya tvāṃ prayacchāmi nijecchayā // KAvk_64.93 //	na nAma-anucitAya tvAm prayacCAmi nija-icCayA // Ka-avc-_64.93 //
   asti rājasutaḥ śrīmān guṇaratnamahodadhiḥ /	asti rAja-sutaH SrImAn guNa-ratna-mahA-udaDiH /
   pūritāḥ kakubhaḥ sarvā yena kīrtyamṛtormibhiḥ // KAvk_64.94 //	pUritAH kakuBaH sarvAH yena kIrti-amRta-UrmiBiH // Ka-avc-_64.94 //
   sa vidyāvadanādarśaḥ kalākelivibhūṣaṇaḥ /	sa vidyA-vadana-AdarSaH kalA-keli-viBUzaNaH /
   suvṛttaḥ sudhano nāma nijavaṃśaviśeṣakaḥ // KAvk_64.95 //	su-vRttaH suDanaH nAma nija-vaMSa-viSezakaH // Ka-avc-_64.95 //
   sa te samucitaḥ subhru vibhramābharaṇaṃ bhuvaḥ /	sa te samucitaH suBru viBrama-ABaraNam BuvaH /
   tyāgopabhogasubhagaḥ sukhotsava iva śriyaḥ // KAvk_64.96 //	tyAga-upaBoga-suBagaH suKa-utsavaH iva SriyaH // Ka-avc-_64.96 //
   surakinnaragandharvavidyādharavilāsinām /	sura-kinnara-ganDarva-vidyADara-vilAsinAm /
   yaḥ kharvīkurute garvam urvarāśarvaripatiḥ // KAvk_64.97 //	yaH KarvIkurute garvam urvarA-Sarvari-patiH // KAvc-_64.97 //
   iti tena kṛtāśvāsā bandhuvargaviyoginī /	iti tena kRta-ASvAsAH banDu-varga-viyoginI /
   kurarīvātikaruṇaṃ vilalāpa manoharā // KAvk_64.98 //	kurarI-ivAti-karuNam vilalApa manoharA // Ka-avc-_64.98 //
   atrāntare vindhyataṭīṃ mṛgayākelikautukī /	atra-antare vinDya-tawIm mRgayA-keli-kOtukI /
   prasthitaḥ sudhano dhanvī śanais taṃ deśam āyayau // KAvk_64.99 //	prasTitaH suDanaH DanvI SanEs tam deSam AyayO // Ka-avc-_64.99 //
   rathanemisvanais tasya pranṛttaśikhimaṇḍalī /	raTa-nemi-svanEH tasya pranRtta-SiKi-maNxalI /
   vanalakṣmyāḥ kṣaṇaṃ lebhe lolanīladukūlatām // KAvk_64.100 //	vana-lakzmyAH kzaNam leBe lola-nIla-dukUla-tAm // Ka-avc-_64.100 //
   sa kapolapraṇayibhir babhau svedodabindubhiḥ /	sa kapola-praNayiBiH baBO sveda-uda-binduBiH /
   saṃkrāntaiḥ kuṇḍalaprānte kāntamuktāphalair iva // KAvk_64.101 //	saMkrAntEH kuNxala-prAnte kAnta-muktAPalEH iva // Ka-avc-_64.101 //
   syandanāśvakhuroddhūtaṃ dantadīdhitibhiḥ puraḥ /	syandana-aSva-Kura-udDUtam danta-dIDitiBiH puras /
   harann iva rajaḥpuñjaṃ vyājahāra sa sārathim // KAvk_64.102 //	haran iva rajaH-puQjam vyAjahAra sa sAraTim // Ka-avc-_64.102 //
   aho manoratheneva rathenānilaraṃhasā /	aho manoraTena-iva raTena-anila-raMhasA /
   dūrojjhitā svasainyena kiyatī laṅghitā kṣitiḥ // KAvk_64.103 //	dUra-ujJitA sva-sEnyena kiyatI laFGitA kzitiH // Ka-avc-_64.103 //
   etā bālānilollāsalolapippalapallavāḥ /	etAH bAla-anila-ullAsa-lola-pippala-pallavAH /
   haranti haritacchāyāṃ hariṇābharaṇā bhuvaḥ // KAvk_64.104 //	haranti harita=-CAyAm hariNa-ABaraNAH BuvaH // KAvc-_64.104 //
   etā bālapravāloṣṭhyaḥ stabakastanabandhurāḥ /	etAH bAla-pravAla-uzWyaH stabaka-stana-banDurAH /
   sotkaṇṭhā iva jṛmbhante mañjaryaḥ śvasanākulāḥ // KAvk_64.105 //	sa-utkaNWAH iva jRmBante maQjaryaH Svasana-AkulAH // Ka-avc-_64.105 //
   imā marakataśyāmaśaṣpasaṃcayakañcukāḥ /	imAH marakata-SyAma-Sazpa-saMcaya-kaQcukAH /
   rājante kausumarajorañjitā vanarājayaḥ // KAvk_64.106 //	rAjante kOsuma-rajaH-raQjitAH vana-rAjayaH // Ka-avc-_64.106 //
   etā vivalitagrīvā hariṇyas trāsavidrutāḥ /	etAH vivalita-grIvAH hariNyaH trAsa-vidrutAH /
   nīlotpalavanānīva sṛjanti taralekṣitaiḥ // KAvk_64.107 //	nIlotpala-vanAni-iva sRjanti tarala-IkzitEH // KAvc-_64.107 //
   ete niśākarakarāṅkurakāntadantāḥ pallīpatipraṇayiṇīstanatulyakumbhāḥ /	ete niSAkara-kara-aFkura-kAnta-dantAH pallI-pati-praNayiNI-stana-tulya-kumBAH /
   paśyanti dantiśiśavaḥ parito rathaṃ me nemisvanāpaḥrtacāpalalīnakarṇāḥ //	paSyanti danti-SiSavaH paritas raTam me nemi-svana-apaHrta-cApala-lIna-karNAH //
   KAvk_64.108 //	KAvc-_64.108 //
   ete nirmalanarmadāparisaravyājṛmbhivallīvalat-	ete nirmala-narmadA-parisara-vyAjRmBi-vallI-valat-
   puṣpoddāmamadhūtsavapraṇayinaḥ kṣībā ivāghūrṇitāḥ /	puzpa-uddAma-maDUtsava-praNayinaH kzIbAH iva-AGUrNitAH /
   saṃnaddhāḥ śabarīnitambavilasanmāyūrapattrāvalī-	saMnadDAH SabarI-nitamba-vilasat-mAyUra-pattra-AvalI-
   līlāndolananarmavibhramakalābandheṣu vindhyānilāḥ // KAvk_64.109 //	lIlA-Andolana-narma-viBrama-kalA-banDezu vinDya-anilAH // Ka-avc-_64.109 //
   iti bruvāṇaḥ kalayan vanalakṣmīṃ nṛpātmajaḥ /	iti bruvANaH kalayan vana-lakzmIm nRpa-AtmajaH /
   śuśrāva nirjane kīrṇaṃ kinnaryāḥ karuṇaṃ svanam // KAvk_64.110 //	SuSrAva nirjane kIrNam kinnaryAH karuNam svanam // Ka-avc-_64.110 //
   śrutvaiva kautukākṛṣṭas tatsamīpaṃ kṛpānidhiḥ /	SrutvA-eva kOtuka-AkRzwaH tad-samIpam kRpA-niDiH /
   so 'bhyetya sadguṇādarśas tāṃ dadarśa mṛgīdṛśam // KAvk_64.111 //	saH aByetya sat-guNa-AdarSaH tAm dadarSa mRgI-dRSam // Ka-avc-_64.111 //
   yācamānām paritrāṇaṃ lubdhakaṃ sāśrulocanām /	yAcamAnAm paritrANam lubDakam sa-aSru-locanAm /
   vanecarabhayodvignām iva kānanadevatāṃ // KAvk_64.112 //	vanecara-Baya-udvignAm iva kAnana-devatAm // KAvc-_64.112 //
   anveṣṭuṃ lubdhakākṛṣṭaṃ svam aṅkaṃrgam āgatām /	anvezwum lubDaka-AkRzwam svam aFkaMrgam AgatAm /
   khinnām iva vanabhrāntyā lakṣmīṃ hariṇalakṣmaṇaḥ // KAvk_64.113 //	KinnAm iva vana-BrAntyA lakzmIm hariNa-lakzmaNaH // Ka-avc-_64.113 //
   tāṃ vilokya sa sāścaryarūpātiśayavismitaḥ /	tAm vilokya sa sa-AScarya-rUpa-atiSaya-vismitaH /
   abhilāṣapaṭe kṣipraṃ citranyasta ivābhavat // KAvk_64.114 //	aBilAza-pawe kzipram citra-nyastaH iva-aBavat // Ka-avc-_64.114 //
   so 'cintayad aho ramyanirmāṇābhyāsakāriṇaḥ /	saH acintayat aho ramya-nirmANa-aByAsa-kAriNaH /
   asmin mukhasamullekhe rekhāpariṇatir vidheḥ // KAvk_64.115 //	asmin muKa-samulleKe reKA-pariNatiH viDeH // Ka-avc-_64.115 //
   durlabhā bhogibhavane martyaloke kathaiva kā /	durlaBA Bogi-Bavane martya-loke kaTA-eva kA /
   manye lāvaṇyamudreyaṃ svarge 'py abhinavoditā // KAvk_64.116 //	manye lAvaNya-mudrA-iyam svarge api aBinava-uditA // Ka-avc-_64.116 //
   tāruṇyena nipītaśaiśavatayā sānaṅgaśṛṅgāriṇī	tAruNyena nipIta-SESava-tayA sa-anaFga-SRFgAriNI
   tanvaṅgyā sakalāṅgasaṃgamasakhī bhaṅgir navāṅgīkṛtā /	tanu-aFgyA sakala-aFga-saMgama-saKI BaFgiH nava-aFgIkRtA /
   niḥsaṃrambhaparākramaḥ pṛthutarārambhābhiyogaṃ vinā	niHsaMramBa-parAkramaH pRTutara-AramBa-aBiyogam vinA
   sāṃrājye jagatāṃ yayā vijayate devo vilāsāyudhaḥ // KAvk_64.117 //	sAMrAjye jagatAm yayA vijayate devaH vilAsa-AyuDaH // Ka-avc-_64.117 //
   iti vismayagarbheṇa sābhilāṣeṇa cakṣuṣa /	iti vismaya-garBeNa sa-aBilAzeNa cakzuza /
   tāṃ pibantam ivābhyetya praṇamya prāha lubdhakaḥ // KAvk_64.118 //	tAm pibantam iva-aByetya praNamya prAha lubDakaH // Ka-avc-_64.118 //
   kulakalpadrumasyeyaṃ drumasya dayitā sutā /	kula-kalpadrumasya-iyam drumasya dayitA sutA /
   deva kinnararājasya pāśenāpaḥrtā mayā // KAvk_64.119 //	deva kinnara-rAjasya pASena-apaHrtA mayA // Ka-avc-_64.119 //
   ānītā tvatkṛte divyakanyaiṣā pratigṛhyatām /	AnItA tvad-kRte divya-kanyA-ezA pratigRhyatAm /
   tvam evāsyā guṇodāra bhartā bhuva ivocitaḥ // KAvk_64.120 //	tvam eva-asyAH guNa-udAra BartA BuvaH iva-ucitaH // Ka-avc-_64.120 //
   asyāś cūḍāmaṇir ayaṃ mayā svecchāgatipradaḥ /	asyAH cUxAmaNiH ayam mayA sva-icCA-gati-pradaH /
   gṛhītas tadvirahitā neyaṃ yāti vihāyasā // KAvk_64.121 //	gRhItaH tad-virahitA na-iyam yAti vihAyasA // Ka-avc-_64.121 //
   rakṣyo maṇir ayaṃ nāsti datte 'smin saṃgamo 'nayā /	rakzyaH maNiH ayam na-asti datte asmin saMgamaH anayA /
   ity uktvāsmai dadau kanyāratnaṃ ratnaṃ ca lubdhakaḥ // KAvk_64.122 //	iti uktvA-asmE dadO kanyA-ratnam ratnam ca lubDakaH // Ka-avc-_64.122 //
   gṛhītā rājaputreṇa sā mahīṃrgalakṣmaṇā /	gRhItA rAja-putreNa sA mahIMrga-lakzmaNA /
   sudhāsikteva tatyāja svadeśavirahānalam // KAvk_64.123 //	suDA-siktA-iva tatyAja sva-deSa-viraha-analam // Ka-avc-_64.123 //
   utkaṇṭhālokanālolāṃ tāṃ bālahariṇīm iva /	utkaNWa-AlokanAlolAm tAm bAla-hariNIm iva /
   babandha lubdhakatyaktāṃ rāgavāgurayā smaraḥ // KAvk_64.124 //	babanDa lubDaka-tyaktAm rAga-vAgurayA smaraH // Ka-avc-_64.124 //
   kinnarīṃ ratham āropya ratnair āpūrya lubdhakam /	kinnarIm raTam Aropya ratnEH ApUrya lubDakam /
   harṣapūrṇaḥ svanagaraṃ pratasthe pārthivātmajaḥ // KAvk_64.125 //	harza-pUrNaH sva-nagaram pratasTe pArTiva-AtmajaH // Ka-avc-_64.125 //
   sa hastināpuraṃ prāpya nivedya svakathāṃ pituḥ /	sa hastinApuram prApya nivedya sva-kaTAm pituH /
   harṣād vismayinā tena vivāhe vihitotsavaḥ // KAvk_64.126 //	harzAt vismayinA tena vivAhe vihita-utsavaH // Ka-avc-_64.126 //
   sukṛtair bhogyatāṃ yātāṃ mūrtām iva śaśiśriyam /	sukRtEH Bogya-tAm yAtAm mUrtAm iva SaSi-Sriyam /
   antaḥpurapraṇayiṇīṃ cakre kinnarakanyakām // KAvk_64.127 //	antaHpura-praNayiNIm cakre kinnara-kanyakAm // Ka-avc-_64.127 //
   dadhatā madhupeneva tenādharamadhuspṛhām /	daDatA maDupena-iva tena-aDara-maDu-spRhAm /
   spṛṣṭā natamukhāmbhojā cakampe nalinīva sā // KAvk_64.128 //	spRzwA nata-muKa-amBojA cakampe nalinI-iva sA // Ka-avc-_64.128 //
   maune 'pi kathitotkaṇṭhāṃ muhuḥ kampe 'pi niścalām /	mOne api kaTita-utkaNWAm muhur kampe api niScalAm /
   vailakṣye 'pi sphuṭallakṣmīṃ tasyāḥ prītiṃ tatāna saḥ // KAvk_64.129 //	vElakzye api sPuwat-lakzmIm tasyAH prItim tatAna saH // Ka-avc-_64.129 //
   sa śanair adharāsvāde dattvā dantavibhīṣikām /	sa SanEs aDara-AsvAde dattvA danta-viBIzikAm /
   vinidrābjadṛśas tasyā maunamudrāṃ avārayat // KAvk_64.130 //	vinidra-abja-dRSaH tasyAH mOna-mudrAm avArayat // Ka-avc-_64.130 //
   nīvīmokṣe niṣedhe ca dampatyoḥ paṇipadmayoḥ /	nIvI-mokze nizeDe ca dampatyoH paNi-padmayoH /
   vivāda iva sotkampaṃ kaṅkaṇasvanayor abhūt // KAvk_64.131 //	vivAdaH iva sa-utkampam kaFkaNa-svanayoH aBUt // Ka-avc-_64.131 //
   sa rāgapallavas tasya vilāsasmitapuṣpitaḥ /	sa rAga-pallavaH tasya vilAsa-smita-puzpitaH /
   kāntākucaphalāṅko 'bhūd bhogyaḥ saṃbhogapādapaḥ // KAvk_64.132 //	kAntA-kuca-Pala-aFkaH aBUt BogyaH saMBoga-pAdapaH // Ka-avc-_64.132 //
   atrāntare dākṣiṇātyau viprau kapilapuṣkarau /	atra-antare dAkziNAtyO viprO kapila-puzkarO /
   ājagmatur vṛttikāmau dhanasya nṛpateḥ sabhām // KAvk_64.133 //	AjagmatuH vRtti-kAmO Danasya nRpateH saBAm // Ka-avc-_64.133 //
   tau vidyātiśayaślāghyau paurohityam avāpatuḥ /	tO vidyA-atiSaya-SlAGyO pOrohityam avApatuH /
   kapilaḥ kṣitipālasya rājaputrasya cāparaḥ // KAvk_64.134 //	kapilaH kzitipAlasya rAja-putrasya ca-aparaH // Ka-avc-_64.134 //
   tayoḥ spardhānubandhena sadā vivadamānayoḥ /	tayoH sparDA-anubanDena sadA vivadamAnayoH /
   ekadravyābhilāṣeṇa vidveṣaḥ samajāyata // KAvk_64.135 //	eka-dravya-aBilAzeNa vidvezaH samajAyata // Ka-avc-_64.135 //
   dveṣadoṣeṇa mātaṅgayogyanirghātayos tayoḥ /	dveza-dozeNa mAtaFga-yogya-nirGAtayoH tayoH /
   vidadhe madalekheva vidyā malinatām mukhe // KAvk_64.136 //	vidaDe mada-leKA-iva vidyA malina-tAm muKe // Ka-avc-_64.136 //
   yeṣāṃ vastuvivekinī guṇasakhī lokaprakāśonmukhī	yezAm vastu-vivekinI guNa-saKI loka-prakASa-unmuKI
   vidyādīpaśikhā karoti viṣamaṃ dveṣāndhakāraṃ puraḥ /	vidyA-dIpa-SiKA karoti vizamam dveza-anDakAram puras /
   te mohopahatā vicārarahitāḥ saujanyajanyāhitā	te moha-upahatAH vicAra-rahitAH sOjanya-janyA-hitA
   dagdhāś candanacandrakāntakamalasyandodgatenāgninā // KAvk_64.137 //	dagDAH candana-candra-kAnta-kamala-syanda-udgatena-agninA // KAvc-_64.137 //
   śrutismṛtivivādeṣu puṣkareṇa pade pade /	Sruti-smRti-vivAdezu puzkareNa pade pade /
   nigṛhyamāṇaḥ kapilaḥ kopatāpād acintayat // KAvk_64.138 //	nigRhyamANaH kapilaH kopa-tApAt acintayat // Ka-avc-_64.138 //
   mandābhyāsaṃ dṛḍhābhyāsas tīkṣṇas tīvramadoddhataḥ /	manda-aByAsam dRXa-aByAsaH tIkzNaH tIvra-mada-udDataH /
   sadā saṃsadi mām eva nayaty eṣa vilakṣatām // KAvk_64.139 //	sadA saMsadi mAm eva nayati eza vilakza-tAm // Ka-avc-_64.139 //
   prajñā vañcakavṛttāya śrutaṃ darpajvarāya ca /	prajQA vaQcaka-vRttAya Srutam darpa-jvarAya ca /
   dhanaṃ dharmaniṣedhāya bhavaty adhamacetasām // KAvk_64.140 //	Danam Darma-nizeDAya Bavati aDama-cetasAm // Ka-avc-_64.140 //
   dṛptaḥ paribhavaty eṣa rājaputrāśrayeṇa mām /	dRptaH pariBavati eza rAja-putra-ASrayeNa mAm /
   tasmād āśrayam evāsya śrīmūlam praharāmy aham // KAvk_64.141 //	tasmAt ASrayam eva-asya SrI-mUlam praharAmi aham // Ka-avc-_64.141 //
   nidhane rājaputrasya yuktyupāyena kena cit /	niDane rAja-putrasya yukti-upAyena kena cit /
   yuktaḥ kartuṃ prayatno me mānamlāniṃ kathaṃ sahe // KAvk_64.142 //	yuktaH kartum prayatnaH me mAna-mlAnim kaTam sahe // Ka-avc-_64.142 //
   ity ugrapāpasaṃkalpas tasya dveṣāt samudyayau /	iti ugra-pApa-saMkalpaH tasya dvezAt samudyayO /
   nāsti tat pātakaṃ loke yan na kurvanti matsarāḥ // KAvk_64.143 //	na-asti tat pAtakam loke yat na kurvanti matsarAH // Ka-avc-_64.143 //
   kathaṃ paśyati sadvartma sa sadā vyathitāśayaḥ /	kaTam paSyati sat-vartma sa sadA vyaTita-ASayaH /
   dattaṃ nayanayor yena tīvrāmarṣaviṣāñjanam // KAvk_64.144 //	dattam nayanayoH yena tIvra-amarza-viza-aQjanam // Ka-avc-_64.144 //
   rāgaḥ pāpaṃ paramam adhikaṃ darpapāpaṃ tato 'pi	rAgaH pApam paramam aDikam darpa-pApam tatas api
   krodhāt pāpaṃ jagati na paraṃ duḥsahaṃ lobhapāpam /	kroDAt pApam jagati na param duHsaham loBa-pApam /
   yāvān eṣa vyasanini jane gaṇyate pāpavargaḥ	yAvAn eza vyasanini jane gaNyate pApa-vargaH
   pāpāṃśasya spṛśati na tulāṃ so 'pi vidveṣasūteḥ // KAvk_64.145 //	pApa-aMSasya spRSati na tulAm saH api vidveza-sUteH // Ka-avc-_64.145 //
   tataḥ kadā cin meghākhyaṃ krūraṃ karvaṭavāsinam /	tatas kadA cit meGa-AKyam krUram karvawa-vAsinam /
   visṛṣṭasainyahantāraṃ sāmantam apakāriṇam // KAvk_64.146 //	visRzwa-sEnya-hantAram sAmantam apakAriNam // Ka-avc-_64.146 //
   śrutvā narapatiḥ kopāc caturthopāyaniścaye /	SrutvA narapatiH kopAt caturTa-upAya-niScaye /
   amātyānāṃ anumate kumāram idam abravīt // KAvk_64.147 //	amAtyAnAm anumate kumAram idam abravIt // Ka-avc-_64.147 //
   kumāra gamyatāṃ tūrṇam ucchettuṃ tarasā ripum /	kumAra gamyatAm tUrNam ucCettum tarasA ripum /
   kramopapannaṃ sāṃrājyaṃ niḥśalyam idam astu te // KAvk_64.148 //	krama-upapannam sAMrAjyam niHSalyam idam astu te // Ka-avc-_64.148 //
   ayaṃ te samarārambhe prabhāvābharaṇo bhujaḥ /	ayam te samara-AramBe praBAva-ABaraNaH BujaH /
   ālānastambhatāṃ yātu jagadvijayadantinaḥ // KAvk_64.149 //	AlAna-stamBa-tAm yAtu jagat-vijaya-dantinaH // Ka-avc-_64.149 //
   meghe bhūbhṛtkulākrāntisaṃrambhābhyadhikodaye /	meGe BUBRt-kula-AkrAnti-saMramBa-aByaDika-udaye /
   hate tava pratāpasya nirvighnāvaraṇā diśaḥ // KAvk_64.150 //	hate tava pratApasya nirviGna-AvaraNAH diSaH // Ka-avc-_64.150 //
   durbalaiḥ kiṃ hatair anyaiḥ sāmantair antavāsibhiḥ /	durbalEH kim hatEH anyEH sAmantEH anta-vAsiBiH /
   dṛptaḥ sa eva hantavyas tadvadhe sarvasiddhayaḥ // KAvk_64.151 //	dRptaH saH eva hantavyaH tad-vaDe sarva-sidDayaH // Ka-avc-_64.151 //
   kiṃ kautukaṃ yadi hariḥ karicakravālaṃ	kim kOtukam yadi hariH kari-cakravAlam
   āhanti daivavihitam nijam eva bhojyam /	Ahanti dEva-vihitam nijam eva Bojyam /
   pañcānanaṃ yadi bhinatti nakhāṭṭahāsaṃ	paQcAnanam yadi Binatti naKa-awwahAsam
   tat tasya pauruṣakathāpatham eti śauryam // KAvk_64.152 //	tat tasya pOruza-kaTA-paTam eti SOryam // Ka-avc-_64.152 //
   iti pitrā samādiṣṭaḥ samīhitaraṇotsavaḥ /	iti pitrA samAdizwaH sa-mIhita-raNa-utsavaH /
   kinnarīvirahālolaḥ so 'bhūd dolākulaḥ kṣaṇam // KAvk_64.153 //	kinnarI-viraha-AlolaH saH aBUt dolA-AkulaH kzaNam // Ka-avc-_64.153 //
   acirāgamanākhyānair yatnair āśvāsya vallabhām /	acira-Agamana-AKyAnEH yatnEH ASvAsya vallaBAm /
   jananīṃ svairam abhyetya praṇipatya jagāda saḥ // KAvk_64.154 //	jananIm svEram aByetya praNipatya jagAda saH // Ka-avc-_64.154 //
   duhitā śakrakalpasya kinnarendrasya māninī /	duhitA Sakra-kalpasya kinnarendrasya mAninI /
   pālyā virahaśokārtā madvātsalyadhiyā tvayā // KAvk_64.155 //	pAlyA viraha-Soka-ArtA mad-vAtsalya-DiyA tvayA // Ka-avc-_64.155 //
   asyāś cūḍāmaṇir ayaṃ rakṣyaḥ svecchāgatipradaḥ /	asyAH cUxAmaNiH ayam rakzyaH sva-icCA-gati-pradaH /
   dātavyaḥ sarvathā mātar nānyatra prāṇasaṃśayāt // KAvk_64.156 //	dAtavyaH sarvaTA mAtar na-anyatra prANa-saMSayAt // Ka-avc-_64.156 //
   ity uktvā jananīhaste kāntaṃ kāntāśikhāmaṇim /	iti uktvA jananI-haste kAntam kAntA-SiKA-maNim /
   nikṣipya sa yayau tūrṇaṃ sainyācchāditadiṅmukhaḥ // KAvk_64.157 //	nikzipya sa yayO tUrNam sEnya-AcCAdita-diS-muKaH // Ka-avc-_64.157 //
   tasya vājivrajoddhūtarajaḥpuñjaghanodayaḥ /	tasya vAji-vraja-udDUta-rajaH-puQja-Gana-udayaH /
   prayayau rājahaṃsānāṃ saṃtrāsāyāsahetutām // KAvk_64.158 //	prayayO rAjahaMsAnAm saMtrAsa-AyAsa-hetu-tAm // KAvc-_64.158 //
   dūraṃ prayāte dayite viraheṇa manoharā /	dUram prayAte dayite viraheNa manoharA /
   babhūva bālanalinīpalāśaśayanāśrayā // KAvk_64.159 //	baBUva bAla-nalinI-palASa-Sayana-ASrayA // Ka-avc-_64.159 //
   sotkaṇṭhāyā divasagaṇanārambhanityābhiyoge	sa-utkaNWAyAH divasa-gaNanA-AramBa-nitya-aBiyoge
   saṃkhyālekhāsaraṇim avanau kampalolaṃ likhantyāḥ /	saMKyA-leKA-saraNim avanO kampa-lolam liKantyAH /
   tasyāḥ pāṇau nipatitaraṇatkaṅkaṇe tānavena	tasyAH pANO nipatita-raNat-kaFkaNe tAnavena
   kṣipraṃ muktāvalayakalanām aśrudhārā cakāra // KAvk_64.160 //	kzipram muktA-valaya-kalanAm aSru-DArA cakAra // Ka-avc-_64.160 //
   dveṣaḥ puṣpaśare sukhe vimukhatā dehe 'pi niḥsnehatā	dvezaH puzpa-Sare suKe vimuKa-tA dehe api niHsneha-tA
   patyau dhyānaparāyaṇatvam aniśaṃ tannāmamantro japaḥ /	patyO DyAna-parAyaNa-tvam aniSam tad-nAma-mantraH japaH /
   śayyā bhūmitalaṃ tathāpi sutanos tāpakṣatir nābhavan	SayyA BUmi-talam taTA-api sutanoH tApa-kzatiH na-aBavan
   nūnaṃ niścalalīnarāgamanasāṃ muktir na tīvravrataiḥ // KAvk_64.161 //	nUnam niScala-lIna-rAga-manasAm muktiH na tIvra-vratEH // KAvc-_64.161 //
   līnā sphaṭikaparyaṅke haricandanapāṇḍurā /	lInA sPawika-paryaFke haricandana-pANxurAH /
   candralekheva sā tanvī jyotsnāmadhyagatā babhau // KAvk_64.162 //	candra-leKA-iva sA tanvI jyotsnA-maDya-gatAH baBO // Ka-avc-_64.162 //
   kadā cid atha bhūpālaḥ svapnadarśanaśaṅkitaḥ /	kadA cit aTa BUpAlaH svapna-darSana-SaFkitaH /
   purohitaṃ samāhūya papraccha kapilaṃ rahaḥ // KAvk_64.163 //	purohitam samAhUya papracCa kapilam rahaH // Ka-avc-_64.163 //
   dṛṣṭaṃ adya mayā svapne niruddhaṃ śatrubhiḥ puram /	dRzwam adya mayA svapne nirudDam SatruBiH puram /
   pāṭitodarakṛṣṭaiś ca mamāntraiḥ pariveṣṭitam // KAvk_64.164 //	pAwita-udara-kRzwEH ca mama-antrEH parivezwitam // Ka-avc-_64.164 //
   svapnasyāsya vipākārhaṃ phalaṃ brūhi mahāmate /	svapnasya-asya vipAka-arham Palam brUhi mahAmate /
   vicintaya śubhodarkām ucitāṃ ca pratikriyām // KAvk_64.165 //	vicintaya SuBa-udarkAm ucitAm ca pratikriyAm // Ka-avc-_64.165 //
   iti pṛṣṭaḥ kṣitīśena kṣaṇam antaḥ purohitaḥ /	iti pRzwaH kzitISena kzaNam antar purohitaH /
   bhaktidambhadhṛtadhyānaḥ samīhitam acintayat // KAvk_64.166 //	Bakti-damBa-DRta-DyAnaH samIhitam acintayat // Ka-avc-_64.166 //
   upāyo 'yaṃ mayā diṣṭyā prāptaḥ suciracintitaḥ /	upAyaH ayam mayA dizwyA prAptaH su-cira-cintitaH /
   puṣkarasyāśrayocchittyai rājaputravināśane // KAvk_64.167 //	puzkarasya-ASraya-ucCittyE rAja-putra-vinASane // Ka-avc-_64.167 //
   priyā manoharā jyeṣṭhaṃ jīvitaṃ tasya kinnarī /	priyA manoharA jyezWam jIvitam tasya kinnarI /
   abhāve niyataṃ tasyā na sa jīvati duḥkhitaḥ // KAvk_64.168 //	aBAve niyatam tasyAH na sa jIvati duHKitaH // Ka-avc-_64.168 //
   iti saṃcintya śanakair mithyākhedaviṣādavān /	iti saMcintya SanakEs miTyA-Keda-vizAdavAn /
   abhyadhād vasudhādhīśam ahitaiṣī purohitaḥ // KAvk_64.169 //	aByaDAt vasuDADISam ahita-ezI purohitaH // Ka-avc-_64.169 //
   duḥsvapno 'yaṃ tvayā deva hṛdayākampanaḥ param /	duHsvapnaH ayam tvayA deva hRdaya-akampanaH param /
   dṛṣṭaḥ spaṣṭaṃ phalaṃ tasya duḥsahaṃ katham ucyate // KAvk_64.170 //	dRzwaH spazwam Palam tasya duHsaham kaTam ucyate // KAvc-_64.170 //
   prabhubhaktivratasthānāṃ doṣeṣv avihitātmanām /	praBu-Bakti-vrata-sTAnAm dozezu avihita-AtmanAm /
   na karṇakaṭukaṃ vaktuṃ niṣedho 'sti hitaiṣiṇām // KAvk_64.171 //	na karNa-kawukam vaktum nizeDaH asti hita-eziNAm // KAvc-_64.171 //
