   vaitathyaprakaraṇam	vEtaTya-prakaraNam
   bāhyānādhyātmikāṃścetaretaranimittanaimittikabhāvenānekadhā kalpayate	bAhyAn-ADyAtmikAn=-ca-itaretara-nimitta-nEmittika-BAvena-anekaDA kalpayate
   START MandUpK 2.17	START Mandu-upK 2.17
   tatra jīvakalpanā sarvakalpanāmūlamityuktaṃ saiva jīvakalpanā kiṃnimitteti	tatra jIva-kalpanA sarva-kalpanA-mUlam-iti-uktam sA-eva jIva-kalpanA kiMnimitta-iti
   dṛṣṭāntena pratipādayati	dRzwAntena pratipAdayati
   aniścitā yathā rajjur andhakāre vikalpitā /	aniScitAH yaTA rajjuH anDakAre vikalpitA /
   sarpadhārādibhir bhāvais tadvad ātmā vikalpitaḥ // MandUpK_2.17 //	sarpa-DArA-AdiBiH BAvEH tadvat AtmA vikalpitaH // Mandu-upK_2.17 //
   MandUpKC_2.17	Mandu-upKC_2.17
   yathā loke svena rūpeṇāniścitānavadhāritaivameveti rajjurmandāndhakāre kiṃ	yaTA loke svena rUpeNa-aniScita-anavaDAritA-evam-eva-iti rajjuH-manda-anDakAre kim
   sarpa udakadhārā daṇḍa iti vānekadhā vikalpitā bhavati pūrvaṃ	sarpaH udaka-DArA daNxaH iti vA-anekaDA vikalpitA Bavati pUrvam
   svarūpāniścayanimittaṃ yadi hi pūrvameva rajjuḥ svarūpeṇa niścitā syāt, na	svarUpA-niScaya-nimittam yadi hi pUrvam-eva rajjuH sva-rUpeNa niScitA syAt, na
   sarpādivikalpo 'bhaviṣyad yathā svahastāṅgulyādiṣu, eṣa dṛṣṭāntaḥ /	sarpa-Adi-vikalpaH aBavizyat yaTA sva-hasta-aFgulI-Adizu, eza dRzwAntaH /
   tadvaddhetuphalādisaṃsāradharmānarthavilakṣaṇatayā svena	tadvat-hetu-Pala-Adi-saMsAra-Darma-anarTa-vilakzaNa-tayA svena
   viśuddhavijñaptimātrasattādvayarūpeṇāniścitatvājjīvaprāṇādyanantabhāvabhedairātmavikalpita	viSudDa-vijQapti-mAtra-sattA-dvaya-rUpeNa-aniScita-tvAt-jIva-prANa-Adi-ananta-BAva-BedEH-Atma-vikalpita
   ityeṣa sarvopaniṣadāṃ siddhāntaḥ //17//	iti-eza sarva-upanizadAm sidDAntaH //17//
   START MandUpK 2.18	START Mandu-upK 2.18
   niścitāyāṃ yathā rajjvāṃ vikalpo vinivartate /	niScitAyAm yaTA rajjvAm vikalpaH vinivartate /
   rajjur eveti cādvaitaṃ tadvad ātmaviniścayaḥ // MandUpK_2.18 //	rajjuH eva-iti ca-advEtam tadvat Atma-viniScayaH // Mandu-upK_2.18 //
   MandUpKC_2.18	Mandu-upKC_2.18
   rajjureveti niścaye sarvavikalpanivṛttau rajjureveti cādvaitaṃ yathā tathā	rajjuH-eva-iti niScaye sarva-vikalpa-nivRttO rajjuH-eva-iti ca-advEtam yaTA taTA
   'neti neti'(bṛ.u.4.4.22) iti	aneti na-iti-a(bR.u.4.4.22) iti
   sarvasaṃsāradharmaśūnyapratipādakaśāstrajanitavijñānasūryālakakṛtātmaviniścayaḥ	sarva-saMsAra-Darma-SUnya-pratipAdaka-SAstra-janita-vijQAna-sUrya-Alaka-kRtAtma-viniScayaH
   'ātmaivedaṃ sarvam' (chā.u.7.25.2) 'apūrvamanaparamanantaramabāhyam'	aAtmA-eva-idam sarvam-a (CA.u.7.25.2) aapUrvam-anaparam-anantaram-abAhyam-a
   (bṛ.u.2.5.19) 'sabāhyābhyantaro hyajaḥ'(mu.u.2.1.2) 'ajaro 'maro 'mṛto	(bR.u.2.5.19) asa-bAhya-aByantaraH hi-ajaH-a(mu.u.2.1.2) aajaraH amaraH amRtaH-
   'bhayaḥ'(bṛ.u.4.4.25) 'eka evādvayaḥ' iti //18//	aBayaH-a(bR.u.4.4.25) aekaH eva-advayaH-a iti //18//
   START MandUpK 2.19	START Mandu-upK 2.19
   yadyātmaika eveti niścayaḥ kathaṃ prāṇādibhiranantairbhāvairetaiḥ	yadi-AtmA-ekaH eva-iti niScayaH kaTam prANa-AdiBiH-anantEH-BAvEH-etEH
   saṃsāralakṣaṇairvikalpita ity ucyate, śṛṇu	saMsAra-lakzaNEH-vikalpitaH iti ucyate, SRNu
   prāṇādibhir anantaiś ca bhāvair etair vikalpitaḥ /	prANa-AdiBiH anantEH ca BAvEH etEH vikalpitaH /
   māyaiṣā tasya devasya yayā saṃmohitaḥ svayam // MandUpK_2.19 //	mAyA-ezA tasya devasya yayA saMmohitaH svayam // Mandu-upK_2.19 //
   MandUpKC_2.19	Mandu-upKC_2.19
   māyaiṣā tasyātmano devasya /	mAyA-ezA tasya-AtmanaH devasya /
   yathā māyāvinā vihitā māyā gaganamativimalaṃ kusumitaiḥ	yaTA mAyAvinA vihitAH mAyA gaganam-ati-vimalam kusumitEH
   sapalāśaistarubhirākīrṇamiva karoti tatheyamapi devasya māyā yayāyaṃ	sa-palASEH-taruBiH-AkIrNam-iva karoti taTA-iyam-api devasya mAyA yayAyam
   svayamapi mohita iva mohito bhavati /	svayam-api mohitaH iva mohitaH Bavati /
   'mama māyā duratyayā'(gītā 7.14) ityuktam //19//	amama mAyA duratyayA-a(gItAH 7.14) iti-uktam //19//
   START MandUpK 2.20-28	START Mandu-upK 2.20-28
   prāṇa iti prāṇavido bhūtānīti ca tadvidaḥ /	prANaH iti prANa-vidaH BUtAni-iti ca tad-vidaH /
   guṇā iti guṇavidas tattvānīti ca tadvidaḥ // MandUpK_2.20 //	guNAH iti guNa-vidaH tattvAni-iti ca tad-vidaH // Mandu-upK_2.20 //
   pādā iti pādavido viṣayā iti ca tadvidaḥ /	pAdAH iti pAda-vidaH vizayAH iti ca tad-vidaH /
   lokā iti lokavido devā iti ca tadvidaḥ // MandUpK_2.21 //	lokAH iti loka-vidaH devAH iti ca tad-vidaH // Mandu-upK_2.21 //
   vedā iti vedavido yajñā iti ca tadvidaḥ /	vedAH iti veda-vidaH yajQAH iti ca tad-vidaH /
   bhokteti ca bhoktṛvido bhojyam iti ca tadvidaḥ // MandUpK_2. 22 //	BoktA-iti ca BoktR-vidaH Bojyam iti ca tad-vidaH // Mandu-upK_2. 22 //
   sūkṣma iti sūkṣmavidaḥ sthūla iti ca tadvidaḥ /	sUkzmaH iti sUkzma-vidaH sTUlaH iti ca tad-vidaH /
   mūrta iti mūrtavido 'mūrta iti ca tadvidaḥ // MandUpK_2.23 //	mUrtaH iti mUrta-vidaH amUrtaH iti ca tad-vidaH // Mandu-upK_2.23 //
   kāla iti kālavido diśa iti ca tadvidaḥ /	kAlaH iti kAla-vidaH diSaH iti ca tad-vidaH /
   vādā iti vādavido bhuvanānīti tadvidaḥ // MandUpK_2.24 //	vAdAH iti vAda-vidaH BuvanAni-iti tad-vidaH // Mandu-upK_2.24 //
   mana iti manovido buddhir iti ca tadvidaḥ /	manaH iti manaH-vidaH budDiH iti ca tad-vidaH /
   cittam iti cittavido dharmādharmau ca tadvidaḥ // MandUpK_2.25 //	cittam iti citta-vidaH Darma-aDarmO ca tad-vidaH // Mandu-upK_2.25 //
   pañcaviṃśaka ity eke ṣaḍviśa iti cāpare /	paQcaviMSakaH iti eke zaz-viSaH iti ca-apare /
   ekatriṃśaka ity āhur ananta iti cāpare // MandUpK_2.26 //	ekatriMSakaH iti AhuH anantaH iti ca-apare // Mandu-upK_2.26 //
   lokāṃl lokavidaḥ prāhur āśramā iti tadvidaḥ /	lokAn loka-vidaH prAhuH ASramAH iti tad-vidaH /
   strīpuṃnapuṃsakaṃ laiṅgāḥ parāparam athāpare // MandUpK_2.27 //	strI-puMnapuMsakam lEFgAH para-aparam aTa-apare // Mandu-upK_2.27 //
   sṛṣṭir iti sṛṣṭivido laya iti ca tadvidaḥ /	sRzwiH iti sRzwi-vidaH layaH iti ca tad-vidaH /
   sthitir iti sthitividaḥ sarve ceha tu sarvadā // MandUpK_2.28 //	sTitiH iti sTiti-vidaH sarve ca-iha tu sarvadA // Mandu-upK_2.28 //
   MandUpKC_2.28	Mandu-upKC_2.28
   prāṇaḥ prājño bījātmā tatkāryabhedā hītare sthatyantāḥ /	prANaH prAjQaH bIja-AtmA tad-kArya-BedAH hi-itare sTati-antAH /
   anye ca sarve laukikāḥ sarvaprāṇiparikalpitā bhedā rajjvāmiva sarpādayas	anye ca sarve lOkikAH sarva-prANi-parikalpitA BedAH rajjvAm-iva sarpa-AdayaH-
   tacchūnya ātmanyātmasvarūpāniścayahetoravidyayā kalpitā iti	tat-SUnyaH Atmani-Atma-svarUpA-niScaya-hetoH-avidyayA kalpitAH iti
   piṇḍīkṛtor'thaḥ /	piNxIkRtor-aTaH /
   prāṇādiślokānāṃ pratyekaṃ padārthavyākhyāne	prANa-Adi-SlokAnAm pratyekam padArTa-vyAKyAne
   phalguprayojanatvātsiddhapadārthatvācca yatno na kṛtaḥ //28//	Palgu-prayojana-tvAt-sidDa-padArTa-tvAt-ca yatnaH na kRtaH //28//
   START MandUpK 2.29	START Mandu-upK 2.29
   kiṃ bahunā	kim bahunA
   yaṃ bhāvaṃ darśayed yasya taṃ bhāvaṃ sa tu paśyati /	yam BAvam darSayet yasya tam BAvam sa tu paSyati /
   taṃ cāvati sa bhūtvāsau tadgrahaḥ samupaiti tam // MandUpK_2.29 //	tam ca-avati sa BUtvA-asO tad-grahaH samupEti tam // Mandu-upK_2.29 //
   MandUpKC_2.29	Mandu-upKC_2.29
   prāṇādīnāmanyatamamuktamanuktaṃ vānyaṃ bhāvaṃ padārthaṃ darśayedyasyācāryo	prANa-AdInAm-anyatamam-uktam-anuktam vA-anyam BAvam padArTam darSayet-yasya-AcAryaH-
   'nyo vāpta idameva tattvamiti sa taṃ bhāvamātmabhūtaṃ paśyatyayamahamiti	anyaH vA-AptaH idam-eva tattvam-iti sa tam BAvam-Atma-BUtam paSyati-ayam-aham-iti
   vā mameti vā /	vA mama-iti vA /
   taṃ ca draṣṭāraṃ sa bhāvo 'vati yo darśito bhāvo 'sau bhūtvā rakṣati /	tam ca drazwAram sa BAvaH avati yaH darSitaH BAvaH asO BUtvA rakzati /
   svenātmanā sarvato niruṇaddhi /	svena-AtmanA sarvatas niruNadDi /
   tasmingrahastadgrahastadabhiniveśaḥ /	tasmin-grahaH-tat-grahaH-tad-aBiniveSaH /
   idameva	idam-eva
   tattvamiti sa taṃ grahītāramupaiti /	tattvam-iti sa tam grahItAram-upEti /
   tasyātmabhāvaṃ nigacchatītyarthaḥ //29//	tasya-Atma-BAvam nigacCati-iti-arTaH //29//
   START MandUpK 2.30	START Mandu-upK 2.30
   etair eṣo 'pṛthagbhāvaiḥ pṛthag eveti lakṣitaḥ /	etEH ezaH apRTak-BAvEH pRTak eva-iti lakzitaH /
   evaṃ yo veda tattvena kalpayet so 'viśaṅkitaḥ // MandUpK_2.30 //	evam yaH veda tattvena kalpayet saH aviSaFkitaH // Mandu-upK_2.30 //
   MandUpKC_2.30	Mandu-upKC_2.30
   etaiḥ prāṇādibhirātmano 'pṛthagbhūtairapṛthagbhāvaireṣa ātmā rajjuriva	etEH prANa-AdiBiH-AtmanaH apRTak-BUtEH-apRTak-BAvEH-ezaH AtmA rajjuH-iva
   sarpādi vikalapnārūpaiḥ pṛthageveti lakṣito 'bhilakṣito niścito	sarpa-Adi vikalapna-arUpEH pRTak-eva-iti lakzitaH aBilakzitaH niScitaH-
   mūḍhairityarthaḥ /	mUXEH-iti-arTaH /
   vivekināṃ tu rajjvāmiva kalpitāḥ sarpādayo nātmavyatirekeṇa prāṇādayaḥ	vivekinAm tu rajjvAm-iva kalpitAH sarpa-AdayaH na-Atma-vyatirekeNa prANa-AdayaH
   santītyabhiprāya idaṃ sarvaṃ yadayamātmā (bṛ.u.2.4.6, 4.5.7) iti śruteḥ /	santi-iti-aBiprAyaH idam sarvam yat-ayam-AtmA (bR.u.2.4.6, 4.5.7) iti SruteH /
   evamātmavyatirekeṇāsatvaṃ rajjusarpavadātmani kalpitānāmātmānaṃ ca kevalaṃ	evam-Atma-vyatirekeNa-asatvam rajju-sarpa-vat-Atmani kalpitAnAm-AtmAnam ca kevalam
   nirvikalpaṃ yo veda tattvena śrutito yuktitaśca sa aviśaṅkito vedārthaṃ	nirvikalpam yaH veda tattvena SrutitaH yuktitaH-ca sa aviSaFkitaH veda-arTam
   vibhāgataḥ kalpayetkalpayatītyarthaḥ idamevaṃparaṃ vākyamado 'nyaparamiti	viBAgataH kalpayet-kalpayati-iti-arTaH idam-evaMparam vAkya-madaH anya-param-iti
   na hyanadhyātmavidvedāñjñātuṃ śaknoti tattvataḥ /	na hi-anaDyAtma-vid-vedAn-jQAtum Saknoti tattvataH /
   'nahyanadhyātmavitkaścitkriyāphalamupāśnute' (manu.6 / 82) iti hi mānavaṃ	anahi-anaDyAtma-vid-kaH-cid-kriyA-Palam-upASnute-a (manu.6 / 82) iti hi mAnavam
   vacanam //30//	vacanam //30//
   START MandUpK 2.31	START Mandu-upK 2.31
   yadetdvaitasyāsattvamuktaṃ yuktitastadetadvedāntapramāṇāvagatamityāha	yadetdva-etasya-asattvam-uktam yuktitaH-tat-etat-vedAnta-pramANa-avagatam-iti-Aha
   svapnamāye yathā dṛṣṭaṃ gandharvanagaraṃ yathā /	svapna-mAye yaTA dRzwam ganDarvanagaram yaTA /
   tathā viśvam idaṃ dṛṣṭaṃ vedānteṣu vicakṣaṇaiḥ // MandUpK_2.31 //	taTA viSvam idam dRzwam vedAntezu vicakzaNEH // Mandu-upK_2.31 //
   MandUpKC_2.31	Mandu-upKC_2.31
   svapnaśca māyā ca svapnamāye 'sadvastvātmike 'satyau sadvastvātmika iva	svapnaH-ca mAyA ca svapna-mAye asat-vastu-Atmike asatyO sat-vastu-AtmikaH iva
   lakṣyete 'vivekibhiḥ /	lakzyete avivekiBiH /
   yathā ca prasāritapaṇyā paṇagṛhaprāsādastrīpuñjanapadavyavahārākīrṇamiva	yaTA ca prasArita-paNyA paNa-gRha-prAsAda-strI-puQjana-pada-vyavahAra-AkIrNam-iva
   gandharvanagaraṃ dṛśyamānameva sadakasmādabhāvatāṃ gataṃ dṛṣṭam, yathā ca	ganDarvanagaram dRSyamAnam-eva sat-akasmAt-aBAva-tAm gatam dRzwam, yaTA ca
   svapnamāye dṛṣṭe 'sadrūpe, tathā viśvamidaṃ dvaitaṃ samastamasaddṛṣṭam /	svapna-mAye dRzwe asat-rUpe, taTA viSvam-idam dvEtam samastam-asat-dRzwam /
   kvetyāha vedānteṣu /	kva-iti-Aha vedAntezu /
   "neha nānāsti kiñcana"(ka.u.2 / 1 / 11, bṛ.u.4 / 4 / 19) "indro	"na-iha nAnA-asti kiQcana-"(ka.u.2 / 1 / 11, bR.u.4 / 4 / 19) "indraH-
   māyābhiḥ"(bṛ.u.2 / 5 / 19) "ātmaivedamagra āsīt" (bṛ.u.1 / 4 / 17) "brahma	mAyABiH"(bR.u.2 / 5 / 19) "AtmA-eva-idam-agre AsIt" (bR.u.1 / 4 / 17) "brahma
   vedamagra āsīt"(bṛ.u.1 / 4 / 10) "dvitīyādvai bhayaṃ bhavati"(bṛ.u.1 / 4 /	vedam-agre AsIt-"(bR.u.1 / 4 / 10) "dvitIyAt-vE Bayam Bavati-"(bR.u.1 / 4 /
   2) "na tu taddvitīyasti"(bṛ.u.4 / 3 / 23) "yatra svasya	2) "na tu tad-dvitIyaH-ti"(bR.u.4 / 3 / 23) "yatra svasya
   sarvamātmaivābhūt"(bṛ.u.4 / 5 / 15) ityādiṣu	sarvam-AtmA-eva-aBUt"(bR.u.4 / 5 / 15) ityAdizu
   vicakṣaṇairnipuṇataravastudarśibhi paṇḍitairityarthaḥ /	vicakzaNEH-nipuNatara-vastu-darSiBi paNxitEH-iti-arTaH /
   "tamaḥśvabhranibhaṃ dṛṣṭaṃ varṣabudbudasannibham /	"tamaH-SvaBra-niBam dRzwam varza-budbuda-sanniBam /
   nāśaprāyaṃ sukhāddhīnaṃ nāśottaramabhāvagam"iti vyāsasmṛteḥ //31//	nASa-prAyam suKAt-hInam nASa-uttaram-aBAva-gam"iti vyAsa-smRteH //31//
   START MandUpK 2.32	START Mandu-upK 2.32
   prakaraṇārthopasaṃhārārtho 'yaṃ ślaukaḥ /	prakaraNa-arTa-upasaMhAra-arTaH ayam SlOkaH /
   yadā vitathaṃ dvaitamātmaivaikaḥ paramārthataḥ saṃstadedaṃ niṣpannaṃ	yadA vitaTam dvEtam-AtmA-eva-ekaH paramArTataH san=-tada-idam nizpannam
   bhavati sarvo 'yaṃ laukiko vaidikaśca vyavahāro 'vidyāviṣaya eveti /	Bavati sarvaH ayam lOkikaH vEdikaH-ca vyavahAraH avidyA-vizayaH eva-iti /
   tadā	tadA
   na nirodho na cotpattir na baddho na ca sādhakaḥ /	na niroDaH na ca-utpattiH na badDaH na ca sADakaH /
   na mumukṣur na vai mukta ity eṣā paramārthatā // MandUpK_2.32 //	na mumukzuH na vE muktaH iti ezA paramArTa-tA // Mandu-upK_2.32 //
   MandUpKC_2.32	Mandu-upKC_2.32
   na nirodhaḥ nirodhanaṃ nirodhaḥ pralayaḥ, utpattirjananam, baddhaḥ saṃsārī	na niroDaH niroDanam niroDaH pralayaH, utpattiH-jananam, badDaH saMsArI
   jīvaḥ, sādhako mādhanavānmokṣasya, mumukṣurmocanārthī, mukto	jIvaH, sADakaH mADanavAn-mokzasya, mumukzuH-mocana-arTI, muktaH-
   vimuktabandhaḥ /	vimukta-banDaH /
   utpattipralayayorabhāvādbaddhādayo na santītyeṣā paramārthatā /	utpatti-pralayayoH-aBAvAt-badDa-AdayaH na santi-iti-ezA paramArTa-tA /
   kathamutpattipralayorabhāvaḥ, ityucyate, dvaitasyāsatvāt /	kaTam-utpatti-pralaya-uraBAvaH, iti-ucyate, dvEtasya-asatvAt /
   yatra hi dvaitamiva bhavati"(bṛ.u.2 / 4 / 14) "ya iha nāneva	yatra hi dvEtam-iva Bavati-"(bR.u.2 / 4 / 14) "yaH iha nAnA-iva
   paśyati"(ka.u.2 / 1 / 10,11) "ātmaivedaṃ sarvam"(chā.u.7 / 25 / 2)	paSyati"(ka.u.2 / 1 / 10,11) "AtmA-eva-idam sarvam"(CA.u.7 / 25 / 2)
   "brahmaivedaṃ sarvam"(nṛsiṃhottara.7)"ekamevādvitīyaṃ"(chā.u.6 / 2 / 1)	"brahma-eva-idam sarvam"(nRsiMha-uttara.7)"ekam-eva-advitIyaM"(-CA.u.6 / 2 / 1)
   "idaṃ sarvaṃ yadayamātmā"(bṛ.u.2 / 4 / 6,4 / 5 / 7) ityādinānāśrutibhyo	"idam sarvam yat-ayam-Atma-a"(bR.u.2 / 4 / 6,4 / 5 / 7) ityAdi-nAnA-SrutiByaH-
   dvaitasyāsatvaṃ siddham /	dvEtasya-asatvam sidDam /
   sato hyutpattiḥ pralayo vā syānnāsataḥ śaśaviṣāṇāde /	sataH hi-utpattiH pralayaH vA syAt-na-asataH SaSa-vizANa-Ade /
   nāpyadvaitamutpadyate līyate vā /	na-api-advEtam-utpadyate lIyate vA /
   advayaṃ cotpattipralayavacceti vipratiṣiddham /	advayam ca-utpatti-pralaya-vat-ca-iti vipratizidDam /
   yastu punardvaitasaṃvyavahāraḥ sa rajjusarpavadātmani prāṇādilakṣaṇaḥ	yaH-tu punar-dvEta-saMvyavahAraH sa rajju-sarpa-vat-Atmani prANa-Adi-lakzaNaH
   kalpita ityuktam /	kalpitaH iti-uktam /
   na hi manovikalpanāyā rajjusarpādilakṣaṇāyā rajjvāṃ pralaya utpattirvā /	na hi manaH-vikalpanAyAH rajju-sarpa-Adi-lakzaNAyAH rajjvAm pralayaH utpattiH-vA /
   na ca manasi rajjusarpasyotpattiḥ pralayo vā na cobhayato vā /	na ca manasi rajju-sarpasya-utpattiH pralayaH vA na ca-uBayatas vA /
   tathā mānasatvāviśeṣāddvaitasya /	taTA mAnasatva-aviSezAt-dvEtasya /
   na hi niyate manasi suṣupte vā dvaitaṃ gṛhyate /	na hi niyate manasi suzupte vA dvEtam gRhyate /
   ato manovikalpanāmātraṃ dvaitamiti siddham /	atas manaH-vikalpanA-mAtram dvEtam-iti sidDam /
   tasmādsūktaṃ dvaitasyāsatvānnirodhādyabhāvaḥ paramārthateti /	tasmAt-sUktam dvEtasya-asatvAt-niroDa-Adi-aBAvaH paramArTa-tA-iti /
   yadyevaṃ dvaitābhāve śāstravyāpāro nādvaite virodhāt /	yadi-evam dvEta-aBAve SAstra-vyApAraH na-advA-ete viroDAt /
   tathā ca satyadvaitasya vastutve pramāṇābhāvācchūnyavādaprasaṅgaḥ,	taTA ca satya-dvEtasya vastu-tve pramANa-aBAvAt-SUnya-vAda-prasaFgaH,
   dvaitasya cābhāvāt /	dvEtasya ca-aBAvAt /
   na; rajjusarpādivikalpanāyā nirāspadatvānupapattiriti	na; rajju-sarpa-Adi-vikalpanAyAH nirAspadatva-anupapattiH-iti
   pratyuktametatkathamujjīvayasītyāha rajjurapi sarpavikalpasyāspada bhūtā	pratyuktam-etat-kaTam-ujjIvayasi-iti-Aha rajjuH-api sarpa-vikalpasya-Aspada BUtAH-
   vikalpitaiveti dṛṣṭāntānupapattiḥ /	vikalpitA-eva-iti dRzwAnta-anupapattiH /
   na; vikalpanākṣaye 'vikalpitasyāvikalpitatvādeva sattopatteḥ /	na; vikalpanA-kzaye avikalpitasya-avikalpita-tvAt-eva sattA-upatteH /
   rajjusarpavadasattvamiti cet? na,	rajju-sarpa-vat-asattvam-iti cet? na,
   ekāntenāvikalpitatvādavikalpitarajjvaṃśavatprāk sarpābhāvavijñānāt /	ekAntena-avikalpita-tvAt-avikalpita-rajju-aMSa-vat-prAk sarpa-aBA=-a-vijQAnAt /
   vikalpayituśca prāgvikalpanotpatteḥ siddhatvābhyupagamādasatvānupapattiḥ /	vikalpayituH-ca prAk-vikalpana-utpatteH sidDa-tva-aByupagamAt-asatva-anupapattiH /
   kathaṃ punaḥ svarūpevyāpārābhāve śāstrasya dvaitavijñānanivartakatvam?	kaTam punar svarUpA-ivyApAra-aBAve SAstrasya dvEta-vijQAna-nivartaka-tvam?
   naiṣa doṣaḥ /	na-eza dozaH /
   rajjvāṃ sarpādivadātmani dvaitasyāvidyādhyastatvāt /	rajjvAm sarpa-Adi-vat-Atmani dvEtasya-avidyA-aDyastatvAt /
   katham? sukhyahaṃ duḥkhī mūḍho jāto mṛto jīrṇo dehavān paśyāmi vyakto	kaTam? suKI-aham duHKI mUXaH jAtaH mRtaH jIrNaH dehavAn paSyAmi vyaktaH-
   'vyaktaḥ kartā phalī saṃyukto viyuktaḥ kṣīṇo vṛddhohaṃ mamaita	avyaktaH kartA PalI saMyuktaH viyuktaH kzINaH vRdDa-Uham mama-eta
   ityevamādayaḥ sarva ātmanyadhyāropyante /	iti-evamAdayaH sarve Atmani-aDyAropyante /
   ātmaiteṣvanugataḥ sarvatrāvyabhicārāt /	AtmA-etezu-anugataH sarvatra-avyaBicArAt /
   yathā sarpadhārādibhedeṣu rajjuḥ /	yaTA sarpa-DArA-Adi-Bedezu rajjuH /
   yadā caivaṃ viśeṣyasvarūpapratyayasya siddhatvānna kartavyatvaṃ śāstreṇa /	yadA ca-evam viSezya-svarUpa-pratyayasya sidDa-tvAt-na kartavya-tvam SAstreNa /
   akṛtakartṛ ca śāstraṃ kṛtānukāritve 'prāmāṇam /	akRta-kartR ca SAstram kRta-anukAri-tve aprAmANam /
   yato 'vidyādhyāropitasukhitvādiviśeṣapratibandhādevātmanaḥ	yatas avidyA-aDyAropita-suKitva-Adi-viSeza-pratibanDAt-eva-AtmanaH
   svarūpeṇānavasthānaṃ svarūpāvasthānaṃ ca śreya iti sukhitvādinivartakaṃ	sva-rUpeNa-anavasTAnam svarUpa-avasTAnam ca SreyaH iti suKitva-Adi-nivartakam
   śāstram ātmanyasukhitvādipratyayakaraṇena neti netyasthūlādivākyaiḥ /	SAstram Atmani-asuKitva-Adi-pratyaya-karaNena na-iti na-iti-asTUla-Adi-vAkyEH /
   ātmasvarūpavadasukhitvādyapi sukhitvādibhedeṣu nānuvṛtto 'sti dharmaḥ /	Atma-sva-rUpa-vat-asuKitva-Adi-api suKitva-Adi-Bedezu na-anuvRttaH asti DarmaH /
   yadyanuvṛttaḥ syānnādhyāropitasukhitvādilakṣaṇo viśeṣaḥ /	yadi-anuvRttaH syAt-na-aDyAropita-suKitva-Adi-lakzaNaH viSezaH /
   yathoṣṇatvaguṇaviśeṣavatyagnau śītatā /	yaTA-uzNa-tva-guNa-viSezavati-agnO SIta-tA /
   tasmānnirviśeṣa evātmani sukhitvādayo viśeṣāḥ kalpitāḥ /	tasmAt-nirviSezaH eva-Atmani suKitva-AdayaH viSezAH kalpitAH /
   yattvasukhitvādiśāstramātmanastatsukhitvādi viśeṣanivṛtyarthameveti	yat-tva-suKitva-Adi-SAstram-AtmanaH-tad-suKitva-Adi viSeza-nivRti-arTam-eva-iti
   siddham /	sidDam /
   "siddhaṃ tu nivartakatvāt"ityāgamavidāṃ sūtram //32//	"sidDam tu nivartaka-tvAt-"iti-Agama-vidAm sUtram //32//
   START MandUpK 2.33	START Mandu-upK 2.33
   pūrvaślokārthasya hetumāha	pUrva-Sloka-arTasya hetum-Aha
   bhāvair asadbhir evāyam advayena ca kalpitaḥ /	BAvEH asadBiH eva-ayam advayena ca kalpitaH /
   bhāvā apy advayenaiva tasmād advayatā śivā // MandUpK_2.33 //	BAvAH api advayena-eva tasmAt advayatA SivAH // Mandu-upK_2.33 //
   MandUpKC_2.33	Mandu-upKC_2.33
   yathā rajjvāmasadbhiḥ sapradhārādibhiradvayena ca rajjudravyeṇa satāyaṃ	yaTA rajjvAmasadBiH sa-praDAra-AdiBiH-advayena ca rajju-dravyeNa satAyam
   sarpa iyaṃ dhārā daṇḍo 'yamiti vā rajjudravyameva kalpyata evaṃ	sarpaH iyam DArA daNxaH ayam-iti vA rajju-dravyam-eva kalpyate evam
   prāṇādibhiranantairasadbhirevāvidyamānaiḥ, na paramārthataḥ na	prANa-AdiBiH-anantEH-asadBiH-eva-avidyamAnEH, na paramArTataH na
   hyapracalite manasi kaścidbhāva upalakṣayituṃ śakyate kenacit; na cātmanaḥ	hi-apracalite manasi kaScid-BAvaH upalakzayitum Sakyate kenacit; na ca-AtmanaH
   pracalanamasti; pracalitasyaivopalabhyamānā bhāvā na paramārthataḥ santaḥ	pracalanam-asti; pracalitasya-eva-upalaByamAnAH BAvAH na paramArTataH santaH
   kalpayituṃ śakyāḥ ato 'sadbhireva prāṇādabhāvairadvayena ca	kalpayitum SakyAH atas asadBiH-eva prANAt-aBAvEH-advayena ca
   paramārthasatātmanā rajjuvattarvavikalpāspadabhūtenāyaṃ svayamevātmā	paramArTa-satA-AtmanA rajju-vat-tarva-vikalpa-Aspada-BUtena-ayam svayam-eva-AtmA
   kalpitaḥ; sadaikasvabhāvo 'pi san /	kalpitaH; sadA-eka-svaBAvaH api san /
   te ca prāṇādibhāvāṃ apyadvayenaiva satātmanā vikalpitāḥ /	te ca prANa-Adi-BAvAm api-advayena-eva satA-AtmanA vikalpitAH /
   na hi nirāspadā kācitkalpanopalabhyate; ataḥ	na hi nirAspadA kAcid-kalpanA-upalaByate; atas-
   sarvakalpanāspadatvātsvenātnādvayasyāvyabhicārātkalpanāvasthāyāmapyadvayatā	sarva-kalpanA-spada-tvAt-svena-atna-advayasya-avyaBicArAt-kalpanA-avasTAyAm-api-advayatA
   śivā /	SivAH /
   kalpanā eva tvaṃśivāḥ /	kalpanAH eva tu-aMSivAH /
   rajjusarpādivattrāsādikāriṇyo hi tāḥ /	rajju-sarpa-Adi-vat-trAsa-Adi-kAriNyaH hi tAH /
   advayatābhayātaḥ saiva śivā //33//	advayatA-aBayAtaH sA-eva SivAH //33//
   START MandUpK 2.34	START Mandu-upK 2.34
