   vīṇāśikhatantra	vINA-SiKa-tantra
   mucyate ca sadā rogair % mṛtyurūpair durāsadaiḥ // VT_92 //	mucyate ca sadA rogEH % mRtyu-rUpEH durAsadEH // VT_92 //
   ahigaraviṣaśastra- $ jvarakuṣṭhakṣayādibhiḥ &	ahi-gara-viza-Sastra $ jvara-kuzWa-kzaya-AdiBiH &
   mucyate nātra saṃdeho % yo 'pi syāt pātakī naraḥ // VT_93 //	mucyate na-atra saMdehaH % yaH api syAt pAtakI naraH // VT_93 //
   upalipya śubhe deśe $ pracchanne janavarjite &	upalipya SuBe deSe $ pracCanne jana-varjite &
   pūrvavad dhastamātraṃ tu % likhitvā maṇḍalaṃ śubham // VT_94 //	pUrvavat Dasta-mAtram tu % liKitvA maNxalam SuBam // VT_94 //
   catuḥpattraṃ tu tatrābjaṃ $ sarvavarṇitakarṇikām &	catur-pattram tu tatra-abjam $ sarva-varNita-karNikAm &
   sitaraktapītakṛṣṇāṃ % pūrvādidalasaṃsthitām // VT_95 //	sita-rakta-pIta-kRzNAm % pUrva-Adi-dala-saMsTitAm // VT_95 //
   jayādyaṃ vinyasen mantrī $ tumburuṃ karṇikopari &	jaya-Adyam vinyaset mantrI $ tumburum karNikA-upari &
   padmāsanopaviṣṭaṃ tu % varadānodyatakaram // VT_96 //	padmAsana-upavizwam tu % vara-dAna-udyata-karam // VT_96 //
   caturvaktramaṣṭabhujaṃ $ catuṣkāyaṃ trilocanam &	catur-vaktram-azwa-Bujam $ catuzkAyam trilocanam &
   nāgayajñopavītaṃtu % śūlapāṇiṃ gadādharam // VT_97 //	nAga-yajQopavItaMtu % SUlapANim gadADaram // VT_97 //
   mukuṭena vicitreṇa $ śaśāṅkadhṛtaśekharam &	mukuwena vicitreNa $ SaSAFka-DRta-SeKaram &
   śaktīnāṃ tu priyaṃ devaṃ % pāśāṅkuśakaraprabham // VT_98 //	SaktInAm tu priyam devam % pASa-aFkuSa-kara-praBam // VT_98 //
   divyāmbarātapatreṇa $ divyasragbandhalepanam &	divya-ambara-AtapatreNa $ divya-sraj-banDa-lepanam &
   devadevaṃ sadā dhyāyet % sūryakoṭisamaprabham // VT_99 //	devadevam sadA DyAyet % sUrya-kowi-sama-praBam // VT_99 //
   kṣīrodaphalasaṃkāśāṃ $ vyāghrayajñopavītinīm &	kzIroda-Pala-saMkASAm $ vyAGra-yajQa-upavItinIm &
   pretārūḍhāṃ caturvaktrāṃ % gadākheṭakadhāriṇīm // VT_100 //	preta-ArUXAm catur-vaktrAm % gadA-Kewaka-DAriNIm // VT_100 //
   divyāmbarātapatreṇa $ hārakeyūrabhūṣitām &	divya-ambara-AtapatreNa $ hAra-keyUra-BUzitAm &
   devadevīṃ jayāṃ dhyāyed % dīpyamānāṃ svatejasā // VT_101 //	devadevIm jayAm DyAyet % dIpyamAnAm sva-tejasA // VT_101 //
   devasyābhimukho mantrī $ sasmitotphullalocanām &	devasya-aBimuKaH mantrI $ sa-smita-utPulla-locanAm &
   dāḍimīkusumaprakhyāṃ % suragopakasaprabhām // VT_102 //	dAximI-kusuma-praKyAm % suragopaka-sapraBAm // VT_102 //
   cāpodyatakarāṃ ghorāṃ $ matsyamāṃsasurāpriyām &	cApa-udyata-karAm GorAm $ matsya-mAMsa-surA-priyAm &
   ulūke saṃsthitāṃ devīṃ % hārakeyūrabhūṣitām // VT_103 //	ulUke saMsTitAm devIm % hAra-keyUra-BUzitAm // VT_103 //
   raktāmbarātapatreṇa $ vijayāṃ siddhidāṃ smaret &	rakta-ambara-AtapatreNa $ vijayAm sidDi-dAm smaret &
   dhātucāmīkaraprakhyāṃ % pītamālyāmbarapriyām // VT_104 //	DAtu-cAmIkara-praKyAm % pIta-mAlya-ambara-priyAm // VT_104 //
   ghaṇṭākhaṭvāṅgadharīṃ devīm $ aśvārūḍhāṃ mahābalām &	GaNwA-KawvAFga-DarIm devIm $ aSva-ArUXAm mahA-balAm &
   sūryāyutapratīkāśīṃ % sarvābharaṇabhūṣitām // VT_105 //	sUrya-ayuta-pratIkASIm % sarva-ABaraNa-BUzitAm // VT_105 //
   jayantīṃ dhyāyati kṣipraṃ $ siddhim āpnoti puṣkalām &	jayantIm DyAyati kzipram $ sidDim Apnoti puzkalAm &
   bhinnāñjanasamaprakhyāṃ % śarvarītimiraprabhām // VT_106 //	BinnAQjana-sama-praKyAm % SarvarI-timira-praBAm // VT_106 //
   kṛṣṇakauśeyasaṃvītāṃ $ muktikāmaṇibhūṣitām &	kRzNa-kOSeya-saMvItAm $ muktikA-maNi-BUzitAm &
   divyaṃ vimānam ārūḍhāṃ % gadākheṭakadhāriṇīm // VT_107 //	divyam vimAnam ArUXAm % gadA-Kewaka-DAriNIm // VT_107 //
   mahārāvādinirghoṣaiś $ cintayed aparājitām &	mahA-rAva-Adi-nirGozEH $ cintayet aparAjitAm &
   gāyatrīṃ vā japantīṃ ca % sphāṭikamaṇibhūṣitām // VT_108 //	gAyatrIm vA japantIm ca % sPAwika-maNi-BUzitAm // VT_108 //
   ṛgyajussāmātharvākhyaṃ $ gāyantīṃ vā tathaiva ca &	Rc-yajussAmATarva-AKyam $ gAyantIm vA taTA-eva ca &
   sāvitrīṃ divyarūpāṃ % tūpaniṣadgāyane ratām // VT_109 //	sAvitrIm divya-rUpAm % tu-upanizad-gAyane ratAm // VT_109 //
   devīnām agrasaṃsthaṃ kṛtabhṛkuṭimukhaṃ cintayed aṅkuśākhyaṃ $	devInAm agra-saMsTam kRta-BRkuwi-muKam cintayet aFkuSa-AKyam $
   sampṛṣṭhe cāstrarājaṃ prakaṭitasumahāsṛkvaṇīlelihānam &	sampRzWe ca-astra-rAjam prakawita-su-mahA-asRkvaNI-lelihAnam &
   saṃkruddhaṃ bhīṣayantaṃ nararudhiravasādigdhadāntākalālaṃ %	saMkrudDam BIzayantam nara-ruDira-vasA-digDa-dAntA-kalAlam %
   ....... ....... ....... // VT_110 //	....... ....... ....... // VT_110 //
   evaṃ dhyātvā viśālākṣi $ tataḥ pūjā pravartate &	evam DyAtvA viSAla-akzi $ tatas pUjA pravartate &
   bhakṣyabhojyavidhānaiś ca % gandhapuṣpādibhiḥ kramāt // VT_111 //	Bakzya-Bojya-viDAnEH ca % ganDa-puzpa-AdiBiH kramAt // VT_111 //
   pūjayet kūṭamadhyasthaṃ $ tatra madhye vidhānataḥ &	pUjayet kUwa-maDya-sTam $ tatra maDye viDAnataH &
   bhūr evāyaṃ pādapadmair % hṛdi vāmakare 'thavā // VT_112 //	BUH eva-ayam pAda-padmEH % hRdi vAma-kare aTavA // VT_112 //
   manasā pūjayen nityaṃ $ siddhikāmaḥ samāhitaḥ &	manasA pUjayet nityam $ sidDi-kAmaH samAhitaH &
   mahāśaṅkhamayaṃ kuryād % athavā kacchapasya tu // VT_113 //	mahA-SaFKa-mayam kuryAt % aTavA kacCapasya tu // VT_113 //
   sauvarṇaṃ rajataṃ tāmraṃ $ kulaṃ bhavati siddhidam &	sOvarNam rajatam tAmram $ kulam Bavati sidDi-dam &
   gandhamaṇḍalake vāpi % athavā bhasmamaṇḍale // VT_114 //	ganDa-maNxalake vA-api % aTavA Basma-maNxale // VT_114 //
   siddhārthamaṇḍale vāpi $ athavā hṛdi maṇḍale &	sidDArTa-maNxale vA-api $ aTavA hRdi maNxale &
   kusumbhamaṇḍale vāpi % puṣpamaṇḍalake 'pi vā // VT_115 //	kusumBa-maNxale vA-api % puzpa-maNxalake api vA // VT_115 //
   nāgakeśarajobhir vā $ likhitvā maṇḍalaṃ śubham &	nAgakeSa-rajoBiH vA $ liKitvA maNxalam SuBam &
   muktidā siddhidā hy evaṃ % bhavantīty avicāraṇāt // VT_116 //	mukti-dA sidDi-dAH hi evam % Bavanti-iti avicAraNAt // VT_116 //
   sampūjya ca yathānyāyaṃ $ gandhapuṣpādi yojayet &	sampUjya ca yaTAnyAyam $ ganDa-puzpa-Adi yojayet &
   darśayed yonimudrāṃ tu % kāle karmāṇi kārayet // VT_117 //	darSayet yonimudrAm tu % kAle karmANi kArayet // VT_117 //
   samutpanneṣu kāryeṣu $ prāṇadraviṇahāriṣu &	samutpannezu kAryezu $ prANa-draviNa-hArizu &
   pūjitāḥ sādhakaṃ devyaḥ % parirakṣanti putravat // VT_118 //	pUjitAH sADakam devyaH % parirakzanti putra-vat // VT_118 //
   śrīdevy uvāca	SrI-devI uvAca
   atrāpi yāgam evoktaṃ $ viśeṣaḥ ko 'paraḥ prabho &	atra-api yAgam eva-uktam $ viSezaH kaH aparaH praBo &
   yathā tu abhyāsamātreṇa % siddhir bhavati kāmadā // VT_119 //	yaTA tu aByAsa-mAtreNa % sidDiH Bavati kAma-dA // VT_119 //
   kevalaṃ smaraṇād eva $ tathā tvaṃ vaktum arhasi &	kevalam smaraNAt eva $ taTA tvam vaktum arhasi &
   praṇayasva prasādaś ca % yadi cāsti maheśvara // VT_120 //	praNayasva prasAdaH ca % yadi ca-asti maheSvaraH // VT_120 //
   śrī īśvara uvāca	SrI ISvaraH uvAca
   śṛṇuṣvaikamanā bhadre $ prākṛtaṃ tapasaḥ phalam &	SRNuzva-ekamanAH Badre $ prAkRtam tapasaH Palam &
   praṇayād atulaṃ vāpi % rahasyaṃ paramaṃ padam // VT_121 //	praNayAt atulam vA-api % rahasyam paramam padam // VT_121 //
   uttarottarayogena $ tantraṃ te kathitaṃ mayā &	uttara-uttara-yogena $ tantram te kaTitam mayA &
   atrāntaram idaṃ jñānaṃ % śrutvā bhavati nirvṛtiḥ // VT_122 //	atra-antaram idam jQAnam % SrutvA Bavati nirvRtiH // VT_122 //
   prastārya pūrvavad varṇaṃ $ proddhared bījapañcakam &	prastArya pUrvavat varNam $ prodDaret bIja-paQcakam &
   pūrvavat kramayogena % sarvakāmaprasiddhaye // VT_123 //	pUrvavat krama-yogena % sarva-kAma-prasidDaye // VT_123 //
   ādau dvātriṃśakaṃ bījaṃ $ yuktam ekonaviṃśati &	AdO dvAtriMSakam bIjam $ yuktam ekonaviMSati &
   catustriṃśaṃ tato 'dhastād % devadevaṃ prakalpayet // VT_124 //	catustriMSam tatas aDastAt % devadevam prakalpayet // VT_124 //
   jayā saptadaśaṃ bījaṃ $ yuktam ekādaśena tu &	jayA saptadaSam bIjam $ yuktam ekAdaSena tu &
   tad eva vijayākhyātā % kiṃ tu yuktaṃ na kena cit // VT_125 //	tat eva vijaya-AKyAtAH % kim tu yuktam na kena cit // VT_125 //
   pañcaviṃśac chikhābhāji $ yuktam ekādaśena tu &	paQcaviMSat SiKA-BAji $ yuktam ekAdaSena tu &
   ajitāyāḥ samuddiṣṭaṃ % caturthyāḥ śṛṇu sāmpratam // VT_126 //	ajitAyAH samuddizwam % caturTyAH SRNu sAmpratam // VT_126 //
   varṇaikādaśasaṃyuktaṃ $ śambhusthaṃ pañcaviṃśakam &	varNa-ekAdaSa-saMyuktam $ SamBu-sTam paQcaviMSakam &
   guhyam etat samuddiṣṭaṃ % praṣṭavyaṃ nānyataḥ param // VT_127 //	guhyam etat samuddizwam % prazwavyam na-anyatas param // VT_127 //
   sarvakāmapradaṃ devi $ etad vai bījapañcakam &	sarva-kAma-pradam devi $ etat vE bIja-paQcakam &
   uttaraṃ hṛdayaṃ hyetat % sarvatantreṣu cottaram // VT_128 //	uttaram hRdayam hi-etat % sarva-tantrezu ca-uttaram // VT_128 //
   yāni kāni ca karmāṇi $ sarvāṇy etais tu kārayet &	yAni kAni ca karmANi $ sarvANi etEH tu kArayet &
   pañcaviṃśatikoṣasthaṃ % yuktaṃ vai ṣoḍaśena tu // VT_129 //	paQcaviMSati-koza-sTam % yuktam vE zoxaSena tu // VT_129 //
   astram etat samuddiṣṭam $ asmiṃs tantre ca suvrate &	astram etat samuddizwam $ asmin tantre ca suvrate &
   punar etadbījayuktaṃ % viṃśakena samanvitam // VT_130 //	punar etat-bIja-yuktam % viMSakena samanvitam // VT_130 //
   māyā hy eṣā samuddiṣṭā $ śivasyānantarūpiṇī &	mAyA hi ezA samuddizwA $ Sivasya-ananta-rUpiNI &
   ādikoṣṭhakabījaṃ tu % adhastāṣṭādaśasaṃyutam // VT_131 //	Adi-kozWaka-bIjam tu % aDasta-azwAdaSa-saMyutam // VT_131 //
   aṣṭatriṃśatikoṣasthaṃ $ tasyopari niyojayet &	azwatriMSati-koza-sTam $ tasya-upari niyojayet &
   aṅkuśoddharaṇaṃ hy etad % devīnāṃ saṃnirodhane // VT_132 //	aFkuSa-udDaraNam hi etat % devInAm saMniroDane // VT_132 //
   bindupuñjasametā hi $ nyastavyā tu yathākramam &	bindu-puQja-sametAH hi $ nyastavyA tu yaTAkramam &
   pañcaviṃśatikoṣasthaṃ % tad eva paramākṣaram // VT_133 //	paQcaviMSati-koza-sTam % tat eva parama-akzaram // VT_133 //
   navatriṃśasamāyuktaṃ $ bījaṃ gāyatrisaṃjñakam &	navatriMSa-samAyuktam $ bIjam gAyatri-saMjQakam &
   etad bījavaraṃ divyaṃ % yojyam ālabhanādike // VT_134 //	etat bIjavaram divyam % yojyam AlaBana-Adike // VT_134 //
   catustriṃśatikoṣasthaṃ $ pañcaviṃśatiyojitam &	catustriMSati-koza-sTam $ paQcaviMSati-yojitam &
   sarvakarmasamuddiṣṭaṃ % bījaṃ sāvitrisaṃjñitam // VT_135 //	sarva-karma-samuddizwam % bIjam sAvitri-saMjQitam // VT_135 //
   ardhenduśikhayā devi $ lāñchitāni tu pūrvavat &	arDa-indu-SiKayA devi $ lAQCitAni tu pUrvavat &
   prayogaṃ cāsya vakṣyāmi % siddhir yenāśu jāyate // VT_136 //	prayogam ca-asya vakzyAmi % sidDiH yena-ASu jAyate // VT_136 //
   prayogaṃ kāraṇaṃ devi $ granthaśāstram akāraṇam &	prayogam kAraNam devi $ granTa-SAstram akAraNam &
   sarvatra sulabhaṃ śāstraṃ % prayogaṃ tu sudurlabham // VT_137 //	sarvatra sulaBam SAstram % prayogam tu su-durlaBam // VT_137 //
   prayogarahitā mantrā $ naiva siddhipradāḥ smṛtāḥ &	prayoga-rahitAH mantrAH $ na-eva sidDi-pradAH smRtAH &
   hṛtpadme yogavinyāsaṃ % dhyātvā vai bījapañcakam \	hRd-padme yoga-vinyAsam % DyAtvA vE bIja-paQcakam \
   gatiṃ devaṃ tu vijñāya # tataḥ karma samārabhet // VT_138 //	gatim devam tu vijQAya # tatas karma samAraBet // VT_138 //
   śrīdevy uvāca	SrI-devI uvAca
   kīdṛśaḥ sa bhaved devo $ gatis tasya tu kīdṛśī &	kIdRSaH sa Bavet devaH $ gatiH tasya tu kIdRSI &
   dehasthaṃ tu kathaṃ vidyād % vaktum arhasi śaṅkara // VT_139 //	deha-sTam tu kaTam vidyAt % vaktum arhasi SaFkara // VT_139 //
   śrī īśvara uvāca	SrI ISvaraH uvAca
   meḍhranābhyantare devi $ kandamūlākṛtir bhavet &	meXra-nABi-antare devi $ kanda-mUla-AkRtiH Bavet &
   dvāsaptatisahasrāṇi % nāḍīr ādhārasaṃsthitāḥ // VT_140 //	dvAsaptati-sahasrANi % nAxIH ADAra-saMsTitAH // VT_140 //
   nābhideśe sthito granthis $ tatra padmaṃ vyavasthitam &	nABi-deSe sTitaH granTiH $ tatra padmam vyavasTitam &
   karṇikā padmamadhyasya % tatra sādhyaṃ vyavasthitam // VT_141 //	karNikA padma-maDyasya % tatra sADyam vyavasTitam // VT_141 //
   karṇikāsuṣirānte tu $ yā kalā cordhvagāminī &	karNikA-suzira-ante tu $ yA kalA ca-UrDva-gAminI &
   tasyā madhye sthito devaḥ % sa tu dīpaśikhopamaḥ // VT_142 //	tasyAH maDye sTitaH devaH % sa tu dIpa-SiKA-upamaH // VT_142 //
   śuddhasphaṭikasaṃkāśaṃ $ visphuliṅgārkasaṃnibham &	SudDa-sPawika-saMkASam $ visPuliFga-arka-saMniBam &
   vārimārutasaṃkīrṇaṃ % vālāgraśatabhāgakam // VT_143 //	vAri-mAruta-saMkIrNam % vAla-agra-Sata-BAgakam // VT_143 //
   vāyuvāhanam ārūḍhaṃ $ śabdātītam anāmayam &	vAyuvAhanam ArUXam $ Sabda-atItam anAmayam &
   sampratyayaṃ tu gamyo 'sau % vahate dehamadhyataḥ // VT_144 //	sampratyayam tu gamyaH asO % vahate deha-maDyatas // VT_144 //
   iḍāmadhyagato vāpi $ piṅgalāntargato 'pi vā &	ixA-maDya-gataH vA-api $ piFgala-antargataH api vA &
   suṣumnāntargataś caiva % viṣuvaṃ samudāhṛtam // VT_145 //	suzumnA-antargataH ca-eva % vizuvam samudAhRtam // VT_145 //
   iḍā tu vāmajā proktā $ dakṣiṇe piṅgalā smṛtā &	ixA tu vAma-jA proktA $ dakziNe piFgalA smRtA &
   anayor madhye suṣumnā tu % sṛṣṭisaṃhārakārikā // VT_146 //	anayoH maDye suzumnA tu % sRzwi-saMhAra-kArikAH // VT_146 //
   iḍā śāntikapuṣṭyarthe $ mṛtyūccāṭana piṅgalā &	ixA SAntika-puzwi-arTe $ mRtyu-uccAwana piFgalA &
   suṣumnā mokṣadā caiva % jīvamārgānusāriṇī // VT_147 //	suzumnA mokza-dA ca-eva % jIva-mArga-anusAriNI // VT_147 //
   piṅgalāntargataṃ dhyātvā $ raktavarṇaṃ vicintayet &	piFgala-antargatam DyAtvA $ rakta-varNam vicintayet &
   māraṇoccāṭanādīni % tataḥ karmāṇi kārayet // VT_148 //	mAraNa-uccAwana-AdIni % tatas karmANi kArayet // VT_148 //
   amṛtāntargataṃ jñātvā $ dhyāyet tuhinasaṃnibham &	amRta-antargatam jQAtvA $ DyAyet tuhina-saMniBam &
   śāntipuṣṭivaśākarṣaṃ % tadā karmāṇi kārayet // VT_149 //	SAnti-puzwi-vaSa-Akarzam % tadA karmANi kArayet // VT_149 //
   vratayogādisaṃsiddhiṃ $ mūlamantreṣu kārayet &	vrata-yoga-Adi-saMsidDim $ mUlamantrezu kArayet &
   tad atra japamātreṇa % mantrī sādhayate kṣaṇāt // VT_150 //	tat atra japa-mAtreNa % mantrI sADayate kzaNAt // VT_150 //
   aprasūtā mṛtā yoṣit $ prāptayauvanam eva ca &	aprasUtA mRtAH yozit $ prApta-yOvanam eva ca &
   tasyāḥ pāṃśulikāṃ gṛhya % vāmabhāge vicakṣaṇaḥ // VT_151 //	tasyAH pAMSulikAm gRhya % vAma-BAge vicakzaNaH // VT_151 //
   likhen nāmākṣaraṃ tatra $ devīnām kūṭasaṃsthitam &	liKet nAma-akzaram tatra $ devInAm kUwa-saMsTitam &
   vāmāṅgojjvalaraktena % sādhakaḥ saṃyatavrataḥ // VT_152 //	vAma-aFga-ujjvala-raktena % sADakaH saMyata-vrataH // VT_152 //
   striyaṃ caiva likhet tatra $ gavāṃ rocanayā punaḥ &	striyam ca-eva liKet tatra $ gavAm rocanayA punar &
   anulomair vihanyas tu % vāmapādena cākramet // VT_153 //	anulomEH vihanyaH tu % vAma-pAdena ca-Akramet // VT_153 //
   tatkṣaṇād ānayec chīghraṃ $ yā strī dvādaśayojanāt &	tad-kzaNAt Anayet SIGram $ yA strI dvAdaSa-yojanAt &
   puruṣasya tathā proktaṃ % dakṣiṇāṅge tu kārayet // VT_154 //	puruzasya taTA proktam % dakziNa-aFge tu kArayet // VT_154 //
   athābhicārakaṃ kuryāt $ samidhānāṃ tathāsthibhiḥ &	aTa-aBicArakam kuryAt $ samiDAnAm taTA-asTiBiH &
   rājikāviṣaraktāktaṃ % śmaśāne homam ārabhet // VT_155 //	rAjikA-viza-rakta-aktam % SmaSAne homam AraBet // VT_155 //
   nagno muktaśikho bhūtvā $ kapālatrayasaṃsthitaḥ &	nagnaH mukta-SiKaH BUtvA $ kapAla-traya-saMsTitaH &
   samidhāṣṭaśataṃ homaṃ % rātrau kuryād vicakṣaṇaḥ // VT_156 //	samiDA-azwaSatam homam % rAtrO kuryAt vicakzaNaH // VT_156 //
   homānte tu tataḥ śakraṃ $ kṛṣṇavarṇam vicintayet &	homa-ante tu tatas Sakram $ kRzNa-varNam vicintayet &
   triśūlena vinirbhinnaṃ % daṇḍena tāḍitaṃ śiraḥ // VT_157 //	triSUlena vinirBinnam % daNxena tAxitam SiraH // VT_157 //
   sādhako ghorarūpeṇa $ kruddhaḥ saṃraktalocanaḥ &	sADakaH Gora-rUpeNa $ krudDaH saMrakta-locanaH &
   saptāhān nāśayed indraṃ % kiṃ punar mānuṣādikam // VT_158 //	sapta-ahAt nASayet indram % kim punar mAnuza-Adikam // VT_158 //
   tyaktena tu kusumbhena $ śatenāṣṭottareṇa tu &	tyaktena tu kusumBena $ Satena-azwa-uttareNa tu &
   trisandhyaṃ dhārayed rātrau % agnikāryaṃ tu kārayet // VT_159 //	trisanDyam DArayet rAtrO % agni-kAryam tu kArayet // VT_159 //
   sādhyaṃ tu sādhakaś caiva $ raktavarṇaṃ vicintayet &	sADyam tu sADakaH ca-eva $ rakta-varNam vicintayet &
   homānte tu dhyāyet sādhyaṃ % vihvalaṃ ca sammūrchitam // VT_160 //	homa-ante tu DyAyet sADyam % vihvalam ca sammUrCitam // VT_160 //
   aṅkuśena hato mūrdhni $ māyāpāśena veṣṭitam &	aFkuSena hataH mUrDni $ mAyA-pASena vezwitam &
   rājānaṃ rājapatnīṃ vā % saptāhād vaśam ānayet // VT_161 //	rAjAnam rAja-patnIm vA % sapta-ahAt vaSam Anayet // VT_161 //
   gṛhītvā tu mahāmāṃsaṃ $ dadhimadhvājyasaṃyutam &	gRhItvA tu mahAmAMsam $ daDi-maDu-Ajya-saMyutam &
   āhutyaṣṭasahasreṇa % sadyotkarṣaṇam uttamam // VT_162 //	Ahuti-azwa-sahasreNa % sadya-utkarzaNam uttamam // VT_162 //
   ātmanaḥ sādhyabījaṃ ca $ pañcadevyā catuṣṭayam &	AtmanaH sADya-bIjam ca $ paQcadevyA catuzwayam &
   nāḍīmadhyagataṃ dhyātvā % ekīkṛtya vicakṣaṇaḥ // VT_163 //	nAxI-maDya-gatam DyAtvA % ekIkRtya vicakzaNaH // VT_163 //
   nāḍīmārgānusāreṇa $ praveśya sādhyavigraham &	nAxI-mArga-anusAreNa $ praveSya sADya-vigraham &
   anenaiva prayogeṇa % trailokyaṃ vaśam ānayet // VT_164 //	anena-eva prayogeNa % trElokyam vaSam Anayet // VT_164 //
   ata uccāṭanaṃ kuryāc $ chatrūṇāṃ baladarpitām &	atas uccAwanam kuryAt $ CatrUNAm bala-darpitAm &
   śuṣkāṇi nimbapattrāṇi % dhvajāgrāṇi tathaiva ca // VT_165 //	SuzkANi nimba-pattrANi % Dvaja-agrANi taTA-eva ca // VT_165 //
   nṛvālaṃ citibhasmaṃ ca $ kākapakṣāgrapicchakam &	nR-vAlam citi-Basmam ca $ kAkapakza-agra-picCakam &
   kaṭutailaviṣaṃ raktaṃ % tenāloḍya tu homayet // VT_166 //	kawutEla-vizam raktam % tena-Aloxya tu homayet // VT_166 //
   caṇḍālāgniṃ samāhṛtya $ citikāṣṭhaṃ samindhayet &	caNxAla-agnim samAhRtya $ citi-kAzWam saminDayet &
   uccāṭayet trirātreṇa % tyaktabandhusuhṛjjanān // VT_167 //	uccAwayet tri-rAtreNa % tyakta-banDu-suhRd-janAn // VT_167 //
   vāmahastatale candraṃ $ dhyātvā sampūrṇamaṇḍalam &	vAma-hasta-tale candram $ DyAtvA sampUrNa-maNxalam &
   bījapañcakasaṃyuktaṃ % yasya taṃ darśayet karam // VT_168 //	bIja-paQcaka-saMyuktam % yasya tam darSayet karam // VT_168 //
   darśanād vaśam āyānti $ ye 'pi hantuṃ samudyatāḥ &	darSanAt vaSam AyAnti $ ye api hantum samudyatAH &
   yaṃ yaṃ spṛśati hastena % dāsatvam upagacchati // VT_169 //	yam yam spRSati hastena % dAsa-tvam upagacCati // VT_169 //
   dakṣiṇe 'py eva vai haste $ vinyased ravimaṇḍalam &	dakziNe api eva vE haste $ vinyaset ravi-maNxalam &
   yaṃ spṛśed darśayed yaṃ tu % vidviṣṭāḥ suhṛdāny api // VT_170 //	yam spRSet darSayet yam tu % vidvizwAH suhRdAni api // VT_170 //
   nimbasthavāyasaṃ gṛhya $ śvapākenāvatāritam &	nimba-sTa-vAyasam gRhya $ SvapAkena-avatAritam &
   bījair etair viparyastais % tailābhyaktaṃ citāhutam // VT_171 //	bIjEH etEH viparyastEH % tEla-aByaktam citA-hutam // VT_171 //
   tad bhasma viṣaraktāktaṃ $ kṛṣṇānte raktavāsasaḥ &	tat Basma viza-rakta-aktam $ kRzNa-ante rakta-vAsasaH &
   parijapya sahasraṃ tu % vilomair bījapañcakaiḥ // VT_172 //	parijapya sahasram tu % vilomEH bIja-paQcakEH // VT_172 //
   yaṃ spṛśed bhasmanā tena $ kākavad bhramate mahīm &	yam spRSet BasmanA tena $ kAka-vat Bramate mahIm &
   vidviṣṭaḥ sarvalokānāṃ % yadi śakrasamo bhavet // VT_173 //	vidvizwaH sarva-lokAnAm % yadi Sakra-samaH Bavet // VT_173 //
   yathātmani tathā sādhye $ bījaṣoḍaśakaṃ nyaset &	yaTA-Atmani taTA sADye $ bIja-zoxaSakam nyaset &
   javāpuṣpasamaprakhyau % dvāv etau paricintayet // VT_174 //	javApuzpa-sama-praKyO % dvO etO paricintayet // VT_174 //
   jātīhiṅgulakapakṣau $ lākṣārasasamaprabhau &	jAtI-hiFgulaka-pakzO $ lAkzA-rasa-sama-praBO &
   padmasampuṭamadhyasthau % ubhau tau sādhyasādhakau // VT_175 //	padma-sampuwa-maDya-sTO % uBO tO sADya-sADakO // VT_175 //
   aṅkuśaṃ sādhyaguhye tu $ daṇḍaṃ cātmani guhyataḥ &	aFkuSam sADya-guhye tu $ daNxam ca-Atmani guhyataH &
   kusumbharaktasaṃkāśau % māyātantvabhiveṣṭitau // VT_176 //	kusumBa-rakta-saMkASO % mAyA-tantu-aBivezwitO // VT_176 //
   pañcarātraṃ trirātraṃ vā $ niḥśabdo dhyānapāragaḥ &	paQca-rAtram tri-rAtram vA $ niHSabdaH DyAna-pAragaH &
   vaśam ānayate kṣipraṃ % nṛpatiṃ mānagarvitam // VT_177 //	vaSam Anayate kzipram % nRpatim mAna-garvitam // VT_177 //
   dvijayoṣin mṛtā yā tu $ tasyā gṛhyaṃ tu karpaṭam &	dvija-yozit mRtA yA tu $ tasyAH gRhyam tu karpawam &
   kṛṣṇacaturdaśyāṃ gṛhītvā % cityaṅgārais tadudbhavaiḥ // VT_178 //	kRzNa-caturdaSyAm gRhItvA % citi-aFgArEH tad-udBavEH // VT_178 //
   bījair vidarbhitaṃ nāma $ yasya yasya ca veśmani &	bIjEH vidarBitam nAma $ yasya yasya ca veSmani &
   nikhanyate sa vai kṣipraṃ % prayāti yamasādanam // VT_179 //	niKanyate sa vE kzipram % prayAti yama-sAdanam // VT_179 //
   tato vidyāvrataślāghī $ kīrtyādibhir alaṃkṛtaḥ &	tatas vidyA-vrata-SlAGI $ kIrti-AdiBiH alaMkRtaH &
   sādhyate 'nena prayogeṇa % mriyate cāvikalpataḥ // VT_180 //	sADyate anena prayogeNa % mriyate ca-avikalpataH // VT_180 //
   gavāṃ rocanayā caiva $ yasya nāma vidarbhitam &	gavAm rocanayA ca-eva $ yasya nAma vidarBitam &
   bījair etaiḥ samāyuktair % ālikhya prakṣiped budhaḥ // VT_181 //	bIjEH etEH samAyuktEH % AliKya prakzipet buDaH // VT_181 //
   pātraṃ madhvājyasampūrṇaṃ $ śatam āvartayed drutam &	pAtram maDu-Ajya-sampUrNam $ Satam Avartayet drutam &
   mumukṣor api tasyāstraṃ % śāntipuṣṭiś ca jāyate // VT_182 //	mumukzoH api tasya-astram % SAnti-puzwiH ca jAyate // VT_182 //
   śatajapto jalenāpi $ tato vā mucyate sadā &	Sata-japtaH jalena-api $ tatas vA mucyate sadA &
