   (Gv 1)	(Gu 1)
   mama kulaputra etadabhavat   kīdṛśaṃ karma kṛtvā iyamīdṛśī kāyasaṃpat	mama kula putraH etat aBavat  kIdRSam karma kRtvA iyam IdRSI kAya saMpad 
   pratilabhyate? lakṣaṇānuvyañjanasaṃpadā jāyate?	pratilaByate? lakzaNa anuvyaQjana saMpadA jAyate?
   prabhāvyūhasaṃpatsaṃbhavati? parivārasaṃpadabhinirvartate?	praBAvyUha saMpad saMBavati? parivAra saMpad aBinirvartate?
   manomayabhavanaparibhogasaṃpatprādurbhavati? puṇyasaṃpadutpadyate?	manaH maya Bavana pariBoga saMpad prAdurBavati? puNya saMpad utpadyate?
   jñānasaṃpadviśuddhyate? acintyasamādhivikurvitasaṃpatsamudāgacchati?	jQAna saMpad viSudDi ate? acintya samADi vikurvita saMpad sam udAgacCati?
   dhāraṇīsaṃpatpariniṣpadyate? pratibhānasaṃpadvaśībhavati?	DAraNI saMpad parinizpadyate? pratiBAna saMpad vaSIBavati?
   atha khalu kulaputra sa bhagavān pralambabāhustathāgato mamādhyāṃśayaṃ	aTa Kalu kula putra sa BagavAn pralamba bAhuH taTAgataH mama aDyAMSayam
   viditvā evamāha   duryodhanacittaṃ te dārike utpādayitavyaṃ	viditvA evam Aha  duryoDana cittam te dArike utpAdayitavyam
   sarvakleśanirghātāya / aparājitacittaṃ sarvābhiniveśanirvedāya /	sarva kleSa nirGAtAya / aparAjita cittam sarva aBiniveSa nirvedAya /
   asaṃkucitacittaṃ gambhīradharmanayānugamāya / akṣobhyacittaṃ	asaMkucita cittam gamBIra Darma naya anugamAya / akzoBya cittam
   viṣayāśayasattvasāgarāvartaprapāteṣu / asaṃmūḍhacittaṃ	vizaya ASaya sattva sAgara Avarta prapAtezu / asaMmUXa cittam
   sarvabhavagatyupapattyāyataneṣu / avitṛptacittaṃ	sarva Bava gati upapatti Ayatanezu / avitRpta cittam
   sarvabuddhadarśanābhilāṣāpratiprasrabdhaye / asaṃtuṣṭicittaṃ	sarva budDa darSana aBilAzA pratiprasrabDaye / asaMtuzwi cittam
   sarvatathāgatadharmameghasaṃpratyeṣaṇāya / nidhyapticittaṃ	sarva taTAgata Darma meGa saMprati ezaNAya / niDi apti cittam
   sarvabuddhadharmanayālokānugamāya / saṃghāraṇācittaṃ	sarva budDa Darma naya Aloka anugamAya / saMGAraNa acittam
   sarvatathāgatadharmacakrāṇām / asaṃpramohacittamantaśaḥ saṃketakṛte,	sarva taTAgata Darma cakrANAm / asaMpramoha cittam antaSas saMketa kRte,
   kimuta tathāgatavadanavinirgatajñāne / vibhājanacittaṃ ca te dārike	kim uta taTAgata vadana vinirgata jQAne / viBAjana cittam ca te dArike
   utpādayitavyaṃ yathāśayasarvasattvadharmaratnasaṃvibhajanāya /	utpAdayitavyam yaTASaya sarva sattva Darma ratna saMviBajanAya /
   sāhaṃ kulaputra tasya bhagavataḥ pralambabāhostathāgasyārhataḥ	sA aham kula putra tasya BagavataH pralamba bAhoH taTA Agasya arhataH
   samyaksaṃbuddhasyāntikādimāni evaṃrūpāṇi dharmanayānuśāsanīmukhāni śrutvā	samyaksaMbudDasya antika AdimAni evaMrUpANi Darma naya anuSAsanI muKAni SrutvA
   sarvajñajñānamabhikāṅkṣamāṇā daśabalabhāvamabhiprārthayamānā	sarvajQa jQAnam aBikAFkzamANA daSa bala BAvam aBiprArTayamAnA
   buddhasarasvatīmabhilaṣantī buddhaprabhāvyūhaṃ pariśodhayitukāmā	budDasarasvatIm aBilazantI budDa praBA vyUham pariSoDayitu kAmA
   buddhaśarīrasaṃpadaṃ pariniṣpādayitukāmā	budDa SarIra saMpadam parinizpAdayitu kAmA
   buddhalakṣaṇānuvyañjanaviśuddhimabhikāṅkṣamāṇā	budDa lakzaNa anuvyaQjana viSudDim aBikAFkzamANA
   buddhaparṣanmaṇḍalasaṃpadamabhiprārthayamānā	budDa parzad maNxala saMpadam aBiprArTayamAnA
   buddhakṣetraviśuddhimabhilaṣantī buddheryāpathasaṃpadamabhikāṅkṣamāṇā	budDa kzetra viSudDim aBilazantI budDeH yApaTa saMpadam aBikAFkzamANA
   buddhāyuḥpramāṇasaṃpadamabhinandantī	budDa AyuH pramANa saMpadam aBinandantI
   sarvakleśasarvaśrāvakapratyekabuddhābhedyacittamutpādaditavatī	sarva kleSa sarva SrAvaka pratyekabudDa aBedya cittam utpAda ditavatI
   duryodhanavajramiva sarvaparvatāyudhabalaiḥ / nābhijānāmi kulaputra tata	duryoDana vajram iva sarva parvata AyuDa balEH / na aBijAnAmi kula putra tata
   upādāya etena cittotpādena jambudvīpaḥ paramāṇurajaḥsamaiḥ kalpairapi	upAdAya etena citta utpAdena jambudvIpaH paramANu rajaH samEH kalpEH api
   kāmān paribhoktum, kaḥ punarvādo dvayadvayasamāpattyā / nābhijānāmi	kAmAn pariBoktum, kaH punar vAdaH dvaya dvaya samApattyA / na aBijAnAmi
   kulaputra tata upādāya ekapratighacittamutpādayituṃ svabāndhaveṣu,	kula putra tatas upAdAya eka pratiGa cittam utpAdayitum sva bAnDava izu,
   prāgevānaparādhiṣu tadanyeṣu sattveṣu / nābhijānāmi tata upādāya	prAk eva anaparADizu tad anyezu sattvezu / na aBijAnAmi tatas upAdAya
   ekacittotpādamadhyātmadṛṣṭisahagatamutpādayitum, (Gv 135) prāgeva	ekacitta utpAdam aDyAtma dRzwi saha gatam utpAdayitum, (Gu 135) prAk eva
   tadanyeṣūpakaraṇeṣu mamakārābhiniveśam / nābhijānāmi cittasaṃmohaṃ	tad anyezu upakaraNezu mamakAra aBiniveSam / na aBijAnAmi citta saMmoham
   nānyatvasaṃjñāmavyākṛtacittatāṃ vā cyutyupapattigarbhasaṃvāseṣvapi,	na anyatva saMjQAm avyAkRta citta tAm vA cyuti upapatti garBa saMvAsezu api,
   prāgeva samanvāharamāṇā / nābhijānāmi tāvadbhiḥ	prAk eva samanvAharamANA / na aBijAnAmi tAvadBiH
   kalpairekabuddhadarśanamapi vismartum / antaśaḥ svapnadarśanavijñaptimapi,	kalpEH ekabudDa darSanam api vismartum / antaSas svapna darSana vijQaptim api,
   prāgeva daśabodhisattvacakṣuḥpratibhāsaprāpteṣu / nābhijānāmi tata upādāya	prAk eva daSa boDisattva cakzuH pratiBAsa prAptezu / na aBijAnAmi tatas upAdAya
   sarvatathāgatadharmameghān saṃpratīcchamānā ekadharmapadavyañjanamapi	sarva taTAgata Darma meGAn saMprati icCamAnAH eka Darma pada vyaQjanam api
   manasā vismartum, antaśaḥ saṃjñākṛtamapi, prāgeva	manasA vismartum, antaSas saMjQA akRtam api, prAk eva
   tathāgatavadanakośaviniḥsṛtam / nābhijānāmi tata upādāya tāvato	taTAgata vadana koSa viniHsRtam / na aBijAnAmi tatas upAdAya tAvataH 
   dharmasāgarān pibantī ekapadamapyanidhyātamavilokitam, antaśo laukikeṣu	Darma sAgarAn pibantI eka padam api aniDyAtam avilokitam, antaSas lOkikezu
   dharmeṣu / nābhijānāmi tata upādāya tāvatāṃ	Darmezu / na aBijAnAmi tatas upAdAya tAvatAm
   dharmanayasāgarāṇāmekadharmanayadvāramapi yatra mayā na	Darma naya sAgarANAm eka Darma naya dvAram api yatra mayA na
   samādhirabhinirhṛtaḥ, antaśo laukikaśilpajñānanayeṣvapi / nābhijānāmi tata	samADiH aBinirhRtaH, antaSas lOkika Silpa jQAna nayezu api / na aBijAnAmi tata
   upādāya tāvatāṃ tathāgatānāṃ dharmacakraṃ saṃdhārayamāṇā	upAdAya tAvatAm taTAgatAnAm Darma cakram saMDArayamANA
   yathāsaṃdhāritādekapadavyañjanamapyanusraṣṭam, antaśo	yaTA saMDAritAt eka pada vyaQjanam api anusrazwam, antaSas 
   'nvayajñānānugamanenāpi anyatra sattvavinayavaśāt / nābhijānāmi tata	anvaya jQAna anugamanena api anyatra sattva vinaya vaSAt / na aBijAnAmi tata
   upādāya tāvatāṃ buddhadarśanasamudrāṇāmekapraṇidhānamapi yanmayā na	upAdAya tAvatAm budDa darSana samudrANAm eka praNiDAnam api yat mayA na
   sarvasattvasāgaraviśuddhaye 'bhinirhṛtam, antaśo	sarva sattva sAgara viSudDaye aBinirhRtam, antaSas 
   nirmāṇabuddhapraṇidhivicāreṣvapi / nābhijānāmi tata upādāya tāvatāṃ	nirmANa budDa praNiDi vicArezu api / na aBijAnAmi tatas upAdAya tAvatAm
   buddhasamudrāṇāṃ pūrvabodhisattvacaryāsamudrādekabodhisattvacaryāmapi, yā	budDa samudrANAm pUrva boDisattva caryA samudrAt eka boDisattva caryAm api, yA
   mayā na svacaryāpariśuddhye 'bhinirhṛtā / nābhijānāmi tata upādāya	mayA na sva caryA apariSudDye aBinirhRtA / na aBijAnAmi tatas upAdAya
   ekasattvamapi cakṣuravabhāsamāgataṃ yo mayānuttarāyāṃ samyaksaṃbodhau na	eka sattvam api cakzuH avaBAsam Agatam yaH mayA anuttarAyAm samyaksaMboDO na
   samādāpitaḥ / nābhijānāmi tata upādāya ekacittotpādamapi	samAdApitaH / na aBijAnAmi tatas upAdAya ekacitta utpAdam api
   śrāvakapratyekabuddhamanasikārapratisaṃyuktamabhinirhartum / nābhijānāmi	SrAvaka pratyekabudDa manasikAra pratisaMyuktam aBinirhartum / na aBijAnAmi
   kulaputra tata upādāya jambudvīpaparamāṇurajaḥsamaiḥ	kula putra tatas upAdAya jambudvIpa paramANu rajaH samEH
   kalpairekapadavyañjane 'pi saṃśayamutpādayituṃ dvayasaṃjñāṃ vā	kalpEH ekapada vyaQjane api saMSayam utpAdayitum dvaya saMjQAm vA
   vikalpasaṃjñāṃ vā nānātvasaṃjñāṃ vā agrahasaṃjñāṃ vā hīnapraṇītasaṃjñāṃ vā	vikalpa saMjQAm vA nAnAtva saMjQAm vA agraha saMjQAm vA hIna praNIta saMjQAm vA
   anunayapratighasaṃjñāṃ vā utpādayitum //	anunaya pratiGa saMjQAm vA utpAdayitum //
   sāhaṃ kulaputra tataḥ paścādavirahitā abhūvaṃ buddhotpādaiḥ / avirahitā	sA aham kula putra tatas paScAt avirahitA aBUvam budDa utpAdEH / avirahitA
   buddhairbhagavadbhiḥ / avirahitā bodhisattvaiḥ / avirahitā	budDEH BagavadBiH / avirahitA boDisattvEH / avirahitA
   bhūtakalyāṇamitraiḥ / avirahitā buddhapraṇidhānaśraveṇa / avirahitā	BUta kalyANa mitrEH / avirahitA budDa praNiDAna SraveNa / avirahitA
   bodhisattvacaryāśraveṇa / avirahitā bodhisattvapāramitānayaśraveṇa /	boDisattva caryA ASraveNa / avirahitAH boDisattva pAramitA naya SraveNa /
   avirahitā bodhisattvabhūmijñānālokanayaśraveṇa / avirahitā	avirahitA boDisattva BUmi jQAna Aloka naya SraveNa / avirahitA
   bodhisattvadhāraṇīsamādhyakṣayakoṣanidhānaśravaṇapratilābhena / avirahitā	boDisattva DAraNI samADya kzaya koza niDAna SravaNa pratilABena / avirahitA
   anantamadhyalokadhātujālapraveśāvatāranayaśraveṇa / avirahitā	ananta maDya loka DAtu jAla praveSa avatAra naya SraveNa / avirahitA
   anantamadhyasattvadhātusaṃbhavahetuśravaṇapratilābhena / avirahitā	ananta maDya sattva DAtu saMBava hetu SravaNa pratilABena / avirahitA
   sarvajagatkleśajālamaṇḍalaparyādānajñānālokena / avirahitā	sarva jagat kleSa jAla maNxala paryAdAna jQAna Alokena / avirahitA
   sarvasattvakuśalamūlasaṃbhavahetujñānapratilābhena / avirahitā	sarva sattva kuSala mUla saMBava hetu jQAna pratilABena / avirahitA
   sarvasattvayathāśayakāyasaṃdarśanena / avirahitā	sarva sattva yaTA ASaya kAya saMdarSanena / avirahitA
   sarvasattvājñāpanasvaramaṇḍalaviśuddhyā / etaṃ ca me kulaputra	sarva sattva AjQApana svara maNxala viSudDyA / etam ca me kula putra
   duryodhanajñānagarbhaṃ bodhisattvavimokṣasukham, etacca	duryoDana jQAna garBam boDisattva vimokza suKam, etat ca
   sarvadharmaparyeṣṭyaparikhedavyūhaṃ samādhimukhaṃ samāpannāyāḥ, etacca	sarva Darma paryezwya pariKeda vyUham samADi muKam samApannAyAH, etat ca
   dṛḍhasamādānabodhicaryāmukhaṃ pravicinvantyāḥ / etacca	dRXa samAdAna boDi caryA muKam pravicinvantyAH / etat ca
   sarvadharmasamatābhūmidhāraṇīmukham / etacca	sarva Darma samatA BUmi DAraNI muKam / etat ca
   sarvadharmatalodyotanapratibhāvajñānālokamukhaṃ vyavacārayantyā acintyāni	sarva Darma tala udyotana pratiBAva jQAna Aloka muKam vyavacArayantyAH acintyAni
   prātihāryāṇi bhavanti / icchasi tvaṃ kulaputra, pratyakṣo bhavitum? āha  	prAtihAryANi Bavanti / icCasi tvam kula putra, pratyakzaH Bavitum? Aha  
   icchāmyārye //	icCAmi Arye //
   (Gv 136)	(Gu 136)
   atha khalu acalopāsikā yathāniṣaṇṇaiva	aTa Kalu acala upAsikAH yaTA nizaNNA eva
   duryodhanajñānagarbhabodhisattvavimokṣamukhapūrvaṃgamāni	duryoDana jQAna garBa boDisattva vimokza muKa pUrvaMgamAni
   sarvadharmaparyeṣṭyaparikhedavyūhasamādhimukhapūrvaṃgamāni	sarva Darma paryezwya pariKeda vyUha samADi muKa pUrvaMgamAni
   amoghamaṇḍalavyūhasamādhimukhapūrvaṃgamāni	amoGa maNxala vyUha samADi muKa pUrvaMgamAni
   daśabalajñānamaṇḍalābhimukhasamādhimukhapūrvaṃgamāni	daSa bala jQAna maNxala aBimuKa samADi muKa pUrvaMgamAni
   buddhavaṃśākṣayakośasamādhivimokṣamukhapūrvaṃgamāni ca daśa	budDa vaMSa akzaya koSa samADi vimokza muKa pUrvaMgamAni ca daSa
   samādhimukhaśatasahasrāṇi vyavalokayati anuvicārayati anusarati	samADi muKa Sata sahasrANi vyavalokayati anuvicArayati anusarati
   nidhyapayati / samanantarasamāpannāyāṃ ca acalāyāmupāsikāyām, apaśyat	niDyapayati / samanantara samApannAyAm ca acalAyAm upAsikAyAm, apaSyat 
   sudhanaḥ śreiṣṭhidārako daśasu dikṣu	suDanaH SreizWi dArakaH daSasu dikzu
   daśabuddhakṣetrānabhilāpyaparamāṇurajaḥsamān lokadhātūn ṣaḍvikāraṃ	daSa budDa kzetra anaBilApya paramANu rajaH samAn lokaDAtUn zaz vikAram
   prakampamānān, pariśuddhavaiḍūryamayān saṃsthitān / ekaikasmiṃśca	prakampamAnAn, pariSudDa vExUrya mayAn saMsTitAn / ekEkasmin= ca
   lokadhātau koṭīśate cāturmahādvīpakānāṃ lokadhātūnāṃ koṭīśataṃ	lokaDAtO kowI Sate cAturmahAdvIpakAnAm lokaDAtUnAm kowI Satam
   tathāgatānāmapaśyat / kāṃścittuṣitavarabhavanagatān, kāṃścid	taTAgatAnAm apaSyat / kAMScid tuzita vara Bavana gatAn, kAMScid 
   yāvatparinirvāyamāṇānapaśyat yaduta	yAvat parinirvAyamANAn apaSyat yat uta
   anāvaraṇatvātpariśuddhavaiḍūryamayalokadhātūnām / ekaikaṃ ca tathāgataṃ	anAvaraNa tvAt pariSudDa vExUrya maya loka DAtUnAm / ekEkam ca taTAgatam
   sarvadharmadhātuspharaṇaraśmijālaprabhāmaṇḍalam, ekaikaṃ ca tathāgataṃ	sarva DarmaDAtu sParaNa raSmi jAla praBA maNxalam, ekEkam ca taTAgatam
   suvibhaktaparṣanmaṇḍalasamudramapaśyat / ekaisya ca tathāgatasya	suviBakta parzad maNxala samudram apaSyat / ekEsya ca taTAgatasya
   sarvadharmacakrodyotanaṃ sarvasattvaśrotravijñapanaṃ svaramaṇḍalamaśrauṣīt	sarva Darma cakra udyotanam sarva sattva Srotra vijQapanam svara maNxalam aSrOzIt 
   atha khalvacalopāsikā tataḥ samādhervyutthāya sudhanaṃ	aTa Kalu acala upAsikA tatas samADeH vyutTAya suDanam
   śreṣṭhidārakamevamāha   dṛṣṭaṃ te kulaputra, śrutaṃ vijñātam? āha  	SrezWi dArakam evam Aha  dRzwam te kula putra, Srutam vijQAtam? Aha  
   dṛṣṭamārye, śrutaṃ vijñātam / āha   evamahaṃ kulaputra, dṛḍhasamādānāyāṃ	dRzwam Arye, Srutam vijQAtam / Aha  evam aham kula putra, dRXa samAdAnAyAm
   bodhisattvacaryāyāmanuśikṣamāṇā	boDisattva caryAyAm anuSikzamANA
   sarvadharmaparyeṣṭyaparikhedavyūhasamādhisamāpannā	sarva Darma paryezwya pariKeda vyUha samADi samApannA
   duryodhanajñānagarbhabodhisattvavimokṣamukhapratiṣṭhitā	duryoDana jQAna garBa boDisattva vimokza muKa pratizWitA
   sarvadharmasamatābhūmidhāraṇyanugamena	sarva Darma samatA BU mi DA araNI anugamena
   sarvadharmatalodyotanapratibhānajñānālokakauśalyena sarvasattvān	sarva Darma tala udyotana pratiBAna jQAna Aloka kOSalyena sarva sattvAn
   subhāṣitena saṃtoṣayāmi / kiṃ mayā śakyamacintyāprameyaguṇasamanvāgatānāṃ	su BAzitena saMtozayAmi / kim mayA Sakyam acintya aprameya guNa samanvAgatAnAm
   bodhisattvānāṃ caryāṃ jñātuṃ guṇān vā vaktum? ye te dvijarṣabhā iva	boDisattvAnAm caryAm jQAtum guNAn vA vaktum? ye te dvijarzaBAH iva
   gaganatale 'niketacāriṇaḥ / ye te mahāgaruḍendrā iva	gagana tale aniketa cAriNaH / ye te mahA garuxa indrAH iva
   sattvasāgaramavagāhante paripakvabodhisattvoddharaṇatāyai / ye te vaṇija	sattva sAgaram avagAhante paripakva boDisattva udDaraNa tAyE / ye te vaNija
   iva sarvajñatāratnadvīpe 'nuvicaranti daśabalajñānaratnābhikāṅkṣiṇaḥ / ye	iva sarvajQa tA ratna dvIpe anuvicaranti daSa bala jQAna ratna aBikAFkziNaH / ye
   te balavatkaivartā iva saṃsārasāgare 'nuvicaranti	te balavat kEva rtAH iva saMsAra sAgare anuvicaranti
   ruciradharmacakramaṇḍalajālahastāḥ	rucira Darma cakra maNxala jAla hastAH
   tṛṣṇodbhavasattvaparipācanābhyuddharaṇatāyai / ye te 'surendrā iva	tRzNA udBava sattva paripAca na aByudDaraNa tAyE / ye te asura indrAH iva
   tribhuvanapuraṃ spharitvā vicaranti kleśāsurasaṃkṣobhodvṛttasaṃśamanatāyai	triBuvana puram sParitvA vicaranti kleSa asura saMkzoBa udvRtta saMSamana tAyE
   / ye te dinakaramaṇḍalamiva dharmadhātugaganatale samudāgacchanti	/ ye te dinakara maNxalam iva DarmaDAtu gagana tale samudAgacCanti
   sattvatṛṣṇāsalilakleśapaṅkocchoṣaṇatāyai / ye te pūrṇacandramaṇḍalamiva	sattva tRzNA salila kleSa paFka ucCozaNa tAyE / ye te pUrNa candra maNxalam iva
   jñānanabhasyudāgacchanti vineyamanaḥkumudavibodhanatāyai / ye te	jQAna naBasi udAgacCanti vineya manaH kumuda viboDana tAyE / ye te
   dharaṇitalamivānunayapratighonnāmāvanāmaviṣame samā loke saṃtiṣṭhante	DaraNi talam iva anunaya pratiGa unnAma avanAma vizame samAH loke saMtizWante
   sarvajagatkuśalendriyāṅkuraprarohaṇavivardhanatāyai / ye te māruta	sarva jagat kuSala indriya aFkura prarohaNa vivarDana tAyE / ye te mAruta
   ivāsaṅgasarvadigvicāriṇaḥ	iva AsaFga sarva diS vicAriNaH
   sarvasattvakleśadṛṣṭidrumalatāvanārāmonmūlanatāyai / ye te cakravartina	sarva sattva kleSa dRzwi druma latA vanArAma unmUla natAyE / ye te cakravartina
   iva loke vicaranti	iva loke vicaranti
   catuḥsaṃgrahavastupariṣkāropakaraṇasarvajagatsaṃgrahaṇatāyai / gaccha	catur saMgraha vastu parizkAra upakaraNa sarva jagat saMgrahaNa tAyE / gacCa
   kulaputra, ihaiva dakṣiṇāpathe 'mitatosale janapade tosalaṃ nāma nagaram /	kula putra, iha eva dakziNApaTe amita tosale janapade tosalam nAma nagaram /
   tatra sarvagāmī nāma parivrājakaḥ prativasati / tamupasaṃkramya paripṛccha	tatra sarva gAmI nAma parivrAjakaH prativasati / tam upasaMkramya paripRcCa
     kathaṃ bodhisattvena bodhisattvacaryāyāṃ śikṣitavyam, kathaṃ	 kaTam boDisattvena boDisattva caryAyAm Sikzitavyam, kaTam
   pratipattavyam //	pratipattavyam //
   atha khalu sughanaḥ śreṣṭhidārako 'calāyā upāsikāyāḥ pādau śirasābhivandya	aTa Kalu su GanaH SrezWi dArakaH acalAyAH upAsikAyAH pAdO SirasA aBivandya
   acalāmupāsikāmanekaśatasahasrakṛtvaḥ pradakṣiṇīkṛtya punaḥ punaravalokya	acalAm upAsikAm aneka Sata sahasra kRtvas pradakziNIkRtya punar punar avalokya
   acalāyā upāsikāyā antikātprakrāntaḥ // 20 //	acalAyAH upAsikAyAH antikAt prakrAntaH // 20 //
   (Gv 137)	(Gu 137)
   23 Sarvagāmī /	23 Sarva gAmI /
   atha khalu sudhanaḥ śreṣṭhidārako 'calāmupāsikāmāmukhīkṛtya acalāyā	aTa Kalu suDanaH SrezWi dArakaH acalAm upAsi kAm AmuKIkRtya acalAyAH 
   upāsikāyā anuśāsanīmanusmaran, yadacalayopāsikayā darśitaṃ śrāvitaṃ	upAsikAyAH anuSAsanIm anusmaran, yat acalayA upAsikayA darSitam SrAvitam
   deśitaṃ saṃvarṇitaṃ yojitaṃ vibhaktaṃ prabhāvitaṃ visṛtaṃ tatsaṃbhāvayan,	deSitam saMvarNitam yojitam viBaktam praBAvitam visRtam tat saMBAvayan,
   anusaran, anuvicintayan avataran bhāvayan nigamayan nidhyāyan avabhāsayan	anusaran, anuvicintayan avataran BAvayan nigamayan niDyAyan avaBAsayan
   samīkurvan anupūrveṇa deśena deśaṃ janapadena janapadamanucaṃkraman	samIkurvan anupUrveNa deSena deSam janapadena janapadam anucaMkraman
   anuvicaran yenāmitatosalo janapadastenopajagāma / upetya tosalaṃ nagaraṃ	anuvicaran yena amita tosalaH janapadaH tena upajagAma / upetya tosalam nagaram
   parimārgan parigaveṣamāṇo 'nupūrveṇa tosalaṃ nagaramanuprāptaḥ /	parimArgan parigavezamANaH anupUrveNa tosalam nagaram anuprAptaH /
   sūryāstaṃgamanakāle sa tosalaṃ nagaramanupraviśya madhye	sUrya astaMgamana kAle sa tosalam nagaram anupraviSya maDye
   nagaraśṛṅgāṭakasya sthitvā vīthīmukhena vīthīmukhaṃ catvareṇa catvaraṃ	nagara SRFgAwakasya sTitvA vITI muKena vITImuKam catvareNa catvaram
   rathyayā rathyāṃ sarvagāminaṃ parivrājakaṃ parigaveṣamāṇo vyavacārayan	raTyayA raTyAm sarva gAminam parivrAjakam parigavezamANaH vyavacArayan
   adrākṣīdrātryāṃ praśāntāyāṃ tosalasya nagarasyottare digbhāge sulabhaṃ	adrAkzIt rAtryAm praSAntAyAm tosalasya nagarasya uttare digBAge sulaBam
   nāma parvatam / tasya śikhare vividhatṛṇagulmauṣadhivanārāmaracite	nAma parvatam / tasya SiKare viviDa tRNa gulma ozaDi vana ArAma racite
   mahāvabhāsaprāptaṃ bhāskaramivoditam / tasya tamavabhāsaṃ dṛṣṭvā	mahA avaBAsa prAptam BAskaram iva uditam / tasya tam avaBAsam dRzwvA
   udāraprītivegasaṃjātasya etadabhavat   asaṃśayamahamatra parvataśikhare	udAra prIti vega saMjAtasya etat aBavat  asaMSayam aham atra parvata SiKare
   kalyāṇamitraṃ drakṣyāmīti / sa tasmānnagarādabhiniṣkramya yena sulabhaḥ	kalyANa mitram drakzyAmi iti / sa tasmAt nagarAt aBinizkramya yena sulaBaH
   parvataḥ, tenopetya sulabhaṃ parvatamabhiruhya yena tanmahāvabhāsaṃ	parvataH, tena upetya sulaBam parvatam aBiruhya yena tat mahA avaBAsam
   parvataśikharaṃ tenopasaṃkrāmannadrākṣīddūrata eva sarvagāminaṃ	parvata SiKaram tena upasaMkrAman= adrAkzIt dUratas eva sarva gAminam
   parivrājakaṃ mahābrahmātirekavarṇaṃ śriyā dedīpyamānaṃ	parivrAjakam mahA brahmA atireka varNam SriyA dedIpyamAnam
   daśabhirbrahmasahasraiḥ parivṛtaṃ caṃkrame caṃkramyamāṇam / sa tasya pādau	daSaBiH brahma sahasrEH parivRtam caMkrame caMkramyamANam / sa tasya pAdO
   śirasābhivandya tamanekaśatasahasrakṛtvaḥ pradakṣiṇīkṛtya purataḥ	SirasA aBivandya tam aneka Sata sahasra kRtvas pradakziNIkRtya puratas 
   prāñjaliḥ sthitvā evamāha   mayā ārya anuttarāyāṃ samyaksaṃbodhau	prAQjaliH sTitvA evam Aha  mayA Arya anuttarAyAm samyaksaMboDO
   cittamutpāditam / na ca jānāmi kathaṃ bodhisattvena bodhisattvacaryāyāṃ	cittam utpAditam / na ca jAnAmi kaTam boDisattvena boDisattva caryAyAm
   śikṣitavyam, kathaṃ pratipattavyam / śrutaṃ ca me āryo	Sikzitavyam, kaTam pratipattavyam / Srutam ca me AryaH 
   bodhisattvānāmavavādānuśāsanīṃ dadātīti / tadvadatu me āryaḥ   kathaṃ	boDisattvAnAm avavAda anuSAsanIm dadAti iti / tat vadatu me AryaH  kaTam
   bodhisattvena bodhisattvaryāyāṃ śikṣitavyam, kathaṃ pratipattavyam / āha  	boDisattvena boDisattvaryAyAm Sikzitavyam, kaTam pratipattavyam / Aha  
   sādhu sādhu kulaputra, yastvamanuttarāṃ samyaksaṃbodhimabhisaṃprasthitaḥ /	sADu sADu kula putra, yaH tvam anuttarAm samyaksaMboDim aBisaMprasTitaH /
   ahaṃ kulaputra sarvagāmī sarvatrānugatāyāṃ bodhisattvacaryāyāṃ sthitaḥ	aham kula putra sarva gAmI sarvatra anugatAyAm boDisattva caryAyAm sTitaH
   samantamukhavyavacāraṇālokena samādhimukhena abhāvapratiṣṭhitayā	samanta muKa vyavacAraNa Alokena samADi muKena aBAva pratizWitayA
   āryānabhisaṃskārikayā samantadharmadhātutalabhedena ca	Arya anaBisaMskArikayA samanta Darma DAtu tala Bedena ca
   prajñāpāramitājñānālokamukhena samanvāgataḥ / so 'haṃ kulaputra	prajQApAramitA jQAna Aloka muKena samanvAgataH / saH aham kula putra
   sarvasattvabhājanalokavyavacāreṣu sarvasattvagativyavacāreṣu	sarva sattva BAjana loka vyavacArezu sarva sattva gati vyavacArezu
   sarvasattvacyutimukheṣu sarvasattvopapattimukheṣu sarvabhavagatisaṃbhedeṣu	sarva sattva cyuti muKezu sarva sattva upapatti muKezu sarva Bava gati saMBedezu
   vividhopapattyāyatanavicitre lokasaṃniveśe	viviDa upapatti Ayatana vicitre loka saMniveSe
   vicitravarṇasaṃsthānārohapariṇāhānāṃ sattvānāṃ	vicitra varNa saMsTAna Aroha pariNAhAnAm sattvAnAm
   nānāvidhopapattisaṃyojanānāṃ nānāprayogāṇāṃ vicitrādhimuktānāṃ yaduta	nAnAviDa upapatti saMyojanAnAm nAnA prayogANAm vicitra aDimuktAnAm yat uta
   devagatiparyāpannānāṃ nāgagatiparyāpannānāṃ yakṣagatiparyāpannānāṃ	deva gati paryApannAnAm nAga gati paryApannAnAm yakza gati paryApannAnAm
   gandharvagatiparyāpannānāmasuragatiparyāpannānāṃ garuḍagatiparyāpannānāṃ	ganDarva gati paryApannAnAm asura gati paryApannAnAm garuxa gati paryApannAnAm
   kinnaragatiparyāpannānāṃ mahoragagatiparyāpannānāṃ narakagatiparyāpannānāṃ	kinnara gati paryApannAnAm mahA uraga gati paryApannAnAm naraka gati paryApannAnAm
   tiryagyonigatiparyāpannānāṃ yamalokagatiparyāpannānāṃ	tiryagyoni gati paryApannAnAm yama loka gati paryApannAnAm
   manuṣyagatiparyāpannānāmanuṣyagatiparyāpannānāṃ vividhadṛṣṭigatiniśritānāṃ	manuzya gati paryApannAnAmanuzya gati paryApannAnAm viviDa dRzwi gati niSritAnAm
