   BhP_07.01.001/0 śrīrājovāca	BhP_07.01.001/0 SrI-rAjA-uvAca
   BhP_07.04.031/2 ātmavat sarvabhūtānāmekapriyasuhṛttamaḥ	Bhu-_07.04.031/2 Atma-vat sarva-BUtAnAm-eka-priya-suhRttamaH
   BhP_07.04.032/1 dāsavat sannatāryāṅghriḥ pitṛvaddīnavatsalaḥ	Bhu-_07.04.032/1 dAsa-vat sanna-tArya-aFGriH pitR-vat-dIna-vatsalaH
   BhP_07.04.032/2 bhrātṛvat sadṛśe snigdho guruṣvīśvarabhāvanaḥ	Bhu-_07.04.032/2 BrAtR-vat sadRSe snigDaH guruzu-ISvaraBAvanaH
   BhP_07.04.032/3 vidyārtharūpajanmāḍhyo mānastambhavivarjitaḥ	Bhu-_07.04.032/3 vidyA-arTa-rUpa-janma-AXyaH mAna-stamBa-vivarjitaH
   BhP_07.04.033/1 nodvignacitto vyasaneṣu niḥspṛhaḥ śruteṣu dṛṣṭeṣu	Bhu-_07.04.033/1 na-udvigna-cittaH vyasanezu niHspRhaH Srutezu dRzwezu
   guṇeṣvavastudṛk	guNezu-avastu-dRS-
   BhP_07.04.033/2 dāntendriyaprāṇaśarīradhīḥ sadā praśāntakāmo rahitāsuro	Bhu-_07.04.033/2 dAnta-indriya-prANa-SarIra-DIH sadA praSAnta-kAmaH rahita-asuraH-
   'suraḥ	asuraH
   BhP_07.04.034/1 yasmin mahadguṇā rājan gṛhyante kavibhirmuhuḥ	Bhu-_07.04.034/1 yasmin mahat-guNAH rAjan gRhyante kaviBiH-muhur-
   BhP_07.04.034/2 na te 'dhunā pidhīyante yathā bhagavatīśvare	Bhu-_07.04.034/2 na te aDunA piDIyante yaTA BagavatI-ISvare
   BhP_07.04.035/1 yaṃ sādhugāthāsadasi ripavo 'pi surā nṛpa	Bhu-_07.04.035/1 yam sADu-gATa-asadasi ripavaH api surAH nRpa
   BhP_07.04.035/2 pratimānaṃ prakurvanti kimutānye bhavādṛśāḥ	Bhu-_07.04.035/2 pratimAnam prakurvanti kim-uta-anye BavAdRSAH
   BhP_07.04.036/1 guṇairalamasaṅkhyeyairmāhātmyaṃ tasya sūcyate	Bhu-_07.04.036/1 guNEH-alam-asaFKyeyEH-mAhAtmyam tasya sUcyate
   BhP_07.04.036/2 vāsudeve bhagavati yasya naisargikī ratiḥ	Bhu-_07.04.036/2 vAsudeve Bagavati yasya nEsargikI ratiH
   BhP_07.04.037/1 nyastakrīḍanako bālo jaḍavat tanmanastayā	Bhu-_07.04.037/1 nyasta-krIxanakaH bAlaH jaxa-vat tad-manaH-tayA
   BhP_07.04.037/2 kṛṣṇagrahagṛhītātmā na veda jagadīdṛśam	Bhu-_07.04.037/2 kRzNa-graha-gRhIta-AtmA na veda jagat-IdRSam
   BhP_07.04.038/1 āsīnaḥ paryaṭannaśnan śayānaḥ prapiban bruvan	Bhu-_07.04.038/1 AsInaH paryawan=-aSnan SayAnaH prapiban bruvan
   BhP_07.04.038/2 nānusandhatta etāni govindaparirambhitaḥ	Bhu-_07.04.038/2 na-anusanDattaH etAni govinda-pariramBitaH
   BhP_07.04.039/1 kvacidrudati vaikuṇṭha cintāśabalacetanaḥ	BhP_07.04.039/1 kvacid-rudati vEkuNWa cintA-Sabala-cetanaH
   BhP_07.04.039/2 kvaciddhasati taccintā hlāda udgāyati kvacit	Bhu-_07.04.039/2 kvacid-hasati tad-cintA hlAdaH udgAyati kvacid-
   BhP_07.04.040/1 nadati kvacidutkaṇṭho vilajjo nṛtyati kvacit	Bhu-_07.04.040/1 nadati kvacid-utkaNWaH vilajjaH nRtyati kvacid-
   BhP_07.04.040/2 kvacit tadbhāvanāyuktastanmayo 'nucakāra ha	Bhu-_07.04.040/2 kvacid tad-BAvanA-yuktaH-tad-mayaH anucakAra ha
   BhP_07.04.041/1 kvacidutpulakastūṣṇīmāste saṃsparśanirvṛtaḥ	BhP_07.04.041/1 kvacid-utpulakaH-tUzNIm-Aste saMsparSa-nirvRtaH
   BhP_07.04.041/2 aspandapraṇayānanda salilāmīlitekṣaṇaḥ	Bhu-_07.04.041/2 aspanda-praNaya-Ananda salila-AmIlita-IkzaNaH
   BhP_07.04.042/1 sa uttamaślokapadāravindayor niṣevayākiñcanasaṅgalabdhayā	Bhu-_07.04.042/1 saH uttamaSloka-pada-aravindayoH nizevayA-kiQcana-saFga-labDayA
   BhP_07.04.042/2 tanvan parāṃ nirvṛtimātmano muhur duḥsaṅgadīnasya manaḥ	Bhu-_07.04.042/2 tanvan parAm nirvRtim-AtmanaH muhur duHsaFga-dInasya manaH
   śamaṃ vyadhāt	Samam vyaDAt-
   BhP_07.04.043/1 tasmin mahābhāgavate mahābhāge mahātmani	Bhu-_07.04.043/1 tasmin mahA-BAgavate mahABAge mahAtmani
   BhP_07.04.043/2 hiraṇyakaśipū rājannakarodaghamātmaje	Bhu-_07.04.043/2 hiraNyakaSipuH rAjan=-akarot-aGam-Atmaje
   BhP_07.05.044/0 śrīyudhiṣṭhira uvāca	BhP_07.05.044/0 SrIyuDizWiraH uvAca
   BhP_07.04.044/1 devarṣa etadicchāmo vedituṃ tava suvrata	Bhu-_07.04.044/1 devarzaH etat-icCAmaH veditum tava suvrata
   BhP_07.04.044/2 yadātmajāya śuddhāya pitādāt sādhave hyagham	Bhu-_07.04.044/2 yadAtmajAya SudDAya pitA-adAt sADave hi-aGam
   BhP_07.04.045/1 putrān vipratikūlān svān pitaraḥ putravatsalāḥ	Bhu-_07.04.045/1 putrAn vipratikUlAn svAn pitaraH putra-vatsalAH
   BhP_07.04.045/2 upālabhante śikṣārthaṃ naivāghamaparo yathā	Bhu-_07.04.045/2 upAlaBante SikzA-arTam na-eva-aGam-aparaH yaTA
   BhP_07.04.046/1 kimutānuvaśān sādhūṃstādṛśān gurudevatān	Bhu-_07.04.046/1 kim-uta-anuvaSAn sADUn=-tAdRSAn guru-devatAn
   BhP_07.04.046/2 etat kautūhalaṃ brahmannasmākaṃ vidhama prabho	Bhu-_07.04.046/2 etat kOtUhalam brahman=-asmAkam viDama praBo
   BhP_07.04.046/3 pituḥ putrāya yaddveṣo maraṇāya prayojitaḥ	Bhu-_07.04.046/3 pituH putrAya yat-dvezaH maraNAya prayojitaH
   BhP_07.05.001/0 śrīnārada uvāca	BhP_07.05.001/0 SrI-nAradaH uvAca
   BhP_07.05.001/1 paurohityāya bhagavān vṛtaḥ kāvyaḥ kilāsuraiḥ	Bhu-_07.05.001/1 pOrohityAya BagavAn vRtaH kAvyaH kila-asurEH
   BhP_07.05.001/2 ṣaṇḍāmarkau sutau tasya daityarājagṛhāntike	Bhu-_07.05.001/2 zaNxAm-arkO sutO tasya dEtya-rAja-gRha-antike
   BhP_07.05.002/1 tau rājñā prāpitaṃ bālaṃ prahlādaṃ nayakovidam	Bhu-_07.05.002/1 tO rAjQA prApitam bAlam prahlAdam naya-kovidam
   BhP_07.05.002/2 pāṭhayāmāsatuḥ pāṭhyān anyāṃścāsurabālakān	Bhu-_07.05.002/2 pAWayAmAsatuH pAWyAn anyAn=-ca-asura-bAlakAn
   BhP_07.05.003/1 yat tatra guruṇā proktaṃ śuśruve 'nupapāṭha ca	Bhu-_07.05.003/1 yat tatra guruNA proktam SuSruve anupapAWa ca
   BhP_07.05.003/2 na sādhu manasā mene svaparāsadgrahāśrayam	Bhu-_07.05.003/2 na sADu manasA mene sva-parAsat-graha-ASrayam
   BhP_07.05.004/1 ekadāsurarāṭ putramaṅkamāropya pāṇḍava	Bhu-_07.05.004/1 ekadA-asura-rAj putram-aFkam-Aropya pANxava
   BhP_07.05.004/2 papraccha kathyatāṃ vatsa manyate sādhu yadbhavān	Bhu-_07.05.004/2 papracCa kaTyatAm vatsa manyate sADu yat-BavAn
   BhP_07.05.005/0 śrīprahlāda uvāca	BhP_07.05.005/0 SrI-prahlAdaH uvAca
   BhP_07.05.005/1 tat sādhu manye 'suravarya dehināṃ sadā	Bhu-_07.05.005/1 tat sADu manye asura-varya dehinAm sadA
   samudvignadhiyāmasadgrahāt	samudvigna-DiyAm-asat-grahAt
   BhP_07.05.005/2 hitvātmapātaṃ gṛhamandhakūpaṃ vanaṃ gato yaddharimāśrayeta	Bhu-_07.05.005/2 hitvA-Atma-pAtam gRham-anDakUpam vanam gataH yat-harima-ASrayeta
   BhP_07.05.006/0 śrīnārada uvāca	BhP_07.05.006/0 SrI-nAradaH uvAca
   BhP_07.05.006/1 śrutvā putragiro daityaḥ parapakṣasamāhitāḥ	Bhu-_07.05.006/1 SrutvA putra-giraH dEtyaH para-pakza-samAhitAH
   BhP_07.05.006/2 jahāsa buddhirbālānāṃ bhidyate parabuddhibhiḥ	Bhu-_07.05.006/2 jahAsa budDiH-bAlAnAm Bidyate para-budDiBiH
   BhP_07.05.007/1 samyag vidhāryatāṃ bālo gurugehe dvijātibhiḥ	Bhu-_07.05.007/1 samyak viDAryatAm bAlaH guru-gehe dvijAtiBiH
   BhP_07.05.007/2 viṣṇupakṣaiḥ praticchannairna bhidyetāsya dhīryathā	Bhu-_07.05.007/2 vizNu-pakzEH praticCannEH-na Bidyeta-asya DIH-yaTA
   BhP_07.05.008/1 gṛhamānītamāhūya prahrādaṃ daityayājakāḥ	Bhu-_07.05.008/1 gRham-AnItam-AhUya prahrAdam dEtya-yAjakAH
   BhP_07.05.008/2 praśasya ślakṣṇayā vācā samapṛcchanta sāmabhiḥ	Bhu-_07.05.008/2 praSasya SlakzNayA vAcA samapRcCanta sAmaBiH
   BhP_07.05.009/1 vatsa prahrāda bhadraṃ te satyaṃ kathaya mā mṛṣā	Bhu-_07.05.009/1 vatsa prahrAda Badram te satyam kaTaya mA mRzA
   BhP_07.05.009/2 bālān ati kutastubhyameṣa buddhiviparyayaḥ	Bhu-_07.05.009/2 bAlAn ati kutas-tuByam-eza budDi-viparyayaH
   BhP_07.05.010/1 buddhibhedaḥ parakṛta utāho te svato 'bhavat	Bhu-_07.05.010/1 budDi-BedaH para-kRtaH uta-aho te svatas aBavat-
   BhP_07.05.010/2 bhaṇyatāṃ śrotukāmānāṃ gurūṇāṃ kulanandana	Bhu-_07.05.010/2 BaNya-tAm Srotu-kAmAnAm gurUNAm kula-nandana
   BhP_07.05.011/0 śrīprahrāda uvāca	Bhu-_07.05.011/0 SrI-prahrAdaH uvAca
   BhP_07.05.011/1 paraḥ svaścetyasadgrāhaḥ puṃsāṃ yanmāyayā kṛtaḥ	Bhu-_07.05.011/1 paraH svaH-ca-iti-asat-grAhaH puMsAm yat-mAyayA kRtaH
   BhP_07.05.011/2 vimohitadhiyāṃ dṛṣṭastasmai bhagavate namaḥ	Bhu-_07.05.011/2 vimohita-DiyAm dRzwaH-tasmE Bagavate namaH
   BhP_07.05.012/1 sa yadānuvrataḥ puṃsāṃ paśubuddhirvibhidyate	Bhu-_07.05.012/1 sa yadA-anuvrataH puMsAm paSu-budDiH-viBidyate
   BhP_07.05.012/2 anya eṣa tathānyo 'hamiti bhedagatāsatī	Bhu-_07.05.012/2 anyaH eza taTA-anyaH aham-iti Beda-gata-asatI
   BhP_07.05.013/1 sa eṣa ātmā svaparetyabuddhibhir duratyayānukramaṇo	Bhu-_07.05.013/1 saH ezaH AtmA sva-para-iti-abudDiBiH duratyaya-anukramaNaH-
   nirūpyate	nirUpyate
   BhP_07.05.013/2 muhyanti yadvartmani vedavādino brahmādayo hyeṣa bhinatti	Bhu-_07.05.013/2 muhyanti yat-vartmani veda-vAdinaH brahma-AdayaH hi-eza Binatti
   me matim	me matim
   BhP_07.05.014/1 yathā bhrāmyatyayo brahman svayamākarṣasannidhau	Bhu-_07.05.014/1 yaTA BrAmyati-ayaH brahman svayam-Akarza-sanniDO
   BhP_07.05.014/2 tathā me bhidyate cetaścakrapāṇeryadṛcchayā	Bhu-_07.05.014/2 taTA me Bidyate cetaH-cakrapANeH-yadRcCayA
   BhP_07.05.015/0 śrīnārada uvāca	BhP_07.05.015/0 SrI-nAradaH uvAca
   BhP_07.05.015/1 etāvadbrāhmaṇāyoktvā virarāma mahāmatiḥ	Bhu-_07.05.015/1 etAvat-brAhmaNAya-uktvA virarAma mahAmatiH
   BhP_07.05.015/2 taṃ sannibhartsya kupitaḥ sudīno rājasevakaḥ	Bhu-_07.05.015/2 tam sanniBartsya kupitaH su-dInaH rAja-sevakaH
   BhP_07.05.016/1 ānīyatāmare vetramasmākamayaśaskaraḥ	Bhu-_07.05.016/1 AnIyatAm-are vetram-asmAkam-ayaSaskaraH
   BhP_07.05.016/2 kulāṅgārasya durbuddheścaturtho 'syodito damaḥ	Bhu-_07.05.016/2 kula-aFgArasya durbudDeH-caturTaH asya-uditaH damaH
   BhP_07.05.017/1 daiteyacandanavane jāto 'yaṃ kaṇṭakadrumaḥ	Bhu-_07.05.017/1 dEteya-candana-vane jAtaH ayam kaNwakadrumaH
   BhP_07.05.017/2 yanmūlonmūlaparaśorviṣṇornālāyito 'rbhakaḥ	Bhu-_07.05.017/2 yad-mUla-unmUla-paraSoH-vizNoH-nAlAyitaH arBakaH
   BhP_07.05.018/1 iti taṃ vividhopāyairbhīṣayaṃstarjanādibhiḥ	BhP_07.05.018/1 iti tam viviDa-upAyEH-BIzayan=-tarjana-AdiBiH
   BhP_07.05.018/2 prahrādaṃ grāhayāmāsa trivargasyopapādanam	Bhu-_07.05.018/2 prahrAdam grAhayAmAsa trivargasya-upapAdanam
   BhP_07.05.019/1 tata enaṃ gururjñātvā jñātajñeyacatuṣṭayam	Bhu-_07.05.019/1 tatas enam guruH-jQAtvA jQAta-jQeya-catuzwayam
   BhP_07.05.019/2 daityendraṃ darśayāmāsa mātṛmṛṣṭamalaṅkṛtam	Bhu-_07.05.019/2 dEtya-indram darSayAmAsa mAtR-mRzwam-alaFkRtam
   BhP_07.05.020/1 pādayoḥ patitaṃ bālaṃ pratinandyāśiṣāsuraḥ	Bhu-_07.05.020/1 pAdayoH patitam bAlam pratinandya-ASiza-asuraH
   BhP_07.05.020/2 pariṣvajya ciraṃ dorbhyāṃ paramāmāpa nirvṛtim	Bhu-_07.05.020/2 parizvajya ciram dorByAm paramAm-Apa nirvRtim
   BhP_07.05.021/1 āropyāṅkamavaghrāya mūrdhanyaśrukalāmbubhiḥ	Bhu-_07.05.021/1 Aropya-aFkam-avaGrAya mUrDani-aSru-kala-ambuBiH
   BhP_07.05.021/2 āsiñcan vikasadvaktramidamāha yudhiṣṭhira	Bhu-_07.05.021/2 AsiQcan vikasat-vaktram-idam-Aha yuDizWira
   BhP_07.05.022/0 hiraṇyakaśipuruvāca	BhP_07.05.022/0 hiraNyakaSipuH-uvAca
   BhP_07.05.022/1 prahrādānūcyatāṃ tāta svadhītaṃ kiñciduttamam	Bhu-_07.05.022/1 prahrAdAn-UcyatAm tAta su-aDItam kiQcid-uttamam
   BhP_07.05.022/2 kālenaitāvatāyuṣman yadaśikṣadgurorbhavān	Bhu-_07.05.022/2 kAlena-etAvatA-Ayuzman yat-aSikzat-guroH-BavAn
   BhP_07.05.023/0 śrīprahrāda uvāca	Bhu-_07.05.023/0 SrI-prahrAdaH uvAca
   BhP_07.05.023/1 śravaṇaṃ kīrtanaṃ viṣṇoḥ smaraṇaṃ pādasevanam	Bhu-_07.05.023/1 SravaNam kIrtanam vizNoH smaraNam pAda-sevanam
   BhP_07.05.023/2 arcanaṃ vandanaṃ dāsyaṃ sakhyamātmanivedanam	Bhu-_07.05.023/2 arcanam vandanam dAsyam saKyam-Atma-nivedanam
   BhP_07.05.024/1 iti puṃsārpitā viṣṇau bhaktiścen navalakṣaṇā	BhP_07.05.024/1 iti puMsA-arpitA vizNO BaktiH-ced nava-lakzaNA
   BhP_07.05.024/2 kriyeta bhagavatyaddhā tan manye 'dhītamuttamam	Bhu-_07.05.024/2 kriyeta BagavatyadDA tat manye aDItam-uttamam
   BhP_07.05.025/1 niśamyaitat sutavaco hiraṇyakaśipustadā	Bhu-_07.05.025/1 niSamya-etat suta-vacaH hiraNyakaSipuH-tadA
   BhP_07.05.025/2 guruputramuvācedaṃ ruṣā prasphuritādharaḥ	Bhu-_07.05.025/2 guru-putram-uvAca-idam ruzA prasPurita-aDaraH
   BhP_07.05.026/1 brahmabandho kimetat te vipakṣaṃ śrayatāsatā	Bhu-_07.05.026/1 brahmabanDo kim-etat te vipakzam Srayata-asatA
   BhP_07.05.026/2 asāraṃ grāhito bālo māmanādṛtya durmate	Bhu-_07.05.026/2 asAram grAhitaH bAlaH mAm-anAdRtya durmate
   BhP_07.05.027/1 santi hyasādhavo loke durmaitrāśchadmaveṣiṇaḥ	Bhu-_07.05.027/1 santi hi-asADavaH loke durmEtrAH-CadmaveziNaH
   BhP_07.05.027/2 teṣāmudetyaghaṃ kāle rogaḥ pātakināmiva	Bhu-_07.05.027/2 tezAm-udeti-aGam kAle rogaH pAtakinAm-iva
   BhP_07.05.028/0 śrīguruputra uvāca	BhP_07.05.028/0 SrI-guru-putraH uvAca
   BhP_07.05.028/1 na matpraṇītaṃ na parapraṇītaṃ suto vadatyeṣa	Bhu-_07.05.028/1 na mad-praNItam na para-praNItam sutaH vadati-eza
   tavendraśatro	tava-indra-Satra-u
   BhP_07.05.028/2 naisargikīyaṃ matirasya rājan niyaccha manyuṃ kadadāḥ sma	Bhu-_07.05.028/2 nEsargikI-iyam matiH-asya rAjan niyacCa manyum kadadAH sma
   mā naḥ	mA naH
   BhP_07.05.029/0 śrīnārada uvāca	BhP_07.05.029/0 SrI-nAradaH uvAca
   BhP_07.05.029/1 guruṇaivaṃ pratiprokto bhūya āhāsuraḥ sutam	Bhu-_07.05.029/1 guruNA-evam pratiproktaH BUyas Aha-asuraH sutam
   BhP_07.05.029/2 na cedgurumukhīyaṃ te kuto 'bhadrāsatī matiḥ	Bhu-_07.05.029/2 na ced-guru-muKI-iyam te kutas aBat-rAsatI matiH
   BhP_07.05.030/0 śrīprahrāda uvāca	Bhu-_07.05.030/0 SrI-prahrAdaH uvAca
   BhP_07.05.030/1 matirna kṛṣṇe parataḥ svato vā mitho 'bhipadyeta	Bhu-_07.05.030/1 matiH-na kRzNe paratas svatas vA miTas aBipadyeta
   gṛhavratānām	gRha-vratAnAm
   BhP_07.05.030/2 adāntagobhirviśatāṃ tamisraṃ punaḥ punaścarvitacarvaṇānām	Bhu-_07.05.030/2 adAnta-goBiH-viSatAm tamisram punar punar-carvita-carvaNAnAm
   BhP_07.05.031/1 na te viduḥ svārthagatiṃ hi viṣṇuṃ durāśayā ye	Bhu-_07.05.031/1 na te viduH sva-arTa-gatim hi vizNum durASayA ye
   bahirarthamāninaḥ	bahis-arTa-mAninaH
   BhP_07.05.031/2 andhā yathāndhairupanīyamānās te 'pīśatantryāmurudāmni	Bhu-_07.05.031/2 anDAH yaTA-anDEH-upanIyamAnAH te api-ISatantrya-amuru-dAmni
   baddhāḥ	badDAH
   BhP_07.05.032/1 naiṣāṃ matistāvadurukramāṅghriṃ spṛśatyanarthāpagamo	Bhu-_07.05.032/1 na-ezAm matiH-tAvat-urukrama-aFGrim spRSati-anarTa-apagamaH-
   yadarthaḥ	yad-arTaH
   BhP_07.05.032/2 mahīyasāṃ pādarajo 'bhiṣekaṃ niṣkiñcanānāṃ na vṛṇīta yāvat	Bhu-_07.05.032/2 mahIyasAm pAda-rajaH aBizekam nizkiQcanAnAm na vRNIta yAvat-
   BhP_07.05.033/1 ityuktvoparataṃ putraṃ hiraṇyakaśipū ruṣā	Bhu-_07.05.033/1 iti-uktvA-uparatam putram hiraNyakaSipuH ruzA
   BhP_07.05.033/2 andhīkṛtātmā svotsaṅgān nirasyata mahītale	Bhu-_07.05.033/2 anDIkRta-AtmA sva-utsaFgAt nirasyata mahI-tale
   BhP_07.05.034/1 āhāmarṣaruṣāviṣṭaḥ kaṣāyībhūtalocanaḥ	Bhu-_07.05.034/1 Aha-amarza-ruzA-AvizwaH kazAyIBUta-locanaH
   BhP_07.05.034/2 vadhyatāmāśvayaṃ vadhyo niḥsārayata nairṛtāḥ	Bhu-_07.05.034/2 vaDyatAm-ASvayam vaDyaH niHsArayata nErRtAH
   BhP_07.05.035/1 ayaṃ me bhrātṛhā so 'yaṃ hitvā svān suhṛdo 'dhamaḥ	Bhu-_07.05.035/1 ayam me BrAtR-hA saH ayam hitvA svAn suhRdaH aDamaH
   BhP_07.05.035/2 pitṛvyahantuḥ pādau yo viṣṇordāsavadarcati	Bhu-_07.05.035/2 pitRvyahantuH pAdO yaH vizNoH-dAsa-vat-arcati
   BhP_07.05.036/1 viṣṇorvā sādhvasau kiṃ nu kariṣyatyasamañjasaḥ	Bhu-_07.05.036/1 vizNoH-vA sADu-asO kim nu karizyati-asamaQjasaH
   BhP_07.05.036/2 sauhṛdaṃ dustyajaṃ pitrorahādyaḥ pañcahāyanaḥ	Bhu-_07.05.036/2 sOhRdam dustyajam pitroraha-AdyaH paQca-hAyanaH
   BhP_07.05.037/1 paro 'pyapatyaṃ hitakṛdyathauṣadhaṃ svadehajo 'pyāmayavat	Bhu-_07.05.037/1 paraH api-apatyam hita-kRt-yaTOzaDam sva-deha-jaH api-Amaya-vat-
   suto 'hitaḥ	sutaH ahitaH
   BhP_07.05.037/2 chindyāt tadaṅgaṃ yadutātmano 'hitaṃ śeṣaṃ sukhaṃ jīvati	Bhu-_07.05.037/2 CindyAt tad-aFgam yat-uta-AtmanaH ahitam Sezam suKam jIvati
   yadvivarjanāt	yad-vivarjanAt
   BhP_07.05.038/1 sarvairupāyairhantavyaḥ sambhojaśayanāsanaiḥ	Bhu-_07.05.038/1 sarvEH-upAyEH-hantavyaH samBoja-Sayana-AsanEH
   BhP_07.05.038/2 suhṛlliṅgadharaḥ śatrurmunerduṣṭamivendriyam	Bhu-_07.05.038/2 suhRd-liFga-DaraH SatruH-muneH-duzwam-iva-indriyam
   BhP_07.05.039/1 nairṛtāste samādiṣṭā bhartrā vai śūlapāṇayaḥ	Bhu-_07.05.039/1 nErRtAH-te samAdizwAH BartrA vE SUlapANayaH
   BhP_07.05.039/2 tigmadaṃṣṭrakarālāsyāstāmraśmaśruśiroruhāḥ	Bhu-_07.05.039/2 tigma-daMzwra-karAla-AsyAH-tAmra-SmaSru-SiroruhAH
   BhP_07.05.040/1 nadanto bhairavaṃ nādaṃ chindhi bhindhīti vādinaḥ	Bhu-_07.05.040/1 nadantaH BEravam nAdam CinDi BinDi-iti vAdinaH
   BhP_07.05.040/2 āsīnaṃ cāhanan śūlaiḥ prahrādaṃ sarvamarmasu	Bhu-_07.05.040/2 AsInam ca-ahanan SUlEH prahrAdam sarva-marmasu
   BhP_07.05.041/1 pare brahmaṇyanirdeśye bhagavatyakhilātmani	Bhu-_07.05.041/1 pare brahmaNi-anirdeSye Bagavati-aKilAtmani
   BhP_07.05.041/2 yuktātmanyaphalā āsannapuṇyasyeva satkriyāḥ	Bhu-_07.05.041/2 yukta-Atmani-aPalAH Asanna-puNyasya-iva satkriyAH
   BhP_07.05.042/1 prayāse 'pahate tasmin daityendraḥ pariśaṅkitaḥ	Bhu-_07.05.042/1 prayAse apahate tasmin dEtya-indraH pariSaFkitaH
   BhP_07.05.042/2 cakāra tadvadhopāyān nirbandhena yudhiṣṭhira	Bhu-_07.05.042/2 cakAra tad-vaDa-upAyAt nirbanDena yuDizWira
   BhP_07.05.043/1 diggajairdandaśūkendrairabhicārāvapātanaiḥ	Bhu-_07.05.043/1 diggajEH-dandaSUka-indrEH-aBicAra-avapAtanEH
   BhP_07.05.043/2 māyābhiḥ sannirodhaiśca garadānairabhojanaiḥ	Bhu-_07.05.043/2 mAyABiH sanniroDEH-ca gara-dAnEH-aBojanEH
   BhP_07.05.044/1 himavāyvagnisalilaiḥ parvatākramaṇairapi	Bhu-_07.05.044/1 himavAyu-agni-salilEH parvata-AkramaNEH-api
   BhP_07.05.044/2 na śaśāka yadā hantumapāpamasuraḥ sutam	Bhu-_07.05.044/2 na SaSAka yadA hantum-apApam-asuraH sutam
   BhP_07.05.044/3 cintāṃ dīrghatamāṃ prāptastatkartuṃ nābhyapadyata	Bhu-_07.05.044/3 cintAm dIrGatamAm prAptaH-tat-kartum na-aByapadyata
   BhP_07.05.045/1 eṣa me bahvasādhūkto vadhopāyāśca nirmitāḥ	Bhu-_07.05.045/1 eza me bahu-asADu-uktaH vaDa-upAyAH-ca nirmitAH
   BhP_07.05.045/2 taistairdrohairasaddharmairmuktaḥ svenaiva tejasā	Bhu-_07.05.045/2 tEH-tEH-drohEH-asat-DarmEH-muktaH svena-eva tejasA
   BhP_07.05.046/1 vartamāno 'vidūre vai bālo 'pyajaḍadhīrayam	Bhu-_07.05.046/1 vartamAnaH avidUre vE bAlaH api-ajaxa-DIrayam
   BhP_07.05.046/2 na vismarati me 'nāryaṃ śunaḥ śepa iva prabhuḥ	Bhu-_07.05.046/2 na vismarati me anAryam SunaH SepaH iva praBuH
   BhP_07.05.047/1 aprameyānubhāvo 'yamakutaścidbhayo 'maraḥ	Bhu-_07.05.047/1 aprameya-anuBAvaH ayam-akutaScidBayaH amaraH
   BhP_07.05.047/2 nūnametadvirodhena mṛtyurme bhavitā na vā	Bhu-_07.05.047/2 nUnam-etat-viroDena mRtyuH-me BavitA na vA
   BhP_07.05.048/1 iti taccintayā kiñcin mlānaśriyamadhomukham	BhP_07.05.048/1 iti tad-cintayA kiQcid mlAna-Sriyam-aDomuKam
   BhP_07.05.048/2 śaṇḍāmarkāvauśanasau vivikta iti hocatuḥ	Bha-a_07.05.048/2 SaNxAmarkO=-OSanasO vivikte iti ha-UcatuH
   BhP_07.05.049/1 jitaṃ tvayaikena jagattrayaṃ bhruvor	Bhu-_07.05.049/1 jitam tvayA-ekena jagattrayam BruvoH-
   vijṛmbhaṇatrastasamastadhiṣṇyapam	vijRmBaNa-trasta-samasta-DizNyapam
   BhP_07.05.049/2 na tasya cintyaṃ tava nātha cakṣvahe na vai śiśūnāṃ	Bhu-_07.05.049/2 na tasya cintyam tava nATa cakzvahe na vE SiSUnAm
   guṇadoṣayoḥ padam	guNa-dozayoH padam
   BhP_07.05.050/1 imaṃ tu pāśairvaruṇasya baddhvā nidhehi bhīto na palāyate	Bhu-_07.05.050/1 imam tu pASEH-varuNasya badDvA niDehi BItaH na palAyate
   yathā	yaTA
   BhP_07.05.050/2 buddhiśca puṃso vayasāryasevayā yāvadgururbhārgava	Bha-a_07.05.050/2 budDiH-ca puMsaH vayasA-Arya-sevayA yAvat-guruH-BArgava
   āgamiṣyati	Agamizyati
   BhP_07.05.051/1 tatheti guruputroktamanujñāyedamabravīt	Bhu-_07.05.051/1 taTA-iti guru-putra-uktam-anujQAya-idam-abravIt-
   BhP_07.05.051/2 dharmo hyasyopadeṣṭavyo rājñāṃ yo gṛhamedhinām	Bhu-_07.05.051/2 DarmaH hi-asya-upadezwavyaH rAjQAm yaH gRhameDinAm
   BhP_07.05.052/1 dharmamarthaṃ ca kāmaṃ ca nitarāṃ cānupūrvaśaḥ	Bhu-_07.05.052/1 Darmam-arTam ca kAmam ca nitarAm ca-anupUrvaSas-
   BhP_07.05.052/2 prahrādāyocatū rājan praśritāvanatāya ca	BhP_07.05.052/2 prahrAdAya-ucatuH rAjan praSrita-avanatAya ca
   BhP_07.05.053/1 yathā trivargaṃ gurubhirātmane upaśikṣitam	Bhu-_07.05.053/1 yaTA trivargam guruBiH-Atmane upaSikzitam
   BhP_07.05.053/2 na sādhu mene tacchikṣāṃ dvandvārāmopavarṇitām	Bhu-_07.05.053/2 na sADu mene tat-SikzAm dvandva-ArAma-upavarNitAm
   BhP_07.05.054/1 yadācāryaḥ parāvṛtto gṛhamedhīyakarmasu	Bhu-_07.05.054/1 yat-AcAryaH parAvRttaH gRhameDIya-karmasu
