   śrī kṛṣṇa sandarbha	SrI kRzNa sandarBa
   vasudeva gṛhe sākṣād bhagavān puruṣaḥ paraḥ |	vasudeva gRhe sAkzAt BagavAn puruzaH paraH |
   janiṣyate tat priyārthaṃ sambhavantu sura striyaḥ || [BhP 10.1.21 23]	janizyate tat priya arTam samBavantu sura  striyaH || [Bhj 10.1.21 23]
   pauruṣīṃ puruṣeṇa sṛjāmi tan niyukto'ham [BhP 2.6.30] ity ādy anusārāt	pOruzIm puruzeNa sRjAmi tan  niyuktaH aham [Bhj 2.6.30] iti  Adi  anusArAt
   puruṣābhinnena viṣṇu rūpeṇa kṣīrodaśāyinā svayam evoktāṃ gāṃ vācam |	puruza aBinnena vizNu  rUpeNa kzIrodaSAyinA svayam eva uktAm gAm vAcam |
   puruṣasyaiva vācam anuvadati puraiveti | puṃsā ādi puruṣeṇa kṛṣṇaḥ svayaṃ	puruzasya eva vAcam anuvadati purA eva iti | puMsA Adi puruzeNa kRzNaH svayam
   samabhavat paramaḥ pumān yaḥ [BrahmaS 5.49] ity anusārāt | svayaṃ	samaBavat paramaH pumAn yaH [BrahmaH 5.49] iti anusArAt | svayam
   bhagavattā śrī kṛṣṇasyety arthaḥ | aṃśaiḥ śrī kṛṣṇasyāṃśa bhūtais tat 	Bagavat tA SrI  kRzNasya iti arTaH | aMSEH SrI  kRzNasya aMSa  BUtEH tat 
   pārṣadaiḥ śrīmad uddhavādibhiḥ saha | ittham eva prācuryeṇoktam   	pArzadEH SrImat  udDava AdiBiH saha | itTam eva prAcuryeNa uktam   
   nandādyā ye vraje gopā yāś cāmīṣāṃ ca yoṣitaḥ |	nanda AdyAH ye vraje gopAH yAH ca amIzAm ca yozitaH |
   vṛṣṇayo vasudevādyā devaky ādyā yadu striyaḥ ||	vRzNayaH vasudeva AdyAH devaky a AdyAH yadu striyaH ||
   sarve vai devatā prāyā ubhayor api bhārata |	sarve vE devatA  prAyAH uBayoH api BArata |
   jñātayo bandhu suhṛdo ye ca kaṃsam anuvratāḥ || [BhP 10.1.62 63] iti |	jQAtayaH banDu  suhRdaH ye ca kaMsam anuvratAH || [Bhj 10.1.62 63] iti |
   tasmād ādi puruṣatvam eva vyanakti sa iti sarvāntaryāmitvāt | puruṣas	tasmAt Adi puruza tvam eva vyanakti saH iti sarva antaryAmi tvAt | puruzas
   tāvad	tAvat 
   īśvaraḥ | tasyāpy aṃśitvāt sa ādi puruṣaḥ śrī kṛṣṇaḥ punar īśvareśvaraḥ	ISvaraH | tasya api aMSi tvAt saH Adi puruzaH SrI  kRzNaH punar ISvara ISvaraH
   try adhīśa śabdavat | tathā ca daśamasya pañcāśītitame śrīmad 	tri  aDISa  Sabda vat | taTA ca daSamasya paQcASItitame SrImat  
   ānakadundubhinoktam   yuvāṃ na naḥ sutau sākṣāt pradhāna puruṣeśvarau	AnakadunduBinA uktam  yuvAm na naH sutO sAkzAt praDAna  puruza ISvarO
   [BhP 10.85.18] iti | sva kāla śaktyā sva śaktyā kāla śaktyā ca |	[Bhj 10.85.18] iti | sva  kAla  SaktyA sva SaktyA kAla  SaktyA ca |
   īśvareśvaratve	ISvara ISvara tve
   hetuḥ sākṣāt svayam eva bhagavān iti | tad alaṃ mayi tat prārthanayeti	hetuH sAkzAt svayam eva BagavAn iti | tat alam mayi tat  prArTanaya iti
   bhāvaḥ | tat priyārthaṃ tat prītyai | amara striyaḥ	BAvaH | tat priya arTam tat  prItyE | amara  striyaH
   śrīmad upendra preyasy 	SrImat  upendra  preyasy 
   ādi rūpāḥ kāścit sambhavantu militā bhavantu | sākṣād avatarataḥ śrī 	Adi  rUpAH kAScid samBavantu militAH Bavantu | sAkzAt avatarataH SrI 
   bhagavato nityānapāyi mahā śakti rūpāsu tat preyasīṣv avatarantīṣu śrī 	BagavataH nitya anapAyi  mahA  Sakti  rUpAsu tat  preyasIzu avatarantIzu SrI 
   bhagavati tad aṃśāntaravat tā api praviśantv ity arthaḥ | tat priyāṇāṃ	Bagavati tad  aMSa antara vat tAH api praviSantu iti arTaH | tat  priyANAm
   tāsām	tAsAm
   eva dāsy ādi prayojanāya jāyantām iti vā | anena tair apārthitasyāpy	eva dAsI  a Adi prayojanAya jAyantAm iti vA | anena tEH apArTitasya api 
   asyārthasyādeśena parama bhaktābhis tābhir līlā viśeṣa eva bhagavataḥ	asya arTasya AdeSena parama  BaktABiH tABiH lIlA  viSezaH eva BagavataH
   svayam avatitīrṣāyāṃ kāraṇam | bhārāvataraṇaṃ cānuṣaṅgikam (page 20)	svayam avatitIrzAyAm kAraNam | BAra avataraNam ca AnuzaFgikam (page 20)
   eva bhavatīti vyañjitam |	eva Bavati iti vyaQjitam |
   tad evaṃ śrutīnāṃ ca daṇḍakāraṇya vāsināṃ munīnāṃ cāgni putrāṇāṃ ca	tat evam SrutInAm ca daNxaka araNya  vAsinAm munInAm ca agni putrANAm ca
   śrī gopikāditva prāptir yat śrūyate tad api pūrvavad eva mantavyam | atra	SrI gopika Adi tva  prAptiH yat SrUyate tat api pUrvavat eva mantavyam | atra
   prasiddhārthe nāyaṃ śriyo'ṅga u nitānta rateḥ prasādaḥ svar yoṣitāṃ	prasidDa arTe na ayam SriyaH aFgaH u nitAnta   rateH prasAdaH svar yozitAm
   nalina 	nalina 
   gandha rucāṃ kuto'nyāḥ [BhP 10.47.60] iti virudhyeta | na ca sura strīṇāṃ	ganDa rucAm kutas anyAH [Bhu 10.47.60] iti viruDyeta | na ca sura  strINAm
   sambhava vākyaṃ śrī mahiṣī vṛnda paraṃ, tāsām api tan nija śakti 	samBava  vAkyam SrI  mahizI  vRnda  paran, tAsAm api tan  nija  Sakti 
   rūpatvena darśayiṣyamāṇatvāt |	rUpa tvena darSayizyamANa tvAt |
   || 10.1 || śrī śukaḥ || 43 ||	|| 10.1 || SrI  SukaH || 43 ||
   tad evam avatāra prasaṅge'pi śrī kṛṣṇasya svayaṃ bhagavattvam evāyātam |	tat evam avatAra  prasaFge api SrI  kRzNasya svayam Bagavat tvam eva AyAtam |
   yasmād evaṃ tasmād eva śrī bhāgavate mahā śrotṛ vaktṝṇām api śrī kṛṣṇa	yasmAt evam tasmAt eva SrI  BAgavate mahA  SrotR  vaktLNAm api SrI  kRzNa
   eva tātparyaṃ lakṣyate | tatra śrī vidurasya   	eva tAtparyam lakzyate | tatra SrI  vidurasya   
   yac cānyad api kṛṣṇasya bhavān bhagavataḥ prabhoḥ |	yat ca anyat api kRzNasya BavAn BagavataH praBoH |
   śravaḥ suśravasaḥ puṇyaṃ pūrva deha kathāśrayam ||	SravaH suSravasaH puNyam pUrva deha  kaTA ASrayam ||
   bhaktāya me 'nuraktāya tava cādhokṣajasya ca |	BaktAya me anuraktAya tava ca aDokzajasya ca |
   vaktum arhasi yo 'duhyad vainya rūpeṇa gām imām || [BhP 4.17.6 7]	vaktum arhasi yaH aduhyat vEnya  rUpeNa gAm imAm || [Bhj 4.17.6 7]
   pūrva dehaḥ pṛthv avatāraḥ | loka dṛṣṭāv abhivyakti rītyā pūrvatvam | tat 	pUrva dehaH pRTv avatAraH | loka dRzwO aBivyakti  rItyA pUrva tvam | tat 
   kathaivāśrayo yasya tat ||	kaTA eva ASrayaH yasya tat ||
   ||4.17|| viduraḥ ||44||	||4.17|| viduraH ||44||
   atha śrī maitreyasya tad anantaram eva   	aTa SrI  mEtreyasya tad  anantaram eva   
   codito vidureṇaivaṃ vāsudeva kathāṃ prati |	coditaH vidureNa evam vAsudeva  kaTAm prati |
   praśasya taṃ prīta manā maitreyaḥ pratyabhāṣata || [BhP 4.17.8]	praSasya tam prIta manAH mEtreyaH pratyaBAzata || [Bhj 4.17.8]
   tat praśaṃsayā prīta manastvena cāsyāpi tathaiva tātparyaṃ labhyate |	tat  praSaMsayA prIta manaH tvena ca asya api taTA eva tAtparyam laByate |
   ataevātra vasudeva nandanatvenaiva vāsudeva śabdaḥ prayuktaḥ |	ataeva atra vasudeva nandana tvena eva vAsudeva  SabdaH prayuktaH |
   ||4.17|| śrī sutaḥ ||45||	||4.17|| SrI sutaH ||45||
   atha śrī parīkṣitaḥ   	aTa SrI  parIkzitaH   
   atho vihāyemam amuṃ ca lokaṃ	aTo vihAya imam amum ca lokam
   vimarśitau heyatayā purastāt |	vimarSitO heya tayA purastAt |
   kṛṣṇāṅghri sevām adhimanyamāna	kRzNa aFGri  sevAm aDimanyamAna
   upāviśat prāyam amartya nadyām || [BhP 1.19.5]	upAviSat prAyam amartya nadyAm || [Bhj 1.19.5]
   ṭīkā ca  śrī kṛṣṇāṅghri sevām adhimanyamānaḥ sarva puruṣārthādhikāṃ	wIkA ca  SrI  kRzNa aFGri  sevAm aDimanyamAnaH sarva  puruza arTa aDikAm
   jānan ity eṣā |	jAnan iti ezA |
   || 1.19 || śrī sutaḥ ||46||	|| 1.19 || SrI sutaH ||46||
   na vā idaṃ rājarṣi varya citraṃ	na vE idam rAjarzi varya citram
   bhavatsu kṛṣṇaṃ samanuvrateṣu |	Bavatsu kRzNam samanuvratezu |
   ye 'dhyāsanaṃ rāja kirīṭa juṣṭaṃ	ye aDyAsanam rAja  kirIwa  juzwam
   sadyo jahur bhagavat pārśva kāmāḥ || [BhP 1.19.20]	sadyas jahuH Bagavat  pArSva  kAmAH || [Bhj 1.19.20]
   bhavatsu pāṇḍor vaśyeṣu ye jahur iti śrī yudhiṣṭhirādy abhiprāyeṇa |	Bavatsu pANxoH vaSyezu ye jahuH iti SrI  yuDizWira Adi  aBiprAyeNa |
   ataeva	ataeva
   tatra sthitānāṃ sarva śrotṝṇām api śrī kṛṣṇa eva tātparyam āyāti |	tatra sTitAnAm sarva SrotLNAm api SrI  kRzNaH eva tAtparyam AyAti |
   || 1.19 || śrī maharṣayaḥ parīkṣitam ||47||	|| 1.19 || SrI mahA RzayaH parIkzitam ||47||
   api me bhagavān prītaḥ kṛṣṇaḥ pāṇḍu suta priyaḥ |	api me BagavAn prItaH kRzNaH pANxu suta priyaH |
   paitṛ ṣvaseya prīty arthaṃ tad gotrasyātta bāndhavaḥ ||	pEtR  zvaseya  prIti  arTam tad  gotrasyAt ta bAnDavaH ||
   anyathā te 'vyakta gater darśanaṃ naḥ kathaṃ nṛṇām |	anyaTA te avyakta  gateH darSanam naH kaTam nRNAm |
   nitarāṃ mriyamāṇānāṃ saṃsiddhasya vanīyasaḥ || [BhP 1.19.35 36]	nitarAm mriyamANAnAm saMsidDasya vanIyasaH || [Bhj 1.19.35 36]
   teṣāṃ paitṛ ṣvaseyāṇāṃ pāṇḍu sutānāṃ gotrasya me āttaṃ svīkṛtaṃ	tezAm pEtR  zu aseyANAm pANxu  sutAnAm gotrasya me Attam svIkRtam
   bāndhavaṃ bandhu kṛtyaṃ yena te tava śrī kṛṣṇasyaika rasikasya vanīyasaḥ	bAnDavam banDu  kRtyam yena te tava SrI  kRzNasya eka rasikasya vanIyasaH
   atyudāratayā māṃ yācethā iti pravartakasyety arthaḥ |	ati udAra tayA mAm yAceTAH iti pravartakasya iti arTaH |
   || 1.19 || rājā śrī śukam || 48 ||	|| 1.19 || rAjA SrI  Sukam || 48 ||
   sa vai bhāgavato rājā pāṇḍaveyo mahā rathaḥ |	sa vE BAgavataH rAjA pANxaveyaH mahA raTaH |
   bāla krīḍanakaiḥ krīḍan kṛṣṇa krīḍāṃ ya ādade || [BhP 2.3.15]	bAla  krIxanakEH krIxan kRzNa  krIxAm yaH Adade || [Bhj 2.3.15]
   yā yā śrī kṛṣṇasya vṛndāvanādau bāla krīḍā śrutāsti tat premāveśena tat 	yA yA SrI  kRzNasya vRndAvana AdO bAla  krIxA SrutA asti tat  prema AveSena tat 
   sakhyādi bhāvavān tāṃ tām eva krīḍāṃ yaḥ kṛtavān ity arthaḥ ||	saKi Adi  BAvavAn tAm tAm eva krIxAm yaH kRtavAn iti arTaH ||
   || 2.3 || śrī śaunakaḥ || 49 ||	|| 2.3 || SrI  SOnakaH || 49 ||
   evaṃ jātīyāni bahūny eva vacanāni virājante   tathā kathito vaṃśa vistāraḥ	evam jAtIyAni bahUni eva vacanAni virAjante  taTA kaTitaH vaMSa vistAraH
   [BhP 10.1.1] ity ārabhya, naiṣāti duḥsahā kṣun mām [BhP 10.1.13] ity antaṃ	[Bhj 10.1.1] iti AraBya, nEzAti duHsahA kzuD mAm [Bhu 10.1.13] iti antam
   daśama skandha prakaraṇam (page 21) apy anusandheyam |	daSama skanDa  prakaraNam (page 21) api anusanDeyam |
   kiṃ ca itthaṃ dvijā yādava devadattaḥ [BhP 10.12.40] ity ādi | yena	kim ca itTam dvijAH yAdava  devadattaH [Bhj 10.12.40] iti Adi | yena
   śravaṇena	SravaNena
   nitarāṃ gṛhītaṃ vaśīkṛtaṃ ceto yasya saḥ |	nitarAm gRhItam vaSIkRtam cetaH yasya saH |
   || 10.12 || śrī sutaḥ || 50 ||	|| 10.12 || SrI sutaH || 50 ||
   tathā, yena yenāvatāreṇa ity ādi yat śṛṇvato'paity aratiḥ [BhP 10.7.1 2]	taTA, yena yena avatAreNa iti Adi yat SRNvataH apEti aratiH [Bhj 10.7.1 2]
   ity ādi	iti Adi
   ca | ṭīkā ca  	ca | wIkA ca  
   kṛṣṇārbhaka sudhā sindhu samplavānanda nirbharaḥ |	kRzNa arBaka  suDA  sinDu  samplava Ananda nirBaraH |
   bhūyas tad eva sampraṣṭuṃ rājānyad abhinandati ||	BUyas tat eva samprazwum rAjA anyat aBinandati ||
   yena yena matsyādyavatāreṇāpi yāni karmāṇi karoti tāni naḥ karṇa 	yena yena matsya Adi avatAreNa api yAni karmANi karoti tAni naH karNa 
   sukhāvahāni manaḥ prīti karāṇi ca bhavanty eva | tathāpi yac chṛṇvataḥ	suKa AvahAni manaH prIti karANi ca Bavanti eva | taTA api yat SRNvataH
   puṃsaḥ puṃ mātrasyāratir mano glānis tan mūla bhūtā vividhā tṛṣṇā	puMsaH puM mAtrasya aratiH manaH  glAniH tan mUla BUtA viviDA tRzNA
   cāpagacchati, tathā sattva śuddhi hari bhakti hari dāsya sakhyāni ca	ca apa gacCati, taTA sattva  SudDi  hari  Bakti hari dAsya  saKyAni ca
   bhavanty	Bavanti 
   acireṇaiva tad evaṃ hāraṃ hareś caritaṃ manoharaṃ vā vada anugrahaṃ yadi	acireNa eva tat evam hAram hareH caritam manoharam vA vada anugraham yadi
   karoṣi ity eṣā |	karozi iti ezA |
   || 10.7 || rājā || 51 ||	|| 10.7 || rAjA || 51 ||
   atha śrī śukadevasya api me bhagavān prītaḥ kṛṣṇaḥ pāṇḍu suta priyaḥ [BhP	aTa SrI  Sukadevasya api me BagavAn prItaH kRzNaH pANxu suta priyaH [BhP
   1.19.35] ity ādinā śrī kṛṣṇa eva sva ratiṃ vyajya mriyamāṇānāṃ śrotavyādi 	1.19.35] iti AdinA SrI  kRzNaH eva sva ratim vyajya mriyamANAnAm Srotavya Adi 
   praśnenaivānta kāle śrī kṛṣṇa eva mayy upadiśyatām iti	praSnena eva anta kAle SrI  kRzNaH eva mayi upadiSyatAm iti
   rājābhiprāyānantaraṃ  	rAjA aBiprAya anantaram  
   varīyān eṣa te praśnaḥ kṛto loka hitaṃ nṛpa |	varIyAn eza te praSnaH kRtaH loka  hitam nRpa |
   ātmavit sammataḥ puṃsāṃ śrotavyādiṣu yaḥ paraḥ || [BhP 2.1.1]	Atma vid sammataH puMsAm Srotavya Adizu yaH paraH || [Bhj 2.1.1]
   te tvayā puṃsāṃ śrotavyādiṣu madhye yaḥ paraḥ śrī kṛṣṇa 	te tvayA puMsAm Srotavya Adizu maDye yaH paraH SrI  kRzNa 
   śravaṇābhiprāyeṇa paramaḥ praśnaḥ kṛta eṣa varīyān sarvāvatārāvatāri 	SravaNa aBiprAyeNa paramaH praSnaH kRtaH eza varIyAn sarva avatAra avatAri 
   praśnebhyaḥ parama mahān | loka hitaṃ yathā syāt tathaiva kṛtaḥ | tvaṃ tu	praSneByaH parama  mahAn | loka hitam yaTA syAt taTA eva kRtaH | tvam tu
   tathābhūta śrī kṛṣṇaika nibaddha prematvāt kṛtārtah eveti bhāvaḥ | tad	taTABUta  SrI  kRzNA eka  nibadDa  prema tvAt kRta Artah eva iti BAvaH | tat 
   uktam  	uktam  
   vaiyāsaker iti vacas tattva niścayam ātmanaḥ |	vEyAsakeH iti vacas  tattva  niScayam AtmanaH |
   upadhārya matiṃ kṛṣṇe auttareyaḥ satīṃ vyadhāt || [BhP 2.4.1]	upaDArya matim kRzNe OttareyaH satIm vyaDAt || [Bhj 2.4.1]
   satī vidyamānā kṛṣṇe yā matis tām eva viśeṣeṇa dhṛtavān ity arthaḥ | etad	satI vidyamAnA kRzNe yA matiH tAm eva viSezeNa DRtavAn iti arTaH | etat 
   eva vyaktīkariṣyate rājñā  	eva vyaktIkarizyate rAjQA  
   harer adbhuta vīryasya kathā loka sumaṅgalā |	hareH adButa  vIryasya kaTA loka su maFgalA |
   kathayasva mahābhāga yathāham akhilātmani |	kaTayasva mahABAga yaTA aham aKilAtmani |
   kṛṣṇe niveśya niḥsaṅgaṃ manas tyakṣye kalevaram || iti [BhP 2.8.2]	kRzNe niveSya niHsaFgam manaH tyakzye kalevaram || iti [Bhj 2.8.2]
   || 2.1 || śrī śukaḥ || 52 ||	|| 2.1 || SrI  SukaH || 52 ||
   evam eva kathito vaṃśa vistāram [BhP 10.1.1] ity ādy anantaraṃ samyag 	evam eva kaTitaH vaMSa  vistAram [Bhj 10.1.1] iti Ady anantaram samyak  
   vyavasitā buddhiḥ [BhP 10.1.15] ity ādi |	vyavasitA budDiH [Bhu 10.1.15] iti Adi |
   pūrvaṃ mayā nānāvatārādi kathābhir abhinanditasyāpi yat śrī vasudeva 	pUrvam mayA nAnA avatAra Adi kaTABiH aBinanditasya api yat SrI  vasudeva 
   nandanasyaiva kathāyāṃ naiṣṭhikī sthāyi rūpā ratir jātā eṣā buddhis tu	nandanasya eva kaTAyAm nEzWikI sTAyi  rUpA ratiH jAtAH ezA budDiH tu
   samyag vyavasitā parama vidagdhety arthaḥ ||	samyak  vyavasitA parama  vidagDA iti arTaH ||
   || 10.1 || śrī śukaḥ || 53 ||	|| 10.1 || SrI  SukaH || 53 ||
   tathā, itthaṃ dvijā yādava deva dattaḥ śrutvā sva rātuś caritaṃ vicitram	taTA, itTam dvijAH yAdava  deva dattaH SrutvA sva  rAtuH caritam vicitram
   [BhP	[BhP
   10.12.40] ity anantaraṃ  	10.12.40] iti anantaram  
   itthaṃ sma pṛṣṭaḥ sa tu bādarāyaṇis	itTam sma pRzwaH sa tu bAdarAyaNi s
   tat smāritānanta hṛtākhilendriyaḥ |	tat smArita ananta  hRta aKila indriyaH |
   kṛcchrāt punar lab dha bahir dṛśiḥ śanaiḥ	kRcCrAt punar lab Da bahis  dRSiH SanEs 
   pratyāha taṃ bhāgavatottamottama || [BhP 10.12.44]	pratyAha tam BAgavata uttama uttamaH || [Bhj 10.12.44]
   anantaḥ prakaṭita pūrṇaiśvaryaḥ śrī kṛṣṇaḥ | sarvadā tena smaryamāṇe'pi	anantaH prakawita  pUrNa ESvaryaH SrI  kRzNaH | sarvadA tena smaryamANe api
   tasmin pratikṣaṇaṃ navyatvena tat smāritety uktam ||	tasmin pratikzaNam navya tvena tat  smAritA iti uktam ||
   || 10.12 || śrī sutaḥ || 54 ||	|| 10.12 || SrI sutaH || 54 ||
   ataeva sa vai bhāgavato rājā [BhP 2.3.15] ityādy anantaraṃ rājñā samāna 	ataeva sa vE BAgavataH rAjA [Bhj 2.3.15] ityAdi  anantaram rAjQA samAna 
   vāsanātvenaiva tam āha  	vAsanA tvena eva tam Aha  
   vaiyāsakiś ca bhagavān vāsudeva parāyaṇaḥ |	vEyAsakiH ca BagavAn vAsudeva  parAyaNaH |
   urugāya guṇodārāḥ satāṃ syur hi samāgame || [BhP 2.3.16] (page 22)	uru gAya  guNa udArAH satAm syuH hi samAgame || [Bhj 2.3.16] (page 22)
   ca śabdaḥ prāg varṇitena samāna vāsanatvaṃ bodhayati | tasmāt śrī 	ca  SabdaH prAk  varNitena samAna  vAsana tvam boDayati | tasmAt SrI 
   vasudeva nandanatvenaivātrāpi vāsudeva śabdo vyākhyeyaḥ | anyeṣām api	vasudeva  nandana tvena eva atra api vAsudeva  SabdaH vyAKyeyaH | anyezAm api
   satāṃ samāgame tāvad urugāyasya guṇodārāḥ kathā bhavanti | tayos tu śrī 	satAm samAgame tAvat uru gAyasya guNa udArAH kaTAH Bavanti | tayoH tu SrI 
   kṛṣṇa carita pradhānā eva tā bhaveyur iti bhāvaḥ ||	kRzNa  carita  praDAnAH eva tAH BaveyuH iti BAvaH ||
   || 2.3 || śrī śukaḥ || 55 ||	|| 2.3 || SrI  SukaH || 55 ||
   kiṃ bahunā, śrī śukadevasya śrī kṛṣṇa eva tāt parye tad eka caritamayau	kim bahunA, SrI Sukadevasya SrI  kRzNaH eva tAt parye tad  eka  carita mayO
   granthārdhāyamānau daśamaikādaśa skandhāv eva pramāṇam |	granTa arDAyamAnO daSama ekAdaSa  skanDO eva pramANam |
   skandhāntareṣv anyeṣām caritaṃ saṃkṣepeṇaiva samāpya tābhyāṃ tac 	skanDa antarezu anyezAm caritam saMkzepeNa eva samApya tAByAm tac 
   caritasyaiva vistāritatvāt | ata ārabhya eva tat prasādaṃ prārthayate	caritasya eva vistArita tvAt | atas AraByaH eva tat  prasAdam prArTayate
   śriyaḥ	SriyaH
   patiḥ ity ādau   	patiH iti AdO   
   patir gatiś cāndhaka vṛṣṇi sātvatāṃ	patiH gatiH ca anDaka  vRzNi  sAtvatAm
   prasīdatāṃ me bhagavān satāṃ gatiḥ || [BhP 2.4.20] ||	prasIdatAm me BagavAn satAm gatiH || [Bhj 2.4.20] ||
   spasṭam || 2.4 || śrī śukaḥ || 56 ||	spaswam || 2.4 || SrI  SukaH || 56 ||
   atha śrī vyāsa devasya  	aTa SrI  vyAsa devasya  
   anarthopaśamaṃ sākṣād bhakti yogam adhokṣaje |	anarTa upaSamam sAkzAt Bakti  yogam aDokzaje |
   lokasyājānato vidvāṃś cakre sātvata saṃhitām ||	lokasya ajAnataH vidvAn cakre sAtvata  saMhitAm ||
   yasyāṃ vai śrūyamāṇāyāṃ kṛṣṇe parama pūruṣe |	yasyAm vE SrUyamANAyAm kRzNe parama  pUruze |
   bhaktir utpadyate puṃsaḥ śoka moha bhayāpahā || [BhP 1.7.6 7]	BaktiH utpadyate puMsaH Soka moha  Baya apahAH || [Bhj 1.7.6 7]
   adhokṣaje śrī kṛṣṇe |	aDokzaje SrI  kRzNe |
   adho'nena śayānena śakaṭāntara cāriṇā |	aDas anena SayAnena Sakawa antara  cAriNA |
   rākṣasī nihatā raudrā śakunī veśa dhāriṇī ||	rAkzasI nihatA rOdrA SakunI veSa  DAriNI ||
   pūtanā nāma ghorā sā mahā kāyā mahā balā |	pUtanA nAma GorA sA mahA kAyAH mahA balA |
   viṣa digdha stanaṃ kṣudrā prayacchantī janārdane ||	viza digDa  stanam kzudrA prayacCantI janArdane ||
   dadṛśur nihatāṃ tatra rākṣasīṃ vana gocarāḥ |	dadRSuH nihatAm tatra rAkzasIm vana gocarAH |
   punar jāto'yam ity āhur uktas tasmād adhokṣajaḥ || [HV 2.101.30 32]	punar jAtaH ayam iti AhuH uktaH tasmAt aDokzajaH || [HV 2.101.30 32]
   iti harivaṃśe śrī vāsudeva māhātmye tan nāmnaḥ śrī kṛṣṇa viṣayatāyā	iti harivaMSe SrI  vAsudeva mAhAtmye tan nAmnaH SrI kRzNa  vizaya tAyAH 
   prasiddheḥ | ataevottaratra padye sākṣāt kṛṣṇa ity evoktam | śrī bhagavan 	prasidDeH | ataeva uttaratra padye sAkzAt kRzNaH iti eva uktam | SrI  Bagavan 
   nāma kaumudī kārāś ca kṛṣṇa śabdasya tamāla śyāmala tviṣi yaśodā 	nAma kOmudI kArAH ca kRzNa  Sabdasya tamAla SyAmala  tvizi yaSodA 
   stanandhaye para brahmaṇi rūḍhiḥ iti prayoga prācuryāt tatraiva	stananDaye para brahmaNi rUXiH iti prayoga  prAcuryAt tatra eva
   prathamataḥ	praTamatas 
   pratīter udaya iti coktavantaḥ | sāmopaniṣadi ca kṛṣṇāya devakī nandanāya	pratIteH udayaH iti ca uktavantaH | sAma upanizadi ca kRzNAya devakI nandanAya
   iti | atra grantha phalatvaṃ tasyaiva vyaktam iti caikenaivānena vacanena	iti | atra granTa Pala tvam tasya eva vyaktam iti ca ekena eva anena vacanena
   tat 	tat 
   paripūrṇatā sidhyati ||	paripUrNa tA siDyati ||
   || 1.7 || śrī sūtaḥ || 57 ||	|| 1.7 || SrI  sUtaH || 57 ||
   atha śrī nāradasya  	aTa SrI nAradasya  
   tatrānvahaṃ kṛṣṇa kathāḥ pragāyatām	tatra anvaham kRzNa  kaTAH pragAyatAm
   anugraheṇāśṛṇavaṃ manoharāḥ |	anugraheNa aSRNavam manoharAH |
   tāḥ śraddhayā me 'nupadaṃ viśṛṇvataḥ	tAH SradDayA me anupadam viSRNvataH
   priyaśravasy aṅga mamābhavad ruciḥ || [BhP 1.5.26]	priyaSravasi aFga mama aBavat ruciH || [Bhj 1.5.26]
   yena yenāvatāreṇa [BhP 10.7.1] ity etac chrī parīkṣid vacana padya dvayam	yena yena avatAreNa [Bhj 10.7.1] iti etac SrI  parIkzit  vacana padya  dvayam
   apy atra śrī yaśodā stanandhayatve sādhakaṃ śruti sāmānya nyāyena ||	api atra SrI  yaSa udA stananDaya tve sADakam Sruti  sAmAnya nyAyena ||
   || 1.5 || śrī nāradaḥ śrī veda vyāsam || 58 ||	|| 1.5 || SrI nAradaH SrI  veda  vyAsam || 58 ||
   tac chabdasyaivābhyāso dṛśyate   evaṃ kṛṣṇa mateḥ [BhP 1.6.28] ity ādau |	tac  Sabdasya eva aByAsaH dRSyate  evam kRzNa  mateH [Bhj 1.6.28] iti AdO |
   anyatra ca   	anyatra ca   
   yūyaṃ nṛ loke bata bhūri bhāgā	yUyam nR  loke bata BUri BAgA
   lokaṃ punānā munayo 'bhiyanti |	lokam punAnAH munayaH aBiyanti |
   yeṣāṃ gṛhān āvasatīti sākṣād	yezAm gRhAn Avasati iti sAkzAt 
   gūḍhaṃ paraṃ brahma manuṣya liṅgam ||	gUXam param brahma manuzya  liFgam ||
   sa vā ayaṃ brahma mahad vimṛgya 	sa vE ayam brahma mahat  vimRgya 
   kaivalya nirvāṇa sukhānubhūtiḥ |	kEvalya  nirvANa  suKa anuBUtiH |
   priyaḥ suhṛd vaḥ khalu mātuleya	priyaH suhRd vaH Kalu mAtuleya
   ātmārhaṇīyo vidhi kṛd guruś ca ||	Atma arhaNIyaH viDi  kRt guruH ca ||
   na yasya sākṣād bhava padmajādibhī	na yasya sAkzAt Bava  padmaja AdiBI
   rūpaṃ dhiyā vastutayopavarṇitam |	rUpam DiyA vastu tayA upavarNitam |
   maunena bhaktyopaśamena pūjitaḥ	mOnena BaktyA upaSamena pUjitaH
   prasīdatām eṣa sa sātvatāṃ patiḥ || [BhP 7.10.48 50]	prasIdatAm eza sa sAtvatAm patiH || [Bhj 7.10.48 50]
   (page 23)	(page 23)
   ṭīkā ca   aho prahlādasya bhāgyaṃ yena devo dṛṣṭaḥ | vayaṃ tu manda 	wIkA ca  aho prahlAdasya BAgyam yena devaH dRzwaH | vayam tu manda 
   bhāgyā iti viṣīdantaṃ rājānaṃ praty āha yūyam iti tribhir ity eṣā |	BAgyAH iti vizIdantam rAjAnam prati Aha yUyam iti triBiH iti ezA |
   manuṣyasya dṛśyamāna manuṣyasyeva liṅgaṃ kara caraṇādi sanniveśo yasya	manuzyasya dRSyamAna  manuzyasya iva liFgam kara  caraNa Adi  sanniveSaH yasya
