   TEXT IN PAUSA	TA-eXT Iz PAUSA
   GG_2.5-2 kara-caraṇa-urasi maṇi-gaṇa-bhūṣaṇa-kiraṇa-vibhinna-tamisram //	Gu-_2.5-2 kara-caraNa--urasi maNi--gaNa--BUzaNa--kiraNa--viBinna--tamisram //
   GG_2.5-3 rāse harim iha vihita-vilāsam smarati manaḥ mama kṛta-parihāsam	Gu-_2.5-3 rAse harim iha vihita-vilAsam smarati manaH mama kRta--parihAsam
   GG_2.6-1 jalada-paṭala-valat-indu-vinindaka-candana-tilaka-lalāṭam /	Gu-_2.6-1 jalada--pawala--valat-indu-vinindaka-candana-tila-ka-lalAwam /
   GG_2.6-2 pīna-ghana-stana-maṇḍala-mardana-nirdaya-hṛdaya-kapāṭam //	Gu-_2.6-2 pIna-Gana--stana--maNxala-mardana--nirdaya--hRdaya--kapAwam //
   GG_2.6-3 rāse harim iha vihita-vilāsam smarati manaḥ mama kṛta-parihāsam	Gu-_2.6-3 rAse harim iha vihita-vilAsam smarati manaH mama kRta--parihAsam
   GG_2.7-1 maṇi-maya-makara-manohara-kuṇḍala-maṇḍita-gaṇḍam udāram /	Gu-_2.7-1 maNi-maya--makara--manohara--kuNxala-maNxita--gaNxam udAram /
   GG_2.7-2 pīta-vasanam anugata-muni-manuja-sura-asura-vara-parivāram //	Gu-_2.7-2 pIta-vasanam anugata--muni-manuja--sura-asura--vara--parivAram //
   GG_2.7-3 rāse harim iha vihita-vilāsam smarati manaḥ mama kṛta-parihāsam	Gu-_2.7-3 rAse harim iha vihita-vilAsam smarati manaH mama kRta--parihAsam
   GG_2.8-1 viśada-kadamba-tale militam kali-kaluṣa-bhayaṃ śamayantam /	Gu-_2.8-1 viSada--kadamba-tale militam kali-kaluza--Bayam Samayantam /
   GG_2.8-2 mām api kimapi taraṅgat-anaṅga-dṛśā manasā ramayantam //	Gu-_2.8-2 mAm api kim-api taraFgat-a-naFga-dRSAH manasA ramayantam //
   GG_2.8-3 rāse harim iha vihita-vilāsam smarati manaḥ mama kṛta-parihāsam	Gu-_2.8-3 rAse harim iha vihita-vilAsam smarati manaH mama kRta--parihAsam
   GG_2.9-1 śrījayadeva-bhaṇitam atisundara-mohana-madhuripu-rūpam /	Gu-_2.9-1 SrI-jayadeva--BaNitam ati-sundara--mohana--maDu-ripu-rUpam /
   GG_2.9-2 hari-caraṇa-smaraṇam prati saṃprati puṇyavatām anurūpam //	Gu-_2.9-2 hari-caraNa-smaraNam prati saMprati puNyavatAm anurUpam //
   GG_2.9-3 rāse harim iha vihita-vilāsam smarati manaḥ mama kṛta-parihāsam	Gu-_2.9-3 rAse harim iha vihita-vilAsam smarati manaH mama kRta--parihAsam
   GG_2.10-1 gaṇayati guṇa-grāmam bhāmam bhramāt api na īhate	Gu-_2.10-1 gaNayati guNa-grAmam BAmam BramAt api na Ihate
   GG_2.10-2 vahati ca parītoṣam doṣam vimuñcati dūrataḥ /	Gu-_2.10-2 vahati ca parItozam dozam vimuQcati dUratas /
   GG_2.10-3 yuvatiṣu valat-tṛṣṇe kṛṣṇe vihāriṇi mām vinā	Gu-_2.10-3 yuvatizu valat--tRzNe kRzNe vihAriNi mAm vinA
   GG_2.10-4 punaḥ api manaḥ vāmam kāmam karoti karomi kim //	Gu-_2.10-4 punar api manaH vAmam kAmam karoti karomi kim //
   GG_2.11-1 nibhṛta-nikuñja-gṛham gatayā niśi rahasi nilīya vasantam /	Gu-_2.11-1 niBRta-nikuQja--gRham gatayA niSi rahasi nilIya vasantam /
   GG_2.11-2 cakita-vilokita-sakala-diśā rati-rabhasa-rasena hasantam //	Gu-_2.11-2 cakita--vilokita-sakala-diSA rati--raBasa--rasena hasantam //
   GG_2.11-3 sakhi he keśimathanam udāram	Gu-_2.11-3 saKi he keSimaTanam udAram
   GG_2.11-4 ramaya mayā saha madana-manoratha-bhāvitayā savikāram //	Gu-_2.11-4 ramaya mayA saha madana--manoraTa--BAvitayA sa-vikAram //
   GG_2.12-1 prathama-samāgama-lajjitayā paṭu-cāṭu-śataiḥ anukūlam /	Gu-_2.12-1 praTama--samAgama--lajjitayA pawu--cAwu--SatEH anukUlam /
   GG_2.12-2 mṛdu-madhura-smita-bhāṣitayā śithilī-kṛta-jaghana-dukūlam //	Gu-_2.12-2 mRdu-maDura-smita-BAzitayA SiTilI-kRta---jaGana--dukUlam //
   GG_2.12-3 sakhi he keśimathanam udāram	Gu-_2.12-3 saKi he keSimaTanam udAram
   GG_2.12-4 ramaya mayā saha madana-manoratha-bhāvitayā savikāram //	Gu-_2.12-4 ramaya mayA saha madana--manoraTa--BAvitayA sa-vikAram //
   GG_2.13-1 kisalaya-śayana-niveśitayā ciram urasi mama eva śayānam /	Gu-_2.13-1 kisalaya--Sayana--niveSitayA ciram urasi mama eva SayAnam /
   GG_2.13-2 kṛta-parirambhaṇa-cumbanayā parirabhya kṛta-adhara-pānam //	Gu-_2.13-2 kRta--pariramBaNa--cumbanayA pariraBya kRta--aDara--pAnam //
   GG_2.13-3 sakhi he keśimathanam udāram	Gu-_2.13-3 saKi he keSimaTanam udAram
   GG_2.13-4 ramaya mayā saha madana-manoratha-bhāvitayā savikāram //	Gu-_2.13-4 ramaya mayA saha madana--manoraTa--BAvitayA sa-vikAram //
   GG_2.14-1 alasa-nimīlita-locanayā pulaka-āvali-lalita-kapolam /	Gu-_2.14-1 alasa-nimIlita--locanayA pulaka--Avali--lalita-kapolam /
   GG_2.14-2 śrama-jala-sakala-kalevarayā vara-madana-madāt atilolam //	Gu-_2.14-2 Srama-jala--sakala--kalevarayA vara--madana-madAt ati-lolam //
   GG_2.14-3 sakhi he keśimathanam udāram	Gu-_2.14-3 saKi he keSimaTanam udAram
   GG_2.14-4 ramaya mayā saha madana-manoratha-bhāvitayā savikāram //	Gu-_2.14-4 ramaya mayA saha madana--manoraTa--BAvitayA sa-vikAram //
   GG_2.15-1 kokila-kala-rava-kūjitayā jita-manasija-tantra-vicāram /	Gu-_2.15-1 kokila--kala--rava--kUjitayA jita--manasija--tantra--vicAram /
   GG_2.15-2 ślatha-kusuma-ākula-kuntalayā nakha-likhita-ghana-stana-bhāram	Gu-_2.15-2 SlaTa---kusuma--Akula-kuntalayA naKa-liKita-Gana--stana--BAram
   GG_2.15-3 sakhi he keśimathanam udāram	Gu-_2.15-3 saKi he keSimaTanam udAram
   GG_2.15-4 ramaya mayā saha madana-manoratha-bhāvitayā savikāram //	Gu-_2.15-4 ramaya mayA saha madana--manoraTa--BAvitayA sa-vikAram //
   GG_2.16-1 caraṇa-raṇita-maṇi-nūpurayā paripūrita-surata-vitānam /	Gu-_2.16-1 caraNa-raNita-maNi--nUpurayA paripUrita--surata-vitAnam /
   GG_2.16-2 mukhara-viśṛṅkhala-mekhalayā sa-kacagraha-cumbana-dānam //	Gu-_2.16-2 muKara--viSRFKala--meKalayA sa-kaca-graha--cumbana-dAnam //
   GG_2.16-3 sakhi he keśimathanam udāram	Gu-_2.16-3 saKi he keSimaTanam udAram
   GG_2.16-4 ramaya mayā saha madana-manoratha-bhāvitayā savikāram //	Gu-_2.16-4 ramaya mayA saha madana--manoraTa--BAvitayA sa-vikAram //
   GG_2.17-1 rati-sukha-samaya-rasa-ālasayā dara-mukulita-nayana-sarojam /	Gu-_2.17-1 rati-suKa--samaya--rasa--AlasayA dara--mukulita--nayana--sarojam /
   GG_2.17-2 niḥsaha-nipatita-tanu-latayā madhusūdanam udita-manojam //	Gu-_2.17-2 niHsaha--nipatita--tanu--latayA maDusUdanam udita--manojam //
   GG_2.17-3 sakhi he keśimathanam udāram	Gu-_2.17-3 saKi he keSimaTanam udAram
   GG_2.17-4 ramaya mayā saha madana-manoratha-bhāvitayā savikāram //	Gu-_2.17-4 ramaya mayA saha madana--manoraTa--BAvitayA sa-vikAram //
   GG_2.18-1 śrījayadeva-bhaṇitam idam atiśaya-madhuripu-nidhuvana-śīlam /	Gu-_2.18-1 SrI-jayadeva--BaNitam idam atiSaya--maDuripu-niDuvana--SIlam /
   GG_2.18-2 sukham utkaṇṭhita-gopa-vadhū-kathitam vitanotu salīlam //	Gu-_2.18-2 suKam utkaNWita-gopa--vaDU--kaTitam vitanotu sa-lIlam //
   GG_2.18-3 sakhi he keśimathanam udāram	Gu-_2.18-3 saKi he keSimaTanam udAram
   GG_2.18-4 ramaya mayā saha madana-manoratha-bhāvitayā savikāram //	Gu-_2.18-4 ramaya mayA saha madana--manoraTa--BAvitayA sa-vikAram //
   GG_2.19-1 hasta-srasta-vilāsa-vaṃśam anṛju-bhrū-vallimat ballavī-	Gu-_2.19-1 hasta-srasta--vilAsa--vaMSam anRju--BrU--vallimat ballavI-
   GG_2.19-2 vṛnda-utsāri-dṛk-anta-vīkṣitam atisveda-ārdra-gaṇḍa-sthalam /	Gu-_2.19-2 vRnda--utsAri-dRS--anta--vIkzitam ati-sveda-Ardra--gaNxa--sTalam /
   GG_2.19-3 mām udvīkṣya vilakṣitam smita-sudhā-mugdha-ānanam kānane	Gu-_2.19-3 mAm udvIkzya vilakzitam smita-suDA-mugDa-a-Ananam kAnane
   GG_2.19-4 govindam vraja-sundarī-gaṇa-vṛtam paśyāmi hṛṣyāmi ca //	Gu-_2.19-4 govindam vraja--sundarI--gaNa-vRtam paSyAmi hRzyAmi ca //
   GG_2.20-1 durāloka-stoka-stabaka-navaka-aśoka-latikā-	Gu-_2.20-1 durAloka--stoka-stabaka-nava-ka-aSoka--latikA-
   GG_2.20-2 vikāsaḥ kāsāra-upavana-pavanaḥ'pi vyathayati /	Gu-_2.20-2 vikAsaH kAsAra-upavana--pavanaH-api vyaTayati /
   GG_2.20-3 api bhrāmyat-bhṛṅgī-raṇita-ramaṇīyā na mukula-	Gu-_2.20-3 api BrAmyat--BRFgI--raNita--ramaNIyA na mukula-
   GG_2.20-4 prasūtiḥ cūtānām sakhi śikhariṇī iyam sukhayati //	Gu-_2.20-4 prasUtiH cUtAnAm saKi SiKariNI iyam suKayati //
   GG_3.1-1 kaṃsāriḥ api saṃsāra-vāsanā-bandha-śṛṅkhalām /	Gu-_3.1-1 kaMsAriH api saMsAra--vAsanA--banDa--SRFKalAm /
   GG_3.1-2 rādhām ādhāya hṛdaye tatyāja vraja-sundarīḥ //	Gu-_3.1-2 rADAm ADAya hRdaye tatyAja vraja--sundarIH //
   GG_3.2-1 itaḥ tataḥ tām anusṛtya rādhikām anaṅga-bāṇa-vraṇa-khinna-mānasaḥ	Gu-_3.2-1 itas tatas tAm anusRtya rADikAm anaFga--bANa-vraNa--Kinna--mAnasaH
   GG_3.2-2 kṛta-ānutāpaḥ sa kalinda-nandinī-taṭa-anta-kuñje viṣasāda	Gu-_3.2-2 kRta-a-anutApaH sa kalinda-nandinI--tawa-anta--kuQje vizasAda
   mādhavaḥ //	mADavaH //
   GG_3.3-1 mām iyam calitā vilokya vṛtam vadhū-nicayena /	Gu-_3.3-1 mAm iyam calitA vilokya vRtam vaDU--nicayena /
   GG_3.3-2 sa-aparādhatayā mām api na vārita-atibhayena //	Gu-_3.3-2 sa-a-parADa-tayA mAm api na vArita--ati-Bayena //
   GG_3.3-3 harihari hata-ādaratayā gatā sā kupitā iva //	Gu-_3.3-3 hari-hari hata--Adara-tayA gatA sA kupitAH iva //
   GG_3.4-1 kim kariṣyati kim vadiṣyati sā ciram viraheṇa /	Gu-_3.4-1 kim karizyati kim vadizyati sA ciram viraheNa /
   GG_3.4-2 kim dhanena janena kim mama jīvitena gṛheṇa //	Gu-_3.4-2 kim Danena janena kim mama jIvitena gRheNa //
   GG_3.4-3 harihari hata-ādaratayā gatā sā kupitā iva //	Gu-_3.4-3 hari-hari hata--Adara-tayA gatA sA kupitAH iva //
   GG_3.5-1 cintayāmi tat-ānanam kuṭila-bhru kopa-bhareṇa /	Gu-_3.5-1 cintayAmi tat-a-Ananam kuwila--Bru kopa--BareNa /
   GG_3.5-2 śoṇa-padmam iva upari bhramatā ākulam bhramareṇa //	Gu-_3.5-2 SoNa--padmam iva upari BramatA Akulam BramareNa //
   GG_3.5-3 harihari hata-ādaratayā gatā sā kupitā iva //	Gu-_3.5-3 hari-hari hata--Adara-tayA gatA sA kupitAH iva //
   GG_3.6-1 tām aham hṛdi saṃgatām aniśam bhṛśam ramayāmi /	Gu-_3.6-1 tAm aham hRdi saMgatAm aniSam BRSam ramayAmi /
   GG_3.6-2 kim vane anusarāmi tām iha kim vṛthā vilapāmi //	Gu-_3.6-2 kim vane anusarAmi tAm iha kim vRTA vilapAmi //
   GG_3.6-3 harihari hata-ādaratayā gatā sā kupitā iva //	Gu-_3.6-3 hari-hari hata--Adara-tayA gatA sA kupitAH iva //
   GG_3.7-1 tanvi khinnam asūyayā hṛdayam tava ākalayāmi /	Gu-_3.7-1 tanvi Kinnam asUyayA hRdayam tava AkalayAmi /
   GG_3.7-2 tat na vedmi kutaḥ gatā asi na tena te anunayāmi //	Gu-_3.7-2 tat na vedmi kutas gatAH asi na tena te anunayAmi //
   GG_3.7-3 harihari hata-ādaratayā gatā sā kupitā iva //	Gu-_3.7-3 hari-hari hata--Adara-tayA gatA sA kupitAH iva //
   GG_3.8-1 dṛśyase purataḥ gata-āgatam eva me vidadhāsi /	Gu-_3.8-1 dRSyase puratas gata-Agatam eva me vidaDAsi /
   GG_3.8-2 kim purā iva sasaṃbhramaṃ parirambhaṇam na dadāsi //	Gu-_3.8-2 kim purA iva sa-saMBramam pariramBaNam na dadAsi //
   GG_3.8-3 harihari hata-ādaratayā gatā sā kupitā iva //	Gu-_3.8-3 hari-hari hata--Adara-tayA gatA sA kupitAH iva //
   GG_3.9-1 kṣamyatām aparam kadāpi tava īdṛśam na karomi /	Gu-_3.9-1 kzamyatAm aparam kadApi tava IdRSam na karomi /
   GG_3.9-2 dehi sundari darśanam mama manmathena dunomi //	Gu-_3.9-2 dehi sundari darSanam mama manmaTena dunomi //
   GG_3.9-3 harihari hata-ādaratayā gatā sā kupitā iva //	Gu-_3.9-3 hari-hari hata--Adara-tayA gatA sA kupitAH iva //
   GG_3.10-1 varṇitam jayadevakena hareḥ idam pravaṇena /	Gu-_3.10-1 varNitam jayadevakena hareH idam pravaNena /
   GG_3.10-2 kindubilva-samudra-sambhava-rohiṇī-ramaṇena //	Gu-_3.10-2 kindu-bilva--samudra--samBava--rohiNI--ramaNena //
   GG_3.10-3 harihari hata-ādaratayā gatā sā kupitā iva //	Gu-_3.10-3 hari-hari hata--Adara-tayA gatA sA kupitAH iva //
   GG_3.11-1 hṛdi bisa-latā-hāraḥ na ayam bhujaṅgama-nāyakaḥ	Gu-_3.11-1 hRdi bisa-latA-hAraH na ayam BujaFgama-nAyakaH
   GG_3.11-2 kuvalaya-dala-śreṇī kaṇṭhe na sā garala-dyutiḥ /	Gu-_3.11-2 kuvalaya-dala--SreNI kaNWe na sA garala-dyutiH /
   GG_3.11-3 malayaja-rajaḥ na idam bhasma prihāra-hite mayi	Gu-_3.11-3 malayaja---rajaH na idam Basma prihAra-hite mayi
   GG_3.11-4 prahara na hara-bhrāntyā anaṅga krudhā kim u dhāvasi //	Gu-_3.11-4 prahara na hara-BrAntyA anaFga kruDA kim u DAvasi //
   GG_3.12-1 pāṇau mā kuru cūta-sāyakam amum mā cāpam āropaya	Gu-_3.12-1 pANO mA kuru cUta--sAyakam amum mA cApam Aropaya
   GG_3.12-2 krīḍā-nirjita-viśva mūrcchita-jana-āghātena kim pauruṣam /	Gu-_3.12-2 krIxA--nirjita-viSva mUrcCita-jana--AGAtena kim pOruzam /
   GG_3.12-3 tasyāḥ eva mṛgī-dṛśaḥ manasija-preṅkhat-kaṭākṣa-āśuga-	Gu-_3.12-3 tasyAH eva mRgI-dRSaH manasija--preFKat--kawAkza--ASu-ga-
   GG_3.12-4 śreṇī-jarjaritam manāk api manaḥ na adya api saṃdhukṣate //	Gu-_3.12-4 SreNI--jarjaritam manAk api manaH na adya api saMDukzate //
   GG_3.13-1 bhrū-cāpe nihitaḥ kaṭākṣa-viśikhaḥ nirmātu marma-vyathām	Gu-_3.13-1 BrU-cApe nihitaH kawAkza--viSiKaH nirmAtu marma--vyaTAm
   GG_3.13-2 śyāma-ātmā kuṭilaḥ karotu kabarī-bhāraḥ api māra-udyamam /	Gu-_3.13-2 SyAma-AtmA kuwilaH karotu kabarI--BAraH api mAra--udyamam /
   GG_3.13-3 moham tāvat ayam ca tanvi tanutām bimba-adharaḥ rāgavān	Gu-_3.13-3 moham tAvat ayam ca tanvi tanu-tAm bimba-a-DaraH rAgavAn
   GG_3.13-4 sat-vṛtta-stana-maṇḍalaḥ tava katham prāṇaiḥ mama krīḍati //	Gu-_3.13-4 sat--vRtta--stana--maNxalaH tava kaTam prANEH mama krIxati //
   GG_3.14-1 tāni sparśa-sukhāni te ca taralāḥ snigdhāḥ dṛśoḥ vibhramāḥ	Gu-_3.14-1 tAni sparSa--suKAni te ca taralAH snigDAH dRSoH viBramAH
   GG_3.14-2 tat-vaktra-ambuja-saurabham saḥ ca sudhā-syandī girām vakrimā /	Gu-_3.14-2 tat--vaktra--ambuja--sOraBam saH ca suDA-syandI girAm vakrimA /
   GG_3.14-3 sā bimba-adhara-mādhurī iti viṣaya-āsaṅge api cet mānasam	Gu-_3.14-3 sA bimba-a-Dara--mADurI iti vizaya--AsaFge api ced mAnasam
   GG_3.14-4 tasyām lagna-samādhi hanta viraha-vyādhiḥ katham vardhate //	Gu-_3.14-4 tasyAm lagna--samADi hanta viraha--vyADiH kaTam varDate //
   GG_3.15-1 bhrū-pallavam dhanuḥ apāṅga-taraṅgitāni	Gu-_3.15-1 BrU--pallavam DanuH apAFga-taraFgitAni
   GG_3.15-2 bāṇāḥ guṇaḥ śravaṇa-pāliḥ iti smareṇa /	Gu-_3.15-2 bANAH guNaH SravaNa-pAliH iti smareNa /
   GG_3.15-3 tasyām anaṅga-jaya-jaṅgama-devatāyām	Gu-_3.15-3 tasyAm anaFga-jaya--jaFgama--devatAyAm
   GG_3.15-4 astrāṇi nirjita-jaganti kim arpitāni //	Gu-_3.15-4 astrANi nirjita--jaganti kim arpitAni //
   GG_4.1-1 yamunā-tīra-vānīra-nikuñje mandam-āsthitam /	Gu-_4.1-1 yamunA--tIra--vAnIra--nikuQje mandam-a-AsTitam /
   GG_4.1-2 prāha prema-bhara-udbhrāntam mādhavam rādhikā-sakhī //	Gu-_4.1-2 prAha prema-Bara--udBrAntam mADavam rADikA--saKI //
   GG_4.2-1 nindati candanam indukaraṇam anu vindati khedam adhīram /	Gu-_4.2-1 nindati candanam indu-karaNam anu vindati Kedam aDIram /
   GG_4.2-2 vyāla-nilaya-milanena garalam iva kalayati malaya-samīram //	Gu-_4.2-2 vyAla--nilaya--milanena garalam iva kalayati malaya--samIram //
   GG_4.2-3 sā virahe tava dīnā	Gu-_4.2-3 sA virahe tava dInA
   GG_4.2-4 mādhava manasija-viśikha-bhayāt iva bhāvanayā tvayi līnā //	Gu-_4.2-4 mADava manasija--viSiKa--BayAt iva BAvanayA tvayi lInAH //
   GG_4.3-1 avirala-nipatita-madana-śarāt iva bhavat-avanāya viśālam /	Gu-_4.3-1 avirala--nipatita--madana--SarAt iva Bavat-avanAya viSAlam /
   GG_4.3-2 sva-hṛdaya-marmaṇi varma karoti sajala-nalinī-dala-jālam //	Gu-_4.3-2 sva--hRdaya--marmaNi varma karoti sa-jala-nalinI--dala--jAlam //
   GG_4.3-3 sā virahe tava dīnā	Gu-_4.3-3 sA virahe tava dInA
   GG_4.3-4 mādhava manasija-viśikha-bhayāt iva bhāvanayā tvayi līnā //	Gu-_4.3-4 mADava manasija--viSiKa--BayAt iva BAvanayA tvayi lInAH //
   GG_4.4-1 kusuma-viśikha-śara-talpam analpa-vilāsa-kalā-kamanīyam /	Gu-_4.4-1 kusuma--viSiKa--Sara--talpam analpa-vilAsa-kalA--kamanIyam /
   GG_4.4-2 vratam iva tava parirambha-sukhāya karoti kusuma-śayanīyam //	Gu-_4.4-2 vratam iva tava pariramBa--suKAya karoti kusuma-SayanIyam //
   GG_4.4-3 sā virahe tava dīnā	Gu-_4.4-3 sA virahe tava dInA
   GG_4.4-4 mādhava manasija-viśikha-bhayāt iva bhāvanayā tvayi līnā //	Gu-_4.4-4 mADava manasija--viSiKa--BayAt iva BAvanayA tvayi lInAH //
   GG_4.5-1 vahati ca galita-vilocana-jala-bharam ānana-kamalam udāram /	Gu-_4.5-1 vahati ca galita--vilocana--jala--Baram Anana-kamalam udAram /
   GG_4.5-2 vidhum iva vikaṭa-vidhuntuda-danta-dalana-galita-amṛta-dhāram //	Gu-_4.5-2 viDum iva vikawa-viDuntuda-danta--dalana--galita--amRta--DAram //
   GG_4.5-3 sā virahe tava dīnā	Gu-_4.5-3 sA virahe tava dInA
   GG_4.5-4 mādhava manasija-viśikha-bhayāt iva bhāvanayā tvayi līnā //	Gu-_4.5-4 mADava manasija--viSiKa--BayAt iva BAvanayA tvayi lInAH //
   GG_4.6-1 vilikhati rahasi kuraṅga-madena bhavantam asamaśara-bhūtam /	Gu-_4.6-1 viliKati rahasi kuraFga--madena Bavantam asama-Sara--BUtam /
   GG_4.6-2 praṇamati makaram adhaḥ vinidhāya kare ca śaram nava-cūtam //	Gu-_4.6-2 praNamati makaram aDas viniDAya kare ca Saram nava--cUtam //
   GG_4.6-3 sā virahe tava dīnā	Gu-_4.6-3 sA virahe tava dInA
   GG_4.6-4 mādhava manasija-viśikha-bhayāt iva bhāvanayā tvayi līnā //	Gu-_4.6-4 mADava manasija--viSiKa--BayAt iva BAvanayA tvayi lInAH //
   GG_4.7-1 prati-padam idam api nigadati mādhava tava caraṇe patitā aham /	Gu-_4.7-1 prati-padam idam api nigadati mADava tava caraNe patitAH aham /
   GG_4.7-2 tvayi vimukhe mayi sapadi sudhā-nidhiḥ api tanute tanu-dāham //	Gu-_4.7-2 tvayi vimuKe mayi sapadi suDA-niDiH api tanute tanu-dAham //
   GG_4.7-3 sā virahe tava dīnā	Gu-_4.7-3 sA virahe tava dInA
   GG_4.7-4 mādhava manasija-viśikha-bhayāt iva bhāvanayā tvayi līnā //	Gu-_4.7-4 mADava manasija--viSiKa--BayAt iva BAvanayA tvayi lInAH //
   GG_4.8-1 dhyāna-layena puraḥ parikalpya bhavantam atīva durāpam /	Gu-_4.8-1 DyAna--layena puras parikalpya Bavantam atIva durApam /
   GG_4.8-2 vilapati hasati viṣīdati roditi cañcati muñcati tāpam //	Gu-_4.8-2 vilapati hasati vizIdati roditi caQcati muQcati tApam //
   GG_4.8-3 sā virahe tava dīnā	Gu-_4.8-3 sA virahe tava dInA
   GG_4.8-4 mādhava manasija-viśikha-bhayāt iva bhāvanayā tvayi līnā //	Gu-_4.8-4 mADava manasija--viSiKa--BayAt iva BAvanayA tvayi lInAH //
   GG_4.9-1 śrījayadeva-bhaṇitam idam adhikam yadi manasā naṭanīyam /	Gu-_4.9-1 SrI-jayadeva--BaNitam idam aDikam yadi manasA nawanIyam /
   GG_4.9-2 hari-viraha-ākula-ballava-yuvati-sakhī-vacanam paṭhanīyam //	Gu-_4.9-2 hari--viraha--Akula--balla-va--yuvati-saKI--vacanam paWanIyam //
   GG_4.9-3 sā virahe tava dīnā	Gu-_4.9-3 sA virahe tava dInA
   GG_4.9-4 mādhava manasija-viśikha-bhayāt iva bhāvanayā tvayi līnā //	Gu-_4.9-4 mADava manasija--viSiKa--BayAt iva BAvanayA tvayi lInAH //
   GG_4.10-1 āvāsaḥ vipināyate priya-sakhī-mālā api jālāyate	Gu-_4.10-1 AvAsaH vipinAyate priya-saKI-mAlA api jAlAyate
   GG_4.10-2 tāpaḥ api śvasitena dāva-dahana-jvālā-kalāpāyate /	Gu-_4.10-2 tApaH api Svasitena dAva-dahana--jvAlA-kalA-ApAyate /
   GG_4.10-3 sā api tvat-viraheṇa hanta hariṇīrūpāyate hā katham	Gu-_4.10-3 sA api tvat--viraheNa hanta hariNIru-upAyate hA kaTam
   GG_4.10-4 kandarpaḥ api yamāyate viracayan śārdūla-vikrīḍitam //	Gu-_4.10-4 kandarpaH api yamAyate viracayan SArdUla--vikrIxitam //
   GG_4.11-1 stana-vinihitam api hāram udāram /	Gu-_4.11-1 stana--vinihitam api hAram udAram /
   GG_4.11-2 sā manute kṛśa-tanuḥ atibhāram //	Gu-_4.11-2 sA manute kRSa-tanuH ati-BAram //
   GG_4.11-3 rādhikā virahe tava keśava //	Gu-_4.11-3 rADikAH virahe tava keSavaH //
   GG_4.12-1 sarasa-masṛṇam api malayaja-paṅkam /	Gu-_4.12-1 sarasa--masRNam api malayaja--paFkam /
   GG_4.12-2 paśyati viṣam iva vapuṣi saśaṅkam //	Gu-_4.12-2 paSyati vizam iva vapuzi sa-SaFkam //
   GG_4.12-3 rādhikā virahe tava keśava //	Gu-_4.12-3 rADikAH virahe tava keSavaH //
   GG_4.13-1 śvasita-pavanam anupama-pariṇāham /	Gu-_4.13-1 Svasita-pavanam anupama--pariNAham /
   GG_4.13-2 madana-dahanam iva vahati sadāham //	Gu-_4.13-2 madana--dahanam iva vahati sadA-aham //
   GG_4.13-3 rādhikā virahe tava keśava //	Gu-_4.13-3 rADikAH virahe tava keSavaH //
   GG_4.14-1 diśi diśi kirati sajala-kaṇa-jālam /	Gu-_4.14-1 diSi diSi kirati sa-jala--kaNa--jAlam /
   GG_4.14-2 nayana-nalinam iva vigalita-nālam //	Gu-_4.14-2 nayana-nalinam iva vigalita-nAlam //
   GG_4.14-3 rādhikā virahe tava keśava //	Gu-_4.14-3 rADikAH virahe tava keSavaH //
   GG_4.15-1 nayana-viṣayam api kisalaya-talpam /	Gu-_4.15-1 nayana--vizayam api kisalaya--talpam /
   GG_4.15-2 kalayati vihita-hutāśa-vikalpam //	Gu-_4.15-2 kalayati vihita-hutASa--vikalpam //
   GG_4.15-3 rādhikā virahe tava keśava //	Gu-_4.15-3 rADikAH virahe tava keSavaH //
   GG_4.16-1 tyajati na pāṇi-talena kapolam /	Gu-_4.16-1 tyajati na pANi--talena kapolam /
   GG_4.16-2 bāla-śaśinam iva sāyam alolam //	Gu-_4.16-2 bAla-SaSinam iva sAyam alolam //
   GG_4.16-3 rādhikā virahe tava keśava //	Gu-_4.16-3 rADikAH virahe tava keSavaH //
   GG_4.17-1 hariḥ iti hariḥ iti japati sakāmam /	Gu-_4.17-1 hariH iti hariH iti japati sa-kAmam /
   GG_4.17-2 viraha-vihita-maraṇā iva nikāmam //	Gu-_4.17-2 viraha--vihita--maraNAH iva nikAmam //
   GG_4.17-3 rādhikā virahe tava keśava //	Gu-_4.17-3 rADikAH virahe tava keSavaH //
   GG_4.18-1 śrījayadeva-bhaṇitam iti gītam /	Gu-_4.18-1 SrI-jayadeva--BaNitam iti gItam /
   GG_4.18-2 sukhayatu keśava-padam upanītam //	Gu-_4.18-2 suKayatu keSava-padam upanItam //
   GG_4.18-3 rādhikā virahe tava keśava //	Gu-_4.18-3 rADikAH virahe tava keSavaH //
   GG_4.19-1 sā romāñcati sītkaroti vilapati utkampate tāmyati	Gu-_4.19-1 sA romAQcati sItkaroti vilapati utkampate tAmyati
   GG_4.19-2 dhyāyati udbhramati pramīlati patati udyāti mūrcchati api /	Gu-_4.19-2 DyAyati udBramati pramIlati patati udyAti mUrcCati api /
   GG_4.19-3 etāvati atanu-jvare vara-tanuḥ jīvet na kim te rasāt	Gu-_4.19-3 etAvati atanu--jvare vara-tanuH jIvet na kim te rasAt-
   GG_4.19-4 svaḥ-vaidya-pratima prasīdasi yadi tyaktaḥ anyathā na antakaḥ //	Gu-_4.19-4 svaH-vEdya--pratima prasIdasi yadi tyaktaH anyaTA na antakaH //
   GG_4.20-1 smara-āturām daivata-vaidya-hṛdya	Gu-_4.20-1 smara-AturAm dEvata--vEdya--hRdya
