   namas+buddhāya	namas+budDAya
   puṣpavatī+iva salajjā hasitaharanirīkṣitā jayati // VidSrk_5.17 *(87) //	puzpavatI+ iva sa lajjA hasita hara nirIkzitAH jayati // Vit Srj _5.17 *(87) //
   gonandasya	gonandasya
   pratyāsannavivāhamaṅgalavidhau devārcananyastayā	pratyAsanna vivAha maFgala viDO deva arcana nyastayA
   dṛṣṭāgre pariṇetus+eva likhitām+gaṅgādharasya+ākṛtim /	dRzwa agre pariNetus+A iva liKita Am+c aFga aDarasya+A AkRtim /
   unmādasmitaroṣalajjitam+asau gauryā kathaṃcit+cirāt+	unmAda smita roza lajjitam+asO gOryA kaTaMcit+ cirAt+
   vṛddhastrīvacanāt+priye vinihitas+puṣpāñjalis+pātu vas+ // VidSrk_5.18	vRdDa strI vacanAt+priye vinihita s+puzpa aQjali s+pAtu vas+ // Vit Srj _5.18
   % NB Ingalls conjecture @lajjitarasais for @lajjitam+asau in c	% NB Ingalls ca unjet ture @lajjita rasEH foH @lajjitam+asO id c
   śikhipatis+atidurlaḍitas+pitros+abhilaṣati madhyam+adhiśayitum /	SiKi pati s+ati durlaxita s+pitra us+aBilazati maDyam +aDiSayitum /
   tau+api+ekaśarīrau+iti viṣamāśas+ciram+jayati // VidSrk_5.19 *(89) //	tO+api+eka SarIrO+ iti vizama aSas+ciram +jayati // Vit Srj _5.19 *(89) //
   ambā+iyam+nā+iyam+ambā na hi kharakapiśam+śmaśru tasyās+mukhārdhe	ambA+iyam+nA+ iyam +ambA na hi Kara kapiSam+SmaSru tasya as+muKa arDe
   tātas+ayam+na+eṣa tātas+stanam+urasi pitus+dṛṣṭavān+na+aham+atra /	tAta s+ayam+na+eza tAta s+stanam+urasi pitu s+dRzwavAn +na+aham+atra /
   kā+iyam+kas+ayam+kim+etat+yuvatis+atha pumān+vastu kim+syāt+tṛtīyam+	kA+iyam+ka s+ayam +kim +etat +yuvati s+aTa pumAn +vastu kim +syAt+tRtIyam+
   śambhos+saṃvīkṣya rūpāt+apasarati guhas+śaṅkitas+pātu yuṣmān //	SamBos+saMvIkzya rUpa at+apasarati guhas+ SaFkita s+pAtu yuzmAn //
   VidSrk_5.20 *(90) //	Vit Srj _5.20 *(90) //
   svecchārambham+luṭhitvā pitus+urasi citābhasmadhūlīcitāṅgas+	sva icCA AramBa m+luWitvA pitu s+urasi citA Basma DUlI cita aFga s+
   gaṅgāvāriṇi+agādhe jhaṭiti harajaṭājūṭatas+dattajhampas+ /	gaFgA vAriNi +agADe Jawiti hara jawA jUwa tas+datta Jampas+ /
   sadyas+śītkārakārī jalajaḍimaraṇaddantapaṅktis+guhas+vas+	sadyas+ SItkAra kArI jala jaxima raNat danta paFkti s+guhas+vas+
   kampī pāyāt+apāyāt+jvalitaśikhiśikhe cakṣuṣi nyastahastas+ // VidSrk_5.21	kampI pAyAt +apAyAt+ jvalita SiKi SiKe cakzuzi nyasta hasta s+ // Vit Srj _5.21
   \var{svecchārambhaṃ\lem	\var{sva icCA AramBaM\lem
   \conj\ \Ingalls, svecchāramyaṃ \edKG}	\ca unj\ \Ingalls, sva icCA ramyam \edKG}
   haṃsaśreṇikutūhalena kalayan+bhūṣākapālāvalīm+	haMsa SreNi kutUhalena kalayan+ BUzA kapAla AvalIm+
   bālām+indukalām+mṛṇālarabhasāt+āndolayan+pāṇinā /	bAlAm +indu kalAm+ mRNAla raBa sAt+a Andolayan+ pANinA /
   raktāmbhojadhiyā ca locanapuṭam+lālāṭam+udghāṭayan+	rakta amBoja DiyA ca locana puwa m+lAlAwam+udGAwayan+
   pāyāt+vas+pitus+aṅgabhāk+śiśujanakrīḍonmukhas+ṣaṇmukhas+ // VidSrk_5.22	pAyAt+ vas+ pitu s+aFga BAk+SiSujana krIxA unmuKa s+zaNmuKas+ // Vit Srj _5.22
   kapolāt+uḍḍīnais+bhayavaśavilolais+madhukarais+	kapola at+uxxI nEs+Baya vaSa vilolA es+ maDukarEH +
   madāmbhaḥsaṃlobhāt+upari patitum+baddhapaṭalais+ /	mada amBaH saMloBAt+upari patitum +badDa pawala es+ /
   caladbarhacchatraśriyam+iva dadhānas+atirucirām+	calat barha= Catra Sriyam +iva daDAna s+ati rucirAm+
   avighnam+herambas+bhavadaghavighātam+ghaṭayatu // VidSrk_5.23 *(93) //	aviGnam+heH amba s+ Bavat aGa viGAtam +Gawayatu // Vit Srj _5.23 *(93) //
   vasukalpasya	vasu kalpasya
   ekas+sas+eva paripālayatāt+jaganti	ekas+sas+A iva paripAlayatA at+jaganti
   gaurīgirīśacaritānukṛtim+dadhānas+ /	gOrI giri ISa carita anukRti m+da DAna s+ /
   ābhāti yas+daśanaśūnyamukhaikadeśadehārdhahāritavadhūkas+iva+ekadantas+ //	ABAti yas+daSana SUnya muKa eka deSa deha arDa hArita vaDUka s+iva +eka dantas+ //
   VidSrk_5.24 *(94) //	Vit Srj _5.24 *(94) //
   tasya+eva	tasya+eva
   arciṣmanti vidārya vaktrakuharāṇi+ā sṛkkaṇas+vāsukes+	arcizmanti vidArya vaktra kuharANi+A sRk kaNas+vAsukes+
   tarjanyā viṣakarburān+gaṇayatas+saṃspṛśya dantāṅkurān /	tarjanyAH viza karburAn+gaNayatas+ saMspRSya danta aFkurAn /
   ekam+trīṇi nava+aṣṭa sapta ṣaṭ+iti vyastāstasaṃkhyākramās+	ekam +trINi nava +azwa sapta zaw+iti vyasta asta saMKyAkrama As+
   vācas+śaktidharasya śaiśavakalās+kurvantu vas+maṅgalam // VidSrk_5.25	vAcas+ Sakti Darasya SESava kalAs+kurvantu vas+ maFgalam // Vit Srj _5.25
   suptam+pakṣapuṭe nilīnaśirasam+dṛṣṭvā mayūram+puras+	suptam +pakza puwe nilIna Sirasam +dRzwvA mayUram +puras+
   kṛttam+kena śiras+asya tāta kathaya+iti+ākrandatas+śaiśavāt /	kRttam+kena Siras+asya tAta kaTaya+iti+Akrandatas+SESavAt /
   sāntarhāsapinākipāṇiyugalāsphālollasaccetasas+	sa antarhAsa pinAki pANi yugala AsPAla ullasat cetasas+
   tanmūrdhekṣaṇatarpitasya hasitam+pāyāt+kumārasya vas+ // VidSrk_5.26 *(96)	tad mUrDa IkzaNa tarpitasya hasitam +pAyAt+ kumArasya vas+ // Vit Srj _5.26 *(96)
   carcāyās+katham+eṣa rakṣati sadā sadyonṛmuṇḍasrajam+	carcA AyAs+ kaTam +eza rakzati sadA sadyonR muNxa srajam+
   caṇḍīkeśariṇas+vṛṣam+ca bhujagān+sūnos+mayūrāt+api /	caNxIkeSariNas+vRzam +ca BujagAn+sUnaH s+ma yUrAt+api /
   iti+antas+paribhāvayan+bhagavatas+dīrgham+dhiyas+kauśalam+	iti+antas+ pariBAvayan+ Bagavata s+ dIrGam+Di yas+ kOSalam+
   kūṣmāṇḍas+dhṛtisambhṛtām+anudinam+puṣṇāti tundaśriyam // VidSrk_5.27 *(97)	kUzmANxa s+DRti samBRta am+anudinam+puzNAti tunda Sriyam // Vit Srj _5.27 *(97)
   \var{@srajaṃ\lem	\var{@ srajaM\lem
   \emend\ \Ingalls, @sraja \edKG}	\ema ind\ \Ingalls, @sraja \edKG}
   kasmāt+tvam+tātagehāt+aparam+abhinavā brūhi kā tatra vārtā	kasmAt+tvam+tAta geha at+a param+aBinavA brUhi kA tatra vArtA
   devyā devas+jitas+kim+vṛṣaḍamarucitābhasmabhogīndracandrān /	devyAH deva s+jita s+kim+vRzaxam arucitA Basma Bogi indra candrAn /
   iti+evam+barhināthe kathayati sahasā bhartṛbhikṣāvibhūṣāvaiguṇyodvegajanmā	iti+evam+barhi nATe kaTayati sahasA BartR BikzA viBUzA vEguNya udvega janmA
   jagat+avatu ciram+hāravas+bhṛṅgarīṭes+ // VidSrk_5.28 *(98) //	jagat +avatu ciram+hAra vas+ BRFga rIwes+ // Vit Srj _5.28 *(98) //
   tuṅgasya+etau	tuFgasya+etO
   sthūlas+dūram+ayam+na yāsyati kṛśas+na+eṣa prayāṇakṣamas+	sTUla s+dUram +ayam+na yAsyati kRSa s+na+eza prayANa kzamas+
   tena+ekasya mama+eva tatra kaśipuprāptis+parā dṛśyate /	tena +ekasya mama+A iva tatra kaSipu prApti s+parA dRSyate /
   ityādau paricintitam+pratimuhus+tat+bhṛṅgikūṣṇāṇḍayos+	ityAdO paricintitam+pratimuhu s+tat+ BRFgi kUzNa aNxayos+
   anyonyapratikūlam+īśaśivayos+pāṇigrahe pātu vas+ // VidSrk_5.29 *(99) //	anyonya pratikUlam +ISa Siva yos+ pANigrahe pAtu vas+ // Vit Srj _5.29 *(99) //
   jyākṛṣṭibaddhakhaṭakāmukhapāṇipṛṣṭhapreṅkhannakhāṃśucayasaṃvalitas+ambikāyās+	jyA kRzwi badDa KawakAmuKa pANi pRzWa preFKat naKa aMSu caya saMvalita s+ambikAyAs+
   tvām+pātu	tvAm +pAtu
   mañjaritapallavakarṇapūralobhabhramadbhramaravibhramabhṛt+kaṭākṣas+ //	maQjarita pallava karNapUra loBa Bramat Bramara viBrama BRt+ kawAkzas+ //
   VidSrk_5.30 *(100) //	Vit Srj _5.30 *(100) //
   acalasiṃhasya	acala siMhasya
   mātas+te+adharakhaṇḍanāt+paribhavas+kāpālikāt+yas+abhavat+	mAta s+te+a Dara KaNxa nAt+ pariBava s+ kA pAlikA t+ya s+aBavat+
   sa brahmādiṣu kathyatām+iti muhus+bālyāt+guhe jalpati /	sa brahma Adizu kaTyatAm +iti muhur +bAlya at+guhe jalpati /
   gaurīm+hastayugena ṣaṇmukhavacas+roddhum+nirīkṣya+akṣamām+	gOrIm+hasta yugena zaNmuKa vacas+ra udDum+nirIkzya +akzam Am+
   vailakṣyāt+caturāsyaniṣphalaparāvṛttis+ciram+pātu vas+ // VidSrk_5.32	vEla kzyAt+ caturAsya nizPala parAvRtti s+ciram +pAtu vas+ // Vit Srj _5.32
   gonāsāya niyojitāgadarajās+sarpāya baddhauṣadhis+	gonAsAya niyojita agada rajAs+sarpAya badDa ozaDi s+
   pāṇisthāya viṣāya vīryamahate kaṇṭhe maṇim+bibhratī /	pANisTAya vizAya vIryam ahate kaNWe maNim+biBratI /
   bhartus+bhūtagaṇāya gotrajaratīnirdiṣṭamantrākṣarā	Bartu s+BUta gaNAya gotra jaratI nirdizwa mantra akzarA
   rakṣatu+adrisutā vivāhasamaye prītā ca bhītā ca vas+ // VidSrk_5.32 *(102)	rakzatu+adri sutA vivAha samaye prItA ca BItA ca vas+ // Vit Srj _5.32 *(102)
   % NB Ingalls reads with other sources kaṇṭhasthāya...pāṇau for	% NB IngallH readH wiT oTeH sourceH kaNWa sTAya... pANO for
   % pāṇisthāya... kaṇṭhe	% pANi sTAya... kaNWe
   rājaśekharasya	rAjaSeKarasya
   digvāsās+yadi tat+kim+asya dhanuṣā sāstrasya kim+bhasmanā	digvAsa As+yadi tat+kim+asya DanuzA sa astrasya kim +BasmanA
   bhasmāṅgasya kim+aṅganā yadi ca sā kāmam+paridveṣṭi kim /	Basma aFgasya kim +aFganA yadi ca sA kAmam +paridvezwi kim /
   iti+anyonyaviruddhaceṣṭitam+idam+paśyan+nijasvāminas+	iti+anyonya virudDa cezwitam +idam +paSyan+ nija svAminas+
   bhṛṅgī sāndraśirāvanaddhaparuṣam+dhatte+asthiśeṣam+vapus+ // VidSrk_5.33	BRFgI sAndra Sira avanadDa paruzam +Datte+ asTi Sezam +vapus+ // Vit Srj _5.33
   \Colo iti śivagaṇavrajyā	\ColaH iti Siva gaNa vrajyA
   % tatas+harivrajyā	% tatas+ harivrajyA
   asti śrīstanapatrabhaṅgamakarīmudrāṅkitoraḥsthalas+	asti SrI stana patra BaFga makarImudra aFkita uraH sTalas+
   devas+sarvajagatpatis+madhuvadhūvaktrābjacandrodayas+ /	deva s+ sarva jagat pati s+maDu vaDU vaktra abja candra udayas+ /
   krīḍākroḍatanos+navenduviśade daṃṣṭrāṅkure yasya bhūs+	krIxA kroxa tana us+nava indu viSade daMzwra aFkure yasya BUs+
   bhāti sma pralayābdhipalvalatalotkhātaikamustākṛtis+ // VidSrk_6.1 *(104)	BAti sma pralaya abDi palvala tala utKAta eka mustA AkRti s+ // Vit Srj _6.1 *(104)
   pṛṣṭhabhrāmyadamandamandaragirigrāvāgrakaṇḍūyanāt+	pRzWa BrAmi at amanda mandara giri grAva agra kaNxUyanAt+
   nidrālos+kamaṭhākṛtes+bhagavatas+śvāsānilās+pāntu vas+ /	nidrA los+ka maWa AkRta Is+Bagavatas+ SvAsa anila as+pAntu vas+ /
   yatsaṃskārakalānuvartanavaśāt+velācchalena+ambhasām+	yad saMskAra kalA anuvartana va SAt+velAt Calena +amBa sAm+
   yātāyātam+ayantritam+jalanidhes+na+adya+api viśrāmyati // VidSrk_6.2	yAtAyAtam+a yantritam+jala niDes+na+adya+ api viSrAmyati // Vit Srj _6.2
   vākpatirājasya+etau	vAkpati rAjasya +etO
   niṣpratyūham+upāsmahe bhagavatas+kaumodakīlakṣmaṇas+	nizpratyUham +upAsmahe Bagavata s+kOmodakI lakzmaNas+
   kokaprīticakorapāraṇapaṭū jyotiṣmatī locane /	koka prIti cakora pAraNa pawU jyotizmatI locane /
   yābhyām+ardhavibodhamugdhamadhuraśrīs+ardhanidrāyitas+	yAByAm +arDa viboDa mugDa maDura SrI s+arDa nidrAyitas+
   nābhīpalvalapuṇḍarīkamukulas+kambos+sapatnīkṛtas+ // VidSrk_6.3 *(106) //	nABI palvala puNxarIka mukulas+ kambos+sapatnIkRtas+ // Vit Srj _6.3 *(106) //
   viramati mahākalpe nābhīpathaikaniketanam+	viramati mahAkalpe nABI paTa eka niketanam+
   tribhuvanapuraḥśilpī yasya pratikṣaṇam+ātmabhūs+ /	triBuvana puras SilpI yasya pratikzaNam +Atma BUs+ /
   kimadhikaraṇā kīdṛk+kasya vyavasthitis+iti+asau+	kim aDikaraNA kIdRk+kasya vyavasTiti s+iti +asO+
   udaram+aviśat+draṣṭum+tasmai jagannidhaye namas+ // VidSrk_6.4 *(107) //	udaram +aviSat+ drazwum+tasmE jagat niDaye namas+ // Vit Srj _6.4 *(107) //
   devi tvam+kupitā tvam+eva kupitā kas+anyas+pṛthivyās+gurus+	devi tvam +kupitA tvam +A iva kupitA kas+anya s+ pRTivyAs+ guru s+
   mātā tvam+jagatām+tvam+eva jagatām+mātā na vijñas+aparas+ /	mAtA tvam +jagatAm +tvam +A iva jagatAm +mAtA na vijQas+a paras+ /
   devi tvam+parihāsakelikalahe+anantā tvam+eva+iti+atha	devi tvam +parihAsa keli kalahe+anantA tvam+eva+ iti+aTa
   jñātānantyapadas+naman+jaladhijām+śauris+ciram+pātu vas+ // VidSrk_6.5	jQAta Anantya pada s+nam an+ jalaDi jAm+ SOri s+ciram +pAtu vas+ // Vit Srj _6.5
   vākpatirājasya	vAkpati rAjasya
   kas+ayam+dvāri haris+prayāhi+upavanam+śākhāmṛgeṇa+atra kim+	kas+ayam +dvAri hari s+prayAhi+upavanam+SAKAmRgeNa +atra kim+
   kṛṣṇas+aham+dayite bibhemi sutarām+kṛṣṇas+katham+vānaras+ /	kRzNa s+aham +dayite biBemi sutarAm +kRzNas+ kaTam+vAnaras+ /
   mugdhe+aham+madhusūdanas+vraja latām+tām+eva puṣpāsavām+	mugDe+aham+maDusUdana s+vraja latAm+tAm+eva puzpAsavAm+
   ittham+nirvacanīkṛtas+dayitayā hrīṇas+haris+pātu vas+ // VidSrk_6.6 *(109)	itTam +nirvacanIkRta s+dayitayA hrINa s+hari s+pAtu vas+ // Vit Srj _6.6 *(109)
   mandakvāṇitaveṇus+ahṇi śithile vyāvartayan+gokulam+	manda kvANita veNu s+ahNi SiTile vyAvartayan+ gokulam+
   barhāpīḍakam+uttamāṅgaracitam+godhūlidhūmram+dadhāt /	barhApIxakam +uttamAFga racitam+goDUli DUmram +daDAt /
   mlāyantyā vanamālayā parigatas+śrāntas+api ramyākṛtis+	mlAyantyAH vanamAlayA parigata s+SrAntas+api ramya AkRti s+
   gopastrīnayanotsavas+vitaratu śreyāṃsi vas+keśavas+ // VidSrk_6.7 *(110)	gopa strI nayana utsava s+vitaratu SreyAMsi vas+keSa vas+ // Vit Srj _6.7 *(110)
   viṣṇos+dānavavāhinīpramathaneṣṭyāpūraṇāyā+ādarāt+	vizNos+da anava vAhinI pramaTana izwyApUraNAya a+AdarAt+
   āttas+pāṇiyugodareṇa karaśreṇyā śriyā+ālambhitas+ /	Atta s+ pANi yuga udareNa karaSreNyA SriyA a+AlamBitas+ /
   niryātas+vadanena kukṣivasates+patyus+talāt+arṇasām+	niryAta s+vadanena kukzi vasates+patyu s+ta lAt+aRNa sAm+
   śaṅkhas+apatyaparaṃpatāvṛtas+iva śreyāṃsi puṣṇātu vas+ // VidSrk_6.8	SaFKa s+apatya paraMpata AvRta s+iva SreyAMsi puzNAtu vas+ // Vit Srj _6.8
   sa jayati+ādivarāhas+daṃṣṭrāniṣpiṣṭakulagirikaserus+ /	sa jayati+Adi varAha s+daMzwrA nizpizwa kula girikaserus+ /
   yasya puras+surakariṇas+sāṅkuramāṣopamās+jātas+ // VidSrk_6.9 *(112) //	yasya pura s+sura kariNa s+sA aFkura mAza upamAs+jAtas+ // Vit Srj _6.9 *(112) //
   jīyāsus+śakulākṛtes+bhagavatas+pucchachaṭāchoṭanāt+	jIyAsu s+Sa kula AkRta Is+Bagavata s+pucCa CawA CowanAt+
   udyantas+śatacandritāmbaratalam+te bindavas+saindhavās+ /	udyanta s+Sata candrita ambara tala m+te binda vas+ sEnDavAs+ /
   yais+vyāvṛtya patadbhis+aurvaśikhinas+tejojaṭālam+vapus+	yEs+vyAvRtya patadBis+OrvaSi Kina s+ tejaH jawAlam +vapus+
   pānādhmānavaśāt+arocakarujas+cakre cirasya+āspadam // VidSrk_6.10 *(113)	pAna ADmAna vaSAt+arocaka rujas+ cakre cirasya+Aspadam // Vit Srj _6.10 *(113)
   rājaśekharasya	rAjaSeKarasya
   kutas+tvam+aṇukas+svatas+svam+iti kim+na yat+kasyacit+	kutas+tvam +aNukas+svata s+svam +iti kim +na yat+kasyacit+
   kim+icchasi padatrayam+nanu bhuvā kim+atyalpayā /	kim +icCasi pada traya m+nanu BuvA kim +ati alpayA /
   dvijasya śaminas+mama tribhuvanam+tat+iti+āśayas+	dvijasya Samina s+mama triBuvanam +tat+iti+ASayas+
   hares+jayati nihnutas+prakaṭitas+ca vakroktibhis+ // VidSrk_6.11 *(114) //	hares+jayati nihnutas+ prakawita s+ca vakra uktiBis+ // Vit Srj _6.11 *(114) //
   śreyas+asyās+ciram+astu mandaragires+mā ghāni pārśvais+iyam+	Sreyas+asya as+ciram+astu mandara gires+mA GAni pArSvEs+iyam+
   mā+avaṣṭambhi mahormibhis+phaṇipates+mā lepi lālāviṣais+ /	mA+ avazwamBi mahA UrmiBi s+ PaNi pates+mA lepi lAlA viza es+ /
   iti+ākūtajuṣas+śriyam+jalanidhes+ardhotthitām+paśyatas+	iti+AkUta juzas+ Sriyam+jala niDes+arDa utTitAm+paSyata s+
   vācas+antas+spuritās+bahis+vikṛtibhis+vyaktās+hares+pāntu vas+ //	vAcas+anta s+spurita as+ bahis+vikRti Bis+vyakta as+ hares+pAntu vas+ //
   VidSrk_6.12 *(115) //	Vit Srj _6.12 *(115) //
   caṭaccaṭiti carmiṇi cchamiti ca+ucchalacchoṇite	cawat cawiti carmiNi cCam iti ca+ucCalat SoNite
   dhagaddhagiti medasi sphuṭaravas+asthiṣu ṣṭhāditi /	DagadDak iti medasi sPuwa rava s+asTizu zWAt iti /
   punātu bhavatas+hares+amaravairnāthorasi	punAtu Bavata s+hares+amaravEH nATa urasi
   kvaṇatkarajapañjarakrakacakāṣajanmānalas+ // VidSrk_6.13 *(116) //	kvaNat kara ja paQjara krakaca kAza janmAnalas+ // Vit Srj _6.13 *(116) //
   vākpates+etau	vAc pates+etO
   vande	vande
   bhujabhramitamandaramathyamānadugdhābdhidugdhakaṇavicchuritacchavīkam /	Buja Bramita mandara maTyamAna dugDa abDi dugDa kaNa vicCuri ta= CavIkam /
   nakṣatrakarburaviyatpratirodhi nindadunnidrakais+avataḍāgam+uras+murāres+	nakzatrakarbura viyat pratiroDi nindat unnidra kEs+ava taxAgam+u H as+murAres+
   // VidSrk_6.14 *(117) //	// Vit Srj _6.14 *(117) //
   murāres+	murAres+
   bhramati girirāṭ+pṛṣṭhe garjati+upaśruti sāgaras+	Bramati giri rAw+ pRzWe garjati+upaSruti sAgara s+
   dahati vitatajvālājālas+jaganti viṣānalas+ /	dahati vitata jvAlA jAla s+jaganti vizAn alas+ /
   sa tu vinihitagrīvākāṇḍas+kaṭāhapuṭāntare	sa tu vinihita grIvA kANxa s+ kawAha puwa antare
   svapiti bhagavān+kūrmas+nidrābharālasalocanas+ // VidSrk_6.15 *(118) //	svapiti BagavAn +kUrma s+ nidrA Bara alasa locanas+ // Vit Srj _6.15 *(118) //
   bhaktiprahvavilokanapraṇayinī nīlotpalaspardhinī	Bakti prahva vilokana praNayinI nIlotpala sparDinI
   dhyānālambanatām+samādhiniratais+nīte hitaprāptaye /	DyAna Alambana tAm+ samADi niratEs+nIte hita prAptaye /
   lāvaṇyasya mahānidhis+rasikatām+lakṣmīdṛśos+tanvatī	lAvaNyasya mahA niDi s+rasika tAm +lakzmI dRSaH s+tanvatI
   yuṣmākam+kurutām+bhavārtiśamanam+netre tanus+vā hares+ // VidSrk_6.16	yuzmAkam +kurutAm +Bava Arti Samanam +netre tanu s+vA hares+ // Vit Srj _6.16
   pucchodastavisāriṇas+jalanidhes+svargaṅgayā	pucCa udasta visAriNa s+jala niDes+svargaFgayA
   saṃgamaśraddhāhūtakhalatpurātanamunis+mīnas+haris+pātu vas+ /	saMgama SradDA AhUta Kalat purAtana muni s+mIna s+hari s+pAtu vas+ /
   yasmin+uddharati śrutīs+pṛthutarāt+oṃkārasāradhvanes+madhyesindhu	yasmin +udDarati SrutI s+pRTuta rAt+oMkAra sAra Dvanes+maDyesinDu
   viyanmayas+jalamayas+stambhas+tu+abhūt+ambare // VidSrk_6.17 *(120) //	viyat mayas+ jala maya s+stamBa s+tu+a BUt+ ambare // Vit Srj _6.17 *(120) //
   \var{jalamayaḥ\lem	\var{ jala mayaH\lem
   \emend\ \Ingalls, jalamaya@ \edKG}	\ema ind\ \Ingalls, jala maya@ \edKG}
   jṛmbhāvijṛmbhitadṛśas+prathamaprabuddhalakṣmīkarāmburuhalālanalālasasya /	jRmBA vijRmBita dRSa s+praTama prabudDa lakzmI kara amburuha lAlana lAlasasya /
   gātrāpavṛttibharakharvitaśeṣam+avyāt+avyāhatam+murajitas+kṛtakaprasuptam	gAtra apavRtti Bara Karvita Sezam+avyAt+a vyAhatam +murajita s+kRtaka prasuptam
   // VidSrk_6.18 *(121) //	// Vit Srj _6.18 *(121) //
   mayā+anviṣṭas+dhūrtas+sa sakhi nikhilām+eva rajanīm+iha syāt+atra syāt+iti	mayA a+anvizwa s+DUrtas+sa saKi niKila Am+A iva rajanIm+iha syAt +atra syAt+iti
   nipuṇam+anyām+abhisṛtas+ /	nipuNam+anyAm+aBisRtas+ /
   na dṛṣṭas+bhāṇḍīre taṭabhuvi na govardhanagires+na kālindyās+kūle na ca	na dRzwa s+BANxIre tawa Buvi na govarDana gires+na kAlindyAs+ kUle na ca
   niculakuñje muraripus+ // VidSrk_6.19 *(122) //	nicula kuQje mura ripus+ // Vit Srj _6.19 *(122) //
   śyāmā+uccandrā svapiṣi na śiśo na+eti mām+amba nidrā	SyAmA+uccandrA svapizi na SiSaH na+A iti mAm +amba nidrA
   nidrāhetos+śṛṇu suta kathām+kām+apūrvām+kuruṣva /	nidrA hetos+SRNu suta kaTAm +kAm+a pUrvAm +kuruzva /
   rāmas+nāma kṣitipatis+abhūt+mānanīyas+raghūṇām+	rAmas+nAma kzitipati s+a BUt+ mAnanIya s+ra GUNAm+
   iti+uktasya smitam+avatu vas+devakīnandanasya // VidSrk_6.20 *(123) //	iti+uktasya smitam +avatu vas+devakI nandanasya // Vit Srj _6.20 *(123) //
   kharvagranthivimuktasandhivikasadvakṣaḥsphuratkaustubham+	Karva granTi vimukta sanDi vikasat vakzaH sPurat kOstuBam+
   niryannābhisarojakuḍmalakuṭīgambhīrasāmadhvani /	niryad na aBi saroja kuxmala kuwI gamBIra sAma Dvani /
   pātrāvāptisamutsukena balinā sānandam+ālokitam+	pAtra avApti samutsukena balinA sa Anandam +a Alokitam+
   pāyāt+vas+kramavardhamānamahimāścaryam+murāres+vapus+ // VidSrk_6.21	pAyAt+vas+ krama varDamAna mahima AScaryam +murA res+vapus+ // Vit Srj _6.21
   uttiṣṭhantyā ratānte bharam+uragapatau pāṇinā+ekena kṛtvā	uttizWantyA rata ante Baram+uraga patO pANinA +ekena kRtvA
   dhṛtvā ca+anyena vāsas+vigalitakabarībhāram+aṃse vahantyās+ /	DRtvA ca+anyena vAsas+ vigalita kabarI BAram +aMse vahanti As+ /
   bhūyas+tatkālakāntidviguṇitasurataprītinā śauriṇā vas+	BUyas+ tad kAla kAnti dvi guNita surata prItinA SOriNA vas+
   śayyām+ālambya nītam+vapus+alasalasadbāhu lakṣmyās+punātu // VidSrk_6.22	SayyAm +a Alambya nItam +vapu s+ala sala sat bAhu lakzmyAs+punAtu // Vit Srj _6.22
   % NB Ingalls tentatively suggests āliṅgya for ālambya in d.	% NB IngallH tentativelI suggeH tH AliFgya foH AlambyaH id d.
   \var{@maṃse\lem	\var{@m aMse\lem
   \conj\ \Ingalls, @maṃśaṃ \edKG	\ca unj\ \Ingalls, @maMSam \edKG
   sampūrṇas+punar+abhyudeti kiraṇais+indus+tatas+dantinas+	sampUrNa s+punar+aByudeti kiraNa es+indus+tata s+dantinas+
   kumbhadvandvam+idam+punas+surataros+agrollasanmañjarī /	kumBa dvandvam +idam+punas+ surataros+agra ullasat maQjarI /
   ittham+yadvadanastanadvayavaladromāvalīṣu bhramas+	itTam +yat vadana stana dvaya valat roma AvalIzu Bramas+
   kṣīrābdhes+mathane+abhavat+diviṣadām+lakṣmīs+asau+astu vas+ // VidSrk_6.23	kzIrAbDes+maTane+a Bavat+ di viza dAm+ lakzmI s+asO+aH tu vas+ // Vit Srj _6.23
   bhabhabhramati kim+mahī lalalalambate candramās+	BaBaBramati kim +mahI lalalalambate candramAs+
   kṛkṛṣṇa vavada drutam+hahahasanti kim+vṛṣṇayas+ /	kRkRzNa vavada drutam +hahahasanti kim +vRzNayas+ /
   śiśīdhu mumumuñca me vavavavaktram+ityādikam+	SiSIDu mumumuQca me vavavavaktram +ityAdikam+
   madaskhalitam+ālapan+haladharas+śriyam+vas+kriyāt // VidSrk_6.24 *(127) //	mada sKalitam+Alapan+ halaDara s+Sriyam +vas+ kriyAt // Vit Srj _6.24 *(127) //
   puruṣottamadevasya	puruzottama devasya
   kim+kim+siṃhas+tatas+kim+narasadṛśavapus+deva citram+gṛhītas+	kim +kim+siMha s+tata s+ki m+nara sadRSa vapus+dA iva citram+gRhIta s+
   na+evam+tat+kas+atra jīva drutam+upanaya tam+nanu+ayam+prāptas+eva /	na+evam+tat+ka s+atra jIva drutam +upanaya tam+nanu+ayam +prApta s+A iva /
   cāpam+cāpam+na khaḍgam+tvaritataram+aho karkaśatvam+nakhānām+	cApam +cApam+na Kaxgam +tvaritataram +aho karkaSa tvam+naKAnAm+
   ittham+daityādhirājam+nijanakhakuliśais+jaghnivān+yas+sa vas+avyāt //	itTam +dEtya ADirAja m+nija naKa kuliSEs+jaGnivAn +yas+ sa vas+avyAt //
   VidSrk_6.25 *(128) //	Vit Srj _6.25 *(128) //
   devas+tvām+ekajaṅghāvalayitalaguḍas+mūrdhni vinyastabāhus+	deva s+tvAm +eka jaFGA valayi tala guxa s+mUrDni vinyasta bAhu s+
