   Madhusūdanasarasvatī: Siddhāntabindu	MaDusUdana-sarasvatI: SidDAnta-bindu
   śūnyavādaprasaṅgāt / tasya ca satyatve tadanivṛtter anirmokṣaprasaṅgāc ca	SUnya-vAda-prasaFgAt / tasya ca satya-tve tad-anivRtteH anirmokza-prasaFgAt ca
   / na hi satyaṃ kvacin nivartate, nivartamānaṃ vā bhramajñānena / śrutayaś	/ na hi satyam kvacid nivartate, nivartamAnam vA Brama-jQAnena / SrutayaH-
   ca "bhidyate hṛdayagranthiś chidyante sarvasaṃśayāḥ / kṣīyante cāsya	ca "Bidyate hRdaya-granTiH Cidyante sarva-saMSayAH / kzIyante ca-asya
   karmāṇi tasmin dṛṣṭe parāvare (MU II.2.8)" "tam eva viditvātimṛtyum eti	karmANi tasmin dRzwe parAvare (MU II.2.8)" "tam eva viditvA-ati-mRtyum eti
   nānyaḥ panthā vidyate ayanāya (SU III.8)" "tarati śokam ātmavit (ChU	na-anyaH panTAH vidyate ayanAya (SU III.8)" "tarati Sokam Atma-vid (ShU
   VII.1.3)" ityādyāḥ jñānāt sarvasaṃsāranivṛttiṃ darśayantyaḥ tasya	VII.1.3)" ityAdyAH jQAnAt sarva-saMsAra-nivRttim darSayantyaH tasya
   mithyātvaṃ sūcayanti / "ekam evādvitīyam (ChU VI.2.1)" "ato 'nyad ārtam	miTyAtvam sUcayanti / "ekam eva-advitIyam (ShU VI.2.1)" "ataH anyat Artam
   (BAU III.4.2)" "neha nānāsti kiṃcana (BAU IV.4.19)" "athāta ādeśo neti	(BAU III.4.2)" "na-iha nAnA-asti kiMcana (BAU IV.4.19)" "aTAtas AdeSaH na-iti
   neti (BAU II.3.6)" ityādyāḥ śrutayaḥ sākṣād eva mithyātvaṃ pratipādayanti	na-iti (BAU II.3.6)" ityAdyAH SrutayaH sAkzAt eva miTyAtvam pratipAdayanti
   / dṛśyatvena śuktirajatavan mithyātvānumānac ca / ātmanya adhyastatayaiva	/ dRSya-tvena Sukti-rajata-vat miTyAtva-anumAnat ca / AtmanyaH aDyasta-tayA-eva
   cānātmani siddhe tatrātmādhyāsaḥ / anātmādhyāsena cātmano	ca-anAtmani sidDe tatra-Atma-aDyAsaH / anAtma-aDyAsena ca-AtmanaH-
   doṣasādṛśyādisambhavāt tatra cānātmādhyāsa ityātmāśrayādidoṣaprasaṅgāc ca	doza-sAdRSya-Adi-samBavAt tatra ca-anAtma-aDyAsaH iti-Atma-ASraya-Adi-doza-prasaFgAt ca
   / etenātmānātmādhyāsasyāvidyākalpitatvān na vikalpāvasara ity apāstam	/ etena-AtmAn-Atma-aDyAsasya-avidyA-kalpita-tvAt na vikalpa-avasaraH iti apAstam
   svaprakāśātmany avidyāyā apy anupapatteḥ / tathāhi sāpi adhyastānadhyastā	sva-prakASa-Atmani avidyAyAH api anupapatteH / taTA-hi sA-api aDyasta-anaDyastA
   vā / tatrādye kathaṃ nātmāśrayādidoṣaprasaṅgaḥ / antye tasyā anucchedād	vA / tatra-Adye kaTam na-Atma-ASraya-Adi-doza-prasaFgaH / antye tasyAH anucCedAt-
   anirmokṣaprasaṅaḥ / sarvasyādhyāsamūlatve ca bhramapramādivyavasthā na	anirmokza-prasaFaH / sarvasya-aDyAsa-mUla-tve ca Brama-pramAdi-vyavasTA na
   syāt / ekasyaivātmanaḥ pramāṇaprameyapramitipramātṛrūpatā ca viruddhā,	syAt / ekasya-eva-AtmanaH pramANa-prameya-pramiti-pramAtR-rUpa-tA ca virudDA,
   avirodhābhyupagame vā saugatam atopapattir iti /	aviroDa-aByupagame vA sOgatam ata-upapattiH iti /
   atrocyate -- ahaṃ manuṣyah kartā bhoktetyādipratītis tāvat sarvajanasiddhā	atra-ucyate - aham manuzyah kartA BoktA-ityAdi-pratItiH tAvat sarva-jana-sidDA
   / sā ca na smṛtir aparokṣāvabhāsatvād bhedāgrahapūrvakatvāc ca /	/ sA ca na smRtiH aparokza-avaBAsa-tvAt Beda-Agraha-pUrvaka-tvAt ca /
   nāpi pramā śrutiyuktibādhitatvāt / tathā ca śrutayaḥ "yo 'yaṃ vijñānamayaḥ	na-api pramA Sruti-yukti-bADita-tvAt / taTA ca SrutayaH "yaH ayam vijQAna-mayaH
   prāṇeṣu hṛdyantarjyotiḥ puruṣaḥ (BAU IV.3.7)" "ayam ātmā brahma (BAU	prANezu hRdi-antar-jyotiH puruzaH (BAU IV.3.7)" "ayam AtmA brahma (BAU
   II.5.19)" "satyaṃ jñānam anantaṃ brahma (TU II.1)" "vijñānam ānandaṃ	II.5.19)" "satyam jQAnam anantam brahma (TU II.1)" "vijQAnam Anandam
   brahma (BAU III.9.28)" "ya ātmā apahatapāpmā (ChU VI.7.1)" yat sākṣād	brahma (BAU III.9.28)" "yaH AtmA apahata-pApmA (ShU VI.7.1)" yat sAkzAt-
   aparokṣād brahma ya ātmā sarvāntaraḥ (BAU III.4.1)" "yo 'śanāyāpipāse	aparokzAt brahma yaH AtmA sarva-antaraH (BAU III.4.1)" "yaH aSanAyA-pipAse
   śokaṃ mohaṃ jarāṃ mṛtyum atyeti (BAU III.5.1)" "sa yat tatra kiñcit	Sokam moham jarAm mRtyum atyeti (BAU III.5.1)" "sa yat tatra kiQcid-
   paśyati ananvāgatas tena bhavati asaṅgo hy ayaṃ puruṣaḥ (BAU IV.3.15)"	paSyati ananvAgataH tena Bavati asaFgaH hi ayam puruzaH (BAU IV.3.15)"
   ityādyā akartṛbhoktṛparamānandarūpatām ātmano darśayanti / yuktaś ca	ityAdyAH akartR-BoktR-param-Ananda-rUpa-tAm AtmanaH darSayanti / yuktaH ca
   vikārī paricchinnatvenānātmatvāpatteḥ svenaiva svasya grahaṇe	vikArI paricCinna-tvena-anAtma-tva-ApatteH svena-eva svasya grahaNe
   kartṛkarmavirodhāt dṛgdṛśyayoś ca sambandhānupapatteḥ bhedenābhedena vā	kartR-karma-viroDAt dRS-dRSyayoH ca sambanDa-anupapatteH Bedena-aBedena vA
   dharmadharmibhāvānupapatteś ca / jñānānityatvapakṣe	Darma-Darmi-BAva-anupapatteH ca / jQAna-anitya-tva-pakze
   tattadvyaktibhedadhvaṃsaprāgabhāvasamavāyajñānatvajātyādyabhyupagame	tad-tad-vyakti-Beda-DvaMsa-prAgaBAva-samavAya-jQAna-tva-jAti-Adi-aByupagame
   gauravāt, ekatvābhyupagame cātilāghavāt, ghaṭajñānaṃ paṭajñānam ity	gOrava-at, eka-tva-aByupagame ca-ati-lAGavAt, Gawa-jQAnam pawa-jQAnam iti-
   upādhibhedapuraskāreṇaiva jñānabhedapratīteḥ / svatas tu jñānaṃ jñānam iti	upADi-Beda-puraskAreNa-eva jQAna-Beda-pratIteH / svatas tu jQAnam jQAnam iti
   ekasvarūpāvagamāt, tadutpattivināśapratītyoś	eka-svarUpa-avagamAt, tad-utpatti-vinASa-pratItyoS
   cāvaśyakalpyaviṣayasambandhaviṣayatayāpy upapatteḥ, upādhiparāmarśam	ca-avaSya-kalpya-vizaya-sambanDa-vizaya-tayA-api upapatteH, upADi-parAmarSam
   antareṇa svata eva ghaṭād ghaṭāntarasya bhedapratītes	antareNa svatas eva GawAt Gawa-antarasya Beda-pratIteH-
   tatpratibandīgrahāsambhavād ākāśakāladiśām api nānātvāpatteś ca /	tad-pratibandI-graha-asamBavAt AkASa-kAla-diSAm api nAnAtva-ApatteH ca /
   kartṛtvāder vāstavatve 'nirmokṣaprasaṅgāt /	kartR-tva-AdeH vAstava-tve anirmokza-prasaFgAt /
   svaprakāśānabhyupagame ca jagadāndhyaprasaṅgāt, paramapremāspadatvena ca	sva-prakASa-anaByupagame ca jagat-AnDya-prasaFgAt, parama-prema-Aspada-tvena ca
   tasyānandarūpatvāt, nirdharmakanityasvaprakāśasukhātmaka evātmā ityādayaḥ	tasya-Ananda-rUpa-tvAt, nirDarmaka-nitya-sva-prakASa-suKa-AtmakaH eva-AtmA ityAdayaH
   tasmāt pariśeṣād bhrāntir iyam iti sthite tatkāraṇam api yogyaṃ kiñcit	tasmAt pariSezAt BrAntiH iyam iti sTite tad-kAraNam api yogyam kiQcid-
   kalpanīyam / kalpyamānaṃ ca tadātmany adhyastatayaiva dharmigrāhakamānena	kalpanIyam / kalpyamAnam ca tad-Atmani aDyasta-tayA-eva Darmi-grAhaka-mAnena
   sidhyatīti na jānāmīti sākṣipratītisiddham anirvācyam ajñānam eva tat / na	siDyati-iti na jAnAmi-iti sAkzi-pratIti-sidDam anirvAcyam ajQAnam eva tat / na
   cedam abhāvarūpam, jñānasya nityatvena tadabhāvānupapatter uktatvāt /	ca-idam aBAva-rUpam, jQAnasya nitya-tvena tad-aBAva-anupapatteH ukta-tvAt /
   dharmipratiyogijñānājñānābhyāṃ ca vyāghātāpatteḥ / nāpi	Darmi-pratiyogi-jQAna-ajQAnAByAm ca vyAGAta-ApatteH / na-api
   bhramasaṃśayatatsaṃskāraparamparārupam, aparokṣatvāt,	Brama-saMSaya-tad-saMskAra-paramparAru-pam, aparokza-tvAt,
   atītānāgatabhramasaṃśayatatsaṃskārāṇāṃ cāparokṣatvena jñātum aśakyatvāt,	atIta-anAgata-Brama-saMSaya-tad-saMskArANAm ca-aparokza-tvena jQAtum aSakya-tvAt,
   āvaraṇātmakatvāt, bhramādyutpādanatvāc ca / ātmano nirvikāratvāt,	AvaraNa-Atmaka-tvAt, Brama-Adi-utpAdana-tvAt ca / AtmanaH nirvikAra-tvAt,
   antaḥkaraṇādeś ca tajjanyatvāt, "devātmaśaktiṃ svaguṇair nigūḍhām (SU	antaHkaraNa-AdeH ca tad-janya-tva-at, "deva-Atma-Saktim sva-guNEH nigUXAm (SU
   I.3)" iti guṇavattvaśruteś ca "māyāṃ tu prakṛtiṃ vidyān māyinaṃ tu	I.3)" iti guNavat-tva-SruteH ca "mAyAm tu prakRtim vidyAt mAyinam tu
   maheśvaram (SU IV.10)"	maheSvaram (SU IV.10)"
   "indro māyābhiḥ pururūpa īyate (BAU II.5.19)" "anṛtena hi pratyūḍhāḥ (ChU	"indraH mAyABiH puru-rUpaH Iyate (BAU II.5.19)" "anRtena hi pratyUXAH (ShU
   VIII.3.2)" "nīhāreṇa prāvṛttāḥ (TS IV.6.2.2)" "bhūyaś cānte	VIII.3.2)" "nIhAreNa prAvRttAH (TH IV.6.2.2)" "BUyas ca-ante
   viśvamāyānivṛttiḥ (SU I.10)" ityādiśruteś ca māyāvidyānirvācyam anṛtaṃ	viSva-mAyA-nivRttiH (SU I.10)" ityAdi-SruteH ca mAyA-vidyA-nirvAcyam anRtam
   tattvajñānanivartyañ cājñānam eva svaparādhyāse kāraṇam /	tattva-jQAna-nivartyan ca-ajQAnam eva sva-para-aDyAse kAraNam /
   na cātmāśrayādidoṣaprasaṅgaḥ, anāditvena tannirāsāt,	na ca-Atma-ASraya-Adi-doza-prasaFgaH, anAdi-tvena tad-nirAsAt,
   anāditvenotpattyabhāvāt, svaprakāśātmana eva tajjñaptirūpatvāt /	anAdi-tvena-utpatti-aBAvAt, sva-prakASa-AtmanaH eva tad-jQapti-rUpa-tvAt /
   tenājñānādhyāsaḥ, tadviśiṣṭe caitanye 'haṅkārādhyāsaḥ, tadviśiṣṭe ca	tena-ajQAna-aDyAsaH, tad-viSizwe cEtanye ahaFkAra-aDyAsaH, tad-viSizwe ca
   kāmasaṅkalpādīnām ahaṅkāradharmāṇām indriyadharmāṇāṃ ca	kAma-saFkalpa-AdInAm ahaFkAra-DarmANAm indriya-DarmANAm ca
   kāṇatvabadhiratvādīnām adhyāḥ /	kANa-tva-baDira-tva-AdInAm aDyAH /
   indriyāṇāṃ tu parokṣatvān nāparokṣadharmyadhyāsa iti siddhāntaḥ /	indriyANAm tu parokza-tvAt na-aparokza-DarmI-aDyAsaH iti sidDAntaH /
   tadviśiṣṭe ca sthūladehādhyāsaḥ, dharmipuraskāreṇaivāhaṃ manuṣya ity	tad-viSizwe ca sTUla-deha-aDyAsaH, Darmi-puraskAreNa-eva-aham manuzyaH iti-
   ākāraḥ, na tu svarūpato 'haṃ deha ity adhyāsaḥ, tathā pratītyabhāvāt /	AkAraH, na tu svarUpataH aham dehaH iti aDyAsaH, taTA pratIti-aBAvAt /
   tadviśiṣṭe ca sthaulyādīnāṃ dehadharmāṇām adhyāsaḥ /	tad-viSizwe ca sTOlya-AdInAm deha-DarmANAm aDyAsaH /
   tadviśiṣṭe bāhyānāṃ putrabhāryādīnāṃ sākalyavaikalyādidharmādhyāsaḥ / evaṃ	tad-viSizwe bAhyAnAm putra-BAryAdInAm sAkalya-vEkalya-Adi-Darma-aDyAsaH / evam
   caitanyasyāpy ahaṅkārādiṣu dehaparyanteṣv adhyāsaḥ saṃsargataḥ /	cEtanyasya-api ahaFkAra-Adizu deha-paryantezu aDyAsaH saMsargataH /
   adhyāsavyavadhānatāratamyāc ca prematāratamyam / tad uktaṃ vārtikāmṛe	aDyAsa-vyavaDAna-tAratamyAt ca prema-tAratamyam / tat uktam vArtikAmRe
   (BAUBhV I.4.1031) --	(BAUBhV I.4.1031) --
        vittāt putraḥ priyaḥ putrāt piṇḍaḥ piṇḍāt tathendriyam /	vittAt putraH priyaH putrAt piNxaH piNxAt taTA-indriyam /
        indriyebhyaḥ priyaḥ prāṇaḥ prāṇād ātmā paraḥ priyaḥ // iti //	indriyeByaH priyaH prANaH prANAt AtmA paraH priyaH // iti //
   piṇḍaḥ sthūlaśarīram, prāṇo'ntaḥkaraṇam / dehāpekṣayā cendriyāṇāṃ	piNxaH sTUla-SarIram, prANaH-antaHkaraNam / deha-apekzayA ca-indriyANAm
   priyatvaṃ śastravṛṣṭyādidhārāpāte cakṣuṣo nimīlanadarśanād anubhavasiddham	priya-tvam Sastra-vRzwi-Adi-DArA-pAte cakzuzaH nimIlana-darSanAt anuBava-sidDam
   / tenānyonyādhyāsāc cidacidgranthirūpo 'dhyāsaḥ /	/ tena-anyonya-aDyAsAt cit-acit-granTi-rUpaH aDyAsaH /
   ekatarasyādhyāsāṅgīkāre 'nyatarasyābhānaprasaṅgāt, adhyastasyaiva bhrame	ekatarasya-aDyAsa-aFgIkAre anyatarasya-ABAna-prasaFgAt, aDyastasya-eva Brame
   bhānaniyamāt (SS I.36) "ime raṅgarajate" iti samūhālambanabhramavad	BAna-niyamAt (SS I.36) "ime raFga-rajate" iti samUha-Alambana-Brama-vat-
   avaśyam itaretarādhyāsaḥ / sarvabādhāvadhibhūtacaitanyapariśeṣeṇa ca na	avaSyam itaretara-aDyAsaH / sarva-bADa-avaDi-BUta-cEtanya-pariSezeNa ca na
   śūnyavādāpattiḥ, satyānṛtasaṃbhedāvabhāsatvād adhyāsasya / tasmāt	SUnya-vAda-ApattiH, satya-anRta-saMBeda-avaBAsa-tvAt aDyAsasya / tasmAt-
   pūrvapūrvādhyāsamūla evāyam uttarottaro 'haṅkārādyadhyāso bījāṅkuravad	pUrva-pUrva-aDyAsa-mUlaH eva-ayam uttarottaraH ahaFkAra-Adi-aDyAsaH bIja-aFkura-vat-
   anādiḥ / avidyādhyāsaś ca eka evānādiḥ /	anAdiH / avidyA-aDyAsaH ca ekaH eva-anAdiH /
   nanv adhyāsasyānāditve "smṛtirūpaḥ paratra pūrvadṛṣṭāvabhāso 'dhyāsa	nanu aDyAsasya-anAdi-tve "smRti-rUpaH paratra pUrva-dRzwa-avaBAsaH aDyAsa
   (BSBh)" iti vadatā bhāṣyakāreṇa smṛtirūpatvena saṃskārajanyatvam uktaṃ	(BSBh)" iti vadatA BAzya-kAreNa smRti-rUpa-tvena saMskAra-janya-tvam uktam
   viruddhyeta iti cet, na, kāryādhyāsābhiprāyatvāt tasya, paratra	virudDi-ete iti cet, na, kArya-aDyAsa-aBiprAya-tvAt tasya, paratra
   parāvabhāsa ity etāvan mātrasyaiva ubhayānugatasya lakṣaṇatvāt /	para-avaBAsaH iti etAvat mAtrasya-eva uBaya-anugatasya lakzaNa-tvAt /
   yad vā "satyānṛte mithunīkṛtya (BSBh)" iti bhāṣyakāravacanāt	yat vA "satya-anRte miTunIkRtya (BSBh)" iti BAzya-kAra-vacanAt-
   satyamithyāvastusaṃbhedāvabhāso 'dhyāsa ity eva siddhāntalakṣaṇam / tena	satya-miTyA-vastu-saMBeda-avaBAsaH aDyAsaH iti eva sidDAnta-lakzaNam / tena
   kāraṇādhyāse 'pi na lakṣaṇāvyāptiḥ / kāryādhyasasya ca pravāharūpeṇa	kAraNa-aDyAse api na lakzaNa-avyAptiH / kArya-aDyasasya ca pravAha-rUpeNa
   bījāṅkuravad anāditvābhidhānān na ko 'pi doṣaḥ /	bIja-aFkura-vat anAdi-tva-aBiDAnAt na kaH api dozaH /
   evam adhyāse siddhe ekasyāpy ātmano jīveśvarādivyavasthā	evam aDyAse sidDe ekasya-api AtmanaH jIva-ISvara-Adi-vyavasTA
   mānameyādipratikarmavyavasthā copapadyate / tathā hi -- ajñānopahita ātmā	mAna-meya-Adi-pratikarma-vyavasTA ca-upapadyate / taTA hi - ajQAna-upahitaH AtmA
   ajñānatādātmyāpannaḥ svacidābhāsāvivekād antaryāmī sākṣī jagatkāraṇam iti	ajQAna-tAdAtmya-ApannaH sva-cit-ABAsA-vivekAt antaryAmI sAkzI jagat-kAraNam iti
   ca kathyate, buddhyupahitaś ca tattādātmyāpannaḥ svacidābhāsāvivekāj jīvaḥ	ca kaTyate, budDi-upahitaH ca tad-tAdAtmya-ApannaH sva-cit-ABAsA-vivekAt jIvaH
   kartā bhoktā pramāteti ca kathyata iti vārtikakārapādāḥ /	kartA BoktA pramAtA-iti ca kaTyate iti vArtikakAra-pAdAH /
   pratidehaṃ buddhīnāṃ ca bhinnatvāt tadgatacidābhāsabhedena tadaviviktaṃ	pratideham budDInAm ca Binna-tvAt tad-gata-cit-ABAsa-Bedena tad-aviviktam
   caitanyam api bhinnam iva pratīyate / ajñānasya tu sarvatrābhinnatvāt	cEtanyam api Binnam iva pratIyate / ajQAnasya tu sarvatra-aBinna-tvAt-
   tadgatacidābhāsabhedābhāvāt tadaviviktasākṣicaitanyasya na kadācid api	tad-gata-cit-ABAsa-Beda-aBAvAt tad-avivikta-sAkzi-cEtanyasya na kadAcid api
   bhedabhānam iti /	Beda-BAnam iti /
   asmiṃś ca pakṣe tattvamādipade jahallakṣanaiva sābhāsasyopādher	asmin ca pakze tattvam-Adipade jahat-lakzanA-eva sa-ABAsasya-upADeH-
   vācyārthāṃśasya hānād ābhāsasyāpi jaḍājaḍavilakṣaṇatvenānirvacanīyatvāt /	vAcya-arTa-aMSasya hAnAt ABAsasya-api jaxAjaxa-vilakzaNa-tvena-anirvacanIya-tvAt /
   tad uktaṃ saṅkṣepaśārīrake --	tat uktam saFkzepa-SArIrake --
        sābhāsājñānavācī yadi bhavati punar brahmaśabdas tathāhaṃ /	sa-ABAsA-jQAna-vAcI yadi Bavati punar brahma-SabdaH taTA-aham /
        śabdo 'haṅkāravācī bhavati tu jahatī lakṣaṇā tatra pakṣe // iti //	SabdaH ahaFkAra-vAcI Bavati tu jahatI lakzaNA tatra pakze // iti //
   na cābhāsasyaiva baddhatvāt kevalacaitanyasya ca muktatvād bandhamokṣayor	na ca-ABAsasya-eva badDa-tvAt kevala-cEtanyasya ca mukta-tvAt banDa-mokzayoH-
   vaiyadhikaraṇyaṃ svanāśārthaṃ pravṛttyanupapattiś ceti vācyam,	vEyaDikaraNyam sva-nASa-arTam pravRtti-anupapattiH ca-iti vAcyam,
   kevalacaitanyasyaivābhāsadvārā baddhatvābhyupagamāt, taduktaṃ	kevala-cEtanyasya-eva-ABAsa-dvArAH badDa-tva-aByupagamAt, tad-uktam
   vārtikakārapādaiḥ --	vArtikakAra-pAdEH --
        "ayam eva hi no 'nartho yat saṃsāry ātmadarśanam (BUBhV)" iti /	"ayam eva hi naH anarTaH yat saMsAri Atma-darSanam (BUBhV)" iti /
   tena śuddhacaitanyasyābhāsa eva bandhaḥ, tannivṛttiś ca mokṣa iti na	tena SudDa-cEtanyasya-ABAsaH eva banDaH, tad-nivRttiH ca mokzaH iti na
   kiñcidasamañjasam / atha vābhāsāviviktaṃ caitanyam api	kiQcid-asamaQjasam / aTa vA-ABAsA-viviktam cEtanyam api
   tattvamādipadavācyam / tena vācyaikadeśasyātyāgād asmin pakṣe	tattvam-Adipada-vAcyam / tena vAcya-eka-deSasya-atyAgAt asmin pakze
   jahadajahallakṣaṇaiveti na ko 'pi doṣaḥ / ayam eva pakṣa ābhāsavāda iti	jahat-ajahat-lakzaNA-eva-iti na kaH api dozaH / ayam eva pakzaH ABAsavAdaH iti
   gīyate /	gIyate /
   ajñānopahitaṃ bimbacaitanyam īśvaraḥ,	ajQAna-upahitam bimba-cEtanyam ISvaraH,
   antaḥkaraṇatatsaṃskārāvacchinnājñānapratibimbitaṃ caitanyaṃ jīva iti	antaHkaraNa-tad-saMskAra-avacCinnA-jQAna-pratibimbitam cEtanyam jIvaH iti
   vivaraṇakārāḥ / ajñānapratibimbitaṃ caitanyam īśvaraḥ, buddhipratibimbitaṃ	vivaraNa-kArAH / ajQAna-pratibimbitam cEtanyam ISvaraH, budDi-pratibimbitam
   caitanyaṃ jīvaḥ, ajñānopahitaṃ tu bimbacaitanyaṃ śuddham iti	cEtanyam jIvaH, ajQAna-upahitam tu bimba-cEtanyam SudDam iti
   saṅkṣepaśārīrakakārāḥ / anayoś ca pakṣayoḥ buddhibhedāj jīvanānātvam /	saFkzepa-SArIraka-kArAH / anayoH ca pakzayoH budDi-BedAt jIva-nAnAtvam /
   pratibimbasya ca pāramārthikatvāj jahallakṣaṇaiva tattvamādipadeṣu / imam	pratibimbasya ca pAramArTika-tvAt jahat-lakzaNA-eva tattvam-Adipadezu / imam
   eva pratibimbavādam ācakṣate /	eva pratibimba-vAdam Acakzate /
   ajñānaviṣayībhūtaṃ caitanyam īśvaraḥ, ajñānāśrayībhūtaṃ ca jīva iti	ajQAna-vizayIBUtam cEtanyam ISvaraH, ajQAna-ASrayIBUtam ca jIvaH iti
   vācaspatimiśrāḥ / asmiṃś ca pakṣe ajñānanānātvāj jīvanānātvam /	vAcaspati-miSrAH / asmin ca pakze ajQAna-nAnA-tvAt jIva-nAnAtvam /
   pratijīvaṃ ca prapañcabhedaḥ, jīvasyaiva svājñānopahitatayā	pratijIvam ca prapaQca-BedaH, jIvasya-eva sva-ajQAna-upahita-tayA
   jagadupādānatvāt / pratyabhijñā ca atisādṛśyāt / īśvarasya ca	jagat-upAdAna-tvAt / pratyaBijQA ca atisAdRSyAt / ISvarasya ca
   saprapañcajīvāvidyādhiṣṭhānatvena kāraṇatvopacārād iti / ayam eva	sa-prapaQca-jIva-avidyA-aDizWAna-tvena kAraNa-tva-upacArAt iti / ayam eva
   cāvacchedavādaḥ /	ca-avacCeda-vAdaH /
   ajñānopahitaṃ bimbacaitanyam īśvaraḥ, ajñānapratibimbitaṃ caitanyaṃ jīva	ajQAna-upahitam bimba-cEtanyam ISvaraH, ajQAna-pratibimbitam cEtanyam jIva
   iti vā, ajñānānupahitaṃ śuddhacaitanyam īśvaraḥ, ajñānopahitaṃ jīva iti	iti vA, ajQAna-anupahitam SudDa-cEtanyam ISvaraH, ajQAna-upahitam jIvaH iti
   vā, mukhyo vedāntasiddhānta ekajīvavādākhyaḥ / imam eva ca dṛṣṭisṛṣṭivādam	vA, muKyaH vedAnta-sidDAntaH ekajIva-vAda-AKyaH / imam eva ca dRzwi-sRzwi-vAdam
   ācakṣate / asmiṃś ca pakṣe jīva eva svājñānavaśāj jagadupādānaṃ nimittaṃ	Acakzate / asmin ca pakze jIvaH eva sva-ajQAna-vaSAt jagat-upAdAnam nimittam
   ca, dṣśyaṃ ca sarvaṃ praītikam / dehabhedāc ca jīvabhedabhrāntiḥ /	ca, dzSyam ca sarvam praItikam / dehaBedAt ca jIva-Beda-BrAntiH /
   ekasyaiva ca svakalpitaguruśāstrādyupabṛṃhitaśravaṇamananādidārḍhyād	ekasya-eva ca sva-kalpita-guru-SAstra-Adi-upabRMhita-SravaNa-manana-Adi-dArXyAt-
   ātmasākṣātkāre sati mokṣaḥ / śukādīnāṃ mokṣaśravaṇaṃ cārthavāda eva /	Atma-sAkzAtkAre sati mokzaH / Suka-AdInAm mokza-SravaNam ca-arTa-vAdaH eva /
   mahāvākye ca tatpadamanantasatyādipadavadajñānānupahitacaitanyasya	mahA-vAkye ca tat-padam-ananta-satya-Adi-pada-vat-ajQAnAnupahita-cEtanyasya
   lakṣaṇayopasthāpakam ityādyā avāntarabhedāḥ svayam ūhanīyāḥ /	lakzaNayA-upasTApakam ityAdyAH avAntara-BedAH svayam UhanIyAH /
   nanu, vastuni vikalpāsambhavāt kathaṃ parasparaviruddhamataprāmāṇyam,	nanu, vastuni vikalpa-asamBavAt kaTam paraspara-virudDa-mata-prAmANyam,
   tasmāt kim atra heyaṃ kim upādeyam iti cet, ka evam āha vastuni vikalpo na	tasmAt kim atra heyam kim upAdeyam iti cet, kaH evam Aha vastuni vikalpaH na
   sambhavatīti / sthāṇur vā puruṣo vā rākṣaso vā ityādivikalpasya vastuny	samBavati-iti / sTANuH vA puruzaH vA rAkzasaH vA ityAdi-vikalpasya vastuni-
   api darśanāt / atāttvikī sā kalpanā puruṣabuddhimātraprabhavā, iyaṃ tu	api darSanAt / atAttvikI sA kalpanA puruza-budDi-mAtra-praBavA, iyam tu
   śāstrīyā jīveśvaravibhāgādivyavasthā iti cet, nūnam atimedhāvī bhavān /	SAstrIyAH jIva-ISvara-viBAga-Adi-vyavasTA iti cet, nUnam atimeDAvI BavAn /
   advitīyātmatattvaṃ hi pradhānaṃ phalavattvād ajñātatvāc ca prameyaṃ	advitIya-Atma-tattvam hi praDAnam Palavat-tvAt ajQAta-tvAt ca prameyam
   śāstrasya / jīveśvaravibhāgādikalpanās tu puruṣabuddhimātraprabhavā api	SAstrasya / jIva-ISvara-viBAga-Adi-kalpanAH tu puruza-budDi-mAtra-praBavAH api
   śāstreṇānūdyante, tattvajñānopayogitvāt / phalavat sannidhāv aphalaṃ	SAstreNa-AnUdyante, tattva-jQAna-upayogi-tvAt / Palavat sanniDO aPalam
   tadaṅgam iti nyāyāt bhramasiddhasyāpi śrutyānuvādasambhavāt / etena	tad-aFgam iti nyAyAt Brama-sidDasya-api SrutyA-anuvAda-samBavAt / etena
   dvaitajñānenādvaitajñānasya bādho nirastaḥ / ghaṭādidvaitajñānayos	dvEta-jQAnena-advEta-jQAnasya bADaH nirastaH / Gawa-Adi-dvEta-jQAnayoH-
   samānāśrayaviṣayatvaniyamāt, jaḍe ca pramāṇaprayojanayor	samAna-ASraya-vizaya-tva-niyamAt, jaxe ca pramANa-prayojanayoH-
   abhāvenājñānānanṅgīkārāt, tadavacchinnacaitanyājñānād eva tatrāpy	aBAvena-ajQAnAn-anFgIkArAt, tad-avacCinna-cEtanya-ajQAnAt eva tatra-api-
   ajñānavyavahāropapatteḥ, prāmāṇyasya cājñātajñāpakarūpakatvāt / anyathā	ajQAna-vyavahAra-upapatteH, prAmANyasya ca-ajQAta-jQApaka-rUpaka-tvAt / anyaTA
   smṛter api tadāpatter iti / vedānteṣu sarvatra evaṃvidhavirodhe 'yam eva	smRteH api tad-ApatteH iti / vedAntezu sarvatra evaMviDa-viroDe ayam eva
   parihāraḥ / tadāhur vārtikakārapādāḥ (BAUBhV I.4.402)	parihAraH / tat-AhuH vArtikakAra-pAdAH (BAUBhV I.4.402)
        yayā yayā bhavet puṃsāṃ vyutpattiḥ pratyagātmani /	yayA yayA Bavet puMsAm vyutpattiH pratyagAtmani /
        sā saiva prakriyā jñeeyā sādhvī sā ca vyavasthā // iti //	sA sA-eva prakriyA jQeeyA sADvI sA ca vyavasTA // iti //
