   akāyo nirguṇo hyātmā Dka_52c	akAyaH nirguNaH hi-AtmA DkaH-_52c
   sarvatattvādyasambhinnaṃ Dka_28a	sarva-tattva-Adi-asamBinnam Dke-_28a
   sarvato vigataspṛhaḥ Dka_51d	sarvatas vigata-spRhaH DkaH-_51d
   sarvatra yasmātsatataṃ vimuktaḥ Dka_53b	sarvatra yasmAt-satatam vimuktaH DkaH-_53b
   sarvadvandvavinirmuktaḥ Dka_78a	sarva-dvandva-vinirmuktaH Dke-_78a
   sarvabhūtalaye jāte Dka_36a	sarva-BUta-laye jAte Dke-_36a
   sarvabhūtasamastathā Dka_74d	sarva-BUta-samaH-taTA DkaH-_74d
   sarvabhūtābhayapradaḥ Dka_5b	sarva-BUta-aBaya-pradaH DkaH-_5b
   sarvametat parityajet Dka_31d	sarvam-etat parityajet DkaH-_31d
   sarvametadabhīpsitam Dka_26b	sarvam-etat-aBIpsitam DkaH-_26b
   sarvametanna kartavyaṃ Dka_17c	sarvam-etat-na kartavyam DkaH-_17c
   sarvaśūnyapade sthitvā Dka_27c	sarva-SUnya-pade sTitvA DkaH-_27c
   sarvasmādbhinna evāhaṃ Dka_32c	sarvasmAt-BinnaH eva-aham DkaH-_32c
   sarvākāraṃ nirākāraṃ Dka_20c	sarva-AkAram nirAkAram DkaH-_20c
   sarvālambanavarjitam Dka_40b	sarva-Alambana-varjitam DkaH-_40b
   sarvālambanaśūnyaṃ ca Dka_41a	sarva-Alambana-SUnyam ca Dke-_41a
   sarvālambavinirmuktaṃ Dka_14c	sarva-Alamba-vinirmuktam DkaH-_14c
   sarvāvastho 'pi yogadhṛk Dka_68b	sarva-avasTaH api yogaDRk DkaH-_68b
   sarvāsaktiṃ visarjayet Dka_47d	sarva-Asaktim visarjayet DkaH-_47d
   sarve te paśubandhāḥ syur Dka_67a	sarve te paSubanDAH syuH Dke-_67a
   sarveṣāmapi muktyarthaṃ Dka_1a	sarvezAm-api mukti-arTam Dke-_1a
   sarvopādhivinirmuktaṃ Dka_47a	sarva-upADi-vinirmuktam Dke-_47a
   saṃkalpaṃ ca vikalpaṃ ca Dka_65c	saMkalpam ca vikalpam ca DkaH-_65c
   saṃsārasya ca bandhanam Dka_43d	saMsArasya ca banDanam DkaH-_43d
   saṃsārī sa bhavelloke Dka_24c	saMsArI sa Bavet-loke DkaH-_24c
   sā citirmokṣadāyinī Dka_46d	sA citiH-mokza-dAyinI DkaH-_46d
   sāntarbahiścarmapaṭāvanaddham Dka_54b	sa-antar-bahis-carma-pawa-avanadDam DkaH-_54b
   sā prajñā tadiha sthairyaṃ Dka_8c	sA prajQA tat-iha sTEryam DkaH-_8c
   sāmprataṃ śṛṇu taṃ mayā Dka_61d	sAmpratam SRNu tam mayA DkaH-_61d
   siddhimicchanti sādhakāḥ Dka_79d	sidDim-icCanti sADakAH DkaH-_79d
   siddhīśca vividhākārāḥ Dka_66a	sidDIH-ca viviDa-AkArAH Dke-_66a
   suṣuptirjāgṛtiścaiva Dka_31c	suzuptiH-jAgRtiH-ca-eva DkaH-_31c
   so 'hamasmi na saṃśayaḥ Dka_52d	saH aham-asmi na saMSayaH DkaH-_52d
   stutinindākarāstasya Dka_84a	stuti-nindA-karAH-tasya DkaH-_84a
   sthirameva tu kārayet Dka_34d	sTiram-eva tu kArayet DkaH-_34d
   snānaṃ vastraṃ ca bhojanam Dka_82d	snAnam vastram ca Bojanam DkaH-_82d
   svapnaśceti caturvidhaḥ Dka_31b	svapnaH-ca-iti caturviDaH DkaH-_31b
   svapnādyavasthācyutiniṣprapañcaḥ Dka_58d	svapna-Adi-avasTA-acyuti-nizprapaQcaH DkaH-_58d
   svabhāvaṃ bhāvayedbudhaḥ Dka_48d	svaBAvam BAvayet-buDaH DkaH-_48d
   svayameva pralīyate Dka_30d	svayam-eva pralIyate DkaH-_30d
   svayameva praśāmyati Dka_30b	svayam-eva praSAmyati DkaH-_30b
   svayameva vipatsyate Dka_45d	svayam-eva vipatsyate DkaH-_45d
   svayaṃpatitapuṣpaistu Dka_71a	svayaMpatita-puzpEH-tu Dke-_71a
   svasaṃvedyaṃ virājate Dka_20d	sva-saMvedyam virAjate DkaH-_20d
   hṛtsaroje hyahaṃrūpā Dka_46a	hRd-saroje hi-ahaMrUpA Dke-_46a
   heturnāsti phalaṃ nāsti Dka_22a	hetuH-na-asti Palam na-asti Dke-_22a
   homo naiva ca sādhanam Dka_62b	homaH na-eva ca sADanam DkaH-_62b
