   akalpabālasthavira- Brh_1,1.148a	akalpa-bAla-sTavira Brh_1,1.148a
   kāṇḍapṛṣṭhaś cyuto mārgād Brh_1,7.18c	kANxapRzWaH cyutaH mArgAt Br=-_1,7.18c
   kāṇḍapṛṣṭhā na saṃśayaḥ Brh_1,26.74d	kANxa-pRzWAH na saMSayaH Br=-_1,26.74d
   kāṇḍapṛṣṭho na saṃśayaḥ Brh_1,26.75d	kANxa-pRzWaH na saMSayaH Br=-_1,26.75d
   kānīnaś ca sahoḍhaś ca Brh_1,26.73c	kAnInaH ca sahoXaH ca Br=-_1,26.73c
   kāmakrodhapratiśrutam Brh_1,10.118b	kAma-kroDa-pratiSrutam Brh_1,10.118b
   kāmataś ca śūdrāvarodhajasya bhrātur aṃśaṃ /	kAmatas ca SUdra-avaroDa-jasya BrAtuH aMSam /
   kāmayet tatra sā daṇḍyā Brh_1,24.16c	kAmayet tatra sA daNxyAH Br=-_1,24.16c
   kāmaṃ tad api gṛhṇīyād Brh_1,2.40c	kAmam tat api gRhNIyAt Br=-_1,2.40c
   kāmāt purīṣaṃ kuryāc ca Brh_1,19.52c	kAmAt purIzam kuryAt ca Br=-_1,19.52c
   kāminīṣu vivāheṣu Brh_1,8.39a	kAminIzu vivAhezu Br=-_1,8.39a
   kāyikā karmasaṃyuktā Brh_1,10.10a	kAyikA karma-saMyuktAH Brh_1,10.10a
   kāyikā kālikā caiva Brh_1,10.9a	kAyikA kAlikA ca-eva Br=-_1,10.9a
   kāyikā bhogavṛddhiṃ ca Brh_1,10.15a	kAyikAH Boga-vRdDim ca Br=-_1,10.15a
   kāraṇaṃ kāraṇopete Brh_1,3.22c	kAraNam kAraNa-upete Br=-_1,3.22c
   kāraṇaṃ tūttaraṃ pṛthak Brh_1,3.14d	kAraNam tu-uttaram pRTak Br=-_1,3.14d
   kārayen niṣkṛtiṃ kṛcchraṃ Brh_1,24.19a	kArayet nizkRtim kRcCram Brh_1,24.19a
   kārayen maṇḍalāny aṣṭau Brh_1,8.53c	kArayet maNxalAni azwO Br=-_1,8.53c
   kārayen maraṇād ṛte Brh_1,21.2d	kArayet maraNAt Rte Br=-_1,21.2d
   kāritā ṛṇinā kṛtā Brh_1,10.10d	kAritA RNinA kRtA Br=-_1,10.10d
   kāritā ca śikhāvṛddhir Brh_1,10.9c	kAritA ca SiKA-vRdDiH Brh_1,10.9c
   kāritāṃ ca śikhātmikām Brh_1,10.15b	kAritAm ca SiKA-AtmikAm Br=-_1,10.15b
   kārukā rakṣakās tathā Brh_1,1.34d	kArukAH rakzakAH taTA Br=-_1,1.34d
   kārpāsasya caturguṇā Brh_1,10.20b	kArpAsasya caturguNAH Br=-_1,10.20b
   kārpāsāsthīni bhasma ca Brh_1,19.20d	kArpAsa-asTIni Basma ca Br=-_1,19.20d
   kāryadarśanam ārabhet Brh_1,1.48d	kArya-darSanam AraBet Br=-_1,1.48d
   kāryabādhāvihīnas tu Brh_1,2.10c	kArya-bADA-vihInaH tu Br=-_1,2.10c
   kāryamadhyagatas tathā Brh_1,5.2b	kArya-maDya-gataH taTA Brh_1,5.2b
   kāryamadhyagatas tathā Brh_1,5.20b	kArya-maDya-gataH taTA Brh_1,5.20b
   kāryamadhyagato 'paraḥ Brh_1,5.4d	kArya-maDya-gataH aparaH Br=-_1,5.4d
   kāryamadhyāgatas tathā Brh_1,5.15d	kAryam-aDya-AgataH taTA Br=-_1,5.15d
   kāryam asmābhir aṃśataḥ Brh_1,17.12b	kAryam asmABiH aMSataH Brh_1,17.12b
   kāryam ātmahitaiṣiṇā Brh_1,9.13b	kAryam Atma-hita-eziNA Br=-_1,9.13b
   kāryam ucchrāvaṇālekhyaṃ Brh_1,26.148a	kAryam ucCrAvaNa-AleKyam Brh_1,26.148a
   kāryasiddhir bhaviṣyati Brh_1,18.12d	kArya-sidDiH Bavizyati Br=-_1,18.12d
   kāryaṃ cāpi niveditam Brh_1,5.15b	kAryam ca-api niveditam Br=-_1,5.15b
   kāryaṃ prabrūyur anyathā Brh_1,5.36b	kAryam prabrUyuH anyaTA Br=-_1,5.36b
   kāryaḥ kṛtānurūpas tu Brh_1,21.9c	kAryaH kRta-anurUpaH tu Br=-_1,21.9c
   kāryāṇāṃ ca balāvalam Brh_1,1.154b	kAryANAm ca balA=-alam Br=-_1,1.154b
   kāryāṇi vṛṣalaiḥ saha Brh_1,1.72b	kAryANi vRzalEH saha Br=-_1,1.72b
   kāryātipātivyasani- Brh_1,1.150a	kArya-atipAti-vyasani Br=-_1,1.150a
   kārye vādharmasaṃyukte Brh_1,14.17c	kArye vA-aDarma-saMyukte Br=-_1,14.17c
   kārṣāpaṇasahasraṃ tu Brh_1,8.11a	kArzApaNa-sahasram tu Br=-_1,8.11a
   kārṣāpaṇāntā sā divye Brh_1,8.28c	kArzApaNa-antA sA divye Br=-_1,8.28c
   kārṣikas tāmrikaḥ paṇaḥ Brh_1,8.9b	kArzikaH tAmrikaH paNaH Br=-_1,8.9b
   kālaśaktyanurūpataḥ Brh_1,2.34d	kAla-Sakti-anurUpatas Br=-_1,2.34d
   kālaṃ digbhāgam eva ca Brh_1,7.49b	kAlam digBAgam eva ca Br=-_1,7.49b
   kālaṃ deśañ ca [?] vijñāya Brh_1,1.154a	kAlam deSan ca [?] vijQAya Br=-_1,1.154a
   kālaṃ prārthayate yatra Brh_1,3.3c	kAlam prArTayate yatra Br=-_1,3.3c
   kālikā yasya cādinām Brh_1,10.36d	kAlikA yasya ca-AdinAm Br=-_1,10.36d
   kāle kāryārthinaṃ pṛcchet Brh_1,1.145a	kAle kArya-arTinam pRcCet Brh_1,1.145a
   kāṣṭhapāṣāṇacarmaṇām Brh_1,13.33b	kAzWa-pAzANa-carmaNAm Brh_1,13.33b
   kāṣṭhānāṃ candanādīnāṃ Brh_1,10.20c	kAzWAnAm candana-AdInAm Br=-_1,10.20c
   kiṇvacarmāsthivarmaṇām Brh_1,10.23b	kiNva-carma-asTi-varmaNAm Brh_1,10.23b
   kitavās tu parīkṣakāḥ Brh_1,27.9d	kitavAH tu parIkzakAH Br=-_1,27.9d
   kitavāḥ pūrvadūṣitāḥ Brh_1,5.40b	kitavAH pUrva-dUzitAH Br=-_1,5.40b
   kitavāḥ sūcakās tathā Brh_1,5.3b	kitavAH sUcakAH taTA Brh_1,5.3b
   kilviṣaṃ prāpnuyāt kvacit Brh_1,23.17b	kilvizam prApnuyAt kvacid Br=-_1,23.17b
   kiṃ kāryaṃ kā ca te pīḍā Brh_1,1.145c	kim kAryam kA ca te pIxA Br=-_1,1.145c
   kīnāśaśilpibhṛtakā Brh_1,19.27a	kInASa-Silpi-BRtakAH Br=-_1,19.27a
   kīnāśānāṃ purātanaḥ Brh_1,1.44d	kInASAnAm purAtanaH Br=-_1,1.44d
   kīnāśānāṃ purātanaḥ Brh_1,13.32b	kInASAnAm purAtanaH Br=-_1,13.32b
   kīnāśāḥ kārukā mallāḥ Brh_1,1.74a	kInASAH kArukAH mallAH Brh_1,1.74a
   kīrtir dharmaś ca vardhate Brh_1,23.26d	kIrtiH DarmaH ca varDate Br=-_1,23.26d
   kukṛtaṃ punar uddharet Brh_1,9.23d	kukRtam punar udDaret Br=-_1,9.23d
   kuṭumbabhaktavasanād Brh_1,14.3a	kuwumba-Bakta-vasanAt Br=-_1,14.3a
   kuṭumbabharaṇādikam Brh_1,14.7b	kuwumba-BaraNa-Adikam Br=-_1,14.7b
   kuṭumbārthe 'dhyadhīno 'pi Brh_1,10.115a	kuwumba-arTe aDyaDInaH api Brh_1,10.115a
   kuḍyavyavahito yas tu Brh_1,5.8a	kuxya-vyavahitaH yaH tu Br=-_1,5.8a
   kutsitāt sīdataś caiva Brh_1,10.6a	kutsitAt sIdataH ca-eva Br=-_1,10.6a
   kurute dānaharaṇaṃ Brh_1,19.23a	kurute dAna-haraNam Brh_1,19.23a
   kurute dānaharaṇaṃ Brh_1,19.43c	kurute dAna-haraNam Br=-_1,19.43c
   kuryāc candrārkakālikam Brh_1,6.12b	kuryAt candra-arka-kAlikam Br=-_1,6.12b
   kuryāt karma guror gṛhe Brh_1,15.7d	kuryAt karma guroH gRhe Br=-_1,15.7d
   kuryād abhyudayaṃ tataḥ Brh_1,26.139d	kuryAt aByudayam tatas Br=-_1,26.139d
   kuryād alagnakau rakṣed Brh_1,1.60a	kuryAt alagnakO rakzet Br=-_1,1.60a
   kuryān nyūnādhikaṃ tulyaṃ Brh_1,10.58c	kuryAt nyUna-aDikam tulyam Br=-_1,10.58c
   kuryuḥ kāryāṇi te nṛṇām Brh_1,1.92d	kuryuH kAryANi te nRNAm Br=-_1,1.92d
   kuryuḥ kāryāṇy anantaram Brh_1,17.7d	kuryuH kAryANi anantaram Br=-_1,17.7d
   kuryuḥ prakṛtayas tataḥ Brh_1,1.34b	kuryuH prakRtayaH tatas Br=-_1,1.34b
   kurvanti kuśalā janāḥ Brh_1,6.33d	kurvanti kuSalAH janAH Br=-_1,6.33d
   kurvantisadṛśaṃ lekhyaṃ Brh_1,6.40c	kurvanti-sadRSam leKyam Br=-_1,6.40c
   kurvantīha na saṃśayaḥ Brh_1,8.16d	kurvanti-iha na saMSayaH Br=-_1,8.16d
   kurvan nirṇayapālanam Brh_1,9.32b	kurvan nirNaya-pAlanam Br=-_1,9.32b
   kurvīta punarāhvānaṃ Brh_1,1.149c	kurvIta punar-AhvAnam Br=-_1,1.149c
   kulaśreṇigaṇādayaḥ Brh_1,1.92b	kula-SreNi-gaNa-AdayaH Br=-_1,1.92b
   kulaśreṇigaṇādīnāṃ Brh_1,6.49a	kula-SreNi-gaNa-AdInAm Brh_1,6.49a
   kulaśreṇigaṇādhyakṣāḥ Brh_1,1.93a	kula-SreNi-gaNADyakzAH Brh_1,1.93a
   kulaśreṇiganādhyakṣāḥ Brh_1,17.17a	kula-SreNi-ganADyakzAH Brh_1,17.17a
   kulādibhir niścite 'pi Brh_1,9.23a	kula-AdiBiH niScite api Brh_1,9.23a
   kulādibhyo 'dhikāḥ sabhyās Brh_1,1.94c	kula-AdiByaH aDikAH saByAH Br=-_1,1.94c
   kulāni śreṇayaś caiva Brh_1,1.75a	kulAni SreNayaH ca-eva Br=-_1,1.75a
   kulānubandhavyāghāta- Brh_1,26.8a	kula-anubanDa-vyAGAta Brh_1,26.8a
   kulāyanaṃ nirodhaś ca Brh_1,17.12a	kulAyanam niroDaH ca Br=-_1,17.12a
   kulīnadakṣānalasaiḥ Brh_1,13.1a	kulIna-dakzAn-alasEH Br=-_1,13.1a
   kulīnāḥ sākṣiṇo 'nindyās Brh_1,5.38c	kulInAH sAkziNaH anindyAH Br=-_1,5.38c
   kule jātāṃ prasūtikām Brh_1,1.153b	kule jAtAm prasUtikAm Br=-_1,1.153b
   kulair yan na vicāritam Brh_1,1.93d	kulEH yat na vicAritam Br=-_1,1.93d
   kulyaḥ sa parikīrtitaḥ Brh_1,5.10d	kulyaH sa parikIrtitaH Br=-_1,5.10d
   kulyānāṃ vasatāṃ saha Brh_1,26.68b	kulyAnAm vasatAm saha Br=-_1,26.68b
   kulyābhāve tu bandhubhyaḥ Brh_1,14.13c	kulya-aBAve tu banDuByaH Brh_1,14.13c
   kulyābhāve svadhādātā Brh_1,26.124a	kulya-aBAve svaDA-dAtA Brh_1,26.124a
   kulyā bhedakabādhakāḥ Brh_1,19.27d	kulyAH Bedaka-bADakAH Br=-_1,19.27d
   kuśalāḥ kūṭakārakāḥ Brh_1,6.40b	kuSalAH kUwa-kArakAH Br=-_1,6.40b
   kuṣīdavidhinā ṛṇam Brh_1,10.102b	kuzIda-viDinA RNam Br=-_1,10.102b
   kusīdakṛṣivāṇijya- Brh_1,7.4a	kusIda-kRzi-vANijya Br=-_1,7.4a
   kusīdakṛṣivāṇijye Brh_1,9.29c	kusIda-kRzi-vANijye Br=-_1,9.29c
   kusīdakṛṣivāṇijye Brh_1,10.122c	kusIda-kRzi-vANijye Br=-_1,10.122c
   kusīdanidhideyād yaṃ Brh_1,1.11a	kusIda-niDi-deyAt yam Brh_1,1.11a
   kusīdaparipālanam Brh_1,1.8d	kusIda-paripAlanam Br=-_1,1.8d
   kusīdaśreṇivartakāḥ Brh_1,1.74b	kusIda-SreNi-vartakAH Brh_1,1.74b
   kusīdaṃ ca parasparam Brh_1,26.147b	kusIdam ca parasparam Br=-_1,26.147b
   kusīdākhyam ataḥ smṛtam Brh_1,10.6d	kusIda-AKyam atas smRtam Br=-_1,10.6d
   kusīdādyaiḥ padair hīno Brh_1,2.11a	kusIda-AdyEH padEH hInaH Brh_1,2.11a
   kusīdādhividhis tv eṣa Brh_1,10.69c	kusIda-aDiviDiH tu eza Br=-_1,10.69c
   kusumaiś ca sitāsitaiḥ Brh_1,8.83b	kusumEH ca sita-asitEH Br=-_1,8.83b
   kuhakāśaṅkayā nṛpaḥ Brh_1,8.67d	kuhaka-ASaFkayA nRpaH Br=-_1,8.67d
   kūṭalekhyakṛto narāḥ Brh_1,5.36d	kUwa-leKya-kRtaH narAH Br=-_1,5.36d
   kūṭalekhyaṃ tu tat prāha Brh_1,6.31c	kUwa-leKyam tu tat prAha Br=-_1,6.31c
   kūṭasab hyaḥ kūṭasākṣī Brh_1,5.34a	kUwa-saB hyas kUwa-sAkzI Brh_1,5.34a
   kūṭahṛtpāśahārakaḥ Brh_1,4.15b	kUwa-hRd-pASa-hArakaH Br=-_1,4.15b
   kūṭākṣadevinaḥ kṣudrā Brh_1,22.12a	kUwa-akza-devinaH kzudrAH Br=-_1,22.12a
   kūṭākṣadevinaḥ pāpā Brh_1,27.7a	kUwa-akza-devinaH pApAH Br=-_1,27.7a
   kūṭākṣaiḥ kapaṭena vā Brh_1,27.6b	kUwa-akzEH kapawena vA Br=-_1,27.6b
   kūpavṛkṣādi lekhayet Brh_1,18.17b	kUpa-vRkza-Adi leKayet Br=-_1,18.17b
   kūpaṃ taḍākaṃ gṛham unnataṃ ca Brh_1,18.18c	kUpam taxAkam gRham unnatam ca Br=-_1,18.18c
   kṛtakālo yathāvidhi Brh_1,10.50b	kRta-kAlaH yaTAviDi Br=-_1,10.50b
   kṛtaghne klībakutsite Brh_1,8.68b	kRtaGne klIba-kutsite Br=-_1,8.68b
   kṛtadurgas tu śāstrataḥ Brh_1,1.38b	kRta-durgaH tu SAstrataH Brh_1,1.38b
   kṛtapūrvākṣarādibhiḥ Brh_1,6.55d	kRta-pUrva-akzara-AdiBiH Br=-_1,6.55d
   kṛtam asvāminā yac ca Brh_1,6.58e	kRtam asvAminA yat ca Brh_1,6.58e
   kṛtaṃ ced ekadivase Brh_1,10.63a	kRtam ced eka-divase Br=-_1,10.63a
   kṛtaṃ rūpārthalobhena Brh_1,24.5c	kRtam rUpa-arTa-loBena Br=-_1,24.5c
   kṛtaṃ lekhyaṃ na sidhyati Brh_1,6.30d	kRtam leKyam na siDyati Br=-_1,6.30d
   kṛtaṃ saṃvittipatrakam Brh_1,6.10d	kRtam saMvitti-patrakam Br=-_1,6.10d
   kṛtaḥ śaudras tathaiva ca Brh_1,26.72b	kRtaH SOdraH taTA-eva ca Br=-_1,26.72b
   kṛtākṛtā vā putrasya Brh_1,26.132c	kRta-akRtA vA putrasya Br=-_1,26.132c
   kṛtānnaṃ cākṛtānnena Brh_1,26.51c	kRtAnnam ca-akRta-annena Br=-_1,26.51c
   kṛte karmaṇi yaḥ svāmī Brh_1,16.11a	kRte karmaNi yaH svAmI Brh_1,16.11a
   kṛte 'kṛte vā vibhāge Brh_1,26.63a	kRte akRte vA viBAge Brh_1,26.63a
   kṛte tretāyuge narāḥ Brh_1,25.17b	kRte tretA-yuge narAH Br=-_1,25.17b
   kṛtopakārād āptaṃ ca Brh_1,7.4c	kRta-upakArAt Aptam ca Br=-_1,7.4c
   kṛtrimaṃ kurvate tu ye Brh_1,22.18b	kRtrimam kurvate tu ye Br=-_1,22.18b
   kṛtvā dvāropaveśanam Brh_1,10.94b	kRtvA dvAra-upaveSanam Br=-_1,10.94b
   kṛtvā pāvanam ātmanaḥ Brh_1,7.17d	kRtvA pAvanam AtmanaH Br=-_1,7.17d
   kṛtvā vādhiṃ karoti yaḥ Brh_1,10.62b	kRtvA vA-aDim karoti yaH Br=-_1,10.62b
   kṛtvopasthānaniścayam Brh_1,3.40b	kRtvA-upasTAna-niScayam Br=-_1,3.40b
   kṛmicoravyāghrabhayād Brh_1,16.16a	kRmi-cora-vyAGra-BayAt Brh_1,16.16a
   kṛśātivṛddhaṃ kṣūdraṃ ca Brh_1,13.31a	kRSa-ativRdDam kzUdram ca Br=-_1,13.31a
   kṛṣigojīvināṃ smṛtaḥ Brh_1,15.14b	kRzi-gojIvinAm smRtaH Brh_1,15.14b
   kṛṣigorakṣavāṇijyaṃ Brh_1,7.12c	kRzi-gorakza-vANijyam Br=-_1,7.12c
   kṛṣiḥ kāryā vijānatā Brh_1,13.27d	kRziH kAryA vijAnatA Br=-_1,13.27d
   kṛṣṇaṃ ca tatra vijñeyaḥ Brh_1,7.2c	kRzNam ca tatra vijQeyaH Br=-_1,7.2c
   kṛṣyamāṇād yathākramam Brh_1,1.43d	kRzyamANAt yaTAkramam Br=-_1,1.43d
   kṛṣyamāṇe tathāṣṭamam Brh_1,19.55b	kRzyamANe taTA-azwamam Br=-_1,19.55b
   kevalaṃ śāstram āśritya Brh_1,1.114a	kevalam SAstram ASritya Brh_1,1.114a
   kaivartān mūlakhānakān Brh_1,19.13b	kEvartAt mUla-KAnakAn Br=-_1,19.13b
   ko 'rthaḥ putreṇa jātena Brh_1,26.36c	kaH arTaH putreNa jAtena Br=-_1,26.36c
   kośapānaṃ visarjayet Brh_1,8.68d	koSa-pAnam visarjayet Br=-_1,8.68d
   kośaś caiva tadardhake Brh_1,8.30d	koSaH ca-eva tad-arDake Br=-_1,8.30d
   kośaḥ prokto manīṣibhiḥ Brh_1,8.13b	koSaH proktaH manIziBiH Br=-_1,8.13b
   kośena lekhyakriyayā Brh_1,17.7a	koSena leKya-kriyayA Brh_1,17.7a
   kaumārī vaiṣṇavī tathā Brh_1,8.25d	kOmArI vEzNavI taTA Br=-_1,8.25d
   kauśeyaṃ cottamadravyam Brh_1,23.7c	kOSeyam ca-uttama-dravyam Br=-_1,23.7c
   kramaśaḥ kalpyate vādo Brh_1,15.3c	kramaSas kalpyate vAdaH Br=-_1,15.3c
   kramaśaḥ saṃpravakṣyāmi Brh_1,10.2c	kramaSas saMpravakzyAmi Br=-_1,10.2c
   kramāgataṃ prītidāyaṃ Brh_1,7.9a	krama-Agatam prIti-dAyam Br=-_1,7.9a
   kramāgataḥ śāsanikaḥ Brh_1,7.25a	krama-AgataH SAsanikaH Brh_1,7.25a
   kramāgate gṛhakṣetre Brh_1,26.10a	krama-Agate gRha-kzetre Br=-_1,26.10a
   krayakāle paṇyaśabda Brh_1,18.2c	kraya-kAle paNya-Sabda Brh_1,18.2c
   krayakrītā tu yā nārī Brh_1,26.102a	kraya-krItA tu yA nArI Brh_1,26.102a
   krayalekhyaṃ tad ucyate Brh_1,6.13d	kraya-leKyam tat ucyate Br=-_1,6.13d
   krayalekhyaṃ dāsalekhyam Brh_1,6.7c	kraya-leKyam dAsa-leKyam Br=-_1,6.7c
   krayavikrayasaṃjāto Brh_1,18.1c	kraya-vikraya-saMjAtaH Brh_1,18.1c
   krayavikrayānuśayaḥ Brh_1,1.12a	kraya-vikraya-anuSayaH Brh_1,1.12a
   krayavikrayānuśaye Brh_1,19.1a	kraya-vikraya-anuSaye Brh_1,19.1a
   krayasiddhes tu naiva syād Brh_1,18.16c	kraya-sidDeH tu na-eva syAt Br=-_1,18.16c
   krayādhānasamanvitaḥ Brh_1,7.25b	kraya-ADAna-samanvitaH Brh_1,7.25b
   kraye grāmāt bahir gatāḥ Brh_1,18.20b	kraye grAmAt bahis gatAH Brh_1,18.20b
   krāntaṃ pakṣatraye kramāt Brh_1,18.20d	krAntam pakza-traye kramAt Br=-_1,18.20d
   kriyate gautamo 'vadat Brh_1,26.76b	kriyate gOtamaH avadat Br=-_1,26.76b
   kriyate nirṇayas tatra Brh_1,1.20c	kriyate nirNayaH tatra Br=-_1,1.20c
   kriyate yatra nirṇayaḥ Brh_1,1.19b	kriyate yatra nirNayaH Brh_1,1.19b
   kriyamāṇe tu kartavye Brh_1,5.12a	kriyamANe tu kartavye Brh_1,5.12a
   kriyayā pratipādayet Brh_1,4.4d	kriyayA pratipAdayet Br=-_1,4.4d
   kriyā kāraṇam iṣyate Brh_1,4.1d	kriyA kAraNam izyate Br=-_1,4.1d
   kriyā ca saphalā bhavet Brh_1,25.5d	kriyA ca saPalA Bavet Br=-_1,25.5d
   kriyāṇāṃ sarvanāśaḥ syād Brh_1,6.46c	kriyANAm sarva-nASaH syAt Br=-_1,6.46c
   kriyādānam anicchati Brh_1,3.16d	kriyAdAnam anicCati Br=-_1,3.16d
   kriyā na daivikī proktā Brh_1,4.12a	kriyA na dEvikI proktA Br=-_1,4.12a
   kriyāpādas tathā vācyaś Brh_1,1.17c	kriyA-pAdaH taTA vAcyaH Br=-_1,1.17c
   kriyāpādas tathaiva ca Brh_1,2.1b	kriyA-pAdaH taTA-eva ca Br=-_1,2.1b
   kriyābhedas tadā bhavet Brh_1,10.57d	kriyA-BedaH tadA Bavet Br=-_1,10.57d
   kriyābhedaḥ sa ucyate Brh_1,10.58d	kriyA-BedaH saH ucyate Br=-_1,10.58d
   kriyābhedāt prabhidyate Brh_1,15.5b	kriyA-BedAt praBidyate Br=-_1,15.5b
   kriyābhedād anekadahā Brh_1,1.13d	kriyA-BedAt anekadahAH Br=-_1,1.13d
   kriyābhedād anekadhā Brh_1,6.8d	kriyA-BedAt anekaDA Br=-_1,6.8d
   kriyābhedān nibodhata Brh_1,10.56d	kriyA-BedAt niboData Br=-_1,10.56d
   kriyābhedān manīṣibhiḥ Brh_1,9.2b	kriyA-BedAt manIziBiH Br=-_1,9.2b
   kriyābhedāṃś ca tattvataḥ Brh_1,10.2d	kriyA-BedAn ca tattvataH Br=-_1,10.2d
   kriyām uktvānyathā [?] brūyāt Brh_1,2.21c	kriyAm uktvA-anyaTA [?] brUyAt Br=-_1,2.21c
   kriyāyāṃ prativādinā Brh_1,5.24d	kriyAyAm prativAdinA Br=-_1,5.24d
   kriyāvadadhāraṇopetaṃ Brh_1,6.27c	kriyA-vat-aDAraNa-upetam Brh_1,6.27c
   kriyāvādāś ca vādinām Brh_1,29.14d	kriyA-vAdAH ca vAdinAm Br=-_1,29.14d
   kriyāvādī sa ucyate Brh_1,10.96d	kriyA-vAdI saH ucyate Br=-_1,10.96d
   kriyāsaṃbhogam eva ca Brh_1,7.6d	kriyA-saMBogam eva ca Br=-_1,7.6d
   krītaṃ tat svāmine deyaṃ Brh_1,18.8c	krItam tat svAmine deyam Br=-_1,18.8c
   kruddhahṛṣṭapramattārta- Brh_1,14.15a	krudDa-hRzwa-pramatta-Arta Brh_1,14.15a
   krūrā lubdhāś ca ye narāḥ Brh_1,26.142b	krUrAH lubDAH ca ye narAH Br=-_1,26.142b
   kretā mūlyam avāpnuyāt Brh_1,18.7d	kretA mUlyam avApnuyAt Br=-_1,18.7d
   kretuḥ śuddhis tato bhavet Brh_1,12.5d	kretuH SudDiH tatas Bavet Br=-_1,12.5d
   kretṛnāstikayor dvayoḥ Brh_1,12.16b	kretR-nAstikayoH dvayoH Br=-_1,12.16b
   kretrā jñātyādayaḥ smṛtāḥ Brh_1,18.13b	kretrA jQAti-AdayaH smRtAH Br=-_1,18.13b
   kretre ca vikretur idaṃ vadanti Brh_1,18.18d	kretre ca vikretuH idam vadanti Br=-_1,18.18d
   kretre mūlyaṃ pradāpyās te Brh_1,22.18c	kretre mUlyam pradApyAH te Br=-_1,22.18c
   kretre rājñe mūlyadaṇḍau Brh_1,12.7c	kretre rAjQe mUlya-daNxO Br=-_1,12.7c
   krodhalobhavihīnas tu Brh_1,1.22e	kroDa-loBa-vihInaH tu Brh_1,1.22e
   krodhādinā nimittena Brh_1,23.13c	kroDa-AdinA nimittena Br=-_1,23.13c
   kṣatasyālpam ahatvaṃ ca Brh_1,23.20c	kzatasya-alpam ahatvam ca Br=-_1,23.20c
   kṣatrajās tridvyekabhāgā Brh_1,26.41a	kzatra-jAH tri-dvi-eka-BAgAH Brh_1,26.41a
   kṣatravṛttyā bhṛte jane Brh_1,7.17b	kzatra-vRttyA BRte jane Br=-_1,7.17b
   kṣatriyasya hutāśanaḥ Brh_1,8.12b	kzatriyasya hutASanaH Br=-_1,8.12b
   kṣatriyasyābhiśaṃsane Brh_1,20.12b	kzatriyasya-aBiSaMsane Br=-_1,20.12b
   kṣatriyaṃ tatra yojayet Brh_1,1.79b	kzatriyam tatra yojayet Br=-_1,1.79b
   kṣatriyaṃ madhyamaṃ caiva Brh_1,20.16c	kzatriyam maDyamam ca-eva Br=-_1,20.16c
   kṣatriyaṃ vāhanāyudhaiḥ Brh_1,8.36b	kzatriyam vAhana-AyuDEH Br=-_1,8.36b
   kṣatriyaṃ vāhanāyudhaiḥ Brh_1,19.32b	kzatriyam vAhana-AyuDEH Br=-_1,19.32b
   kṣatriyādisutāya vai Brh_1,26.121b	kzatriya-Adi-sutAya vE Br=-_1,26.121b
   kṣatriyān agnihotriṇaḥ Brh_1,1.30b	kzatriyAn agnihotriNaH Br=-_1,1.30b
   kṣatriye triguṇaṃ dānaṃ Brh_1,14.10c	kzatriye triguNam dAnam Brh_1,14.10c
   kṣamāliṅgaṃ na ced vadet Brh_1,7.59d	kzamA-liFgam na ced vadet Br=-_1,7.59d
   kṣayavyayau tathā vṛddhis Brh_1,13.2c	kzaya-vyayO taTA vRdDiH Br=-_1,13.2c
   kṣayaśvitrādirogiṇaḥ Brh_1,10.110d	kzaya-Svitra-Adi-rogiNaH Br=-_1,10.110d
   kṣayahānir yadā tatra Brh_1,13.8a	kzaya-hAniH yadA tatra Brh_1,13.8a
   kṣayodayena cālpā ca Brh_1,19.43e	kzaya-udayena ca-alpA ca Brh_1,19.43e
   kṣayodayau jīvanaṃ ca Brh_1,19.42a	kzaya-udayO jIvanam ca Br=-_1,19.42a
   kṣāmaliṅgaṃ ca lekhayet Brh_1,2.6d	kzAma-liFgam ca leKayet Br=-_1,2.6d
   kṣitiṃ yo na nivārayet Brh_1,7.41b	kzitim yaH na nivArayet Br=-_1,7.41b
   kṣipan vinayam arhati Brh_1,20.14d	kzipan vinayam arhati Br=-_1,20.14d
   kṣipan svasrādikaṃ dadyāt Brh_1,20.9a	kzipan svasra-Adikam dadyAt Br=-_1,20.9a
   kṣipet traividyam eva vā Brh_1,17.15b	kzipet trEvidyam eva vA Br=-_1,17.15b
   kṣipraṃ nirvāsyate tataḥ Brh_1,17.16d	kzipram nirvAsyate tatas Br=-_1,17.16d
   kṣīriṇaś caiva pādapān Brh_1,19.2d	kzIriNaH ca-eva pAdapAn Br=-_1,19.2d
   kṣetrajādyāḥ sutās tv anye Brh_1,26.71a	kzetraja-AdyAH sutAH tu anye Br=-_1,26.71a
   kṣetrajo garhitaḥ sadbhis Brh_1,26.73a	kzetrajaH garhitaH sadBiH Br=-_1,26.73a
   kṣetram ekaṃ dvayor bandhe Brh_1,10.44a	kzetram ekam dvayoH banDe Brh_1,10.44a
   kṣetrayor ubhayor api Brh_1,18.12b	kzetrayoH uBayoH api Br=-_1,18.12b
   kṣetrasvāmī labheta tām Brh_1,19.25b	kzetrasvAmI laBeta tAm Br=-_1,19.25b
   kṣetrahāniḥ prajāyate Brh_1,13.28b	kzetrahAniH prajAyate Br=-_1,13.28b
   kṣetraṃ gṛhītvā yaḥ kaścin Brh_1,19.54a	kzetram gRhItvA yaH kaScid Br=-_1,19.54a
   kṣetraṃ yatnena varjayet Brh_1,13.29d	kzetram yatnena varjayet Br=-_1,13.29d
