   Maitrāyaṇī Saṃhitā	MEtrAyaNI  SaMhitA
   vai devān asurā yajñam ajayan, ta udañcaḥ patnībhiḥ sahāgnīdhraṃ prāviśan,	vE devAn asurAH yajQam ajayan, te udaQcaH patnIBiH saha AgnIDram prAviSan,
   tān patnībhiḥ saha prakśāya jihriyato 'surā apāvartanta tāṃs tata	tAn patnIBiH saha prakSAya jihriyataH asurAH apAvartanta tAn tata
   evānūtthāyājayan, tato devā abhavan parāsurās tad ya evaṃ veda bhavaty	eva anUtTAya ajayan, tatas devAH aBavan para asurAH tat yaH evam veda Bavati 
   ātmanā parāsya bhrātṛvyo bhavati nāsya bhrātṛvyo gṛhān na paśūn	AtmanA parA asya BrAtRvyaH Bavati na asya BrAtRvyaH gRhAt na paSUn
   abhyārohati, abhi bhrātṛvyasya gṛhān abhi paśūn ārohati ya evaṃ veda,	aByArohati, aBi BrAtRvyasya gRhAn aBi paSUn Arohati yaH evam veda,
   etāny evāgnīdhe 'nubrūyāt, agnīd vai pātnīvatasya yajati tṛptā patnī reto	etAni eva agnIDe anubrUyAt, agnIt vE pAtnIvatasya yajati tRptA patnI retaH 
   dhatte pra prajayā ca paśubhiś ca prajāyate, etair eva juhuyād antarā	Datte pra prajayA ca paSuBiH ca prajAyate, etEH eva juhuyAt antarA
   tvaṣṭāraṃ ca patnīś ca saṃvatsaraṃ prajākāmas, mithunaṃ vai tvaṣṭā ca	tvazwAram ca patnIH ca saMvatsaram prajA kAmas, miTunam vE tvazwA ca
   patnīś ca tvaṣṭāraṃ vā etan mithune 'pyasrāṭ prajananāya tan mithunam,	patnIH ca tvazwAram vE etat miTune api asrAj prajananAya tat miTunam,
   tasmād eva mithunād yajamānaḥ prajayā ca paśubhiś ca prajāyate vindate	tasmAt eva miTunAt yajamAnaH prajayA ca paSuBiH ca prajAyate vindate
   prajām āsya vīro jāyate yadi saṃvatsaraṃ juhvan na vinden nādṛtyam	prajAm Asya vIraH jAyate yadi saMvatsaram juhvan na vindet na AdRtyam
   //MS_1,9.8//	//n= _1,9.8//
   jihriyato : FN Correcturen und Conjecturen zu dem ganzen Werk.	jihriyataH : FN Corret turet und Conjet turet zu dem ganzet Werk.
   āgneyo 'ṣṭākapālaḥ saumyaś caruḥ sāvitro dvādaśakapālaḥ sārasvataś caruḥ	AgneyaH azwAkapAlaH sOmyaH caruH sAvitraH dvAdaSa kapAlaH sArasvataH caruH
   pauṣṇaś carus, mārutaḥ saptakapālas, vaiśvadevy āmikṣā dyāvāpṛthivīyā	pOzNaH carus, mArutaH sapta kapAlas, vESvadevI AmikzA dyAvApRTivIyA
   ekakapālas, vājināṃ vājinam āgneyo 'ṣṭākapālaḥ saumyaś caruḥ sāvitro	eka kapAlas, vAjinAm vAjinam AgneyaH azwAkapAlaH sOmyaH caruH sAvitraH 
   'ṣṭākapālaḥ sārasvataś caruḥ pauṣṇaś carus, aindrāgno dvādaśakapālas,	azwAkapAlaH sArasvataH caruH pOzNaH carus, EndrAgnaH dvAdaSa kapAla s,
   māruty āmikṣā vāruṇy āmikṣā kāya ekakapālas, vājināṃ vājinam agnaye	mAruti AmikzA vAruNI AmikzA kAyaH eka kapAlas, vAjinAm vAjinam agnaye
   'nīkavate prātar aṣṭākapālas, marudbhyaḥ sāṃtapanebhyo madhyaṃdine carus,	anIkavate prAtar azwAkapAlas, marudByaH sAMtapaneByaH maDyaMdine carus,
   marudbhyo gṛhamedhebhyaḥ sarvāsāṃ dugdhe sāyam odanam, indrasya niṣkāṣas,	marudByaH gRhameDeByaH sarvAsAm dugDe sAyam odanam, indrasya nizkAzas,
   marudbhyaḥ krīḍibhyaḥ sākaṃ raśmibhiḥ saptakapālas, āgneyo 'ṣṭākapālaḥ	marudByaH krIxiByaH sAkam raSmiBiH sapta kapAlas, AgneyaH azwAkapAlaH
   saumyaś caruḥ sāvitro 'ṣṭākapālaḥ sārasvataś caruḥ pauṣṇaś carus,	sOmyaH caruH sAvitraH azwAkapAlaH sArasvataH caruH pOzNaH carus,
   aindrāgno dvādaśakapālas, indrāya vṛtraghne carus, vaiśvakarmaṇa	EndrAgnaH dvAdaSa kapAlas, indrAya vRtra Gne carus, vESvakarmaNa
   ekakapālas, āgneyo 'ṣṭākapālaḥ saumyaś caruḥ sāvitro 'ṣṭākapālaḥ	eka kapAlas, AgneyaH azwAkapAlaH sOmyaH caruH sAvitraH azwAkapAlaH
   sārasvataś caruḥ pauṣṇaś carus, vāyavyā yavāgūḥ pratidhug vā, indrāya	sArasvataH caruH pOzNaH carus, vAyavyAH yavAgUH pratiDuc vA, indrAya
   śunāsīrāya dvādaśakapālaḥ saurya ekakapālaḥ ṣaṭkapālaḥ puroḍāśo dhānā	SunAsIrAya dvAdaSa kapAlaH sOryaH eka kapAlaH zaz kapAlaH puroxASaH DAnA
   manthaḥ pratipuruṣaṃ puroḍāśā ekaś cādhy ādityaś caruḥ //MS_1,10.1//	manTaH prati puruzam puroxASAH ekaH ca aDi AdityaH caruH //n= _1,10.1//
   agne ver hotram, ver dūtyam ūrdhvo adhvaro asthāt, avatāṃ no dyāvāpṛthivī	agne veH hotram, veH dUtyam UrDvaH aDvaraH asTAt, avatAm naH dyAvApRTivI
   sviṣṭakṛd indrāya devebhyo bhava, asya ghṛtasya haviṣo juṣāṇo vīhi svāhā	svizwakRt indrAya deveByaH Bava, asya GRtasya havizaH juzANaH vIhi svAhA
        praghāsyān havāmahe maruto yajñavāhasaḥ /	praGAsyAn havAmahe marutaH yajQa vAhasaH /
        karambheṇa sajoṣasaḥ //	karamBeNa sajozasaH //
        mo ṣū ṇa indrātra pṛtsu devāstu sma te śuṣminn avayāḥ /	maH zU NaH indra atra pRtsu devAH tu sma te Suzmin avayAH /
        mahī cidyasya mīḍhuṣo yavyā haviṣmato maruto vandate gīḥ //	mahI cit yasya mIXuzaH yavyAH havizmataH marutaH vandate gIH //
        yad grāme yad araṇye yat sabhāyāṃ yad indriye /	yat grAme yat araNye yat saBAyAm yat indriye /
        yad enaś cakṛmā vayaṃ yad apsaś cakṛmā vayam /	yat enaH cakRmAH vayam yat apsaH cakRmAH vayam /
        tad ekasyāpi cetasi tad ekasyāpi dharmaṇi /	tat ekasya api cetasi tat ekasya api DarmaNi /
        tasya sarvasyāṃhaso 'vayajanam asi //	tasya sarvasya aMhasaH avayajanam asi //
        akran karma karmakṛtaḥ saha vācā mayobhvā /	akran karma karma kRtaH saha vAcA mayA uBvA /
        devebhyaḥ kamra kṛtvāstaṃ preta sudānavaḥ //	deveByaH kamra kRtvA astam preta su dAnavaH //
        pūrṇā darve parā pata supūrṇā punar āpata /	pUrNA darve parA pata su pUrNA punar Apata /
        vasneva vikrīṇāvahā iṣam ūrjaṃ śatakrato //	vasneva vikrINa AvahAH izam Urjam Satakrato //
        dehi me dadāmi te ni me dhehi ni te dadhau /	dehi me dadAmi te ni me Dehi ni te daDO /
        apāmityam iva saṃbhara ko ambādadate dadat //MS_1,10.2//	apAmityam iva saMBara kaH ambA Adadate dadat //n= _1,10.2//
   atra pitaro mādayadhvam //	atra pitaraH mAdayaDvam //
   susaṃdṛśaṃ tvā vayaṃ vaso maghavan mandiṣīmahi //	su saMdRSam tvA vayam vasaH maGavan mandizImahi //
   pra nūnaṃ pūrṇavandhuraḥ stuto yāsi vaśaṃ anu yojā nv indra te harī //	pra nUnam pUrNa vanDuraH stutaH yAsi vaSam anu yojA nu indra te harI //
   [Page I,143]	[Pa ge I,143]
        yad antarikṣaṃ pṛthivīm uta dyāṃ yan mātaraṃ pitaraṃ vā jihiṃsima /	yat antarikzam pRTivIm uta dyAm yat mAtaram pitaram vA jihiMsima /
        agnir nas tasmād enaso gārhapatyā unninetu duṣkṛtāj jātavedāḥ //	agniH naH tasmAt enasaH gArhapatyAH unninetu duzkRtAt jAtavedAH //
   amīmadanta pitaras, namo vaḥ pitara iṣe namo vaḥ pitara ūrje namo vaḥ	amImadanta pitaras, namaH vaH pitaraH ize namaH vaH pitaraH Urje namaH vaH
   pitaraḥ śuṣmāya namo vaḥ pitaro rasāya namo vaḥ pitaro yaj jīvaṃ tasmai	pitaraH SuzmAya namaH vaH pitaraH rasAya namaH vaH pitaraH yat jIvam tasmE
   namo vaḥ pitaro yad ghoraṃ tasmai svadhā vaḥ pitaras, namo namo vaḥ	namaH vaH pitaraH yat Goram tasmE svaDA vaH pitaras, namaH namaH vaH
   pitaraḥ //	pitaraH //
   eṣā yuṣmākaṃ pitara imā asmākam, jīvā vo jīvantaḥ iha santaḥ syāma //	ezA yuzmAkam pitaraH imAH asmAkam, jIvAH vaH jIvantaH iha santaH syAma //
        paretana pitaraḥ somyāso gambhīrebhiḥ pathibhiḥ pūrvebhiḥ /	paretana pitaraH somyAsaH gamBIreBiH paTiBiH pUrveBiH /
        dadhatha no draviṇaṃ yac ca bhadraṃ rayiṃ ca naḥ sarvavīraṃ niyachata	daDaTa naH draviNam yat ca Badram rayim ca naH sarva vIram niyaCata
        ayā viṣṭhā janayan karvarāṇi sa hi ghṛṇir urur varāya gātuḥ /	ayA vizWA janayan karvarANi sa hi GRNiH uruH varAya gAtuH /
        sa pratyaṅṅ aid dharuṇo madhvo agraṃ svāṃ yat tanūṃ tanvām airayata	sa pratyaF Ed DaruNaH maDvaH agram svAm yat tanUm tanvAm Erayata
   pratyaṅṅ : FN Correcturen und Conjecturen zu dem ganzen Werk.	pratyaF : FN Corret turet und Conjet turet zu dem ganzet Werk.
        akṣann amīmadanta hy ava priyā adhūṣata /	akzan amImadanta hi ava priyAH aDUzata /
        astoṣata svabhānavo viprā naviṣṭhayā matī yojā nv indra te harī //	astozata sva BAnavaH viprAH navizWayA matI yojA nu indra te harI //
        mano vyāhuvāmahe nārāśaṃsena stomena /	manaH vyAhuvAmahe nArASaMsena stomena /
        pitṛṇāṃ ca manmabhiḥ //	pitRNAm ca manmaBiH //
        ā na etu manaḥ punaḥ kratve dakṣāya jīvase /	A naH etu manaH punar kratve dakzAya jIvase /
        jyok ca sūryaṃ dṛśe //	jyok ca sUryam dRSe //
        punar naḥ pitaro mano dadātu daivyo janaḥ /	punar naH pitaraH manaH dadAtu dEvyaH janaH /
        jīvaṃ vrātaṃ sacemahi //	jIvam vrAtam sa cemahi //
        agne tam adyāśvaṃ na stomaiḥ kratuṃ na bhadraṃ hṛdispṛśam /	agne tam adya aSvam na stomEH kratum na Badram hRdispRSam /
        ṛdhyāmā tā ohaiḥ //MS_1,10.3//	RDyAmA tAH ohEH //n= _1,10.3//
   ākhuṃ te rudra paśuṃ karomi, eṣa te rudra bhāgas taṃ juṣasva saha	AKum te rudra paSum karomi, eza te rudra BAgaH tam juzasva saha
   svasrāmbikayā svāhā //	svasra ambikayA svAhA //
        avāmba rudram adimahy ava devaṃ tryambakam /	avAmba rudram adimahi ava devam tryambakam /
        yathā no vasyasas karad yathā naḥ śreyasas karat /	yaTA naH vasyasaH karat yaTA naH SreyasaH karat /
        yathā no bhūyasas karad yathā naḥ prataraṃ tirād yathā no	yaTA naH BUyasas karat yaTA naH prataram tirAt yaTA no
   vyavasāyayāt //	vyavasAyayAt //
        bheṣajaṃ gave aśvāya puruṣāya bheṣajam /	Bezajam gave aSvAya puruzAya Bezajam /
        atho asmabhyaṃ bheṣajaṃ subheṣajaṃ yathāsati sugaṃ meṣāya meṣyai //	aTo asmaByam Bezajam suBeza jam yaTA asati sugam mezAya mezyE //
        tryambakaṃ yajāmahe sugandhiṃ puṣṭivardhanam /	tryambakam yajAmahe suganDim puzwi varDanam /
        urvārukam iva bandhanān mṛtyor mukṣīya māmṛtāt //	urvArukam iva banDanAt mRtyoH mukzIya mA amRtAt //
   rudraiṣa te bhāgas tenāvasena paro mūjavato 'tīhi //	rudra eza te BAgaH tena avasena paraH mUjavataH atIhi //
   pinākahastaḥ kṛttivāsā avatatadhanvā //MS_1,10.4//	pinAkahastaH kRttivAsAH avatata DanvA //n= _1,10.4//
   [Page I,145]	[Pa ge I,145]
   devāś ca vā asurāś cāsmiṃl loka āsant sa prajāpatir akāmayata prāsurān	devAH ca vE asurAH ca asmin loke Asant sa prajApatiH akAmayata prAsurAn
   nudeya prajāḥ sṛjeyeti sa cāturmāsyāny apaśyat, cāturmāsyair vai so 'surān	nudeya prajAH sRjeya iti sa cAturmAsyAni apaSyat, cAturmAsyEH vE saH asurAn
   prānudata cāturmāsyaiḥ prajā asṛjata tad ya evaṃ vidvāṃś cāturmāsyair	prAnudata cAturmAsyEH prajAH asRjata tat yaH evam vidvAn cAturmAsyEH 
   yajate pra bhrātṛvyaṃ nudate pra prajayā ca paśubhiś ca jāyate, agniṣṭomād	yajate pra BrAtRvyam nudate pra prajayA ca paSuBiH ca jAyate, agnizwomAt 
   vaiśvadevaṃ yajñakratuṃ nirmāya prajāpatiḥ prajā asṛjata, ukthyād	vESvadevam yajQa kratum nirmAya prajApatiH prajAH asRjata, ukTyAd
   varuṇapraghāsān yajñakratuṃ nirmāyemāḥ prajā varuṇenāgrāhayat, atirātrāt	varuNa praGAsAn yajQa kratum nirmAya imAH prajAH varuNena agrAhayat, atirAtrAt 
   sākamedhān yajñakratuṃ nirmāyendro vṛtram ahan, sṛṣṭā vā anyāḥ prajā āsann	sAkameDAn yajQa kratum nirmAya indraH vRtram ahan, sRzwAH vE anyAH prajAH Asann
   asṛṣṭā anyās, atha prajāpatir akāmayata prajāḥ sṛjeyeti saṃvatsaro vai	asRzwAH anyAs, aTa prajApatiH akAmayata prajAH sRjeya iti saMvatsaraH vE
   yajñas, yajñaḥ prajāpatiḥ sa ete mithune payasī ātmann adhattodhanyaṃ ca	yajQas, yajQaH prajApatiH saH ete miTune payasI Atman aDattoDanyam ca
   vahyaṃ ca, athaitābhyo devatābhya etāni havīṃṣi bhāgaṃ niravapat taiḥ	vahyam ca, aTa etAByaH devatAByaH etAni havIMzi BAgam niravapat tEH
   prajā asṛjata ṛtubhyo vai tāḥ prajāḥ prājāyanta ṛtavo vā etāni pañca	prajAH asRjate RtuByaH vE tAH prajAH prAjAyante RtavaH vE etAni paQca
   havīṃṣi pañca hy ṛtavas tataḥ prajāyate, agnir eva prāvāpayat somo vai	havIMzi paQca hi RtavaH tatas prajAyate, agniH eva prAvApayat somaH vE
   reto 'dadhāt, mithunaṃ vā agniś ca somaś ca savitā prāsuvat prajananāya	retaH adaDAt, miTunam vE agniH ca somaH ca savitA prAsu vat prajananAya
   saṃvatsaro vai savitā dvādaśa māsāḥ saṃvatsaras tasmād dvādaśakapālas,	saMvatsaraH vE savitA dvAdaSa mAsAH saMvatsaraH tasmAt dvAdaSa kapAla s,
   atho vaiśvadevatvāyaiva dvādaśakapālas, upāṃśu yajati, anirukto hi	aTo vESvadeva tvAya eva dvAdaSa kapAlas, upAMSu yajati, aniruktaH hi
   saṃvatsaraḥ sarasvaty eva sṛṣṭāsu vācam adadhāt pūṣaṇaṃ pratiṣṭhām	saMvatsaraH sarasvatI eva sRzwAsu vAcam adaDAt pUzaNam pratizWAm
   abhyasṛjyanta vāg vai sarasvatī paśavaḥ pūṣā mithunaṃ vāk ca paśavaś ca	aByasRjyanta vAc vE sarasvatI paSavaH pUzA miTunam vAc ca paSavaH ca
   madhyataḥ prajāpatināsṛjyanta, antato mithunād viṣūcīḥ prājāyanta tan	maDyatas prajApatinA asRjyanta, antatas miTunAt vizUcIH prAjAyanta tan
   madhyata evaitat prajāpatinā sṛjyante, athādo 'ntato mithunād viṣūcīḥ	maDyatas eva etat prajApatinA sRjyante, aTa AdaH antatas miTunAt vizUcIH
   prajāyante vārtraghnāni vā etāni havīṃṣi, agninā vā anīkenendro vṛtram	prajAyante vArtra GnAni vE etAni havIMzi, agninA vA anIkena indraH vRtram
   ahan, somena rājñā savitṛprasūtaḥ sarasvatyā cetrā pūṣainaṃ	ahan, somena rAjQA savitR prasUtaH sarasvatyA cetrA pUzA enam
   vīryeṇānvatiṣṭhata vijitir vā etāni havīṃṣi, indro vai vṛtram ahan, sa	vIryeNa anvatizWata vijitiH vE etAni havIMzi, indraH vE vRtram ahan, sa
   viṣvaṅ vīryeṇa vyārchat tad idaṃ sarvaṃ prāviśad apa oṣadhīr vanaspatīn,	vizvaF vIryeNa vyArCat tat idam sarvam prAviSat apaH ozaDIH vanaspatIn ,
   tena devā aśrāmyan, tat samanayan, tat sānnāyyasya sānnāyyatvam, tad ya	tena devAH aSrAmyan, tat samanayan, tat sAnnAyyasya sAnnAyya tvam, tat ya
   evaṃ vidvānt sānnāyyena yajata ṛdhnoti //MS_1,10.5//	evam vidvAnt sAnnAyyena yajate RDnoti //n= _1,10.5//
   mithunaṃ vai dadhi ca śṛtaṃ ca, atha yat saṃsṛṣṭam āṇḍam iva mastv iva	miTunam vE daDi ca SRtam ca, aTa yat saMsRzwam ANxam iva mastu iva
   parīva dadṛśe garbha eva sa tapaso vai prajāḥ prājāyanta tapastvaṃ vā etad	pari iva dadRSe garBaH eva sa tapasaH vE prajAH prAjAyanta tapaH tvam vE etat 
   gachati yañ śṛtatvaṃ gachati tataḥ prajāyate, athaiṣā vaiśvadevy āmikṣā	gaCati yan SRta tvam gaCati tatas prajAyate, aTa ezA vESvadevI AmikzA
   prajāpatiḥ prajā asṛjata tā vaiśvadevenaivāsṛjata tasmād imā vaiśvadevīḥ	prajApatiH prajAH asRjata tAH vESvadevena eva asRjata tasmAt imAH vESvadevIH
   prajās, viśvān devān yajati stokā vai viśve devās tān vā etad yajati, atho	prajAs, viSvAn devAn yajati stokAH vE viSve devAH tAn vE etat yajati, aTo
   amutaḥpradānād dhi manuṣyā yajñam upajīvanti yonir vā eṣa prajānām, taṃ	amutas pradAnAt Di manuzyAH yajQam upajIvanti yoniH vE eza prajAnAm, tam
   maruto 'bhyakāmayanta tato 'ṃhogṛhītā asṛjyanta yat svatavadbhyaḥ	marutaH aByakAmayanta tatas aMhaH gRhItAH asRjyanta yat sva tavadByaH
   svatvāyaiva niṣkṛtyai prajanano vā eṣa paśūnām, yan mārutaḥ saptakapālo	sva tvAya eva nizkRtyE prajananaH vE eza paSUnAm, yat mArutaH sapta kapAlaH 
   bhavati sapta hi marutas, viṇ marutas, atho niravattyā eva mārutas, atho	Bavati sapta hi marutas, viz marutas, aTo niravattyE eva mArutas, aTo
   grāmyam evaitenānnādyam avarunddhe //MS_1,10.6//	grAmyam eva etena annAdyam avarundDe //n= _1,10.6//
   tā vaiśvadevena sṛṣṭā viṣūcīr vyudāyan, tāḥ prajāpatir dyāvāpṛthivīyena	tAH vESvadevena sRzwAH vizUcIH vyudAyan, tAH prajApatiH dyAvApRTivIyena
   paryagṛhṇāt, yad dyāvāpṛthivīyaḥ prajānāṃ sṛṣṭānāṃ parigṛhītyai yad	paryagRhNAt, yat dyAvApRTivIyaH prajAnAm sRzwAnAm parigRhItyE yat 
   ekakapālas tena prājāpatyaḥ prajāpatā eva devatāsu pratitiṣṭhati yajamāno	eka kapAlaH tena prAjApatyaH prajApatAH eva devatAsu pratitizWati yajamAnaH 
   vā ekakapālas, āhavanīyaḥ svargo lokas, yat sarvahutaṃ karoti havirbhūtam	vE eka kapAlas, AhavanIyaH svargaH lokas, yat sarva hutam karoti haviH BUtam
   evainaṃ svargaṃ lokaṃ gamayati yajamānaṃ vai hūrchantaṃ prajā anuhūrchanti	eva enam svargam lokam gamayati yajamAnam vE hUrCantam prajAH anuhUrCanti
   yajamānaṃ pratitiṣṭhantaṃ prajā anupratitiṣṭhanti, ṛjur hotavyaḥ	yajamAnam pratitizWantam prajAH anupratitizWanti, RjuH hotavyaH
   pratiṣṭhityai sarvahutaṃ karoti pratiṣṭhityai yajamāno vā ekakapālaḥ	pratizWityE sarva hutam karoti pratizWityE yajamAnaH vE eka kapAlaH
   paśavo ghṛtam, tad abhipūryaḥ paśubhir evainaṃ samardhayati yad	paSavaH GRtam, tat aBipUryaH paSuBiH eva enam samarDayati yat 
   abhipūrayed adharam enaṃ paśubhyaḥ kuryād abhuñjanta enaṃ paśavā	aBipUrayet aDaram enam paSuByaH kuryAt aBuQjanta enam paSavA
   upatiṣṭheyus, āviḥpṛṣṭhaḥ kāryaḥ paśubhya evainam uttaram akar bhuñjanta	upatizWeyus, Avis pRzWaH kAryaH paSuByaH eva enam uttaram akar BuQjanta
   enaṃ paśavā upatiṣṭhate tan na sūrkṣyam abhipūrya eva na hi paśavo na	enam paSavAH upatizWate tat na sUrkzyam aBipUryaH eva na hi paSavaH na
   bhuñjanti yat prāṅ padyeta yajamānaḥ pramīyeta yad dakṣiṇā prajām asya	BuQjanti yat prAF padyeta yajamAnaH pramIyeta yat dakziNA prajAm asya
   nirdahet, yat pratyaṅ patnī pramīyeta yad udaṅ paśūn asya nirdahet, yad	nirdahet, yat pratyaF patnI pramIyeta yat udaF paSUn asya nirdahet, yat 
   uttānaḥ patet parjanyo 'varṣukaḥ syāt punarādāyābhighārya hotavyas,	uttAnaH patet parjanyaH avarzukaH syAt punar AdAya aBiGArya hotavyas,
   yajamānasya pratiṣṭhityai varo dakṣiṇā varenaiva varaṃ spṛṇoti, ātmā hi	yajamAnasya pratizWityE varaH dakziNA varena eva varam spRNoti, AtmA hi
   varas tredhāsaṃnaddhaṃ barhir bhavati tredhāsaṃnaddha idhmas	varaH treDA saMnadDam barhiH Bavati treDA saMnadDaH iDmas
   tredhāvihitāni cāturmāsyāni saṃvatsaraṃ vai cāturmāsyāni saṃvatsareṇāgniṃ	treDA vihitAni cAturmAsyAni saMvatsaram vE cAturmAsyAni saMvatsareNa agnim
   manthanti, agniṃ vai prajā anuprajāyante prajanano vā eṣa mathyate, atho	manTanti, agnim vE prajAH anuprajAyante prajananaH vE eza maTyate, aTo
   vṛṣāṇaṃ vā etad yajamānāya janayanti vasantā yaṣṭavyam, prajananāya	vRzANam vE etat yajamAnAya janayanti vasantAH yazwavyam, prajananAya
   pravaṇe yaṣṭavyam, prajananāya nottaravedim upavapanti prajananāya prasvo	pravaNe yazwavyam, prajananAya na uttara vedim upavapanti prajananAya prasvaH 
   bhavanti pra mā janayānīti paśavo vai pṛṣadājyam, nānārūpā vai paśavas	Bavanti pra mA janayAni iti paSavaH vE pRzadAjyam, nAnA rUpAH vE paSavaH 
   tasmān nānārūpam āgneyaṃ ghṛtam aindraṃ dadhy aindrāgnaṃ pṛṣadājyaṃ	tasmAt nAnA rUpam Agneyam GRtam Endram daDi EndrAgnam pRzadAjyam
   devatayā prāṇāpānau vā indrāgnī mithunaṃ prāṇāpānau mithunayonayaḥ prajās,	devatayA prANa apAnO vA indra agnI miTunam prANa apAnO miTuna yonayaH prajAs,
   mithunāt khalu vai prajāḥ paśavaḥ prajāyante tan mithunam, tasmād eva	miTunAt Kalu vE prajAH paSavaH prajAyante tat miTunam, tasmAt eva
   mithunād yajamānaḥ prajayā ca paśubhiś ca prajāyate yadi vasantā yajeta	miTunAt yajamAnaH prajayA ca paSuBiH ca prajAyate yadi vasantAH yajeta
   dvir upastṛṇīyāt sakṛd abhighārayet, oṣadhayo vai paśavas, oṣadhīṣv eva	dvis upastRNIyAt sakRt aBiGArayet, ozaDayaH vE paSavas, ozaDIzu eva
   paśūn pratiṣṭhāpayati yadi prāvṛṣi yajeta sakṛd upastṛṇīyād dvir	paSUn pratizWApayati yadi prAvRzi yajeta sakRt upastRNIyAt dvis 
   abhighārayet, vṛṣṭyaiva paśūn abhijigharti //MS_1,10.7//	aBiGArayet, vRzwyA eva paSUn aBijiGarti //n= _1,10.7//
   prāṇebhyo vai tāḥ prajāḥ prājāyanta prāṇā vā etāni nava havīṃṣi nava hi	prANeByaH vE tAH prajAH prAjAyanta prANAH vE etAni nava havIMzi nava hi
   prāṇās, ātmā devatā tataḥ prajāyate nava prayājās, navānuyājās, dvā	prANAs, AtmA devatA tatas prajAyate nava prayAjAs, nava anuyAja as, dvA
   ājyabhāgau, aṣṭau havīṃṣi, agnaye samavadyati vājino yajati tat triṃśas	Ajya BAgO, azwO havIMzi, agnaye samavadyati vAjinaH yajati tat triMSas
   triṃśadakṣarā virāḍ virājy eva pratitiṣṭhati virājo vai yoneḥ prajāpatiḥ	triMSat akzarA virAj virAji eva pratitizWati virAjaH vE yoneH prajApatiH
   prajā asṛjata virājo vā etad yoner yajamānaḥ prajāyate triṃśattriṃśad vai	prajAH asRjata virAjaH vE etat yoneH yajamAnaH prajAyate triMSat triMSat vE
   rātrayo māsas, yo māsaḥ sa saṃvatsaraḥ saṃvatsaraḥ prajāpatis tat	rAtrayaH mAsas, yaH mAsaH sa saMvatsaraH saMvatsaraH prajApatiH tat 
   prajāpateś ca vā etad virājaś ca yoner mithunād yajamānaḥ prajāyate,	prajApateH ca vE etat virAjaH ca yoneH miTunAt yajamAnaH prajAyate,
   ekaikayā vā āhutyā dvādaśadvādaśa rātrīr ayuvata tā yāvatīḥ saṃkhyāne	ekEkayA vE AhutyAH dvAdaSa dvAdaSa rAtrIH ayuvata tAH yAvatIH saMKyAne
   tāvatīḥ saṃvatsarasya rātrayaḥ saṃvatsaram eva bhrātṛvyād yuvate	tAvatIH saMvatsarasya rAtrayaH saMvatsaram eva BrAtRvyAt yuvate
   vaiśvadevena caturo māso 'yuvata varuṇapraghāsaiḥ parāṃś caturaḥ	vESvadevena caturaH mAsaH ayuvata varuNa praGAsEH parAn caturaH
   sākamedhaiḥ parāṃś caturas tān eva bhrātṛvyād yuvata ṛtuyājī vā anyaś	sAkameDEH parAn caturaH tAn eva BrAtRvyAt yuvataH Rtu yAjI vE anyaH 
   cāturmāsyayājy anyas, yo vasanto 'bhūt prāvṛḍ abhūñ śarad abhūd iti yajate	cAturmAsya yAjI anyas, yaH vasantaH aBUt prAvRz aBUn Sarad aBUt iti yajate
   sa ṛtuyājī, atha yas trayodaśaṃ māsaṃ saṃpādayati trayodaśaṃ māsam	saH Rtu yAjI, aTa yaH trayodaSam mAsam saMpAdayati trayodaSam mAsam
   abhiyajate sa cāturmāsyayājī, ṛjūṃs trīn iṣṭvā caturtham utsṛjeta ṛjū dvau	aBiyajate sa cAturmAsya yAjI, RjUn trIn izwvA caturTam utsRjeta RjU dvO
   parā iṣṭvā tṛtīyam utsṛjeta ye vai trayaḥ saṃvatsarās teṣāṃ ṣaṭtriṃśat	parA izwvA tRtIyam utsRjeta ye vE trayaH saMvatsarAH tezAm zawtriMSat 
   pūrṇamāsās, yau dvau tayoś caturviṃśatis tad ye 'mī ṣaṭ triṃśaty adhi tān	pUrNamAsAs, yO dvO tayoH caturviMSatiH tat ye amI zaw triMSati aDi tAn
   asyāṃ caturviṃśatyām upasaṃpādayati, eṣa vāva sa trayodaśo māsas tam	asyAm caturviMSatyAm upasaMpAdayati, eza vAva sa trayodaSaH mAsaH tam
   evaitat saṃpādayati tam abhiyajate vaiśvadevena yajeta paśukāmas, na	eva etat saMpAdayati tam aBiyajate vESvadevena yajeta paSu kAmas, na
   varuṇapraghāsair na sākamedhaiḥ sarvo vai puruṣaḥ sāhasro jāyate	varuNa praGAsEH na sAkameDEH sarvaH vE puruzaH sAhasraH jAyate
   yāvattarasaṃ tv evaiti prajananaṃ vā etad dhavir yad vaiśvadevam, yad	yAvat tarasam tu eva eti prajananam vE etat DaviH yat vESvadevam, yat 
   vaiśvadevena yajate prajananāya vā etad yajate svāṃ mātrāṃ gachānīti sa	vESvadevena yajate prajananAya vE etat yajate svAm mAtrAm gaCAni iti sa
   yadā sahasraṃ paśūn gached atha varuṇapraghāsair yajeta yad evādaḥ	yadA sahasram paSUn gaCet aTa varuNa praGAsEH yajeta yat eva AdaH
   sahasram agaṃs tasyaitad aṃho 'vayajati //MS_1,10.8//	sahasram agan tasya etat aMhaH avayajati //n= _1,10.8//
   virāḍ : FN ⟨ virāj	virAj : F ⟨ virAj
   eva : FN emended. Ed.: virājeva	eva : FN ema inded. Ed.: virAjA iva
