   oṃ namo ratnatrayāya	om namaH ratnatrayAya
   etena kramayogena	etena krama yogena
   triṃśan^muhūrtam ekam aho^rātraṃ/ triṃśad ahorātrāṇy eko māsaḥ/	triMSat ^muhUrtam ekam aho^rAtraM/ triMSat ahorAtrANi ekaH mAsaH/
   dvādaśa^māsāḥ saṃvatsaraḥ/ caturojāḥ śvetaḥ samṛddhaḥ śarapatho	dvAdaSa^mAsAH saMvatsaraH/ catur ojAH SvetaH samRdDaH Sara paTaH 
   +atisamṛddha udgataḥ (57) sumukho vajrako rohito balo vijayaḥ sarva^raso	+ati samRdDaH udgataH (57) sumuKaH vajrakaH rohitaH balaH vijayaH sarva^rasaH 
   vasuḥ sundaraḥ para^bhayaḥ/ raudras tārāvacaraḥ saṃyamaḥ sāṃpraiyako	vasuH sundaraH para^BayaH/ rOdraH tArAvacaraH saMyamaH sAMprEyakaH 
   +annanto gardabho rākṣaso +avayavo brahmā ditir arko vidhamano āgneya	+annantaH gardaBaH rAkzasaH +avayavaH brahmA ditiH arkaH viDamanaH Agneya
   ātapāgnir abhijit/	Atapa agniH aBijit/
   p.57.1/.iti^imāni muhūrtānāṃ nāmāni/	p.57.1/.iti^imAni muhUrtAnAm nAmAni/
   %kāla^utpattiḥ 57	%kAlaH ^utpattiH 57
   p.57.2ab/.kālotpattim api te brāhmaṇa vakṣyāmi śṛṇu/	p.57.2ab/.kAla utpattim api te brAhmaNa vakzyAmi SRNu/
   p.57.2cd/.kālasya kiṃ pramāṇam iti tad ucyate/	p.57.2cd/. kAlasya kim pramANam iti tat ucyate/
   p.57.3/.dvāvakṣinimeṣāv eko lavaḥ/ asṭau lavā ekā kāṣṭhā/ ṣoḍaśakāṣṭhā ekā	p.57.3/.dvO= akzi nimezO ekaH lavaH/ aswO lavA ekA kAzWA/ zoxaSa kAzWA ekA
   kalā/ kalānāṃ triṃśadeko nāḍikā/ tatra dve nāḍika eko muhūrtaḥ/	kalA/ kalAnAm triMSat ekaH nAxikA/ tatra dve nAxikaH ekaH muhUrtaH/
   p.57.4/.nāḍikāyāḥ punaḥ kiṃ pramāṇaṃ/ tad ucyate/	p.57.4/.nAxikAyAH punar kim pramANan/ tat ucyate/
   p.57.5/.droṇaṃ salilasyaikaṃ/ taddharaṇato dve palaśate bhavataḥ/	p.57.5/.droNam salilasya ekaM/ tad haraNataH dve pala Sate BavataH/
   nālikāchidrasya kiṃ pramāṇaṃ/ suvarṇa^mātraṃ/ upari catur^aṅgulā	nAlikA Cidrasya kim pramANan/ suvarNa^mAtraM/ upari catuH ^aFgulA
   suvarṇa^śalākā kartavyā/ (58) vṛttaparimaṇḍalā samāntāc caturasrā āyatā/	suvarNa^SalAkA kartavyA/ (58) vRtta parimaNxalA samA antAt catur asrA AyatA/
   yadā ca^evaṃ śīryeta tat toyaṃ ghaṭasya tadaikā nāḍikā/ etena	yadA ca^evam SIryeta tat toyam Gawasya tadA ekA nAxikA/ etena
   nālikāpramāṇena vibhakte dve nāḍika eko muhūrtaḥ/ etena bho brāhmaṇa	nAlikA pramANena viBakte dve nAxikaH ekaH muhUrtaH/ etena Bo brAhmaNa
   triṃśan muhūrtāḥ/ yai	triMSat muhUrtAH/ yE
   rātridivasā anumīyanta iti/	rAtri divasAH anumIyante iti/
   p.58.1/.tataḥ ṣoḍaśa nimeṣā ekā kāṣṭhā/ ṣoḍaśa kāṣṭhā ekā kalā/ ṣaṣṭikalā	p.58.1/.tataH zoxaSa nimezAH ekA kAzWA/ zoxaSa kAzWA ekA kalA/ zazwi kalA
   eko muhūrtaḥ/ triṃśan^muhūrtā ekam ahorātram/ triṃśad ahorātrāṇy eko	ekaH muhUrtaH/ triMSat ^muhUrtAH ekam ahorAtram/ triMSat ahorAtrANi ekaH 
   māsaḥ/ dvādaśa^māsāḥ saṃvatsaraḥ/	mAsaH/ dvAdaSa^mAsAH saMvatsaraH/
   p.58.2/.etena punarakṣinimeṣeṇa ṣoḍaśakoṭayo +aṣṭapañcāśac ca	p.58.2/.etena punar akzi nimezeNa zoxaSa kowayaH +azwapaQcASat ca
   śata^sahasrāṇi aṣṭāśīti^sahasrāṇi sa evaṃ māpitaḥ/ tac ca brāhmaṇa	Sata^sahasrANi azwASIti^sahasrANi saH evam mApitaH/ tat ca brAhmaNa
   kālotpattir vyākhyātā/	kAla utpattiH vyAKyAtA/
   %krośayojana^utpattiḥ 58	%kroSa yojanaH ^utpattiH 58
   p.58.3/.sṛṇu brāhmaṇa krośayojanānām utpattiṃ/ sapta paramāṇava eko +aṇur	p.58.3/.sRNu brAhmaNa kroSa yojanAnAm utpattiM/ sapta paramANavaH ekaH +aNuH 
   bhavati/ saptāṇavaḥ sarva^sūkṣmaṃ dṛsyate/ tad ekaṃ vātāyanarajaḥ/	Bavati/ sapta aNavaH sarva^sUkzmam dRsyate/ tat ekam vAtAyana rajaH/
   vātāyanarajāṃsi sapta, śaśa^karajaḥ/ sapta śaśa^karajāṃsy eḍa^karajaḥ/	vAtAyana rajAMsi sapta, SaSa^karajaH/ sapta SaSa^karajAMsi exa^karajaH/
   sapta eḍa^karajāṃśyekaṃ gorajaḥ/ saptagorajāṃsy ekā yūkā/ saptayūkā ekā	sapta exa^karaja aMSI ekam gorajaH/ sapta gorajAMsi ekA yUkA/ saptayUkA ekA
   likṣā/ saptalikṣā eko yavaḥ/ sapta yavā ekāṅguliḥ/ dvādaśāṅgulayo	likzA/ sapta likzAH ekaH yavaH/ sapta yavAH eka aFguliH/ dvAdaSa aFgulayaH 
   vitastiḥ/	vitastiH/
   dve vitastī eko hastaḥ/ catvāro hastā ekaṃ dhanuḥ/ dhanuḥ^sahasram ekaḥ	dve vitastI ekaH hastaH/ catvAraH hastAH ekam DanuH/ DanuH^sahasram ekaH
   krośaḥ/ catvāraḥ krośā eko māgadhayojanaḥ/ yojanasya pramāṇaṃ piṇḍitāṃ/	kroSaH/ catvAraH kroSAH ekaH mAgaDa yojanaH/ yojanasya pramANam piNxitAM/
   p.59.1/.paramāṇūnāṃ koṭiśata^sahasrāṇi catur^viṃśatiś	p.59.1/. paramANUnAm kowi Sata^sahasrANi catuH ^viMSatiH 
   caikonatriṃśatkoṭi^sahasrāṇi dvādaśa ca śata^sahasrāṇi/ evaṃ māpitaṃ	ca ekonatriMSat kowi^sahasrANi dvAdaSa ca Sata^sahasrANi/ evam mApitam
   yojanam iti/	yojanam iti/
   p.59.2/.śṛṇu brāhmaṇa suvarṇasya parimāṇotpattiṃ/ tatkathayatu bhavān/	p.59.2/.SRNu brAhmaNa suvarNasya parimANa utpattiM/ tat kaTayatu BavAn/
   p.59.3/.dvādaśa yavā māṣakaḥ/ ṣoḍaśa māsakā ekaḥ karṣaḥ/suvarṇasya	p.59.3/.dvAdaSa yavAH mAzakaH/ zoxaSa mAsakAH ekaH karzaH/ suvarNasya
   parimāṇaṃ piṇḍitam iti/ dve koṭī pañca^viṃśatiś ca sahasrāṇi pañca^śatāny	parimANam piNxitam iti/ dve kowI paQca^viMSatiH ca sahasrANi paQca^SatAni 
   aṣṭau ca paramāṇavaḥ/ evaṃ māpitā brāhmaṇa suvarṇasya parimāṇa^utpattiḥ/	azwO ca paramANavaH/ evam mApitA brAhmaNa suvarNasya parimANaH ^utpattiH/
   p.59.4/.śṛṇu brāhmaṇa palapramāṇaṃ/ catuḥṣaṣṭi^māṣakāḥ palaṃ māgadhakaṃ/	p.59.4/.SRNu brAhmaNa pala pramANaM/ catuHzazwi^mAzakAH palam mAgaDakaM/
   māgadhakayā tulayā palasya parimāṇaṃ piṇḍitaṃ/ paramāṇūnām aṣṭakoṭayaḥ	mAgaDakayA tulayA palasya parimANam piNxitaM/ paramANUnAm azwa kowayaH
   saptacatvāriṃśac ca śata^sahasrāṇi sapta ca sahasrāṇi dve śate +aśītiś ca	saptacatvAriMSat ca Sata^sahasrANi sapta ca sahasrANi dve Sate +aSItiH ca
   paramāṇavaḥ/ evaṃ māpitaṃ brāhmaṇa palasya parimāṇam iti/	paramANavaH/ evam mApitam brAhmaNa palasya parimANam iti/
   p.59.5/.śṛṇu brāhmaṇa rasa^parimāṇasya^utpattiṃ/ catur^viṃśati^palāni	p.59.5/.SRNu brAhmaNa rasa^parimANasya^utpattiM/ catuH ^viMSati^palAni
   māgadhakaḥ/ prasthaḥ/ tat rasa^parimāṇaṃ/ māgadhakayā tulayā prasthāsya	mAgaDakaH/ prasTaH/ tat rasa^parimANan/ mAgaDakayA tulayA prasTAsya
   parimāṇaṃ piṇḍitaṃ/ dve koṭiśate tisraś ca koṭaya ekonatiṃśac ca	parimANam piNxitaM/ dve kowi Sate tisraH ca kowayaH ekonatiMSat ca
   śata^sahasrāṇi catuḥsaptati (60) sahasrāṇi sapta ca śatāni viṃśatiś ca	Sata^sahasrANi catuHsaptati (60) sahasrANi sapta ca SatAni viMSatiH ca
   paramāṇavaḥ/ evaṃ māpitā brāhmaṇa rasa^mānasya^utpattir iti/	paramANavaH/ evam mApitA brAhmaNa rasa^mAnasya^utpattiH iti/
   p.60.1/.śṛṇu brāhmaṇa dhānya^parimāṇasya^utpattiṃ/ ekonatriṃśati^palāny	p.60.1/.SRNu brAhmaNa DAnya^parimANasya^utpattin/ ekonatriMSati^palAni 
   eka^karṣeṇonāni māgadhaḥ prasthaḥ/ māpitaṃ dhānya^parimāṇaṃ/ māgadhakayā	eka^karzeNa UnAni mAgaDaH prasTaH/ mApitam DAnya^parimANan/ mAgaDakayA
   tulayā prasthasya parimāṇaṃ piṇḍitaṃ/ koṭiśatam aṣṭapañcāśac ca koṭayo	tulayA prasTasya parimANam piNxitaM/ kowi Satam azwapaQcASat ca kowayaH 
   dvir aśītiś ca śata sahasrāṇi eka^ṣaṣṭiś ca sahasrāṇi pañca^śatāni triṃśac	dvis aSItiH ca Sata sahasrANi eka^zazwiH ca sahasrANi paQca^SatAni triMSat 
   ca paramāṇavaḥ/ evaṃ māpitaṃ brāhmaṇa dhānyasya parimāṇam iti/	ca paramANavaH/ evam mApitam brAhmaNa DAnyasya parimANam iti/
   %nakṣatravyā^karaṇaṃ	%nakzatravyA^karaNam
   p.60.2/.paṭha bhos triśaṅko nakṣatra^vyākaranaṃ nāma^adhyāyaṃ/ atha khalu	p.60.2/.paWa BoH triSaFkaH nakzatra^vyAkaranam nAma^aDyAyan/ aTa Kalu
   bho brāhmaṇa nakṣatra^vyākaranaṃ nāma^adhyāyaṃ vyākhyāsyāmi/ tac	Bo brAhmaNa nakzatra^vyAkaranam nAma^aDyAyam vyAKyAsyAmi/ tat 
   chrūyatāṃ/ kathayatu bhavān/	CrUyatAn/ kaTayatu BavAn/
   p.61.1/.kṛttikāsu jāto mānavo yaśasvī bhavati/ rohiṇyāṃ jātaḥ subhago	p.61.1/.kRttikAsu jAtaH mAnavaH yaSasvI Bavati/ rohiNyAm jAtaH suBagaH 
   bhavati bhogavāṃś ca/ mṛgaśirasi jāto yuddhārthī bhavati/ ārdrāyāṃ jāta	Bavati BogavAn ca/ mRgaSirasi jAtaH yudDa arTI Bavati/ ArdrAyAm jAta
   utso +anna^pānānāṃ bhavati/ punarvasau jātaḥ kṛṣimān bhavati gorakṣaś ca/	utsaH +at na^pAnAnAm Bavati/ punarvasO jAtaH kRzimAn Bavati gorakzaH ca/
   puṣye jātaḥ śīlavān bhavati/ aśleṣāyāṃ jātaḥ kāmuko bhavati/ maghāyāṃ jāto	puzye jAtaH SIlavAn Bavati/ aSlezAyAm jAtaH kAmukaH Bavati/ maGAyAm jAtaH 
   matimān bhavati, mahā^ātmā ca/ pūrvaphalgunyāṃ jāto +alpa^ayuṣko	matimAn Bavati, mahA^AtmA ca/ pUrva PalgunyAm jAtaH +alpa^ayuzkaH 
   bhavati/ uttaraphalgunyāṃ jāta upavāsaśīlo bhavati, svargaparāyaṇaś ca/	Bavati/ uttara PalgunyAm jAtaH upavAsa SIlaH Bavati, svarga parAyaNaH ca/
   haste jātaś cauro bhavati/ citrāyāṃ jāto nṛtyagītakuśalo bhavati,	haste jAtaH cOraH Bavati/ citrAyAm jAtaH nRtya gIta kuSalaH Bavati,
   ābharaṇa^vidhijñaś ca/ svātyāṃ jāto gaṇako bhavati, gaṇaka^mahāmātro vā/	ABaraNa^viDi jQaH ca/ svAtyAm jAtaH gaNakaH Bavati, gaNaka^mahAmAtraH vA/
   viśākhāyāṃ jāto rāja^bhaṭo bhavati/ anurādhāyāṃ jāto vāṇijako bhavati	viSAKAyAm jAtaH rAja^BawaH Bavati/ anurADAyAm jAtaH vANijakaH Bavati
   sārthikaḥ/ jyeṣṭhāyāṃ jāto +alpa^ayuṣko bhavati, alpa^bhogaś ca/ mūle	sArTikaH/ jyezWAyAm jAtaH +alpa^ayuzkaH Bavati, alpa^BogaH ca/ mUle
   jātaḥ	jAtaH
   putravān bhavati, yaśasvī ca/ pūrvāṣāḍhāyāṃ jāto yogācāro bhavati/	putravAn Bavati, yaSasvI ca/ pUrvAzAXAyAm jAtaH yoga AcAraH Bavati/
   uttarāṣāḍhāyāṃ jāto bhakteśvaraḥ kulīnaś ca bhavati/ abhijiti jātaḥ	uttara AzAXAyAm jAtaH BakteSvaraH kulInaH ca Bavati/ aBijiti jAtaH
   kīrtimān puruṣo bhavati/ śravaṇe jāto (62) rāja^pūjito bhavati/	kIrtimAn puruzaH Bavati/ SravaNe jAtaH (62) rAja^pUjitaH Bavati/
   dhaniṣṭhāyāṃ jāto dhanāḍhyo bhavati/ śatabhiṣāyāṃ jāto mūliko bhavati/	DanizWAyAm jAtaH Dana AXyaH Bavati/ SataBizAyAm jAtaH mUlikaH Bavati/
   pūrvabhādrapadāyāṃ jātaś caura^senāpatir bhavati/ uttarabhādrapadāyāṃ jāto	pUrva BAdrapadAyAm jAtaH cOra^senApatiH Bavati/ uttara BAdrapadAyAm jAtaH 
   gandhiko bhavati,	ganDikaH Bavati,
   gandharvaś ca/ revatyāṃ jāto nāviko bhavati/ aśvinyāṃ jāto +aśvavāṇijako	ganDarvaH ca/ revatyAm jAtaH nAvikaH Bavati/ aSvinyAm jAtaH +aSvavANijakaH 
   bhavati/ bharaṇyāṃ jāto vadhyaghātako bhavati/ ayaṃ bhoḥ puṣkarasārin	Bavati/ BaraNyAm jAtaH vaDya GAtakaH Bavati/ ayam BoH puzkarasArin
   nakṣatra^vyākaraṇo nāma/	nakzatra^vyAkaraNaH nAma/
   %nakṣatranirdeśaḥ	%nakzatra nirdeSaH
   p.62.1/.paṭha bhos triśaṅko nakṣatra^nirdeśaṃ nāma^adhyāyaṃ/ atha bhoḥ	p.62.1/.paWa BoH triSaFkaH nakzatra^nirdeSam nAma^aDyAyan/ aTa BoH
   puṣkarasārin nakṣatra^nirdeśaṃ nāma^adhyāyaṃ vyākhyāsyāmi tac chrūyatāṃ /	puzkarasArit nakzatra^nirdeSam nAma^aDyAyam vyAKyAsyAmi tat SrUyatAm /
   kathayatu bhavān/	kaTayatu BavAn/
   p.62.2ab/.kṛttikāsu niviṣṭaṃ vai nagaraṃ jvalati śriyā/	p.62.2ab/.kRttikAsu nivizwam vE nagaram jvalati SriyA/
   p.62.2cd/.prabhūratnojvalaṃ ca^eva tan nagaraṃ vinirdiśet//	p.62.2cd/. praBU ratnaH jvalam ca^eva tat nagaram vinirdiSet//
   p.62.3ab/.rohiṇyāṃ tu niviṣṭaṃ vai nagaraṃ tad vinirdiśet/	p.62.3ab/.rohiNyAm tu nivizwam vE nagaram tat vinirdiSet /
   p.62.3cd/.dhārmiko +atra jano bhūyāt prabhūta^dhana^sañcayaḥ/	p.62.3cd/.DArmikaH +atra janaH BUyAt praBUta^Dana^saQcayaH/
   p.62.3ef/.vidyā^prakṛti^sampannaḥ svadārābhir ato +api ca//	p.62.3ef/.vidyA^prakRti^sampannaH sva dArABiH atas +api ca//
   p.62.4ab/.mṛgaśīrṣe niviṣṭaṃ tu strībhir gobhir dhanais tathā/	p.62.4ab/. mRgaSIrze nivizwam tu strIBiH goBiH DanEH taTA/
   p.62.4cd/.mālyabhogaiś ca saṅkīrṇam adbhutaiś ca puraskṛtaṃ//	p.62.4cd/. mAlya BogEH ca saFkIrNam adButEH ca puraskRtaM//
   p.63.1ab/.ārdrāyāṃ matsya^māṃsāni bhakṣyabhojyadhanāni ca/	p.63.1ab/.ArdrAyAm matsya^mAMsAni Bakzya Bojya DanAni ca/
   p.63.1cd/.bhavanti krūrapuruṣā mūrkhaprakṛtayaḥ pure//	p.63.1cd/.Bavanti krUra puruzAH mUrKa prakRtayaH pure//
   p.63.2ab/.punarvasau niviṣṭe tu nagaraṃ dīpyate śriyā/	p.63.2ab/.punarvasO nivizwe tu nagaram dIpyate SriyA/
   p.63.2cd/.prabhūta^dhana^dhānyaṃ ca bhūtvā vā^api vinaśyati//	p.63.2cd/. praBUta^Dana^DAnyam ca BUtvA vE ^api vinaSyati//
   p.63.3ab/.srīmatpuṣye niviṣṭe tu prajā duṣṭā prasīdati/	p.63.3ab/.srImat puzye nivizwe tu prajA duzwA prasIdati/
   p.63.3cd/.yuktāḥ śriyā ca dharmiṣṭhās tathiva cirajīvinaḥ//	p.63.3cd/. yuktAH SriyA ca DarmizWAH taTiva cira jIvinaH//
   p.63.4ab/.tejasvinaś ca dīrghāyur^dhana^dhānya^rasānvitāḥ/	p.63.4ab/.tejasvinaH ca dIrGa AyuH ^Dana^DAnya^rasa anvitAH/
   p.63.4cd/.vanaspatis tathā kṣipraṃ puṣyet tatra punaḥ punaḥ//	p.63.4cd/.vanaspatiH taTA kzipram puzyet tatra punar punar //
   p.63.5ab/.aśleṣāyāṃ niviṣṭe tu durbhagāḥ kalaha^priyāḥ/	p.63.5ab/.a SlezAyAm nivizwe tu durBagAH kalaha^priyAH/
   p.63.5cd/.duḥśīlā duḥkhabhājaś ca nivasanti narādhamāḥ//	p.63.5cd/. duHSIlAH duHKa BAjaH ca nivasanti nara aDamAH//
   p.63.6ab/.maghāyāṃ ca niviṣṭe tu vidyāvanto mahā^dhanāḥ/	p.63.6ab/. maGAyAm ca nivizwe tu vidyAvantaH mahA^DanAH/
   p.63.6cd/.svadārā^abhiratā martyā jāyante suparākramāḥ//	p.63.6cd/. sva dArAH ^aBiratAH martyAH jAyante su parAkramAH//
   p.64.1ab/.phalgunyāṃ tu striyo mālyaṃ bhojanācchādanaṃ śubhaṃ/	p.64.1ab/. PalgunyAm tu striyaH mAlyam Bojana AcCAdanam SuBaM/
   p.64.1cd/.gandhopetāni dhanyāni niviṣṭe nagare bhavet//	p.64.1cd/. ganDa upetAni DanyAni nivizwe nagare Bavet//
   p.64.2ab/.uttarāyāṃ tu phālgunyāṃ dhānyāni ca dhanāni ca/	p.64.2ab/.uttarAyAm tu PAlgunyAm DAnyAni ca DanAni ca/
   p.64.2cd/.mūrkhā janā jitāḥ strībhir niviṣṭe nagare bhavet//	p.64.2cd/. mUrKAH janAH jitAH strIBiH nivizwe nagare Bavet//
   p.64.3ab/.haste ca viniviṣṭe tu vidyāvanto mahā^dhanāḥ/	p.64.3ab/.haste ca vinivizwe tu vidyAvantaH mahA^DanAH/
   p.64.3cd/.parasparaṃ ca rucitaṃ śayanaṃ nagare bhavet//	p.64.3cd/. parasparam ca rucitam Sayanam nagare Bavet//
   p.64.4ab/.citrāyāṃ ca niviṣṭe tu strī^jitāḥ sarva^mānavāḥ/	p.64.4ab/.citrAyAm ca nivizwe tu strI^jitAH sarva^mAnavAH/
   p.64.4cd/.śrīmat^kāntaṃ ca nagaraṃ jvalantaṃ tad vinirdiśet//	p.64.4cd/. SrImat ^kAntam ca nagaram jvalantam tat vinirdiSet//
   p.64.5ab/.svātyāṃ pure niviṣṭe tu prabhūta^dhana^sañcayāḥ/	p.64.5ab/.svAtyAm pure nivizwe tu praBUta^Dana^saQcayAH/
   p.64.5cd/.lubdhāḥ krūrāś ca mūrkhāś ca prabhūtā nagare bhavet//	p.64.5cd/. lubDAH krUrAH ca mUrKAH ca praBUtAH nagare Bavet//
   p.64.6ab/.viśākhāyāṃ niviṣṭaṃ tu nagaraṃ jvalati śriyā/	p.64.6ab/. viSAKAyAm nivizwam tu nagaram jvalati SriyA/
   p.64.6cd/.yāyajūkajanākīrṇaṃ śastrāntaṃ ca vinirdiśed//	p.64.6cd/.yAyajUka jana AkIrNam Sastra antam ca vinirdiSet //
   p.64.7ab/.anurādhāniviṣṭe tu dharma^śīlā jitendriyāḥ/	p.64.7ab/.anurADA nivizwe tu Darma^SIlAH jita indriyAH/
   p.64.7cd/.svadāraniratāḥ puṇyā japahomaparāyaṇāḥ//	p.64.7cd/. sva dAra niratAH puNyAH japa homa parAyaNAH//
   p.65.1ab/.jyeṣṭhāyāṃ sanniviṣṭaṃ tu bahu^ratnadhanānvitaiḥ/	p.65.1ab/.jyezWAyAm sannivizwam tu bahu^ratna Dana anvitEH/
   p.65.1cd/.sattvair veda^vidaiḥ pūrṇaṃ śaśvatsamabhivardhate//	p.65.1cd/. sattvEH veda^vidEH pUrNam SaSvat samaBivarDate//
   p.65.2ab/.mūlena saniviṣṭaṃ tu puraṃ dhānya^dhanānvitaṃ/	p.65.2ab/.mUlena sa nivizwam tu puram DAnya^Dana anvitaM/
   p.65.2cd/.duḥśīlajana^saṅkīrṇaṃ pāṃsunā ca vinaśyati//	p.65.2cd/. duHSIla jana^saFkIrNam pAMsunA ca vinaSyati//
   p.65.3ab/.pūrvāṣāḍhāniviṣṭaṃ tu puraṃ syād dhana^dhānya^bhāk/	p.65.3ab/.pUrvAzAXA nivizwam tu puram syAt Dana^DAnya^BAk/
   p.65.3cd/.lubdhāḥ krūrāś ca mūrkhāś ca nivasanti narādhamāḥ//	p.65.3cd/. lubDAH krUrAH ca mUrKAH ca nivasanti nara aDamAH//
   p.65.4ab/.niviṣṭe tūttarāyāṃ ca dhana^dhānya^samuccayaḥ/	p.65.4ab/. nivizwe tu uttarAyAm ca Dana^DAnya^samuccayaH/
   p.65.4cd/.vidyāprakṛtisampanno janaś ca kalaha^priyaḥ//	p.65.4cd/.vidyA prakRti sampannaH janaH ca kalaha^priyaH//
   p.65.5ab/.abhijiti niviṣṭe tu nagare tatra moditāḥ/	p.65.5ab/.aBijiti nivizwe tu nagare tatra moditAH/
   p.65.5cd/.narāḥ sarve sadā hṛṣṭāḥ parasparānurāgiṇaḥ//	p.65.5cd/. narAH sarve sadA hRzwAH paraspara anurAgiNaH//
   p.65.6ab/.śravaṇāyāṃ niviṣṭaṃ tu puraṃ dhānya^dhanānvitaṃ/	p.65.6ab/. SravaNAyAm nivizwam tu puram DAnya^Dana anvitaM/
   p.65.6cd/.arogijana^bhūyiṣṭhasahitaṃ tad vinirdiśet//	p.65.6cd/.arogi jana^BUyizWa sahitam tat vinirdiSet//
   p.65.7ab/.dhaniṣṭhāyāṃ niviṣṭaṃ tu strī^jitaṃ puram ādiśet/	p.65.7ab/.Da nizWAyAm nivizwam tu strI^jitam puram AdiSet/
   p.65.7cd/.prabhūta^vastramālyaṃ ca kāma^bhoga^vivirjitam//	p.65.7cd/. praBUta^vastra mAlyam ca kAma^Boga^vivirjitam//
   p.65.8ab/.pure śatabhiṣā^yukta mūrkhaśāṭhya^priyā jahāḥ/	p.65.8ab/.pure SataBizA^yukta mUrKa SAWya^priyAH jahAH/
   p.65.8cd/.strīṣu pāneṣu saṃsaktāḥ salilena vinaśyati//	p.65.8cd/. strIzu pAnezu saMsaktAH salilena vinaSyati//
   p.66.1ab/.pure proṣṭhapadādhyakṣe narās tatra sukha^priyāḥ/	p.66.1ab/.pure prozWa pada aDyakze narAH tatra suKa^priyAH/
   p.66.1cd/.paropatāpino mūrkhā mānakāmavivarjitāḥ//	p.66.1cd/. para upatApinaH mUrKAH mAna kAma vivarjitAH//
   p.66.2ab/.uttarāyāṃ niviṣṭe tu śaśvadvṛddhir anuttarā/	p.66.2ab/.uttarAyAm nivizwe tu SaSvat vRdDiH anuttarA/
   p.66.2cd/.pūrṇaṃ ca dhana^dhānyābhyāṃ ratnāḍhyaṃ ca vinirdiśet//	p.66.2cd/. pUrNam ca Dana^DAnyAByAm ratna AXyam ca vinirdiSet//
   p.66.3ab/.pure niviṣṭe raivatyāṃ sundarī janatā bhavet/	p.66.3ab/.pure nivizwe rEvatyAm sundarI janatA Bavet /
   p.66.3cd/.kharoṣṭraṃ ca^eva gāvaś ca prabhūta^dhana^dhānyatā//	p.66.3cd/. Kara uzwram ca^eva gAvaH ca praBUta^Dana^DAnya tA//
   p.66.4ab/.aśvinyāṃ viniviṣṭaṃ tu nagaraṃ śivam ādiśet/	p.66.4ab/.aSvinyAm vinivizwam tu nagaram Sivam AdiSet /
   p.66.4cd/.arogijana^sampūrṇaṃ darśanīyajanākulam//	p.66.4cd/.a rogi jana^sampUrNam darSanIya jana Akulam//
   p.66.5ab/.bharaṇyāṃ sanniviṣṭe tu durbhagāḥ kalaha^priyāḥ/	p.66.5ab/.BaraNyAm sannivizwe tu durBagAH kalaha^priyAH/
   p.66.5cd/.duḥśīlā duḥkhabhājaś ca vasanti puruṣādhamāḥ//	p.66.5cd/. duHSIlAH duHKa BAjaH ca vasanti puruza aDamAH//
   p.66.6ab/.purāṇi rāṣṭraṇi tathā gṛhāṇi nakṣatra^yogaṃ prasamīkṣya vidvān/	p.66.6ab/.purANi rAzwraNi taTA gRhANi nakzatra^yogam prasamIkzya vidvAn /
   p.66.6cd/.iṣṭe praśaste ca niveśayet tu pūrve ca janme +adhigataṃ	p.66.6cd/.izwe praSaste ca niveSayet tu pUrve ca janme +aDigatam
   mayedaṃ//	mayA idaM//
   p.67.1/.ayaṃ bhoḥ puṣkarasārin nakṣatra^nirdeśo nāma^adhyāyaḥ/	p.67.1/.ayam BoH puzkarasArit nakzatra^nirdeSaH nAma^aDyAyaH/
   %nakṣatrāṇāṃ sthāna^nirdeśaḥ	%nakzatrANAm sTAna^nirdeSaH
   p.67.2/.atha khalu bhoḥ puṣkarasārinn aṣṭāviṃśatīnāṃ(28Åh) nakṣatrāṇāṃ	p.67.2/.aTa Kalu BoH puzkarasArin azwAviMSatInAM(28Åh) nakzatrANAm
   sthāna^nirdeśaṃ nāma^adhyāyaṃ pravakṣyāmi/ etac chrūyatāṃ/	sTAna^nirdeSam nAma^aDyAyam pravakzyAmi/ etat SrUyatAM/
   p.67.3/.kathayatu bhagavān/	p.67.3/.kaTayatu BagavAn /
   p.67.4/.kṛttikā bhoḥ puṣkarasārin nakṣatraṃ kaliṅga^magadhānāṃ / rohiṇī	p.67.4/.kRttikA BoH puzkara sArit nakzatram kaliFga^magaDAnAm / rohiNI
   sarva^prajāyāḥ/ mṛgaśirā videhānāṃ rājopasevakānāṃ ca/ evam ārdrā	sarve ^prajAyAH/ mRgaSirAH videhAnAm rAja upasevakAnAm ca/ evam ArdrA
   kṣatriyāṇāṃ brāhmaṇānaṃ ca/ punarvasuḥ sauparṇānāṃ/ puṣya^nakṣatraṃ	kzatriyANAm brAhmaNAnam ca/ punarvasuH sOparNAnAn/ puzya^nakzatram
   sarveṣām avadāta^vadāta^vasanānāṃ/ rāja^padasevakānāṃ ca/ aśleṣā nāgānāṃ	sarvezAm avadAta^vadAta^vasanAnAM/ rAja^pada sevakAnAm ca/ aSlezAH nAgAnAm
   haimavatānāṃ ca/ maghā^nakṣatraṃ gauḍikānāṃ/ pūrvaphalgunī caurāṇāṃ/	hEmavatAnAm ca/ maGA^nakzatram gOxikAnAn/ pUrva PalgunI cOrANAM/
   uttaraphalgunī	uttara PalgunI
   avantīnāṃ/ hastā saurāṣṭrikāṇāṃ/ citrā pakṣiṇāṃ dvipadānāṃ/ svātī sarveṣāṃ	avantInAn/ hastA sOrAzwrikANAM/ citrA pakziNAm dvipadAnAM/ svAtI sarvezAm
