   bhagavandevadeveśa lokanātha jagatpate /	Bagavan-devadeveSa lokanATa jagatpate /
   anyathā naiva mucyante vidhihīnāḥ ṣaḍānana /	anyaTA na-eva mucyante viDi-hInAH zaxAnanaH /
   pūrṇāhutipradānaṃ ca kartavyaṃ dhāraṇāyutam // Stk_8.22 //	pUrNAhuti-pradAnam ca kartavyam DAraNA-yutam // Stc-_8.22 //
   amṛtaṃ yatparaṃ vatsa sravantaṃ manasā smaret /	amRtam yat-param vatsa sravantam manasA smaret /
   dīkṣāprakaraṇe hyetad yojyaṃ sarvatra sarvadā // Stk_8.23 //	dIkzA-prakaraNe hi-etat yojyam sarvatra sarvadA // Stc-_8.23 //
   liṅgoddhāravidhāne ca nityasaṃskārakarmasu /	liFga-udDAra-viDAne ca nitya-saMskAra-karmasu /
   paśorgrahaṇamokṣaṃ tu yattvayoktaṃ purānagha // Stk_8.24 //	paSoH-grahaNa-mokzam tu yat-tvayA-uktam purA-anaGaH // Stc-_8.24 //
   pāśā ābhyantarā bāhyāḥ kamsinsthāne kathaṃ sthitāḥ /	pASAH AByantarAH bAhyAH kamsin-sTAne kaTam sTitAH /
   kasminsthāne tu vicchedyāḥ sadya utkramaṇaṃ katham // Stk_8.25 //	kasmin-sTAne tu vicCedyAH sadyas utkramaNam kaTam // Stc-_8.25 //
   paśūnāṃ caiva nirdeśaṃ kathayasva maheśvara /	paSUnAm ca-eva nirdeSam kaTayasva maheSvaraH /
   ādimasya dvitīyena gṛhītvātmānamātmanā // Stk_8.26 //	Adimasya dvitIyena gRhItvA-AtmAnam-AtmanA // Stc-_8.26 //
   muṣṭinā yāvatsthānaṃ tan nayettaṃ suvicakṣaṇaḥ /	muzwinA yAvat-sTAnam tat nayet-tam su-vicakzaNaH /
   viṣuvatsamprayogeṇa brahmādyāste śivāntakāḥ // Stk_8.27 //	vizuvat-samprayogeNa brahma-AdyAH-te Siva-antakAH // Stc-_8.27 //
   ekatra samatāṃ yānti anyathā tu pṛthakpṛthak /	ekatra sama-tAm yAnti anyaTA tu pRTak-pRTak /
   dvādaśānte tu te cchedyāḥ śareṇāstreṇa saṃyutāḥ // Stk_8.28 //	dvAdaSAnte tu te cCedyAH SareNa-astreNa saMyutAH // Stc-_8.28 //
   tadā sāyujyatāṃ yānti samayaiḥ parivarjitāḥ /	tadA sAyujya-tAm yAnti samayEH parivarjitAH /
   anirdiṣṭamasaṃjñaṃ ca yatkṛtaṃ tadvṛthā bhavet // Stk_8.29 //	anirdizwam-asaMjQam ca yat-kRtam tat-vRTA Bavet // Stc-_8.29 //
   tamuddiśya kṛtaṃ karma mokṣadaṃ tanna saṃśayaḥ /	tam-uddiSya kRtam karma mokza-dam tat-na saMSayaH /
   sūryasya grahaṇe vatsa viṣuvadyogasaṃyutam // Stk_8.30 //	sUryasya grahaNe vatsa vizuvat-yoga-saMyutam // Stc-_8.30 //
   āyāmānte yadā cchinnaṃ tadā cotkramate dhruvam /	AyAma-ante yadA cCinnam tadA ca-utkramate Druvam /
   manasi grathitāḥ pāśāḥ sūtre maṇigaṇā iva // Stk_8.31 //	manasi graTitAH pASAH sUtre maNi-gaNAH iva // Stc-_8.31 //
   hṛtpadmādyāvattatpadmaṃ manastantuvitānitam /	hRd-padmAt-yAvat-tat-padmam manaH-tantu-vitAnitam /
   taddṛṣṭvā chedanaṃ kuryān manovṛttyā manaścchidā // Stk_8.32 //	tat-dRzwvA Cedanam kuryAt manaH-vRttyA manaS=-CidA // Stc-_8.32 //
   manasā manasi cchinne jīvaḥ kevalatāṃ vrajet /	manasA manasi cCinne jIvaH kevala-tAm vrajet /
   vistaraṃ tyaja deveśa saṃkṣepātkathayasva me // Stk_8.33 //	vistaram tyaja deveSa saMkzepAt-kaTayasva me // Stc-_8.33 //
   yena vijñātamātreṇa paśūnmocayate kṣaṇāt /	yena vijQAta-mAtreNa paSUn-mocayate kzaNAt /
   vijñātamātreṇa] conj; vijñānamātreṇa Bhatt	vijQAta-mAtreNa] ca-unj; vijQAna-mAtreNa Bhatt
   śṛṇu ṣaṇmukha tattvena yena mokṣo dhruvaṃ bhavet // Stk_8.34 //	SRNu zaNmuKa tattvena yena mokzaH Druvam Bavet // Stc-_8.34 //
   prayogeṇātisūkṣmeṇa yogadṛṣṭena mantravit /	prayogeNa-ati-sUkzmeNa yoga-dRzwena mantra-vid /
   divyena yogamārgeṇa śaktiṃ yaḥ prerayettu tām // Stk_8.35 //	divyena yoga-mArgeNa Saktim yaH prerayet-tu tAm // Stc-_8.35 //
   taṃ viditvā mahāsena jīvaṃ prāṇamayaṃ budhaḥ /	tam viditvA mahAsena jIvam prANa-mayam buDaH /
   viṣuvatsamprayogeṇa yojayecchāśvate pade // Stk_8.36 //	vizuvat-samprayogeNa yojayet-SASvate pade // Stc-_8.36 //
   yogaṃ tu viṣuvaṃ prāpya ko na mucyeta bandhanāt /	yogam tu vizuvam prApya kaH na mucyeta banDanAt /
   pṛthivyādyabjanāḍīrvai śabdādiguṇavāyubhiḥ // Stk_8.37 //	pRTivI-Adi-abja-nAxIH-vE Sabda-Adi-guNa-vAyuBiH // Stc-_8.37 //
   ātmādhidevatā mantrāñ jñātvā muktastu mocayet /	Atma-aDidevatA mantrAn jQAtvA muktaH-tu mocayet /
   nāḍīvivarasambandhā ūrdhvanālā hyadhomukhāḥ // Stk_8.38 //	nAxI-vivara-sambanDAH UrDvanAlAH hi-aDomuKAH // Stc-_8.38 //
   granthidvayayutāḥ sarve humphaḍantena yojitāḥ /	granTi-dvaya-yutAH sarve humPaxantena yojitAH /
   tataścordhvatvamāyānti udghātaiḥ pūrvavadguha // Stk_8.39 //	tatas-ca-UrDva-tvam-AyAnti udGAtEH pUrvavat-guha // Stc-_8.39 //
   kṣmādyānālokya manasā sabāhyābhyantaraṃ punaḥ /	kzmA-AdyAn-Alokya manasA sa-bAhya-aByantaram punar /
   tattve tattve niyoktavyā viyuktā nirahaṃkṛtā // Stk_8.40 //	tattve tattve niyoktavyA viyuktA nirahaMkRtAH // Stc-_8.40 //
   brahmādyāñśrāvayedvatsa na punarjanmatāṃ vrajet /	brahma-AdyAn-SrAvayet-vatsa na punar-janma-tAm vrajet /
   tejaśceto dvirabhyasya āyāmo bhāskarasya tu // Stk_8.41 //	tejaH-cetaH dvis-aByasya AyAmaH BAskarasya tu // Stc-_8.41 //
   tāḍayitvā purā vatsa grahaṇaṃ pūrvavadbhavet /	tAxayitvA purA vatsa grahaNam pUrvavat-Bavet /
   bhittvārgalāṃ nyasedyoniṃ tattvaṃ tattvena saṃdhayet /	BittvA-argalAm nyaset-yonim tattvam tattvena saMDayet /
   śaktibhiḥ sampuṭīkṛtya vauṣaḍantena nikṣipet // Stk_8.42 //	SaktiBiH sampuwIkRtya vOzaw-antena nikzipet // Stc-_8.42 //
   dīkṣāprakaraṇam aṣṭamam	dIkzA-prakaraNam azwamam
   abhiṣekaṃ pravakṣyāmi saṃkṣepānna tu vistarāt /	aBizekam pravakzyAmi saMkzepAt-na tu vistarAt /
   hitāya sādhakendrāṇāṃ parameśena bhāṣitam // Stk_9.1 //	hitAya sADaka-indrANAm parameSena BAzitam // Stc-_9.1 //
   mṛṇmayaṃ kalaśaṃ hyekaṃ candanena vilepitam /	mRNmayam kalaSam hi-ekam candanena vilepitam /
   brahmapatrapuṭaṃ vātha padmapatramathāpi vā // Stk_9.2 //	brahma-patra-puwam vA-aTa padma-patram-aTa-api vA // Stc-_9.2 //
   sarvauṣadhiyutaṃ kṛtvā sarvagandhopaśobhitam /	sarva-ozaDi-yutam kRtvA sarva-ganDa-upaSoBitam /
   śatamaṣṭottaraṃ japtvā prāsādaṃ sarvatomukham // Stk_9.3 //	Satam-azwa-uttaram japtvA prAsAdam sarvatomuKam // Stc-_9.3 //
   yāgaṃ kṛtvā tu pūrvoktam abhiṣekaṃ tu kārayet /	yAgam kRtvA tu pUrva-uktam aBizekam tu kArayet /
   śubhanakṣatradivase muhūrte karaṇānvite // Stk_9.4 //	SuBa-nakzatra-divase muhUrte karaNa-anvite // Stc-_9.4 //
   bahumaṅgalanirghoṣaiḥ śaṅkhavāditraniḥsvanaiḥ /	bahu-maFgala-nirGozEH SaFKa-vAditra-niHsvanEH /
   brahmaghoṣaiśca vividhair nṛttagītasamanvitaiḥ /	brahmaGozEH-ca viviDEH nRtta-gIta-samanvitEH /
   anujñāto 'bhiṣiktaśca ācāryaḥ pāśahā bhavet // Stk_9.5 //	anujQAtaH aBiziktaH-ca AcAryaH pASa-hA Bavet // Stc-_9.5 //
   abhiṣekaprakaraṇaṃ navamam	aBizeka-prakaraNam navamam
   nāḍīcakraṃ paraṃ sūkṣmaṃ pravakṣyāmyanupūrvaśaḥ /	nAxI-cakram param sUkzmam pravakzyAmi-anupUrvaSas /
   nābheradhastādyatkandam aṅkurāstatra nirgatāḥ // Stk_10.1 //	nABeH-aDastAt-yat-kandam aFkurAH-tatra nirgatAH // Stc-_10.1 //
   dvāsaptatisahasrāṇi nābhimadhye vyavasthitāḥ /	dvAsaptati-sahasrANi nABi-maDye vyavasTitAH /
   tiryagūrdhvamadhaścaiva vyāptaṃ nābheḥ samantataḥ // Stk_10.2 //	tiryak-UrDvam-aDas-ca-eva vyAptam nABeH samantataH // Stc-_10.2 //
   cakravatsaṃsthitā nāḍyaḥ pradhānā daśa tāsu yāḥ /	cakra-vat-saMsTitAH nAxyaH praDAnAH daSa tAsu yAH /
   iḍā ca piṅgalā caiva suṣumnā ca tṛtīyakā // Stk_10.3 //	ixA ca piFgalA ca-eva suzumnA ca tRtIyakAH // Stc-_10.3 //
   gāndhārī hastijihvā ca pūṣā caiva yaśāstathā /	gAnDArI hastijihvA ca pUzA ca-eva yaSAH-taTA /
   alambuṣā kuhūścaiva śaṅkhinī daśamī smṛtā // Stk_10.4 //	alambuzA kuhUH-ca-eva SaFKinI daSamI smRtAH // Stc-_10.4 //
   daśa prāṇavahā hyetā nāḍayaḥ parikīrtitāḥ /	daSa prANa-vahAH hi-etAH nAxayaH parikIrtitAH /
   prāṇo 'pānaḥ samānaśca udāno vyāna eva ca // Stk_10.5 //	prANaH apAnaH samAnaH-ca udAnaH vyAnaH eva ca // Stc-_10.5 //
   nāgaḥ kūrmo 'tha kṛkaro devadatto dhanaṃjayaḥ /	nAgaH kUrmaH aTa kRkaraH devadattaH DanaMjayaH /
   prāṇastu prathamo vāyur navānāmapi sa prabhuḥ // Stk_10.6 //	prANaH-tu praTamaH vAyuH navAnAm-api sa praBuH // Stc-_10.6 //
   prāṇaḥ prāṇamayaḥ prāṇo visargaḥ pūraṇaṃ prati /	prANaH prANa-mayaH prANaH visargaH pUraNam prati /
   nityamāpūrayatyeṣa prāṇināmurasi sthitaḥ // Stk_10.7 //	nityam-ApUrayati-eza prANinAm-urasi sTitaH // Stc-_10.7 //
   niśvāsocchvāsakāsaistu prāṇo jīvasamāśritaḥ /	niSvAsa-ucCvAsa-kAsEH-tu prANaH jIva-sam-ASritaH /
   prayāṇaṃ kurute yasmāt tasmātprāṇaḥ prakīrtitaḥ // Stk_10.8 //	prayANam kurute yasmAt tasmAt-prANaH prakIrtitaH // Stc-_10.8 //
   apānayatyapānastu āhāraṃ ca nṛṇāmadhaḥ /	apAnayati-apAnaH-tu AhAram ca nRNAm-aDas /
   mūtraśuklamalānvāyur apānastena kīrtitaḥ // Stk_10.9 //	mUtra-Sukla-mala-an-vAyuH apAnaH-tena kIrtitaH // Stc-_10.9 //
   pītaṃ bhakṣitamāghrātaṃ raktapittakaphādikam /	pItam Bakzitam-AGrAtam rakta-pitta-kaPa-Adikam /
   read raktapittakaphānilam with the Nepalese MSS	reat rakta-pitta-kaPa-anilam wiT Te Nepalese MSS
   and unpublished Nepalese MSS of Saptaśatika and Dviśatika recensions,	and unpubli-shet Nepa-lese MSS of Sapta-Satika and DviSatika recet-siA-uns,
   according to Sanderson (lecture notes on Tantrasāra)	at-ca-Urdink taH SandeH-son (lecture noteH on TantrasAra)
   samaṃ nayati gātreṣu samāno nāma mārutaḥ // Stk_10.10 //	samam nayati gAtrezu samAnaH nAma mArutaH // Stc-_10.10 //
   spandatyadharaṃ vaktraṃ netragātraprakopanaḥ /	spandati-aDaram vaktram netra-gAtra-prakopanaH /
   udvejayati marmāṇi udāno nāma mārutaḥ // Stk_10.11 //	udvejayati marmANi udAnaH nAma mArutaH // Stc-_10.11 //
   vyāno vināmayatyaṅgaṃ vyāno vyādhiprakopanaḥ /	vyAnaH vinAmayati-aFgam vyAnaH vyADi-prakopanaH /
   prītervināśakaraṇo vyāpanādvyāna ucyate // Stk_10.12 //	prIteH-vinASa-karaNaH vyApanAt-vyAnaH ucyate // Stc-_10.12 //
   udgāre nāga ityuktaḥ kūrma unmīlane smṛtaḥ /	udgAre nAgaH iti-uktaH kUrmaH unmIlane smRtaH /
   kṛkarastu kṣute caiva devadatto vijṛmbhaṇe /	kRkaraH-tu kzute ca-eva devadattaH vijRmBaNe /
   dhanaṃjayaḥ sthito ghoṣe mṛtasyāpi na muñcati // Stk_10.13 //	DanaMjayaH sTitaH Goze mRtasya-api na muQcati // Stc-_10.13 //
   ityetadvāyuvṛndaṃ hṛdi ca vinihitaṃ nābhicakrapratiṣṭhitam	iti-etat-vAyu-vRndam hRdi ca vinihitam nABi-cakra-pratizWitam
   niśvāsocchvāsakaiḥ śvasanapuramadhaḥ kampitāghūrṇitaiśca /	niSvAsa-ucCvAsakEH Svasana-puram-aDas kampita-AGUrNitEH-ca /
   nityaṃ nityālpajanmā vyasanayati paśuṃ yauvane bālabhāve ākrānto vāyurekaḥ	nityam nitya-alpa-janmA vyasanayati paSum yOvane bAla-BAve AkrAntaH vAyuH-ekaH
   sa jananamaraṇaiḥ krīḍati bhrāntasattvaiḥ // Stk_10.14 //	sa janana-maraNEH krIxati BrAnta-sattvEH // Stc-_10.14 //
   nāḍīcakraṃ yathāvasthaṃ pravakṣyāmyanupūrvaśaḥ /	nAxI-cakram yaTAvasTam pravakzyAmi-anupUrvaSas /
   daśāraṃ cakramettattu vibhāgo jāyate yathā // Stk_10.15 //	daSAram cakramet-tat-tu viBAgaH jAyate yaTA // Stc-_10.15 //
   cakre bhramatyasau jīvo daśasthāneṣvanukramāt /	cakre Bramati-asO jIvaH daSa-sTAnezu-anukramAt /
   sa jīvo jīvalokasya budhyante naiva mohitāḥ // Stk_10.16 //	sa jIvaH jIva-lokasya buDyante na-eva mohitAH // Stc-_10.16 //
   jīvaḥ prayāti daśadhā tena cakraṃ prakīrtitam /	jIvaH prayAti daSaDA tena cakram prakIrtitam /
   nāḍīcakramiti proktaṃ yena saṃkrāmati hyasau // Stk_10.17 //	nAxIcakram-iti proktam yena saMkrAmati hi-asO // Stc-_10.17 //
   hṛdvyomamadhye paṅkajamaṣṭadalaṃ karṇikā ca tasyāntaḥ /*	hRd-vyoma-maDye paFkajam-azwa-dalam karNikA ca tasya-antar /*
   hṛdaye paṅkajamarkendvagnihiraṇyadyotābhāḥ śaktayastasmin // Stk_10.18 //*	hRdaye paFkajam-arka-indu-agni-hiraNyadyota-ABAH SaktayaH-tasmin // Stc-_10.18 //*
   WHAT metre is this?? Bad (because of transmission) āryā.	WHAT metre iH Tis?? Bat (becOse of tran-smis-sion) AryA.
   uparicarī khalu śaktistāsāṃ prāgbhāvinī śivasya tataḥ /*	uparicarI Kalu SaktiH-tAsAm prAgBAvinI Sivasya tatas /*
   śakticatuṣṭayapaṅkajamadhye puruṣo 'liriva sa līnaḥ // Stk_10.19 //*	Sakti-catuzwaya-paFkaja-maDye puruzaH aliH-iva sa lInaH // Stc-_10.19 //*
   āryā metre	AryA metre
   śūnyamarutsaṃdaṃśakagṛhītakaraṇātmako hyubhayato 'pi /*	SUnya-marut-saMdaMSaka-gRhIta-karaNa-AtmakaH hi-uBayatas api /*
   saṃyāti yatra neyaḥ śuṣkadalaṃ māruteneva // Stk_10.20 //*	saMyAti yatra neyaH Suzka-dalam mArutena-iva // Stc-_10.20 //*
   bhrāmyati paṅkajamadhye kalācatuṣkātmapāśasaṃruddhaḥ /*	BrAmyati paFkaja-maDye kalA-catuzka-Atma-pASa-saMrudDaH /*
   golakamiva helābhihatamutpatanaṃ nipātanaṃ kurute // Stk_10.21 //*	golakam-iva helA-aBihatam-utpatanam nipAtanam kurute // Stc-_10.21 //*
   īśvarayogādviṣuvatsaṃkrāntiścaiva siddhisaṃyogāt /*	ISvara-yogAt-vizuvat-saMkrAntiH-ca-eva sidDi-saMyogAt /*
   sauraniyogāddakṣiṇamudagayanaṃ cāndrasaṃyogāt // Stk_10.22 //*	sOra-niyogAt-dakziNam-udagayanam cAndra-saMyogAt // Stc-_10.22 //*
   ayane savyāsavye dvau puṭakau yugmato viṣuvadāhuḥ /*	ayane sa-vyAsavye dvO puwakO yugmataH vizuvat-AhuH /*
   saṃkrāntiritaścetaśca gacchatastena samākhyātā // Stk_10.23 //*	saMkrAntiH-itas-ca-itas-ca gacCataH-tena samAKyAtAH // Stc-_10.23 //*
   sauraḥ savyo mārgaścāndramasaścetaraḥ samākhyātaḥ /*	sOraH savyaH mArgaH-cAndramasaH-ca-itaraH samAKyAtaH /*
   dhanyo 'bhiṣeka induḥ sauraḥ khalu vahnisaṃdhāne // Stk_10.24 //*	DanyaH aBizekaH induH sOraH Kalu vahni-saMDAne // Stc-_10.24 //*
   dhyānādyo viṣuvati ca prāgdalasaṃstho nṛpāvalepī syāt /*	DyAna-AdyaH vizuvati ca prAc-dala-saMsTaH nRpa-avalepI syAt /*
   tejasvī ca bubhukṣā pīḍā vā jāyate 'gnidikpatre // Stk_10.25 //*	tejasvI ca buBukzA pIxA vA jAyate agni-diS-patre // Stc-_10.25 //*
   jāyate] conj; saṃjāyate Bhatt unmetrical	jAyate] ca-unj; saMjAyate Bhatt unmetri-cal
   yāmye yāmyo bhāvo nairṛtye nairṛto vinirdiṣṭaḥ /*	yAmye yAmyaH BAvaH nErRtye nErRtaH vinirdizwaH /*
   nairṛtye] conj; nairṛte Bhatt unmetrical	nErRtye] ca-unj; nErRte Bhatt unmetri-cal
   vāruṇapatre vāruṇo mārutpatre gato marudbhāvam // Stk_10.26 //*	vAruNa-patre vAruNaH mArut-patre gataH marut-BAvam // Stc-_10.26 //*
   saumye saumyo bhāvastvaiśe tvaiśaḥ samākhyātaḥ /*	sOmye sOmyaH BAvaH-tu-ESe tu-ESaH samAKyAtaH /*
   yāṃ yāṃ diśamabhigacchati tadbhāvaṃ nikhilamāyāti // Stk_10.27 //*	yAm yAm diSam-aBigacCati tad-BAvam niKilam-AyAti // Stc-_10.27 //*
   patrāntarālayogācchūnyamivātmā tato bhāti /*	patra-antarAla-yogAt-SUnyam-iva-AtmA tatas BAti /*
   iti khalu pudgalacāro nāḍīsadhānamaṇḍalaṃ mukhyam /*	iti Kalu pudgala-cAraH nAxI-saDAna-maNxalam muKyam /*
   kathitamiha siddhihetorboddhyavyaṃ yatnataḥ siddham // Stk_10.28 //*	kaTitam-iha sidDi-hetoH-bodDi-avyam yatnatas sidDam // Stc-_10.28 //*
   nāḍīcakraprakaraṇaṃ daśamam	nAxI-cakra-prakaraNam daSamam
   sa jīvo jīvalokasya jñāyate 'dhyātmago yathā /	sa jIvaH jIva-lokasya jQAyate aDyAtma-gaH yaTA /
   saṃśayo me mahādeva prasādībhava śūladhṛk // Stk_11.1 //	saMSayaH me mahAdeva prasAdIBava SUla-DRk // Stc-_11.1 //
   jīvasya puruṣākhyasya darśanaṃ śṛṇu ṣaṇmukha /	jIvasya puruza-AKyasya darSanam SRNu zaNmuKaH /
   kathayāmi na sandehaḥ putrasnehādviśeṣataḥ // Stk_11.2 //	kaTayAmi na sandehaH putra-snehAt-viSezataH // Stc-_11.2 //
   saṃkrāntiṃ viṣuvaṃ caiva ahorātrāyanāni ca /	saMkrAntim vizuvam ca-eva ahorAtrAyanAni ca /
   adhimāsamṛṇaṃ cāpi ūnarātraṃ dhanaṃ tathā // Stk_11.3 //	aDimAsam-RNam ca-api UnarAtram Danam taTA // Stc-_11.3 //
   ūnarātraṃ kṣutaṃ jñeyam adhimāso vijṛmbhikā /	UnarAtram kzutam jQeyam aDimAsaH vijRmBikA /
   ṛṇaṃ ca kāso vijñeyo niśvāso dhanamucyate // Stk_11.4 //	RNam ca kAsaH vijQeyaH niSvAsaH Danam-ucyate // Stc-_11.4 //
   uttaraṃ dakṣiṇaṃ jñeyaṃ vāmadakṣiṇasaṃsthitam /	uttaram dakziNam jQeyam vAma-dakziNa-saMsTitam /
   madhye tu viṣuvatproktaṃ puṭadvayaviniḥsṛtam // Stk_11.5 //	maDye tu vizuvat-proktam puwa-dvaya-viniHsRtam // Stc-_11.5 //
   saṃkrāntiḥ punarasyaiva svasthānātsthāna eva ca /	saMkrAntiH punar-asya-eva sva-sTAnAt-sTAnaH eva ca /
   iḍā ca piṅgalā caiva amā caiva tṛtīyakā // Stk_11.6 //	ixA ca piFgalA ca-eva amA ca-eva tRtIyakAH // Stc-_11.6 //
   suṣumnā madhyame hyaṅge iḍā vāme prakīrtitā /	suzumnA maDyame hi-aFge ixA vAme prakIrtitA /
   piṅgalā dakṣiṇe hyaṅge eṣu saṃkrāntirucyate // Stk_11.7 //	piFgalA dakziNe hi-aFge ezu saMkrAntiH-ucyate // Stc-_11.7 //
   ūrdhvaṃ prāṇo hyahaḥ proktaḥ apāno rātrirucayte /	UrDvam prANaH hi-ahar proktaH apAnaH rAtriH-ucayte /
   8ab = Niśvāsa-uttarasūtra 5:17cd	8aB  NiSvAsa--uttara-sUtra 5:17cd
   vibhāgā daśa prāṇasya yo vettyevaṃ sa vedavit // Stk_11.8 //	viBAgAH daSa prANasya yaH vetti-evam sa veda-vid // Stc-_11.8 //
   āyāmo dehamadhyasthaḥ somagrahaṇamiṣyate /	AyAmaH deha-maDya-sTaH soma-grahaNam-izyate /
   dehātītaṃ tu taṃ vidyād ādityagrahaṇaṃ budhaḥ // Stk_11.9 //	deha-atItam tu tam vidyAt Aditya-grahaNam buDaH // Stc-_11.9 //
   ayute dve sahasraṃ tu ṣaṭśatāni tathaiva ca /	ayute dve sahasram tu zaz-SatAni taTA-eva ca /
   ahorātreṇa yogīndro japasaṃkhyāṃ karoti saḥ // Stk_11.10 //	ahorAtreNa yogi-indraH japa-saMKyAm karoti saH // Stc-_11.10 //
   prāṇāyāmaṃ samāsena kathayāmi tavākhilam /	prANAyAmam samAsena kaTayAmi tava-aKilam /
   uccārayettu praṇavaṃ svareṇaikena yogavit // Stk_11.11 //	uccArayet-tu praNavam svareNa-ekena yoga-vid // Stc-_11.11 //
   udaraṃ pūrayitvā tu vāyunā yāvadīpsitam /	udaram pUrayitvA tu vAyunA yAvat-Ipsitam /
   prāṇāyāmo bhavedeṣa pūrako dehapūrakaḥ // Stk_11.12 //	prANAyAmaH Bavet-eza pUrakaH dehapUrakaH // Stc-_11.12 //
   pidhāya sarvadvārāṇi niśvāsocchvāsavarjitaḥ /	piDAya sarva-dvArANi niSvAsa-ucCvAsa-varjitaH /
   sampūrṇakumbhavattiṣṭhet prāṇāyāmaḥ sa kumbhakaḥ // Stk_11.13 //	sampUrNa-kumBa-vat-tizWet prANAyAmaH sa kumBakaH // Stc-_11.13 //
   muñcedvāyuṃ tataścordhvaṃ śvāsenaikena yogavit /	muQcet-vAyum tatas-ca-UrDvam SvAsena-ekena yoga-vid /
   niśvāsayogayuktastu yāvadūrdhvaṃ sa recayet // Stk_11.14 //	niSvAsa-yoga-yuktaH-tu yAvat-UrDvam sa recayet // Stc-_11.14 //
   recakastveṣa vikhyātaḥ prāṇasaṃśayakārakaḥ /	recakaH-tu-eza viKyAtaH prANa-saMSaya-kArakaH /
   yattaddhṛdi sadā padmam adhomukhamavasthitam // Stk_11.15 //	yat-tat-hRdi sadA padmam aDomuKam-avasTitam // Stc-_11.15 //
   vikasatyetadūrdhvaṃ tu pūrakeṇa tu pūritam /	vikasati-etat-UrDvam tu pUrakeNa tu pUritam /
   ūrdhvasroto bhavetpadmaṃ kumbhakena nirodhitam // Stk_11.16 //	UrDvasrotaH Bavet-padmam kumBakena niroDitam // Stc-_11.16 //
   recakena tathā kṣiptaṃ sadyaḥprāṇahareṇa tu /	recakena taTA kziptam sadyas-prANa-hareNa tu /
   cf. Kir 59:1	cf. KiH 59:1
   muktvā hṛdayapadmaṃ tu ūrdhvasrotovyavasthitam // Stk_11.17 //	muktvA hRdaya-padmam tu UrDvasrotaH-vyavasTitam // Stc-_11.17 //
   recito gacchati hyūrdhvaṃ granthiṃ bhittvā kṣaṇena tu /	recitaH gacCati hi-UrDvam granTim BittvA kzaNena tu /
   bhittvā kapāladvāraṃ tu jīvo hyūrdhvaṃ tu recitaḥ // Stk_11.18 //	BittvA kapAla-dvAram tu jIvaH hi-UrDvam tu recitaH // Stc-_11.18 //
   sadāśivapadaṃ gatvā na bhūyo janma cāpnuyāt /	sadASiva-padam gatvA na BUyas janma ca-ApnuyAt /
   āyāmaḥ kriyate tasya nānyasya tu kadācana /	AyAmaH kriyate tasya na-anyasya tu kadAcana /
   sa jīvo jīvalokasya mayā proktaḥ samāsataḥ // Stk_11.19 //	sa jIvaH jIva-lokasya mayA proktaH samAsatas // Stc-_11.19 //
   ityekādaśaḥ paṭalaḥ	iti-ekAdaSaH pawalaH
   candrāgniriva saṃyuktā ādyā kuṇḍalinī tu yā /	candra-agniH-iva saMyuktA AdyA kuNxalinI tu yA /
   hṛtpradeśe tu sā jñeyā aṅkurākāravatsthitā // Stk_12.1 //	hRd-pradeSe tu sA jQeyAH aFkura-AkAra-vat-sTitAH // Stc-_12.1 //
   sṛṣṭinyāsaṃ nyasettatra dvirabhyāsapaderitam /	sRzwi-nyAsam nyaset-tatra dvis-aByAsa-pada-Iritam /
   sravantaṃ cintayettasminn amṛtaṃ sādhakottamaḥ // Stk_12.2 //	sravantam cintayet-tasmin amRtam sADaka-uttamaH // Stc-_12.2 //
   agnīṣomātmakaṃ sarvaṃ jagatsthāvarajaṅgamam /	agnIzoma-Atmakam sarvam jagat-sTAvara-jaFgamam /
   cintayedviparītaṃ tu siddhikāmaḥ samāhitaḥ // Stk_12.3 //	cintayet-viparItam tu sidDi-kAmaH samAhitaH // Stc-_12.3 //
   svadehaṃ cintayedvidvān divyarūpamanaupamam /	sva-deham cintayet-vidvAn divya-rUpam-anOpamam /
   yasya yatkarma coddiṣṭaṃ tatkarma paricintayet // Stk_12.4 //	yasya yat-karma ca-uddizwam tat-karma paricintayet // Stc-_12.4 //
   idaṃ ca yo 'bhyasedevam amṛtaṃ sarvatomukham /	idam ca yaH aByaset-evam amRtam sarvatomuKam /
   acireṇaiva kālena sa siddhiphalabhāgbhavet // Stk_12.5 //	acireNa-eva kAlena sa sidDi-Pala-BAj-Bavet // Stc-_12.5 //
   sṛṣṭinyāsamavijñāya kathaṃ yuñjīta sādhakaḥ /	sRzwinyAsam-avijQAya kaTam yuQjIta sADakaH /
   hanyānmuṣṭibhirākāśaṃ tuṣānkuṭṭayatīva saḥ // Stk_12.6 //	hanyAt-muzwiBiH-AkASam tuzAn-kuwwayati-iva saH // Stc-_12.6 //
   iti dvādaśaḥ paṭalaḥ	iti dvAdaSaH pawalaH
   athātaḥ sampravakṣyāmi sṛṣṭiṃ mantralipeḥ kramāt /	aTa-atas sampravakzyAmi sRzwim mantra-lipeH kramAt /
   yathā tu sakalo devo niṣkalena samanvitaḥ // Stk_13.1 //	yaTA tu sakalaH devaH nizkalena samanvitaH // Stc-_13.1 //
   kalāmutpādayāmāsa sarvamantrapravartikām /	kalAm-utpAdayAmAsa sarva-mantra-pravartikAm /
   oṃkāramūrdhni madhyastha oṃkāravyāpakastathā // Stk_13.2 //	oMkAra-mUrDni maDyasTaH oMkAra-vyApakaH-taTA // Stc-_13.2 //
