   {MV S_1}	{MV H _1}
   {MV S_42}	{MV H _42}
   candrodaye yadā ṣaṣṭhī pūrvāhṇe cāpare 'hani /	candra udaye yadA zazWI pUrvAhNe ca apare ahani /
   candrodaye 'site pakṣe saivopoṣyā prayatnataḥ //	candra udaye asite pakze sA eva upozyA prayatnataH //
   iti vacanāt /	iti vacanAt /
   iti ṣaṣṭhīnirṇayaḥ /	iti zazWI nirNayaH /
   atha saptamī nirṇīyate /	aTa saptamI nirNIyate /
   sā ca sarvatra daive pūrvaviddhaiva grāhyā /	sA ca sarvatra dEve pUrva vidDA eva grAhyA /
   ṣaṇmunyoriti yugmavākyāt /	zaz munyoH iti yugma vAkyAt /
   ṣaṣṭhī tu saptamī tāta! anyonyaṃ tu samāśritam /	zazWI tu saptamI tAta! anyonyam tu samASritam /
   pūrvaviddhā dvijaśreṣṭha! kartavyā spatamī tithiḥ //	pUrva vidDA dvijaSrezWa! kartavyA spatamI tiTiH //
   itibrahmapurāṇavacanātu:	itibrahma purANa vacanAtu:
   pañcamī saptamī caiva daśamī ca trayodaśī /	paQcamI saptamI ca eva daSamI ca trayodaSI /
   pratipannavamī caiva kartavyā sammukhī tithiḥ //	pratipad navamI ca eva kartavyA sammuKI tiTiH //
   iti paiṭhīnasivacanāt /	iti pEWInasi vacanAt /
   nanu  	nanu  
   ṣaṣṭhyekādaśyamāvāsyā pūrvaviddhā tathāṣṭamī /	zazWI ekAdaSI amAvAsyA pUrva vidDA taTA azwamI /
   saptamī paraviddhā ca nopoṣyaṃ tithipañcakam //	saptamI para vidDA ca na upozyam tiTi paQcakam //
   iti upavāsa eva viddhāyā niṣedhāttatraiva pūrvaviddhāyā grāhyatvamastu /	iti upavAsaH eva vidDAyAH nizeDAt tatra eva pUrva vidDAyAH grAhya tvam astu /
   tatrāpi  	tatra api  
   ṣaṣṭhīsametā kartavyā saptamī nāṣṭamīyutā /	zazWI sametA kartavyA saptamI na azwamI yutA /
   (*) pataṅgopāsanāyeha ṣaṣṭhyāmāhurupoṣaṇam //	(*) pataFga upAsanAya iha zazWyAm AhuH upozaNam //
   (*) pataṅgaḥ sūryaḥ	(*) pataFgaH sUryaH
   iti bhaviṣyatpurāṇavacanāt  	iti Bavizyat purANa vacana at  
   ṣaṣṭhyā yuktā saptamī ca kartavyā tāta! sarvadā /	zazWyA yuktA saptamI ca kartavyA tAta! sarvadA /
   ṣaṣṭhī ca saptamī yatra tatra sannihito raviḥ //	zazWI ca saptamI yatra tatra sannihitaH raviH //
   itiskandapurāṇavacanācca sauropavāsaviṣayatvameva vāstu /	iti skanda purANa vacanAt ca sOra upavAsa vizaya tvam eva vA astu /
   naitadyuktam /	na etat yuktam /
   saptamī nāṣṭamīyuktā na saptamyā yutāṣṭamī /	saptamI na azwamI yuktA na saptamyA yuta azwamI /
   sarveṣu vratakalpeṣu aṣṭamī parataḥ śubhā //	sarvezu vrata kalpezu azwamI paratas SuBA //
   itibrahmavaivartavākye sarvavrateṣu paraviddhāyā niṣedhāt /	itibrahmavEvarta vAkye sarva vratezu para vidDAyAH nizeDAt /
   pataṅgopāsanāyetyāderupalakṣaṇatayā pūrvaviddhāyāḥ sarvaviṣayatvopapatteḥ	pataFga upAsanAya ityAdeH upalakzaNa tayA pUrva vidDAyAH sarva vizaya tva upapatteH
   yadā tu pūrvedyuḥ astamayottaraṃ pravṛttā paredyuśca tithikṣayavaśena	yadA tu pUrvedyus astamaya uttaram pravRttA paredyus ca tiTi kzaya vaSena
   trimuhūrtayā aṣṭamyā viddhatvāt śuddhā pūrvaviddhā vā na labhyate /	tri muhUrtayA azwamyA vidDa tvAt SudDA pUrva vidDA vA na laByate /
   tadā"guṇe tvanyāyyakalpanā"itinyāyāt guṇānurodhena pradhānatyāgāyogāt	tadA a"guNe tu anyAyya kalpanA"iti nyAyAt guNa anuroDena praDAna tyAga ayogAt 
   niṣedhamatikramyāpi va canābhāve 'pi guṇakālatvena aṣṭamīviddhāyā	nizeDam atikramya api va cana aBAve api guNa kAla tvena azwamI vidDAyAH 
   evopādānaṃ nyāyyam /	eva upAdAnam nyAyyam /
   māghaśuklasaptamī cāruṇodayavyāpinī grāhyā /	mAGa Sukla saptamI ca aruNa udaya vyApinI grAhyA /
   {MV S_43}	{MV H _43}
   sūryagrahaṇatulyā tu śuklamāghasya saptamī /	sUrya grahaNa tulyA tu SuklamAGasya saptamI /
   aruṇodayavelāyāṃ tatra snānaṃ vidhīyate //	aruNa udaya velAyAm tatra snAnam viDIyate //
   iti vacanāt /	iti vacanAt /
   vaiśākhaśuklasaptamyāṃ gaṅgāpūjā tatra madhyānhavyāpinī grāhyā śiṣṭācārāt	vESAKa Sukla saptamyAm gaFgApUjA tatra maDya anha vyApinI grAhyA Sizwa AcArAt 
   iti saptamīnirṇayaḥ /	iti saptamI nirNayaH /
   athāṣṭamīnirṇayaḥ /	aTa azwamI nirNayaH /
   sā ca vratamātre śuklā parā kṛṣṇā pūrvā /	sA ca vrata mAtre SuklA parA kRzNA pUrvA /
   śuklapakṣe 'ṣṭamī caiva śuklapakṣe caturdaśī /	Sukla pakze azwamI ca eva Sukla pakze caturdaSI /
   pūrvaviddhā na kartavyā kartavyā parasaṃyutā //	pUrva vidDA na kartavyA kartavyA para saMyutAH //
   kṛṣṇapakṣe 'ṣṭamī caiva kṛṣṇapakṣe caturdaśī /	kRzNa pakze azwamI ca eva kRzNa pakze caturdaSI /
   pūrvaviddhā tu kartavyā paraviddhā na kutracit //	pUrva vidDA tu kartavyA para vidDA na kutracid //
   upavāsādikāryeṣu eṣa dharmaḥ sanātanaḥ /	upavAsa Adi kAryezu eza DarmaH sanAtanaH /
   iti nigamokteḥ /	iti nigama ukteH /
   śivaśaktyutsave tu sarvā parā /	Siva Sakti utsave tu sarvA parA /
   aṣṭamī navamīyoge mahotsāhe! mahotsavaḥ /	azwamI navamI yoge mahA utsAhe! mahA utsavaH /
   śivaśaktyoḥ śivakṣetre pakṣayorubhayorapi //	Siva SaktyoH Siva kzetre pakzayoH uBayoH api //
   iti pādmokteḥ /	iti pAdma ukteH /
   upavāse tu pakṣadvaye 'pyaṣṭamī parayutaiva grāhyā /	upavAse tu pakza dvaye api azwamI para yutA eva grAhyA /
   upavāse saptamī tu vedhāddhantyuttaraṃ dinam /	upavAse saptamI tu veDAt hanti uttaram dinam /
   pakṣayorubhayoreṣa upavāsavidhiḥ smṛtaḥ //	pakzayoH uBayoH ezaH upavAsa viDiH smRtaH //
   iti nāradīyavacane pakṣadvaye 'pi saptamīviddhāniṣedhāt /	iti nAradIya vacane pakza dvaye api saptamIvidDA nizeDAt /
   yattu	yat tu
   "kṛṣṇapakṣe 'ṣṭamī caiva"itipūrvodāhṛtanigamavacane upavāsagrahaṇaṃ	"kRzNa pakze azwamI ca eva "iti pUrva udAhRta nigama vacane upavAsa grahaNam
   tadrudropavāsaviṣayam /	tad rudra upavAsa vizayam /
   rudravrateṣu sarveṣu kartavyā sammukhī tithiḥ /	rudra vratezu sarvezu kartavyA sammuKI tiTiH /
   anyeṣu vratakalpeṣu yathohiṣṭāmupāvaset //	anyezu vrata kalpezu yaTA UhizwAm upAvaset //
   itivacanāt /	iti vacanAt /
   yattu  	yat tu  
   kṛṣṇāṣṭamī skandaṣaṣṭhī śivarātriścaturdaśī /	kRzNA azwamI skanda zazWI SivarAtriH caturdaSI /
   etāḥ pūrvayutāḥ kāryāstithyante pāraṇaṃ bhavet //	etAH pUrva yutAH kAryAH tiTyante pAraNam Bavet //
   iti brhanavaivartavacanaṃ tajjanmāṣṭamīparamiti madanaratne /	iti brhana vEvarta vacanam tat janma azwamI param iti madana ratne /
   bādraśuklāṣṭamī dūrvāṣṭamī /	bAdra SuklA azwamI dUrvA azwamI /
   sā ca pūrvā grāhyā /	sA ca pUrvA grAhyA /
   śrāvaṇī durganavamī dūrvā caiṃva hutāśanī /	SrAvaNI durganavamI dUrvA ca eMva hutASanI /
   pūrvaviddhā tu karttvayā śivarātrirbalerdiṃnam //	pUrva vidDA tu kart tvayA SivarAtriH baleH diMnam //
   iti bṛhadyamokteḥ /	iti bRhat yama ukteH /
   {MV S_44}	{MV H _44}
   śuklāṣṭamī tithiryātu māsi bhādrapade bhavet /	Sukla azwamI tiTiH yAtu mAsi BAdrapade Bavet /
   dūrvāṣṭamī tu sā jñeyā nottarā sā vidhīyate //	dUrvA azwamI tu sA jQeyA na uttarA sA viDIyate //
   iti purāṇasamuccayācca /	iti purANa samuccayAt ca /
   yattu  	yat tu  
   muhūrte rauhiṇe 'ṣṭamyāṃ pūrvā vā yadi vā parā /	muhUrte rOhiNe azwamyAm pUrvA vA yadi vA parA /
   dūrvāṣṭamī tu sā kāryā jyeṣṭhāṃ mūlaṃ ca varjayet //	dUrvA azwamI tu sA kAryA jyezWAm mUlam ca varjayet //
   iti parābhidhānaṃ tat pūrvadine jyeṣṭhādiyoge veditavyam /	iti para aBiDAnam tat pUrva dine jyezWa Adi yoge veditavyam /
   dūrvāṣṭamī sadā tyājyā jyeṣṭhāmūlarkṣasaṃyutā //	dUrvA azwamI sadA tyAjyAH jyezWA mUla Rkza saMyutAH //
   tathā  	taTA  
   aindrarkṣe pūjitā dūrvā hantyapatyāni nānyathā /	Endra Rkze pUjitAH dUrvA hanti apatyAni na anyaTA /
   bhartturāyurharā mūle tasmāttāṃ parivarjayet //	BarttuH AyuH harA mUle tasmAt tAm parivarjayet //
   itiniṣedhāt /	iti nizeDAt /
   iyaṃ ca kanyārke agastyodaye ca na kāryā /	iyam ca kanyA arke agastya udaye ca na kAryA /
   śukle bhādrapade māsi dūrvāsaṃjñā tathāṣṭamī /	Sukle BAdrapade mAsi dUrvA saMjQA taTA azwamI /
   siṃhārka eva kartavyā na kanyārke kadācana //	siMha arkaH eva kartavyA na kanyA arke kadAcana //
   itiskāndokteḥ /	iti skAnda ukteH /
   agastya udite tāta! pūjayedamṛtodbhavām /	agastyaH udite tAta! pUjayet amRta udBavAm /
   vaidhavyaṃ pūrvaśokaṃ ca daśavarṣāṇi pañca ca //	vEDavyam pUrva Sokam ca daSa varzANi paQca ca //
   iti tatraiva doṣokteśca /	iti tatra eva doza ukteH ca /
   atraiva jyeṣṭhāvratamuktam  	atra eva jyezWAvratam uktam   
   laiṅge:	lEFge:
   kanyārke yāṣṭamī śuklā jyeṣṭharkṣe mahatī smṛtā /	kanyA arke yA azwamI SuklA jyezWa Rkze mahatI smRtA /
   alakṣmīparihārāya jyeṣṭhāṃ tatra prapūjayet //	alakzmI parihArAya jyezWAm tatra prapUjayet //
   iti /	iti /
   iyaṃ ca jyeṣṭharkṣayuktā grāhyā /	iyam ca jyezWa Rkza yuktA grAhyA /
   dinadvaye tathātve parā kāryā /	dina dvaye taTA tve parA kAryA /
   navamyā saha kāryā syādaṣṭamī nātra saṃśayaḥ /	navamyA saha kAryA syAt azwamI na atra saMSayaH /
   māse bhādrapade śuklapakṣe jyeṣṭharkṣasaṃyutā //	mAse BAdrapade Sukla pakze jyezWa Rkza saMyutAH //
   rātriryasmindine kuryāt jyeṣṭhāyāḥ paripūjanam /	rAtriH yasmin dine kuryAt jyezWAyAH paripUjanam /
   itiskāndokteḥ /	iti skAnda ukteH /
   nakṣatrayogaśca madhyānhādūrddhvam /	nakzatra yogaH ca maDya anhAt UrdDvam /
   maghyānhātpūrvaṃ cet pūrvaiva /	maGya an hAt pUrvam ced pUrvA eva /
   yasmin dine bhavejjyeṣṭhā madhyānhādūrddhvamapyadhaḥ /	yasmin dine Bavet jyezWAH maDya anhAt UrdDvam api aDas /
   tasmin haviṣyaṃ pūjā ca nyūnā cet pūrvavāsare //	tasmin havizyam pUjA ca nyUnA ced pUrva vAsare //
   itivacanāt /	iti vacanAt /
   etacca tithiprayuktaṃ nakṣatrābhāve kevalatithau kāryam /	etat ca tiTi prayuktam nakzatra aBAve kevala tiTO kAryam /
   nakṣatraprayuktaṃ tu kevalanakṣatre /	nakzatra prayuktam tu kevala nakzatre /
   pratyābdikaṃ tithāvuktaṃ yajjyeṣṭhādaivataṃ vratam /	pratyAbdikam tiTO= uktam yat jyezWA dEvatam vratam /
   nīlajyeṣṭhāvrataṃ yacca vihitaṃ kevaloḍuni //	nIla jyezWAvratam yat ca vihitam kevala uxuni //
   itimātsyoktaṃ nīlajyeṣṭhāvratamapi tithiprayuktameveti mādhavaḥ /	iti mAtsya uktam nIla jyezWa avratam api tiTi prayuktam eva iti mADavaH /
   tatrāṣṭamyāṃ yadā vāro bhānornakṣatrameva ca /	tatra azwamyAm yadA vAraH BAnoH nakzatram eva ca /
   nīlajyeṣṭheti sā proktā durlabhā bahukālikī //	nIla jyezWa iti sA proktA durlaBA bahukAlikI //
   {MV S_45}	{MV H _45}
   ititallakṣaṇārthe skāndavacane tatreti saptamyā nirdiṣṭāyā aṣṭamyāstatra	ititad lakzaNa arTe skAnda vacane tatra iti saptamyAH nirdizwAyAH azwamyAH tatra
   "jayāṃ juhuyāt'; (a 0 3 pā 04 adhi 0 13) itivat prādhānyāvagateḥ /	"jayAm juhuyAt a; (aH 0 3 pAH 04 aDi 0 13) iti vat prADAnya avagateH /
   madanaratnādayastu nakṣatravratamevetyāhuḥ /	madana ratna AdayaH tu nakzatra vratam eva iti AhuH /
   nīljayeṣṭhāpadasya nakṣatraparatvāditi /	nIljayezWA padasya nakzatra para tvAt iti /
   āśvinabahulāṣṭamī mahālakṣmīvratasamāptau candrodayavyāpinī grāhyā /	ASvina bahulA azwamI mahA lakzmI vrata samAptO candra udaya vyApinI grAhyA /
   pūrvā vā paraviddhā vā grāhyā candrodaye sadā /	pUrvA vA para vidDA vA grAhyA candra udaye sadA /
   trimuhūrtāpi sā pūjyā parataścordhvagāminī //	tri muhUrtA api sA pUjyA paratas ca UrDva gAminI //
   itisaṅgrahokteḥ /	iti saFgraha ukteH /
   ūrdhvaṃgāminī = candrodayordhvagāminī trimuhūrtā cet parato 'nyathā tu	UrDvaMgAminI  candrodaya UrDva gAminI tri muhUrtA ced paratas anyaTA tu
   pūrvā /	pUrvA /
   yattu  	yat tu  
   kanyāgate 'rke prārabhya kartavyaṃ na śriyo 'rcanam /	kanyA gate arke prAraBya kartavyam na SriyaH arcanam /
   hastaprāntadalasthe 'rke tadvrataṃ na samāpayet /	hasta prAnta dala sTe arke tad vratam na samApayet /
   doṣaiśrcaturbhiḥ saṃtyaktā savesampatkarī tithiḥ //	doza EH rcaturBiH saMtyaktA sa vesampatkarI tiTiH //
   putrasaubhāgyarājyāyurnāśinī samprakīrttitā /	putra sOBAgya rAjya AyuH nASinI samprakIrttitA /
   tasmātsarvaprayatnena tyājyā kanyāgate ravau //	tasmAt sarva prayatnena tyAjyA kanyA gate ravO //
   viśeṣeṇa parityājyā navamīdūṣitā yadi /	viSezeNa parityAjyA navamI dUzitAH yadi /
   tridine cāvame caiva aṣṭamīṃ nopavāsayet //	tri dine ca avame ca eva azwamIm na upavAsayet //
   putrahā navamīviddhā svaghnī hastārkage ravau /	putra hA navam IvidDA sva GnI hasta arka ge ravO /
   iti navamīyuktāyā niṣedhakathanaṃ tadardharātrādūrdhvaṃ trimuhūrtatvābhāve	iti navamI yuktAyAH nizeDa kaTanam tad arDarAtrAt UrDvam tri muhUrta tva aBAve
   trimuhūrtetyupādānāt /	tri muhUrtA iti upAdAnAt /
   trispṛgādiniṣedhaśca prathamārambhaviṣayaḥ /	tri spRga Adi nizeDaH ca praTama AramBa vizayaH /
   prāravdhasya ṣoḍaśavārṣikavratasya madhye 'nuṣṭhāne lokavigarhaṇā syāditi	prAravDasya zoxaSa vArzika vratasya maDye anuzWAne loka vigarhaNA syAt iti
   iti mahālakṣmyaṣṭamī /	iti mahAlakzmI azwamI /
   āśvinaśuklāṣṭamī tu durgāṣṭamī sā ca sāmānyanirṇayādeva navamīviddhā kāryā	ASvina SuklA azwamI tu durgA azwamI sA ca sAmAnya nirNayAt eva navam IvidDA kAryA
   yadyapi ca	yadi api ca
   sāmānyanirṇayādevāsyā uttaraviddhatvaṃ tathāpi iyaṃ leśato 'pi	sAmAnya nirNayAt eva asyAH uttara vidDa tvam taTA api iyam leSataH api
   saptamīviddhā na kartavyā /	saptamIvidDA na kartavyA /
   tathā ca  	taTA ca  
   smṛtisaṅgrahe:	smRti saFgrahe:
   saptamīleśasaṃyuktāṃ mohādajñānato 'pivā /	sapta mI leSa saMyuktAm mohAt ajQAnataH api vA /
   mahāṣṭamīṃ prakurvāṇo narakaṃ pratipadyate //	mahA azwamIm prakurvANaH narakam pratipadyate //
   saptamī kalayā yatra parataścāṣṭamī bhavet /	saptamI kalayA yatra paratas ca azwamI Bavet /
   tena śalyamidaṃ proktaṃ putrapautrakṣayapradam //	tena Salyam idam proktam putra pOtra kzaya pradam //
   putrān hanti paśūn hanti hanti rāṣṭraṃ sarājakam /	putrAn hanti paSUn hanti hanti rAzwram sa rAjakam /
   hanti jātānajātāṃśca saptamīsahitāṣṭamī //	hanti jAtAna jAtAn= ca saptamI sahita azwamI //
   itisaptamīmiśritāyā niṣedāt /	iti saptamI miSritAyAH nizedAt /
   yacca  	yat ca  
   saptamyāmudite sūrye parato yāṣṭamī bhavet //	saptamyAm udite sUrye paratas yA azwamI Bavet //
   tatra durgotsavaṃ kuryānna kuryādapare 'hani //	tatra durga utsavam kuryAt na kuryAt apare ahani //
   iti,	iti,
   {MV S_46}	{MV H _46}
   tad yadāśvinakṛṣṇāṣṭamīmārabhya  	tat yadA aSvina kRzNa azwamIm AraBya  
   kanyāyāṃ kṛṣṇapakṣe tu pūjayitvāṣṭamīdine /	kanyAyAm kRzNa pakze tu pUjayitvA azwamI dine /
   navamyāṃ bodhayeddevīṃ gītavāditranisvanaiḥ //	navamyAm boDayet devIm gIta vAditra nisvanEH //
   iti devīpurāṇe kṛṣṇapakṣāṣṭamyāṃ devībodhanamuktaṃ tadviṣayam /	iti devIpurANe kRzNa pakza azwamyAm devI boDanam uktam tat vizayam /
   yacca  	yat ca  
   bhadrāyāṃ bhadrakālyāśca madye syādarcanakriyā /	BadrAyAm BadrakAlyAH ca madye syAt arcana kriyA /
   tasmādvai saptamīviddhā kāryā durgāṣṭamī budhaiḥ //	tasmAt vE saptam IvidDA kAryA durgA azwamI buDEH //
   iti /	iti /
   yacca madanaratne  	yat ca madana ratne  
   mahāṣṭamyāśvine māsi śuklā kalyāṇakāriṇī /	mahA azwamI ASvine mAsi SuklA kalyANa kAriNI /
   saptamyādiyutā kāryā mūlena tu viśeṣataḥ //	saptamI a Adi yutA kAryA mUlena tu viSezataH //
   tathā nirṇayāmūte  	taTA nirNaya amUte  
   ahaṃ bhadrā ca bhadrāhaṃ nāvayorantaraṃ kvacit /	aham BadrA ca Badra aham na AvayoH antaram kvacid /
   sarvasiddhiṃ pradāsyāmi bhadrāyāmarcitā hyaham //	sarva sidDim pradAsyAmi BadrAyAm arcitAH hi aham //
   iti devīpurāṇam, tathā tatraiva  	iti devIpurANam, taTA tatra eva  
   viṣṭiṃ tyaktvā mahārāja! mama pūjāṃ karoti yaḥ /	vizwim tyaktvA mahA rAja! mama pUjAm karoti yaH /
   kṛtsnaṃ tasya phalaṃ na syāttenāhamavamānitā //	kRtsnam tasya Palam na syAt tena aham avamAnitAH //
   ityanena saptamīviddhāyā api grāhyatvamuktam /	iti anena saptamIvidDAyAH api grAhya tvam uktam /
   tadaparadine kalākāṣṭhādirūpāyā aṣṭamyā abhāve /	tad apara dine kalA kAzWa Adi rUpAyAH azwamyAH aBAve /
   yattu  	yat tu  
   yadāṣṭamīṃ tu samprāpya cāstaṃ yāti divākaraḥ /	yadA azwamIm tu samprApya ca astam yAti divAkaraH /
   tatra durgotsavaṃ kuryānna kuryādapare 'hani //	tatra durga utsavam kuryAt na kuryAt apare ahani //
   durbhikṣaṃ tatra jānīyānnavamyāṃ yatra pūjayet /	durBikzam tatra jAnIyAt navamyAm yatra pUjayet /
   iti vacanaṃ taddaśamyāṃ navamyasattve /	iti vacanam tat daSamyAm navamya sattve /
   yadā sūryodaye na syānnavamī cāpare 'hani /	yadA sUrya udaye na syAt navamI ca apare ahani /
   tadāṣṭamīṃ prakurvīta saptamyā sahitāṃ nṛpa! //	tadA azwamIm prakurvIta saptamyA sahitAm nRpa! //
   iti smṛtisaṅgrahāditi madanaratne /	iti smRti saFgrahAt iti madana ratne /
   vastutaḥ pūrvodāhṛtadevīpurāṇāt kṛṣṇapakṣāṣṭamīviṣayamidamiti	vastutas pUrva udAhRta devI purANAt kRzNa pakza azwamIvizayam idam iti
   pratibhāti /	pratiBAti /
   atra ca putravatā upavāso na kārya ityuktam  	atra ca putravatA upavAsaH na kAryaH iti uktam  
   kālikāpurāṇe:	kAlikApurANe:
   upavāsaṃ mahāṣṭamyāṃ putravānna samācaret /	upavAsam mahA azwamyAm putravAn na samAcaret /
   yathā tathā vā pūtātmā vratī devīṃ prapūjayet //	yaTA taTA vA pUta AtmA vratI devIm prapUjayet //
   iti /	iti /
   iyaṃ ca mūlayuktātipraśastetyuktaṃ hemādrau skandapurāṇe  	iyam ca mUla yukta atipraSasta iti uktam hemAdrO skandapurANe  
   kanyāṃ gate savitari śuklapakṣe 'ṣṭamī tu yā /	kanyAm gate savitari Sukla pakze azwamI tu yA /
   mūlanakṣatrasaṃyuktā sā mahānavamī smṛtā //	mUla nakzatra saMyuktA sA mahAnavamI smRtAH //
   navamyāṃ pūjitā devī dadātyabhimataṃ phalam /	navamyAm pUjitA devI dadAti aBimatam Palam /
   iti /	iti /
   {MV S_47}	{MV H _47}
   iyamapi saptamīyuktā na kāryetyuktam  	iyam api saptamI yuktA na kAryA iti uktam   
   nirṇayāmṛte durgotsave:	nirNaya amRte durga utsave:
   mūlenāpihi saṃyuktā sadā tyājyāṣṭamī budhaiḥ /	mUlena apihi saMyuktA sadA tyAjya azwamI buDEH /
   leśamātreṇa saptamyā api syād dūṣitā yadi /	leSa mAtreNa saptamyAH api syAt dUzitAH yadi /
   iti /	iti /
   iti durgāṣṭamīnirṇayaḥ /	iti durga azwamI nirNayaH /
   pauṣaśuklāṣṭamī budhavārayutā mahābhadrā /	pOza Sukla azwamI buDavAra yutA mahABadrA /
   taduktam  	tat uktam  
   bhaviṣyottare:	Bavizyottare:
   puṣye māsi yadā devi! śuklāṣṭamyāṃ budho bhavet /	puzye mAsi yadA devi! Sukla azwamyAm buDaH Bavet /
   tadā sā tu mahāpuṇyā mahābhadretikīrttitā //	tadA sA tu mahA puNyA mahABadreti kIrttitAH //
   iti /	iti /
   iyameva bharaṇīsaṃyuktā jayantī /	iyam eva BaraNI saMyuktA jayantI /
   tathāca  	taTA ca  
   tatraiva:	tatra eva:
   puṣye māsi yadā devi! aṣṭamyāṃ nagaje ! śubhe ! /	puzye mAsi yadA devi! azwamyAm nagaje ! SuBe ! /
   nakṣatraṃ jāyate puṇyaṃ yalloke raudramucyate //	nakzatram jAyate puNyam yat loke rOdram ucyate //
   tadā tu sā mahāpuṇyā jayantī aṣṭamī śubhā //	tadA tu sA mahA puNyA jayantI azwamI SuBA //
   iti /	iti /
   raudraṃ = krūradaivatyatvādbharaṇī /	rOdram  krUra dEvatya tvAt BaraNI /
   ārdreti kalpataruḥ /	Ardra iti kalpataruH /
   tanna /	tat na /
   tatra tadyogāsambhavāt /	tatra tad yoga asamBavAt /
   atha kṛṣṇajanmāṣṭamī nirṇīyate /	aTa kRzNa janma azwamI nirNIyate /
   yadyapīyaṃ  	yadi api iyaM  
   prājāpatyarkṣasaṃyuktā kṛṣṇā nabhasi cāṣṭamī /	prAjApatya Rkza saMyuktA kRzNA naBasi ca azwamI /
   iti viṣṇudharmottarāt,	iti vizNuDarmottarAt ,
   māsi bhādrapade 'ṣṭamyāṃ kṛṣṇapakṣe 'rddharātrake /	mAsi BAdrapade azwamyAm kRzNa pakze ardDarAtrake /
   iti bhaviṣyottarācca śrāvaṇabhādrayoḥ pratīyate /	iti Bavizya uttarAt ca SrAvaNa BAdrayoH pratIyate /
   tathāpyekamūlakalpanālāghavāt paurṇamāsyantaṃ māsamādāya bhādre	taTA api eka mUla kalpanA lAGavAt pOrNamAsyantam mAsam AdAya BAdre
   amāvāsyāntamādāya śrāvaṇe grāhyā ityanusandheyam /	amAvAsyA antam AdAya SrAvaNe grAhyAH iti anusanDeyam /
   evaṃ ca"tithikṛtye ca kṛṣṇādim"iti vacanaṃ nātra śrāvaṇasya	evam ca"tiTi kRtye ca kRzNa Adim"iti vacanam na atra SrAvaNasya
   paurṇamāstantatvavidhāyakaṃ kintu etadatiriktaviṣayakalpanā lāghavāt /	pOrNamAH tanta tva viDAyakam kintu etad atirikta vizaya kalpanA lAGavAt /
   bhādrastu yadyapi bhādraśrutyāmāvāsyānta eva prāpnoti	BAdraH tu yadi api BAdraSruti AmAvAsya antaH eva prApnoti
   mūlaśrutikalpanāgauravasya phalamukhatvenādoṣatvāt tathāpi"tithikṛtye ca	mUla Sruti kalpanA gOravasya Pala muKa tvena adoza tvAt taTA api"tiTi kRtye ca
   kṛṣṇādim"itivacanāt tithyantarakṛtyeṣu tattanmāsapade	kRzNa Adi m"iti vacanAt tiTi antara kRtyezu tad tad mAsa pade
   lakṣaṇāśrayaṇavadihāpi lakṣaṇāśrayaṇamadoṣaḥ /	lakzaNa ASrayaNa vat iha api lakzaNa ASrayaNam adozaH /
   sā ca dvividhā śuddhā saptamīviddhā ca /	sA ca dviviDA SudDA saptam IvidDA ca /
   tatra dvividhā api sūryodayādūrdhvagāminī na veti dvividhā /	tatra dviviDAH api sUrya udayAt UrDva gAminI na vA iti dviviDAH /
   tādṛśyapi rohiṇīyogāyogabhedena dvividhā /	tAdRSI api rohiNI yoga ayoga Bedena dviviDAH /
   tatra	tatra
   sūryodayordhvamasatyāṃ sarvasyāmapi na sandehaḥ /	sUrya udaya UrDvam asatyAm sarvasyAm api na sandehaH /
   pare 'hanyaṣṭamyabhāvāt /	pare ahani azwami a BAvAt /
   sūryodayordhvagāminyāṃ tu śuddhāyāṃ viddhāyāṃ vā rohiṇīyogasyānyataratra	sUrya udaya UrDva gAminyAm tu SudDAyAm vidDAyAm vA rohiNI yogasya anyataratra
   sattve saiva /	sattve sA eva /
   {MV S_48}	{MV H _48}
   prājāpatyarkṣasaṃyuktā kṛṣṇā nabhasi cāṣṭamī /	prAjApatya Rkza saMyuktA kRzNA naBasi ca azwamI /
   muhūrtamapi labhyeta sopoṣyā sā mahāphalā //	muhUrtam api laByeta sa upozyA sA mahA PalA //
   muhūrtamapyahorātre yasmin yuktaṃ hi labhyate /	muhUrtam api ahorAtre yasmin yuktam hi laByate /
   aṣṭamyāṃ rohiṇīṛkṣaṃ tāṃ supuṇyāmupāvaset //	azwamyAm rohiNI Rkzam tAm su puNyAm upAvaset //
   iti viṣṇurahasyokteḥ /	iti vizNurahasya ukteH /
   tenottaradina eva rohiṇīyoge pūrvaniśīthavyāpinī śuddhāpi tyājyeti	tena uttara dinaH eva rohiNI yoge pUrva niSITa vyApinI SudDA api tyAjya iti
   hemādrimādhavādayaḥ /	hema adri mADava AdayaH /
   śiṣṭāstu pūrvāmevopavasanti /	SizwAH tu pUrvAm eva upavasanti /
   teṣāmayamāśayaḥ /	tezAm ayam ASayaH /
   atrārddharātrasya vakṣyamāṇarītyā karmakālatvāt karmakālaśāstrasya ca	atra ardDa rAtrasya vakzyamANa rItyA karma kAla tvAt karma kAla SAstrasya ca
   sarvāpekṣayā balavattvāt parīdane ca tadabhāvāt pūrvaiveti /	sarva apekzayA balavat tvAt parIdane ca tad aBAvAt pUrvA eva iti /
   na ca rohiṇīyogaśāstrānurodhenottareti vācyam /	na ca rohiNI yoga SAstra anuroDena uttarA iti vAcyam /
