   bhikṣuṇī vinaya	BikzuNI  vinaya
   dardru kaṇḍū kacchū rakacā | vicarcikā arśo bhagandalā | pāṇḍuroga alasako	dardru kaNxU kacCuH rakacA | vicarcikAH arSaH BagandalA | pANxu roga alasakaH 
   | lohitapittaṃ | jvaro | kāso śvāso śoṣo apasmāro | vātodaraṃ dakodaraṃ	| lohitapittam | jvaraH | kAsaH SvAsaH SozaH apasmAraH | vAta udaram dakodaram
   plīhodaraṃ madhumeho | santi te ete vā anye vā vividhā ānuśayikā vā	plIhodaram maDumehaH | santi te ete vE anye vA viviDAH AnuSayikA vA
   ābādhāḥ kāye 'smin na vā | yady āha nahīti vaktavyaṃ | tūṣṇīkā bhavāhīti |	AbADAH kAye asmin na vA | yadi Aha na hi iti vaktavyam | tUzNIkA BavAhi iti |
   47. karmakārikāye karma kartavyaṃ | śṛṇotu me bhante āryā saṃgho iyam	47. karma kArikAye karma kartavyam | SRNotu me Bante AryA saMGaH iyam
   itthannāmā itthannāmāye upasaṃpādyā itthannāmāya ca itthannāmāya ca	itTat nAmAH itTannAmAye upasaMpAdyAH itTat nAmAya ca itTat nAmAya ca
   raho'nuśāstā | tāya itthannāmāya upādhyāyinīya saṃgho yāvat tṛtīyakam	rahaH anuSAstA | tAyaH itTat nAmAya upADyAyinIya saMGaH yAvat tRtIyakam
   upasaṃpadaṃ yācito | anujñātā anujñāpakehi | yācitānayā upādhyāyinī |	upasaMpadam yAcitaH | anujQAtA anujQApakehi | yAcita anayA upADyAyinI |
   paripūrṇam asyāḥ pātracīvaraṃ | deśitaśikṣā paripūrṇaśikṣā | sammatā	paripUrNam asyAH pAtra cIvaram | deSita SikzA paripUrNa SikzA | sammatA
   pariśuddhā antarāyikehi dharmehi | ātmānaṃ pratijānāti | yadi saṃghasya	pariSudDAH antarAyikehi Darma ihi | AtmAnam pratijAnAti | yadi saMGasya
   prāptakālaṃ itthaṃnāmāye upādhyāyinīya saṃghamadhye trayo niśrayā	prApta kAlam itTaMnAmAye upADyAyinIya saMGa maDye trayaH niSrayA
   deśayāmaḥ | deśayiṣyanti āryasaṃgho itthannāmāye itthannāmāya	deSayAmaH | deSayizyanti Arya saMGaH itTannAmAye itTat nAmAya
   upādhyāyinīya saṃghamadhye trayo niśrayān | kṣamate taṃ saṃghasya yasmāt	upADyAyinIya saMGa maDye trayaH niSrayAn | kzamate tam saMGasya yasmAt 
   tūṣṇīm evam etad dhārayāmi |	tUzNIm evam etat DArayAmi |
   48. sā dāni vaktavyā | śṛṇu kuladhīte ime tena bhagavatā tathāgatenārhatā	48. sA dAni vaktavyA | SRNu kula DIte ime tena BagavatA taTAgatena arhatA
   samyaksambuddhena arthakāmena hitaiṣinā anukampakena anukampām upādāya	samyaksambudDena arTa kAmena hita ezinA anukampakena anukampAm upAdAya
   śrāvikāṇāṃ trayo niśrayā abhijñāya deśitāḥ prajñaptāḥ samyag ākhyātāḥ |	SrAvikANAm trayaH niSrayAH aBijQAya deSitAH prajQaptAH samyak AKyAtAH |
   yatrotsahantīyo śrāddhāyo kuladhītāyo upasaṃpadīyanti | anutsahantīyo	yatra utsahantIyaH SrAdDAyaH kula DIta ayaH upasaMpadIyanti | anutsahantIyaH 
   nopasaṃpādīyanti |	na upasaMpAdIyanti |
   niśraya 1	niSraya 1
   49. pāṃsukūlaṃ cīvarāṇāṃ alpañ ca sulabhañ ca kalpikañ cānavadyañ ca	49. pAMsukUlam cIvarANAm alpan ca sulaBan ca kalpikan ca anavadyan ca
   śramaṇīsārūpyañ ca | taṇ ca niśrāya pravrajyā upasaṃpadā bhikṣuṇībhāvaḥ	SramaNI sArUpyan ca | taN ca niSrAya pravrajyA upasaMpadA BikzuNIBAvaH
   yatrotsahantīyo śraddhāyo kuladhītāyo upasaṃpādīyanti | anutsahantīyo	yatra utsahantIyaH SradDAyaH kula DIta ayaH upasaMpAdIyanti | anutsahantIyaH 
   nopasaṃpādīyanti | atraca te kuladhīte yāvajjīvam utsāho karaṇīyo |	na upasaMpAdIyanti | atra ca te kulaDIte yAvajjIvam utsAhaH karaNIyaH |
   utsahasi tvaṃ kuladhīte yāvajjīvaṃ pāṃsukūlaṃ cīvarāṇān dhārayituṃ |	utsahasi tvam kulaDIte yAvajjIvam pAMsukUlam cIvarANAn DArayitum |
   utsahantyā utsahāmīti vaktavyaṃ | atirekalābhaḥ kambalaṃ karpāsaṃ kṣaumaṃ	utsahantyA utsahAmi iti vaktavyam | atireka lABaH kambalam karpAsam kzOmam
   śāṇaṃ bhaṅgaṃ kṣaumutikā cīvarāṇāṃ ||	SANam BaFgam kzOmutikA cIvarANAm ||
   niśraya 2	niSraya 2
   50.ucchiṣṭapiṇḍaṃ bhojanānāṃ alpañ ca sulabhañ ca kalpikaṃ cānavadyañ a	50.ucCizwa piNxam BojanAnAm alpan ca sulaBan ca kalpikam ca anavadyan a
   śramaṇīsārūpyañ ca | taṅ ca niśrāya pravrajyā upasaṃpadā bhikṣuṇībhāva	SramaNI sArUpyan ca | taF ca niSrAya pravrajyA upasaMpadA BikzuNIBAva
   yatrotsahantīyo śraddhāyo kuladhītāyo upasaṃpādīyanti | anutsahantīyo	yatra utsahantIyaH SradDAyaH kula DIta ayaH upasaMpAdIyanti | anutsahantIyaH 
   nopasaṃpādīyanti |	na upasaMpAdIyanti |
   atra ca te kuladhīte yāvajjīvam utsāho karaṇīyo | utsahasi tvaṃ kuladhīte	atra ca te kulaDIte yAvajjIvam utsAhaH karaNIyaH | utsahasi tvam kulaDIte
   yāvajjīvam ucchiṣṭapiṇḍaṃ bhojanānāṃ bhoktuṃ | utsahantīyo utsahāmīti	yAvajjIvam ucCizwa piNxam BojanAnAm Boktum | utsahantIyaH utsahAmi iti
   vaktavyaṃ | atirakalābhaḥ pakṣikānimantraṇā cāturdaśikā pāñcadaśikā	vaktavyam | atiraka lABaH pakzikA nimantraNA cAturdaSikA pAQcadaSikA
   upoṣadhikā śalākābhaktaṃ |	upozaDikA SalAkA Baktam |
   niśraya 3	niSraya 3
   51. pūtimūtraṃ bhaiṣajyānām alpañ ca sulabhañ ca kalpikañ cānavadyañ ca	51. pUti mUtram BEzajyAnAm alpan ca sulaBan ca kalpikan ca anavadyan ca
   śramaṇīsārūpyañ ca | tañ ca niśrāya pravrajyā upasaṃpadā bhikṣuṇībhāvaḥ |	SramaNI sArUpyan ca | taQ ca niSrAya pravrajyA upasaMpadA BikzuNI BAvaH |
   atra utsahantīyo śraddhāyo kuladhītāyo upasaṃpādīyanti | anutsahantīyo	atra utsahantIyaH SradDAyaH kula DIta ayaH upasaMpAdIyanti | anutsahantIyaH 
   nopasampādīyanti | atra ca te kuladhīte yāvajjīvam utsāho karaṇīyo |	na upasampAdIyanti | atra ca te kulaDIte yAvajjIvam utsAhaH karaNIyaH |
   utsahasi tvaṃ kuladhīte yāvajjīvaṃ pūtimūtraṃ bhaiṣajyānāṃ pratisevituṃ |	utsahasi tvam kulaDIte yAvajjIvam pUti mUtram BEzajyAnAm pratisevitum |
   utsahantyā utsāhāmīti vaktavyaṃ | atirekalābhaḥ sarpistailaṃ madhuphāṇitaṃ	utsahantyA utsAhAmi iti vaktavyam | atireka lABaH sarpiH tElam maDu PANitam
   vasānavanītaṃ ime trayo niśrayā āryavaṃśā | anuśikṣitavyaṃ anuvartitavyaṃ	vasA n avanItam ime trayaH niSrayAH Arya vaMSAH | anuSikzitavyam anuvartitavyam
   52. karmakārikāya karma kartavyaṃ | śṛṇotu me āryā saṃgho iyam itthannāmā	52. karma kArikAya karma kartavyam | SRNotu me AryA saMGaH iyam itTat nAmA
   itthaṃnāmāye upasaṃpādyā itthannāmāya ca itthannāmāya ca raho'nuśāstā |	itTaMnAmAye upasaMpAdyAH itTat nAmAya ca itTat nAmAya ca rahaH anuSAstA |
   tāya itthannāmāya upādhyāyinīya saṃgho yāvat tṛtīyakam upasaṃpadaṃ yācito	tAyaH itTat nAmAya upADyAyinIya saMGaH yAvat tRtIyakam upasaMpadam yAcitaH 
   | anujñātā anujñāpakehi | yācitānayā upādhyāyinī | paripūrṇam asyāḥ	| anujQAtAH anujQApakehi | yAcita anayA upADyAyinI | paripUrNam asyAH
   pātracīvaran | deśitaśikṣā | paripūrṇaśikṣā | sammatā | pariśuddhā	pAtra cIvaran | deSita SikzA | paripUrNa SikzA | sammatA | pariSudDA
   antarāyikehi dharmehi | ātmānaṃ pratijānāti | niśrayeṣu cotsahati | yadi	antarAyikehi Darma ihi | AtmAnam pratijAnAti | niSrayezu ca utsahati | yadi
   saṃghasya prāptakālaṃ | saṃgho itthaṃnāmāṃ itthaṃnāmāya upādhyāyanīya	saMGasya prApta kAlam | saMGaH itTaMnAmAm itTaMnAmAya upADyAyanIya
   upasaṃpādeyya | ovayikā eṣā jñaptiḥ |	upasaMpAdeyya | ovayikA ezA jQaptiH |
   53. śṛṇotu me āryā saṃgho iyam itthannāmā itthannāmāye upasaṃpādyā |	53. SRNotu me AryA saMGaH iyam itTat nAmA itTannAmAye upasaMpAdyAH |
   itthaṃnāmāya ca itthaṃnāmāya ca raho'nuśāstā | saṃgho 'nayā itthaṃnāmāya	itTaMnAmAya ca itTaMnAmAya ca rahaH anuSAstA | saMGaH anayA itTaMnAmAya
   itthannāmāya upādhyāyinīya yāvat tṛtīyakam upasaṃpadaṃ yācito | anujñātā	itTat nAmAya upADyAyinIya yAvat tRtIyakam upasaMpadam yAcitaH | anujQAtA
   anujñāpakehi | yācitānayā upādhyāyinī paripūrṇam asyāḥ pātracīvaraṃ |	anujQApakehi | yAcita anayA upADyAyinI paripUrNam asyAH pAtra cIvaram |
   deśitaśikṣā | paripūrṇaśikṣā | sammatā | pariśuddhā antarāyikehi dharmehi	deSita SikzA | paripUrNa SikzA | sammatA | pariSudDAH antarAyikehi Darma ihi
   ātmānaṃ prati jānāti | niśrayeṣu cotsahati |	AtmAnam prati jAnAti | niSrayezu ca utsahati |
   54. tāṃ saṃgho itthannāmāṃ itthannāmāya upādhyāyinīya upasaṃpādeti | yāsām	54. tAm saMGaH itTat nAmAm itTat nAmAya upADyAyinIyaH upasaMpAdA iti | yAsAm
   āryamiśrikāṇāṃ kṣamati itthannāmāṃ itthannāmāya upādhyāyinīya	Arya miSrikANAm kzamati itTat nAmAm itTat nAmAya upADyAyinIya
   upasaṃpādīyamānāṃ saṃghena | sā tūṣṇīm asya | yasyā na kṣamati sā bhāṣatu	upasaMpAdIyamAnAm saMGena | sA tUzNIm asya | yasyAH na kzamati sA BAzatu
   | iyaṃ prathamā karmavācanā | evaṃ dvitīyā | tṛtīyā karmavācaneti |	| iyam praTamA karma vAcanA | evam dvitIyA | tRtIyA karma vAcana iti |
   vaktavyaṃ | upasampanneyam āryamiśrikāyo itthannāmā itthannāmāye	vaktavyam | upasampannA iyam Arya miSrikAyaH itTat nAmA itTat nAmAye
   upādhyāyāyinīya saṃghena | kṣamate taṃ saṃghasya yasmāt tūṣṇīm evam etad	upADyAyAyinIya saMGena | kzamate tam saMGasya yasmAt tUzNIm evam etat 
   dhārayāmi |	DArayAmi |
   55. sā dāni vaktavyā | jānāmi tvam itthannāme upasaṃpannā sūpasaṃpannā	55. sA dAni vaktavyA | jAnAmi tvam itTat nAme upasaMpannA sUpa saMpannA
   traivācikena karmaṇā | jñapticaturthena anāghātapañcamena | samagreṇa	trEvAcikena karmaNA | jQapti caturTena anAGAta paQcamena | samagreNa
   saṃghena na vyagreṇa | daśabaddhena gaṇena | sātirekadaśa baddhena |	saMGena na vyagreNa | daSa badDena gaNena | sa atiH ekadaSa badDena |
   56. tathā dāni karohi yathā |	56. taTA dAni karohi yaTA |
   buddhaśobhanā ca bhosi | dharmaśobhanā ca bhosi | saṃghaśobhanā ca bhosi |	budDa SoBanA ca Bosi | Darma SoBanA ca Bosi | saMGa SoBanA ca Bosi |
   buddha guru ca dharma guru ca saṃgha guru ca | upādhyāyinī guru ca |	budDa guru ca Darma guru ca saMGa guru ca | upADyAyinI guru ca |
   ācāryāyiṇī guru ca | śikṣā guru ca | tathā dāni karohi | yathā |	AcAryAyiNI guru ca | SikzA guru ca | taTA dAni karohi | yaTA |
   ārāgayitvā na virāgayasi |	ArAgayitvA na virAgayasi |
   durlabhā kṣaṇasaṃpadā |	durlaBA kzaNa saMpadA |
   yasyārthāya pravrajyā yasyārthāya upasaṃpadā |	yasya arTAya pravrajyA yasya arTAya upasaMpadA |
   tacchīlam anurakṣasva bālāgraṃ camarī yathā || [1]	tat SIlam anurakzasva bAla agram camarI yaTA || [1]
   yan manāpam abhipretam buddhasyādityabandhuno |	yat manApam aBipretam budDasya Aditya banDunaH |
   śrāvikānāñ ca vijñānāṃ nipuṇānām arthadarśināṃ |	SrAvikAnAn ca vijQAnAm nipuNAnAm arTa darSinAm |
   so te artho anuprāpto labdhā te upasaṃpadā || [2]	saH te arTaH anuprAptaH labDA te upasaMpadA || [2]
   aśokaṃ virajaṃ kṣemaṃ dvīpaṃ lenaṃ parāyaṇaṃ |	aSokam virajam kzemam dvIpam lenam parAyaNam |
   taṃ prāpuṇāhi nirvāṇaṃ eṣā te sarvasampadā || [3]	tam prApuNAhi nirvANam ezA te sarva sampadA || [3]
   57. tām evam bhikṣuṇīgaṇenopasaṃpādiya bhikṣuvihāraṃ gatvā upādhyāyinīya	57. tAm evam BikzuNI gaNena upasaMpAdiya Bikzu vihAram gatvA upADyAyinIya
   ubhayato saṃgho samudānayitavyo | āsanaprajñapti kartavyā nīcatamā ekadeśe	uBayatas saMGaH samudAnayitavyaH | Asana prajQapti kartavyA nIcatamAH eka deSe
   bhikṣuṇīsamghasya | yadā bhikṣū sāmīciṃ kṛtvā niṣaṇṇā bhavanti tadā	BikzuNI samGasya | yadA BikzU sAmIcim kRtvA nizaNNAH Bavanti tadA
   bhikṣuṇīhi sāmīciṃ kṛtvā niṣīditavyam | tato upādhyāyinīya upasaṃpādyā	BikzuNIhi sAmIcim kRtvA nizIditavyam | tatas upADyAyinIyaH upasaMpAdyA
   gaṇasyopanāmayitavyā | karmakārakeṇa pṛcchitavyā | pariśuddhāsi	gaNasya upanAmayitavyA | karma kArakeNa pRcCitavyA | pariSudDA asi
   bhikṣuṇīhīti | na pṛcchati vinayātikramam āsādayati |	BikzuNIhi iti | na pRcCati vinaya atikramam AsAdayati |
   58. karmakārakeṇa karma kartavyaṃ | śṛṇotu me bhante saṃgho | iyam	58. karma kArakeNa karma kartavyam | SRNotu me Bante saMGaH | iyam
   itthannāmā bhikṣuṇī | tāye itthannāmā antevāsinī upasaṃpādyā | viśuddhā	itTat nAmA BikzuNI | tAye itTat nAmA antevAsinI upasaMpAdyA | viSudDA
   bhikṣuṇīhi |	BikzuNIhi |
   yadi saṃghasya prāptakālaṃ itthannāmā bhikṣuṇī itthannāmāye antevāsinīye	yadi saMGasya prApta kAlam itTat nAmA BikzuNI itTannAmAye antevAsinIye
   saṃgham upasaṃpadaṃ yāceyyā | yāciṣyati bhante saṃgho itthannāmā	saMGam upasaMpadam yAceyyAH | yAcizyati Bante saMGaH itTat nAmA
   itthannāmāye antevāsinīye saṃgham upasaṃpadaṃ | kṣamate taṃ saṃghasya	itTat nAmAye antevAsinIye saMGam upasaMpadam | kzamate tam saMGasya
   yasmāt tūṣṇīm evam etad dhārayāmi |	yasmAt tUzNIm evam etat DArayAmi |
   59. tāya dāni yācitavyaṃ | vandāmy āryasaṃghaṃ aham itthannāmā bhikṣuṇī |	59. tAya dAni yAcitavyam | vandAmi Arya saMGam aham itTat nAmA BikzuNI |
   tasyā me iyam itthannāmā antevāsinī upasampādyā | sāham itthannāmāya	tasyAH me iyam itTat nAmA antevAsinI upasampA AdyAH | sA aham itTat nAmAya
   antevāsinīye saṃgham upasaṃpadaṃ yācāmi | upasaṃpādetu taṃ saṃgho	antevAsinIye saMGam upasaMpadam yAcAmi | upasaMpAdetu tam saMGaH 
   itthannāmāṃ mayā itthannāmāya upādhyāyinīya anukampām upādāya | dvitīyam	itTat nAmAm mayA itTat nAmAya upADyAyinIya anukampAm upAdAya | dvitIyam
   pi tṛtīyam pi yācitavyaṃ |	pi tRtIyam pi yAcitavyam |
   karma | śṛṇotu me bhante saṃgho | iyam itthannāmā itthannāmāye bhikṣuṇīye	karma | SRNotu me Bante saMGaH | iyam itTat nAmA itTannAmAye BikzuNIye
   upasaṃpādyā | itthannāmāya ca itthannāmāya ca raho'nuśāstā | yadi	upasaMpAdyAH | itTat nAmAya ca itTat nAmAya ca rahaH anuSAstA | yadi
   samghasya prāptakālaṃ itthannāmā itthannāmāya upādhyāyinīya saṃgham	samGasya prApta kAlam itTat nAmA itTat nAmAya upADyAyinIya saMGam
   upasaṃpadaṃ yāceyyā | yāciṣyati bhante saṃgho itthannāmā itthannāmāya	upasaMpadam yAceyyAH | yAcizyati Bante saMGaH itTat nAmA itTat nAmAya
   upādhyāyinīya saṃgham upasaṃpadaṃ | kṣamate taṃ saṃghasya yasmāt tūṣṇīm	upADyAyinIya saMGam upasaMpadam | kzamate tam saMGasya yasmAt tUzNIm
   evam etad dhārayāmi |	evam etat DArayAmi |
   60. tāya dāni yācitavyaṃ | vandāmy āryasaṃghaṃ | ahaṃ itthannāmā	60. tAya dAni yAcitavyam | vandAmi Arya saMGam | aham itTat nAmA
   arthahetor nāma gṛhṇāmi itthannāmāye upādhyāyinīye upasaṃpādyā |	arTa hetoH nAma gRhNAmi itTat nAmAye upADyAyinIye upasaMpAdyAH |
   itthannāmāya ca itthannāmāya ca ācāryāya raho'nuśāstā | sāham itthannāmā	itTat nAmAya ca itTat nAmAya ca AcAryAya rahaH anuSAstA | sA aham itTat nAmA
   arhahetor nāma gṛhṇāmi itthannāmāya upādhyāyinīya saṃgham upasaṃpadaṃ	arha hetoH nAma gRhNAmi itTat nAmAya upADyAyinIya saMGam upasaMpadam
   yācāmi | upasaṃpādetu me āryo saṃgho | ullumpatu āryo saṃgho | anukampatu	yAcAmi | upasaMpAdetu me AryaH saMGaH | ullumpatu AryaH saMGaH | anukampatu
   me āryo saṃgho | anukampako anukampām upādāya evam dvitīyam pi tṛtīyam pi	me AryaH saMGaH | anukampakaH anukampAm upAdAya evam dvitIyam pi tRtIyam pi
   karma | śṛṇu me bhante saṃgho | iyam itthannāmā itthannāmāye upasaṃpādyā |	karma | SRNu me Bante saMGaH | iyam itTat nAmA itTannAmAye upasaMpAdyAH |
   itthannāmāya ca itthannāmāya ca raho'nuśāstā | anayā itthannāmāya	itTat nAmAya ca itTat nAmAya ca rahaH anuSAstA | anayA itTat nAmAya
   itthannāmāya upādhyāyinīya saṃgho yāvat tṛtīyakam upasaṃpadaṃ yācito |	itTat nAmAya upADyAyinIya saMGaH yAvat tRtIyakam upasaMpadam yAcitaH |
   yadi saṃghasya prāptakālaṃ itthannāmā itthannāmāya upādhyāyinīya	yadi saMGasya prApta kAlam itTat nAmA itTat nAmAya upADyAyinIya
   saṃghamadhye antarāyikān dharmān pṛcchemaḥ | pṛcchiṣyati bhante saṃgho	saMGa maDye antarAyikAn DarmAn pRcCemaH | pRcCizyati Bante saMGaH 
   itthannāmā itthannāmāya upādhyāyinīya saṃghamadhye antarāyikān dharmān |	itTat nAmAH itTat nAmAya upADyAyinIya saMGa maDye antarAyikAn DarmAn |
   kṣamate taṃ saṃghasya yasmāt tūṣṇīm evam etad dhārayāmi |	kzamate tam saMGasya yasmAt tUzNIm evam etat DArayAmi |
   61. sā dāni vaktavyā | śṛṇu kuladhite | ayaṃ satyakālo | ayaṃ bhūtakālo	61. sA dAni vaktavyA | SRNu kula Dite | ayam satyakAlaH | ayam BUtakAlaH 
   yāva sadevakaṃ lokaṃ samārakaṃ sabrahmaṇaṃ saśramaṇabrāhmaṇīṃ prajāṃ	yAva sa devakam lokam sa mArakam sa brahmaNam sa SramaNa brAhmaNIm prajAm
   sadevamānuṣāsurāṃ visamvādeyyā ya ca tasya bhagavato tathāgatasyārhataḥ	sa deva mAnuza asurAm visamvAdeyyAH yaH ca tasya BagavataH taTAgatasya arhataH
   samyaksambuddhasya ubhayatosaṃghaṃ visamvādeyyā iman tato mahāsāvadyataraṃ	samyaksambudDasya uBayatas saMGam visamvAdeyyAH iman tatas mahAsAvadyataram
   | yaṃ yad eva te saṃghamadhye pṛccheyāma taṃ tad eva yam asti tam astīti	| yam yat eva te saMGa maDye pRcCeyAma tam tat eva yam asti tam asti iti
   vaktavyaṃ | yaṃ nāsti taṃ nāstīti vaktavyaṃ |	vaktavyam | yam na asti tam na asti iti vaktavyam |
   62. anujñātāsi anujñāpakehi | āma | yācitā te upādhyāyinī | āma |	62. anujQAtA asi anujQApakehi | Ama | yAcitA te upADyAyinI | Ama |
   paripūrṇan te pātracīvaraṃ | āma | deśitaśikṣāsi | āma | paripūrṇaśikṣāsi	paripUrNan te pAtra cIvaram | Ama | deSita SikzA asi | AmaH | paripUrNa SikzA asi
   | āma | sammatāsi | āma | viśuddhāsi bhikṣuṇīhi | āma | mā mātṛghātinī |	| Ama | sammatA asi | Ama | viSudDA asi BikzuNIhi | Ama | mA mAtR GAtinI |
   nahi | mā arhadghātinī | nahi mā saṃghabhedikā | nahi | mā tathāgatasya	na hi | mA arhat GAtinI | na hi mA saMGa BedikA | na hi | mA taTAgatasya
   duṣṭacittarudhirotpādikā | nahi | ciraparinivṛtto kho puna so bhagavāṃs	duzwa citta ruDira utpAdikA | na hi | cira parinivRttaH KaH puna saH BagavAn= 
   tathāgato 'rhan samyaksambuddho |	taTAgataH arhan samyaksambudDaH |
   mā bhikṣudūṣikā nahi mā stainyasamvāsikā | nahi | mā tīrthikāpakrāntikā |	mA Bikzu dUzikA na hi mA stEnya samvAsikAH | na hi | mA tIrTikA pakrAntikAH |
   nahi | mā dāsī | nahi | mā avapitikā | nahi | mā ṛṇahārikā | nahi | mā	na hi | mA dAsI | na hi | mA avapitikA | na hi | mA RNa hArikA | na hi | mA
   rājabhaṭī | nahi | mā rājñaḥ kilbiṣakāriṇī | nahi | upasampannapūrvāsi	rAja BawI | na hi | mA rAjQaH kilbiza kAriNI | na hi | upasampanna pUrvA asi
   anyadāpi | yady āha | āman ti | vaktavyā | gaccha nasya cala prapalāya	anyadA api | yadi Aha | Aman ti | vaktavyA | gacCa nasya cala prapalAya
   nāsti te upasaṃpadā | athāha nahīti | vaktavyaṃ | santi kho punar imasmiṃ	na asti te upasaMpadA | aTa Aha na hi iti | vaktavyam | santi KaH punar imasmin
   kāye vividhā anuśāyikā ābādhāḥ | saṃyathīdaṃ dadru kaṇḍū kacchū rakacā |	kAye viviDAH anuSAyikAH AbADAH | saMyaTi idam dadru kaNxU kacCuH rakacA |
   vicarcikā kuṣṭhaṃ kiṭibhaṃ | arśā bhagandalā | pāṇḍurogo ālaso |	vicarcikA kuzWam kiwiBam | arSAH BagandalA | pANxu rogaH AlasaH |
   lohitapittaṃ jvaro | kāso śvāso soṣo apasmāro | vātodaram dakodaraṃ |	lohitapittam jvaraH | kAsaH SvAsaH sozaH apasmAraH | vAta udaram dakodaram |
   plīhodaraṃ madhumeho visūcikā | santi te ete vā anye vā vividhā anusāyikā	plIhodaram maDumehaH visUcikAH | santi te ete vA anye vA viviDA anusAyikA
   ābādhā kāye 'smin na vā | yady āha nahīti | vaktavyā | tūṣṇikā bhavāhi |	AbADA kAye asmin na vA | yadi Aha na hi iti | vaktavyA | tu uzNikAH BavAhi |
   63. karma | śṛṇotu me bhante saṃgho | iyam itthannāmā itthannāmāye	63. karma | SRNotu me Bante saMGaH | iyam itTat nAmA itTat nAmAye
   bhikṣuṇīye upasaṃpādyā | itthannāmāya ca itthananāmāya ca raho'nuśāstā |	BikzuNIye upasaMpAdyAH | itTat nAmAya ca itTana nAmAya ca rahaH anuSAstA |
   anayā itthannāmāya itthannāmāya upādhyāyinyā saṃgho yāvat tṛtīyakam	anayA itTat nAmAya itTat nAmAya upADyAyinyA saMGaH yAvat tRtIyakam
   upasaṃpadaṃ yācito | anujñātā anujñāpakehi | yācitānayā upādhyāyinī |	upasaMpadam yAcitaH | anujQAtA anujQApakehi | yAcita anayA upADyAyinI |
   paripūrṇaṃ se pātracīvaraṃ | deśitaśikṣā | paripūrṇaśikṣā | sammatā	paripUrNam se pAtra cIvaram | deSita SikzA | paripUrNa SikzA | sammatA
   viśuddhā bhikṣuṇīhi | pariśuddhā anatarāyikairdharmair ātmānaṃ pratijānāti	viSudDA BikzuNIhi | pariSudDAH anatarAyikEH DarmEH AtmAnam pratijAnAti
   | yadi saṃghasya prāptakālaṃ itthannāmāye itthannāmāya upādhyāyinīya	| yadi saMGasya prApta kAlam itTannAmAye itTat nAmAya upADyAyinIya
   saṃghamadhye trayo niśrayā deśayāmaḥ | deśiṣyanti bhante saṃgho	saMGa maDye trayaH niSrayAH deSayAmaH | deSizyanti Bante saMGaH 
   itthannāmāya upādhyāyinīya saṃghamadhye trayo niśrayān | kṣamate taṃ	itTat nAmAya upADyAyinIya saMGa maDye trayaH niSrayAn | kzamate tam
   saṃghasya yasmāt tūṣṇīm evam etad dhārayāmi |	saMGasya yasmAt tUzNIm evam etat DArayAmi |
   niśraya 1	niSraya 1
   64. sā vaktavyā | śṛṇu kuladhīte ime tena bhagavatā tathāgatenārhatā	64. sA vaktavyA | SRNu kula DIte ime tena BagavatA taTAgatena arhatA
   samyaksambudḍhenārthakāmena hitaiṣinā anukampakenānukampām upādāya	samyaksambudXena arTa kAmena hita ezinA anukampakena anukampAm upAdAya
   śrāvikāṇān trayo niśrayā abhijñāya deśitā prajñaptāḥ samyag ākhyātāḥ |	SrAvikANAn trayaH niSrayAH aBijQAya deSitA prajQaptAH samyak AKyAtAH |
   yatrotsahantīyo śrāddhāyo kuladhītāyo upasaṃpādīyanti anutsahantīyo	yatra utsahantIyaH SrAdDAyaH kula DIta ayaH upasaMpAdIyanti anutsahantIyaH 
   nopasaṃpādīyanti | atra ca kuladhite yāvajjīvam utsāho karaṇīyo |	na upasaMpAdIyanti | atra ca kula Dite yAvajjIvam utsAhaH karaNIyaH |
   pāṃsukūlaṃ cīvarāṇām alpañ ca sulabhañ ca kalpikañ cānavadyañ ca	pAMsukUlam cIvarANAm alpan ca sulaBan ca kalpikan ca anavadyan ca
   śramaṇīsārūpyañ ca | tañ ca niśrāya pravrajyopasaṃpadā bhikṣuṇībhāvaḥ |	SramaNI sArUpyan ca | taQ ca niSrAya pravrajya upasaMpadA BikzuNI BAvaH |
   yatrotsahantīyo śrāddhāyo kulakuladhītāyo upasaṃpādīyanti | anutsahantīyo	yatra utsahantIyaH SrAdDAyaH kula kula DIta ayaH upasaMpAdIyanti | anutsahantIyaH 
   nopasaṃpādiyanti | atra ca te kuladhīte yāvajjīvam utsāho karaṇīyo |	na upasaMpAdiyanti | atra ca te kulaDIte yAvajjIvam utsAhaH karaNIyaH |
   utsahasi tvaṃ kuladhīte yāvajjīvaṃ pāṃsukūlaṃ cīvarāṇān dhārayituṃ |	utsahasi tvam kulaDIte yAvajjIvam pAMsukUlam cIvarANAn DArayitum |
   utsahantīya utsahāmīti vaktavyaṃ | atirekalābhaḥ kambalaṃ karpāsaṃ kṣaumaṃ	utsahantIyaH utsahAmi iti vaktavyam | atireka lABaH kambalam karpAsam kzOmam
   śāṇaṃ bhaṅgaṃ kṣomutikā cīvarāṇāṃ |	SANam BaFgam kzomutikA cIvarANAm |
   niśraya 2	niSraya 2
   ucchiṣṭapiṇḍaṃ bhojanānāṃ alpañ ca sulabhañ ca kalpikañ cānavadyañ ca	ucCizwa piNxam BojanAnAm alpan ca sulaBan ca kalpikan ca anavadyan ca
   śramaṇīsārūpyañ ca | tañ ca niśrāya pravrajyopasaṃpadā bhikṣuṇībhāvaḥ |	SramaNI sArUpyan ca | taQ ca niSrAya pravrajya upasaMpadA BikzuNI BAvaH |
