   akarot pṛthivīruhān api Ragh_8.70c	akarot pRTivIruhAn api RaG_8.70c
   kādambam ardhodgatakesaraṃ ca Ragh_13.27b	kAdambam arDa udgata kesaram ca RaG_13.27b
   kādambasaṃsargavatīva Ragh_13.55b	kAdamba saMsargavatI iva RaG_13.55b
   kāntaṃ nabhomāsam iva prajānām Ragh_18.6d	kAntam naBaH mAsam iva prajAnAm RaG_18.6d
   kāntaṃ vapur vyomacaraṃ prapede Ragh_5.51d	kAntam vapuH vyomacaram prapede Rau _5.51d
   kāntāmukhaśrīviyutā divāpi Ragh_16.20b	kAntA muKa SrI viyutA divA api RaG_16.20b
   kāntāsu govardhanakandarāsu Ragh_6.51d	kAntAsu govarDana kandarAsu Rau _6.51d
   kāntir himāṃśor iva saṃniviṣṭa Ragh_6.47b	kAntiH himAMSoH iva saMnivizwaH RaG_6.47b
   kāntyā girā sūnṛtayā ca yogyā Ragh_6.29c	kAntyA girA sUnRtayA ca yogyAH RaG_6.29c
   kāpy abhikhyā tayor āsīd Ragh_1.46a	kA api aBiKyA tayoH AsIt RaG_1.46a
   kāmayānasamavasthayā tulām Ragh_19.50d	kAmayAna samavasTayA tulAm Rau _19.50d
   kāmarūpeśvaras tasya Ragh_4.84a	kAmarUpa ISvaraH tasya RaG_4.84a
   kāmaṃ karṇāntaviṣrānte Ragh_4.13a	kAmam karNa anta vizra ante RaG_4.13a
   kāmaṃ cakrasya tena me Ragh_10.42b	kAmam cakrasya tena me RaG_10.42b
   kāmaṃ jīvati me nātha Ragh_12.75a	kAmam jIvati me nATaH RaG_12.75a
   kāmaṃ ṇrpāḥ santu saharaśo 'nye Ragh_6.22a	kAmam NrpAH santu saha raSaH anye RaG_6.22a
   kāmaṃ na so 'kalpata paitṛkasya Ragh_18.40a	kAmam na saH akalpata pEtRkasya RaG_18.40a
   kāmaṃ pratkṛtivairāgyaṃ Ragh_17.55a	kAmam pratkRti vErAgyam RaG_17.55a
   kāminīsahacarasya kāminas Ragh_19.5a	kAminI sahacarasya kAminaH RaG_19.5a
   kāmīva kāntāhṛdayaṃ praviśya Ragh_16.40b	kAmI iva kAntA hRdayam praviSya RaG_16.40b
   kāmuketi cakṛṣus tam aṅganāḥ Ragh_19.33d	kAmuka iti cakRzuH tam aFganAH Rau _19.33d
   kāmo vasantātyayamandavīryaḥ Ragh_16.50c	kAmaH vasanta atyaya manda vIryaH RaG_16.50c
   kāmbojāḥ samare soḍhuṃ Ragh_4.69a	kAmbojAH samare soXum RaG_4.69a
   kāmyavastuṣu naveṣu saṅginaḥ Ragh_19.16b	kAmya vastuzu navezu saFginaH RaG_19.16b
   kāyena vācā manasāpi śaśvad Ragh_5.5a	kAyena vAcA manasA api SaSvat RaG_5.5a
   kāraṇḍavotsṛṣṭamṛdupratnānāḥ Ragh_5.46*a	kAraNxava utsRzwa mRdu pratnAnAH RaG_5.46*a
   kārāgṛhe nirjitavāsavena Ragh_6.40c	kArA gRhe nirjita vAsavena RaG_6.40c
   kārttikīṣu savitānaharmyabhāg Ragh_19.39a	kArttikIzu sa vitAna harmya BAj RaG_19.39a
   kārtsnyena gṛhṇāti lipiṃ na yāvat Ragh_18.46b	kArtsnyena gRhNAti lipim na yAvat RaG_18.46b
   kārmukaṃ ca balinādhiropitam Ragh_11.81b	kArmukam ca balinA aDiropitam RaG_11.81b
   kāryasiddher hi lakṣaṇam Ragh_10.6d	kArya sidDeH hi lakzaNam Rau _10.6d
   kāryeṣu caikakāryatvād Ragh_10.41a	kAryezu ca eka kArya tvAt RaG_10.41a
   kārṣnena pattrinā śatruḥ Ragh_15.24a	kArznena pattrinA SatruH RaG_15.24a
   kālanemivadhāt prītas Ragh_15.40c	kAlanemi vaDAt prItaH Rau _15.40c
   kālavit kuśikavaṃśavardhanaḥ Ragh_11.37b	kAla vid kuSika vaMSa varDanaH RaG_11.37b
   kālaḥ provāca rāghavam Ragh_15.92b	kAlaH provAca rAGavam RaG_15.92b
   kālāntaraśyāmasudheṣu naktam Ragh_16.18a	kAla antara SyAma suDezu naktam RaG_16.18a
   kālāvasthā caturyugā Ragh_10.23b	kAla avasTA catur yugAH RaG_10.23b
   kālikeva nibiḍā balākinī Ragh_11.15d	kAlikA iva nibixA balAkinI Rau _11.15d
   kāle kāle ca bandiṣu Ragh_4.6b	kAle kAle ca bandizu RaG_4.6b
   kāle khalu samārabdhāḥ Ragh_12.69c	kAle Kalu samArabDAH RaG_12.69c
   kālopapannātithikalpabhāgaṃ Ragh_5.9c	kAla upapanna atiTi kalpa BAgam RaG_5.9c
   kālo hy ayaṃ saṃkramituṃ dvitīyaṃ Ragh_5.10c	kAlaH hi ayam saMkramitum dvitIyam RaG_5.10c
   kāverīṃ saritāṃ patyuḥ Ragh_4.45c	kAverIm saritAm patyuH RaG_4.45c
   kāścana svayam avartayat samāḥ Ragh_19.4b	kAScana svayam avartayat samAH RaG_19.4b
   kāṣāyaparivītena Ragh_15.77a	kAzAya parivItena RaG_15.77a
   kiñjalkam iva paṅkajam Ragh_15.52b	kiQjalkam iva paFkajam RaG_15.52b
   kim atra citraṃ yadi kāmasūr bhūr Ragh_5.33a	kim atra citram yadi kAmasUH BUH RaG_5.33a
   kim apy ahiṃsyas tava cen mato 'haṃ Ragh_2.57a	kim api ahiMsyaH tava ced mataH aham RaG_2.57a
   kim ātmanirvādakathām upekṣe Ragh_14.34a	kim Atma nirvAda kaTAm upekze RaG_14.34a
   kim icchasīti sphuṭam āha vāsavaḥ Ragh_3.63d	kim icCasi iti sPuwam Aha vAsavaH Rau _3.63d
   kim idaṃ kiṃnarakaṇṭhi supyate Ragh_8.64d	kim idam kiMnara kaNWi supyate Rau _8.64d
   kim ivānayat prahariṣyato vidheḥ Ragh_8.44d	kim iva Anayat praharizyataH viDeH Rau _8.44d
   kim utsukaḥ śakrajito 'pi hantā Ragh_14.83b	kim utsukaH Sakra jitaH api hantA RaG_14.83b
   kim eṣa te vadhyajano 'nusiṣṭhatu Ragh_9.82Ab	kim eza te vaDyajanaH anusizWatu RaG_9.82a ab
   kisalayaprasavo 'pi vilāsināṃ Ragh_9.31c	kisalaya prasavaH api vilAsinAm RaG_9.31c
   kisalayādharasaṃgatayā manaḥ Ragh_9.42b	kisalaya aDara saMgatayA manaH RaG_9.42b
   kisalayaiḥ salayair iva pāṇibhiḥ Ragh_9.35d	kisalayEH salayEH iva pANiBiH Rau _9.35d
   kiṃcitprakāśena vivasvateva Ragh_7.60d	kiMcid prakASena vivasvatA iva RaG_7.60d
   kiṃcitsamāvarjitanetraśobhaḥ Ragh_6.15b	kiMcid samAvarjita netra SoBaH RaG_6.15b
   kiṃcidukṣitaśikhaṇḍakāv ubhau Ragh_11.5b	kiMcid ukzita SiKaNxakO uBO RaG_11.5b
   kiṃcidutkrāntaśaiśavau Ragh_15.33b	kiMcid utkrAnta SESavO RaG_15.33b
   kiṃcidūnam anūnarddheḥ Ragh_10.1c	kiMcid Unam anUna RdDeH RaG_10.1c
   kiṃcid vihasyārthapatiṃ babhāṣe Ragh_2.46d	kiMcid vihasya arTapatim baBAze Rau _2.46d
   kiṃ tat sādhyaṃ yad ubhaye Ragh_17.38c	kim tat sADyam yat uBaye Rau _17.38c
   kiṃ tad yena mano hartum Ragh_15.64c	kim tat yena manaH hartum RaG_15.64c
   kiṃ tan na yenāsi mamānukampyā Ragh_14.74d	kim tat na yena asi mama anukampyAH Rau _14.74d
   kiṃ tu vadhvāṃ tavaitasyām Ragh_1.65a	kim tu vaDvAm tava etasyAm RaG_1.65a
   kiṃ punas tridaśacāpalāñchitaḥ Ragh_11.80d	kim punar tridaSa cApa lAQCitaH Rau _11.80d
   kiṃ mahoragavisarpivikramo Ragh_11.27c	kim mahA uraga visarpi vikramaH Rau _11.27c
   kiṃ vastu vidvan gurave pradeyaṃ Ragh_5.18c	kim vastu vidvan gurave pradeyam RaG_5.18c
   kiṃ vā tavātyantaviyogamoghe Ragh_14.65a	kim vA tava atyanta viyoga moGe RaG_14.65a
   kiṃ vā madabhyāgamakāraṇaṃ te Ragh_16.8b	kim vA mad aByAgama kAraNam te RaG_16.8b
   kiṃ vā ripūṃs tava guruḥ svayam ucchinatti Ragh_5.71d	kim vA ripUn tava guruH svayam ucCinatti RaG_5.71d
   kīcakadhvanihetavaḥ Ragh_4.73b	kIcaka Dvani hetavaH RaG_4.73b
   kīrtistambhadvayam iva girau dakṣiṇe cottare ca Ragh_15.103d	kIrti stamBa dvayam iva girO dakziNe ca uttare ca RaG_15.103d
   kuta eva patākinīm Ragh_4.82d	kutas eva patAkinIm RaG_4.82d
   kutūhaleneva manuṣyaśoṇitam Ragh_3.54d	kutUhalena iva manuzya SoNitam RaG_3.54d
   kundasrag indīvaramālayeva Ragh_13.57Ab	kunda sraj indIvara mAlayA iva RaG_13.57a ab
   kundāgra danto ripudantisiṃhaḥ Ragh_18.16*c	kunda agra dantaH ripu danti siMhaH RaG_18.16*c
   kumārakalpaṃ suṣuve kumāram Ragh_5.36b	kumAra kalpam suzuve kumAram RaG_5.36b
   kumārajanmāmṛtasaṃmitākṣaram Ragh_3.16b	kumAra janma amRta saMmita akzaram RaG_3.16b
   kumārabhṛtyākuśalair anuṣṭhite Ragh_3.12a	kumAra BRtya akuSalEH anuzWite RaG_3.12a
   kumāraṃ klāntavāhanam Ragh_15.12b	kumAram klAnta vAhanam RaG_15.12b
   kumārāḥ kṛtasaṃskārās Ragh_10.79a	kumArAH kRta saMskArAH RaG_10.79a
   kumudavanapratipannanidram āsīt Ragh_6.86d	kumuda vana pratipanna nidram AsIt Rau _6.86d
   kumudasya kumudvatī Ragh_17.6b	kumudasya kumudvatI RaG_17.6b
   kumudvatī bhānumatīva bhāvam Ragh_6.36d	kumudvatI BAnumatI iva BAvam Rau _6.36d
   kumudvatī śītamarīcilekhe Ragh_14.1*c	kumudvatI SIta marIci leKe RaG_14.1*c
   kumudvatīṃ nārhasi nānumantum Ragh_16.85b	kumudvatIm na arhasi na anumantum RaG_16.85b
   kumudvatsu ca vāriṣu Ragh_4.19b	kumudvatsu ca vArizu RaG_4.19b
   kumbhakarṇaḥ kapīndreṇa Ragh_12.80a	kumBakarNaH kapi indreNa RaG_12.80a
   kumbhapūraṇabhavaḥ paṭur uccair Ragh_9.73a	kumBa pUraNa BavaH pawuH uccEs RaG_9.73a
   kumbhayonir alaṃkāraṃ Ragh_15.55a	kumBayoniH alaMkAram RaG_15.55a
   kumbhayoner mahaujasaḥ Ragh_4.21b	kumBayoneH mahA ojasaH RaG_4.21b
   kumbhīnasyāś ca kukṣijaḥ Ragh_15.15b	kumBInasyAH ca kukzi jaH RaG_15.15b
   kumbhodaraṃ nāma nikumbhamitram Ragh_2.35d	kumBodaram nAma nikumBa mitram Rau _2.35d
   kurabakā ravakāraṇatāṃ yayuḥ Ragh_9.32d	kurabakAH rava kAraNa tAm yayuH Rau _9.32d
   kuru niḥsaṃśayaṃ vatse Ragh_15.79c	kuru niHsaMSayam vatse RaG_15.79c
   kuruṣva tāvat karabhoru paścān Ragh_13.18a	kuruzva tAvat karaBa Uru paScAn RaG_13.18a
   kuryām upekṣāṃ hatajīvite 'smin Ragh_14.65b	kuryAm upekzAm hata jIvite asmin RaG_14.65b
   kurvatā nijagade yuyutsunā Ragh_11.70d	kurvatA nijagade yuyutsunA Rau _11.70d
   kurvadbhir iva vānaraiḥ Ragh_12.71d	kurvadBiH iva vAnarEH RaG_12.71d
   kurvanti tapaso vyayam Ragh_15.3d	kurvanti tapasaH vyayam Rau _15.3d
   kurvanti sāmantaśikhāmaṇīnāṃ Ragh_6.33c	kurvanti sAmanta SiKAmaNInAm RaG_6.33c
   kurvan vyomeva bhūtalam Ragh_4.29d	kurvan vyoma iva BU talam Rau _4.29d
   kuladhvajas tāni caladhvajāni Ragh_16.37c	kulaDvajaH tAni cala DvajAni RaG_16.37c
   kulapradīpo nṛpatir dilīpaḥ Ragh_6.74b	kula pradIpaH nRpatiH dilIpaH RaG_6.74b
   kulam abhyudyata nūtaneśvaram Ragh_8.15b	kulam aByudyata nUtaneSvaram RaG_8.15b
   kuliśavraṇalakṣmaṇā Ragh_10.13b	kuliSa vraNa lakzmaNA RaG_10.13b
   kulena kāntyā vayasā navena Ragh_6.79a	kulena kAntyA vayasA navena RaG_6.79a
   kulyevodyānapādapān Ragh_12.3d	kulyA iva udyAna pAdapAn RaG_12.3d
   kuvalayitagavākṣāṃ locanair aṅganānām Ragh_11.93d	kuvalayita gavAkzAm locanEH aFganAnAm Rau _11.93d
   kuśapūtaṃ pravayās tu viṣṭaram Ragh_8.18d	kuSa pUtam pravayAH tu vizwaram Rau _8.18d
   kuśaladvāratayā samuddhṛtam Ragh_8.88d	kuSala dvAra tayA samudDRtam Rau _8.88d
   kuśalaviracitānukūlaveṣaḥ Ragh_5.76c	kuSala viracita anukUla vezaH RaG_5.76c
   kuśaṃ dviṣām aṅkuśam astravidvān Ragh_16.81b	kuSam dvizAm aFkuSam astra vidvAn RaG_16.81b
   kuśaḥ pravāsasthakalatraveṣām Ragh_16.4c	kuSaH pravAsa sTa kalatra vezAm RaG_16.4c
   kuśāgrabuddhe kuśalī gurus te Ragh_5.4b	kuSa agra budDe kuSalI guruH te RaG_5.4b
   kuśāya rājyena samaṃ dideśa Ragh_16.72b	kuSAya rAjyena samam dideSaH RaG_16.72b
   kuśāvatīṃ śrotriyasāt sa kṛtvā Ragh_16.25a	kuSAvatIm SrotriyasAt sa kRtvA RaG_16.25a
   kuśeśayātāmratalena kaścit Ragh_6.18a	kuSeSaya AtAmra talena kaScid RaG_6.18a
   kusumakesarareṇum alivrajāḥ Ragh_9.45c	kusuma kesara reNum alivrajAH Rau _9.45c
   kusumakomaladantaruco babhuḥ Ragh_9.35b	kusuma komala danta rucaH baBuH RaG_9.35b
   kusumacāpam atejayad aṃśubhir Ragh_9.39c	kusuma cApam atejayat aMSuBiH RaG_9.39c
   kusumajanma tato navapallavās Ragh_9.26a	kusuma janma tatas nava pallavAH RaG_9.26a
   kusumapaṅktinipātibhir aṅkitaḥ Ragh_9.41b	kusuma paFkti nipAtiBiH aFkitaH RaG_9.41b
   kusumabhāranatādhvagayoṣitām Ragh_9.42*c	kusuma BAra nata aDvagayozitAm RaG_9.42*c
   kusumamadhvanuṣaṅgasugandhibhiḥ Ragh_9.36*b	kusuma maDu anuzaFga suganDiBiH RaG_9.36*b
   kusumam eva na kevalam ārtavaṃ Ragh_9.31a	kusumam eva na kevalam Artavam RaG_9.31a
   kusumasaṃbhṭtayā navamallikā Ragh_9.42c	kusuma saMBwtayA navamallikA RaG_9.42c
   kusumaṃ kṛtadohadas tvayā Ragh_8.62a	kusumam kRtadoha daH tvayA RaG_8.62a
   kusumāny api gātrasaṃgamāt Ragh_8.44a	kusumAni api gAtra saMgamAt RaG_8.44a
   kusumitadrumam unmadakokilam Ragh_9.28*b	kusumita drumam unmada kokilam RaG_9.28*b
   kusumitāsu mitā vanarājiṣu Ragh_9.34d	kusumitAsu mitAH vana rAjizu Rau _9.34d
   kusumito namito 'libhir unmadaiḥ Ragh_9.37*c	kusumitaH namitaH aliBiH unmadEH RaG_9.37*c
   kusumair grathitām apārthivaiḥ Ragh_8.34a	kusumEH graTitAm apArTivEH RaG_8.34a
   kusumotkacitān valīmataś Ragh_8.53a	kusuma utkacitAn valIm atas RaG_8.53a
   kūjadbhir āpāditavaṃśkṛtyam Ragh_2.12b	kUjadBiH ApAditavaMSkRtyam RaG_2.12b
   kūjitaiḥ śrutisukhaiḥ patatriṇaḥ Ragh_11.11b	kUjitEH Sruti suKEH patatriNaH RaG_11.11b
   kūṭayuddhavidhijñe 'pi Ragh_17.69a	kUwa yudDa viDi jQe api RaG_17.69a
   kūṭaśālmalim akṣipat Ragh_12.95d	kUwa SAlmalim akzipat Rau _12.95d
   kūlaṃ phalāvarjitapūgamālam Ragh_13.17d	kUlam Pala Avarjita pUga mAlam Rau _13.17d
   kūlaṃ samāsādya kuśaḥ sarayvāḥ Ragh_16.35b	kUlam samAsAdya kuSaH sarayvAH RaG_16.35b
   kṛcchralabdham api labdhavarṇabhāk Ragh_11.2a	kRcCra labDam api labDa varNa BAj RaG_11.2a
   kṛcchraṃ mahat tīrṇa iti priyārhāṃ Ragh_14.6c	kRcCram mahat tIrNaH iti priya arhAm RaG_14.6c
   kṛtaṇḍaḥ svayam rājñā Ragh_15.53a	kRtaNxaH svayam rAjQA RaG_15.53a
   kṛtapūrvaṃ tava kiṃ jahāsi mām Ragh_8.52b	kRta pUrvam tava kim jahAsi mAm RaG_8.52b
   kṛtapratikṛtaprītais Ragh_12.94a	kRta pratikRta prItEH RaG_12.94a
   kṛtavaty asi nāvadhīraṇām Ragh_8.48a	kRtavatI asi na avaDIraNAm RaG_8.48a
   kṛtavān apratiśāsanaṃ jagat Ragh_8.27d	kRtavAn apratiSAsanam jagat Rau _8.27d
   kṛtavān īpsitam ātmajapriyaḥ Ragh_8.13b	kRtavAn Ipsitam Atmaja priyaH RaG_8.13b
   kṛtavān paṅktiratho vilaṅghya yat Ragh_9.74b	kRtavAn paFktiraTaH vilaFGya yat RaG_9.74b
   kṛtasītāparityāgaḥ Ragh_15.1a	kRta sItA parityAgaH RaG_15.1a
   kṛtaḥ prayatno na ca deva labdhaṃ Ragh_16.76a	kRtaH prayatnaH na ca deva labDam RaG_16.76a
   kṛtāñjalis tatra yad amba satyān Ragh_14.16a	kRtAQjaliH tatra yat amba satyAn RaG_14.16a
   kṛtāñjaliḥ kṛtyavid ita uvāca Ragh_5.3d	kRtAQjaliH kRtya vid itas uvAca Rau _5.3d
   kṛtābhiṣekair divyāyāṃ Ragh_10.64a	kRta aBizekEH divyAyAm RaG_10.64a
   kṛtāstraḥ sāṃparāyikaḥ Ragh_17.62b	kRtAstraH sAMparAyikaH RaG_17.62b
   kṛtimādriṣu vihāravibhramaḥ Ragh_19.37d	kRtimAdrizu vihAra viBramaH Rau _19.37d
   kṛtis tau kiṃnarasvanau Ragh_15.64b	kRtiH tO kiMnara svanO RaG_15.64b
   kṛttir hareḥ kṛṣṇamṛgatvaceva Ragh_13.57Ac	kRttiH hareH kRzNamRga tvacA iva RaG_13.57Ac
   kṛtvā kṛtī valkalavān babhūva Ragh_18.26d	kRtvA kRtI valkalavAn baBUva Rau _18.26d
   kṛtvā dinānte nilayāya gantum Ragh_2.15b	kRtvA dina ante nilayAya gantum RaG_2.15b
   kṛtvā pratinidhiṃ śuciḥ Ragh_1.81b	kRtvA pratiniDim SuciH RaG_1.81b
   kṛtvā manuṣyavapur āruruhur gajendrān Ragh_13.74b	kRtvA manuzya vapuH AruruhuH gaja indrAn RaG_13.74b
   kṛtvā yuvānaṃ yuvarājam eva Ragh_18.18b	kRtvA yuvAnam yuvarAjam eva RaG_18.18b
   kṛtvā rathapuraḥsarān Ragh_4.66*b	kRtvA raTa puraHsarAn RaG_4.66*b
   kṛtvevopaniveśitā Ragh_15.29d	kRtvA iva upaniveSitAH Rau _15.29d
   kṛtvopabhogotsukayeva lakṣmyā Ragh_14.24d	kRtvA upaBoga utsukayA iva lakzmyA Rau _14.24d
   kṛtsnasya jagato hṛtam Ragh_17.33d	kRtsnasya jagataH hRtam RaG_17.33d
   kṛtsnasya nābhir nṛpamaṇḍalasya Ragh_18.20d	kRtsnasya nABiH nRpa maNxalasya Rau _18.20d
   kṛśāṅgayaṣṭiḥ parimeyabhūṣaṇā Ragh_3.2Bb	kRSa aFga yazwiH parimeya BUzaNA RaG_3.2Bb
   kṛśānur apadhūmatvāt Ragh_10.75a	kRSAnuH apaDUma tvAt RaG_10.75a
   kṛṣṇameghas tirodadhe Ragh_10.49d	kRzNa meGaH tirodaDe Rau _10.49d
   kṛṣyāṃ dahann api khalu kṣitim indhaneddho Ragh_9.80c	kRzyAm dahan api Kalu kzitim inDana idDaH Rau _9.80c
   kḷptapuṣpaśayanāṃl latāgṛhān Ragh_19.23a	k?pta puzpa SayanAn latA gRhAn RaG_19.23a
   kḷptāṅgarāgo haricandanena Ragh_6.60b	k?pta aFgarAgaH haricandanena RaG_6.60b
   kḷptena sopānapathena mañcam Ragh_6.3b	k?ptena sopAna paTena maQcam RaG_6.3b
   keyaṃ vane lakṣmaṇa lakṣmaṇeti Ragh_14.69*a	kA iyam vane lakzmaNa lakzmaNa iti RaG_14.69*a
   keyūrakoṭikṣatatāludeśā Ragh_7.50c	keyUra kowi kzata tAlu deSAH RaG_7.50c
   keyūrabandhocchavasitair nunoda Ragh_6.68d	keyUra banDa ucCavasitEH nunodaH Rau _6.68d
   kevalaṃ janmahetavaḥ Ragh_1.24d	kevalam janma hetavaH Rau _1.24d
   kevalaṃ smaraṇenaiva Ragh_10.30a	kevalam smaraNena eva RaG_10.30a
   kevalena caraṇena kalpitam Ragh_19.7d	kevalena caraNena kalpitam RaG_19.7d
   kevalo 'pi subhago navāmbudaḥ Ragh_11.80c	kevalaH api suBagaH nava ambudaH RaG_11.80c
   keśeṣu lebhe balam aṅganānām Ragh_16.50d	keSezu leBe balam aFganAnAm Rau _16.50d
   kaikeyi kāmāḥ phalitās taveti Ragh_13.59d	kEkeyi kAmAH PalitAH tava iti Rau _13.59d
   kaikeyītanayaḥ pituḥ Ragh_12.13b	kEkeyI tanayaH pituH RaG_12.13b
   kaikeyīśaṅkayevāha Ragh_12.2c	kEkeyI SaFkayA iva Aha RaG_12.2c
   kaikeyyās tanayo jajñe Ragh_10.71a	kEkeyyAH tanayaH jajQe RaG_10.71a
   kailāsagauraṃ vṛam ārurukṣoḥ Ragh_2.35a	kElAsa gOram vRam ArurukzoH RaG_2.35a
   kailāsanāthaṃ tarasā jigīṣuḥ Ragh_5.28d	kElAsa nATam tarasA jigIzuH Rau _5.28d
   kailāsanāthodvahanāya bhūyaḥ Ragh_14.20c	kElAsa nATa udvahanAya BUyas Rau _14.20c
   kokilāmañjubhāṣiṇīm Ragh_12.39b	kokilA maQju BAziNIm RaG_12.39b
   koṭīṣ catasro daśa cāhareti Ragh_5.21d	kowIH catasraH daSa ca AharA iti RaG_5.21d
   kopito hy asi mayā didṛkṣuṇā Ragh_11.85d	kopitaH hi asi mayA didRkzuNA Rau _11.85d
   komalātmanakharāgarūṣitam Ragh_19.8b	komala Atma naKa rAga rUzitam RaG_19.8b
   ko lambayed āharaṇāya hastam Ragh_6.75d	kaH lambayet AharaNAya hastam Rau _6.75d
   kośadaṇḍāv iva kṣitiḥ Ragh_15.13d	koSa daNxO iva kzitiH Rau _15.13d
   kośenāśrayaṇīyatvam Ragh_17.60a	koSena ASrayaNIya tvam RaG_17.60a
   kosalādhipataye purodhasam Ragh_11.49b	kosala aDipataye puroDasam RaG_11.49b
   kautsaḥ prapede varatantuśiṣyaḥ Ragh_5.1d	kOtsaH prapede vara tantu SizyaH Rau _5.1d
   kautsubhākhyam apāṃ sāraṃ Ragh_10.10c	kOtsuBa AKyam apAm sAram RaG_10.10c
   kaumudvateyaḥ kumudāvadātair Ragh_18.3c	kOmudvateyaH kumuda avadAtEH RaG_18.3c
   kaulīnabhītena gṛhān nirastā Ragh_14.84c	kOlIna BItena gRhAt nirastAH RaG_14.84c
   kaulīnam ātmāśrayam ācacakṣe Ragh_14.36c	kOlInam Atma ASrayam Acacakze RaG_14.36c
   kauśikasya padavīm anudrutau Ragh_11.6*b	kOSikasya padavIm anudrutO RaG_11.6*b
   kauśikād viditaśāpayā pathi Ragh_11.14b	kOSikAt vidita SApayA paTi RaG_11.14b
   kauśikena sa kila kṣitīśvaro Ragh_11.1a	kOSikena sa kila kzitISvaraH RaG_11.1a
   kausalya ity uttarakosalānāṃ Ragh_18.27a	kOsalyaH iti uttara kosalAnAm RaG_18.27a
   kausalya ity uttarakosalānāṃ Ragh_18.28a	kOsalyaH iti uttara kosalAnAm RaG_18.28a
   kaustubheneva kaiśavam Ragh_17.29d	kOstuBena iva kESavam Rau _17.29d
   kratuṣu tena visarjitamaulinā Ragh_9.16a	kratuzu tena visarjita mOlinAH RaG_9.16a
   krator aśeṣeṇa phalena yujyatām Ragh_3.65d	kratoH aSezeNa Palena yujyatAm Rau _3.65d
   krathakaiśikavaṃśasaṃbhavā Ragh_8.82a	kraTa kESika vaMSa saMBavAH RaG_8.82a
   kramamāṇaś cakāra dyāṃ Ragh_17.32c	kramamANaH cakAra dyAm RaG_17.32c
   kramāc catasraś caturarṇavopamāḥ Ragh_3.30b	kramAt catasraH catur arNava upamAH RaG_3.30b
   krameṇa nistīrya ca dohadavyathāṃ Ragh_3.7a	krameNa nistIrya ca dohada vyaTAm RaG_3.7a
   krameṇa suptām anu saṃviveśa Ragh_2.24c	krameNa suptAm anu saMviveSaH RaG_2.24c
   kravyādgaṇaparīvāraś Ragh_15.16c	kravyAd gaNa parIvAraH RaG_15.16c
   krāntā yathā cetasi vismayena Ragh_14.17d	krAntA yaTA cetasi vismayena Rau _14.17d
   krāntvā merur ivātmanā Ragh_1.14d	krAntvA meruH iva AtmanA Rau _1.14d
   kriyānimitteṣv api vatsalatvād Ragh_5.7a	kriyA nimittezu api vatsala tvAt RaG_5.7a
   kriyāprabandhād ayam adhvarāṇām Ragh_6.23a	kriyA prabanDAt ayam aDvarANAm RaG_6.23a
   kriyāvighātāya kathaṃ pravartase Ragh_3.44d	kriyA viGAtAya kaTam pravartase Rau _3.44d
   kriyāsamāpattivartitāni Ragh_7.23b	kriyA samApatti vartitAni RaG_7.23b
   krīḍāpatatriṇo 'py asya Ragh_17.20a	krIxA patatriNaH api asya RaG_17.20a
   krodhabhinnavalayair vivartanaiḥ Ragh_19.22d	kroDa Binna valayEH vivartanEH Rau _19.22d
   krośārdhaṃ prakṛtipuraḥsareṇa gatvā Ragh_13.79a	kroSa arDam prakRti puraHsareNa gatvA RaG_13.79a
   klāntaṃ rajodhūsaraketu sainyam Ragh_5.42d	klAntam rajaH DUsaraketu sEnyam Rau _5.42d
   kliśyanta udyānalatā madīyāḥ Ragh_16.19d	kliSyantaH udyAna latAH madIyAH Rau _16.19d
   kliśyann ivāsya bhujamadhyam uraḥsthalena Ragh_13.73d	kliSyan iva asya Buja maDyam uraH sTalena RaG_13.73d
   kleśad apakrāmati śaṅkhayūtham Ragh_13.13d	kleSat apakrAmati SaFKa yUTam Rau _13.13d
   kleśāvahā bhartur alakṣaṇāhaṃ Ragh_14.5a	kleSa AvahAH BartuH alakzaNa aham RaG_14.5a
   kleśena mahatā nidrāṃ Ragh_12.79Aa	kleSena mahatA nidrAm RaG_12.79Aa
   kleśottaraṃ rāgavaśāt plavante Ragh_16.60d	kleSa uttaram rAga vaSAt plavante Rau _16.60d
   kva cālpaviṣayā matiḥ Ragh_1.2b	kva ca alpa vizayA matiH RaG_1.2b
   kvacic ca kṛṣṇoragabhūṣaṇeva Ragh_13.57a	kvacid ca kRzNa uraga BUzaNA iva RaG_13.57a
   kvacit khagānāṃ priyamānasānāṃ Ragh_13.55a	kvacid KagAnAm priya mAnasAnAm RaG_13.55a
   kvacit pathā saṃcarate surāṇāṃ Ragh_13.19a	kvacid paTA saMcarate surANAm RaG_13.19a
   kvacit prabhā cāndramasī tamobhiś Ragh_13.54a	kvacid praBA cAndramasI tamoBiH RaG_13.54a
   kvacit prabhā cāndramasī tamobhiś Ragh_13.56a	kvacid praBA cAndramasI tamoBiH RaG_13.56a
   kvacid asametaparicchadas triyāmām Ragh_9.70d	kvacid asameta paricCadaH triyAmAm Rau _9.70d
   kvacid ākarṇavikṛṣṭabhallavarṣī Ragh_9.66b	kvacid AkarNa vikRzwa Balla varzI RaG_9.66b
   kvacid unnamitānanau Ragh_1.41d	kvacid unnamita AnanO RaG_1.41d
   kvacid ghanānāṃ patatāṃ kvacic ca Ragh_13.19b	kvacid GanAnAm patatAm kvacid ca RaG_13.19b
