   BhP_03.01.001/0 śrī-śuka uvāca	BhP_03.01.001/0 SrI-SukaH uvAca
   BhP_03.11.025/1 eṣa dainan-dinaḥ sargo brāhmas trailokya-vartanaḥ	Bhu-_03.11.025/1 eza dEnan-dinaH sargaH brAhmaH trElokya-vartanaH
   BhP_03.11.025/2 tiryaṅ-nṛ-pitṛ-devānāṃ sambhavo yatra karmabhiḥ	Bhu-_03.11.025/2 tiryaF--nR--pitR-devAnAm samBavaH yatra karmaBiH
   BhP_03.11.026/1 manvantareṣu bhagavān bibhrat sattvaṃ sva-mūrtibhiḥ	Bhu-_03.11.026/1 manvantarezu BagavAn biBrat sattvam sva-mUrtiBiH
   BhP_03.11.026/2 manv-ādibhir idaṃ viśvam avaty udita-pauruṣaḥ	Bhu-_03.11.026/2 manv-AdiBiH idam viSvam avati udita-pOruzaH
   BhP_03.11.027/1 tamo-mātrām upādāya pratisaṃruddha-vikramaḥ	Bhu-_03.11.027/1 tamaH---mAtrAm upAdAya pratisaMrudDa--vikramaH
   BhP_03.11.027/2 kālenānugatāśeṣa āste tūṣṇīṃ dinātyaye	BhP-_03.11.027/2 kAlena-anugata-aSezaH Aste tUzNIm dina-atyaye
   BhP_03.11.028/1 tam evānv api dhīyante lokā bhūr-ādayas trayaḥ	Bhu-_03.11.028/1 tam eva-anu api DIyante lokAH BUH--a-AdayaH trayaH
   BhP_03.11.028/2 niśāyām anuvṛttāyāṃ nirmukta-śaśi-bhāskaram	Bhu-_03.11.028/2 niSAyAm anuvRttAyAm nirmukta-SaSi--BAskaram
   BhP_03.11.029/1 tri-lokyāṃ dahyamānāyāṃ śaktyā saṅkarṣaṇāgninā	Bhu-_03.11.029/1 tri-lokyAm dahyamAnAyAm SaktyA saFkarzaNa-agninA
   BhP_03.11.029/2 yānty ūṣmaṇā maharlokāj janaṃ bhṛgv-ādayo 'rditāḥ	Bhu-_03.11.029/2 yAnti UzmaNA mahar-lokAt janam BRgu--AdayaH arditAH
   BhP_03.11.030/1 tāvat tri-bhuvanaṃ sadyaḥ kalpāntaidhita-sindhavaḥ	Bhu-_03.11.030/1 tAvat tri-Buvanam sadyas kalpa-anta-eDita--sinDavaH
   BhP_03.11.030/2 plāvayanty utkaṭāṭopa- caṇḍa-vāteritormayaḥ	Bhu-_03.11.030/2 plAvayanti utkawa-Awopa caNxa-vAta-Irita-UrmayaH
   BhP_03.11.031/1 antaḥ sa tasmin salila āste 'nantāsano hariḥ	Bhu-_03.11.031/1 antar sa tasmin salile Aste ananta-AsanaH hariH
   BhP_03.11.031/2 yoga-nidrā-nimīlākṣaḥ stūyamāno janālayaiḥ	Bhu-_03.11.031/2 yoga-nidrA--nimIlAkzaH stUyamAnaH jana-AlayEH
   BhP_03.11.032/1 evaṃ-vidhair aho-rātraiḥ kāla-gatyopalakṣitaiḥ	Bhu-_03.11.032/1 evaM-viDEH aho-rAtrEH kAla-gatya-upalakzitEH
   BhP_03.11.032/2 apakṣitam ivāsyāpi paramāyur vayaḥ-śatam	Bhu-_03.11.032/2 apakzitam iva-asya-api parama-AyuH vayaH-Satam
   BhP_03.11.033/1 yad ardham āyuṣas tasya parārdham abhidhīyate	Bhu-_03.11.033/1 yat arDam AyuzaH tasya parArDam aBiDIyate
   BhP_03.11.033/2 pūrvaḥ parārdho 'pakrānto hy aparo 'dya pravartate	Bhu-_03.11.033/2 pUrvaH parArDaH apakrAntaH hi aparaH adya pravartate
   BhP_03.11.034/1 pūrvasyādau parārdhasya brāhmo nāma mahān abhūt	Bhu-_03.11.034/1 pUrvasya-AdO parArDasya brAhmaH nAma mahAn aBUt-
   BhP_03.11.034/2 kalpo yatrābhavad brahmā śabda-brahmeti yaṃ viduḥ	Bhu-_03.11.034/2 kalpaH yatra-aBavat brahmA Sabda--brahma-iti yam viduH
   BhP_03.11.035/1 tasyaiva cānte kalpo 'bhūd yaṃ pādmam abhicakṣate	Bhu-_03.11.035/1 tasya-eva ca-ante kalpaH aBUt yam pAdmam aBicakzate
   BhP_03.11.035/2 yad dharer nābhi-sarasa āsīl loka-saroruham	Bhu-_03.11.035/2 yat DareH nABi-sarasaH AsIt loka--saroruham
   BhP_03.11.036/1 ayaṃ tu kathitaḥ kalpo dvitīyasyāpi bhārata	Bhu-_03.11.036/1 ayam tu kaTitaH kalpaH dvitIyasya-api BArata
   BhP_03.11.036/2 vārāha iti vikhyāto yatrāsīc chūkaro hariḥ	Bhu-_03.11.036/2 vArAhaH iti viKyAtaH yatra-AsIt SUkaraH hariH
   BhP_03.11.037/1 kālo 'yaṃ dvi-parārdhākhyo nimeṣa upacaryate	BhP_03.11.037/1 kAlaH ayam dvi-parArDa-AKyaH nimezaH upacaryate
   BhP_03.11.037/2 avyākṛtasyānantasya hy anāder jagad-ātmanaḥ	Bhu-_03.11.037/2 avyAkRtasya-anantasya hi anAdeH jagad-AtmanaH
   BhP_03.11.038/1 kālo 'yaṃ paramāṇv-ādir dvi-parārdhānta īśvaraḥ	BhP_03.11.038/1 kAlaH ayam paramANu--AdiH dvi-para-arDa-antaH ISvaraH
   BhP_03.11.038/2 naiveśituṃ prabhur bhūmna īśvaro dhāma-māninām	Bhu-_03.11.038/2 nEva-ISitum praBuH BUmnaH ISvaraH DAma--mAninAm
   BhP_03.11.039/1 vikāraiḥ sahito yuktair viśeṣādibhir āvṛtaḥ	BhP_03.11.039/1 vikArEH sahitaH yuktEH viSeza-AdiBiH AvRtaH
   BhP_03.11.039/2 āṇḍakośo bahir ayaṃ pañcāśat-koṭi-vistṛtaḥ	Bhu-_03.11.039/2 ANxakoSaH bahis ayam paQcASat--kowi--vistRtaH
   BhP_03.11.040/1 daśottarādhikair yatra praviṣṭaḥ paramāṇuvat	Bhu-_03.11.040/1 daSa-uttara-aDikEH yatra pravizwaH paramANu-vat-
   BhP_03.11.040/2 lakṣyate 'ntar-gatāś cānye koṭiśo hy aṇḍa-rāśayaḥ	Bhu-_03.11.040/2 lakzyate antar--gatAH ca-anye kowiSas hi aNxa-rASayaH
   BhP_03.11.041/1 tad āhur akṣaraṃ brahma sarva-kāraṇa-kāraṇam	Bhu-_03.11.041/1 tat AhuH akzaram brahma sarva-kAraNa--kAraNam
   BhP_03.11.041/2 viṣṇor dhāma paraṃ sākṣāt puruṣasya mahātmanaḥ	Bhu-_03.11.041/2 vizNoH DAma param sAkzAt puruzasya mahAtmanaH
   BhP_03.12.001/0 maitreya uvāca	Bhu-_03.12.001/0 mEtreyaH uvAca
   BhP_03.12.001/1 iti te varṇitaḥ kṣattaḥ kālākhyaḥ paramātmanaḥ	BhP_03.12.001/1 iti te varNitaH kzattar kAla-AKyaH paramAtmanaH
   BhP_03.12.001/2 mahimā veda-garbho 'tha yathāsrākṣīn nibodha me	Bhu-_03.12.001/2 mahimA veda--garBaH aTa yaTA-asrAkzIt niboDa me
   BhP_03.12.002/1 sasarjāgre 'ndha-tāmisram atha tāmisram ādi-kṛt	Bhu-_03.12.002/1 sasarja-agre anDa-tAmisram aTa tAmisram Adi-kRt-
   BhP_03.12.002/2 mahāmohaṃ ca mohaṃ ca tamaś cājñāna-vṛttayaḥ	Bhu-_03.12.002/2 mahA-moham ca moham ca tamaH ca-ajQAna--vRttayaH
   BhP_03.12.003/1 dṛṣṭvā pāpīyasīṃ sṛṣṭiṃ nātmānaṃ bahv amanyata	Bhu-_03.12.003/1 dRzwvA pApIyasIm sRzwim na-AtmAnam bahu amanyata
   BhP_03.12.003/2 bhagavad-dhyāna-pūtena manasānyāṃ tato 'sṛjat	Bhu-_03.12.003/2 Bagavat--DyAna--pUtena manasA-anyAm tatas asRjat-
   BhP_03.12.004/1 sanakaṃ ca sanandaṃ ca sanātanam athātmabhūḥ	BhP_03.12.004/1 sanakam ca sanandam ca sanAtanam aTa-AtmaBUH
   BhP_03.12.004/2 sanat-kumāraṃ ca munīn niṣkriyān ūrdhva-retasaḥ	Bhu-_03.12.004/2 sanat-kumAram ca munIn nizkriyAn UrDva-retasaH
   BhP_03.12.005/1 tān babhāṣe svabhūḥ putrān prajāḥ sṛjata putrakāḥ	Bhu-_03.12.005/1 tAn baBAze svaBUH putrAn prajAH sRjata putrakAH
   BhP_03.12.005/2 tan naicchan mokṣa-dharmāṇo vāsudeva-parāyaṇāḥ	Bhu-_03.12.005/2 tat na-EcCat mokza-DarmANaH vAsudeva--parAyaNAH
   BhP_03.12.006/1 so 'vadhyātaḥ sutair evaṃ pratyākhyātānuśāsanaiḥ	Bhu-_03.12.006/1 saH avaDyAtaH sutEH evam pratyAKyAta-anuSAsanEH
   BhP_03.12.006/2 krodhaṃ durviṣahaṃ jātaṃ niyantum upacakrame	Bhu-_03.12.006/2 kroDam durvizaham jAtam niyantum upacakrame
   BhP_03.12.007/1 dhiyā nigṛhyamāṇo 'pi bhruvor madhyāt prajāpateḥ	Bhu-_03.12.007/1 DiyA nigRhyamANaH api BruvoH maDyAt prajApateH
   BhP_03.12.007/2 sadyo 'jāyata tan-manyuḥ kumāro nīla-lohitaḥ	Bhu-_03.12.007/2 sadyas ajAyata tan-manyuH kumAraH nIla-lohitaH
   BhP_03.12.008/1 sa vai ruroda devānāṃ pūrvajo bhagavān bhavaḥ	Bhu-_03.12.008/1 sa vE ruroda devAnAm pUrvajaH BagavAn BavaH
   BhP_03.12.008/2 nāmāni kuru me dhātaḥ sthānāni ca jagad-guro	Bha-a_03.12.008/2 nAmAni kuru me DAtar sTAnAni ca jagad-guro
   BhP_03.12.009/1 iti tasya vacaḥ pādmo bhagavān paripālayan	BhP_03.12.009/1 iti tasya vacaH pAdmaH BagavAn paripAlayan
   BhP_03.12.009/2 abhyadhād bhadrayā vācā mā rodīs tat karomi te	Bhu-_03.12.009/2 aByaDAt BadrayA vAcA mA rodIH tat karomi te
   BhP_03.12.010/1 yad arodīḥ sura-śreṣṭha sodvega iva bālakaḥ	Bhu-_03.12.010/1 yat arodIH sura--SrezWa sa-udvegaH iva bAlakaH
   BhP_03.12.010/2 tatas tvām abhidhāsyanti nāmnā rudra iti prajāḥ	Bhu-_03.12.010/2 tatas tvAm aBiDAsyanti nAmnA rudraH iti prajAH
   BhP_03.12.011/1 hṛd indriyāṇy asur vyoma vāyur agnir jalaṃ mahī	Bhu-_03.12.011/1 hRd indriyANi asuH vyoma vAyuH agniH jalam mahI
   BhP_03.12.011/2 sūryaś candras tapaś caiva sthānāny agre kṛtāni te	BhP_03.12.011/2 sUryaH candraH tapaH ca-eva sTAnAni agre kRtAni te
   BhP_03.12.012/1 manyur manur mahinaso mahāñ chiva ṛtadhvajaḥ	Bhu-_03.12.012/1 manyuH manuH mahinasaH mahAn CivaH RtaDvajaH
   BhP_03.12.012/2 ugraretā bhavaḥ kālo vāmadevo dhṛtavrataḥ	Bhu-_03.12.012/2 ugra-retAH BavaH kAlaH vAmadevaH DRta-vrataH
   BhP_03.12.013/1 dhīr dhṛti-rasalomā ca niyut sarpir ilāmbikā	BhP_03.12.013/1 DIH DRti-rasa-lomA ca niyut sarpiH ilA-ambikA
   BhP_03.12.013/2 irāvatī svadhā dīkṣā rudrāṇyo rudra te striyaḥ	Bha-a_03.12.013/2 irAvatI svaDA dIkzA rudrANyaH rudra te striyaH
   BhP_03.12.014/1 gṛhāṇaitāni nāmāni sthānāni ca sa-yoṣaṇaḥ	Bhu-_03.12.014/1 gRhANa-etAni nAmAni sTAnAni ca sa-yozaNaH
   BhP_03.12.014/2 ebhiḥ sṛja prajā bahvīḥ prajānām asi yat patiḥ	Bhu-_03.12.014/2 eBiH sRja prajAH bahvIH prajAnAm asi yat patiH
   BhP_03.12.015/1 ity ādiṣṭaḥ sva-guruṇā bhagavān nīla-lohitaḥ	Bhu-_03.12.015/1 iti AdizwaH sva--guruNA BagavAn nIla-lohitaH
   BhP_03.12.015/2 sattvākṛti-svabhāvena sasarjātma-samāḥ prajāḥ	Bhu-_03.12.015/2 sattva-AkRti--svaBAvena sasarja-Atma--samAH prajAH
   BhP_03.12.016/1 rudrāṇāṃ rudra-sṛṣṭānāṃ samantād grasatāṃ jagat	Bhu-_03.12.016/1 rudrANAm rudra--sRzwAnAm samantAt grasatAm jagat-
   BhP_03.12.016/2 niśāmyāsaṅkhyaśo yūthān prajāpatir aśaṅkata	Bhu-_03.12.016/2 niSAmya-asaFKyaSaH yUTAn prajApatiH aSaFkata
   BhP_03.12.017/1 alaṃ prajābhiḥ sṛṣṭābhir īdṛśībhiḥ surottama	Bhu-_03.12.017/1 alam prajABiH sRzwABiH IdRSIBiH sura-uttama
   BhP_03.12.017/2 mayā saha dahantībhir diśaś cakṣurbhir ulbaṇaiḥ	Bhu-_03.12.017/2 mayA saha dahantIBiH diSaH cakzurBiH ulbaNEH
   BhP_03.12.018/1 tapa ātiṣṭha bhadraṃ te sarva-bhūta-sukhāvaham	Bhu-_03.12.018/1 tapaH AtizWa Badram te sarva-BUta--suKa-Avaham
   BhP_03.12.018/2 tapasaiva yathā pūrvaṃ sraṣṭā viśvam idaṃ bhavān	Bhu-_03.12.018/2 tapasA-eva yaTA pUrvam srazwA viSvam idam BavAn
   BhP_03.12.019/1 tapasaiva paraṃ jyotir bhagavantam adhokṣajam	Bhu-_03.12.019/1 tapasA-eva param jyotiH Bagavantam aDokzajam
   BhP_03.12.019/2 sarva-bhūta-guhāvāsam añjasā vindate pumān	Bhu-_03.12.019/2 sarva-BUta--guhA-vAsam aQjasA vindate pumAn
   BhP_03.12.020/0 maitreya uvāca	Bhu-_03.12.020/0 mEtreyaH uvAca
   BhP_03.12.020/1 evam ātmabhuvādiṣṭaḥ parikramya girāṃ patim	Bhu-_03.12.020/1 evam AtmaBuvAdizwaH parikramya girAm patim
   BhP_03.12.020/2 bāḍham ity amum āmantrya viveśa tapase vanam	Bhu-_03.12.020/2 bAXam iti amum Amantrya viveSa tapase vanam
   BhP_03.12.021/1 athābhidhyāyataḥ sargaṃ daśa putrāḥ prajajñire	Bhu-_03.12.021/1 aTa-aBiDyAyataH sargam daSa putrAH prajajQire
   BhP_03.12.021/2 bhagavac-chakti-yuktasya loka-santāna-hetavaḥ	BhP_03.12.021/2 Bagavac--Sakti-yuktasya loka--santAna--hetavaH
   BhP_03.12.022/1 marīcir atry-aṅgirasau pulastyaḥ pulahaḥ kratuḥ	BhP_03.12.022/1 marIciH atri--aFgirasO pulastyaH pulahaH kratuH
   BhP_03.12.022/2 bhṛgur vasiṣṭho dakṣaś ca daśamas tatra nāradaḥ	BhP_03.12.022/2 BRguH vasizWaH dakzaH ca daSamaH tatra nAradaH
   BhP_03.12.023/1 utsaṅgān nārado jajñe dakṣo 'ṅguṣṭhāt svayambhuvaḥ	Bhu-_03.12.023/1 utsaFgAt nAradaH jajQe dakzaH aFguzWAt svayamBuvaH
   BhP_03.12.023/2 prāṇād vasiṣṭhaḥ sañjāto bhṛgus tvaci karāt kratuḥ	BhP_03.12.023/2 prANAt vasizWaH san-jAtaH BRguH tvaci karAt kratuH
   BhP_03.12.024/1 pulaho nābhito jajñe pulastyaḥ karṇayor ṛṣiḥ	Bhu-_03.12.024/1 pulahaH nABitaH jajQe pulastyaH karNayoH RziH
   BhP_03.12.024/2 aṅgirā mukhato 'kṣṇo 'trir marīcir manaso 'bhavat	BhP_03.12.024/2 aFgirAH muKataH akzNaH atriH marIciH manasaH aBavat-
   BhP_03.12.025/1 dharmaḥ stanād dakṣiṇato yatra nārāyaṇaḥ svayam	Bhu-_03.12.025/1 DarmaH stanAt dakziNatas yatra nArAyaNaH svayam
   BhP_03.12.025/2 adharmaḥ pṛṣṭhato yasmān mṛtyur loka-bhayaṅkaraḥ	Bhu-_03.12.025/2 aDarmaH pRzWatas yasmAt mRtyuH loka--BayaFkaraH
   BhP_03.12.026/1 hṛdi kāmo bhruvaḥ krodho lobhaś cādhara-dacchadāt	Bhu-_03.12.026/1 hRdi kAmaH BruvaH kroDaH loBaH ca-aDara-dacCadAt
   BhP_03.12.026/2 āsyād vāk sindhavo meḍhrān nirṛtiḥ pāyor aghāśrayaḥ	Bhu-_03.12.026/2 AsyAt vAc sinDavaH meXrAt nirRtiH pAyoH aGa-ASrayaH
   BhP_03.12.027/1 chāyāyāḥ kardamo jajñe devahūtyāḥ patiḥ prabhuḥ	Bhu-_03.12.027/1 CAyAyAH kardamaH jajQe devahUtyAH patiH praBuH
   BhP_03.12.027/2 manaso dehataś cedaṃ jajñe viśva-kṛto jagat	Bhu-_03.12.027/2 manasaH dehataH ca-idam jajQe viSva-kRtaH jagat-
   BhP_03.12.028/1 vācaṃ duhitaraṃ tanvīṃ svayambhūr haratīṃ manaḥ	Bhu-_03.12.028/1 vAcam duhitaram tanvIm svayamBUH haratIm manaH
   BhP_03.12.028/2 akāmāṃ cakame kṣattaḥ sa-kāma iti naḥ śrutam	Bhu-_03.12.028/2 akAmAm cakame kzattar sa-kAmaH iti naH Srutam
   BhP_03.12.029/1 tam adharme kṛta-matiṃ vilokya pitaraṃ sutāḥ	Bhu-_03.12.029/1 tam aDarme kRta-matim vilokya pitaram sutAH
   BhP_03.12.029/2 marīci-mukhyā munayo viśrambhāt pratyabodhayan	Bhu-_03.12.029/2 marIci--muKyAH munayaH viSramBAt pratyaboDayan
   BhP_03.12.030/1 naitat pūrvaiḥ kṛtaṃ tvad ye na kariṣyanti cāpare	Bhu-_03.12.030/1 na-etat pUrvEH kRtam tvat ye na karizyanti ca-apare
   BhP_03.12.030/2 yas tvaṃ duhitaraṃ gaccher anigṛhyāṅgajaṃ prabhuḥ	Bhu-_03.12.030/2 yaH tvam duhitaram gacCeH anigRhya-aFga-jam praBuH
   BhP_03.12.031/1 tejīyasām api hy etan na suślokyaṃ jagad-guro	Bhu-_03.12.031/1 tejIyasAm api hi etat na suSlokyam jagat--guro
   BhP_03.12.031/2 yad-vṛttam anutiṣṭhan vai lokaḥ kṣemāya kalpate	Bhu-_03.12.031/2 yad-vRttam anutizWan vE lokaH kzemAya kalpate
   BhP_03.12.032/1 tasmai namo bhagavate ya idaṃ svena rociṣā	Bhu-_03.12.032/1 tasmE namaH Bagavate yaH idam svena rocizA
   BhP_03.12.032/2 ātma-sthaṃ vyañjayām āsa sa dharmaṃ pātum arhati	Bhu-_03.12.032/2 Atma--sTam vyaQjayAm Asa sa Darmam pAtum arhati
   BhP_03.12.033/1 sa itthaṃ gṛṇataḥ putrān puro dṛṣṭvā prajāpatīn	Bhu-_03.12.033/1 saH itTam gRNataH putrAn puras dRzwvA prajApatIn
   BhP_03.12.033/2 prajāpati-patis tanvaṃ tatyāja vrīḍitas tadā	Bhu-_03.12.033/2 prajApati-patiH tanvam tatyAja vrIxitaH tadA
   BhP_03.12.033/3 tāṃ diśo jagṛhur ghorāṃ nīhāraṃ yad vidus tamaḥ	Bhu-_03.12.033/3 tAm diSaH jagRhuH GorAm nIhAram yat viduH tamaH
   BhP_03.12.034/1 kadācid dhyāyataḥ sraṣṭur vedā āsaṃś catur-mukhāt	Bhu-_03.12.034/1 kadAcid DyAyataH srazwuH vedAH Asan catur-muKAt-
   BhP_03.12.034/2 kathaṃ srakṣyāmy ahaṃ lokān samavetān yathā purā	Bhu-_03.12.034/2 kaTam srakzyAmi aham lokAn samavetAn yaTA purA
   BhP_03.12.035/1 cātur-hotraṃ karma-tantram upaveda-nayaiḥ saha	Bhu-_03.12.035/1 cAtur-hotram karma-tantram upaveda-nayEH saha
   BhP_03.12.035/2 dharmasya pādāś catvāras tathaivāśrama-vṛttayaḥ	Bhu-_03.12.035/2 Darmasya pAdAH catvAraH taTA-eva-ASrama-vRttayaH
   BhP_03.12.036/0 vidura uvāca	Bhu-_03.12.036/0 viduraH uvAca
   BhP_03.12.036/1 sa vai viśva-sṛjām īśo vedādīn mukhato 'sṛjat	Bhu-_03.12.036/1 sa vE viSva-sRjAm ISaH veda-AdIn muKataH asRjat-
   BhP_03.12.036/2 yad yad yenāsṛjad devas tan me brūhi tapo-dhana	Bhu-_03.12.036/2 yat yat yena-asRjat devaH tat me brUhi tapo-Dana
   BhP_03.12.037/0 maitreya uvāca	Bhu-_03.12.037/0 mEtreyaH uvAca
   BhP_03.12.037/1 ṛg-yajuḥ-sāmātharvākhyān vedān pūrvādibhir mukhaiḥ	Bhu-_03.12.037/1 Rc--yajuH--sAma-aTarva-AKyAn vedAn pUrva-AdiBiH muKEH
   BhP_03.12.037/2 śāstram ijyāṃ stuti-stomaṃ prāyaścittaṃ vyadhāt kramāt	Bhu-_03.12.037/2 SAstram ijyAm stuti--stomam prAyaScittam vyaDAt kramAt-
   BhP_03.12.038/1 āyur-vedaṃ dhanur-vedaṃ gāndharvaṃ vedam ātmanaḥ	Bhu-_03.12.038/1 AyuH--vedam DanuH--vedam gAnDarvam vedam AtmanaH
   BhP_03.12.038/2 sthāpatyaṃ cāsṛjad vedaṃ kramāt pūrvādibhir mukhaiḥ	Bhu-_03.12.038/2 sTApatyam ca-asRjat vedam kramAt pUrva-AdiBiH muKEH
   BhP_03.12.039/1 itihāsa-purāṇāni pañcamaṃ vedam īśvaraḥ	Bhu-_03.12.039/1 itihAsa-purANAni paQcamam vedam ISvaraH
   BhP_03.12.039/2 sarvebhya eva vaktrebhyaḥ sasṛje sarva-darśanaḥ	Bhu-_03.12.039/2 sarveByaH eva vaktreByaH sasRje sarva--darSanaH
   BhP_03.12.040/1 ṣoḍaśy-ukthau pūrva-vaktrāt purīṣy-agniṣṭutāv atha	Bhu-_03.12.040/1 zoxaSI--ukTO pUrva-vaktrAt purIzy-agnizwutO aTa
   BhP_03.12.040/2 āptoryāmātirātrau ca vājapeyaṃ sagosavam	Bhu-_03.12.040/2 AptoryAma-atirAtrO ca vAjapeyam sa-gosavam
   BhP_03.12.041/1 vidyā dānaṃ tapaḥ satyaṃ dharmasyeti padāni ca	Bhu-_03.12.041/1 vidyA dAnam tapaH satyam Darmasya-iti padAni ca
   BhP_03.12.041/2 āśramāṃś ca yathā-saṅkhyam asṛjat saha vṛttibhiḥ	Bhu-_03.12.041/2 ASramAn ca yaTA-saFKyam asRjat saha vRttiBiH
   BhP_03.12.042/1 sāvitraṃ prājāpatyaṃ ca brāhmaṃ cātha bṛhat tathā	Bhu-_03.12.042/1 sAvitram prAjApatyam ca brAhmam ca-aTa bRhat taTA
   BhP_03.12.042/2 vārtā sañcaya-śālīna- śiloñcha iti vai gṛhe	Bhu-_03.12.042/2 vArtA saQcaya-SAlIna SiloQCaH iti vE gRhe
   BhP_03.12.043/1 vaikhānasā vālakhilyau- dumbarāḥ phenapā vane	Bhu-_03.12.043/1 vEKAnasAH vAlaKilyO dumbarAH PenapAH vane
   BhP_03.12.043/2 nyāse kuṭīcakaḥ pūrvaṃ bahvodo haṃsa-niṣkriyau	Bhu-_03.12.043/2 nyAse kuwIcakaH pUrvam bahvodaH haMsa-nizkriyO
   BhP_03.12.044/1 ānvīkṣikī trayī vārtā daṇḍa-nītis tathaiva ca	Bha-a_03.12.044/1 AnvIkzikI trayI vArtA daNxa-nItiH taTA-eva ca
   BhP_03.12.044/2 evaṃ vyāhṛtayaś cāsan praṇavo hy asya dahrataḥ	Bhu-_03.12.044/2 evam vyAhRtayaH ca-Asan praNavaH hi asya dahrataH
   BhP_03.12.045/1 tasyoṣṇig āsīl lomabhyo gāyatrī ca tvaco vibhoḥ	Bhu-_03.12.045/1 tasya-uzNih AsIt lomaByaH gAyatrI ca tvacaH viBoH
   BhP_03.12.045/2 triṣṭum māṃsāt snuto 'nuṣṭub jagaty asthnaḥ prajāpateḥ	Bhu-_03.12.045/2 trizwuB mAMsAt snutaH anuzwuB jagati asTnaH prajApateH
   BhP_03.12.046/1 majjāyāḥ paṅktir utpannā bṛhatī prāṇato 'bhavat	Bhu-_03.12.046/1 majjAyAH paFktiH utpannA bRhatI prANataH aBavat-
   BhP_03.12.046/2 sparśas tasyābhavaj jīvaḥ svaro deha udāhṛta	BhP_03.12.046/2 sparSaH tasya-aBavat jIvaH svaraH dehaH udAhRta
   BhP_03.12.047/1 ūṣmāṇam indriyāṇy āhur antaḥ-sthā balam ātmanaḥ	Bhu-_03.12.047/1 UzmANam indriyANi AhuH antaH-sTAH balam AtmanaH
   BhP_03.12.047/2 svarāḥ sapta vihāreṇa bhavanti sma prajāpateḥ	Bhu-_03.12.047/2 svarAH sapta vihAreNa Bavanti sma prajApateH
   BhP_03.12.048/1 śabda-brahmātmanas tasya vyaktāvyaktātmanaḥ paraḥ	Bhu-_03.12.048/1 Sabda-brahma-AtmanaH tasya vyakta-avyakta-AtmanaH paraH
   BhP_03.12.048/2 brahmāvabhāti vitato nānā-śakty-upabṛṃhitaḥ	Bhu-_03.12.048/2 brahma-avaBAti vitataH nAnA-Sakti--upabRMhitaH
   BhP_03.12.049/1 tato 'parām upādāya sa sargāya mano dadhe	Bhu-_03.12.049/1 tatas aparAm upAdAya sa sargAya manaH daDe
   BhP_03.12.049/2 ṛṣīṇāṃ bhūri-vīryāṇām api sargam avistṛtam	Bhu-_03.12.049/2 RzINAm BUri-vIryANAm api sargam avistRtam
   BhP_03.12.050/1 jñātvā tad dhṛdaye bhūyaś cintayām āsa kaurava	Bhu-_03.12.050/1 jQAtvA tat DRdaye BUyas cintayAm Asa kOrava
   BhP_03.12.050/2 aho adbhutam etan me vyāpṛtasyāpi nityadā	Bhu-_03.12.050/2 aho adButam etat me vyApRtasya-api nityadA
   BhP_03.12.051/1 na hy edhante prajā nūnaṃ daivam atra vighātakam	Bhu-_03.12.051/1 na hi eDante prajAH nUnam dEvam atra viGAtakam
   BhP_03.12.051/2 evaṃ yukta-kṛtas tasya daivaṃ cāvekṣatas tadā	Bhu-_03.12.051/2 evam yukta-kRtaH tasya dEvam ca-avekzataH tadA
   BhP_03.12.052/1 kasya rūpam abhūd dvedhā yat kāyam abhicakṣate	Bhu-_03.12.052/1 kasya rUpam aBUt dveDA yat kAyam aBicakzate
   BhP_03.12.052/2 tābhyāṃ rūpa-vibhāgābhyāṃ mithunaṃ samapadyata	Bhu-_03.12.052/2 tAByAm rUpa--viBAgAByAm miTunam samapadyata
   BhP_03.12.053/1 yas tu tatra pumān so 'bhūn manuḥ svāyambhuvaḥ svarāṭ	Bhu-_03.12.053/1 yaH tu tatra pumAn saH aBUt manuH svAyamBuvaH svarAj-
   BhP_03.12.053/2 strī yāsīc chatarūpākhyā mahiṣy asya mahātmanaḥ	Bhu-_03.12.053/2 strI yA-AsIt Sata-rUpa-AKyA mahizI asya mahAtmanaH
   BhP_03.12.054/1 tadā mithuna-dharmeṇa prajā hy edhām babhūvire	Bhu-_03.12.054/1 tadA miTuna-DarmeNa prajAH hi eDAm baBUvire
   BhP_03.12.054/2 sa cāpi śatarūpāyāṃ pañcāpatyāny ajījanat	BhP_03.12.054/2 sa ca-api SatarUpAyAm paQca-apatyAni ajIjanat-
   BhP_03.12.055/1 priyavratottānapādau tisraḥ kanyāś ca bhārata	Bhu-_03.12.055/1 priyavrata-uttAnapAdO tisraH kanyAH ca BArata
   BhP_03.12.055/2 ākūtir devahūtiś ca prasūtir iti sattama	Bhu-_03.12.055/2 AkUtiH devahUtiH ca prasUtiH iti sattama
   BhP_03.12.056/1 ākūtiṃ rucaye prādāt kardamāya tu madhyamām	Bhu-_03.12.056/1 AkUtim rucaye prAdAt kardamAya tu maDyamAm
   BhP_03.12.056/2 dakṣāyādāt prasūtiṃ ca yata āpūritaṃ jagat	Bhu-_03.12.056/2 dakzAya-adAt prasUtim ca yatas ApUritam jagat-
   BhP_03.13.001/0 śrī-śuka uvāca	BhP_03.13.001/0 SrI-SukaH uvAca
   BhP_03.13.001/1 niśamya vācaṃ vadato muneḥ puṇyatamāṃ nṛpa	Bhu-_03.13.001/1 niSamya vAcam vadataH muneH puNyatamAm nRpa
