   saptama ucchvāsaḥ	saptamaH ucCvAsaH
   suśakunasaṃpādanāya celuḥ /	su-Sakuna-saMpAdanAya celuH /
   meghāyamānareṇumeduraṃ mandiraśikhaṇḍina iva khamuḍḍīyamānāḥ	meGAyamAna-reNu-meduram mandira-SiKaNxinaH iva KamuxxIyamAnAH
   komalakalpapādapapallavavandanamālāḥ kalāpā ivābadhyanta digdvāreṣu	komala-kalpa-pAdapa-pallava-vandana-mAlAH kalApAH iva-AbaDyanta diS-dvArezu
   dikpālaiḥ /	dikpAlEH /
   praṇamyamānaśca netravibhāgaiścakaṭākṣaiśca	praNamyamAnaH-ca netra-viBAgEH-ca-kawAkzEH-ca
   samagrekṣitairbhrūvañcitaiścārdhasmitaiśca parihāsaiśca chekālāpaiśca	samagra-IkzitEH-BrU-vaQcitEH-ca-arDa-smitEH-ca parihAsEH-ca Ceka-AlApEH-ca
   kuśalapraśnaiśca	kuSala-praSnEH-ca
   pratipraṇāmaiśconmattabhrūvīkṣitaiścājñādānaiścākrīṇanniva mānamayān	pratipraNAmEH-ca-unmatta-BrU-vIkzitEH-ca-AjQA-dAnEH-ca-AkrINan=-iva mAna-mayAn
   prāṇān praṇayadānaiḥ pravīrāṇāṃ vīro yathānurūpaṃ vibabhāja rājakam /	prANAn praNaya-dAnEH pravIrANAm vIraH yaTA-anurUpam vibaBAja rAjakam /
   atha prasthite rājani bahalakalakalatrastadiṅnāgaśūtkārarava	aTa prasTite rAjani bahala-kalakala-trasta-diFnAga-SUtkAra-rava
   ivetastatastastāra tāratarastūryāṇāṃ pratidhvanirāśātaṭeṣu /	iva-itas-tatas-taH-tAra tArataraH-tUryANAm pratiDvani-rASA-tawezu /
   diggajebhyaḥ prakupitānāṃ triprasrutānāṃ kariṇāṃ	diggajeByaH prakupitAnAm tri-prasrutAnAm kariNAm
   madaprasravaṇavīthībhiralikulakālībhiḥ kālindīveṇikāsahasrāṇīva sasyandire	mada-prasravaNa-vITIBiH-ali-kula-kAlIBiH kAlindI-veNikA-sahasrANi-iva sasyandire
   sindūrareṇurāśibhiraruṇāyamānabimbe ravāvastamayasamayaṃ śaśaṅkire	sindUra-reNu-rASiBiH-aruNAyamAna-bimbe ravO=-asta-maya-samayam SaSaFkire
   śakunayaḥ /	SakunayaH /
   kariṇāṃ ṣaṭpadakolāhalamāṃsalaiḥ karṇatālaniḥsvanaistirodadhire	kariNAm zawpada-kolAhala-mAMsalEH karNa-tAla-niHsvanEH-tirA-udaDire
   dundubhidhvanayaḥ /	dunduBi-DvanayaH /
   dodhūyamānaśca sacarācaramācacāma cāmarasaṃghāto viśvam /	doDUyamAnaH-ca sacarAcaram-AcacAma cAmara-saMGAtaH viSvam /
   aśvīyaśvāsanikṣiptaiḥ śiśvinde	aSvIya-SvAsa-nikziptEH SiSvinde
   sitasindhuvāradāmaśucibhirnirantaramantarikṣaṃ phenipaṇḍaiḥ /	sita-sinDuvAra-dAm-a-SuciBiH-nirantaram-antarikzam Peni-paNxEH /
   piṇḍībhūtatagarastabakapāṇḍurāṇi papuriva parasparasaṃghaṭṭanaṣṭāṣṭadiśaṃ	piNxIBUta-tagara-stabaka-pANxurANi papuH-iva paraspara-saMGawwa-nazwA-azwa-diSam
   divasamuccacāmīkaradaṇḍānyātapatravanāni /	divasam-ucca-cAmIkara-daNxAni-Atapatra-vanAni /
   rajorajanīnimīlito mukuṭamaṇiśilāvalībālātapena vicakāsa vāsaraḥ /	rajaH-rajanI-nimIlitaH mukuwa-maNi-SilA-AvalI-bAla-Atapena vicakAsa vAsaraH /
   rājatairhiraṇyaiśca maṇḍanakabhāṇḍamaṇḍalairhradamānairhiratīkṛtāḥ	rAjatEH-hiraNyEH-ca maNxanaka-BANxa-maNxalEH-hradamAnEH-hiratIkRtAH
   parihrādā harito badhiratāṃ dadhuḥ /	parihrAdAH haritaH baDira-tAm daDuH /
   aripratāpānalanirmūlanāyeva madoṣmaśīkaraiḥ śiśekire kariṇaḥ kakubhāṃ	ari-pratApa-anala-nirmUlanAyA-iva mada-Uzma-SIkarEH SiSekire kariNaH kakuBAm
   cakram /	cakram /
   cakṣuṣāmunmeṣaṃ mumuṣustaḍiccañcalāni cūḍāmaṇīnāmarcīṣi /	cakzuzAm-unmezam mumuzuH-taxit-caQcalAni cUxAmaNInAm-arcIzi /
   svayamapi visiṣmiye balānāṃ bhūpālaḥ	svayam-api visizmiye balAnAm BUpAlaH
   sarvatovikṣiptacakṣuścādrākṣīdāvāsasthānasakāśāt pratiṣṭhamānaṃ	sarvatas-vikzipta-cakzuH-ca-adrAkzIt-AvAsa-sTAna-sakASAt pratizWamAnam
   svandhāvāram, adhokṣajakukṣeriva yugādau niṣpatantaṃ jīvalokam,	su-anDO=-Aram, aDokzaja-kukzeH-iva yuga-AdO nizpatantam jIva-lokam-,
   ambhonidhimiva kumbhabhuvo vadanāt plāvitabhuvanamudbhavantam,	amBoniDim-iva kumBaBuvaH vadanAt plAvita-Buvanam-udBavantam,
   arjunabāhudaṇḍasahasrasaṃpiṇḍitonmuktamiva sahasradhā pravartamānaṃ	arjuna-bAhu-daNxa-sahasra-saMpiNxita-unmuktam-iva sahasraDA pravartamAnam
   pravāhaṃ narmadāyāḥ /	pravAham narmadAyAH /
   "prasara tāta /	"prasara tAta /
   bhāva, kiṃ vilambase? laṅghati turaṅgamaḥ /	BAva, kim vilambase? laFGati turaFgamaH /
   bhadra, bhagnacaraṇa iva saṃcarasiyāvadamī puraḥsarāḥ sarabhasamupari	Badra, Bagna-caraNaH iva saMcarasiyA-avat-amI puraHsarAH saraBasam-upari
   patanti /	patanti /
   vāhayasi kimuṣṭram? na paśyasi nirdaya, niḥśūkaśiśukaṃ śayānam? vatsa	vAhayasi kim-uzwram? na paSyasi nirdaya, niHSUka-SiSukam SayAnam? vatsa
   rāmila, rajasi yathā na nasyasi tathā samīpe bhava, kiṃ na paśyasi galati	rAmila, rajasi yaTA na nasyasi taTA samIpe Bava, kim na paSyasi galati
   śaktuprasevakaḥ? kimevamitvara, tvarase /	Saktu-prasevakaH? kim-evam-itvara, tvarase /
   saurabheya, saraṇimapahāya hayamadhyaṃ dhāvasi? dhīvari, viśasi, gantukāmā	sOraBeya, saraNim-apahAya haya-maDyam DAvasi? DIvari, viSasi, gantu-kAmA
   mātahgi, mātaṅgamārgam /	mAtahgi, mAtaFga-mArgam /
   aṅga, galati tiraścīnā caṇakagoṇī /	aFga, galati tiraScInA caNaka-goNI /
   gaṇayasi na māmāraṭantam? avaṭamataṭenāvatarasi /	gaNayasi na mAm-Arawantam? avawama-tawena-avatarasi /
   sukhamāssva svairiṇi /	suKam-Assva svEriNi /
   sauvīraka, kumbho bhagnaḥ /	sOvIraka, kumBaH BagnaH /
   mantharaka khādiṣyasi gataḥ sannikṣum /	manTaraka KAdizyasi gataH san=-ikzum /
   ukṣāṇaṃ prasādaya /	ukzANam prasAdaya /
   kiyacciramuccinoṣi ceṭa, badarāṇi? dūraṃ gantavyam /	kiyat-ciram-uccinozi cewa, badarANi? dUram gantavyam /
   kimadyaiva vidrāsi droṇaka, drāghīyasī daṇḍayātrā, vinaikena niṣṭhurakeṇa	kim-adya-eva vidrA-asi droNaka, drAGIyasI daNxa-yAtrA, vinA-ekena nizWurakeNa
   niṣkreyamasmākam /	nizkreyam-asmAkam /
   agrataḥ panthāḥ sthapuṭaka, sthāvara, yathā na bhanakṣi phaṇitasthālīṃ,	agratas panTAH sTa-puwaka, sTAvara, yaTA na Bana-kzi PaNita-sTAlIM,
   garīyān gaṇḍakataṇḍulabhārako na nirvahati damyaḥ /	garIyAn gaNxaka-taNxula-BArakaH na nirvahati damyaH /
   dāsaka, māṣīṇāmamuto drāgdātreṇa mukhaghāsapūlakaṃ lunīhi /	dAsaka, mAzINAm-amutas drAgdAtreNa muKa-GAsa-pUlakam lunIhi /
   ko jānāti yavasagataṃ gatānām /	kaH jAnAti yavasa-gatam gatAnAm /
   dhava, vāraya balīvardān, vāhīkarakṣitaṃ kṣetramidam /	Dava, vAraya balIvardAn, vAhIka-rakzitam kzetram-idam /
   lambitā śakaṭī /	lambitA SakawI /
   śākkaraṃ dhurandharaṃ dhuri dhavalaṃ niyuṅkṣva /	SAkkaram DuranDaram Duri Davalam niyuFkzva /
   yakṣapālita, pramadāḥ pinakṣi /	yakza-pAlita, pramadAH pinakzi /
   akṣiṇī kiṃ te sphuṭite /	akziNI kim te sPuwite /
   hata hastipaka, nedīyasi karikaradaṇḍe samadaḥsaṃmardakardame skhalasi /	hata hastipaka, nedIyasi kari-kara-daNxe samadaH-saMmarda-kardame sKalasi /
   bhrātarbhāvavidhurabandho, uddhara paṅkādanaḍvāham /	BrAtar-BAva-viDura-banDo, udDara paFkAt-anaxvAham /
   ita ehi māṇavaka, ghanebhaghaṭāsaṃghaṭṭasaṃkaṭe nāsti nistaraṇasaraṇiḥ' /	itas ehi mANavaka, Gana-iBa-Gawa-asaMGawwa-saMkawe na-asti nistaraNa-saraNiH-a /
   ityevamādipravartamānānekasaṃlāpaṃ vkacit	iti-evamAdi-pravartamAna-aneka-saMlApam vkacid-
   svecchāmṛditoddāmasasyaghāsavighasasukhasaṃpannānnapuṣṭaiḥ kelikalaiḥ	sva-icCA-mRdita-uddAma-sasya-GAsa-viGasa-suKa-saMpanna-anna-puzwEH keli-kalEH
   kilakilāyamānairmeṇṭhavaṇṭhavaṭharalambanaleśikaluṇṭhakaceṭaśāṭacaṇḍālamaṇḍalairāṇḍīraiḥ	kila-kilAyamAnEH-meNWa-vaNWa-vaWara-lamba-naleSika-luNWaka-cewaSAwa-caNxAla-maNxala-eH-ANxIrEH
   stūyamānam, vkavidasahāyaiḥ	stUyamAnam, vkavida-sahAyEH
   kleśārjitakugrāmakuṭumbisaṃpāditasīdatsaurabheyaśambalasaṃvāhanāyāsāvegāgatasaṃyogaiḥ	kleSa-arjita-kugrAma-kuwumbi-saMpAdita-sIdat-sOraBeya-Sambala-saMvAhanAyAsO=-ega-Agata-saMyogEH
   svayaṃ gṛhītagṛhopaskaraṇaiḥ "iyamekā kathañciddaṇḍayātrā yātu /	svayam gRhIta-gRha-upaskaraNEH "iyam-ekA kaTaQcid-daNxa-yAtrA yAtu /
   yātu pātālatalaṃ tṛṣṇa bhūterabhavaniḥ /	yAtu pAtAla-talam tRzNa BUteH-aBavaniH /
   bhavatu śivam /	Bavatu Sivam /
   sevāṃ karotu /	sevAm karotu /
   svasti sarvaduḥkhakūṭāya kaṭakāya' iti	svasti sarva-duHKa-kUwAya kawakAya-a iti
   durvidhavṛddhakulaputrakairnindyamānam,	durviDa-vRdDa-kula-putrakEH-nindyamAnam,
   vkacidatitīkṣṇasalilasrotaḥpātinaugatairiva grathitairiva	vkacit-ati-tIkzNa-salila-srotaH-pAtinOgatEH-iva graTitEH-iva
   paṅktibhūtairjanairatidrutam, dravadbhiḥ	paFkti-BUtEH-janEH-atidrutam, dravadBiH
   kṛṣṇakaṭhinaskandhagurulaguḍairgṛhītasauvarṇapādapīṭhīkarahkakalaśapatadgrahāvagrāhaiḥ	kRzNa-kaWina-skanDa-gurula-guxEH-gRhIta-sOvarNa-pAda-pIWIka-rahka-kalaSapa-tat-graha-avagrAhEH
   pratyāsannapārthivopakaraṇagrahaṇagarvadurvāraiḥ savaṃmeva bahiḥ	pratyAsanna-pArTiva-upakaraNa-grahaNa-garva-durvArEH sa-vaMmA-iva bahis-
   kārayadbhirbhūpatibhṛtakabhārikairmahānasopakaraṇavāhibhiśca	kArayadBiH-BUpati-BRtaka-BArikEH-mahAnasa-upakaraNa-vAhiBiH-ca
   baddhavarāhavardhravārdhīṇasairlambamānahariṇacaṭukacaṭakajūṭajaṭi laiḥ	badDa-varAha-varDravArDINasEH-lamba-mAna-hariNa-cawuka-cawaka-jUwa-jawi lEH
   śiśuśaśakaśākapatravetrāgrasaṃgrahasaṃgrāhibhiḥ	SiSu-SaSaka-SAka-patra-vetra-agra-saMgraha-saMgrAhiBiH
   śuklakarpaṭaprāvṛtamukhaikadeśadatārdramudrāguptagorasabhaṇḍaistalakatāpakatāpikāhastakatāmracarukakaṭāhasaṃkaṭapiṭakabhārikaiḥ	Sukla-karpawa-prAvRta-muKa-eka-deSa-datA-Ardra-mudrA-gupta-gorasa-BaNxEH-talaka-tApaka-tApikA-hastaka-tAmra-caruka-kawAha-saMkawa-piwaka-BArikEH
   samutsāryamāṇapurovartijanam, vkacit "klośo 'smākam /	samutsAryamANa-puras-varti-janam, vkacid "kloSaH asmAkam /
   phalakāle 'nya eva viṭāḥ samupasthāsyante' iti mukharaiḥ pade pade patatāṃ	Pala-kAle anyaH eva viwAH samupasTAsyante-a iti muKarEH pade pade patatAm
   durbalabalīvardānāṃ niyuktaiḥ skhalane khalaceṭakeḥ	durbala-balIvardAnAm niyuktEH sKalane Kala-cewakeH
   khedyamānāṃsaṃvibhaktakulaputralokam,	KedyamAnAMsaMviBakta-kula-putra-lokam,
   kvacinnarapatidarśanakutūhalādubhayataḥ	kvacid-narapati-darSana-kutUhalAt-uBayatas-
   prajavitapradhāvitagrāmeyakajanapadam,	prajavita-praDAvita-grAmeyaka-janapadam,
   mārgagrāmanirgatairāgrahārikajālmaiśca	mArga-grAma-nirgatEH-AgrahArika-jAlmEH-ca
   puraḥsarajaranmahattarottambhitāmbhaḥkumbhairupāyanīkṛtadadhiguḍakhaṇḍakusumakaraṇḍakairghaṭitapeṭakaiḥ	puraHsara-jaran-mahat-tara-uttamBita-amBaH-kumBEH-upAyanIkRta-daDi-guxa-KaNxa-kusuma-karaNxakEH-Gawita-pewakEH
   sarabhasaṃ samutsarpadbhiḥ	sa-raBasam samutsarpadBiH
   prakupitapracaṇjadaṇjivitrāsanavidrutairdūragatairapi skhaladbhirapi	prakupita-pracaNja-daNji-vitra-Asana-vidrutEH-dUra-gatEH-api sKaladBiH-api
   patadbhirapi narendranihitadṛṣṭibhirasato 'pi	patadBiH-api narendra-nihita-dRzwiBiH-asataH api
   pūrvabhogapatidoṣānudbhāvayadbhiradhikrāntāyuktakaśatāni ca	pUrva-Bogapati-doza-anudBAvayadBiH-aDikrAnta-ayuktaka-SatAni ca
   śaṃsadbhiścirantanacāṭāparādhāścābhidadhānairuddhūyamānadhūlipaṭalam,	SaMsadBiH-cirantana-cAwA-parADAH-ca-aBidaDAnEH-udDUyamAna-DUli-pawalam,
   kvacidekāntapravṛttāśvavāracakracarvyamāṇāgāmigauḍavimṛgyamāṇasasyasaṃrakṣaṇam,	kvacid-ekAnta-pravRtta-aSva-vAra-cakra-carvyamANA-gAmi-gOxa-vimRgyamANa-sasya-saMrakzaNam,
   aparairādiṣṭaparipālakapuruṣaparituṣṭaiḥ "dharmaḥpratyakṣo devaḥ' iti	aparEH-Adizwa-paripAlaka-puruza-parituzwEH "DarmaH-pratyakzaH devaH-a iti
   stutīrātanghadbiḥ, aparairlūyamānaniṣpannasasyaprakaṭitaviṣādaiḥ	stutIrAtan-GadbiH, aparEH-lUya-mAna-nizpanna-sasya-prakawita-vizAdEH
   kṣetraśucā sakuṭumbakaireva nirgataiḥ prarūḍhaprāṇacchedaiḥ	kzetra-SucA sa-kuwumbakEH-eva nirgatEH prarUXa-prANa=-CedEH
   paritāpatyājitabhayaiḥ "vka rājā, kuto rājā? ko dṛśo vā rājā?' iti	paritApatya-ajita-BayEH "vka rAjA, kutas rAjA? kaH dRSaH vA rAjA?-a iti
   prārabdhanaranāthanindam, śaśakaiśca kaiścitpade pade	prArabDa-nara-nATa-nindam, SaSakEH-ca kEScid-pade pade
   prajavipracamḍadaṇḍapāṇipeṭakānubaddhairgiriguḍakairiva	prajavipracamxa-daNxa-pANi-pewaka-anubadDEH-giri-guxakEH-iva
   hanyamānairitastataḥ saṃcaradbhiḥ,	hanyamAnEH-itas-tatas saMcaradBiH,
   aparairyugapatparāpatitamahājanagrastaistilaśo	aparEH-yugapad-para-Apatita-mahA-jana-grastEH-tilaSas-
   vilupyamānairanekajantujahghāntarālaniḥsaraṇakuśalibhiḥ	vilupyamAnEH-aneka-jantu-jahGA-antarAla-niHsaraNa-kuSaliBiH
   kuṭilikāvyaṃsitasādibahuśvabhiḥ patalloṣṭalaguḍakoṇakuṭhārakīla	kuwilikA-vyaMsita-sAdi-bahu-SvaBiH patat-lozwala-guxa-koNa-kuWAra-kIla
   kuddālkhanitradātrayaṣṭivṛṣṭibhirapi niḥsaradbhirāyuṣo balātkṛtakalakalam,	kuddAlKanitra-dAtra-yazwi-vRzwiBiH-api niHsaradBiH-AyuzaH balAtkRta-kalakalam,
   anyatra saṃghaśo ghāsikairbusadhūlidhūsaritaghāsajālajālakitajaghanaiśca	anyatra saMGaSas GAsikEH-busa-DUli-DU-sarita-GAsa-jAla-ja-alakita-jaGanEH-ca
   purāṇaparyāṇaikadeśadolāyamānadātraiśca	purANa-paryANa-eka-deSa-dolAyamAna-dAtrEH-ca
   sīrṇorṇāśakalaśithilamalinamalakuthaiśca	sIrNa-UrNA-Sakala-SiTila-malina-mala-kuTEH-ca
   prabhuprasādīkṛtapāṭitapaṭaccaracalaccolakadhāribhiśca	praBu-prasAdIkRta-pAwita-pawat-cara-calat-colaka-DAriBiH-ca
   dāvamānairuddhūyamānadhūlipaṭalam,	dAva-mAnEH-udDUyamAna-DUli-pawalam,
   vkacidekāntapravṛttāsvavāracakracarcyamānāgāmigauḍavigraham,	vkacid-ekAnta-pravRtta-asu-avAra-cakra-carcyamAna-AgAmi-gOxa-vigraham,
   vkacitpaṅkitapradeśapūraṇādeśākulasakalalokalūyamānatṛṇapūlakam,	vkacid-paFkita-pradeSa-pUraNa-AdeSa-Akula-sakala-loka-lUya-mAna-tRNa-pUlakam,
   vkacittalavartivetrivetravitrāsyamānaśākhiśikharagatavikrośādvivādibrāhnaṇam,	vka-cittalavarti-vetri-vetra-vitrAsya-mAna-SAKi-SiKara-gata-vikroSAt-vivAdi-brAhnaNam,
   vkacitkuluṇṭhakapāśaviveṣṭyamānagrāmīṇagrāmākṛṣṭakauleyakam,	vkacid-kuluNWaka-pASa-vivezwyamAna-grAmINa-grAma-AkRzwa-kOleyakam,
   vkacidanyonyavibhavasparthoddhurarājaputravāhyamānavājisaṃghaṭṭamaṇḍitam,	vkacit-anyonya-viBava-sparTa-udDura-rAja-putra-vAhyamAna-vAji-saMGawwa-maNxitam,
   anekavṛttāntatayā kautukajananam, pralayajaladhimiva jagadgrāsagrahaṇāya	aneka-vRttAnta-tayA kOtuka-jananam, pralaya-jalaDim-iva jagat-grAsa-grahaNAya
   pravṛttam, pātālamiva mahrābhogināṃ guptaye samutpāditam, kailāsamiva	pravRttam, pAtAlam-iva mahrABoginAm guptaye samutpAditam, kElAsam-iva
   parameśvaravasataye sṛṣṭam, dṛsyamānasakalaprāṇiparyāyaṃ	parameSvara-vasataye sRzwam, dRsyamAna-sakala-prANi-paryAyam
   caturyugasargakośamiva prajāpatīnāṃ kleśabahulamapi tapaḥkaraṇamitra	caturyuga-sarga-koSam-iva prajApatInAm kleSa-bahulam-api tapaH-karaNa-mitra
   kramakāriṇaṃ kalyāṇānām, evaṃ ca vīkṣyamāṇaḥ kaṭakaṃ jagāṃma /	krama-kAriNam kalyANAnAm, evam ca vIkzyamANaH kawakam jagAMma /
   āsannavartināṃ ca "tatrabhavatā māndhātrā pravartitāḥ panthāno digvijayāya	Asanna-vartinAm ca "tatra-BavatA mAnDAtrA pravartitAH panTAnaH digvijayAya
   apratihataratharaṃhasā raghuṇā laghunaiva kālenākāri kakubhāṃ prasādanam /	apratihata-raTa-raMhasA raGuNA laGunA-eva kAlena-akAri kakuBAm prasAdanam /
   śarāsanadvitīyaḥ karadīcakāra cakraṃ	SarAsana-dvitIyaH karadIcakAra cakram
   kramāgatabhujabalābhijanadhanamadāvaliptānāṃ bhūbhujāṃ pāṇḍuḥ /	krama-Agata-Buja-bala-aBijana-Dana-mada-avaliptAnAm BUBujAm pANxuH /
   pāṇḍavaḥ savyasācī jīnaviṣayamatikramyarājasūyasaṃpade	pANxavaH savyasAcI jIna-vizayam-atikramya-rAjasUya-saMpade
   krudhyadgandharvadhanuṣkoṭiṭāṅkārakūjitakuñjaṃ hemakūṭaparvataṃ parājaiṣṭa	kruDyat-ganDarva-Danuzkowiwa-aFkAra-kUjita-kuQjam hema-kUwa-parvatam parAjEzwa
   saṃkalpāntarito vijayastarasvinām /	saMkalpa-antaritaH vijayaH-tarasvinAm /
   sahimahimavadvyavahito 'pyuvāha bāhubalavyatikarakātaraḥ karaṃ	sahima-himavat-vyavahitaH api-uvAha bAhu-bala-vyatikara-kAtaraH karam
   kauraveśvarasya kiṅkara ivākṛtī drumaḥ /	kOrava-ISvarasya kiFkaraH iva-AkRtI drumaH /
   nātijigīṣavaḥ khalu pūrve yenālpa eva bhūbhāge bhūyāṃso	na-ati-jigIzavaH Kalu pUrve yena-alpe eva BU-BAge BUyAMsaH-
   bhagadattadantavakrakrāthakarṇakau	Bagadatta-danta-vakra-krATa-karNakO
   ravaśiśupālasālvajarāsaṃdhasindhurājaprabhṛtayo 'bhavan bhūpatayaḥ /	rava-SiSupAla-sAlvajarAsaMDa-sinDu-rAja-praBRtayaH aBavan BUpatayaH /
   saṃtuṣṭo rājā yudhiṣṭhiro yo hyasahata samīpa eva	saMtuzwaH rAjA yuDizWiraH yaH hi-asahata samIpaH eva
   dhanañjayajayajanitajagatkampaḥ kiṃpuruṣāṇāṃ rājyam /	DanaQjaya-jaya-janita-jagat-kampaH kiMpuruzANAm rAjyam /
   alasaścaṇḍakośo yo na prāvikṣat kṣmāṃ jitvā strīrājyam /	alasaH-caNxakoSaH yaH na prAvikzat kzmAm jitvA strI-rAjyam /
   hrasīya evāntaraṃ tuṣāragirigandhamādanayoḥ utsāhinaḥ /	hrasIyaH eva-antaram tuzAra-giri-ganDamAdanayoH utsAhinaH /
   kiṣkuḥ turuṣkaviṣayaḥ /	kizkuH turuzka-vizayaH /
   prādeśaḥ pārasīkadeśaḥ /	prAdeSaH pArasIka-deSaH /
   śaśapadaṃ śakaśthānam /	SaSa-padam Saka-STAnam /
   adṛśyamānapratihāre pāriyātre yātraiva śithilā /	adRSyamAna-pratihAre pAriyAtre yAtrA-eva SiTilA /
   śauryaśulkaḥ sulabho dakṣiṇāpathaḥ /	SOrya-SulkaH sulaBaH dakziNApaTaH /
   dakṣiṇārṇavakallolānilacalitacandanalatāsaurabhasundarīkṛtadarīmand	dakziNa-arNava-kallola-anila-calita-candana-latA-sOraBa-sundarIkRta-darI-mand
   irāddardurādadrernedīyasi malayo malayalagna eva ca mahendraḥ' /	irAt-dardurAt-adreH-nedIyasi malayaH malaya-lagnaH eva ca mahA-indraH-a /
   ityevaṃprāyānudyogadyotakānāmālāpān pārthivakumārāṇāṃ bāhuśālināṃ	iti-evaMprAyAn-udyoga-dyotakAnAm-AlApAn pArTiva-kumArANAm bAhu-SAlinAm
   śṛṇvannevāsasādāvāsam /	SRNvan=-eva-AsasAda-AvAsam /
   mandiradvāri cobhayataḥ sabahumānaṃ brūlatābhyāṃ visarjitarājalokaḥ	mandira-dvAri ca-uBayatas sa-bahu-mAnam brUlatAByAm visarjita-rAja-lokaH
   praviśya cāvatatāra bāhyāsthānamaṇḍapasthāpitamāsanamācakrāma /	praviSya ca-avatatAra bAhya-AsTAna-maNxapa-sTApitam-Asanam-AcakrAma /
   apāstasamāyogaśca kṣaṇamāsiṣṭa /	apAsta-samAyogaH-ca kzaNam-Asizwa /
   atha tatra pratīhāraḥ pṛthivīpṛṣṭhapratiṣṭhāpitapāṇipallavo	aTa tatra pratIhAraH pRTivI-pRzWa-pratizWApita-pANipallavaH-
   vijñāpitavān--"deva! prāgjyotiṣeśvareṇa kumāreṇa prahito haṃsaveganāmā	vijQApitavAn---"deva! prAgjyotiza-ISvareNa kumAreNa prahitaH haMsa-vega-nAmA
   dūto 'ntaraṅgastoraṇamadhyāste' iti /	dUtaH antaraFgaH-toraNam-aDyAste-a iti /
   rājā tu "tamāśu praveśaya' iti sādaramādideśa /	rAjA tu "tam-ASu praveSaya-a iti sAdaram-AdideSa /
   atha dakṣatayā kṣitipālādarācca pratīhāraḥ svayameva niragāt /	aTa dakza-tayA kzitipAla-AdarAt-ca pratIhAraH svayam-eva niragAt /
   anantaraṃ ca haṃsavegaḥ savinayamākṛtyaiva	anantaram ca haMsa-vegaH sa-vinayam-AkRtya-eva
   nayanānandasaṃpādanasubhagābhogabhadratayā samullaṅghyamānaguṇagarimā	nayana-Ananda-saMpAdana-suBaga-ABoga-Badra-tayA samullaFGyamAna-guNa-garimA
   prabhūtaprābhṛtabhṛtāṃ puruṣāṇāṃ samūhena mahatānugamyamānaḥ praviveśa	praBUta-prABRta-BRtAm puruzANAm samUhena mahatA-anugamyamAnaH praviveSa
   rājamandiram /	rAja-mandiram /
   ārādeva pañcāhgāliṅgitāṅganaḥ praṇāmamakarot /	ArAt-eva paQca-Ahga-AliFgita-aFganaH praNAmam-akarot /
   "ehyehi' iti sabahumānamāhūtaśca pradāvito 'pasṛtaḥ	"ehi-ehi-a iti sa-bahu-mAnam-AhUtaH-ca pradAvitaH apasRtaH
   pādapīṭhaluṭhitalalāṭalekho nyastahastaḥ pṛṣṭhe pārthivenopasṛtya bhūyo	pAda-pIWa-luWita-lalAwa-leKaH nyasta-hastaH pRzWe pArTivena-upasRtya BUyo
   namaścakre /	namaH-cakre /
   snigdhanarendaradṛṣṭyā nirdiṣṭamaviprakṛṣṭaṃ sa pradeśamadhyāste /	snigDa-narendara-dRzwyA nirdizwam-aviprakRzwam sa pradeSam-aDyAste /
   tato rājā tiraścīṃ tanumīṣadiva dadhānaścāmaragrāhiṇīmantarālavartinīṃ	tatas rAjA tiraScIm tanum-Izat-iva daDAnaH-ca-amara-grAhiNIm-antarAla-vartinIm
   samutsārya saṃmukhīnastaṃ sapraśrayaṃ papraccha--"haṃsavega!	samutsArya saMmuKInaH-tam sa-praSrayam papracCa---"haMsa-vega!
   śrīmānkaccitkuśalī kumāraḥ?' iti /	SrImAn-kaccit-kuSalI kumAraHaH-a iti /
   sa tamanvavādīt--"adya kuśalī yenaivaṃ snehasnapitayā sauhārdadravārdrayā	sa tam-anvavAdIt--"adya kuSalI yena-evam sneha-snapitayA sOhArda-drava-ArdrayA
   sagauravaṃ girā pṛcchati devaḥ' iti /	sa-gOravam girA pRcCati devaH-a iti /
   sthitvā ca muhūrttamiva punaḥ sa	sTitvA ca muhUrttam-iva punar sa
   caturamuvāca--"caturambhodhibhogabhūtibhājanabhūtasya devasya	caturam-uvAca--"catur-amBoDi-Boga-BUti-BAjana-BUtasya devasya
   sadbhāvagarbhamapahāya hṛdayamekamanyadanurūpaṃ prābhṛtameva durlabhaṃ	sadBAva-garBam-apahAya hRdayam-ekam-anyat-anurUpam prABRtam-eva durlaBam
   loke tathāpyasmatsvāminā saṃdeśamaśūnyatāṃ nayatā pūrvajopārjitaṃ	loke taTA-api-asmad-svAminA saMdeSam-aSUnyatAm nayatA pUrvaja-upArjitam
   vāruṇātapatramābhogākhyamanurūpasthānanyāsena kṛtārthīkṛtametat /	vAruNa-Atapatram-ABoga-AKyam-anurUpa-sTAna-nyAsena kRtArTIkRtam-etat /
   asya ca kutūhalakṛnti bahūnyāścaryāṇi dṛsyante /	asya ca kutUhala-kRnti bahUni-AScaryANi dRsyante /
   tathā hi--pratidivasaṃ praviśati śaityahetośchāyāyāḥ kiraṇasahasrādekaikaḥ	taTA hi---pratidivasam praviSati SEtya-hetoH-CAyAyAH kiraNa-sahasrAt-ekEkaH
   somasya raśmirasmin /	somasya raSmiH-asmin /
   yasminpraviṣṭe pradhyānānantaraṃ svādavo	yasmin-pravizwe praDyAna-anantaram svAdavaH-
