   // śrīḥ //	// SrIH //
   śukasaptatiḥ //	SukasaptatiH //
   anuktamapyūhati paṇḍito janaḥ pareṅgitajñānaphalā hi buddhayaḥ // Suk_11.4	anuktam-api-Uhati paNxitaH janaH para-iFgita-jQAna-PalAH hi budDayaH // Suc-_11.4
   kiñca ṇaabbhantaragholantīe haaramaṇarāadiṭṭhīe /	kiQca NaabBantara-GolantIe haara-maNa-rAa-diwWIe /
   puṇaruttapecchirīe bālaa kiṃ kiṃ ṇa bhaṇio si // Suk_11.5 (=87) //	puNar-uttapet-SirIe bAlaa kim kim Na BaNio si // Suc-_11.5 (=87) //
   [nābhyantaraṃ ghūrṇayantyā hṛdayamanorāma dṛṣṭyā /	[nAByantaram GUrNayantyA hRdaya-manorAma dRzwyA /
   punurutprekṣamāṇayā bālaka kiṃ kiṃ na bhaṇito 'si] // Suk_11.5* (=87*) //	punurut-prekzamANayA bAlaka kim kim na BaNitaH asi] // Suc-_11.5* (=87*) //
   acchīhiṃ cia bhaṇiaṃ hiaattthaṃ jo jaṇo ṇa lakkhei /	at-SIhim cia BaNiam hiaattTam jaH jaNaH Na lakKei /
   teṇa paḍibohieṇa e kiṃ kīrai ṇa kkhu alleṇa // Suk_11.6 (=88) //	teNa paxibohieNa e kim kIrEH Na kKu alleNa // Suc-_11.6 (=88) //
   [akṣibhyāṃ cirabhaṇitaṃ hṛdayasthaṃ yo jano na lakṣayati /	[akziByAm cira-BaNitam hRdaya-sTam yaH janaH na lakzayati /
   tena pratibodhitena ca kiṃ kriyate nu khalu ajñena] // Suk_11.6* (=88*) //	tena pratiboDitena ca kim kriyate nu Kalu ajQena] // Suc-_11.6* (=88*) //
   tataḥ sa tadantikamāgatya jagāda-bhadre kiṃ vidheyam? sāha-tvayā mama	tatas sa tad-antikam-Agatya jagAda-Badre kim viDeyam? sA-aha-tvayA mama
   pṛṣṭhalagnena asmadgṛhaṃ samāgantavyaṃ mama patyuśca namaskāro vidheyaḥ /	pRzWa-lagnena asmad-gRham samAgantavyam mama patyuH-ca namaskAraH viDeyaH /
   sarvamanyadahaṃ kariṣye /	sarvam-anyat-aham karizye /
   tvayā tathaiveti vācyam /	tvayA taTA-eva-iti vAcyam /
   evamuktvā sā gṛhaṃ praviṣṭā /	evam-uktvA sA gRham pravizwA /
   so 'pi gṛhaṃ praviṣṭastatpatyaragre tasthau /	saH api gRham pravizwaH-tad-patyaragre tasTO /
   patirapi vismitaḥ /	patiH-api vismitaH /
   tataḥ sā kumbhaṃ muktvā patyuḥ sakāśamāgatyāvravīt- nātha! upalakṣasva	tatas sA kumBam muktvA patyuH sakASam-Agatya-AvravIt nATa! upalakzasva
   enam /	enam /
   sa āha-ne vedmīti /	saH Aha-ne vedmi-iti /
   tataḥ sā prāha-ayaṃ mātṛmvasuḥ suto yo mayā śiśutve muktaḥ /	tatas sA prAha-ayam mAtRmvasuH sutaH yaH mayA SiSu-tve muktaH /
   sa dhavalo nāma mama milanārthaṃ samāgamat /	sa DavalaH nAma mama milana-arTam samAgamat /
   tato mayā āliṅgya sarvāpi svajanavārtā pṛṣṭā /	tatas mayA AliFgya sarvA-api sva-jana-vArtA pRzwAH /
   sa ca brāhmaṇa "evamiti' jalpati /	sa ca brAhmaNa "evam-iti-a jalpati /
   tataḥ patinā sānujñātā taṃ mahānasaṃ nītvā	tatas patinA sa-anujQAtA tam mahAnasam nItvA
   bhojanācchādanasaṃskāraistoṣayāmāsa /	Bojana-AcCAdana-saMskArEH-tozayAmAsa /
   patirapi tuṣṭaḥ prāha-bhadra! tvayā nijabāndhavasya mahatī bhaktiḥ	patiH-api tuzwaH prAha-Badra! tvayA nija-bAnDavasya mahatI BaktiH
   kāryetyuktvā suptaḥ /	kAryA-iti-uktvA suptaH /
   tadā ca rambhikā brāhmaṇakhaṭṭavāyāmupāvaśat /	tadA ca ramBikA brAhmaNa-Kawwa-vAyAm-upAvaSat /
   tatastenoktam-tvayā patyugre ityuktaṃ yanmadīyo bhrātā samāgataḥ /	tatas-tena-uktam--tvayA pati-ugre iti-uktam yat-madIyaH BrAtA samAgataH /
   tattvaṃ me pratipannā bhaginī pratipannaṃ ca nirvāhyate /	tattvam me pratipannA BaginI pratipannam ca nirvAhyate /
   uktañaca-	uktaQaca-
   chijjau sīsuṃ aha hou bandhaṇaṃ caau savvahā lacchī /	CijjO sIsum aha hou banDaNam caO savvahA lacCI /
   paḍivaṇṇapālaṇe supurisāṇa jaṃ hou taṃ hou // Suk_11.7 (=89) //	paxivaNNa-pAlaNe su-purisANa jam hou tam hou // Suc-_11.7 (=89) //
   [chidyatāṃ śīrṣamatha bhavatu bandhanaṃ calatu sarvathā lakṣmīḥ /	[CidyatAm SIrzam-aTa Bavatu banDanam calatu sarvaTA lakzmIH /
   pratipannapālane supuruṣāṇāṃ yad bhavatu tad bhavatu] // Suk_11.7* (=89*)	pratipanna-pAlane su-puruzANAm yat Bavatu tat Bavatu] // Suc-_11.7* (=89*)
   lajjijjai jeṇa maṇo mailijjai ṇiakulakkamo jeṇa /	lajjit-jE jeNa maNaH mElijjE Niakulak-kamaH jeNa /
   kaṇṭhaṭṭhie vi jīe mā sundari taṃ kuṇijjāsu // Suk_11.8 (=90) //	kaNWawWie vi jIe mA sundari tam kuNijjAsu // Suc-_11.8 (=90) //
   [lajjate yena mano malinayati nijakulakramo yena /	[lajjate yena manaH malinayati nija-kula-kramaH yena /
   kaṇṭhasthite 'pi jīve mā sundari taṃ kariṣyasi] // Suk_11.8* (=90*) //	kaNWa-sTite api jIve mA sundari tam karizyasi] // Suc-_11.8* (=90*) //
   rambhikā prāha-mā evaṃ vada /	ramBikA prAha-mA evam vada /
   yato 'tidurlabhā rāmā pitṛmātṛparāyaṇā /	yatas ati-durlaBA rAmA pitR-mAtR-parAyaNAH /
   pitṛmātṛmayairbhūtvā bhoktavyā kāminī raiḥ // Suk_11.9 (=91) //	pitR-mAtR-mayEH-BUtvA BoktavyA kAminI rEH // Suc-_11.9 (=91) //
   uktañca-	uktaQca-
   kāmārtāṃ svayamāyātāṃ yo na bhuṅkte nitambinīm /	kAma-ArtAm svayam-AyAtAm yaH na BuFkte nitambinIm /
   so 'vaśyaṃ narakaṃ yāti tanniḥśvāsahato naraḥ // Suk_11.10 (=92) //	saH avaSyam narakam yAti tat-niHSvAsa-hataH naraH // Suc-_11.10 (=92) //
   so kiṃ va māṇai para mahila jo ṇavi jaṃpi emva /	saH kim va mANE para mahila jaH Navi jaMpi emva /
   .... .... .... // Suk_11.11 (=93) //	.... .... .... // Suc-_11.11 (=93) //
   [sa kimeva manyate paramahilāṃ yo viparītaṃ jalpatyevam /	[sa kim-eva manyate para-mahilAm yaH viparItam jalpati-evam /
   .... .... ....] // Suk_11.11* (=93*) //	.... .... ....] // Suc-_11.11* (=93*) //
   jo ṇavi māṇai... so kiṃ va māṇai thī avarāi /	jaH Navi mANE... saH kim va mANE TI avarAi /
   ... ... ... mā kari ṇeha amhahaṃ bhaṅgu // Suk_11.12 (=94) //	... ... ... mA kari Na-iha amhaham BaFgu // Suc-_11.12 (=94) //
   [yo viparītaṃ manyate...sa kimiva manyate striyamaparām /	[yaH viparItam manyate...sa kim-iva manyate striyam-aparAm /
   ... ... ...] // Suk_11.12* (=94*) //	... ... ...] // Suc-_11.12* (=94*) //
   śrūyate rukmiṇī pūrvaṃ kṛṣṇeva madanāturā /	SrUyate rukmiNI pUrvam kRzNA-iva madana-AturAH /
   gṛhītā bhrātṛjāyāpi kaḥ kāmamatilaṅghayet // Suk_11.13 (=95) //	gRhItA BrAtR-jAyA-api kaH kAmam-atilaFGayet // Suc-_11.13 (=95) //
   virañcirapi kāmārtaṃ svasutāmabhilāṣukaḥ /	viraQciH-api kAma-Artam sva-sutAm-aBilAzukaH /
   dṛśyate 'dyāpi viyati hāriṇīṃ tanumāśritaḥ // Suk_11.14 (=96) //	dRSyate adya-api viyati hAriNIm tanum-ASritaH // Suc-_11.14 (=96) //
   vivāhe pārvatī dṛṣṭvā harasya haravallabhām /	vivAhe pArvatI dRzwvA harasya hara-vallaBAm /
   caskanda retastasyāpi bālakhilyāstadudbhavāḥ // Suk_11.15 (=97) //	caskanda retaH-tasya-api bAlaKilyAH-tad-udBavAH // Suc-_11.15 (=97) //
   tayaivaṃ bodhito mūrkhaḥ sa yāvadramate na tām /	tayA-evam boDitaH mUrKaH sa yAvat-ramate na tAm /
   phūtkṛtaṃ muṣitāsmīti trāyatāṃ trāyatāmaho // Suk_11.16 (=98) //	PUtkRtam muzitA-asmi-iti trAyatAm trAyatAm-aho // Suc-_11.16 (=98) //
   tayā ca phūtkṛte kimidamiti kurvāṇo bāndhavaiḥ saha dhāvito bhartā /	tayA ca PUtkRte kim-idam-iti kurvANaH bAnDavEH saha DAvitaH BartA /
   sa ca kathaṃ mucyate? iti praśnaḥ /	sa ca kaTam mucyate? iti praSnaH /
   uttaram-evaṃ ca sa brāhmaṇaḥ sabhayaḥ sannataḥ pādayoḥ patito	uttaram--evam ca sa brAhmaNaH sa-BayaH sannataH pAdayoH patitaH-
   jagāda-svāmini! prāṇān rakṣa /	jagAda--svAmini! prANAn rakza /
   tavehitaṃ kariṣyāmi /	tava-Ihitam karizyAmi /
   evaṃ sthite sā dugdhasahitaṃ bhaktamaḍhaṇḍholayat antike jvalinamajvālayat	evam sTite sA dugDa-sahitam Baktam-aXaNXolayat antike jvalinam-ajvAlayat-
   āgataṃ ca patiṃ jagāda-asya viṣūcikā upapannā /	Agatam ca patim jagAda-asya vizUcikA upapannA /
   tato mayā phūtkṛtam /	tatas mayA PUtkRtam /
   evamuktvā dugdhabhaktaṃ pradaśitam /	evam-uktvA dugDa-Baktam pradaSitam /
   patirapi mūrkho dṛṣṭvā yayau /	patiH-api mUrKaH dRzwvA yayO /
   tataḥ sā patyau supte yadṛcchayā surataṃ cakāra /	tatas sA patyO supte yadRcCayA suratam cakAra /
   so 'pi ca māndyavyājānmāsamekaṃ sthitaḥ paścājjagāma /	saH api ca mAndya-vyAjAt-mAsam-ekam sTitaH paScAt-jagAma /
   iti śrutvā prabhāvatī suptā /	iti SrutvA praBAvatI suptA /
   iti śukasaptatau ekādaśī kathā //	iti Suka-saptatO ekAdaSI kaTA //
   START Suk 12:	START Suc 12:
   athānyadā sā calitā /	aTa-anyadA sA calitA /
   śukaḥ prāha-	SukaH prAha-
   viparīte samāyāte yadi vetsi tvamutaram /	viparIte samAyAte yadi vetsi tvam-utaram /
   yathā śobhikayā proktaṃ vavvūle carite sati // Suk_12.1 (=99) //	yaTA SoBikayA proktam vavvUle carite sati // Suc-_12.1 (=99) //
   astyatra nalauḍāgrāme kulālo mahādhanaḥ /	asti-atra na-lOxa-AgrAme kulAlaH mahADanaH /
   tasya bhāryā śobhikā nāma paraṃ kulaṭā naralampaṭā ca /	tasya BAryA SoBikA nAma param kulawA nara-lampawA ca /
   sā patyau bahirgate upapatisahitā gṛhāntaḥ krīḍati /	sA patyO bahis-gate upapati-sahitA gRha-antar krIxati /
   tasyāścaivaṃ sthitāyā bhartā gṛhaṃ samāgamat /	tasyAH-ca-evam sTitAyAH BartA gRham samAgamat /
   tadanantaraṃ sā kathaṃ bhavatviti praśnaḥ //	tad-anantaram sA kaTam Bavatu-iti praSnaH //
   śukaḥ prāha-yadā ca tayā sa āgacchan jñānastadā upapatiruktaḥ-"ca] tvaṃ	SukaH prAha-yadA ca tayA saH AgacCan jQAnaH-tadA upapatiH-uktaH-"ca] tvam
   vavvūlavṛkṣam' /	vavvUlavRkzam-a /
   evaṃ ca sa tayo proktastathā cakāra /	evam ca sa tayo proktaH-taTA cakAra /
   tasya ca vṛkṣe caṭataḥ paridhānavastraṃ vilagnaṃ nagno 'pi vṛkṣamārūḍhaḥ /	tasya ca vRkze cawataH pariDAna-vastram vilagnam nagnaH api vRkzam-ArUXaH /
   tasmiṃśca vṛkṣamārūḍhe patiḥ prāha-kamidamiti /	tasmin=-ca vRkzam-ArUXe patiH prAha-kam-idam-iti /
   sā āha-ayaṃ śatrubhirabhibhūto 'dovastramapi tyaktvā vavvūlamadhirūḍhaḥ /	sA Aha-ayam SatruBiH-aBiBUtaH adovastram-api tyaktvA vavvUlam-aDirUXaH /
   tataḥ samāgatya tasyāḥ patinā vṛkṣānmandaṃ mandamuttārya sa svagṛhaṃ	tatas samAgatya tasyAH patinA vRkzAn-mandam mandam-uttArya sa sva-gRham
   preṣitaḥ /	prezitaH /
   tayā dhūrtayā ca sahahastatālaṃ hasitam /	tayA DUrtayA ca saha-hasta-tAlam hasitam /
   iti kathāṃ śrutvā prabhāvatī suptā /	iti kaTAm SrutvA praBAvatI suptA /
   iti śukasaptatau dvādaśokathā //	iti Suka-saptatO dvAdaSokaTAH //
   START Suk 13:	START Suc 13:
   athānyedyuḥ prabhāvatī śukaṃ pṛcchati /	aTa-anyedyus praBAvatI Sukam pRcCati /
   śuka āha-	SukaH Aha-
   vraja devi sukhaṃ bhuṅkṣva ardhabhukte patau yathā /	vraja devi suKam BuFkzva arDa-Bukte patO yaTA /
   kṛtaṃ rājikayā cittamuttaraṃ dhūlisaṃyutam // Suk_13.1 (=100) //	kRtam rAjikayA cittam-uttaram DUli-saMyutam // Suc-_13.1 (=100) //
   asti nāgapuraṃ nāma sthānam /	asti nAgapuram nAma sTAnam /
   yatraiko vaṇika /	yatra-ekaH vaNikaH /
   tatpatnī rājikānāmnī surūpā paraṃ duścāriṇo /	tad-patnI rAjikA-nAmnI surUpA param duScAriNaH /
   vaṇiksutaśca tāṃ narāntarāsaktāṃ na jānāti /	vaNij-sutaH-ca tAm nara-antara-AsaktAm na jAnAti /
   tataśca ekadā sa bhojanāya yadopaviṣṭastadā upapatiḥ kṛtasaṃketo mārge	tatas-ca ekadA sa BojanAya yadA-upavizwaH-tadA upapatiH kRta-saMketaH mArge
   gacchan tayā dṛṣṭaḥ /	gacCan tayA dRzwaH /
   taṃ ta dṛṣṭvā gṛhe 'dya dhṛtaṃ nāsti ityuktvā dravyaṃ tatsakāśādādāya	tam te dRzwvA gRhe adya DRtam na-asti iti-uktvA dravyam tad-sakASAt-AdAya
   ghṛtānayanadambhena veśmato nirgatya ca sā bahirjāreṇa saha ciraṃ sthitā /	GRta-Anayana-damBena veSmataH nirgatya ca sA bahis-jAreNa saha ciram sTitA /
   patistu gṛhe kṣudhārtaḥ kruddhaśca /	patiH-tu gRhe kzuDA-ArtaH krudDaH-ca /
   tataḥ sā kathaṃ gṛhaṃ gantumarhati-iti praśnaḥ /	tatas sA kaTam gRham gantum-arhati--iti praSnaH /
   uttaram-tataḥ sā hastau pādau mukhaṃ ca dhūlidhūsaraṃ vidhāya sadrammā	uttaram-tatas sA hastO pAdO muKam ca DUli-DUsaram viDAya sadrammA
   dhūliṃ gṛhītvā gṛhamāgatā /	DUlim gRhItvA gRham-AgatAH /
   patiḥ kruddho raktekṣaṇaḥ kimidamityāha /	patiH krudDaH rakta-IkzaNaH kim-idam-iti-Aha /
   sā ca saniḥśvāsaṃ rudatī dhūlipuñjaṃ darśayitvā idamuvāca-yatkṛte tvaṃ	sA ca sa-niHSvAsam rudatI DUli-puQjam darSayitvA idam-uvAca-yat-kRte tvam
   kruddhaḥ sa te dravyo 'tra dhūlyāṃ patitaḥ /	krudDaH sa te dravyaH atra DUlyAm patitaH /
   enāmutkṣipya gṛhāṇa tvam /	enAm-utkzipya gRhANa tvam /
   evamuktaḥ sa vilakṣaḥ tadaṅgāni vastrāñcalena sammārjya sāntvayāmāsa	evam-uktaH sa vilakzaH tad-aFgAni vastra-aQcalena sammArjya sAntvayAmAsa
   vividhalālanaiḥ /	viviDa-lAlanEH /
   iti kathāṃ śrutvā prabhāvatī suptā /	iti kaTAm SrutvA praBAvatI suptA /
   iti śukasaptatau trayodaśī kathā //	iti Suka-saptatO trayodaSI kaTA //
   START Suk 14:	START Suc 14:
   sā nitambini anyedyuścalitā /	sA nitambini anyedyus-calitAH /
   śukenoktam- yuktameva viśālākṣi paraṃ rantuṃ yadṛcchayā /	Sukena-uktam yuktam-eva viSAla-akzi param rantum yadRcCayA /
   yadyāyāte patau vetsi dhanaśrīriva bhāṣitum // Suk_14.1 (=101) //	yadi-AyAte patO vetsi Dana-SrIH-iva BAzitum // Suc-_14.1 (=101) //
   prabhāvatyāha-kimetat /	praBAvati-Aha-kim-etat /
   śukaḥ prāha-asti padmāvatī purī /	SukaH prAha-asti padmAvatI purI /
   tatra dhanavālo nāma vaṇik /	tatra DanavAlaH nAma vaNij /
   tasya bhāryā prāṇebhyo 'pi priyā dhanaśrornāma /	tasya BAryA prANeByaH api priyA DanaSroH-nAma /
   tacca mithunaṃ parasparaṃ snehanirbharaṃ krīḍati /	tat-ca miTunam parasparam sneha-nirBaram krIxati /
   anyadā tu vaṇigdravyasāramādāya tāmāpṛcchya deśāntaraṃ jagāma /	anyadA tu vaNij-dravya-sAram-AdAya tAm-ApRcCya deSa-antaram jagAma /
   sā ca tasmingate saṃsthiteva gṛhasthitā /	sA ca tasmin-gate saMsTitA-iva gRha-sTitA /
   na snāti na ca sā bhuṅkte na jalpati sakhīsamam /	na snAti na ca sA BuFkte na jalpati saKI-samam /
   nirastāśeṣasaṃskārā svadehe 'pi parāṅmukhī // Suk_14.2 (=102) //	nirasta-aSeza-saMskArA sva-dehe api parAFmuKI // Suc-_14.2 (=102) //
   malayānilamārūḍhaḥ kokilālāpaḍiṇḍimaḥ /	malaya-anilam-ArUXaH kokila-AlApa-xiNximaH /
   mallikāmodadūtaśca madhupāravamaṅgalaḥ // Suk_14.3 (=103) //	mallikAmoda-dUtaH-ca maDupArava-maFgalaH // Suc-_14.3 (=103) //
   anyadā tu samāyāto vasantaḥ kālarāṭ kṣitau /	anyadA tu samAyAtaH vasantaH kAla-rAj kzitO /
   mano 'pi vikriyāṃ yasminyāti saṃyamināṃ kila // Suk_14.4 (=104) //	manaH api vikriyAm yasmin-yAti saMyaminAm kila // Suc-_14.4 (=104) //
   tasminvasantotsave gṛhopari sthitā nagarīrāmaṇīyakamālokya yauvanaṃ rūpaṃ	tasmin-vasanta-utsave gRha-upari sTitA nagarI-rAmaNIyakam-Alokya yOvanam rUpam
   ca nininda /	ca nininda /
   sakhī ca tadiṅgitajñā jagāda-bhāmini! rūpaṃ vayaśca mā vyarthaṃ vidhehi /	saKI ca tad-iFgita-jQA jagAda--BAmini! rUpam vayaH-ca mA vyarTam viDehi /
   yataḥ- vādyate śṛṇu rambhoru kokilārāvaḍiṇḍimaḥ /	yatas- vAdyate SRNu ramBA-Uru kokila-ArAva-xiNximaH /
   madanasya nṛpasyeva vasantena dharātale // Suk_14.5 (=105) //	madanasya nRpasya-iva vasantena DarA-tale // Suc-_14.5 (=105) //
   muñcantu māninaḥ sarve mānaṃ sevantu vallabhāḥ /	muQcantu mAninaH sarve mAnam sevantu vallaBAH /
   gatvaraṃ yauvanaṃ loke jīvitaṃ ca tathā calam // Suk_14.6 (=106) //	gatvaram yOvanam loke jIvitam ca taTA calam // Suc-_14.6 (=106) //
   tatastvamapi kuru vayaḥsāphalyamityukte dhanaśrīrjagāda-nāhaṃ vilambituṃ	tatas-tvam-api kuru vayaH-sAPalyam-iti-ukte Dana-SrIH-jagAt-a-nA-aham vilambitum
   sahāmi /	sahAmi /
   yattvayā bhavati tat śīghraṃ vidhehi /	yat-tvayA Bavati tat SIGram viDehi /
   tatastayā sā narāntareṇa yojitā /	tatas-tayA sA nara-antareNa yojitA /
   yadā ca sā tenātmāsaktā jñātā tadā tadīyaśiroveṇī chinnā /	yadA ca sA tena-Atma-AsaktA jQAtA tadA tadIya-SiraH-veNI CinnA /
   tatkāle ca patirdeśāntarādājagāma /	tad-kAle ca patiH-deSa-antarAt-AjagAma /
   tadā sā kathaṃ bhavatviti praśnaḥ /	tadA sA kaTam Bavatu-iti praSnaH /
   śukaḥ prāha-yadā ca patirgṛhadvāramāyayau tadā tayottaraṃ	SukaH prAha-yadA ca patiH-gRha-dvAram-AyayO tadA tayA-uttaram
   vicintyokm-nātha! tvayā tādavadgṛhadvāri sthīyatāṃ yāvatsarvaṃ sajjaṃ	vicintya-ukm-nATa! tvayA tAdavat-gRha-dvAri sTIyatAm yAvat-sarvam sajjam
   vidhīyate /	viDIyate /
   tena caivaṃ pratipanne sā madhye gatvā bhaṭṭārikāṃ pūjayitvā purato veṇīṃ	tena ca-evam pratipanne sA maDye gatvA BawwArikAm pUjayitvA puratas veNIm
   sthāpayāmāsa /	sTApayAmAsa /
   evaṃ kṛtvā bahirnirgatya caraṇamaṇḍakaiḥ patiṃ gṛhantardevīpurato nītvā	evam kRtvA bahis-nirgatya caraNa-maNxakEH patim gRhantar-devI-puratas nItvA
   jagāda-nātha! pūjaya gṛhādhidevatām /	jagAda--nATa! pUjaya gRha-aDidevatAm /
   tena pūjayatā veṇīṃ dṛṣṭvā uktam-kimidamiti /	tena pUjayatA veNIm dRzwvA uktam--kim-idam-iti /
   tayoktam-mayopayācitamāsīt /	tayA-uktam--mayA-upayAcitam-AsIt /
   yadā me patiḥ sameṣyati tadā svāminyahaṃ tavāgre veṇīṃ chetsyāmi /	yadA me patiH samezyati tadA svAmini-aham tava-agre veNIm CetsyAmi /
   tadadhunā mayā kṛtam /	tad-aDunA mayA kRtam /
   sa ca mugdho devīṃ namaskṛtya tāṃ bahu mānayāmāsa /	sa ca mugDaH devIm namaskRtya tAm bahu mAnayAmAsa /
   iti kathāṃ śrutvā prabhāvatī suptā /	iti kaTAm SrutvA praBAvatI suptA /
   iti śukasaptatau caturdaśī kathā //	iti Suka-saptatO caturdaSI kaTA //
   START Suk 15:	START Suc 15:
   anyadā sā calitā /	anyadA sA calitA /
   hasannāha śuko yāhi yadi kartuṃ tvamuttaram /	hasan=-Aha SukaH yAhi yadi kartum tvam-uttaram /
   vetsi yathā śriyādevyā nūpure 'pahṛte kṛtam // Suk_15.1 (=107) //	vetsi yaTA SriyAdevyAH nUpure apahRte kRtam // Suc-_15.1 (=107) //
   asti śālipuraṃ nāma nagaram /	asti SAlipuram nAma nagaram /
   tatra śāligo vaṇik /	tatra SAli-gaH vaNij /
   tatpatnī jayikā /	tad-patnI jayikA /
   tayoḥ suto guṇākaro nāmābhūt /	tayoH sutaH guNAkaraH nAma-aBUt /
   tadbhāryā śriyādevī /	tad-BAryA SriyAdevI /
   sā cāpareṇa subuddhināmnā vaṇijā saha ramate /	sA ca-apareNa subudDi-nAmnA vaNijA saha ramate /
   tato lokāpavāde 'pi saṃjāte 'nuraktastadīyaḥ patirna kimapi karṇe karoti /	tatas loka-apavAde api saMjAte anuraktaH-tadIyaH patiH-na kim-api karNe karoti /
   uktañca- rattā picchanti guṇā dosā picchanti je virattatti /	uktaQca rattA picCanti guNAH dosAH picCanti je virattatti /
   majjhatthā uṇa purisā dosā vi guṇā vi picchanti // Suk_15.2 (=108) //	majJatTAH uNa purisA dosAH vi guNAH vi picCanti // Suc-_15.2 (=108) //
   [raktāḥ pṛcchanti guṇān doṣān pṛcchanti ye viraktāḥ /	[raktAH pRcCanti guNAn dozAn pRcCanti ye viraktAH /
   madhyasthāḥ punaḥ puruṣā doṣānapi guṇānapi pṛcchanti] // Suk_15.2* (=108*)	maDyasTAH punar puruzAH dozAn-api guNAn-api pRcCanti] // Suc-_15.2* (=108*)
   kiñca- mahilārattā purisā cheā vi ṇa saṃbharanti appāṇaṃ /	kiQca mahilA-rattA purisA CeAH vi Na saMBaranti appANam /
   iare uṇa taruṇīṇaṃ purisā salilaṃ va hatthagaaṃ // Suk_15.3 (=109) //	iare uNa taruNINam purisA salilam va hatTa-gaam // Suc-_15.3 (=109) //
   [mahilāraktāḥ puruṣāśchekā api na sambharanti ātmanām /	[mahilA-raktAH puruzAH-CekAH api na samBaranti AtmanAm /
   itare punastaruṇīnāṃ puruṣāḥ salilameva hastagatam] // Suk_15.3* (=109*)	itare punar-taruNInAm puruzAH salilam-eva hasta-gatam] // Suc-_15.3* (=109*)
   anyadā sā śvaśureṇa narāntarasahitā suptā dṛṣṭā /	anyadA sA SvaSureNa nara-antara-sahitA suptA dRzwAH /
   tataścaraṇānnūpuraṃ śvaśureṇa cottāritaṃ tayā ca jñātam /	tatas-caraNAt-nUpuram SvaSureNa ca-uttAritam tayA ca jQAtam /
   tataḥ sā taṃ jāraṃ prasthāpya bhartāraṃ tatrānīya tena saha suptā /	tatas sA tam jAram prasTApya BartAram tatra-AnIya tena saha suptA /
   nidrāntare ca patirutthāpitaḥ kathitañca-tvadoyena pitrā	nidrA-antare ca patiH-utTApitaH kaTi-taQca--tu-a-doyena pitrA
   nūpuramasmatpādādavartāya gṛhītam /	nUpuram-asmad-pAdAt-avartAya gRhItam /
   evaṃvidhaṃ ca pātakaṃ kvāpi na dṛṣṭaṃ yadvadhūpādāt śvaśuro nūpuraṃ	evaMviDam ca pAtakam kvApi na dRzwam yat-vaDU-pAdAt SvaSuraH nUpuram
   gṛhṇāti /	gRhNAti /
   tenoktam-prātaḥ pituḥ sakāśātsvayamarpayiṣyāmi /	tena-uktam--prAtar pituH sakASAt-svayam-arpayizyAmi /
   tena ca guṇākareṇa pitara nirbhartsya tatsakāśānnūpuraṃ yācitam /	tena ca guNa-AkareNa pitara nirBartsya tad-sakASAt-nUpuram yAcitam /
   pitrā coktam-yadiyaṃ parapuruṣeṇa saha suptā dṛṣṭā ato mayā nūpuraṃ	pitrA ca-uktam--yat-iyam para-puruzeNa saha suptA dRzwAH atas mayA nUpuram
   gṛhītam /	gRhItam /
   tayoktam-tvatputreṇa saha suptāhamāsam /	tayA-uktam--tvad-putreNa saha suptA-ahamAsam /
   ityarthe divyaṃ karomi /	iti-arTe divyam karomi /
   atraiva grāme uttarasyāṃ diśi yakṣo 'sti /	atra-eva grAme uttarasyAm diSi yakzaH asti /
   tasya jaṅghāntarānnirgamiṣyāmi /	tasya jaFGA-antarAt-nirgamizyAmi /
   yaḥ kaścitsatyo bhavati sa jaṅghayorantarānniṣkrāmyatīti prasiddham /	yaH kaScid-satyaH Bavati sa jaFGayoH-antarAt-nizkrAmyati-iti prasidDam /
   evaṃ śvaśureṇa cāṅgīkṛte sā kulaṭā sati dine jārasya gṛhe gatvā	evam SvaSureNa ca-aFgIkRte sA kulawA sati dine jArasya gRhe gatvA
   tamuvāca-bho kānta! prātarahaṃ divyārthaṃ yakṣasya	tam-uvAca--Bo kAnta! prAtar-aham divya-arTam yakzasya
   jaṅghāntarānnirgamiṣyāmi /	jaFGA-antarAt-nirgamizyAmi /
   tvayā tatra samāgatya vātūlatvamāśritya mama kaṇṭhagraho vidheyaḥ /	tvayA tatra samAgatya vAtUla-tvam-ASritya mama kaNWa-grahaH viDeyaH /
   tena ca tathokte sā svagṛhamājagāma /	tena ca taTA-ukte sA sva-gRham-AjagAma /
   atha prāpaḥ samastamahājanaṃ malayitvā puṣpākṣatādikamādaya yakṣāyatane	aTa prApaH samasta-mahA-janam malayitvA puzpa-akzata-Adikam-Adaya yakza-Ayatane
   gatvā samīpasarasi snānaṃ kṛtvā yakṣapūjārthaṃ samāgacchantyāstasyāḥ	gatvA samIpa-sarasi snAnam kRtvA yakza-pUjA-arTam samAgacCantyAH-tasyAH
   pūrvasaṅketito jāro grahilībhūtastatkaṇṭhe nijabāhudvayaṃ yojayāmāsa /	pUrva-saFketitaH jAraH grahilIBUtaH-tad-kaNWe nija-bAhu-dvayam yojayAmAsa /
   tata āḥ kimetadityabhidhāya sā punaḥ snānārthaṃ yayau /	tatas AH kim-etat-iti-aBiDAya sA punar snAna-arTam yayO /
   so 'pi grahilo lokaiḥ kaṇṭhe gṛhītvā tasmātpradeśāddūrīkṛtaḥ /	saH api grahilaH lokEH kaNWe gRhItvA tasmAt-pradeSAt-dUrIkRtaH /
