   ******************** ADHYAYA 1 ********************	******************** ADHYAYAH 1 ********************
   BhGR_4.36 //	BhGR_4.36 //
   yathaidhāṃsi samiddho 'gnir bhasmasāt kurute 'rjuna |	yaTA eDAMsi samidDaH agniH BasmasAt kurute arjunaH |
   jñānāgniḥ sarvakarmāṇi bhasmasāt kurute tathā || BhG_4.37 ||	jQAna agniH sarva karmANi BasmasAt kurute taTA || Bhu _4.37 ||
   samyakpravṛddho 'gnir indhanasañcayam iva, ātmayāthātmyajñānarūpo 'gnir	samyak pravRdDaH agniH inDana saQcayam iva, AtmayATAtmya jQAna rUpaH agniH 
   jīvātmagatam anādikālapravṛttānantakarmasañcayaṃ bhasmīkaroti // BhGR_4.37	jIvAtma gatam anAdi kAla pravRtta ananta karma saQcayam BasmIkaroti // BhGR_4.37
   na hi jñānena sadṛśaṃ pavitram iha vidyate |	na hi jQAnena sadRSam pavitram iha vidyate |
   tat svayaṃ yogasaṃsiddhaḥ kālenātmani vindati || BhG_4.38 ||	tat svayam yoga saMsidDaH kAlena Atmani vindati || Bhu _4.38 ||
   yasmād ātmajñānena sadṛśaṃ pavitraṃ śuddhikaram iha jagati vastvantaraṃ na	yasmAt Atma jQAnena sadRSam pavitram SudDi karam iha jagati vastu antaram na
   vidyate, tasmād ātmajñānaṃ sarvapāpaṃ nāśayatītyarthaḥ / tat tathāvidhaṃ	vidyate, tasmAt Atma jQAnam sarva pApam nASayati iti arTaH / tat taTAviDam
   jñānaṃ yathopadeśam aharaharanuṣṭhīyamānajñānākārakarmayogasaṃsiddhaḥ	jQAnam yaTopadeSam aharahar anuzWIyamAna jQAna AkAra karma yoga saMsidDaH
   kālena svātmani svayam eva labhate // BhGR_4.38 //	kAlena sva Atmani svayam eva laBate // BhGR_4.38 //
   tad eva vispaṣṭam āha	tat eva vispazwam Aha
   śraddhāvān labhate jñānaṃ tatparaḥ saṃyatendriyaḥ |	SradDAvAn laBate jQAnam tad paraH saMyata indriyaH |
   jñānaṃ labdhvā parām śāntim acireṇādhigacchati || BhG_4.39 ||	jQAnam labDvA parAm SAntim acireNa aDigacCati || Bhu _4.39 ||
   evam upadeśāj jñānaṃ labdhvā copadiṣṭajñānavṛddhau śraddhāvān tatparaḥ	evam upadeSAt jQAnam labDvA ca upadizwa jQAna vRdDO SradDAvAn tad paraH
   tatraiva niyatamanāḥ taditaraviṣayāt saṃyatendriyo 'cireṇa	tatra eva niyata manAH tad itara vizayAt saMyata indriyaH acireNa
   kālenoktalakṣaṇavipākadaśāpannaṃ jñānaṃ labhate, tathāvidhaṃ jñānaṃ	kAlena ukta lakzaNa vipAka daSA Apannam jQAnam laBate, taTAviDam jQAnam
   labdhvā parām śāntim acireṇādhigacchati paraṃ nirvāṇam āpnoti // BhGR_4.39	labDvA parAm SAntim acireNa aDigacCati param nirvANam Apnoti // BhGR_4.39
   ajñaś cāśraddadhānaś ca saṃśayātmā vinaśyati |	ajQaH ca aSraddaDAnaH ca saMSaya AtmA vinaSyati |
   nāyaṃ loko 'sti na paro na sukhaṃ saṃśayātmanaḥ || BhG_4.40 ||	na ayam lokaH asti na paraH na suKam saMSaya AtmanaH || Bhu _4.40 ||
   ajñaḥ evam upadeśalabdhajñānarahitaḥ, upadiṣṭajñānavṛddhyupāye	ajQaH evam upadeSa labDa jQAna rahitaH, upadizwa jQAna vRdDi upAye
   cāśraddhadhānaḥ atvaramāṇaḥ, upadiṣṭe ca jñāne saṃśayātmā saṃśayamanāḥ	ca aSradDaDAnaH atvaramANaH, upadizwe ca jQAne saMSaya AtmA saMSaya manAH
   vinaśyati vinaṣṭo bhavati / asminn upadiṣṭe ātmayāthātmyaviṣaye jñāne	vinaSyati vinazwaH Bavati / asmin upadizwe AtmayATAtmya vizaye jQAne
   saṃśayātmano 'yam api prākṛto loko nāsti, na ca paraḥ /	saMSaya AtmanaH ayam api prAkRtaH lokaH na asti, na ca paraH /
   dharmārthakāmarūpapuruṣārthāś ca na sidhyanti, kuto mokṣa ityarthaḥ;	Darma arTa kAma rUpa puruza arTAH ca na siDyanti, kutas mokzaH iti arTaH;
   śāstrīyakarmasiddhirūpatvāt sarveṣāṃ puruṣārthānām,	SAstrIya karma sidDi rUpa tvAt sarvezAm puruza arTAnAm ,
   śāstrīyakarmajanyasiddheś ca dehātiriktātmaniścayapūrvakatvāt / ataḥ	SAstrIya karma janya sidDeH ca deha atirikta Atma niScaya pUrvaka tvAt / atas 
   sukhalavabhāgitvam ātmani saṃśayātmano na saṃbhavati // BhGR_4.40 //	suKa lava BAgi tvam Atmani saMSaya AtmanaH na saMBavati // BhGR_4.40 //
   yogasaṃnyastakarmāṇaṃ jñānasaṃcchinnasaṃśayam |	yoga saMnyasta karmANam jQAna saMcCinna saMSayam |
   ātmavantaṃ na karmāṇi nibadhnanti dhanañjaya || BhG_4.41 ||	Atmavantam na karmANi nibaDnanti DanaQjaya || Bhu _4.41 ||
   yathopadiṣṭayogena saṃnyastakarmāṇam jñānākāratāpannakarmāṇaṃ	yaTA upadizwa yogena saMnyasta karmANam jQAna AkAra tA Apanna karmANam
   yathopadiṣṭena cātmajñānena ātmani saṃcchinnasaṃśayam, ātmavantaṃ	yaTA upadizwena ca Atma jQAnena Atmani saMcCinna saMSayam, Atmavantam
   manasvinam upadiṣṭārthe dṛḍhāvasthitamanasaṃ	manasvinam upadizwa arTe dRXa avasTita manasam
   bandhahetubhūtaprācīnānantakarmāṇi na nibadhnanti // BhGR_4.41 //	banDa hetu BUta prAcIna ananta karmANi na nibaDnanti // BhGR_4.41 //
   tasmād ajñānasaṃbhūtaṃ hṛtsthaṃ jñānāsinātmanaḥ |	tasmAt ajQAna saMBUtam hRd sTam jQAna asinA AtmanaH |
   chittvainaṃ saṃśayaṃ yogam ātiṣṭhottiṣṭha bhārata || BhG_4.42 ||	CittvA enam saMSayam yogam AtizWa uttizWa BArata || Bhu _4.42 ||
   tasmād anādyajñānasaṃbhūtaṃ hṛtstham ātmaviṣayaṃ saṃśayaṃ	tasmAt anAdya jQAna saMBUtam hRd sTam Atma vizayam saMSayam
   mayopadiṣṭenātmajñānāsinā chittvā mayopadiṣṭaṃ karmayogam ātiṣṭha;	mayA upadizwena Atma jQAna asinA CittvA mayA upadizwam karma yogam AtizWa;
   tadartham uttiṣṭha bhārateti // BhGR_4.42 //	tad arTam uttizWa BArata iti // BhGR_4.42 //
   ******************** ADHYAYA 5 ********************	******************** ADHYAYAH 5 ********************
   caturthe 'dhyāye karmayogasya jñānākāratāpūrvakasvarūpabhedo jñānāṃśasya	caturTe aDyAye karma yogasya jQAna AkAra tA pUrvaka sva rUpa BedaH jQAna aMSasya
   ca prādhānyam uktam; jñānayogādhikāriṇo 'pi	ca prADAnyam uktam; jQAna yoga aDikAriNaH api
   karmayogasyāntargatātmajñānatvād apramādatvāt sukaratvān nirapekṣatvāc ca	karma yogasya antargata Atma jQAna tvAt apramAda tvAt sukara tvAt nirapekza tvAt ca
   jyāyastvaṃ tṛtīya evoktam / idānīṃ karmayogasyātmaprāptisādhanatve	jyAyaH tvam tRtIyaH eva uktam / idAnIm karma yogasya Atma prApti sADana tve
   jñānaniṣṭhāyāś śaighryaṃ karmayogāntargatākarṭrtvānusandhānaprakāraṃ ca	jQAna nizWAyAH SEGryam karma yoga antargata AkarwrtvA anusanDAna prakAram ca
   pratipādya tanmūlaṃ jñānaṃ ca viśodhyate //	pratipAdya tad mUlam jQAnam ca viSoDyate //
   arjuna uvāca	arjunaH uvAca
   saṃnyāsaṃ karmaṇāṃ kṛṣṇa punar yogaṃ ca śaṃsasi |	saMnyAsam karmaNAm kRzNa punar yogam ca SaMsasi |
   yac chreya etayor ekaṃ tan me brūhi suniścitam || BhG_5.1 ||	yat SreyaH etayoH ekam tat me brUhi su niScitam || Bhu _5.1 ||
   karmaṇāṃ saṃnyāsaṃ jñānayogam punaḥ karmayogaṃ ca śaṃsasi / etad uktaṃ	karmaNAm saMnyAsam jQAna yogam punar karma yogam ca SaMsasi / etat uktam
   bhavati dvitīye 'dhyāye mumukṣoḥ prathamaṃ karmayoga eva kāryaḥ,	Bavati dvitIye aDyAye mumukzoH praTamam karma yogaH eva kAryaH,
   karmayogena mṛditāntaḥkaraṇakaṣāyasya jñānayogenātmadarśanaṃ kāryam iti	karma yogena mRdita antaHkaraNa kazAyasya jQAna yogena Atma darSanam kAryam iti
   pratipādya punas tṛtīyacaturthayoḥ jñānayogādhikāradaśāpannasyāpi	pratipAdya punar tRtIya caturTayoH jQAna yoga aDikAra daSApannasya api
   karmaniṣṭhaiva jyāyasī, saiva jñānaniṣṭhānirapekṣā ātmaprāptau sādhanam	karma nizWA eva jyAyasI, sA eva jQAna nizWA niH apekzAH Atma prAptO sADanam
   iti karmaniṣṭhāṃ praśaṃśasi iti / tatraitayor jñānayogakarmayogayor	iti karma nizWAm praSaMSasi iti / tatra etayoH jQAna yoga karma yogayoH 
   ātmaprāptisādhanabhāve yad ekaṃ saukāryac chaighryāc ca śreyaḥ śreṣṭham	Atma prApti sADana BAve yat ekam sOkAryat SEGryAt ca SreyaH SrezWam
   iti suniścitam, tan me brūhi // BhGR_5.1 //	iti su niScitam, tat me brUhi // BhGR_5.1 //
   śrībhagavān uvāca	SrI BagavAn uvAca
   saṃnyāsaḥ karmayogaś ca niśśreyasakarāv ubhau |	saMnyAsaH karma yogaH ca niSSreyasa karO uBO |
   tayos tu karmasaṃnyāsāt karmayogo viśiṣyate || BhG_5.2 ||	tayoH tu karma saMnyAsAt karma yogaH viSizyate || Bhu _5.2 ||
   saṃnyāsaḥ jñānayogaḥ, karmayogaś ca jñānayogaśaktasyāpy ubhau nirapekṣau	saMnyAsaH jQAna yogaH, karma yogaH ca jQAna yoga Saktasya api uBO nirapekzO
   niśśreyasakarau / tayos tu karmasaṃnyāsāj jñānayogāt karmayoga eva	niSSreyasa karO / tayoH tu karma saMnyAsAt jQAna yogAt karma yogaH eva
   viśiṣyate // BhGR_5.2 //	viSizyate // BhGR_5.2 //
   kuta ity atrāha	kutas iti atra Aha
   jñeyaḥ sa nityasaṃnyāsī yo na dveṣṭi na kāṅkṣati |	jQeyaH sa nitya saMnyAsI yaH na dvezwi na kAFkzati |
   nirdvandvo hi mahābāho sukhaṃ bandhāt pramucyate || BhG_5.3 ||	nirdvandvaH hi mahA bAho suKam banDAt pramucyate || Bhu _5.3 ||
   yaḥ karmayogī tadantargatātmānubhavatṛptas tadvyatiriktaṃ kim api na	yaH karma yogI tad antargata AtmA anuBava tRptaH tad vyatiriktam kim api na
   kāṅkṣati, tata eva kim api na dveṣṭi, tata eva dvandvasahaś ca; sa	kAFkzati, tatas eva kim api na dvezwi, tatas eva dvandva sahaH ca; sa
   nityasaṃnyāsī nityajñānaniṣṭha iti jñeyaḥ / sa hi	nitya saMnyAsI nitya jQAna nizWaH iti jQeyaH / sa hi
   sukarakarmayoganiṣṭhatayā sukhaṃ bandhāt pramucyate // BhGR_5.3 //	sukara karma yoga nizWatayA suKam banDAt pramucyate // BhGR_5.3 //
   jñānayogakarmayogayor ātmaprāptisādhanabhāve 'nyonyanairapekṣyam āha	jQAna yoga karma yogayoH Atma prApti sADana BAve anyonyanEH apekzyam Aha
   sāṃkhyayogau pṛthag bālāḥ pravadanti na paṇḍitāḥ |	sAMKya yogO pRTak bAlAH pravadanti na paNxitAH |
   ekam apy āsthitas samyag ubhayor vindante phalam || BhG_5.4 ||	ekam api AsTitaH samyak uBayoH vindante Palam || Bhu _5.4 ||
   jñānayogakarmayogau phalabhedāt pṛthag bhūtau ye pravadanti, te bālāḥ	jQAna yoga karma yogO Pala BedAt pRTak BUtO ye pravadanti, te bAlAH
   aniṣpannajñānāḥ na paṇḍitāḥ akṛtsnavidaḥ / karmayogo jñānayogam eva	anizpanna jQAnAH na paNxitAH akRtsna vidaH / karma yogaH jQAna yogam eva
   sādhayati; jñānayogas tv eka ātmāvalokanaṃ sādhayatīti tayoḥ phalabhedena	sADayati; jQAna yogaH tu ekaH AtmA avalokanam sADayati iti tayoH Pala Bedena
   pṛthaktvaṃ vadanto na paṇḍitā ityarthaḥ / ubhayor ātmāvalokanaikaphalayor	pRTaktvam vadantaH na paNxitAH iti arTaH / uBayoH Atma avalokana eka PalayoH 
   ekaphalatvena ekam apy āsthitas tad eva phalaṃ labhate // BhGR_5.4 //	eka Pala tvena ekam api AsTitaH tat eva Palam laBate // BhGR_5.4 //
   etad eva vivṛṇoti	etat eva vivRNoti
   yat sāṃkhyaiḥ prāpyate sthānaṃ tad yogair api gamyate |	yat sAMKyEH prApyate sTAnam tat yogEH api gamyate |
   ekaṃ sāṃkhyaṃ ca yogaṃ ca yaḥ paśyati sa paśyati || BhG_5.5 ||	ekam sAMKyam ca yogam ca yaH paSyati sa paSyati || Bhu _5.5 ||
   sāṃkhyaiḥ jñānaniṣṭhaiḥ / yad atmāvalokanarūpaṃ phalaṃ prāpyate, tad eva	sAMKyEH jQAna nizWEH / yat atma avalokana rUpam Palam prApyate, tat eva
   karmayoganiṣṭhair api prāpyate / evam ekaphalatvena ekaṃ vaikalpikaṃ	karma yoga nizWEH api prApyate / evam eka Pala tvena ekam vEkalpikam
   sāṃkhyaṃ yogaṃ ca yaḥ paśyati, sa paśyati sa eva paṇḍita ityarthaḥ //	sAMKyam yogam ca yaH paSyati, sa paSyati saH eva paNxitaH iti arTaH //
   BhGR_5.5 //	BhGR_5.5 //
   iyān viśeṣa ity āhā	iyAn viSezaH iti AhA
   saṃnyāsas tu mahābāho duḥkham āptum ayogataḥ |	saMnyAsaH tu mahA bAho duHKam Aptum ayogataH |
   yogayukto munir brahma na cireṇādhigacchati || BhG_5.6 ||	yoga yuktaH muniH brahma na cireNa aDigacCati || Bhu _5.6 ||
   saṃnyāsaḥ jñānayogas tu ayogataḥ karmayogād rte prāptum aśakyaḥ;	saMnyAsaH jQAna yogaH tu ayogataH karma yogAt rte prAptum aSakyaH;
   yogayuktaḥ karmayogayuktaḥ svayam eva muniḥ ātmamananaśīlaḥ sukhena	yoga yuktaH karma yoga yuktaH svayam eva muniH Atma manana SIlaH suKena
   karmayogaṃ sādhayitvā na cireṇa alpenaiva kālena brahmādhigacchati ātmānaṃ	karma yogam sADayitvA na cireNa alpena eva kAlena brahma aDigacCati AtmAnam
   prāpnoti / jñānayogayuktas tu mahatā duḥkhena jñānayogaṃ sādhayati;	prApnoti / jQAna yoga yuktaH tu mahatA duHKena jQAna yogam sADayati;
   duḥkhasādhyatvād ātmānaṃ cireṇa prāpnotītyarthaḥ // BhGR_5.6 //	duHKa sADya tvAt AtmAnam cireNa prApnoti iti arTaH // BhGR_5.6 //
   yogayukto viśuddhātmā vijitātmā jitendriyaḥ |	yoga yuktaH viSudDa AtmA vijita AtmA jita indriyaH |
   sarvabhūtātmabhūtātmā kurvann api na lipyate || BhG_5.7 ||	sarva BUta Atma BUta AtmA kurvan api na lipyate || Bhu _5.7 ||
   karmayogayuktas tu śāstrīye paramapuruṣārādhanarūpe viśuddhe karmaṇi	karmayoga yuktaH tu SAstrIye parama puruza ArADana rUpe viSudDe karmaNi
   vartamānaḥ tena viśuddhamanāḥ vijitātmā svābhyaste te karmaṇi	vartamAnaH tena viSudDa manAH vijita AtmA svAByaste te karmaNi
   vyāpṛtamanastvena sukhena vijitamanāḥ , tata eva jitendiyaḥ kartur ātmano	vyApRta manaH tvena suKena vijita manAH , tatas eva jita indiyaH kartuH AtmanaH 
   yāthātmyānusandhānaniṣṭhatayā sarvabhūtātmabhūtātmā sarveṣāṃ	yATAtmya anusanDa ananizWatayA sarva BUta Atma BUta AtmA sarvezAm
   devādibhūtānām ātmabhūta ātmā yasyāsau sarvabhūtātmabhūtātmā /	deva Adi BUtAnAm Atma BUtaH AtmA yasya asO sarva BUta Atma BUta AtmA /
   ātmayāthātmyam anusandhānasya hi devādīnāṃ svasya caikākāra ātmā;	Atma yATAtmyam anusanDAnasya hi deva AdInAm svasya ca eka AkAraH AtmA;
   devādibhedānāṃ prakṛtipariṇāmaviśeṣarūpatayātmākāratvāsaṃbhavāt /	deva Adi BedAnAm prakRti pariNAma viSeza rUpa tayA Atma AkAra tva asaMBavAt /
   prakṛtiviyuktaḥ sarvatra devādideheṣu jñānaikākāratayā samānākāra iti	prakRti viyuktaH sarvatra deva Adi dehezu jQAna eka AkAra tayA samAna AkAraH iti
   "nirdoṣaṃ hi samaṃ brahma" iti anantaram eva vakṣyate / sa evaṃbhūtaḥ	"nirdozam hi samam brahma" iti anantaram eva vakzyate / saH evaMBUtaH
   karma kurvann api anātmany ātmābhimānena na lipyate na saṃbadhyate / ato	karma kurvan api anAtmani Atma aBimAnena na lipyate na saMbaDyate / atas 
   'cireṇātmānaṃ prāpnotītyarthaḥ // BhGR_5.7 //	acireNa AtmAnam prApnoti iti arTaH // BhGR_5.7 //
   yataḥ saukaryāc chaighryāc ca karmayoga eva śreyān, atas tadapekṣitaṃ śṛṇu	yatas sOkaryAt SEGryAt ca karma yogaH eva SreyAn, atas tad apekzitam SRNu
   naiṣa kiñcit karomīti yukto manyeta tattvavit |	na eza kiQcid karomi iti yuktaH manyeta tattva vid |
   paśyan śṛṇvan spṛśan jighran aśnan gacchan svapan śvasan || BhG_5.8 ||	paSyan SRNvan spRSan jiGran aSnan gacCan svapan Svasan || Bhu _5.8 ||
   pralapan visṛjan gṛhṇan unmiṣan nimiṣann api |	pralapan visRjan gRhNan unmizan nimizan api |
   indriyāṇīndriyārtheṣu vartanta iti dhārayan || BhG_5.9 ||	indriyANi indriya arTezu vartante iti DArayan || Bhu _5.9 ||
   evam ātmatattvavic śrotrādīni jñānendriyāṇi, vāgādīni ca karmendriyāṇi,	evam Atma tattva vid Srotra AdIni jQAna indriyANi, vAc AdIni ca karmendriyANi,
   praṇāś ca svaviṣayeṣu vartanta iti dhārayan anusandhānaḥ nāhaṃ kiṃcit	praNAH ca sva vizayezu vartante iti DArayan anusanDAnaH na aham kiMcid 
   karomīti manyeta jñānaikasvabhāvasya mama	karomi iti manyeta jQAna eka svaBAvasya mama
   karmamūlendriyaprāṇasaṃbandhakṛtam īdṛśaṃ kartṛtvam; na svarūpaprayuktam	karma mUla indriya prANa saMbanDa kRtam IdRSam kartR tvam; na svarUpa prayuktam
   iti manyetetyarthaḥ // BhGR_5.8 //9//	iti manyeta iti arTaH // BhGR_5.8 //9//
   brahmaṇy ādhāya karmāṇi saṅgaṃ tyaktvā karoti yaḥ |	brahmaNi ADAya karmANi saFgam tyaktvA karoti yaH |
   lipyate na sa pāpena padmapatram ivāmbhasā || BhG_5.10 ||	lipyate na sa pApena padma patram iva amBasA || Bhu _5.10 ||
   brahmaśabdena prakṛtir ihocyate / "mama yonir mahad brahma" iti hi	brahma Sabdena prakRtiH iha ucyate / "mama yoniH mahat brahma" iti hi
   vakṣyate / indriyāṇāṃ prakṛtipariṇāmaviśeṣarūpatvena	vakzyate / indriyANAm prakRti pariNAma viSeza rUpa tvena
   indriyākāreṇāvasthitāyāṃ prakṛtau "paśyañ chṛṇvan" ityādyuktaprakāreṇa	indriya AkAreNa avasTitAyAm prakRtO "paSyan SRNvan" ityAdi ukta prakAreNa
   karmāṇy ādhāya, phalasaṅgaṃ tyaktvā, naiva kiṃcit karomīti yaḥ karmāṇi	karmANi ADAya, Pala saFgam tyaktvA, na eva kiMcid karomi iti yaH karmANi
   karoti, sa prakṛtisaṃsṛṣṭatayā vartamāno 'pi prakṛtyātmābhimānarūpeṇa	karoti, sa prakRti saMsRzwa tayA vartamAnaH api prakRti Atma aBimAna rUpeNa
   bandhahetunā pāpena na lipyate / padmapatram ivāmbhasā yathā padmapatram	banDa hetunA pApena na lipyate / padma patram iva amBasA yaTA padma patram
   ambhasā saṃsṛṣṭam api na lipyate, tathā na lipyata ityarthaḥ // BhGR_5.10	amBasA saMsRzwam api na lipyate, taTA na lipyate iti arTaH // BhGR_5.10
   kāyena manasā buddhyā kevalair indriyair api |	kAyena manasA budDyA kevalEH indriyEH api |
   yoginaḥ karma kurvanti saṅgaṃ tyaktvātmaśuddhaye || BhG_5.11 ||	yoginaH karma kurvanti saFgam tyaktvA Atma SudDaye || Bhu _5.11 ||
   kāyamanobuddhīndriyasādhyaṃ karma svargādiphalasaṅgaṃ tyaktvā yogina	kAya manaH budDi indriya sADyam karma svarga Adi Pala saFgam tyaktvA yogina
   ātmaviśuddhaye kuranti; ātmagataprācīnakarmabandhavināśāya	Atma viSudDaye kuranti; Atma gata prAcIna karma banDa vinASAya
   kurvantītyarthaḥ // BhGR_5.11 //	kurvanti iti arTaH // BhGR_5.11 //
   yuktaḥ karmaphalaṃ tyaktvā śāntim āpnoti naiṣṭhikīm |	yuktaH karma Palam tyaktvA SAntim Apnoti nEzWikIm |
   ayuktaḥ kāmakāreṇa phale sakto nibadhyate || BhG_5.12 ||	ayuktaH kAmakAreNa Pale saktaH nibaDyate || Bhu _5.12 ||
   yuktaḥ ātmavyatiriktaphaleṣv acapalaḥ ātmaikapravaṇaḥ, karmaphalaṃ tyaktvā	yuktaH Atma vyatirikta Palezu acapalaH Atma eka pravaNaH, karma Palam tyaktvA
   kevalam ātmaśuddhaye karmānuṣṭhāya naiṣṭhikīṃ śāntim āpnoti sthirām	kevalam Atma SudDaye karma anuzWAya nEzWikIm SAntim Apnoti sTirAm
   ātmānubhavarūpāṃ nirvṛtim āpnoti / ayuktaḥ ātmavyatiriktaphaleṣu capalaḥ	Atma anuBava rUpAm nirvRtim Apnoti / ayuktaH Atma vyatirikta Palezu capalaH
   ātmāvalokanavimukhaḥ kāmakāreṇa phale saktaḥ karmāṇi kurvan nityaṃ	Atma avalokana vimuKaH kAmakAreNa Pale saktaH karmANi kurvan nityam
   karmabhir badhyate nityasaṃsārī bhavati / ataḥ phalasaṅgarahitaḥ	karmaBiH baDyate nitya saMsArI Bavati / atas Pala saFga rahitaH
   indriyākāreṇa pariṇatāyāṃ prakṛtau karmāṇi saṃnyasya ātmano	indriya AkAreNa pariNatAyAm prakRtO karmANi saMnyasya AtmanaH 
   bandhamocanāyaiva karmāṇi kurvītetyuktaṃ bhavati // BhGR_5.12 //	banDa mocanAya eva karmANi kurvIta iti uktam Bavati // BhGR_5.12 //
   atha dehākāreṇa pariṇatāyāṃ prakṛtau kartṛtvasaṃnyāsa ucyate	aTa deha AkAreNa pariNatAyAm prakRtO kartR tva saMnyAsaH ucyate
   sarvakarmāṇi manasā saṃnyasyāste sukhaṃ vaśī /	sarva karmANi manasA saMnyasya AH te suKam vaSI /
   navadvāre pure dehī naiva kurvan na kārayan // BhGR_5.13 //	nava dvAre pure dehI na eva kurvan na kArayan // BhGR_5.13 //
   ātmanaḥ prācīnakarmamūladehasaṃbandhaprayuktam idaṃ karmaṇāṃ kartṛtvam; na	AtmanaH prAcIna karma mUla deha saMbanDa prayuktam idam karmaNAm kartR tvam; na
   svarūpaprayuktam iti vivekaviṣayeṇa manasā sarvāṇi karmāṇi navadvāre pure	svarUpa prayuktam iti viveka vizayeNa manasA sarvANi karmANi nava dvAre pure
   saṃnyasya dehī svayaṃ vaśī dehādhiṣṭhānaprayatnam akurvan dehaṃ ca naiva	saMnyasya dehI svayam vaSI deha aDizWAna prayatnam akurvan deham ca na eva
   kārayan sukham āste // BhGR_5.13 //	kArayan suKam Aste // BhGR_5.13 //
   sākṣād ātmanaḥ svābhāvikaṃ rūpam āha	sAkzAt AtmanaH svABAvikam rUpam Aha
   na kartṛtvaṃ na karmāṇi lokasya sṛjati prabhuḥ |	na kartR tvam na karmANi lokasya sRjati praBuH |
   na karmaphalasaṃyogaṃ svabhāvas tu pravartate || BhG_5.14 ||	na karma Pala saMyogam svaBAvaH tu pravartate || Bhu _5.14 ||
   asya devatiryaṅmanuṣyasthāvarātmanā prakṛtisaṃsargeṇa vartamānasya lokasya	asya deva tiryak manuzya sTAvara AtmanA prakRti saMsargeNa vartamAnasya lokasya
   devādyasādhāraṇaṃ kartṛtvaṃ tattadasādhāraṇāni karmāṇi	deva Adi asADAraNam kartR tvam tad tat asADAraNAni karmANi
   tattatkarmajanyadevādiphalasaṃyogaṃ ca, ayaṃ prabhuḥ akarmavaśyaḥ	tad tad karma janya deva Adi Pala saMyogam ca, ayam praBuH akarma vaSyaH
   svābhāvikasvarūpeṇāvasthita ātmā na sṛjati notpādayati / kas tarhi?	svABAvika svarUpeNa avasTitaH AtmA na sRjati na utpAdayati / kaH tarhi?
   svabhāvas tu pravartate / svabhāvaḥ prakṛtivāsanā /	svaBAvaH tu pravartate / svaBAvaH prakRti vAsanA /
   anādikālapravṛttapūrvapūrvakarmajanitadevādyākāraprakṛtisaṃsargakṛtatattadātmābhimānajanitavāsanākṛtam	anAdi kAla pravRtta pUrva pUrva karma janita deva Adi AkAra prakRti saMsarga kRta tad tad Atma aBimAna janita vAsanA akRtam
   īdṛśaṃ kartṛtvādikaṃ sarvam; na svarūpaprayuktam ityarthaḥ // BhGR_5.14 //	IdRSam kartR tva Adikam sarvam; na sva rUpa prayuktam iti arTaH // BhGR_5.14 //
   nādatte kasyacit pāpaṃ na caiva sukṛtaṃ vibhuḥ |	na Adatte kasyacid pApam na ca eva sukRtam viBuH |
   ajñānenāvṛtaṃ jñānaṃ tena muhyanti jantavaḥ || BhG_5.15 ||	ajQAnena AvRtam jQAnam tena muhyanti jantavaH || Bhu _5.15 ||
   kasyacit svasaṃbandhitayābhimatasya putrādeḥ pāpaṃ duḥkhaṃ nādatte	kasyacid sva saMbanDi tayA aBimatasya putra AdeH pApam duHKam na Adatte
   nāpanudati / kasyacit pratikūlatayābhimatasya sukṛtaṃ sukhaṃ ca nādatte	na apanudati / kasyacid pratikUla tayA aBimatasya sukRtam suKam ca na Adatte
   nāpanudati / yato 'yaṃ vibhuḥ; na kvācitkaḥ, na	na apanudati / yatas ayam viBuH; na kvAcid kaH, na
   devādidehādyasādhāraṇadeśaḥ, ata eva na kasyacit saṃbandhī, na kasyacit	deva Adi deha AdyasA DAraNa deSaH, atas eva na kasyacid saMbanDI, na kasyacid 
   pratikūlaś ca / sarvam idaṃ vāsanākṛtam / evaṃsvabhāvasya katham iyaṃ	pratikUlaH ca / sarvam idam vAsanA akRtam / evaMsvaBAvasya kaTam iyam
   viparītavāsanā utpadyate? ajñānenāvṛtaṃ jñānam jñānavirodhinā	viparIta vAsanA utpadyate? ajQAnena AvRtam jQAnam jQAna viroDinA
   pūrvapūrvakarmaṇā svaphalānubhavayogyatvāya asya jñānam āvṛtaṃ saṃkucitam	pUrva pUrva karmaNA sva Pala anuBava yogya tvAya asya jQAnam AvRtam saMkucitam
   / tena jñānāvaraṇarūpeṇa karmaṇā devādidehasaṃyogas	/ tena jQAna AvaraNa rUpeNa karmaNA deva Adi deha saMyoga s
   tattadātmābhimānarūpamohaś ca jāyate / tataś ca	tad tad Atma aBimAna rUpa mohaH ca jAyate / tatas ca
   tathāvidhātmābhimānavāsanā, taducitakarmavāsanā ca; vāsanāto	taTAviDa AtmA aBimAna vAsanA, tad ucita karma vAsanA ca; vAsanAtaH 
   viparītātmābhimānaḥ, karmārambhaś copapadyate // BhGR_5.15 //	viparIta AtmA aBimAnaH, karma AramBaH ca upapadyate // BhGR_5.15 //
   "sarvaṃ jñānaplavenaiva vṛjinaṃ saṃtariṣyati /", "jñānāgniḥ sarvakarmāṇi	"sarvam jQAna plavena eva vRjinam saMtarizyati /", "jQAna agniH sarva karmANi
   bhasmasātkurute tathā", "na hi jñānena sadṛśaṃ pavitram" iti pūrvoktaṃ	BasmasAt kurute taTA", "na hi jQAnena sadRSam pavitram" iti pUrva uktam
   svakāle saṃgamayati	sva kAle saMgamayati
   jñānena tu tad ajñānaṃ yeṣāṃ nāśitam ātmanaḥ |	jQAnena tu tat ajQAnam yezAm nASitam AtmanaH |
