   (Vvs_3)	(VvH-_3)
   paramāṇuśo bhedaḥ kalpayitavyaḥ | sa caiko na sidhyati | tasyāsiddhau	paramANuSaH BedaH kalpayitavyaH | sa ca-ekaH na siDyati | tasya-asidDO
   rūpādīnāṃ cakṣurādiviṣayatvam asiddham iti siddhaṃ vijñaptimātraṃ	rUpa-AdInAm cakzuH-Adi-vizaya-tvam asidDam iti sidDam vijQaptimAtram
   bhavatīti ||	Bavati-iti ||
   pramāṇavaśād astitvaṃ nāstitvaṃ vā nirdhāryate sarveṣāṃ ca pramāṇānāṃ	pramANa-vaSAt astitvam nAstitvam vA nirDAryate sarvezAm ca pramANAnAm
   pratyakṣaṃ pramāṇaṃ gariṣṭam ity asaty arthe katham iyaṃ buddhir bhavati	pratyakzam pramANam garizwam iti asati arTe kaTam iyam budDiH Bavati
   pratyakṣam iti |	pratyakzam iti |
   pratyakṣabuddhiḥ svapnādau yathā	pratyakza-budDiH svapna-AdO yaTA
   vināpy artheneti pūrvam eva jñāpitaṃ	vinA-api arTena-iti pUrvam eva jQApitam
   sā ca yadā tadā |	sA ca yadA tadA |
   na so 'rtho dṛśyate tasya pratyakṣatvaṃ kathaṃ mataṃ || 16 ||	na saH arTaH dRSyate tasya pratyakza-tvam kaTam matam || 16 ||
   yadā ca sā pratyakṣabuddhir bhavatīdaṃ me pratyakṣam iti tadā na so 'rtho	yadA ca sA pratyakza-budDiH Bavati-idam me pratyakzam iti tadA na saH arTaH-
   dṛśyate manovijñānenaiva paricchedāc cakṣurvijñānasya ca tadā niruddhatvād	dRSyate manaH-vijQAnena-eva paricCedAt cakzuH-vijQAnasya ca tadA nirudDa-tvAt-
   iti kathaṃ tasya pratyakṣatvam iṣṭaṃ | viśeṣeṇa tu kṣaṇikasya viṣayasya	iti kaTam tasya pratyakza-tvam izwam | viSezeNa tu kzaNikasya vizayasya
   tadānīṃ (Vvs_9) niruddham evaṃ tad rūpaṃ rasādikaṃ vā ||	tadAnIm (VvH-_9) nirudDam evam tat rUpam rasa-Adikam vA ||
   nānanubhūtaṃ manovijñānena smaryata ity avaśyam arthānubhavena bhavitavyaṃ	na-ananuBUtam manaH-vijQAnena smaryate iti avaSyam arTa-anuBavena Bavitavyam
   tac ca darśanam ity evaṃ tadviṣayasya rūpādeḥ pratyakṣatvaṃ mataṃ |	tat ca darSanam iti evam tad-vizayasya rUpa-AdeH pratyakza-tvam matam |
   asiddham idam anubhūtasyārthasya smaraṇaṃ bhavatīti | yasmāt |	asidDam idam anuBUtasya-arTasya smaraNam Bavati-iti | yasmAt |
   uktaṃ yathā tadābhāsā vijñaptiḥ	uktam yaTA tad-ABAsA vijQaptiH
   vināpy arthena yathārthābhāsā cakṣurvijñānādikā vijñaptir utpadyate	vinA-api arTena yaTA-arTa-ABAsA cakzuH-vijQAna-AdikA vijQaptiH utpadyate
   tathoktaṃ |	taTA-uktam |
   smaraṇaṃ tataḥ |	smaraNam tatas |
   tato hi vijñapteḥ smṛtisaṃprayuktā tatpratibhāsaiva rūpādivikalpikā	tatas hi vijQapteH smRti-saMprayuktA tad-pratiBAsA-eva rUpa-Adi-vikalpikA
   manovijñaptir utpadyata iti na smṛtyutpādād arthānubhavaḥ sidhyati | yadi	manaH-vijQaptiH utpadyate iti na smRti-utpAdAt arTa-anuBavaH siDyati | yadi
   yathā svapne vijñaptir abhūtārthaviṣayā tathā jāgrato 'pi syāt tathaiva	yaTA svapne vijQaptiH aBUta-arTa-vizayA taTA jAgrataH api syAt taTA-eva
   tadabhāvaṃ lokaḥ svayam avagacchet | na caivaṃ bhavati | tasmān na svapna	tad-aBAvam lokaH svayam avagacCet | na ca-evam Bavati | tasmAt na svapna
   ivārthopalabdhiḥ sarvā nirarthikā | idam ajñāpakaṃ | yasmāt |	iva-arTa-upalabDiH sarvAH nirarTikAH | idam ajQApakam | yasmAt |
   svapnadṛgviṣayābhāvaṃ nāprabuddho 'vigacchati || 17 ||	svapna-dRS-vizaya-aBAvam na-aprabudDaH avigacCati || 17 ||
   evaṃ vitathavikalpābhyāsavāsanānidrayā prasupto lokaḥ svapna ivābhūtam	evam vitaTa-vikalpa-aByAsa-vAsanA-nidrayA prasuptaH lokaH svapne iva-aBUtam
   arthaṃ paśyan na prabuddhas tadabhāvaṃ yathāvan nāvagacchati | yadā tu	arTam paSyan na prabudDaH tad-aBAvam yaTAvat na-avagacCati | yadA tu
   tatpratipakṣalokottaranirvikalpajñānalābhāt prabuddho bhavati tadā	tad-pratipakza-loka-uttara-nirvikalpa-jQAna-lABAt prabudDaH Bavati tadA
   tatpṛṣṭhalabdhaśuddhalaukikajñānasaṃmukhībhāvād viṣayābhāvaṃ yathāvad	tad-pRzWa-labDa-SudDa-lOkika-jQAna-saMmuKIBAvAt vizaya-aBAvam yaTAvat-
   avagacchatīti samānam etat ||	avagacCati-iti samAnam etat ||
   yadi svasaṃtānapariṇāmaviśeṣād eva satvānām arthapratibhāsā vijñaptaya	yadi sva-saMtAna-pariNAma-viSezAt eva satvAnAm arTa-pratiBAsA vijQaptaya
   utpadyante nārthaviśeṣāt | tadā ya eṣa pāpakalyāṇamitrasaṃparkāt	utpadyante na-arTa-viSezAt | tadA yaH eza pApa-kalyANa-mitra-saMparkAt-
   sadasaddharmaśravaṇāc ca vijñaptiniyamaḥ sattvānāṃ sa kathaṃ sidhyati	sat-asat-Darma-SravaNAt ca vijQapti-niyamaH sattvAnAm sa kaTam siDyati
   asati sadasatsaṃparke taddeśanāyāṃ ca |	asati sat-asat-saMparke tad-deSanAyAm ca |
   anyonyādhipatitvena vijñaptiniyamo mithaḥ |	anyonya-aDipati-tvena vijQapti-niyamaH miTas |
   sarveṣāṃ hi sattvānām anyonyavijñaptyādhipatyena mitho vijñapter niyamo	sarvezAm hi sattvAnAm anyonya-vijQapti-ADipatyena miTas vijQapteH niyamaH-
   bhavati yathāyogaṃ | mitha iti parasparataḥ | ataḥ	Bavati yaTAyogam | miTas iti parasparataH | atas-
   saṃtānāntaravijñaptiviśeṣāt saṃtānāntare vijñaptiviśeṣa utpadyate	saMtAna-antara-vijQapti-viSezAt saMtAna-antare vijQapti-viSezaH utpadyate
   nārthaviśeṣāt | yadi yathā svapne nirarthikā vijñaptir evaṃ jāgrato 'pi	na-arTa-viSezAt | yadi yaTA svapne nirarTikAH vijQaptiH evam jAgrataH api
   syāt kasmāt kuśalākuśalasamudācāro suptāsuptayos tulyaṃ phalam iṣṭāniṣṭam	syAt kasmAt kuSala-akuSala-samudAcAraH suptA-suptayoH tulyam Palam izwa-anizwam
   āyatyāṃ na bhavati | yasmāt |	AyatyAm na Bavati | yasmAt |
   middhenopahataṃ cittaṃ svapne tenāsamaṃ phalaṃ || 18 ||	midDena-upahatam cittam svapne tena-asamam Palam || 18 ||
   idam atra kāraṇāṃ na tv arthasadbhāvaḥ ||	idam atra kAraNAm na tu arTa-sadBAvaH ||
   yadi vijñāptimātram evedaṃ na kasyacit kāyo 'sti na vāk ||	yadi vijQApti-mAtram eva-idam na kasyacid kAyaH asti na vAc ||
   katham upakramyamāṇānām aurabhrikādibhir urabhrādīnāṃ (Vvs_10) maraṇaṃ	kaTam upakramyamANAnAm OraBrika-AdiBiH uraBra-AdInAm (VvH-_10) maraNam
   bhavti | atatkṛte vā tanmaraṇe katham aurabhrikādīnāṃ prāṇātipātāvadyena	Bavti | atatkRte vA tad-maraNe kaTam OraBrika-AdInAm prANa-atipAta-avadyena
   yogo bhavati |	yogaH Bavati |
   maraṇam paravijñaptiviśeṣād vikriyā yathā |	maraNam para-vijQapti-viSezAt vikriyA yaTA |
   smṛtilopādikānyeṣāṃ piśācādimanovaśāt || 19 ||	smRti-lopa-AdikAni-ezAm piSAca-Adi-manaH-vaSAt || 19 ||
   yathā hi piśācādimanovaśād anyeṣāṃ	yaTA hi piSAca-Adi-manaH-vaSAt anyezAm
   smṛtilopasvapnadarśanabhūtagrahāveśavikārā bhavanti | ṛddhivan manovaśāc	smRti-la-upa-svapna-darSana-BUta-graha-AveSa-vikArAH Bavanti | RdDi-vat manaH-vaSAt-
   ca | yathā sāraṇasyāryamahākātyāyanādhiṣṭhānāt svapnadarśanaṃ |	ca | yaTA sAraNasya-Arya-mahAkAtyAyana-aDizWAnAt svapna-darSanam |
   āraṇyakarṣimanaḥpradoṣāc ca vemacitraparājayaḥ | tathā	AraNyaka-Rzi-manaH-pradozAt ca vema-citra-parAjayaH | taTA
   paravijñaptiviśeṣādhipatyāt pareṣāṃ jīvitendriyavirodhinī kācid	para-vijQapti-viSeza-ADipatyAt parezAm jIvita-indriya-viroDinI kAcid-
   vikriyotpadyate yayā sabhāgasaṃtativicchedākhyaṃ maraṇaṃ bhavatīti	vikriyA-utpadyate yayA sa-BAga-saMtati-vicCeda-AKyam maraNam Bavati-iti
   veditavyaṃ ||	veditavyam ||
   kathaṃ vā daṇḍakāraṇyaśūnyatvam ṛṣikopataḥ |	kaTam vA daNxaka-araNya-SUnya-tvam Rzi-kopataH |
   yadi paravijñaptiviśeṣādhipatyāt sattvānāṃ maraṇaṃ neṣyate | manodaṇḍasya	yadi para-vijQapti-viSeza-ADipatyAt sattvAnAm maraNam na-izyate | manodaNxasya
   hi mahāsāvadyatvaṃ sādhayatā bhagavatopālir gṛhapatiḥ pṛṣṭaḥ | kaccit te	hi mahAsAvadya-tvam sADayatA BagavatA-upAliH gRhapatiH pRzwaH | kaccit te
   gṛhapate śrutaṃ kena tāni daṇḍakāraṇyāni mātaṅgāraṇyāni kaliṅgāraṇyāni	gRhapate Srutam kena tAni daNxaka-araNyAni mAtaFga-araNyAni kaliFga-araNyAni
   śūnyāni medhyībhūtāni | tenoktaṃ | śrutaṃ me bho gautama ṛṣīṇāṃ	SUnyAni meDyIBUtAni | tena-uktam | Srutam me Bo gOtamaH RzINAm
   manaḥpradoṣeṇeti |	manaH-pradozeNa-iti |
   manodaṇḍo mahāvadyaḥ kathaṃ vā tena sidhyati || 20 ||	manodaNxaH mahAvadyaH kaTam vA tena siDyati || 20 ||
   yady evaṃ kalpyate | tadabhiprasannair amānuṣais tadvāsinaḥ sattvā	yadi evam kalpyate | tad-aBiprasannEH amAnuzEH tad-vAsinaH sattvA
   utsāditā na tv ṛṣīṇāṃ manaḥpradoṣān mṛtā ity evaṃ sati kathaṃ tena karmaṇā	utsAditAH na tu RzINAm manaH-pradozAn mRtAH iti evam sati kaTam tena karmaNA
   manodaṇḍaḥ kāyavāgdaṇḍābhyāṃ mahāvadyatamaḥ siddho bhavati |	manodaNxaH kAya-vAc-daNxAByAm mahAvat-yatamaH sidDaH Bavati |
   tanmanaḥpradoṣamātreṇa tāvatāṃ sattvānāṃ maraṇāt sidhyati ||	tad-manaH-pradoza-mAtreNa tAvatAm sattvAnAm maraNAt siDyati ||
   yadi vijñaptimātram evedaṃ paracittavidaḥ kiṃ paracittaṃ jānanty atha na |	yadi vijQaptimAtram eva-idam para-citta-vidaH kim para-cittam jAnanti aTa na |
   kiṃ cātaḥ | yadi na jānanti kathaṃ paracittavido bhavanti | atha jānanti |	kim ca-atas | yadi na jAnanti kaTam para-citta-vidaH Bavanti | aTa jAnanti |
   paracittavidāṃ jñānam ayathārthaṃ kathaṃ yathā |	para-citta-vidAm jQAnam ayaTArTam kaTam yaTA |
   svacittajñānaṃ	sva-citta-jQAnam
   tad api katham ayathārtha |	tat api kaTam ayaTArTa |
   ajñānād yathā buddhasya gocaraḥ || 21 ||	ajQAnAt yaTA budDasya gocaraH || 21 ||
   yathā tannirabhilāpyenātmanā buddhānāṃ gocaraḥ | tathā tadajñānāt	yaTA tad-niraBilApyena-AtmanA budDAnAm gocaraH | taTA tad-ajQAnAt
   tadubhayaṃ na yathārthaṃ vitathapratibhāsatayā	tat-uBayam na yaTArTam vitaTa-pratiBAsa-tayA
   grāhyagrāhakavikalpasyāprahīṇatvāt ||	grAhya-grAhaka-vikalpasya-aprahINa-tvAt ||
   anantaviniścayaprabhedāgāmbhīryāyāṃ vijñaptimātratāyāṃ |	ananta-viniScaya-praBeda-AgAmBIryAyAm vijQaptimAtra-tAyAm |
   vijñaptimātratāsiddhiḥ svaśaktisadṛśī mayā |	vijQapti-mAtra-tA-sidDiH sva-Sakti-sadRSI mayA |
   kṛteyaṃ sarvathā sā tu na cintyā	kRtA-iyam sarvaTA sA tu na cintyA
   (Vvs_11)	(VvH-_11)
   sarvaprakārā tu sā mādṛśaiś cintayituṃ na śakyate | tarkāviṣayatvāt |	sarva-prakArA tu sA mAdRSEH cintayitum na Sakyate | tarka-avizaya-tvAt |
   kasya punaḥ sā sarvathā gocara ity āha |	kasya punar sA sarvaTA gocaraH iti Aha |
   buddhagocaraḥ || 22 ||	budDa-gocaraH || 22 ||
   buddhānāṃ hi sā bhagavatāṃ sarvaprakāraṃ gocaraḥ	budDAnAm hi sA BagavatAm sarva-prakAram gocaraH
   sarvākārasarvajñeyajñānāvighātād iti ||	sarva-AkAra-sarva-jQeya-jQAna-aviGAtAt iti ||
   viṃśatikā vijñaptimātratāsiddhiḥ |	viMSatikA vijQapti-mAtra-tA-sidDiH |
   kṛtir iyam ācāryavasubandhoḥ |	kRtiH iyam AcArya-vasubanDoH |
