   Pariccheda 2	Pari=-CedaH 2
   mukhena mugdhaḥ so 'py eṣa % jano rāga-mayaḥ kṛtaḥ // 2.75 //	muKena mugDaH saH api eza % janaH rAga-mayaH kRtaH // 2.75 //
   ekā1ṅga-rūpakaṃ cai8tad $ evaṃ dvi-pra-bhṛtīny api &	ekA1Fga--rUpakam cE8tat $ evam dvi-pra-BRtIni api &
   aṅgāni rūpayanty atra % yogā1-yogau bhidā-karau // 2.76 //	aFgAni rUpayanti atra % yoga-a1--yogO BidA-karO // 2.76 //
   [- yuktarūpaka]	[ yukta-rUpaka]
   smita-puṣpo1j-jvalaṃ lola- $ netra-bhṛṅgam idaṃ mukham &	smita-puzpo1j--jvalam lola $ netra--BRFgam idam muKam &
   iti puṣpa-dvi-rephāṇāṃ % saṃ-gatyā yukta-rūpakam // 2.77 //	iti puzpa-dvi-rePANAm % saM-gatyA yukta-rUpakam // 2.77 //
   [- ayuktarūpaka]	[ ayukta-rUpaka]
   idam ārdra-smita-jyotsnaṃ $ snigdha-netro1t-palaṃ mukham &	idam Ardra--smita--jyotsnam $ snigDa-netra-u1t--palam muKam &
   iti jyotsno1t-palā1-yogād % a-yuktaṃ nāma rūpakam // 2.78 //	iti jyotsno1t--palA1--yogAt % a-yuktam nAma rUpakam // 2.78 //
   [- viṣamarūpaka]	[ vizama-rUpaka]
   rūpaṇād aṅgino 'ṅgānāṃ $ rūpaṇā1-rūpaṇā3-śrayāt &	rUpaNAt aFginaH aFgAnAm $ rUpaNA1--rUpaNA3-SrayAt &
   rūpakaṃ vi-ṣamaṃ nāma % lalitaṃ jāyate yathā // 2.79 //	rUpakam vi-zamam nAma % lalitam jAyate yaTA // 2.79 //
   mada-rakta-kapolena $ manmathas tvan-mukhe1ndunā &	mada--rakta--kapolena $ manmaTaH tvan-muKe1ndunA &
   nartita-bhrū-latenā7laṃ % mardituṃ bhuvana-trayam // 2.80 //	nartita-BrU--latena-a7lam % marditum Buvana-trayam // 2.80 //
   [- saviśeṣaṇarūpaka]	[ sa-viSezaNa-rUpaka]
   hari-pādaḥ śiro-lagna- $ jahnu-kanyā-jalā1ṃśukaḥ &	hari-pAdaH Siro--lagna $ jahnu--kanyA--jala-a1MSukaH &
   jayaty asura-niḥ-śaṅka- % surā3nando1t-sava-dhvajaḥ // 2.81 //	jayati asura--niH-SaFka % surA3-nando1t-sava--DvajaH // 2.81 //
   vi-śeṣaṇa-sam-agrasya $ rūpaṃ ketor yadī8-dṛśam &	vi-SezaNa--sam-agrasya $ rUpam ketoH yadI8-dRSam &
   pāde tad-arpaṇād etat % sa-vi-śeṣaṇa-rūpakam // 2.82 //	pAde tad--arpaNAt etat % sa-vi-SezaNa--rUpakam // 2.82 //
   [- viruddharūpaka]	[ virudDa-rUpaka]
   na mīlayati padmāni $ na nabho 'py ava-gāhate &	na mIlayati padmAni $ na naBaH api ava-gAhate &
   tvan-mukhe1ndur mamā7sūnāṃ % haraṇāyai8va kalpate // 2.83 //	tvan-muKe1nduH mama-a7sUnAm % haraNAya-e8va kalpate // 2.83 //
   a-kriyā candra-kāryāṇām $ anya-kāryasya ca kriyā &	a-kriyA candra--kAryANAm $ anya--kAryasya ca kriyA &
   atra saṃ-darśyate yasmād % vi-ruddhaṃ nāma rūpakam // 2.84 //	atra saM-darSyate yasmAt % vi-rudDam nAma rUpakam // 2.84 //
   [- heturūpaka]	[ heturUpaka]
   gāmbhīryeṇa sam-udro 'si $ gauraveṇā7si parvataḥ &	gAmBIryeNa sam-udraH asi $ gOraveNa-a7si parvataH &
   kāma-da-tvāc ca lokānām % asi tvaṃ kalpa-pāda-paḥ // 2.85 //	kAma-da-tvAt ca lokAnAm % asi tvam kalpa-pAda-paH // 2.85 //
   gāmbhīrya-pra-mukhair atra $ hetubhiḥ sāgaro giriḥ &	gAmBIrya--pra-muKEH atra $ hetuBiH sAgaraH giriH &
   kalpa-drumaś ca kriyate % tad idaṃ hetu-rūpakam // 2.86 //	kalpa-drumaH ca kriyate % tat idam hetu-rUpakam // 2.86 //
   [- śiṣṭarūpaka]	[ Sizwa-rUpaka]
   rāja-haṃso1pa-bhogā1rthaṃ $ bhramara-prā1rthya-sau-rabham &	rAja--haMsa-u1pa-Boga-A1rTam $ Bramara--prA1rTya--sO-raBam &
   sakhi vaktrā1mbu-jam idaṃ % tave7ti śliṣṭa-rūpakam // 2.87 //	saKi vaktra-a1mbu-jam idam % tava-i7ti Slizwa-rUpakam // 2.87 //
   iṣṭaṃ sā-dharmya-vai-dharmya- $ darśanād gauṇa-mukhyayoḥ &	izwam sA-Darmi-a-vE-Darmya $ darSanAt gONa--muKyayoH &
   upa-mā-vy-ati-rekā3-khyaṃ % rūpaka-dvitayaṃ yathā // 2.88 //	upa-mA--vy-ati-rekA3-Kyam % rUpaka-dvitayam yaTA // 2.88 //
   [- upamārūpaka]	[ upamArUpaka]
   ayam ā-lohita-cchāyo $ madane mukha-candramāḥ &	ayam A-lohita--cCAyaH $ madane muKa--candramAH &
   saṃ-naddho1daya-rāgasya % candrasya prati-garjati // 2.89 //	saM-nadDa-u1daya--rAgasya % candrasya prati-garjati // 2.89 //
   [- vyatirekarūpaka]	[ vyatireka-rUpaka]
   candramāḥ pīyate devair $ mayā tvan-mukha-candramāḥ &	candramAH pIyate devEH $ mayA tvan-muKa--candramAH &
   a-sam-agro 'py asau śaśvad % ayam ā-pūrṇa-maṇḍalaḥ // 2.90 //	a-sam-agraH api asO SaSvat % ayam A-pUrNa--maNxalaH // 2.90 //
   [- ākṣeparūpaka]	[ Akzepa-rUpaka]
   mukha-candrasya candra-tvam $ ittham anyo1pa-tāpinaḥ &	muKa-candrasya candra--tvam $ itTam anyaH-1pa-tApinaH &
   na te sundari saṃ-vādī7ty % etad ā-kṣepa-rūpakam // 2.91 //	na te sundari saM-vAdI7ti % etat A-kzepa--rUpakam // 2.91 //
   [- samādhānarūpaka]	[ samADAna-rUpaka]
   mukhe1ndur api te caṇḍi $ māṃ nir-dahati nir-dayam &	muKe1nduH api te caNxi $ mAm nir-dahati nir-dayam &
   bhāgya-doṣān mamai8ve7ti % tat sam-ā-dhāna-rūpakam // 2.92 //	BAgya--dozAt mama-e8ve7ti % tat sam-A-DAna--rUpakam // 2.92 //
   [- rūpakarūpaka]	[ rUpaka-rUpaka]
   mukha-paṅka-ja-raṅge 'smin $ bhrū-latā-nartakī tava &	muKa--paFka-ja-raFge asmin $ BrU-latA-nartakI tava &
   līlā-nṛtyaṃ karotī7ti % ramyaṃ rūpaka-rūpakam // 2.93 //	lIlA-nRtyam karotI7ti % ramyam rUpaka-rUpakam // 2.93 //
   [- āpahnavarūpaka]	[ Apahnava-rUpaka]
   nai8tan mukham idaṃ padmaṃ $ na netre bhramarāv imau &	nE8tat muKam idam padmam $ na netre BramarO imO &
   etāni kesarāṇy eva % nai8tā dantā1rciṣas tava // 2.94 //	etAni kesarANi eva % nE8tAH dantA1rcizaH tava // 2.94 //
   mukhā3di-tvaṃ ni-vartyai8va $ padmā3di-tvena rūpaṇāt &	muKA3di-tvam ni-vartyE8va $ padmA3di-tvena rUpaNAt &
   ud-bhāvita-guṇo1t-karṣaṃ % tat tv āpa-hnava-rūpakam // 2.95 //	ud-BAvita--guNa-u1t-karzam % tat tu Apa-hnava--rUpakam // 2.95 //
   na pary-anto vi-kalpānāṃ $ rūpako1pa-mayor ataḥ &	na pary-antaH vi-kalpAnAm $ rUpa-ko1pa-mayoH atas &
   diṅ-mātraṃ darśitaṃ dhīrair % an-uktam anu-mīyatām // 2.96 //	diF--mAtram darSitam DIrEH % an-uktam anu-mIyatAm // 2.96 //
   [dīpaka]	[dIpaka]
   jāti-kriyā-guṇa-dravya- $ vācinai9ka-tra vartinā &	jAti-kriyA--guNa--dravya $ vAcinE9ka-tra vartinA &
   sarva-vākyo1pa-kāraś cet % tad āhur dīpakaṃ yathā // 2.97 //	sarva--vAkya-u1pa-kAraH ced % tat AhuH dIpakam yaTA // 2.97 //
   [- ādi-dīpaka: jāti]	[ Adi-dIpaka: jAti]
   pavano dakṣiṇaḥ parṇaṃ $ jīrṇaṃ harati vī-rudhāṃ &	pavanaH dakziNaH parNam $ jIrNam harati vI-ruDAm &
   sa evā7va-natā1ṅgīnāṃ % māna-bhaṅgāya kalpate // 2.98 //	saH eva-a7va-na-tA1FgInAm % mAna-BaFgAya kalpate // 2.98 //
   [- ādi-dīpaka: kriyā]	[ Adi-dIpaka: kriyA]
   caranti catur-ambho-dhi- $ velo1d-yāneṣu dantinaḥ &	caranti catur--amBo-Di $ velA-u1d-yAnezu dantinaH &
   cakra-vālā1dri-kuñjeṣu % kunda-bhāso guṇāś ca te // 2.99 //	cakra-vAlA1dri--kuQjezu % kunda-BAsaH guNAH ca te // 2.99 //
   [- ādi-dīpaka: guṇa]	[ Adi-dIpaka: guNa]
   śyāmalāḥ prā-vṛṣeṇyābhir $ diśo jīmūta-paṅktibhiḥ &	SyAmalAH prA--vRzeNyABiH $ diSaH jImUta-paFktiBiH &
   bhuvaś ca su-kumārābhir % nava-śādvala-rājibhiḥ // 2.100 //	BuvaH ca su-kumArABiH % nava-SAdvala--rAjiBiH // 2.100 //
   [- ādi-dīpaka: dravya]	[ Adi-dIpaka: dravya]
   viṣṇunā vi-krama-sthena $ dānavānāṃ vi-bhūtayaḥ &	vizNunA vi-krama--sTena $ dAnavAnAm vi-BUtayaH &
   kvā7pi nītāḥ kuto 'py āsann % ā-nītā daivata-rddhayaḥ // 2.101 //	kva-a7pi nItAH kutas api Asan % A-nItAH dEvata-RdDayaH // 2.101 //
   ity ādi-dīpakāny uktāny $ evaṃ madhyā1ntayor api &	iti Adi-dIpakAni uktAni $ evam maDya-a1ntayoH api &
   vākyayor darśayiṣyāmaḥ % kāni cittāni tad-yathā // 2.102 //	vAkyayoH darSayizyAmaH % kAni cittAni tat--yaTA // 2.102 //
   [- madhya-dīpaka: jāti]	[ maDya-dIpaka: jAti]
   nṛtyanti ni-culo1t-saṅge $ gāyanti ca kalāpinaḥ &	nRtyanti ni-culo1t-saFge $ gAyanti ca kalApinaH &
   badhnanti ca payo-deṣu % dṛśo harṣā1śru-garbhiṇīḥ // 2.103 //	baDnanti ca payo-dezu % dRSaH harzA1Sru--garBiNIH // 2.103 //
   [- madhya-dīpaka: kriyā]	[ maDya-dIpaka: kriyA]
   mando gandha-vahaḥ kṣāro $ vahnir induś ca jāyate &	mandaH ganDa-vahaH kzAraH $ vahniH induH ca jAyate &
   carcā-candana-pātaś ca % śastra-pātaḥ pra-vāsinām // 2.104 //	carcA--candana-pAtaH ca % Sastra-pAtaH pra-vAsinAm // 2.104 //
   [- anta-dīpaka: dravya (Komm.: jāti)]	[ anta-dIpaka: dravyaH (Komm.: jAti)]
   jalaṃ jala-dharo1d-gīrṇaṃ $ kulaṃ gṛha-śikhaṇḍinām &	jalam jala-DaraH-1d-gIrNam $ kulam gRha--SiKaNxinAm &
   calaṃ ca taḍitāṃ dāma % balaṃ kusuma-dhanvanaḥ // 2.105 //	calam ca taxitAm dAma % balam kusuma--DanvanaH // 2.105 //
   [- anta-dīpaka: kriyā]	[ anta-dIpaka: kriyA]
   tvayā nīlo1t-palaṃ karṇe $ smareṇā7straṃ śarā1sane &	tvayA nIlo1t--palam karNe $ smareNa-a7stram SarA1-sane &
   mayā9pi maraṇe cetas % trayam etat samaṃ kṛtam // 2.106 //	mayA-a9pi maraNe cetaH % trayam etat samam kRtam // 2.106 //
   [- (ādi-dīpaka): mālā-dīpaka]	[ (Adi-dIpaka): mAlA-dIpaka]
   śuklaḥ śvetā1rciṣo vṛddhyai $ pakṣaḥ pañca-śarasya saḥ &	SuklaH SvetA1rcizaH vRdDyE $ pakzaH paQca-Sarasya saH &
   sa ca rāgasya rāgo 'pi % yūnāṃ raty-ut-sava-śriyaḥ // 2.107 //	sa ca rAgasya rAgaH api % yUnAm rati--ut-sa-va--SriyaH // 2.107 //
   ity ādi-dīpaka-tve 'pi $ pūrva-pūrva-vy-ape3kṣiṇī &	iti Adi-dIpaka-tve api $ pUrva--pUrva--vy-ape3kziNI &
   vākya-mālā pra-yukte9ti % tan mālā-dīpakaṃ matam // 2.108 //	vAkya--mAlA pra-yukte9ti % tat mAlA-dIpakam matam // 2.108 //
   [- viruddhārtha-dīpaka]	[ virudDa-arTa-dIpaka]
   ava-lepam an-aṅgasya $ vardhayanti balāhakāḥ &	ava-lepam an-aFgasya $ varDayanti balAhakAH &
   karśayanti tu gharmasya % māruto1d-dhūta-śīkarāḥ // 2.109 //	karSayanti tu Garmasya % mArutaH-1d--DUta--SIkarAH // 2.109 //
   ava-lepa-padenā7tra $ balāhaka-padena ca &	ava-lepa--padena-a7tra $ balAhaka-padena ca &
   kriye vi-ruddhe saṃ-yukte % tad vi-ruddhā1rthaṃ dīpakam // 2.110 //	kriye vi-rudDe saM-yukte % tat vi-rudDa-a1rTam dIpakam // 2.110 //
   [- ekārthadīpaka]	[ eka-arTa-dIpaka]
   haraty ā-bhogam āśānāṃ $ gṛhṇāti jyotiṣāṃ gaṇam &	harati A-Bogam ASAnAm $ gRhNAti jyotizAm gaNam &
   ā-datte cā7dya me prā1ṇān % asau jala-dharā3valī // 2.111 //	A-datte ca-a7dya me prA1NAn % asO jala-DarA3valI // 2.111 //
   an-eka-śabdo1pā3-dānāt $ kriyai9kai9vā7tra dīpyate &	an-eka--Sabda-u1-pA3--dAnAt $ kriyE9kE9vA7tra dIpyate &
   yato jala-dharā3valyā % tasmād ekā1rtha-dīpakam // 2.112 //	yatas jala-DarA3valyA % tasmAt ekA1rTa-dIpakam // 2.112 //
   [- śliṣṭārthadīpaka]	[ Slizwa-arTa-dIpaka]
   hṛdya-gandha-vahās tuṅgās $ tamāla-śyāmala-tviṣaḥ &	hRd-ya--ganDa-vahAH tuFgAH $ tamAla-SyAmala-tvizaH &
   divi bhramanti jīmūtā % bhuvi cai8te mataṃ-gajāḥ // 2.113 //	divi Bramanti jImUtAH % Buvi cE8te mataM-ga-jAH // 2.113 //
   atra dharmair a-bhinnānām $ abhrāṇāṃ dantināṃ tathā &	atra DarmEH a-BinnAnAm $ aBrANAm dantinAm taTA &
   bhramaṇenai8va saṃ-bandha % iti śliṣṭā1rtha-dīpakam // 2.114 //	BramaNena-e8va saM-banDa % iti Slizwa-a1rTa-dIpakam // 2.114 //
   anenai8va pra-kāreṇa $ śeṣāṇām api dīpake &	anena-e8va pra-kAreNa $ SezANAm api dIpake &
   vi-kalpānām ava-gatir % vi-dhātavyā vi-cakṣaṇaiḥ // 2.115 //	vi-kalpAnAm ava-gatiH % vi-DAtavyAH vi-cakzaNEH // 2.115 //
   [āvṛtti]	[AvRtti]
   arthā3-vṛttiḥ padā3-vṛttir $ ubhayā3-vṛttir eva ca &	arTa-a3-vRttiH padA3-vRttiH $ uBayA3--vRttiH eva ca &
   dīpaka-sthāna eve7ṣṭam % alaṃ-kāra-trayaṃ yathā // 2.116 //	dIpaka-sTAnaH eva-i7zwam % alaM-kAra-trayam yaTA // 2.116 //
   [- arthāvṛtti]	[ arTa-AvRtti]
   vi-kasanti kadambāni $ sphuṭanti kuṭaja-drumāḥ &	vi-kasanti kadambAni $ sPuwanti kuwaja-drumAH &
   un-mīlanti ca kandalyo % dalanti kakubhāni ca // 2.117 //	un-mIlanti ca kandalyaH % dalanti kakuBAni ca // 2.117 //
   [- padāvṛtti]	[ pada-AvRtti]
   ut-kaṇṭhayati meghānāṃ $ mālā vṛndaṃ kalāpinām &	ut-kaNWayati meGAnAm $ mAlA vRndam kalApinAm &
   yūnāṃ co7t-kaṇṭhayaty eva % mānasaṃ makara-dhvajaḥ // 2.118 //	yUnAm ca-u7t-kaNWayati eva % mAnasam makara--DvajaH // 2.118 //
   [- ubhayāvṛtti (artha u. pada)]	[ uBayAvRtti (arTaH u. pada)]
   jitvā viśvaṃ bhavān atra $ vi-haraty ava-rodhanaiḥ &	jitvA viSvam BavAn atra $ vi-harati ava-roDanEH &
   vi-haraty ap-sarobhis te % ripu-vargo divaṃ gataḥ // 2.119 //	vi-harati ap-saroBiH te % ripu-vargaH divam gataH // 2.119 //
   [ākṣepa]	[a-Akzepa]
   prati-ṣedho1ktir ā-kṣepas $ trai-kālyā1pe3kṣayā tri-dhā &	prati-zeDa-u1ktiH A-kzepaH $ trE-kAlyA1pe3kzayA tri-DA &
   athā3sya punar ā-kṣepya- % bhedā1n-antyād an-antatā // 2.120 //	aTA3sya punar A-kzepya % BedA1-n-antyAt an-antatA // 2.120 //
   [- vṛttākṣepa]	[ vRtta-Akzepa]
   an-aṅgaḥ pañcabhiḥ puṣpair $ viśvaṃ vy-ajayate7ṣubhiḥ &	an-aFgaH paQcaBiH puzpEH $ viSvam vy-ajayate7zuBiH &
   ity a-saṃ-bhāvyam atha vā % vi-citrā vastu-śaktayaḥ // 2.121 //	iti a-saM-BAvyam aTa vA % vi-citrAH vastu-SaktayaH // 2.121 //
   ity an-aṅga-jayā1yoga- $ buddhir hetu-balād iha &	iti an-aFga-jayA1-yoga $ budDiH hetu-balAt iha &
   pra-vṛttai9va yad ā-kṣiptā % vṛttā3kṣepaḥ sa īdṛśaḥ // 2.122 //	pra-vRttE9va yat A-kziptA % vRttA3kzepaH saH IdRSaH // 2.122 //
   [- vartamānākṣepa]	[ vartamAna-Akzepa]
   kutaḥ kuvalayaṃ karṇe $ karoṣi kala-bhāṣiṇi &	kutas kuvalayam karNe $ karozi kala-BAziNi &
   kim apā1ṅgam a-pary-āptam % asmin karmaṇi manyase // 2.123 //	kim apA1Fgam a-pary-Aptam % asmin karmaNi manyase // 2.123 //
   sa vartamānā3-kṣepo 'yaṃ $ kurvaty evā7sito1tpala &	sa vartamAnA3-kzepaH ayam $ kurvati eva-a7sito1t-pala &
   karṇe kā-cit priyeṇai8vaṃ % cāṭu-kāreṇa rudhyate // 2.124 //	karNe kA-cid priyeNa-e8vam % cAwu-kAreNa ruDyate // 2.124 //
   [- bhaviṣyadākṣepa]	[ Bavizyat-Akzepa]
   satyaṃ bravīmi na tvaṃ māṃ $ draṣṭuṃ vallabha lapsyase &	satyam bravImi na tvam mAm $ drazwum vallaBa lapsyase &
   anya-cumbana-saṃ-krānta- % lākṣā-raktena cakṣuṣā // 2.125 //	anya--cumbana--saM-krAnta % lAkzA--raktena cakzuzA // 2.125 //
   so 'yaṃ bhaviṣyad-ā-kṣepaḥ $ prāg evā7ti-manasvinī &	saH ayam Bavizyat--A-kzepaH $ prAk eva-a7ti-manasvinI &
   kadā-cid apa-rādho 'sya % bhāvī9ty evam arunddhayat // 2.126 //	kadA-cid apa-rADaH asya % BAvI9ti evam arundDayat // 2.126 //
   [- dharmākṣepa]	[ DarmAkzepa]
   tava tanv-aṅgi mithyai9va $ rūḍham aṅgeṣu mārdavam &	tava tanu--aFgi miTyA-e9va $ rUXam aFgezu mArdavam &
   yadi satyaṃ mṛdūny eva % kim a-kāṇḍe rujanti mām // 2.127 //	yadi satyam mRdUni eva % kim a-kANxe rujanti mAm // 2.127 //
   dharmā3-kṣepo 'yam ā-kṣiptam $ aṅganā-gātra-mārdavam &	DarmA3-kzepaH ayam A-kziptam $ aFganA--gAtra--mArdavam &
   kāmukena yad atrai7vaṃ % karmaṇā tad-vi-rodhinā // 2.128 //	kAmukena yat atrE7vam % karmaNA tad--vi-roDinA // 2.128 //
   [- dharmyākṣepa]	[ DarmyAkzepa]
   sundarī sā bhavaty evaṃ $ vi-vekaḥ kena jāyate &	sundarI sA Bavati evam $ vi-vekaH kena jAyate &
   pra-bhā-mātraṃ hi taralaṃ % dṛśyate na tad-ā-śrayaḥ // 2.129 //	pra-BA--mAtram hi taralam % dRSyate na tat--A-SrayaH // 2.129 //
   dharmyā3-kṣepo 'yam ā-kṣipto $ dharmī dharmaṃ pra-bhā4-hvayam &	Darmya-a3-kzepaH ayam A-kziptaH $ DarmI Darmam pra-BA4--hvayam &
   anu-jñāyai8va yad rūpam % aty-āścaryaṃ vi-vakṣatā // 2.130 //	anu-jQAyE8va yat rUpam % aty-AScaryam vi-va-kzatA // 2.130 //
   [- kāraṇākṣepa]	[ kAraNa-Akzepa]
   cakṣuṣī tava rajyete $ sphuraty adhara-pallavaḥ &	cakzuzI tava rajyete $ sPurati aDara-pallavaH &
   bhruvau ca bhugne na tathā9py % a-duṣṭasyā7sti me bhayam // 2.131 //	BruvO ca Bugne na taTA-a9pi % a-duzwasya-a7sti me Bayam // 2.131 //
   sa eṣa kāraṇā3-kṣepaḥ $ pra-dhānaṃ kāraṇaṃ bhiyaḥ &	saH eza kAraNa-a3-kzepaH $ pra-DAnam kAraNam BiyaH &
   svā1pa-rādho ni-ṣiddho 'tra % yat priyeṇa paṭīyasā // 2.132 //	sva-a1pa-rADaH ni-zidDaH atra % yat priyeNa pawIyasA // 2.132 //
   [- kāryākṣepa]	[ kAryAkzepa]
   dūre priyatamaḥ so 'yam $ ā-gato jala-dā3-gamaḥ &	dUre priyatamaH saH ayam $ A-gataH jala--dA3-gamaH &
   dṛṣṭāś ca phullā ni-culā % na mṛtā cā7smi kiṃ nv idam // 2.133 //	dRzwAH ca PullA ni-culA % na mRtA ca-a7smi kim nu idam // 2.133 //
   kāryā3-kṣepaḥ sa kāryasya $ maraṇasya ni-vartanāt &	kArya-a3-kzepaH sa kAryasya $ maraNasya ni-vartanAt &
   tat-kāraṇam upa-ny-asya % dāruṇaṃ jala-dā3-gamam // 2.134 //	tat-kAraNam upa-ny-asya % dAruNam jala-dA3-gamam // 2.134 //
   [- anujñākṣepa]	[ anujQAkzepa]
   na ciraṃ mama tāpāya $ tava yātrā bhaviṣyati &	na ciram mama tApAya $ tava yAtrA Bavizyati &
   yadi yāsyasi yātavyam % alam ā-śaṅkayā9tra te // 2.135 //	yadi yAsyasi yAtavyam % alam A-SaFkayA-a9tra te // 2.135 //
   ity anu-jñā-mukhenai9va $ kāntasyā8-kṣipyate gatiḥ &	iti anu-jQA--muKena-e9va $ kAntasya-a8-kzipyate gatiH &
   maraṇaṃ sūcayantyai9va % so 'nu-jñā4-kṣepa ucyate // 2.136 //	maraNam sUcayantyA-e9va % saH anu-jQA4-kzepaH ucyate // 2.136 //
   [- prabhutvākṣepa]	[ praBu-tvAkzepa]
   dhanaṃ ca bahu labhyaṃ te $ sukhaṃ kṣemaṃ ca vartmani &	Danam ca bahu laByam te $ suKam kzemam ca vartmani &
   na ca me prāṇa-saṃ-dehas % tathā8pi priya mā sma gāḥ // 2.137 //	na ca me prANa-saM-dehaH % taTA-a8pi priya mA sma gAH // 2.137 //
   ity ā-cakṣāṇayā hetūn $ priya-yātrā2nu-bandhinaḥ &	iti A-cakzANayA hetUn $ priya-yAtrA-a2nu--banDinaH &
   pra-bhu-tvenai7va ruddhas tat % pra-bhu-tvā3-kṣepa ucyate // 2.138 //	pra-Bu--tvena-e7va rudDaH tat % pra-Bu--tvA-a3-kzepaH ucyate // 2.138 //
   [- anādarākṣepa]	[ anAdara-Akzepa]
   jīvitā3śā balavatī $ dhanā3śā dur-balā mama &	jIvitA3SA balavatI $ DanA3SA dur-balAH mama &
   gaccha vā tiṣṭha vā kānta % sva1va-sthā tu ni-veditā // 2.139 //	gacCa vA tizWa vA kAntaH % sva1va-sTA tu ni-veditAH // 2.139 //
   asāv an-ādarā3-kṣepo $ yad an-ādaravad vacaḥ &	asO an-AdarA3--kzepaH $ yat an-Adara-vat vacaH &
   priya-pra-ṇāyaṃ rundhatyā % pra-yuktam iha raktayā // 2.140 //	priya--pra-NAyam runDatyAH % pra-yuktam iha raktayA // 2.140 //
   [- āśīrvacanākṣepa]	[ ASIrvacana-Akzepa]
   gaccha gacchasi cet kānta $ panthānaḥ santu te śivāḥ &	gacCa gacCasi ced kAntaH $ panTAnaH santu te SivAH &
   mamā7pi janma tatrai7va % bhūyād yatra gato bhavān // 2.141 //	mama-a7pi janma tatra-e7va % BUyAt yatra gataH BavAn // 2.141 //
   ity āśīr-vacanā3-kṣepo $ yad āśīr-vāda-vartmanā &	iti ASIr-vacanA3-kzepaH $ yat ASIr-vAda-vartmanA &
   svā1va-sthāṃ sūcayantyai9va % kānta-yātrā ni-ṣidhyate // 2.142 //	sva-a1va--sTAm sUcayantyA-e9va % kAnta--yAtrA ni-ziDyate // 2.142 //
   [- paruṣākṣepa]	[ paruzAkzepa]
   yadi satyai9va yātrā te $ kā9py anyā mṛgyatāṃ tvayā &	yadi satyE9va yAtrA te $ kA-a9pi anyA mRgyatAm tvayA &
   aham adyai7va ruddhā9smi % randhrā1pe3kṣeṇa mṛtyunā // 2.143 //	aham adyE7va rudDA9smi % ranDra-a1pe3kzeNa mRtyunA // 2.143 //
   ity eṣa paruṣā3-kṣepaḥ $ paruṣā1kṣara-pūrvakam &	iti eza paruza-a3-kzepaH $ paruzA1-kzara--pUrvakam &
   kāntasyā8-kṣipyate yasmāt % pra-sthānaṃ prema-ni-ghnayā // 2.144 //	kAntasya-a8-kzipyate yasmAt % pra-sTAnam prema--ni-GnayA // 2.144 //
   [- sācivyākṣepa]	[ sAci-vyAkzepa]
   // v.v //	// v.u //
   [śleṣa (= śliṣṭa)]	[Sleza ( Slizwa)]
   śliṣṭam iṣṭam an-ekā1rtham $ eka-rūpā1nv-itaṃ vacaḥ &	Slizwam izwam an-ekA1rTam $ eka-rUpa-a1nv-itam vacaH &
   tad a-bhinna-padaṃ bhinna- % pada-prā1yam iti dvi-dhā // 2.310 //	tat a-Binna--padam Binna % pada--prA1yam iti dvi-DA // 2.310 //
   [- abhinnapada-śleṣa]	[ aBinnapada--Sleza]
   asāv ud-ayam ā-rūḍhaḥ $ kānti-mān rakta-maṇḍalaḥ &	asO ud-ayam A-rUXaH $ kAnti-mAn rakta--maNxalaH &
   rājā harati lokasya % hṛdayaṃ mṛdubhiḥ karaiḥ // 2.311 //	rAjA harati lokasya % hRdayam mRduBiH karEH // 2.311 //
   [- bhinnapada-śleṣa]	[ Binnapada-Sleza]
   doṣā(3)-kareṇa saṃ-badhnan[n / $ n]a[-]kṣatra-patha-vartinā &	doza-a(3)-kareNa saM-baDnan[n / $ n]a[-]kzatra-paTa-vartinA &
   rajñā pra-doṣo mām ittham % a-priyaṃ kiṃ na bādhate // 2.312 //	rajQA pra-dozaH mAm itTam % a-priyam kim na bADate // 2.312 //
   upa-mā-rūpakā3-kṣepa- $ vy-ati-rekā3di-go-carāḥ &	upa-mA-rUpakA3-kzepa $ vy-ati-rekA3di-gaH--carAH &
   prāg eva darśitāḥ śleṣā % darśyante ke-canā7pare // 2.313 //	prAk eva darSitAH SlezAH % darSyante ke-canA7-pare // 2.313 //
   asty a-bhinna-kriyaḥ kaś-cid $ a-vi-ruddha-kriyo 'paraḥ &	asti a-Binna-kriyaH kaS-cid $ a-vi-rudDa-kriyaH aparaH &
   vi-ruddha-karmā cā7sty anyaḥ % śleṣo ni-yama-vān api // 2.314 //	vi-rudDa-karmA ca-a7sti anyaH % SlezaH ni-yam-a-vAn api // 2.314 //
   ni-yamā3-kṣepa-rūpo1ktir $ a-vi-rodhī vi-rodhy api &	ni-yamA3-kzepa--rUpo1ktiH $ a-vi-roDI vi-roDi api &
   teṣāṃ ni-darśaneṣv eva % rūpam āvir bhaviṣyati // 2.315 //	tezAm ni-darSanezu eva % rUpam Avis Bavizyati // 2.315 //
   [- abhinnakriya-śleṣa]	[ aBinna-kriya-Sleza]
   vakrāḥ sva-bhāva-madhurāḥ $ śaṃsantyo rāgam ulbaṇam &	vakrAH sva-BAva--maDurAH $ SaMsantyaH rAgam ulbaNam &
   dṛśo dūtyaś ca karṣanti % kāntābhiḥ pre3ṣitāḥ priyān // 2.316 //	dRSaH dUtyaH ca karzanti % kAntABiH pre3zitAH priyAn // 2.316 //
   [- aviruddhakriya-śleṣa]	[ avirudDa-kriya-Sleza]
