   atha śabdādhyāyaḥ //	aTa Sabda-aDyAyaH //
   tatra ca "teṣu teṣvartheṣu teṣāṃ śabdānāṃ prayogo bodhakatvanibandhanaḥ	tatra ca "tezu tezu-arTezu tezAm SabdAnAm prayogaH boDaka-tva-nibanDanaH
   iti niścinvanti" ityādyuktam /	iti niScinvanti" ityAdi-uktam /
   punaśca "vyutpannetaraśabdeṣvasya śabdasyāyamarthaḥ iti pūrvavṛddhaiḥ	punar-ca "vyutpanna-itara-Sabdezu-asya Sabdasya-ayam-arTaH iti pUrva-vRdDEH
   śikṣitāḥ" ityādi /	SikzitAH" ityAdi /
   yadināmānvitābhidhānamabhimataṃ; tadā kathamiva padamātre vyutpattiḥ syāt	yadi-nAma-anvita-aBiDAnam-aBimataM; tadA kaTam-iva pada-mAtre vyutpattiH syAt-
   yadi ca sā syāt, kathamanvitamabhidheyam, vyutpattivaiparītyaprasaṅgāt /	yadi ca sA syAt, kaTam-anvitam-aBiDeyam, vyutpatti-vEparItya-prasaFgAt /
   tasmānnānvitābhidhānameva siddhānta iti nirṇetuṃ śakyam, iti kecit //	tasmAt-na-anvitA-aBiDAnam-eva sidDAnte iti nirNetum Sakyam, iti kecid //
   nyā. pa. śa. 6 anye tu "bodhakānām" ityādivākyamanvite	nyA. pa. Sa. 6 anye tu "boDakAnAm" ityAdi-vAkyam-anvite
   saṃsargaviśeṣasiddherupapadyate /	saMsarga-viSeza-sidDeH-upapadyate /
   padavākyabhedābhidhānamapi tattadviśeṣavaiśiṣṭyapradarśanamātrārthaṃ,	pada-vAkya-Beda-aBiDAnam-api tad-tad-viSeza-vESizwya-pradarSana-mAtra-arTaM,
   parābhyupagamadyotanārthaṃ vā /	para-aByupagamat-yotana-arTam vA /
   pratyekapadavyutpattyabhidhānamapyanvitārthabodhanopayuktāsādhāraṇadvāraprakāśanamātram	pratyeka-pada-vyutpatti-aBiDAnam-api-anvita-arTa-boDana-upayukta-asADAraNa-dvAra-prakASana-mAtram
   padārthaṃ smārayitvaiva hi padāni vakyārthaṃ bodhayantītyuktan /	padArTam smArayitvA-eva hi padAni vakya-arTam boDayanti-iti-uktan /
   smṛteśca svānubhūtimūlatvānna śaktyantarakḷptiḥ /	smRteH-ca sva-anuBUti-mUla-tvAt-na Sakti-antara-k?ptiH /
   vyākhyātaṃ ca bhāṣyādikamanvitaparatayā vivaraṇe śrīrāmamiśraiḥ /	vyAKyAtam ca BAzya-Adikam-anvita-para-tayA vivaraNe SrI-rAma-miSrEH /
   tathā ṣaḍarthasaṃkṣepepi--- "śabdaśca svataḥ śakyamanvitatayā bodhayati,	taTA zaz-arTa-saMkzepepi-- "SabdaH-ca svatas Sakyam-anvita-tayA boDayati,
   asaṃbhghaverthāntaram, iti hi vyutpattiḥ---" ityādyuktam /	asaMBGaverTa-antaram, iti hi vyutpattiH---" ityAdi-uktam /
   atonvitābhidhānaṃ siddhāntaḥ iti /	atas-nvita-aBiDAnam sidDAntaH iti /
   evamanvitābhidhānasāmarthyādviśiṣṭapratipattyanyathānupapatteśca	evam-anvita-aBiDAna-sAmarTyAt-viSizwa-pratipatti-anyaTA-anupapatteH-ca
   padānāmapi viśiṣṭābhidhāyitvaṃ siddham //	padAnAm-api viSizwa-aBiDAyi-tvam sidDam //
   nyā. pa. śa. 7 ata eva viśiṣṭārthābhidhāyitvepi viśeṣaṇamatre śaktiḥ	nyA. pa. Sa. 7 atas eva viSizwa-arTa-aBiDAyi-tvepi viSezaNam-atre SaktiH
   ityapi nirastam; abhidhāyitvātiriktaśaktyantarābhāvāt /	iti-api nirastam; aBiDAyitvA-atirikta-Sakti-antara-aBAvAt /
   aparyavasānavacanamapi viśiṣṭabodhanaśaktasya viśeṣaṇamātre	aparyavasAna-vacanam-api viSizwa-boDana-Saktasya viSezaNa-mAtre
   sthātumaśaktatvāt /	sTAtum-aSakta-tvAt /
   viśiṣṭānupraviṣṭaṃ hi viśeṣaṇaṃ pareparañjakaveṣameveti tādṛgākāro	viSizwa-anupravizwam hi viSezaNam pareparaQjaka-vezam-eva-iti tAdRS-AkAraH-
   viśeṣyagrahaṇamantareṇa durgrahaḥ /	viSezya-grahaNam-antareNa durgrahaH /
   tāvatā ca tadarthaṃ viśeṣyagrahaṇamiti vyarthaṃ vacaḥ /	tAvatA ca tad-arTam viSezya-grahaNam-iti vyarTam vacaH /
   yathāpratīti vyavasthāpanasyaiva yuktatvāt //	yaTAprati-iti vyavasTApanasya-eva yukta-tvAt //
   kiṃ ca--- gavādiśabdābhihitagotvādyarthasvabhāvataḥ /	kim ca-- gavA-Adi-Sabda-aBihita-go-tvA-Adi-arTa-svaBAvataH /
   vyaktidhīryadi tadvat syāt niṣkarṣakapadeṣvapi /	vyakti-DIrya-di tadvat syAt nizkarzaka-padezu-api /
   gavādiśabdā jātyādīn paratantrān pracakṣate /	gavA-Adi-SabdAH jAti-AdIn paratantrAn pracakzate /
   tenāśrayapratītiścet tannaḥ siddhaḥ samīhitam /	tena-ASraya-pratItiH-ced tat-naH sidDaH samIhitam /
   paraṃ kathamavijñāpya pāratantryasya bodhanam /	param kaTam-avijQApya pAratantryasya boDanam /
   vijñāpya yadi śabdasya tatra śaktirna kiṃ bhavet /	vijQApya yadi Sabdasya tatra SaktiH-na kim Bavet /
   parasya paratantreṇa tathā buddhena bodhanam /	parasya paratantreNa taTA budDena boDanam /
   tadbuddhyā paratantrasya bodhanenyonyasaṃśrayaḥ /	tad-budDyA paratantrasya boDanenyonya-saMSrayaH /
   paradhīnirapekṣaṃ cet pāratantryaṃ pratīyate /	para-DInirapekzam ced pAratantryam pratIyate /
   na tena parabuddhiḥ syānniṣkṛṣṭapratipattivat /	na tena para-budDiH syAt-nizkRzwa-pratipatti-vat /
   pāratantryaṃ svarūpaṃ cet tulyaṃ niṣkarṣakepi tat /	pAratantryam svarUpam ced tulyam nizkarzakepi tat /
   adhikaṃ dharminiṣṭhatvādanyannopalabhāmahe /	aDikam Darmi-nizWa-tvAt-anyat-na-upalaBAmahe /
   padāntaraparāmarśanirapekṣapratītike /	pada-antara-parAmarSa-nirapekza-pratItike /
   nirūḍhalakṣaṇāvādāḥ paryāyāvṛttigocarāḥ /	nirUXa-lakzaNOvAdAH paryAya-avRtti-gocarAH /
   vyaktergaurityaniṣkarṣānniṣkarṣe tvādyapekṣaṇāt /	vyakteH-gOritya-nizkarzAt-nizkarze tu-Adi-apekzaNAt /
   niṣkarṣakeṣvadṛṣṭeśca na jātyā vyaktilakṣaṇā /	nizkarzakezu-adRzweH-ca na jAtyA vyakti-lakzaNA /
   ākṛtāveva yaḥ śaktiṃ śabdānāmabhimanyate /	AkRtO=-eva yaH Saktim SabdAnAm-aBimanyate /
   sattāyāmeva kiṃ tena sarveṣāṃ nābhyupeyate /	sattAyAm-eva kim tena sarvezAm na-aByupeyate /
   ato gavādiśabdebhyo viśiṣṭaviṣayā matiḥ /	atas gavA-Adi-SabdeByaH viSizwa-vizayA matiH /
   śabdaśaktiprasūteti balādabhyupagamyatām //	Sabda-Sakti-prasUtA-iti balAt-aByupagamyatAm //
   nyā. pa. śa. 8 yattu "na lokavyutpattihaniḥ, tatraiva śakteḥ" iti	nyA. pa. Sa. 8 yat-tu "na loka-vyutpatti-haniH, tatra-eva SakteH" iti
   ṣaḍarthasaṃkṣepe śrīrāmamiśrairuktam, tadapi tatra	zaz-arTa-saMkzepe SrI-rAma-miSrEH-uktam, tat-api tatra
   śaktyabhāvapratikṣepaparam /	Sakti-aBAva-pratikzepa-param /
   asamāptadhīstu vedāntāśruterbhramaḥ /	asamApta-DIH-tu vedAnta-aSruteH-BramaH /
   āpātavyutpattyā śrutestatpūrtirityanantaramabhidhānāt /	ApAta-vyutpattyA SruteH-tad-pUrtiH-iti-anantaram-aBiDAnAt /
   yaccātmasiddhau "yathā gavādipadaśaktirekabuddhisiddhepi	yat-ca-Atma-sidDO "yaTA gavA-Adi-pada-SaktiH-ekabudDi-sidDepi
   sāmānyaviśeṣātmake vastuni sāmānyāṃśena saṃbadhyate" iti /	sAmAnya-viSeza-Atmake vastuni sAmAnya-aMSena saMbaDyate" iti /
   tadapi parābhyupagatodāharaṇamanyārtham /	tat-api para-aByupagata-udAharaNam-anya-arTam /
   yatheti parasaṃpratipannanidarśanāt /	yaTA-iti para-saMpratipanna-nidarSanAt /
   guṇavācinyapi pade jātiśabdoktanītitaḥ /	guNa-vAcini-api pade jAti-Sabda-ukta-nItitaH /
   apṛthaksiddhavācitvānna yuktā guṇilakṣaṇā /	apRTak-sidDa-vAci-tvAt-na yuktA guNi-lakzaNAH /
   svaraliṅgaviśeṣotthamantralope na saṃskriyā /	svara-liFga-viSeza-utTa-mantra-lope na saMskriyAH /
   viśiṣṭavācakatvaṃ tu tadāthattaṃ na manmahe //	viSizwa-vAcaka-tvam tu tat-ATattam na manmahe //
   nyā. pa. śa. 9 ato niṣkarṣakaśabdātiriktānāmapṛthaksiddhaviśeṣaṇavācināṃ	nyA. pa. Sa. 9 atas nizkarzaka-Sabda-atiriktAnAm-apRTak-sidDa-viSezaNa-vAcinAm
   viśeṣyaparyavasānavyutpatteḥ śarīravācināṃ devādiśabdānāmapi yathāprayogaṃ	viSezya-paryavasAna-vyutpatteH SarIra-vAcinAm deva-Adi-SabdAnAm-api yaTA-prayogam
   śarīriparyavasānaṃ siddham /	SarIri-paryavasAnam sidDam /
   ata evacātmapṛthivyādiśabdānāmīśvaraparyantatā /	atas eva-ca-Atma-pRTivI-Adi-SabdAnAm-ISvara-paryanta-tA /
   tena "sarvaṃsvatvidaṃ brahma" "jyotīṃṣi viṣṇuḥ" "ayamātmābrahya"	tena "sarvaMsvatu-idam brahma" "jyotIMzi vizNuH" "ayam-AtmA-abrahya"
   "tattvamasi"ityādisāmānādhikaraṇyaṃ tattatprakārakabrahmaparam /	"tattvam-asi"iti-Adi-sAmAnADikaraNyam tad-tad-prakAraka-brahma-param /
   nāmarūpavyākaraṇaṃ ca tadanupraveśāt /	nAma-rUpa-vyAkaraNam ca tad-anupraveSAt /
   ata eva ca tasya sarvaśabdavācyatvamapi śrūyateth; tadeva ca vyajyate	atas eva ca tasya sarva-Sabda-vAcya-tvam-api SrUyateT; tat-eva ca vyajyate
   "tadanupraviśya sacca tyaccābhavat" iti /	"tad-anupraviSya sat-ca tyat-ca-aBavat" iti /
   smaryate ca--- "sarvaṃ samāpnoṣi tatosi sarvaḥ" iti /	smaryate ca-- "sarvam samApnozi tatosi sarvaH" iti /
   sūtritaṃ ca--- "carācaravyapāśrayastu syāt tadvyapadeśo	sUtritam ca-- "carAcara-vyapASrayaH-tu syAt tad-vyapadeSaH-
   bhāktastadbhāvabhāvitvāt" iti /	BAktaH-tad-BAva-BAvi-tva-at" iti /
   uktaṃ ca varadaviṣṇumiśraiḥ--- "svargakāmaśabdena kāmyamānasvargaḥ	uktam ca vara-da-vizNu-miSrEH-- "svarga-kAma-Sabdena kAmyamAna-svargaH
   puruṣobhidhīyate /	puruzoBiDIyate /
   na hīśvarovāptasamastakāmaḥ svargaṃ kāmayate, tasyātyalpasukhatvāt /	na hi-ISvara-uvApta-samasta-kAmaH svargam kAmayate, tasya-ati-alpa-suKa-tvAt /
   ato vācyaikadeśe jīve lakṣaṇā, gaṅgāśabdasya tīra iva" iti /	atas vAcya-eka-deSe jIve lakzaNA, gaFgA-Sabdasya tIraH iva" iti /
   yadvā svargakāmādiśabdānāmapi jīvādimātrepi mukhyatvameva,	yat-vA svarga-kAma-Adi-SabdAnAm-api jIva-Adi-mAtrepi muKya-tvam-eva,
   pravṛttinimittāparityāgāt /	pravRtti-nimitta-aparityAgAt /
   ata eva hi bhāktapadasya bhaktyā vyapadeśārthatvamapi bhāṣyakārairuktam /	atas eva hi BAkta-padasya BaktyA vyapadeSa-arTa-tvam-api BAzya-kArEH-uktam /
   viśiṣṭaveṣasya śaktiviṣayatvāt tattyoge kathaṃ na lakṣaṇeti cet,	viSizwa-vezasya Sakti-vizaya-tvAt tad-tyoge kaTam na lakzaNa-iti ced-,
   aparityaktapravṛttinimittasya vyutpattyanupraviṣṭamātrabodhanaṃ mukhyatā,	aparityakta-pravRtti-nimittasya vyutpatti-anupravizwa-mAtra-boDanam muKya-tA,
   tadabhāvakṛta upacāra iti vyavasthānāt //	tad-aBAva-kRtaH upacAraH iti vyavasTAnAt //
   nyā. pa. śa. 10 nanu "tattvamasi" ityatra tvamiti śvetaketumātranirdeśe	nyA. pa. Sa. 10 nanu "tattvam-asi" iti-atra tvam-iti Svetaketu-mAtra-nirdeSe
   tadasīti sāmānādhikaraṇyāyogaḥ /	tat-asi-iti sAmAnADikaraNyA-yogaH /
   śvetaketuśarīrakeśvaranirdeśe tadābhimukhyenopadeśāyogaḥ /	Svetaketu-SarIrakeSvara-nirdeSe tad-A-aBimuKyena-upadeSa-ayogaH /
   taduddeśena tvamarthavidhānaṃ cāsiśabdānanvayādinā dūranirastam /	tad-uddeSena tvam-arTa-viDAnam ca-asi-SabdAn-anvaya-AdinA dUra-nirastam /
   prāptārthatayā nigamanarūpatvepipava viśeṣaṇaviśeṣyabhedo niṣkarṣaṇīyaḥ /	prApta-arTa-tayA nigamana-rUpa-tvepipava viSezaNa-viSezya-BedaH nizkarzaNIyaH /
   evam "ahaṃ brahmāsmi" ityādivyapadeśopi durnirvahaḥ /	evam "aham brahmA-asmi" ityAdi-vyapadeSa-upi durnirvahaH /
   "jīvenātmanā" ityatrāpyātmaśabdena jīvātmādyabhidhānaṃ	"jIvena-AtmanA" iti-atra-api-Atma-Sabdena jIva-Atma-Adi-aBiDAnam
   ṣāṣyakāravacanaviruddham, jīvena mayetyādivyapadeśāt /	zAzya-kAra-vacana-virudDam, jIvena mayA-ityAdi-vyapadeSAt /
   paramātmābhidhāne tu tṛtīyānupapattiḥ, "vyākaravāṇi" ityabhihitatvāt /	paramAtmA-aBiDAne tu tRtIyA-anupapattiH, "vyAkara-vANi" iti-aBihita-tvAt /
   kriyābhedepi kṛtvāderuttarakriyaikarasyāt kartrantarāyuktiḥ,	kriyA-Bedepi kRtvA-AdeH-uttara-kriyA-eka-rasyAt kartR-antara-AyuktiH,
   samānakartṛkatvavirodhāt /	samAna-kartRka-tva-viroDAt /
   karaṇatvavivakṣayā kartari tṛtīyāyāṃ mukhyatvahāniḥ /	karaNa-tva-vivakzayA kartari tRtIyAyAm muKya-tva-hAniH /
   ataścāreṇānupraviśya parabalaṃ saṃkalayānītivajjīvasyavai	atas-cAreNa-anupraviSya para-balam saMkalayAnIti-vat-jIvasya-vE
   praviśatikartṛtvam; parastu vyākaraṇamātrakartā /	praviSati-kartR-tvam; paraH-tu vyAkaraNa-mAtra-kartA /
   tāvatā tu śabdānāṃ na tatparyantatvasiddhiḥ iti //	tAvatA tu SabdAnAm na tad-paryanta-tva-sidDiH iti //
   nyā. pa. śa. 11 atrocyate saṃbuddhistāvadatra ātmavidyopadeśena	nyA. pa. Sa. 11 atra-ucyate saMbudDiH-tAvat-atra Atma-vidyA-upadeSena
   śvetaketumātraparyavasiteti nāsaṃbodhyasaṃbodhanam /	Svetaketu-mAtra-paryavasitA-iti na-asaMboDya-saMboDanam /
   vacanavyaktiśca tadasītyeva /	vacana-vyaktiH-ca tat-asi-iti-eva /
   tatra kāryakāraṇabhāvena, śarīrātmabhāvena vā sāmānādhikaraṇyanirvāhaḥ /	tatra kArya-kAraNa-BAvena, SarIra-Atma-BAvena vA sAmAnADikaraNya-nirvAhaH /
   ubhayatra tvaṃśabdasyāpi tacchabdābhihitadravyaparyavasānaṃ siddham //	uBayatra tvaMSabdasya-api tad-Sabda-aBihita-dravya-paryavasAnam sidDam //
   dharmāntaraviśeṣyasya dharmāntaraviśeṣyataḥ /	Darma-antara-viSezyasya Darma-antara-viSezyataH /
   svasmādabhedastādātmyaṃ syādupādānadehinoḥ //	svasmAt-aBedaH-tAdAtmyam syAt-upAdAna-dehinoH //
   atastvaccharīrakaṃ brahmeti vivakṣāyāṃ satyāṃ tvaṃ taditi	atas-tvad-SarIrakam brahma-iti vivakzAyAm satyAm tvam tat-iti
   nirdeśamātramupapannam /	nirdeSa-mAtram-upapannam /
   madhyamapuruṣaśca tvaṃśabdaprayoganibandhanaḥ, "yuṣmadyupapade	maDyama-puruzaH-ca tvaMSabda-prayoga-nibanDanaH, "yuzma-di-upapade
   samānādhikaraṇe sthāninyapi madhyamaḥ" iti vidhānāt /	samAna-aDikaraNe sTAnini-api maDyamaH" iti viDAnAt /
   ataḥ sopi tvaṃśabdaparyavasānaviṣayaparyavasitaḥ /	atas sa-upi tvaMSabda-paryavasAna-vizaya-paryavasitaH /
   yadvā tat tvamasītyevānvayostu /	yat-vA tat tvam-asi-iti-eva-anvayoH-tu /
   na coddeśyānuguṇā tiṅvibhaktiriti niyamaḥ,	na ca-uddeSya-anuguNA tiFviBaktiH-iti niyamaH,
   upādeyānuguṇaliṅgavacanādinirdeśavadatrāpi virodhābhāvāt /	upAdeya-anuguNa-liFga-vacana-Adi-nirdeSa-vat-atra-api viroDa-aBAvAt /
   prayuñjate ca patañjaliprabhṛtaya upādeyānuguṇāmapi tiṅvibhaktim--- "sa	prayuQjate ca pataQjali-praBRtayaH upAdeya-anuguNAm-api tiFviBaktim-- "sa
   punarāvṛttaḥ suvarṇapiṇḍaḥ khadirāṅgārasavarṇe kuṇḍale bhavataḥ" ityādiṣu	punarAvRttaH suvarNa-piNxaH Kadira-aFgAra-savarNe kuNxale BavataH" ityAdizu
   etena "ahaṃ brahmāsmi" ityādikamapi nirvyūḍham /	etena "aham brahmA-asmi" iti-Adikam-api nirvyUXam /
   "jīvenātmānā" ityatrāpyanena nyāyena svaśabdaparyāyeṇātmaśabdena	"jIvena-AtmAnA" iti-atra-api-anena nyAyena sva-Sabda-paryAyeNa-Atma-Sabdena
   jīvaśabdasya sāmānādhikaraṇyaṃ tāvat siddham /	jIva-Sabdasya sAmAnADikaraNyam tAvat sidDam /
   tṛtīyānupapattistu svarūpatādātmyapakṣe pṛthaktvapakṣe ca samānā /	tRtIyA-anupapattiH-tu svarUpa-tAdAtmya-pakze pRTaktva-pakze ca samAnAH /
   athāṃśabhedādinā vibhajya karaṇatvādivivakṣayā kathañcinnirvāhaḥ, tathā	aTa-aMSa-Beda-AdinA viBajya karaNa-tva-Adi-vivakzayA kaTaQcid-nirvAhaH, taTA
   viśiṣṭākārādibhedavivakṣayā vibhajyātrāpi nirvāhamanumanyethāḥ /	viSizwa-AkAra-Adi-Beda-vivakzayA viBajya-atra-api nirvAham-anumanyeTAH /
   ataḥ śrutyādivākyeṣu viruddhārthānubandhinaḥ /	atas Sruti-Adi-vAkyezu virudDa-arTa-anubanDinaH /
   sāmānādhikaraṇyasya na svarūpaikyaniṣṭhatā //	sAmAnADikaraNyasya na svarUpa-Ekya-nizWatA //
   kāryatvādapṛthaksiddherāviśādanukārataḥ /	kArya-tvAt-apRTak-sidDeH-AviSAt-anukArataH /
   astisṛṣṭyupakārādeḥ sāmānādhikaraṇyadhīḥ //	asti-sRzwi-upakAra-AdeH sAmAnADikaraNya-DIH //
   na ca tvaddṛṣṭaḥ puruṣaḥ sthāṇuritivat "puruṣa evedaṃ sarvam" "tattvamasi"	na ca tvad-dRzwaH puruzaH sTANuH-iti-vat "puruzaH eva-idam sarvam" "tattvam-asi"
   ityādau bādhārthaṃ sāmānādhikaraṇyamiti vācyam, mukhyavṛttisaṃbhave	ityAdO bADa-arTam sAmAnADikaraNyam-iti vAcyam, muKya-vRtti-saMBave
   tadayogāt, prapañcasatyatvādeścābādhitapratyakṣādibalasiddhatvāt /	tad-ayogAt, prapaQca-satya-tva-AdeH-ca-AbADita-pratyakza-Adi-bala-sidDa-tvAt /
   cidaṃśasāmānādhikaraṇyaṃ tu na bādhasaham, tvayāpi tatsatyatvābhyupagamāt	cit-aMSa-sAmAnADikaraNyam tu na bADa-saham, tvayA-api tad-satya-tva-aByupagamAt
   svarūpaikyavidhāne ca viruddhadharmapratirodhāt, tatparityāge	svarUpa-Ekya-viDAne ca virudDa-Darma-pratiroDAt, tad-parityAge
   padayoranatiriktārthatayā paryāyapadasāmānādhikaraṇyaprasaṅgāt,	padayoH-anatirikta-arTa-tayA paryAya-pada-sAmAnADikaraNya-prasaFgAt,
   dvārābhāvena mukhyavṛttibādhāpatteḥ, gatyantare ca saṃbhavati tadayogāt,	dvAra-aBAvena muKya-vRtti-bADa-ApatteH, gati-antare ca saMBavati tad-ayogAt,
   svarūpamātranirdeśe ca padāntaravaiyarthyāt, svarūpabhedasya ca	sva-rUpa-mAtra-nirdeSe ca pada-antara-vEyarTya-at, svarUpa-Bedasya ca
   bahupramāṇasiddhatvāt //	bahu-pramANa-sidDa-tvAt //
   nyā. pa. śa. 12 "satyaṃ jñānam---" ityādilakṣaṇavākyamapi	nyA. pa. Sa. 12 "satyam jQAnam---" ityAdi-lakzaNa-vAkyam-api
   satyatvādiviśiṣṭaikaviṣayam, tathaiva sāmānādhikaraṇyavyutpatteḥ /	satya-tva-Adi-viSizwa-eka-vizayam, taTA-eva sAmAnADikaraNya-vyutpatteH /
   na cātra viśeṣaṇabhedādviviśeṣyabhedāprasaṅgaḥ, viruddhaviśeṣaṇābhāvāt; na	na ca-atra viSezaNa-BedAt-viviSezya-Beda-aprasaFgaH, virudDa-viSezaNa-aBAvAt; na
   hi ghaṭapaṭādiṣviva virodhaḥ /	hi Gawa-pawa-Adizu-iva viroDaH /
   yathā ca pratyakṣe nīlatvotpalatvāderavirodho darśanabalāt, tathātrāpi /	yaTA ca pratyakze nIla-tva-utpala-tva-AdeH-aviroDaH darSana-balAt, taTA-atra-api /
   na ca satyatvajñānatvādervaiyadhikaraṇyaniyamo dṛṣṭaḥ, yena virodhaḥ syāt	na ca satya-tva-jQAna-tva-AdeH-vEyaDikaraNya-niyamaH dRzwaH, yena viroDaH syAt-
   viśeṣyaikyapare tu sāmānādhikaraṇye viśeṣaṇānāṃ viśeṣaṇaviśeṣyayośca mitho	viSezya-ekya-pare tu sAmAnADikaraNye viSezaNAnAm viSezaNa-viSezyayoH-ca miTas-
   bhedo guṇa eva /	BedaH guNaH eva /
   na ca viśeṣyaikyavadviśeṣaṇaviśeṣyaikyaprasaktiḥ,	na ca viSezI-a-Ekya-vat-viSezaNa-viSezI-a-Ekya-prasaktiH,
   viśeṣaṇānāmaikyaprasaktirvā, lakṣaṇāvirodhādidoṣāt, atathāvyutpatteśca /	viSezaNAnAm-Ekya-prasaktiH-vA, lakzaNa-aviroDa-Adi-dozAt, ataTA-vyutpatteH-ca /
   nāpi viśiṣṭe viśiṣṭāntaravidhānādviśeṣaṇānāṃ mithaḥ samavāyādidoṣaḥ,	na-api viSizwe viSizwa-antara-viDAnAt-viSezaNAnAm miTas samavAya-Adi-dozaH,
   yugapadanekaviśiṣṭaikābhidhānāt, anūdya vidhāneṣvapi yathā vyutpatti	yugapad-aneka-viSizwa-eka-aBiDAnAt, anUdya viDAnezu-api yaTA vyutpatti
   dharmapradhānatvācca //	Darma-praDAna-tvAt-ca //
   nyā. pa. śa. 13 na ca viśeṣaṇaṃ sarvaṃ viśeṣaṇāntarāsaham,	nyA. pa. Sa. 13 na ca viSezaNam sarvam viSezaNa-antara-asaham,
   virodhimātravirodhitvāt, anyathā pratyakṣavirodhāt	viroDi-mAtra-viroDi-tvA-at, anyaTA pratyakza-viroDAt-
   sādhyasādhakadharmādiviśiṣṭaviṣayānumānādyanudayaprasaṅgāt, evantvādidaṃ	sADya-sADaka-Darma-Adi-viSizwa-vizaya-anumAna-Adi-anudaya-prasaFga-at, evantvAt-idam
   viśiṣṭabodhakaṃ na bhavatītyādi vyavahārasyāpi vilopaḥ syāt /	viSizwa-boDakam na Bavati-ityAdi vyavahArasya-api vilopaH syAt /
   na ca śabdane pratipādane tathā, aviśeṣāt, pratyakṣādivacchabdenāpi	na ca Sabdane pratipAdane taTA, aviSezAt, pratyakza-Adi-vat-Sabdena-api
   yathāvastu bodhanīyatvāt /	yaTAvastu boDanIya-tvAt /
   viśeṣaṇamātraparatvaṃ tu nābhyupagatameva, yena viśiṣṭaikyāsiddhiḥ syāt /	viSezaNa-mAtra-paratvam tu na-aByupagatam-eva, yena viSizwa-Ekya-asidDiH syAt /
   yasya tu viśeṣyamātraparatvaṃ, tasya paryāyatulyatvāt	yasya tu viSezya-mAtra-paratvan, tasya paryAya-tulya-tvAt-
   padāntaravaiyarthyalakṣaṇabhaṅgalakṣaṇādidoṣaḥ, pravṛttinimittānāṃ	pada-antara-vEyarTya-lakzaNa-BaFga-lakzaNa-Adi-dozaH, pravRtti-nimittAnAm
   viśeṣaṇānāṃ tyāgāt, viśeṣyamātrasya ca dvārarahitasyālakṣyatvāt /	viSezaNAnAm tyAgAt, viSezya-mAtrasya ca dvAra-rahitasya-alakzya-tvAt /
   itaravyāvṛttīnāṃ tūpalakṣaṇatve svarūpatve ca padāntaravaiyarthyādidoṣaḥ	itara-vyAvRttInAm tu-upalakzaNa-tve svarUpa-tve ca pada-antara-vEyarTya-Adi-dozaH
   sa eva //	saH eva //
   nyā. pa. śa. 14 evaṃ tāsāṃ viśeṣaṇatve	nyA. pa. Sa. 14 evam tAsAm viSezaNa-tve
   pakṣāntaravadviśiṣṭabhedādidoṣastvadukta āpatet, na cennānyatrāpi /	pakza-antara-vat-viSizwa-Beda-Adi-dozaH-tvad-uktaH Apatet, na ced-na-anyatra-api /
   tyaktapravṛttinimittasya tadvirodhivyāvṛttyabhilāṣastvālokamapahāya	tyakta-pravRtti-nimittasya tad-viroDi-vyAvRtti-aBilAzaH-tu-Alokam-apahAya
   timiranirākaraṇavāñchā /	timira-nirAkaraNa-vAQCA /
   vipratipannaṃ vākyamakhaṇḍaparam, samānādhikaraṇavākyatvāt, soyaṃ	vipratipannam vAkyam-aKaNxa-param, samAna-aDikaraNa-vAkya-tva-at, soyam
   devadattaḥ iti vākyavat, yadvā lakṣaṇavākyatvāt, prakṛṣṭaprakāśaścandraḥ	devadattaH iti vAkyavat, yat-vA lakzaNa-vAkya-tva-at, prakRzwa-prakASaH-candraH
   ityādivat iti cenna, dṛṣṭāntāsiddheḥ, tattedantāviśiṣṭasyaiva devadattasya	ityAdi-vat iti ced-na, dRzwAnta-asidDeH, tat-tedantA-viSizwasya-eva devadattasya
   soyamiti pratīteḥ /	soyam-iti pratIteH /
   yugapat tayorvyāghāta iti cenna, yaugapadyasyānabhidhānāt, anākṣepācca /	yugapad tayoH-vyAGAtaH iti ca-id-na, yOgapadyasya-anaBiDAnAt, anAkzepAt-ca /
   yugapat pratipattistu na doṣaḥ, anyathā pratyabhijñābhaṅge	yugapad pratipattiH-tu na dozaH, anyaTA pratyaBijQA-BaFge
   kṣaṇabhaṅganairātmyāpalāpādivādā vijayeran /	kzaNa-BaFga-nErAtmya-apalApa-Adi-vAdAH vijayeran /
   tathāpyatītatvavartamānatve kathamekasya ? iti cet, svapradhvaṃsakāle hi	taTA-api-atIta-tva-vartamAna-tve kaTam-ekasya ? iti cet, sva-praDvaMsa-kAle hi
   svayamatītaḥ syāt, na cāsau pradhvastaḥ, vartamānatvopalaṃbhāt;	svayam-atItaH syAt, na ca-asO praDvastaH, vartamAna-tva-upalaMBAt;
   atītopādhiviśeṣasaṃbandhitayā hi tattvam, na tvatītatayā /	atIta-upADi-viSeza-saMbanDi-tayA hi tattvam, na tu-atIta-tayA /
   kathamekaṃ pūrvamaparaṃ ca ? iti cenna,	kaTam-ekam pUrvam-aparam ca ? iti ced-na,
   pratibandhyupādhibhedenobhayopapatteḥ, anyathā kṣaṇasyāpi	pratibanDyupADi-Bedena-uBaya-upapatteH, anyaTA kzaNasya-api
