   Devīgītā	DevI-gItA
   tasya kācitsvataḥ siddhā śaktirmāyeti viśrutā // Dg_2.3 = DbhP_7,32.3 //	tasya kAcid-svataH sidDA SaktiH-mAyA-iti viSrutAH // Dk-_2.3  DBP_7,32.3 //
   na satī sā nāsatī sā nobhayātmā virodhataḥ /	na satI sA na-asatI sA na-uBaya-AtmA viroDataH /
   etadvilakṣaṇā kācidvastubhūtāsti sarvadā // Dg_2.4 = DbhP_7,32.4 //	etat-vilakzaNA kAcid-vastu-BUtA-asti sarvadA // Dk-_2.4  DBP_7,32.4 //
   pāvakasyoṣṇateveyamuṣṇāṃśoriva dīdhitiḥ /	pAvakasya-uzNa-teva-iyam-uzNAMSoH-iva dIDitiH /
   candrasya candrikeveyaṃ mameyaṃ sahajā dhruvā // Dg_2.5 = DbhP_7,32.5 //	candrasya candrikA-iva-iyam mama-iyam sahajAH DruvA // Dk-_2.5  DBP_7,32.5 //
   tasyāṃ karmaṇi jīvānāṃ jīvāḥ kālāśca sañcare /	tasyAm karmaNi jIvAnAm jIvAH kAlAH-ca saQcare /
   abhedena vilīnāḥ syuḥ suṣuptau vyavahāravat // Dg_2.6 = DbhP_7,32.6 //	aBedena vilInAH syuH suzuptO vyavahAra-vat // Dk-_2.6  DBP_7,32.6 //
   svaśakteś ca samāyogādahaṃ bījātmatāṃ gatā /	sva-SakteH ca samAyogAt-aham bIja-Atma-tAm gatAH /
   svādhārāvaraṇāttasyā doṣatvaṃ ca samāgatam // Dg_2.7 = DbhP_7,32.7 //	sva-ADAra-AvaraNAt-tasyAH doza-tvam ca samAgatam // Dk-_2.7  DBP_7,32.7 //
   caitanyasya samāyogānnimittatvaṃ ca kathyate /	cEtanyasya samAyogAt-nimitta-tvam ca kaTyate /
   prapañcapariṇāmācca samavāyitvamucyate // Dg_2.8 = DbhP_7,32.8 //	prapaQca-pariNAmAt-ca samavAyi-tvam-ucyate // Dk-_2.8  DBP_7,32.8 //
   kecittāṃ tapa ityāhustamaḥ kecijjaḍaṃ pare /	kecid-tAm tapaH iti-AhuH-tamaH kecid-jaxam pare /
   jñānaṃ māyāṃ pradhānaṃ ca prakṛtiṃ śaktimapyajām // Dg_2.9 = DbhP_7,32.9	jQAnam mAyAm praDAnam ca prakRtim Saktim-api-ajAm // Dk-_2.9  DBP_7,32.9
   vimarśa iti tāṃ prāhuḥ śaivaśāstraviśāradāḥ /	vimarSaH iti tAm prAhuH SEva-SAstra-viSAradAH /
   avidyāmitare prāhurvedatattvārthacintakāḥ // Dg_2.10 = DbhP_7,32.10 //	avidyAm-itare prAhuH-veda-tattva-arTa-cintakAH // Dk-_2.10  DBP_7,32.10 //
   evaṃ nānāvidhāni syurnāmāni nigamādiṣu /	evam nAnAviDAni syuH-nAmAni nigama-Adizu /
   tasyā jaḍatvaṃ dṛśyatvājjñānanāśāttato 'satī // Dg_2.11 = DbhP_7,32.11 //	tasyAH jaxa-tvam dRSya-tvAt-jQAna-nASAt-tatas asatI // Dk-_2.11  DBP_7,32.11 //
   caitanyasya na dṛśyatvam dṛśyatve jaḍameva tat /	cEtanyasya na dRSya-tvam dRSya-tve jaxam-eva tat /
   svaprakāśaṃ ca caitanyaṃ na pareṇa prakāśitam // Dg_2.12 = DbhP_7,32.12 //	sva-prakASam ca cEtanyam na pareNa prakASitam // Dk-_2.12  DBP_7,32.12 //
   anavasthādoṣasattvānna svenāpi prakāśitam /	anavasTA-doza-sattvAt-na svena-api prakASitam /
   karmakartrīvirodhaḥ syāttasmāttaddīpavatsvayam // Dg_2.13 = DbhP_7,32.13	karma-kartrI-viroDaH syAt-tasmAt-tat-dIpa-vat-svayam // Dk-_2.13  DBP_7,32.13
   prakāśamānamanyeṣāṃ bhāsakaṃ viddhi parvata /	prakASamAnam-anyezAm BAsakam vidDi parvataH /
   ata eva ca nityatvaṃ siddhasaṃvittanormama // Dg_2.14 = DbhP_7,32.14 //	atas eva ca nitya-tvam sidDa-saMvid-tanoH-mama // Dk-_2.14  DBP_7,32.14 //
   jāgratsvapnasuṣuptyādau dṛśyasya vyabhicārataḥ /	jAgrat-svapna-suzupti-AdO dRSyasya vyaBicArataH /
   saṃvido vyabhicāraśca nānubhūto 'sti karhicit // Dg_2.15 = DbhP_7,32.15 //	saMvidaH vyaBicAraH-ca na-anuBUtaH asti karhicit // Dk-_2.15  DBP_7,32.15 //
   yadi tasyāpyanubhavastarhyayaṃ yena sākṣiṇā /	yadi tasya-api-anuBavaH-tarhi-ayam yena sAkziNA /
   anubhūtaḥ sa evātra śiṣṭaḥ saṃvidvapuḥ purā // Dg_2.16 = DbhP_7,32.16 //	anuBUtaH saH eva-atra SizwaH saMvid-vapuH purA // Dk-_2.16  DBP_7,32.16 //
   ata eva ca nityatvaṃ proktaṃ sacchāstrakovidaiḥ /	atas eva ca nitya-tvam proktam sat-SAstra-kovidEH /
   ānandarūpatā cāsyāḥ parapremāspadatvataḥ // Dg_2.17 = DbhP_7,32.17 //	Ananda-rUpa-tA ca-asyAH para-prema-Aspada-tvataH // Dk-_2.17  DBP_7,32.17 //
   mā na bhūvaṃ hi bhūyāsamiti premātmani sthitam /	mA na BUvam hi BUyAsam-iti prema-Atmani sTitam /
   sarvasyānyasya mithyātvādasaṅgatvaṃ sphuṭaṃ mama // Dg_2.18 = DbhP_7,32.18	sarvasya-anyasya miTyA-tvAt-asaFga-tvam sPuwam mama // Dk-_2.18  DBP_7,32.18
   aparicchinnatāpyevamata eva matā mama /	aparicCinna-tA-api-evam-atas eva matAH mama /
   tacca jñānaṃ nātmadharmā dharmatve jaḍatātmanaḥ // Dg_2.19 = DbhP_7,32.19	tat-ca jQAnam na-Atma-DarmA Darma-tve jaxatA-AtmanaH // Dk-_2.19  DBP_7,32.19
   jñānasya jaḍaśeṣatvaṃ na dṛṣṭaṃ na ca saṃbhavi /	jQAnasya jaxa-Seza-tvam na dRzwam na ca saMBavi /
   ciddharmatvaṃ tathā nāsti citaścinna hi bhidyate // Dg_2.20 = DbhP_7,32.20	cit-Darma-tvam taTA na-asti citaScit-na hi Bidyate // Dk-_2.20  DBP_7,32.20
   tasmādātmā jñānarūpaḥ sukharūpaśca sarvadā /	tasmAt-AtmA jQAna-rUpaH suKa-rUpaH-ca sarvadA /
   satyaḥ pūrṇo 'py asaṅgaśca dvaitajālavivarjitaḥ // Dg_2.21 = DbhP_7,32.21	satyaH pUrNaH api asaFgaH-ca dvEta-jAla-vivarjitaH // Dk-_2.21  DBP_7,32.21
   sa punaḥ kāmakarmādiyuktayā svīyamāyayā /	sa punar kAma-karma-Adi-yuktayA svIya-mAyayA /
   pūrvānubhūtasaṃskārātkālakarmavipākataḥ // Dg_2.22 = DbhP_7,32.22 //	pUrva-anuBUta-saMskArAt-kAla-karma-vipAkataH // Dk-_2.22  DBP_7,32.22 //
   avivekācca tattvasya sisṛkṣāvānprajāyate /	avivekAt-ca tattvasya sisRkzAvAn-prajAyate /
   abuddhipūrvaḥ sargo 'yaṃ kathitaste nagādhipa // Dg_2.23 = DbhP_7,32.23 //	abudDi-pUrvaH sargaH ayam kaTitaH-te naga-aDipa // Dk-_2.23  DBP_7,32.23 //
   etaddhi yanmayā proktaṃ mama rūpamalaukikam /	etat-hi yat-mayA proktam mama rUpam-alOkikam /
   avyākṛtaṃ tadavyaktaṃ māyāśabalamityapi // Dg_2.24 = DbhP_7,32.24 //	avyAkRtam tat-avyaktam mAyA-Sabalam-iti-api // Dk-_2.24  DBP_7,32.24 //
   procyate sarvaśāstreṣu sarvakāraṇakāraṇam /	procyate sarva-SAstrezu sarva-kAraNa-kAraNam /
   tattvānāmādibhūtaṃ ca saccidānandavigraham // Dg_2.25 = DbhP_7,32.25 //	tattva-anAm-Adi-BUtam ca saccidAnanda-vigraham // Dk-_2.25  DBP_7,32.25 //
   sarvakarmaghanībhūtamicchājñānakriyāśrayam /	sarva-karma-GanIBUtam-icCA-jQAna-kriyA-ASrayam /
   hrīṅkāramantravācyaṃ tadāditattvaṃ taducyate // Dg_2.26 = DbhP_7,32.26 //	hrIFkAra-mantra-vAcyam tad-Adi-tattvam tat-ucyate // Dk-_2.26  DBP_7,32.26 //
   tasmādākāśa utpannaḥ śabdatanmātrarūpakaḥ /	tasmAt-AkASaH utpannaH Sabda-tanmAtra-rUpakaH /
   bhavetsparśātmako vāyustejorūpātmakaṃ punaḥ // Dg_2.27 = DbhP_7,32.27 //	Bavet-sparSa-AtmakaH vAyuH-tejaH-rUpa-Atmakam punar // Dk-_2.27  DBP_7,32.27 //
   jalaṃ rasātmakaṃ paścāttato gandhātmikā dharā /	jalam rasa-Atmakam paScAt-tatas ganDa-AtmikA DarA /
   śabdaikaguṇa ākāśo vāyuḥ sparśaravānvitaḥ // Dg_2.28 = DbhP_7,32.28 //	Sabda-eka-guNaH AkASaH vAyuH sparSa-rava-anvitaH // Dk-_2.28  DBP_7,32.28 //
   śabdasparśarūpaguṇaṃ teja ityucyate budhaiḥ /	Sabda-sparSa-rUpa-guNam tejaH iti-ucyate buDEH /
   śabdasparśarūparasairāpo vedaguṇāḥ smṛtāḥ // Dg_2.29 = DbhP_7,32.29 //	Sabda-sparSa-rUpa-rasEH-ApaH veda-guNAH smRtAH // Dk-_2.29  DBP_7,32.29 //
   śabdasparśarūparasagandhaiḥ pañcaguṇā dharā /	Sabda-sparSa-rUpa-rasa-ganDEH paQcaguNA DarA /
   tebhyo 'bhavanmahatsūtraṃ yalliṅgaṃ paricakṣate // Dg_2.30 = DbhP_7,32.30	teByaH aBavat-mahat-sUtram yat-liFgam paricakzate // Dk-_2.30  DBP_7,32.30
   sarvātmakam tatsamproktaṃ sūkṣmadeho 'yamātmanaḥ /	sarva-Atmakam tad-samproktam sUkzma-dehaH ayam-AtmanaH /
   avyaktaṃ kāraṇo dehaḥ sa coktaḥ pūrvam eva hi // Dg_2.31 = DbhP_7,32.31 //	avyaktam kAraNaH dehaH sa ca-uktaH pUrvam eva hi // Dk-_2.31  DBP_7,32.31 //
   yasmiñjagadbījarūpaṃ sthitaṃ liṅgodbhavo yataḥ /	yasmin-jagat-bIja-rUpam sTitam liFga-udBavaH yatas /
   tataḥ sthūlāni bhūtāni pañcīkaraṇamārgataḥ // Dg_2.32 = DbhP_7,32.32 //	tatas sTUlAni BUtAni paQcIkaraNa-mArgataH // Dk-_2.32  DBP_7,32.32 //
   pañcasaṃkhyāni jāyante tatprakārastvathocyate /	paQca-saMKyAni jAyante tad-prakAraH-tu-aTa-ucyate /
   pūrvoktāni ca bhūtāni pratyekaṃ vibhajed dvidhā // Dg_2.33 = DbhP_7,32.33	pUrva-uktAni ca BUtAni pratyekam viBajet dviDA // Dk-_2.33  DBP_7,32.33
   ekaikaṃ bhāgamekasya caturdhā vibhajedgire /	ekEkam BAgam-ekasya caturDA viBajet-gire /
   svasvetaradvitīyāṃśe yojanātpañca pañca te // Dg_2.34 = DbhP_7,32.34 //	sva-sva-itara-dvitIya-aMSe yojanAt-paQca paQca te // Dk-_2.34  DBP_7,32.34 //
   tatkāryam ca virāḍdehaḥ sthūladeho 'yamātmanaḥ /	tat-kAryam ca virAj-dehaH sTUla-dehaH ayam-AtmanaH /
   pañcabhūtasthasattvāṃśaiḥ śrotrādīnāṃ samudbhavaḥ // Dg_2.35 =	paQcaBUta-sTa-sattva-aMSEH Srotra-AdInAm samudBavaH // Dk-_2.35 =
   DbhP_7,32.35 //	DBu-_7,32.35 //
   jñānendriyāṇāṃ rājendra pratyekaṃ militaistu taiḥ /	jQAna-indriyANAm rAja-indra pratyekam militEH-tu tEH /
   antaḥkaraṇamekaṃ syād vṛttibhedāccaturvidham // Dg_2.36 = DbhP_7,32.36 //	antaHkaraNam-ekam syAt vRtti-BedAt-caturviDam // Dk-_2.36  DBP_7,32.36 //
   yadā tu saṅkalpavikalpakṛtyaṃ tadā bhavettanmana ityabhikhyam /	yadA tu saFkalpa-vikalpa-kRtyam tadA Bavet-tad-manaH iti-aBiKyam /
   syād buddhisaṃjñaṃ ca yadā pravetti suniścitaṃ saṃśayahīnarūpam // Dg_2.37	syAt budDi-saMjQam ca yadA pravetti su-niScitam saMSaya-hIna-rUpam // Dk-_2.37
   = DbhP_7,32.37 //	 DBu-_7,32.37 //
   anusandhānarūpaṃ taccittam ca parikīrtitam /	anusanDAna-rUpam tat-cittam ca parikIrtitam /
   ahaṅkṛtyātmavṛttyā tu tadahaṅkāratāṃ gatam // Dg_2.38 = DbhP_7,32.38 //	ahaFkRtya-Atma-vRttyA tu tat-ahaFkAra-tAm gatam // Dk-_2.38  DBP_7,32.38 //
   teṣāṃ rajoṃśairjñātāni kramātkarmendriyāṇi ca /	tezAm rajoMSEH-jQAtAni kramAt-karmendriyANi ca /
   pratyekaṃ militairtairtu prāṇo bhavati pañcadhā // Dg_2.39 = DbhP_7,32.39	pratyekam militEH-tEH-tu prANaH Bavati paQcaDA // Dk-_2.39  DBP_7,32.39
   hṛdi prāṇo gude 'pāno nābhisthastu samānakaḥ /	hRdi prANaH gude apAnaH nABi-sTaH-tu samAnakaH /
   kaṇṭhadeśe 'pyudānaḥ syādvyānaḥ sarvaśarīragaḥ // Dg_2.40 = DbhP_7,32.40	kaNWa-deSe api-udAnaH syAt-vyAnaH sarva-SarIra-gaH // Dk-_2.40  DBP_7,32.40
   jānendriyāṇi pañcaiva pañca karmendriyāṇi ca /	jAna-indriyANi paQca-eva paQca karmendriyANi ca /
   prāṇādipañcakaṃ caiva dhiyāca sahitaṃ manaḥ // Dg_2.41 = DbhP_7,32.41 //	prANa-Adi-paQcakam ca-eva DiyA-ca sahitam manaH // Dk-_2.41  DBP_7,32.41 //
   etatsūkṣmaśarīraṃ syānmama liṇgaṃ yaducyate /	etat-sUkzma-SarIram syAt-mama liNgam yat-ucyate /
   tatra yā prakṛtiḥ proktā sā rājandvididhā smṛtā // Dg_2.42 = DbhP_7,32.42	tatra yA prakRtiH proktA sA rAjan-dvidiDA smRtAH // Dk-_2.42  DBP_7,32.42
   sattvātmikā tu māyā syādavidyā guṇamiśritā /	sattva-AtmikA tu mAyA syAt-avidyA guNa-miSritAH /
   svāśrayaṃ yā tu saṃrakṣetsā māyeti nigadyate // Dg_2.43 = DbhP_7,32.43 //	sva-ASrayam yA tu saMrakzet-sA mAyA-iti nigadyate // Dk-_2.43  DBP_7,32.43 //
   tasyāṃ yatpratibimbaṃ syādbimbabhūtasya ceśituḥ /	tasyAm yat-pratibimbam syAt-bimba-BUtasya ca-ISituH /
   sa īśvaraḥ samākhyātaḥ svāśrayajñānavānparaḥ // Dg_2.44 = DbhP_7,32.44 //	saH ISvaraH samAKyAtaH sva-ASraya-jQAnavAn-paraH // Dk-_2.44  DBP_7,32.44 //
   sarvajñaḥ sarvakartā ca sarvānugrahakārakaḥ /	sarvajQaH sarva-kartA ca sarva-anugraha-kArakaH /
   avidyāyāṃ tu yatkiñcitpratibimbaṃ nagādhipa // Dg_2.45 = DbhP_7,32.45 //	avidyAyAm tu yat-kiQcit-pratibimbam naga-aDipa // Dk-_2.45  DBP_7,32.45 //
   tadeva jīvasaṃjñaṃ syātsarvaduḥkhāśrayaṃ punaḥ /	tat-eva jIva-saMjQam syAt-sarva-duHKa-ASrayam punar /
   dvayorapīha samproktaṃ dehatrayamavidyayā // Dg_2.46 = DbhP_7,32.46 //	dvayoH-api-iha samproktam deha-trayam-avidyayA // Dk-_2.46  DBP_7,32.46 //
   dehatrayābhimānāccāpyabhūnnāmatrayaṃ punaḥ /	deha-traya-aBimAnAt-ca-api-aBUt-nAma-trayam punar /
   prājñastu kāraṇātmā syātsūkṣmadehī tu taijasaḥ // Dg_2.47 = DbhP_7,32.47	prAjQaH-tu kAraNa-AtmA syAt-sUkzma-dehI tu tEjasaH // Dk-_2.47  DBP_7,32.47
   sthūladehī tu viśvākhyastrividhaḥ parikīrtitaḥ /	sTUladehI tu viSva-AKyaH-triviDaH parikIrtitaH /
   evamīśo 'pi samprokta īśasūtravirāṭpadaiḥ // Dg_2.48 = DbhP_7,32.48 //	evam-ISaH api samproktaH ISa-sUtra-virAwpadEH // Dk-_2.48  DBP_7,32.48 //
   prathamo vyaṣṭirūpastu samaṣṭyātmā paraḥ smṛtaḥ /	praTamaH vyazwi-rUpaH-tu samazwi-AtmA paraH smRtaH /
   sa hi sarveśvaraḥ sākṣājjīvānugrahakāmyayā // Dg_2.49 = DbhP_7,32.49 //	sa hi sarva-ISvaraH sAkzAt-jIva-anugraha-kAmyayA // Dk-_2.49  DBP_7,32.49 //
   karoti vividhaṃ viśvaṃ nānābhogāśrayaṃ punaḥ /	karoti viviDam viSvam nAnA-Boga-ASrayam punar /
   macchaktiprerito nityaṃ mayi rājanprakalpitaḥ // Dg_2.50 = DbhP_7,32.50 //	mad-Sakti-preritaH nityam mayi rAjan-prakalpitaH // Dk-_2.50  DBP_7,32.50 //
   iti devīgītāyāṃ dvitīyo 'dhyāyaḥ -	iti devI-gItAyAm dvitIyaH aDyAyaH -
   iti śrīdevībhāgavate mahāpurāṇe saptamaskandhe devīgītāyāṃ dvātriṃśo	iti SrI-devI-BAgavate mahApurANe saptama-skanDe devI-gItAyAm dvAtriMSaH-
   'dhyāyaḥ	aDyAyaH
   atha tṛtīyo 'dhyāyaḥ -	aTa tRtIyaH aDyAyaH -
   saptamaḥ skandhaḥ	saptamaH skanDaH
   atha trayastriṃśo 'dhyāyaḥ	aTa trayastriMSaH aDyAyaH
   devyuvāca	devI-uvAca
   manmāyāśaktisaṃklṛptaṃ jagatsarvaṃ carācaram /	mad-mAya-aSakti-saMklRptam jagat-sarvam carAcaram /
   sāpi mattaḥ pṛthaṅmāyā nāstyeva paramārthataḥ // Dg_3.1 = DbhP_7,33.1 //	sA-api mattaH pRTak-mAyA na-asti-eva paramArTataH // Dk-_3.1  DBP_7,33.1 //
   vyavahāradṛśā seyaṃ vidyā māyeti viśrutā /	vyavahAra-dRSA sA-iyam vidyA mAyA-iti viSrutA /
   tattvadṛṣṭyā tu nāstyeva tattvamevāsti kevalam // Dg_3.2 = DbhP_7,33.2 //	tattva-dRzwyA tu na-asti-eva tattvam-eva-asti kevalam // Dk-_3.2  DBP_7,33.2 //
   sāhaṃ sarvaṃ jagatsṛṣṭvā tadantaḥ praviśāmyaham /	sA-aham sarvam jagat-sRzwvA tad-antar praviSAmi-aham /
   māyākarmādisahitā gire prāṇapuraḥsarā // Dg_3.3 = DbhP_7,33.3 //	mAyA-karma-Adi-sahitAH gire prANa-puraHsarAH // Dk-_3.3  DBP_7,33.3 //
   lokāntaragatirno cetkathaṃ syāditi hetunā /	loka-antara-gatiH-no ced-kaTam syAt-iti hetunA /
   yathā yathā bhavantyeva māyābhedāstathā tathā // Dg_3.4 = DbhP_7,33.4 //	yaTA yaTA Bavanti-eva mAyA-BedAH-taTA taTA // Dk-_3.4  DBP_7,33.4 //
   upādhibhedādbhinnāhaṃ ghaṭākāśādayo yathā /	upADi-BedAt-BinnA-aham Gawa-AkASa-AdayaH yaTA /
   uccanīcādivastūni bhāsayanbhāskaraḥ sadā // Dg_3.5 = DbhP_7,33.5 //	ucca-nIca-Adi-vastUni BAsayan-BAskaraH sadA // Dk-_3.5  DBP_7,33.5 //
   na duṣyati tathaivāhaṃ doṣairliptā kadāpi na /	na duzyati taTA-eva-aham dozEH-liptA kadApi na /
   mayi buddhyādikartṛtvamadhyasyaivāpare janāḥ // Dg_3.6 = DbhP_7,33.6 //	mayi budDi-Adi-kartR-tva-maDyasya-eva-apare janAH // Dk-_3.6  DBP_7,33.6 //
   vadanti cātmā karmeti vimūḍhā na subuddhayaḥ /	vadanti ca-AtmA karma-iti vimUXAH na su-budDayaH /
   ajñānabhedatastadvanmāyāyā bhedatastathā // Dg_3.7 = DbhP_7,33.7 //	ajQAna-BedataH-tadvat-mAyAyAH BedataH-taTA // Dk-_3.7  DBP_7,33.7 //
   jīveśvaravibhāgaśca kalpito māyayaiva tu /	jIveSvara-viBAgaH-ca kalpitaH mAyayA-eva tu /
   ghaṭākāśamahākāśavibhāgaḥ kalpito yathā // Dg_3.8 = DbhP_7,33.8 //	Gawa-AkASa-mahA-AkASa-viBAgaH kalpitaH yaTA // Dk-_3.8  DBP_7,33.8 //
   tathaiva kalpito bhedo jīvātmaparamātmanoḥ /	taTA-eva kalpitaH BedaH jIvAtma-paramAtmanoH /
   yathā jīvabahūtvaṃ ca māyayaiva na ca svataḥ // Dg_3.9 = DbhP_7,33.9 //	yaTA jIva-bahUtvam ca mAyayA-eva na ca svatas // Dk-_3.9  DBP_7,33.9 //
   tatheśvarabahūtvaṃ ca māyayā na svabhāvataḥ /	taTA-ISvara-bahU-tvam ca mAyayA na svaBAvataH /
   dehendriyādisaṅghātavāsanābhedabheditā // Dg_3.10 = DbhP_7,33.10 //	deha-indriya-Adi-saFGAta-vAsanA-Beda-BeditA // Dk-_3.10  DBP_7,33.10 //
   avidyā jīvabhedasya heturnānyaḥ prakīrtitaḥ /	avidyA jIva-Bedasya hetuH-na-anyaH prakIrtitaH /
   guṇānāṃ vāsanābhedabheditā yā dharādhara // Dg_3.11 = DbhP_7,33.11 //	guNAnAm vAsanA-Beda-BeditA yA DarADara // Dk-_3.11  DBP_7,33.11 //
   māyā sā parabhedasya heturnānyaḥ kadācana /	mAyA sA para-Bedasya hetuH-na-anyaH kadAcana /
   mayi sarvamidaṃ protamotaṃ ca dharaṇīdhara // Dg_3.12 = DbhP_7,33.12 //	mayi sarvam-idam prota-motam ca DaraNIDara // Dk-_3.12  DBP_7,33.12 //
   īśvaro 'haṃ ca sūtrātmā virāḍātmāhamasmi ca /	ISvaraH aham ca sUtra-AtmA virAj-a-AtmA-aham-asmi ca /
   brahmāhaṃ viṣṇurudrau ca gaurī brāhmī ca vaiṣṇāvī // Dg_3.13 =	brahmA-aham vizNu-rudrO ca gOrI brAhmI ca vEzNAvI // Dk-_3.13 =
   DbhP_7,33.13 //	DBu-_7,33.13 //
   sūryo 'haṃ tārakāścāhaṃ tārakeśastathāsmyaham /	sUryaH aham tArakAH-ca-aham tAra-keSaH-taTA-asmi-aham /
   paśupakṣisvarūpāhaṃ cāṇḍālo 'haṃ ca taskaraḥ // Dg_3.14 = DbhP_7,33.14 //	paSu-pakzi-svarUpA-aham cANxAlaH aham ca taskaraH // Dk-_3.14  DBP_7,33.14 //
   vyādho 'haṃ krūrakarmāhaṃ satkarmāhaṃ mahājanaḥ /	vyADaH aham krUra-karma-aham sat-karma-aham mahAjanaH /
   strīpunnapuṃsakākāro 'pyahameva na saṃśayaḥ // Dg_3.15 = DbhP_7,33.15 //	strI-punnapuMsaka-AkAraH api-aham-eva na saMSayaH // Dk-_3.15  DBP_7,33.15 //
   yacca kiñcitkvacidvastu dṛśyate śrūyate 'pi vā /	yat-ca kiQcid-kvacit-vastu dRSyate SrUyate api vA /
   antarbahiśca tatsarvaṃ vyāpyāhaṃ sarvadā sthitā // Dg_3.16 = DbhP_7,33.16	antar-bahis-ca tat-sarvam vyApya-aham sarvadA sTitAH // Dk-_3.16  DBP_7,33.16
   na tadasti mayā tyaktaṃ vastu kiñciccarācaram /	na tat-asti mayA tyaktam vastu kiQciccarAcaram /
   yadyasti cettacchūnyaṃ syādvandhyāputropamaṃ hi tat // Dg_3.17 =	yadi-asti ced-tat-SUnyam syAt-vanDyA-putra-upamam hi tat // Dk-_3.17 =
   DbhP_7,33.17 //	DBu-_7,33.17 //
   rajjuryathā sarpamālābhedairekā vibhāti hi /	rajjuH-yaTA sarpa-mAlA-BedEH-ekA viBAti hi /
   tathaiveśādirūpeṇa bhāmyahaṃ nātra saṃśayaḥ // Dg_3.18 = DbhP_7,33.18 //	taTA-eva-ISa-Adi-rUpeNa BAmi-aham na-atra saMSayaH // Dk-_3.18  DBP_7,33.18 //
   adhiṣṭhānātirekeṇa kalpitaṃ tanna bhāsate /	aDizWAna-atirekeNa kalpitam tat-na BAsate /
   tasmānmatsattayaivaitat sattāvannānyathā bhavet // Dg_3.19 = DbhP_7,33.19	tasmAt-mad-sattayA-eva-etat sattA-vat-na-anyaTA Bavet // Dk-_3.19  DBP_7,33.19
   himālaya uvāca	himAlayaH uvAca
   yathā vadasi deveśi samaṣṭyātmavapustvidam /	yaTA vadasi deveSi samazwi-Atma-vapuH-tu-idam /
   tathaiva draṣṭumicchāmi yadi devi kṛpā mayi // Dg_3.20 = DbhP_7,33.20 //	taTA-eva drazwum-icCAmi yadi devi kRpA mayi // Dk-_3.20  DBP_7,33.20 //
   vyāsa uvāca	vyAsaH uvAca
   iti tasya vacaḥ śrutvā sarve devāḥ saviṣṇavaḥ /	iti tasya vacaH SrutvA sarve devAH sa-vizNavaH /
   nanandurmuditātmānaḥ pūjayantaśca tadvacaḥ // Dg_3.21 = DbhP_7,33.21 //	nananduH-mudita-AtmAnaH pUjayantaH-ca tad-vacaH // Dk-_3.21  DBP_7,33.21 //
   atha devamataṃ jñātvā bhaktakāmadughā śivā /	aTa deva-matam jQAtvA Bakta-kAmaduGA SivA /
   adarśayannijaṃ rūpaṃ bhaktakāmaprapūriṇī // Dg_3.22 = DbhP_7,33.22 //	adarSayat-nijam rUpam Bakta-kAma-prapUriNI // Dk-_3.22  DBP_7,33.22 //
   apaśyaṃste mahādevyā virāḍrūpaṃ parātparam /	apaSyan=-te mahAdevyA virAj-rUpam parAtparam /
   dyaurmastakaṃ bhavedyasya candramūryau ca cakṣuṣī // Dg_3.23 =	dyOH-mastakam Bavet-yasya candramUryO ca cakzuzI // Dk-_3.23 =
   DbhP_7,33.23 //	DBu-_7,33.23 //
   diśaḥ śrotre vaco devāḥ prāṇo vāyuḥ prakīrtitaḥ /	diSaH Srotre vacaH devAH prANaH vAyuH prakIrtitaH /
   viśvaṃ hṛdayamityāhuḥ pṛthivī jaghanaṃ smṛtam // Dg_3.24 = DbhP_7,33.24 //	viSvam hRdayam-iti-AhuH pRTivI jaGanam smRtam // Dk-_3.24  DBP_7,33.24 //
   nabhastalaṃ nābhisaro jyotiścakramuraḥ sthalam /	naBastalam na-aBisaraH jyotiScakram-uraH sTalam /
   maharlokastu grīvā syājjanoloko mukhaṃ smṛtam // Dg_3.25 = DbhP_7,33.25 //	mahar-lokaH-tu grIvA syAt-jana-ulokaH muKam smRtam // Dk-_3.25  DBP_7,33.25 //
   tapoloko rarāṭistu satyalokādadhaḥ sthitaḥ /	tapolokaH rarAwiH-tu satya-lokAt-aDas sTitaH /
   indrādayo bāhavaḥ syuḥ śabdaḥ śrotraṃ maheśituḥ // Dg_3.26 = DbhP_7,33.26	indra-AdayaH bAhavaH syuH SabdaH Srotram maheSituH // Dk-_3.26  DBP_7,33.26
   nāsatyadasrau nāse sto gandho ghrāṇaṃ smṛtitaḥ /	nAsatya-dasrO nAse staH ganDaH GrANam smRtitaH /
   mukhamagniḥ samākhyāto divārātrī ca pakṣmaṇī // Dg_3.27 = DbhP_7,33.27 //	muKam-agniH samAKyAtaH divArAtrI ca pakzmaNI // Dk-_3.27  DBP_7,33.27 //
   brahmasthānaṃ bhrūvijṛmbho 'pyāpastāluḥ prkīrtitāḥ /	brahma-sTAnam BrU-vijRmBaH api-ApaH-tAluH prkIrtitAH /
   raso jihvā samākhyātā yamo daṃṣṭrāḥ prakīrtitāḥ // Dg_3.28 = DbhP_7,33.28	rasaH jihvA samAKyAtAH yamaH daMzwrAH prakIrtitAH // Dk-_3.28  DBP_7,33.28
   dantāḥ snehakalā yasya hāso māyā prakīrtitā /	dantAH sneha-kalA yasya hAsaH mAyA prakIrtitA /
   sargastvapāṅgamokṣaḥ syādvīḍordhvoṣṭho maheśituḥ // Dg_3.29 = DbhP_7,33.29	sargaH-tu-apAFga-mokzaH syAt-vIxa-UrDva-uzWaH maheSituH // Dk-_3.29  DBP_7,33.29
