   Vidyākaraśānti: Tarkasopāna	VidyAkara-SAnti: Tarka-sopAna
   siddhatvāt / na ca bhavatām api sarvaṃ vijñānam ekārthasamavāyinā jñānena	sidDa-tvAt / na ca BavatAm api sarvam vijQAnam eka-arTa-samavAyinA jQAnena
   jñāyate / bubhutsābhāve tadabhāvāt / yathopekṣaṇīyaviṣayā saṃvit / tata	jQAyate / buButsABAve tad-aBAvAt / yaTA-upekzaNIya-vizayA saMvid / tata
   upekṣaṇīyam eva tāvad avyaktavyaktikatvād avyaktaṃ prasajyate /	upekzaNIyam eva tAvat avyakta-vyaktika-tvAt avyaktam prasajyate /
   16. kiṃ ca / jñānaṃ jñānasyāpi kathaṃ vyaktir iti vaktavyam / anyajñānena	16. kim ca / jQAnam jQAnasya-api kaTam vyaktiH iti vaktavyam / anya-jQAnena
   tasya siddhatvād ucyamānāyāṃ tatrāpy evam ity anavasthā syāt / na ceyaṃ	tasya sidDa-tvAt ucyamAnAyAm tatra-api evam iti anavasTA syAt / na ca-iyam
   saṃdigdhavipakṣavyāvṛttyānaikāntikī / tathāhi yady avyaktavyaktikam api	saMdigDa-vipakza-vyAvRttyA-anEkAntikI / taTA-hi yadi avyakta-vyaktikam api
   vyaktavyavahāraviṣayaḥ syāt tadā puruṣāntaravartijñānam avyaktam api	vyakta-vyavahAra-vizayaH syAt tadA puruza-antara-varti-jQAnam avyaktam api
   svajñānodayakālavat tathaiva vyaktaṃ vyavahriyeteti / tad ayaṃ	sva-jQAna-udaya-kAla-vat taTA-eva vyaktam vyavahriyeta-iti / tat ayam
   vyaktavyavahāro vyaktavyaktikatvena vyāpī / siddhe ca vyāpyavyāpakabhāve	vyakta-vyavahAraH vyakta-vyaktika-tvena vyApI / sidDe ca vyApya-vyApaka-BAve
   vyāpakānupalabdhir aikāntikīti / nāpi svātmani kriyāvirodhaḥ / yadā	vyApaka-anupalabDiH EkAntikI-iti / na-api sva-Atmani kriyA-viroDaH / yadA
   jaḍapadārthavailakṣaṇyenotpattir eva svasaṃvittiḥ / tad uktam	jaxa-padArTa-vElakzaNyena-utpattiH eva sva-saMvittiH / tat uktam
   ācāryaśāntirakṣitapādaiḥ //	AcArya-SAnti-rakzita-pAdEH //
   vijñānaṃ jaḍarūpebhyo vyāvṛttam upajāyate /	vijQAnam jaxa-rUpeByaH vyAvRttam upajAyate /
   iyam evātmasaṃvittir asya yājaḍarūpatā //	iyam eva-Atma-saMvittiH asya yAjaxa-rUpa-tA //
   svasaṃvicchabdārtho 'pi tair eva darśitaḥ /	sva-saMvid-Sabda-arTaH api tEH eva darSitaH /
   svarūpavedanāyānyad vedakaṃ na vyapekṣate /	svarUpa-vedanAya-an-yat vedakam na vyapekzate /
   na cāviditam astīti so 'rtho 'yaṃ svasaṃvida // iti	na ca-aviditam asti-iti saH arTaH ayam sva-saMvidaH // iti
   17. yad apy uktaṃ yogina eva na santi kutas teṣāṃ jñānam iti / tad asāram	17. yat api uktam yoginaH eva na santi kutas tezAm jQAnam iti / tat asAram
   / bhāvanā hi bhūtārthaviṣayā taditarā vā prakarṣaparyantavartinī	/ BAvanA hi BUta-arTa-vizayA tad-itarA vA prakarza-paryanta-vartinI
   sphuṭataragrāhyākāraṃ vijñānaṃ janayati / tathā hi	sPuwatara-grAhya-AkAram vijQAnam janayati / taTA hi
   śokādyupaplutacittavṛttayaḥ putrādibhāvanāsamāptau	Soka-Adi-upapluta-citta-vRttayaH putra-Adi-BAvanA-samAptO
   parisphuṭasamāvartitatpratibhāsavanto bhavanti / tatra yat (Ts 284)	parisPuwa-samAvarti-tat-pratiBAsavantaH Bavanti / tatra yat (TH 284)
   pramāṇopapannārthabhāvanāprakarṣaparyantāj jātam karatalāmalakavad	pramANa-upapanna-arTa-BAvanA-prakarza-paryantAt jAtam kara-tala-Amalaka-vat-
   bhāvyamānārthaspaṣṭatarākāragrāhi tad yogipratyakṣam iti / yad āha /	BAvyamAna-arTa-spazwatara-AkAra-grAhi tat yogi-pratyakzam iti / yat Aha /
   bhāvanābalataḥ spaṣṭaṃ bhayādāv iva śaṃsate /	BAvanA-balataH spazwam Baya-AdO iva SaMsate /
   yaj jñānam avisamvādi tat pratyakṣam akalpakam iti //	yat jQAnam avisamvAdi tat pratyakzam akalpakam iti //
   18. tasya viṣayaḥ svalakṣaṇaṃ / tasya caturvidhasyānanyasādhāraṇena rūpeṇa	18. tasya vizayaH sva-lakzaNam / tasya caturviDasya-ananya-sADAraNena rUpeNa
   yal Iakṣyate tad viṣayaḥ / anena sāmānyaviṣayatvāropaḥ pratyakṣe	yat Iakzyate tat vizayaH / anena sAmAnya-vizaya-tva-AropaH pratyakze
   pratyuktaḥ / yasyārthasya saṃnidhānāsaṃnidhānābhyāṃ jñānapratibhāsabhedas	pratyuktaH / yasya-arTasya saMniDAna-asaMniDAnAByAm jQAna-pratiBAsa-Bedas
   tat svalakṣaṇaṃ / yasya jñānaviṣayasya saṃnidhānaṃ yogyadeśāvasthānam /	tat sva-lakzaNam / yasya jQAna-vizayasya saMniDAnam yogya-deSa-avasTAnam /
   asaṃnidhānaṃ yogyadeśe 'bhāvaḥ sarvathā / tābhyāṃ yo jñānapratibhāsaṃ	asaMniDAnam yogya-deSe aBAvaH sarvaTA / tAByAm yaH jQAna-pratiBAsam
   grāhyākāraṃ bhinatty utpādānutpādāt tat svalakṣaṇam // anyat	grAhya-AkAram Binatti utpAda-an-utpAdAt tat sva-lakzaNam // anyat-
   sāmānyalakṣaṇaṃ so 'numānasya viṣayaḥ / etasmāt svalakṣaṇād yad anyat	sAmAnya-lakzaNam saH anumAnasya vizayaH / etasmAt sva-lakzaNAt yat anyat-
   sādhāraṇaṃ lakṣaṇaṃ so 'numānasya viṣayaḥ /	sADAraNam lakzaNam saH anumAnasya vizayaH /
   19. tad eva pratyakṣaṃ jñānaṃ pramāṇaphalam / arthapratītirūpatvāt yad	19. tat eva pratyakzam jQAnam pramANa-Palam / arTa-pratIti-rUpa-tvAt yat-
   evānantaram uktaṃ pratyakṣaṃjñānaṃtad eva pramāṇasya phalam / arthasya	eva-anantaram uktam pratyakzaMjQAn-aMtat eva pramANasya Palam / arTasya
   pratītir avagamaḥ / tadrūpatvāt / yadi tad eva jñānaṃ pramāṇaphalaṃ	pratItiH avagamaH / tad-rUpa-tvAt / yadi tat eva jQAnam pramANa-Palam
   neṣyate tadā bhinnaviṣayatvaṃ syāt pramāṇaphalayoḥ / na caitad yuktam / na	na-izyate tadA Binna-vizaya-tvam syAt pramANa-PalayoH / na ca-etat yuktam / na
   hi paraśvādike khadiraprāpte palāśe cchidā bhavati //	hi para-SvAdike Kadira-prApte palASe cCidA Bavati //
   20. arthasārūpyam asya pramāṇam / tadvaśād arthapratītisiddheḥ / iha	20. arTa-sArUpyam asya pramANam / tad-vaSAt arTa-pratIti-sidDeH / iha
   yasmād viṣayād vijñānam udeti tatsarūpaṃ tad bhavati / atatsarūpeṇa	yasmAt vizayAt vijQAnam udeti tat-sarUpam tat Bavati / atat-sa-rUpeNa
   jñānenārthavedanāyogāt / tathā hi vijñānaṃ bodhamātrasvabhāvam (Ts 285)	jQAnena-arTa-vedanA-yogAt / taTA hi vijQAnam boDa-mAtra-svaBAvam (TH 285)
   utpadyate / tadā nīlasyedaṃ vedanaṃ pītasyeti pratikarmavyavasthā na syāt	utpadyate / tadA nIlasya-idam vedanam pItasya-iti pratikarma-vyavasTA na syAt-
   / yādṛśaṃ hi tan nile pīte 'pi tādṛśaṃ ceti / arthasārūpye tu sati	/ yAdRSam hi tat nile pIte api tAdRSam ca-iti / arTa-sArUpye tu sati
   yasyaivākāram anukaroti jñānaṃ tatsaṃvedanaṃ bhavati nānyasya / tac cāsya	yasya-eva-AkAram anukaroti jQAnam tad-saMvedanam Bavati na-anyasya / tat ca-asya
   sārūpyaṃ niyatārthapratītivyavasthāyāṃ sādhakatamatvāt pramāṇam / na	sArUpyam niyata-arTa-pratIti-vyavasTAyAm sADakatama-tvAt pramANam / na
   caitat mantavyam / kathaṃ sādhyasādhanayor abheda iti /	ca-etat mantavyam / kaTam sADya-sADanayoH aBedaH iti /
   janyajanakabhāvenātra sādhyasādhanabhāvābhāvāt /	janya-janaka-BAvena-atra sADya-sADana-BAva-aBAvAt /
   vyavasthāpyavyavasthāpakabhāvena caikasyāpi ghaṭate / nāpi lokabādhā /	vyavasTApya-vyavasTApaka-BAvena ca-ekasya-api Gawate / na-api loka-bADAH /
   loko pi kadācid ekadhanurādikaṃ kartṛtvādinā vadaty eva / tathāhi vaktāro	lokaH pi kadAcid eka-DanuH-Adikam kartR-tva-AdinA vadati eva / taTA-hi vaktAraH-
   bhavanti / dhanur vidhyati / dhanuṣā vidhyati / dhanuṣo nisṛtya saro	Bavanti / DanuH viDyati / DanuzA viDyati / DanuzaH nisRtya saraH-
   vidhyatīti / etena pūrvaṃ pūrvaṃ jñānaṃ pramāṇam uttaram uttaraṃ phalam	viDyati-iti / etena pUrvam pUrvam jQAnam pramANam uttaram uttaram Palam
   iti pramāṇaphalabhrāntir apāstā // //	iti pramANa-Pala-BrAntiH apAstA // //
   tarkasopāne pratyakṣaparicchedaḥ prathamaḥ // //	tarka-sopAne pratyakza-paricCedaH praTamaH // //
   1. anumānaṃ dvidhā svārthaṃ parārthaṃ ca / svasmāyidaṃ svārthaṃ / yena	1. anumAnam dviDA sva-arTam para-arTam ca / svasmAyidam sva-arTam / yena
   svayaṃ pratipadyate / parasmāyidaṃ parārtham / yena paraṃ pratipādayati /	svayam pratipadyate / para-smAyidam para-arTam / yena param pratipAdayati /
   2. tatra trirūpaliṅgād yad anumeye jñānaṃ rūpatrayayuktāl liṅgād yad	2. tatra trirUpa-liFgAt yat anumeye jQAnam rUpa-traya-yuktAt liFgAt yat-
   anumeyālambanaṃ jñānaṃ utpadyate tat svārtham anumānam / trirūpagrahaṇam	anumeya-Alambanam jQAnam utpadyate tat sva-arTam anumAnam / tri-rUpa-grahaNam
   ekaikadvidvirūpavyavacchedārtham / tatraikaikarūpo hetur na bhavati /	ekEka-dvi-dvi-rUpa-vyavacCeda-arTam / tatra-ekEka-rUpaH hetuH na Bavati /
   yathā nityaḥ śabdaḥ kṛtakatvāt / mūrtatvāt / aprameyatvād iti /	yaTA nityaH SabdaH kRtaka-tvAt / mUrta-tvAt / aprameya-tvAt iti /
   yathākramam anumeye sattvasapakṣasattvavipakṣavyāvṛtti (Ts 286) mātram	yaTAkramam anumeye sattva-sapakza-sattva-vipakza-vyAvRtti (TH 286) mAtram
   asti tathā hi dvidvirūpo yathānityo dhvaniḥ / amūrtatvāt / śrāvaṇatvāt /	asti taTA hi dvi-dvi-rUpaH yaTA-anityaH DvaniH / amUrta-tvAt / SrAvaNa-tvAt /
   cākṣuṣatvād iti / yathākramam anumeye	cAkzuza-tvAt iti / yaTAkramam anumeye
   sattvasapakṣasattvāsapakṣāsattvamātrasyābhāvāt / tad uktam ācāryapādaiḥ /	sattva-sapakza-sattva-Asa-pakzA-sattva-mAtrasya-aBAvAt / tat uktam AcArya-pAdEH /
   ekaikadvidvirūpād vā liṅgān nārthaḥ kṛto 'rthataḥ //	ekEka-dvi-dvi-rUpAt vA liFgAt na-arTaH kRtaH arTataH //
   kṛtakatvād dhvanir nityo mūrtatvād aprameyataḥ /	kRtaka-tvAt DvaniH nityaH mUrta-tvAt aprameyataH /
   amūrtaśrāvaṇatvābhyām anityaś cākṣuṣatvata // iti /	amUrta-SrAvaNa-tvAByAm anityaH cAkzuza-tvataH // iti /
   3. anumeyagrahaṇenāparokṣaviṣayasya nirāsaḥ / pramāṇaphalavyavasthātrāpi	3. anumeya-grahaNena-aparokza-vizayasya nirAsaH / pramANa-Pala-vyavasTAtrA-api
   pratyakṣavat ] yathā pratyakṣe tasyaiva nīlādisārūpyaṃ pramāṇam uktaṃ	pratyakza-vat ] yaTA pratyakze tasya-eva nIla-Adi-sArUpyam pramANam uktam
   nīlādipratītiś ca phalaṃ tathātrāpi vahnyādyākāraḥ pramāṇaṃ	nIla-Adi-pratItiH ca Palam taTA-atra-api vahni-Adi-AkAraH pramANam
   vahnyādivikalpanarūpatā ca phalam iti /	vahni-Adi-vikalpana-rUpa-tA ca Palam iti /
   4. liṅgasya trīṇi rūpāṇi / anumeye sattvam eva niścitam / anumeye	4. liFgasya trINi rUpANi / anumeye sattvam eva niScitam / anumeye
   vakṣyamāṇalakṣaṇe liṅgasya sattvam eva niścitam ekarūpam ] tatra	vakzyamANa-lakzaNe liFgasya sattvam eva niScitam eka-rUpam ] tatra
   sattvavacanenāsiddho nirastaḥ / yathā nityaḥ śabdaḥ / cākṣuṣatvād iti /	sattva-vacanena-asidDaH nirastaH / yaTA nityaH SabdaH / cAkzuza-tvAt iti /
   evakāreṇa pakṣaikadeśāsiddhaḥ nirasto hetuḥ / yathā cetanās taravaḥ svāpād	eva-kAreNa pakza-eka-deSa-asidDaH nirastaH hetuH / yaTA cetanAH taravaH svApAd
   iti / pakṣīkṛteṣu taruṣu patrasaṃkocalakṣaṇaḥ svāpa ekadeśe na siddhaḥ /	iti / pakzIkRtezu taruzu patra-saMkoca-lakzaNaH svApaH eka-deSe na sidDaH /
   na hi sarve vṛkṣā rātrau patrasaṃkocabhājaḥ / kiṃ tu kecid eva /	na hi sarve vRkzAH rAtrO patra-saMkoca-BAjaH / kim tu kecid eva /
   sattvavacanasya paścātkṛtenaivakāreṇāsādhāraṇo dharmo nirastaḥ / anyathā	sattva-vacanasya paScAt-kRtena-eva-kAreNa-asADAraNaH DarmaH nirastaH / anyaTA
   hy anityaḥ srāvaṇatvād ity asyaiva hetutvaṃ syāt / niścitagrahaṇena	hi anityaH srAvaNa-tvAt iti asya-eva hetu-tvam syAt / niScita-grahaNena
   saṃdigdhāsiddhāder vyavacchedaḥ / yathā bāṣpādibhāvena saṃdihyamāno	saMdigDa-asidDa-AdeH vyavacCedaH / yaTA bAzpa-Adi-BAvena saMdihyamAnaH-
   bhūtasaṃghāto 'gnisiddhāv upādīyamānaḥ / sapakṣa eva sattvam / sapakṣo	BUta-saMGAtaH agni-sidDO upAdIyamAnaH / sa-pakzaH eva sattvam / sa-pakzaH-
   vakṣyamāṇalakṣaṇas tasmin eva sattvaṃ niścitaṃ dvitīyaṃ rūpam / (Ts 287)	vakzyamANa-lakzaNaH tasmin eva sattvam niScitam dvitIyam rUpam / (TH 287)
   ihāpi sattvagrahaṇena viruddho nirastaḥ / yathā nityaḥ kṛtatvād iti /	iha-api sattva-grahaNena virudDaH nirastaH / yaTA nityaH kRta-tvAt iti /
   yasmād asyaiva sapakṣe nāsti / evakāreṇa sādhāraṇānaikāntikaḥ / yathā	yasmAt asya-eva sa-pakze na-asti / eva-kAreNa sADAraNa-anEkAntikaH / yaTA
   nityaḥ prameyatvād iti / sa hi na sapakṣa eva vartate kiṃtūbhayatrāpi /	nityaH prameya-tvAt iti / sa hi na sa-pakzaH eva vartate kiMtu-uBayatra-api /
   sattvavacanāt pūrvāvadhāraṇavacanena sapakṣāvyāpisattākasyāpi kathitaṃ	sattva-vacanAt pUrva-avaDAraNa-vacanena sa-pakza-avyApi-sattAkasya-api kaTitam
   hetutvam / yathā nityaḥ prayatnānantarīyakatvāt / niścitavacanena	hetu-tvam / yaTA nityaH prayatna-anantarIyaka-tvAt / niScita-vacanena
   cānuvṛttena saṃdigdhānvayo 'naikāntiko nirastaḥ / yathā sarvajñaḥ kaścid	ca-anuvRttena saMdigDa-anvayaH anEkAntikaH nirastaH / yaTA sarvajQaH kaScid-
   vaktṛtvāt / vaktṛtvaṃ hi sapakṣe sarvajñe saṃdigdham asapakṣe cāsattvam	vaktR-tvAt / vaktR-tvam hi sa-pakze sarvajQe saMdigDam asapakze ca-asattvam
   eva niścitam ity atrāpi vartate / asapakṣo vakṣyamāṇalakṣaṇaḥ / tasminn	eva niScitam iti atra-api vartate / asapakzaH vakzyamANa-lakzaNaH / tasmin=-
   asattvam eva niścitaṃ tṛtīyaṃ rūpam / tatrāsattvagrahaṇena viruddhasya	asattvam eva niScitam tRtIyam rUpam / tatra-asattva-grahaNena virudDasya
   nirāsaḥ / viruddho hi vipakṣe 'sti / evakāreṇa sādhāraṇasya	nirAsaH / virudDaH hi vipakze asti / eva-kAreNa sADAraNasya
   vipakṣaikadeśavṛtter nirāsaḥ / yathā prayatnānantarīyakaḥ śabdo 'nityatvād	vipakza-eka-deSa-vRtteH nirAsaH / yaTA prayatna-AnantarIyakaH SabdaH anitya-tvAt-
   iti / prayatnānantariyakatve hi sādhye 'nityatvaṃ vipakṣaikadeśe	iti / prayatna-anantariyaka-tve hi sADye anitya-tvam vipakza-eka-deSe
   vidyudādāv asti / ākāśādau nāsti / tato 'vadhāraṇenāsya nirāsaḥ /	vidyut-AdO asti / AkASa-AdO na-asti / tatas avaDAraNena-asya nirAsaH /
   asattvaśabdāt pūrvasminn avadhāraṇe 'yam arthaḥ syād / vipakṣa eva yo	asattva-SabdAt pUrvasmin avaDAraNe ayam arTaH syAt / vipakzaH eva yaH-
   nāsti sa hetuḥ / tathā ca prayatnānantarīyakatvaṃ sapakṣe 'pi nāsti / tato	na-asti sa hetuH / taTA ca prayatna-AnantarIyaka-tvam sa-pakze api na-asti / tatas-
   na hetuḥ syāt / tataḥ pūrvaṃ na kṛtam / niścitagrahaṇena	na hetuH syAt / tatas pUrvam na kRtam / niScita-grahaNena
   saṃdigdhavipakṣavyāvṛttiko nirastaḥ / yathā devadattaputraḥ śyāmas	saMdigDa-vipakza-vyAvRttikaH nirastaH / yaTA devadatta-putraH SyAmas
   tatputratvāt paridṛśyamānaputravad iti /	tad-putra-tvAt paridRSyamAna-putra-vat iti /
   (Ts 288)	(TH 288)
   nanu sapakṣe sattvam ity ukte sapakṣe sattvam eveti gamyate tat kim artham	nanu sa-pakze sattvam iti ukte sa-pakze sattvam eva-iti gamyate tat kim arTam
   ubhayor upādānam / satyam / kiṃtv anvayo vyatireko vā niyamavān eva	uBayoH upAdAnam / satyam / kiMtu anvayaH vyatirekaH vA niyamavAn eva
   prayoktavyo yenānvayaprayoge cānvayagatir iti / tena na dvayor upādānam	prayoktavyaH yena-anvaya-prayoge ca-anvaya-gatiH iti / tena na dvayoH upAdAnam
   ekatra prayoge kartavyam iti śikṣaṇārtham atrobhayor upādānaṃ kṛtam /	ekatra prayoge kartavyam iti SikzaNa-arTam atra-uBayoH upAdAnam kRtam /
   5. anumeyo 'tra jijñāsitaviśeṣo dharmī / atreti hetulakṣaṇe niścetavye /	5. anumeyaH atra jijQAsita-viSezaH DarmI / atra-iti hetu-lakzaNe niScetavye /
   jijñāsitaviśeṣagrahaṇena cājñātaviśeṣatāmātram upalakṣyate anyathā hi	jijQAsita-viSeza-grahaNena ca-ajQAta-viSeza-tA-mAtram upalakzyate anyaTA hi
   vyāptismaraṇayuktasyāgnyādikaṃ paryeṣamāṇasya dhūmādidarśanamātrād eva	vyApti-smaraNa-yuktasya-agni-Adikam paryezamANasya DUma-Adi-darSana-mAtrAt eva
   naganitaṃbādau vahnyādipratītir yā sā na saṃgṛhitā syāt /	naga-nitaMbAdO vahni-Adi-pratItiH yA sA na saMgRhitA syAt /
   sādhyadharmasāmānyena samāno 'rthaḥ sapakṣaḥ samānaḥ sadṛśo yo 'rthaḥ	sADya-Darma-sAmAnyena samAnaH arTaH sa-pakzaH samAnaH sadRSaH yaH arTaH
   pakṣeṇa sa sapakṣa uktaḥ / upacārāt samānaśabdena viśiṣyate / samānaḥ	pakzeNa sa sa-pakzaH uktaH / upacArAt samAna-Sabdena viSizyate / samAnaH
   pakṣaḥ sapakṣaḥ / samānasya ca sa śabdādeśo yogavibhāgāt / samānaḥ pakṣo	pakzaH sa-pakzaH / samAnasya ca sa Sabda-AdeSaH yoga-viBAgAt / samAnaH pakzaH-
   'syeti tu na kartavyam / evaṃ hi pakṣeṇa sādṛśyaṃ sapakṣasya na	asya-iti tu na kartavyam / evam hi pakzeNa sAdRSyam sa-pakzasya na
   pratipāditaṃ syāt / pakṣasyaiva ca sapakṣasādṛśyaṃ pratipāditaṃ syāt / na	pratipAditam syAt / pakzasya-eva ca sa-pakza-sAdRSyam pratipAditam syAt / na
   caitat / sapakṣasyāprasiddhatvāt / idānīm eva hi tallakṣaṇaṃ kriyate /	ca-etat / sa-pakzasya-aprasidDa-tvAt / idAnIm eva hi tad-lakzaNam kriyate /
   samānatā ca sādhyadharmasāmānyena /	samAna-tA ca sADya-Darma-sAmAnyena /
   7. na sapakṣo 'sapakṣaḥ [ tato 'nyas tadviruddhas tadabhāvaś ca /	7. na sa-pakzaH asapakzaH [ tatas anyaH tad-virudDaH tad-aBAvaH ca /
   trirūpāṇi ca trīṇy eva liṅgāṇi / anupalabdhiḥ svabhāvaḥ kāryaṃ ceti /	trirUpANi ca trINi eva liFgANi / anupalabDiH svaBAvaH kAryam ca-iti /
   tatra pratiṣedhyasyopalabdhilakṣaṇaprāptasyānupalabdhir	tatra pratizeDyasya-upalabDi-lakzaNa-prAptasya-anupalabDiH-
   abhāvavyavahārasādhanī / upalabdhilakṣaṇaprāptir	aBAva-vyavahAra-sADanI / upalabDi-lakzaNa-prAptiH-
   upalambhapratyayāntarasākalyam / (Ts 289) svabhāvaviśeṣaś ca / yaḥ	upalamBa-pratyaya-antara-sAkalyam / (TH 289) svaBAva-viSezaH ca / yaH
   svabhāvaḥ satsv anyeṣūpalambhapratyayeṣu san pratyakṣa eva bhavati /	svaBAvaH satsu anyezu-upalamBa-pratyayezu san pratyakzaH eva Bavati /
   upalabdhilakṣaṇaprāpto 'rthaḥ / dṛśya ity arthaḥ / avidyamāno 'py asāv	upalabDi-lakzaNa-prAptaH arTaH / dRSyaH iti arTaH / avidyamAnaH api asO=-
   atra yadi bhaved dṛśya eva bhaved iti saṃbhavanaviṣaya	atra yadi Bavet dRSyaH eva Bavet iti saMBavana-vizaya
   upalabdhilakṣaṇaprāpta ity ucyate / tasyānupalabdhir abhāvavyavahāraṃ	upalabDi-lakzaNa-prAptaH iti ucyate / tasya-anupalabDiH aBAva-vyavahAram
   sādhayati / deśakālasvabhāvaviprakṛṣṭapratyayāntaravikalavyavacchedārthaṃ	sADayati / deSa-kAla-svaBAva-viprakRzwa-pratyaya-antara-vikala-vyavacCeda-arTam
   viśeṣaṇopādānam / na cātra pratiṣedhamātram anupalabdhiḥ tasya svayam	viSezaNa-upAdAnam / na ca-atra pratizeDa-mAtram anupalabDiH tasya svayam
   asiddheḥ siddheś cānaṅgatvāt / kiṃ tu vastvantarasyopalabdhir eva /	asidDeH sidDeH ca-anaFga-tvAt / kim tu vastu-antarasya-upalabDiH eva /
   vastuno 'pi na yasya kasyacit / api tu pratiṣedhyābhāvākṣepakasyaiva / na	vastunaH api na yasya kasyacid / api tu pratizeDya-aBAva-Akzepakasya-eva / na
   tv ekajñānasaṃsargina eva / yadi hy ekajñānasaṃsargivastvantaropalambho	tu eka-jQAna-saMsarginaH eva / yadi hi eka-jQAna-saMsargi-vaH-tu-antara-upalamBaH-
   'nupalabdher lakṣaṇaṃ syāt tadā iha devadattopalambhād bahirabhāvas	anupalabDeH lakzaNam syAt tadA iha devadatta-upalamBAt bahiraBAvaH-
   tasyaiva kathaṃ sidhyati / na hi tatraikajñānasaṃsargivastvantaropalambho	tasya-eva kaTam siDyati / na hi tatra-eka-jQAna-saMsargi-vaH-tu-antara-upalamBaH-
   'sti //	asti //
   8. iyaṃ cānupalabdhiḥ karmakartṛdharmatayā dviprakārā / tatra yadā	8. iyam ca-anupalabDiH karma-kartR-Darma-tayA dvi-prakArAH / tatra yadA
   karmadharmo 'nupalabdhis tadā ghaṭaviviktabhūtalam / yadā tu kartṛdharmas	karma-DarmaH anupalabDiH tadA Gawa-vivikta-BU-talam / yadA tu kartR-Darmas
   tadā tadāśritaṃ jñānam / tatra yat tad ghaṭavaikalyaṃ tad bhūtalasya	tadA tad-ASritam jQAnam / tatra yat tat Gawa-vEkalyam tat BU-talasya
   svarūpam eveti tadgrāhinā jñānena gṛhītam eveti / tasmād iyam anupalabdhir	sva-rUpam eva-iti tad-grAhinA jQAnena gRhItam eva-iti / tasmAt iyam anupalabDiH-
   mūḍham praty abhāvavyavahāram eva sādhayati / amūḍhasya pratyakṣa eva	mUXam prati aBAva-vyavahAram eva sADayati / amUXasya pratyakzaH eva
   siddhatvāt / kāraṇānupalabdhyādayas tu parokṣe viṣaye pravartamānā abhāvaṃ	sidDa-tvAt / kAraNa-anupalabDi-AdayaH tu parokze vizaye pravartamAnAH aBAvam
   sādhayanty eva / vartamānakālā ceyaṃ gamikā atītakālā cāsati	sADayanti eva / vartamAna-kAlA ca-iyam gamikA atIta-kAlA ca-asati
   smṛtimanaskārabhraṃśe / tato nāstīha ghaṭo 'nupalabhyamānatvāt / nāsīd iha	smRti-manaskAra-BraMSe / tatas na-asti-iha GawaH anupalaByamAna-tvAt / na-AsIt iha
   ghaṭo 'nupalabdhād iti (Ts 290) śakyaṃ avasātum / na tu na bhaviṣyaty atra	GawaH anupalabDAt iti (TH 290) Sakyam avasAtum / na tu na Bavizyati atra
   ghaṭo 'nupalapsyamānatvād iti / anāgatāyāḥ saṃdigdharupatvāt //	GawaH anupalapsyamAna-tvAt iti / anAgatAyAH saMdigDarupa-tvAt //
   9. iyaṃ ca prayogabhedād anekaprakārā / tatra	9. iyam ca prayoga-BedAt aneka-prakArAH / tatra
   1) svabhāvānupalabdhiḥ / yathā nāstīha dhūma	1) svaBAva-anupalabDiH / yaTA na-asti-iha DUma
   upaIabdhilakṣaṇaprāptasyānupalabdheḥ / pratiṣedhyo hi dhūmas tasya yaḥ	upaIabDi-lakzaNa-prAptasya-anupalabDeH / pratizeDyaH hi DUmaH tasya yaH
   svabhāvas tasyānupalabdhiḥ /	svaBAvaH tasya-anupalabDiH /
   2) kāraṇānupalabdhiḥ / yathā nātra dhūmo vahnyabhāvāt / pratiṣedhyasya hi	2) kAraNa-anupalabDiH / yaTA na-atra DUmaH vahni-aBAvAt / pratizeDyasya hi
   dhūmasya kāraṇaṃ vahnis tasyehānupalabdhiḥ /	DUmasya kAraNam vahniH tasya-iha-anupalabDiH /
   3) vyāpakānupalabdhir yāthā nātra śiṃśapā vṛkṣābhāvāt / pratiṣedhyā hi	3) vyApaka-anupalabDiH yATA na-atra SiMSapA vRkza-aBAvAt / pratizeDyA hi
   śiṃśapā tasyāś ca vyāpako vṛkṣas tasyānupalabdhiḥ /	SiMSapA tasyAH ca vyApakaH vRkzaH tasya-anupalabDiH /
   4) kāryānupalabdhir yathā nehāpratibaddhasāmarthyāni dhūmakāraṇāni santi	4) kArya-anupalabDiH yaTA na-iha-apratibadDa-sAmarTyAni DUma-kAraNAni santi
   dhūmābhāvad iti / pratiṣedhyānāṃ dhūmakāraṇānāṃ kāryaṃ dhūmas tasya	DUma-aBAvat iti / pratizeDyAnAm DUma-kAraNAnAm kAryam DUmaH tasya
   cehānupalabdhiḥ /	ca-iha-anupalabDiH /
   5) svabhāvaviruddhopalabdhiḥ / yathā nātra śītasparśo vahner iti /	5) svaBAva-virudDa-upalabDiH / yaTA na-atra SIta-sparSaH vahneH iti /
   pratiṣedhyasya śītasparśasya yaḥ svabhāvas tasya viruddho vahnis tasya	pratizeDyasya SIta-sparSasya yaH svaBAvaH tasya virudDaH vahniH tasya
   cehopalabdhiḥ /	ca-iha-upalabDiH /
   6) kāraṇaviruddhopalabdhir yathā nāsya romaharṣādiviśeṣāḥ santi	6) kAraNa-virudDa-upalabDiH yaTA na-asya roma-harza-Adi-viSezAH santi
   saṃnihitadahanaviśeṣatvād iti / pratiṣedhyānāṃ romaharṣādiviṣesāṇāṃ	saMnihita-dahana-viSeza-tvAt iti / pratizeDyAnAm roma-harza-Adi-vizesANAm
