   ṣaṣṭhaḥ paricchedaḥ	zazWaH paricCedaH
   sambhṛto janito bandhūnāṃ raṇapatitavānarāṇāṃ jīvo 'mṛtavṛṣṭyā yena	samBRtaH janitaH banDUnAm raNa patita vAnarANAm jIvaH amRta vRzwyA yena
   tādṛśaḥ /	tAdRSaH /
        atra candrahāsadipadaśleṣavān vāgviśeṣaḥ /	atra candrahAsa dipada SlezavAn vAc viSezaH /
        ādipadagrāhyo 'nyāpadeśastu nodāhṛtaḥ /	Adipada grAhyaH anya apadeSaH tu na udAhRtaH /
        tacca mama tārāvatīcandraśekharanāṭake yathā    "udyate śaśini	tat ca mama tArAvatI candra SeKara nAwake yaTA   "udyate SaSini
   pūrvabhūdharaṃ rājitaṃ kalpacandraśekharam /	pUrva BUDaram rAjitam kalpa candra SeKaram /
        eṣa yāsyati śakī mahārṇavaṃ tātapādamiva vandanamicchuḥ //	eza yAsyati SakI mahA arNavam tAta pAdam iva vandanam icCuH //
        "tatra hi candrasya tādamahārṇavagamanānyāpadeśena	"tatra hi candrasya tAda mahA arNava gamanAni ApadeSena
   prastutavastunaścandraśekharanṛpasya vane tapaḥ prasaktasya	prastuta vastunaH candraSeKara nRpasya vane tapaH prasaktasya
   tātapādavandanārthagamanasūcakam /	tAta pAda vandana arTa gamana sUcakam /
        evamanyatrāpyanusandheyam /	evam anyatra api anusanDeyam /
        Locanā:	LocanA:
        (lo, ai) āsāditeti   candrahāsaḥ prabhākhaḍgaśca /	(lo, E) AsAditA iti   candrahAsaH praBA KaxgaH ca /
        kasya jalasya /	kasya jalasya /
        antaṃ svarūpam kāntā vahnipraveśaśuddhā sītā /	antam svarUpam kAntA vahni praveSa SudDA sItA /
        tamo 'ndhakāraḥ mohaśca bandhujīvāravyaṃ kusumam /	tamaH anDakAraH mohaH ca banDu jIva aravyam kusumam /
        bandhūnāṃ jīvāḥ prāṇāśca /	banDUnAm jIvAH prANAH ca /
        ********** END OF COMMENTARY **********	********** END OF SOMMENTa aRY **********
   pātraṃ yathā śākuntale    	pAtram yaTA SAkuntale    
   tavāsmi gītarāgeṇa hāriṇā prasabhaṃ hṛtaḥ /	tava asmi gIta rAgeNa hAriNA prasaBam hRtaH /
   eṣa rājeva duṣyantaḥ sāraṅgeṇatiraṃhasā //	eza rAjA iva duzyantaH sAraFgeNa ti raMhasA //
        ************* COMMENTARY *************	************* SOMMENTa aRY *************
        Vijñapriyā:	VijQa priyA:
        (vi, va) tavāsmīti   tava naṭyāḥ /	(vi, va) tava asmi iti   tava nawyAH /
        prasabhaṃ balāt /	prasaBam balAt /
        hāriṇa manohāriṇā /	hAriNa manohAriNA /
        eṣa purāṇeṣu śrutaḥ /	eza purANezu SrutaH /
        atra pātraṃ rājā /	atra pAtram rAjA /
        ********** END OF COMMENTARY **********	********** END OF SOMMENTa aRY **********
   raṅgaṃ prasādya madhuraiḥ śalokaiḥ kāvyārthasūcakaiḥ /	raFgam prasAdya maDurEH SalokEH kAvya arTa sUcakEH /
   rūpakasya kaverākhyāṃ gotrādyapi sa kīrtayet // VisSd_6.28 //	rUpakasya kavera AKyAm gotra Adi api sa kIrtayet // VisSd _6.28 //
   ṛtuṃ ca kañcitprāyeṇa bhāratī vṛttimāśritaḥ /	Rtum ca kaQcid prAyeNa BAratI vRttim ASritaH /
   sa sthāpakaḥ /	sa sTApakaH /
   prāyeṇoti kvacidṛtorakītanamapi /	prAyeNa uti kvacid Rta urakItanam api /
   yathā  ratnāvalyām /	yaTA  ratna AvalyAm /
   bhāratīvṛttistu   	BAratI vRttiH tu   
        ************* COMMENTARY *************	************* SOMMENTa aRY *************
        Vijñapriyā:	VijQa priyA:
        (vi, śa) raṅgaṃ prasādyeti   raṅgamatra vastu, etat sūcanarūpaṃ	(vi, Sa) raFgam prasAdya iti    raFgam atra vastu, etat sUcana rUpam
   nāṭyaikadeśam /	nAwya eka deSam /
        yathā ratnāvalyāmiti /	yaTA ratnAvalyAm iti /
        tatra vasantotsavasya varṇane vasantarttorapi varṇanāt /	tatra vasanta utsavasya varNane vasanta RttoH api varNanAt /
        ********** END OF COMMENTARY **********	********** END OF SOMMENTa aRY **********
   bhāratī saṃskṛtaprāyo vāgvyāpāro naṭāśrayaḥ // VisSd_6.29 //	BAratI saMskRta prAyaH vAc vyApAraH nawa ASrayaH // VisSd _6.29 //
        ************* COMMENTARY *************	************* SOMMENTa aRY *************
        Vijñapriyā:	VijQa priyA:
        (vi, ṣa) bhāratīti   narāśrayaḥ puṃprayojyaḥ /	(vi, za) BArati iti   nara ASrayaH puMprayojyaH /
        strīvācāṃ prakṛtatvāt puṃsāmapyadhanānāṃ vacaḥ prakṛtatvāt prāya	strI vAcAm prakRta tvAt puMsAm api aDanAnAm vacaH prakRta tvAt prAya
   ityuktam /	iti uktam /
        ********** END OF COMMENTARY **********	********** END OF SOMMENTa aRY **********
   saṃskṛtabahulo vākpradhāno vyāpāro bhāratī /	saMskRta bahulaH vAc praDAnaH vyApAraH BAratI /
   tasyāḥ prarocanā vīthī tathā prahasanāmukhe /	tasyAH prarocanA vITI taTA prahasanA muKe /
   aṅgānyatronmukhīkāraḥ praśaṃsātaḥ prarocanā // VisSd_6.30 //	aFgAnyatra unmuKIkAraH praSaMsAtaH prarocanAH // VisSd _6.30 //
        ************* COMMENTARY *************	************* SOMMENTa aRY *************
        Vijñapriyā:	VijQa priyA:
        (vi, sa) tasyā iti /	(vi, sa) tasyAH iti /
        bhāratyā ityarthaḥ /	BAratyA iti arTaH /
        tatra prarocanālakṣaṇamāha   atronmukhīkāra iti /	tatra prarocanA lakzaNa mAha   atra unmuKIkAraH iti /
        Locanā:	LocanA:
        (lo, o) tasyā bhāratīvṛtteḥ /	(lo, o) tasyAH BAratI vRtteH /
        vīthī vīthyaṅgāni /	vITI vITi aFgAni /
        prahasanaṃ prahasanāṅgāni vakṣyamāṇāni /	prahasanam prahasana aFgAni vakzyamANAni /
        ********** END OF COMMENTARY **********	********** END OF SOMMENTa aRY **********
   prastutābhinayeṣu praśaṃsātaḥ śrotṝṇāṃ pravṛttyunmukhīkaraṇaṃ prarocanā /	prastuta aBinayezu praSaMsAtaH SrotLNAm pravRtti unmuKIkaraNam prarocanA /
   yathā ratnāvalyām   	yaTA ratna AvalyAm   
   śrīharṣo nipuṇaḥ kaviḥ pariṣadapyeṣā guṇagrāhiṇī, loke hāri ca	SrI harzaH nipuNaH kaviH parizad api ezA guNa grAhiNI, loke hAri ca
   vatsārājacaritaṃ nāṭye ca dakṣā vayam /	vatsa ArAja caritam nAwye ca dakzAH vayam /
   vastvekaikamapīha vāñchitaphalaprāpteḥ padaṃ kiṃ punar 	vastu ekEkam api iha vAQCita Pala prApteH padam kim punar  
   madbhāgyopacayādayaṃ samuditaḥ sarvo guṇānāṃ gaṇaḥ //	mad BAgya upacayAt ayam samuditaH sarvaH guNAnAm gaNaH //
   vīthīprahasane vakṣyete /	vITI prahasane vakzyete /
        ************* COMMENTARY *************	************* SOMMENTa aRY *************
        Vijñapriyā:	VijQa priyA:
        (vi, ha) śrīharṣa iti /	(vi, ha) SrI harzaH iti /
        dhāvaka evātra yadyapi kaviḥ tathāpi rājñaḥ śrīharṣasya prītaye	DAvakaH eva atra yadi api kaviH taTA api rAjQaH SrI harzasya prItaye
   tatraiva kavitvāropaḥ kṛtaḥ /	tatra eva kavi tva AropaH kRtaH /
        vastvekaikamapīheti /	vastu ekEkam api ihA iti /
        iha eṣu /	iha ezu /
        nipuṇakavi  pariṣatsvīyanāṭyadakṣatvātteṣu vastuṣu madhye /	nipuNaka vi   parizatsvIya nAwya dakza tvAt tezu vastuzu maDye /
        ekaikaṃ vastu ityarthaḥ /	ekEkam vastu iti arTaH /
        kiṃ punariti /	kim punar iti /
        kiṃ punarvaktavyamityarthaḥ /	kim punar vaktavyam iti arTaH /
        guṇānāṃ phalaprāptihetutvāt upādeyānām /	guNAnAm Pala prApti hetu tvAt upAdeyAnAm /
        atrābhinetavyasya vatsarājacaritasyābhinetṝṇāṃ naṭānāṃ pariṣadaśca	atra aBinetavyasya vatsa rAja caritasya aBinetLNAm nawAnAm parizadaH ca
   praśaṃsā /	praSaMsA /
        saṃskṛteneti /	saMskRtena iti /
        tadaṅgatā /	tad aFga tA /
        vīthīprahasane iti /	vITI prahasane iti /
        taddvayamukharūpakaviśeṣau nāṭakaprabhedau vakṣyate /	tad dvaya muKa rUpaka vi SezO nAwaka praBedO vakzyate /
        tau ca saṃskṛtenaiveti taddvayaṃ bhāratyā aṅgam /	tO ca saMskRtena eva iti tad dvayam BAratyA aFgam /
        ********** END OF COMMENTARY **********	********** END OF SOMMENTa aRY **********
   naṭī vidūṣako vāpi pāripāśivaka eva vā /	nawI vidUzakaH vA api pAripASivakaH eva vA /
   sūtradhāreṇa sahitāḥ salāpaṃ yatra kurvate // VisSd_6.31 //	sUtra DAreNa sahitAH sa lApam yatra kurvate // VisSd _6.31 //
   citrairvākyaiḥ svakāryotthaiḥ prastutākṣepibhirmithaḥ /	citrEH vAkyEH sva kArya utTEH prastutA kzepiBiH miTas /
   āmukhaṃ tattu vijñeyaṃ nāmnā prastāvanāpi sā // VisSd_6.32 //	AmuKam tat tu vijQeyam nAmnA prastAvanA api sA // VisSd _6.32 //
        ************* COMMENTARY *************	************* SOMMENTa aRY *************
        Vijñapriyā:	VijQa priyA:
        (vi, ka) āmukharūpamāha  naṭīti /	(vi, ka) AmuKa rUpam Aha  nawI iti /
        ********** END OF COMMENTARY **********	********** END OF SOMMENTa aRY **********
   sūtradhārasadṛśatvāt sthāpako 'pi sūtradhāra ucyate /	sUtra DAra sadRSa tvAt sTApakaH api sUtraDAraH ucyate /
   tasyānucaraḥ pāripāśvikaḥ, tasmātkiñcidūno naṭaḥ /	tasya anucaraH pAripASvikaH, tasmAt kiQcid UnaH nawaH /
   uddhātya(ta)kaḥ kathoddhātaḥ prayogātiśayastathā /	udDAti a(ta)kaH kaTA udDAtaH prayoga atiSayaH taTA /
   pravartakāvalagite pañca prastāvanābhidāḥ // VisSd_6.33 //	pravartaka a= alagite paQca prastAvana aBidAH // VisSd _6.33 //
        ************* COMMENTARY *************	************* SOMMENTa aRY *************
        Vijñapriyā:	VijQa priyA:
        (vi, kha) īdṛśīṃ prastāvanāmukttvā tasyāḥ pañcabhedānāha   uddhātyaka	(vi, Ka) IdRSIm prastAvanAm ukttvA tasyAH paQca Beda AnAha    udDAtyaka
   iti /	iti /
        ********** END OF COMMENTARY **********	********** END OF SOMMENTa aRY **********
   tatra   	tatra   
   padāni tvagatārthāni tadarthagataye narāḥ /	padAni tu agata arTAni tad arTa gataye narAH /
   yojayanti padairanyaiḥ sa uddhātya (ta) ka ucyate // VisSd_6.34 //	yojayanti padEH anyEH saH udDAtya (ta) kaH ucyate // VisSd _6.34 //
        ************* COMMENTARY *************	************* SOMMENTa aRY *************
        Vijñapriyā:	VijQa priyA:
        (vi, ga) tatra uddhātyakalakṣaṇamāha   padānīti /	(vi, ga) tatra udDAtyaka lakzaNam Aha   padAni iti /
        agatarthāni ityatrārdho yojakavaktṛhṛdayasthitor'thaḥ /	agatarTAni iti atra arDaH yojaka vaktR hRdaya sTitor aTaH /
        tadarthāgataya iti /	tad arTa AgatayaH iti /
        padadvaye 'vagatiparo 'gamiḥ /	pada dvaye avagati paraH agamiH /
        tathā ca vaktrā sthāpakenānavagatatādṛśārthāni svoccaritapadāni,	taTA ca vaktrA sTApakena anavagata tAdRSa arTAni sva uccarita padAni,
   tadarthasya yojakanarahṛdayasthitasyārthasyāvagataye 'nyaiḥ	tad arTasya yojaka nara hRdaya sTitasya arTasya avagataye anyEH
   sthāpakoccāritabhinnaiḥ padairyojayanti /	sTApaka uccArita BinnEH padEH yojayanti /
        svahṛdayasthitārthatāṃ pratipādayantītyarthaḥ /	sva hRdaya sTita arTa tAm pratipAdayanti iti arTaH /
        ********** END OF COMMENTARY **********	********** END OF SOMMENTa aRY **********
   yathā mudrārākṣase sūtradhāraḥ   	yaTA mudrA rAkzase sUtraDAraH   
   "krūragrahaḥ saketuścandramasampūrṇamaṇḍalamidānīm /	"krUra grahaH sa ketuH candram asampUrNa maNxalam idAnIm /
   abhibhavitumicchati bālat  "	aBiBavitum icCati bAlat  "
        ************* COMMENTARY *************	************* SOMMENTa aRY *************
        Locanā:	LocanA:
        (lo, au) kūragraheti   krūro dāruṇagraho rāhuḥ, pakṣe krūro dāruṇo	(lo, O) kUra graha iti   krUraH dAruNa grahaH rAhuH, pakze  krUraH dAruNaH 
   graha āgrahaḥ candraguptābhibhavarūpaḥ yasya /	grahaH AgrahaH candragupta aBiBava rUpaH yasya /
        candraṃ śaśinaṃ candraguptākhyaṃ rājānañca /	candram SaSinam candragupta AKyam rAjAnaQca /
        ********** END OF COMMENTARY **********	********** END OF SOMMENTa aRY **********
   ityanantaram   "(nepathye / ) āḥ, ka eṣa mayi jīvati candraguptamabhi 	iti anantaram    "(nepaTye / ) AH, kaH eza mayi jIvati candraguptam aBi 
   bhavitumicchati" /	Bavitum icCati" /
   iti /	iti /
   atrānyārthantyapi padāni hṛdayasthārthāgatyā arthāntare saṃkramayya	atra anya arTanti api padAni hRdaya sTa arTa AgatyAH arTa antare saMkramayya
   pātrapraveśaḥ /	pAtra praveSaH /
        ************* COMMENTARY *************	************* SOMMENTa aRY *************
        Vijñapriyā:	VijQa priyA:
        (vi, gha) krūragraheti   candragrahaṇaṃ bhaviṣyati iti pratīpādayataḥ	(vi, Ga) krUra graha iti   candra grahaNam Bavizyati iti pratIpa AdayataH
   sthāpakasyoktiriyam /	sTApakasya uktiH iyam /
        sa krūragrahaḥ ketū rāhurityarthaḥ /	sa krUra grahaH ketuH rAhuH iti arTaH /
        eṣāṃ padānāṃ candraguptanṛpatimantriṇā cāṇakyabrāhmaṇarūpanareṇa	ezAm padAnAm candragupta nRpati mantriNA cANakya brAhmaNa rUpa nareNa
   rākṣasarūpāt krūragrahāt krūro graho yasya tasmāt /	rAkzasa rUpAt krUra grahAt krUraH grahaH yasya tasmAt /
        candraguptanṛpatyabhibhavarūpe svahṛdayasthiter'the saṃkramaḥ kṛtaḥ /	candragupta nRpati aBiBava rUpe sva hRdaya sTiter aTe saMkramaH kRtaH /
        tādṛśārthatā darśitetyarthaḥ /	tAdRSa arTa tA darSitA iti arTaH /
        tadāha  atrārthavantayapīti /	tadA aha  atra arTavantayapi iti /
        rāhucandrarūpārthavantyapītyarthaḥ /	rAhu candra rUpa arTavanti api iti arTaH /
        hṛdīsthor'tho rākṣasacandragaptarūpaḥ /	hRdIsTor aTo rAkzasa candra gapta rUpaH /
        pātraṃ cāṇakyaḥ /	pAtram cANakyaH /
        Locanā:	LocanA:
        (lo, a) padāni krūragraha ityādīni /	(lo, a) padAni krUra grahaH ityAdIni /
        hṛdisthaḥ sūtradhārasyetyarthaḥ /	hRdisTaH sUtraDArasya iti arTaH /
        prakṛtaścandroparāgarūpastasyāgatyābodhena /	prakRtaH candra uparAga rUpaH tasya Agatya aboDena /
        arthāntare prakṛtagranthābhidheye /	arTa antare prakRta granTa aBiDeye /
        atrāha bhāṇḍiḥ   vismṛtaṃ na pratītaṃ vā yatra vākyaṃ prakāśyate /	atra Aha BANxiH  vismRtam na pratItam vA yatra vAkyam prakASyate /
        praśnottaramanohārī sa uddhātyaka ucyate //	praSna uttara manohArI saH udDAtyakaH ucyate //
        yathā pāraṇḍavābhyudaye    kā ślāghā guṇināṃ kṣamāparibhavaḥ ko 'kṣaḥ	yaTA pAraNxava aByudaye   kA SlAGA guNinAm kzamA pariBavaH kaH akzaH
   sukulyaiḥ kṛtaḥ kiṃ duḥ khaṃ parasaṃśrayo jagati kaḥ ślāghyo ya āśrīyate /	sukulyEH kRtaH kim duH Kam para saMSrayaH jagati kaH SlAGyaH yaH ASrIyate /
        ko mṛtyurvyasanaṃ guṇa dadhati ke yairnirjitā śatravaḥ kena	kaH mRtyuH vyasanam guNa daDati ke yEH nirjitA SatravaH kena
   jñātamidaṃ virāṭanagare channasthitaiḥ pāṇḍavaiḥ //	jQAtam idam virAwa nagare Canna sTitEH pANxavEH //
        ataḥ sūtradhāraniṣkāntau pāṇḍavapraveśaḥ /	atas sUtra DAra nizkAntO pANxava praveSaH /
        ********** END OF COMMENTARY **********	********** END OF SOMMENTa aRY **********
   sūtradhārasya vākyaṃ vā samādāyārthamasya vā /	sUtra DArasya vAkyam vA samAdAya arTam asya vA /
   bhavetpātrapraveśaścetkathoddhātaḥ sa ucyate // VisSd_6.35 //	Bavet pAtra praveSaH ced kaTA udDAtaH saH ucyate // VisSd _6.35 //
        ************* COMMENTARY *************	************* SOMMENTa aRY *************
        Vijñapriyā:	VijQa priyA:
        (vi, ṅa) kathoddhātalakṣaṇamāha  sūtradhārasyeti /	(vi, Fa) kaTA udDAta lakzaNa mAha  sUtra DArasya iti /
        idānīṃ sthāpakakṛtyābhāvāt sūtradhāra eva sthāparakakṛtyaṃ	idAnIm sTApaka kRtya aBAvAt sUtra DAraH eva sTAparaka kRtyam
   karotītyabhiprāyeṇāha  sūtradhārasyeti /	karoti iti aBiprAyeNa aha   sUtra DArasya iti /
        vākyādānaṃ vākyānukaraṇam /	vAkya AdAnam vAkya anukaraNam /
        arthādānaṃ vākyānukaraṇaṃ vinā tadarthānuśīlanam /	arTa AdAnam vAkya anukaraNam vinA tad arTa anuSIlanam /
        ********** END OF COMMENTARY **********	********** END OF SOMMENTa aRY **********
   vākyaṃ yathā ratnāvalyām  "dvīpādanyasmādapi  'ityādi (332 pṛ dṛ)	vAkyam yaTA ratna AvalyAm  "dvIpAt anyasmAt api   aityAdi (332 pR dR)
   sūtradhāreṇa paṭhite  "(nepathye) sādhu bharataputra! sādhu /	sUtra DAreNa paWite  "(nepaTye) sADu Barata putra! sADu /
   evametat /	evam etat /
   kaḥ sandehaḥ ? dvīpādanyasmādapi  " ityādi paṭhitvā yaugandharāyaṇasya	kaH sandehaH ? dvIpAt anyasmAt api  " ityAdi paWitvA yOganDarAyaNasya
   praveśaḥ /	praveSaH /
   vākyārtho yathā veṇyām  	vAkya arTaH yaTA veNI Am  
   nirvāṇavairadahanāḥ praśamādarīṇāṃ nandantu pāṇḍutanayāḥ saha mādhavena /	nirvANa vEra dahanAH praSamAt arINAm nandantu pANxu tanayAH saha mADavena /
   raktaprasādhitabhuvaḥ kṣatavigrahāśca svasthā bhavantu kururājasutāḥ	rakta prasADita BuvaH kzata vigrahAH ca svasTAH Bavantu kuru rAja sutAH
   sabhṛtyāḥ //	sa BRtyAH //
        ************* COMMENTARY *************	************* SOMMENTa aRY *************
        Vijñapriyā:	VijQa priyA:
        (vi, ca) dvīpāditi  atra yaugandharāyaṇamantrirūpapātrasya tadvākyaṃ	(vi, ca) dvIpAt iti  atra yOganDarAyaNa mantri rUpa pAtrasya tat vAkyam
   punaranukṛtya praveśaḥ /	punar anukRtya praveSaH /
        Locanā:	LocanA:
        (lo, ā) nirvāṇeti   śamaḥ kopādyabhāvaḥ vināśaśca /	(lo, A) nirvANa iti   SamaH kopa Adi aBAvaH vinASaH ca /
        raktā rañjitā prasādhitā prakarṣeṇa sādhitā, raktena rudhireṇa	raktA raQjitA prasADitA prakarzeNa sADitA, raktena ruDireNa
   prasādhitā maṇḍitāśca /	prasADitAH maNxitAH ca /
        vigraho yuddhaṃ dehaśca /	vigrahaH yudDam dehaH ca /
        svasthāḥ kuśalinaḥ svargasthāśca /	svasTAH kuSalinaH svarga sTAH ca /
        ********** END OF COMMENTARY **********	********** END OF SOMMENTa aRY **********
   iti sūtradhāreṇa paṭhitasya vākyasyārthaṃ gṛhītvā  "(nepathye) āḥ durātman	iti sUtra DAreNa paWitasya vAkyasya arTam gRhItvA a  "(nepaTye) AH durAtman
   ! vṛthā maṅgalapāṭhaka !, kathaṃ svasthā bhavantu mayi jīvati dhārtarāṣṭāḥ	! vRTA maFgala pAWakaH !, kaTam svasTAH Bavantu mayi jIvati DArtarAzwAH
   ?" tataḥ sūtradhāraniṣkrāntau bhīmasenasya praveśaḥ /	?" tatas sUtra DAra nizkrAntO BImasenasya praveSaH /
        ************* COMMENTARY *************	************* SOMMENTa aRY *************
        Vijñapriyā:	VijQa priyA:
        (vi, cha) nirvāṇeti  pāṇḍutanayāḥ nirvāṇavairagnayaḥ santo mādhavena	(vi, Ca) nirvANa iti   pANxu tanayAH nirvANa vEragnayaH santaH mADavena
   saha nandantu /	saha nandantu /
        kururājasutāśca duryodhanādayo 'nuraktaprasannīkṛtabhūmiṣṭhalokā	kuru rAja sutAH ca duryoDana AdayaH anurakta prasannIkRta BUmizWa lokA
   tyaktayuddhāśca santaḥ sabhṛtyāḥ svasthā bhavantu ityarthaḥ /	tyakta yudDAH ca santaH sa BRtyAH svasTAH Bavantu iti arTaH /
        arthaṃ gṛhītveti /	arTam gRhItvA iti /
        etad vākyānukāraṇaṃ vinā tadarthānuśīlanenaiva ā ityādyuktavataḥ	etat vAkya anukAraNam vinA tad arTa anuSIlanena eva A ityAdi uktavataH
   bhīmasya praveśaḥ /	BImasya praveSaH /
        Locanā:	LocanA:
        (lo, i) bhīmasenasya praveśa ityanantaraṃ prathamārthamādāya iti	(lo, i) BImasenasya praveSaH iti anantaram praTama arTam AdAya iti
   śeṣaḥ /	SezaH /
        ********** END OF COMMENTARY **********	********** END OF SOMMENTa aRY **********
   yadi prayoga ekasmin prayogo 'nyaḥ prayujyate /	yadi prayogaH ekasmin prayogaH anyaH prayujyate /
   tena pātrapraveśaścetprayogātiśayastadā // VisSd_6.36 //	tena pAtra praveSaH ced prayoga atiSayaH tadA // VisSd _6.36 //
        ************* COMMENTARY *************	************* SOMMENTa aRY *************
        Vijñapriyā:	VijQa priyA:
        (vi, ja) prayogātiśayalakṣaṇamāha  yadi prayoga iti /	(vi, ja) prayoga atiSaya lakzaNam Aha  yadi prayogaH iti /
        bhūya iti /	BUyas iti /
        punarapyanya ityarthaḥ /	punar api anyaH iti arTaH /
        prayogo 'nya iti kvacit pāṭhaḥ /	prayogaH anyaH iti kvacid pAWaH /
        ********** END OF COMMENTARY **********	********** END OF SOMMENTa aRY **********
   yathā kundamālāyām   "(nepathye) ita ito 'vataratvāryā /	yaTA kunda mAlAyAm   "(nepaTye) itas itas avataratva AryAH /
   sūtradhāraḥ   ko 'yaṃ khalvāryāhvānena sāhāyakamapi me sampādayati /	sUtraDAraH    kaH ayam Kalu Arya AhvA anena sAhAyakam api me sampAdayati /
   (vilokya) kaṣṭamatikaruṇaṃ vartate /	(vilokya) kazwam atikaruNam vartate /
   "laṅkeśvarasya bhavane suciraṃ sthiteti rāmeṇa lokaparivādabhayākulena /	"laFkeSvarasya Bavane su ciram sTitA iti rAmeNa loka parivAda Baya Akulena /
   nirvāsitāṃ janapadādapi garbhagurvoṃ sītāṃ vanāya parikarṣati lakṣmaṇo	nirvAsitAm janapadAt api garBa gurvom sItAm vanAya parikarzati lakzmaNaH 
   'yam" //	ayam" //
   atra nṛtyaprayogārthaṃ svabhāryāhvānamicchatā sūtradhāreṇa "sītāṃ vanāya	atra nRtya prayoga arTam sva BAri AhvAnam icCatA sUtra DAreNa "sItAm vanAya
   parikarṣati lakṣmaṇo 'yam" iti sītālakṣmaṇayoḥ praveśaṃ sūcayitvā	parikarzati lakzmaNaH ayam" iti sItA lakzmaNayoH praveSam sUcayitvA
   niṣkāntena svaprayogamatiśayāna eva prayogaḥ prayojitaḥ /	nizkAntena sva prayogam atiSayAnaH eva prayogaH prayojitaH /
        ************* COMMENTARY *************	************* SOMMENTa aRY *************
        Vijñapriyā:	VijQa priyA:
        (vi, jha) iti ito 'vataritviti /	(vi, Ja) iti itas avataritu iti /
        sūtradhārapatnyā āhvānanāgamanopadeśaḥ kṛtaḥ /	sUtra DAra patnyAH AhvA anana Agamana upadeSaH kRtaH /
        laṅkeśvarasyeti /	laFkeSvarasya iti /
        janapadāt ayodhyāto nirvāsitāṃ niṣkāmitāṃ garbhagurvomityanvayaḥ /	janapadAt ayoDyAtaH nirvAsitAm nizkAmitAm garBa gurvom iti anvayaH /
        prayogātiśayapadayogārthaṃ ghadṛyan vyācaṣṭe   svaprayogamatiśayāna	prayoga atiSaya pada yoga arTam GadRyan vyAcazwe   sva prayogam atiSayAna
   iti /	iti /
        eva prayogaḥ sūcita iti   sītālakṣmaṇayoḥ praveśarūpo 'nyaḥ prayogaḥ	eva prayogaH sUcitaH iti   sItA lakzmaNayoH praveSa rUpaH anyaH prayogaH
   sūcita ityarthaḥ /	sUcitaH iti arTaH /
        sūcita ityatra prayojita iti kvacit pāṭhaḥ /	sUcitaH iti atra prayojitaH iti kvacid pAWaH /
        Locanā:	LocanA:
        (lo, ī) ita iti /	(lo, I) itas iti /
        atrāryyapadārthaḥ sītārūpo nepathye pātrābhimataḥ /	atra Aryya padArTaH sItA rUpaH nepaTye pAtra aBimataH /
        naṭīrūpastu sūtradhāreṇāvagataḥ svaprayogamatiśayānaḥ	nawI rUpaH tu sUtra DAreNa avagataH sva prayogam atiSayAnaH
   prakṛtāthapratipādanāt /	prakRta aTa pratipAdanAt /
        ********** END OF COMMENTARY **********	********** END OF SOMMENTa aRY **********
   kālaṃ pravṛttamāśritya sūtradhugyatra varṇayet /	kAlam pravRttam ASritya sUtraDugyatra varNayet /
   tadāśrayaśca pātrasya praveśastatpravartakam // VisSd_6.37 //	tad ASrayaH ca pAtrasya praveSaH tad pravartakam // VisSd _6.37 //
        ************* COMMENTARY *************	************* SOMMENTa aRY *************
        Vijñapriyā:	VijQa priyA:
        (vi, ña) pravarttake kālāśrayeṇāha   kālamiti /	(vi, Qa) pravarttake kAla ASrayeNa aha   kAlam iti /
        tadāśrayasya tatsūcitasya /	tad ASrayasya tat sUcitasya /
        ********** END OF COMMENTARY **********	********** END OF SOMMENTa aRY **********
   yathā   "āsāditaprakaṭa  " ityādi (332 pṛ dṛ) /	yaTA a   "AsAdita prakawa   " ityAdi (332 pR dR) /
   "tataḥ praviśati yathānidiṣṭo rāmaḥ" /	"tatas praviSati yaTA anidizwaH rAmaH" /
   yatraikaśca samāveśātkāryamanyatprasādhyate /	yatra ekaH ca samAveSAt kAryam anyat prasADyate /
   prayoge khalu tajjñeyaṃ nāmnāvalagitaṃ budhaiḥ // VisSd_6.38 //	prayoge Kalu tat jQeyam nAmnA avalagitam buDEH // VisSd _6.38 //
        ************* COMMENTARY *************	************* SOMMENTa aRY *************
        Vijñapriyā:	VijQa priyA:
        (vi, ṭa) avalagitalakṣaṇamāha  yatraikatreti /	(vi, wa) avalagita lakzaNam Aha  yatra ekatra iti /
        yatraikatra prayoge satītyanyaḥ /	yatra ekatra prayoge sati iti anyaH /
        samāveśāt tatprayogasya samanirdiṣṭatvāt ānyatkāryyaṃ prasādhyate	samAveSAt tad prayogasya sama nirdizwa tvAt Anyat kAryyam prasADyate
   ityarthaḥ /	iti arTaH /
        ********** END OF COMMENTARY **********	********** END OF SOMMENTa aRY **********
   yathā śākuntale  sūtradhāro naṭīṃ prati /	yaTA SAkuntale  sUtra DAraH nawIm prati /
   "tavāsmi gītarāgeṇa " (333 pṛ dṛ) ityādi /	"tavA asmi gIta rAgeNa " (333 pR dR) ityAdi /
   tato rājñaḥ praveśaḥ /	tatas rAjQaH praveSaH /
   yojyānyatra yathālābhaṃ vīthyaṅgānītarāṇyapi /	yojyA ani atra yaTAlABam vITi aFgAni itarANi api /
   atra āmukhe /	atra AmuKe /
   uddhātya (ta) kāvalagitayoritarāṇi vīthyaṅgāni vakṣyamāṇāni /	udDAtya (ta) kAvala gitayoH itarANi vITI aFgAni vakzyamANAni /
        ************* COMMENTARY *************	************* SOMMENTa aRY *************
        Vijñapriyā:	VijQa priyA:
        (vi, ṭha) tavāsmīti /	(vi, Wa) tava asmi iti /
