   Siddhārthacaritraṃ Kāvyam	SidDArTa-caritram KAvyam
   āścaryakarmāṇi babhūvuritthaṃ jāte satāmagrasare kumāre // 3.21 //	AScarya-karmANi baBUvuH-itTam jAte satAm-agrasare kumAre // 3.21 //
   āsphālitānekamṛdaṅgaghoṣavācālitāśāntadarīmukhāṇām /	AsPAlita-aneka-mRdaFga-Goza-vAcAlitA-SAnta-darI-muKANAm /
   ānandanṛttabhramighūrṇamānavasundharāndolitabhūdharāṇām // 3.22 //	Ananda-nRtta-Brami-GUrNamAna-vasunDarAndolita-BUDarANAm // 3.22 //
   anyonyasammardaviśīrṇahāramuktāvalītārakitasthalīnām /	anyonya-sammarda-viSIrNa-hAra-muktA-AvalI-tArakita-sTalInAm /
   prakṣiptapiṣṭātakapāṃsumuṣṭiśṛṅgāritāśeṣadigantarāṇām // 3.23 //	prakzipta-pizwa-Ataka-pAMsu-muzwi-SRFgArita-aSeza-digantarANAm // 3.23 //
   parasparākṣiptavibhūṣaṇānāṃ paryastacūḍāmaṇiśekharāṇām /	paraspara-Akzipta-viBUzaNAnAm paryasta-cUxAmaNi-SeKarANAm /
   ekālayasyeva jagattrayāṇāṃ babhūva tajjanmamahotsavaśrīḥ // 3.24 //	ekAlayasya-iva jagattrayANAm baBUva tad-janma-mahA-utsava-SrIH // 3.24 //
   pratyagragarbhacchavipāṭalena sutena mātā sutarāṃ cakāśe /	pratyagra-garBa=-Cavi-pAwalena sutena mAtA sutarAm cakASe /
   navyodayālohitavigraheṇa veleva bālena sudhākareṇa // 3.25 //	navya-udaya-Alohita-vigraheNa velA-iva bAlena suDAkareNa // 3.25 //
   prataptacāmīkarabhāsvareṇa prasarpatā tasya śarīrabhāsā /	pratapta-cAmIkara-BAsvareNa prasarpatA tasya SarIra-BAsA /
   prasūtikāgarbhagṛhapradīpāḥ pratyūṣatārāpratimā babhūvuḥ // 3.26 //	prasUtikA-garBa-gRha-pradIpAH pratyUza-tArA-pratimAH baBUvuH // 3.26 //
   atyadbhutāmātmajajanmavārtāṃ śrṛṇvan sa śuddhāntajanānnarendraḥ /	ati-adButAm-Atmaja-janma-vArtAm SrRNvan sa SudDAnta-janAt-narendraH /
   ānandamūrcchākulacittavṛttiḥ kartavyamūḍhaḥ stimito babhūva // 3.27 //	Ananda-mUrcCA-Akula-citta-vRttiH kartavya-mUXaH stimitaH baBUva // 3.27 //
   padārthametatpriyadānayogyamadṛṣṭavān sa triṣu viṣṭapeṣu /	padArTam-etat-priya-dAna-yogyam-adRzwavAn sa trizu vizwapezu /
   sarvasvadānena tathāpi rājā sambhāvayāmāsa tamatyudāraḥ // 3.28 //	sarva-sva-dAnena taTA-api rAjA samBAvayAmAsa tam-ati-udAraH // 3.28 //
   bhadre muhūrte sa patiḥ prajānāṃ dadarśa devyāḥ stimitāyatākṣaḥ /	Badre muhUrte sa patiH prajAnAm dadarSa devyAH stimita-Ayata-akzaH /
   kumāramutsaṅgatale śayānaṃ taṭe taṭinyā iva haṃsaśāvam // 3.29 //	kumAram-utsaFga-tale SayAnam tawe tawinyAH iva haMsa-SAvam // 3.29 //
   aśrāntatṛṣṇena vilocanena mukhendumāsvādayataḥ svasūnoḥ /	aSrAnta-tRzNena vilocanena muKa-indum-Asu-AdayataH sva-sUnoH /
   āsīt pituḥ kaṇṭakitāṅgayaṣṭerānandabāṣpaprasaro nirodhaḥ // 3.30 //	AsIt pituH kaNwakitA-aFga-yazweH-Ananda-bAzpa-prasaraH niroDaH // 3.30 //
   stanandhayasyānanacandrabimbamamandasaundaryasudhānidhānam /	stananDayasya-Anana-candra-bimbam-amanda-sOndarya-suDA-niDAnam /
   nipīya netrāñjalinā nitāntaṃ nṛpādhipo nirvṛtimāsasāda // 3.31 //	nipIya netra-aQjalinA nitAntam nRpa-aDipaH nirvRtim-AsasAda // 3.31 //
   sa jātakarmādikamatyudāraṃ sūnoḥ samāpayya purohitena /	sa jAtakarma-Adikam-ati-udAram sUnoH samApayya purohitena /
   'siddhārtha ' ityasya jagatpraśasyāmananyayogyāmakarodabhikhyām // 3.32 //	asidDArTa a iti-asya jagatpraSasyAm-ananyayogyAm-akarot-aBiKyAm // 3.32 //
   navāmbuvāhena nabhaḥsthalīva navyena tārāpatinā niśeva /	nava-ambuvAhena naBaH-sTalI-iva navyena tArApatinA niSA-iva /
   mṛgendraśāvena mahāṭavīva vibhūṣitā santatirāsa tena // 3.33 //	mRgendra-SAvena mahA-awavI-iva viBUzitA santatiH-Asa tena // 3.33 //
   avyaktavarṇābhiramuṣya vāgbhiryathā nṛpaḥ prītamanā babhūva /	avyakta-varNABiH-amuzya vAgBiH-yaTA nRpaH prIta-manAH baBUva /
   tathā na gānairapi gāyakānāṃ mahākavīnāmapi vāgvilāsaiḥ // 3.34 //	taTA na gAnEH-api gAyakAnAm mahA-kavInAm-api vAc-vilAsEH // 3.34 //
   nisargasaurabhyanitāntahṛdyaṃ tasyānanaṃ tādṛśasaukumāryam /	nisarga-sOraBya-nitAnta-hRdyam tasya-Ananam tAdRSa-sOkumAryam /
   babhūva sāmānyamayātayāmaṃ līlābjamantaḥpurasundarīṇām // 3.35 //	baBUva sAmAnyam-ayAtayAmam lIlA-abjam-antaHpura-sundarINAm // 3.35 //
   mano 'bhirāmairmaṇikiṅkaṇīnāṃ māturmudaṃ māṃsalayanninādaiḥ /	manaH aBirAmEH-maNi-kiFkaNInAm mAtuH-mudam mAMsa-layanninAdEH /
   ātmīyabimbānunayābhimānaścikrīḍa sūnurmaṇimedinīṣu // 3.36 //	AtmIya-bimba-anunayA-aBimAnaH-cikrIxa sUnuH-maNi-medinIzu // 3.36 //
   ātanvatā pāṃsuvihāramāptairamātyaputraiḥ saha bālakena /	AtanvatA pAMsu-vihAram-AptEH-amAtya-putrEH saha bAlakena /
   saṃgrāmabhūdhūliṣu bhāvinīṣu svairaṃ vihartuṃ vihiteva yogyā // 3.37 //	saMgrAma-BU-DUlizu BAvinIzu svEram vihartum vihitA-iva yogyA // 3.37 //
   sa dhīramantaḥpurasiṃhaśāvaiḥ saṃkrīḍamānaḥ saha rājasūnuḥ /	sa DIram-antaHpura-siMha-SAvEH saMkrIxamAnaH saha rAja-sUnuH /
   atyadbhutasyātmaparākramasya śikṣāmivaiṣāṃ ciramanvatiṣṭhat // 3.38 //	ati-adButasya-Atma-parAkramasya SikzAm-iva-ezAm ciram-anvatizWat // 3.38 //
   anupravṛttānmaṇighaṇṭikānāmārāvaharṣād gṛharājahaṃsān /	anupravRttAn-maNi-GaNwikAnAmAra-avaharzAt gRha-rAjahaMsAn /
   tatāṭa pādena tadīyarājaśabdāsahiṣṇuḥ kila tān kumāraḥ // 3.39 //	tatAwa pAdena tadIya-rAja-Sabda-asahizNuH kila tAn kumAraH // 3.39 //
   nakhāṃkuśāghātavidhūtamūrdhā mukhāravaprasrutavṛṃhitaśrīḥ /	naKa-aMkuSa-AGAta-viDUta-mUrDA muKa-Arava-prasruta-vRMhita-SrIH /
   maṅgalyanirvṛttamadāmburekho bālo vitene madahastilīlām // 3.40 //	maFgalya-nirvRtta-mada-ambu-reKaH bAlaH vitene mada-hasti-lIlAm // 3.40 //
   abhyullasaccampakadāmadīptirālokasambhāvitajīvalokaḥ /	aByullasat-campaka-dAma-dIptiH-Aloka-samBAvita-jIva-lokaH /
   sa dārako dīpa iva pradīptaḥ śokāndhakāraṃ vinināya pitroḥ // 3.41 //	sa dArakaH dIpaH iva pradIptaH Soka-anDakAram vininAya pitroH // 3.41 //
   kṛtopavītaṃ galitātibālyaṃ samastavidyāpariśīlanāya /	kRta-upavItam galita-atibAlyam samasta-vidyA-pariSIlanAya /
   tamarpayāmāsa kumāravaryamācāryahasteṣu patiḥ pṛthivyāḥ // 3.42 //	tam-arpayAmAsa kumAra-varyam-AcArya-hastezu patiH pRTivyAH // 3.42 //
   sa deśikendrairupadiśyamānā vidyāḥ samastāḥ sakalāḥ kalāśca /	sa deSika-indrEH-upadiSyamAnAH vidyAH samastAH sakalAH kalAH-ca /
   jagrāha medhāvitayācireṇa varṣāghano vārinidheravāpa // 3.43 //	jagrAha meDAvitayA-acireNa varzA-GanaH vAri-niDeH-avApa // 3.43 //
   ananyasāmānyadhiyaṃ kumāramāsādya vidyāḥ sutarāṃ virejuḥ /	ananya-sAmAnya-Diyam kumAram-AsAdya vidyAH sutarAm virejuH /
   śaratprasannaṃ gaganāvakāśaṃ tārādhipasyeva mayūkhamālāḥ // 3.44 //	Sarad-prasannam gagana-avakASam tArADipasya-iva mayUKa-mAlAH // 3.44 //
   nitāntamānandayatā prajānāṃ manāṃsi sadyo haratā tamāṃsi /	nitAntam-AnandayatA prajAnAm manAMsi sadyas haratA tamAMsi /
   candrodayeneva mahāsamudraḥ śākyānvayastena samullalāsa // 3.45 //	candra-udayena-iva mahA-samudraH SAkya-anvayaH-tena samullalAsa // 3.45 //
   prabheva bhānoḥ pratibheva sūreḥ śikheva dīpasya dayeva sādhoḥ /	praBA-iva BAnoH pratiBA-iva sUreH SiKA-iva dIpasya dayA-iva sADoH /
   jyotsneva candrasya sudheva sindhostasyoditāsīnnavayauvanaśrīḥ // 3.46 //	jyotsnA-iva candrasya suDA-iva sinDoH-tasya-udita-AsIt-nava-yOvana-SrIH // 3.46 //
   āropya tāruṇyaviśeṣaśāṇaṃ rauṣāṇitānīva manobhavena /	Aropya tAruNya-viSeza-SANam rOzANitAni-iva manoBavena /
   aṅgānyabhivyañjitalakṣaṇāni vibhaktasandhīni babhūvurasya // 3.47 //	aFgAni-aBivyaQjita-lakzaNAni viBakta-sanDIni baBUvuH-asya // 3.47 //
   tasyāṃdhriyugmaṃ sahajābhirūpyaṃ rekhāsahasrārarathāṅgacihnam /	tasya-aMDri-yugmam sahaja-aBirUpyam reKA-sahasra-Ara-raTAFga-cihnam /
   navyāni nālīkavanāni nūnaṃ nakhaprabhacandrikayā jahāsa // 3.48 //	navyAni nAlIka-vanAni nUnam naKa-praBa-candrikayA jahAsa // 3.48 //
   valitrayālaṃkṛtidarśanīyavilagnabhāgo narapālasūnuḥ /	valitrayA-alaMkRti-darSanIya-vilagna-BAgaH narapAla-sUnuH /
   manthācalo vāsukibhogaveṣṭaḥ lekhollasanmadhya ivāluloke // 3.49 //	manTa-acalaH vAsuki-Boga-vezwaH leKA-ullasat-maDye iva-Alu-loke // 3.49 //
   guṇaiḥ samastai saha rājasūnornitambabimvaḥ prathimānamāpa /	guNEH samastEH saha rAja-sUnoH-nitamba-bimvaH praTimAnam-Apa /
   doṣairaśeṣaiḥ samameva tasya madhyapradeśaḥ kṛśatāmayāsīt // 3.50 //	dozEH-aSezEH samam-eva tasya maDya-pradeSaH kRSa-tA-Amaya-AsIt // 3.50 //
   nābhihradastasya narendrasūno romāvalīketananīlayaṣṭim /	nABi-hradaH-tasya narendra-sUnaH roma-AvalI-ketana-nIla-yazwim /
   nikhātukāmena manobhāvena nirvartito garta ivābabhāse // 3.51 //	niKAtu-kAmena manoBAvena nirvartitaH gartaH iva-AbaBAse // 3.51 //
   śriyaḥ sarojāntaraduḥsthitāyā viśṛṅkhalaṃ dātumivāvakāśam /	SriyaH saroja-antara-duHsTitAyAH viSRFKalam dAtum-iva-avakASam /
   puṇyātmanastasya bhujāntarāalaṃ babhūva vindhyādriśilāviśālam // 3.52 //	puNya-AtmanaH-tasya BujAntara-aalam baBUva vinDya-adri-SilA-viSAlam // 3.52 //
   śūrasya tasya kṣitipālasūnorvṛkṣaḥkavāṭe sati vajrasāre /	SUrasya tasya kzitipAla-sUnoH-vRkzaH-kavAwe sati vajrasAre /
   cakruḥ kavāṭaṃ sadaneṣu sattvā vibhūṣaṇārthaṃ na tu rakṣaṇārtham // 3.53	cakruH kavAwam sadanezu sattvAH viBUzaNa-arTam na tu rakzaNa-arTam // 3.53
   bhujo bhujaṅgādhipabhogadīrghastasya prajāpālanapaṇḍitasya /	BujaH BujaFga-aDipa-Boga-dIrGaH-tasya prajA-pAlana-paNxitasya /
   akṣepaṇīyaḥ pratibhūpatīnāṃ trailokyarakṣāparigho babhūva // 3.54 //	akzepaNIyaH pratiBUpatInAm trElokya-rakzA-pariGaH baBUva // 3.54 //
   rekhābhiratyantaparisphuṭābhistatkandharā bandhurasanniveśā /	reKABiH-atyanta-parisPuwABiH-tad-kanDarA banDuH-asanniveSAH /
   gāḍhādarāliṅgitakāntilakṣmīkeyūramudrābhirivāvababhāse // 3.55 //	gAXa-Adara-AliFgita-kAnti-lakzmI-keyUra-mudrABiH-iva-avabaBAse // 3.55 //
   mugdhasya tasyāsa mukhāmbujasya mahotpalasyāpi mahān viśeṣaḥ /	mugDasya tasya-Asa muKa-ambujasya mahA-utpalasya-api mahAn viSezaH /
   vāṇimalolāṃ vahati sma pūrvaṃ svabhāvalolāmitaratu lakṣmīm // 3.56 //	vANimalolAm vahati sma pUrvam svaBAva-lolAm-itaratu lakzmIm // 3.56 //
   vāṇyā vareṇyasya mukhe vasantyā mañjīraśiñjānamivāsa sūktam /	vANyAH vareNyasya muKe vasantyAH maQjIraSiQjAnam-iva-Asa sUktam /
   nakhaprabheva smitacandrikāsīnmuktākṣamāleva ca dantapaṃktiḥ // 3.57 //	naKa-praBA-iva smita-candrikA-AsIt-muktA-akza-mAlA-iva ca dantapaMktiH // 3.57 //
   tadānanāmbhoruhakāntilakṣmyāstadgaṇḍabhittirmaṇidarpaṇaśrīḥ /	tad-Anana-amBoruha-kAnti-lakzmyAH-tad-gaNxa-BittiH-maNi-darpaNa-SrIH /
   tatkarṇapāśaśca vilāsaḍolā tadīkṣaṇaṃ vibhramadīrdhikāsīt // 3.58 //	tad-karNa-pASaH-ca vilAsa-xolA tad-IkzaNam viBrama-dIrDikA-AsIt // 3.58 //
   bhrūvallarī tasya manojñamūrttestārāṃśulīḍhobhayakoṭibhāgā /	BrU-vallarI tasya manojQa-mUrtteH-tAra-aMSu-lIXa-uBaya-kowi-BAgA /
   kodaṇḍalīleva vijitya mārādātmīkṛtāropitabhṛṅgamauvī // 3.59 //	kodaNxa-lIlA-iva vijitya mArAt-AtmIkRta-Aropita-BRFga-mOvI // 3.59 //
   prasannamūrṇāvalayābhirāmaṃ jyotirmayaṃ tasya mukhārabindam /	prasanna-mUrNa-Avalaya-aBirAmam jyotiH-mayam tasya muKa-Ara-bindam /
   bhūyiṣṭhamantargatacandralekhāṃ bālārkabimbaśriyamātatāna // 3.60 //	BUyizWam-antargata-candra-leKAm bAla-arka-bimba-Sriyam-AtatAnaH // 3.60 //
   ūrṇābhirāmā narapālasūnorniṭālabhūmirnitarāṃ cakāśe /	UrNA-aBirAmAH nara-pAla-sUnoH-niwAla-BUmiH-nitarAm cakASe /
   vaprakriyābhagnanilīnadantidantāṃkurā meruśilātaṭīva // 3.61 //	vapra-kriyA-Bagna-nilIna-danti-dantA-aMkurAH meru-SilA-tawI-iva // 3.61 //
   vināṅgarāgeṇa vināṅgadena vināvataṃsena vinā srajāpiu /	vinA-aFga-rAgeNa vinA-aFgadena vinA-avataMsena vinA srajA-apiu /
   āviṣkṛtāsecanakālamāsīdaṅgaḥ tadīyaṃ navayauvanena // 3.62 //	AvizkRta-Asecana-kAlam-AsIt-aFgaH tadIyam nava-yOvanena // 3.62 //
   ānandayitrī hariṇekṣaṇānāmaduṣṭipūrvā puruṣāntareṣu /	AnandayitrI hariNa-IkzaNAnAm-aduzwi-pUrvA puruza-antarezu /
   nirvyājabhūṣā nikhilāṅgayaṣṭestasyoditāsīt samudāyaśobhā // 3.63 //	nirvyAja-BUzA niKila-aFga-yazweH-tasya-uditA-AsIt samudAya-SoBA // 3.63 //
   viśvambharāvalayadhāraṇayogyabāhoḥ sūnornṛpaḥ surapatipratimasvabhāvaḥ /	viSvamBarA-valaya-DAraNa-yogya-bAhoH sUnoH-nRpaH surapati-pratima-svaBAvaH /
   māṇikyakumbhabharitairmaṇimantrapūtaistīrthaiścakāra yuvarājapadābhiṣekam	mANikya-kumBa-BaritEH-maNi-mantra-pUtEH-tIrTEH-cakAra yuvarAja-pada-aBizekam
   iti buddhaghoṣaviracite padyacūḍāmaṇināmni mahākāvye tṛtīyaḥ sargaḥ //	iti budDa-Goza-viracite padya-cUxAmaNi-nAmni mahAkAvye tRtIyaH sargaH //
   caturthaḥ sargaḥ	caturTaH sargaH
   siddhārthavivāhaprastāvaḥ	sidDArTa-vivAha-prastAvaH
   atho kumārasya kulodvahasya karagrahaṃ kārayituṃ narendraḥ /	aTo kumArasya kula-udvahasya karagraham kArayitum narendraH /
   kā sāsya yogyā bhuvi kanyaketi cintayāmāsa sametabandhuḥ // 4.1 //	kA sA-asya yogyA Buvi kanyakA-iti cintayAmAsa sameta-banDuH // 4.1 //
   tatrāntare koliyabhūmipālaḥ kumārikāṃ me kularatnadīpām /	tatra-antare koliya-BUmipAlaH kumArikAm me kula-ratna-dIpAm /
   dāsyāmi sūnostava sarvatheti sandeśapatraṃ visasarja tasmai // 4.2 //	dAsyAmi sUnoH-tava sarvaTA-iti sandeSa-patram visasarja tasmE // 4.2 //
   ākarṇya sandeśamukhādudantamatīva santuṣṭamanāḥ kṣitīśaḥ /	AkarNya sandeSa-muKAt-udantam-atIva santuzwa-manAH kzitISaH /
   tathaiva sajjīkriyatāṃ tvayeti sandeśamasmai prajighāya bhūyaḥ // 4.3 //	taTA-eva sajjIkriyatAm tvayA-iti sandeSam-asmE prajiGAya BUyas // 4.3 //
   tatheti so 'pi pratigṛhya tasmai sandeśapatraṃ samudīrṇaharṣaḥ /	taTA-iti saH api pratigRhya tasmE sandeSa-patram samudIrNa-harzaH /
   pracakrame kārayituṃ kumāryā vivāhadīkṣotsavamatyudāram // 4.4 //	pracakrame kArayitum kumAryAH vivAha-dIkzA-utsavam-ati-udAram // 4.4 //
   āropitābhraṅkaṣaketumālamābaddhakauśeyavitānaśobham /	Aropita-aBraFkaza-ketumAlam-AbadDa-kOSeya-vitAna-SoBam /
   abhyucchritendrāyudhatoraṇāṅkamabhyantarasthāpitapūrṇakumbham // 4.5 //	aByucCrita-indrAyuDa-toraNa-aFkam-aByantara-sTApita-pUrNa-kumBam // 4.5 //
   āstīrṇamuktāsikatābhirāmamākīrṇanānākusumaupahāram /	AstIrNamuktA-sikata-aBirAmam-AkIrNa-nAnA-kusuma-OpahAram /
   ārabdhavaivāhikasaṃvidhānamantaḥpuraṃ bhūmipaterbabhūva // 4.6 //	ArabDa-vEvAhika-saMviDAnam-antaHpuram BUmipateH-baBUva // 4.6 //
   abhyaktagātrīmadhivāsitena tailena gandhāmalakopaliptām /	aByakta-gAtrIm-aDivAsitena tElena ganDa-Amalaka-upaliptAm /
   varāṅganāstā maṇikumbhamuktairambhodharaiḥ sādaramabhyaṣiñcan // 4.7 //	vara-aFganAH-tAH maNi-kumBa-muktEH-amBoDarEH sa-Adaram-aByaziQcan // 4.7 //
   snānāvasāne naradevakanyā pāthobharārdraṃ parimucya vāsaḥ /	snAna-avasAne naradeva-kanyA pAToBara-Ardram parimucya vAsaH /
   samādade cārutaraṃ dukūlaṃ candrātapaṃ śāradikeva rātriḥ // 4.8 //	samAdade cArutaram dukUlam candrAtapam SAradikA-iva rAtriH // 4.8 //
   tataḥ prakīrṇābhinavaprasūne catuṣkamadhye viniveśya sakhyaḥ /	tatas prakIrNa-aBinava-prasUne catuzka-maDye viniveSya saKyaH /
   nānāvidhairābharaṇairnarendrakanyāmalañcakruratipravīṇāḥ // 4.9 //	nAnAviDEH-ABaraNEH-narendra-kanyA-malaQcakrurati-pravINAH // 4.9 //
   antaḥsamāveśitaphullamallīdhammillabandhastaralekṣaṇāyāḥ /	antar-samAveSita-Pulla-mallI-Dammilla-banDaH-tarala-IkzaNAyAH /
   tatāna tārāgaṇaśāritasya gāḍhāndhakārastabakasya kāntim // 4.10 //	tatAna tArA-gaNa-SAritasya gAXa-anDakAra-stabakasya kAntim // 4.10 //
   ākuñcitāgrairalakaiḥ praśastaistasyā mukhāmbhoruhamābabhāse /	AkuQcita-agrEH-alakEH praSastEH-tasyAH muKa-amBoruham-AbaBAse /
   tadīyasaurabhyasamṛddhilobhādālīyamānairiva cañcarīkaiḥ // 4.11 //	tadIya-sOraBya-samRdDi-loBAt-AlIyamAnEH-iva caQcarIkEH // 4.11 //
   sindūraklṛpta kṣitipālaputryā vivāhadīkṣātilako vireje /	sindUra-klRpta kzitipAla-putryA vivAha-dIkzA-tilakaH vireje /
   prāptādhipatyasya manobhavasya pratāpabākārka ivojjihānaḥ // 4.12 //	prApta-ADipatyasya manoBavasya pratApa-bAka-arkaH iva-ujjihAnaH // 4.12 //
   karṇāvasaktāḥ kamalekṣaṇāyā yavāṅkurāḥ sātiśayaṃ virejuḥ /	karNa-avasaktAH kamala-IkzaNAyAH yava-aFkurAH sa-atiSayam virejuH /
   trilokajiṣṇoḥ kusumāyudhasya kīrttiprarohā iva jṛmbhamāṇāḥ // 4.13 //	triloka-jizNoH kusumAyuDasya kIrtti-prarohAH iva jRmBamANAH // 4.13 //
   kastūrikākalpitapatralekhastasyāḥ kapolaḥ śaśimaṇḍalaśrīḥ /	kastUrikA-kalpita-patra-leKaH-tasyAH kapolaH SaSi-maNxala-SrIH /
   ākramya tasthau mukurasya śobhāmambhodavātairmalinodarasya // 4.14 //	Akramya tasTO mukurasya SoBAm-amBoda-vAtEH-malina-udarasya // 4.14 //
   vinyastakālāñjanadarśanīyaṃ vilocanaṃ mīnavilocanāyāḥ /	vinyasta-kAlAQjana-darSanIyam vilocanam mIna-vilocanAyAH /
   atyugrahālāhalapaṅkadigdhāmanaṅgabāṇaśriyamanvayāsīt // 4.15 //	ati-ugra-ha-AlAhala-paFka-digDAm-anaFga-bANa-Sriyam-anvayAsIt // 4.15 //
   ananyasādhāraṇapāṭalimnastasyā manojñasya radacchadasya /	ananya-sADAraNa-pAwalimnaH-tasyAH manojQasya radacCadasya /
   ākalpitā yāvakapaṅkabhatirabhūtapūrvāṃ na cakāra śobhām // 4.16 //	AkalpitAH yAvaka-paFka-BatiH-aBUta-pUrvAm na cakAra SoBAm // 4.16 //
   alaṃkṛtaṃ mauktikakuṇḍalābhyāmambhoruhākṣyā mukhāmārdrahāsam /	alaMkRtam mOktika-kuNxalAByAm-amBoruha-akzyAH muKAm-Ardra-hAsam /
   pārśvadvayāvasthitapuṇḍarīkakośaṃ śaratkokanadaṃ jigāya // 4.17 //	pArSva-dvaya-avasTita-puNxarIka-koSam Sarad-kokanadam jigAya // 4.17 //
   āmuktamuktāsaradarśanīyamābibhratī kaṇṭhamatīva reje /	Amukta-muktA-sara-darSanIyam-AbiBratI kaNWam-atIva reje /
   niṣṭhyūtamuktānikarābhirāmaśaṅkhojjvalā sāgaravīcikeva // 4.18 //	nizWyUta-muktA-nikara-aBirAma-SaFKa-ujjvalA sAgaravIcikA-iva // 4.18 //
   tasyā vapuścandanapaṅkaliptamāmodikālāgarubhakticitram /	tasyAH vapuH-candana-paFka-liptam-Amodi-kAla-agaru-Bakti-citram /
   kalindajākarburitāntarāyāḥ śobhāmapuṣyat suraśaivalinyāḥ // 4.19 //	kalinda-jA-karburita-antarAyAH SoBAm-apuzyat sura-SEvalinyAH // 4.19 //
   payodharadvandvamaninditāṅgyāḥ parisphurannistalatāarahāram /	payoDara-dvandvam-anindita-aFgyAH parisPurat-nistala-tAara-hAram /
   ākīrṇatārānikarābhirāmāmastādriśṛṅgaśriyamanvagacchat // 4.20 //	AkIrNa-tArA-nikara-aBirAmA-masta-adri-SRFga-Sriyam-anvagacCat // 4.20 //
   balitrayālaṃkṛtamadhyadeśā tanvī vilolastanabhārahārā /	bali-traya-alaMkRta-maDya-deSA tanvI vilola-stana-BAra-hArAH /
   taraṅgitā śīkarajālitāṅgacakrāhvayā śaivalinīva reje // 4.21 //	taraFgitA SIkara-jAlita-aFga-cakra-AhvayA SEvalinI-iva reje // 4.21 //
   māṇikyakāñcīvalayānuviddhaśroṇībharā kṣoṇipatestanūjā /	mANikya-kAQcI-valaya-anuvidDa-SroNI-BarA kzoNi-pateH-tanU-jAH /
   vasundharā vāridhiratnagarbhavelāsamāliṅgitasaikataiva // 4.22 //	vasunDarA vAriDi-ratna-garBa-velA-samAliFgita-sa-ekatA-eva // 4.22 //
   rarāja tasyā navaromarājirārohatastuṅgapayodharādrim /	rarAja tasyAH nava-romarAjiH-a-ArohataH-tuFga-payoDara-adrim /
   śṛṅgārayoneravalambanārthamālambitendīvaramālikeva // 4.23 //	SRFgArayoneH-avalambana-arTam-Alambita-indIvara-mAlikA-iva // 4.23 //
   anarghacāmīkarakalpitābhiralaṃkriyābhiḥ sutanuścakāśe /	anarGa-cAmIkara-kalpitABiH-alaMkriyABiH su-tanuH-cakASe /
   samujjvalā nūtanamañjarībhiḥ sañcāriṇī campakavallarīva // 4.24 //	samujjvalA nUtana-maQjarIBiH saQcAriNI campaka-vallarI-iva // 4.24 //
   alaktakāsaṅgavivṛddharāgamaṃghriddhayaṃ komalamāyatākṣyāḥ /	alaktaka-AsaFga-vivRdDa-rAgam-aMGridhayam komalam-Ayata-akzyAH /
   navātapasparśaviśeṣadṛśyāṃ nālīkaśobhāṃ namayāñcakāra // 4.25 //	nava-Atapa-sparSa-viSeza-dRSyAm nAlIka-SoBAm namayA-aQcakAraH // 4.25 //
   ākalpasaundaryadidṛkṣayeyamābibhratī sphāṭikamātmadarśam /	Akalpa-sOndarya-didRkzayeyam-AbiBratI sPAwikam-Atma-darSam /
   vididyute pūrṇaśaśāṅkavimbasamparkiṇī śātamakhī diśeva // 4.26 //	vididyute pUrNa-SaSAFka-vimba-samparkiNI SAtamaKI diSA-iva // 4.26 //
   anantaraṃ bandhuragātrayaṣṭeḥ purodhasaḥ pūrṇamanorathāyāḥ /	anantaram banDura-gAtra-yazweH puroDasaH pUrNa-manoraTAyAH /
   na kevalaṃ kautukamābabandhuḥ karāmbuje kiñca hadambuje 'pi // 4.27 //	na kevalam kOtukam-AbabanDuH kara-ambuje kiQca hadambuje api // 4.27 //
   evaṃ samāpayya kumārikāyā vaivāhikaṃ maṇḍanasaṃvidhānam /	evam samApayya kumArikAyAH vEvAhikam maNxana-saMviDAnam /
   kutūhalī kauliyabhūmipālastasthau varasyāgamamīkṣamāṇaḥ // 4.28 //	kutUhalI kOliya-BUmipAlaH-tasTO varasya-Agamam-IkzamANaH // 4.28 //
   atha svaveśmanyadhirājasūnuḥ snātānulipto navadhautavāsāḥ /	aTa sva-veSmani-aDirAja-sUnuH snAta-anuliptaH nava-DOta-vAsAH /
   ullāsikāṃ lokavilocanānāmudvāhabhūṣāmurarīcakāra // 4.29 //	ullAsikAm loka-vilocanAnAm-udvAha-BUzA-m-urarIcakAra // 4.29 //
   suvarṇasūtragrathitāntareṇa kṣaumottarīyeṇa sa rājasūnuḥ /	suvarNa-sUtra-graTita-antareNa kzOma-uttarIyeNa sa rAja-sUnuH /
   vidyutpinaddhena śaradghanena viyattalābhoga iva vyarājat // 4.30 //	vidyut-pinadDena Sarad-Ganena viyat-tala-ABogaH iva vyarAjat // 4.30 //
   viśālavakṣaḥsthalalambitena muktākalāpena babhau kumāraḥ /	viSAla-vakzaH-sTala-lambitena muktA-kalApena baBO kumAraH /
   virājamānena taṭopakaṇṭhaṃ chāyāpatheneva suvarṇaśailaḥ // 4.31 //	virAjamAnena tawa-upakaNWam CAyA-paTena-iva suvarNa-SElaH // 4.31 //
   prasannagambhīravapuḥ kumāraḥ pravālamuktāmayakuṇḍalābhyām /	prasanna-gamBIra-vapuH kumAraH pravAla-muktA-Amaya-kuNxalAByAm /
   caṇḍāṃśutārādhipamaṇḍalābhyāmalaṃkṛto merurivāluloke // 4.32 //	caNxa-aMSu-tAra-aDipa-maNxalAByAm-alaMkRtaH meruH-iva-Alu-loke // 4.32 //
