   Var-v § 0 -	Var-u § 0 -
   karaṇīyena.	karaNIyena.
   Var-v § 1.8.2.1.1 kim upāsakasya karaṇīyaṃ. yathāpi tad upāsakasya	Var-u § 1.8.2.1.1 kim upAsakasya karaNIyan. yaTA-api tat upAsakasya
   gṛhakaḍatraṃ pratyupasthitaṃ bhavaty ātmano veṣṭanaṃ. tena tatra prabhūto	gRha-kaxatram pratyupasTitam Bavati AtmanaH vezwanan. tena tatra praBUtaH-
   vastralābha āmiṣalābhaś ca samudānītaḥ. sa bhikṣūṇāṃ dūtam anupreṣayati.	vastra-lABaH Amiza-lABaH ca samudAnItaH. sa BikzUNAm dUtam anuprezayati.
   āgacchantv āryāḥ paribhokṣyante. gantavyaṃ bhikṣuṇā saptāham adhiṣṭhāya	AgacCantu AryAH pariBokzyante. gantavyam BikzuNA sapta-aham aDizWAya
   upāsakasya karaṇīyena. idam upāsakasya karaṇīyaṃ.	upAsakasya karaNIyena. idam upAsakasya karaNIyaM.
   Var-v § 1.8.2.1.2 aparam apy upāsakasya karaṇīyaṃ. yathāpi tad upāsakaś	Var-u § 1.8.2.1.2 aparam api upAsakasya karaNIyan. yaTA-api tat upAsakaH-
   cāturdiśe bhikṣusaṃghe vihāraṃ pratiṣṭhāpayitukāmo bhavati. tena tatra	cAturdiSe Bikzu-saMGe vihAram pratizWA-payitu-kAmaH Bavati. tena tatra
   prabhūto vastralābhaḥ āmiṣalābhaś ca samudānītaḥ. sa bhikṣūṇāṃ dūtam	praBUtaH vastra-lABaH Amiza-lABaH ca samudAnItaH. sa BikzUNAm dUtam
   anupreṣayaty. āgacchantv āryāḥ paribhokṣyante. gantavyaṃ bhikṣuṇā saptāham	anuprezayaty. AgacCantu AryAH pariBokzyante. gantavyam BikzuNA sapta-aham
   adhiṣṭhāya upāsakasya karaṇīyena. idam upāsakasya karaṇīyaṃ.	aDizWAya upAsakasya karaNIyena. idam upAsakasya karaNIyaM.
   Var-v § 1.8.2.1.3 aparam apy upāsakasya karaṇīyaṃ yathāpi tad upāsakas	Var-u § 1.8.2.1.3 aparam api upAsakasya karaNIyam yaTA-api tat upAsakaH-
   tasminn eva vihāre śayanāsanam anupradātukāmo bhavati. tena tatra prabhūto	tasmin eva vihAre Sayana-Asanam anupradAtu-kAmaH Bavati. tena tatra praBUtaH-
   vastralābhaḥ āmiṣalābhaś ca samudānīto bhavati. sa bhikṣūṇāṃ dūtam	vastra-lABaH Amiza-lABaH ca samudAnItaH Bavati. sa BikzUNAm dUtam
   anupreṣayati. āgacchantv āryāḥ paribhokṣyante. (76v = GBM 735) gantavyaṃ	anuprezayati. AgacCantu AryAH pariBokzyante. (76u  GBm 735) gantavyam
   bhikṣuṇā saptāham adhiṣṭhāya upāsakasya karaṇīyena. idam upāsakasya	BikzuNA sapta-aham aDizWAya upAsakasya karaNIyena. idam upAsakasya
   karaṇīyaṃ.	karaNIyaM.
   Var-v § 1.8.2.1.4 aparam apy upāsakasya karaṇīyaṃ. yathāpi tad upāsakas	Var-u § 1.8.2.1.4 aparam api upAsakasya karaNIyan. yaTA-api tat upAsakaH-
   tasminn eva vihāre dhruvabhikṣāṃ prajñapayitukāmo bhavaty anukūlayajñaṃ.	tasmin eva vihAre Druva-BikzAm prajQa-payitu-kAmaH Bavati anukUla-yajQaM.
   tena tatra prabhūto vastralābhaḥ āmiṣalābhaś ca samudānīto bhavati. sa	tena tatra praBUtaH vastra-lABaH Amiza-lABaH ca samudAnItaH Bavati. sa
   bhikṣūṇāṃ dūtam anupreṣayaty. āgacchantv āryāḥ paribhokṣyante. gantavyaṃ	BikzUNAm dUtam anuprezayaty. AgacCantu AryAH pariBokzyante. gantavyam
   bhikṣuṇā saptāham adhiṣṭhāya upāsakasya karaṇīyena. idam upāsakasya	BikzuNA sapta-aham aDizWAya upAsakasya karaNIyena. idam upAsakasya
   karaṇīyaṃ.	karaNIyaM.
   Var-v § 1.8.2.1.5 aparam apy upāsakasya karaṇīyaṃ. yathāpi tad upāsakas	Var-u § 1.8.2.1.5 aparam api upAsakasya karaNIyan. yaTA-api tat upAsakaH-
   tasminn eva vihāre tathāgatasya śarīraṃ stūpaṃ pratiṣṭhāpayitukāmo bhavati	tasmin eva vihAre taTAgatasya SarIram stUpam pratizWA-payitu-kAmaH Bavati
   / sa bhikṣūṇāṃ dūtam anupreṣayati. āgacchantv āryā dharmasakhāyo	/ sa BikzUNAm dUtam anuprezayati. AgacCantu AryA Darma-saKA-yaH-
   bhaviṣyanti. gantavyaṃ bhikṣuṇā saptāham adhiṣṭhāya upāsakasya karaṇīyena.	Bavizyanti. gantavyam BikzuNA sapta-aham aDizWAya upAsakasya karaNIyena.
   idam upāsakasya karaṇīyaṃ.	idam upAsakasya karaNIyaM.
   Var-v § 1.8.2.1.6 aparam apy upāsakasya karaṇīyaṃ. yathāpi tad upāsakas	Var-u § 1.8.2.1.6 aparam api upAsakasya karaNIyan. yaTA-api tat upAsakaH-
   tasminn eva stūpe yaṣṭyāropaṇaṃ chatrāropaṇaṃ dhvajāropaṇaṃ patākāropaṇam*	tasmin eva stUpe yazwi-AropaNam Catra-AropaNam Dvaja-AropaNam patAkA-AropaNam*
   / alaṃsekaṃ candanasekaṃ kuṃkumasekam anupradātukāmo bhavati. sa bhikṣūṇāṃ	/ alaMsekam candana-sekam kuMkuma-sekam anupradAtu-kAmaH Bavati. sa BikzUNAm
   dūtam anupreṣayaty. āgacchantv āryā dharmasakhāyaḥ me bhaviṣyanti.	dUtam anuprezayaty. AgacCantu AryAH Darma-saKAyaH me Bavizyanti.
   gantavyaṃ bhikṣuṇā upāsakasya karaṇīyena saptāham adhiṣṭhāya. idam	gantavyam BikzuNA upAsakasya karaNIyena sapta-aham aDizWAya. idam
   upāsakasya karaṇīyaṃ.	upAsakasya karaNIyaM.
   Var-v § 1.8.2.1.7 aparam apy upāsakasya karaṇīyaṃ. yathāpi tad upāsakasya	Var-u § 1.8.2.1.7 aparam api upAsakasya karaNIyan. yaTA-api tat upAsakasya
   karaṇīyaṃ caturṇāṃ sūtranikāyānāṃ anyatamānyatamaṃ sūtranikāyaṃ	karaNIyam caturNAm sUtra-nikAyAnAm anyatama-anyatamam sUtra-nikAyam
   vistareṇoddiṣṭaṃ bhavati pravṛttaṃ ca. tena tatra prabhūto vastralābha	vistareNa-uddizwam Bavati pravRttam ca. tena tatra praBUtaH vastra-lABa
   āmiṣalābhaś ca samudānīto bhavati. sa bhikṣūṇāṃ dūtam anupreṣayati.	Amiza-lABaH ca samudAnItaH Bavati. sa BikzUNAm dUtam anuprezayati.
   āgacchantv āryāḥ paribhokṣyante. gantavyaṃ bhikṣuṇā saptāham adhiṣṭhāya	AgacCantu AryAH pariBokzyante. gantavyam BikzuNA sapta-aham aDizWAya
   upāsakasya karaṇīyena. idam upāsakasya karaṇīyaṃ.	upAsakasya karaNIyena. idam upAsakasya karaNIyaM.
   Var-v § 1.8.2.1.8 aparam apy upāsakasya karaṇīyaṃ. yathāpi tad upāsakasya	Var-u § 1.8.2.1.8 aparam api upAsakasya karaNIyan. yaTA-api tat upAsakasya
   kaukṛtyam utpannaṃ bhavati. sa bhikṣūṇāṃ dūtam anupreṣayaty. āgacchantv	kOkRtyam utpannam Bavati. sa BikzUNAm dUtam anuprezayaty. AgacCantu-
   āryāḥ utpannaṃ kaukṛtyaṃ prativinodayiṣyanti. gantavyaṃ bhikṣuṇā saptāham	AryAH utpannam kOkRtyam prativinodayizyanti. gantavyam BikzuNA sapta-aham
   adhiṣṭhāya upāsakasya karaṇīyena. idam upāsakasya karaṇīyaṃ.	aDizWAya upAsakasya karaNIyena. idam upAsakasya karaNIyaM.
   Var-v § 1.8.2.1.9 aparam apy upāsakasya karaṇīyaṃ. yathāpi tad upāsakasya	Var-u § 1.8.2.1.9 aparam api upAsakasya karaNIyan. yaTA-api tat upAsakasya
   pāpakaṃ dṛṣṭigatam utpannaṃ bhavati. sa bhikṣūṇāṃ dūtam anupreṣayaty.	pApakam dRzwi-gatam utpannam Bavati. sa BikzUNAm dUtam anuprezayati-.
   āgacchantv āryā utpannaṃ pāpakaṃ dṛṣṭigataṃ pratiniḥsṛjāpayiṣyanti.	AgacCantu AryAH utpannam pApakam dRzwi-gatam pratiniHsRjApayizyanti.
   gantavyaṃ bhikṣuṇā saptāham adhiṣṭhāya upāsakasya karaṇīyena. idam	gantavyam BikzuNA sapta-aham aDizWAya upAsakasya karaNIyena. idam
   upāsakasya karaṇīyaṃ.	upAsakasya karaNIyaM.
   Var-v § 1.8.2.1.10 aparam apy upāsakasya karaṇīyaṃ. yathāpi tat saṃgha	Var-u § 1.8.2.1.10 aparam api upAsakasya karaNIyan. yaTA-api tat saMGa
   upāsakasya saṃghena pātraṃ nikubjayitukāmo bhavati / sa bhikṣūṇāṃ dūtam	upAsakasya saMGena pAtram nikubjayitu-kAmaH Bavati / sa BikzUNAm dUtam
   anupreṣayati / āgacchantv āryā dharmeṇa pakṣaṃ bhajiṣyanti. gantavyaṃ	anuprezayati / AgacCantu AryAH DarmeNa pakzam Bajizyanti. gantavyam
   bhikṣuṇā saptāham adhiṣṭhāya upāsakasya karaṇīyena. idam upāsakasya	BikzuNA sapta-aham aDizWAya upAsakasya karaNIyena. idam upAsakasya
   karaṇīyaṃ.	karaNIyaM.
   Var-v § 1.8.2.1.11 aparam apy upāsakasya karaṇīyaṃ. yathāpi tad upāsakasya	Var-u § 1.8.2.1.11 aparam api upAsakasya karaNIyan. yaTA-api tat upAsakasya
   saṃghena pātraṃ nikubjitaṃ bhavati. sa bhikṣūṇāṃ dūtam anupreṣayati.	saMGena pAtram nikubjitam Bavati. sa BikzUNAm dUtam anuprezayati.
   āgacchantv āryāḥ pāttraṃ nikubjam unmajjāpayiṣyatha : gantavyaṃ bhikṣuṇā	AgacCantu AryAH pAttram nikubjam unmajjApayizyaTa : gantavyam BikzuNA
   saptāham adhiṣṭhāya upāsakasya karaṇīyena. idam upāsakasya karaṇīyaṃ.	sapta-aham aDizWAya upAsakasya karaNIyena. idam upAsakasya karaNIyaM.
   Var-v § 1.8.2.1.12 aparam apy upāsakasya karaṇīyaṃ. yathāpi tad upāsakasya	Var-u § 1.8.2.1.12 aparam api upAsakasya karaNIyan. yaTA-api tat upAsakasya
   ābādhiko (77r = GBM 736) duḥkhito bāḍhaglānaḥ. sa bhikṣūṇāṃ dūtam	AbADikaH (77H  GBm 736) duHKitaH bAXa-glAnaH. sa BikzUNAm dUtam
   anupreṣayati. āgacchantv āryā vācaṃ dāsyanti. gantavyaṃ bhikṣuṇā saptāham	anuprezayati. AgacCantu AryA vAcam dAsyanti. gantavyam BikzuNA sapta-aham
   adhiṣṭhāya upāsakasya karaṇīyena. idam upāsakasya karaṇīyaṃ.	aDizWAya upAsakasya karaNIyena. idam upAsakasya karaNIyaM.
   Var-v § 1.8.2.2 kim upāsikāyāḥ karaṇīyaṃ sthāpayitvā gṛhakaḍatram ātmano	Var-u § 1.8.2.2 kim upAsikAyAH karaNIyam sTApayitvA gRha-kaxatram AtmanaH-
   veṣṭanaṃ.	vezwanaM.
   Var-v § 1.8.2.3.1 kiṃ bhikṣoḥ karaṇīyaṃ. yathāpi tad bhikṣuḥ cāturdiśe	Var-u § 1.8.2.3.1 kim BikzoH karaNIyan. yaTA-api tat BikzuH cAturdiSe
   bhikṣusaṃghe ārāmaṃ niryātayitukāmo bhavati. tena tatra prabhūto	Bikzu-saMGe ArAmam niryAtayitu-kAmaH Bavati. tena tatra praBUtaH-
   vastralābhaḥ āmiṣalābhaś ca samudānīto bhavati. sa bhikṣūṇāṃ dūtam	vastra-lABaH Amiza-lABaH ca samudAnItaH Bavati. sa BikzUNAm dUtam
   anupreṣayaty. āgacchantv āyuṣmantaḥ paribhokṣyante / gantavyaṃ bhikṣuṇā	anuprezayaty. AgacCantu AyuzmantaH pariBokzyante / gantavyam BikzuNA
   saptāham adhiṣṭhāya bhikṣoḥ karaṇīyena. idaṃ bhikṣoḥ karaṇīyaṃ.	sapta-aham aDizWAya BikzoH karaNIyena. idam BikzoH karaNIyaM.
   Var-v § 1.8.2.3.2 aparam api bhikṣoḥ karaṇīyaṃ. yathāpi tad bhikṣus	Var-u § 1.8.2.3.2 aparam api BikzoH karaNIyan. yaTA-api tat BikzuH-
   tasminn evārāme vihāraṃ śayanāsanaṃ dhruvabhikṣāṃ tathāgatasya śarīraṃ	tasmin eva-ArAme vihAram Sayana-Asanam Druva-BikzAm taTAgatasya SarIram
   stūpaṃ. alaṃsekaṃ candanasekaṃ yaṣṭyāropaṇaṃ dhvajāropaṇaṃ sūtranikāyānām	stUpaM. alaMsekam candana-sekam yazwi-AropaNam Dvaja-AropaNam sUtra-nikAyAnAm
   anyatamānyatamaṃ sūtranikāyaṃ kaukṛtyaṃ pāpakaṃ dṛṣṭigatam utpannaṃ	anyatama-anyatamam sUtra-nikAyam kOkRtyam pApakam dRzwi-gatam utpannam
   bhavati. sa bhikṣūṇāṃ dūtam anupreṣayati. āgacchantv āyuṣmantaḥ utpannaṃ	Bavati. sa BikzUNAm dUtam anuprezayati. AgacCantu AyuzmantaH utpannam
   pāpakaṃ dṛṣṭigataṃ pratiniḥsṛjāpayiṣyanti. gantavyaṃ bhikṣuṇā saptāham	pApakam dRzwi-gatam pratiniHsRja-apayizyanti. gantavyam BikzuNA sapta-aham
   adhiṣṭhāya bhikṣoḥ karaṇīyena. idaṃ bhikṣoḥ karaṇīyaṃ. pūrvavat sarvaṃ	aDizWAya BikzoH karaNIyena. idam BikzoH karaNIyan. pUrvavat sarvam
   vistareṇa vācyaṃ . //	vistareNa vAcyam . //
   Var-v § 1.8.2.3.3 aparam api bhikṣoḥ karaṇīyaṃ. yathāpi tat saṃghaḥ	Var-u § 1.8.2.3.3 aparam api BikzoH karaNIyan. yaTA-api tat saMGaH
   bhikṣor imāny evaṃrūpāṇi praṇidhikarmāṇi kartukāmo bhavati. tadyathā	BikzoH imAni evaMrUpANi praNiDi-karmANi kartu-kAmaH Bavati. tat-yaTA
   tarjanīyaṃ karma nigarhaṇīyaṃ pravāsanīyaṃ pratisaṃharaṇīyam	tarjanIyam karma nigarhaNIyam pravAsanIyam pratisaMharaNIyam
   adarśanāyotkṣepaṇīyam apratikarmaṇāyotkṣepaṇīyaṃ apratiniḥsṛṣṭe pāpake	adarSanAya-utkzepaNIyam apratikarmaNAya-utkzepaNIyam apratiniHsRzwe pApake
   dṛṣṭigate utkṣepaṇīyaṃ karma. sa bhikṣūṇāṃ dūtam anupreṣayati. āgacchantv	dRzwi-gate utkzepaNIyam karma. sa BikzUNAm dUtam anuprezayati. AgacCantu-
   āyuṣmanto dharmeṇa pakṣaṃ bhajiṣyanti. gantavyaṃ bhikṣuṇā saptāham	AyuzmantaH DarmeNa pakzam Bajizyanti. gantavyam BikzuNA sapta-aham
   adhiṣṭhāya bhikṣoḥ karaṇīyena. idaṃ bhikṣoḥ karaṇīyaṃ.	aDizWAya BikzoH karaNIyena. idam BikzoH karaNIyaM.
   Var-v § 1.8.2.3.4 aparam api bhikṣoḥ karaṇīyaṃ. yathāpi tat saṃghena	Var-u § 1.8.2.3.4 aparam api BikzoH karaNIyan. yaTA-api tat saMGena
   bhikṣor imāny evaṃrūpāṇi praṇidhikarmāṇi kṛtāni bhavanti. tadyathā	BikzoH imAni evaMrUpANi praNiDi-karmANi kRtAni Bavanti. tat-yaTA
   tarjanīyaṃ karma nigarhaṇīyaṃ karma pravāsanīyaṃ pratisaṃharaṇīyaṃ	tarjanIyam karma nigarhaNIyam karma pravAsanIyam pratisaMharaNIyam
   adarśanāyotkṣepaṇīyam apratikarmaṇāyotkṣepaṇīyam apratiniḥsṛṣṭe pāpake	adarSanAya-utkzepaNIyam apratikarmaNAya-utkzepaNIyam apratiniHsRzwe pApake
   dṛṣṭigate utkṣepaṇīyaṃ karma. sa bhikṣūṇāṃ dūtam anupreṣayaty. āgacchantv	dRzwi-gate utkzepaNIyam karma. sa BikzUNAm dUtam anuprezayaty. AgacCantu-
   āyuṣmantaḥ osārayiṣyanti. gantavyaṃ bhikṣuṇā saptāham adhiṣṭhāya bhikṣoḥ	AyuzmantaH osArayizyanti. gantavyam BikzuNA sapta-aham aDizWAya BikzoH
   karaṇīyena. idaṃ bhikṣoḥ karaṇīyaṃ.	karaNIyena. idam BikzoH karaNIyaM.
   Var-v § 1.8.2.3.5 -	Var-u § 1.8.2.3.5 -
   Var-v § 1.8.2.3.6 -	Var-u § 1.8.2.3.6 -
   Var-v § 1.8.2.3.7 -	Var-u § 1.8.2.3.7 -
   Var-v § 1.8.2.3.8 aparam api bhikṣoḥ karaṇīyaṃ. yathāpi tad bhikṣur	Var-u § 1.8.2.3.8 aparam api BikzoH karaNIyan. yaTA-api tat BikzuH-
   ābādhiko duḥkhito bāḍhaglāno bhavati / sa bhikṣūṇāṃ dūtam anupreṣayaty	AbADikaH duHKitaH bAXa-glAnaH Bavati / sa BikzUNAm dUtam anuprezayati-
   āgacchantv āyuṣmanto vācaṃ bhāṣiṣyanti. gantavyaṃ bhikṣuṇā saptāham	AgacCantu AyuzmantaH vAcam BAzizyanti. gantavyam BikzuNA sapta-aham
   adhiṣṭhāya bhikṣoḥ karaṇīyena. idaṃ bhikṣoḥ karaṇīyaṃ.	aDizWAya BikzoH karaNIyena. idam BikzoH karaNIyaM.
   Var-v § 1.8.2.4.1 kiṃ bhikṣuṇyāḥ karaṇīyaṃ. sthāpayitvā praṇidhikarmāṇi .	Var-u § 1.8.2.4.1 kim BikzuNyAH karaNIyan. sTApayitvA praNiDi-karmANi .
   Var-v § 1.8.2.4.2 -	Var-u § 1.8.2.4.2 -
   Var-v § 1.8.2.5.1 kiṃ śikṣamāṇāyāḥ karaṇīyaṃ. etad eva sarvaṃ śikṣamāṇāyāḥ	Var-u § 1.8.2.5.1 kim SikzamANAyAH karaNIyan. etat eva sarvam SikzamANAyAH
   karaṇīyaṃ.	karaNIyaM.
   Var-v § 1.8.2.5.2 aparam api śikṣamāṇāyāḥ karaṇīyaṃ. yathāpi tac	Var-u § 1.8.2.5.2 aparam api SikzamANAyAH karaNIyan. yaTA-api tat-
   chikṣamāṇā dve varṣe ṣaṭsu dharmeṣu ṣaṭsv anudharmeṣu śikṣitaśikṣā	CikzamANA dve varze zawsu Darmezu zawsu anuDarmezu Sikzita-SikzA
   bhavati. sa bhikṣūṇāṃ dūtam anupreṣayati. āgacchantv āryā	Bavati. sa BikzUNAm dUtam anuprezayati. AgacCantu AryA
   upasaṃpādayiṣyanti. gantavyaṃ (77v = GBM 737) bhikṣuṇā saptāham adhiṣṭhāya	upasaMpAdayizyanti. gantavyam (77u  GBm 737) BikzuNA sapta-aham aDizWAya
   śikṣamāṇāyāḥ karaṇīyena. idaṃ śikṣamāṇāyāḥ karaṇīyaṃ.	SikzamANAyAH karaNIyena. idam SikzamANAyAH karaNIyaM.
   Var-v § 1.8.2.6.1 kiṃ śrāmaṇerakasya karaṇīyaṃ. etad eva sarvaṃ	Var-u § 1.8.2.6.1 kim SrAmaNerakasya karaNIyan. etat eva sarvam
   śrāmaṇerakasya karaṇīyaṃ.	SrAmaNerakasya karaNIyaM.
   Var-v § 1.8.2.6.2 aparam api śrāmaṇerakasya karaṇīyaṃ. yathāpi tac	Var-u § 1.8.2.6.2 aparam api SrAmaNerakasya karaNIyan. yaTA-api tat-
   chrāmaṇerakaḥ saparipūrṇaviṃśativarṣo bhavati. sa bhikṣūṇāṃ dūtam	CrAmaNerakaH sa-paripUrNa-viMSati-varzaH Bavati. sa BikzUNAm dUtam
   anupreṣayati / āgacchantv āyuṣmantaḥ upasaṃpādayiṣyanti. gantavyaṃ	anuprezayati / AgacCantu AyuzmantaH upasaMpAdayizyanti. gantavyam
   bhikṣuṇā saptāham adhiṣṭhāya śrāmaṇerakasya karaṇīyena. idaṃ	BikzuNA sapta-aham aDizWAya SrAmaNerakasya karaNIyena. idam
   śrāmaṇerakasya karaṇīyaṃ /	SrAmaNerakasya karaNIyam /
   Var-v § 1.8.2.7.1 kiṃ śrāmaṇerikāyāḥ karaṇīyaṃ. etad eva sarvaṃ	Var-u § 1.8.2.7.1 kim SrAmaNa-IrikAyAH karaNIyan. etat eva sarvam
   śrāmaṇerikāyāḥ karaṇīyaṃ.	SrAmaNa-IrikAyAH karaNIyaM.
   Var-v § 1.8.2.7.2 aparam api śrāmaṇerikāyāḥ karaṇīyaṃ / yathāpi tac	Var-u § 1.8.2.7.2 aparam api SrAmaNa-IrikAyAH karaNIyam / yaTA-api tat-
   chrāmaṇerikā gṛhavustā dvādaśavarṣā bhavati, kumārikābhūtā vā	CrAmaNa-IrikA gRhavuH-tA dvAdaSa-varzA Bavati, kumArikA-BUtA vA
   aṣṭādaśavarṣā. sā bhikṣūṇāṃ dūtam anupreṣayati / āgacchantv āryā dve varṣe	azwAdaSa-varzA. sA BikzUNAm dUtam anuprezayati / AgacCantu AryA dve varze
   ṣaṭsu dharmeṣu ṣaṭsv anudharmeṣu śikṣāṃ dāsyanti. gantavyaṃ bhikṣuṇā	zawsu Darmezu zawsu anuDarmezu SikzAm dAsyanti. gantavyam BikzuNA
   saptāham adhiṣṭhāya śrāmaṇerikāyāḥ karaṇīyena. idaṃ śrāmaṇerikāyāḥ	sapta-aham aDizWAya SrAmaNa-IrikAyAH karaNIyena. idam SrAmaNa-IrikAyAH
   karaṇīyaṃ //	karaNIyam //
   Var-v § 2 uddānam* //	Var-u § 2 uddAnam* //
   bhaiṣajyam upasthāyaka strīpuruṣapaṇḍakaḥ	BEzajyam upasTAyaka strI-puruza-paNxakaH
   nimittaṃ nidhayo jñātaya antarāyeṇa prakramet* // //	nimittam niDayaH jQAtaya antarAyeNa prakramet* // //
   Var-v § 2.1.1 yathāpi tad varṣopagatasya bhikṣor evaṃ bhavati / aham	Var-u § 2.1.1 yaTA-api tat varza-upagatasya BikzoH evam Bavati / aham
   asminn āvāse varṣā upagataḥ. na ca me 'sti kaścit piṇḍakasya dātā. so 'haṃ	asmin AvAse varzAH upagataH. na ca me asti kaScid piNxakasya dAtA. saH aham
   piṇḍakam alabhamānaḥ klameyaṃ kālaṃ vā kuryāṃ. sa me syād antarāyaḥ	piNxakam alaBamAnaH klameyam kAlam vA kuryAn. sa me syAt antarAyaH
   aprāptasya prāptaye, anadhigatasyādhigamāya / asākṣātkṛtasya	aprAptasya prAptaye, anaDigatasya-aDigamAya / asAkzAtkRtasya
   sākṣātkriyāyai / yanv aham asmād āvāsāt prakrameyaṃ. sa tasmād āvāsāt	sAkzAtkriyAyE / yanu aham asmAt AvAsAt prakrameyaM. sa tasmAt AvAsAt-
   prakramaty. etad eva pratyayaṃ kṛtvā anāpattir varṣācchede //	prakramaty. etat eva pratyayam kRtvA anApattiH varzAcCede //
   Var-v § 2.1.2 yathāpi tad varṣopagatasya bhikṣor evaṃ bhavati. aham asminn	Var-u § 2.1.2 yaTA-api tat varza-upagatasya BikzoH evam Bavati. aham asmin=-
   āvāse varṣā upagataḥ. na ca me kaścid glānasya glānabhaiṣajyasya dātā. so	AvAse varzAH upagataH. na ca me kaScid glAnasya glAna-BEzajyasya dAtA. saH-
   'haṃ bhaiṣajyam alabhamānaḥ klameyaṃ kālaṃ vā kuryāṃ. sa me syād antarāyaḥ	aham BEzajyam alaBamAnaH klameyam kAlam vA kuryAn. sa me syAt antarAyaH
   aprāptasya prāptaye, anadhigatasyādhigamāya, asākṣātkṛtasya sākṣātkriyāyai	aprAptasya prAptaye, anaDigatasya-aDigamAya, asAkzAtkRtasya sAkzAtkriyAyE
   / yanv aham asmād āvāsāt prakrameyaṃ. sa tasmād āvāsāt prakramaty. etad	/ yanu aham asmAt AvAsAt prakrameyaM. sa tasmAt AvAsAt prakramaty. etat-
   eva pratyayaṃ kṛtvā anāpattir varṣācchede //	eva pratyayam kRtvA anApattiH varzAcCede //
   Var-v § 2.1.3 yathāpi tad varṣopagatasya bhikṣor evaṃ bhavaty. aham asminn	Var-u § 2.1.3 yaTA-api tat varza-upagatasya BikzoH evam Bavaty. aham asmin=-
   āvāse varṣā upagataḥ. na ca me kaścid glānasya glānopasthāyakaḥ. so 'ham	AvAse varzAH upagataH. na ca me kaScid glAnasya glAna-upasTAyakaH. saH aham
   upasthāyakavirahāt* klameyaṃ kālaṃ vā kuryāṃ. sa me syād antarāyaḥ	upasTAyaka-virahAt* klameyam kAlam vA kuryAn. sa me syAt antarAyaH
   aprāptasya prāptaye, anadhigatasyādhigamāya / asākṣātkṛtasya	aprAptasya prAptaye, anaDigatasya-aDigamAya / asAkzAtkRtasya
   sākṣātkriyāyai / yanv aham asmād āvāsāt prakrameyaṃ. sa tasmād āvāsāt	sAkzAtkriyAyE / yanu aham asmAt AvAsAt prakrameyaM. sa tasmAt AvAsAt-
   prakramaty. etad eva pratyayaṃ kṛtvā anāpattir varṣācchede //	prakramaty. etat eva pratyayam kRtvA anApattiH varzAcCede //
   Var-v § 2.1.4 yathāpi tad varṣopagataṃ bhikṣuṃ strī	Var-u § 2.1.4 yaTA-api tat varza-upagatam Bikzum strI
   upasaṃkramyāpratirūpayā upanimantraṇayā upanimantrayati. vasa ārya rama	upasaMkramya-apratirUpayA upanimantraNayA upanimantrayati. vasaH Arya rama
   ārya. ahaṃ te upasthāsyāmi. duhitaraṃ te dāsyāmi snuṣāṃ te dāsīṃ te	Arya. aham te upasTAsyAmi. duhitaram te dAsyAmi snuzAm te dAsIm te
   karmakarīṃ te dāsyāmi / tatra varṣopagatasya bhikṣor evaṃ bhavati / aham	karmakarIm te dAsyAmi / tatra varza-upagatasya BikzoH evam Bavati / aham
   asminn āvāse varṣā upagata. iyaṃ ca me strī upasaṃkramyāpratirūpayā	asmin AvAse varzAH upagata. iyam ca me strI upasaMkramya-apratirUpayA
   upanimantraṇayā upanimantrayati. vasa ārya rama ārya. ahaṃ te upasthāsyāmi	upanimantraNayA upanimantrayati. vasaH Arya ramaH Arya. aham te upasTAsyAmi
   duhitaraṃ te dāsyāmi snuṣāṃ te dāsīṃ te karmakarīṃ te dāsyāmi. ahaṃ ced	duhitaram te dAsyAmi snuzAm te dAsIm te karma-karIm te dAsyAmi. aham ced-
   asminn āvāse varṣā vaseyaṃ syān me atonidānaṃ jīvitāntarāyaḥ	asmin AvAse varzAH vaseyam syAt me atonidAnam jIvita-antarAyaH
   śrāmaṇyāntarāyo brahmacaryāntarāyaḥ. yanv aham asmād āvāsāt prakrāmeyaṃ.	SrAmaNya-antarAyaH brahmacarya-antarAyaH. yanu aham asmAt AvAsAt prakrAmeyaM.
   sa tasmād (78r = GBM 738) āvāsāt prakrāmaty. etad eva pratyayaṃ kṛtvā	sa tasmAt (78H  GBm 738) AvAsAt prakrAmaty. etat eva pratyayam kRtvA
   anāpattir varṣācchede //	anApattiH varzAcCede //
   Var-v § 2.1.5 yathāpi tad varṣopagataṃ bhikṣuṃ puruṣa	Var-u § 2.1.5 yaTA-api tat varza-upagatam Bikzum puruza
   upasaṃkramyāpratirūpayā upanimantraṇayā upanimantrayati / vasa ārya rama	upasaMkramya-apratirUpayA upanimantraNayA upanimantrayati / vasaH Arya rama
   ārya. duhitaraṃ te dāsyāmi snuṣāṃ te dāsīṃ te karmakarīṃ te dāsyāmi. tatra	Arya. duhitaram te dAsyAmi snuzAm te dAsIm te karma-karIm te dAsyAmi. tatra
   varṣopagatasya bhikṣor evaṃ bhavaty. aham asminn āvāse varṣā upagataḥ.	varza-upagatasya BikzoH evam Bavaty. aham asmin AvAse varzAH upagataH.
   ayaṃ ca me puruṣa upasaṃkramyāpratirūpayā upanimantraṇayā upanimantrayati.	ayam ca me puruzaH upasaMkramya-apratirUpayA upanimantraNayA upanimantrayati.
