   Abhidharmasamuccayabhāṣyam	ABiDarma samuccaya BAzyam
   daurmanasyotpādāt tadvipariṇatirvipariṇāmaduḥkhatā / tatra cānunayena	dOrmanasya utpAdAt tad vipariNatiH vipariNAma duHKa tA / tatra ca anunayena
   cittasya vipariṇamanaṃ vipariṇāmaduḥkhatā veditavyā / yathoktamavadīrṇo	cittasya vipariNamanam vipariNAma duHKa tA veditavyA / yaToktam avadIrNaH 
   vipariṇatena citteneti //	vipariNatena cittena iti //
   aduḥkhāsukhā vedanālayavijñānasaṃprayuktā tadvedanīyāśca saṃskārā	aduHKa asuKAH vedanA Alaya vijQAna saMprayuktA tad vedanIyAH ca saMskArA
   duḥkhavipariṇāmaduḥkhatayodauṣṭhulyenānugatatvāttena	duHKa vipariNAma duHKa tayA udOzWulyena anugata tvAt tena
   duḥkhatādvayenāvinirmuktatvādekadā duḥkhāvasthāṃ bhajante ekadā	duHKa tA dvayena avinirmukta tvAt ekadA duHKa avasTAm Bajante ekadA
   sukhāvasthāṃ, na nityakālamaduḥkhāsukhāvasthā eva bhavanti /	suKa avasTAM, na nitya kAlam aduHKa asuKa avasTAH eva Bavanti /
   tasmādanityatānubandhārthenāyogakṣematvātsaṃskāraduḥkhatā veditavyā /	tasmAt anitya tA anubanDa arTena ayogakzema tvAt saMskAra duHKa tA veditavyA /
   skandhānām / trayāṇāṃ dhātūnāṃ manodharmamanovijñānadhātūnām /	skanDAnAm / trayANAm DAtUnAm manaH Darma manaH vijQAna DAtUnAm /
   dvayoścāyatanayormanodharmāyatanayoḥ / ekadeśaṃ	dvayoH ca AyatanayoH manaH Darma AyatanayoH / eka deSam
   sthāpayitvānāsravalakṣaṇam, tadanyāni sarvāṇīti //	sTApayitvA anAsrava lakzaNam, tad anyAni sarvANi iti //
   akuśalasya kuśalasāsravasya cāyatyā sasaṃprayogamālayavijñānaṃ vipākaḥ /	akuSalasya kuSala sa Asravasya ca AyatyA sa saMprayogam Alaya vijQAnam vipAkaH /
   atastena vipākena tadubhayaṃ savipākamityucyate / skandhānām / daśānāṃ	atas tena vipAkena tat uBayam sa vipAkam iti ucyate / skanDAnAm / daSAnAm
   dhātūnāṃ vijñānarūpaśabdadharma dhātūnām / caturṇā cāyatanānāṃ	DAtUnAm vijQAna rUpa Sabda Darma DAtUnAm / caturNA ca AyatanAnAm
   rūpaśabdamanodharmāyatanānām / ekadeśo 'vyākṛtānāsravavarjaḥ /	rUpa Sabda manaH Darma AyatanAnAm / eka deSaH avyAkRtAn Asrava varjaH /
   ālayavijñānāttadanyattu cakṣurādikaṃ ca sukhaduḥkhādikaṃ ca	AlayavijQAnAt tat anyat tu cakzuH Adikam ca suKa duHKa Adikam ca
   tadvipākrajamityākhyāṃ labhate tato jātamiti kṛtvā /	tad vipAkrajam iti AKyAm laBate tatas jAtam iti kRtvA /
   (Abhidh s bh 45)	(a aBiD s B 45)
   pariṇatitaḥ pāriṇāmikaḥ kavaḍīkāra āhāraḥ, pariṇāmakāle	pariNatitaH pAriNAmikaH kavaxIkAraH AhAraH, pariNAma kAle
   indriyamahābhūtapoṣaṇāt / viṣayato vaiṣayikaḥ sparśāhāraḥ, iṣṭaviṣayā	indriya mahABUta pozaNAt / vizayataH vEzayikaH sparSa AhAraH, izwa vizayA
   dhiṣṭhānena sparśenāśrayānugrahaṇāt / āśāta āśikaḥ manaḥ saṃcetanāhāraḥ,	DizWA anena sparSena ASraya anugrahaNAt / ASAtaH ASikaH manaH saMcetana AhAraH,
   abhipretavastuprativaddhāśāvaśenāśrayānugrahaṇāt / upādānata aupādānikaḥ	aBipreta vastu prativat ha ASA vaSena ASraya anugrahaNAt / upAdAnataH OpAdAnikaH
   vijñānamāhāraḥ, ālayavijñānopādānavaśenātmabhā vopasthānāt / tathāhi	vijQAnam AhAraH, AlayavijQAna upAdAna vaSena AtmaBA vA upasTAnAt / taTA hi
   tadviyukta āśrayaḥ pūtībhavatīti /	tad viyuktaH ASrayaH pUtIBavati iti /
   punaścatvāro 'pyāhārāḥ samasya caturbhiḥ prabhedairvyavasthāpyante /	punar catvAraH api AhArAH samasya caturBiH praBedEH vyavasTApyante /
   tadyathā aśuddhāśrayasthitikaḥ kāmāvacarāṇāṃ pṛthagjanānām,	tat yaTA aSudDa ASraya sTitikaH kAma avacarANAm pRTagjanAnAm ,
   sakalabandhanatvāt / śuddhāśuddhāśrayasthitikaḥ śaikṣāṇāṃ	sakala banDana tvAt / SudDa aSudDa ASraya sTitikaH SEkzANAm
   rūpārūpyāvacarāṇāṃ ca pṛthagjanānām, sāvaśeṣavandhanatvāt /	rUpArUpya avacarANAm ca pRTagjanAnAm, sa avaSeza vanDana tvAt /
   śuddhāśrayasthitiko 'rhatām, sarvabandhanavinirmuktatvāt /	SudDa ASraya sTitikaH arhatAm, sarva banDana vinirmukta tvAt /
   sthitisāṃdarśiko buddhānāṃ bodhisattvānāṃ ca mahāprabhāvaprāptānām,	sTiti sAMdarSikaH budDAnAm boDisattvAnAm ca mahA praBAva prAptAnAm ,
   āhāravaśena sthitiriti saṃdarśanamātratvāt //	AhAra vaSena sTitiH iti saMdarSana mAtra tvAt //
   asaṃskṛtaikadeśaḥ niṣpannasvabhāvaḥ sottaramiti nirvāṇaṃ muktvā, tasya	asaMskRta eka deSaH nizpanna svaBAvaH sa uttaram iti nirvANam muktvA, tasya
   sarvadharmāgratvādiśuddhāyāśca tathatāyāstallakṣaṇatvāt //	sarva Darma agra tva Adi SudDAyAH ca taTatAyAH tad lakzaNa tvAt //
   samāsataḥ prabhedastrividhaḥ, trividhaṃ svabhāvamadhikṛtya	samAsatas praBedaH triviDaH, triviDam svaBAvam aDikRtya
   pudgalanairātmyanayena veditavyaḥ / tatra parikalpitaḥ svabhāvaḥ	pudgala nErAtmya nayena veditavyaH / tatra parikalpitaH svaBAvaH
   skandhādīnyadhiṣṭhāyāvidyamāna ātmādisvabhāvo yaḥ parikalpitaḥ /	skanDa AdIni aDizWAya avidyamAnaH Atma Adi svaBAvaH yaH parikalpitaH /
   paratantraḥ svabhāvastānyeva skandhādīni yatrāsāvātmadyabhūtavikalpaḥ	paratantraH svaBAvaH tAni eva skanDa AdIni yatra asO= Atma dya BUta vikalpaH
   pravṛttaḥ / pariniṣpannaḥ svabhāvo bhāvābhāvaviyuktalakṣaṇā hi tathatā,	pravRttaH / parinizpannaH svaBAvaH BAva aBAva viyukta lakzaNAH hi taTatA,
   skandhādiṣvātmādyabhāvanairātmyāstitālakṣaṇatvāt //	skanDa Adizu Atma Adi a BAva nErAtmya astita alakzaNa tvAt //
   lakṣaṇaprabhedo dharmāṇāṃ svabhāvamadhikṛtya, rūpaṃ vedanetyevamādi /	lakzaNa praBedaH DarmANAm svaBAvam aDikRtya, rUpam vedanA iti evamAdi /
   prakāra[pra]bhedo viśeṣamadhikṛtya, dravyasantaḥ prajñaptisanta ityevamādi	prakAra[ pra]BedaH viSezam aDikRtya, dravya santaH prajQaptisantaH iti evamAdi
   / āśrayaprabhedaḥ pratyātmabhāvaṃ skandhādīnāṃ nānātvamadhikṛtya /	/ ASraya praBedaH pratyAtma BAvam skanDa AdInAm nAnAtvam aDikRtya /
   (Abhidh s bh 46)	(a aBiD s B 46)
   saṃtatiprabheda ekasminapyātmabhāve skandhādīnāṃ	saMtati praBedaH ekasmin api Atma BAve skanDa AdInAm
   pratilakṣaṇamanyathātvamadhikṛtya //	pratilakzaNam anyaTAtvam aDikRtya //
   bahirmukhaprabhedo yadbhūyasā kāmāvacara iti bhūyograhaṇaṃ	bahirmuKa praBedaH yat BUyasA kAmAvacaraH iti BUyas grahaNam
   niṣpandadharmahetukaśrutacintāmayavyudāsārtham // samāptaḥ prabhedaḥ //	nizpanda Darma hetuka Sruta cintA Amaya vyudAsa arTam // samAptaH praBedaH //
   lakṣaṇasaṃgraheṇa rūpaskandho rūpaskandhenaiva saṃgṛhīto vistareṇa	lakzaNa saMgraheNa rUpa skanDaH rUpa skanDena eva saMgRhItaH vistareNa
   yāvaddharmāyatanaṃ dharmāyata[ne]naiva / dhātusaṃgraheṇa sarvāṇi	yAvat Darma Ayatanam Darma Ayata[ne]nA eva / DAtu saMgraheNa sarvANi
   skandhadhātvāyatanānyālayavijñānena saṃgṛhītāni, sarveṣāṃ tatra bījato	skanDa DAtu AyatanAni AlayavijQAnena saMgRhIta ani, sarvezAm tatra bIjataH 
   'stitvāt / jātisaṃgraheṇa skandhaiḥ rāśyādyarthayuktā rūpādayaḥ sarve	astitvAt / jAti saMgraheNa skanDEH rASi Adi arTa yuktAH rUpa AdayaH sarve
   saṃgṛhītā vilakṣaṇā apyanyonyaṃ svalakṣaṇenaikajātīyatvāt / evaṃ	saMgRhItAH vilakzaNAH api anyonyam sva lakzaNena eka jAtIya tvAt / evam
   dhātubhiścāyatanaiścopabhogadhāraṇārthayuktā	DAtuBiH ca AyatanEH ca upaBoga DAraNa arTa yuktA
   āyadvārārthayuktāścakṣurādayaḥ saṃgṛhītā veditavyāḥ / avasthāsaṃgraheṇa	Aya dvAra arTa yuktAH cakzuH AdayaH saMgRhItAH veditavyAH / avasTA saMgraheNa
   skandhā ekajātīyā api sukhādyavasthāṃ niyamayya sukhāvasthāḥ	skanDAH eka jAtIyAH api suKa Adi avasTAm niyamayya suKa avasTAH
   sukhāvasthaireva saṃgṛhītā na duḥkhādyavasthaiḥ / evaṃ	suKa avasTEH eva saMgRhItAH na duHKa Adi avasTEH / evam
   duḥkhāvasthāduḥkhāsukhāvasthāśca tadavasthai[re]va saṃgṛhītāḥ / yathā	duHKa avasTA duHKa asuKa avasTAH ca tad avasTE[re]va saMgRhItAH / yaTA
   skandhā evaṃ dhātava āyatanāni ca / sahāyasaṃgraheṇa rūpaskandhaḥ saha	skanDAH evam DAtavaH AyatanAni ca / sahAya saMgraheNa rUpa skanDaH saha
   tadāśritairvedanādibhiḥ sahāyairgṛhyamāṇaḥ pañcabhiḥ skandhaiḥ saṃgṛhītaḥ	tad ASritEH vedana AdiBiH sahAyEH gRhyamANaH paQcaBiH skanDEH saMgRhItaH
   / evaṃ vedanādayāpi pratyekaṃ saparivārā gṛhyamāṇāḥ pañcabhiḥ skandhaiḥ	/ evam vedanA dayA api pratyekam sa parivArAH gRhyamANAH paQcaBiH skanDEH
   saṃgṛhītā bhavanti / tathā dhātava āyatanāni ca saparivārāṇi pratyekaṃ	saMgRhItAH Bavanti / taTA DAtavaH AyatanAni ca sa parivArANi pratyekam
   sarvardhātubhirāyataneśca saṃgṛhītāni veditavyāni / ekadeśasaṃgraheṇa	sarvarDAtuBiH AyataneH ca saMgRhItAni veditavyAni / eka deSa saMgraheNa
   śīlaskandho rūpaskandhaikadeśena saṃgṛhītaḥ / samādhiprajñāskandhau	SIla skanDaH rUpa skanDa eka deSena saMgRhItaH / samADi prajQA skanDO
   saṃskāraskandhaikadeśena / kāmavyāpādahiṃsādhātavo dharmadhātvekadeśena	saMskAra skanDa eka deSena / kAma vyApAt ahiMsA DAtavaH DarmaDAtu eka deSena
   saṃgṛhītāḥ / ākāśānantyāyatanādīni manodharmāyatanaikadeśena saṃgṛhītāni /	saMgRhItAH / AkASAnantya Ayatana AdIni manaH Darma Ayatana eka deSena saMgRhItAni /
   evaṃ kṛtvā yāvanto dharmāḥ skandhadhātvāyatanaiḥ saṃgṛhītāḥ sūtrāntareṣu	evam kRtvA yAvantaH DarmAH skanDa DAtu AyatanEH saMgRhItAH sUtra antarezu
   teṣāmanyatamasaṃgraha ekadeśasaṃgraho veditavyaḥ / sakalasaṃgraheṇa	tezAm anyatama saMgrahaH eka deSa saMgrahaH veditavyaH / sakala saMgraheNa
   duḥkhaskandhaḥ pañcabhirupādānaskandhaiḥ saṃgṛhītaḥ,	duHKa skanDaH paQcaBiH upAdAna skanDEH saMgRhItaH,
   kāmadhāturaṣṭādaśabhirdhātubhiḥ, asaṃjñi sattvāyatanaṃ	kAmaDAtuH azwAdaSaBiH DAtuBiH, asaMjQi sattva Ayatanam
   daśabhirāyatanaṃgandharasāyatanavarjaiḥ saṃgṛhītam / evaṃ kṛtvā yāvanto	daSaBiH AyatanaMganDa rasa Ayatana varjEH saMgRhItam / evam kRtvA yAvantaH 
   dharmāḥ skandhadhātvāyatanaṃḥ saṃgṛhītāḥ sūtrāntareṣu teṣāmaśeṣataḥ	DarmAH skanDa DAtu AyatananH saMgRhItAH sUtra antarezu tezAm aSezatas 
   saṃgrahaḥ sakalasaṃgraho veditavyaḥ / itaretarasaṃgraheṇa skandhāḥ	saMgrahaH sakala saMgrahaH veditavyaH / itaretara saMgraheNa skanDAH
   pratyekaṃ dhātubhirāyatanaiśca saṃgṛhītāḥ, yathāyogamevaṃ dhātavaḥ	pratyekam DAtuBiH AyatanEH ca saMgRhItAH, yaTAyogam evam DAtavaH
   skandhāyatanarāyatanāni skandhadhātubhiḥ saṃgṛhītāni [iti]	skanDa Ayata nara AyatanAni skanDa DAtuBiH saMgRhItAni [iti]
   vistareṇāvagantavyam //	vistareNa avagantavyam //
   (Abhidh s bh 47)	(a aBiD s B 47)
   saṃgrahalakṣaṇaṃ punarlokaprasiddhasaṃgrahānusāreṇa ṣaḍidvadhaṃ draṣṭavyam	saMgraha lakzaNam punar loka prasidDa saMgraha anusAreNa zaxit vaDam drazwavyam
   / tatpunaḥ katamat / padasthānasaṃgraho yathā jambūdvīpasaṃgṛhītā	/ tat punar katamat / pada sTAna saMgrahaH yaTA jambUdvIpa saMgRhItA
   manuṣyāḥ, araṇyasaṃgṛhītā mṛgā iti loke ucyate tathehāpi cakṣurādibhiḥ	manuzyAH, araNya saMgRhItAH mRgAH iti loke ucyate taTA iha api cakzuH AdiBiH
   cakṣurvijñānādīnāṃ saṃgraho veditavyaḥ / nibandhasaṃgraho yathā rajjvādinā	cakzuH vijQAna AdInAm saMgrahaH veditavyaH / nibanDa saMgrahaH yaTA rajju AdinA
   kāṣṭhabhārādikasya tathā kāyena cakṣurādonāmindriyāṇām / tulyārthasaṃgraho	kAzWa BAra Adikasya taTA kAyena cakzuH AdonAm indriyANAm / tulya arTa saMgrahaH 
   yathā samānasarvaprayojanānāṃ visrambhiṇāṃ manuṣyāṇāṃ parasparaṃ	yaTA samAna sarva prayojanAnAm visramBiNAm manuzyANAm parasparam
   tarthakālaṃbanapravṛttānāṃ saṃprayuktānāmānyonyam / upādānasaṃgraho yathā	tarTakAlaMbana pravRttAnAm saMprayuktAnAm Anyonyam / upAdAna saMgrahaH yaTA
   svāminā ātmīyataḥ parigrahītādīnā dāsādīnāṃ tathālayavijñānenātmabhāvasya	svAminA AtmIyataH parigrahIta AdInA dAsa AdInAm taTA Alaya vijQAnena Atma BAvasya
   / avisārasaṃgraho yathā ghaṭenodakasya tathā samādhinā tadanyeṣāṃ	/ avisAra saMgrahaH yaTA Gawena udakasya taTA samADinA tad anyezAm
   cittacaitasikānām / abhisaṃkṣepa[saṃ]graho yathā samudreṇa nadīnāṃ tathā	citta cEtasikAnAm / aBisaMkzepa[ saM]grahaH yaTA samudreNa nadInAm taTA
   rūpaskandhena cakṣurādonāmiti /	rUpa skanDena cakzuH Ada UnAm iti /
   tadatrābhisakṣapasaṃgrahamadhikṛtyakādaśavidhaḥ saṃgraho veditavyaḥ //	tad atra aBisakzapa saMgraham aDikRtya kAdaSaviDaH saMgrahaH veditavyaH //
   paramāṇudeśe sarveṣāṃ deśināmityekaparamāṇuparyāpannānāṃ	paramANu deSe sarvezAm deSinAm iti eka paramANu paryApannAnAm
   rūpādīnāmavinirbhāgaḥ samānadeśatvena veditavyaḥ / paramāṇorūrdhva	rUpa AdInAm avinirBAgaH samAna deSa tvena veditavyaH / paramANoH UrDva
   sarveṣāṃ deśināṃ miśrībhāvaḥ tadyathā kaluṣe pānīye appṛthivīparamāṇūnāṃ	sarvezAm deSinAm miSrIBAvaH tat yaTA kaluze pAnIye ap pRTivI paramANUnAm
   paramparam / deśināmeva samudāyināmanyonyaṃ samavadhānaṃ tadyathā bhittau	paramparam / deSinAm eva samudAyinAm anyonyam samavaDAnam tat yaTA BittO
   mṛtpiṇḍena mṛtpiṇḍāntarasya / sahabhāvasaṃ[pra]yoga ekātmabhāve kṣaṇikānāṃ	mRd piNxena mRd piNxa antarasya / sahaBAva saM[pra]yogaH eka Atma BAve kzaNikAnAm
   skandhādīnām / kṛtyānuṣṭhānasaṃprayoga ekasmin prayojane	skanDa AdInAm / kRtya anuzWAna saMprayogaH ekasmin prayojane
   prayuktānāmanyonyam / saṃpratipattisaṃprayogaḥ parabhāvena na svabhāvena	prayuktAnAm anyonyam / saMpratipatti saMprayogaH para BAvena na svaBAvena
   tadyathā cittaṃ cittāntareṇa na saṃprayujyate, vedanā	tat yaTA cittam citta antareNa na saMprayujyate, vedanA
   vedanāntareṇetyavamādi / na viruddhayostadyathā rāgadveṣayoḥ	vedanA antareNa ityavama Adi / na virudDayoH tat yaTA rAga dvezayoH
   kuśalākuśalayorvetyevamādi / na visadṛśakālayostadyathā	kuSala akuSalayoH vA iti evamAdi / na visadRSa kAlayoH tat yaTA
   vartamānānāgatayoratītavartamānayorvā / na	vartamAna anAgatayoH atIta vartamAnayoH vA / na
   visabhāgadhātubhūmikayostadyathā kāmāvacararūpāvacarayoḥ	visa BAga DAtu BUmikayoH tat yaTA kAma avacara rUpAvacarayoH
   prathamadvitīyadhyānabhūmikayorvetyevamādi / sarvatragaḥ	praTama dvitIya DyAna BUmikayoH vA iti evamAdi / sarvatragaH
   saṃpratipattisaṃprayoga vedanādīnāṃ ṣaṇṇāṃ sarvāsvavasthāsveṣāṃ	saMpratipatti saMprayoga vedanA AdInAm zaNNAm sarvAsu avasTAsvezAm
   vinānyonyamabhāvāt / ucitastadekatyānāṃ ca	vinA anyonyam aBAvAt / ucitaH tad ekatyAnAm ca
   śaikṣāśaikṣāṇāmityekāntalaukikānāṃ kuśalānāmakuśalāvyākṛtānāṃ ca	SEkzA SEkzANAm iti ekAnta lOkikAnAm kuSalAnAm akuSala avya akRtAnAm ca
   yathāsaṃbhavam / ādyataduttarāṇāmityapūrvajātīyatvena	yaTAsaMBavam / Adya tad uttarANAm iti apUrva jAtIya tvena
   prathamakṣaṇotpannānāṃ dvitīyādikṣaṇotpannānāṃ ca	praTama kzaNa utpannAnAm dvitIya Adi kzaNa utpannAnAm ca
   lokottarāṇāmanucitatvajñāpanārtham //	loka uttarANAm anucita tva jQApana arTam //
   (Abhidh s bh 48)	(a aBiD s B 48)
   samanvāgamo lakṣaṇataḥ pūrvavattadyathā kuśalādīnāṃ dharmāṇāmācayāpacaye	samanvAgamaH lakzaNataH pUrvavat tat yaTA kuSala AdInAm DarmANAm Acaya apacaye
   prāptiḥ pratilambhaḥ samanvāgama iti prajñaptiḥ / bījasamanvāgama iti	prAptiH pratilamBaH samanvAgamaH iti prajQaptiH / bIja samanvAgamaH iti
   kāmadhātau jātau bhūtastraidhātukaiḥ kleśopakleśaiḥ samanvāgata	kAmaDAtO jAtO BUtaH trEDAtukEH kleSa upakleSEH samanvAgata
   ityavītarāgaṃ pṛthagjanamadhikṛtyaitadvaiditavyam / vītarāgastu	iti avIta rAgam pRTagjanam aDikRtya etat vEditavyam / vIta rAgaH tu
   tatrordhvaṃ vā jāto yato bhūmervītarāgastadbhūmikairasamanvāgataḥ	tatra UrDvam vA jAtaH yatas BUmeH vIta rAgaH tad BUmikEH asamanvAgataH
   samanvāgataśca, pratipakṣeṇopahatatvādasamuddhātitatvāccānuśayato	samanvAgataH ca, pratipakzeNa upahata tvAt asamudDAtita tvAt ca anuSayataH 
   yathākramam / upapattiprātilambhikaṃśca kuśalariti yatra	yaTAkramam / upapatti prAtilamBikan= ca kuSalar iti yatra
   jātastadbhūmikaireva / traidhātukapratipakṣalābhīti lokottaramārgalābhī /	jAtaH tad BUmikEH eva / trEDAtuka pratipakza lABI iti loka uttara mArga lABI /
   yasya yasya prakārasya pratipakṣa utpanna iti	yasya yasya prakArasya pratipakzaH utpannaH iti
   bhāvanāprahātavyasyādhimātrādeḥ kleśasya / tasya tasya	BAvanA prahAta vyasya aDimAtra AdeH kleSasya / tasya tasya
   bījasamanvāgamenāsamanvāgato 'nuśayataḥ samuddhātitatvāt /	bIja samanvAgamena asamanvAgataH anuSayataH samudDAtita tvAt /
   vaśitāsamanvāgamaḥ prāyogikānāṃ kuśalānāmiti śrutamayādīnāṃ satyapi bīje	vaSitA samanvAgamaH prAyogikAnAm kuSalAnAm iti Sruta maya AdInAm sati api bIje
   tadabhyāsakṛtāṃ tajjanmikīṃ bījapuṣṭimantareṇa saṃmukhīkartumaśakyatvāt /	tad aByAsa kRtAm tad janmikIm bIja puzwim antareNa saMmuKIkartum aSakyatvAt /
   tadekatyānāṃ cāvyākṛtānāṃ śaṃlpasthānikanairmāṇikacittaprabhṛtīnām //	tad ekatyAnAm ca avyAkRtAnAm SaMlpa sTAnika nErmANika citta praBRtInAm //
   mokṣahetuvaikalyādātyantika eṣāṃ hetvasamanvāgama iti /	mokza hetu vEkalyAt AtyantikaH ezAm hetu asamanvAgamaH iti /
   mokṣaprāptihetvasamanvāgama ityarthaḥ / kaḥ punarmokṣaprāptihetuḥ /	mokza prApti hetu asamanvAgamaH iti arTaH / kaH punar mokza prApti hetuH /
   yasyaivaṃ tathatāyāṃ kleśadauṣṭhulyaṃ saṃniviṣṭaṃ bhavati tatsati	yasya evam taTatAyAm kleSa dOzWulyam saMnivizwam Bavati tad sati
   pratipakṣānukūlapratyayalābhe śakyate samuddhātayitum, sa bhavyatā rthena	pratipakza anukUla pratyaya lABe Sakyate samudDAtayitum, sa Bavya tA rTena
   heturityucyate / viparyayāddhetuvaikalyaṃ veditavyam //	hetuH iti ucyate / viparyayAt hetu vEkalyam veditavyam //
   (Abhidh s bh 49)	(a aBiD s B 49)
   II satyaviniścayo nāma dvitīyaḥ samuccayaḥ	II satya viniScayaH nAma dvitIyaH samuccayaH
   tatsattvajanmato janmādhiṣṭhānataśceti yaśca jāyate sattvalokaḥ, yatra ca	tad sattva janmataH janma aDizWAnataH ca iti yaH ca jAyate sattva lokaH, yatra ca
   jāyate bhājanaloke, tadubhayaṃ duḥkha mityuktaṃ bhavati / yaśca sattvaloko	jAyate BAjana loke, tat uBayam duHKa miti uktam Bavati / yaH ca sattva lokaH 
   yaśca bhājanalokaḥ karmakleśajanitaḥ karmakleśādhipateya ityābhyāṃ tayoḥ	yaH ca BAjana lokaH karma kleSa janitaH karma kleSa aDipateyaH iti AByAm tayoH
   sattvabhājanalokayorduḥkhatvakāraṇaṃ jñāpayati //	sattva BAjana lokayoH duHKa tva kAraNam jQApayati //
   api khalu jātirduḥkhamityevamādi pūrvaṃ samasya duḥkhasatyalakṣaṇaṃ	api Kalu jAtiH duHKam iti evamAdi pUrvam samasya duHKa satya lakzaNam
   vyutpādyādhunā duḥkhasatyamārabhya sūtroktasya nirdeśasyārtha	vyutpAdya aDunA duHKa satyam AraBya sUtra uktasya nirdeSasya arTa 
   vibhaktumārabhate //	viBaktum AraBate //
   jātirduḥkhaṃ saṃvādaduḥkhatāṃ tadanyadukhasvāśrayatāṃ copādāyeti mātuḥ	jAtiH duHKam saMvAda duHKa tAm tad anya duKa sva ASraya tAm ca upAdAya iti mAtuH
   kukṣāvāmapakvāśayayorantarāle āsīnasya niṣkrāmato vā	kukzO= Ama pakvASayayoH antarAle AsInasya nizkrAmataH vA
   kukṣervividhāśucidravyāsaṃpīḍāṅgasaṃmardaduḥkhānubhavanārthena, jātau	kukzeH viviDa aSuci dravya asaMpIxA aFga saMmarda duHKa anuBavana arTena, jAtO
   satyāṃ jarādiduḥkhābhyanuṣaṅgārthena ca yathākramam //	satyAm jarA Adi duHKa aByanuzaFga arTena ca yaTAkramam //
   ṣaṭ samānānyaṣṭau bhavanti vipariṇatidukhaṃ tridhā kṛtvā //	zaw samAnAni azwO Bavanti vipariNati duKam triDA kRtvA //
   jātyādibhirduḥkhaduḥkhatāparidīpanavacanaṃ	jAti AdiBiH duHKa duHKa tA paridIpana vacanam
   duḥkhavedanīyadharmasvalakṣaṇārthena / priyavināmāvādinā	duHKa vedanIya Darma sva lakzaNa arTena / priya vinAmAvAdinA
   vipariṇāmaduḥkhatāparidīpanavacanaṃ	vipariNAma duHKa tA paridIpana vacanam
   prāptāprāptasukhavedanīyadharmavipariṇatisvalakṣaṇārthena /	prApta aprApta suKa vedanIya Darma vipariNati sva lakzaNa arTena /
   pañcopādānaskandhā duḥkhamityanena (Abhidh s bh 50)	paQca upAdAna skanDAH duHKam iti anena (a aBiD s B 50)
   saṃskāraduḥkhatāparidīpanavacanaṃ dvayāvinirmokṣānityetā	saMskAra duHKa tA paridIpana vacanam dvaya avinirmokzAn iti etA
   nubandhayogakṣemārthena //	nubanDa yogakzema arTena //
   jātirdukhamityevamādi saṃvṛtisatyena dukham, laukikajñānaviṣayatvāt /	jAtiH duKam iti evamAdi saMvRti satyena duKam, lOkika jQAna vizaya tvAt /
   pañcopādānaskandhā duḥkhamiti paramārthasatyena dukham,	paQca upAdAna skanDAH duHKam iti parama arTa satyena duKam,
   saṃniveśatathatāmukhena lokottarajñānaviṣayatvāt //	saMniveSa taTatA muKena loka uttara jQAna vizaya tvAt //
   duḥkhasāmānyalakṣaṇe yairākārairyogine duḥkhasatyaṃ vyavacārayanti,	duHKa sAmAnya lakzaNe yEH AkArEH yogine duHKa satyam vyavacArayanti,
   tadyathānityato duḥkhataḥ śūnyato 'nātmataśca //	tat yaTA anityataH duHKataH SUnyataH anAtmataH ca //
   tatra dvādaśavidhena lakṣaṇenānityaṃ duḥkhasatyaṃ veditavyam / tatpuna	tatra dvAdaSaviDena lakzaNena anityam duHKa satyam veditavyam / tat puna
   rasallakṣaṇaṃ yathā nāsti sarvadā duḥkhasatyamā[tmā]tmoyasvabhāvamiti yo	rasat lakzaNam yaTA na asti sarvadA duHKa satyam A[tmA]tmoya svaBAvam iti yaH 
   'rthaḥ so 'rtho 'nityaṃ duḥkhasatyamiti / akārasya pratiṣedhārthatvāt	arTaH saH arTaH anityam duHKa satyam iti / akArasya pratizeDa arTa tvAt
   nityaśabdasya ca sarvakālārthatvāditi / vināśalakṣaṇaṃ saṃskārāṇāṃ	nitya Sabdasya ca sarva kAla arTa tvAt iti / vinASa lakzaNam saMskArANAm
   bhūtvābhāvaḥ / vipariṇatilakṣaṇaṃ prabandhāsādṛśyena pravṛttiḥ /	BUtvA aBAvaH / vipariNati lakzaNam prabanDA sAdRSyena pravRttiH /
   viyogalakṣaṇaṃ tadavastheṣveva vastuṣu svabhāvavaśitvabhraṃśaḥ	viyoga lakzaNam tad avasTezu eva vastuzu svaBAva vaSi tva BraMSaH
   kvacitparaiḥ svīkaraṇamapi veditavyam / saṃnihitalakṣaṇaṃ	kvacid parEH svIkaraNam api veditavyam / saMnihita lakzaNam
   yattadānīmevānubhūyamānānityatā / dharmatālakṣaṇaṃ yāmavaśyamanubhaviṣyati	yat tadAnIm eva anuBUyamAna anitya tA / DarmatA lakzaNam yAm a vaSyam anuBavizyati
   / kṣaṇalakṣaṇamātmalābhānantaramavaśyavināśitā /	/ kzaNa lakzaNam Atma lABa anantaram avaSya vinASi tA /
   prabandhalakṣaṇamanādimati saṃsāre ājavaṃjavībhāvena vṛttiḥ /	prabanDa lakzaNam anAdimati saMsAre AjavaMjavIBAvena vRttiH /
   vyādhijarāmaraṇalakṣaṇaṃ dhātuvaiṣamyaṃ khalityādikaṃ	vyADi jarA maraNa lakzaNam DAtu vEzamyam Kaliti Adikam
   sthitikālāvedhopayogaśca / cittacittākāravṛttilakṣaṇaṃ	sTiti kAla AveDa upayogaH ca / citta citta AkAra vRtti lakzaNam
