   abhidharmadīpaḥ	aBiDarma dIpaH
   pratipakṣapaṇasāvadyebhyaḥ madyapānādeva viratiḥ śikṣāpadaṃ vyavasthāpitam	pratipakza paNasA avadyeByaH madya pAnAt eva viratiH SikzA padam vyavasTApitam
   ? taducyate 	? tat ucyate 
   mithyācāraḥ satāṃ garhyātparatrākaraṇāptitaḥ /	miTyA AcAraH satAm garhyAt paratra akaraNa AptitaH /
   (Jaini_128)	(JEni_128)
   pāpiṣṭhatvānmṛṣāvādo madyapānaṃ smṛtikṣayātū // Abhidh d_164 //	pApizWa tvAt mRzA vAdaH madya pAnam smRti kzayAtU // ABiD t _164 //
   kāmamithyācāro hi loke 'tyarthaṃ garhitaḥ | pareṣāṃ	kAma miTyA AcAraH hi loke atyarTam garhitaH | parezAm
   dāropaghātādāpāyikatvācca | na tathābrahmacaryam | sukarā ca gṛhasthasya	dAra upaGAtAt ApAyika tvAt ca | na taTA brahmacaryam | sukarA ca gRhasTasya
   kāmamithyācāravi ratiḥ, duṣkarā tvabrahmacaryāt | āryaścākaraṇasaṃvaraṃ	kAma miTyA AcAravi ratiH, duzkarA tu abrahmacaryAt | AryaH ca akaraNa saMvaram
   kāmamithyācārādeva janmāntarito 'pi labhate na tvabrahmacaryāt |	kAma miTyA AcArAt eva janma antaritaH api laBate na tu abrahmacaryAt |
   mṛṣāvādo 'pi bhagavatā pāpiṣṭhatvādrāhulamuddiṣya paramenādareṇoktaḥ 	mRzAvAdaH api BagavatA pApizWa tvAt rAhulam uddizya paramena AdareNa uktaH 
   "yasya rāhula mṛṣāvāde nāsti lajjā nāsti kaukṛtyaṃ nāhaṃ tasya	"yasya rAhula mRzAvAde na asti lajjA na asti kOkRtyam na aham tasya
   kiñcidakaraṇīyaṃ vadāmi" iti |	kiQcid akaraNIyam vadAmi" iti |
   madyapāne 'pi smṛtilopo bhavati, sarvaśikṣāpadakṣobho bhavatītyataḥ	madya pAne api smRti lopaH Bavati, sarva SikzA pada kzoBaH Bavati iti atas 
   pratikṣepaṇasāvadyamapi sanmadyapānaṃ kuśāgreṇāpi bhagavatā nābhyanujñātam	pratikzepaNasa avadyam api sat madya pAnam kuSa agreNa api BagavatA na aByanujQAtam
   idamidānīmucyatām | ya ete trayaḥ prātimokṣadhyānānāsravasaṃvarāḥ kimeṣāṃ	idam idAnIm ucyatAm | ye ete trayaH prAtimokza DyAnAn Asrava saMvarAH kim ezAm
   yata eko labhyate tataḥ śeṣā apīti ? brūmaḥ 	yatas ekaH laByate tatas SezAH api iti ? brUmaH 
   sarvebhyo vartamānebhyo dvividhebhyo 'pi kāmajaḥ /	sarveByaH vartamAneByaH dviviDeByaH api kAma jaH /
   (Jaini_129)	(JEni_129)
   prātimokṣasaṃvaraḥ khalu sarvebhyo maulaprayogapṛṣṭhebhyo vartamānebhyaḥ	prAtimokza saMvaraH Kalu sarveByaH mOla prayoga pRzWeByaH vartamAneByaH
   skandhāyatanadhātubhyaḥ sattvādhiṣṭhānapravattatvāt,	skanDa Ayatana DAtuByaH sattva aDizWAna pravatta tvAt,
   nātītānāgatebhyasteṣāmasattvasaṃkhyātatvāllabhyate | 'dvividhebhyo 'pi';	na atIta anAgateByaH tezAm asattva saMKyAta tvAt laByate | adviviDeByaH api a;
   sattvāsattvākhyebhyaḥ, prakṛtipratikṣepaṇasāvadyebhyaśca |	sattva asattva AKyeByaH, prakRti pratikzepaNasAvadyeByaH ca |
   trikālebhyastu maulebhyo labhyete bhāvanāmayau // Abhidh d_165 //	tri kAleByaH tu mOleByaH laByete BAvanA mayO // ABiD t _165 //
   etau hi maulebhya eva karmapathebhyo labhyete na prayogapṛṣṭhebhyo nāpi	etO hi mOleByaH eva karma paTeByaH laByete na prayoga pRzWeByaH na api
   prajñaptisāvadyebhyaḥ, sarvakālebhyaśca skandhāyatanadhātubhyo labhyete	prajQapti sAvadyeByaH, sarva kAleByaH ca skanDa Ayatana DAtuByaH laByete
   'tītānāgatebhyo 'pi |	atIta anAgateByaH api |
   catuṣkoṭikā cātra bhavati | "santi te skandhāyatanadhātavo yebhyaḥ	catuzkowikA ca atra Bavati | "santi te skanDa Ayatana DAtavaH yeByaH
   prātimokṣasaṃvaro labhyate na dhyānānāsravasaṃvarau" iti vistaraḥ |	prAtimokza saMvaraH laByate na DyAnAn Asrava saMvarO" iti vistaraH |
   prathamā koṭiḥ  pratyutpannebhyaḥ sāmantakapṛṣṭhebhyaḥ	praTamA kowiH pratyutpanneByaH sAmantaka pRzWeByaH
   pratikṣepaṇasāvadyācca | dvitīyāatītānāgatebhyo maulebhyaḥ karmapathebhyaḥ	pratikzepaNasAvadyAt ca | dvitIyA atIta anAgateByaH mOleByaH karma paTeByaH
   | tṛtīyā  pratyutpannebhyaḥ maulebhyaḥ karmapathebhyaḥ | caturthī 	| tRtIyA pratyutpanneByaH mOleByaH karma paTeByaH | caturTI 
   atītānāgatebhyaḥ sāmantakapṛṣṭhebhya iti ||	atIta anAgateByaH sAmantaka pRzWeByaH iti ||
   kiṃ punarimau saṃvarāsaṃvarau sarvasattvebhya eva labhyete ? sarvāṅgebhyaḥ	kim punar imO saMvarA saMvarO sarva sattveByaH eva laByete ? sarva aFgeByaH
   sarvakāraṇaiśca ? athāsti kaścidbhedaḥ ? tatra tāvadavaśyaṃ labhyate 	sarva kAraNEH ca ? aTa asti kaScid BedaH ? tatra tAvat avaSyam laByate 
   sarvebhyaḥ sattvajātibhyaḥ saṃvaro vāṅgakāraṇaiḥ /	sarveByaH sattva jAtiByaH saMvaraH vA aFga kAraNEH /
   sarvebhyo saṃvarāṅgebhyaḥ sattvebhyaśca na kāraṇaiḥ // Abhidh d_166 //	sarveByaH saMvara aFgeByaH sattveByaH ca na kAraNEH // ABiD t _166 //
   sarvasattvebhyaḥ khalu saṃvaro labhyate na kebhyaścit | aṅgebhyastu	sarva sattveByaH Kalu saMvaraH laByate na keByaScit | aFgeByaH tu
   vibhāṣā kaścitsarvebhyo labhyate bhikṣusaṃvaraḥ | kaściccaturbhyaḥ | tato	viBAzA kaScid sarveByaH laByate Bikzu saMvaraH | kaScid caturByaH | tatas 
   'nyaḥ | karmapathā hi saṃvarābhyāṅgāni | kāraṇairapi kenacitparyāyeṇa	anyaH | karma paTAH hi saMvarABya aFgAni | kAraNEH api kenacid paryAyeNa
   sarvaiḥ, kenacidekena |	sarvEH, kenacid ekena |
   (Jaini_130)	(JEni_130)
   kathaṃ tāvatsarvairyadyalobhādveṣāmohāḥ kāraṇānīṣyante ? kathamekena yadi	kaTam tAvat sarvEH yadi aloBAt vezA mohAH kAraNAn Izyante ? kaTam ekena yadi
   mṛdumadhyādhimātrāṇi cittāni kāraṇānīṣyante ? paścimena paryāyeṇa	mRdu maDya aDimAtrANi cittAni kAraNAn Izyante ? paScimena paryAyeNa
   niyamocyate | asti saṃvarasthāyo sarvasattveṣu saṃvṛto na sarvāṅgairna	niyama ucyate | asti saMvara sTAyo sarva sattvezu saMvRtaH na sarva aFgEH na
   sarvakāraṇairyo mṛdunā cittena madhyenādhimātreṇa vā	sarva kAraNEH yaH mRdunA cittena maDyena aDimAtreNa vA
   upāsakopavāsaśrāmaṇerasaṃvaraṃ samādatte | asti sarvasattveṣu saṃvṛtaḥ	upAsaka upavAsa SrAmaNeH asaMvaram samAdatte | asti sarva sattvezu saMvRtaH
   sarvāṅgaiśca, na tu sarvakāraṇairyo mṛdunā cittena madhyenādhimātreṇa vā	sarva aFgEH ca, na tu sarva kAraNEH yaH mRdunA cittena maDyena aDimAtreNa vA
   bhikṣusaṃvaraṃ samādatte | asti sarvasattveṣu sarvāṅgaiḥ sarvakāraṇaiśca	Bikzu saMvaram samAdatte | asti sarva sattvezu sarva aFgEH sarva kAraNEH ca
   yastrividhena cittena trīnsaṃvarān samādatte | asti sarvasattveṣu	yaH triviDena cittena trIn saMvarAn samAdatte | asti sarva sattvezu
   sarvakāraṇaiśca na tu sarvāṅgairya	sarva kAraNEH ca na tu sarva aFgEH ya
   upāsakopavāsaśrāmaṇerasavarānmṛdumadhyādhimātraiścittaiḥ samādatte | yastu	upAsaka upavAsa SrAmaNeH asa varAt mRdu maDya aDimAtrEH cittEH samAdatte | yaH tu
   na sarvasattveṣu syādīdṛśo nāsti yasmātsarvasattvānugatakalyāṇāśaye	na sarva sattvezu syAt IdRSaH na asti yasmAt sarva sattva anugata kalyANa ASaye
   sthitaḥ saṃvaraṃ pratilabhate nānyathā, pāpāśayasyānuparatatvāt |	sTitaH saMvaram pratilaBate na anyaTA, pApa ASayasya anuparata tvAt |
   pañcaniyamān kurvan prātimokṣasaṃvaraṃ labhate |	paQca niyamAn kurvan prAtimokza saMvaram laBate |
   sattvāṅgadeśakālasamayamiyamāḥ  amuṣmātsattvādviramāmīti sattvaniyamaḥ |	sattva aFga deSa kAla samayam iyamAH amuzmAt sattvAt viramAmi iti sattva niyamaH |
   amuṣmādaṅgādityaṅganiyamaḥ | amuṣmindeśa iti deśaniyamaḥ | māsādyāvaditi	amuzmAt aFgAt iti aFga niyamaH | amuzmin deSaH iti deSa niyamaH | mAsAt yAvat iti
   kālaniyamaḥ | anyatra yuddhāditi samayaniyamaḥ | sucaritamātraṃ tu	kAla niyamaH | anyatra yudDAt iti samaya niyamaH | su carita mAtram tu
   tatsyādevaṃ gṛhṇato na saṃvaraḥ |	tat syAt evam gRhNataH na saMvaraH |
   kathamaśakyebhyaḥ saṃvaralābhaḥ ?	kaTam aSakyeByaH saMvara lABaH ?
   sarvasattvajīvitānupaghātādhyāśayenābhyupagamāt | uktaṃ yathā saṃvaro	sarva sattva jIvita anupaGAta aDyASayena aByupagamAt | uktam yaTA saMvaraH 
   labhyate ||	laByate ||
   asaṃvaro 'pi sarvasattvebhyaḥ sarvakarmapathebhyaśca na tu sarvakāraṇaiḥ,	asaMvaraH api sarva sattveByaH sarva karma paTeByaH ca na tu sarva kAraNEH,
   yugapanmṛdvādicittābhāvāt |	yugapad mRdu Adi citta aBAvAt |
   ke punarasāṃvarikāḥ ? aurabhrikāḥ kaukkuṭikāḥ saukarikāḥ śākuntikā	ke punar asAMvarikAH ? OraBrikAH kOkkuwikAH sOkarikAH SAkuntikA
   (Jaini_131) mātsikā mṛgalubdhakāścaurāḥ vadhyaghātakā bandhanapālakā	(JEni_131) mAtsikAH mRga lubDakAH cOrAH vaDya GAtakA banDanapAlakA
   nāgabandhāśvapākā vāgurikāśca | rājāno daṇḍanetāro vyāvahārikāśca	nAgabanDa aSva pAkAH vAgurikAH ca | rAjAnaH daNxa netAraH vyAvahArikAH ca
   nīticalitā asāvarikāḥ | asaṃvare bhavāḥ, asaṃvaro vā eṣāṃ vidyata	nIti calitAH asAvarikAH | asaMvare BavAH, asaMvaraH vE ezAm vidyata
   ityasāṃvarikāḥ ||	iti asAMvarikAH ||
   uktamidaṃ yebhyaḥ asaṃvaro labhyate | kathaṃ tu tallābha iti noktaṃ tadā	uktam idam yeByaH asaMvaraH laByate | kaTam tu tad lABaH iti na uktam tadA
   rabhyate 	raByate 
   kriyayāsaṃvarapraptiḥ sa hābhyupagamena vā /	kriyayA saMvara praptiH sa ha aByupagamena vA /
   avijñaptirato 'nyasyāḥ kṣetrāṅgādiviśeṣataḥ // Abhidh d_167 //	avijQaptiH atas anyasyAH kzetra aFga Adi viSezataH // ABiD t _167 //
   dvābhyāṃ kāraṇābhyāmasaṃvaro labhyate | kriyayābhyupagamena vā | kriyayā	dvAByAm kAraNAByAm asaMvaraH laByate | kriyayA aByupagamena vA | kriyayA
   tatkulīnatatkarmābhyupagamāt | atatkulīnairvayamapyanayā jīvikayā	tad kulIna tad karma aByupagamAt | atad kulInEH vayam api anayA jIvikayA
   jīviṣyāma iti | śeṣāvijñaptilābhastu kṣetrāṅgaviśeṣāditi | kṣetraṃ vā	jIvizyAmaH iti | Seza avijQapti lABaH tu kzetra aFga viSezAt iti | kzetram vA
   tadrūpaṃ bhavati yathārāmādipranānamātreṇāvijñaptirutpadyate |	tad rUpam Bavati yaTA ArAma Adi pranAna mAtreNa avijQaptiH utpadyate |
   yathaupadhikeṣu puṇyakriyāvastuṣu | ādareṇa vā samādatte |	yaTA OpaDikezu puNya kriyA vastuzu | AdareNa vA samAdatte |
   buddhamavanditvā na bhokṣya iti | māsārdhamāsabhaktāni vā nityaṃ	budDam avanditvA na Bokzye iti | mAsa arDa mAsa BaktAni vA nityam
   kariṣyāmītyevamādi | ādareṇa vā tadrūpeṇa kriyāmīhate kuśalāmakuśalāṃ vā	karizyAmi iti evamAdi | AdareNa vA tad rUpeNa kriyAm Ihate kuSalAma kuSalAm vA
   yato 'syā vijñaptirutpadyate |	yatas asyAH vijQaptiH utpadyate |
   uktametadyathā saṃvarāsaṃvarāṇāṃ pratilambhaḥ ||	uktam etat yaTA saMvarA saMvarANAm pratilamBaH ||
   tyāga idānīṃ vaktavyaḥ | tatra tāvat 	tyAgaH idAnIm vaktavyaH | tatra tAvat  
   kāmāptasaṃvaratyāgaḥ śikṣānikṣepaṇādibhiḥ /	kAma Apta saMvara tyAgaH SikzA nikzepaNa AdiBiH /
   patanīyarapītyeke tannetyanye tvayogataḥ // Abhidh d_168 //	patanIya rapI iti eke tat na iti anye tu ayogataH // ABiD t _168 //
   (Jaini_132)	(JEni_132)
   kāmāptasyāṣṭaprakārasaṃvarasya pañcabhiḥ kāraṇaistyāgaḥ |	kAma Aptasya azwa prakAra saMvarasya paQcaBiH kAraNEH tyAgaH |
   śikṣānikṣepaṇanikāyasabhāgatyāgobhayavyañjanotpādakuśalasamucchedebhyo	SikzA nikzepaNa nikAya sa BAga tyAga uBaya vyaQjana utpAda kuSala samucCedeByaH 
   niśātyayenāṣṭamasya | tānyetānyabhisamasya pañca bhavanti |	niSA atyayena azwamasya | tAni etAni aBisamasya paQca Bavanti |
   kiṃ punaḥ kāraṇamebhistyāgo bhavati ?	kim punar kAraNam eBiH tyAgaH Bavati ?
   samādānaviruddhavijñaptyutpādādāśrayatyāgādāśrayakopanānnidānacchedāttāvadevākṣepācca	samAdAna virudDa vijQapti utpAdAt ASraya tyAgAt ASraya kopanAt nidAna= CedAt tAvat eva AkzepAt ca
   anye punarāhuḥ  caturṇāṃ patanīyānāmanyatamena	anye punar AhuH caturNAm patanIyAnAm anyatamena
   bhikṣuśrāmaṇerasaṃvaratyāgaḥ |" 'tanna'; iti, 'ayogataḥ'; |	Bikzu SrAmaNeH asaMvara tyAgaH |" atanna a; iti, aayogataH a; |
   kaḥ punarayogaḥ ?	kaH punar ayogaH ?
   ayogo nāṃśuvidhvaṃsātpaṭadravyaṃ vinaśyati /	ayogaH na aMSu viDvaMsAt pawa dravyam vinaSyati /
   na hyavayavanāśādavayavivināśo bhavati | avayavirūpaśca prātimokṣasaṃvaraḥ	na hi avayava nASAt avaya vi vinASaH Bavati | avayavi rUpaH ca prAtimokza saMvaraH
   | tasyāvayavakṣobhācchidratvaṃ bhavati mālinyaṃ ca | yathoktaṃ bhagavatā 	| tasya avayava kzoBAt Cidra tvam Bavati mAlinyam ca | yaToktam BagavatA 
   "duḥśīlo bhavati pāpadharmā |"	"duH SIlaH Bavati pApa DarmAH |"
   (Jaini_133)	(JEni_133)
   sūtravirodhādayuktamiti cedatropadiśanti 	sUtra viroDAt ayuktam iti ced atra upadiSanti 
   sūtre dhvaṃsoktiranyārthā yatherṣyāśaṭhanādiṣu // Abhidh d_169 //	sUtre DvaMsa uktiH anya arTAH yaTA IrzyA SaWana Adizu // ABiD t _169 //
   bhagavatātra "abhikṣurbhavati" iti śāsanasthityarthaṃ	BagavatA atra "aBikzuH Bavati" iti SAsana sTiti arTam
   durvṛttavineyāvasādanārthaṃ coktam | yathā  "īrṣyiko bhavati matsarī śaṭho	durvRtta vineya avasAdana arTam ca uktam | yaTA "IrzyikaH Bavati matsarI SaWaH 
   māyāvī mithyādṛṣṭirityevamādidoṣayuktaḥ kaśambakajātīyaḥ	mAyAvI miTyA dRzwiH iti evamAdi doza yuktaH kaSambaka jAtIyaH
   pāpabhikṣurnirvāsayitavyaḥ |" na ca cittāvidūṣaṇādabhikṣutvaṃ bhavati	pApa BikzuH nirvAsayitavyaH |" na ca citta avidUzaNAt aBikzu tvam Bavati
   vineyaśāsanārthatattvavidbhirityuktam | tadvadatrāpi draṣṭavyamiti |	vineya SAsana arTa tattva vidBiH iti uktam | tadvat atra api drazwavyam iti |
   tasmātpūrvoktalakṣaṇa eva bhikṣurna yathāha kośakāraḥ |	tasmAt pUrva ukta lakzaNaH eva BikzuH na yaTA Aha koSakAraH |
   (Jaini_134)	(JEni_134)
   saddharmāntarddhito 'nye 'nye nāpūrvāpratilambhataḥ /	sadDarma antardhitaH anye anye na apUrvA pratilamBataH /
   anye punarbrūvate  saddharmāntardhāne 'pi saṃvaratyāgo bhavati | tattu	anye punar brUvate sat Darma antarDAne api saMvara tyAgaH Bavati | tat tu
   naivam | yasmādapūrvastadā notpadyate | utpannastu yathoktai reva	na evam | yasmAt apUrvaH tadA na utpadyate | utpannaH tu yaTA uktEH reva
   kāraṇairvinaśyati ||	kAraNEH vinaSyati ||
   atha dhyānānāsravasaṃvarayostyāgaḥ katham ? tadidamapadiśyate 	aTa DyAnAn Asrava saMvarayoH tyAgaH kaTam ? tat idam apadiSyate 
   bhūsaṃcāreṇa hānyā ca tyajyate dhyānajaṃ śubham // Abhidh d_170 //	BU saMcAreNa hA anyA ca tyajyate DyAna jam SuBam // ABiD t _170 //
   sarvameva khalu dhyānāptaṃ kuśalaṃ dvyābhyāṃ kāraṇābhyāṃ tyajyate |	sarvam eva Kalu DyAna Aptam kuSalam dvyAByAm kAraNAByAm tyajyate |
   upapattitto vā bhūmisaṃcārādardhvaṃ vādho vā | parihāṇito vā |	upapattittaH vA BUmi saMcArAt arDvam vA aDas vA | parihANitaH vA |
   samāpatternikāyasabhāgatyāgācceti ||	samApatteH nikAya sa BAga tyAgAt ca iti ||
   tathārūpyāptamāryantu phalāptyakṣavihānibhiḥ /	taTArUpya AptamAryantu Pala apti akza vihAniBiH /
   yathaiva rūpāptaṃ kuśalaṃ bhūmisaṃcārahānibhyāṃ tyajyate tathaivārūpyāptam	yaTA eva rUpa Aptam kuSalam BUmi saMcAra hAniByAm tyajyate taTA eva ArUpya Aptam
   | āryaṃ tu kuśalaṃ tribhiḥ kāraṇastyajyate | phalaprāptitaḥ pūrvako	| Aryam tu kuSalam triBiH kAraNaH tyajyate | Pala prAptitaH pUrva kaH 
   mārgastyajyate | (Jaini_135) akṣottāpanena mṛdvindriyamārgaḥ | parihāṇita	mArgaH tyajyate | (JEni_135) akza uttApanena mRdu indriya mArgaH | parihANita
   uttaro mārgaḥ | phalaṃ phalaviśiṣṭo vā | evaṃ tāvatsaṃvarastyajyate |	uttaraH mArgaH | Palam Pala viSizwaH vA | evam tAvat saMvaraH tyajyate |
   asaṃvaro damaprāptirjīvitotsarjanā dibhiḥ // Abhidh d_171 //	asaMvaraH dama prAptiH jIvita utsarjanA diBiH // ABiD t _171 //
   tribhiḥ kāraṇairasaṃvaracchedaḥ | saṃvaraprāptitaḥ | yadi saṃvaraṃ	triBiH kAraNEH asaMvara= CedaH | saMvara prAptitaH | yadi saMvaram
   samāpadyate dhyānasaṃvaraṃ vā pratilabhate	samApadyate DyAna saMvaram vA pratilaBate
   hetupratyayabalenasamādhilābhāttenāsaṃvarastyājyate |	hetu pratyaya balena samADi lABAt tena asaMvaraH tyAjyate |
   pratidvandvabalīyastvāt | maraṇena cāśrayatyāgāt | dvivyañjanotpādena	pratidvandva balIyaH tvAt | maraNena ca ASraya tyAgAt | dvi vyan jana utpAdena
   cāśrayavikopanāt | śastrajalatyāge 'pyakaraṇāśayataḥ	ca ASraya vikopanAt | Sastra jala tyAge api akaraNa ASayataH
   saṃvaramantareṇāsaṃvaracchedo nāsti | nidānaparivarjanena	saMvaram antareNa asaMvara= CedaH na asti | nidAna parivarjanena
   pravṛddharogānivṛttivat ||	pravRdDa rogAnivRtti vat ||
   atha saṃvarāsaṃvaravinirmuktā kathamavijñaptistyajyate ? taducyate 	aTa saMvarA saMvara vinirmuktA kaTam avijQaptiH tyajyate ? tat ucyate 
   cittavegādivicchedairavijñaptistu madhyamā /	citta vega Adi vicCedEH avijQaptiH tu maDyamA /
   yena khalvasau prasādakleśavegenāvijñaptirākṣiptā tasya vicchedātsāpi	yena Kalu asO prasAda kleSa vegena avijQaptiH AkziptA tasya vicCedAt sA api
   vicchidyate, kumbhakāracakragativat | samādānatyāgādapi vicchidyate |	vicCidyate, kumBakAra cakra gati vat | samAdAna tyAgAt api vicCidyate |
   kriyāvicchedādapi vicchidyate | caityavihārakṣetrāderapyarthasya	kriyA vicCedAt api vicCidyate | cEtya vihAra kzetra AdeH api arTasya
   vicchedādvicchidyate | āyuṣo 'pi kuśalamūlānāmapi vicchedādvicchidyate |	vicCedAt vicCidyate | AyuzaH api kuSala mUlAnAm api vicCedAt vicCidyate |
   kāmāptaṃ kuśalaṃ nāma tribhirmūlacchidādibhiḥ // Abhidh d_172 //	kAma Aptam kuSalam nAma triBiH mUla= Cid AdiBiH // ABiD t _172 //
   kāmāvacaraṃ punaḥ kuśalamarūpasvabhāvaṃ dvābhyāṃ kāraṇābhyāṃ tyajyate |	kAma avacaram punar kuSalam arUpa svaBAvam dvAByAm kAraNAByAm tyajyate |
   kuśalamūlasamucchedāt, rūpārūpyadhātūpapattitaśca |	kuSala mUla samucCedAt, rUpArUpya DAtu upapattitaH ca |
   pratipakṣodayātkliṣṭaṃ tridhātvāptaṃ vihīyate /	pratipakza udayAt klizwam triDAtu Aptam vihIyate /
   (Jaini_136)	(JEni_136)
   kliṣṭaṃ tvarūpasvabhāvaṃ sarvameva pratipakṣodayādvihīyate |	klizwam tu arUpa svaBAvam sarvam eva pratipakza udayAt vihIyate |
   yasyopakleśaprakārasya yaḥ prahāṇamārgaḥ, tenāsau saparivāraḥ parityajyate	yasya upakleSa prakArasya yaH prahANa mArgaH, tena asO sa parivAraH parityajyate
   | nānyathā ||	| na anyaTA ||
   atha keṣāṃ sattvānāmasaṃvaro bhavati keṣāṃ saṃvaraḥ ? tadapadiśyate 	aTa kezAm sattvAnAm asaMvaraH Bavati kezAm saMvaraH ? tad apadiSyate 
   sarve kāmeṣu rūpe dvāveko 'rūpiṣu lābhataḥ // Abhidh d_173 //	sarve kAmezu rUpe dvO= ekaH arUpizu lABataH // ABiD t _173 //
   kāmeṣu khalu sarvaśaṇḍhapaṇḍakādīni hitvā kurūṃśca hitvā | devānāmapi	kAmezu Kalu sarva SaNXa paNxaka AdIni hitvA kurUn= ca hitvA | devAnAm api
   saṃvaraḥ | ityato gatidvaye saṃvarāsaṃvarau vidyete | nānyatreti ||	saMvaraH | iti atas gati dvaye saMvarA saMvarO vidyete | na anyatra iti ||
   karmādhikārādidānīṃ sū troktoddiṣṭānāṃ karmaṇāṃ nirdeśaṃ kariṣyāmaḥ |	karma aDikArAt idAnIm sU tra ukta uddizwAnAm karmaNAm nirdeSam karizyAmaH |
   uktaṃ hi sūtre  "trīṇi karmāṇi kuśalamakuśalamavyākṛtaṃ ca |" teṣāṃ	uktam hi sUtre "trINi karmANi kuSalam akuSalam avyAkRtam ca |" tezAm
   lakṣaṇamidamucyate 	lakzaNam idam ucyate 
   yadiṣṭaphaladaṃ karma kuśalaṃ tadudāhṛtam /	yat izwa Pala dam karma kuSalam tat udAhRtam /
   viparyayeṇākuśalamavyākṛtamato 'nyathā // Abhidh d_174 //	viparyayeNa akuSalam avyAkRtam atas anyaTA // ABiD t _174 //
   yatkhalviṣṭavipākaṃ nirvāṇaprāpakaṃ ca duḥkhaparitrāṇāt, tatkālamatyantaṃ	yat Kalvizwa vipAkam nirvANa prApakam ca duHKa paritrANa at, tad kAlam atyantam
   vā, tatkuśalam | niruktirapīyam |	vA, tat kuSalam | niruktiH api iyam |
   niravadyadevamanuṣyastrīrūpanirvartanācchikṣitacitrakararūpanirvartanavat	niravadya deva manuzya strI rUpa nirvartanAt Sikzita citrakara rUpa nirvartana vat
   | kuśalamiva kuśalamaupamiko 'yaṃ śabdaniveśaḥ | tadyathā śikṣitaḥ puruṣaḥ	| kuSalam iva kuSalam OpamikaH ayam Sabda niveSaH | tat yaTA SikzitaH puruzaH
   kuśānakṣatahasto lunāti sa kuśala iti nirucyate, tadvadanyāmapi	kuSAnakzata hastaH lunAti sa kuSalaH iti nirucyate, tadvat anyAm api
   kriyāmavikṛtāṃ saṃpādayan kuśala (Jaini_137) ityucyate |	kriyAm avikRtAm saMpAdayan kuSala (JEni_137) iti ucyate |
   'viparyayeṇākuśalam'; uṣṭrolūkādivat | 'avyākṛtamato 'nyathā';	aviparyayeNa akuSalam a; uzwra ulUka Adi vat | aavyAkRtam atas anyaTA a;
   ubhayavipākānirvartanāt ||	uBaya vipAkA nirvartanAt ||
   anyānyapi trīṇi karmāṇyuktāni | puṇyamapuṇyamānejyaṃ ca | tatra tāvat	anyAni api trINi karmANi uktAni | puNyam apuNyam Ana ijyam ca | tatra tAvat 
   kāmāptaṃ prathamaṃ puṇyamapuṇyamaśubhātmakam /	kAma Aptam praTamam puNyam apuNyam aSuBa Atmakam /
   ūrdhvabhūmikamānejyaṃ vipākaṃ pratyanejanāt // Abhidh d_175 //	UrDva BUmikamAnA ijyam vipAkam pratyanejanAt // ABiD t _175 //
   kāmāvacaraṃ hi kuśalaṃ karma puṇyamakuśalamapuṇyamityucyate |	kAma avacaram hi kuSalam karma puNyam akuSalam apuNyam iti ucyate |
   ūrdhvabhūmikamānejyam |'; tadūrdhvaṃ dhātudvaye śubhaṃ	UrDva BUmikamAnA ijyam | a; tad UrDvam DAtu dvaye SuBam
   karmānejyamityucyate | kasmātpunaretadānejyamityuktam ? 'vipākaṃ	karma AnA ijyam iti ucyate | kasmAt punar etat Anejyam iti uktam ? avipAkam
   pratyanejanāt |'; kāmāvacaraṃ hi karma vipākaṃ (Jaini_138) prati kampate	pratyanejanAt | a; kAma avacaram hi karma vipAkam (JEni_138) prati kampate
   lavaṇopamasūtraṇyāyena | katham ? avyavasthānāt | anyagatikamapi	lavaNa upama sUtraNyAyena | kaTam ? avyavasTAnAt | anya gatikam api
   hyanyasyāṃ gatau vipacyate | tadanyadevanaikāyikaṃ cānyatra devanikāye |	hi anyasyAm gatO vipacyate | tad anya t eva nEkAyikam ca anyatra deva nikAye |
   yadeva hi pramāṇabalavarṇasukhabhogādisaṃvartanīyaṃ karma deveṣu vipacyeta	yat eva hi pramANa bala varNa suKa Boga Adi saMvartanIyam karma devezu vipacyeta
   tadeva kadācidanyapratyayavaśānmanuṣyatiryakpreteṣu vipacyate |	tat eva kadAcid anya pratyaya vaSAt manuzya tiryak pretezu vipacyate |
   karmajāticodaneyaṃ bhagavato vivakṣitā na dravyacodaneti |	karma jAti codanA iyam BagavataH vivakzitA na dravya codanA iti |
   atrāha | nanu ca trīṇi dhyānāni señjitānyuktāni bhagavatā  "yadatra	atra Aha | nanu ca trINi DyAnAni sa iQjitAni uktAni BagavatA "yat atra
   vitarkitaṃ vicāritamidamatrāryā iñjitamityāhuḥ" ityevamādi ?	vitarkitam vicAritam idam atra AryAH iQjitam iti AhuH" iti evamAdi ?
   samādhyapakṣālāṃsteṣāṃ sandhāyaivamuktam | ānejyānyapi tu	samADi apakzAlAn= tezAm sanDAya evam uktam | AnejyAni api tu
   tānyuktānyānejyasūtre, ānejyasaṃpreyagāminīṃ pratipadamārabhya ||	tAni uktAn yAnejya sUtre, Anejya saMpreya gAminIm pratipadam AraBya ||
   (Jaini_139)	(JEni_139)
   punaranyāni trīṇi karmāṇyuktāni  "sukhavedanīyaṃ duḥkhavedanīyaṃ,	punar anyAni trINi karmANi uktAni "suKa vedanIyam duHKa vedanIyaM,
