   Śaṃkara: Upadeśasāhasrī	ŚaMkara: Upa-deSa-sAhasrI
   vyaktiḥ syād aprakāśasya prakāśātmasamāgamāt /	vyaktiH syAt aprakASasya prakASa-Atma-samAgamAt /
   prakāśas tv arkakāryaḥ syād iti mithya vaco hy ataḥ // SamUpad_I,15.43 //	prakASaH tu arka-kAryaH syAt iti miTya vacaH hi atas // SamUpat-_I,15.43 //
   yato 'bhūtvā bhaved yac ca tasya tat kāryam iṣyate /	yatas aBUtvA Bavet yat ca tasya tat kAryam izyate /
   svarūpatvād abhūtvā na prakāśo jāyate raveḥ // SamUpad_I,15.44 //	sva-rUpa-tvAt aBUtvA na prakASaH jAyate raveH // SamUpat-_I,15.44 //
   sattāmātre prakāśasya kartādityādir iṣyate /	sattA-mAtre prakASasya kartAt-ityAdiH izyate /
   ghaṭādivyaktito yadvat tadvad bodhātmanīṣyatām // SamUpad_I,15.45 //	Gawa-Adi-vyaktitaH yadvat tadvat boDa-Atmani-izya-tAm // SamUpat-_I,15.45 //
   bilāt sarpasya niryāṇe sūryo yadvat prakāśakaḥ /	bilAt sarpasya niryANe sUryaH yadvat prakASakaH /
   prayatnena vinā tadvaj jñātātmā bodharūpataḥ // SamUpad_I,15.46 //	prayatnena vinA tadvat jQAta-AtmA boDa-rUpataH // SamUpat-_I,15.46 //
   dagdhaivam uṣṇaḥ sattāyāṃ tadvad bodhātmanīṣyatām /	dagDA-evam uzNaH sattAyAm tadvat boDa-Atmani-izya-tAm /
   saty eva yad upādhau tu jñāte sarpa ivotthite // SamUpad_I,15.47 //	sati eva yat upADO tu jQAte sarpaH iva-utTite // SamUpat-_I,15.47 //
   jñātāyatno 'pi tadvaj jñaḥ kartā bhrāmakavad bhavet /	jQAta-AyatnaH api tadvat jQaH kartA BrAmaka-vat Bavet /
   svarūpeṇa svayaṃ nātmā jñeyo 'jñeyo 'thavā tataḥ // SamUpad_I,15.48 //	svarUpeNa svayam na-AtmA jQeyaH ajQeyaH aTavA tatas // SamUpat-_I,15.48 //
   viditāviditābhyāṃ tad anyad eveti śāsanāt /	vidita-aviditAByAm tat anyat eva-iti SAsanAt /
   bandhamokṣādayo bhāvās tadvad ātmani kalpitāḥ // SamUpad_I,15.49 //	banDa-mokza-AdayaH BAvAH tadvat Atmani kalpitAH // SamUpat-_I,15.49 //
   nāhorātre yathā sūrye prabhārūpāviśeṣataḥ /	na-ahorAtre yaTA sUrye praBA-rUpAviSezataH /
   bodharūpāviśeṣān na bodhābodhau tathātmani // SamUpad_I,15.50 //	boDa-rUpA-viSezAt na boDAboDO taTA-Atmani // SamUpat-_I,15.50 //
   yathoktaṃ brahma yo veda hānopādānavarjitam /	yaToktam brahma yaH veda hAna-upAdAna-varjitam /
   yathoktena vidhānena sa satyaṃ naiva jāyate // SamUpad_I,15.51 //	yaTA-uktena viDAnena sa satyam na-eva jAyate // SamUpat-_I,15.51 //
   janmamṛtyupravāheṣu patito naiva śaknuyāt /	janma-mRtyu-pravAhezu patitaH na-eva SaknuyAt /
   ita uddhartum ātmānaṃ jñānād anyena kenacit // SamUpad_I,15.52 //	itas udDartum AtmAnam jQAnAt anyena kenacid // SamUpat-_I,15.52 //
   "bhidyate hṛdayagranthiś chidyante sarvasaṃśayāḥ /	"Bidyate hRdaya-granTiH Cidyante sarva-saMSayAH /
   kṣīyante cāsya karmāṇi tasmin dṛṣṭa" iti śruteḥ // SamUpad_I,15.53 //	kzIyante ca-asya karmANi tasmin dRzwa" iti SruteH // SamUpat-_I,15.53 //
   mamāham ity etad apohya sarvato vimuktadehaṃ padam ambaropamam /	mama-aham iti etat apohya sarvatas vimukta-deham padam ambara-upamam /
   sudṛṣṭaśāstrānumitibhya īritaṃ vimucyate 'smin yadi niścito naraḥ //	su-dRzwa-SAstra-anumitiByaH Iritam vimucyate asmin yadi niScitaH naraH //
   SamUpad_I,15.54 //	SamUpat-_I,15.54 //
   iti nānyadanyatprakaraṇam // SamUpad_I,15 //	iti na-anyat-anyat-prakaraNam // SamUpat-_I,15 //
   pārthivaḥ kaṭhino dhātur dravo dehe smṛto 'mmayaḥ /	pArTivaH kaWinaH DAtuH dravaH dehe smRtaH ap-mayaH /
   pakticeṣṭāvakāśāḥ syur vahnivāyvambarodbhavāḥ // SamUpad_I,16.1 //	pakti-cezwa-avakASAH syuH vahni-vAyu-ambara-udBavAH // SamUpat-_I,16.1 //
   ghrāṇādīni tadarthāś ca pṛthivyādiguṇāḥ kramāt /	GrANa-AdIni tad-arTAH ca pRTivI-Adi-guNAH kramAt /
   rūpālokavad iṣṭaṃ hi sajātīyārtham indriyam // SamUpad_I,16.2 //	rUpa-Aloka-vat izwam hi sajAtIya-arTam indriyam // SamUpat-_I,16.2 //
   buddhyarthāny āhur etāni vākpāṇyādīni karmaṇe /	budDi-arTAni AhuH etAni vAc-pANi-AdIni karmaNe /
   tadvikalpārtham antasthaṃ mana ekādaśaṃ bhavet // SamUpad_I,16.3 //	tad-vikalpa-arTam antasTam manaH ekAdaSam Bavet // SamUpat-_I,16.3 //
   niścayārthā bhaved buddhis tāṃ sarvārthānubhāvinīm /	niScaya-arTA Bavet budDiH tAm sarva-arTa-anuBAvinIm /
   jñātātmoktaḥ svarūpeṇa jyotiṣā vyañjayan sadā // SamUpad_I,16.4 //	jQAta-AtmA-uktaH svarUpeNa jyotizA vyaQjayan sadA // SamUpat-_I,16.4 //
   vyañjakas tu yathāloko vyaṅgyasyākāratāṃ gataḥ /	vyaQjakaH tu yaTAlokaH vyaFgyasya-AkAra-tAm gataH /
   vyatikīrṇo 'py asaṃkīrṇas tadvaj jñaḥ pratyayaiḥ sadā // SamUpad_I,16.5 //	vyatikIrNaH api asaMkIrNaH tadvat jQaH pratyayEH sadA // SamUpat-_I,16.5 //
   sthito dīpo yathāyatnaḥ prāptaṃ sarvaṃ prakāśayet /	sTitaH dIpaH yaTA-yatnaH prAptam sarvam prakASayet /
   śabdādyākārabuddhīr jñaḥ prāptās tadvat prapaśyati // SamUpad_I,16.6 //	Sabda-Adi-AkAra-budDIH jQaH prAptAH tadvat prapaSyati // SamUpat-_I,16.6 //
   śarīrendriyasaṃghāta ātmatvena gatāṃ dhiyam /	SarIra-indriya-saMGAtaH Atma-tvena gatAm Diyam /
   nityātmajyotiṣā dīptāṃ viśiṃṣanti sukhādayaḥ // SamUpad_I,16.7 //	nitya-Atma-jyotizA dIptAm viSiMzanti suKa-AdayaH // SamUpat-_I,16.7 //
   śiroduḥkhādinātmānaṃ duḥkhy asmīti hi paśyati /	SiraH-duHKa-AdinA-AtmAnam duHKI asmi-iti hi paSyati /
   draṣṭānyo duḥkhino dṛśyād draṣṭṛtvac ca na duḥkhy asau // SamUpad_I,16.8	drazwA-anyaH duHKinaH dRSyAt drazwR-tvat ca na duHKI asO // SamUpat-_I,16.8
   duḥkhī syād duḥkhyahaṃmānād duḥkhino darśanān na vā /	duHKI syAt duHKya-haMmAnAt duHKinaH darSanAt na vA /
   saṃhate 'ṅgādibhir draṣṭā duḥkhī duḥkhasya naiva saḥ // SamUpad_I,16.9 //	saMhate aFga-AdiBiH drazwA duHKI duHKasya na-eva saH // SamUpat-_I,16.9 //
   cakṣurvat karmakartṛtvaṃ syāc cen nānekam eva tat /	cakzuH-vat karma-kartR-tvam syAt ced na-anekam eva tat /
   saṃhataṃ ca tato nātmā draṣṭṛtvāt karmatāṃ vrajet // SamUpad_I,16.10 //	saMhatam ca tatas na-AtmA drazwR-tvAt karma-tAm vrajet // SamUpat-_I,16.10 //
   jñānayatnādyanekatvam ātmano 'pi mataṃ yadi /	jQAna-yatna-Adi-aneka-tvam AtmanaH api matam yadi /
   naikajñānaguṇatvāt tu jyotirvat tasya karmatā // SamUpad_I,16.11 //	na-eka-jQAna-guNa-tvAt tu jyotiH-vat tasya karma-tA // SamUpat-_I,16.11 //
   jyotiṣo dyotakatve 'pi yadvan nātmaprakāśanam /	jyotizaH dyotaka-tve api yadvat na-Atma-prakASanam /
   bhede 'py evaṃ samatvāj jña ātmānaṃ naiva paśyati // SamUpad_I,16.12 //	Bede api evam sama-tvAt jQaH AtmAnam na-eva paSyati // SamUpat-_I,16.12 //
   yaddharmā yaḥ padārtho na tasyaiveyāt sa karmatām /	yat-DarmA yaH padArTaH na tasya-eva-iyAt sa karmatAm /
   na hy ātmānaṃ dahaty agnis tathā naiva prakāśayet // SamUpad_I,16.13 //	na hi AtmAnam dahati agniH taTA na-eva prakASayet // SamUpat-_I,16.13 //
   etenaivātmanātmano graho buddher nirākṛtaḥ /	etena-eva-AtmanA-AtmanaH grahaH budDeH nirAkRtaH /
   aṃśo 'py evaṃ samatvād dhi nirbhedatvān na yujyate // SamUpad_I,16.14 //	aMSaH api evam samatvAt Di nirBeda-tvAt na yujyate // SamUpat-_I,16.14 //
   śūnyatāpi na yuktaivaṃ buddher anyena dṛśyatā /	SUnyatA-api na yuktA-evam budDeH anyena dRSyatA /
   uktāto ghaṭavat tasyāḥ prāk siddheś ca vikalpataḥ // SamUpad_I,16.15 //	uktA-atas Gawa-vat tasyAH prAk sidDeH ca vikalpataH // SamUpat-_I,16.15 //
   avikalpaṃ tad asty eva yat pūrvaṃ syād vikalpataḥ /	avikalpam tat asti eva yat pUrvam syAt vikalpataH /
   vikalpotpattihetutvād yady asyaiva ca kāraṇam // SamUpad_I,16.16 //	vikalpa-utpatti-hetu-tvAt yadi asya-eva ca kAraNam // SamUpat-_I,16.16 //
   ajñānaṃ kalpanāmūlaṃ saṃsārasya niyāmakam /	ajQAnam kalpanA-mUlam saMsArasya niyAmakam /
   hitvātmānaṃ paraṃ brahma vidyān muktaṃ sadābhayam // SamUpad_I,16.17 //	hitvA-AtmAnam param brahma vidyAt muktam sadA-aBayam // SamUpat-_I,16.17 //
   jāgratsvapnau tayor bījaṃ suṣuptākhyaṃ tamomayam /	jAgrat-svapnO tayoH bIjam suzupta-AKyam tamaH-mayam /
   anyonyasminn asattvāc ca nāstīty etat trayaṃ tyajet // SamUpad_I,16.18 //	anyonyasmin asattvAt ca na-asti-iti etat trayam tyajet // SamUpat-_I,16.18 //
   ātmabuddhimanaścakṣurālokārthādisaṃkarāt	Atma-budDi-manaH-cakzuH-Aloka-arTa-Adi-saMkarAt-
   bhrāntiḥ syād ātmakarmeti kriyāṇāṃ saṃnipātataḥ // SamUpad_I,16.19 //	BrAntiH syAt Atma-karma-iti kriyANAm saMnipAtataH // SamUpat-_I,16.19 //
   nimīlonmīlane sthāne vāyavye te na cakṣuṣaḥ /	nimIlA-unmIlane sTAne vAyavye te na cakzuzaH /
   prakāśatvān manasy evaṃ buddhau na staḥ prakāśataḥ // SamUpad_I,16.20 //	prakASa-tvAt manasi evam budDO na staH prakASataH // SamUpat-_I,16.20 //
   saṃkalpādhyavasāyau tu manobuddhyor yathākramāt /	saMkalpa-aDyavasAyO tu manaH-budDyoH yaTAkramAt /
   netaretaradharmatvaṃ sarvaṃ cātmani kalpitam // SamUpad_I,16.21 //	na-itaretara-Darma-tvam sarvam ca-Atmani kalpitam // SamUpat-_I,16.21 //
   sthānāvacchedadṛṣṭiḥ syād indriyāṇāṃ tadātmatām /	sTAna-avacCeda-dRzwiH syAt indriyANAm tad-AtmatAm /
   gatā dhīs taṃ hi paśyañ jño dehamātra ivekṣyate // SamUpad_I,16.22 //	gatAH DIH tam hi paSyan jQaH deha-mAtraH iva-Ikzyate // SamUpat-_I,16.22 //
   kṣaṇikaṃ hi tad atyarthaṃ dharmamātraṃ nirantaram /	kzaNikam hi tat atyarTam Darma-mAtram nirantaram /
   sādṛśyād dīpavat taddhīs tacchāntiḥ puruṣārthatā // SamUpad_I,16.23 //	sAdRSyAt dIpa-vat tat-DIH tad-SAntiH puruza-arTa-tA // SamUpat-_I,16.23 //
   svākārānyāvabhāsaṃ ca yeṣāṃ rūpādi vidyate /	su-a-AkArAnyAvaBAsam ca yezAm rUpa-Adi vidyate /
   yeṣāṃ nāsti tataś cānyat pūrvāsaṃgatir ucyate // SamUpad_I,16.24 //	yezAm na-asti tatas ca-anyat pUrva-asaMgatiH ucyate // SamUpat-_I,16.24 //
   bāhyākāratvato jñapteḥ smṛtyabhāvaḥ sadā kṣaṇāt /	bAhya-AkAra-tvataH jQapteH smRti-aBAvaH sadA kzaNAt /
   kṣaṇikatvāc ca saṃskāraṃ naivādhatte kvacit tu dhiḥ // SamUpad_I,16.25 //	kzaNika-tvAt ca saMskAram na-eva-ADatte kvacid tu Dis // SamUpat-_I,16.25 //
   ādhārasyāpy asattvāc ca tulyatānirnimittataḥ /	ADArasya-api asattvAt ca tulya-tA-nirnimittataH /
   sthāne vā kṣaṇikatvasya hānaṃ syān na tad iṣyate // SamUpad_I,16.26 //	sTAne vA kzaNika-tvasya hAnam syAt na tat izyate // SamUpat-_I,16.26 //
   śānteś cāyatnasiddhatvāt sādhanoktir anarthikā /	SAnteH ca-Ayatna-sidDa-tvAt sADana-uktiH anarTikA /
   ekaikasmin samāptatvāc chānter anyānapekṣatā // SamUpad_I,16.27 //	ekEkasmin samApta-tvAt SAnteH anya-anapekza-tA // SamUpat-_I,16.27 //
   apekṣā yadi bhinne 'pi parasaṃtāna iṣyatām /	apekzAH yadi Binne api para-saMtAne izyatAm /
   sarvārthe kṣaṇike kasmiṃs tathāpy anyānapekṣatā // SamUpad_I,16.28 //	sarva-arTe kzaNike kasmin taTA-api anya-anapekza-tA // SamUpat-_I,16.28 //
   tulyakālasamudbhūtāv itaretarayoginau /	tulya-kAla-samudBUtO itaretara-yoginO /
   yogāc ca saṃskṛto yas tu so 'nyaṃ hīkṣitum arhati // SamUpad_I,16.29 //	yogAt ca saMskRtaH yaH tu saH anyam hIkzitum arhati // SamUpat-_I,16.29 //
   mṛṣādhyāsas tu yatra syāt tannāśas tatra no mataḥ /	mRzA-aDyAsaH tu yatra syAt tad-nASaH tatra naH mataH /
   sarvanāśo bhaved yasya mokṣaḥ kasya phalaṃ vada // SamUpad_I,16.30 //	sarva-nASaH Bavet yasya mokzaH kasya Palam vada // SamUpat-_I,16.30 //
   asti tāvat svayaṃ nāma jñānaṃ vātmānyad eva vā /	asti tAvat svayam nAma jQAnam vA-AtmA-anyat eva vA /
   bhāvābhāvajñatas tasya nābhāvas tv adhigamyate // SamUpad_I,16.31 //	BAva-aBAva-jQataH tasya na-aBAvaH tu aDigamyate // SamUpat-_I,16.31 //
   yenādhigamyate 'bhāvas tat sat syāt tan na ced bhavet /	yena-aDigamyate aBAvaH tat sat syAt tat na ced Bavet /
   bhāvābhāvānabhijñatvaṃ lokasya syān na ceṣyate // SamUpad_I,16.32 //	BAva-aBAva-anaBijQa-tvam lokasya syAt na ca-izyate // SamUpat-_I,16.32 //
   sad asat sadasac ceti vikalpāt prāg yad iṣyate /	sat asat sat-asat ca-iti vikalpAt prAk yat izyate /
   tad advaitaṃ samatvāt tu nityaṃ cānyad vikalpitāt // SamUpad_I,16.33 //	tat advEtam samatvAt tu nityam ca-anyat vikalpitAt // SamUpat-_I,16.33 //
   vikalpodbhavato 'sattvaṃ svapnadṛśyavad iṣyatām /	vikalpa-udBavataH asattvam svapna-dRSya-vat izyatAm /
   dvaitasya prāg asattvāc ca sadasattvādikalpanāt // SamUpad_I,16.34 //	dvEtasya prAk asattvAt ca sat-asat-tva-Adi-kalpanAt // SamUpat-_I,16.34 //
   vācārambhaṇaśāstrāc ca vikārāṇāṃ hy abhāvatā /	vAcA-AramBaNa-SAstrAt ca vikArANAm hi aBAvatA /
   mṛtyoḥ sa mṛtyum ityāder mama māyeti ca smṛteḥ // SamUpad_I,16.35 //	mRtyoH sa mRtyum ityAdeH mama mAyA-iti ca smRteH // SamUpat-_I,16.35 //
   viśuddhiś cāta evāsya vikalpāc ca vilakṣaṇāt /	viSudDiH ca-atas eva-asya vikalpAt ca vilakzaNAt /
   upādeyo na heyo 'ta ātmā nānyair akalpitaḥ // SamUpad_I,16.36 //	upAdeyaH na heyaH atas AtmA na-anyEH akalpitaH // SamUpat-_I,16.36 //
   aprakāśo yathāditye nāsti jyotiḥsvabhāvataḥ /	aprakASaH yaTA-Aditye na-asti jyotiH-svaBAvataH /
   nityabodhasvarūpatvān nājñānaṃ tadvad ātmani // SamUpad_I,16.37 //	nitya-boDa-svarUpa-tvAt na-ajQAnam tadvat Atmani // SamUpat-_I,16.37 //
   tathāvikriyarūpatvān nāvasthāntaram ātmanaḥ /	taTA-avikriya-rUpa-tvAt na-avasTA-antaram AtmanaH /
   avasthāntaravattve hi nāśo 'sya syān na saṃśayaḥ // SamUpad_I,16.38 //	avasTA-antaravat-tve hi nASaH asya syAt na saMSayaH // SamUpat-_I,16.38 //
   mokṣo 'vasthāntaraṃ yasya kṛtakaḥ sa calo hy ataḥ /	mokzaH avasTA-antaram yasya kRtakaH sa calaH hi atas /
   na saṃyogo viyogo vā mokṣo yuktaḥ kathaṃcana // SamUpad_I,16.39 //	na saMyogaH viyogaH vA mokzaH yuktaH kaTaMcana // SamUpat-_I,16.39 //
   saṃyogasyāpy anityatvād viyogasya tathaiva ca /	saMyogasya-api anitya-tvAt viyogasya taTA-eva ca /
   gamanāgamane caiva svarūpaṃ tu na hīyate // SamUpad_I,16.40 //	gamana-Agamane ca-eva svarUpam tu na hIyate // SamUpat-_I,16.40 //
   svarūpasyānimittatvāt sanimittā hi cāpare /	svarUpasya-animitta-tvAt sa-nimittAH hi ca-apare /
   anupāttaṃ svarūpaṃ hi svenātyaktaṃ tathaiva ca // SamUpad_I,16.41 //	anupAttam svarUpam hi svena-atyaktam taTA-eva ca // SamUpat-_I,16.41 //
   svarūpatvān na sarvasya tyaktuṃ śakyo hy ananyataḥ /	sva-rUpa-tvAt na sarvasya tyaktum SakyaH hi ananyatas /
   gṛhītuṃ vā tato nityo 'viṣayatvāpṛthaktvataḥ // SamUpad_I,16.42 //	gRhItum vA tatas nityaH avizaya-tva-apRTaktvataH // SamUpat-_I,16.42 //
   ātmārthatvāc ca sarvasya nitya ātmaiva kevalaḥ /	Atma-arTa-tvAt ca sarvasya nityaH AtmA-eva kevalaH /
   tyajet tasmāt kriyāḥ sarvāḥ sādhanaiḥ saha mokṣavit // SamUpad_I,16.43 //	tyajet tasmAt kriyAH sarvAH sADanEH saha mokza-vid // SamUpat-_I,16.43 //
   ātmalābhaḥ paro lābha iti śāstropapattayaḥ /	Atma-lABaH paraH lABaH iti SAstra-upapattayaH /
   alābho 'nyātmalābhas tu tyajet tasmād anātmatām // SamUpad_I,16.44 //	alABaH anya-Atma-lABaH tu tyajet tasmAt anAtma-tAm // SamUpat-_I,16.44 //
   guṇānāṃ samabhāvasya bhraṃśo na hy upapadyate /	guNAnAm sama-BAvasya BraMSaH na hi upapadyate /
   avidyādeḥ prasuptatvān na cānyo hetur iṣyate // SamUpad_I,16.45 //	avidyA-AdeH prasupta-tvAt na ca-anyaH hetuH izyate // SamUpat-_I,16.45 //
   itaretarahetutve pravṛttiḥ syāt sadā na vā /	itaretara-hetu-tve pravRttiH syAt sadA na vA /
   niyamo na pravṛttīnāṃ guṇeṣv ātmani vā bhavet // SamUpad_I,16.46 //	niyamaH na pravRttInAm guNezu Atmani vA Bavet // SamUpat-_I,16.46 //
   viśeṣo muktabaddhānāṃ tādarthye ca na yujyate /	viSezaH mukta-badDAnAm tAdarTye ca na yujyate /
   arthārthinoś ca saṃbandho nārthī jño netaro 'pi vā // SamUpad_I,16.47 //	arTa-arTinoH ca saMbanDaH na-arTI jQaH na-itaraH api vA // SamUpat-_I,16.47 //
   pradhānasya ca pārārthyaṃ puruṣasyāvikārataḥ /	praDAnasya ca pArArTyam puruzasya-avikArataH /
   na yuktaṃ sāṃkhyaśāstre 'pi vikāre 'pi na yujyate // SamUpad_I,16.48 //	na yuktam sAMKya-SAstre api vikAre api na yujyate // SamUpat-_I,16.48 //
   saṃbandhānupapatteś ca prakṛteḥ puruṣasya ca /	saMbanDa-anupapatteH ca prakRteH puruzasya ca /
   mitho 'yuktaṃ tadarthatvaṃ pradhānasyācititvataḥ // SamUpad_I,16.49 //	miTas ayuktam tad-arTa-tvam praDAnasya-aciti-tvataH // SamUpat-_I,16.49 //
   kriyotpattau vināśitvaṃ jñānamātre ca pūrvavat /	kriyA-utpattO vinASi-tvam jQAna-mAtre ca pUrvavat /
   nirnimitte tv anirmokṣaḥ pradhānasya prasajyate // SamUpad_I,16.50 //	nirnimitte tu anirmokzaH praDAnasya prasajyate // SamUpat-_I,16.50 //
   na prakāśyaṃ yathoṣṇatvaṃ jñānenaivaṃ sukhādayaḥ /	na prakASyam yaTA-uzNa-tvam jQAnena-evam suKa-AdayaH /
   ekanīḍatvato 'grāhyāḥ syuḥ kaṇādādivartmanām // SamUpad_I,16.51 //	ekanIxa-tvataH agrAhyAH syuH kaNAda-Adi-vartmanAm // SamUpat-_I,16.51 //
   yugapac cāsametatvāt sukhavijñānayor api /	yugapad ca-asameta-tvAt suKa-vijQAnayoH api /
   manoyogaikahetutvād agrāhyatvaṃ sukhasya ca // SamUpad_I,16.52 //	manaH-yoga-eka-hetu-tvAt agrAhya-tvam suKasya ca // SamUpat-_I,16.52 //
   tathānyeṣāṃ ca bhinnatvād yugapajjanma neṣyate /	taTA-anyezAm ca Binna-tvAt yugapad-janma na-izyate /
   guṇānāṃ samavetatvaṃ jñānaṃ cen na viśeṣaṇāt // SamUpad_I,16.53 //	guNAnAm samaveta-tvam jQAnam ced na viSezaNAt // SamUpat-_I,16.53 //
   jñānenaiva viśeṣyatvāj jñānāpyatvaṃ smṛtes tathā /	jQAnena-eva viSezya-tvAt jQAna-apyatvam smRteH taTA /
   sukhaṃ jñātaṃ mayety evaṃ tavājñānātmakatvataḥ // SamUpad_I,16.54 //	suKam jQAtam mayA-iti evam tava-ajQAna-Atmaka-tvataH // SamUpat-_I,16.54 //
   sukhāder nātmadharmatvam ātmanas te 'vikārataḥ /	suKa-AdeH na-Atma-Darma-tvam AtmanaH te avikArataH /
   bhedād anyasya kasmān na manaso vāviśeṣataḥ // SamUpad_I,16.55 //	BedAt anyasya kasmAt na manasaH vA-aviSezatas // SamUpat-_I,16.55 //
   syān mālāparihāryā tu jñānaṃ cej jñeyatāṃ vrajet /	syAt mAlA-parihAryA tu jQAnam ced jQeya-tAm vrajet /
   yugapad vāpi cotpattir abhyupete 'nta iṣyate // SamUpad_I,16.56 //	yugapad vA-api ca-utpattiH aByupete antaH izyate // SamUpat-_I,16.56 //
   anavasthāntaratvāc ca bandho nātmani vidyate /	anavasTA-antara-tvAt ca banDaH na-Atmani vidyate /
   nāśuddhiś cāpy asaṅgatvād asaṅgo hīti ca śruteḥ // SamUpad_I,16.57 //	na-aSudDiH ca-api asaFga-tvAt asaFgaH hi-iti ca SruteH // SamUpat-_I,16.57 //
   sūkṣmaikāgocarebhyaś ca na lipyata iti śruteḥ /	sUkzma-ekAgocareByaH ca na lipyate iti SruteH /
   evaṃ tarhi na mokṣo 'sti bandhābhāvāt kathaṃcana // SamUpad_I,16.58 //	evam tarhi na mokzaH asti banDa-aBAvAt kaTaMcana // SamUpat-_I,16.58 //
   śāstrānarthakyam evaṃ syān na buddher bhrāntir iṣyate /	SAstra-AnarTakyam evam syAt na budDeH BrAntiH izyate /
   bandho mokṣaś ca tannāśaḥ sa yathokto na cānyathā // SamUpad_I,16.59 //	banDaH mokzaH ca tad-nASaH sa yaTA-uktaH na ca-anyaTA // SamUpat-_I,16.59 //
   bodhātmajyotiṣā dīptā bodham ātmani manyate /	boDa-Atma-jyotizA dIptAH boDam Atmani manyate /
   buddhir nānyo 'sti boddheti seyaṃ bhrāntir hi dhīgatā // SamUpad_I,16.60	budDiH na-anyaH asti bodDA-iti sA-iyam BrAntiH hi DI-gatAH // SamUpat-_I,16.60
   bodhasyātmasvarūpatvān nityaṃ tatropacaryate /	boDasi-a-Atma-svarUpa-tvAt nityam tatra-upacaryate /
   aviveko 'py anādyo 'yaṃ saṃsāro nānya iṣyate // SamUpad_I,16.61 //	avivekaH api anAdyaH ayam saMsAraH na-anyaH izyate // SamUpat-_I,16.61 //
   mokṣas tannāśa eva syān nānyathānupapattitaḥ /	mokzaH tad-nASaH eva syAt na-anyaTA-anupapattitaH /
   yeṣāṃ vastvantarāpattir mokṣo nāśas tu tair mataḥ // SamUpad_I,16.62 //	yezAm vastu-antarApattiH mokzaH nASaH tu tEH mataH // SamUpat-_I,16.62 //
   avasthāntaram apy evam avikārān na yujyate /	avasTA-antaram api evam avikArAt na yujyate /
   vikāre 'vayavitvaṃ syāt tato nāśo ghaṭādivat // SamUpad_I,16.63 //	vikAre avayavi-tvam syAt tatas nASaH Gawa-Adi-vat // SamUpat-_I,16.63 //
   tasmād bhrāntir ato 'nyā hi bandhamokṣādikalpanāḥ /	tasmAt BrAntiH atas anyAH hi banDa-mokza-Adi-kalpanAH /
   sāṃkhyakāṇādabauddhānāṃ mīmāṃsāhatakalpanāḥ // SamUpad_I,16.64 //	sAMKya-kANAda-bOdDAnAm mImAMsA-hata-kalpanAH // SamUpat-_I,16.64 //
   śāstrayuktivirodhāt tā nādartavyāḥ kadācana /	SAstra-yukti-viroDAt tAH na-AdartavyAH kadAcana /
   śakyante śataśo vaktuṃ doṣās tāsāṃ sahasraśaḥ // SamUpad_I,16.65 //	Sakyante SataSas vaktum dozAH tAsAm sahasraSas // SamUpat-_I,16.65 //
   api nindopapatteś ca yāny ato 'nyāni cety ataḥ /	api nindA-upapatteH ca yAni atas anyAni ca-iti atas /
   tyaktvāto hy anyaśāstroktīr matiṃ kuryād dṛḍhāṃ budhaḥ // SamUpad_I,16.66	tyaktvA-atas hi anya-SAstra-uktIH matim kuryAt dRXAm buDaH // SamUpad-_I,16.66
   śraddhābhaktī puraskṛtya hitvā sarvam anārjavam /	SradDA-BaktI puraskRtya hitvA sarvam anArjavam /
   vedāntasyaiva tattvārthe vyāsasyāpi matau tathā // SamUpad_I,16.67 //	vedAntasya-eva tattva-arTe vyAsasya-api matO taTA // SamUpat-_I,16.67 //
   iti praṇunnā dvayavādakalpanā nirātmavādāś ca tathā hi yuktitaḥ /	iti praNunnAH dvaya-vAda-kalpanA nirAtma-vAdAH ca taTA hi yuktitaH /
   vyapetaśaṅkāḥ paravādataḥ sthirā mumukṣavo jñānapathe syur ity uta //	vyapeta-SaFkAH para-vAdataH sTirAH mumukzavaH jQAna-paTe syuH iti uta //
   SamUpad_I,16.63 //	SamUpat-_I,16.63 //
   svasākṣikaṃ jñānam atīva nirmalaṃ vikalpanābhyo viparītam advayam /	sva-sAkzikam jQAnam atIva nirmalam vikalpanAByaH viparItam advayam /
   avāpya samyag yadi niścito bhaven niranvayo nirvṛtim eti śāśvatīm //	avApya samyak yadi niScitaH Bavet niranvayaH nirvRtim eti SASvatIm //
   SamUpad_I,16.69 //	SamUpat-_I,16.69 //
   idaṃ rahasyaṃ paramaṃ parāyaṇaṃ vyapetadoṣair abhimānavarjitaiḥ /	idam rahasyam paramam parAyaNam vyapeta-dozEH aBimAna-varjitEH /
   samīkṣya kāryā matir ārjave sadā na tattvadṛk svānyamatir hi kaścana //	samIkzya kAryA matiH Arjave sadA na tattva-dRS sva-anya-matiH hi kaScana //
   SamUpad_I,16.70 //	SamUpat-_I,16.70 //
   anekajanmāntarasaṃcitair naro vimucyate 'jñānanimittapātakaiḥ /	aneka-janma-antara-saMcitEH naraH vimucyate ajQAna-nimitta-pAtakEH /
   idaṃ viditvā paramaṃ hi pāvanaṃ na lipyate vyoma iveha karmabhiḥ //	idam viditvA paramam hi pAvanam na lipyate vyomaH iva-iha karmaBiH //
   SamUpad_I,16.71 //	SamUpat-_I,16.71 //
   praśāntacittāya jitendriyāya ca prahīṇadoṣāya yathoktakāriṇe /	praSAnta-cittAya jita-indriyAya ca prahINa-dozAya yaTA-ukta-kAriNe /
