   akatra prativāsinaḥ (?) K_892b	akatra prativAsinaH (?) K_892b
   kṛtvoddhāram adattvā yo K_503a	kRtvA-udDAram adattvA yaH K_503a
   kṛṣṇalaiś coktam eva syād K_492c	kRzNalEH ca-uktam eva syAt K_492c
   kedārārāmayor api K_749b	kedAra-ArAmayoH api K_749b
   kena kasmin kadā kasmāt K_087a	kena kasmin kadA kasmAt K_087a
   kevalenātmanā kṛtam K_546b	kevalena-AtmanA kRtam K_546b
   kopitaḥ karaṇe vadet K_129b	kopitaH karaNe vadet K_129b
   kośapānaṃ vidhīyate K_419d	koSa-pAnam viDIyate K_419d
   kośam eva pradāpayet K_415d	koSam eva pradApayet K_415d
   kośaśauryasamanvitaḥ K_001b	koSa-SOrya-samanvitaH K_001b
   kośaṃ gūḍhe 'bravīd bhṛguḥ K_842d	koSam gUXe abravIt BRguH K_842d
   kośaḥ prājñair na dātavyo K_426c	koSaH prAjQEH na dAtavyaH K_426c
   koṣe koṣaṃ niveśayet K_971b	koze kozam niveSayet K_971b
   kṇṭhakeśāṇ calagrāhaḥ K_829c	kNWa-keSAN cala-grAhaH K_829c
   kramāt tripuruṣāgatā K_321d	kramAt tri-puruza-AgatA K_321d
   kramāt pitṝṇāṃ nāmāni K_126a	kramAt pitLNAm nAmAni K_126a
   kramād āyāti dharmataḥ K_085b	kramAt AyAti DarmataH K_085b
   kramād daṇḍaṃ prakalpayet K_460d	kramAt daNxam prakalpayet K_460d
   kramāyātaṃ pitāmahāt K_555b	krama-AyAtam pitAmahAt K_555b
   kramoḍhāyāṃ ca yo bhavet K_863d	krama-UXAyAm ca yaH Bavet K_863d
   krayam eva viśodhayet K_618b	krayam eva viSoDayet K_618b
   krayavikrayaṇe krayyaṃ K_707c	kraya-vikrayaNe krayyam K_707c
   krayavikrayadharmo 'pi K_702c	kraya-vikraya-DarmaH api K_702c
   krayavikrayam eva ca K_506b	kraya-vikrayam eva ca K_506b
   krayavikrāyaṇe sati K_708d	kraya-vikrAyaNe sati K_708d
   krayasiddhiḥ kṛtā bhavet K_712b	kraya-sidDiH kRtA Bavet K_712b
   krayaṃ ketā svabandhubhiḥ K_613d	krayam ketA sva-banDuBiH K_613d
   krayaṃ vāpy aviśodhayan K_619b	krayam vA-api aviSoDayan K_619b
   krayī hastam upāgate K_687b	krayI hastam upAgate K_687b
   krayo naiva praduṣyati K_709d	krayaH na-eva praduzyati K_709d
   kriyayā pratipādayet K_215d	kriyayA pratipAdayet K_215d
   kriyayā prativādinā K_383d	kriyayA prativAdinA K_383d
   kriyākaraṇam iṣyate K_212d	kriyA-karaNam izyate K_212d
   kriyākāreṣu sarveṣu K_390c	kriyAkArezu sarvezu K_390c
   kriyā jñeyā manīṣibhiḥ K_198b	kriyA jQeyA manIziBiH K_198b
   kriyādveṣī paṇān daśa K_202b	kriyA-dvezI paNAn daSa K_202b
   kriyādveṣī sa ucyate K_198d	kriyA-dvezI saH ucyate K_198d
   kriyā na daivikī proktā K_223a	kriyA na dEvikI proktA K_223a
   kriyāpādaś ca tenāyaṃ K_031c	kriyA-pAdaH ca tena-ayam K_031c
   kriyāvādāṃś ca vādinām K_951b	kriyA-vAdAn ca vAdinAm K_951b
   kriyā vidyeta mānuṣī K_219b	kriyA vidyeta mAnuzI K_219b
   kriyāsamūhakartṛtve K_415c	kriyA-samUha-kartR-tve K_415c
   kriyāsthityanurūpas tu K_148c	kriyA-sTiti-anurUpaH tu K_148c
   kriyā syād vādinor dvayoḥ K_190b	kriyA syAt vAdinoH dvayoH K_190b
   kriyāṃ balavatīṃ muktvā K_221a	kriyAm balavatIm muktvA K_221a
   krīta paṇyaṃ ca yaḥ krayī K_691b	krIta paNyam ca yaH krayI K_691b
   krītam akrītam eva vā K_722b	krItam akrItam eva vA K_722b
   krītaṃ tat svāmine deyaṃ K_688c	krItam tat svAmine deyam K_688c
   krītvā gacchann anuśayaṃ K_687a	krItvA gacCan anuSayam K_687a
   krītvā dhanam ayacchati K_227d	krItvA Danam ayacCati K_227d
   krītvānuśayavān paṇyaṃ K_686a	krItvA-anuSayavAn paNyam K_686a
   krītvā prāptaṃ na gṛhṇīyād K_683a	krItvA prAptam na gRhNIyAt K_683a
   krītvā mūlyena yat paṇyaṃ K_698a	krItvA mUlyena yat paNyam K_698a
   kretā mūlyam avāpnuyāt K_695d	kretA mUlyam avApnuyAt K_695d
   kretāraś caiva bhāṇḍānāṃ K_827c	kretAraH ca-eva BANxAnAm K_827c
   krodhalobhavivardhakam K_933b	kroDa-loBa-vivarDakam K_933b
   krodhāt tu kurute yadā K_771b	kroDAt tu kurute yadA K_771b
   krodhād dravyaṃ vināśya vā K_565b	kroDAt dravyam vinASya vA K_565b
   kliṣṭarūpaṃ malīmasam K_696b	klizwa-rUpam malImasam K_696b
   klībaṃ vihāya patitaṃ K_860a	klIbam vihAya patitam K_860a
   klībonmattapramohitaiḥ K_647b	klIba-unmatta-pramohitEH K_647b
   kvacillikhitapūrvake K_310b	kvacid-liKita-pUrvake K_310b
   kṣataṃ bhaṅgopamardau ca K_807a	kzatam BaFga-upamardO ca K_807a
   kṣatraviśśūdradharmas tu K_718a	kzatra-viS-SUdra-DarmaH tu K_718a
   kṣatriyaṃ tatra yojayet K_067b	kzatriyam tatra yojayet K_067b
   kṣapayet tat kule 'nyathā K_907d	kzapayet tat kule anyaTA K_907d
   kṣamāyāto vicakṣaṇaḥ K_065b	kzamA-AyAtaH vicakzaNaH K_065b
   kṣamāliṅgāni cānyāni K_126c	kzamA-liFgAni ca-anyAni K_126c
   kṣayaśvitrādirogiṇaḥ K_550d	kzaya-Svitra-Adi-rogiNaH K_550d
   kṣayātisāravisphoṭās K_458a	kzaya-atisAra-visPowAH K_458a
   kṣipte tu majjanaṃ kāryaṃ K_443a	kzipte tu majjanam kAryam K_443a
   kṣipraṃ hīyeta pārthivaḥ K_012d	kzipram hIyeta pArTivaH K_012d
   kṣetrakūpataḍāgānāṃ K_749a	kzetra-kUpa-taxAgAnAm K_749a
   kṣetravāstutaḍāgeṣu K_734a	kzetra-vAstu-taxAgezu K_734a
   kṣetrasvāmiṣu nirdiśet K_760d	kzetra-svAmizu nirdiSet K_760d
   kṣetraṃ kṣetrasya kīrtitam K_736b	kzetram kzetrasya kIrtitam K_736b
   kṣetraṃ ced vikṛṣet kaścid K_765c	kzetram ced vikRzet kaScid K_765c
   kṣetraṃ sādhāraṇaṃ tyaktvā K_889a	kzetram sADAraNam tyaktvA K_889a
   kṣetrādīṇāṃ tathaiva syur K_469a	kzetra-AdINAm taTA-eva syuH K_469a
   kṣetrārāmagṛhādīnāṃ K_705c	kzetra-ArAma-gRha-AdInAm K_705c
   kṣetrārāmavivīteṣu K_664a	kzetra-ArAma-vivItezu K_664a
   kṣetrikasya matenāpi K_859a	kzetrikasya matena-api K_859a
   kṣetrikaḥ punar āvrajet K_766b	kzetrikaH punar Avrajet K_766b
   kṣetrikeṣv anivāritaḥ K_765b	kzetrikezu anivAritaH K_765b
   kṣeptā ca sudṛḍhaṃ kṣipet K_442d	kzeptA ca su-dRXam kzipet K_442d
   kharagomahiṣoṣṭrādīn K_789c	Kara-go-mahiza-uzwra-AdIn K_789c
   kharjūrabadarādīnāṃ K_822:2c	KarjUra-badara-AdInAm K_822:2c
   khilārtho yat kṛto vyayaḥ K_764b	Kila-arTaH yat kRtaH vyayaH K_764b
   khyātaṃ tacśṛṅgiṇāṃ viṣam K_446d	KyAtam tat-SRFgiNAm vizam K_446d
   khyāpitaṃ ced dvitīye 'hni K_272a	KyApitam ced dvitIye ahni K_272a
   gacchet samyagavijñāya K_010a	gacCet samyak-avijQAya K_010a
   gacched bandhujanaṃ tataḥ K_910d	gacCet banDu-janam tatas K_910d
   gaṇadravyavināśakaḥ K_672b	gaNa-dravya-vinASakaH K_672b
   gaṇapāṣaṇḍapūgāś ca K_682a	gaNa-pAzaNxa-pUgAH ca K_682a
   gaṇapaurādikasthitiḥ K_254b	gaNa-pOra-Adika-sTitiH K_254b
   gaṇam uddiśya yat kiṃcit K_674a	gaNam uddiSya yat kiMcid K_674a
   gaṇas tv adhikṛto nṛpaḥ K_082b	gaNaH tu aDikRtaH nRpaH K_082b
   gaṇaḥ saṃparikīrtitaḥ K_680b	gaNaH saMparikIrtitaH K_680b
   gaṇānāṃ śreṇivargāṇāṃ K_675a	gaNAnAm SreNi-vargANAm K_675a
   gaṇārthe vā ṛṇaṃ kṛtam K_677b	gaNa-arTe vE RNam kRtam K_677b
   gatāḥ syur ye tu madhyatām K_675b	gatAH syuH ye tu maDya-tAm K_675b
   gamanaṃ samakālikam K_443b	gamanam sama-kAlikam K_443b
   gamane tv āgamaḥ kāryaḥ K_443c	gamane tu AgamaH kAryaH K_443c
   garte deyaṃ tathaiva ca K_947b	garte deyam taTA-eva ca K_947b
   garbhasya pātane steno K_806a	garBasya pAtane stenaH K_806a
   garhyaḥ sa pāpo daṇḍyaś ca K_670c	garhyaH sa pApaH daNxyaH ca K_670c
   garhyā daṇḍyāś ca dharmataḥ K_402d	garhyAH daNxyAH ca DarmataH K_402d
   gavākṣān noparodhayet K_752b	gavAkzAt na-uparoDayet K_752b
   gavādigrahaṇaṃ ca yat K_720d	gavA-Adi-grahaNam ca yat K_720d
   gātraṃ ca kampate yasya K_455c	gAtram ca kampate yasya K_455c
   gāyanās tu samāṃśinaḥ K_636d	gAyanAH tu sama-aMSinaH K_636d
   guḍasya lavaṇasya ca K_511d	guxasya lavaNasya ca K_511d
   guruācāryanṛpādīnāṃ K_756c	guru-AcArya-nRpa-AdInAm K_756c
   gurukāryeṣu daṇḍaḥ syān K_101c	guru-kAryezu daNxaH syAt K_101c
   guruṇā yadi gacchatā K_469d	guruNA yadi gacCatA K_469d
   guruśuśrūṣaṇe ratā K_923b	guru-SuSrUzaNe ratA K_923b
   guruṃ jyotirvidaṃ vaidyān K_053c	gurum jyotiH-vidam vEdyAn K_053c
   gurvācāryatapasvinām K_084d	guru-AcArya-tapasvinAm K_084d
   gurvebhyas tūttarottaram K_082d	guru-eByaH tu-uttara-uttaram K_082d
   gūḍhacārī sa vijñeyaḥ K_376c	gUXa-cArI sa vijQeyaH K_376c
   gūḍhadravyābhiśaṅkāyāṃ K_841c	gUXa-dravya-aBiSaFkAyAm K_841c
   gūḍhasākṣī sa ucyate K_374d	gUXa-sAkzI saH ucyate K_374d
   gūḍhasāhasikānāṃ tu K_230a	gUXa-sAhasikAnAm tu K_230a
   gūḍhās tu prakaṭāḥ sabhyaiḥ K_275c	gUXAH tu prakawAH saByEH K_275c
   gṛhaprāsādāvasatha- K_749c	gRha-prAsAda-AvasaTa K_749c
   gṛhavāryāpaṇādīṇi K_663a	gRha-vAri-ApaNa-AdINi K_663a
   gṛhaṃ kṣetraṃ catuṣpadam K_841b	gRham kzetram catuzpadam K_841b
   gṛhaṃ gṛhasya nirdiṣṭa K_736c	gRham gRhasya nirdizwa K_736c
   gṛhāt toṣaḥ phalaṃ kṣetrād K_500a	gRhAt tozaH Palam kzetrAt K_500a
   gṛhītam iti vācye tu K_179a	gRhItam iti vAcye tu K_179a
   gṛhītaṃ vyādhitena vā K_542b	gRhItam vyADitena vA K_542b
   gṛhītvā tasya taddravyam K_826c	gRhItvA tasya tat-dravyam K_826c
   gṛhītvā tasya sarvasvaṃ K_407c	gRhItvA tasya sarva-svam K_407c
   gṛhītvā bandhakaṃ yatra K_534a	gRhItvA banDakam yatra K_534a
   gṛhītvā bhāṭakena yaḥ K_662b	gRhItvA BAwakena yaH K_662b
   gṛhītvā bhāṭakena yaḥ K_663b	gRhItvA BAwakena yaH K_663b
   gṛhe tu muṣitaṃ rājā K_813a	gRhe tu muzitam rAjA K_813a
   gṛheṣu paśuvāṭiṣu K_664b	gRhezu paSu-vAwizu K_664b
   gṛhodyānataṭākānāṃ K_762c	gRha-udyAna-tawAkAnAm K_762c
   gṛhopaskaravāhyānāṃ K_898a	gRha-upaskara-vAhyAnAm K_898a
   gṛhopaskaravāhyāś ca K_842a	gRha-upaskara-vAhyAH ca K_842a
   gṛhṇīyāc ca parājayāt K_936d	gRhNIyAt ca parAjayAt K_936d
   gṛhṇīyāt tat svayaṃ naṣṭaṃ K_815c	gRhNIyAt tat svayam nazwam K_815c
   gokumārīdevapaśu- K_791a	gokumArI-deva-paSu K_791a
   gotrasthitis tu yā teṣāṃ K_085a	gotra-sTitiH tu yA tezAm K_085a
   gopanāvikayoṣitām K_568b	gopa-nAvika-yozitAm K_568b
   gopaśauṇḍikayoṣitām K_570b	gopa-SONxika-yozitAm K_570b
   gopracāraś ca rakṣā ca K_884:1a	go-pracAraH ca rakzA ca K_884:1a
   gobrāhmaṇajighāṃsā ca K_948a	go-brAhmaNa-jiGAMsA ca K_948a
   go'bhiśāpe tathātyaye K_152b	go-aBiSApe taTA-atyaye K_152b
   gorakṣakān vāṇijakāṃs K_423a	gorakzakAn vANijakAn K_423a
   gautamānām aniṣṭaṃ yat K_823c	gOtamAnAm anizwam yat K_823c
   grahaṇaṃ tatpraviṣṭānāṃ K_664c	grahaNam tad-pravizwAnAm K_664c
   grahaṇaṃ na vadhaḥ smṛtaḥ K_800d	grahaNam na vaDaH smRtaH K_800d
   grahaṇaṃ rakṣaṇaṃ lābham K_513c	grahaNam rakzaNam lABam K_513c
   grahaṇaṃ samavāpnuyāt K_635b	grahaNam samavApnuyAt K_635b
   grahaṇāntaḥ prakīrtitaḥ K_333d	grahaNa-antar prakIrtitaH K_333d
   grahītagrahaṇo nyāye K_120a	grahIta-grahaNaH nyAye K_120a
   grahītavyaṃ tathaiva ca K_629d	grahItavyam taTA-eva ca K_629d
   grahītā naiva dāpyate K_599d	grahItA na-eva dApyate K_599d
   grahītā pratidāpyaḥ syān K_595c	grahItA pratidApyaH syAt K_595c
   grahītā mūlyam āharet K_600d	grahItA mUlyam Aharet K_600d
   grahītā mūlyam āharet K_607d	grahItA mUlyam Aharet K_607d
   grahītuḥ saha bhāṇḍena K_598c	grahItuH saha BANxena K_598c
   grāmaś ca prāṅvivākaś ca K_356c	grAmaH ca prAFvivAkaH ca K_356c
   grāmasīmāsu ca tathā K_735c	grAma-sImAsu ca taTA K_735c
   grāmaṃ vāpi yadā bhavet K_522b	grAmam vA-api yadA Bavet K_522b
   grāmādayaś ca likhyante K_522c	grAma-AdayaH ca liKyante K_522c
   grāmādhyakṣaṃ pradāpayet K_814b	grAma-aDyakzam pradApayet K_814b
   grāmāntare hṛtaṃ dravyaṃ K_814a	grAma-antare hRtam dravyam K_814a
   grāme tryaham apālayan K_660d	grAme tri-aham apAlayan K_660d
   grāmo grāmasya sāmantaḥ K_736a	grAmaH grAmasya sAmantaH K_736a
   grāsācchādanabhāginī K_922b	grAsa-AcCAdana-BAginI K_922b
   grāsācchādanabhājanāḥ K_857d	grAsa-AcCAdana-BAjanAH K_857d
   grāsācchādanam atyantaṃ K_864c	grAsa-AcCAdanam atyantam K_864c
   grāsācchādanavāsānām K_909a	grAsa-AcCAdana-vAsAnAm K_909a
   grāhakasya hi yad doṣān K_600a	grAhakasya hi yat dozAn K_600a
   grāhakeṇa svahastena K_250a	grAhakeNa sva-hastena K_250a
   grāhayec śūdravad dvijān K_423d	grAhayet SUdra-vat dvijAn K_423d
   grāhitaṃ smāritaṃ tathā K_305b	grAhitam smAritam taTA K_305b
   grāhyas tūpanidhiḥ kāle K_601a	grAhyaH tu-upaniDiH kAle K_601a
   grāhyaṃ yad doṣavarjitam K_392b	grAhyam yat doza-varjitam K_392b
   grāhyaṃ syād dviguṇaṃ dravyaṃ K_509a	grAhyam syAt dviguNam dravyam K_509a
   ghṛtena yojitaṃ ślakṣṇaṃ K_450c	GRtena yojitam SlakzNam K_450c
   cakravṛddyāṃ pradātavyaṃ K_712c	cakravRddyAm pradAtavyam K_712c
   caturo 'ṃśāṃs tato haret K_634b	caturaH aMSAn tatas haret K_634b
   caturṇām api varṇānāṃ K_484a	caturNAm api varNAnAm K_484a
   caturto bhāga iṣyate K_858b	caturtaH BAgaH izyate K_858b
   caturthaḥ samavāpnuyāt K_327d	caturTaH samavApnuyAt K_327d
   caturthāṃśaharāḥ sutāḥ K_857b	caturTa-aMSa-harAH sutAH K_857b
   caturthena na dātavyaṃ K_560c	caturTena na dAtavyam K_560c
   catuṣpadeṣv ayaṃ dharmo K_389c	catuzpadezu ayam DarmaH K_389c
   catuṣpāt samudāhṛtaḥ K_031d	catuzpAd samudAhRtaH K_031d
   catustridvyekam evaṃ ca K_461c	catur-tri-dvi-ekam evam ca K_461c
   catvāriṃśati vai ghaṭam K_419b	catvAriMSati vE Gawam K_419b
   carann alakṣitair vāpi K_812c	caran alakzitEH vA-api K_812c
   caritraṃ kalpyate nṛpaiḥ K_042b	caritram kalpyate nRpEH K_042b
   caritraṃ tatprakīrtitam K_037d	caritram tat-prakIrtitam K_037d
   caritraṃ tu nṛpājñayā K_042d	caritram tu nRpa-AjQayA K_042d
   carmasasyāsavadyūte K_508a	carma-sasya-Asava-dyUte K_508a
   cāṇḍālaśvapacādīnāṃ K_681c	cANxAla-Svapaca-AdInAm K_681c
   cātruvidyapuraśreṇī- K_254a	ca-atru-vidya-pura-SreNI K_254a
   cāpalakrodhavarjitaḥ K_002b	cApala-kroDa-varjitaH K_002b
   cāpodyatakaras tathā K_802b	cApa-udyata-karaH taTA K_802b
   cikitsā samudāhṛtā K_472b	cikitsA samudAhRtA K_472b
   cikrīṇīta tathaiva ca K_726b	cikrINIta taTA-eva ca K_726b
   cittāpanayanaṃ caiva K_337c	citta-apanayanam ca-eva K_337c
   cirakālopabhoge 'pi K_324c	cira-kAla-upaBoge api K_324c
   cirantanam avijñātaṃ K_325a	cirantanam avijQAtam K_325a
   cirāt tena viniścayaḥ K_134b	cirAt tena viniScayaH K_134b
   cihnākārasahasraṃ tu K_176a	cihna-AkAra-sahasram tu K_176a
   cihnāny āhur manīṣiṇaḥ K_386f	cihnAni AhuH manIziNaH K_386f
   cihnitaṃ balavattaram K_521d	cihnitam balavattaram K_521d
   cailapiṇḍe niyojyet K_923d	cEla-piNxe niyojyet K_923d
   codanā pratikālaṃ ca K_234a	codanA pratikAlam ca K_234a
   codanāpratighāte tu K_236a	codanA-pratiGAte tu K_236a
   corataḥ salilād agner K_631a	corataH salilAt agneH K_631a
   coravaddaṇḍam arhati K_620d	cora-vat-daNxam arhati K_620d
   corāṇāṃ bhaktadā ye syus K_827a	corANAm Bakta-dAH ye syuH K_827a
   corāṇāṃ mukhyabhūtas tu K_634a	corANAm muKya-BUtaH tu K_634a
   corāṇāṃ śilpināṃ tathā K_637b	corANAm SilpinAm taTA K_637b
   cauragrāhāṃs tu dāpayet K_813b	cOra-grAhAn tu dApayet K_813b
   cauravac chāsayet taṃ tu K_132c	cOra-vat SAsayet tam tu K_132c
   caurānveṣaṇatatparaiḥ K_821b	cOra-anvezaNa-tatparEH K_821b
   caureṇa vā parikṣiptaṃ K_811c	cOreNa vA parikziptam K_811c
   caurair hṛtaṃ prayatnena K_816a	cOrEH hRtam prayatnena K_816a
   cauraiḥ svāmyājñayāhṛtam K_633b	cOrEH svAmi-AjQayA-AhRtam K_633b
   cauroddhartā vivītake K_814d	cOra-udDartA vivItake K_814d
   cchalenaiva pradāpayet K_478b	cCalena-eva pradApayet K_478b
   cchalenaiva prasādhayet K_587d	cCalena-eva prasADayet K_587d
   channam anyena cārūḍhaṃ K_309c	Cannam anyena ca-ArUXam K_309c
   chardimūtrapurīṣādyair K_784a	Cardi-mUtra-purIza-AdyEH K_784a
   chalaṃ tatra na kārayet K_160d	Calam tatra na kArayet K_160d
   chidritaṃ vītam eva vā K_312b	Cidritam vItam eva vA K_312b
   chindyād aṅgaṃ nṛpas tasya K_822:1c	CindyAt aFgam nRpaH tasya K_822:1c
   chedane cottamo daṇḍo K_781c	Cedane ca-uttamaH daNxaH K_781c
   jaṅgamaṃ sthāvaraṃ vāpi K_516c	jaFgamam sTAvaram vA-api K_516c
   jaḍonmattārtaliṅginām K_575b	jaxa-unmatta-Arta-liFginAm K_575b
   janasya yadi tad bhavet K_457b	janasya yadi tat Bavet K_457b
   janmanām aparijñāne K_890c	janmanAm aparijQAne K_890c
   japahomaparaṃ tathā K_957b	japa-homa-param taTA K_957b
   japahomaparāyaṇam K_486b	japa-homa-parAyaNam K_486b
   jayapatraṃ tato dadyāt K_476c	jaya-patram tatas dadyAt K_476c
   jayaś caivāvasāyaś ca K_032c	jayaH ca-eva-avasAyaH ca K_032c
   jalavāhādike tathā K_226b	jala-vAha-Adike taTA K_226b
   jalavāhādisaṃśaye K_314b	jala-vAha-Adi-saMSaye K_314b
   jātibhraṃśakārī vātha K_772c	jAti-BraMSa-kArI vA-aTa K_772c
   jātiḥ saṃjñā nivāsaś ca K_127c	jAtiH saMjQA nivAsaH ca K_127c
   jātyandhapatitonmatta- K_550c	jAti-anDa-patita-unmatta K_550c
   jāyate vyavahāritā K_844d	jAyate vyavahAritA K_844d
   jitaś caiva mayāyaṃ prāk K_172c	jitaH ca-eva mayA-ayam prAk K_172c
   jitaṃ vai sabhikas tatra K_940c	jitam vE saBikaH tatra K_940c
   jitaḥ purā mayāyaṃ ca tv K_178a	jitaH purA mayA-ayam ca tu K_178a
   jitād grāhyaṃ tripakṣakam K_937b	jitAt grAhyam tri-pakzakam K_937b
   jito 'sau dātum arhati K_194d	jitaH asO dAtum arhati K_194d
   jihvācchedo viśodhanam K_778d	jihvAcCedaH viSoDanam K_778d
   jihvāpāṇyaṅghrivarjitaḥ K_311d	jihvA-pANi-aFGri-varjitaH K_311d
   jihvāśiśnakarasya ca K_781b	jihvA-SiSnakarasya ca K_781b
   jīvatām api dātavyaṃ K_575c	jIvatAm api dAtavyam K_575c
   jīvatām api dāpayet K_549d	jIvatAm api dApayet K_549d
   jīvato vā mṛtasya vā K_286b	jIvataH vA mRtasya vA K_286b
   jīvadvibhāge tu pitā K_843a	jIvat-viBAge tu pitA K_843a
   jīvantyāḥ patiputrās tu K_915a	jIvantyAH pati-putrAH tu K_915a
   jīvan vāpi pitā yasya K_116c	jIvan vA-api pitA yasya K_116c
   jetur dadyāt svakaṃ dravyaṃ K_937a	jetuH dadyAt svakam dravyam K_937a
   jaihmyena vartamānasya K_162c	jEhmyena vartamAnasya K_162c
   jñātibhir nāṣṭiko dhanam K_620b	jQAtiBiH nAzwikaH Danam K_620b
   jñātibhiḥ strīdhanaṃ striyai K_902b	jQAtiBiH strIDanam striyE K_902b
   jñātisaṃbandhisuhṛdām K_628a	jQAti-saMbanDi-suhRdAm K_628a
   jñātyādīn ananujñāpya K_702a	jQAti-AdIn ananujQApya K_702a
   jñātvā cittaṃ mahīpateḥ K_076b	jQAtvA cittam mahIpateH K_076b
   jñātvā dravyaviyogaṃ tu K_599a	jQAtvA dravya-viyogam tu K_599a
   jñātvā nisṛṣṭaṃ yat prītyā K_914c	jQAtvA nisRzwam yat prItyA K_914c
   jñātvā sabhyas tato vadet K_080b	jQAtvA saByaH tatas vadet K_080b
   jñātvā saṃkhyāṃ suvarṇānāṃ K_418a	jQAtvA saMKyAm suvarNAnAm K_418a
   jñātvā hema prakalpayet K_417b	jQAtvA hema prakalpayet K_417b
   jñeyaḥ kārṣāpaṇasya tu K_493b	jQeyaH kArzApaNasya tu K_493b
   jyaiṣṭhe guṇavayaḥkṛtam K_553d	jyEzWe guNa-vayaH-kRtam K_553d
   taggṛhaṃ caiva yo bhindyāt K_808c	tak-gRham ca-eva yaH BindyAt K_808c
   tac ca syāj jayapatrakam K_265d	tat ca syAt jaya-patrakam K_265d
   tac chuddhaṃ tatpradeyaṃ tan K_023c	tat SudDam tat-pradeyam tat K_023c
   tac śeṣam āpnuyāt tasmāt K_819c	tat Sezam ApnuyAt tasmAt K_819c
   taj jñeyaṃ sandhipatrakam K_256d	tat jQeyam sanDi-patrakam K_256d
   taṭākodyānatīrthāni K_758a	tawAka-udyAna-tIrTAni K_758a
   taṇḍulair na niyuñjīta K_424e	taNxulEH na niyuQjIta K_424e
   tataḥ patre viśodhitam K_131d	tatas patre viSoDitam K_131d
   tato 'nye triguṇā matāḥ K_746d	tatas anye triguNAH matAH K_746d
   tato viṃśativarṣāṇi K_298c	tatas viMSati-varzANi K_298c
   tatkartā coradaṇḍabhāk K_517d	tad-kartA cora-daNxa-BAj K_517d
   tat kāryaṃ nṛguṇānvitaiḥ K_744b	tat kAryam nR-guNa-anvitEH K_744b
   tatkālaṃ na vivādayet K_110d	tad-kAlam na vivAdayet K_110d
   tatkālāveditaṃ dhanam K_536b	tad-kAla-Aveditam Danam K_536b
   tatkiṃ tāmarasaṃ kaścid K_184a	tat-kim tAmarasam kaScid K_184a
   tatkṛtācāram etṝṇāṃ K_943c	tad-kRta-AcAram etLNAm K_943c
   tatkriyā baliṣaḍbhāgaṃ K_017c	tad-kriyA bali-zaz-BAgam K_017c
   tat tad evāgrato deyaṃ K_514c	tat tat eva-agratas deyam K_514c
   tat tārayaty anantaṃ syād K_022c	tat tArayati anantam syAt K_022c
   tat tu kuryād ṛṇaṃ samam K_513b	tat tu kuryAt RNam samam K_513b
   tat tu naivottaraṃ bhavet K_188d	tat tu na-eva-uttaram Bavet K_188d
   tat turye pañcame ṣaṣṭe K_708a	tat turye paQcame zazwe K_708a
   tat tenaiva vibhāvayet K_354b	tat tena-eva viBAvayet K_354b
   tattvāgamitasāhasam K_824b	tattva-Agamita-sAhasam K_824b
   tat patram upadhāduṣṭaiḥ K_274c	tat patram upaDA-duzwEH K_274c
   tat patraṃ doṣavarjitam K_299d	tat patram doza-varjitam K_299d
   tatprayatnena pālayet K_593b	tat-prayatnena pAlayet K_593b
   tatprasiddhāni divyāni K_433e	tad-prasidDAni divyAni K_433e
   tatphalasya hi ṣaḍbhāgaṃ K_016c	tad-Palasya hi zaz-BAgam K_016c
   tatra ṛṇaṃ sodayaṃ dāpyo K_523c	tatra RNam sa-udayam dApyaH K_523c
   tatra karma ca yat kuryād K_714c	tatra karma ca yat kuryAt K_714c
   tatra kālo bhavet puṃsām K_158a	tatra kAlaH Bavet puMsAm K_158a
   tatra daṇḍaṃ na kalpayet K_959d	tatra daNxam na kalpayet K_959d
   tatra dharmo vihanyate K_043d	tatra DarmaH vihanyate K_043d
   tatra dharmo hy adharmeṇa K_072c	tatra DarmaH hi aDarmeNa K_072c
   tatra labdhaṃ tu yat kiñcit K_876e	tatra labDam tu yat kiQcid K_876e
   tatra śodhyāḥ svakair naraiḥ K_430d	tatra SoDyAH svakEH narEH K_430d
   tatra sabhyo 'nyathāvādī K_079c	tatra saByaH anyaTAvAdI K_079c
   tatra sākṣikṛtaṃ caiva K_779c	tatra sAkzi-kRtam ca-eva K_779c
   tatra sākṣī mṛtāntaraḥ K_377b	tatra sAkzI mRta-antaraH K_377b
   tatra sādhusamācārā K_014c	tatra sADu-samAcArA K_014c
   tatra syād vyavahārataḥ K_622d	tatra syAt vyavahArataH K_622d
   tatra svam ādadīta strī K_909c	tatra svam AdadIta strI K_909c
   tatrāpi nāśubhaṃ kiṃcit K_719c	tatra-api na-aSuBam kiMcid K_719c
   tatrāpy evaṃ prakalpayet K_969b	tatra-api evam prakalpayet K_969b
   tatrāpy evaṃ prakalpyate K_377d	tatra-api evam prakalpyate K_377d
   tatrābhiyoktā prāg brūyād K_121a	tatra-aBiyoktA prAk brUyAt K_121a
   tat sabhyair brāhmaṇaḥ sahaḥ K_087d	tat saByEH brAhmaNaH sahaH K_087d
   tatsamaṃ cāpnuyād damam K_589d	tad-samam ca-ApnuyAt damam K_589d
   tat sarvaṃ vinivartayet K_655d	tat sarvam vinivartayet K_655d
   tat saṃsaktās tathottarāḥ K_738b	tat saMsaktAH taTA-uttarAH K_738b
   tatsaṃsaktāḥ prakīrtitāḥ K_740b	tad-saMsaktAH prakIrtitAH K_740b
