   akartā nityayajñānāṃ YSS_2.9a	akartA nitya-yajQAnAm YSH-_2.9a
   pathi grāmasya vikṣeptā YSS_2.41c	paTi grAmasya vikzeptA YSH-_2.41c
   pathi śrāntāya tulyāya YSS_2.61a	paTi SrAntAya tulyAya YSH-_2.61a
   panthā deyo 'thavāśramaṃ YSS_2.61b	panTAH deyaH aTavA-ASramam YSH-_2.61b
   paradāre nare ṣaṇḍe YSS_1.27a	para-dAre nare zaNxe YSH-_1.27a
   parapatnīṣu sarvāsu YSS_1.37Ac	para-patnIzu sarvAsu YSH-_1.37Ac
   parasya dāreṣu ca ye prasaktāḥ YSS_1.40c	parasya dArezu ca ye prasaktAH YSH-_1.40c
   parākaṃ kṛcchram ācaret YSS_1.31d	parAkam kRcCram Acaret YSH-_1.31d
   parāko mohasaṃgamāt YSS_1.11d	parAkaH moha-saMgamAt YSH-_1.11d
   parānnam api vātmanaḥ YSS_2.12b	para-annam api vA-AtmanaH YSH-_2.12b
   parābdikām pākavidhau pravṛttiṃ YSS_1.45c	parAbdikAm pAka-viDO pravRttim YSH-_1.45c
   parāvaraś caiva pare 'pare ca YSS_1.44b	parAvaraH ca-eva pare apare ca YSH-_1.44b
   pariyāpya kharājinaṃ YSS_2.21b	pariyApya Kara-ajinam YSH-_2.21b
   parītaṃ vottaraṃ vāsaḥ YSS_2.14a	parItam vA-uttaram vAsaH YSH-_2.14a
   pare 'pare lobhahatās tatas tu YSS_1.44a	pare apare loBa-hatAH tatas tu YSH-_1.44a
   pavitraṃ sarvadā jalam YSS_1.3d	pavitram sarvadA jalam YSH-_1.3d
   pātityaṃ tu pracakṣate YSS_2.63d	pAtityam tu pracakzate YSH-_2.63d
   pānīyaṃ pāvanaṃ nṛṇāṃ YSS_1.4d	pAnIyam pAvanam nRNAm YSH-_1.4d
   pāpān niroddhuṃ na ca pāśadātuḥ YSS_1.54c	pApAt nirodDum na ca pASadAtuH YSH-_1.54c
   pāpā yad icchanti hitāya kartum YSS_1.57b	pApAH yat icCanti hitAya kartum YSH-_1.57b
   pāraṃparyeṇa saṃkīrṇā YSS_1.35c	pAraMparyeNa saMkIrNA YSH-_1.35c
   pāvamānīs tryahaṃ japet YSS_1.27d	pAvamAnIH tri-aham japet YSH-_1.27d
   pāśaṃś chittvā tathā tasya YSS_1.10c	pASan CittvA taTA tasya YSH-_1.10c
   pitā vānyo 'pi bāndhavaḥ YSS_1.20d	pitA vA-anyaH api bAnDavaH YSH-_1.20d
   pitṛvarṇā na te smṛtāḥ YSS_1.38b	pitR-varNAH na te smRtAH YSH-_1.38b
   pitṝṇāṃ taṃ parīkṣyati YSS_2.66d	pitLNAm tam parIkzyati YSH-_2.66d
   piśunaṃ kharam āropya YSS_2.21c	piSunam Karam Aropya YSH-_2.21c
   pītvā vāpidadaṃ dvijaḥ YSS_2.56b	pItvA vApi-dadam dvijaH YSH-_2.56b
   putrasya bhāryāṃ gatvā tu YSS_1.30c	putrasya BAryAm gatvA tu YSH-_1.30c
   purīṣaṃś ca tathā muñcan YSS_2.17c	purIzan ca taTA muQcan YSH-_2.17c
   pūyante tadvrate pūrṇe YSS_1.18c	pUyante tat-vrate pUrNe YSH-_1.18c
   poṣitaṃ stenakāryeṇa YSS_2.20c	pozitam stena-kAryeNa YSH-_2.20c
   pratyabdaṃ sarvam ādāya YSS_2.13c	pratyabdam sarvam AdAya YSH-_2.13c
   pratyahaṃ paṇam āpnuyāt YSS_2.9d	pratyaham paNam ApnuyAt YSH-_2.9d
   pratyutthānaṃ naro 'kurvans YSS_2.34c	pratyutTAnam naraH akurvans YSH-_2.34c
   prayatnāc chuklam utsṛjya YSS_2.58a	prayatnAt Suklam utsRjya YSH-_2.58a
   prayānti tv āpadaṃ mahat YSS_2.65b	prayAnti tu Apadam mahat YSH-_2.65b
   pravrajyānāśakacyutāḥ YSS_1.7b	pravrajyA-anASaka-cyutAH YSH-_1.7b
   prasūtiḥ prathamaṃ bhavet YSS_2.47d	prasUtiH praTamam Bavet YSH-_2.47d
   prājāpatyam iti sthitiḥ YSS_1.24d	prAjApatyam iti sTitiH YSH-_1.24d
   prāpnuyāt prathamaṃ damaṃ YSS_2.27d	prApnuyAt praTamam damam YSH-_2.27d
   prāpnuyān madhyamaṃ damaṃ YSS_2.45d	prApnuyAt maDyamam damam YSH-_2.45d
   prāpyate pūrvasāhasaṃ YSS_2.59b	prApyate pUrva-sAhasam YSH-_2.59b
   prāyaścittaṃ ca neṣyate YSS_1.21d	prAyaScittam ca na-izyate YSH-_1.21d
   prāyaścittaṃ cared bhrātā YSS_1.20c	prAyaScittam caret BrAtA YSH-_1.20c
   prāyaścittaṃ na vidyate YSS_1.12d	prAyaScittam na vidyate YSH-_1.12d
   prāyaścittaṃ niṣevate YSS_1.17b	prAyaScittam nizevate YSH-_1.17b
   prāyaścittaṃ manīṣibhiḥ YSS_1.13d	prAyaScittam manIziBiH YSH-_1.13d
   prāyaścittaṃ vidur budhāḥ YSS_1.12b	prAyaScittam viduH buDAH YSH-_1.12b
   prāyaścittaṃ viśodhanaṃ YSS_2.4d	prAyaScittam viSoDanam YSH-_2.4d
   prāyaścittārdham arhanti YSS_1.19c	prAyaScitta-arDam arhanti YSH-_1.19c
   prāyaścittīyatāṃ prāpya YSS_2.1a	prAyaScittIyatAm prApya YSH-_2.1a
   prāyaścitte 'vyavasite YSS_1.16a	prAyaScitte avyavasite YSH-_1.16a
   pretasammārjanaṃ malaṃ YSS_2.41a	preta-sammArjanam malam YSH-_2.41a
   protsāhakas saṃpratighātakaś ca YSS_1.42b	protsAhakaH saMpratiGAtakaH ca YSH-_1.42b
   bandhubhiḥ pitṛmātṛtaḥ YSS_1.38d	banDuBiH pitR-mAtRtaH YSH-_1.38d
   bandhubhyāṃ pitṛmātṛtaḥ YSS_1.31b	banDuByAm pitR-mAtRtaH YSH-_1.31b
   balabhṛto hi sāhasī YSS_2.73b	balaBRtaH hi sAhasI YSH-_2.73b
   bālādivṛddhair nṛpapīḍitaiś ca YSS_1.39b	bAla-Adi-vRdDEH nRpa-pIxitEH ca YSH-_1.39b
   bālāndharogivṛddhānāṃ YSS_2.15a	bAla-anDa-rogi-vRdDAnAm YSH-_2.15a
   bālo vāpy ūnaṣoḍaśaḥ YSS_1.19b	bAlaH vA-api Una-zoxaSaH YSH-_1.19b
   bāhyā brāhmaṇamāninaḥ YSS_1.35b	bAhyAH brAhmaNa-mAninaH YSH-_1.35b
   brāhmaṇaḥ patito bhavet YSS_2.57b	brAhmaNaH patitaH Bavet YSH-_2.57b
   brāhmaṇān āśayed dvijaḥ YSS_2.67d	brAhmaNAn ASayet dvijaH YSH-_2.67d
   brāhmaṇena vipaścitā YSS_2.77d	brAhmaNena vipaScitA YSH-_2.77d
   brāhmaṇyāṃ śūdrataś ca yaḥ YSS_1.36b	brAhmaNyAm SUdrataH ca yaH YSH-_1.36b
   bhaktapradātā pratimucyate tu YSS_1.43d	Bakta-pradAtA pratimucyate tu YSH-_1.43d
   bhakṣaṇe patitaḥ smṛtaḥ YSS_2.53d	BakzaNe patitaH smRtaH YSH-_2.53d
   bhagacihnaṃ madyacihnaṃ YSS_2.11a	Baga-cihnam madya-cihnam YSH-_2.11a
   bhavanti vratacāriṣu YSS_2.60d	Bavanti vrata-cArizu YSH-_2.60d
   bhaveyuḥ te vigarhitāḥ YSS_1.17d	BaveyuH te vigarhitAH YSH-_1.17d
   bhasmanāpi ca liptāṅgaṃ YSS_2.24a	BasmanA-api ca lipta-aFgam YSH-_2.24a
   bhāṇḍasthaṃ dharaṇīsthaṃ vā YSS_1.4c	BANxa-sTam DaraNI-sTam vA YSH-_1.4c
   bhāryā sutā gotraruhā snuṣā vā YSS_1.48a	BAryA sutA gotraruhA snuzA vA YSH-_1.48a
   bhāṣaṇāt piśunair naraiḥ YSS_2.28d	BAzaNAt piSunEH narEH YSH-_2.28d
   bhāṣā pravṛttā na khalu pramāṇam YSS_1.39c	BAzA pravRttAH na Kalu pramANam YSS_1.39c
   bhittvā gṛhāṃs tu hṛtvā svaṃ YSS_2.22a	BittvA gRhAn tu hRtvA svam YSH-_2.22a
   bhuktvā pūrvaṃ tu tadgṛhe YSS_2.51d	BuktvA pUrvam tu tad-gRhe YSH-_2.51d
   bhuñjānaḥ prāpnuyāt grāsaṃ YSS_2.33c	BuQjAnaH prApnuyAt grAsam YSH-_2.33c
   bhuñjāno yasya pakvānnaṃ YSS_2.48a	BuQjAnaH yasya pakva-annam YSH-_2.48a
   bhuñjāno vṛṣalāśanaṃ YSS_2.9b	BuQjAnaH vRzala-aSanam YSH-_2.9b
   bhuñjāno vṛṣalīpateḥ YSS_2.50b	BuQjAnaH vRzalI-pateH YSH-_2.50b
   bhoktā ca viṣamopame YSS_2.46d	BoktA ca vizama-upame YSH-_2.46d
   bhoktā naṣṭakriyas tasya YSS_2.12c	BoktA nazwa-kriyaH tasya YSH-_2.12c
   bhojayet tulyapaṅktau tu YSS_2.27c	Bojayet tulya-paFktO tu YSH-_2.27c
   bhraṃśadaṇḍam prakalpayet YSS_2.73d	BraMSa-daNxam prakalpayet YSH-_2.73d
   bhrātā suto dāsabhṛto jano vā YSS_1.48b	BrAtA sutaH dAsa-BRtaH janaH vA YSH-_1.48b
   makṣikādyupaghātitaḥ YSS_1.11b	makzikA-Adi-upaGAtitaH YSH-_1.11b
   matsyānāṃ āpnuyāc chataṃ YSS_2.52d	matsyAnAm ApnuyAt Satam YSH-_2.52d
   madyādīnāṃ tv abhakṣyāṇāṃ YSS_2.52a	madya-AdInAm tu aBakzyANAm YSH-_2.52a
   madhyamaṃ daṇḍam āpnoti YSS_2.59c	maDyamam daNxam Apnoti YSH-_2.59c
   mantrī sahāyas sahavāsyavadhyaḥ YSS_1.42c	mantrI sahAyaH saha-vAsya-vaDyaH YSH-_1.42c
   mayūrahaṃsabhāsāñ ca YSS_2.6a	mayUra-haMsa-BAsAn ca YSH-_2.6a
   marīcaṃ khaṇḍapāṣāṇaiḥ YSS_2.38a	marIcam KaNxapAzANEH YSH-_2.38a
   mallaś cāntyāvasāyinaḥ YSS_1.32d	mallaH ca-antyAvasAyinaH YSH-_1.32d
   mahāpātakakartāraś YSS_1.25a	mahApAtaka-kartAraH YSH-_1.25a
   mahāpātakasaṃyuktāḥ YSS_1.2a	mahApAtaka-saMyuktAH YSH-_1.2a
   mahāmṛgaṃ pakṣimṛgaṃ paśuṃ vā YSS_1.50a	mahAmRgam pakzi-mRgam paSum vA YSH-_1.50a
   māghamāse tu pauruṣam YSS_1.26b	mAGa-mAse tu pOruzam YSH-_1.26b
   mātaraṃ gurupatnīṃ ca YSS_1.29a	mAtaram guru-patnIm ca YSH-_1.29a
   mātā tu tasya śūdrasya YSS_2.63c	mAtA tu tasya SUdrasya YSH-_2.63c
   mātṛvarṇā na te proktāḥ YSS_1.38a	mAtR-varNAH na te proktAH YSH-_1.38a
   mātṛsvatantrair nṛpasaṃgataiś ca YSS_1.39a	mAtR-svatantrEH nRpa-saMgatEH ca YSH-_1.39a
   mānavo nācared vrataṃ YSS_2.4b	mAnavaH na-Acaret vratam YSH-_2.4b
   mānuṣaiś caritaṃ vinā YSS_1.5b	mAnuzEH caritam vinA YSH-_1.5b
   māsaṃ samāpnoti parāya dattvā YSS_1.46b	mAsam samApnoti parAya dattvA YSH-_1.46b
   māhendrīṃ vāruṇīñ cāpi YSS_2.17a	mAhendrIm vAruNIn ca-api YSH-_2.17a
   miśritaṃ tilatailena YSS_2.37a	miSritam tila-tElena YSH-_2.37a
   miśritya saha sādhubhiḥ YSS_2.27b	miSritya saha sADuBiH YSH-_2.27b
   miśrīkṛtya tato nṛṇāṃ YSS_2.40b	miSrIkRtya tatas nRNAm YSH-_2.40b
   mūtraṃ sthitvā samutsṛjet YSS_2.16d	mUtram sTitvA samutsRjet YSH-_2.16d
   mṛtam udbandhanena ca YSS_1.10b	mRtam udbanDanena ca YSH-_1.10b
   mṛte golakanāmā tu YSS_1.37c	mRte golaka-nAmA tu YSH-_1.37c
   meṣaṃ hatvā ca ṣoḍaśa YSS_2.43d	mezam hatvA ca zoxaSa YSH-_2.43d
   maithunaṃ goṣu gatvā tu YSS_2.58c	mETunam gozu gatvA tu YSH-_2.58c
   moktā rūpye ca daṇḍyate YSS_2.42d	moktA rUpye ca daNxyate YSH-_2.42d
   mauñjīhomena śudhyati YSS_1.15d	mOQjI-homena SuDyati YSH-_1.15d
   yajñe vivāhe ca tathotsaveṣu YSS_1.45a	yajQe vivAhe ca taTA-utsavezu YSH-_1.45a
   yadi pravṛttau na paropatāpe YSS_1.46d	yadi pravRttO na para-upatApe YSH-_1.46d
   yad yaddhi jātir dvijavargajātyā YSS_1.51a	yat yat-hi jAtiH dvija-varga-jAtyA YSH-_1.51a
   yamadātur bhaven meṣo YSS_2.61c	yama-dAtuH Bavet mezaH YSH-_2.61c
   yamaṃ yamitamānasam YSS_1.1d	yamam yamita-mAnasam YSS_1.1d
   yaśo rāṣṭraṃ ca varddhate YSS_2.75d	yaSaH rAzwram ca vardDate YSH-_2.75d
   yaś chadati hi pāpānāṃ YSS_2.32c	yaH Cadati hi pApAnAm YSH-_2.32c
   yas tu bhāryābhṛtiṃ dvijaḥ YSS_2.54b	yaH tu BAryA-BRtim dvijaH YSH-_2.54b
   yāgādikam pāpakṛto na daṇḍyāḥ YSS_1.51b	yAga-Adikam pApa-kRtaH na daNxyAH YSH-_1.51b
   yāvad eko 'pṛthagdravyaḥ YSS_1.17a	yAvat ekaH apRTak-dravyaH YSH-_1.17a
   ye narās tv akṛtavratāḥ YSS_2.1b	ye narAH tu akRta-vratAH YSH-_2.1b
   ye śyāmaśabalācyutāḥ YSS_1.9b	ye SyAma-Sabala-acyutAH YSH-_1.9b
   yair yair vratair viśudhyanti YSS_1.2c	yEH yEH vratEH viSuDyanti YSH-_1.2c
   yo jāyāṃ karajair vraṇaṃ YSS_2.55b	yaH jAyAm karajEH vraNam YSH-_2.55b
   yo duṣṭabhāvena parasya hantā YSS_1.41a	yaH duzwa-BAvena parasya hantA YSH-_1.41a
   yo doṣaduṣṭas sa nṛpeṇa śāsyo YSS_1.48c	yaH doza-duzwaH sa nRpeNa SAsyaH YSH-_1.48c
   yonyāṃ goṣu naro vrajet YSS_2.60b	yonyAm gozu naraH vrajet YSH-_2.60b
   yo yasya bhaktāśrayadāsasaktaḥ YSS_1.43a	yaH yasya Bakta-ASraya-dAsa-saktaH YSH-_1.43a
   yo vartate yasya narasya citte YSS_1.49c	yaH vartate yasya narasya citte YSH-_1.49c
   yo vāhanaṃ kartari vāraṇaṃ vā hy YSS_1.47a	yaH vAhanam kartari vAraNam vA hi YSH-_1.47a
   yoṣitmukhaṃ tu bhuñjāno YSS_2.56a	yozitmuKam tu BuQjAnaH YSH-_2.56a
   raktamālyavibhūṣitaṃ YSS_2.20b	rakta-mAlya-viBUzitam YSH-_2.20b
   rajakaś carmakāraś ca YSS_1.32a	rajakaH carmakAraH ca YSH-_1.32a
   rajatena tathaiva ca YSS_2.70b	rajatena taTA-eva ca YSH-_2.70b
   rathyādau doṣam āpnuyāt YSS_2.15d	raTyA-AdO dozam ApnuyAt YSH-_2.15d
   rahasyakāriṇas tv ete YSS_1.26a	rahasya-kAriNaH tu ete YSH-_1.26a
   rahas saṃkamya vā sakṛt YSS_1.32Ab	rahaH saMkamya vA sakRt YSH-_1.32a-ab
   rājadaṇḍo na tasyāsti YSS_1.21c	rAja-daNxaH na tasya-asti YSH-_1.21c
   rājasaṃ brāhmaṇādhamaṃ YSS_2.26b	rAjasam brAhmaNa-aDamam YSH-_2.26b
   rājā rāṣṭrāt pravāsayet YSS_2.7d	rAjA rAzwrAt pravAsayet YSH-_2.7d
   rājā rāṣṭrāt pravāsayet YSS_2.24d	rAjA rAzwrAt pravAsayet YSH-_2.24d
   rājā rāṣṭreṣu kaṇṭakān YSS_2.19b	rAjA rAzwrezu kaNwakAn YSH-_2.19b
   rājā sāhasikaṃ rāṣṭrāc YSS_2.22c	rAjA sAhasikam rAzwrAt YSH-_2.22c
   rājña ity eva kalpayet YSS_2.36d	rAjQaH iti eva kalpayet YSH-_2.36d
   rājñaḥ svārtthaṃ pracakṣate YSS_2.12d	rAjQaH svArtTam pracakzate YSH-_2.12d
   rātrāv ahani vā dvijaḥ YSS_1.4Ab	rAtrO ahani vA dvijaH YSS_1.4Ab
   rātrau nakṣatramārutaiḥ YSS_1.3b	rAtrO nakzatra-mArutEH YSH-_1.3b
   lalāṭe bhagam aṅkayet YSS_2.10d	lalAwe Bagam aFkayet YSH-_2.10d
   lavaṇañ ca tathā mṛdā YSS_2.38b	lavaNan ca taTA mRdA YSH-_2.38b
   lavaṇaṃ tailam eva ca YSS_2.44b	lavaNam tElam eva ca YSH-_2.44b
   lākṣāñ ca vikrayaṃ kurvan YSS_2.44c	lAkzAn ca vikrayam kurvan YSH-_2.44c
   liṅgāj jānāti mānavaḥ YSS_2.31b	liFgAt jAnAti mAnavaH YSH-_2.31b
   vaṇik caturguṇaṃ dāpyaṃ YSS_2.37c	vaNij caturguNam dApyam YSH-_2.37c
   variṣṭhalaghu vāgṛte YSS_2.36b	varizWa-laGu vAc-Rte YSH-_2.36b
   varjanīyāḥ prayatnataḥ YSS_1.35d	varjanIyAH prayatnataH YSH-_1.35d
   vikrītaṃ ghṛtakākhyayā YSS_2.37b	vikrItam GRtaka-AKyayA YSH-_2.37b
   vikretā tatsamaṃ dāpyo YSS_2.39c	vikretA tad-samam dApyaH YSH-_2.39c
   vittaṃ dattaṃ tathāmārgād YSS_2.28a	vittam dattam taTA-amArgAt YSH-_2.28a
   vipram agniparityaktaṃ YSS_2.7a	vipram agni-parityaktam YSH-_2.7a
   vipram utpāditāpatyaṃ YSS_2.47a	vipram utpAdita-apatyam YSH-_2.47a
   vipras tu vṛṣalīpateḥ YSS_2.48b	vipraH tu vRzalI-pateH YSH-_2.48b
   viprasyoktaparityaktaṃ YSS_2.13a	viprasya-ukta-parityaktam YSH-_2.13a
   vipraṃ tu vṛṣalīpatiṃ YSS_2.67b	vipram tu vRzalI-patim YSH-_2.67b
   vipraṃ sarvasvam ādāya YSS_2.10c	vipram sarva-svam AdAya YSH-_2.10c
   vipraḥ kṣatriyayā spṛṣṭas YSS_2.71a	vipraH kzatriyayA spRzwaH YSH-_2.71a
   vipraḥ pañcāśad āpnuyāt YSS_2.58b	vipraH paQcASat ApnuyAt YSH-_2.58b
   vipraḥ prāpnoti madhyamaṃ YSS_2.44d	vipraH prApnoti maDyamam YSH-_2.44d
   vipraḥ prāpnoti ṣoḍaśa YSS_2.52b	vipraH prApnoti zoxaSa YSH-_2.52b
   vipraḥ śūdrāvaraḥ smṛtaḥ YSS_2.62b	vipraH SUdra-avaraH smRtaH YSH-_2.62b
   vipro 'gnihā pratīkṣate YSS_2.64d	vipraH agni-hA pratIkzate YSH-_2.64d
   vipro nakulam eva hi YSS_2.5d	vipraH nakulam eva hi YSH-_2.5d
   vipro hṛtvākhilaṃ dhanaṃ YSS_2.29d	vipraH hRtvA-aKilam Danam YSH-_2.29d
   viśeṣāc cānimittataḥ YSS_2.49d	viSezAt ca-animittataH YSH-_2.49d
   viśo vittaṃ nayād .. YSS_2.65c	viSaH vittam nayAt .. YSH-_2.65c
   viṣaprapatanaprāyāḥ YSS_1.7c	viza-prapatana-prAyAH YSH-_1.7c
   viṣṭādipūrṇasaṃkṣiptaṃ YSS_2.20a	vizwa-Adi-pUrNa-saMkziptam YSH-_2.20a
   visṛjya tu naro mūtraṃ YSS_2.15c	visRjya tu naraH mUtram YSH-_2.15c
   visṛṣṭvānuparīkṣyaitān YSS_2.19a	visRzwvA-anuparIkzya-etAn YSH-_2.19a
   viṃśatiṃ vratam ādiśet YSS_2.32d	viMSatim vratam AdiSet YSH-_2.32d
   vṛṣaḷīpatinā spṛṣṭam YSS_2.68a	vRza?I-patinA spRzwam YSH-_2.68a
   vṛṣalāyāṃ ca vāñchakaṃ YSS_2.10b	vRzalAyAm ca vAQCakam YSH-_2.10b
   vṛṣalāśanasevinaḥ YSS_2.13b	vRzala-aSana-sevinaH YSH-_2.13b
   vṛṣalīpatim utsṛjet YSS_2.23d	vRzalI-patim utsRjet YSH-_2.23d
   vṛṣalyāṃ yo vahed ataḥ YSS_2.47b	vRzalyAm yaH vahet atas YSH-_2.47b
   vedavidbhyo nivedayet YSS_2.13d	veda-vidByaH nivedayet YSH-_2.13d
   vedaśāstraviśāradam YSS_1.1b	veda-SAstra-viSAradam YSH-_1.1b
   vedaiś ca pṛṣṭair ṛṣibhiś ca gītaṃ YSS_1.56d	vedEH ca pRzwEH RziBiH ca gItam YSH-_1.56d
   veśyāsu śuklasektāraṃ YSS_2.11c	veSyAsu Sukla-sektAram YSH-_2.11c
   vrajan māhiṣayoniṣu YSS_2.59d	vrajan mAhiza-yonizu YSH-_2.59d
   vratacāryaś caran bhikṣām YSS_2.33a	vrata-cAryaH caran BikzAm YSH-_2.33a
   vratabhaṅgaṃ surābhāṇḍaṃ YSS_2.23a	vrata-BaFgam surA-BANxam YSH-_2.23a
   vrataṃ daṇḍaś ca gṛhyate YSS_2.2d	vratam daNxaH ca gRhyate YSH-_2.2d
   śakyaṃ śodhayituṃ prājñaiḥ YSS_2.70c	Sakyam SoDayitum prAjQEH YSH-_2.70c
   śaṅkāviśuddhiḥ puruṣeṇa kāryā YSS_1.42d	SaFkA-viSudDiH puruzeNa kAryA YSH-_1.42d
   śavakeśāsthidhūpitaṃ YSS_2.24b	Sava-keSa-asTi-DUpitam YSH-_2.24b
   śavakeśair vījyamānaṃ YSS_2.25a	Sava-keSEH vIjyamAnam YSH-_2.25a
   śaśaṃ kūrmañ ca godhāñ ca YSS_2.43c	SaSam kUrman ca goDAn ca YSH-_2.43c
   śastraghātahatāś ca ye YSS_1.7d	Sastra-GAta-hatAH ca ye YSH-_1.7d
   śastrapradātā viṣavahnido 'pi YSS_1.46a	Sastra-pradAtA viza-vahni-daH api YSH-_1.46a
   śuklasektari kṛṣṇāyāṃ YSS_2.64c	Sukla-sektari kRzNAyAm YSH-_2.64c
   śuddhas tad ahar evāsāv YSS_1.16c	SudDaH tat ahar eva-asO YSH-_1.16c
   śuddhyarthaṃ samyag ācaret YSS_1.23Ad	SudDi-arTam samyak Acaret YSH-_1.23Ad
   śudhyanti hi payovratāḥ YSS_1.28d	SuDyanti hi payaH-vratAH YSH-_1.28d
   śudhyanty antarjale sthitāḥ YSS_1.26d	SuDyanti antar-jale sTitAH YSH-_1.26d
   śunaś cāpi tiraskṛtya YSS_2.67c	SunaH ca-api tiraskRtya YSH-_2.67c
   śūdrapreṣyakarañ caiva YSS_2.7c	SUdra-prezya-karan ca-eva YSH-_2.7c
   śūdraṣ ṣaṭpadam āpnoti YSS_2.35c	SUdraH zawpadam Apnoti YSH-_2.35c
   śūdraṃ vāpy anulomajam YSS_1.23d	SUdram vA-api anuloma-jam YSH-_1.23d
   śūdrāgāmī dvijaḥ paśyet YSS_2.66c	SUdrA-gAmI dvijaH paSyet YSH-_2.66c
   śūdrāyāṃ patito bhavet YSS_2.62d	SUdrAyAm patitaH Bavet YSH-_2.62d
   śūdrāsu śuklasektāraṃ YSS_2.10a	SUdrAsu Sukla-sektAram YSH-_2.10a
   śūdrāsūtpāditāpatyaṃ YSS_2.26a	SUdra-Asu-utpAdita-apatyam YSH-_2.26a
   śūdrāṃ tu sevamānād dhi YSS_2.62a	SUdrAm tu sevamAnAt Di YSH-_2.62a
   śūnām api aśuddhānām YSS_2.66a	SUnAm api aSudDAnAm YSH-_2.66a
   śravaṇe 'dhikṛtāgamāt YSS_2.77b	SravaNe aDikRta-AgamAt YSH-_2.77b
   śrāddhaṃ tu tadgṛhe bhuktvā YSS_2.49a	SrAdDam tu tad-gRhe BuktvA YSH-_2.49a
   śrāddhe spṛṣṭaṃ vinaśyati YSS_2.70d	SrAdDe spRzwam vinaSyati YSH-_2.70d
   śvapadaṃ tu mukhe 'ṅkayet YSS_2.30d	Svapadam tu muKe aFkayet YSH-_2.30d
   śvapadādi mukhe nyasya YSS_2.21a	Svapat-Adi muKe nyasya YSH-_2.21a
   śvaśurasya nṛpasya ca YSS_2.34b	SvaSurasya nRpasya ca YSH-_2.34b
   śvāpadoṣṭrahayādyaiś ca YSS_1.5a	SvApada-uzwra-haya-AdyEH ca YSH-_1.5a
   ṣaṭcatasras tathānyāś ca YSS_1.31a	zawcatasraH taTA-anyAH ca YSH-_1.31a
   ṣaṇṇavatyarddham āpnoti YSS_2.51c	zaNNavatyardDam Apnoti YSH-_2.51c
   ṣaṇmāsaṃ kṛcchram ācaret YSS_1.30d	zaz-mAsam kRcCram Acaret YSH-_1.30d
   sagotrād yaś ca jāyate YSS_1.36d	sagotrAt yaH ca jAyate YSH-_1.36d
   sadāpy asāhasaṃ pūrvaṃ YSS_2.4c	sadA-api asAhasam pUrvam YSH-_2.4c
   sadyaḥ snātvā spṛśed agniṃ YSS_1.4Ac	sadyas snAtvA spRSet agnim YSH-_1.4Ac
   sandhyayoś ca sadā śuciḥ YSS_1.4Ad	sanDyayoH ca sadA SuciH YSH-_1.4Ad
   sandhyāṃ nopāsate dvijaḥ YSS_2.8d	sanDyAm na-upAsate dvijaH YSH-_2.8d
   samānajātīyam athetaraṃ vā YSS_1.50b	samAna-jAtIyam aTa-itaram vA YSH-_1.50b
   samānapuṃsā 'py asamānapuṃsā YSS_1.45b	samAna-puMsA api asamAna-puMsA YSH-_1.45b
   sa rājāsatpratigrāhyaḥ YSS_2.72c	sa rAjA-asat-pratigrAhyaH YSH-_2.72c
   sarpā na hiṃsanti parair abhītāḥ YSS_1.51d	sarpAH na hiMsanti parEH aBItAH YSH-_1.51d
   sarvadharmabahiṣkṛtāḥ YSS_1.8b	sarva-Darma-bahizkRtAH YSH-_1.8b
   sarvapātakasampāte YSS_1.12c	sarva-pAtaka-sampAte YSH-_1.12c
   sarvapātakasampāte YSS_1.13a	sarva-pAtaka-sampAte YSH-_1.13a
   sarvam annam abhojyaṃ syāt YSS_2.68c	sarvam annam aBojyam syAt YSH-_2.68c
   sarvam ādāya bhūmipaḥ YSS_2.11d	sarvam AdAya BUmipaH YSH-_2.11d
   sarve te (')rikthabhāginaḥ YSS_1.18d	sarve te (-a)rikTa-BAginaH YSH-_1.18d
   sasyaṃ vṛddhaṃ samādadyāt YSS_2.69c	sasyam vRdDam samAdadyAt YSH-_2.69c
   sahasraṃ damam āpnoti YSS_2.47c	sahasram damam Apnoti YSH-_2.47c
   sahasraṃ damam āpnoti YSS_2.54c	sahasram damam Apnoti YSH-_2.54c
   sahasraṃ damam āpnoti YSS_2.60a	sahasram damam Apnoti YSH-_2.60a
   sahasraṃ dāpayed damaṃ YSS_2.3d	sahasram dApayet damam YSH-_2.3d
   saṃtyaktajīvo mriyate kadācid YSS_1.55Aa	saMtyakta-jIvaH mriyate kadAcid YSH-_1.55Aa
   saṃdhyādvayor vā saṃdhyābhyāṃ YSS_1.3c	saMDyA-dvayoH vA saMDyAByAm YSH-_1.3c
   saṃdhyopāsanavarjitaṃ YSS_2.7b	saMDyA-upAsana-varjitam YSH-_2.7b
   saṃsargam icchanti phalaṃ tathā syāt YSS_1.57c	saMsargam icCanti Palam taTA syAt YSH-_1.57c
   saṃsidhyati ca mārgataḥ YSS_2.76d	saMsiDyati ca mArgataH YSH-_2.76d
   sāhasaṃ pūrvam āpnoti YSS_2.49c	sAhasam pUrvam Apnoti YSH-_2.49c
   sāhasī vṛṣalīpatiḥ YSS_2.18b	sAhasI vRzalI-patiH YSH-_2.18b
   siddham annam idaṃ punaḥ YSS_2.68d	sidDam annam idam punar YSH-_2.68d
   surācihnaṃ lalāṭake YSS_2.11b	surA-cihnam lalAwake YSH-_2.11b
