   akṣahīno 'pi karṣakaḥ KirT_3.11d	akza-hInaH api karzakaH KirT_3.11d
   tenātmānaṃ prakāśayet KirT_5.26b	tena-AtmAnam prakASayet KirT_5.26b
   tenāyaṃ niyamaḥ sthitaḥ KirT_6.14b	tena-ayam niyamaH sTitaH KirT_6.14b
   tebhyo bhūtāni jātāni KirT_4.23e	teByaH BUtAni jAtAni KirT_4.23e
   teṣāṃ muktistathaiva hi KirT_6.7d	tezAm muktiH-taTA-eva hi KirT_6.7d
   taiḥ prakalpya śarīraṃ svaṃ KirT_3.17c	tEH prakalpya SarIram svam KirT_3.17c
   trāsitatridaśāsura KirT_1.6b	trAsita-tridaSa-asura KirT_1.6b
   tridhāsiddhiviceṣṭitaiḥ KirT_3.20b	triDA-sidDi-vicezwitEH KirT_3.20b
   trividhaḥ kṛtyabhedena KirT_3.25a	triviDaH kRtya-Bedena KirT_3.25a
   tryavasthaḥ puruṣaḥ smṛtaḥ KirT_1.23b	tri-avasTaH puruzaH smRtaH KirT_1.23b
   tvayānādirmalaḥ prokto KirT_2.11a	tvayA-anAdiH-malaH proktaH KirT_2.11a
   dakṣayajñavināśana KirT_1.7b	dakza-yajQa-vinASana KirT_1.7b
   dagdhabījamivāṇubhiḥ KirT_6.20b	dagDa-bIjam-iva-aNuBiH KirT_6.20b
   darśitāsṛksunirjhara KirT_1.6d	darSita-asRj-su-nirJara KirT_1.6d
   darśito nāmabhedataḥ KirT_3.25b	darSitaH nAma-BedataH KirT_3.25b
   dīkṣayā bhaktiyogataḥ KirT_6.12b	dIkzayA Bakti-yogataH KirT_6.12b
   dīkṣayaiva na mokṣaḥ syād KirT_6.9c	dIkzayA-eva na mokzaH syAt KirT_6.9c
   dīkṣā kāraṇamiṣyate KirT_6.9b	dIkzA kAraNam-izyate KirT_6.9b
   dīkṣāpi kriyate kila KirT_6.15b	dIkzA-api kriyate kila KirT_6.15b
   dīkṣā yadi ca saṃsthitā KirT_5.22d	dIkzA yadi ca saMsTitA KirT_5.22d
   dīkṣite 'khiladīkṣaṇam KirT_6.3d	dIkzite aKila-dIkzaNam KirT_6.3d
   dīkṣitottarakāle 'pi KirT_5.23a	dIkzita-uttara-kAle api KirT_5.23a
   dīkṣito 'pi tirohitaḥ KirT_5.27b	dIkzitaH api tirohitaH KirT_5.27b
   dūrastho mantramukhyaistu KirT_6.17c	dUra-sTaH mantra-muKyEH-tu KirT_6.17c
   dṛśyate phalasādhakaḥ KirT_3.10b	dRSyate Pala-sADakaH KirT_3.10b
   dṛśyate bhakticihnena KirT_6.22c	dRSyate Bakti-cihnena KirT_6.22c
   dṛṣṭaṃ khadyotakādestad KirT_4.25c	dRzwam Kadyotaka-AdeH-tat KirT_4.25c
   devaḥ prokto na niṣkalaḥ KirT_3.21b	devaH proktaH na nizkalaH KirT_3.21b
   dehapāte vimokṣaḥ syāt KirT_6.21a	dehapAte vimokzaH syAt KirT_6.21a
   dyotako 'pyupacārataḥ KirT_5.20b	dyotakaH api-upacArataH KirT_5.20b
   dvijātayastu ye varṇā KirT_6.1c	dvijAtayaH-tu ye varNAH KirT_6.1c
   dvijādivarṇaniśreṇī KirT_5.31c	dvija-Adi-varNa-niSreNI KirT_5.31c
   dvividhe 'pi tirobhāve KirT_5.27c	dviviDe api tiroBAve KirT_5.27c
   dvisvabhāvagato yo 'nyo KirT_3.21a	dvi-svaBAva-gataH yaH anyaH KirT_3.21a
   dvisvabhāvastathā yo 'nyo KirT_3.14c	dvi-svaBAvaH-taTA yaH anyaH KirT_3.14c
   dharma ityupacaryate KirT_2.23d	DarmaH iti-upacaryate KirT_2.23d
   na kalpyāstvasitāḥ kalāḥ KirT_3.16d	na kalpyAH-tu-asitAH kalAH KirT_3.16d
   na ca kālādṛte tatra KirT_5.19a	na ca kAlAt-Rte tatra KirT_5.19a
   na ca cihnaṃ kvacitsphuṭam KirT_6.22d	na ca cihnam kvacid-sPuwam KirT_6.22d
   na jāterna śarīrasya KirT_6.3a	na jAteH-na SarIrasya KirT_6.3a
   na tatkāryagaṇo 'dhvani KirT_4.20d	na tad-kArya-gaNaH aDvani KirT_4.20d
   na tirobhāvakartṛtvād KirT_5.25a	na tiroBAva-kartR-tvAt KirT_5.25a
   na dehena vinā muktir KirT_4.29a	na dehena vinA muktiH KirT_4.29a
   na nāḍī na ca dhāraṇā KirT_3.22d	na nAxI na ca DAraNA KirT_3.22d
   na niyogaṃ vinā sthitiḥ KirT_4.4d	na niyogam vinA sTitiH KirT_4.4d
   na punastādṛśī śaktiḥ KirT_5.30c	na punar-tAdRSI SaktiH KirT_5.30c
   na bhogaścitkriyāguruḥ KirT_4.29b	na BogaH-citkriyA-guruH KirT_4.29b
   narasya śakaṭāṅgavat KirT_4.28b	narasya Sakawa-aFga-vat KirT_4.28b
   narārthaṃ sādhayedbhinnaṃ KirT_4.28a	nara-arTam sADayet-Binnam KirT_4.28a
   na sañjāto na bhogabhuk KirT_2.7d	na san-jAtaH na Boga-Buj KirT_2.7d
   nākṣubdhā kāryakartrī cet KirT_4.19a	na-akzubDA kArya-kartrI ced KirT_4.19a
   nādabindukhamantrāṇu- KirT_3.23c	nAda-bindu-Ka-mantra-aNu KirT_3.23c
   nānyathā ghaṭavadbhavet KirT_3.12b	na-anyaTA Gawa-vat-Bavet KirT_3.12b
   nānyathā sāsya jāyate KirT_2.7b	na-anyaTA sA-asya jAyate KirT_2.7b
   nānyathāsya vinirdiṣṭaṃ KirT_3.5e	na-anyaTA-asya vinirdizwam KirT_3.5e
   nāmasaṃkīrtanādeva KirT_6.17a	nAma-saMkIrtanAt-eva KirT_6.17a
   nityaṃ kāryakarī bhavet KirT_4.19d	nityam kArya-karI Bavet KirT_4.19d
   nityo 'pyukto vinaśvaraḥ KirT_5.3d	nityaH api-uktaH vinaSvaraH KirT_5.3d
   nipātaścihnavācakaḥ KirT_5.8b	nipAtaH-cihna-vAcakaH KirT_5.8b
   nipāto na vibhutvataḥ KirT_5.1b	nipAtaH na viBu-tvataH KirT_5.1b
   nipāto bhayado yadvad KirT_5.5a	nipAtaH Baya-daH yadvat KirT_5.5a
   nimittamanayorbrūhi KirT_2.1c	nimittam-anayoH-brUhi KirT_2.1c
   nimittaṃ kalpyate tadā KirT_2.3b	nimittam kalpyate tadA KirT_2.3b
   niyatagrāhakāṇi ca KirT_4.6b	niyata-grAhakANi ca KirT_4.6b
   niyatāni yato 'kṣāṇi KirT_4.6a	niyatAni yatas akzANi KirT_4.6a
   niyuktaḥ svasamaprabhuḥ KirT_3.27b	niyuktaH sva-sama-praBuH KirT_3.27b
   nirmalatvācchivasyātra KirT_3.16c	nirmala-tvAt-Sivasya-atra KirT_3.16c
   niṣkalaṃ lakṣyate śaktyā KirT_3.15c	nizkalam lakzyate SaktyA KirT_3.15c
   niṣkalaḥ sa kathaṃ jñeyaḥ KirT_3.14a	nizkalaH sa kaTam jQeyaH KirT_3.14a
   niṣkriyo nirguṇo 'prabhuḥ KirT_1.15b	nizkriyaH nirguNaH apraBuH KirT_1.15b
   nopāyasādhanāpekṣā KirT_5.17a	na-upAya-sADana-apekzA KirT_5.17a
   nyūnādhikagatiḥ katham KirT_6.2d	nyUna-aDika-gatiH kaTam KirT_6.2d
   nyūnādhikatayā sthitāḥ KirT_6.1d	nyUna-aDika-tayA sTitAH KirT_6.1d
   nyūnādhikatuṭiḥ katham KirT_5.9d	nyUna-aDika-tuwiH kaTam KirT_5.9d
   pañca tanmātrakāṇi ca KirT_4.23d	paQca tanmAtrakANi ca KirT_4.23d
   patiteti tadocyate KirT_5.7d	patitA-iti tadA-ucyate KirT_5.7d
   patīnsaṃprerayatyasau KirT_3.25d	patIn-saMprerayati-asO KirT_3.25d
   padārthoddyotakaṃ sphuṭam KirT_1.12d	padArTa-uddyotakam sPuwam KirT_1.12d
   padmabodhaḥ samo na kim KirT_4.3b	padma-boDaH samaH na kim KirT_4.3b
   padmabodhe yathā raveḥ KirT_5.18d	padma-boDe yaTA raveH KirT_5.18d
   parasparaviruddhatvāt KirT_2.6c	paraspara-virudDa-tvAt KirT_2.6c
   parāmṛtasukhapradam KirT_1.12b	para-amRta-suKa-pradam KirT_1.12b
   pariṇāmaḥ sphuṭo bhavet KirT_2.24d	pariNAmaH sPuwaH Bavet KirT_2.24d
   pariṇāmo 'cetanasya KirT_2.26a	pariNAmaH acetanasya KirT_2.26a
   paro 'pyaparatāṃ gataḥ KirT_3.23b	paraH api-aparatAm gataH KirT_3.23b
   paryāyāstasya coditāḥ KirT_2.20b	paryAyAH-tasya coditAH KirT_2.20b
   paśutvena hi bhoktṛtvaṃ KirT_3.5a	paSutvena hi BoktR-tvam KirT_3.5a
   paśupāśapatijñāna- KirT_1.13a	paSu-pASa-pati-jQAna KirT_1.13a
   paśurapyadhvamadhyagaḥ KirT_2.18d	paSuH-api-aDva-maDya-gaH KirT_2.18d
   paśurevaṃvidhaḥ proktaḥ KirT_1.23c	paSuH-evaMviDaH proktaH KirT_1.23c
   paśurnityo hyamūrto 'jño KirT_1.15a	paSuH-nityaH hi-amUrtaH ajQaH KirT_1.15a
   paśoḥ śaktinipātena KirT_3.15a	paSoH Sakti-nipAtena KirT_3.15a
   pāśacchedo yathā prokto KirT_5.4a	pASa=-CedaH yaTA proktaH KirT_5.4a
   pāśamuktasya yaccihnaṃ KirT_6.22a	pASa-muktasya yat-cihnam KirT_6.22a
   pāśaviśleṣaṇārthaṃ tu KirT_6.15a	pASa-viSlezaNa-arTam tu KirT_6.15a
   pāśastobhātkṣayaḥ siddhaḥ KirT_6.16a	pASa-stoBAt-kzayaH sidDaH KirT_6.16a
   pāśyādivṛttayo yāstu KirT_2.21c	pASya-Adi-vRttayaH yAH-tu KirT_2.21c
   puruṣasya malakṣayaḥ KirT_2.30d	puruzasya mala-kzayaH KirT_2.30d
   puruṣāṇāṃ śivecchayā KirT_5.24d	puruzANAm Siva-icCayA KirT_5.24d
   puruṣārthena hetunā KirT_4.17b	puruza-arTena hetunA KirT_4.17b
   puṃsāmanugrahārthaṃ tu KirT_3.23a	puMsAm-anugraha-arTam tu KirT_3.23a
   pūrvasaṃskārasaṃsiddhaṃ KirT_6.19c	pUrva-saMskAra-saMsidDam KirT_6.19c
   prakāśo vyaktiśabdena KirT_2.14c	prakASaH vyakti-Sabdena KirT_2.14c
   prakāśya yāti vidyudvat KirT_5.26c	prakASya yAti vidyut-vat KirT_5.26c
   prakṣīṇe 'pi na tatkṣayaḥ KirT_2.31b	prakzINe api na tad-kzayaH KirT_2.31b
   pradhānaṃ ca guṇātmanā KirT_1.17b	praDAnam ca guNa-AtmanA KirT_1.17b
   prabodhikā ca sā śaktiḥ KirT_4.1c	praboDikA ca sA SaktiH KirT_4.1c
   prabhutvaṃ kiṃ tuṭermatam KirT_5.17d	praBu-tvam kim tuweH-matam KirT_5.17d
   prabhutvaṃ jñasvabhāvatvād KirT_5.18a	praBu-tvam jQa-svaBAva-tvAt KirT_5.18a
   prabhuratra śivo jñeyaḥ KirT_5.17c	praBuH-atra SivaH jQeyaH KirT_5.17c
   pravṛttaḥ puruṣasya tu KirT_3.3b	pravRttaH puruzasya tu KirT_3.3b
   pravṛttiriha dṛśyate KirT_5.3b	pravRttiH-iha dRSyate KirT_5.3b
   prāguktaṃ yojanaṃ tasya KirT_6.23c	prAk-uktam yojanam tasya KirT_6.23c
   prāpnotyabhīpsitaṃ sthānaṃ KirT_4.11a	prApnoti-aBIpsitam sTAnam KirT_4.11a
   prāyo 'nyatra mayā kṛtāntavimaticchedāya sādhāraṇaḥ KirT_0.1d	prAyas anyatra mayA kRtAnta-vimati=-CedAya sADAraNaH KirT_0.1d
   prerako 'dhastane mārge KirT_4.15a	prerakaH aDastane mArge KirT_4.15a
   proktastena yadanyathā KirT_6.10d	proktaH-tena yat-anyaTA KirT_6.10d
   proktaṃ bhoganibandhanam KirT_3.6b	proktam Boga-nibanDanam KirT_3.6b
   proktaḥ sa niṣkalaḥ sthūlas KirT_3.13a	proktaH sa nizkalaH sTUlaH KirT_3.13a
   proktaḥ sūkṣmo 'tra śāsane KirT_5.22b	proktaH sUkzmaH atra SAsane KirT_5.22b
   proktā tantre yadā tadā KirT_6.6b	proktA tantre yadA tadA KirT_6.6b
   prokto 'nanto 'site prabhuḥ KirT_3.26d	proktaH anantaH asite praBuH KirT_3.26d
   prokto bhavabhayapradaḥ KirT_5.5d	proktaH Bava-Baya-pradaH KirT_5.5d
   prokto yena matastena KirT_2.19a	proktaH yena mataH-tena KirT_2.19a
   prokto vistarataḥ padārthaviṣayo yuktyāgamairnirṇayaḥ KirT_0.1c	proktaH vistarataH padArTa-vizayaH yukti-AgamEH-nirNayaH KirT_0.1c
   procyate sopacārataḥ KirT_5.4d	procyate sa-upacArataH KirT_5.4d
   phalamevaṃ na kiṃ bhavet KirT_6.2b	Palam-evam na kim Bavet KirT_6.2b
   phalaṃ katakavṛkṣasya KirT_2.32c	Palam kataka-vRkzasya KirT_2.32c
   bandhabhedavicakṣaṇa KirT_1.2b	banDa-Beda-vicakzaNa KirT_1.2b
   bandhenātmā kalādinā KirT_2.5b	banDena-AtmA kalA-AdinA KirT_2.5b
   bahūnāmapyadoṣaḥ syād KirT_5.21c	bahUnAm-api-adozaH syAt KirT_5.21c
   bādhate 'nantamevaṃ na KirT_4.9a	bADate anantam-evam na KirT_4.9a
   bālabāliśabhoginām KirT_6.5b	bAla-bAliSa-BoginAm KirT_6.5b
   bisinīpattravadvapuḥ KirT_4.12b	bisinI-pattra-vat-vapuH KirT_4.12b
   buddhirbuddherahaṃkṛtiḥ KirT_4.23b	budDiH-budDeH-ahaMkRtiH KirT_4.23b
   buddhyādikaraṇānīka- KirT_1.17c	budDi-Adi-karaNa-anIka KirT_1.17c
   bṛhaccharīramāpekṣya KirT_3.21c	bRhat-SarIram-Apekzya KirT_3.21c
   bodhacihnabalena vai KirT_5.10b	boDa-cihna-balena vE KirT_5.10b
   bodhaṃ sā kurute na kim KirT_4.2b	boDam sA kurute na kim KirT_4.2b
   bodhinī hyabhilāṣakṛt KirT_4.22d	boDinI hi-aBilAza-kRt KirT_4.22d
   bhaktasya mama bhītasya KirT_1.10a	Baktasya mama BItasya KirT_1.10a
   bhadrametattvayā pṛṣṭaṃ KirT_1.11c	Badram-etat-tvayA pRzwam KirT_1.11c
   bhaviṣyadapi saṃruddhaṃ KirT_6.20c	Bavizyat-api saMrudDam KirT_6.20c
   bhavocchittirna kiṃ bhavet KirT_5.2b	Bava-ucCittiH-na kim Bavet KirT_5.2b
   bhāvānkalādikānvyāpya KirT_4.20e	BAvAn-kalA-AdikAn-vyApya KirT_4.20e
   bhedaiḥ siddho mate mate KirT_2.20d	BedEH sidDaH mate mate KirT_2.20d
   bhoktṛtvaṃ ca na kevalam KirT_2.22b	BoktR-tvam ca na kevalam KirT_2.22b
   bhoktṛtvaṃ nāma yatproktam KirT_3.2a	BoktR-tvam nAma yat-proktam KirT_3.2a
   bhoktṛtvaṃ malataḥ proktam KirT_3.1a	BoktR-tvam malataH proktam KirT_3.1a
   bhogadastvitaraḥ punaḥ KirT_5.10d	Boga-daH-tu-itaraH punar KirT_5.10d
   bhogabhoktṛtvabandhanam KirT_3.5f	Boga-BoktR-tva-banDanam KirT_3.5f
   bhogaṃ bhuṅkte svakarmataḥ KirT_1.20b	Bogam BuFkte sva-karmataH KirT_1.20b
   bhogopāyavicintakaḥ KirT_1.15d	Boga-upAya-vicintakaH KirT_1.15d
   mantrarāḍ bhagavāñchivaḥ KirT_5.4b	mantra-rAj BagavAn-SivaH KirT_5.4b
   mantraśaktyā ca sarvadā KirT_3.15b	mantra-SaktyA ca sarvadA KirT_3.15b
   mantraśaktyā yathā deho KirT_4.10c	mantra-SaktyA yaTA dehaH KirT_4.10c
   mantrātmikāḥ kalāstasya KirT_3.17a	mantra-AtmikAH kalAH-tasya KirT_3.17a
   mantreṇāśu niruddhyate KirT_2.28d	mantreNa-ASu nirudDyate KirT_2.28d
   mandā mandatarā śaktiḥ KirT_5.30a	mandA mandatarA SaktiH KirT_5.30a
   manmathasthitināśana KirT_1.3d	manmaTa-sTiti-nASana KirT_1.3d
   malaśabdena cāvṛtiḥ KirT_2.14d	mala-Sabdena ca-AvRtiH KirT_2.14d
   malastadbhinnalakṣaṇaḥ KirT_2.19b	malaH-tad-Binna-lakzaNaH KirT_2.19b
   malaṃ vidārya cidvyaktim KirT_2.13c	malam vidArya cit-vyaktim KirT_2.13c
   malāntaḥsthaṃ viśuddhyati KirT_2.9b	mala-antaHsTam viSudDi-ati KirT_2.9b
   malino malinīkṛtaḥ KirT_2.8d	malinaH malinIkRtaH KirT_2.8d
   male sati bhavantyetā KirT_2.22a	male sati Bavanti-etAH KirT_2.22a
   malo 'jñānaṃ paśutvaṃ ca KirT_2.19c	malaH ajQAnam paSu-tvam ca KirT_2.19c
   malo brūhi kimātmakaḥ KirT_2.11d	malaH brUhi kimAtmakaH KirT_2.11d
   malo 'sya paśusaṃgataḥ KirT_2.22d	malaH asya paSu-saMgataH KirT_2.22d
   mahānatra virodhaḥ syāt KirT_6.24c	mahAn-atra viroDaH syAt KirT_6.24c
   māyākāryaṃ samastaṃ syāt KirT_2.18a	mAyA-kAryam samastam syAt KirT_2.18a
   māyātmakaṃ śarīraṃ tac KirT_4.6c	mAyA-Atmakam SarIram tat KirT_4.6c
   māyā no mohinī proktā KirT_2.12c	mAyA naH mohinI proktA KirT_2.12c
   māyāpi mohinī proktā KirT_2.15c	mAyA-api mohinI proktA KirT_2.15c
   māyāpyevaṃ bhavastathā KirT_3.8b	mAyA-api-evam BavaH-taTA KirT_3.8b
   māyābandhastanau sthitaḥ KirT_3.5b	mAyA-banDa-stanO sTitaH KirT_3.5b
   māyābhogapariṣvaktas KirT_1.19c	mAyA-Boga-parizvaktaH KirT_1.19c
   māyāyāḥ prerakeṇa kim KirT_4.15b	mAyAyAH prerakeNa kim KirT_4.15b
   māyāvayavavarjanāt KirT_3.16b	mAyA-avayava-varjanAt KirT_3.16b
   māyeyaṃ tadvapustasya KirT_2.8a	mAyA-iyam tat-vapuH-tasya KirT_2.8a
   māyeyo 'syātmano 'pi vā KirT_2.11b	mAyeyaH asya-AtmanaH api vA KirT_2.11b
   māyotthaṃ bandhanaṃ tasya KirT_2.16c	mAyA-utTam banDanam tasya KirT_2.16c
   māyodaragato 'pi san KirT_2.9d	mAyA-udara-gataH api san KirT_2.9d
   māyodaraṃ hi yatproktaṃ KirT_2.10a	mAyA-udaram hi yat-proktam KirT_2.10a
   miśraṃ vārambhakaṃ karma KirT_5.11c	miSram vA-AramBakam karma KirT_5.11c
   muktimāyānti kevalām KirT_1.10d	muktim-AyAnti kevalAm KirT_1.10d
   muktyarthaṃ sa paśurbaddho KirT_2.7a	mukti-arTam sa paSuH-badDaH KirT_2.7a
   mucyate kathamākhyāhi KirT_1.14c	mucyate kaTam-AKyAhi KirT_1.14c
   mucyate kramayogataḥ KirT_1.22d	mucyate krama-yogataH KirT_1.22d
   mudrāmaṇḍalamantraiśca KirT_3.20a	mudrA-maNxala-mantrEH-ca KirT_3.20a
   munipatnīvimohaka KirT_1.5b	muni-patnI-vimohaka KirT_1.5b
   mṛtyudehanipātana KirT_1.8b	mRtyu-deha-nipAtana KirT_1.8b
   mokṣasteneśayojanāt KirT_6.8d	mokzaH-tena-ISa-yojanAt KirT_6.8d
   mohakatve na saṃsthitā KirT_2.14b	mohaka-tve na saMsTitA KirT_2.14b
   mohajālatamohara KirT_1.9b	moha-jAlatamaH-hara KirT_1.9b
   yataḥ śaktimataḥ śaktiḥ KirT_5.31a	yatas SaktimataH SaktiH KirT_5.31a
   yataḥ svakāryasaṃśleṣāc KirT_2.13a	yatas sva-kArya-saMSlezAt KirT_2.13a
   yato 'nugrahadharmiṇī KirT_5.25d	yatas anugraha-DarmiNI KirT_5.25d
   yatra tatra sthitasyāsya KirT_2.16a	yatra tatra sTitasya-asya KirT_2.16a
   yathā kaściccale lakṣye KirT_5.15c	yaTA kaScid-cale lakzye KirT_5.15c
   yathā kaścitprasādhyate KirT_6.17b	yaTA kaScid-prasADyate KirT_6.17b
   yathā kālo hyamūrto 'pi KirT_3.10a	yaTA kAlaH hi-amUrtaH api KirT_3.10a
   yathāgnerdāhikā śaktir KirT_2.28c	yaTA-agneH-dAhikA SaktiH KirT_2.28c
   yathā cakraṃ bhramatyapi KirT_6.19b	yaTA cakram Bramati-api KirT_6.19b
   yathā taṇḍulakambūke KirT_2.31a	yaTA taNxula-kambUke KirT_2.31a
   yathā dehagato rasaḥ KirT_4.12d	yaTA deha-gataH rasaH KirT_4.12d
   yathānādirmalastasya KirT_3.7a	yaTA-anAdiH-malaH-tasya KirT_3.7a
   yathā nigaḍabandhanam KirT_3.3d	yaTA nigaxa-banDanam KirT_3.3d
   yathā pumānvibhurgantā KirT_5.3c	yaTA pumAn-viBuH-gantA KirT_5.3c
   yathā bhūmaṇḍaleśena KirT_3.27a	yaTA BU-maNxa-leSena KirT_3.27a
   yathā bheṣajasāmarthyād KirT_4.13c	yaTA Bezaja-sAmarTyAt KirT_4.13c
   yathā mantrairniruddhyate KirT_2.31d	yaTA mantrEH-nirudDyate KirT_2.31d
   yathā māyādhikā vyāpya KirT_4.20c	yaTA mAyA-aDikAH vyApya KirT_4.20c
   yathā mūrtaviṣakṣayaḥ KirT_6.16d	yaTA mUrta-viza-kzayaH KirT_6.16d
   yathārkaraśmisamparkāt KirT_4.3a	yaTA-arka-raSmi-samparkAt KirT_4.3a
   yathā vastraṃ sadoṣatvān KirT_2.9a	yaTA vastram sa-doza-tvAn KirT_2.9a
   yathā sadyogino matā KirT_3.11b	yaTA sat-yoginaH matA KirT_3.11b
   yathāsau nānyathā bhavet KirT_5.24b	yaTA-asO na-anyaTA Bavet KirT_5.24b
   yathāsminna nimittaṃ hi KirT_2.4c	yaTA-asmin-na nimittam hi KirT_2.4c
   yathaiva yoginaḥ śaktir KirT_3.19a	yaTA-eva yoginaH SaktiH KirT_3.19a
   yadavāpya narāḥ sarve KirT_1.10c	yat-avApya narAH sarve KirT_1.10c
   yadā svarūpavijñānaṃ KirT_5.7c	yadA svarUpa-vijQAnam KirT_5.7c
   yadi kālaḥ śivena kim KirT_5.2d	yadi kAlaH Sivena kim KirT_5.2d
   yadi jātestadekasmin KirT_6.3c	yadi jAteH-tad-ekasmin KirT_6.3c
   yadi tasya na nirvṛtiḥ KirT_5.23d	yadi tasya na nirvRtiH KirT_5.23d
   yadi deva sa dīkṣayā KirT_6.18b	yadi deva sa dIkzayA KirT_6.18b
   yadi nāma viśeṣaḥ syāt KirT_4.7a	yadi nAma viSezaH syAt KirT_4.7a
   yadi muktirna sā bhavet KirT_5.29d	yadi muktiH-na sA Bavet KirT_5.29d
   yadi sarvātmanā vāyaṃ KirT_5.27a	yadi sarva-AtmanA vA-ayam KirT_5.27a
   yadi syātpariṇāmavān KirT_2.25b	yadi syAt-pariNAmavAn KirT_2.25b
   yadetatkarma deveśa KirT_3.6a	yat-etat-karma deveSa KirT_3.6a
   yadyanādi na saṃsiddhaṃ KirT_3.7c	yadi-anAdi na saMsidDam KirT_3.7c
   yadyapyetanmithaḥ kāryaṃ KirT_4.27a	yadi-api-etat-miTas kAryam KirT_4.27a
   yadyevaṃ sa paśustāvat- KirT_1.14a	yadi-evam sa paSuH-tAvat KirT_1.14a
   yadyevaṃ saṃsthitaḥ pāśyo KirT_2.22c	yadi-evam saMsTitaH pASyaH KirT_2.22c
   yadvattāmre kṣayastadvat KirT_2.30c	yadvat-tAmre kzayaH-tadvat KirT_2.30c
   yasminkāle tadaiva sā KirT_5.9f	yasmin-kAle tadA-eva sA KirT_5.9f
   yāti tacchaktisāmarthyād KirT_4.14a	yAti tad-Sakti-sAmarTyAt KirT_4.14a
   yāvaccharīrasaṃśleṣo KirT_2.7c	yAvat-SarIra-saMSlezaH KirT_2.7c
   yāvadevaṃ na kurute KirT_3.18a	yAvat-evam na kurute KirT_3.18a
   yuktitaḥ kalpyate malaḥ KirT_2.23b	yuktitaH kalpyate malaH KirT_2.23b
   yugapanmuktiranyathā KirT_5.16d	yugapad-muktiH-anyaTA KirT_5.16d
   ye 'tra śaktā na teṣāṃ tu KirT_6.12c	ye atra SaktAH na tezAm tu KirT_6.12c
   yenāsannatamaḥ kālas KirT_5.26a	yena-Asan=-atamaH kAlaH KirT_5.26a
   yenedaṃ taddhi bhogataḥ KirT_6.20d	yena-idam tat-hi BogataH KirT_6.20d
   ye yathā saṃsthitāstārkṣya KirT_6.7a	ye yaTA saMsTitAH-tArkzya KirT_6.7a
   yogabhūtibharāvaham KirT_1.13d	yoga-BUti-Bara-Avaham KirT_1.13d
   yogināṃ yogakāraṇam KirT_3.22b	yoginAm yoga-kAraNam KirT_3.22b
   yogī yathopakārajñaḥ KirT_3.24a	yogI yaTA-upakAra-jQaH KirT_3.24a
   yogo na lakṣyahīnatvān KirT_3.22c	yogaH na lakzya-hIna-tvAn KirT_3.22c
   yogyānāmupakārī ced KirT_4.2c	yogyAnAm-upakArI ced KirT_4.2c
   yonijaṃ buddhibhedācca KirT_4.25a	yoni-jam budDi-BedAt-ca KirT_4.25a
   yoniṃ prerayate kṣaṇāt KirT_4.14d	yonim prerayate kzaNAt KirT_4.14d
   yo 'sāvātmā tvayā proktaḥ KirT_2.1a	yaH asO=-AtmA tvayA proktaH KirT_2.1a
   rāgatattvaṃ pravartate KirT_3.4b	rAga-tattvam pravartate KirT_3.4b
   rāgadveṣau na cārkasya KirT_4.4a	rAga-dvezO na ca-arkasya KirT_4.4a
   rāgavānsyācchivastadā KirT_4.2d	rAgavAn-syAt-SivaH-tadA KirT_4.2d
   rāgeṇa rañjitaścāpi KirT_1.17a	rAgeNa raQjitaH-ca-api KirT_1.17a
   rāgo 'pi tannimittatvāt KirT_3.3a	rAgaH api tad-nimitta-tvAt KirT_3.3a
   lakṣyate sakalaṃ dhyānāt KirT_3.20c	lakzyate sakalam DyAnAt KirT_3.20c
   layabhogādhikāravān KirT_3.24d	laya-Boga-aDikAravAn KirT_3.24d
   lokālokapradāhaka KirT_1.9d	lokAloka-pradAhaka KirT_1.9d
   loke 'sminpadmabodhakaḥ KirT_5.19d	loke asmin-padma-boDakaH KirT_5.19d
   vaktavyaścādhikaḥ kaścid KirT_5.12a	vaktavyaH-ca-aDikaH kaScid KirT_5.12a
   vaktavyo 'tra malena kim KirT_3.1d	vaktavyaH atra malena kim KirT_3.1d
   vapuruktamakarmajam KirT_4.7d	vapuH-uktam-akarma-jam KirT_4.7d
   vastunaḥ sahasā bhavet KirT_5.5b	vastunaH sahasA Bavet KirT_5.5b
   vācyavācakayogena KirT_6.26e	vAcya-vAcaka-yogena KirT_6.26e
   vācyastacchaktiko guṇaḥ KirT_6.26d	vAcyaH-tad-SaktikaH guNaH KirT_6.26d
   vāyuvegādyathodanvān KirT_4.18a	vAyu-vegAt-yaTA-udanvAn KirT_4.18a
   vāsanā saiva jāyate KirT_5.28b	vAsanA sA-eva jAyate KirT_5.28b
   vikārātsarvanāśaḥ syād KirT_4.16c	vikArAt-sarva-nASaH syAt KirT_4.16c
   vikāro na jagatkatham KirT_4.16d	vikAraH na jagat-kaTam KirT_4.16d
   vikāsaḥ pratipadyate KirT_5.19b	vikAsaH pratipadyate KirT_5.19b
   vicārapratipādakam KirT_1.13b	vicAra-pratipAdakam KirT_1.13b
   vidyākhyāpitagocaraḥ KirT_1.16d	vidyA-AKyApita-gocaraH KirT_1.16d
   vidhṛtastiṣṭhate ciram KirT_4.10d	viDRtaH-tizWate ciram KirT_4.10d
   vibhutvāttasya no grāhas KirT_6.24a	viBu-tvAt-tasya naH grAhaH KirT_6.24a
   vibhutvānna nivāryate KirT_5.21d	viBu-tvAt-na nivAryate KirT_5.21d
