   Āryabhaṭakṛtam	Ārya Bawa kRtam
   anarthakam | kutaḥ? sthānāt sthānam daśaguṇam syāt iti anena eva abhihitā,	anarTakam | kutas ? sTAnAt sTAnam daSaguNam syAt iti anena eva aBihitA,
   abhihitasthānaparigrahasya siddhatvāt | na eṣaḥ doṣaḥ | sthānāt sthānam	aBihita sTAna parigrahasya sidDa tvAt | naH ezaH dozaH | sTAnAt sTAnam
   daśaguṇam	daSaguNam
   syāt iti etat lakṣaṇam | ekādīni sthānāni asya lakṣaṇasya udāhṛtāni | na	syAt iti etat lakzaNam | eka AdIni sTAnAni asya lakzaNasya udAhRtAni | na
   etat asti | na hi sūtrakārāḥ saṃkṣepavivakṣavaḥ lakṣaṇam udāharaṇam brūyuḥ	etat asti | na hi sUtrakArAH saMkzepa vivakzavaH lakzaNam udAharaNam brUyuH
   | na evam vijñāyate | yadā lakṣaṇam udāharaṇam ca nirarthakam tarhi	| naH evam vijQAyate | yadA lakzaNam udAharaNam ca nirarTakam tarhi
   ekādivṛndānatāyāḥ saṅkhyāyāḥ saṃjñāḥ nirūpyante | sthānāt sthānam	eka Adi vRnda AnatAyAH saFKyAyAH saMjQAH nirUpyante | sTAnAt sTAnam
   daśaguṇam iti ekādisaṃkhyāyāḥ sthānanirūpaṇamātram eva upadiśyate,	daSaguNam iti eka Adi saMKyAyAH sTAna nirUpaNa mAtram eva upadiSyate,
   upayogābhāvāt na saṅkhyāsaṃjñā |	upayoga aBAvAt na saFKyA saMjQA |
   atra etat praṣṭavyam ã kā eṣām sthānānām śaktiḥ, yat ekam rūpam daśa śatam	atra etat prazwavyam ã kA ezAm sTAnAnAm SaktiH, yat ekam rUpam daSa Satam
   sahasram ca bhavati | satyām ca etasyām sthānaśaktau krāyakāḥ	sahasram ca Bavati | satyAm ca etasyAm sTAna SaktO krAyakAH
   viśeṣeṣṭakrayyabhojanāḥ syuḥ | krayyam ca vivakṣātaḥ alpam bahu ca syāt |	viSeza izwa krayya BojanAH syuH | krayyam ca vivakzAtaH alpam bahu ca syAt |
   evam ca sati lokavyavahārān yathābhāvaprasaṅgaḥ | na eṣaḥ doṣaḥ | sthāne	evam ca sati loka vyavahArAn yaTA BAva prasaFgaH | naH ezaH dozaH | sTAne
   vyavasthitāni rtūpāṇi daśādīni kṛtāni | kim tarhi taiḥ? tāni pratipādyante	vyavasTitAni rtu upANi daSa AdIni kRtAni | kim tarhi tEH? tAni pratipAdyante
   lekhāgamanyāyena | athavā laghvartham sthānāni prakramyante iti uktam	leKa Agama nyAyena | aTavA laGu arTam sTAnAni prakramyante iti uktam
   asmābhiḥ |	asmABiH |
   nyāsaḥ ca sthānānām ã	nyAsaH ca sTAnAnAm ã
   [ vargaparikarma ]	[ varga parikarma ]
   vargaparikarmapradarśanāya āryāpūrvārdham āha ã	varga parikarma pradarSanAya AryA pUrva arDam Aha ã
   vargaḥ samacaturaśraḥ phalam ca sadṛśadvayasya saṃvargaḥ |	vargaH sama caturaSraH Palam ca sadRSa dvayasya saMvargaH |
   vargaḥ karaṇī kṛtiḥ vargaṇāḥ yāvakaraṇam iti paryāyāḥ | samāścatasraḥ	vargaH karaNI kRtiH vargaNAH yAvakaraNam iti paryAyAH | samAH catasraH
   aśrayaḥ yasya saḥ ayam [sama]caturaśraḥ kṣetraviśeṣaḥ, sa vargaḥ |	aSrayaH yasya saH ayam [sama] caturaSraH kzetra viSezaH, sa vargaH |
   samacaturaśrakṣetraviśeṣaḥ saṃjñī, vargaḥ saṃjñā | atra saṃjñisaṃjñayoḥ	sama caturaSra kzetra viSezaH saMjQI, vargaH saMjQA | atra saMjQi saMjQayoH
   abhedena upacāreṇa ucyate "vargaḥ samacaturaśraḥ" iti | yathā "māṃsapiṇḍaḥ	aBedena upacAreNa ucyate "vargaH sama caturaSraH" iti | yaTA "mAMsa piNxaH
   devadattaḥ" iti | anyathā atra yāvān samacaturaśrakṣetraviśeṣaḥ tasya	devadattaH" iti | anyaTA atra yAvAn sama caturaSra kzetra viSezaH tasya
   sarvasya aniṣṭasya api vargasaṃjñāprasaṅgaḥ | kva anyatra aniṣṭasya	sarvasya anizwasya api varga saMjQA prasaFgaH | kva anyatra anizwasya
   samacaturaśrakṣetraviśeṣasya	sama caturaSra kzetra viSezasya
   vargasaṃjñāprasaṅgaḥ? ucyate ã asamakarṇasya	varga saMjQA prasaFgaH? ucyate ã asamakarNasya
   parilekhau 1 & 2	parileKO 1 & 2
   samacaturaśrakṣetraviśeṣasya asya (parilekhaḥ 1) | dvisamatryaśrakṣetrasya	sama caturaSra kzetra viSezasya asya (parileKaH 1) | dvi samatri aSra kzetrasya
   samunnatavadavasthitasya asya (parilekhaḥ 2) |	samunnata vat avasTitasya asya (parileKaH 2) |
   vargasaṃjñāprasaṅge kaḥ doṣaḥ? ucyate ã "phalam ca sadṛśadvayasya	varga saMjQA prasaFge kaH dozaH? ucyate ã "Palam ca sadRSa dvayasya
   saṃvargaḥ" iti sadṛśadvayasya saṃvargaḥ phalam prāpnoti, na ca iṣyate evam	saMvargaH" iti sadRSa dvayasya saMvargaH Palam prApnoti, na ca izyate evam
   | kva tarhi? karṇagrahaṇam kartavyam; vargaḥ	| kva tarhi? karNa grahaNam kartavyam; vargaH
   samakarṇasamacaturaśrakṣetraviśeṣaḥ iti | athavā tulyasaṅkhyābhyām	sama karNa sama caturaSra kzetra viSezaH iti | aTavA tulya saFKyAByAm
   karṇābhyām upalakṣitasya eva samacaturaśrakṣetraviśeṣasya vargasaṃjñā	karNAByAm upalakzitasya eva sama caturaSra kzetra viSezasya varga saMjQA
   jijñāsyate | kutaḥ? na aniṣṭārthatvāt śastrapravṛtteḥ | athavā na eva loke	jijQAsyate | kutas ? na anizwa arTa tvAt Sastra pravRtteH | aTavA naH eva loke
   evam ākāraviśiṣṭasya samacaturaśrakṣetrasya samacaturaśrasaṃjñā	evam AkAra viSizwasya sama caturaSra kzetrasya sama caturaSra saMjQA
   susiddhā | āyatacaturaśrakṣetrādiṣu vargakarmaṇaḥ astitvāt teṣām	su sidDA | Ayata caturaSra kzetra Adizu varga karmaNaH astitvAt tezAm
   asamacaturaśrāṇām api vargasaṃjñāprasaṅgaḥ | na eṣaḥ doṣaḥ | teśu api yaḥ	asama caturaSrANAm api varga saMjQA prasaFgaH | naH ezaH dozaH | teSu api yaH
   vargaḥ sa samacaturaśrakṣetraphalam | tat yathā ã samacaturaśrakṣetram	vargaH sa sama caturaSra kzetra Palam | tat yaTA ã sama caturaSra kzetram
   ālikhya aṣṭadhā vibhajya trikacatuṣkavistārāyāmāni catvāri	AliKya azwaDA viBajya trika catuzka vistAra AyAmAni catvAri
   āyatacaturaśrakṣetrāṇi pañcakarṇāni parikalpayet | tatra evam	Ayata caturaSra kzetrANi paQcakarNAni parikalpayet | tatra evam
   parikalpitacaturaśrāyatacaturaśrakṣetrakarṇabāhukam samacaturaśram kṣetram	parikalpita caturaSrAyata caturaSra kzetra karNa bAhukam sama caturaSram kzetram
   madhye avatiṣṭhate | yaḥ tatra	maDye avatizWate | yaH tatra
   āyatacaturaśrakṣetrakarṇāyatavargaḥ, sa ca antaḥsamacaturaśrakṣetre phalam	Ayata caturaSra kzetra karNa Ayata vargaH, sa ca antar sama caturaSra kzetre Palam
   | tribhuje api etat eva darśanam, ardhāyatacaturaśratvāt tribhujasya |	| triBuje api etat eva darSanam, arDa Ayata caturaSra tvAt triBujasya |
   durvidagdhapratyāyanāya ca kṣetram ālikhyate ã	durvidagDa pratyAyanAya ca kzetram AliKyate ã
   parilekhaḥ 3	parileKaH 3
   asmād yaḥ yaḥ vargaḥ samacaturaśrakṣetraviśeṣaḥ | evam phalam ca	asmAt yaH yaH vargaH sama caturaSra kzetra viSezaH | evam Palam ca
   sadṛśadvayasya saṃvargaḥ | saṃvargaḥ iti asya samacaturaśrasya	sadRSa dvayasya saMvargaH | saMvargaH iti asya sama caturaSrasya
   kṣetraphalam nirucyate | sadṛśasya dvayam sadṛśadvayam | athavā	kzetraPalam nirucyate | sadRSasya dvayam sadRSa dvayam | aTavA
   sadṛśadvayam ca taddvayam ca samasadṛśadvayam | sadṛśadvayasya saṃvargaḥ |	sadRSa dvayam ca tad dvayam ca sama sadRSa dvayam | sadRSa dvayasya saMvargaH |
   saṃvargaḥ ghātaḥ guṇanā hatiruddhartanā iti paryāyāḥ |	saMvargaH GAtaH guNanA hatiH udDartanAH iti paryAyAH |
   sadṛśadvayasaṃvargaḥ phalam tasya samacaturaśrasya | sadṛśadvayasaṃvargaḥ	sadRSa dvaya saMvargaH Palam tasya sama caturaSrasya | sadRSa dvaya saMvargaH
   iti atra iṣṭabāhuvacanam kartavyam | anyathā hi	iti atra izwa bAhu vacanam kartavyam | anyaTA hi
   yayoḥ kayościt sadṛśayoḥ saṃvargaḥ phalam prāpnoti | na etat asti | nahi	yayoH kayoScit sadRSayoH saMvargaH Palam prApnoti | naH etat asti | na hi
   phalārthī anyakṣetram uddiśya anyayoḥ abhyāsam karoti | na hi odanārthī	Pala arTI anya kzetram uddiSya anyayoH aByAsam karoti | na hi odana arTI
   pāṃsūn ādatte |	pAMsUn Adatte |
   uddeśakaḥ ã	uddeSakaH ã
   ekādinavāntānām vargāḥ ye tān pṛthak pṛthak brūhi |	eka Adi na vAntAnAm vargAH ye tAn pRTak pRTak brUhi |
   śatapādasya ca vargam śatasya tena eva yuktasya || 1 ||	SatapAdasya ca vargam Satasya tena eva yuktasya || 1 ||
   nyāsaḥ ã 1, 2, 3, 4, 5, 6, 7, 8, 9; śatapādaḥ 25, śatam anena yuktam 125 |	nyAsaH ã 1, 2, 3, 4, 5, 6, 7, 8, 9; SatapAdaH 25, Satam anena yuktam 125 |
   yathāsaṅkhyena ekādinavāntānām phalam ca "sadṛśadvayasya saṃvargaḥ" iti	yaTA saFKyena eka Adi navAntAnAm Palam ca "sadRSa dvayasya saMvargaH" iti
   labdhāḥ vargāḥ, nyāsaḥ ã 1, 4, 9, 16, 25, 36, 49, 64, 81 |	labDAH vargAH, nyAsaH ã 1, 4, 9, 16, 25, 36, 49, 64, 81 |
   evam eṣām lakṣaṇāni sūtrāṇi ã	evam ezAm lakzaNAni sUtrANi ã
   antyapadasya ca vargam kṛtvā dviguṇam tat eva ca antyapadam |	antya padasya ca vargam kRtvA dviguNam tat eva ca antya padam |
   śeṣapadaiḥ āhanyāt utsārya utsārya vargavidhau ||	Seza padEH AhanyAt utsAryaH utsArya varga viDO ||
   iti, taiḥ ekādinavāntānām rūpāṇām vargasaṅkhyā vaktavyā | kutaḥ? ajñātāyām	iti, tEH eka Adi nava antAnAm rUpANAm varga saFKyA vaktavyA | kutas ? ajQAtAyAm
   vargasaṅkhyāyām yataḥ antyapadasya vargasaṅkhyā na śakyate nyastum |	varga saFKyAyAm yatas antya padasya varga saFKyA na Sakyate nyastum |
   asmākam punaḥ sarvam lakṣaṇena eva saṃgṛhītam |	asmAkam punar sarvam lakzaNena eva saMgRhItam |
   śatapādasya vargaḥ 625; śatasya tena eva yuktasya 15625 |	SatapAdasya vargaH 625; Satasya tena eva yuktasya 15625 |
   bhinnavargaḥ api evam eva | kintu sadṛśīkṛtayoḥ chedāṃśarāśyoḥ pṛthak	Binna vargaH api evam eva | kintu sadRSIkRtayoH Ceda aMSa rASyoH pRTak 
   pṛthak vargam kṛtvā chedarāśivargeṇa aṃśarāśivargasya bhāgalabdham	pRTak vargam kRtvA Ceda rASi vargeNa aMSa rASi vargasya BAga labDam
   bhinnavargaḥ |	Binna vargaH |
   uddeśakaḥ ã	uddeSakaH ã
   ṣaṇṇām sacaturthānām rūpasya ca pañcabhāgasahitasya |	zaNNAm sa caturTAnAm rUpasya ca paQca BAga sahitasya |
   rūpadvitayasya ca me brūhi kṛtim navamahīnasya || 2 ||	rUpa dvitayasya ca me brUhi kRtim navama hInasya || 2 ||
   nyāsaḥ ã 6 1 2	nyAsaH ã 6 1 2
   4 5 9í	4 5 9í
   karaṇam ã "chedaguṇam sāṃśam" iti	karaNam ã "Ceda guNam sa aMSam" iti
   etayoḥ chedāṃśayoḥ rāsyoḥ pṛthak pṛthak vargarāśī 16, 625.	etayoH Ceda aMSayoH rAsyoH pRTak pRTak vargarASI 16, 625.
   chedarāśivargeṇa aṃśarāśivargam hṛtvā labdham	Ceda rASi vargeNa aMSa rASi vargam hRtvA labDam
   evam śeṣayoḥ api yathāsaṅkhyena	evam SezayoH api yaTAsaFKyena
   [ ghanaparikarma ]	[ Gana parikarma ]
   ghanaparikarmapradarśanāya āryāparārdham āha ã	Gana parikarma pradarSanAya Arya aparArDam Aha ã
   sadṛśatrayasaṃvargaḥ ghanaḥ tathā dvādaśāśritaḥ syāt || 3 ||	sadRSa traya saMvargaH GanaH taTA dvAdaSa ASritaH syAt || 3 ||
   [ sadṛśatrayasya saṃvargaḥ ] sadṛśatrayasaṃvargaḥ | sadṛśatrayasaṃvargaḥ	[ sadRSa trayasya saMvargaH ] sadRSa traya saMvargaH | sadRSa traya saMvargaH
   ghanaḥ bhavati | ghanaḥ vṛndam sadṛśatrayābhyāsaḥ iti paryāyāḥ | sa ca	GanaH Bavati | GanaH vRndam sadRSa traya aByAsaH iti paryAyAH | sa ca
   dvādaśāśritaḥ | dvādaśa aśrayaḥ yasya sa ayam dvādaśāśritaḥ, syāt bhavet |	dvAdaSa ASritaH | dvAdaSa aSrayaH yasya saH ayam dvAdaSa ASritaH, syAt Bavet |
   "tathā"śabdena samacaturaśratām ghanasya pratipādayati | na etat asti |	"taTA" Sabdena sama caturaSratAm Ganasya pratipAdayati | naH etat asti |
   antareṇa api "tathā"śabdam asya ghanasya samacaturaśratā śakyate eva	antareNa api "taTA" Sabdam asya Ganasya sama caturaSratA Sakyate eva
   pratipattum | kutaḥ ? sadṛśatrayasaṃvargaḥ iti anena	pratipattum | kutas ? sadRSa traya saMvargaH iti anena
   samacaturaśrakṣetraphalasya tatkṣetravāhusaḍṛśam	sama caturaSra kzetra Palasya tad kzetra vAhu saxRSam
   eva ucchrāyam ācaṣṭe, yasmāt kṣetraphalam ucchrāyaguṇitam ghanaphalam |	eva ucCrAyam Acazwe, yasmAt kzetra Palam ucCrAya guNitam Gana Palam |
   athavā "vargaḥ samacaturaśraḥ" iti atra adhikṛtam samacaturaśragrahaṇam	aTavA "vargaH sama caturaSraH" iti atra aDikRtam sama caturaSra grahaNam
   anuvartate, aśrayaḥ yasya mṛdā anyena vā pradarśayitavyāḥ |	anuvartate, aSrayaH yasya mRdA anyena vA pradarSayitavyAH |
   uddeśakaḥ ã	uddeSakaH ã
   ekādinavāntānām rūpāṇām me ghanam pṛthak brūhi |	eka Adi na va antAnAm rUpANAm me Ganam pRTak brUhi |
   aṣṭāṣṭākavargaghanam śatapādakṛteḥ kṛteḥ ca api || 3 ||	azwa azwAka varga Ganam Sata pAda kRteH kRteH ca api || 3 ||
   nyāsaḥ ã 1, 2, 3, 4, 5, 6, 7, 8, 9; aṣṭāṣṭakavargaḥ 4096; śatapādakṛteḥ	nyAsaH ã 1, 2, 3, 4, 5, 6, 7, 8, 9; azwa azwaka vargaH 4096; Sata pAda kRteH
   kṛtiḥ 390625 |	kRtiH 390625 |
   ekādinavāntānām "sadṛśatrayasaṃvargaḥ ghanaḥ" iti yathāsaṅkhyena labdhāḥ	eka Adi na vAntAnAm "sadRSa traya saMvargaH GanaH" iti yaTAsaFKyena labDAH
   ghanāḥ 1, 8, 27, 64, 125, 216, 343, 512, 729 |	GanAH 1, 8, 27, 64, 125, 216, 343, 512, 729 |
   atra api yeṣām "antyapadasya ghanam syāt" ityādi lakṣaṇasūtram, teṣām	atra api yezAm "antya padasya Ganam syAt" ityAdi lakzaNa sUtram, tezAm
   ekādīnām ghanasaṅkhyā vaktavyā | kutaḥ ? anirjñātāyām ghanasaṅkhyāyām	eka AdInAm Gana saFKyA vaktavyA | kutas ? anirjQAtAyAm Gana saFKyAyAm
   yataḥ hi antyapadasya ghanasaṅkhyā nyastum na śakyate | aṣṭāṣṭakavargasya	yatas hi antya padasya Gana saFKyA nyastum na Sakyate | azwa azwaka vargasya
   [ghanaḥ] 68719476736, śatapādasya kṛteḥ kṛteḥ api 59604644775390625 |	[GanaH] 68719476736, SatapAdasya kRteH kRteH api 59604644775390625 |
   bhinnaghanaḥ api evam eva | uddeśakaḥ ã	Binna GanaH api evam eva | uddeSakaH ã
   ṣaṭpañcadaśāṣṭānām tāvat bhāgaiḥ vihīnagaṇitānām |	zawpaQcadaSa azwAnAm tAvat BAgEH vihIna gaNitAnAm |
   ghanasaṅkhyām vada viśadam yadi ghanagaṇite mativiśadā || 4 ||	Gana saFKyAm vada viSadam yadi Gana gaNite mati viSadAH || 4 ||
   nyāsaḥ ã 5 4 9 7	nyAsaH ã 5 4 9 7
   labdhāḥ yathāsaṅkhyena ghanāḥ ã	labDAH yaTAsaFKyena GanAH ã
   [ vargamūlam ]	[ varga mUlam ]
   vargamūlānayanāya āha ã	varga mUla AnayanAya Aha ã
   bhāgam haret avargāt nityam dviguṇena vargamūlena |	BAgam haret avargAt nityam dviguNena varga mUlena |
   vargāt varge śuddhe labdham sthānāntare mūlam || 4 ||	vargAt varge SudDe labDam sTAna antare mUlam || 4 ||
   bhāgaḥ hṛtiḥ bhajanam apavartanam iti paryāyāḥ | tam bhāgam, haret	BAgaH hRtiH Bajanam apavartanam iti paryAyAH | tam BAgam, haret 
   gṛhṇīyāt | kasmāt sthānāt prabhṛti iti āha ã avargāt, na vargaḥ avargaḥ,	gRhNIyAt | kasmAt sTAnAt praBRti iti Aha ã avargAt, na vargaH avargaH,
   tasmāt avargāt | atra gaṇite viṣamam sthānam vargaḥ | tasya eva nañā	tasmAt avargAt | atra gaNite vizamam sTAnam vargaH | tasya eva naQA
   viṣamatve pratiṣiddhe avargaḥ iti samam sthānam, yataḥ hi viṣamam samam ca	vizama tve pratizidDe avargaH iti samam sTAnam, yatas hi vizamam samam ca
   sthānam | kena bhāgam haret iti āha ã nityam dviguṇena vargamūlena | dvau	sTAnam | kena BAgam haret iti Aha ã nityam dviguNena varga mUlena | dvO
   guṇaḥ yasya tat dviguṇam | kim tat ? vargamūlam | tena dviguṇena	guNaH yasya tat dviguNam | kim tat ? varga mUlam | tena dviguNena
   vargamūlena | katham	varga mUlena | kaTam
   punar tat vargamūlam labhyate iti āha ã vargāt varge śuddhe labdham	punar tat varga mUlam laByate iti Aha ã vargAt varge SudDe labDam
   sthānāntare mūlam | vargāt viṣamasthānāt, śuddhe varge vargagaṇite iti	sTAna antare mUlam | vargAt vizama sTAna at, SudDe varge varga gaNite iti
   arthaḥ, yat atra labdham tat sthānāntare mūlasaṃjñam bhavati | sthānāt	arTaH, yat atra labDam tat sTAna antare mUla saMjQam Bavati | sTAnAt 
   anyasthānam sthānāntaram, tasmin sthānāntare tasya labdhasya mūlasaṃjñā |	anya sTAnam sTAna antaram, tasmin sTAna antare tasya labDasya mUla saMjQA |
   yatra punaḥ sthānāntaram eva na vidyate, tatra tasya tatra eva mūlasaṃjñā	yatra punar sTAna antaram eva na vidyate, tatra tasya tatra eva mUla saMjQA
   | kutaḥ ? sthānāntarasya asambhavāt | etat eva sūtram punar punar āvartaye	| kutas ? sTAna antarasya asamBavAt | etat eva sUtram punar punar Avartaye
   yāvat parisamāptam gaṇitakarma	yAvat parisamAptam gaNita karma
   iti |	iti |
   uddeśakaḥ ã	uddeSakaH ã
   ekādīnām mūlam vargāṇām pūrvadṛṣṭasaṅkhyānām |	eka AdInAm mUlam vargANAm pUrva dRzwa saFKyAnAm |
   icchāmi sakhe jñātum śarayamarasavargarāśeḥ ca || 1 ||	icCAmi saKe jQAtum Sara yama rasa varga rASeH ca || 1 ||
   nyāsaḥ ã 1, 4, 9, 16, 25, 36, 49, 64, 81, 625 |	nyAsaH ã 1, 4, 9, 16, 25, 36, 49, 64, 81, 625 |
   pṛthak pṛthak yathāsaṅkhyena vargamūlāni labdhāni ã 1, 2, 3, 4, 5, 6, 7,	pRTak pRTak yaTAsaFKyena varga mUlAni labDAni ã 1, 2, 3, 4, 5, 6, 7,
   bhinnamūlānayane uddeśakaḥ ã	Binna mUla Anayane uddeSakaH ã
   ṣaṇṇām sacaturthānām trayodaśānām [sa]caturnavāṃśānām |	zaNNAm sa caturTAnAm trayodaSAnAm [sa] caturnava aMSAnAm |
   vigaṇayya vargamūle vada bhaṭasaṅkhyānusāreṇa || 2 ||	vigaNayya varga mUle vada Bawa saFKyA anusAreNa || 2 ||
   nyāsaḥ ã 6 13	nyAsaH ã 6 13
   karaṇam ã chedoparirāśyoḥ abhyāsam kṛtvā aṃśam prakṣipet | jātam	karaNam ã Ceda uparirASyoH aByAsam kRtvA aMSam prakzipet | jAtam
   etayoḥ aṃśacchedarāśyoḥ pṛthak pṛthak mūle	etayoH aMSa= Ceda rASyoH pRTak pRTak mUle
   chedarāśimūlena aṃśarāśimūlasya bhāgalabdham bhinnavargamūlam	Ceda rASi mUlena aMSa rASi mUlasya BAga labDam Binna varga mUlam
   trayodaśānām sacaturnavāṃśānām ca bhinnavargamūlam	trayodaSAnAm sa catur nava aMSAnAm ca Binna varga mUlam
   [ ghanamūlam ]	[ Gana mUlam ]
   ghanamūlānayanāya āha ã	Gana mUla AnayanAya Aha ã
   aghanāt bhajet dvitīyāt	aGanAt Bajet dvitIyAt 
   triguṇena ghanasya mūlavargeṇa |	triguNena Ganasya mUlavargeNa |
   vargaḥ tripūrvaguṇitaḥ	vargaH tripUrva guNitaH
   śodhyaḥ prathamāt ghanaḥ ca ghanāt || 5 ||	SoDyaH praTamAt GanaH ca GanAt || 5 ||
   na ghanaḥ aghanaḥ, tasmāt aghanāt | [bhajet] bhāgam haret, bhāgam gṛhṇīyāt	na GanaH aGanaH, tasmAt aGanAt | [Bajet] BAgam haret, BAgam gRhNIyAt 
   iti arthaḥ | aghanasthānasya anekatvāt āha ã dvitīyāt | atra gaṇite ghanaḥ	iti arTaH | aGana sTAnasya aneka tvAt Aha ã dvitIyAt | atra gaNite GanaH
   ekaḥ, dvau aghanau | kutaḥ etat ghanaḥ ekaḥ dvau aghanau iti ucyate ã	ekaH, dvO aGanO | kutas etat GanaH ekaH dvO aGanO iti ucyate ã
   "vargaḥ tripūrvaguṇitaḥ śodhyaḥ prathamāt aghanāt" iti	"vargaH tripUrva guNitaH SoDyaH praTamAt aGanAt" iti
   prathamāghanasiddhiḥ, "aghanāt bhajet dvitīyāt" iti dvitīyāghanasiddhiḥ |	praTama aGana sidDiH, "aGanAt Bajet dvitIya at" iti dvitIyA Gana sidDiH |
   ghanaḥ punar ekaḥ eva, dvitīyasya aśravaṇāt | aghanāt dvitīyāt prabhṛti	GanaH punar ekaH eva, dvitIyasya aSravaNAt | aGanAt dvitIyAt praBRti
   kena bhāgam haret iti āha ã triguṇena	kena BAgam haret iti Aha ã triguNena
   ghanasya mūlavargeṇa | trayaḥ guṇāḥ asya triguṇaḥ | kaḥ ? ghanasya	Ganasya mUlavargeNa | trayaH guNAH asya triguNaH | kaH ? Ganasya
   mūlavargaḥ | tena triguṇena ghanasya mūlavargeṇa | vargaḥ tripūrvaguṇitaḥ	mUlavargaH | tena triguNena Ganasya mUlavargeNa | vargaH tripUrva guNitaH
   sodhyaḥ prathamāt | vargaḥ tribhiḥ pūrveṇa ca rāśinā guṇitaḥ	soDyaH praTamAt | vargaH triBiH pUrveNa ca rASinA guNitaH
   tripūrvaguṇitaḥ | kasya vargaḥ ? labdhasya iti vākyaśeṣaḥ | śodhyaḥ |	tripUrva guNitaH | kasya vargaH ? labDasya iti vAkya SezaH | SoDyaH |
   śodhayitavyaḥ | prathamāt aghanāt iti sambandhanīyam | ghanaḥ ca ghanāt |	SoDayitavyaH | praTamAt aGanAt iti sambanDanIyam | GanaH ca GanAt |
   ghanaḥ ca śodhayitavyaḥ | kutaḥ ? ghanāt | ghanasthānāt | tataḥ ghanamūlam	GanaH ca SoDayitavyaH | kutas ? GanAt | Gana sTAnAt | tatas Gana mUlam
   bhavati iti adhyāhāryam | atra idam eva	Bavati iti aDyAhAryam | atra idam eva
   ghanarāśim dṛṣṭvā ghanaḥ ekaḥ dvau aghanau iti vigaṇayya yatra ghanaḥ	Gana rASim dRzwvA GanaH ekaH dvO aGanO iti vigaNayya yatra GanaH
   tasmāt ghanamūlam pūrvam eva kuryāt, ghanaḥ ca ghanāt śodhyaḥ iti anena |	tasmAt Gana mUlam pUrvam eva kuryAt, GanaH ca GanAt SoDyaH iti anena |
   tataḥ sarvam idam āryāsūtram upasthitam bhavati, "aghanāt bhajet dvitīyāt"	tatas sarvam idam AryA sUtram upasTitam Bavati, "aGanAt Bajet dvitIyAt"
   ityādi |	ityAdi |
   uddeśakaḥ ã	uddeSakaH ã
   ekādīnām mūlam ghanarāśīnām pṛthak tu me brūhi |	eka AdInAm mUlam Gana rASInAm pRTak tu me brUhi |
   vasvaśvimunīndūnām ghanamūlam gaṇyatām āśu || 1 ||	vasu aSvi muni indUnAm Gana mUlam gaNyatAm ASu || 1 ||
   nyāsaḥ ã 1, 8, 27, 64, 125, 216, 343, 512, 729, 9728.	nyAsaH ã 1, 8, 27, 64, 125, 216, 343, 512, 729, 9728.
   labdham ghanamūlam yathāsaṅkhyena 1, 2, 3, 4, 5, 6, 7, 8, 9, 12.	labDam Gana mUlam yaTA saFKyena 1, 2, 3, 4, 5, 6, 7, 8, 9, 12.
   uddeśakaḥ ã	uddeSakaH ã
   kṛtayamavasurandhrarasābdhirūparandhrāśvināgasaṅkhyasya |	kRtayama vasu ranDra rasa abDi rUpa ranDra aSvi nAga saFKyasya |
   mūlam ghanasya samyak vada bhaṭaśāstrānusāreṇa || 2 ||	mUlam Ganasya samyak vada Bawa SAstra anusAreNa || 2 ||
   nyāsaḥ ã 8291469824 | labdham ghanamūlam 2024 |	nyAsaH ã 8291469824 | labDam Gana mUlam 2024 |
   evam eva bhinnaghanamūlānayane api uddeśakaḥ ã	evam eva Binna Gana mUla Anayane api uddeSakaH ã
   mūlam trayodaśānām pañcaghanāṃśaiḥ triśūnyarūpākhyaiḥ |	mUlam trayodaSAnAm paQca Gana aMSEH triSUnya rUpa AKyEH |
   adhikānām bhinnākhyam vigaṇyatām saṅkhyayā samyak || 3 ||	aDikAnAm Binna AKyam vigaNyatAm saFKyayA samyak || 3 ||
   nyāsaḥ ã	nyAsaH ã
   labdham ghanamūlam	labDam Gana mUlam
   [tribhujakṣetraphalam ]	[tri Buja kzetra Palam ]
   atha tribhujakṣetraphalānayanārtham āha ã	aTa triBuja kzetra Pala Anayana arTam Aha ã
   tribhujasya phalaśarīram samadalakoṭībhujārdhasaṃvargaḥ |	triBujasya Pala SarIram samadala kowI Buja arDa saMvargaH |
   tisraḥ bhujāḥ yasya kṣetrasya tat idam kṣetram tribhujam | bhujā bāhuḥ	tisraH BujAH yasya kzetrasya tat idam kzetram triBujam | BujAH bAhuH
   pārśvam iti paryāyāḥ | tatra trīṇi kṣetrāṇi sama dvisama viṣamāṇi |	pArSvam iti paryAyAH | tatra trINi kzetrANi sa ma dvi sama  vizamANi |
   "tribhujasya" iti tribhujakṣetrajātimaṅgīkṛtya ekavacananirdeśaḥ | tasya	"tri Bujasya" iti triBuja kzetra jAtim aFgIkRtya ekavacana nirdeSaH | tasya
   tribhujasya | phalaśarīram | phalasya śarīram phalaśarīram, phalapramāṇam	triBujasya | Pala SarIram | Palasya SarIram Pala SarIram, Pala pramANam
   iti arthaḥ | samadalakoṭībhujārdhasaṃvargaḥ | samadalakoṭī, avalambakaḥ |	iti arTaH | samadala kowI Buja arDa saMvargaH | samadala kowI, avalambakaH |
   atra kecit ã same dale yasyāḥ sā iyam samadalā, samadalā ca asau koṭī ca	atra kecid ã same dale yasyAH sA iyam sama dalA, samadalA ca asO kowI ca
