   chap.1.nakSatrakarmaphala 20	Cap.1.nakSatra-karma-Pala 20
   TY_.add8.1c/.[mṛtyuṃ bhāskaranandano narapateyo(ryo)dhakṣaya(yaṃ)viprarāṭ	TY_.add8.1c/.[-mRtyum BAskara-nandanaH narapateyaH-(H-yo)Da-kzaya(yaM)viprarAj-
   TY_.add8.1d/.[sarvāṇy ai(ṇye)va surārimantrivṛṣabhaḥ saṃpiṇḍitā	TY_.add8.1d/.[-sarvANi E(Nye)va surAri-mantri-vRzaBaH saMpiNxitA
   bhārgavaḥ//	BArgavaH//
   TY_.add8.2a/.[nakṣatraṃ tithi(tha)yas tathaiva karaṇaṃ vāras tathā gocaraṃ	TY_.add8.2a/.[-nakzatram tiTi(Ta)yaH taTA-eva karaNam vAraH taTA gocaram
   TY_.add8.2b/.[drekā(kkā)ṇaṃ sanavāṃśa(ṅga?)(lacuna)grahadinaṃ lagnaṃ	TY_.add8.2b/.[drekA(kkA)Nam sa-nava-aMSa-(Fga?)(lacuna)graha-dinam lagnam
   muhūrto 'pi vā/	muhUrtaH api vA/
   TY_.add8.2c/.[ye cānye śakunādayo nigaditāḥ sarve 'pi te śobhanā	TY_.add8.2c/.[ye ca-anye Sakuna-AdayaH nigaditAH sarve api te SoBanA
   TY_.add8.2d/.[lalāṭo(ṭe?) bhṛgunanda(na)sya na tadā śakuro 'pi	TY_.add8.2d/.[lala-Awo(we?) BRgunanda(na)sya na tadA SakuraH api
   jīvenda(ṅga)taḥ//	jIva-inda(Fga)taH//
   TY_.add8.3a/.[suram api vijayec chuḥpṛṣṭhatī(taḥ)kṛtya śukraḥ(karaṃ)	TY_.add8.3a/.[suram api vijayet SuHpRzWatI(taH)kRtya SukraH(karaM)
   TY_.add8.3b/.[samaravijayatṛṣṇo yo nṛpaḥ saṃprayāti/	TY_.add8.3b/.[-samara-vijaya-tRzNaH yaH nRpaH saMprayAti/
   TY_.add8.3c/.[ripubalarudhiraudais tarpayitvā tu bhūmiṃ	TY_.add8.3c/.[-ripu-bala-ruDira-odEH tarpayitvA tu BUmim
   TY_.add8.3d/.[prathitavipulakīrtidīrghakālaṃ bhunakti//	TY_.add8.3d/.[-praTita-vipula-kIrti-dIrGa-kAlam Bunakti//
   TY_.add8.1ab/.[naur iva vikarṇadharā vi(lacuna)(dha)veda vadhūr	TY_.add8.1ab/.[nOH iva vikarNa-DarA vi(lacuna)(Da)veda vaDUH-
   vibhāskareva dyauḥ/	viBAskarA-iva dyOH/
   TY_.add8.1cd/.[bhūni(ri)va vipannnasasyā proṣitaśukrābhda(krābha)vati	TY_.add8.1cd/.[BUni(ri)va vipannna-sasyA prozita-Sukra-ABda(krABa)vati
   yatrā//	yatra-a//
   TY_8.5ab/.evaṃvidhe 'pi yāyād yadi śukre candrajo 'nukūlasthaḥ/	TY_8.5ab/.evaMviDe api yAyAt yadi Sukre candrajaH anukUla-sTaH/
   TY_8.5cd/.pratibudhayātasyānye na paritrāṇe grahāḥ śaktāḥ//	TY_8.5cd/.-pratibuDa-yAtasya-anye na paritrANe grahAH SaktAH//
   TY_8.6ab/.yo 'pi patir diśi yasyāṃ tasmin tatsthe na tāṃ diśaṃ yāyāt/	TY_8.6ab/.yaH api patiH diSi yasyAm tasmin tad-sTe na tAm diSam yAyAt/
   TY_8.6cd/.anukūle ca digīśe gatavyaṃ kaṇṭakopagate//E6	TY_8.6cd/.anukUle ca digISe gatavyam kaNwaka-upagate//E6
   chap.9.(non title)	Cap.9.(non title)
   TY_9.1ab/.vyatipātaviṣṭivaidhṛtipāpagrahalagnavargadivaseṣu/	TY_9.1ab/.-vyatipAta-vizwi-vEDRti-pApa-graha-lagna-varga-divasezu/
   TY_9.1cd/.cauryāvaskandānṛtasaṃgrāmāsiddhim āyānti//	TY_9.1cd/.-cOrya-avaskanda-anRta-saMgrAmA-sidDim AyAnti//
   TY_9.2ab/.hutvānalaṃ namaskṛtya devatāḥ svasti vācya viprāṃś ca/	TY_9.2ab/.hutva-analam namaskRtya devatAH svasti vAcya viprAn ca/
   TY_9.2cd/.dhyāyan digīśam avilambitaṃ vrajed bhūpatiḥ sumanāḥ//	TY_9.2cd/.DyAyan digISam avilambitam vrajet BUpatiH sumanAH//
   TY_9.3ab/.kāryavaśāt svayam agamaṃ bhūbhartuḥ kecid āhur ācāryāḥ/	TY_9.3ab/.kArya-vaSAt svayam agamam BUBartuH kecid AhuH AcAryAH/
   TY_9.3cd/.chatrāyudhādyam iṣṭaṃ vaijayikaṃ nirgame kuryāt//	TY_9.3cd/.-Catra-AyuDa-Adyam izwam vEjayikam nirgame kuryAt-//
   TY_9.4ab/.nākālavarṣavi(dyu)tstanite ṣṭhiṣṭa(ṣviṣṭaṃ?)kathañcid api mānam/	TY_9.4ab/.na-akAla-varza-vi(dyu)t-stanite zWizwa-(zu-izwaM?)-kaTaQcit api mAnam/
   TY_9.4cd/.āsaptāhād divyāntarikṣabhaumais tathotpātaiḥ//	TY_9.4cd/.A-sapta-ahAt divya-antarikza-BOmEH taTA-utpAtEH//
   TY_9.5ab/.dakṣiṇapārśvaspandanam iṣṭaṃ hṛdayaṃ vihāya pṛṣṭhaṃ ca/	TY_9.5ab/.dakziNa-pArSva-spandanam izwam hRdayam vihAya pRzWam ca/
   TY_9.5cd/.manasaś cāgamaśuddhiḥ ślokaś cāyaṃ munibhir uktaḥ//	TY_9.5cd/.manasaH ca-Agama-SudDiH SlokaH ca-ayam muniBiH uktaH//
   TY_9.6ab/.śubhāśubhāni sarvāṇi nimittāni syur ekataḥ/	TY_9.6ab/.-SuBa-aSuBAni sarvANi nimittAni syuH ekatas-/
   TY_9.6cd/.ekataś ca mano yāti tad viśuddhaṃ jayāvaham//	TY_9.6cd/.ekatas ca manaH yAti tat viSudDam jaya-Avaham//
   TY_9.7ab/.ārohati kṣitipatau vinayopapanno yātrānugo 'nyaturagaṃ	TY_9.7ab/.Arohati kzitipatO vinaya-upapannaH yAtrA-anugaH anya-turagam
   pratiheṣitaś ca/	pratihezitaH ca/
   TY_9.7cd/.vaktreṇa vā spṛśati dakṣiṇam ātmapārśvaṃ yo 'śvaḥ sa bhartur	TY_9.7cd/.-vaktreNa vA spRSati dakziNam Atma-pArSvam yaH aSvaH sa BartuH-
   acirāt pracinoti lakṣmīm//	acirAt pracinoti lakzmIm//
   TY_9.8ab/.muhurmuhur mūtraśakṛt karoti na tāḍyamāno 'py anulomayāyī/	TY_9.8ab/.muhur-muhur mUtra-SakRt karoti na tAxyamAnaH api anulomayAyI/
   TY_9.8cd/.akāryabhīto 'śruvilocanaś ca śivaṃ na bhartus turago	TY_9.8cd/.a-kArya-BItaH aSru-vilocanaH ca Sivam na BartuH turagaH-
   'bhidhatte//	aBiDatte//
   TY_9.9ab/.skhalitagatir akasmāt trastakarṇo 'tidīnaḥ śvasati mṛdu	TY_9.9ab/.-sKalita-gatiH akasmAt trastakarNaH ati-dInaH Svasati mRdu
   sudīrghaṃ nyastahastaḥ pṛthivyām/	su-dIrGam nyasta-hastaH pRTivyAm/
   TY_9.9cd/.drutamukulitadṛṣṭiḥ svapnaśīlo vikomo bhayakṛd ahitabhakṣī	TY_9.9cd/.-druta-mukulita-dRzwiH svapna-SIlaH vikomaH Baya-kRt ahita-BakzI
   naikaśo 'sṛkśakṛtkṛt//	na-ekaSas asRk-SakRt-kRt//
   TY_9.10a/.valmīkasthāṇugulmatṛṇatarumathanaḥ svecchayā hṛṣṭadṛṣṭir	TY_9.10a/.valmIka-sTANu-gulma-tRNa-taru-maTanaH sva-icCayA hRzwa-dRzwiH-
   TY_9.10b/.yāyād yātrānulomaṃ tvaritapadagatir vaktram unnamya coccaiḥ/	TY_9.10b/.yAyAt yAtrA-anulomam tvarita-pada-gatiH vaktram unnamya ca-uccEs-/
   TY_9.10c/.kakṣāsannāhakāle janayati sumahacchīkaraṃ vṛhaṃte vā	TY_9.10c/.kakza-Asat-nAha-kAle janayati su-mahat-SIkaram vRhaMte vA
   TY_9.10d/.tatkālaṃ vā madāptau jayakṛd atha radaṃ veṣṭayan dakṣiṇaṃ ca//	TY_9.10d/.-tad-kAlam vA mad-AptO jaya-kRt aTa radam vezwayan dakziNam ca//
   TY_9.11ab/.siddhārthakādarśapayoñjanāni baddhaikapaśvāmiṣapūrṇakumbhāḥ/	TY_9.11ab/.-sidDArTaka-AdarSa-payoQjanAni badDa-eka-paSu-Amiza-pUrNa-kumBAH/
   TY_9.11cd/.uṣṇīṣabhṛṅgāranṛvarddhamānapuṃyānavīṇātapavāraṇāni//	TY_9.11cd/.uzNIza-BRFgAra-nRvardDa-mAna-puMyAna-vINA-Atapa-vAraNAni//
   TY_9.12ab/.dadhimadhughṛtarocanākumāryo	TY_9.12ab/.daDi-maDu-GRta-rocanA-kumAryaH-
   dhvajakanakāmbujabhadrapīṭhaśaṅkhāḥ/	Dvaja-kanaka-ambuja-Badra-pIWa-SaFKAH/
   TY_9.12cd/.sitavṛṣakusumāmbarāṇi mīnā dvijagaṇikāptajanāś ca cāruveṣāḥ//	TY_9.12cd/.sita-vRza-kusuma-ambarANi mInAH dvija-gaNikA-Apta-janAH ca cAruvezAH//
   TY_9.13ab/.jvalitaśikhiphalākṣatekṣubhakṣā dviradamṛdaṅkuśacāmarāyudhāni/	TY_9.13ab/.jvalita-SiKi-Pala-Akzata-ikzu-BakzAH dvirada-mRdaFkuSa-cAmara-AyuDAni/
   TY_9.13cd/.marakatakuravindapadmarāgasphaṭikamaṇipramukhāś ca	TY_9.13cd/.mara-kata-kuravinda-padmarAga-sPawika-maNi-pramuKAH ca
   ratnabhedāḥ//	ratna-BedAH//
   TY_9.14ab/.svayam atha racitāny ayatnato vā yadi kathitāni bhavanti	TY_9.14ab/.-svayam aTa racitAni ayatnataH vA yadi kaTitAni Bavanti
   maṅgalāni/	maFgalAni/
   TY_9.14cd/.sa jayati sakalāṃ tato dharitrīṃ grahaṇadṛgālabhanaśrutair	TY_9.14cd/.-sa jayati sakalAm tatas DaritrIm grahaNa-dRS-AlaBana-SrutEH-
   upāsya//	upAsya//
   TY_9.15a/.karpāsauṣadhakṛṣṇadhānyalavaṇaklīvāsthitailaṃ vasā	TY_9.15a/.karpAsa-OzaDa-kRzNa-DAnya-lavaNa-klIva-asTi-tElam vasA
   TY_9.15b/.paṅkāṅgāraguḍāhicarmaśakṛtaḥ kleśāya savyādhitāḥ/	TY_9.15b/.paFka-aFgAra-guxa-ahi-carma-SakRtaH kleSAya sa-vyADitAH/
   TY_9.15c/.mattonmattajaḍīkṛtāndhavadhirakṣutkṣāmatakrārayo	TY_9.15c/.matta-unmatta-jaxIkRta-anDa-vaDiH-akzuD-kzAma-takra-ArayaH-
   TY_9.15d/.muṇḍābhyaktavimuktakeśapatitāḥ kāṣāyinaś cāśubhāḥ//	TY_9.15d/.-muNxa-aByakta-vimukta-keSa-patitAH kAzAyinaH ca-aSuBAH//
   TY_9.16ab/.paṭupaṭahamṛdaṅgaśaṅkhabherīpaṇavaravaṃ sapatākatoraṇāgram/	TY_9.16ab/.pawu-pawaha-mRdaFga-SaFKa-BerI-paNava-ravam sa-patAka-toraNa-agram/
   TY_9.16cd/.pracurakusumatoyaśāntareṇuṃ surabhisuveṣajanaṃ bhajec ca	TY_9.16cd/.-pracura-kusuma-toya-SAnta-reNum suraBi-su-veza-janam Bajet ca
   mārgam//	mArgam//
   TY_9.17ab/.yāny atra maṅgalāmaṅgalāni nirgacchatāṃ pradiṣṭāni/	TY_9.17ab/.yAni atra maFgala-amaFgalAni nirgacCatAm pradizwAni/
   TY_9.17cd/.svapneṣv api tāni śubhāśubhāni viḍlepanaṃ dhanyam//	TY_9.17cd/.-svapnezu api tAni SuBa-aSuBAni viz-lepanam Danyam//
   TY_9.18ab/.mṛdur anukūlaḥ snigdhapavanaḥ tadvad vīnā(ṇā)ś ca śasyante/	TY_9.18ab/.mRduH anukUlaH snigDa-pavanaH tadvat vInA(NA)H ca Sasyante/
   TY_9.18cd/.lalāṭaṃ dhanur athendraṃ(nuraindraṃ)na śubhadam anyatra	TY_9.18cd/.-lalAwam DanuH aTa-indraM(nuH-EndraM)na SuBa-dam anyatra
   śastaṃ(sta)phalam//	SastaM(H-ta)-Palam//
   TY_9.19ab/.punnāmāna(naḥ)chuchu(cchu)gṛhagodhikapiṃgalā(lāḥ) śivā śyāmā/	TY_9.19ab/.-punnAma-Ana(naH)SuCu(cSu)gRha-goDika-piMgala-a(lAH) SivA SyAmA/
   TY_9.19cd/.kokilaśūkarikā(ka)ralā(lāḥ)prasthāne vāmataḥ śastāḥ//	TY_9.19cd/.-kokila-SUkarikA(ka)rala-a(lAH)-prasTAne vAmatas SastAH//
   TY_9.20ab/.strīsaṃjñā bhāsabhaṣaka(ka)piñjalāplavakambukiṃtsakā(?)/	TY_9.20ab/.-strI-saMjQA BAsa-Baza-ka(ka)piQjala-aplava-kambu-kiMtsakA(?)/
   TY_9.20cd/.śikhiśrīkaṣṭhapayīka(pippīka)ruruśyenāś ca dakṣiṇāṅga(lacuna)//	TY_9.20cd/.-SiKi-SrI-kazWa-payIka(pippIka)ruruSyenAH ca dakziNa-aFga-(lacuna)//
   TY_9.21ab/.bhāradvājamayū(ra)cāpanakulāvalokanaṃ dhanyaḥ(nyam)/	TY_9.21ab/.BAradvAja-mayU(ra)cApa-nakula-avalokanam DanyaH(nyam)/
   TY_9.21cd/.godhāhirapa(?)jāhakasaraṭā(ṭa)śaśānām aniṣṭaphalam//	TY_9.21cd/.-goDA-hiH-apa(?)jAhaka-sarawA-a(wa)SaSAnAm anizwa-Palam//
   TY_9.22ab/.kīrtanam iṣṭaṃ cāṣakaśaśagodhāhisūkara(godhāsūkarāhi)jātīnām/	TY_9.22ab/.kIrtanam izwam cAzaka-SaSa-goDA-ahi-sUkara(-goDA-sUkara-ahi)-jAtInAm-/
   TY_9.22cd/.rutadarśanaṃ tv adhanyaṃ viparītaṃ vānararkṣānāṃ(ṇām)//	TY_9.22cd/.ruta-darSanam tu aDanyam viparItam vAnara-RkzAnAM(NAm)//
   TY_9.23ab/.mṛgavihagā śasyante pradakṣiṇaṃ viṣamasaṃkhyayā ca mṛgāḥ/	TY_9.23ab/.-mRga-vihagA Sasyante pradakziNam vizama-saMKyayA ca mRgAH/
   TY_9.23cd/.nṛpadarśane gamaṇa(na)vat tadviparītā praveśe tu//	TY_9.23cd/.-nRpa-darSane gamaNa(na)vat tad-viparItA praveSe tu//
   TY_9.24ab/.ākṣepaśīlaḥ pu(pa)ruṣāvi(bhi)dhāyī viraktabhṛtyaḥ paradāragāmī/	TY_9.24ab/.a-Akzepa-SIlaH pu(pa)ruzA-vi(Bi)-DAyI virakta-BRtyaH para-dAra-gAmI/
   TY_9.24cd/.lubdho 'sahāyo vyasanī kṛtaghnaḥ sthitiprabhettā	TY_9.24cd/.-lubDaH asahAyaH vyasanI kRtaGnaH sTiti-praBet-tA
   karaśīrṇarāṣṭraḥ//	kara-SIrNa-rAzwraH//
   TY_9.25ab/.visrambhahā krodhavaśe(śo) nṛśaṃse(saḥ) kṣudrā(draḥ) pramādī na	TY_9.25ab/.visramBa-hA kroDa-vaSe(So) nRSaMse(saH) kzudra-A(draH) pramAdI na
   bahuśrutā(ta)ś ca/	bahu-Sruta-A(ta)H ca/
   TY_9.25cd/.divyāntarikṣakṣitijau(jai)r vikārair nipīḍito (yaś ca) sa	TY_9.25cd/.-divya-antarikza-kziti-jO(jE)H vikArEH nipIxitaH (yaH ca) sa
   daivahīnaḥ//	dEva-hInaH//
   TY_9.26ab/.ato viparyastaguṇena rājñā tādṛgvidho 'ris tv abhiyuktamātraḥ/	TY_9.26ab/.ataH viparyasta-guNena rAjQA tAdRgviDaH ariH tu aBiyukta-mAtraH/
   TY_9.26cd/.tarur ghuṇair jagdha ivāttakāryo mahān api kṣipram upaiti	TY_9.26cd/.taruH GuNEH jagDaH iva-Atta-kAryaH mahAn api kzipram upEti
   bhaṅgāḥ(ṅgam)//	BaFgAH-(Fgam)//
   TY_9.27ab/.tadviṣṭapravaranarapratāpahīnā nī(niḥ)śauryā	TY_9.27ab/.tad-vizwa-pravara-nara-pratApa-hInA nI(-niH)SOryA
   varavāraṇāśvayodhamukhāḥ(khyāḥ)/	vara-vAraNa-aSva-yoDa-muKAH-(KyAH)/
   TY_9.27cd/.sotpātaprakṛtiviparyā(rya)yāna(nu)yātā śokārttā ripubalam	TY_9.27cd/.sa-utpAta-prakRti-viparyA(rya-)yAna-(nu)yAtA Soka-ArttA ripu-balam
   āśuryā(yā)ti senāḥ(nā)//	ASuryA(yA)ti senAH(nA)//
   TY_9.28ab/.saṃgrāme va(ya)m amara(dvija)prasādā(t) jyeṣyāmo ripubalam āśv	TY_9.28ab/.-saMgrAme va(ya)m amara(-dvija)-prasAda-a(t) jyezyAmaH ripu-balam ASv
   asaṃśayena/	asaMSayena/
   TY_9.28cd/.yasye(syai)vaṃ bhavati bale janapravādāḥ(daḥ) svalpo 'pi	TY_9.28cd/.yasye(syE)vam Bavati bale jana-pravAdAH(daH) su-alpaH api
   pravarabalaṃ nihanti rājā//	pravara-balam nihanti rAjA//
   TY_9.29ab/.puraṃ ripor bhūmipatini(rni)hanyāc chatror	TY_9.29ab/.puram ripoH BUmipati-ni(r-ni)hanyAt SatroH-
   aniṣṭagrahadiṭi(ṅni)viṣṭiḥ(ṣṭaḥ)/	anizwa-graha-diwi(k-ni)vizwiH(zwaH)/
   TY_9.29cd/.yuddhasya yātrāsama eva kālaḥ kū(krū)reṣu lagneṣu ca	TY_9.29cd/.-yudDasya yAtrA-samaH eva kAlaH kU(krU)rezu lagnezu ca
   kūṭāyudhaḥ(kūṭayuddhaṃ)//	kUwa-AyuDaH(kUwa-yudDaM)//
   TY_9.30ab/.antarmukhāḥ paurabhayaṃ vihaṅgāḥ pra(prā)kārasaṃsthā	TY_9.30ab/.antarmuKAH pOra-Bayam vihaFgAH pra(prA)kAra-saMsTA
   vinivedayanti/	vinivedayanti/
   TY_9.30cd/.āgantunāśāya bahirmukhās te tulyaṃ vihaṅgaiḥ saramātmajau(jā)ś	TY_9.30cd/.Agantu-nASAya bahirmuKAH te tulyam vihaFgEH saramAtmajO(-jA)H-
   ca//	ca//
   TY_9.31a/.ketūlkārkajarāhukīlakakujā bimbapraviṣṭā yataḥ	TY_9.31a/.ketu-ulkA-arkaja-rAhu-kIlaka-kujA bimba-pravizwA yatas-
   TY_9.31b/.sūryendvoḥ pariveṣakhaṇḍam athavā dṛśyeta yasyāṃ diśi/	TY_9.31b/.-sUrya-indvoH pariveza-KaNxam aTavA dRSyeta yasyAm diSi/
   TY_9.31c/.kroṣṭuśvātti(hi)pipīlikāśaśamṛgadhākṣa(dhvāṅkṣā)dayo vā pure	TY_9.31c/.krozwu-SvAtti(hi)-pipIlikA-SaSa-mRgaDA-akza(-DvAFkzA)-dayaH vA pure
   TY_9.31d/.sainye vāpi yato viśanti hi tataḥ śatro(troḥ) puraṃ ghātayet//	TY_9.31d/.-sEnye vA-api yatas viSanti hi tatas Satro(troH) puram GAtayet//
   TY_9.32ab/.pātālarkṣe rāhuketvo(tvoḥ) pure 'reto(s to)yocchittiḥ sālapātaś	TY_9.32ab/.-pAtAla-Rkze rAhuketvo(tvoH) pure areto(H to)ya-ucCittiH sAla-pAtaH-
   ca kāryaḥ/	ca kAryaH/
   TY_9.32cd/.jāmitrasthe bhūmijā(je ')syāṃśake vā putreṇendor vīkṣite 'gniḥ	TY_9.32cd/.jAmitra-sTe BUmi-jA-a(je a)sya-aMSake vA putreNa-indoH vIkzite agniH
   pradeyaḥ//	pradeyaH//
   TY_9.33a/.paraviṣayapurāptau sādhudevadvijasvāṃ(jasvaṃ)	TY_9.33a/.para-vizaya-pura-AptO sADu-deva-dvija-svAM(ja-svaM)
   TY_9.33b/.kulajanavanitāṃ(tā)ś ca kṣmādhipo noparundhyāt/	TY_9.33b/.kula-jana-vanitA-aM(tA)H ca kzmA-aDipaH na-uparunDyAt/
   TY_9.33c/.vigajatura(ga)śastrānā(nn ā)rtabhītāṃ(tā)ś ca hanyāc	TY_9.33c/.-vigaja-tura(ga)SastrAnA(n A)rta-BIta-aM(tA)H ca hanyAt-
   TY_9.33d/.chubhatithidivasarkṣe hṛṣṭasainye(nyo) viśet tu//	TY_9.33d/.-CuBa-tiTi-divasa-Rkze hRzwa-sEnye(-nyo) viSet tu//
   TY_9.34ab/.digdāhakṣatajarajo 'śmavṛṣṭipātaiḥ	TY_9.34ab/.digdAha-kzata-ja-rajaH aSma-vRzwi-pAtEH
   nirghātakṣiticalanādivaikṛtaiś ca/(	nirGAta-kziti-calana-Adi-vEkRtEH ca/(
   TY_9.34cd/.yuddhānte mṛgaśakunaiś ca dīptanādaiḥ no bhadraṃ bhavati jite	TY_9.34cd/.-yudDa-ante mRga-SakunEH ca dIpta-nAdEH naH Badram Bavati jite
   pari('pi) pārthivasya//	pari(-api) pArTivasya//
   TY_9.35a/.śubhā mṛgapatatriṇo mṛdusamīraṇo da(drop da)hlādakṛta(t)	TY_9.35a/.-SuBA mRgapatatriNaH mRdu-samIraNaH da(dra-uB da)hlAda-kRta-(t)
   TY_9.35b/.grahāḥ sthūṭā(sphuṭa)marīcayo	TY_9.35b/.grahAH sTUwA(-sPuwa)-marIcayo
   dvi(vi)gatareṇudinda(lacuna)laḥ(diṅmaṇḍalaṃ)/	dvi-(vi)gata-reNu-dinda-(-lacuna)laH(-diS-maNxalaM)/
   TY_9.35c/.yad anyam a(da)pi vikṛtai(taṃ) na vijayāvasāne bhavet	TY_9.35c/.yat anyam a(da)pi vikRtE(taM) na vijaya-avasAne Bavet-
   TY_9.35d/.tadā sukham akaṇṭakaṃ nṛpatir atti deśe ripuḥ(ripoḥ)//E35	TY_9.35d/.tadA suKam akaNwakam nRpatiH atti deSe ripuH(ripoH)//E35
   End of Tikanikayatra	End of Tikanikayatra
