   akasmāj jāyate sthūlaḥ VMv_1.61a	akasmAt jAyate sTUlaH VMu-_1.61a
   koṭisaṃkhyā bhaved yāvat VMv_4.26a	kowi-saMKyA Bavet yAvat VMu-_4.26a
   kramaśaś cābhivardhitaiḥ VMv_1.101d	kramaSas ca-aBivarDitEH VMu-_1.101d
   kramaśo 'pi na sarveṣām VMv_1.18c	kramaSas api na sarvezAm VMu-_1.18c
   kramasyāsya viparyāsāt VMv_2.11a	kramasya-asya viparyAsAt VMu-_2.11a
   kramaḥ syāt pūrvavat tadā VMv_1.106b	kramaH syAt pUrvavat tadA VMu-_1.106b
   kramāt tanmadhyasaṃsthitam VMv_1.88d	kramAt tad-maDya-saMsTitam VMu-_1.88d
   krameṇānena niyamād VMv_2.9c	krameNa-anena niyamAt VMu-_2.9c
   kriyayārāmaropaṇāt VMv_3.20b	kriyayA-ArAma-ropaNAt VMu-_3.20b
   krodhāyeti padaṃ vadet VMv_4.10d	kroDAya-iti padam vadet VMu-_4.10d
   kva cid dṛṣṭam upāyataḥ VMv_3.74b	kva cit dRzwam upAyataH VMu-_3.74b
   kṣamāvīryapratiṣṭhitaḥ VMv_4.85b	kzamA-vIrya-pratizWitaH VMu-_4.85b
   kṣayakāle 'py atikṣaye VMv_1.33c	kzaya-kAle api ati-kzaye VMu-_1.33c
   kṣayakāle bhaved vṛddhir VMv_1.32a	kzaya-kAle Bavet vRdDiH VMu-_1.32a
   kṣayān mṛtyuṃ na paśyati VMv_3.69d	kzayAt mRtyum na paSyati VMu-_3.69d
   kṣaratpīyūṣaśīkarān VMv_4.43b	kzarat-pIyUza-SIkarAn VMu-_4.43b
   khakhakhāhikhāhipadāt VMv_4.12b	Ka-KaKa-ahi-KA-ahi-padAt VMu-_4.12b
   khaḍgāñjanapādalepa- VMv_4.36c	Kaxga-aQjana-pAda-lepa VMu-_4.36c
   khaṇḍaṃ pādodaye nyūnaṃ VMv_1.85c	KaNxam pAda-udaye nyUnam VMu-_1.85c
   kharapotryuṣṭrasaurabhaiḥ VMv_1.132d	Kara-potrI-uzwra-sOraBEH VMu-_1.132d
   kharam āruhya vegena VMv_1.136a	Karam Aruhya vegena VMu-_1.136a
   kharārkadivase toyair VMv_1.88a	Kara-arka-divase toyEH VMu-_1.88a
   kharārkadivase paśyet VMv_1.90a	Kara-arka-divase paSyet VMu-_1.90a
   gacchet pūrvāṃ diśaṃ naraḥ VMv_1.131b	gacCet pUrvAm diSam naraH VMu-_1.131b
   gaṇanāśramahānāya VMv_4.102a	gaNanA-SramahAnAya VMu-_4.102a
   gaṇayet prātar utthitaḥ VMv_4.56b	gaNayet prAtar utTitaH VMu-_4.56b
   gaṇḍavyūhādisūtrāntān VMv_3.25a	gaNxa-vyUha-Adi-sUtra-antAn VMu-_3.25a
   gatir anyā pradarśyate VMv_2.28d	gatiH anyA pradarSyate VMu-_2.28d
   gatir anyā pravartate VMv_2.33b	gatiH anyA pravartate VMu-_2.33b
   gate satatagāmini VMv_2.32b	gate satata-gAmini VMu-_2.32b
   gandharvanagaraṃ paśyed VMv_1.66c	ganDarvanagaram paSyet VMu-_1.66c
   gamanaṃ yamasadmani VMv_1.37d	gamanam yama-sadmani VMu-_1.37d
   gambhīro gulgulo dhvaniḥ VMv_1.99b	gamBIraH gulgulaH DvaniH VMu-_1.99b
   garjagarja tathā punaḥ VMv_4.16d	garjak-arja taTA punar VMu-_4.16d
   gardabhaṃ yaḥ samārūḍhaḥ VMv_1.124a	gardaBam yaH samArUXaH VMu-_1.124a
   galake piṭakān raktān VMv_1.75c	galake piwakAn raktAn VMu-_1.75c
   gātre varṇavicitratām VMv_1.75d	gAtre varNa-vicitra-tAm VMu-_1.75d
   gāthāḥ susvastisaṃjñitāḥ VMv_3.23d	gATAH su-svasti-saMjQitAH VMu-_3.23d
   gṛhītvā śuklabhāgakam VMv_1.117b	gRhItvA Sukla-BAgakam VMu-_1.117b
   granthapramāṇam ākhyātaṃ VMv_4.102c	granTa-pramANam AKyAtam VMu-_4.102c
   grahādimātṛkāpāṭhāt VMv_3.28a	graha-Adi-mAtRkA-pAWAt VMu-_3.28a
   grīvāpārśvasthayor nāḍyor VMv_1.57c	grIvA-pArSva-sTayoH nAxyoH VMu-_1.57c
   ghaṭāṅkavāruṇākhyena VMv_4.70c	Gawa-aFkavAruNa-AKyena VMu-_4.70c
   ghanavyūhanivāsinam VMv_4.19b	Gana-vyUha-nivAsinam VMu-_4.19b
   ghṛtāktanalikārandhra- VMv_3.76a	GRta-akta-nalikA-ranDra VMu-_3.76a
   ghṛtāktair lakṣasaṃkhyātair VMv_3.61a	GRta-aktEH lakza-saMKyAtEH VMu-_3.61a
   cakrasaṃvaratantrokta- VMv_4.41a	cakra-saMvara-tantra-ukta VMu-_4.41a
   cakrād asmāt prajāyate VMv_4.37d	cakrAt asmAt prajAyate VMu-_4.37d
   cakṣurnāsikayor madhye VMv_1.54a	cakzuH-nAsikayoH maDye VMu-_1.54a
   cakṣuṣī sravato nityaṃ VMv_1.63a	cakzuzI sravataH nityam VMu-_1.63a
   caturdaśāhaṃ dvivarṣāt VMv_2.46a	caturdaSa-aham dvi-varzAt VMu-_2.46a
   caturmāsātyayād bhavet VMv_1.108b	catur-mAsa-atyayAt Bavet VMu-_1.108b
   caturmāsād bhaven mṛtyur VMv_1.118c	catur-mAsAt Bavet mRtyuH VMu-_1.118c
   caturviṃśatirātronān VMv_2.44c	caturviMSati-rAtra-UnAn VMu-_2.44c
   caturviṃśativarjitaiḥ VMv_2.42b	caturviMSati-varjitEH VMu-_2.42b
   caturviṃśatyahanyūnād VMv_2.47c	caturviMSati-ahanyUnAt VMu-_2.47c
   caturviṃśatyaharvāhe VMv_2.50c	caturviMSati-aharvAhe VMu-_2.50c
   catuḥṣaṭkadinonitāt VMv_2.50d	catur-zawka-dina-UnitAt VMu-_2.50d
   catvāriṃśaddinonitāt VMv_2.48d	catvAriMSat-dina-UnitAt VMu-_2.48d
   catvāro yasya vidhyanti VMv_1.44c	catvAraH yasya viDyanti VMu-_1.44c
   candracchidraṃ ravicchidraṃ VMv_1.77a	candra=-Cidram ravi=-Cidram VMu-_1.77a
   candradvayaṃ dvisūryaṃ vā VMv_1.66a	candra-dvayam dvi-sUryam vA VMu-_1.66a
   candrabimbāsanopari VMv_4.28b	candra-bimba-Asana-upari VMu-_4.28b
   candrasūryagato bhavet VMv_1.42b	candra-sUrya-gataH Bavet VMu-_1.42b
   candrasyādhas tathordhvaṃ ca VMv_1.105a	candrasya-aDas taTA-UrDvam ca VMu-_1.105a
   candraṃ cāpi saraśmikam VMv_1.73d	candram ca-api sa-raSmikam VMu-_1.73d
   candrāṃśuṃ vahnisaṃsparśaṃ VMv_1.76c	candra-aMSum vahni-saMsparSam VMu-_1.76c
   candre prabhañjane vāti VMv_1.117c	candre praBaQjane vAti VMu-_1.117c
   cāturdiśāryasaṃghāya VMv_3.31a	cAturdiSArya-saMGAya VMu-_3.31a
   cittabhramaraśāvakam VMv_4.71d	citta-Bramara-SAvakam VMu-_4.71d
   cintāmaṇisamā mantrāḥ VMv_3.66c	cintAmaNi-samAH mantrAH VMu-_3.66c
   cintāmaṇer ivāśeṣa- VMv_4.39c	cintAmaNeH iva-aSeza VMu-_4.39c
   cintyācintyāṃ na cintayet VMv_4.77c	cintya-acintyAm na cintayet VMu-_4.77c
   caityādivandanāc caiva VMv_3.22c	cEtya-Adi-vandanAt ca-eva VMu-_3.22c
   caitramāsasya saṃkrānti- VMv_2.24a	cEtra-mAsasya saMkrAnti VMu-_2.24a
   cauramatsyamṛgavyāḍa- VMv_3.13c	cOra-matsya-mRga-vyAxa VMu-_3.13c
   caurādīn vadhyadeśagān VMv_3.12d	cOra-AdIn vaDya-deSa-gAn VMu-_3.12d
   cchāyāyāś ca nirīkṣaṇam VMv_1.28d	cCAyAyAH ca nirIkzaNam VMu-_1.28d
   cchāyā svābhāvikī bhavet VMv_1.27d	cCAyA svABAvikI Bavet VMu-_1.27d
   chandakabhikṣayopāttair VMv_3.21a	Candaka-Bikzaya-upAttEH VMu-_3.21a
   chardiṃ mūtraṃ purīṣaṃ ca VMv_1.68a	Cardim mUtram purIzam ca VMu-_1.68a
   chāyāvikāram ālocya VMv_1.31c	CAyA-vikAram Alocya VMu-_1.31c
   chidraṃ bhūmau tathāmbare VMv_1.77b	Cidram BUmO taTA-ambare VMu-_1.77b
   chedaṃ chidraṃ tanau tathā VMv_1.69b	Cedam Cidram tanO taTA VMu-_1.69b
   chraddadhānas tato bhavet VMv_3.6d	CraddaDAnaH tatas Bavet VMu-_3.6d
   chraddheyam idam ārabhet VMv_4.47d	CradDeyam idam AraBet VMu-_4.47d
   jaṅghayor yasya gacchataḥ VMv_1.84b	jaFGayoH yasya gacCataH VMu-_1.84b
   jaṭharānaladīpanam VMv_4.86b	jaWara-anala-dIpanam VMu-_4.86b
   janmanakṣatrago bhavet VMv_2.31b	janma-nakzatra-gaH Bavet VMu-_2.31b
   janmarkṣe candramā yadi VMv_2.29b	janma-Rkze candramAH yadi VMu-_2.29b
   japec cākhinnacittaḥ san VMv_4.32c	japet ca-aKinna-cittaH san VMu-_4.32c
   japed akṣaralakṣakam VMv_3.41b	japet akzara-lakzakam VMu-_3.41b
   japtvā daśākṣaraṃ mantraṃ VMv_3.60a	japtvA daSa-akzaram mantram VMu-_3.60a
   japtvāryatārāpurato VMv_3.43c	japtvA-arya-tArA-puratas VMu-_3.43c
   jaya vare 'nu cāmṛte VMv_3.57b	jaya vare anu ca-amRte VMu-_3.57b
   jānūpari sthitau bāhū VMv_1.96a	jAnu-upari sTitO bAhU VMu-_1.96a
   jāpamātreṇa mantrāṇāṃ VMv_3.39c	jApa-mAtreNa mantrANAm VMu-_3.39c
   jāyate mṛtyulakṣaṇam VMv_1.26d	jAyate mRtyu-lakzaNam VMu-_1.26d
   jāyate mṛtyuvañcanam VMv_3.39d	jAyate mRtyu-vaQcanam VMu-_3.39d
   jāyate mṛtyuvañcanam VMv_3.61d	jAyate mRtyu-vaQcanam VMu-_3.61d
   jāyate mṛtyuvañcanam VMv_3.71d	jAyate mRtyu-vaQcanam VMu-_3.71d
   jāyate mṛtyuvañcanam VMv_3.72d	jAyate mRtyu-vaQcanam VMu-_3.72d
   jāyate vikṛtākṛtiḥ VMv_1.87d	jAyate vikRta-AkRtiH VMu-_1.87d
   jitakumbhakayogād vā VMv_4.60c	jita-kumBaka-yogAt vA VMu-_4.60c
   jito bhavati kumbhakaḥ VMv_4.62b	jitaH Bavati kumBakaH VMu-_4.62b
   jitvā nidrāṃ prayatnena VMv_4.57c	jitvA nidrAm prayatnena VMu-_4.57c
   jihvāgrādarśane mṛtyur VMv_1.40c	jihvA-agrA-darSane mRtyuH VMu-_1.40c
   jihvāgreṇālihed yāvat VMv_4.48c	jihvA-agreNa-alihet yAvat VMu-_4.48c
   jihvāyā aparāvṛttau VMv_1.110c	jihvAyAH aparAvRttO VMu-_1.110c
   jihvāyā yadi madhyataḥ VMv_1.58b	jihvAyAH yadi maDyatas VMu-_1.58b
   jihvāṃ tālugatāṃ kṛtvā VMv_4.47a	jihvAm tAlu-gatAm kRtvA VMu-_4.47a
   jīvane 'pi na saṃśayaḥ VMv_4.88d	jIvane api na saMSayaH VMu-_4.88d
   jīvapañcāśikādīni VMv_4.100a	jIva-paQcASika-AdIni VMu-_4.100a
   jīvitāntakarāya ca VMv_4.14b	jIvita-anta-karAya ca VMu-_4.14b
   jīvec candrārkajīvitam VMv_4.56d	jIvet candra-arka-jIvitam VMu-_4.56d
   jñātavyaṃ saṃśayo 'nyathā VMv_1.11d	jQAtavyam saMSayaH anyaTA VMu-_1.11d
   jñātvā pañcadinān mṛtyum VMv_1.54c	jQAtvA paQca-dinAt mRtyum VMu-_1.54c
   jñātvāpi yogaśāstrāṇi VMv_4.96a	jQAtvA-api yoga-SAstrANi VMu-_4.96a
   jñātvā yuktā pratikriyā VMv_1.9b	jQAtvA yuktA pratikriyA VMu-_1.9b
   jñātvāriṣṭakadambakam VMv_3.1b	jQAtvA-arizwa-kadambakam VMu-_3.1b
   jñānavṛddhādigauravāt VMv_3.17b	jQAna-vRdDa-Adi-gOravAt VMu-_3.17b
   jñeyo vañcanasaṃcayaḥ VMv_3.1d	jQeyaH vaQcana-saMcayaH VMu-_3.1d
   jyeṣṭhas tu triguṇo jñeyaḥ VMv_4.64a	jyezWaH tu triguNaH jQeyaH VMu-_4.64a
   jyeṣṭhe 'pi ced bhaved evaṃ VMv_2.23c	jyezWe api ced Bavet evam VMu-_2.23c
   jyeṣṭhodghātāvadhiṃ yāvat VMv_4.68a	jyezWa-udGAta-avaDim yAvat VMu-_4.68a
   jyotīṃṣi jhaṭitikramāt VMv_1.103d	jyotIMzi Jawiti-kramAt VMu-_1.103d
   jyotsnāyāṃ vā ciraṃ puraḥ VMv_1.93b	jyotsnAyAm vA ciram puras VMu-_1.93b
   jvala tiṣṭha tathā siddha- VMv_3.45c	jvala tizWa taTA sidDa VMu-_3.45c
   jvālā vākasmikī tanau VMv_1.71d	jvAlA vAkasmikI tanO VMu-_1.71d
   ṇa vigatarāgapadāt VMv_3.53b	Na vigata-rAga-padAt VMu-_3.53b
   tac ca vāyūdayāj jñeyaṃ VMv_2.1c	tat ca vAyu-udayAt jQeyam VMu-_2.1c
   tacchāyā cañcalā yadi VMv_1.118b	tad-CAyA caQcalA yadi VMu-_1.118b
   taj japakrama ucyate VMv_4.61d	tat japa-kramaH ucyate VMu-_4.61d
   taj jñātvā mṛtyuvañcakaiḥ VMv_3.33d	tat jQAtvA mRtyu-vaQcakEH VMu-_3.33d
   tata iha jagadarthaṃ cābhavac chākyaketuḥ VMv_1.1c	tatas iha jagat-arTam ca-aBavat SAkyaketuH VMu-_1.1c
   tataḥ prāpsyati śūnyatām VMv_4.77d	tatas prApsyati SUnyatAm VMu-_4.77d
   tataḥ sūkṣmātisūkṣmāntya- VMv_4.26c	tatas sUkzma-ati-sUkzma-antya VMu-_4.26c
   tataḥ sūrye dinatrayam VMv_2.8d	tatas sUrye dina-trayam VMu-_2.8d
   tataḥ sūrye dinatrayam VMv_2.9b	tatas sUrye dina-trayam VMu-_2.9b
   tataḥ sthiravapur bhūtvā VMv_3.68c	tatas sTira-vapuH BUtvA VMu-_3.68c
   tato mṛtyuṃ jayet sadyaḥ VMv_4.49a	tatas mRtyum jayet sadyas VMu-_4.49a
   tato ro lig iti sphuṭam VMv_3.40b	tatas raH lic iti sPuwam VMu-_3.40b
   tato 'samasamapadam VMv_3.52b	tatas asama-sama-padam VMu-_3.52b
   tatkāryakaraṇād bhavet VMv_4.49d	tad-kArya-karaNAt Bavet VMu-_4.49d
   tat tat tu sphuṭatāṃ yāti VMv_4.83c	tat tat tu sPuwa-tAm yAti VMu-_4.83c
   tattvam eva sadācaret VMv_4.73b	tattvam eva sat-Acaret VMu-_4.73b
   tattvaṃ ca śūnyatā proktā VMv_4.75a	tattvam ca SUnyatA proktAH VMu-_4.75a
   tattvena jīyate puṃsāṃ VMv_4.74c	tattvena jIyate puMsAm VMu-_4.74c
   tattvena jīyate mṛtyus VMv_4.73c	tattvena jIyate mRtyuH VMu-_4.73c
   tatra mṛtyor nirūpaṇam VMv_2.31d	tatra mRtyoH nirUpaNam VMu-_2.31d
   tatra velākṣaṇe pūrṇe VMv_2.33c	tatra vela-akzaNe pUrNe VMu-_2.33c
   tatrasthaś ca vibudhyeta VMv_1.125c	tatrasTaH ca vibuDyeta VMu-_1.125c
   tatrādau dhyānasahitaṃ VMv_4.9a	tatra-AdO DyAna-sahitam VMu-_4.9a
   tatrāpi dṛśyate chāyā VMv_1.94a	tatra-api dRSyate CAyA VMu-_1.94a
   tatrārkaḥ samasaptagaḥ VMv_2.30d	tatra-arkaH sama-saptagaH VMu-_2.30d
   tathāgatānāṃ sarveṣāṃ VMv_3.55c	taTAgatAnAm sarvezAm VMu-_3.55c
   tathāgatānāṃ syāt tataḥ VMv_3.51b	taTAgatAnAm syAt tatas VMu-_3.51b
   tathā jīrṇasya dehasya VMv_4.91c	taTA jIrNasya dehasya VMu-_4.91c
   tathānye māraśatravaḥ VMv_4.73d	taTA-anye mAra-SatravaH VMu-_4.73d
   tathā pañcadaśāhakam VMv_2.36b	taTA paQcadaSa-ahakam VMu-_2.36b
   tathā sañcakatāḍanāt VMv_3.22b	taTA saQcaka-tAxanAt VMu-_3.22b
   tathaiva ced vahed vāyur VMv_2.37a	taTA-eva ced vahet vAyuH VMu-_2.37a
   tathaiveti nirūpayet VMv_1.14d	taTA-eva-iti nirUpayet VMu-_1.14d
   tathaivaikāgramānasaḥ VMv_4.25d	taTA-eva-ekAgra-mAnasaH VMu-_4.25d
   tathopadeśāt kalpādi- VMv_4.88c	taTA-upadeSAt kalpa-Adi VMu-_4.88c
   tad ahar jīvitaṃ tasya VMv_2.20c	tat ahar jIvitam tasya VMu-_2.20c
   tadā bhavati susthiraḥ VMv_4.68d	tadA Bavati su-sTiraH VMu-_4.68d
   tadā māsatrayād ūrdhvaṃ VMv_1.37c	tadA mAsa-trayAt UrDvam VMu-_1.37c
   tadā māsād bhaven mṛtyuḥ VMv_1.42c	tadA mAsAt Bavet mRtyuH VMu-_1.42c
   tadā mṛtyur dvirātrataḥ VMv_1.58d	tadA mRtyuH dvi-rAtrataH VMu-_1.58d
   tad ārabhya dinaṃ mṛtyur VMv_2.5c	tat AraBya dinam mRtyuH VMu-_2.5c
   tadgataikāgramānasaḥ VMv_1.22b	tad-gata-ekAgra-mAnasaH VMu-_1.22b
   tad dīrghaṃ mṛtyuvañcanam VMv_3.63d	tat dIrGam mRtyu-vaQcanam VMu-_3.63d
   tadvat tasyāpi jīvitam VMv_1.124d	tadvat tasya-api jIvitam VMu-_1.124d
   tadvidhānapuraḥsarāt VMv_3.28b	tad-viDAna-puraHsarAt VMu-_3.28b
   tadvṛddher mṛtyuvañcanam VMv_3.32d	tad-vRdDeH mRtyu-vaQcanam VMu-_3.32d
   tadvṛddheś cirajīvitam VMv_4.87d	tad-vRdDeH cira-jIvitam VMu-_4.87d
   tam eva kālam ārabhya VMv_1.32c	tam eva kAlam AraBya VMu-_1.32c
   tamo vā praviśet svapne VMv_1.129a	tamaH vA praviSet svapne VMu-_1.129a
   tasmād anikṣiptadhurā yatadhvam VMv_4.92b	tasmAt anikzipta-DurA yataDvam VMu-_4.92b
   tasmād ahnor dvayaṃ ca tridinam atha catur-vāsarān vyāpya yāvat VMv_2.52b	tasmAt ahnoH dvayam ca tri-dinam aTa catur-vAsarAn vyApya yAvat VMu-_2.52b
   tasmād ekottareṇa triguṇitadaśakaṃ tryuttaraṃ yāvad eva VMv_2.53b	tasmAt eka-uttareNa tri-guNita-daSakam tri-uttaram yAvat eva VMu-_2.53b
   tasmād yaḥ saptamo 'paraḥ VMv_2.30b	tasmAt yaH saptamaH aparaH VMu-_2.30b
   tasminn eva dine mṛtyur VMv_1.59c	tasmin eva dine mRtyuH VMu-_1.59c
   tasminn eva dine mṛtyur VMv_2.40c	tasmin eva dine mRtyuH VMu-_2.40c
   tasmin vijñeyam etad bhuvanaravidiśo maṅgalaṃ ṣaṭ catuṣkam VMv_2.52d	tasmin vijQeyam etat BuvanaravidiSaH maFgalam zaw catuzkam VMu-_2.52d
   tasya kalpasahasrāṇi VMv_4.69c	tasya kalpa-sahasrANi VMu-_4.69c
   tasya nāśaṃ vijānīyād VMv_2.16c	tasya nASam vijAnIyAt VMu-_2.16c
   tasya rogādi jāyate VMv_2.19d	tasya roga-Adi jAyate VMu-_2.19d
   tasya ṣaḍmāsamadhyataḥ VMv_1.115d	tasya zaz-mAsa-maDyatas VMu-_1.115d
   tasya suruṣṭo 'py avihatatejāḥ VMv_3.73c	tasya suruzwaH api avihata-tejAH VMu-_3.73c
   tasyām eva tithau nūnaṃ VMv_1.97c	tasyAm eva tiTO nUnam VMu-_1.97c
   tasyām eva hi velāyāṃ VMv_1.39c	tasyAm eva hi velAyAm VMu-_1.39c
   tasyāś cakraṃ sitadyuti VMv_4.30d	tasyAH cakram sita-dyuti VMu-_4.30d
   taṃ mṛtyuñjayasaṃjñinam VMv_3.60b	tam mRtyuQjaya-saMjQinam VMu-_3.60b
   tām evābhyasyato nityaṃ VMv_3.11c	tAm eva-aByasyataH nityam VMu-_3.11c
   tām evābhyasyato nityaṃ VMv_4.75c	tAm eva-aByasyataH nityam VMu-_4.75c
   tārābhyudayatantroktaṃ VMv_3.43a	tAra-aByudaya-tantra-uktam VMu-_3.43a
   tārāṃ merupramāṇāṃ ca VMv_1.74c	tArAm meru-pramANAm ca VMu-_1.74c
   tālukānāṃ trayaṃ muhuḥ VMv_1.46b	tAlukAnAm trayam muhur VMu-_1.46b
   tāvat puṇyādisaṃbhāraṃ VMv_1.6c	tAvat puNya-Adi-saMBAram VMu-_1.6c
   tāvad dhyānam idaṃ smaret VMv_4.26b	tAvat DyAnam idam smaret VMu-_4.26b
   tāvad yā kumbhakakriyā VMv_4.66b	tAvat yA kumBaka-kriyA VMu-_4.66b
   timirādiprabhāvataḥ VMv_1.12b	timira-Adi-praBAvataH VMu-_1.12b
   tiṣṭhatiṣṭhapadaṃ tataḥ VMv_4.16b	tizWa-tizWa-padam tatas VMu-_4.16b
   tiṣṭhatiṣṭhapadaṃ tasmād VMv_4.12c	tizWa-tizWa-padam tasmAt VMu-_4.12c
   tuttāre dvis ture dviś ca VMv_3.42c	tuttAre dvis ture dvis ca VMu-_3.42c
   tuttāre syāt ture paścāt VMv_4.33c	tuttAre syAt ture paScAt VMu-_4.33c
   tulyakālaṃ patanti cet VMv_1.78b	tulya-kAlam patanti ced VMu-_1.78b
   tulyakālaṃ yadā bhavet VMv_1.45b	tulya-kAlam yadA Bavet VMu-_1.45b
   tulyakālaṃ yadā vidhyet VMv_1.46a	tulya-kAlam yadA viDyet VMu-_1.46a
   tulyakālaṃ yadā vedhaś VMv_1.42a	tulya-kAlam yadA veDaH VMu-_1.42a
   tulyaṃ māsāt sa mṛtyubhāk VMv_1.44d	tulyam mAsAt sa mRtyu-BAj VMu-_1.44d
   tulyaṃ syād yadi hañchikā VMv_1.39b	tulyam syAt yadi haQCikA VMu-_1.39b
   tena jano 'stu sa mṛtyuvimuktaḥ VMv_4.101d	tena janaH astu sa mRtyu-vimuktaH VMu-_4.101d
   tena mṛtyur na bādhate VMv_4.52d	tena mRtyuH na bADate VMu-_4.52d
   tena svasthaśarīreṇa VMv_1.11c	tena svasTa-SarIreNa VMu-_1.11c
   tenaiva syāt pratikriyā VMv_1.116d	tena-eva syAt pratikriyA VMu-_1.116d
   teṣām adṛṣṭau ṣaḍmāsān VMv_1.92c	tezAm adRzwO zaz-mAsAn VMu-_1.92c
   teṣāṃ jñānaṃ ca mokṣaś ca VMv_3.10c	tezAm jQAnam ca mokzaH ca VMu-_3.10c
   teṣāṃ śodhanam ucyate VMv_2.41d	tezAm SoDanam ucyate VMu-_2.41d
   tair āyuḥ sādhitaṃ dīrghaṃ VMv_3.63c	tEH AyuH sADitam dIrGam VMu-_3.63c
   tailavartikṣayādibhiḥ VMv_4.89b	tEla-varti-kzaya-AdiBiH VMu-_4.89b
   tailābhyaktam atibhītaṃ VMv_1.135c	tEla-aByaktam ati-BItam VMu-_1.135c
   taiḥ syād vṛddhir āyuṣaḥ VMv_3.64b	tEH syAt vRdDiH AyuzaH VMu-_3.64b
   taiḥ syān mṛtyuvañcanam VMv_3.64d	tEH syAt mRtyu-vaQcanam VMu-_3.64d
   trayastriṃśaddinaṃ yāvat VMv_2.40a	trayastriMSat-dinam yAvat VMu-_2.40a
   trayastriṃśaddineṣv evaṃ VMv_2.51a	trayastriMSat-dinezu evam VMu-_2.51a
   trayodaśāhaṃ dvivarṣād VMv_2.45c	trayodaSa-aham dvi-varzAt VMu-_2.45c
   trayoviṃśatyaharvāhe VMv_2.50a	trayoviMSati-aharvAhe VMu-_2.50a
   trāyamāṇo bhaven nūnaṃ VMv_3.15c	trAyamANaH Bavet nUnam VMu-_3.15c
   triguṇo jyeṣṭha udghāto VMv_4.67a	triguNaH jyezWaH udGAtaH VMu-_4.67a
   tripuṭaṃ cakram ālikhya VMv_2.54a	tri-puwam cakram AliKyaH VMu-_2.54a
   triphalāmārkavānvitam VMv_3.78b	triPalA-mArkava-anvitam VMu-_3.78b
   tribhir dinais tadā nūnam VMv_1.38c	triBiH dinEH tadA nUnam VMu-_1.38c
   tribhir dinais tadā mṛtyur VMv_1.46c	triBiH dinEH tadA mRtyuH VMu-_1.46c
   tribhir māsais tadā mṛtyur VMv_1.48c	triBiH mAsEH tadA mRtyuH VMu-_1.48c
   tribhiḥ pakṣaiḥ suniścitāt VMv_2.11b	triBiH pakzEH su-niScitAt VMu-_2.11b
   trimārgago bhaved vāyuḥ VMv_2.14a	tri-mArga-gaH Bavet vAyuH VMu-_2.14a
   trimāsān mṛtyur āpyate VMv_1.134d	tri-mAsAt mRtyuH Apyate VMu-_1.134d
   triratnaśaraṇāt tathā VMv_3.14b	tri-ratna-SaraNAt taTA VMu-_3.14b
   trirātramṛtyur durgandho VMv_1.87c	tri-rAtra-mRtyuH durganDaH VMu-_1.87c
   trivarṇo yāti vegataḥ VMv_1.82b	tri-varNaH yAti vegataH VMu-_1.82b
   trividhodghātayogena VMv_4.62a	triviDa-udGAta-yogena VMu-_4.62a
   trisaṃdhyabalidānādi- VMv_4.4c	trisaMDyabali-dAna-Adi VMu-_4.4c
   triṃśat tu caikatriṃśac ca VMv_2.39a	triMSat tu ca-ekatriMSat ca VMu-_2.39a
   trailokyavijayākhyo 'yaṃ VMv_3.40c	trElokya-vijaya-AKyaH ayam VMu-_3.40c
   dakṣiṇādarśanāt pitṛ- VMv_1.95c	dakziNA-darSanAt pitR VMu-_1.95c
   dakṣiṇāśāgatāṃ chāyām VMv_1.119a	dakziNa-ASa-AgatAm CAyAm VMu-_1.119a
   daṇḍaṃ vā caityayūpaṃ vā VMv_1.126a	daNxam vA cEtya-yUpam vA VMu-_1.126a
   dattvā svāhāpadaṃ cānte VMv_3.55a	dattvA svAhA-padam ca-ante VMu-_3.55a
   dadyād aśraddhayā yadi VMv_3.6b	dadyAt aSradDayA yadi VMu-_3.6b
   dadhimadhvaktipūrvakam VMv_3.43d	daDi-maDu-akti-pUrvakam VMu-_3.43d
   dantān niṣkāśya te mṛtāḥ VMv_4.95d	dantAn nizkASya te mRtAH VMu-_4.95d
   dantā yasya pṛthakpṛthak VMv_1.70b	dantAH yasya pRTak-pRTak VMu-_1.70b
   dantair dantān asaṃspṛśan VMv_4.47b	dantEH dantAn asaMspRSan VMu-_4.47b
   darpaṇe salile vāpi VMv_1.63c	darpaNe salile vA-api VMu-_1.63c
   darśanād vandanān nityam VMv_3.18c	darSanAt vandanAt nityam VMu-_3.18c
   daśa pañcadaśāthavā VMv_1.99d	daSa paQcadaSa-aTavA VMu-_1.99d
   daśalakṣaṃ tato homaṃ VMv_3.60c	daSa-lakzam tatas homam VMu-_3.60c
   daśākuśalasaṃtyāgāt VMv_3.14a	daSa-akuSala-saMtyAgAt VMu-_3.14a
   daśāhād yamadarśanam VMv_1.80d	daSa-ahAt yama-darSanam VMu-_1.80d
   daśāhān maraṇaṃ dhruvam VMv_1.83d	daSa-ahAt maraNam Druvam VMu-_1.83d
   daśāhān mṛtyusaṃgamaḥ VMv_1.110d	daSa-ahAt mRtyu-saMgamaH VMu-_1.110d
   dahadvayaṃ garjadvayaṃ VMv_4.13a	daha-dvayam garja-dvayam VMu-_4.13a
   dānaśīlādyabhedinī VMv_4.76b	dAna-SIla-Adi-aBedinI VMu-_4.76b
   dāruṇavyādhisaṃbhavaḥ VMv_2.12d	dAruNa-vyADi-saMBavaH VMu-_2.12d
