   Abhisamayālaṅkāra (Asa)	ABisamaya alaFkAraH (Asa)
   paryāyeṇānanujñānaṃ mahattā sāpramāṇatā // Asa_2.12 //	paryAyeNa ananujQAnam mahat tA sa apramANa tA // Asa_2.12 //
   parimāṇāntatābhāvo rūpāderavadhāraṇam /	parimANa anta tA BAvaH rUpa AdeH avaDAraNam /
   tasyāṃ sthitasya buddhatve 'nudgrahātyāgatādayaḥ // Asa_2.13 //	tasyAm sTitasya budDa tve anudgraha atyAgata AdayaH // Asa_2.13 //
   maitryādi śūnyatā prāptirbuddhatvasya parigrahaḥ /	mEtrI Adi SUnyatA prAptiH budDa tvasya parigrahaH /
   sarvasya vyavadānasya sarvādhivyādhiśātanam // Asa_2.14 //	sarvasya vyavadAnasya sarva aDivyADi SAtanam // Asa_2.14 //
   nirvāṇagrāhaśāntatvaṃ buddhebhyo rakṣaṇādikam /	nirvANa grAha SAnta tvam budDeByaH rakzaNa Adikam /
   aprāṇivadhamārabhya sarvākārajñatānaye // Asa_2.15 //	aprANi vaDam AraBya sarva AkAra jQa tA naye // Asa_2.15 //
   svayaṃ sthitasya sattvānāṃ sthāpanaṃ pariṇāmanam /	svayam sTitasya sattvAnAm sTApanam pariNAmanam /
   dānādīnāṃ ca sambodhāviti mārgajñatākṣaṇāḥ // Asa_2.16 //	dAna AdInAm ca samboDO= iti mArga jQa ta akzaNAH // Asa_2.16 //
   5   bhāvanāmārgakāritram	5  BAvanA mArga kAritram
   sarvato damanaṃ nāma sarvataḥ kleśanirjayaḥ /	sarvatas damanam nAma sarvatas kleSa nirjayaH /
   upakramāviṣahyatvaṃ bodhirādhārapūjyatā // Asa_2.17 //	upakrama avizahya tvam boDirADAra pUjya tA // Asa_2.17 //
   sāsravo bhāvanāmārgaḥ	sa AsravaH BAvanA mArgaH
   6   bhāvanāmārgādhimuktiḥ	6  BAvanA mArga aDimuktiH
   adhimuktistridhā jñeyā svārthā ca svaparārthikā /	aDimuktiH triDA jQeyA svArTA ca sva parArTikAH /
   parārthikaivetyeṣā ca pratyekaṃ trividheṣyate // Asa_2.18 //	parArTikA eva iti ezA ca pratyekam triviDA izyate // Asa_2.18 //
   mṛdvī madhyādhimātrā ca mṛdumṛdvādibhedataḥ /	mRdvI maDya aDimAtrA ca mRdu mRdu Adi BedataH /
   sā punastribidhetyevaṃ saptaviṃśatidhā matā // Asa_2.19 //	sA punar tribiDa iti evam saptaviMSatiDA matA // Asa_2.19 //
   7   bhāvanāmārgādhimuktasya stutiḥ stobhaḥ praśaṃsā ca	7  BAvanA mArga aDimuktasya stutiH stoBaH praSaMsA ca
   stutiḥ stobhaḥ praśaṃsā ca prajñāpāramitāṃ prati /	stutiH stoBaH praSaMsA ca prajQApAramitAm prati /
   adhimokṣasya mātrāṇāṃ navakaistribhiriṣyate // Asa_2.20 //	aDimokzasya mAtrANAm navakEH triBiH izyate // Asa_2.20 //
   8   pariṇāmanā	8  pariNAmanA
   viśeṣaḥ pariṇāmastu tasya kāritramuttamam /	viSezaH pariNAmaH tu tasya kAritram uttamam /
   nopalambhākṛtiścāsāvaviparyāsalakṣaṇaḥ // Asa_2.21 //	na upalamBa AkRtiH ca asO= aviparyAsa lakzaNaH // Asa_2.21 //
   vivikto buddhapuṇyaughasvabhāvasmṛtigocaraḥ /	viviktaH budDa puNya oGa svaBAva smRti gocaraH /
   sopāyaścānimittaśca buddhairabhyanumoditaḥ // Asa_2.22 //	sa upAyaH ca animittaH ca budDEH aByanumoditaH // Asa_2.22 //
   traidhātukāprapannaśca pariṇāmo 'parastridhā /	trEDAtukA prapannaH ca pariNAmaH aparaH triDA /
   mṛdurmadhyo 'dhimātraśca mahāpuṇyodayātmakaḥ // Asa_2.23 //	mRduH maDyaH aDimAtraH ca mahA puNya udaya AtmakaH // Asa_2.23 //
   9   anumodanā	9  anumodanA
   upāyānupalambhābhyāṃ śubhamūlānumodanā /	upAya anupalamBAByAm SuBa mUla anumodanA /
   anumode manaskārabhāvaneha vidhīyate // Asa_2.24 //	anumode manaskAra BAvanA iha viDIyate // Asa_2.24 //
   anāsravo bhāvanāmārgaḥ	anAsravaH BAvanA mArgaH
   10   abhinirhāraḥ	10  aBinirhAraH
   svabhāvaḥ śreṣṭhatā tasya sarvasyānabhisaṃskṛtiḥ /	svaBAvaH SrezWa tA tasya sarvasya anaBisaMskRtiH /
   nopalambhena dharmāṇāmarpaṇā ca mahārthatā // Asa_2.25 //	na upalamBena DarmANAm arpaNA ca mahArTa tA // Asa_2.25 //
   11   atyantaviśuddhiḥ	11  atyanta viSudDiH
   buddhasevā ca dānādirupāye yacca kauśalam /	budDa sevA ca dAna AdiH upAye yat ca kOSalam /
   hetavo 'trādhimokṣasya dharmavyasanahetavaḥ // Asa_2.26 //	hetavaH atra aDimokzasya Darma vyasana hetavaH // Asa_2.26 //
   mārādhiṣṭhānagambhīradharmatānadhimuktate /	mAra aDizWAna gamBIra Darma tAn aDimuktate /
   skandhādyabhiniveśaśca pāpamitraparigrahaḥ // Asa_2.27 //	skanDa Adi aBiniveSaH ca pApa mitra parigrahaH // Asa_2.27 //
   phalaśuddhiśca rūpādiśuddhireva tayordvayoḥ /	Pala SudDiH ca rUpa Adi SudDiH eva tayoH dvayoH /
   abhinnācchinnatā yasmāditi śuddhirudīritā // Asa_2.28 //	aBinnAt Cinna tA yasmAt iti SudDiH udIritA // Asa_2.28 //
   kleśajñeyatrimārgasya śiṣyakhaḍgajinaurasām /	kleSa jQeyatri mArgasya Sizya Kaxga jinA OrasAm /
   hānād viśuddhirātyantikī tu buddhasya sarvathā // Asa_2.29 //	hAnAt viSudDiH AtyantikI tu budDasya sarvaTA // Asa_2.29 //
   mṛdumṛdvādiko mārgaḥ śuddhirnavasu bhūmiṣu /	mRdu mRdvAdikaH mArgaH SudDiH navasu BUmizu /
   adhimātrādhimātrādermalasya pratipakṣataḥ // Asa_2.30 //	aDimAtra aDimAtra AdeH malasya pratipakzataH // Asa_2.30 //
   tridhātupratipakṣatvaṃ samatā mānameyayoḥ /	tri DAtu pratipakza tvam sama tA mAna meyayoH /
   mārgasya ceṣyate tasya codyasya parihārataḥ // Asa_2.31 //	mArgasya ca izyate tasya ca udyasya parihArataH // Asa_2.31 //
   ityabhisamayālaṅkāre nāma	iti aBisamaya alaFkAre nAma
   prajñāpāramitopadeśaśāstre dvitīyādhikāraḥ /	prajQApAramitA upadeSa SAstre dvitIya aDikAraH /
   3 Sarvajñatādhikāraḥ tṛtīyaḥ	3 SarvajQa tA aDikAraH tRtIyaH
   1   prajñayā na bhave sthānam	1  prajQayA na Bave sTAnam
   2   kṛpayā na śame sthitiḥ	2  kRpayA na Same sTitiH
   nāpare na pare tīre nāntarāle tayoḥ sthitā /	na apare na pare tIre na antarAle tayoH sTitAH /
   adhvanāṃ samatājñānāt prajñāpāramitā matā // Asa_3.1 //	aDvanAm samatA jQAnAt prajQApAramitA matA // Asa_3.1 //
   3   anupāyena dūratvam	3  anupAyena dUra tvam
   4   upāyenāvidūratā	4  upAyena avidUra tA
   anupāyena dūraṃ sā sanimittopalambhataḥ /	anupAyena dUram sA sa nimitta upalamBataH /
   upāyakauśalenāsyāḥ samyagāsannatoditā // Asa_3.2 //	upAya kOSalena asyAH samyak Asanna toditA // Asa_3.2 //
   5   vipakṣaḥ	5  vipakzaH
   rupādiskandhaśūnyatve dharmeṣu tryadhvageṣu ca /	rupAdi skanDa SUnya tve Darmezu tri aDva gezu ca /
   dānādau bodhipakṣeṣu caryāsaṃjñā vipakṣatā // Asa_3.3 //	dAna AdO boDi pakzezu caryA saMjQA vipakzatA // Asa_3.3 //
   6   pratipakṣaḥ	6  pratipakzaH
   dānādiṣvanahaṃkāraḥ pareṣāṃ tanniyojanam /	dAna Adizu anahaMkAraH parezAm tad niyojanam /
   saṅgakoṭiniṣedho 'yaṃ sūkṣmaḥ saṅgo jinādiṣu // Asa_3.4 //	saFga kowi nizeDaH ayam sUkzmaH saFgaH jina Adizu // Asa_3.4 //
   tadgāmbhīrya prakṛtyaiva vivekād dharmapaddhateḥ /	tat gAmBIrya prakRtyA eva vivekAt Darma padDateH /
   ekaprakṛtikaṃ jñānaṃ dharmāṇāṃ saṅgavarjanam // Asa_3.5 //	eka prakRtikam jQAnam DarmANAm saFga varjanam // Asa_3.5 //
   dṛṣṭādipratiṣedhena tasyā durbodhatoditā /	dRzwa Adi pratizeDena tasyAH durboDa toditA /
   rūpādibhiravijñānāt tadacintyatvamiṣyate // Asa_3.6 //	rUpa AdiBiH avijQAnAt tat acintya tvam izyate // Asa_3.6 //
   evaṃ kṛtvā yathokto vai jñeyaḥ sarvajñatānaye /	evam kRtvA yaTA uktaH vE jQeyaH sarvajQa tA naye /
   ayaṃ vibhāgo niḥśeṣo vipakṣapratipakṣayoḥ // Asa_3.7 //	ayam viBAgaH niHSezaH vipakza pratipakzayoH // Asa_3.7 //
   7   prayogaḥ	7  prayogaH
   rupādau tadanityādau tadapūriprapūrayoḥ /	rupAdO tadanitya AdO tad apUri prapUrayoH /
   tadasaṅgatve caryāyāḥ prayogaḥ pratiṣedhataḥ // Asa_3.8 //	tad asaFga tve caryAyAH prayogaH pratizeDataH // Asa_3.8 //
   avikāro na karttā ca prayogo duṣkarastridhā /	avikAraH na karttA ca prayogaH duzkaraH triDA /
   yathābhavya phalaprāpteravandhyo 'bhimataśca saḥ // Asa_3.9 //	yaTA aBavya Pala prApteH avanDyaH aBimataH ca saH // Asa_3.9 //
   aparapratyayo yaśca saptadhā khyātivedakaḥ /	apara pratyayaH yaH ca saptaDA KyAti vedakaH /
   8   samatā	8  sama tA
   caturdhāmananā tasya rūpādau samatā matā // Asa_3.10 //	catur DAmananA tasya rUpa AdO sama tA matA // Asa_3.10 //
   9   darśanamārgaḥ	9  darSana mArgaH
   dharmajñānānvayajñānakṣāntijñānakṣaṇātmakaḥ /	Darma jQAna anvaya jQAna kzAnti jQA na kzaNa AtmakaH /
   duḥkhādisatye dṛṅmārga eṣa sarvajñatānaya // Asa_3.11 //	duHKa Adi satye dRS mArgaH eza sarvajQa tA Anaya // Asa_3.11 //
   rūpaṃ na nityaṃ nānityamatītāntaṃ viśuddhakam /	rUpam na nityam na anityam atIta antam viSudDakam /
   anutpannāniruddhādi vyomābhaṃ lepavarjitam // Asa_3.12 //	anutpanna anirudDa Adi vyoma ABam lepa varjitam // Asa_3.12 //
   parigraheṇa nirmuktamavyāhāraṃ svabhāvataḥ /	parigraheNa nirmuktam avyAhAram svaBAvataH /
   pravyāhāreṇa nāsyārthaḥ pareṣu prāpyate yataḥ // Asa_3.13 //	pravyAhAreNa na asya arTaH parezu prApyate yatas // Asa_3.13 //
   nopalambhakṛdatyantaviśuddhirvyādhyasambhavaḥ /	na upalamBa kRt atyanta viSudDiH vyADi a samBavaH /
   apāyocchittyakalpatve phalasākṣātkriyāṃ prati // Asa_3.14 //	apAya ucCitti akalpa tve Pala sAkzAtkriyAm prati // Asa_3.14 //
   asaṃsargo nimittaiśca vastuni vyañjane dvaye /	asaMsargaH nimittEH ca vastuni vyaQjane dvaye /
   jñānasya yā cānutpattiriti sarvajñatākṣaṇāḥ // Asa_3.15 //	jQAnasya yA ca anutpattiH iti sarvajQa tA akzaNAH // Asa_3.15 //
   iti seyaṃ punaḥ seyaṃ seyaṃ khalu punastridhā /	iti sA iyam punar sA iyam sA iyam Kalu punar triDA /
   adhikāratrayasyaiṣā samāptiḥ paridīpitā // Asa_3.16 //	aDikAra trayasya ezA samAptiH paridIpitA // Asa_3.16 //
   ityabhisamayālaṅkāre nāma prajñāpāramitopadeśaśāstre tṛtīyādhikāraḥ /	iti aBisamaya alaFkAre nAma prajQApAramitA upadeSa SAstre tRtIya aDikAraH /
   4 Sarvākārābhisambodhādhikāraḥ caturthaḥ	4 Sarva AkAra aBisamboDa aDikAraH caturTaH
   1   ākārāḥ	1  AkArAH
   vastujñānaprakārāṇāmākārā iti lakṣaṇam /	vastu jQAna prakArANAm AkArAH iti lakzaNam /
   sarvajñatānāṃ traividhyāt trividhā eva te matāḥ // Asa_4.1 //	sarvajQa tAnAm trEviDyAt triviDAH eva te matAH // Asa_4.1 //
   asadākāramārabhya yāvanniścalatākṛtiḥ /	asat AkAram AraBya yAvat niScala tA AkRtiH /
   catvāraḥ pratisatyaṃ te mārge pañcadaśa smṛtāḥ // Asa_4.2 //	catvAraH pratisatyam te mArge paQcadaSa smRtAH // Asa_4.2 //
   hetau mārge ca duḥkhe ca nirodhe ca yathākramam /	hetO mArge ca duHKe ca niroDe ca yaTAkramam /
   aṣṭau te sapta pañceti ṣoḍaśeti ca kīrtitāḥ // Asa_4.3 //	azwO te sapta paQca iti zoxaSa iti ca kIrtitAH // Asa_4.3 //
   smṛtyupasthānamārabhya buddhatvākārapaścimāḥ /	smRti upasTAnam AraBya budDa tva AkAra paScimAH /
   śiṣyāṇāṃ bodhisattvānāṃ buddhānāṃ ca yathākramam // Asa_4.4 //	SizyANAm boDisattvAnAm budDAnAm ca yaTAkramam // Asa_4.4 //
   saptatriṃśaccatustriṃśattriṃśannava ca te matāḥ /	saptatriMSat catustriMSat triMSat nava ca te matAH /
   trisarvajñatvabhedena mārgasatyānurodhataḥ // Asa_4.5 //	tri sarvajQa tva Bedena mArga satya anuroDataH // Asa_4.5 //
   kṛtādhikārā buddheṣu teṣūptaśubhamūlakāḥ /	kRta aDikArAH budDezu tezu upta SuBa mUlakAH /
   mitraiḥ sanāthāḥ kalyāṇairasyāḥ śravaṇabhājanam // Asa_4.6 //	mitrEH sa nATAH kalyANEH asyAH SravaNa BAjanam // Asa_4.6 //
   buddhopāsanasampraśnadānaśīlādicaryayā /	budDa upAsana sampraSna dAna SIla Adi caryayA /
   udgrahadhāraṇādīnāṃ bhājanatvaṃ satāṃ matam // Asa_4.7 //	udgraha DAraNa AdInAm BAjana tvam satAm matam // Asa_4.7 //
   2   prayogāḥ	2  prayogAH
   rūpādiṣvanavasthānāt teṣu yoganiṣedhataḥ /	rUpa Adizu anavasTAnAt tezu yoga nizeDataH /
   tattathatāgambhīratvāt teṣāṃ duravagāhataḥ // Asa_4.8 //	tat taTatA gamBIra tvAt tezAm duravaga AhataH // Asa_4.8 //
   tadaprāmāṇyataḥ kṛcchrāccireṇa pratibodhataḥ /	tat aprAmANyataH kRcCrAt cireNa pratiboDataH /
   vyākṛtāvavivartyatve niryāṇe sanirantare // Asa_4.9 //	vyAkRtO= avivartya tve niryANe sa nirantare // Asa_4.9 //
   āsannabodhe kṣipraṃ ca parārthe 'vṛddhayahānitaḥ /	Asanna boDe kzipram ca para arTe avRdDayahAn itaH /
   dharmādharmādyadṛṣṭau ca rūpācintyādyadarśane // Asa_4.10 //	Darma aDarma Adi adRzwO ca rUpa acintya Adi adarSane // Asa_4.10 //
   rūpādestannimittasya tadbhāvasyāvikalpakaḥ /	rUpa AdeH tad nimittasya tad BAvasya avikalpakaH /
   phalaratnapradātā ca śuddhakaḥ sāvadhiśca saḥ // Asa_4.11 //	Pala ratna pradAtA ca SudDakaH sa avaDiH ca saH // Asa_4.11 //
   3   guṇāḥ	3  guNAH
   mārāṇāṃ śaktihānyādiścaturdaśavidho guṇaḥ /	mArANAm SaktihAni AdiH caturdaSaviDaH guNaH /
   4   doṣāḥ	4  dozAH
   doṣāśca ṣaḍ viboddhavyāścaturbhirdaśakaiḥ saha // Asa_4.12 //	dozAH ca zaw vibodDavyAH caturBiH daSakEH saha // Asa_4.12 //
   5   lakṣaṇāni	5  lakzaNAni
   lakṣyate yena tajjñeyaṃ lakṣaṇaṃ trividhaṃ ca tat /	lakzyate yena tat jQeyam lakzaNam triviDam ca tat /
   jñānaṃ viśeṣaḥ kāritraṃ svabhāvo yaśca lakṣyate // Asa_4.13 //	jQAnam viSezaH kAritram svaBAvaH yaH ca lakzyate // Asa_4.13 //
   tathāgatasya nirvṛttau loke cālujyanātmake /	taTAgatasya nirvRttO loke ca Alu jyana Atmake /
   sattvānāṃ cittacaryāsu tatsaṃkṣepe bahirgatau // Asa_4.14 //	sattvAnAm citta caryAsu tad saMkzepe bahis gatO // Asa_4.14 //
   akṣayākāratāyāṃ ca sarāgādau pravistṛte /	akzaya AkAra tAyAm ca sa rAga AdO pravistRte /
   mahadgate 'pramāṇe ca vijñāne cānidarśane // Asa_4.15 //	mahat gate apramANe ca vijQAne ca anidarSane // Asa_4.15 //
   adṛśyacittajñāne ca tadunmiñjādisaṃjñakam /	adRSya citta jQAne ca tat unmiQja Adi saMjQakam /
   punastathatākāreṇa teṣāṃ jñānamataḥ param // Asa_4.16 //	punar taTatA AkAreNa tezAm jQAnam atas param // Asa_4.16 //
   tathatāyāṃ munerbodhatatparākhyānamityayam /	taTatAyAm muneH boDa tatpara AKyAnam iti ayam /
   sarvajñatādhikāreṇa jñānalakṣaṇasaṃgrahaḥ // Asa_4.17 //	sarvajQa tA aDikAreNa jQAna lakzaNa saMgrahaH // Asa_4.17 //
   śūnyatve sānimitte ca praṇīdhānavivarjite /	SUnya tve sa animitte ca praNIDAna vivarjite /
   anutpādānirodhādau dharmatāyā akopane // Asa_4.18 //	anutpAda aniroDa AdO DarmatAyAH akopane // Asa_4.18 //
   asaṃskāre 'vikalpe ca prabhedālakṣaṇatvayoḥ /	asaMskAre avikalpe ca praBeda alakzaNa tvayoH /
   mārgajñatādhikāreṇa jñānalakṣaṇamiṣyate // Asa_4.19 //	mArga jQa tA aDikAreNa jQAna lakzaNam izyate // Asa_4.19 //
   svadharmamupaniśritya vihāre tasya satkṛtau /	svaDarmam upaniSritya vihAre tasya satkRtO /
   gurutve mānanāyāṃ ca tatpūjākṛtakatvayoḥ // Asa_4.20 //	guru tve mAnanAyAm ca tad pUjA kRtaka tvayoH // Asa_4.20 //
   sarvatra vṛttimajjñānamadṛṣṭasya ca darśakam /	sarvatra vRttimat jQAnam adRzwasya ca darSakam /
   lokasya śūnyatākāraśūcakajñāpakākṣagam // Asa_4.21 //	lokasya SUnyatA AkAra SUcaka jQApaka akza gam // Asa_4.21 //
   acintyaśāntatādarśi lokasaṃjñanirodhi ca /	acintya SAnta tA darSi loka saMjQa niroDi ca /
   jñānalakṣaṇamityuktaṃ sarvākārajñatānaye // Asa_4.22 //	jQAna lakzaNam iti uktam sarva AkAra jQa tA naye // Asa_4.22 //
   acintyādiviśeṣeṇa viśiṣṭaiḥ satyagocaraiḥ /	acintya Adi viSezeNa viSizwEH satya gocarEH /
   viśeṣalakṣaṇaṃ ṣaḍbhirdaśabhiścoditaṃ kṣaṇaiḥ // Asa_4.23 //	viSeza lakzaNam zaxBiH daSaBiH ca uditam kzaNEH // Asa_4.23 //
   acintyātulyate meyasaṃkhyayoḥ samatikramau /	acintya atulyate meya saMKyayoH samatikramO /
   sarvāryasaṃgraho vijñavedyāsādhāraṇajñate // Asa_4.24 //	sarva Arya saMgrahaH vijQa vedyAsa ADAraNa jQate // Asa_4.24 //
   kṣiprajñānyūnapūrṇatve pratipatsamudāgamau /	kzipra jQA nyUna pUrNa tve pratipad samudAgamO /
   ālambanaṃ ca sādhāraṃ sākalyaṃ samparigrahaḥ // Asa_4.25 //	Alambanam ca sa ADAram sAkalyam samparigrahaH // Asa_4.25 //
   anāsvādaśca vijñeyo viśeṣaḥ ṣoḍaśātmakaḥ /	anAsvAdaH ca vijQeyaH viSezaH zoxaSa AtmakaH /
   viśeṣamārgo mārgebhyo yenānyebhyo viśiṣyate // Asa_4.26 //	viSeza mArgaH mArgeByaH yena anyeByaH viSizyate // Asa_4.26 //
   hitaṃ sukhaṃ ca trāṇaṃ ca śaraṇaṃ layanaṃ nṛṇām /	hitam suKam ca trANam ca SaraNam layanam nRNAm /
   parāyaṇaṃ ca dvīpaṃ ca pariṇāyakasaṃjñakam // Asa_4.27 //	parAyaNam ca dvIpam ca pariNAyaka saMjQakam // Asa_4.27 //
   anābhogaṃ tribhiryānaiḥ phalāsākṣātkriyātmakam /	anABogam triBiH yAnEH Pala asAkzAt kriyA Atmakam /
   paścimaṃ gatikāritramidaṃ kāritralakṣaṇam // Asa_4.28 //	paScimam gati kAritram idam kAritra lakzaNam // Asa_4.28 //
   kleśaliṅganimittānāṃ vipakṣapratipakṣayoḥ /	kleSa liFga nimittAnAm vipakza pratipakzayoH /
   viveko duṣkaraikāntāvuddeśo 'nupalambhakaḥ // Asa_4.29 //	vivekaH duzkara ekAntO= uddeSaH anupalamBakaH // Asa_4.29 //
   niṣiddhābhiniveśaśca yaścālambanasaṃjñakaḥ /	nizidDa aBiniveSaH ca yaH ca Alambana saMjQakaH /
   vipratyayo 'vighātī ca so 'padāgatyajātikaḥ // Asa_4.30 //	vipratyayaH aviGAtI ca saH apadAgatyajAtikaH // Asa_4.30 //
   tathatānupalambhaśca svabhāvaḥ ṣoḍaśātmakaḥ /	taTatA anupalamBaH ca svaBAvaH zoxaSa AtmakaH /
   lakṣīva lakṣyate ceti caturthaṃ lakṣaṇaṃ matam // Asa_4.31 //	lakzI iva lakzyate ca iti caturTam lakzaNam matam // Asa_4.31 //
   6   mokṣabhāgīyam	6  mokza BAgIyam
   animittapradānādisamudāgamakauśalam /	animitta pradAna Adi samudAgama kOSalam /
   sarvākārāvabodhe 'smin mokṣabhāgīyamiṣyate // Asa_4.32 //	sarva AkAra avaboDe asmin mokza BAgIyam izyate // Asa_4.32 //
   buddhādyālambanā śraddhā vīryaṃ dānādigocaram /	budDa Adi AlambanA SradDA vIryam dAna Adi gocaram /
   smṛtirāśayasampattiḥ samādhiravikalpanā // Asa_4.33 //	smRtiH ASaya sampattiH samADiH avikalpanA // Asa_4.33 //
   dharmeṣu sarvairākārairjñānaṃ prajñeti pañcadhā /	Darmezu sarvEH AkArEH jQAnam prajQA iti paQcaDA /
   tīkṣṇaiḥ subodhā sambodhirdurbodhā mṛdubhirmatā // Asa_4.34 //	tIkzNEH su boDA samboDiH durboDAH mRduBiH matA // Asa_4.34 //
   7   virvedhabhāgīyam	7  virveDa BAgIyam
   ālambanaṃ sarvasattvā ūṣmaṇāmiha śasyate /	Alambanam sarva sattvAH UzmaNAm iha Sasyate /
   samacittādirākārasteṣveva daśadhoditaḥ // Asa_4.35 //	sama citta AdiH AkAraH tezu eva daSaDA uditaH // Asa_4.35 //
   svayaṃ pāpānnivṛttasya dānādyeṣu sthitasya ca /	svayam pApAt nivRttasya dAna Adyezu sTitasya ca /
   tayorniyojanānyeṣāṃ varṇavādānukūlate // Asa_4.36 //	tayoH niyojanAni ezAm varNa vAda anukUlate // Asa_4.36 //
   mūrdhagaṃ svaparādhāraṃ satyajñānaṃ tathā kṣamā /	mUrDa gam sva para ADAram satya jQAnam taTA kzamA /
   tathāgradharmā vijñeyāḥ sattvānāṃ pācanādibhiḥ // Asa_4.37 //	taTA agra DarmAH vijQeyAH sattvAnAm pAcana AdiBiH // Asa_4.37 //
   8   avaivartiko gaṇaḥ	8  avEvartikaH gaNaH
   nirvedhāṅgānyupādāya darśanābhyāsamārgayoḥ /	nirveDa aFgAni upAdAya darSana aByAsa mArgayoH /
   ye bodhisattvā vartante so 'trāvaivartiko gaṇaḥ // Asa_4.38 //	ye boDisattvAH vartante saH atra avEvartikaH gaNaH // Asa_4.38 //
   rūpādibhyo nivṛttyādyairliṅgairviśatidheritaiḥ /	rUpa AdiByaH nivRtti AdyEH liFgEH viSati DA IritEH /
   nirvedhāṅgaśitasyedamakvairtikalakṣaṇam // Asa_4.39 //	nirveDa aFga Sitasya idamakvErtika lakzaNam // Asa_4.39 //
   rūpādibhyo nivṛttiśca vicikitsākṣaṇakṣayo /	rUpa AdiByaH nivRttiH ca vicikitsA akzaNa kzayaH /
   ātmanaḥ kuśalasthasya pareṣāṃ tanniyojanam // Asa_4.40 //	AtmanaH kuSala sTasya parezAm tad niyojanam // Asa_4.40 //
   parādhāraṃ ca dānādi gambhīre 'rthe 'pyakāṃkṣaṇam /	para ADAram ca dAna Adi gamBIre arTe api akAMkzaNam /
   maitraṃ kāyādyasaṃvāsaḥ paṃcadhāvaraṇena ca // Asa_4.41 //	mEtram kAya Adya saMvAsaH paMcaDA AvaraNena ca // Asa_4.41 //
   sarvānuśayahānaṃ ca smṛtisamprajñatā śuci /	sarva anuSaya hAnam ca smRti samprajQa tA Suci /
   cīvarādi śarīre ca kṛmīṇāmasamudbhavaḥ // Asa_4.42 //	cIvara Adi SarIre ca kRmINAm asamudBavaH // Asa_4.42 //
   cittākauṭilyamādānaṃ dhūtasyāmatsarāditā /	cittA kOwilyam AdAnam DUtasya amatsara AditAH /
   dharmatāyuktagāmitvaṃ lokārthaṃ narakaiṣaṇā // Asa_4.43 //	DarmatA yukta gAmi tvam loka arTam naraka ezaNA // Asa_4.43 //
   parairaneyatā mārasyānyamārgopadeśinaḥ /	parEH aneya tA mArasya anya mArga upadeSinaH /
   māra ityeva bodhaśca caryā buddhānumoditā // Asa_4.44 //	mAraH iti eva boDaH ca caryA budDa anumoditA // Asa_4.44 //
   ūṣmamūrdhasu sakṣāntiṣvagradharmeṣvavasthitaḥ /	Uzma mUrDasu sakzAntizu agra Darmezu avasTitaH /
   liṅgairamībhirviśatyā sambodherna nivartatte // Asa_4.45 //	liFgEH amIBiH viSatyA samboDeH na nivartat te // Asa_4.45 //
   kṣāntijñānakṣaṇāḥ ṣaṭ ca pañca pañca ca dṛkpathe /	kzAnti jQAna kzaNAH zaw ca paQca paQca ca dRkpaTe /
   bodhisattvasya vijñeyamavaivartikalakṣaṇam // Asa_4.46 //	boDisattvasya vijQeyam avEvartika lakzaNam // Asa_4.46 //
   rūpādisaṃjñāvyāvṛttirdāḍharyaṃ cittasya hīnayoḥ /	rUpa Adi saMjQA vyAvRttiH dAXaryam cittasya hInayoH /
   yānayorvinivṛttiśca dhyānādyaṅgaparikṣayaḥ // Asa_4.47 //	yAnayoH vinivRttiH ca DyAna Adi aFga parikzayaH // Asa_4.47 //
   kāyacetolaghutvaṃ ca kāmasevābhyupāyikī /	kAya cetaH laGu tvam ca kAma sevA aByupAyikI /
   sadaiva brahmacāritvamājīvasya viśuddhatā // Asa_4.48 //	sadA eva brahmacAri tvam AjIvasya viSudDa tA // Asa_4.48 //
   skandhādāvantarāyeṣu sambhāre sendriyādike /	skanDa AdO= antarAyezu samBAre sa indriya Adike /
   samare matsarādau ca neti yogānuyogayoḥ // Asa_4.49 //	samare matsara AdO ca na iti yoga anuyogayoH // Asa_4.49 //
   vihārapratiṣedhaśca dharmasyāṇoralabdhatā /	vihAra pratizeDaH ca Darmasya aNoH a labDa tA /
   niścitattvaṃ svabhūmau ca bhūmitritayasaṃsthitiḥ // Asa_4.50 //	niScitattvam sva BUmO ca BUmi tritaya saMsTitiH // Asa_4.50 //
   dharmārthaḥ jīvitatyāga ityamī ṣoḍaśa kṣaṇāḥ /	Darma arTaH jIvita tyAgaH iti amI zoxaSa kzaNAH /
   avaivartikaliṅgāni dṛṅmārgasthasya dhīmataḥ // Asa_4.51 //	avEvartika liFgAni dRS mArga sTasya DImataH // Asa_4.51 //
   gambhīro bhāvanāmārgo gāmbhīryaṃ śūnyatādikam /	gamBIraH BAvanA mArgaH gAmBIryam SUnyatA Adikam /
   samāropāpavādāntamuktatā sā gabhīratā // Asa_4.52 //	samAropa apavAda antamukta tA sA gaBIra tA // Asa_4.52 //
   cintātulananidhyānānyabhīkṣṇaṃ bhāvanāpathaḥ /	cintA tulana niDyAnAni aBIkzNam BAvanApaTaH /
   nirvedhāṅgeṣu dṛṅmārge bhāvanāmārga eva ca // Asa_4.53 //	nirveDa aFgezu dRS mArge BAvanA mArgaH eva ca // Asa_4.53 //
   prābandhikatvādiṣṭo 'sau navadhā ca prakārataḥ /	prAbanDika tva AdizwaH asO navaDA ca prakArataH /
