   oṃ namaḥ sarvajñāya ||	om namaH sarvajQAya ||
   kṛtvaivam āha | kīdṛśaṃ bhagavan mama buddhakṣetraṃ bhaviṣyati yatraivāhaṃ	kRtvA-evam Aha | kIdRSam Bagavat mama budDa-kzetram Bavizyati yatra-eva-aham
   buddho bhaviṣyāmi | bhagavān āha | aparimitaguṇasaṃcayā nāma sā	budDaH BavizyAmi | BagavAn Aha | aparimitaguNasaMcayA nAma sA
   buddhakṣetraṃ bhaviṣyati | yādṛśī ca sā sukhāvatī lokadhātuḥ tādṛśaṃ tad	budDa-kzetram Bavizyati | yAdRSI ca sA suKAvatI lokaDAtuH tAdRSam tat-
   buddhakṣetraṃ bhaviṣyati | paryaṅkaniṣaṇṇā āryopapādukā bodhisatvā	budDa-kzetram Bavizyati | paryaFka-nizaNNA Arya-upapAdukA boDisatvA
   bhaviṣyanti | īdṛśaṃ tad buddhakṣetram* | (Asv 113)	Bavizyanti | IdRSam tat budDa-kzetram* | (Asu 113)
   atha ca sā dārikā tuṣṭā udagrā āttamanāḥ pramuditā prītisaumasyajātā	aTa ca sA dArikA tuzwAH udagrAH Atta-manAH pramuditA prIti-sOmasya-jAtA
   svagṛhagamanam ārabdhā | atha bhagavāṃs tāṃ dārikām evam āha | tvaṃ dārike	sva-gRha-gamanam ArabDAH | aTa BagavAn tAm dArikAm evam Aha | tvam dArike
   saptame divase kālaṃ kariṣyasi | kālaṃ kṛtvā | pūrvasyān diśi	saptame divase kAlam karizyasi | kAlam kRtvA | pUrvasyAn diSi
   magadhaviṣaye rājā ajitaseno nāma | tasya rājño 'jitasenasya	magaDa-vizaye rAjA ajitasenaH nAma | tasya rAjQaH ajitasenasya
   antaḥpurasahasram asti | tasya khalu punā rājño 'jitasenasya putro	antaHpura-sahasram asti | tasya Kalu punA rAjQaH ajitasenasya putraH-
   janiṣyase | eṣa eva tava paścimo garbhavāso bhaviṣyati |	janizyase | ezaH eva tava paScimaH garBa-vAsaH Bavizyati |
   atha bhagavān paścimakena nagaradvāreṇa śrāvastyā mahānagaryā niṣkrānto	aTa BagavAn paScimakena nagara-dvAreNa SrAvastyAH mahA-nagaryAH nizkrAntaH-
   yena jetavanaṃ vihāras tenopasaṃkrāntaḥ | athāyuṣmān ānando bhagavantaṃ	yena jetavanam vihAraH tena-upasaMkrAntaH | aTa-AyuzmAn AnandaH Bagavantam
   dūrata evāgacchantaṃ dṛṣṭvā pādau śirasābhivandya triḥpradakṣiṇīkṛtya	dUratas eva-AgacCantam dRzwvA pAdO SirasA-aBivandya tris-pradakziNIkRtya
   bhagavantaṃ gāthābhir adhyabhāṣata |	Bagavantam gATABiH aDyaBAzata |
   suvarṇavarṇaṃ varalakṣaṇārcitaṃ	suvarNa-varNam vara-lakzaNa-arcitam
        dvāviṃśatilakṣaṇarūpadhāriṇam* /	dvAviMSati-lakzaNa-rUpa-DAriNam* /
   yadā tvayā āgatu piṇḍapātikā	yadA tvayA Agatu piNxapAtikA
        vimocayitvā iha sarvasatvā //	vimocayitvA iha sarva-satvA //
   sukhena saṃsthāpayi sarvasatvā	suKena saMsTApayi sarva-satvA
        maitrībalaṃ sarvajagat tvayā kṛtam* /	mEtrI-balam sarva-jagat tvayA kRtam* /
   sa piṇḍapātaṃ varam āṇḍanāyaka	sa piNxapAtam varam ANxanAyaka
        vimocitas te jagatī bhayā ca //	vimocitaH te jagatI BayA ca //
   ye bodhisatvā iha jambudvīpe	ye boDisatvAH iha jambudvIpe
        sarve ca mārgaṃ tava darśayanti /	sarve ca mArgam tava darSayanti /
   (Asv 114)	(Asu 114)
   parinirvṛtasya sada paścakāle	parinirvRtasya sada paSca-kAle
        dhāretu sūtraṃ imu buddhavarṇitam* //	DAretu sUtram imu budDa-varNitam* //
   parinirvṛtasya tava paścakāle	parinirvRtasya tava paSca-kAle
   bhaviṣyati śāsanavipralopam* /	Bavizyati SAsana-vipralopam* /
        imām nayaṃ dhārayi sūtraratnam* //	imAm nayam DArayi sUtra-ratnam* //
   athāyuṣmān ānanda imā gāthā bhāṣitvā bhagavantaṃ triḥpradakṣiṇīkṛtya	aTa-AyuzmAn AnandaH imAH gATAH BAzitvA Bagavantam tris-pradakziNIkRtya
   bhagavataḥ puratas tasthau | atha bhagavān āyuṣmantam ānandam āmantrayate	BagavataH puratas tasTO | aTa BagavAn Ayuzmantam Anandam Amantrayate
   sma | gacchānanda gaṇḍīm ākoṭaya | te śrāvakāḥ paribhokṣyanti piṇḍapātam*	sma | gacCa-Ananda gaNxIm Akowaya | te SrAvakAH pariBokzyanti piNxa-pAtam*
   | athāyuṣmān ānando bhagavantam āmantrayate sma | kīdṛśaṃ bhagavan	| aTa-AyuzmAn AnandaH Bagavantam Amantrayate sma | kIdRSam Bagavan
   gaṇḍīśabdasya kuśalamūlaṃ bhaviṣyati | bhagavān āha | śṛṇu ānanda	gaNxI-Sabdasya kuSala-mUlam Bavizyati | BagavAn Aha | SRNu Ananda
   gaṇḍīśabdasya kuśalamūlaṃ parikīrtayāmi | ye kecid ānanda gaṇḍīśabdaṃ	gaNxI-Sabdasya kuSala-mUlam parikIrtayAmi | ye kecid Ananda gaNxI-Sabdam
   śroṣyanti teṣāṃ pañcānantaryāṇi kṛtyāni parīkṣayaṃ yāsyanti | avaivartikās	Srozyanti tezAm paQca-AnantaryANi kRtyAni parIkzayam yAsyanti | avEvartikAs
   te bhaviṣyanti kṣipraṃ cānuttarāṃ samyaksaṃbodhim abhisaṃbhotsyante |	te Bavizyanti kzipram ca-anuttarAm samyaksaMboDim aBisaMBotsyante |
   ānanda āha | kīdṛśaṃ bhagavaṃs taiḥ satvaiḥ kuśalamūlam avaropitam* |	AnandaH Aha | kIdRSam Bagavan tEH satvEH kuSala-mUlam avaropitam* |
   bhagavān āha | śṛṇu ānanda ye satvāḥ paścime kāle paścime samaye mama	BagavAn Aha | SRNu Ananda ye satvAH paScime kAle paScime samaye mama
   parinirvṛtasya saddharmavipralope vartamāne	parinirvRtasya sat-Darma-vipralope vartamAne
   saddharmasyāntardhānakālasamaye grāmanagaranigamajanapadarāṣṭrarājadhānīṣu	sadDarmasya-antarDAna-kAla-samaye grAma-nagara-nigama-janapada-rAzwra-rAja-DAnIzu
   ye satvā [vā] araṇyāyatane gaṇḍyākoṭanaśabdaṃ śroṣyanti namo buddhāyeti	ye satvAH [vA] araNya-Ayatane gaNxyA-kowana-Sabdam Srozyanti namaH budDAya-iti
   kariṣyanti teṣāṃ pañcānantaryāṇi karmāṇi parikṣayaṃ (Asv 115) yāsyanti |	karizyanti tezAm paQca-AnantaryANi karmANi parikzayam (Asu 115) yAsyanti |
   īdṛśāny ānanda gaṇḍīśabdasya kuśalamūlāni | athāyuṣmān ānandaḥ	IdRSAni Ananda gaNxI-Sabdasya kuSala-mUlAni | aTa-AyuzmAn AnandaH
   śāntapraśāntena gaṇḍīm ākoṭayate sma | atha tena gaṇdīśabdena sarve te	SAnta-praSAntena gaNxIm Akowayate sma | aTa tena gaNdI-Sabdena sarve te
   mahāśrāvakāḥ sannipatitā abhūvan* | yathā yathā āsane niṣaṇṇāḥ piṇḍapātaṃ	mahA-SrAvakAH sannipatitAH aBUvan* | yaTA yaTA Asane nizaNNAH piNxa-pAtam
   paribhuñjante sma | atha tatraiva śrāvakamadhye nandimitro nāma	pariBuQjante sma | aTa tatra-eva SrAvaka-maDye nandimitraH nAma
   mahāśrāvakaḥ sannipatito 'bhūt* sanniṣaṇṇaḥ | atha bhagavān āyuṣmantaṃ	mahA-SrAvakaH sannipatitaH aBUt* sannizaNNaH | aTa BagavAn Ayuzmantam
   nandimitraṃ mahāśrāvakam āmantrayate sma | gaccha tvaṃ nandimitra	nandi-mitram mahA-SrAvakam Amantrayate sma | gacCa tvam nandimitra
   mahāśrāvaka pūrvasyān diśi magadhaviṣaye rājño 'jitasenasya	mahA-SrAvaka pUrvasyAn diSi magaDa-vizaye rAjQaH ajitasenasya
   kalyāṇamitraparicaryāṃ kuru | atha nandimitro mahāśrāvako bhagavantam evam	kalyANa-mitra-paricaryAm kuru | aTa nandimitraH mahA-SrAvakaH Bagavantam evam
   āha | na bhagavan* śakṣyāmas taṃ pṛthivīpradeśaṃ gantum* | durāsadās te	Aha | na Bagavan* SakzyAmaH tam pRTivI-pradeSam gantum* | durAsadAH te
   satvāḥ | te māṃ jīvitād vyavaropayiṣyanti | atha bhagavān āyuṣmantaṃ taṃ	satvAH | te mAm jIvitAt vyavaropayizyanti | aTa BagavAn Ayuzmantam tam
   nandimitraṃ mahāśrāvakam evam āha | na te satvās te śakṣyante bālāgram api	nandi-mitram mahA-SrAvakam evam Aha | na te satvAH te Sakzyante bAla-agram api
   kampayituṃ prāgeva jīvitād vyavaropayitum* | atha nandimitro mahāśrāvakaḥ	kampayitum prAk-eva jIvitAt vyavaropayitum* | aTa nandimitraH mahA-SrAvakaH
   pratyūṣakālasamaye suvarṇavarṇaṃ vastraṃ prāvṛtya yena pūrvasyān diśi	pratyUza-kAla-samaye suvarNa-varNam vastram prAvRtya yena pUrvasyAn diSi
   magadhaviṣaye rājño 'jitasenasya rājadhānī tenānukrānto 'bhūt* | atha rājā	magaDa-vizaye rAjQaH ajitasenasya rAjaDAnI tena-anukrAntaH aBUt* | aTa rAjA
   ajitasenas taṃ nandimitraṃ mahāśrāvakaṃ dṛṣṭvā tuṣṭa udagra āttamanāḥ	ajitasenaH tam nandi-mitram mahA-SrAvakam dRzwvA tuzwaH udagre Atta-manAH
   pramuditaḥ prītisaumanasyajāto 'bhūt* | atha rājñājitasenena amātyaḥ	pramuditaH prIti-sOmanasya-jAtaH aBUt* | aTa rAjQA-ajitasenena amAtyaH
   preṣito 'bhūt* | gacchainaṃ bhikṣum ānaya | tadā so 'mātyo yena nandimitro	prezitaH aBUt* | gacCa-enam Bikzum Anaya | tadA saH amAtyaH yena nandimitraH-
   mahāśrāvakas (Asv 116) tenopasaṃkrāntaḥ | atha so 'mātyo nandimitraṃ	mahA-SrAvakaH (Asu 116) tena-upasaMkrAntaH | aTa saH amAtyaH nandimitram
   mahāśrāvakam evam āha | āgaccha mahāśrāvaka bhikṣo rājā te ājñāpayati |	mahA-SrAvakam evam Aha | AgacCa mahA-SrAvaka BikzaH rAjA te AjQApayati |
   atha nandimitro mahāśrāvako 'mātyam evam āha | mama rājñā kiṃ kāryaṃ mama	aTa nandimitraH mahA-SrAvakaH amAtyam evam Aha | mama rAjQA kim kAryam mama
   rājā kiṃ kariṣyati | athāmātyo yena rājājitasenas tenopasaṃkrāntaḥ | taṃ	rAjA kim karizyati | aTa-amAtyaH yena rAjA-ajitasenaH tena-upasaMkrAntaH | tam
   rājānam ajitasenam evam āha | na ca sa bhikṣus tava pārśve āgacchati |	rAjAnam ajita-senam evam Aha | na ca sa BikzuH tava pArSve AgacCati |
   atha rājñājitasenena pañcāmātyaśatāni preṣitāni | na ca sa bhikṣū rājño	aTa rAjQA-ajitasenena paQcAmAtya-SatAni prezitAni | na ca sa BikzuH rAjQaH-
   'jitasenasya pārśvam āgacchati | atha sa rājā svakenaivātmabhāvena yena sa	ajitasenasya pArSvam AgacCati | aTa sa rAjA svakena-eva-Atma-BAvena yena sa
   nandimitramahāśrāvakas tenopasaṃkrāntaḥ | upasaṃkramya kṛtāñjalir evam āha	nandi-mitra-mahA-SrAvakaH tena-upasaMkrAntaH | upasaMkramya kRtAQjaliH evam Aha
   | āgaccha bho bhikṣo mama rājadhānīṃ praviśa | atha rājā ajitaseno	| AgacCa Bo BikzaH mama rAjaDAnIm praviSa | aTa rAjA ajita-senaH-
   dakṣiṇahaste taṃ bhikṣuṃ gṛhītvā svakāṃ rājadhānīṃ praviṣṭo 'bhūt* | atha	dakziNa-haste tam Bikzum gRhItvA svakAm rAjaDAnIm pravizwaH aBUt* | aTa
   rājñājitasenena nandimitrasya bhikṣoḥ siṃhāsanaṃ dattam abhūt* | atha	rAjQA-ajitasenena nandi-mitrasya BikzoH siMhAsanam dattam aBUt* | aTa
   rājājitaseno bhadrapīṭhake niṣadya taṃ nandimitraṃ mahāśrāvakam evam āha |	rAjA-ajitasenaH BadrapIWake nizadya tam nandi-mitram mahA-SrAvakam evam Aha |
   kutra tvaṃ bhikṣo gacchasi | ko hetuḥ kaḥ pratyayaḥ | atha nandimitro	kutra tvam BikzaH gacCasi | kaH hetuH kaH pratyayaH | aTa nandimitraH-
   mahāśrāvako rājānam ajitasenam evam āha | ye kecid bhikṣupravrajitās te	mahA-SrAvakaH rAjAnam ajita-senam evam Aha | ye kecid Bikzu-pravrajitAH te
   sarve bhikṣāhārāḥ piṇḍapātam avacarantaḥ paribhuñjanti | atha rājā	sarve BikzA-AhArAH piNxa-pAtam avacarantaH pariBuQjanti | aTa rAjA
   ajitasenas taṃ nandimitraṃ mahāśrāvakam evam āha | paribhuṅkṣva mama gṛhe	ajitasenaH tam nandi-mitram mahA-SrAvakam evam Aha | pariBuFkzva mama gRhe
   piṇḍapātam* | yāvajjīvaṃ piṇḍapātaṃ pradāsyāmi | yadi te bhikṣo mama	piNxapAtam* | yAvajjIvam piNxa-pAtam pradAsyAmi | yadi te BikzaH mama
   svamāṃsena kāryaṃ svamāṃsaṃ dāsyāmi | atha nandimitro mahāśrāvako rājānam	sva-mAMsena kAryam sva-mAMsam dAsyAmi | aTa nandimitraH mahA-SrAvakaH rAjAnam
   ajitasenaṃ gāthābhir adhyabhāṣata | (Asv 117)	ajitasenam gATABiH aDyaBAzata | (Asu 117)
   bhuṃjāmi tad bhojanu yad dadāhi	BuMjAmi tat Bojanu yat dadAhi
        mṛṣṭānnapānaṃ rasapānam uttamam* /	mRzwa-anna-pAnam rasa-pAnam uttamam* /
   kleśā hi nirmukta tvayā bhaviṣyasi	kleSAH hi nirmukta tvayA Bavizyasi
        sudurlabhaṃ labdha manuṣyalābham* //	su-durlaBam labDa manuzya-lABam* //
   sudurlabhaṃ śāsanu nāyakasya	su-durlaBam SAsanu nAyakasya
        śraddhāprasādaṃ paramaṃ sudurlabham* /	SradDA-prasAdam paramam su-durlaBam* /
   ye śāsane pra[vra]jitā ca bhikṣavā	ye SAsane pra[vra]jitA ca BikzavA
        sudurlabhaṃ śāsanu nāyakānām* //	su-durlaBam SAsanu nAyakA-nAm* //
   sudurlabhaṃ sugatavarasya darśanaṃ	su-durlaBam sugata-varasya darSanam
        namo 'stu te buddha mahānubhāvo /	namaH astu te budDa mahA-anuBAvaH /
   namo 'stu te dharmamayaṃ mahāmune	namaH astu te Darma-mayam mahA-mune
        namo 'stu te kleśavicakṣaṇāryam* //	namaH astu te kleSa-vicakzaNa-aryam* //
   namo 'stu te sarvajarapramokṣaṇāt*	namaH astu te sarva-jara-pramokzaNAt*
        namo 'stu te mārganidarśanāryam* //	namaH astu te mArga-nidarSana-aryam* //
   namo 'stu te mārgapathasya darśakaṃ	namaH astu te mArga-paTasya darSakam
        namo 'stu te bodhipathasya darśakam* //	namaH astu te boDipaTasya darSa-kam* //
   atha nandimitro mahāśrāvako rājānam ajitasenaṃ bhagavato guṇavarṇam	aTa nandimitraH mahA-SrAvakaH rAjAnam ajita-senam BagavataH guNa-varNam
   udīrayitvā tūṣṇīṃ sthito 'bhūt* | atha rājānam ajitasenaṃ taṃ nandimitro	udIrayitvA tUzNIm sTitaH aBUt* | aTa rAjAnam ajita-senam tam nandimitraH-
   mahāśrāvako gāthābhir adhyabhāṣata |	mahASrAvakaH gATABiH aDyaBAzata |
   sudurlabhaṃ bhikṣu tathaiva darśanaṃ	su-durlaBam Bikzu taTA-eva darSanam
        sudurlabhaṃ tasya bhaveya darśanam* /	su-durlaBam tasya Baveya darSanam* /
   (Asv 118)	(Asu 118)
   ye bhikṣusaṃghasya dadeya dānaṃ	ye Bikzu-saMGasya dadeya dAnam
        na tasya yakṣā na ca rākṣasāś ca //	na tasya yakzAH na ca rAkzasAH ca //
   na {pretakumbhāṇḍamahoragāś} ca (?)	na {preta-kumBa-aNxa-mahA-uragAS} ca (?)
        vighnaṃ na kurvanti kadāci teṣām* /	viGnam na kurvanti kadAci tezAm* /
   ye bhikṣusaṃghāya dadanti dānaṃ	ye Bikzu-saMGAya dadanti dAnam
        sudurlabhaṃ tasya manuṣyalābham* //	su-durlaBam tasya manuzya-lABam* //
   yo durlabhaṃ darśanu bhikṣubhāvaṃ	yaH durlaBam darSanu Bikzu-BAvam
        sudurlabhaṃ kalpaśatair acintiyaiḥ /	su-durlaBam kalpa-SatEH acintiyEH /
   yo lokanāthasya hi nāmu dhāraye	yaH loka-nATasya hi na-amu DAraye
        kalpāna koṭīnayutān acintiyā //	kalpAna kowIna-yutAn acintiyA //
   na jātu gacche vinipātadurgatiṃ	na jAtu gacCe vinipAta-durgatim
        yo īdṛśaṃ paśyati bhikṣurājam* /	yaH IdRSam paSyati Bikzu-rAjam* /
   na tasya bhotī vinipātadurgatiṃ	na tasya BotI vinipAta-durgatim
        yo īdṛśaṃ paśyati bhikṣurājam* //	yaH IdRSam paSyati Bikzu-rAjam* //
   kalyāṇamitraṃ mama mārgadarśako	kalyANa-mitram mama mArga-darSa-kaH-
        (yaṃ) sa āgatāye mama piṇḍapātikā /	(yaM) saH AgatAye mama piNxapAtikAH /
   yo dāsyate asya hi piṇḍapātaṃ	yaH dAsyate asya hi piNxa-pAtam
        muktā na bheṣyaṃti jarārtavyādhayā //	muktAH na BezyaMti jarA-Arta-vyADayA //
   kleśā vinirmukta sadā tu bheṣyati	kleSAH vinirmukta sadA tu Bezyati
        te tasya dāsyantiha piṇḍapātam* //	te tasya dAsyanti-ha piNxapAtam* //
   atha sa rājā ajitaseno nandimitraṃ mahāśrāvakaṃ guṇavarṇam udīrayitvā	aTa sa rAjA ajitasenaH nandi-mitram mahA-SrAvakam guNa-varNam udIrayitvA
   tūṣṇīṃ sthito 'bhūt* | atha nandimitro mahāśrāvako (Asv 119) rājānam	tUzNIm sTitaH aBUt* | aTa nandimitraH mahA-SrAvakaH (Asu 119) rAjAnam
   ajitasenam evam āha | evam astu mahārāja bhuñje piṇḍapātaṃ tava gṛhe |	ajita-senam evam Aha | evam astu mahA-rAja BuQje piNxapAtam tava gRhe |
   atha rājā ajitasenaḥ khādanīyena bhojanīyena taṃ nandimitramahāśrāvakaṃ	aTa rAjA ajitasenaH KAdanIyena BojanIyena tam nandi-mitra-mahA-SrAvakam
   santarpayati sma |	santarpayati sma |
   atha nandimitramahāśrāvako rājānam ajitasenam evam āha | kiṃ tava mahārāja	aTa nandi-mitra-mahA-SrAvakaH rAjAnam ajita-senam evam Aha | kim tava mahA-rAja
   asmin pṛthivīpradeśe udyānabhūmir asti | rājā āha | asti mahāśrāvaka	asmin pRTivI-pradeSe udyAna-BUmiH asti | rAjA Aha | asti mahA-SrAvaka
   udyānabhūmir mama ramaṇīyā suśobhanā | nandimitra āha | gacchāmy ahaṃ	udyAna-BUmiH mama ramaNIyA su-SoBanA | nandimitraH Aha | gacCAmi aham
   mahārāja | tām udyānabhūmiṃ prekṣe | rājā āha | gaccha nandimitra |	mahA-rAja | tAm udyAna-BUmim prekze | rAjA Aha | gacCa nandimitra |
   udyānabhūmiṃ prekṣasva | atha nandimitramahāśrāvako yena rājño	udyAna-BUmim prekzasva | aTa nandi-mitra-mahA-SrAvakaH yena rAjQaH-
   'jitasenasyodyānabhūmis tenopasaṃkrāntaḥ | atha tatrodyānabhūmau ye	ajita-senasya-udyAna-BUmiH tena-upasaMkrAntaH | aTa tatra-udyAna-BUmO ye
   udyānaguṇās te sarve santīti | yā graiṣmikyaḥ puṣkariṇyas tāḥ	udyAna-guNAH te sarve santi-iti | yAH grEzmikyaH puzkariNyaH tAH
   śītalajalaparipūrṇā yā vārṣikyas tā nātyuṣṇā nātiśītalajalaparipūrṇāḥ |	SItala-jala-paripUrNAH yAH vArzikyaH tAH na-ati-uzNAH na-ati-SItala-jala-paripUrNAH |
   tāś ca puṣkariṇyaḥ suvarṇasopānasaṃcchannā divyā ramaṇīyāḥ | ye ca	tAH ca puzkariNyaH suvarNa-sopAna-saMcCannAH divyAH ramaNIyAH | ye ca
   jāṃbūpakaparibhogaguṇās te sarve santīti |	jAMbUpaka-pariBoga-guNAH te sarve santi-iti |
   adhimuktakacampakāśokamucilindapāṭalasumanāsaugandhikapuṣpāṇi santīti |	aDimuktaka-campaka-aSoka-mucilinda-pAwala-sumanA-sOganDika-puzpANi santi-iti |
   (Asv 120) ye tiryagyonigatāḥ pakṣiṇaḥ śukaśārikācakravākamayūrakokilādayas	(Asu 120) ye tiryagyoni-gatAH pakziNaH Suka-SArikA-cakravAka-mayUra-kokila-AdayaH-
   te nānārutāni kurvanti sma | atha tatraiva udyānabhūmau suvarṇavarṇāḥ	te nAnA-rutAni kurvanti sma | aTa tatra-eva udyAna-BUmO suvarNa-varNAH
   suvarṇatuṇḍāḥ suvarṇapakṣāḥ suvarṇapādāḥ pakṣiṇāḥ prādurbhūtāḥ | te sarve	suvarNa-tuNxAH suvarNa-pakzAH suvarNa-pAdAH pakziNAH prAdurBUtAH | te sarve
   buddhaśabdaṃ niścārayanti | atha nandimitramahāśrāvako yena rājño	budDa-Sabdam niScArayanti | aTa nandi-mitra-mahA-SrAvakaH yena rAjQaH-
   'jitasenasya rājadhānī tenopasaṃkrāntaḥ | atha rājā ajitasenas taṃ	ajitasenasya rAjaDAnI tena-upasaMkrAntaH | aTa rAjA ajitasenaH tam
   nandimitraṃ mahāśrāvakam evam āha | āgatas tvaṃ mahāśrāvaka |	nandi-mitram mahA-SrAvakam evam Aha | AgataH tvam mahA-SrAvakaH |
   dṛṣṭodyānabhūmiḥ | nandimitra āha | dṛṣṭā mayodyānabhūmī ramaṇīyā	dRzwa-udyAna-BUmiH | nandimitraH Aha | dRzwA mayA-udyAna-BUmiH ramaNIyA
   suśobhanā | atha nandimitraṃ mahāśrāvakaṃ rājā ajitaseno gāthābhir	su-SoBanA | aTa nandi-mitram mahA-SrAvakam rAjA ajitasenaH gATABiH-
   adhyabhāṣata |	aDyaBAzata |
   ye jambudvīpe paribhogamāsī	ye jambudvIpe pariBogam-AsI
        adhimuktakacampakadhānuṣkārikā /	aDimuktaka-campaka-DAnuzkArikAH /
   aśokamucilinda tathaiva pāṭalā	aSokamucilinda taTA-eva pAwalA
        saugandhikāś ca sumanā ca vārṣikā //	sOganDikAH ca sumanA ca vArzikAH //
   tadā pāriyātrā nadītīranirmitā	tadA pAriyAtrA nadI-tIra-nirmitA
        suvarṇavarṇā sada pakṣiṇā abhūt* /	suvarNa-varNA sada pakziNAH aBUt* /
   mārgaṃ ca te darśayi agrabodhaye	mArgam ca te darSayi agra-boDaye
        divyā manojñā madhurasvarāṃś ca	divyAH manojQAH maDura-svarAn ca
        saṃśrāvayiṣyanti ca nityakālam* //	saMSrAvayizyanti ca nitya-kAlam* //
   atha nandimitramahāśrāvako rājño 'jitasenasya gāthā bhāṣitvā tūṣṇīṃ sthito	aTa nandi-mitra-mahA-SrAvakaH rAjQaH ajitasenasya gATA BAzitvA tUzNIm sTitaH-
   'bhūt* | atha rāja ajitaseno bherīṃ parāhante sma | (Asv 121) atha tena	aBUt* | aTa rAja ajitasenaH BerIm parAhante sma | (Asu 121) aTa tena
   bherīśabdena sametyāmātyagaṇas taṃ rājānam ajitasenam evam āha | kasyārthe	BerI-Sabdena sametya-amAtya-gaNaH tam rAjAnam ajita-senam evam Aha | kasya-arTe
   mahārāja bherī parāhatā | atha sa rājā āha | hastirathaṃ ca aśvarathaṃ ca	mahA-rAja BerI parAhatA | aTa sa rAjA Aha | hastiraTam ca aSva-raTam ca
   sajjaṃ kṛtaṃ syāt* | aham udyānabhūmiṃ gamiṣyāmi krīḍanārthāya | atha tā	sajjam kRtam syAt* | aham udyAna-BUmim gamizyAmi krIxana-arTAya | aTa tA
   amātyakoṭyo vacanaṃ śrutvā śīghram eva tad hastiratham aśvarathaṃ sajjaṃ	amAtya-kowyaH vacanam SrutvA SIGram eva tat hasti-raTam aSva-raTam sajjam
   kṛtavatyaḥ | atha tena kṣaṇalavamuhūrtamātreṇa rājājitaseno yena	kRtavatyaH | aTa tena kzaNa-lava-muhUrta-mAtreNa rAjA-ajitasenaH yena
   sodyānabhūmis tenopasaṃkrāntaḥ | sa ca nandimitramahāśrāvakas	sa-udyAna-BUmiH tena-upasaMkrAntaH | sa ca nandi-mitra-mahA-SrAvaka-s
   tenaivopasaṃkrānto rājānam ajitasenam evam āha | asmin pṛthivīpradeśe	tena-eva-upasaMkrAntaH rAjAnam ajita-senam evam Aha | asmin pRTivI-pradeSe
   mahārāja mama kuṭikaṃ kārayitavyaṃ yatrāhaṃ sanniṣaṇṇas tava gṛhe	mahA-rAja mama kuwikam kArayitavyam yatra-aham sannizaNNaH tava gRhe
   piṇḍapātaṃ paribhokṣyāmi | atha rājā ajitaseno nandimitramahāśrāvakam evam	piNxa-pAtam pariBokzyAmi | aTa rAjA ajitasenaH nandi-mitra-mahA-SrAvakam evam
   āha | kīdṛśaṃ tava kuṭikaṃ kārayitavyam* | nandimitra āha | yādṛśās tava	Aha | kIdRSam tava kuwikam kArayitavyam* | nandimitraH Aha | yAdRSAH tava
   mahārāja mahācittotpādaśraddhāprasādās tādṛśaṃ kuṭikaṃ kāraya | atha rājā	mahA-rAja mahA-citta-utpAda-SradDA-prasAdAH tAdRSam kuwikam kAraya | aTa rAjA
   ajitaseno jyeṣṭhāmātyam evam āha | asminn eva pṛthivīpradeśe kuṭikaṃ	ajitasenaH jyezWa-amAtyam evam Aha | asmin eva pRTivI-pradeSe kuwikam
   kāraya | atha jyeṣṭhāmātyo rājānam evam āha | kīdṛśaṃ mahārāja kuṭikaṃ	kAraya | aTa jyezWa-amAtyaH rAjAnam evam Aha | kIdRSam mahA-rAja kuwikam
   kārayāmi | rājā ajitasena evam āha | triṃśadyojanāni dīrgheṇa ṣaḍyojanāny	kArayAmi | rAjA ajitasenaH evam Aha | triMSat-yojanAni dIrGeNa zaz-yojanAni-
   ūrdhvāyāṃ saptaratnamayaṃ maṇimuktisaṃcchāditaṃ kuṭikaṃ kāraya | atha so	UrDvAyAm sapta-ratna-mayam maNi-mukti-saMcCAditam kuwikam kAraya | aTa saH-
   'mātyaḥ kuṭikaṃ kārayati | saptaratnamayaṃ (Asv 122) maṇimuktisaṃcchāditaṃ	amAtyaH kuwikam kArayati | sapta-ratna-mayam (Asu 122) maNi-mukti-saMcCAditam
   kārayitvā yena rājā ajitasenas tenopasaṃkrānto rājānam ajitasenam evam āha	kArayitvA yena rAjA ajitasenaH tena-upasaMkrAntaH rAjAnam ajita-senam evam Aha
   | kṛtaṃ mahārāja mayā kuṭikaṃ yādṛśam ājñaptam* | rājā āha | tatraiva	| kRtam mahA-rAja mayA kuwikam yAdRSam AjQaptam* | rAjA Aha | tatra-eva
   pṛthivīpradeśe caṃkramaḥ kārayitavyaś caturyojanāni dīrgheṇa dve yojane	pRTivI-pradeSe caMkramaH kArayitavyaH catur-yojanAni dIrGeNa dve yojane
   vistāreṇa | atha so 'mātyas taṃ caṃkramaṃ kārayitvā yena rājā ajitasenas	vistAreNa | aTa saH amAtyaH tam caMkramam kArayitvA yena rAjA ajitasena-s
   tenopasaṃkrānto rājānaṃ gāthābhir adhyabhāṣata |	tena-upasaMkrAntaH rAjAnam gATABiH aDyaBAzata |
   kṛtaṃ mayā caṃkramu suṣṭhu śobhanaṃ	kRtam mayA caMkramu suzWu SoBanam
        ājñā tvayā yat kṛtapūrvam eva ca /	AjQA tvayA yat kRta-pUrvam eva ca /
   satvāna moceti prakṛtiṃ śubhāśubhaṃ	satvAna mocA-iti prakRtim SuBa-aSuBam
        vimocaye prāṇina sarvam etat* //	vimocaye prANina sarvam etat* //
   aho sulabdhā praṇidhīkṛtaṃ tvayā	aho su-labDA praNiDIkRtam tvayA
