   Mahāpratisarāvidyādhāraṇī	MahA-pratisara-avidyA-DAraNI
   viṣāgniśastramantrāṇi vidyutaḥ kālabādhayaḥ |	viza-agni-Sastra-mantrANi vidyutaH kAla-bADayaH |
   ativṛṣṭiranāvṛṣṭiḥ sarvaśatrubhayāni ca ||	ati-vRzwiH-anAvRzwiH sarva-Satru-BayAni ca ||
   tathānye 'pyupasargā vā vinaśyanti na saṃśayaḥ |	taTA-anye api-upasargAH vA vinaSyanti na saMSayaH |
   sarvakāryāṇi siddhayanti namastasyai namo namaḥ ||	sarva-kAryANi sidDayanti namaH-tasyE namaH namaH ||
   yaśca tāṃ dhārayet vidyāṃ kaṇṭhe vāhau ca mastake |	yaH-ca tAm DArayet vidyAm kaNWe vAhO ca mastake |
   nityaṃ rakṣanti devāstaṃdaityā nāgāśca mānuṣāḥ ||	nityam rakzanti devAH-taMdEtyAH nAgAH-ca mAnuzAH ||
   gandharvā kinnarā yakṣā bhūtapretapiśācakāḥ |	ganDarvAH kinnarAH yakzAH BUta-preta-piSAcakAH |
   ḍākinyo rākṣasādūtyaḥ kumbhāṇḍāḥ kaṭapūtanāḥ ||	xAkinyaH rAkzasa-AdUtyaH kumBANxAH kawa-pUtanAH ||
   trisandhyaṃ yaḥ paṭhet nityaṃ buddhārakṣanti taṃ sadā |	tri-sanDyam yaH paWet nityam budDArakzanti tam sadA |
   pratyekāḥ śrāvakāścaiva bodhisattvāmaharddhikāḥ ||	pratyekAH SrAvakAH-ca-eva boDisattvAmahardDikAH ||
   yoginaḥ siddhamantrāśca mahāvīryamaharṣayaḥ |	yoginaH sidDa-mantrAH-ca mahA-vIrya-mahA-RzayaH |
   vajrapāṇiśca yakṣendraḥ śakraśca tridaśaiḥ saha ||	vajrapANiH-ca yakzendraH SakraH-ca tridaSEH saha ||
   catvāraśca mahārājā brahmā viṣṇurmaheśvara |	catvAraH-ca mahA-rAjAH brahmA vizNuH-maheSvara |
   nandikeśo mahākālaḥ kārtikeyo gaṇeśvaraḥ ||	nandikeSaH mahAkAlaH kArtikeyaH gaNeSvaraH ||
   bhairavā mātṛkā durgāstathānye mārakāyikāḥ |	BEravAH mAtRkAH durgAH-taTA-anye mArakAyikAH |
   vidyādevyo mahāvīryā mahābalaparākramāḥ ||	vidyAdevyaH mahA-vIryAH mahA-bala-parAkramAH ||
   māmakī bhṛkuṭītārā cāṅkuśī vajraśṛkhalā |	mAmakI BRkuwI-tArA ca-aFkuSI vajraSRKalA |
   mahāśvetā mahākālī vajradūtīmupāśikā ||	mahASvetA mahAkAlI vajradUtIm-upASikAH ||
   vajramālā mahāvidyā suvīryā'mṛtakuṇḍalī |	vajramAlA mahAvidyA suvIryA-amRta-kuNxalI |
   vajrāparājitā caṇḍī kālakarṇā mahābalā |	vajra-aparAjitA caNxI kAla-karNA mahA-balAH |
   tathā dhanyā mahābhāgā padmakuṇḍalireva ca ||	taTA DanyA mahABAgA padma-kuNxaliH-eva ca ||
   (Mpv-Dh_139)	(Mpv-Dh_139)
   maṇicūḍā puṣpadantī svarṇakeśī ca piṃgalā |	maNicUxA puzpadantI svarNakeSI ca piMgalAH |
   ekajaṭā mahādevī dhanyā vidyutsumālinī ||	ekajawA mahAdevI DanyA vidyut-sumAlinI ||
   kapālinī ca raṃ(laṃ)keśī kṣudrākṣītyekanāyikā |	kapAlinI ca raM(laM)keSI kzudrAkzI-iti-ekanAyikA |
   hārīti pāñcikā caiva śaṃkhinīkūṭadantinī |	hArI-iti pAQcikA ca-eva SaMKinI-kUwa-dantinI |
   śrī sarasvatī lakṣmīḥ siddheśvarī sadānugā ||	SrI sarasvatI lakzmIH sidDeSvarI sadA-anugAH ||
   tamevānye 'pi rakṣanti yasya vidyā kare sthitā |	tam-eva-anye api rakzanti yasya vidyA kare sTitA |
   sa bhavet sarvasattvānāṃ mokṣaṇārthaṃ samudyataḥ ||	sa Bavet sarva-sattvAnAm mokzaNa-arTam samudyataH ||
   rājāno vaśagāstasya puṇyarāśiṃvivardhayet |	rAjAnaH vaSa-gAH-tasya puNya-rASiMvivarDayet |
   siddhayante sarvakalpāśca praviṣṭo jinamandire ||	sidDayante sarva-kalpAH-ca pravizwaH jina-mandire ||
   ante bauddhapadaṃ yāyājjinasya vacanaṃ yathā |	ante bOdDa-padam yAyAt-jinasya vacanam yaTA |
   yā strī dhārayed vidyāṃ prasūyedgurviṇī sukham ||	yA strI DArayet vidyAm prasUyet-gurviNI suKam ||
   aputrā labhate putraṃ vyādhimuktā sukhāśinī |	aputrA laBate putram vyADi-muktA suKa-ASinI |
   dhanadhānyairvarairyuktā mānanīyā priyaṃvadā ||	Dana-DAnyEH-varEH-yuktA mAnanIyA priyaMvadA ||
   susvapnānāṃ satyakarī jinakṣetraṃ samāpnuyāt |	su-svapnAnAm satya-karI jina-kzetram samApnuyAt |
   ityavocad bhagavān sā ca sarvāvatī parṣadabhyanandan || iti ||	iti-avocat BagavAn sA ca sarvAvatI parzad-aByanandan || iti ||
   āryamahāpratisarāvidyādhāraṇī samāptā ||	Arya-mahA-pratisara-avidyA-DAraNI samAptAH ||
