   nāgānandam	nAga-Anandam
   ityaprārthitalabhyasarvavibhave doṣo 'yameko vane	iti-aprArTita-laBya-sarva-viBave dozaH ayam-ekaH vane
   duṣprāpārthini yat parārthaghaṭanāvandhyairvṛthā sthīyate // Nā_4.2 //	duzprApa-arTini yat para-arTa-GawanA-vanDyEH-vRTA sTIyate // NA_4.2 //
   unmajjajjalakuñjarendrarabhasāsphālānubandhoddhataḥ	unmajjat-jala-kuQjara-indra-raBasa-AsPAla-anubanDa-udDataH
   sarvāḥ parvatakandarodarabhuvaḥ kurvan pratidhvānitāḥ /	sarvAH parvata-kandara-udara-BuvaH kurvan pratiDvAnitAH /
   uccairuccarati dhvaniḥ śrutipathonmāthī yathāyaṃ tathā	uccEs-uccarati DvaniH Sruti-paTa-unmATI yaTA-ayam taTA
   prāyaḥ preṅkhadasaṃkhyaśaṅkhadhavalā veleyamāgachati // Nā_4.3 //	prAyas preFKada-saMKya-SaFKa-DavalA velA-iyam-AgaCati // NA_4.3 //
   kavalitalavaṅgapallakarimakarodūgārisurabhiṇā payasā /	kavalita-lavaFga-palla-karima-kara-udUgAri-suraBiNA payasA /
   eṣā samudravelā ratnadyutirañjitā bhāti // Nā_4.4 //	ezA samudra-velA ratnadyuti-raQjitAH BAti // NA_4.4 //
   jihvāsahasradvitayasya madhye naikāpi sā tasya kimasti jihvā /	jihvA-sahasra-dvitayasya maDye na-ekA-api sA tasya kim-asti jihvA /
   ekāhirakṣārthamahidviṣe 'dya datto mayātmeti yayā bravīti // Nā_4.5 //	eka-ahi-rakza-arTam-ahidvize adya dattaH mayA-AtmA-iti yayA bravIti // NA_4.5 //
   ityeṣa bhogipatinā vihitavyavastho yān bhakṣayatyahipatīn patagādhirājaḥ /	iti-eza BogipatinA vihita-vyavasTaH yAn Bakzayati-ahipatIn pataga-aDirAjaH /
   yāsyanti yānti ca gatāśca dinairbivṛddhiṃ teṣāmamī tuhinaśailaruco	yAsyanti yAnti ca gatAH-ca dinEH-bivRdDim tezAm-amI tuhina-SEla-rucaH-
   'sthikūṭāḥ // Nā_4.6 //	asTi-kUwAH // NA_4.6 //
   sarvāśucinidhānasya kṛtaghnasya vināśinaḥ /	sarva-aSuci-niDAnasya kRtaGnasya vinASinaH /
   śarīrakasyāpi kṛte mūḍhāḥ pāpāni kurvate ! // Nā_4.7 //	SarIrakasya-api kRte mUXAH pApAni kurvate ! // NA_4.7 //
   kroḍīkaroti prathamaṃ yadā jātamanityatā /	kroxIkaroti praTamam yadA jAtam-anitya-tA /
   dhātrīva jananī paścāttadā śokasya kaḥ kramaḥ? // Nā_4.8 //	DAtrI-iva jananI paScAt-tadA Sokasya kaH kramaH? // NA_4.8 //
   mūḍhāyā muhuraśrusantatimucaḥ kṛtvā pralāpān bahūn	mUXAyAH muhur-aSru-santati-mucaH kRtvA pralApAn bahUn
   kastrātā tava putraketi kṛpaṇaṃ dikṣu kṣipantyā dṛśam /	kaH-trAtA tava putraka-iti kRpaNam dikzu kzipantyAH dRSam /
   aṅke māturavasthitaṃ śiśumimaṃ tyaktvā ghṛṇāmaśnataḥ	aFke mAtuH-avasTitam SiSum-imam tyaktvA GRNAm-aSnataH
   cañcurnaiva khagādhipasya hṛdayaṃ vajreṇa manye kṛtam/9 //	caQcuH-na-eva Kaga-aDipasya hRdayam vajreNa manye kRtam/9 //
   yairatyantadayāparairna vihitā vandhyārthināṃ prārthanā	yEH-atyanta-dayA-parEH-na vihitA vanDyA-arTinAm prArTanA
   yaiḥ kāruṇyaparigrahānna gaṇitaḥ svārthaḥ parārtha prati /	yEH kAruNya-parigrahAt-na gaNitaH sva-arTaH para-arTa prati /
   ye nityaṃ paraduḥkhaduḥkhitadhiyaste sādhavo 'staṃ gatā	ye nityam para-duHKa-duHKita-DiyaH-te sADavaH astam gatA
   mātaḥ ! saṃhara bāṣpavegamadhunā kasyāgrato rudyate? // Nā_4.10 //	mAtar ! saMhara bAzpa-vega-maDunA kasya-agratas rudyate? // NA_4.10 //
   ārtta kaṇṭhagataprāṇaṃ parityaktaṃ svabandhubhiḥ /	Artta kaNWa-gata-prANam parityaktam sva-banDuBiH /
   trāye nainaṃ yadi tataḥ kaḥ śarīreṇa me guṇaḥ // Nā_4.11 //	trAye na-enam yadi tatas kaH SarIreNa me guNaH // NA_4.11 //
   asyā vilokya manye putrasnehena viklavatvamidam /	asyAH vilokya manye putra-snehena viklava-tvam-idam /
   akaruṇahṛdayaḥ karuṇāṃ kurvīta bhujaṅgaśatrurapi // Nā_4.12 //	akaruNa-hRdayaH karuNAm kurvIta BujaFga-SatruH-api // NA_4.12 //
   mahāhimastiṣkavibhedamuktaraktacchaṭācarccitacaṇḍacañcuḥ /	mahA-ahi-maH-tizka-viBeda-mukta-rakta=-CawA-carccita-caNxa-caQcuH /
   kvāsau garutmān kva ca nāma saumyasvabhāvarūpākṛtireṣa sādhuḥ? // Nā_4.13	kva-asO garutmAn kva ca nAma sOmya-svaBAva-rUpa-AkRtiH-eza sADuH? // NA_4.13
   mamaitadambārpaya vadhyacihnaṃ prāvṛtya yāvadvinatātmajāya /	mama-etat-amba-arpaya vaDya-cihnam prAvRtya yAvat-vinatA-AtmajAya /
   putrasya te jīvitarakṣaṇāya svadehamāhārayituṃ dadāmi // Nā_4.14 //	putrasya te jIvita-rakzaNAya sva-deham-AhArayitum dadAmi // NA_4.14 //
   viśvāmitraḥ śvamāṃsaṃ śvapaca iva purābhakṣayadyannimittaṃ	viSvAmitraH Sva-mAMsam SvapacaH iva purA-Bakzayat-yat-nimittam
   nādijaṅgho nijadhne kṛtatadupakṛtiryatkṛte gautamena /	na-Adi-jaFGaH nijaDne kRta-tad-upakRtiH-yat-kRte gOtamena /
   putro 'yaṃ kaśyapasya pratidinamuragānatti tārkṣyo yadarthaṃ	putraH ayam kaSyapasya pratidinam-uragAn-atti tArkzyaH yad-arTam
   prāṇāṃstāneṣa sādhustṛṇamiva kṛpayā yaḥ parārtha dadāti // Nā_4.15 //	prANAn=-tAn-eza sADuH-tRNam-iva kRpayA yaH para-arTa dadAti // NA_4.15 //
   jāyante ca mriyante ca mādṛśāḥ kṣudrajantavaḥ /	jAyante ca mriyante ca mAdRSAH kzudra-jantavaH /
   parārthebaddhakakṣāṇāṃ tvādṛśāmudbhavaḥ kutaḥ? // Nā_4.16 //	para-arTebadDa-kakzANAm tvAdRSAm-udBavaH kutas-? // NA_4.16 //
   mriyate mriyamāṇe yā tvayi jīvati jīvati /	mriyate mriyamANe yA tvayi jIvati jIvati /
   tāṃ yadīcchasi jīvantīṃ rakṣātmānaṃ mamāsubhiḥ // Nā_4.17 //	tAm yadi-icCasi jIvantIm rakzA-AtmAnam mama-asuBiH // NA_4.17 //
   cañcaccañcūddhṛtārddha cyutapiśitalavagrāsasaṃvṛddhagarddhai-	caQcat-caQcu-udDRta-ardDa cyuta-piSita-lava-grAsa-saMvRdDa-gardDE-
   rgṛddhairārabdhapakṣadvitayavidhutibhirbaddhasāndrāndhakāre /	rgRdDEH-ArabDa-pakza-dvitaya-viDutiBiH-badDa-sAndra-anDakAre /
   vaktroddhāntāḥ patantyaśchamiti śikhiśikhāśreṇayosmin śivānā-	vaktra-udDAntAH patanti-aSCam-iti SiKi-SiKA-SreNayosmin SivAnA-
   masrasrotasmajasrasru tabahalavasāvāsavisre svananti // Nā_4.18 //	masra-srotasmajasrasru tabahala-vasA-vAsa-visre svananti // NA_4.18 //
   pratidinamaśūnyamahikāhāreṇa vināyakāhitaprīti /	pratidinam-aSUnya-mahika-AhAreNa vinAyaka-ahita-prIti /
   śaśidhavalāsthikapālaṃ vapuriva raudraṃ śmaśānamidam // Nā_4.19 //	SaSi-Davala-asTi-kapAlam vapuH-iva rOdram SmaSAnam-idam // NA_4.19 //
   samutpasyāmahe mātaryasyāṃ yasyāṃ gatau vayam /	samutpasyAmahe mAtari-asyAm yasyAm gatO vayam /
   tasyāṃ tasyāṃ priyasute ! mātā bhūyāstvameva naḥ // Nā_4.20 //	tasyAm tasyAm priya-sute ! mAtA BUyAH-tvam-eva naH // NA_4.20 //
   vāsoyugamidaṃ raktaṃ prāpte āle samāgatam /	vAsaH-yugam-idam raktam prApte Ale samAgatam /
   mahatīṃ prītimādhatte parārthe dehamujjhataḥ // Nā_4.21 //	mahatIm prItim-ADatte para-arTe deham-ujJataH // NA_4.21 //
   tulyāḥ saṃvarttakābhraīḥ pidadhati gaganaṃ paṅktayaḥ pakṣatīnāṃ	tulyAH saMvarttaka-ABraIH pidaDati gaganam paFktayaH pakzatInAm
   tīre vegānilo 'mbhaḥ kṣipati bhuva iva lāvanāyāmburāśeḥ /	tIre vega-anilaH amBaH kzipati BuvaH iva lAvanAya-ambu-rASeH /
   kurvan kalpāntaśaṅkāṃ sapadi ca sabhayaṃ vīkṣito digdvipendrai-	kurvan kalpa-anta-SaFkAm sapadi ca sa-Bayam vIkzitaH diS-dvipa-indrE-
   rdehodyoto daśāśāḥ kapiśayati muhurdvādaśādityadīptiḥ // Nā_4.22 //	rdeha-udyotaH daSa-ASAH kapiSayati muhur-dvAdaSa-Aditya-dIptiH // NA_4.22 //
   na tathā sukhayati manye malayavatī malayacandanarasārdrā /	na taTA suKayati manye malayavatI malaya-candana-rasa-ArdrAH /
   abhivāñchitārthasiddhatyai vadhyaśileyaṃ yathāśliṣṭā // Nā_4.23 //	aBivAQCita-arTa-sidDatyE vaDya-SilA-iyam yaTASlizwAH // NA_4.23 //
   śayitena māturaṅke visrabdhaṃ śaiśave na tat prāptam /	Sayitena mAtuH-aFke visrabDam SESave na tat prAptam /
   labdhaṃ sukhaṃ mayāsyā vadhyaśilāyā yadutsaṅge // Nā_4.24 //	labDam suKam mayA-asyAH vaDya-SilAyAH yad-utsaFge // NA_4.24 //
   kṣiptvā bimbaṃ himaṃśorbhayakṛtavalayāṃ saṃmarañcheṣamūrtti	kziptvA bimbam himaMSoH-Baya-kRta-valayAm saMmaran-Seza-mUrtti
   sānandaṃ syandanāśvatrasanavicalite pūṣṇi dṛṣṭo 'grajena /	sa-Anandam syandana-aSva-trasana-vicalite pUzNi dRzwaH agrajena /
   eṣa prāntāvasajjajjaladharapaṭalaiarāyatībhūtapakṣaḥ	eza prAnta-avasat-jat-jalaDara-pawala-eara-AyatIBUta-pakzaH
   prāpto velāmahīdhraṃ malayamahigrāsagṛdhnuḥ kṣaṇena // Nā_4.25 //	prAptaH velAm-ahIDram malaya-mahi-grAsa-gRDnuH kzaNena // NA_4.25 //
   saṃrakṣatā pannagamadya puṇyaṃ mayārjitaṃ yatsvaśarīradānāt /	saMrakzatA pannagam-adya puNyam mayA-arjitam yat-sva-SarIra-dAnAt /
   bhave bhave tena mamaivamevaṃ bhūyāt parārthaḥ khalu dehalābhaḥ // Nā_4.26	Bave Bave tena mama-evam-evam BUyAt para-arTaH Kalu deha-lABaH // NA_4.26
   asminvadhyaśilātale nipatitaṃ śeṣānahīn rakṣituṃ	asmin-vaDya-SilA-tale nipatitam SezAn-ahIn rakzitum
   nirbhidyāśanidaṇḍacaṇḍatarayā cañcvādhunā vakṣasi /	nirBidya-aSani-daNxa-caNxatarayA caQcvA-aDunA vakzasi /
   bhoktuṃ bhoginamuddharāmi tarasā raktāmbaraprāvṛtaṃ	Boktum Boginam-udDarAmi tarasA rakta-ambara-prAvRtam
   digdhaṃ madbhayadīryyamāṇahṛdayaprasyandinevāsṛjā // Nā_4.27 //	digDam mad-Baya-dIryyamANa-hRdaya-prasyandinA-iva-asRjA // NA_4.27 //
   āmodānanditālirnipatati kimiyaṃ puspavṛṣṭirnabhastaḥ?	Ama-uda-Anandita-AliH-nipatati kim-iyam puspa-vRzwiH-naBastaH?
   svarge kiṃ vaiṣa cakraṃ mukharayati diśāṃ dundubhīnāṃ ninādaḥ?	svarge kim vA-eza cakram muKarayati diSAm dunduBInAm ninAdaH?
   āṃ jñātaṃ ! so 'pi manye mama javamarutā kampitaḥ pārijātaḥ	Am jQAtam ! saH api manye mama java-marutA kampitaH pArijAtaH
   sarvaiḥ saṃvarttakābhrairidamapi rasitaṃ jātasaṃhāraśaṅkaiḥ // Nā_4.28 //	sarvEH saMvarttaka-aBrEH-idam-api rasitam jAta-saMhAra-SaFkEH // NA_4.28 //
   nāgānāṃ rakṣitā bhāti gurureṣa yathā mama /	nAgAnAm rakzitA BAti guruH-eza yaTA mama /
   tathā sarpāśinākāṅkṣāṃ vyaktamadyāpaneṣyati // Nā_4.29 //	taTA sarpa-ASinA-kAFkzAm vyaktam-adya-apanezyati // NA_4.29 //
   iti caturtho 'ṅkaḥ /	iti caturTaH aFkaH /
   pañcamo 'ṅkaḥ	paQcamaH aFkaH
   pratīhāraḥ-	pratIhAraH-
   svagṛhodyānagate 'pi snigdhe pāpaṃ viśaṅkyate snehāt /	sva-gRha-udyAna-gate api snigDe pApam viSaFkyate snehAt /
   kimu dṛṣtavahvapāyapratibhayakāntāramadhyasthe? // Nā_5.1 //	kimu dRzta-vahu-apAya-pratiBaya-kAntAra-maDya-sTe? // NA_5.1 //
   kṣaume bhaṅgavatīi taraṅgitadaśe phenāmbutulye vahan	kzOme BaFgavatIi taraFgita-daSe Pena-ambu-tulye vahan
   jāhnavyeva virājitaḥ savayasā devyā mahāpuṇyayā /	jAhnavI-A-iva virAjitaH savayasA devyA mahA-puNyayA /
   dhatte toyanidherayaṃ susadṛśīṃ jīmūtaketuḥ śriyaṃ	Datte toya-niDeH-ayam su-sadRSIm jImUtaketuH Sriyam
   yasyaiṣāntikavarttinī malayavatyābhāti velā yathā // Nā_5.2 //	yasya-ezA-antika-varttinI malayavatI-ABAti velA yaTA // NA_5.2 //
   bhuktāni yauvanasukhāni yaśo 'vakīrṇaṃ	BuktAni yOvana-suKAni yaSaH avakIrNam
   rājye sthitaṃ sthiradhiyā caritaṃ tapo 'pi /	rAjye sTitam sTira-DiyA caritam tapaH api /
   ślādhyaḥ sutaḥ susadṛśānvayajā snuṣeyaṃ	SlADyaH sutaH su-sadRSa-anvaya-jA snuzA-iyam
   cintyo māya nanu kṛtārthatayādya mṛtyuḥ // Nā_5.3 //	cintyaH mAya nanu kRtArTa-tayA-adya mRtyuH // NA_5.3 //
   sphurasi kimu dakṣiṇetara ! muhurmuhuḥ sūcayanmamāniṣṭam /	sPurasi kimu dakziNA-itara ! muhur-muhur sUcayat-mama-anizwam /
   hatacakṣurapahataṃ te sphuritaṃ mama putrakaḥ kuśalī // Nā_5.4 //	hata-cakzuH-apahatam te sPuritam mama putrakaH kuSalI // NA_5.4 //
   ālokyakyamānamatilocanaduḥkhadāyiraktacchaṭānijamarīciruco vimuñcat /	AlokyakyamAnam-ati-locana-duHKa-dAyi-rakta=-CawA-nija-marIci-rucaH vimuQcat /
   utpātavātatalīkṛtatārakābhametatpuraḥ patati kiṃ sahasā nabhastaḥ? //	utpAta-vAta-talIkRta-tAraka-ABam-etat-puras patati kim sahasA naBastaH? //
   Nā_5.5 //	NA_5.5 //
   tārkṣyeṇa bhakṣyamāṇānāṃ pannagānāmanekaśaḥ /	tArkzyeNa BakzyamANAnAm pannagAnAm-anekaSas /
   ulkārūpāḥ patantyete śiromaṇaya īdṛśāḥ // Nā_5.6 //	ulkA-rUpAH patanti-ete SiromaNayaH IdRSAH // NA_5.6 //
   gokarṇamarṇavataṭe tvaritaṃ praṇamya prāpto 'smi tāṃ khalu	gokarNam-arNava-tawe tvaritam praNamya prAptaH asmi tAm Kalu
   bhujaṅgamavadhyabhūmim /	BujaFgam-avaDya-BUmim /
   āḍhāya taṃ nakhamukhakṣatasañca vidyādharaṃ gaganamutpatito garutmān ! //	AXAya tam naKa-muKa-kzata-saQca vidyADaram gaganam-utpatitaH garutmAn ! //
   Nā_5.7 //	NA_5.7 //
   nāhitrāṇatkīrtirekā mayāptā nāpi ślāghyā svāmino 'nuṣṭhitājñā /	na-ahi-trANat-kIrtiH-ekA mayA-AptA na-api SlAGyA svAminaH anuzWita-AjQA /
   dattvātmānaṃ rakṣito 'nyena śocyo hā dhik ! kaṣṭaṃ ! vañcito vañcito 'smi	dattvA-AtmAnam rakzitaH anyena SocyaH hA Dik ! kazwam ! vaQcitaH vaQcitaH asmi
   // Nā_5.8 //	// NA_5.8 //
   ādāvutpīḍapṛthvīṃ praviralapatitāṃ sthūlabinduṃ tato 'gre	AdO=-utpIxa-pRTvIm pravirala-patitAm sTUlabindum tatas agre
   grāvasvāpātaśīrṇaprasṛtatanukaṇāṃ kīṭakīrṇā sthalīṣu /	grAvasu-ApAta-SIrNa-prasRta-tanu-kaNAm kIwa-kIrNA sTalIzu /
   durlakṣyāṃ dhātubhittau ghatanaruśikhare styānanīlasvarūpā-	durlakzyAm DAtu-BittO Gata-naru-SiKare styAna-nIla-svarUpA-
   menāṃ tākṣya didṛkṣurnipuṇamanusaran raktadhārāṃ vrajāmi // Nā_5.9 //	menAm tAkzya didRkzuH-nipuNam-anusaran rakta-DArAm vrajAmi // NA_5.9 //
   āvedaya mamātmīyaṃ putra ! dukhaṃ suduḥsaham	Avedaya mama-AtmIyam putra ! duKam su-duHsaham
   mayi saṅkrāntametatte yena sahyaṃ bhaviṣyati // Nā_5.10 //	mayi saFkrAntam-etat-te yena sahyam Bavizyati // NA_5.10 //
   vidyādhareṇa kenāpi karuṇāviṣṭacetasā /	vidyADareNa kena-api karuNA-Avizwa-cetasA /
   mama saṃrakṣitāḥ prāṇā dattvātmānaṃ garutmatte // Nā_5.11 //	mama saMrakzitAH prANAH dattvA-AtmAnam garutmatte // NA_5.11 //
   cūḍāmaṇiṃ caraṇayormama pātayatā tvayā /	cUxAmaNim caraNayoH-mama pAtayatA tvayA /
   lokāntaragatenāpi nojjhito vinayakramaḥ ! // Nā_5.12 //	loka-antara-gatena-api na-ujJitaH vinaya-kramaH ! // NA_5.12 //
   bhaktyā sudūramavanāmitanamramauleḥ śaśvattava praṇamataścaraṇau madīyau /	BaktyA su-dUram-avanAmita-namra-mOleH SaSvat-tava praNamataH-caraNO madIyO /
   cūḍāmaṇirnikaṣaṇaurmasṛṇo 'pyahiṃstraḥ gāḍhaṃ vidārayati me hṛdayaṃ kathaṃ	cUxAmaNiH-nikazaNOH-masRNaH api-ahiMstraH gAXam vidArayati me hRdayam kaTam
   nu? // Nā_5.13 //	nu? // NA_5.13 //
   kurvāṇo rudhirārdracañcukaṣaṇairdroṇīrivādrestaṭīḥ	kurvANaH ruDira-Ardra-caQcu-kazaNEH-droNIH-iva-adreH-tawIH
   pluṣṭopāntavatāntaraḥ svanayanajyotiḥśikhāśreṇibhiḥ /	pluzwa-upAntavata-antaraH sva-nayana-jyotiH-SiKA-SreNiBiH /
   sajjadvajrakaṭhoghoranakharaprāntāvagāḍhāvaniḥ	sajjat-vajra-kaWaH-Gora-naKara-prAnta-avagAXa-avaniH
   śrṛṅgāgre malayasya pannagaripurdūrādayaṃ dṛśyate // Nā_5.14 //	SrRFga-agre malayasya pannaga-ripuH-dUra-At-ayam dRSyate // NA_5.14 //
   glānirnādhikapīyamānarudhirasyāpyasti dhairyyodadhe-	glAniH-na-aDikapIyamAna-ruDirasya-api-asti DEryya-udaDe-
   rmāsotkarttanajā rūjo 'pi vahataḥ prasannaṃ mukham /	rmAsa-utkarttana-jAH rUjaH api vahataH prasannam muKam /
   gātraṃ yanna viluptameṣa pulakastatra sphuṭo lakṣyate	gAtram yat-na viluptam-eza pulakaH-tatra sPuwaH lakzyate
   dṛṣṭirmayyupakāriṇīva nipatatyasyāpakāriṇyapi // Nā_5.15 //	dRzwiH-mayI-upakAriNI-iva nipatati-asya-apakAriNI-api // NA_5.15 //
   śirāmukhaiḥ syandata eva raktamadyāpi dehe mama māṃsabhasti /	SirA-muKEH syandate eva raktam-adya-api dehe mama mAMsa-Basti /
   tṛptiṃ na paśyāmi tavāpi tāvat kiṃ bhakṣaṇāttvaṃ virato garutman! //	tRptim na paSyAmi tava-api tAvat kim BakzaNAt-tvam virataH garutman! //
   Nā_5.16 //	NA_5.16 //
   āvarjitaṃ mayā cañcvā hṛdayāt tava śoṇitam /	Avarjitam mayA caQcvA hRdayAt tava SoNitam /
   anena dhairyyeṇa punastvayā hṛdayameva naḥ // Nā_5.17 //	anena DEryyeNa punar-tvayA hRdayam-eva naH // NA_5.17 //
   āstāṃ svastikalakṣma vakṣasi tanau nālokyate kañcukaḥ	AstAm svastika-lakzma vakzasi tanO na-Alokyate kaQcukaH
   jihve jalpata eva me na gaṇite nāma tvayā dve api !	jihve jalpate eva me na gaNite nAma tvayA dve api !
   tistrastīvraviṣāgnidhūmapaṭalavyājihyaratnatviṣo	tistraH-tIvra-viza-agni-DUma-pawala-vyAjihya-ratna-tvizaH-
   naitā duḥsahaśokaśūtkṛtamarutsphītāḥ phaṇāḥ paśyasi ! // Nā_5.18 //	na-etAH duHsaha-Soka-SUtkRta-marut-sPItAH PaNAH paSyasi ! // NA_5.18 //
   merau mandarakandarāsu himavatsānau mahendrācale /	merO mandara-kandarAsu himavatsAnO mahA-indra-acale /
   kailāsasya śilātaleṣu malayaprāgbhāradeśeṣvapi /	kElAsasya SilA-talezu malaya-prAgBAra-deSezu-api /
   uddeśeṣvapi teṣu teṣu bahuśo yasya śrutaṃ tanmayā /	uddeSezu-api tezu tezu bahuSas yasya Srutam tat-mayA /
   lokālokavicāraṇagaṇairudugīyamānaṃ yaśaḥ // Nā_5.19 //	lokAloka-vicAraNa-gaNEH-udugIyamAnam yaSaH // NA_5.19 //
   svaśarīreṇa śarīraṃ tārkṣyāt parirakṣatā madīyamidam /	sva-SarIreNa SarIram tArkzyAt parirakzatA madIyam-idam /
   yuktaṃ netuṃ bhavatā pātālatalādapi talaṃ mām? // Nā_5.20 //	yuktam netum BavatA pAtAla-talAt-api talam mAm? // NA_5.20 //
   ātmīyaḥ para ityayaṃ khalu kutaḥ satyaṃ kṛpāyāḥ kramaḥ?	AtmIyaH paraH iti-ayam Kalu kutas satyam kRpAyAH kramaH?
   kiṃ rakṣāmi bahūn kimekamiti te jātā na cintā katham?	kim rakzAmi bahUn kim-ekam-iti te jAtA na cintA kaTam?
   tārkṣyāttrātumahiṃ svajīvitaparityāgaṃ tvayā kurvatā	tArkzyAt-trAtu-m-ahim sva-jIvita-parityAgam tvayA kurvatA
   yenātmā pitarau vadhūriti hataṃ niḥśeṣametatkulam // Nā_5.21 //	yena-AtmA pitarO vaDUH-iti hatam niHSezam-etat-kulam // NA_5.21 //
   jvālābhaṅgaistrikagrasanarasacalatkālajihvāgrakalpaiḥ	jvAlA-BaFgEH-trika-grasana-rasa-calat-kAla-jihvA-agra-kalpEH
   sarpadbhiḥ sapta sarpiṣkaṇamiva kavalīkarttumīśe samudrān /	sarpadBiH sapta sarpizkaNam-iva kavalIkarttum-ISe samudrAn /
   svairevotpātavātaprasarapaṭutarairdhukṣite pakṣavātai-	svEH-eva-utpAta-vAta-prasara-pawutarEH-Dukzite pakza-vAtE-
   rasmin kalpāvasānajvalanabhayakare vāḍavāgnau patāmi // Nā_5.22 //	rasmin kalpa-avasAna-jvalana-Baya-kare vAxava-agnO patAmi // NA_5.22 //
   viluptaśeṣāṅgatayā prayātān nirāśrayatvādiva kaṇṭhadeśam /	vilupta-Seza-aFga-tayA prayAtAt nirASraya-tvAt-iva kaNWa-deSam /
   prāṇāṃstyajantaṃ tanayaṃ nirīkṣya kathaṃ na pāpaḥ śatadhā vrajāmi //	prANAn=-tyajantam tanayam nirIkzya kaTam na pApaH SataDA vrajAmi //
   Nā_5.23 //	NA_5.23 //
   medosthimāṃsamajjāsṛksaṅghāte 'smiṃstvacāvṛte /	medA-usTimAMsa-majjA-asRj-saFGAte asmin=-tvacA-AvRte /
   śarīranāmni kā śobhā sadā bībhatsadarśane? // Nā_5.24 //	SarIra-nAmni kA SoBA sadA bIBatsa-darSane? // NA_5.24 //
   nityaṃ prāṇābhighātāt prativirama kuru prākkṛtasyānutāpaṃ	nityam prANa-aBiGAtAt prativirama kuru prAk-kRtasya-anutApam
   yatnāt puṇyapravāhaṃ samupacinu diśann sarvasattveṣvabhītim /	yatnAt puNya-pravAham samupacinu diSan sarva-sattvezu-aBItim /
   magnaṃ yenātra nainaḥ phalati pariṇataṃ prāṇihiṃsāsamutthaṃ	magnam yena-atra na-enaH Palati pariNatam prANi-hiMsA-samutTam
   durgādhe vāripūre lavaṇapalamiva kṣiptamantarhradasya // Nā_5.25 //	durgADe vAri-pUre lavaNa-palam-iva kziptam-antarhradasya // NA_5.25 //
   ajñānanidrāśayito bhavatā pratibodhitaḥ /	ajQAna-nidrA-SayitaH BavatA pratiboDitaH /
   sarvaprāṇivadhādeṣa virato 'dya prabhṛtyaham // Nā_5.26 //	sarva-prANi-vaDAt-eza virataH adya praBRti-aham // NA_5.26 //
   kvacidūdvīpākāraḥ pulinavipulairbhoganivahaiḥ	kvacid-UdvIpa-AkAraH pulina-vipulEH-Boga-nivahEH
   kṛtāvarttabhrāntirvalayitaśarīraḥ kvacidapi /	kRta-Avartta-BrAntiH-valayita-SarIraH kvacid-api /
   vrajan kūlāt kūlaṃ kvacidapi ca setupratisamaḥ	vrajan kUlAt kUlam kvacid-api ca setu-pratisamaH
   samājo nāgānāṃ viharatu mahodanvati sukham // Nā_5.27 //	samAjaH nAgAnAm viharatu mahA-udanvati suKam // NA_5.27 //
   srastānāpādalambān ghanatimiranibhān keśapāśān vahantyaḥ	srastAn-ApAda-lambAn Gana-timira-niBAn keSa-pASAn vahantyaH
   sindūreṇeva digdhaiḥ prathamaravikarasparśatāmraiḥ kapolaiḥ /	sindUreNa-iva digDEH praTama-ravi-kara-sparSa-tAmrEH kapolEH /
   āyāsenālasāṅgayo 'pyavagaṇitarujaḥ kānane candanānā-	AyAsena-alasa-aFgayaH api-avagaNita-rujaH kAnane candanAnA-
   masmin gāyantu rāgāduragayuvatayaḥ kīrtimetāṃ tavaiva // Nā_5.28 //	masmin gAyantu rAgAt-uraga-yuvatayaH kIrtim-etAm tava-eva // NA_5.28 //
   utprekṣamāṇā tvāṃ tārkṣyacañcukoṭivipāṭitam /	utprekzamANA tvAm tArkzya-caQcu-kowi-vipAwitam /
   tvadūduḥkhaduḥkhitā nūnamāste sā jananī tava // Nā_5.29 //	tvad-U-duHKa-duHKitAH nUnam-Aste sA jananI tava // NA_5.29 //
   gātrāṇyamūni na vahanti sacetanatvaṃ śrātraṃ sphuṭākṣarapadāṃ na diraṃ	gAtrANi-amUni na vahanti sa-cetana-tvam SrAtram sPuwa-akzara-padAm na diram
   śrṛṇoti /	SrRNoti /
   kaṣṭaṃ nimītilamidaṃ sahasaiva cakṣurhā tāta ! yānti vivaśasya mamāsavo	kazwam nimItilam-idam sahasA-eva cakzuH-hA tAta ! yAnti vivaSasya mama-AsavaH-
   'mī // Nā_5.30 //	amI // NA_5.30 //
   nirādhāraṃ dhairyya kamiva śaraṇaṃ yātu vinayaḥ?	nirADAram DEryya kam-iva SaraNam yAtu vinayaH?
   kṣamaḥ kṣāntiṃ voḍhuṃ ka iha viratā dānaparatā /	kzamaH kzAntim voXum kaH iha viratA dAna-para-tA /
   hataṃ satyaṃ satyaṃ vrajatu kṛpaṇā kvādya karuṇā?	hatam satyam satyam vrajatu kRpaNA kva-adya karuNA?
   jagajjātaṃ śūnyaṃ tvayi tanaya lokāntaragate // Nā_5.31 //	jagat-jAtam SUnyam tvayi tanaya loka-antara-gate // NA_5.31 //
   pakṣotkṣiptāmbunāthaḥ paṭutarajavanaiḥ preryyamāṇaiḥ samīraiḥ	pakza-utkzipta-ambu-nATaH pawutara-javanEH preryyamANEH samIrEH
   netrāgniploṣamūrcchāvidhuravinipatatsānaladvādaśārkaḥ /	netra-agni-ploza-mUrcCA-viDura-vinipatat-sA-anala-dvAdaSa-arkaH /
