   akatvam upapannayoḥ__Vdha_100.048	aka tvam upapannayoH__VDaH _100.048
   kārayan puruṣavyāghra__Vdha_097.007	kArayan puruza vyAGra__VDaH _097.007
   kārayan bhagavaddhāma__Vdha_080.019	kArayan Bagavat DAma__VDaH _080.019
   kārayitvā phalaṃ labhet__Vdha_075.002	kArayitvA Palam laBet __VDaH _075.002
   kārayitvā harer gṛham__Vdha_080.004	kArayitvA hareH gRham__VDaH _080.004
   kārayen mṛnmayaṃ vāpi__Vdha_080.017	kArayet mRd mayam vA api__VDaH _080.017
   kāriṇīṃ paramāṃ gatim__Vdha_079.026	kAriNIm paramAm gatim__VDaH _079.026
   kāritaṃ tatkulodbhavam__Vdha_080.036	kAritam tad kula udBavam__VDaH _080.036
   kāritaṃ devikātaṭe__Vdha_032.021	kAritam devikA tawe__VDaH _032.021
   kāriyīta ca devasya__Vdha_005.014	kAriyIta ca devasya__VDaH _005.014
   kāruṇyastimitaṃ vacaḥ__Vdha_037.016	kAruNya stimitam vacaH__VDaH _037.016
   kāruṇyaṃ dāruṇasyāpi__Vdha_094.015	kAruNyam dAruNasya api__VDaH _094.015
   kārtavīryam asūyata__Vdha_030.054	kArtavIryam asUyata__VDaH _030.054
   kārtavīryas tathāptavān__Vdha_079.033	kArtavIryaH taTA AptavAn__VDaH _079.033
   kārtavīryasya mānavaḥ__Vdha_030.055	kArtavIryasya mAnavaH__VDaH _030.055
   kārtavīryādibhiś cānyaiś__Vdha_066.059	kArtavIrya AdiBiH ca anyEH __VDaH _066.059
   kārtavīryāsutaskara__Vdha_090.030	kArtavIryA sutaskara__VDaH _090.030
   kārtavīryo babhūva saḥ__Vdha_030.044	kArtavIryaH baBUva saH__VDaH _030.044
   kārttikaṃ tu naro māsaṃ__Vdha_056.017	kArttikam tu naraH mAsam__VDaH _056.017
   kārttikaṃ māsam ātmavān__Vdha_083.013	kArttikam mAsam AtmavAn__VDaH _083.013
   kārttikādi yathānyāyaṃ__Vdha_004.047	kArttika Adi yaTAnyAyam__VDaH _004.047
   kārttikādiṣu māseṣu__Vdha_005.010	kArttika Adizu mAsezu__VDaH _005.010
   kārttikādiṣu māseṣu__Vdha_019.013	kArttika Adizu mAsezu__VDaH _019.013
   kārttikādiṣu māseṣu__Vdha_024.014	kArttika Adizu mAsezu__VDaH _024.014
   kārttikādiṣu māseṣu__Vdha_089.043	kArttika Adizu mAsezu__VDaH _089.043
   kārttikānteṣu pāraṇam__Vdha_016.019	kArtti kAntezu pAraNam__VDaH _016.019
   kārttikānteṣu māseṣu__Vdha_030.030	kArtti kAntezu mAsezu__VDaH _030.030
   kārttike kṛttikāsu ca__Vdha_030.032	kArttike kRttikAsu ca__VDaH _030.032
   kārttike caikadā bhuṅkte__Vdha_006.015	kArttike ca ekadA BuFkte__VDaH _006.015
   kārttike tu viśeṣeṇa__Vdha_032.002	kArttike tu viSezeNa__VDaH _032.002
   kārttike dīpako brahman__Vdha_032.023	kArttike dIpakaH brahman__VDaH _032.023
   kārttike devadeveśaṃ__Vdha_005.026	kArttike devadeveSam__VDaH _005.026
   kārttike mārgaśīrṣe ca__Vdha_089.041	kArttike mArgaSIrze ca__VDaH _089.041
   kārttike māsi śobhanāḥ__Vdha_032.028	kArttike mAsi SoBanAH__VDaH _032.028
   kārttike māsi sattama__Vdha_032.034	kArttike mAsi sattama__VDaH _032.034
   kārttike munipuṅgava__Vdha_026.007	kArttike muni puFgava__VDaH _026.007
   kāryaś caraṇavinyāsaḥ__Vdha_099.026	kAryaH caraNa vinyAsaH__VDaH _099.026
   kāryas tu viṣṇur bhagavān__Vdha_099.019	kAryaH tu vizNuH BagavAn__VDaH _099.019
   kāryaṃ kiyan mama vimūḍhadhiyo 'dhamasya__Vdha_094.105	kAryam kiyan mama vimUXa DiyaH aDamasya__VDaH _094.105
   kāryaṃ kriyākāraṇam aprameyaṃ__Vdha_067.046	kAryam kriyA kAraNam aprameyam__VDaH _067.046
   kāryaṃ ca tyājyaṃ nityam āyāsakāri__Vdha_038.075	kAryam ca tyAjyam nityam AyAsa kAri__VDaH _038.075
   kāryaṃ ca niṣkāraṇa kartṛrūpa__Vdha_035.027	kAryam ca nizkAraNa kartR rUpa__VDaH _035.027
   kāryaṃ vartmani mūḍhānāṃ__Vdha_094.049	kAryam vartmani mUXAnAm__VDaH _094.049
   kāryaḥ saṃsārabhīruṇā__Vdha_097.004	kAryaH saMsAra BIruNA__VDaH _097.004
   kāryārambheṣu sarveṣu__Vdha_039.001	kArya AramBezu sarvezu__VDaH _039.001
   kāryā vasuṃdharā devī__Vdha_099.026	kAryA vasuMDarA devI__VDaH _099.026
   kāryeṇātidṛḍhātmanaḥ__Vdha_082.059	kAryeNa ati dRXa AtmanaH__VDaH _082.059
   kāryeṇaivānumīyate__Vdha_094.065	kAryeNa eva anumIyate__VDaH _094.065
   kārṣṇaṃ māsacatuṣṭayam__Vdha_004.051	kArzNam mAsa catuzwayam__VDaH _004.051
   kālam ātmānam eva ca__Vdha_032.057	kAlam AtmAnam eva ca__VDaH _032.057
   kālasūtra iti khyāto__Vdha_023.008	kAlasUtraH iti KyAtaH __VDaH _023.008
   kālasūtreṇa cchidyante__Vdha_023.007	kAlasUtreNa cCidyante__VDaH _023.007
   kālasūtre mahāyantre__Vdha_094.067	kAlasUtre mahA yantre__VDaH _094.067
   kālasyāsya ca tasya ca__Vdha_038.036	kAlasya asya ca tasya ca__VDaH _038.036
   kālaḥ saṃvatsaraḥ smṛtaḥ__Vdha_104.013	kAlaH saMvatsaraH smRtaH__VDaH _104.013
   kālāgnim iva yac cakraṃ__Vdha_078.050	kAlAgnim iva yat cakram__VDaH _078.050
   kālāgnir iti yaḥ śrutaḥ__Vdha_066.084	kAlAgniH iti yaH SrutaH__VDaH _066.084
   kālāṅgulisthena sadā__Vdha_023.007	kAla aFguli sTena sadA__VDaH _023.007
   kāle dikṣv atha sarvātmā__Vdha_103.049	kAle dikzu aTa sarva AtmA__VDaH _103.049
   kālena gacchatā so 'tha__Vdha_037.011	kAlena gacCatA saH aTa__VDaH _037.011
   kāleyakaṃ tuṅgakaṃ ca__Vdha_081.034	kAleyakam tuFgakam ca__VDaH _081.034
   kāle ṣaṭpakṣasaṃjñite__Vdha_090.050	kAle zaz pakza saMjQite__VDaH _090.050
   kālo dharmaḥ kriyā phalam__Vdha_068.019	kAlaH DarmaH kriyA Palam__VDaH _068.019
   kālo bhavān kālakarālakarmā__Vdha_035.022	kAlaH BavAn kAla karAla karmA__VDaH _035.022
   kālo 'smi lokanāśāya__Vdha_035.017	kAlaH asmi loka nASAya__VDaH _035.017
   kālo 'ham asmīty udite tvayā tu__Vdha_035.026	kAlaH aham asmi iti udite tvayA tu__VDaH _035.026
   kāvyaṃ nītiviśāradam__Vdha_072.033	kAvyam nIti viSAradam__VDaH _072.033
   kāvyālāpavivarjanam__Vdha_097.022	kAvya AlApa vivarjanam__VDaH _097.022
   kāvyo vedavidāṃ varaḥ__Vdha_077.003	kAvyaH veda vidAm varaH__VDaH _077.003
   kāśījale mahāyogaṃ__Vdha_036.*(40)	kASI jale mahA yogam__VDaH _036.*(40)
   kāśmīre cakrapāṇinam__Vdha_036.013	kASmIre cakrapANinam__VDaH _036.013
   kāśyapāyātihrasvāya__Vdha_028.027	kASyapAya ati hrasvAya__VDaH _028.027
   kāśyapeyās tathaiva ca__Vdha_044.010	kASyapeyAH taTA eva ca__VDaH _044.010
   kāṣṭhātriṃśat kalā jñeyā__Vdha_104.011	kAzWA triMSat kalA jQeyA__VDaH _104.011
   kāṣṭhā pārthiva vijñeyā__Vdha_104.011	kAzWA pArTiva vijQeyA__VDaH _104.011
   kā sā rakṣā na tāṃ vedmi__Vdha_070.009	kA sA rakzA na tAm vedmi__VDaH _070.009
   kāsāraṃ cātra naivedyam__Vdha_019.014	kAsAram ca atra nEvedyam__VDaH _019.014
   kāsāraṃ māghapūrveṣu__Vdha_089.043	kAsAram mAGa pUrvezu__VDaH _089.043
   kāh karṇabhīṣmapramukhān vijetuṃ__Vdha_035.033	kAh karNa BIzma pramuKAn vijetum__VDaH _035.033
   kāṃdigbhūto 'lpacetanaḥ__Vdha_094.013	kAMdiS BUtaH alpa cetanaH__VDaH _094.013
   kāṃsyopadohanāṃ dadyāt__Vdha_086.008	kAMsya upadohanAm dadyAt __VDaH _086.008
   kāṃsyopadohāṃ kanakāgraśṛṅgīm__Vdha_046.011	kAMsya upadohAm kanaka agra SRFgIm__VDaH _046.011
   kāṃsyopadohāṃ kanakāgraśṛṅgīm__Vdha_059.005	kAMsya upadohAm kanaka agra SRFgIm__VDaH _059.005
   kāṃsyopadohāṃ kanakottarīyām__Vdha_059.028	kAMsya upadohAm kanaka uttarIyAm__VDaH _059.028
   kāṃsyopadhānasaṃyuktaṃ__Vdha_087.004	kAMsya upaDAna saMyuktam__VDaH _087.004
   kāḥ kāḥ saṃbhūtayas tava__Vdha_066.039	kAH kAH saMBUtayaH tava__VDaH _066.039
   kintv ahaṃ sakalāṃl lokān__Vdha_075.043	kintu aham sakalAn lokAn__VDaH _075.043
   kim ataḥ param ucyate__Vdha_068.035	kim atas param ucyate__VDaH _068.035
   kim adya sukṛtaṃ mayā__Vdha_053.015	kim adya sukRtam mayA__VDaH _053.015
   kim anyac chrotum icchasi__Vdha_064.001	kim anyat Srotum icCasi__VDaH _064.001
   kim anyad yogalakṣaṇam__Vdha_099.008	kim anyat yoga lakzaNam__VDaH _099.008
   kim anyair bahubhāṣitaiḥ__Vdha_105.073	kim anyEH bahu BAzitEH__VDaH _105.073
   kim apy ante bhaviṣyati__Vdha_032.043	kim api ante Bavizyati__VDaH _032.043
   kim apy astīti caivānyair__Vdha_040.058	kim api asti iti ca eva anyEH __VDaH _040.058
   kim apy ekāgramānasam__Vdha_074.*(117)	kim api ekAgra mAnasam__VDaH _074.*(117)
   kimartham iha cāgataḥ__Vdha_064.*(84)	kimarTam iha ca AgataH__VDaH _064.*(84)
   kimarthaṃ tapyate bhadre__Vdha_089.023	kimarTam tapyate Badre__VDaH _089.023
   kimarthaṃ tvaṃ parityakto__Vdha_094.035	kimarTam tvam parityaktaH __VDaH _094.035
   kim ātmānaṃ na budhyate__Vdha_038.056,*(43)	kim AtmAnam na buDyate__VDaH _038.056,*(43)
   kim ārādhya janārdanam__Vdha_082.067	kim ArADya janArdanam__VDaH _082.067
   kimāhārāḥ kimācārā__Vdha_105.002	kimAhArAH kimAcArA__VDaH _105.002
   kim uktair bahuvistaraiḥ__Vdha_073.058	kim uktEH bahu vistarEH__VDaH _073.058
   kimutāhaṃ sadā sukhī__Vdha_077.028	kim uta aham sadA suKI__VDaH _077.028
   kimu prāpte kalau yuge__Vdha_001.046	kimu prApte kalO yuge__VDaH _001.046
   kimu yāmārdhasaṃsthitaḥ__Vdha_038.046	kimu yAma arDa saMsTitaH__VDaH _038.046
   kimu ye yogapāragāḥ__Vdha_003.036	kimu ye yoga pAragAH__VDaH _003.036
   kimu vyādhyādidoṣataḥ__Vdha_079.129	kimu vyADi Adi dozataH__VDaH _079.129
   kim etat kasya vā kutra__Vdha_078.029	kim etat kasya vA kutra__VDaH _078.029
   kim etan madhusūdana__Vdha_035.012	kim etat maDusUdana__VDaH _035.012
   kim eteneti caivānyaiḥ__Vdha_040.052	kim etena iti ca eva anyEH__VDaH _040.052
   kim ete sahasaivādya__Vdha_076.002	kim ete sahasA eva adya__VDaH _076.002
   kirīṭakaustubhadharaṃ__Vdha_079.114	kirIwa kOstuBa Daram__VDaH _079.114
   kirīṭasragdharaṃ spaṣṭaṃ__Vdha_002.033	kirIwa sraj Daram spazwam__VDaH _002.033
   kilbiṣaṃ nirdahāmy aham__Vdha_051.009	kilbizam nirdahAmi aham__VDaH _051.009
   kilbiṣaṃ saṃpraṇaśyati__Vdha_044.022	kilbizam saMpraNaSyati__VDaH _044.022
   kiṃ kaścid dayitas tava__Vdha_074.005	kim kaScid dayitaH tava__VDaH _074.005
   kiṃ kurma māyā tava mohanīyam__Vdha_035.048	kim kurma mAyA tava mohanIyam__VDaH _035.048
   kiṃ kurvan nāvasīdati__Vdha_071.001	kim kurvan na avasIdati__VDaH _071.001
   kiṃ kuśair daityasattama__Vdha_079.134	kim kuSEH dEtya sattama__VDaH _079.134
   kiṃ kṛtaṃ vada dharmajñe__Vdha_027.023	kim kRtam vada Darma jQe__VDaH _027.023
   kiṃ kṛtyam adhikṛtyaite__Vdha_044.002	kim kRtyam aDikRtya ete__VDaH _044.002
   kiṃ kṛtyā vairinirmitā__Vdha_076.003	kim kRtyA vEri nirmitA__VDaH _076.003
   kiṃ ca karma mayā kṛtam__Vdha_082.035	kim ca karma mayA kRtam__VDaH _082.035
   kiṃ ca no bahunoktena__Vdha_002.030	kim ca naH bahunA uktena__VDaH _002.030
   kiṃcit tad vaktum arhatha__Vdha_082.013	kiMcid tat vaktum arhaTa__VDaH _082.013
   kiṃcit puṇyam aharniśam__Vdha_022.018	kiMcid puNyam aharniSam__VDaH _022.018
   kiṃcit puṇyaṃ karoti yā__Vdha_022.008	kiMcid puNyam karoti yA__VDaH _022.008
   kiṃcit prahasiteva ca__Vdha_099.025	kiMcid prahasitA iva ca__VDaH _099.025
   kiṃcid aṅgaṃ prajāyate__Vdha_029.002	kiMcid aFgam prajAyate__VDaH _029.002
   kiṃcid anyan na vidyate__Vdha_098.034	kiMcid anyat na vidyate__VDaH _098.034
   kiṃcid asti parāyaṇam__Vdha_001.061	kiMcid asti parAyaNam__VDaH _001.061
   kiṃcid ity uktavān purā__Vdha_098.013	kiMcid iti uktavAn purA__VDaH _098.013
   kiṃcid uccāritaṃ mayā__Vdha_035.055	kiMcid uccAritam mayA__VDaH _035.055
   kiṃcid guhyaṃ mahātmanām__Vdha_043.015	kiMcid guhyam mahAtmanAm__VDaH _043.015
   kiṃcid bhūbhāgam āsādya__Vdha_094.019	kiMcid BU BAgam AsAdya__VDaH _094.019
   kiṃcid bhojyādi tena tām__Vdha_002.076	kiMcid Bojya Adi tena tAm__VDaH _002.076
   kiṃcid rūpaṃ samāsthāya__Vdha_028.049	kiMcid rUpam samAsTAya__VDaH _028.049
   kiṃcin nataśirā nṛpaḥ__Vdha_038.022	kiMcid nata SirAH nRpaH__VDaH _038.022
   kiṃ japaiḥ kiṃ bhuvā kṛtyaṃ__Vdha_079.134	kim japEH kim BuvA kRtyam__VDaH _079.134
   kiṃ japyaṃ kīdṛśaṃ rūpaṃ__Vdha_079.044	kim japyam kIdRSam rUpam__VDaH _079.044
   kiṃ tatra vada kartavyam__Vdha_016.010	kim tatra vada kartavyam__VDaH _016.010
   kiṃ tatra vada kartavyaṃ__Vdha_025.003	kim tatra vada kartavyam__VDaH _025.003
   kiṃ tad yogaphalaṃ tasya__Vdha_072.039	kim tat yoga Palam tasya__VDaH _072.039
   kiṃ tasya puṣkarajalair abhiṣecanena__Vdha_Maṅg2	kim tasya puzkara jalEH aBizecanena__VDaH _MaFg2
   kiṃ tīrthaiḥ kiṃ pradānair vā__Vdha_105.087	kim tIrTEH kim pradAnEH vA__VDaH _105.087
   kiṃtu kautukam atrāsti__Vdha_096.002	kiMtu kOtukam atra asti__VDaH _096.002
   kiṃtu tatkāraṇaṃ yena__Vdha_038.035	kiMtu tad kAraNam yena__VDaH _038.035
   kiṃtv atra bhavatā proktā__Vdha_098.002	kiMtu atra BavatA proktA__VDaH _098.002
   kiṃtv asyāḥ saṃgam āsādya__Vdha_070.009	kiMtu asyAH saMgam AsAdya__VDaH _070.009
   kiṃtv īśa māyā bhavato nijeyam__Vdha_094.086	kiMtu ISa mAyA BavataH nijeyam__VDaH _094.086
   kiṃ devakāryeṇa narādhipasya__Vdha_064.032	kim deva kAryeNa narADipasya__VDaH _064.032
   kiṃ na dattaṃ bhaved iha__Vdha_059.041	kim na dattam Bavet iha__VDaH _059.041
   kiṃ na dattaṃ bhaven nṛpa__Vdha_099.005	kim na dattam Bavet nRpa__VDaH _099.005
   kiṃ na prāptaṃ tato mayā__Vdha_077.030	kim na prAptam tatas mayA__VDaH _077.030
   kiṃnaroragayakṣāṇāṃ__Vdha_102.027	kiMnara uraga yakzANAm__VDaH _102.027
   kiṃnimittam ihāgatam__Vdha_078.029	kiMnimittam iha Agatam__VDaH _078.029
   kiṃpākasyaiva bhakṣaṇam__Vdha_002.058	kiMpAkasya eva BakzaNam__VDaH _002.058
   kiṃ putradārair vittair vā__Vdha_105.076	kim putra dArEH vittEH vA__VDaH _105.076
   kiṃ punar dīpadāyinām__Vdha_032.031	kim punar dIpa dAyinAm__VDaH _032.031
   kiṃ punar dharmasaṃhitām__Vdha_044.017	kim punar Darma saMhitAm__VDaH _044.017
   kiṃ punar yad upoṣitaḥ__Vdha_025.030	kim punar yat upozitaH__VDaH _025.030
   kiṃ punar ye yajante māṃ__Vdha_068.052	kim punar ye yajante mAm__VDaH _068.052
   kiṃ punar yo naro bhaktyā__Vdha_082.069	kim punar yaH naraH BaktyA__VDaH _082.069
   kiṃ punaś copavāsinām__Vdha_004.003	kim punar ca upavAsinAm__VDaH _004.003
   kiṃ pramāṇam idaṃ hare__Vdha_103.043	kim pramANam idam hare__VDaH _103.043
   kiṃ phalaṃ gītavādite__Vdha_080.007	kim Palam gIta vAdite__VDaH _080.007
   kiṃphalāḥ kiṃparāyaṇāḥ__Vdha_044.002	kiMPalAH kiMparAyaNAH__VDaH _044.002
   kiṃ brūhi lakṣaṇaṃ teṣāṃ__Vdha_025.002	kim brUhi lakzaNam tezAm__VDaH _025.002
   kiṃ bhaviṣyaty upādānam__Vdha_077.083	kim Bavizyati upAdAnam__VDaH _077.083
   kiṃ bhūyaḥ kathayāmi te__Vdha_079.136	kim BUyas kaTayAmi te__VDaH _079.136
   kiṃ bhūyaḥ kathayāmi te__Vdha_096.034	kim BUyas kaTayAmi te__VDaH _096.034
   kiṃ bhogān abhidhāvati__Vdha_032.045	kim BogAn aBiDAvati__VDaH _032.045
   kiṃ me rājyena bhos tāta__Vdha_064.062	kim me rAjyena BoH tAta__VDaH _064.062
   kiṃ yajñaiḥ kim upoṣitaiḥ__Vdha_105.087	kim yajQEH kim upozitEH__VDaH _105.087
   kiṃ rūpaṃ kīdṛśaṃ śīlaṃ__Vdha_064.027	kim rUpam kIdRSam SIlam__VDaH _064.027
   kiṃlakṣaṇā bhāgavatā__Vdha_003.024	kiMlakzaNAH BAgavatA__VDaH _003.024
   kiṃ loke tad iha paratra cāsti puṃsām__Vdha_039.047	kim loke tat iha paratra ca asti puMsAm__VDaH _039.047
   kiṃ vadatu bhaven nṛpa__Vdha_099.*(152)	kim vadatu Bavet nRpa__VDaH _099.*(152)
   kiṃ varṇayāmo rūpaṃ te__Vdha_103.043	kim varNayAmaH rUpam te__VDaH _103.043
   kiṃ vā japaphalaṃ mune__Vdha_072.039	kim vA japa Palam mune__VDaH _072.039
   kiṃ vā japyaṃ japen nityaṃ__Vdha_068.005	kim vA japyam japet nityam__VDaH _068.005
   kiṃ vānayā sucārvaṅgyā__Vdha_082.035	kim vA anayA su cAru aFgyA__VDaH _082.035
   kiṃ vāparāddhaṃ tava deva mūḍhair__Vdha_103.034	kim vA aparAdDam tava deva mUXEH __VDaH _103.034
   kiṃ vilāpaḥ kariṣyati__Vdha_032.043	kim vilApaH karizyati__VDaH _032.043
   kiṃ vṛthaiva prayāsyati__Vdha_094.074	kim vRTA eva prayAsyati__VDaH _094.074
   kiṃ vo vilapite phalam__Vdha_032.042	kim vaH vilapite Palam__VDaH _032.042
   kiṃ surūpaṃ kurūpaṃ vā__Vdha_102.092	kim surUpam kurUpam vA__VDaH _102.092
   kīṭādaḥ kṛmibhakṣaś ca__Vdha_045.011	kIwAdaH kRmiBakzaH ca__VDaH _045.011
   kīdṛgvidhāsv avasthāsu__Vdha_049.001	kIdRgviDAsu avasTAsu__VDaH _049.001
   kīdṛśaṃ kiṃpramāṇaṃ vā__Vdha_045.002	kIdRSam kiMpramANam vA__VDaH _045.002
   kīdṛśaṃ lokam āyāti__Vdha_079.042	kIdRSam lokam AyAti__VDaH _079.042
   kīrtanīyaṃ prayacchatā__Vdha_060.007	kIrtanIyam prayacCatA__VDaH _060.007
   kīrtayanti ca yaṃ sarve__Vdha_067.055	kIrtayanti ca yam sarve__VDaH _067.055
   kīrtayasva mahābāho__Vdha_067.077	kIrtayasva mahA bAho__VDaH _067.077
   kīrtayiṣyāmi taṃ prabhum__Vdha_018.011	kIrtayizyAmi tam praBum__VDaH _018.011
   kīrtayiṣyāmi taṃ prabhum__Vdha_018.012	kIrtayizyAmi tam praBum__VDaH _018.012
   kīrtayet tatkriyākāle__Vdha_005.003	kIrtayet tad kriyA kAle__VDaH _005.003
   kīrtayed bhagavannāma__Vdha_040.031	kIrtayet Bagavat nAma__VDaH _040.031
   kīrtitaḥ saṃsmṛto dhyātaḥ__Vdha_072.041	kIrtitaH saMsmRtaH DyAtaH__VDaH _072.041
   kīrtito 'sya janārdanaḥ__Vdha_028.041	kIrtitaH asya janArdanaH__VDaH _028.041
   kīrtimāṃś caiva jāyate__Vdha_056.017	kIrtimAn ca eva jAyate__VDaH _056.017
   kīrtir āyur yaśo balam__Vdha_062.018	kIrtiH AyuH yaSaH balam__VDaH _062.018
   kīrtir bhavati dānena__Vdha_047.008	kIrtiH Bavati dAnena__VDaH _047.008
   kīrtyamānaṃ ca viprebhyaḥ__Vdha_067.*(108)	kIrtyamAnam ca vipreByaH__VDaH _067.*(108)
   kīlair vinihataḥ pāpo__Vdha_050.014	kIlEH vinihataH pApaH __VDaH _050.014
   kuṅkumośīrapadmakaiḥ__Vdha_081.033	kuFkuma uSIra padmakEH__VDaH _081.033
   kuñjareṇābhimardeta__Vdha_063.036	kuQjareNa aBimardeta__VDaH _063.036
   kuṭajaiś cārjunais tathā__Vdha_067.015	kuwajEH ca arjunEH taTA__VDaH _067.015
   kuṭumbam iti mūḍho 'ham__Vdha_037.024	kuwumbam iti mUXaH aham__VDaH _037.024
   kuṭumbaṃ poṣītaṃ param__Vdha_037.030	kuwumbam pozItam param__VDaH _037.030
   kuṇḍalābhyāṃ virājitam__Vdha_028.*(18).101	kuNxalAByAm virAjitam__VDaH _028.*(18).101
   kutapaprastarasthāṃ tu__Vdha_046.016	kutapa prastara sTAm tu__VDaH _046.016
   kutas te bhayam utpannaṃ__Vdha_064.034	kutas te Bayam utpannam__VDaH _064.034
   kutaḥ śaśāṅkasya sa siṃharūpadhṛṅ__Vdha_039.026	kutas SaSAFkasya sa siMha rUpaDRF__VDaH _039.026
   kutra tiṣṭhati govindo__Vdha_038.084	kutra tizWati govindaH __VDaH _038.084
   kutra rāgādayas tataḥ__Vdha_102.076	kutra rAga AdayaH tatas __VDaH _102.076
   kutra rāgādiko gaṇaḥ__Vdha_102.082	kutra rAga AdikaH gaNaH__VDaH _102.082
   kuntīputro yudhiṣṭhiraḥ__Vdha_067.078	kuntI putraH yuDizWiraH__VDaH _067.078
   kundātimuktakai rakta __Vdha_089.039	kunda atimuktakEH rakta __VDaH _089.039
   kubuddhim etāṃ saṃtyajya__Vdha_072.080	kubudDim etAm saMtyajya__VDaH _072.080
   kubjakas tagaraś caiva__Vdha_081.039	kubjakaH tagaraH ca eva__VDaH _081.039
   kubjake śrīdharaṃ tadvad__Vdha_036.014	kubjake SrIDaram tadvat __VDaH _036.014
   kumārikābhir deveśa__Vdha_021.005	kumArikABiH deveSa__VDaH _021.005
   kumudotpalakalhāra __Vdha_067.023	kumuda utpala kalhAra __VDaH _067.023
   kumbharecakapūrākhyās__Vdha_100.006	kumBa recaka pUra AKyAH __VDaH _100.006
   kumbhaṃ samabhipūjya ca__Vdha_088.007	kumBam samaBipUjya ca__VDaH _088.007
   kumbhīpākamahābhayāḥ__Vdha_088.016	kumBIpAka mahA BayAH__VDaH _088.016
   kumbhīpāke taptakumbhe__Vdha_094.067	kumBIpAke tapta kumBe__VDaH _094.067
   kuyoninarakāvaham__Vdha_093.017	ku yoni naraka Avaham__VDaH _093.017
   kuru citte janārdanam__Vdha_073.058	kuru citte janArdanam__VDaH _073.058
   kuruṇā puruṇā tathā__Vdha_062.024	kuruNA puruNA taTA__VDaH _062.024
   kurute gaur janādhipam__Vdha_060.005	kurute gOH janADipam__VDaH _060.005
   kurute dvijasattama__Vdha_004.019	kurute dvijasattama__VDaH _004.019
   kurute mārjanakriyām__Vdha_004.017	kurute mArjana kriyAm__VDaH _004.017
   kurute yo hi saunikaḥ__Vdha_064.053	kurute yaH hi sOnikaH__VDaH _064.053
   kurute 'vimanā yas tu__Vdha_057.012	kurute avimanAH yaH tu__VDaH _057.012
   kuru tvaṃ keśavārpitam__Vdha_008.015	kuru tvam keSava arpitam__VDaH _008.015
   kuru tvaṃ bhūtadhāriṇi__Vdha_020.006	kuru tvam BUta DAriNi__VDaH _020.006
   kuru devaki pāvanam__Vdha_089.053	kuru devaki pAvanam__VDaH _089.053
   kuru devavarācyuta__Vdha_028.050	kuru deva vara acyuta__VDaH _028.050
   kuru dharmabhṛtāṃ vara__Vdha_082.082	kuru Darma BRtAm vara__VDaH _082.082
   kurudhvam ālambanavat__Vdha_088.080	kuruDvam Alambana vat __VDaH _088.080
   kurudhvaṃ dvijasattamāḥ__Vdha_072.086	kuruDvam dvijasattamAH__VDaH _072.086
   kurudhvaṃ vacanaṃ mama__Vdha_102.019	kuruDvam vacanam mama__VDaH _102.019
   kuru madrūpiṇīṃ tanum__Vdha_002.071	kuru mad rUpiNIm tanum__VDaH _002.071
   kuru mātijaḍo bhava__Vdha_065.009	kuru mA atijaxaH Bava__VDaH _065.009
   kuru me dharmadeśanām__Vdha_070.006	kuru me Darma deSanAm__VDaH _070.006
   kuru mohahate mayi__Vdha_076.053	kuru moha hate mayi__VDaH _076.053
   kuru yat te manogatam__Vdha_077.016	kuru yat te manogatam__VDaH _077.016
   kuru yogaṃ divāniśam__Vdha_079.027	kuru yogam divAniSam__VDaH _079.027
   kuruvarya śṛṇuṣva tam__Vdha_101.005	kuru varya SRNuzva tam__VDaH _101.005
   kuru viṣṇuṃ ca hṛdaye__Vdha_073.054	kuru vizNum ca hRdaye__VDaH _073.054
   kuruṣva ca prasādaṃ tvaṃ__Vdha_072.117	kuruzva ca prasAdam tvam__VDaH _072.117
   kuruṣva ca mahābuddhe__Vdha_065.004	kuruzva ca mahAbudDe__VDaH _065.004
   kuruṣva puruṣottama__Vdha_026.014	kuruzva puruzottama__VDaH _026.014
   kuruṣva vimalāṃ matim__Vdha_078.061	kuruzva vimalAm matim__VDaH _078.061
   kuruṣva viṣṇuṃ bhagavantam īśam__Vdha_008.026	kuruzva vizNum Bagavantam ISam__VDaH _008.026
   kurusainyamahodadhiḥ__Vdha_043.010	kuru sEnya mahA udaDiH__VDaH _043.010
   kurkurākṣaś ca durjayaḥ__Vdha_076.033	kurkurAkzaH ca durjayaH__VDaH _076.033
   kuryāc ca prīṇanaṃ nityaṃ__Vdha_101.035	kuryAt ca prINanam nityam__VDaH _101.035
   kuryāc chāntim imāṃ śubhām__Vdha_028.*(18).009	kuryAt SAntim imAm SuBAm__VDaH _028.*(18).009
   kuryāc chāstroditān śubhe__Vdha_022.025	kuryAt SAstra uditAn SuBe__VDaH _022.025
   kuryāc chraddhāsamanvitaḥ__Vdha_087.007	kuryAt SradDA samanvitaH__VDaH _087.007
   kuryāt tasmāt sadaiva hi__Vdha_028.066	kuryAt tasmAt sadA eva hi__VDaH _028.066
   kuryāt turuṣkakarpūrau__Vdha_087.006	kuryAt turuzka karpUrO__VDaH _087.006
   kuryāt pādārcanaṃ śubhe__Vdha_030.029	kuryAt pAda arcanam SuBe__VDaH _030.029
   kuryāt samāhitamanāḥ__Vdha_030.032	kuryAt samAhita manAH__VDaH _030.032
