   oṃ tatsadbrahmaṇe namaḥ |	om tad-sat-brahmaNe namaH |
   hastau kṛtvā susaṃyuktau pūrayitvā jalena ca /	hastO kRtvA su-saMyuktO pUrayitvA jalena ca /
   gośṛṅgamāṭram uddhṛtya jalamadhye jalaṃ kṣipet // YS99v_93 //	go-SRFga-mAwram udDRtya jala-maDye jalam kzipet // YS99u-_93 //
   ākāśe ca kṣiped vāri vāristho dakṣiṇāmukhaḥ /	AkASe ca kzipet vAri vAri-sTaH dakziNAmuKaH /
   pitṝṇāṃ sthānam ākāśaṃ dakṣiṇā dik tathaiva ca // YS99v_94 //	pitLNAm sTAnam AkASam dakziNA diS taTA-eva ca // YS99u-_94 //
   āpo devagaṇāḥ proktā āpaḥ pitṛgaṇās tathā /	ApaH deva-gaNAH proktAH ApaH pitR-gaNAH taTA /
   tasmād apsu jalaṃ deyaṃ pitṝṇāṃ hitam icchatā // YS99v_95 //	tasmAt apsu jalam deyam pitLNAm hitam icCatA // YS99u-_95 //
   divā sūryāṃśubhis taptaṃ rātrau nakṣatramārutaiḥ /	divA sUrya-aMSuBiH taptam rAtrO nakzatra-mArutEH /
   saṃdhyayor apy ubhābhyāṃ ca pavitraṃ sarvadā jalam // YS99v_96 //	saMDyayoH api uBAByAm ca pavitram sarvadA jalam // YS99u-_96 //
   svabhāvayuktam avyāptam amedhyena sadā śuci /	svaBAva-yuktam avyAptam ameDyena sadA Suci /
   bhāṇḍasthaṃ dharaṇīsthaṃ vā pavitraṃ sarvadā jalam // YS99v_97 //	BANxa-sTam DaraNI-sTam vA pavitram sarvadA jalam // YS99u-_97 //
   devatānāṃ pitṝṇāṃ ca jale dadyāj jalāñjalīn /	devatAnAm pitLNAm ca jale dadyAt jala-aQjalIn /
   asaṃskṛtapramītānāṃ sthale dadyāj jalāñjalīn // YS99v_98 //	asaMskRta-pramItAnAm sTale dadyAt jala-aQjalIn // YS99u-_98 //
   śrāddhe havanakāle ca dadyād ekena pāṇinā /	SrAdDe havana-kAle ca dadyAt ekena pANinA /
   ubhābhyāṃ tarpaṇe dadyād iti dharmo vyavasthitaḥ // YS99v_99 //	uBAByAm tarpaNe dadyAt iti DarmaH vyavasTitaH // YS99u-_99 //
   iti yamapraṇītaṃ dharmaśāstraṃ samāptam ||	iti yama-praNItam Darma-SAstram samAptam ||
   samāpteyaṃ yamasmṛtiḥ ||	samAptA-iyam yama-smRtiH ||
