   // Ārya amoghapāśahṛdaya nāma mahāyānasūtram //	// Ārya amoGapASa-hRdaya nAma mahAyAna-sUtram //
   // om namo bhagavate ārya amoghapāśahṛdaya //	// om namaH Bagavate Arya amoGa-pASa-hRdayaH //
   dhama 2 mahakārūṇika mahātamondhakāravidhamana ṣaḍpāramitā paripūraka //	Dama 2 mahakArUNika mahAtamonDakAra-viDamana zaz-pAramitA paripUrakaH //
   mala 2 mili 2 mulu 2 / ṭa ṭa ṭa ṭa / ṭha ṭha ṭha ṭha / ḍi ḍi ḍi ḍi / ṭu ṭu	malaH 2 mili 2 mulu 2 / wa wa wa wa / Wa Wa Wa Wa / xi xi xi xi / wu wu
   ṭu ṭu / ṭhi ṭhi ṭhi ṭhi / dhu dhu dhu dhu / eneya carmakṛtaparikara / ehe	wu wu / Wi Wi Wi Wi / Du Du Du Du / eneya carmakRta-parikara / ehe
   hi mahākārūṇika / īśvara maheśvara mahābhūta gaṇasaṃbhaṃjaka / kara 2 kiri	hi mahAkArUNikaH / ISvara maheSvara mahABUta gaNa-saMBaMjakaH / karaH 2 kiri
   2 kurū 2 para 2 hara 2 hiri 2 vara 2 sara 2 kara 2 kaṭa 2 kiṭi 2 kuṭu 2	2 kurU 2 paraH 2 hara 2 hiri 2 varaH 2 saraH 2 karaH 2 kawa 2 kiwi 2 kuwu 2
   maṭa 2 / mahāśuddhasattva viṣayanivāsina mahākārūṇika	mawaH 2 / mahA-SudDa-sattva vizaya-nivAsina mahAkArUNika
   śvetayajñopavitaratna makuṭa mālādhara / sarvajñaśirasi kṛta jaṭāmakuṭa	Sveta-yajQa-upavita-ratna makuwa mAlA-Dara / sarvajQa-Sirasi kRta jawA-makuwa
   mahādbhuta kamalālaṅkṛta karataladhyānasamādhivimokṣaṃ aprakampya	mahA-adButa kamala-alaFkRta kara-tala-DyAna-samADi-vimokzam aprakampya
   bahusattva santatiparivāraka / mahākārūṇik sarvakarmābaraṇaviśodhaka /	bahu-sattva santati-parivAraka / mahAkArUNik sarva-karma-AbaraNa-viSoDaka /
   sarvajñajñānaparipūraka / sarvavyādhiparimocaka / sarvasattvān paripūraka	sarvajQa-jQAna-paripUrakaH / sarva-vyADi-parimocakaH / sarva-sattvAn paripUraka
   / sarvasattvasamā svāsanakarāya namo stute svāhā // amoghāya svāhā /	/ sarva-sattva-samA sva-Asana-karAya namaH stute svAhA // amoGAya svAhA /
   amoghapāśāya svāhā / ajitāya svāhā / aparājitāya svāhā / amitābhāya svāhā	amoGa-pASAya svAhA / ajitAya svAhA / aparAjitAya svAhA / amita-ABAya svAhA
   / amitābhasutāya svāhā / mārasainyapramarddanāya svāhā / abhayapradāya	/ amita-ABasutAya svAhA / mAra-sEnya-pramarddanAya svAhA / aBaya-pradAya
   svāhā / yamāya svāhā / vijayāya svāhā / jaya vijayāya svāhā /	svAhA / yamAya svAhA / vijayAya svAhA / jaya vijayAya svAhA /
   idaṃcamekarma kara namo stute svāhā / om raṇa raṇa om phaṭ svāhā / oṃ jaya	idaMcamekarma kara namaH stute svAhA / om raNa raNaH om Paw svAhA / om jaya
   huṃ phaṭ svāha / oṃ jupi svāhā / oṃ jaya svāhā / oṃ hrīḥ	hum Paw svAha / om jupi svAhA / om jaya svAhA / om hrIH
   trailokyavijayāmoghapāśapratihata hrīṃ haḥ hūṃ phaṭ svāhā / oṃ vasumati	trElokya-vijayA-amoGa-pASa-pratihata hrIm haH hUm Paw svAhA / om vasumati
   svāhā / oṃ ārolīka svāhā / oṃ bahule bahule svāhā / oṃ ārolika hrīṃ hrīṃ	svAhA / om ArolIka svAhA / om bahule bahule svAhA / om Arolika hrIm hrIm
   hūṃ phaṭ svāhā // //	hUm Paw svAhA // //
   sarṣaparavadirakīlakādyaiḥ sarvajvareṣu sūtrakaṃ vandhayitavyaṃ	sarzapara-vadira-kIlaka-AdyEH sarva-jvarezu sUtrakam vanDayitavyam
   sarvavyādhiṣu ghṛtatailamudakaṃ vā parijapya dātavyaṃ / kākhordacchedanaṃ	sarva-vyADizu GRta-tElam-udakam vA parijapya dAtavyam / kAKoH-dat-Cedanam
   rakṣā sūtreṇa śastreṇa udaraśūlena lavaṇodakaṃ viṣa nāśanaṃ mṛttikayā	rakzA sUtreNa SastreNa udara-SUlena lavaNodakam viza nASanam mRttikayA
   udakena vā cakṣurogena śvetasūtrakaṃ karṇe vandhayitavyaṃ / danta śūle	udakena vA cakzu-rogena Sveta-sUtrakam karNe vanDayitavyam / danta SUle
   karavīradantakāṣṭhaṃ / sīmāvandhe paṃcaraṅigakasūtrakamekaviṃśativārān	karavIra-danta-kAzWam / sImO=-anDe paMcaraFigaka-sUtrakam-ekaviMSati-vArAn
   parijapya catuḥṣu khadirakīleṣu vaddhvā caturddiśaṃ nikhātavyaṃ simā	parijapya catuHzu Kadira-kIlezu vadDvA caturddiSam niKAtavyam simA
   vandho bhavati / sarvarakṣā sūtrakena udakena bhasmakena vā sarvagraheṣu /	vanDaH Bavati / sarva-rakzA sUtrakena udakena Basmakena vA sarva-grahezu /
   paṃcaraṅigaka sūtrakaṃ sarvajvareṣu śvetasūtrakaṃ	paMcaraFigaka sUtrakam sarva-jvarezu SvetasUtrakam
   sarppakīṭhalūtalohaliṅgala graheṣu / madhupippalīyutaṃ cakṣuroge /	sarppa-kIWa-lUta-loha-liFgala grahezu / maDu-pippalI-yutam cakzu-roge /
   gandhodakaṃ palāśodakaṃ madhūyaṣṭyudaka vā sarvakalikalaha vivādebhyaḥ	ganDa-udakam palASa-udakam maDUyazwi-udaka vA sarva-kali-kalaha vivAdeByaH
   ākhyāneṣu udakaṃ parijapya mukhaprakṣālayitavyaṃ /	AKyAnezu udakam parijapya muKa-prakzAlayitavyam /
   paraviṣayarājyarāṣṭrakeṣu pūrṇakalaśaṃ sthāpayitvā	para-vizaya-rAjya-rAzwrakezu pUrNa-kalaSam sTApayitvA
   śūcināsūcivastraprāvṛtena mahatī pūjāṃ kṛtvā bācayitavyaṃ / mahāśānti	SUcinA-sUci-vastra-prAvRtena mahatI pUjAm kRtvA bAcayitavyam / mahASAnti
   bhavati / tena codakena sektavyaṃ sarvasattvānāṃ rakṣā kṛtā bhavati /	Bavati / tena ca-udakena sektavyam sarva-sattvAnAm rakzA kRtA Bavati /
   sarvetyupadravopasargāḥ praśāmyanti / mudritāyā candanatilakaṃ hṛdaye	sarvA-iti-upadrava-upasargAH praSAmyanti / mudritAyAH candana-tilakam hRdaye
   ekaviṃśativārān parijapya kartavyaṃ sarvānantaryāṇi kṣayaṃ yānti / satataṃ	ekaviMSati-vArAn parijapya kartavyam sarva-AnantaryANi kzayam yAnti / satatam
   jāpena gṛharakṣā / padma homena sarvasattvarakṣā / candanahomena	jApena gRha-rakzAH / padma homena sarva-sattva-rakzA / candana-homena
   sarvabhūtagraharakṣā jaya vijayā / aparājitānākulī / gandhanākūlī dhāraṇī	sarva-BUta-graha-rakzA jaya vijayA / aparAjitA-anAkulI / ganDanAkUlI DAraNI
   abhayapāṇi / indriyapāṇi / gandhaḥ priyaṃgu tagaracakrā	aBaya-pANi / indriya-pANi / ganDaH priyaMgu tagara-cakrA
   mahācakrāviṣṇukrāntā somarājī sūnandā ceti / eṣaṃ yathā saṃbhavataḥ /	mahA-cakra-avizNukrAntA somarAjI sUnandA ca-iti / ezam yaTA saMBavataH /
   aṣṭottaraśatavārān parijapya maṇiṃ kṛtvā śirasi bāhau vā dhārayitavyaṃ /	azwottaraSata-vArAn parijapya maNim kRtvA Sirasi bAhO vA DArayitavyam /
   bālānāṃ galenārīṇāṃ vilagne svayaṃ paraṃ saubhāgyakaraṃ / maṇe	bAlAnAm galena-arINAm vilagne svayam param sOBAgya-karam / maNe
   lakṣmīprasamanāṃ putradaṃ ca / etena maṇivaddhena sarvarakṣā kṛtā bhavati	lakzmI-prasamanAm putra-dam ca / etena maNi-vadDena sarva-rakzA kRtA Bavati
   / viṣāgninaṃ kramati /	/ viza-agninam kramati /
   viṣakṛtatpadyate / utpannā api na pīḍāṃ janayiṣyanti / śīghraṃ	viza-kRtat-padyate / utpannAH api na pIxAm janayizyanti / SIGram
   prasamayiṣyanti / vātamedhāśanistaṃbhanaṃ vāriṇā karaviralatayā	prasamayizyanti / vAta-meDa-aSani-staMBanam vAriNA karavirala-tayA
   sarvakarmakaram // āryāvallokiteśvarahṛdayaṃ paramasiddhamasasādhita mete	sarva-karma-karam // AryA-vat-lokiteSvara-hRdayam parama-sidDam-asa-sADita mete
   tāni karmmāṇi kurute / atha sādhayitumicchan dvidhiḥ / paṭe 'śleṣaṃ	tAni karmmANi kurute / aTa sADayitum-icCan dviDiH / pawe aSlezam
   kairvarṇakairbuddhapratimāmālikhya āryyāvalokiśvaro jaṭāmakutadhārī eṇeya	kEH-varNakEH-budDa-pratimAm-AliKyaH Aryya-avalokiSvaraH jawAm-akuta-DArI eNeya
   carmakṛtaparikaraḥ paśupativeśadhara sarvālaṅkāravibhūṣitaṃ kṛtvā	carmakRta-parikaraH paSupati-veSa-Dara sarva-alaFkAra-viBUzitam kRtvA
   poṣadhikena citrakareṇa citrāpayitavyaḥ / tataḥsādhakena tasyāgrataḥ	pozaDikena citrakareNa citrApayitavyaH / tatas-sADakena tasya-agratas-
   gomayena maṇḍalaṃ kṛtvā śvetapuṣpāvakīrṇa aṣṭāu gandhodakapūrṇakumbhāḥ	gomayena maNxalam kRtvA Svetapuzpa-avakIrNa azwAu ganDa-udaka-pUrNa-kumBAH
   sthāpayitavyāḥ / aṣṭāvupahārāaścatuḥ ṣaṣṭhirūpakaraṇāni / vali mānsaṃ ca	sTApayitavyAH / azwO=-upahArAaH-catuH zazWi-rUpakaraNAni / vali mAn-sam ca
   rūdhirabarjjitaṃ agarūdhūpaṃ dahatā vidyāaṣṭamasahasraṃ jāpayitavyā /	rUDiH-a-barjjitam aga-rUDUpam dahatA vidyA-azwama-sahasram jApayitavyA /
   ahorātroṣitena rātroṣitena vā / triśūklabhojina triṣkālasnāpayitā	ahorAtra-uzitena rAtra-uzitena vA / triSUkla-Bojina trizkAla-snApayitA
   śūcivastraprāvṛtto bhūtvā japā dātavyaṃ / ataḥ pratimāyā 'rpataḥ ātmānaṃ	SUci-vastra-prAvRttaH BUtvA japAH dAtavyam / atas pratimAyAH arpataH AtmAnam
   ca likhitaṃ paśyati / taddaṣṭvā ca prahṛṣyati yāvat svapnane vā	ca liKitam paSyati / tat-dazwvA ca prahRzyati yAvat sva-pnane vA
   āryāvalokiteśvaro āgacchati / sarvesā paripūrayati / manaḥ śilāṃ rajataṃ	Arya-avalokita-ISvaraH AgacCati / sarvesA paripUrayati / manaH SilAm rajatam
   vā parijapya kṣīṇāṃjayitvā tatoantarhito bhavati / ākāśe krāmati /	vA parijapya kzINAMjayitvA tatas-antarhitaH Bavati / AkASe krAmati /
   asaṃmohavyūha nāma samādhiṃ prati labhate / yadicchati tatkaroti eva	asaMmoha-vyUha nAma samADim prati laBate / yat-icCati tat-karoti eva
   sādhaka iti // //	sADakaH iti // //
   idamavocat bhagavānāttamanā āryāvalokiteśvaro bodhisattvo mahāsattva	idam-avocat BagavAn-Atta-manAH Arya-avalokita-ISvaraH boDisattvaH mahAsattva
   rūteca bhikṣavarūte ca bodhisatvāste śuddhāvāsakāyikāśca devaputrāḥ	rUteca Bikzava-rUte ca boDisatvAH-te SudDAvAsa-kAyikAH-ca deva-putrAH
   sadevamānuṣāsura gandharvaścaloko bhagavato bhāṣitamabhyanandanniti // //	sa-deva-mAnuza-asura ganDarvaH-calokaH BagavataH BAzitam-aByanandan=-iti // //
   // āryāmoghapāśahṛdayaṃ nāma mahāyāna sūtraṃ samāptas //	// AryAmoGapASa-hRdayam nAma mahAyAna sUtram samAptaH //
   ye dharmmā hetuprabhavā hetusteṣāṃ tathāgataḥ /	ye DarmmA hetu-praBavAH hetuH-tezAm taTAgataH /
   hyavadatteṣāṃca yo nirodha evaṃ vādī mahāśramaṇaḥ //	hi-avadat-tezAMca yaH niroDaH evam vAdI mahA-ASramaNaH //
