   atha sāṃkhyatattvapradīpaḥ /	aTa sAMKya-tattva-pradIpaH /
   syāt / atha kārye sā śaktistadā kathamasataḥ kāryasya śaktyāśrayatā tathā	syAt / aTa kArye sA SaktiH-tadA kaTam-asataH kAryasya Sakti-ASrayatA taTA
   ca śaktena śakyamutpādyate śakyaṃ ca kāraṇātmakam kāraṇaṃ ca saditi kathaṃ	ca Saktena Sakyam-utpAdyate Sakyam ca kAraNa-Atmakam kAraNam ca sat-iti kaTam
   tadabhinnaṃ kāryamasatsyāt 'uktañca śaktasya śakyakaraṇāditi'; /	tat-aBinnam kAryam-asat-syAt auktaQca Saktasya Sakya-karaNa-Aditi-a; /
   upādānopādeyabhāvagrahaṇācca na bhedastantupaṭayoryayorbhedo na	upAdAna-upAdeya-BAva-grahaNAt-ca na BedaH-tantu-pawayoH-yayoH-BedaH na
   tayorupādānopādeyabhāvo yathāśvavṛkṣayoḥ / ito 'pi nārthāntaratvaṃ	tayoH-upAdAna-upAdeya-BAvaH yaTA-aSva-vRkzayoH / itas api na-arTa-antara-tvam
   tantupaṭayoḥ saṃyogāprāptyadarśanāt arthāntaratve saṃyogo dṛṣṭo	tantu-pawayoH saMyoga-aprApti-adarSanAt arTa-antara-tve saMyogaH dRzwaH-
   rajjughaṭakuṇḍabadarādau aprāptirapi dṛṣṭā sumeruvidhyayoriva iha ca	rajju-Gawa-kuNxa-badara-AdO aprAptiH-api dRzwA sumeru-viDyayoH-iva iha ca
   saṃyogāprāptyorabhāvānna tantubhyo 'rthāntaraṃ paṭaḥ /	saMyoga-aprAptyoH-aBAvAt-na tantuByaH arTa-antaram pawaH /
   kāryakāraṇayorabhedasādhakaṃ pramāṇaṃ coktaṃ sāṅkhyācāryaiḥ tadyathā na	kArya-kAraNayoH-aBeda-sADakam pramANam ca-uktam sAFKya-AcAryEH tat-yaTA na
   paṭastantubhyo bhidyate taddharmatvāt iha yadyato bhidyate tat tasya	pawaH-tantuByaH Bidyate tad-Darma-tvAt iha yadi-atas Bidyate tat tasya
   dharmo na bhavati yathā gauraśvasya dharmaśca	DarmaH na Bavati yaTA gOraSvasya DarmaH-ca
   paṭastantūnāntasmānnārthāntaram / gurutvāntarāgrahaṇādapi na	pawaH-tantUnAntasmAt-na-arTa-antaram / guru-tva-antara-agrahaNAt-api na
   kāraṇādarthāntaraṃ kāryam / evamabhede siddhe tantava eva tena tena	kAraNAt-arTa-antaram kAryam / evam-aBede sidDe tantavaH eva tena tena
   saṃsthānaviśeṣeṇa pariṇatāḥ paṭo na tu paṭastantubhyo 'rthāntaram / na	saMsTAna-viSezeNa pariNatAH pawaH na tu pawaH-tantuByaH arTa-antaram / na
   cātmāśrayabuddhibhedādarthakriyābhedācca bhedasiddhiḥ kāryakāraṇayoriti	ca-Atma-ASraya-budDi-BedAt-arTa-kriyA-BedAt-ca Beda-sidDiH kArya-kAraNayoH-iti
   vācyam ekasminnapi	vAcyam ekasmin=-api
   viśeṣāntarāvirbhāvatirobhāvābhyāmātmāśrayārthakriyābuddhibhedasambhavānna	viSeza-antarAvirBAva-tiroBAva-aByAm-Atma-ASraya-arTa-kriyA-budDi-Beda-samBavAn-na
   tadanyathānupapattyā bhedasiddhiḥ / tatra ekasyāpi kūrmasyāvayavā	tat-anyaTA-anupapattyA Beda-sidDiH / tatra ekasya-api kUrmasya-avayavA
   niḥsarantyāvirbhavanti ta eva kūrmaśarīre niviśamānāstirobhavanti nahi te	niHsaranti-AvirBavanti te eva kUrma-SarIre niviSamAnAH-tiroBavanti na-hi te
   kūrmāvayavā utpadyante dhvaṃsante vā evamekasyāpi suvarṇasya mṛdo va	kUrma-avayavAH utpadyante DvaMsante vE evam-ekasya-api suvarNasya mRdaH va
   kaṭakakuṇḍalādayo ghaṭādayo niḥsaranta utpannā iti vyavahāraṃ bhajante ta	kawaka-kuNxala-AdayaH Gawa-AdayaH niHsarantaH utpannAH iti vyavahAram Bajante ta
   eva niviśamānāstirobhavanti naśyantītyucyante na punaḥ	eva niviSamAnAH-tiroBavanti naSyanti-iti-ucyante na punar-
   sadasatornirodhotpādayornidarśanamasti / uktaṃ ca bhagavatā nāsato vidyate	sat-asatoH-niroDa-utpAdayoH-nidarSanam-asti / uktam ca BagavatA na-asataH vidyate
   bhāvo nābhāvo vidyate sata iti / yathā saṅkocavikāśavadbhyaḥ	BAvaH na-aBAvaH vidyate sataH iti / yaTA saFkoca-vikASavadByaH
   svāvayavebhyaḥ kūrmo na bhidyate tathā mṛtsuvarṇādibhyo 'pi	sva-avayaveByaH kUrmaH na Bidyate taTA mRd-suvarNa-AdiByaH api
   kaṭakakuṇḍalādayo na bhinnāḥ / na ca nāma buddhyarthakriyābhedāt	kawaka-kuNxala-AdayaH na BinnAH / na ca nAma budDi-arTa-kriyA-BedAt-
   kāryakāraṇayorbhedasiddhiriti vācyam naṭe vyabhicārāt / naṭo hi daśaratho	kArya-kAraNayoH-Beda-sidDiH-iti vAcyam nawe vyaBicArAt / nawaH hi daSaraTaH-
   'haṃ rāmo 'haṃ yudhiṣṭhiro 'hamiti svayamanantanāmā bhūtvā nāmāntareṇa	aham rAmaH aham yuDizWiraH aham-iti svayam-ananta-nAmA BUtvA nAma-antareNa
   veśāntaramarthakriyāntarañca kurute tathā ca satyapi bhedatraye	veSa-antaram-arTa-kriyA-antaraQca kurute taTA ca sati-api Beda-traye
   naṭabhedādarśanāt yathāhuḥ -	nawa-Beda-adarSanAt yaTA-AhuH -
        rūpamatho api kāryamatho	rUpam-aTo api kAryam-aTo
        abhidhāpi naṭasya pṛthagviditā /	aBiDA-api nawasya pRTak-viditAH /
        na pṛthaktvamupaiti naṭaḥ kimiti	na pRTaktvam-upEti nawaH kim-iti
        prativācyamavaśyamidaṃ kuśalaiḥ //	prativAcyam-avaSyam-idam kuSalEH //
        ekasyāpi vahnerdāhakatvapācakatvabhedena nānārthakriyākāritvaṃ	ekasya-api vahneH-dAhaka-tva-pAcaka-tva-Bedena nAnA-arTa-kriyA-kAri-tvam
   dṛśyate na hyetāvatā vahnirbhedamadhigacchati ekaikasya	dRSyate na hi-etAvatA vahniH-Bedam-aDigacCati ekEkasya
   tṛṇasyātapavṛṣṭyādinivṛttāvasāmarthye 'pi bahūni	tRNasya-Atapa-vRzwi-Adi-nivRttO=-asAmarTye api bahUni
   militvāvasthāviśeṣamavāpya yathā tānyeva tannivṛttau	militvA-avasTA-viSezam-avApya yaTA tAni-eva tad-nivRttO
   sāmarthyamadhigacchanti tathaika eva tantuḥ prāvaraṇādyarthakriyāsamartho	sAmarTyam-aDigacCanti taTA-ekaH eva tantuH prAvaraNa-Adi-arTa-kriyA-samarTaH-
   'pi militāsta evāvasthāviśeṣaṃ prāpyāvirbhūtapaṭabhāvāḥ	api militAH-te eva-avasTA-viSezam prApya-AvirBUta-pawa-BAvAH
   prāvaraṇādyarthakriyāṃ kariṣyanti tasmātsadeva kāryaṃ kāraṇāt	prAvaraNa-Adi-arTa-kriyAm karizyanti tasmAt-sat-eva kAryam kAraNAt-
   tadabhivyaktiriti / nanvāvirbhāvaḥ kāraṇavyāpārātpūrvaṃ sannasan vā ? ādye	tad-aBivyaktiH-iti / nanu-AvirBAvaH kAraNa-vyApArAt-pUrvam sannasan vA ? Adye
   kāraṇavyāpārāsambavaḥ nahi sadutpattau kenāpi kāraṇāni vyāpāryante / antye	kAraNa-vyApArA-sambavaH na-hi sat-utpattO kena-api kAraNAni vyApAryante / antye
   prāptamasadutpādanatvamiti cenna tavāpi keyamutpattiḥ satyasatī vā ? ādye	prAptam-asat-utpAdana-tvam-iti ced-na tava-api kA-iyam-utpattiH satya-satI vA ? Adye
   na kāraṇaprayojanaṃ paśyāmaḥ / antye 'sadutpattirutpadyata iti	na kAraNa-prayojanam paSyAmaH / antye asat-utpattiH-utpadyate iti
   tadutpatterapyutpattyantaraṃ tatrāpyanyaditi sphuṭaivānavasthā / atha	tad-utpatteH-api-utpatti-antaram tatra-api-anyat-iti sPuwA-eva-anavasTA / aTa
   paṭāt tadutpattirnātiricyate tadā paṭa ityukte punarutpadyate iti na	pawAt tad-utpattiH-na-atiricyate tadA pawaH iti-ukte punar-utpadyate iti na
   vācyaṃ paunaruktyāt tathotpadyate ityuktvā punaḥ paṭa iti na vācyaṃ	vAcyam pOnaruktyAt taTA-utpadyate iti-uktvA punar pawaH iti na vAcyam
   pūrvoktadoṣādeva paṭo vinaśyatītyapi na vācyaṃ virodhāt	pUrva-ukta-dozAt-eva pawaH vinaSyati-iti-api na vAcyam viroDAt-
   tasmātsvasattāsamavāyo vā svakāraṇasamavāyo vā paṭotpattiḥ samavāyasya ca	tasmAt-sva-sattA-samavAyaH vA sva-kAraNa-samavAyaH vA pawa-utpattiH samavAyasya ca
   nityatvena sarvathāpi na paṭotpattiḥ sambhavati na tadarthañca kāraṇāni	nitya-tvena sarvaTA-api na pawa-utpattiH samBavati na tad-arTaQca kAraNAni
   vyāpāryyante tathā ca sata eva paṭāderāvirbhāve kāraṇāpekṣeti na	vyApAryyante taTA ca sataH eva pawa-AdeH-AvirBAve kAraNa-apekzA-iti na
   kiñcidavadyam / na ca paṭādikāryarūpeṇa kāraṇasambandhastasyākriyatvāt	kiQcid-avadyam / na ca pawa-Adi-kArya-rUpeNa kAraNa-sambanDaH-tasya-akriya-tvAt
   kriyāsambadhitvātkārakāṇāmanyathā kārakatvakṣatiḥ syāt tasmātsatkāryamiti	kriyA-sambaDi-tvAtkArakANAm-anyaTA kAraka-tva-kzatiH syAt tasmAt-satkAryam-iti
   sthitam /	sTitam /
        duḥkhatrayābhibhavasādhanaṃ prakṛtipuruṣānyatājñānaṃ tadupayogitvāt	duHKa-traya-aBiBava-sADanam prakRti-puruza-anyatA-jQAnam tad-upayogi-tvAt
   vyaktavairūpyaṃ pratipādanīyam / tacca vyaktaṃ pṛthivyādi	vyakta-vErUpyam pratipAdanIyam / tat-ca vyaktam pRTivI-Adi
   taccāvyaktātpradhānādvilakṣaṇam yata idaṃ sakāraṇakaṃ tata evānityaṃ	tat-ca-avyaktAt-praDAnAt-vilakzaNam yatas idam sa-kAraNakam tatas eva-anityam
   parābhimatavināśasāmagryā tirobhavati / avyāpakaṃ ca kāraṇaṃ hi kāryaṃ	para-aBimata-vinASa-sAmagryA tiroBavati / avyApakam ca kAraNam hi kAryam
   vyāpnoti na tu kāryaṃ kāraṇam / sakriyaṃ ca buddhyādayaḥ pūrvapūrvopāttaṃ	vyApnoti na tu kAryam kAraNam / sa-kriyam ca budDi-AdayaH pUrva-pUrva-upAttam
   dehaṃ parityajanti dehāntaraṃ copādadate saiva teṣāṃ kriyā pṛthivyādīnāṃ	deham parityajanti deha-antaram ca-upAdadate sA-eva tezAm kriyA pRTivI-AdInAm
   kriyā pariṇāmarūpeṇa prasiddhaiva / pratipuruṣaṃ buddhyādibhedādanekam	kriyA pariNAma-rUpeNa prasidDA-eva / prati-puruzam budDi-Adi-BedAt-anekam
   tathā ghaṭaśarīrādibhedena pṛthivyādyapyanekam / svakāraṇāśritam yadyapi	taTA Gawa-SarIra-Adi-Bedena pRTivI-Adi-api-anekam / sva-kAraNa-ASritam yadi-api
   buddhyādīnāṃ pradhānabhedābhāvāt nāśrayāśrayibhāvastathāpi kathañcit	budDi-AdInAm praDAna-Beda-aBAvAt na-ASraya-ASrayi-BAvaH-taTA-api kaTaQcid-
   bhedavivakṣayāśrayāśrayibhāvo yatheha vane tilakāḥ /	Beda-vivakzayA-ASraya-ASrayi-BAvaH yaTA-iha vane tilakAH /
   sāvayavamavayavāvayavisaṃyogasaṃyogibuddhipradhānayostu na	sAvayavam-avayava-avayavi-saMyoga-saMyogi-budDi-praDAnayoH-tu na
   saṃyogastādātmyāt nāpi sattvarajastamasāṃ saṃyogaḥ aprāptipūrvikā prāptiḥ	saMyogaH-tAdAtmyAt na-api sattva-rajaH-tamasAm saMyogaH aprApti-pUrvikA prAptiH
   saṃyogasta da bhāvāt / nitya meva parata ntra ṃ sva kārye 'ha ṅkārākhye ja	saMyogaH-ta da BAvAt / nitya mA-iva paratas ntra M sva kArye aha FkAra-AKye ja
   na yita vye pra kṛtyā pūra ma pekṣa te anya thā kṣīṇā sa tī nāha ṅkāra ṃ	na yitaH vye pra kRtyA pUra me pekza te anyaH TA kzINA sa tI na-Aha FkAra M
   ja na yituṃ kṣa mā bha va ti ta thāha ṅkāro 'pi sva kārye pra kṛtyā pūra	ja na yitum kza mA Ba vaH ti te Ta-Aha FkAraH api sva kArye pra kRtyA pUra
   ma pekṣa te eva ṃ kāra ṇa mātra ṃ sva kārye janayitavye tadapekṣāṃ kurute	me pekza te eva m kAra Na mA-atra M sva kArye janayitavye tad-apekzAm kurute
   tathā ca svakārye janayitavye paratantraṃ vyaktam / yata ityabhivyāpya	taTA ca sva-kArye janayitavye paratantram vyaktam / yatas iti-aBivyApya
   yaduktaṃ tadviparītamavyaktam yadyapyavyaktasya pariṇāmalakṣaṇākriyāsti	yat-uktam tat-viparItam-avyaktam yadi-api-avyaktasya pariNAma-lakzaNa-akriyA-asti
   tathāpi na parispandaḥ //	taTA-api na parispandaH //
        idānīṃ vyaktāvyaktayoḥ sādharmyaṃ puruṣācca vaidharmyaṃ	idAnIm vyakta-avyaktayoH sADarmyam puruzAt-ca vEDarmyam
   pratipādanīyam / vyaktaṃ hi triguṇaṃ trayo guṇāḥ sukhaduḥkhamohātmakā	pratipAdanIyam / vyaktam hi triguNam trayaH guNAH suKa-duHKa-moha-AtmakA
   asyeti / atra kāryakāraṇayorabhedāt sukhādiśabdaiḥ sattvādayo 'bhidhīyante	asya-iti / atra kArya-kAraNayoH-aBedAt suKa-Adi-SabdEH sattva-AdayaH aBiDIyante
   triguṇamityuktyā sattvādīnāmātmaguṇatvaṃ parābhimatamapākṛtaṃ veditavyam /	triguNam-iti-uktyA sattva-AdInAm-Atma-guNa-tvam para-aBimatam-apAkRtam veditavyam /
   tathā aviveki yathā pradhānaṃ sato na vivicyate tathā mahadādayo 'pi	taTA aviveki yaTA praDAnam sataH na vivicyate taTA mahat-AdayaH api
   pradhānānna vivicyante tatsvarūpatvāt / yadvā saṃbhūyakāritā 'vivekaḥ	praDAnAn-na vivicyante tad-svarUpa-tvAt / yat-vA saMBUyakAritA avivekaH
   nahyekaṃ kiñcitkāryaṃ janayituṃ kṣamaṃ bhavatyapi tu saṃbhūya sarvaḥ	na-hi-ekam kiQcid-kAryam janayitum kzamam Bavati-api tu saMBUya sarvaH
   sarvaṃ karoti / evamacetanaṃ pradhānabuddhyādayaḥ sarve acetanā tathā	sarvam karoti / evam-acetanam praDAna-budDi-AdayaH sarve acetanA taTA
   prasavarūpadharmavantaḥ / ete vyaktadharmāḥ kathitāsta	prasava-rUpa-DarmavantaH / ete vyakta-DarmAH kaTitAH-ta
   evāvyaktasyāpītyavagantavyamidameva vyaktāvyaktayoḥ sādharmyam //	eva-avyaktasya-api-iti-avagantavyam-idam-eva vyakta-avyaktayoH sADarmyam //
        ete sādharmyavaidharmyābhyāṃ vyaktāvyakte nirūpite	ete sADarmya-vEDarmyAByAm vyakta-avyakte nirUpite
   tadubhayagatadharmarahitatvāt viparītaḥ puruṣa iti puruṣasya	tad-uBaya-gata-Darma-rahita-tvAt viparItaH puruzaH iti puruzasya
   vyaktāvyaktavaidharmyam / nanvahetumattvanityatvādi pradhānasādharmyaṃ	vyakta-avyakta-vEDarmyam / nanu-ahetumat-tva-nitya-tva-Adi praDAna-sADarmyam
   puruṣasya pratīyate tathā cānekatvaṃ vyaktasādharmyamevaṃ sati kathaṃ	puruzasya pratIyate taTA ca-aneka-tvam vyakta-sADarmyam-evam sati kaTam
   vyaktāvyaktaviparītaḥ puruṣa iti cenna ahetumattvādisādharmye	vyakta-avyakta-viparItaH puruzaH iti ced-na ahetumat-tva-Adi-sADarmye
   'pyatraiguṇyādyasyāstyeva vaidharmyamiti na doṣaḥ / na ca	api-atrEguNyAt-yasya-asti-eva vEDarmyam-iti na dozaH / na ca
   traiguṇyamaprasiddham prītyaprītiviṣādātmakā guṇā iti sāṃkhyācāryāḥ / atra	trEguNyam-aprasidDam prIti-aprIti-vizAda-AtmakAH guNAH iti sAMKya-AcAryAH / atra
   krameṇa prītiḥ sukhaṃ tadeva sattvam tathā aprītirduḥkhamaprītyātmako rajo	krameNa prItiH suKam tat-eva sattvam taTA aprItiH-duHKam-aprIti-AtmakaH rajaH-
   guṇaḥ evaṃ viṣādo moho viṣādātmakastamoguṇaḥ / yanmate prītirduḥkhābhāvaḥ	guNaH evam vizAdaH mohaH vizAda-AtmakaH-tamaH-guNaH / yat-mate prItiH-duHKa-aBAvaH
   tathā duḥkhamapi prītyabhāvastannivṛttyarthaṃ mūlakāreṇātmagrahaṇaṃ	taTA duHKam-api prIti-aBAvaH-tad-nivRtti-arTam mUlakAreNa-Atma-grahaNam
   kṛtamātmaśabdasya bhāvatattvena netaretarāśrayastathāsatyekasyāpi	kRtam-Atma-Sabdasya BAva-tattvena na-itaretarASrayaH-taTA-asatI-ekasya-api
   siddhirna syāt / prakāśapravṛttiniyamanameṣāṃ krameṇa	sidDiH-na syAt / prakASa-pravRtti-niyamanam-ezAm krameNa
   prayojanamapyavagantavyam / kriyātmakena rajasa laghu sattvaṃ sarvatra	prayojanam-api-avagantavyam / kriyA-Atmakena rajasa laGu sattvam sarvatra
   nītaṃ syādativāyunā tūlāvayavavadyadi guruṇā tamasā niyamanaṃ na	nItam syAt-ati-vAyunA tUla-avayava-vat-yadi guruNA tamasA niyamanam na
   syāttamoniyataṃ tu kvacideva pravartayati tatastamo niyamārtham /	syAt-tamaH-niyatam tu kvacid-eva pravartayati tatas-tamaH niyama-arTam /
   anyonyābhibhavavṛttayaḥ /	anyonya-aBiBava-vRttayaH /
   eteṣāmanyatamenārthavaśādudbhūtenānyatamamabhibhūyate tadyathā sattvaṃ	etezAm-anyatamena-arTa-vaSAt-udBUtena-anyatamam-aBiBUyate tat-yaTA sattvam
   rajastamasī abhibhūyātmanaḥ śāntāṃ vṛttimadhigacchati tathā rajaḥ	rajaH-tamasI aBiBUya-AtmanaH SAntAm vRttim-aDigacCati taTA rajaH
   sattvatamasī abhibhūya ghorāṃ vṛttimeti evaṃ tamaḥ sattvarajasī abhibhūya	sattva-tamasI aBiBUya GorAm vRttim-eti evam tamaH sattva-rajasI aBiBUya
   mūḍhāmiti / tathā 'nyonyāśrayavṛttayaḥ / yathāhuḥ sattvaṃ	mUXAm-iti / taTA anyonya-ASraya-vRttayaH / yaTA-AhuH sattvam
   pravṛttiniyamāvāśritya rajastamasoḥ prakāśenopakaroti rajaḥ	pravRtti-niyamO=-ASritya rajaH-tamasoH prakASena-upakaroti rajaH
   prakāśaniyamāvāśritya pravṛtyetarayoḥ tamaḥ prakāśapravṛttī āśritya	prakASa-niyamO=-ASritya pravRtya-itarayoH tamaH prakASa-pravRttI ASritya
   niyamenetarayoriti / tathā anyonyajananavṛttayaḥ / anyatamo 'nyatamaṃ	niyamena-itarayoH-iti / taTA anyonya-janana-vRttayaH / anyatamaH anyatamam
   janayati jananamatra parimāṇaḥ sa ca guṇānāṃ sadṛśarūpaḥ / ata eva na	janayati jananam-atra parimANaH sa ca guNAnAm sadRSa-rUpaH / atas eva na
   hetumattvaṃ tattvāntarasya hetorabhāvāt / nāpyanityatvaṃ tattvāntare	hetumat-tvam tattva-antarasya hetoH-aBAvAt / na-api-anitya-tvam tattva-antare
   layābhāvāt / anyonyasaṃjñāvyabhicāriṇaśca / uktañca	laya-aBAvAt / anyonya-saMjQA-vyaBicAriNaH-ca / uktaQca
        anyonyamithunāḥ sarve sarve sarvatragāminaḥ /	anyonya-miTunAH sarve sarve sarvatragAminaH /
        rajaso mithunaṃ sattvaṃ sattvasya mithunaṃ rajaḥ //	rajasaH miTunam sattvam sattvasya miTunam rajaH //
        tamasaścāpi mithune te sattvarajasī ubhe /	tamasaH-ca-api miTune te sattva-rajasI uBe /
        mithunavṛttitvaṃ sahacārāvyabhicāritvam //	miTuna-vRtti-tvam sahacAra-avyaBicAri-tvam //
        ubhayoḥ sattvarajasormithunaṃ tama ucyate /	uBayoH sattva-rajasoH-miTunam tamaH ucyate /
        naiṣāmādiḥ saṃprayogo viyogo vopalabhyate // iti /	nEzAm-AdiH saMprayogaH viyogaH vA-upalaByate // iti /
        niyatakṛtyaṃ tu teṣāmidaṃ laghutvaṃ prakāśakatvaṃ ca sattvasyaiva na	niyata-kRtyam tu tezAm-idam laGu-tvam prakASaka-tvam ca sattvasya-eva na
   tu tayoḥ kasyacit tatrordhvagamanahetubhūto dharmo lāghavaṃ	tu tayoH kasyacid tatra-UrDva-gamana-hetu-BUtaH DarmaH lAGavam
   gauravāsahavarti yato 'gnerūrdhvajvālā gatirbhavati tadeva	gOrava-asahavarti yatas agneH-UrDva-jvAlA gatiH-Bavati tat-eva
   kasyacittiryaggamane heturyathā vāyoḥ / evaṃ karaṇānāṃ	kasyacid-tiryak-gamane hetuH-yaTA vAyoH / evam karaNAnAm
   vṛttikuśalatāheturlāghavaṃ gurutve tu tāni mandāni syuriti sattvasya	vRtti-kuSa-la-tA-hetuH-lAGavam guru-tve tu tAni mandAni syuH-iti sattvasya
   prakāśātmakatvamuktam / sattvatamasī akriyatayā svakāryotpādane 'vasīdantī	prakASa-Atmaka-tvam-uktam / sattva-tamasI akriyatayA sva-kArya-utpAdane avasIdantI
   rajasopaṣṭebhyete / avasādādvimucyotsāhe prayatnavatī kriyete / uktaṃ ca	rajasA-upazweByete / avasAdAt-vimucya-utsAhe prayatnavatI kriyete / uktam ca
        sattvaṃ laghu prakāśakamiṣṭamupaṣṭambhakaṃ calaṃ ca rajaḥ /	sattvam laGu prakASakam-izwam-upazwamBakam calam ca rajaH /
        kuta upaṣṭambhakaṃ yataścalamiti / rajaścalatayā sarvatastraiguṇyaṃ	kutas upazwamBakam yatas-calam-iti / rajaH-cala-tayA sarvatas-trEguNyam
   cālayedyadi guruṇā āvṛṇvatā tamasā tatra pratibandho na syāt tamasā tu	cAlayet-yadi guruNA AvRNvatA tamasA tatra pratibanDaH na syAt tamasA tu
   tatastato vyāvṛttya kvacideva pravartyate iti niyāmakaṃ tamaḥ / yathāhuḥ	tatas-tatas vyAvRttya kvacid-eva pravartyate iti niyAmakam tamaH / yaTA-AhuH
   guru varaṇakameva tama iti / tathāca laghu prakāśakaṃ sattvameva	guru varaNakam-eva tamaH iti / taTA-ca laGu prakASakam sattvam-eva
   upaṣṭambhakaṃ calaṃ ca raja eva guru varaṇakaṃ tama eva / nanu parasparaṃ	upazwamBakam calam ca rajaH eva guru varaNakam tamaH eva / nanu parasparam
   virodhaśīlānāṃ guṇānāṃ sundopasundanyāyena parasparaṃ bādha eva yukto na	viroDa-SIlAnAm guNAnAm sunda-upasunda-nyAyena parasparam bADaH eva yuktaH na
   tvekakāryakartṛtvamiti cet na evaṃbhūtānāmapyekakāryakartṛtāyāḥ	tu-eka-kArya-kartR-tvam-iti ced naH evaMBUtAnAm-api-eka-kArya-kartR-tAyAH
   pradarśanāt / tadyathā varttitaile analavirodhinī athānalena militvā	pradarSanAt / tat-yaTA vartti-tEle anala-viroDinI aTa-analena militvA
   rūpaprakāśalakṣaṇaṃ kāryaṃ kurutaḥ yathāca vātapittaśleṣmāṇaḥ parasparaṃ	rUpa-prakASa-lakzaNam kAryam kurutaH yaTA-ca vAta-pitta-SlezmANaH parasparam
   virodhaśīlā api militāḥ santaḥ śarīradhāraṇakāryyakāriṇaḥ tathā	viroDa-SIlAH api militAH santaH SarIra-DAraNa-kAryya-kAriNaH taTA
   sattvarajastamāṃsi viruddhaśīlānyapi saha vartsyanti militvā caikaṃ	sattva-rajaH-tamAMsi virudDa-SIlAni-api saha vartsyanti militvA ca-ekam
   kāryyaṃ kariṣyanti ca puruṣārthavaśāt / uktañca pradīpavaccārthato	kAryyam karizyanti ca puruza-arTa-vaSAt / uktaQca pradIpa-vat-ca-arTataH-
   vṛttiriti / guṇānāṃ pradhānātmakatvādaikye 'pyabhibhāvyābhibhāvakarūpeṇa	vRttiH-iti / guNAnAm praDAna-Atmaka-tvAt-Ekye api-aBiBAvya-aBiBAvaka-rUpeNa
   nānātvam / uktaṃ ekaiva strī guṇakularūpaśīlayauvanasampannā svāminaṃ	nAnAtvam / uktam ekA-eva strI guNa-kula-rUpa-SIla-yOvana-sampannA svAminam
   sukhākaroti tat kasya hetostaṃ prati tasyāḥ sukharūpasamudbhavāt saiva	suKAkaroti tat kasya hetoH-tam prati tasyAH suKa-rUpa-samudBavAt sA-eva
   sapatnīrduḥkhākaroti tatkasya hetostāṃ prati tasyāḥ duḥkharūpasamudbhavāt	sapatnIH-duHKAkaroti tat-kasya hetoH-tAm prati tasyAH duHKa-rUpa-samudBavAt-
   evaṃ puruṣāntaraṃ tāmavindamānaṃ saiva mohayati tatkasya hetostaṃ prati	evam puruza-antaram tAm-avindamAnam sA-eva mohayati tat-kasya hetoH-tam prati
   tasyāḥ moharūpasamudbhavāt / anayā striyā sarve bhāvā vyākhyātāḥ / tatra	tasyAH moha-rUpa-samudBavAt / anayA striyA sarve BAvAH vyAKyAtAH / tatra
   yatsukhakāraṇaṃ tatsukhātmakaṃ sattvam evaṃ yat duḥkhakāraṇaṃ tat	yat-suKa-kAraNam tad-suKa-Atmakam sattvam evam yat duHKa-kAraNam tat-
   duḥkhātmakaṃ rajaḥ tathā yanmohahetustanmohātmakaṃ tamaḥ /	duHKa-Atmakam rajaH taTA yat-moha-hetuH-tad-moha-Atmakam tamaH /
   tasmātkāraṇavyāpārātsadeva kāryaṃ pūrvam / tadeva	tasmAt-kAraNa-vyApArAt-sat-eva kAryam pUrvam / tat-eva
   punastadvyāpārādāvirbhavati yathā santyeva kūrmāṅgāni niḥsaranti	punar-tad-vyApArAt-AvirBavati yaTA santi-eva kUrma-aFgAni niHsaranti
   vibhajyante idaṃ kūrmaśarīrametāni tadaṅgāni tena tāni saṅkocitāni	viBajyante idam kUrma-SarIram-etAni tad-aFgAni tena tAni saFka-ucitAni
   tasminnavyaktībhavanti tathā mṛtsuvarṇādibhyaḥ santyeva	tasmin=-avyaktIBavanti taTA mRd-suvarNa-AdiByaH santi-eva
   ghaṭakuṇḍalādīnyāvirbhavanti vibhajyante iyaṃ mṛdayaṃ tatkāryo ghaṭa	Gawa-kuNxala-AdIni-AvirBavanti viBajyante iyam mRdayam tad-kAryaH Gawa
   ityādi / tathā santyeva pṛthivyādīni kāraṇāttanmātrādāvirbhavanti	ityAdi / taTA santi-eva pRTivI-AdIni kAraNAt-tanmAtrAt-AvirBavanti
   vibhajyante idamasya kāraṇamidamasya kāryamiti tathā santyeva	viBajyante idam-asya kAraNam-idam-asya kAryam-iti taTA santi-eva
   tanmātrāṇyahaṅkārādāvirbhavanti vibhajyante evaṃ sannevāhaṅkāro mahato	tanmAtrANi-ahaFkArAt-AvirBavanti viBajyante evam san=-eva-ahaFkAraH mahataH-
   'bhivyaktimeti sanneva ca mahānmūlaprakṛterabhivyaktiṃ yāti / evaṃ	aBivyaktim-eti san=-A-iva ca mahAn-mUla-prakRteH-aBivyaktim yAti / evam
   kāraṇabhūtātparamāvyaktātsākṣātpāramparyeṇa samanvitasya kāryabhūtasya	kAraNa-BUtAt-parama-avyaktAt-sAkzAt-pAramparyeNa samanvitasya kArya-BUtasya
   prapañcasya vibhāgaḥ / sargamātraṃ mṛtpiṇḍaṃ hemapiṇḍaṃ vā viśanto	prapaQcasya viBAgaH / sarga-mAtram mRd-piNxam hema-piNxam vA viSantaH-
   ghaṭakuṇḍalādayo 'vyaktībhavanti kāraṇarūpeṇābhivyaktā api	Gawa-kuNxala-AdayaH avyaktIBavanti kAraNa-rUpeNa-aBivyaktAH api
