   Skandapurāṇa: Revākhaṇḍa (RKS)	SkandapurANa: RevAKaNxa (RKS)
   etat te kathitaṃ rājan kalahaṃsasya kīrtanam /	etat te kaTitam rAjan kalahaMsasya kIrtanam /
   svārociṣe 'ntare prāpte ādikalpe kṛte yuge // RKS_14.45 //	svArocize antare prApte Adi kalpe kRte yuge // RKH _14.45 //
   kalahaṃsasya cākhyānān na sīdanti kalau janāḥ /	kalahaMsasya ca AKyAnAn na sIdanti kalO janAH /
   putradārāvṛtānāgha māyāmohasamanvitāḥ /	putra dAra A= Rta anAGa mAyA moha samanvitAH /
   ākhyānasahitaṃ devaṃ karmaṇā manasā girā // RKS_14.46 //	AKyAna sahitam devam karmaNA manasA girA // RKH _14.46 //
   iti śrīskandapurāṇe revākhaṇḍe śivamahimavarṇano nāma caturdaśo 'dhyāyaḥ	iti SrI skandapurANe revAKaNxe SivamahimavarNanaH nAma caturdaSaH aDyAyaH
   RKS adhyāya 15	RKH aDyAyaH 15
   yudhiṣṭhira uvāca:	yuDizWiraH uvAca:
   bhūyaś cecchāmyahaṃ śrotuṃ narmadākīrtanaṃ śubham /	BUyas ca icCAmi aham Srotum narmadA kIrtanam SuBam /
   ākhyānasahitaṃ deva viditaṃ vada sāmpratam // RKS_15.1 //	AKyAna sahitam deva viditam vada sAmpratam // RKH _15.1 //
   mārkaṇḍeya uvāca:	mArkaNxeyaH uvAca:
   śṛṇu rājendra tīrthaṃ vai śivena kathitaṃ purā /	SRNu rAja indra tIrTam vE Sivena kaTitam purA /
   kāmadaṃ mokṣadaṃ caiva yajñadānaprabhāvataḥ // RKS_15.2 //	kAma dam mokza dam ca eva yajQa dAna praBAvataH // RKH _15.2 //
   revāyā uttare kūle kapilāsaṃgamāt param /	revAyAH uttare kUle kapilA saMgamAt param /
   vaidūryāt paścime bhāge vikhyātaṃ narmadāpuram // RKS_15.3 //	vEdUryAt paScime BAge viKyAtam narmadA puram // RKH _15.3 //
   ardhakoṭis tu tīrthānāṃ mahādevena bhārata /	arDa kowiH tu tIrTAnAm mahAdevena BArata /
   śatamaṣṭottara tatra liṅgānāṃ parikīrtitam // RKS_15.4 //	Satam azwa uttara tatra liFgAnAm parikIrtitam // RKH _15.4 //
   yatra vai vasurudraiśca brahmād yaiś ca surāsuraiḥ /	yatra vE vasu rudrEH ca brahmAt yEH ca sura asurEH /
   siddhagandharvayakṣaiś ca vidyādharamahoragaiḥ // RKS_15.5 //	sidDa ganDarva yakzEH ca vidyADara mahA uragEH // RKH _15.5 //
   vedadhvani ninādena vyāptamasti carācaram /	veda Dvani ninAdena vyAptam asti carAcaram /
   yatrāgnir huta homena tridivaṃ paryapūrayat // RKS_15.6 //	yatra agniH huta homena tridivam paryapUrayat // RKH _15.6 //
   devarṣayo mahārāja tathā brahmarṣayaḥ pare /	devarzayaH mahA rAja taTA brahmarzayaH pare /
   āsan rājarṣayas tatra tāpasā vyavasāyinaḥ // RKS_15.7 //	Asan rAjarzayaH tatra tApasAH vyavasAyinaH // RKH _15.7 //
   brāhmaṇāś ca vasanti sma manasā brahmacintanāḥ /	brAhmaNAH ca vasanti sma manasA brahma cintanAH /
   āśramaṃ jamadagneś ca ṛṣikoṭisamāvṛtam // RKS_15.8 //	ASramam jamadagneH ca Rzi kowi samAvRtam // RKH _15.8 //
   kaśyapo gālavo gargo bādarāyaṇaśākaṭau /	kaSyapaH gAlavaH gargaH bAdarAyaNa SAkawO /
   atriś caiva vaśiṣṭhaśca pulastya pulahaḥ kratuḥ // RKS_15.9 //	atriH ca eva vaSizWaH ca pulastya pulahaH kratuH // RKH _15.9 //
   bhṛguś caiva marīciś ca bhāradvājo mahātapāḥ /	BRguH ca eva marIciH ca BAradvAjaH mahA tapAH /
   śākalya ṛṣyaśṛṅgaś ca manur viṣṇur yamo 'ṅgirāḥ // RKS_15.10 //	SAkalyaH RzyaSRFgaH ca manuH vizNuH yamaH aFgirAH // RKH _15.10 //
   vāśiṣṭhadakṣau saṃvartaḥ śātātapaparāśarau /	vASizWa dakzO saMvartaH SAtAtapa parASarO /
   āpastambaḥ śuko vyāsāḥ kātyāyanabṛhaspatī // RKS_15.11 //	ApastambaH SukaH vyAsAH kAtyAyana bRhaspatI // RKH _15.11 //
   hārītaḥ śaṅkhalikhitau yājñavalkyo 'tha gautamaḥ /	hArItaH SaFKa liKitO yAjQavalkyaH aTa gOtamaH /
   agastyaḥ pāvakākhyaś ca durvāsā ugratāpasaḥ // RKS_15.12 //	agastyaH pAvaka AKyaH ca durvAsAH ugra tApasaH // RKH _15.12 //
   śatānandas tathā jahnur vaiśampāyanajaiminī /	SatAnandaH taTA jahnuH vESampAyana jEminI /
   lomaśaś ca vihaṅgaś ca śaunako harir eva ca // RKS_15.13 //	lomaSaH ca vihaFgaH ca SOnakaH hariH eva ca // RKH _15.13 //
   ete cānye 'pi munayo bahavaḥ saṃśitavratāḥ /	ete ca anye api munayaH bahavaH saMSita vratAH /
   jvalantas tapasā tatra sūryatejaḥ samaprabhāḥ // RKS_15.14 //	jvalantaH tapasA tatra sUrya tejaH sama praBAH // RKH _15.14 //
   caturvidyāvedavidaḥ śrutismṛtiviśāradāḥ /	catur vidyA veda vidaH Sruti smRti viSAradAH /
   saṃvatsarakṛtāhārā apāhārakarās tathā // RKS_15.15 //	saMvatsara kRta AhArAH apAhAra karAH taTA // RKH _15.15 //
   māsopavāsinaś cānye tathā pakṣopavāsinaḥ /	mAsa upavAsinaH ca anye taTA pakza upavAsinaH /
   śākāhārānirāhārāḥ tathā 'nye mārutāśanāḥ // RKS_15.16 //	SAka AhAra aniH AhArAH taTA anye mAruta aSanAH // RKH _15.16 //
   kandamūlaphalāhārā mahātmānas tathā pare /	kanda mUla Pala AhArAH mahAtmAnaH taTA pare /
   itihāsapurāṇādi nānāśāstravicintakāḥ // RKS_15.17 //	itihAsa purANa Adi nAnA SAstra vicintakAH // RKH _15.17 //
   mokṣopāyadhṛtātmāno maunikāś ca na maunikāḥ /	mokza upAya DRta AtmAnaH mOnikAH ca na mOnikAH /
   ekapādārddhapādāś ca bhūmau kāraṇabhojinaḥ // RKS_15.18 //	ekapAda ardDa pAdAH ca BUmO kAraNa BojinaH // RKH _15.18 //
   ākhyānaṃ kathayiṣyāmi narmadāpuravāsinām /	AKyAnam kaTayizyAmi narmadA pura vAsinAm /
   jamadagnis tu nivasan muniḥ śivaparāyaṇaḥ // RKS_15.19 //	jamadagniH tu nivasan muniH Siva parAyaNaH // RKH _15.19 //
   narmadāsaṅgame snātvā tatrābhyarcyamaheśvaram /	narmadA saFgame snAtvA tatra aByarcya maheSvaram /
   vividhair gandhapuṣpaiśca tathā 'gurumanoharaiḥ // RKS_15.20 //	viviDEH ganDa puzpEH ca taTA aguru manoharEH // RKH _15.20 //
   dakṣiṇāmūrtim āśritya japannāsīt tathā muneḥ /	dakziNAmUrtim ASritya japan= AsIt taTA muneH /
   māsaṃ ca japatas tasya devadevo maheśvaraḥ // RKS_15.21 //	mAsam ca japataH tasya devadevaH maheSvaraH // RKH _15.21 //
   siddheśvaraṃ nāma liṅgaṃ siddhā yatra surāsurāḥ /	sidDeSvaram nAma liFgam sidDAH yatra sura asurAH /
   uvāca vacanaṃ devo brāhmaṇaṃ prati bhārata // RKS_15.22 //	uvAca vacanam devaH brAhmaNam prati BArata // RKH _15.22 //
   tuṣṭo 'haṃ tava bhaktyā tu rudrajāpyena toṣitaḥ /	tuzwaH aham tava BaktyA tu rudra jApyena tozitaH /
   jamadagniruvāca:	jamadagniH uvAca:
   yadi tuṣṭo mahādeva varaṃ dātuṃ mamecchasi // RKS_15.23 //	yadi tuzwaH mahAdeva varam dAtum mama icCasi // RKH _15.23 //
   homārthaṃ caiva dhenuṃ me dadasva parameśvara /	homa arTam ca eva Denum me dadasva parameSvara /
   dharmakarmaśubhārtheṣu śivapūjāsu tarpaṇe // RKS_15.24 //	Darma karma SuBa arTezu Siva pUjAsu tarpaNe // RKH _15.24 //
   pitṛkārye devakārye gāvaḥ puṇyatamāḥ smṛtāḥ /	pitR kArye deva kArye gAvaH puNyatamAH smRtAH /
   etasmāt kāraṇād īśa homadhenuṃ prayaccha me // RKS_15.25 //	etasmAt kAraNAt ISa homaDenum prayacCa me // RKH _15.25 //
   dattā caiva mahābhāga sarvakāmasamṛddhaye /	dattA ca eva mahABAga sarva kAma samRdDaye /
   evam uktvā dadau rājaṃs tatraivāntaradhīyata // RKS_15.26 //	evam uktvA dadO rAjan tatra eva antaraDIyata // RKH _15.26 //
   yān yān prārthayate kāmāṃs tāṃs tān prāpnoty asau tataḥ /	yAn yAn prArTayate kAmAn tAn tAn prApnoti asO tatas /
   ṛṣīṇāṃ ca sahasrāṇi kāmair bhojayate dvijaḥ // RKS_15.27 //	RzINAm ca sahasrANi kAmEH Bojayate dvijaH // RKH _15.27 //
   hiraṇmayaiḥ svarṇapātrair nānābhakṣyair yathecchayā /	hiraNmayEH svarNa pAtrEH nAnA BakzyEH yaTA icCayA /
   kīrtir brahmarṣibhir mānyaiḥ sarvaiḥ suragaṇais tathā // RKS_15.28 //	kIrtiH brahmarziBiH mAnyEH sarvEH sura gaNEH taTA // RKH _15.28 //
   jamadagner munīndrasya āśrame copavṛṃhitā /	jamadagneH muni indrasya ASrame ca upavRMhitA /
   etāvati gate kāle kārtavīryo nṛpottamaḥ // RKS_15.29 //	etAvati gate kAle kArtavIryaH nRpa uttamaH // RKH _15.29 //
   māhiṣmatīṃ parityajya svargasopānam uttamam /	mAhizmatIm parityajya svarga sopAnam uttamam /
   ekasmin divase rājā mṛgayāṃ ca samāśritaḥ // RKS_15.30 //	ekasmin divase rAjA mRgayAm ca samASritaH // RKH _15.30 //
   vindhyaṃ girimanuprāpto revātīraṃ samāśritaḥ /	vinDyam girim anuprAptaH revA tIram samASritaH /
   hatvā paśusahasrāṇi jamadagnyāśramaṃ gataḥ // RKS_15.31 //	hatvA paSu sahasrANi jamadagni ASramam gataH // RKH _15.31 //
   dehyetāṃ māṃ nijāyogyāṃ gāṃ jagāda muniṃ prati /	dehi etAm mAm nija ayogyAm gAm jagAda munim prati /
   kārtavīryavacaḥ śrutvā jamadagnir bhayākulaḥ /	kArtavIrya vacaH SrutvA jamadagniH Baya AkulaH /
   cintayāmāsa suciraṃ kimetad iti vismitaḥ // RKS_15.32 //	cintayAmAsa su ciram kim etat iti vismitaH // RKH _15.32 //
   dharmo hy adharmarūpeṇa karmabhiḥ puṇyasaṃcitaiḥ /	DarmaH hi aDarma rUpeNa karmaBiH puNya saMcitEH /
   adharmo dharmaphalado gahanā karmaṇo gatiḥ // RKS_15.33 //	aDarmaH Darma Pala daH gahanA karmaNaH gatiH // RKH _15.33 //
   iti cintayatas tasye na kiṃcid bruvato muneḥ /	iti cintayataH tasye na kiMcid bruvataH muneH /
   apahṛtya balād dhenuṃ ghātayitvā ca taṃ munim // RKS_15.34 //	apahRtya balAt Denum GAtayitvA ca tam munim // RKH _15.34 //
   sthānān niragamat tasmāt kārtavīryo nṛpādhamaḥ /	sTAnAt niragamat tasmAt kArtavIryaH nRpa aDamaH /
   kaśādibhis tāḍitā tu homadhenur muhurmuhuḥ // RKS_15.35 //	kaSA AdiBiH tAxitA tu homaDenuH muhur muhur // RKH _15.35 //
   śāpaṃ dattvā tatas tasya punar dhenur divaṅgatā /	SApam dattvA tatas tasya punar DenuH divaFga tA /
   kariṣyate kulāntaṃ ca raiṇukeyo nṛpādhama // RKS_15.36 //	karizyate kula antam ca rENukeyaH nRpa aDamaH // RKH _15.36 //
   hāhākāro mahānāsīlokānāṃ ca yudhiṣṭhira /	hAhAkAraH mahA nAsI lokAnAm ca yuDizWira /
   durācāras tataḥ ko 'yaṃ brāhmaṇānāṃ ca kopakṛt // RKS_15.37 //	durAcAraH tatas kaH ayam brAhmaNAnAm ca kopa kRt // RKH _15.37 //
   atha śrutvā mahādevo bhārgavaḥ pitṛsūtakam /	aTa SrutvA mahAdevaH BArgavaH pitR sUtakam /
   sahasaivāgataḥ kopāt samidho 'gniriva jvalan // RKS_15.38 //	sahasA eva AgataH kopAt samiDaH agniH iva jvalan // RKH _15.38 //
   nihataṃ pitaraṃ dṛṣṭvā kopād dviguṇavikramaḥ /	nihatam pitaram dRzwvA kopAt dviguNa vikramaH /
   jagāma sahasotthāya purīṃ māhiṣmatīṃ prati // RKS_15.39 //	jagAma sahasA utTAya purIm mAhizmatIm prati // RKH _15.39 //
   kārtavīryārjunaṃ dṛṣṭvā kruddhaḥ provāca bhārgavaḥ /	kArtavIrya arjunam dRzwvA krudDaH provAca BArgavaH /
   tiṣṭha tiṣṭha kva gantāsi nihatya pitaraṃ mama // RKS_15.40 //	tizWa tizWa kva gantAsi nihatya pitaram mama // RKH _15.40 //
   ityuktvā 'dāya paraśuṃ ciccheda ca bhujāvanam /	iti uktvA adAya paraSum cicCeda ca Buja avanam /
   śirasaiva samaṃ kopāt kṣatriyāntakaro muniḥ // RKS_15.41 //	SirasA eva samam kopAt kzatriya anta karaH muniH // RKH _15.41 //
   hate tasmin mahāvīrye kārtavīrye durātmani /	hate tasmin mahA vIrye kArtavIrye durAtmani /
   devadundubhayoneduḥ puṣpavṛṣṭiḥ papāta ca // RKS_15.42 //	deva dunduBa yoneduH puzpa vRzwiH papAta ca // RKH _15.42 //
   tat kopād akarot sarvāṃ niḥkṣatrāṃ pṛthivīṃ tadā /	tat kopAt akarot sarvAm niHkzatrAm pRTivIm tadA /
   pratijñāṃ saphalīkṛtya sa jagāma tam āśramam // RKS_15.43 //	pratijQAm saPalIkRtya sa jagAma tam ASramam // RKH _15.43 //
   mātaraṃ ca namaskṛtya tataś cānyān munīśvarān /	mAtaram ca namaskRtya tatas ca anyAn muni ISvarAn /
   devaṃ paraśurāmeśaṃ saṃsthāpya vidhipūrvakam // RKS_15.44 //	devam paraSurAma ISam saMsTApya viDi pUrvakam // RKH _15.44 //
   viśokairaṇḍikā caiva tṛtīyā pāvanī tathā /	viSoka eraNxikA ca eva tRtIyA pAvanI taTA /
   pituścakāra tatraiva sahasaivottarāṃ kriyām // RKS_15.45 //	pituH cakAra tatra eva sahasA eva uttarAm kriyAm // RKH _15.45 //
   devadroṇīti vikhyātā tatrāste kapilā śilā /	deva droNI iti viKyAtA tatra Aste kapilA SilA /
   tatra piṇḍapradānena divaṃ gacchanti pūrvajāḥ // RKS_15.46 //	tatra piNxa pradAnena divam gacCanti pUrvajAH // RKH _15.46 //
   etat te kathitaṃ rājan narmadāpuram uttamam /	etat te kaTitam rAjan narmadA puram uttamam /
   śravaṇāt kīrtanāt tasya divi devatvam āpyate // RKS_15.47 //	SravaNAt kIrtanAt tasya divi deva tvam Apyate // RKH _15.47 //
   iti śrīskandapurāṇe revākhaṇḍe kārtavīryākhyāne pañcadaśo 'dhyāyaḥ ||	iti SrI skandapurANe revAKaNxe kArtavIrya AKyAne paQcadaSaH aDyAyaH ||
   RKS adhyāya 16	RKH aDyAyaH 16
   mārkaṇḍeya uvāca:	mArkaNxeyaH uvAca:
   athānyaṃ saṃpravakṣyāmi saṅgamaṃ lokaviśrutam /	aTa anyam saMpravakzyAmi saFgamam loka viSrutam /
   bṛhatyā narmadāyās tu surāsuraniṣevitam // RKS_16.1 //	bRhatyAH narmadAyAH tu sura asura nizevitam // RKH _16.1 //
   nānādrumalatākīrṇaṃ vindhyaparvatasevitam /	nAnA druma latA AkIrNam vinDya parvata sevitam /
   campakair bakulair yuktamaśokaiḥ stabakair api // RKS_16.2 //	campakEH bakulEH yuktam aSokEH stabakEH api // RKH _16.2 //
   punnāgaiḥ kiṅkirātaiś ca sugandhair nāgakeśaraiḥ /	punnAgEH kiFkirAtEH ca suganDEH nAga keSarEH /
   mallikotpalajātībhiḥ pāṭalaiḥ pārijātakaiḥ // RKS_16.3 //	mallikA utpala jAtIBiH pAwalEH pArijAtakEH // RKH _16.3 //
   āmrajambūkapitthaiś ca śrīphalaiḥ panasais tathā /	Amra jambUka pitTEH ca SrIPalEH panasEH taTA /
   kharjūrair badarībhiś ca dāḍimair bījapūrakaiḥ // RKS_16.4 //	KarjUrEH badarIBiH ca dAximEH bIjapUrakEH // RKH _16.4 //
   aruṣkaraiḥ kṣīravṛkṣair nāraṅgair upaśobhitaiḥ /	aruzkarEH kzIravRkzEH nAraFgEH upaSoBitEH /
   bharaṇāyātmavargasya saṃvidhāya vanecaraḥ // RKS_16.5 //	BaraNAya Atma vargasya saMviDAya vanecaraH // RKH _16.5 //
   mukhagaṇḍūṣasalilaṃ śivāya sa samāharat /	muKa gaNxUza salilam SivAya sa samAharat /
   ajñānabhaktigarbhas tu snāpayitvā phalaṃ dadau // RKS_16.6 //	ajQAna Bakti garBaH tu snApayitvA Palam dadO // RKH _16.6 //
   vāsare vāsare caiva niṣādo dharmatatparaḥ /	vAsare vAsare ca eva nizAdaH Darma tatparaH /
   saumyāyane ca cakṣur vai dattvā saumyaṃ tathātmanaḥ // RKS_16.7 //	sOmya ayane ca cakzuH vE dattvA sOmyam taTA AtmanaH // RKH _16.7 //
   evaṃ sampūjayāmāsa tryambakaṃ vidhipūrvakam /	evam sampUjayAmAsa tryambakam viDi pUrvakam /
   etat te kathitaṃ rājan kalpagā netrasaṅgamam // RKS_16.8 //	etat te kaTitam rAjan kalpa gAH netra saFgamam // RKH _16.8 //
   yudhiṣṭhira uvāca:	yuDizWiraH uvAca:
   bhagavan chrotum icchāmi mahākautūhalaṃ hi me /	Bagavan Srotum icCAmi mahAkOtUhalam hi me /
   saṃjāto muniśārdūla sa kathaṃ netrasaṅgamaḥ // RKS_16.9 //	saMjAtaH muni SArdUla sa kaTam netra saFgamaH // RKH _16.9 //
   mārkaṇḍeya uvāca:	mArkaNxeyaH uvAca:
   ekasmin vāsare prāpte vyatīpāte ca saṃkrame /	ekasmin vAsare prApte vyatIpAte ca saMkrame /
   sa puṣpabhāramādāya praviveśa śivālaye // RKS_16.10 //	sa puzpa BAram AdAya praviveSa Siva Alaye // RKH _16.10 //
   tṛtīyam īkṣaṇaṃ tatra devasya ca na paśyati /	tRtIyam IkzaNam tatra devasya ca na paSyati /
   tadā tu cintayāmāsa vismayāviṣṭa cetanaḥ // RKS_16.11 //	tadA tu cintayAmAsa vismaya Avizwa cetanaH // RKH _16.11 //
   kenāpahṛtam etasya netraṃ devasya pāpmanā /	kena apahRtam etasya netram devasya pApmanA /
   ity uktvā ca svakaṃ netraṃ tīkṣṇabāṇena bhārata // RKS_16.12 //	iti uktvA ca svakam netram tIkzNa bANena BArata // RKH _16.12 //
   lalāṭe devadevasya utkṛtya saṃnyaveśayat /	lalAwe devadevasya utkRtya saMnyaveSayat /
   na kampo na ca kārpaṇyaṃ nā 'nyathā tasya mānasam // RKS_16.13 //	na kampaH na ca kArpaNyam nA anyaTA tasya mAnasam // RKH _16.13 //
   tatas tuṣṭaḥ sureśāno niṣādaṃ prati bhārata /	tatas tuzwaH sureSAnaH nizAdam prati BArata /
   prahasan na bravīd devo varaṃ vṛṇu yathepsitam // RKS_16.14 //	prahasan na bravIt devaH varam vRNu yaTA Ipsitam // RKH _16.14 //
   śivaprasādasampannā buddhir anyā pracakrame /	Siva prasAda sampannA budDiH anyA pracakrame /
   mārkaṇḍeya uvāca:	mArkaNxeyaH uvAca:
   śrutvā tu vacanaṃ śambhoḥ sāṣṭāṅgaṃ praṇipatya saḥ // RKS_16.15 //	SrutvA tu vacanam SamBoH sa azwAFgam praNipatya saH // RKH _16.15 //
   yadi tuṣṭo 'si deveśa varaṃ dātuṃ mamecchasi /	yadi tuzwaH asi deveSa varam dAtum mama icCasi /
   niṣādāsta ime sarve mṛgapakṣigaṇaiḥ saha // RKS_16.16 //	nizAdAH te ime sarve mRga pakzi gaNEH saha // RKH _16.16 //
   saputradārapaśavo ye cānye pāpayonayaḥ /	sa putra dAra paSavaH ye ca anye pApa yonayaH /
   tvat prasādān maheśāna śivalokaṃ prayāntu te // RKS_16.17 //	tvat prasAdAt maheSAna Siva lokam prayAntu te // RKH _16.17 //
   etad varam ahaṃ manye bhūtānāṃ hitakāmyayā /	etat varam aham manye BUtAnAm hita kAmyayA /
   etacchrutvā vacas tasya niṣādādhipateḥ śivaḥ // RKS_16.18 //	etat SrutvA vacaH tasya nizAda aDipateH SivaH // RKH _16.18 //
   uvāca sarvakāmāptiṃ matprasādāt tvamāpsyasi /	uvAca sarva kAma Aptim mad prasAdAt tvam Apsyasi /
   evam uktvā śivo rājaṃs tatraivāntaradhīyata // RKS_16.19 //	evam uktvA SivaH rAjan tatra eva antaraDIyata // RKH _16.19 //
   divyayānasamārūḍho niṣādo 'nucaraiḥ saha /	divya yAna samArUXaH nizAdaH anucarEH saha /
   dhṛtasvarṇātapatraṃ tu vījyamāno 'psarogaṇaiḥ // RKS_16.20 //	DRta svarNa Atapatram tu vIjyamAnaH apsaraH gaNEH // RKH _16.20 //
   divyābharaṇaśobhāḍhyaḥ sarvālaṅkārabhūṣitaḥ /	divya ABaraNa SoBA AXyaH sarva alaFkAra BUzitaH /
   divyavastraparīdhāno divyagandhānulepanaḥ // RKS_16.21 //	divya vastra parIDAnaH divya ganDa anulepanaH // RKH _16.21 //
   surāsuraiḥ stūyamāno veṇuvīṇāpuras saraḥ /	sura asurEH stUyamAnaH veNu vINA puras saraH /
   prāyācchivapuraṃ kṣipraṃ tīrthasyāsya prabhāvataḥ // RKS_16.22 //	prAyAt Siva puram kzipram tIrTasya asya praBAvataH // RKH _16.22 //
   etat te kathitaṃ rājan chivanetrahradāśritam /	etat te kaTitam rAjan Siva netra hradA ASritam /
   anekaśatasaṃkhyātāḥ pāpayoniratā narāḥ // RKS_16.23 //	aneka Sata saMKyAtAH pApa yoni ratAH narAH // RKH _16.23 //
   narmadāśivasaṃyoge saṃsiddhiṃ paramāṃ gatāḥ /	narmadA Siva saMyoge saMsidDim paramAm gatAH /
   avaśa svavaśo vā 'pi yas tu prāṇān parityajet // RKS_16.24 //	avaSa svavaSaH vA api yaH tu prANAn parityajet // RKH _16.24 //
   vased varṣasahasrāṇi umāmāheśvare pure /	vaset varza sahasrANi umA mAheSvare pure /
   śravaṇāt kīrtanāc cāpi mucyate bhavabandhanāt // RKS_16.25 //	SravaNAt kIrtanAt ca api mucyate Bava banDanAt // RKH _16.25 //
   dhanyās te puruṣā rājan ye mriyante śivāyane /	DanyAH te puruzAH rAjan ye mriyante SivAyane /
   na teṣāṃ garbhabhūtiś ca janma caiva yudhiṣṭhira // RKS_16.26 //	na tezAm garBa BUtiH ca janma ca eva yuDizWira // RKH _16.26 //
   putradāraparigrastā mohajālasamāvṛtāḥ /	putra dAra parigrastAH moha jAla samAvRtAH /
   kalpagāṃ tu na paśyanti pāpopahatacetasaḥ // RKS_16.27 //	kalpa gAm tu na paSyanti pApa upahata cetasaH // RKH _16.27 //
   iti śrīskandapurāṇe revākhaṇḍe narmadāmāhātmye hradākhyānaṃ nāma ṣoḍaśo	iti SrI skandapurANe revAKaNxe narmadAmAhAtmye hradAKyAnam nAma zoxaSo
   'dhyāyaḥ ||	aDyAyaH ||
   RKS adhyāya 17	RKH aDyAyaH 17
   mārkaṇḍeya uvāca:	mArkaNxeyaH uvAca:
   athānyat paramaṃ tīrthaṃ kathyamānaṃ nibodha me /	aTa anyat paramam tIrTam kaTyamAnam niboDa me /
   sahasrayajñaṃ vikhyātaṃ triṣu lokeṣu viśrutam // RKS_17.1 //	sahasra yajQam viKyAtam trizu lokezu viSrutam // RKH _17.1 //
   tatra snātvā ca japtvā ca pūjayitvā maheśvaram /	tatra snAtvA ca japtvA ca pUjayitvA maheSvaram /
   na tasya punarāvṛttir ghore saṃsārasāgare // RKS_17.2 //	na tasya punarAvRttiH Gore saMsAra sAgare // RKH _17.2 //
   kathayāmi tavākhyānam itihāsaṃ purātanam /	kaTayAmi tava AKyAnam itihAsam purAtanam /
   tārābalirnāma nāgaḥ kambalāśvatarau tathā // RKS_17.3 //	tArAbaliH nAma nAgaH kambala aSvatarO taTA // RKH _17.3 //
   śvetoragās tathā cānye bhujaṅgāś ca tathā 'pare /	Sveta uragAH taTA ca anye BujaFgAH ca taTA apare /
   nāgeśvaraṃ te 'rcayanti nānāpuṣpavilepanaiḥ // RKS_17.4 //	nAgeSvaram te arcayanti nAnA puzpa vilepanEH // RKH _17.4 //
   nāgapūgāḥ samāsādya pūjayanti maheśvaram /	nAga pUgAH samAsAdya pUjayanti maheSvaram /
   gargo 'ghamarṣaṇaś caiva cyavanaḥ śaunako 'ṅgirāḥ // RKS_17.5 //	gargaH aGamarzaNaH ca eva cyavanaH SOnakaH aFgirAH // RKH _17.5 //
   ete cānye 'pi bahavo brahmavidyāṅgapāragāḥ /	ete ca anye api bahavaH brahma vidyA aFga pAragAH /
   nāgānāṃ cāśramaṃ hartuṃ tatra sarve hy upasthitāḥ // RKS_17.6 //	nAgAnAm ca ASramam hartum tatra sarve hi upasTitAH // RKH _17.6 //
   tatastaiḥ kupitair nāgair daṣṭāś caiva dvijottamāḥ /	tatas tEH kupitEH nAgEH dazwAH ca eva dvijottamAH /
   viṣāghrātān munīn dṛṣṭvā kupitaś cāghamarṣaṇaḥ // RKS_17.7 //	viza AGrAtAn munIn dRzwvA kupitaH ca aGamarzaNaH // RKH _17.7 //
   vāhanaṃ vāsudevasya pakṣirājaṃ samāhvayat /	vAhanam vAsudevasya pakzi rAjam samAhvayat /
   tatkṣaṇād āgataḥ pakṣī garuḍaḥ krodhamūrchitaḥ // RKS_17.8 //	tad kzaNAt AgataH pakzI garuxaH kroDa mUrCitaH // RKH _17.8 //
   kṛtāñjalipuṭo bhūtvā brāhmaṇaṃ cedamabravīt /	kRta aQjali puwaH BUtvA brAhmaNam ca idam abravIt /
   bhujaṅgān bhakṣayiṣyāmi brāhmaṇā nirviṣās tataḥ // RKS_17.9 //	BujaFgAn BakzayizyAmi brAhmaNAH nirvizAH tatas // RKH _17.9 //
   brahmaśāpabhayārtena garuḍena viṣolbaṇāḥ /	brahma SApa Baya Artena garuxena viza ulbaNAH /
   bhakṣitāḥ pannagāḥ sarve mocitā munayo viṣāt // RKS_17.10 //	BakzitAH pannagAH sarve mocitAH munayaH vizAt // RKH _17.10 //
   pakṣīndre ca gate sthāne bhakṣayitvā bhujaṅgamān /	pakzi indre ca gate sTAne BakzayitvA BujaFgamAn /
   avaśiṣṭās tu ye nāgā viviśuste rasātalam // RKS_17.11 //	avaSizwAH tu ye nAgAH viviSuH te rasAtalam // RKH _17.11 //
   āplave ca susaṃprāpte pravāho nārmadaḥ kṣaṇāt /	Aplave ca su saMprApte pravAhaH nArmadaH kzaNAt /
   asthīni srāvayāmāsa tato nāgā divaṃ yayuḥ // RKS_17.12 //	asTIni srAvayAmAsa tatas nAgAH divam yayuH // RKH _17.12 //
   sarpayoniṃ parityajya loke krīḍanti śāmbhave /	sarpa yonim parityajya loke krIxanti SAmBave /
   nāgeśvarasya revāyāḥ samparkāt pāpamokṣaṇam // RKS_17.13 //	nAgeSvarasya revAyAH samparkAt pApa mokzaNam // RKH _17.13 //
   tatra nāgahradaś cāste triṣu lokeṣu viśrutaḥ /	tatra nAgahradaH ca Aste trizu lokezu viSrutaH /
   tatra snāto divaṃ yāti yo nāgeśvaramarcayet // RKS_17.14 //	tatra snAtaH divam yAti yaH nAgeSvaram arcayet // RKH _17.14 //
   ayaṃ te kathito rājannitihāsaḥ purātanaḥ /	ayam te kaTitaH rAjan= itihAsaH purAtanaH /
   śravaṇāt kīrtanād vā 'pi mucyate bhavabandhanāt // RKS_17.15 //	SravaNAt kIrtanAt vA api mucyate Bava banDanAt // RKH _17.15 //
