   advaitaprakaraṇaṃ	advEta-prakaraNam
   utpattyādivarjitasyādvayasyātmatatvasya śrutipramāṇakatvapradarśanārthaṃ	utpatti-Adi-varjitasya-advayasya-Atmata-tvasya Sruti-pramANaka-tva-pradarSana-arTam
   vākyānyupanyasyante-	vAkyAni-upanyasyante-
   rasādayo hi ye kośā vyākhyātās taittirīyake /	rasa-AdayaH hi ye koSAH vyAKyAtAH tEttirIyake /
   teṣām ātmā paro jīvaḥ khaṃ yathā saṃprakāśitaḥ // MandUpK_3.11 //	tezAm AtmA paraH jIvaH Kam yaTA saMprakASitaH // Mandu-upK_3.11 //
   MandUpKC_3.11	Mandu-upKC_3.11
   rasādayo 'nnarasamayaḥ prāṇamaya ityevamādayaḥ kośā iva kośā	rasa-AdayaH anna-rasa-mayaH prANa-mayaH iti-evamAdayaH koSAH iva koSA
   asyāderivottarottarasyāpekṣayā bahirbhāvātpūrvapūrvasya vyākhyātā	asya-AdeH-iva-uttarottarasya-apekzayA bahis-BAvAt-pUrva-pUrvasya vyAKyAtA
   vispaṣṭamākhyātāstaittirīyake taittirīyakaśākhopaniṣadvallyāṃ teṣāṃ	vispazwam-AKyAtAH-tEttirIyake tEttirIyaka-SAKA-upanizadvallyAm tezAm
   kośānāmātmā yenātmanā pañcāpi kośā ātmavanto 'ntaratamena, sa hi sarveṣāṃ	koSAnAm-AtmA yena-AtmanA paQca-api koSAH AtmavantaH antaratamena, sa hi sarvezAm
   jīvananimittatvājjīvaḥ /	jIvana-nimitta-tvAt-jIvaH /
   ko 'sāvityāha-para evātmā yaḥ pūrvam"satyaṃ jñānamanantaṃ brahma"(tai.u.2	kaH asO=-iti-Aha--paraH eva-AtmA yaH pUrvam-"satyam jQAnam-anantam brahma-"(tE.u.2
   / 1) iti prakṛtaḥ /	/ 1) iti prakRtaH /
   yasmādātmanaḥ spapnamāyādivadākāśādikrameṇa rasādayaḥ kośalakṣaṇāḥ	yasmAt-AtmanaH spapna-mAyA-Adi-vat-AkASa-Adi-krameNa rasa-AdayaH koSa-lakzaNAH
   saṃghātā ātmamāyāvisarjitā ityuktam /	saMGAtAH Atma-mAyA-visarjitAH iti-uktam /
   sa ātmāsmābhiryathā khaṃ tatheti saṃprakāśitaḥ"ātmā hyākāśavat"(advaita.3)	saH AtmA-asmABiH-yaTA Kam taTA-iti saMprakASitaH"AtmA hi-AkASavat"(a-dvEta.3)
   ityādiślaukaiḥ /	iti-AdiSlOkEH /
   na tārkikaparikalpitātmavatpuruṣabuddhipramāṇagamya ityabhiprāyaḥ //11//	na tArkika-parikalpita-Atma-vat-puruza-budDi-pramANa-gamyaH iti-aBiprAyaH //11//
   START MandUpK 3.12	START Mandu-upK 3.12
   dvayor dvayor madhujñāne paraṃ brahma prakāśitam /	dvayoH dvayoH maDu-jQAne param brahma prakASitam /
   pṛthivyāmudare caiva yathākāśaḥ prakāśitaḥ // MandUpK_3.12 //	pRTivyAm-udare ca-eva yaTA-AkASaH prakASitaH // Mandu-upK_3.12 //
   MandUpKC_3.12	Mandu-upKC_3.12
   kiṃ cādhidaivamadhyātmaṃ ca tejomayo 'mṛtamayaḥ puruṣaḥ	kim ca-aDidEvam-aDyAtmam ca tejaH-mayaH amRta-mayaH puruzaH
   pṛthivyādyantargato yo vijñātā para evātmā brahma sarvamiti	pRTivI-Adi-antargataH yaH vijQAtA paraH eva-AtmA brahma sarvam-iti
   dvayordvayorādvaitakṣayātparaṃ brahma prakāśitam /	dvayoH-dvayoH-At-vA-eta-kzayAt-param brahma prakASitam /
   kvetyāha- brahmavidyākhyaṃ madhvamṛtamamṛtatvaṃ modanahetutvādvijñāyate	kva-iti-Aha brahma-vidyA-AKyam maDu-amRtam-amRta-tvam modana-hetu-tvAt-vijQAyate
   yasminniti madhujñānaṃ madhubrāhmaṇaṃ tasminnityarthaḥ /	yasmin=-iti maDu-jQAnam maDu-brAhmaNam tasmin=-iti-arTaH /
   kimivetyāha-pṛthivyāmudare caiva yathaika ākāśo 'numānena prakāśito loke	kim-iva-iti-Aha--pRTivyAm-udare ca-eva yaTA-ekaH AkASaH anumAnena prakASitaH loke
   tadvadityarthaḥ //12//	tadvat-iti-arTaH //12//
   START MandUpK 3.13	START Mandu-upK 3.13
   jīvātmanor ananyatvam abhedena praśasyate /	jIvAtmanoH ananya-tvam aBedena praSasyate /
   nānātvaṃ nindyate yac ca tad evaṃ hi samañjasam // MandUpK_3.13 //	nAnAtvam nindyate yat ca tat evam hi samaQjasam // Mandu-upK_3.13 //
   MandUpKC_3.13	Mandu-upKC_3.13
   yadyuktitaḥ śrutitaśca nirdhāritaṃ jīvasya parasya cātmano	yat-i-uktitaH SrutitaH-ca nirDAritam jIvasya parasya ca-AtmanaH-
   jīvātmanoranyatvamabhedena praśasyate stūyateśāstreṇa vyāsādibhiśca /	jIva-AtmanoH-anya-tvam-aBedena praSasyate stUyateSa-astreNa vyAsa-AdiBiH-ca /
   yacca sarvaprāṇisādhāraṇaṃ svābāvikaṃ śāstrabahiṣkṛtaiḥ	yat-ca sarva-prANi-sADAraNam svAbAvikam SAstra-bahizkRtEH
   kutārkikairviracitaṃ nānātvadarśanaṃ nindyate"na tu	kutArkikEH-viracitam nAnAtva-darSanam nindyate"na tu
   taddvītīyamasti"(bṛ.u.4 / 3 / 23) "dvitīyādvai bhayaṃ bhavati"(bṛ.u.1 / 4	tat-dvItIyam-asti"(bR.u.4 / 3 / 23) "dvitIyAt-vE Bayam Bavati-"(bR.u.1 / 4
   / 2) "udaramantaraṃ kurute, ata tasya bhayaṃ bhavati"(tai.u.2 / 7 / 1)	/ 2) "udaram-antaram kurute, atas tasya Bayam Bavati-"(tE.u.2 / 7 / 1)
   "idaṃ sarvaṃ yadayamātmā"(bṛ.u.2 / 4 / 6, 4 / 5 / 7) "mṛtyoḥ sa	"idam sarvam yat-ayam-Atma-a"(bR.u.2 / 4 / 6, 4 / 5 / 7) "mRtyoH sa
   mṛtyumāpnoti ya iha nāneva paśyati"(ka.u.2 / 1 / 10)	mRtyum-Apnoti yaH iha nAnA-iva paSyati"(ka.u.2 / 1 / 10)
   ityādivākyaiścānyaiśca brahmavidbhiḥ /	ityAdi-vAkyEH-ca-anyEH-ca brahma-vidBiH /
   yaccaitattadevaṃ hi samañjasamṛjvavabodhaṃ nyāyyamityarthaḥ /	yat-ca-etat-tat-evam hi samaQjasam-Rju-avaboDam nyAyyam-iti-arTaH /
   yāstu tārkikaparikalpitāḥ kudṛṣṭayastā anṛjvyo nirūpyamāṇā na ghaṭanāṃ	yAH-tu tArkika-parikalpitAH kudRzwayaH-tAH anRjvyaH nirUpyamANAH na GawanAm
   prāñcantītyabhiprāyaḥ //13//	prAQcanti-iti-aBiprAyaH //13//
   START MandUpK 3.14	START Mandu-upK 3.14
   jīvātmanoḥ pṛthaktvaṃ yat prāgutpatteḥ prakīrtitam /	jIvAtmanoH pRTaktvam yat prAk-utpatteH prakIrtitam /
   bhaviṣyadvṛtyā gauṇaṃ tan mukhyatvaṃ hi na yujyate // MandUpK_3.14 //	Bavizyat-vRtyA gONam tat muKya-tvam hi na yujyate // Mandu-upK_3.14 //
   MandUpKC_3.14	Mandu-upKC_3.14
   nanu śrutyāpi jīvaparamātmanoḥ pṛthaktvaṃ	nanu SrutyA-api jIva-paramAtmanoH pRTaktvam
   yatprāgutpatterutpatyarthopaniṣadvākyebhyaḥ pūrvaṃ prakīrtitaṃ karmakāṇḍe	yad-prAk-utpatteH-utpati-arTa-upanizad-vAkyeByaH pUrvam prakIrtitam karma-kANxe
   'nekaśaḥ kāmabhedata idaṅkāmo 'daḥkāma iti; paraśca"sa dādhāra pṛthivīṃ	anekaSas kAma-BedataH idaFkAmaH adaHkAmaH iti; paraSca"sa dADAra pRTivIm
   dyām"(ṛ.saṃ.10 / 12 / 1) ityādimantravarṇaiḥ; tatra kathaṃ	dyAm"(R.saM.10 / 12 / 1) ityAdi-mantra-varNEH; tatra kaTam
   karmajñānakāṇḍavākyavirodhe jñānakāṇḍavākyārthasyaivaikatvasya	karma-jQAna-kANxa-vAkya-viroDe jQAna-kANxa-vAkya-arTasya-eva-eka-tvasya
   sāmañjasyamavadhāryata iti?	sAmaQjasyam-avaDAryate iti?
   atrocyate-"yato ve9māni bhūtāni jāyante"(tai.u.3 / 1) "yathāgneḥ kṣudrā	atra-ucyate-"yataH ve9mAni BUtAni jAyante"(tE.u.3 / 1) "yaTA-agneH kzudrA
   visphuliṅgāḥ"(bṛ.u.2 / 1 / 10) "tasmādvai9tasmādātmana ākāśaḥ	visPuliFgAH"(bR.u.2 / 1 / 10) "tasmAt-vE9tasmAt-AtmanaH AkASaH
   saṃbhūtaḥ"(tai.u.2 / 1 / 2) "tadaikṣata"(chā.u.6 / 2 / 3)	saMBUtaH"(tE.u.2 / 1 / 2) "tad-A-Ekzata"(-CA.u.6 / 2 / 3)
   "tattejosṛjata"(chā.u.6 / 2 / 3) ityādyutpattyarthopaniṣadvākyebhyaḥ	"tad-tejaH-sRjata-"(CA.u.6 / 2 / 3) ityAdi-utpatti-arTa-upanizad-vAkyeByaH
   prākpṛthaktvaṃ karmakāṇḍe prakīrtitiṃ yattanna paramārtham /	prAk-pRTak-tvam karma-kANxe prakIrtitim yat-tat-na parama-arTam /
   kiṃ tarhi? gauṇaṃ mahākāśaghaṭākāśādibhedavat /	kim tarhi? gONam mahA-AkASa-Gawa-AkASa-Adi-Beda-vat /
   yathaudanaṃ pacatīti bhaviṣyadvṛttyā yadvat /	yaTA-odanam pacati-iti Bavizyat-vRttyA yadvat /
   na hi bhedavākyānāṃ kadācidapi mukhyabhedārthatvamupapadyate /	na hi Beda-vAkyAnAm kadAcid-api muKya-Beda-arTa-tvam-upapadyate /
   svābhāvikāvidyāvatprāṇibhedadṛṣṭyanuvāditvādātmabhedavākyānām /	svABAvikA-vidyAvat-prANi-Beda-dRzwi-anuvAdi-tvAt-Atma-Beda-vAkyAnAm /
   iva copāniṣatsūtpattipralayādivākyairjīvaparamātmanorekatvameva	iva ca-upAnizatsu-utpatti-pralaya-Adi-vAkyEH-jIva-paramAtmanoH-eka-tvam-eva
   pratipipādayiṣitam"tattvamasi" (chā.u.6 / 8 -16)"anyo 'sāvanyo 'hamasmīti	pratipipAdayizitam-"tattvam-asi" (CA.u.6 / 8 -16)"anyaH asO=-anyaH aham-asmi-iti
   na sa veda"(bṛ.u.1 / 4 / 10) ityādibhiḥ /	na sa veda-"(bR.u.1 / 4 / 10) ityAdiBiH /
   ata upaniṣatsv ekatvaṃ śrutyā pratipādayiṣitaṃ bhaviṣyatīti	atas upanizatsu eka-tvam SrutyA pratipAdayizitam Bavizyati-iti
   bhāvinīmekavṛttimāśritya loke bhedadṛṣṭyanuvādo gauṇa evetyabhiprāyaḥ /	BAvinIm-eka-vRttim-ASritya loke Beda-dRzwi-anuvAdaH gONaH eva-iti-aBiprAyaH /
   atha vā"tadaikṣata" (chā.u.6 / 2 / 3) "tattojo 'sṛjata"(chā.u.6 / 2 / 3)	aTa vA"tadEkzata" (CA.u.6 / 2 / 3) "tattojaH asRjata-"(-CA.u.6 / 2 / 3)
   ityādyutpatteḥ prāk"ekamevādvitīyam"(chā.u.6 / 2 / 2) ityekatvaṃ	ityAdi-utpatteH prAk"ekam-eva-advitIyam-"(CA.u.6 / 2 / 2) iti-eka-tvam
   prakīrtitam /	prakIrtitam /
   tadeva ca"tatsatyaṃ sa ātmā tattvamasi"(chā.u.6 / 8 -16) ityekatvaṃ	tat-eva ca"tat-satyam saH AtmA tat-tvam-asi"(-CA.u.6 / 8 -16) iti-eka-tvam
   bhaviṣyatīti tāṃ bhaviṣyadvṛttipekṣya yajjīvātmanoḥ pṛthaktvaṃ yatra	Bavizyati-iti tAm Bavizyat-vRtti-pekzya yat-jIva-AtmanoH pRTaktvam yatra
   kvacidvākye gamyamānaṃ tadgauṇam, yathodanaṃ pacatīti tadvat //14//	kvacid-vAkye gamyamAnam tad-gONam, yaTodanam pacati-iti tadvat //14//
   START MandUpK 3.15	START Mandu-upK 3.15
   nanu yadyutpatteḥ prāgajaṃ sarvamekamevādvitīyaṃ tathāpyutpatterūrdhvaṃ	nanu yadi-utpatteH prAgajam sarvam-ekam-eva-advitIyam taTA-api-utpatteH-UrDvam
   jātamidaṃ sarvaṃ jīvāśca bhinnā iti, maivam; anyārthatvādutpattiśrutīnām /	jAtam-idam sarvam jIvAH-ca BinnA iti, mA-evam; anya-arTa-tvAt-utpatti-SrutInAm /
   pūrvamapi parihṛtya evāyaṃ doṣaḥ svapnavadātmamāyāvisarjitāḥ saṃghātā	pUrvam-api parihRtya eva-ayam dozaH svapna-vat-Atma-mAyA-visarjitAH saMGAtA
   ghaṭākāśotpattibhedādivajjīvānāmutpattibhedādiriti /	Gawa-AkASa-utpatti-Beda-Adi-vat-jIvAnAm-utpatti-Beda-AdiH-iti /
   ita evotpattibhedādiśrutibhya ākṛṣye7ha	itas eva-utpatti-Beda-Adi-SrutiByaH AkRzyet-ha
   punarutpattiśrutīnāmaidaṃparyapratipipādayiṣayopanyāsaḥ-	punar-utpatti-SrutInAm-EdaMparya-pratipipAdayizayA-upanyAsaH-
   mṛllohavisphuliṅgādyaiḥ sṛṣṭir yā coditānyathā /	mRd-loha-visPuliFga-AdyEH sRzwiH yA coditA-anyaTA /
   upāyaḥ so 'vatārāya nāsti bhedaḥ kathañcana // MandUpK_3.15 //	upAyaH saH avatArAya na-asti BedaH kaTaQcana // Mandu-upK_3.15 //
   MandUpKC_3.15	Mandu-upKC_3.15
   mṛllokavisphuliṅgādidṛṣṭāntopanyāsaiḥ sṛṣṭiryā coditā	mRd-loka-visPuliFga-Adi-dRzwAnta-upanyAsEH sRzwiH-yA coditA
   prakāśitānyathānyathā ca sa sarvaḥ sṛṣṭiprakāro	prakASitA-anyaTa-anyaTA ca sa sarvaH sRzwi-prakAraH-
   jīvaparamātmaikatvabuddhyavatārayopāyo 'smākam /	jIva-paramAtmA-ekatva-budDi-avatAraya-upAyaH asmAkam /
   yathā prāṇasaṃvāde vāgādyāsurapāpmavedhādyākhyāyikā kalpitā	yaTA prANa-saMvAde vAc-Adya-asura-pApma-veDa-Adi-AKyAyikA kalpitA
   prāṇavaiśiṣṭyabodhāvatārāya /	prANa-vESizwya-boDa-avatArAya /
   tadapyasiddhamiti cet /	tat-api-asidDam-iti ced /
   na; śākhābhedeṣvanyathānyathā ca prāṇādisaṃvādaśravaṇāt /	na; SAKA-Bedezu-anyaTA-anyaTA ca prANa-Adi-saMvAda-SravaNAt /
   yadi hi saṃvādaḥ paramārtha evābhūdekarūpa eva saṃvādaḥ	yadi hi saMvAdaH parama-arTaH eva-aBUt-eka-rUpaH eva saMvAdaH
   sarvaśākhāsvaśroṣyata viruddhānekaprakāreṇa nāśroṣyata /	sarva-SAKAsu-aSrozyata virudDa-aneka-prakAreNa na-aSrozyata /
   śrūyate tu; tasmānna tādarthyaṃ saṃvādaśrutīnām /	SrUyate tu; tasmAt-na tAdarTyam saMvAda-SrutInAm /
   tathotpattivākyāni pratyetavyāni /	taTA-utpatti-vAkyAni pratyetavyAni /
   kalpasargabhedātsaṃvādaśrutīnāmutpattiśrutīnāṃ ca	kalpa-sarga-BedAt-saMvAda-SrutInAm-utpatti-SrutInAm ca
   pratisargamanyathātvamiti cet?	pratisargam-anyaTAtvam-iti ced-?
   na; niṣprayojanatvādyathoktabuddhyavatāraprayojanavyatirekeṇa /	na; nizprayojana-tvAt-yaTa-ukta-budDi-avatAra-prayojana-vyatirekeNa /
   na hyanyaprayojanavattvaṃ saṃvādotpattiśrutīnāṃ śakyaṃ kalpayitum /	na hi-anya-prayojanavat-tvam saMvAda-utpatti-SrutInAm Sakyam kalpayitum /
   tathātvapratipattaye dhyānārthamiti cenna; kalahotpattipralayānāṃ	taTA-tva-pratipattaye DyAna-arTam-iti ced-na; kalaha-utpatti-pralayAnAm
   pratipatteraniṣṭatvāt /	pratipatteH-anizwa-tvAt /
   tasmādutpattyādiśrutaya ātmaikatvabuddhyavatārāyaiva nānyārthāḥ kalpayituṃ	tasmAt-utpatti-Adi-Srutaye AtmA-ekatva-budDi-avatArAya-eva na-anyArTAH kalpayitum
   yuktāḥ /	yuktAH /
   ato nāstyutpattyādikṛto bhedaḥ kathañcana //15//	atas na-asti-utpatti-Adi-kRtaH BedaH kaTaQcanaH //15//
   START MandUpK 3.16	START Mandu-upK 3.16
   yadi para evātmā nityaśuddhabuddhamuktasvabhāva ekaḥ paramārthaḥ	yadi paraH eva-AtmA nitya-SudDa-budDa-mukta-svaBAvaH ekaH parama-arTaH
   san"ekamevādvitīyam" (chā.u.6 / 2 / 2) ityādiśrutibhyo	san"ekam-eva-advitIyam" (CA.u.6 / 2 / 2) ityAdi-SrutiByaH-
   'sadanyatkimartheyamupāsanopadiṣṭā"ātmā vā9re draṣṭavyaḥ"(bṛ.u.2 / 4 / 5)	asat-anyat-kimarTA-iyam-upAsana-upadizwA"AtmA vA9re drazwavyaH"(bR.u.2 / 4 / 5)
   "ya ātmāpahatapāpmā"(chā.u.8 / 7 / 1,3) "sa kratuṃ kurvīta"(chā.u.3 / 14 /	"yaH Atma-apahata-pApmA-a"(-CA.u.8 / 7 / 1,3) "sa kratum kurvIta"(-CA.u.3 / 14 /
   1) "ātmetyevopāsīta"(bṛ.u.1 / 4 / 7) ityādiśrutibhyaḥ, karmāṇi	1) "a-AtmA-iti-eva-upAsIta-"(bR.u.1 / 4 / 7) iti-Adi-SrutiByaH, karmANi
   cāgnihotrādīni?	ca-agnihotra-AdIni?
   śṛṇu tatra kāraṇam-	SRNu tatra kAraNam-
   āśramāstrividhā hīnamadhyamotkṛṣṭadṛṣṭayaḥ /	ASramAH-triviDAH hIna-maDyama-utkRzwa-dRzwayaH /
   upāsanopadiṣṭeyaṃ tadartham anukampayā // MandUpK_3.16 //	upAsana-upadizwA-iyam tad-arTam anukampayA // Mandu-upK_3.16 //
   MandUpKC_3.16	Mandu-upKC_3.16
   upāsanopadiṣṭeyaṃ tadarthaṃ mandamadhyamadṛṣṭyāśramādyarthaṃ karmāṇi ca,	upAsana-upadizwA-iyam tad-arTam manda-maDyama-dRzwi-ASrama-Adi-arTam karmANi ca,
   na cātmaika evādvitīya iti niścitottamadṛṣṭyarthaṃ dayālunā	na ca-AtmA-ekaH eva-advitIyaH iti niScita-uttama-dRzwi-arTam dayAlunA
   vedenānukampayā sanmārgagāḥ santaḥ kathamimāmuttamāmekatvadṛṣṭiṃ	vedena-anukampayA sat-mArga-gAH santaH kaTam-imAm-uttamAm-eka-tva-dRzwim
   prāpnuyuriti /	prApnuyuH-iti /
   "yanmanasā na manute yenāhurmano matam /	"yat-manasA na manute yena-AhuH-manaH matam /
   tadeva brhama tvaṃ viddhi nedaṃ yadidamupāsate"(ke.u.1 / 4)	tat-eva brhama tvam vidDi na-idam yat-idam-upAsate"(ke.u.1 / 4)
   "tattvamasi"(chā.u.6 / 8 -16)"ātmaivedaṃ sarvam"(chā.u.7 / 25 / 3)	"tattvam-asi"(-CA.u.6 / 8 -16)"AtmA-eva-idam sarvam"(CA.u.7 / 25 / 3)
   ityādiśrutibhyaḥ //16//	ityAdi-SrutiByaH //16//
   START MandUpK 3.17	START Mandu-upK 3.17
   śāstropapattibhyāmavadhāritatvādadvayātmadarśanaṃ samyagdarśanaṃ	SAstra-upapattiByAm-avaDArita-tvAt-advaya-Atma-darSanam samyak-darSanam
   tadbāhyatvānmithyādarśanamanyat /	tad-bAhya-tvAt-miTyA-darSanam-anyat /
   itaśca mithyādarthanaṃ dvaitīnāṃ rāgadveṣādidoṣāspadatvāt /	itas-ca miTyAdarTanam dvEtInAm rAga-dveza-Adi-doza-Aspada-tvAt /
   katham?	kaTam?
   svasiddhāntavyavasthāsu dvaitino niścitā dṛḍham /	sva-sidDAnta-vyavasTAsu dvEtinaH niScitA dRXam /
   parasparaṃ virudhyante tairayaṃ na virudhyate // MandUpK_3.17 //	parasparam viruDyante tEH-ayam na viruDyate // Mandu-upK_3.17 //
   MandUpKC_3.17	Mandu-upKC_3.17
   svasiddhāntavyavasthāsu svasiddhāntaracanāniyameṣu	sva-sidDAnta-vyavasTAsu sva-sidDAnta-racanA-niyamezu
   kapilakaṇādabuddharhatādidṛṣṭyanusāriṇo dvaitino niścitāḥ /	kapila-kaNAda-budDarhata-Adi-dRzwi-anusAriNaH dvEtinaH niScitAH /
   evamevaiṣa paramārtho nānyatheti tatra tatrānuraktāḥ pratipakṣaṃ cātmanaḥ	evam-eva-eza parama-arTaH na-anyaTA-iti tatra tatra-anuraktAH pratipakzam ca-AtmanaH
   paśyantastaṃ dviṣanta ityevaṃ rāgadveṣopetāḥ svasiddhāntadarśananimittam	paSyantaH-tam dvizante iti-evam rAga-dveza-upetAH sva-sidDAnta-darSana-nimittam
   eva parasparamanyonyaṃ virudhyante /	eva parasparam-anyonyam viruDyante /
   tairanyonyavirodhibhirasmadīyo 'yaṃ vaidikaḥ	tEH-anyonya-viroDiBiH-asmadIyaH ayam vEdikaH
   sarvānanyatvādātmaikatvadarśanapakṣo na virudhyate yathā	sarvAn-anya-tvAt-AtmA-ekatva-darSana-pakzaH na viruDyate yaTA
   svahastapādādibhiḥ /	sva-hasta-pAda-AdiBiH /
   evaṃ rāgadveṣādidoṣānāspadātmaikatvabuddhireva samyagdarśanamityabhiprāyaḥ	evam rAga-dveza-Adi-dozAn-Aspada-AtmA-ekatva-budDiH-eva samyak-darSanam-iti-aBiprAyaH
   START MandUpK 3.18	START Mandu-upK 3.18
   kena hetunā tairna virudhyata ityucyate-	kena hetunA tEH-na viruDyate iti-ucyate-
   advaitaṃ paramārtho hi dvaitaṃ tadbheda ucyate /	advEtam parama-arTaH hi dvEtam tad-BedaH ucyate /
   teṣām ubhayathā dvaitaṃ tenāyaṃ na viruddhyate // MandUpK_3.18 //	tezAm uBayaTA dvEtam tena-ayam na virudDyate // Mandu-upK_3.18 //
   MandUpKC_3.18	Mandu-upKC_3.18
   advaitaṃ paramārtho hi yasmādadvaitaṃ nānātvaṃ tasyādvaitasya	advEtam parama-arTaH hi yasmAt-advEtam nAnAtvam tasya-advEtasya
   bhedastadbhedastasya kāryamityarthaḥ /	BedaH-tad-BedaH-tasya kAryam-iti-arTaH /
   "ekamevādvitīyam"(chā.u.6 / 2 / 2) "tattejo 'sṛjata"(chā.u.6 / 2 / 3) iti	"ekam-eva-advitIyam-"(CA.u.6 / 2 / 2) "tad-tejaH asRjata-"(-CA.u.6 / 2 / 3) iti
   śruterūpapatteśca svacittaspandanābhāve samādhau mūrchāyāṃ suṣuptau	SruterUpa-patteH-ca sva-citta-spandana-aBAve samADO mUrCAyAm suzuptO
   cābhāvāt /	ca-aBAvAt /
   atastadbheda ucyate dvaitam /	atas-tad-BedaH ucyate dvEtam /
   dvaitināṃ tu teṣāṃ paramārthataścāparamārthataścobhayathāpi dvaitameva /	dvEtinAm tu tezAm paramArTataH-ca-aparam-ArTataH-ca-uBayaTa-api dvEtam-eva /
   yadi ca teṣāṃ bhrāntānāṃ dvaitadṛṣṭirasmākamadvaitadṛṣṭirabhrāntānām,	yadi ca tezAm BrAntAnAm dvEta-dRzwiH-asmAkam-advEta-dRzwiH-aBrAntAnAm-,
   tenāyaṃ hetunāsmatpakṣe na virudhyate taiḥ /	tena-ayam hetunA-asmad-pakze na viruDyate tEH /
   "indro māyābhiḥ ṣururūpa īyate" (bṛ.u.2 / 5 / 11) "na tu	"indraH mAyABiH zuru-rUpaH Iyate" (bR.u.2 / 5 / 11) "na tu
   taddvitīyamasti"(bṛ.u.4 / 3 / 23) iti śruteḥ /	tad-dvitIyam-asti"(bR.u.4 / 3 / 23) iti SruteH /
   yathā mattagajārūḍha unmattaṃ bhūmiṣṭhaṃ prati gajārūḍhohaṃ gajaṃ vāhaya	yaTA matta-gaja-ArUXaH unmattam BUmizWam prati gaja-ArUXa-Uham gajam vAhaya
   māṃ pratīti bruvāṇamapi taṃ prati na vāhayatyavirodhabuddhyā tadvat /	mAm prati-iti bruvANam-api tam prati na vAhayati-aviroDa-budDyA tadvat /
   tataḥ paramārthato brahmavidātmaiva dvaitinām /	tatas paramArTataH brahma-vid-AtmA-eva dvEtinAm /
   tenāyaṃ hetunāsmatpakṣo na viruddhyate taiḥ //28//	tena-ayam hetunA-asmad-pakzaH na virudDyate tEH //28//
   START MandUpK 3.19	START Mandu-upK 3.19
   dvaitamadvaitabheda ityukte dvaitamapyadvaitavatparamārthasaditi syāt	dvEtam-advEta-BedaH iti-ukte dvEtam-api-advEta-vat-parama-arTa-sat-iti syAt-
   kasyacidāśaṅketyata āha-	kasyacid-ASaFkA-iti-atas Aha-
   māyayā bhidyate hy etan nānyathājaṃ kathañcana /	mAyayA Bidyate hi etat na-anyaTA-Ajam kaTaQcana /
   tattvato bhidyamāne hi martyatām amṛtaṃ vrajet // MandUpK_3.19 //	tattvataH BidyamAne hi martyatAm amRtam vrajet // Mandu-upK_3.19 //
   MandUpKC_3.19	Mandu-upKC_3.19
   yatparamārthasadadvaitaṃ māyayā bhidyate hyetacaimirikānekacandravadrajjuḥ	yat-parama-arTa-sada-dvEtam mAyayA Bidyate hi-etacEmirika-aneka-candra-vat-rajjuH
   sarpadhārādibhirbhedairiva na paramārthato niravayavatvādātmanaḥ /	sarpa-DArA-AdiBiH-BedEH-iva na paramArTataH niravayava-tvAt-AtmanaH /
   sāvayavaṃ hyavayavānyathātvena bhidyate /	sa-avayavam hi-avayavAn-yaTAtvena Bidyate /
   yathā mṛd ghaṭādibhedaiḥ /	yaTA mRd Gawa-Adi-BedEH /
   tasmānniravayavamajaṃ nānpathā kathañcana kenacidapi prakāreṇa na bhidyata	tasmAt-niravayavama-jam na-anpaTA kaTaQcana kenacid-api prakAreNa na Bidyata
   ityabhiprāyaḥ /	iti-aBiprAyaH /
   tattvato bhidyamāne hyamṛtamajamadvayaṃ svabhāvataḥ sanmartyatāṃ vrajet;	tattvataH BidyamAne hi-amRtam-ajam-advayam svaBAvataH sat-martya-tAm vrajet-;
   yathāgniḥ śītatām /	yaTA-agniH SIta-tAm /
   taccāniṣṭaṃ svabhāvavaiparītyagamanam, sarvapramāṇavirodhāt /	tat-ca-anizwam svaBAva-vEparItya-gamanam, sarva-pramANa-viroDAt /
   ajamavyayamātmatattvaṃ māyayaiva bhidyate na paramārthataḥ /	ajam-avyayam-Atma-tattvam mAyayA-eva Bidyate na paramArTataH /
   tasmānna paramārthasadadvaitam //19//	tasmAt-na parama-arTa-sadadvEtam //19//
   START MandUpK 3.20	START Mandu-upK 3.20
   ajātasyaiva bhāvasya jātim icchanti vādinaḥ /	ajAtasya-eva BAvasya jAtim icCanti vAdinaH /
   ajāto hy amṛto bhāvo martyatāṃ katham eṣyati // MandUpK_3.20 //	ajAtaH hi amRtaH BAvaH martyatAm kaTam ezyati // Mandu-upK_3.20 //
   MandUpKC_3.20	Mandu-upKC_3.20
   ye tu punaḥ kecidupaniṣadvyākhyātāro brahmavādino vāvadūkā	ye tu punar kecid-upanizad-vyAKyAtAraH brahma-vAdinaH vAvadUkA
   ajātasyaivātmatattvasya amṛtasya svabhāvato jātim utpattimicchanti	ajAtasya-eva-Atma-tattvasya amRtasya svaBAvataH jAtim utpattim-icCanti
   paramārthata eva teṣāṃ jātaṃ cettadeva martyatāmeṣyatyavaśyam /	paramArTataH eva tezAm jAtam ced-tat-eva martya-tAm-ezyati-avaSyam /
   sa cājāto hyamṛto bhāvaḥ svabhāvataḥ sannātmā kathaṃ martyatāmeṣyati? na	sa ca-ajAtaH hi-amRtaH BAvaH svaBAvataH san=-a-AtmA kaTam martya-tAm-ezyati? na
