   ācāryakamalaśīlapraṇīto	AcArya kamala SIla praNItaH 
   samāhito yathābhūtaṃ prajānātīti vacanādekāntena prajñānukūla eva bhavati,	samAhitaH yaTABUtam prajAnAti iti vacanAt ekAntena prajQA anukUlaH eva Bavati,
   na tu viruddhastasmāt syāt samāhitasya prajñayā nirūpayataḥ	na tu virudDaH tasmAt syAt samAhitasya prajQayA nirUpayataH
   sarvadharmāṇāmanupalambhaḥ / sa eva paramo 'nupalambhaḥ / sā ca tādṛśī	sarva DarmANAm anupalamBaH / saH eva paramaH anupalamBaH / sA ca tAdRSI
   yogināmavasthānalakṣaṇā gatiranābhogā, tataḥ paraṃ dṛṣṭavyasyābhāvāt /	yoginAm avasTAna lakzaNA gatiH anABogA, tatas param dRzwavyasya aBAvAt /
   śānteti bhāvābhāvādivikalpalakṣaṇasya prapañcasyopaśamāt /	SAntA iti BAva aBAva Adi vikalpa lakzaNasya prapaQcasya upaSamAt /
   tathā hi yadā prajñayā nirūpayan na kiñcid bhāvasvabhāvam upalabhate yogī,	taTA hi yadA prajQayA nirUpayat na kiQcid BAva svaBAvam upalaBate yogI,
   tadāsya naiva bhāvavikalpo bhavat / abhāvavikalpo 'pi tasya nāstyeva /	tadA asya na eva BAva vikalpaH Bavat / aBAva vikalpaH api tasya na asti eva /
   yadi bhāvaḥ kadācid dṛṣṭo bhavati, evaṃ sati tanniṣedhenābhāvavikalpaḥ	yadi BAvaH kadAcid dRzwaH Bavati, evam sati tad nizeDena aBAva vikalpaH
   pravartate / yadā tu kālatraye 'pi bhāvo yoginā prajñācakṣuṣā nirūpayatā	pravartate / yadA tu kAla traye api BAvaH yoginA prajQAcakzuzA nirUpayatA
   nopalabdhaḥ, tadā kathaṃ tasya pratiṣedhenābhāvavikalpaṃ kurvīta /	na upalabDaH, tadA kaTam tasya pratizeDena aBAva vikalpam kurvIta /
   evamanye 'pi vikalpāstadā tasya na samutpadyanta eva	evam anye api vikalpAH tadA tasya na samutpadyante eva
   bhāvābhāvavikalpābhyāṃ (Bhk 189) sarvavikalpasya vyāptatvāt / vyāpakābhāve	BAva aBAva vikalpAByAm (Bhj 189) sarva vikalpasya vyApta tvAt / vyApaka aBAve
   ca vyāpyasyāsambhavāt / ayamasau paramanirvikalpo yogaḥ / tatra sthitasya	ca vyApyasya asamBavAt / ayam asO parama nirvikalpaH yogaH / tatra sTitasya
   yoginaḥ sarvavikalpānām astaṃgamāt samyak kleśāvaraṇaṃ jñeyāvaraṇaṃ ca	yoginaH sarva vikalpAnAm astaMgamAt samyak kleSa AvaraNam jQeya AvaraNam ca
   prahīyate / tathā hi kleśāvaraṇasyānutpannāniruddhabhāveṣu	prahIyate / taTA hi kleSa AvaraNasya anutpanna anirudDa BAvezu
   bhāvādiviparyāso mūlaṃ kāraṇam āryasatyadvayanirdeśādau varṇitaṃ bhagavatā	BAva Adi viparyAsaH mUlam kAraNam Arya satya dvaya nirdeSa AdO varNitam BagavatA
   anena ca yogābhyāsena sarvabhāvādivikalpānāṃ prahāṇāt	anena ca yoga aByAsena sarva BAva Adi vikalpAnAm prahANAt 
   sakalabhāvādiviparyāsasyāvidyāsvabhāvasya kleśāvaraṇamūlasya prahāṇam /	sakala BAva Adi viparyAsasya avidyA svaBAvasya kleSa AvaraNa mUlasya prahANam /
   tato mūlocchedāt kleśavaraṇaṃ samyak prahīyate / tathā coktaṃ	tatas mUla ucCedAt kleSa varaNam samyak prahIyate / taTA ca uktam
   satyadvayanirdeśe  "kathaṃ mañjuśrīḥ, kleśā vinayaṃ gacchanti, kathaṃ	satya dvaya nirdeSe "kaTam maQjuSrIH, kleSAH vinayam gacCanti, kaTam
   kleśāḥ parijñātā bhavanti? mañjuśrīrāha  paramārthato	kleSAH parijQAtAH Bavanti? maQju SrIrAha paramArTa taH 
   'tyantājātānutpannābhāveṣu sarvadharmeṣu saṃvṛtyāsadviparyāsaḥ / tasmād	atyanta ajAta an utpanna aBAvezu sarva Darmezu saMvRtya asat viparyAsaH / tasmAt 
   asadviparyāsāt saṅkalpavikalpaḥ / tasmāt saṃkalpavikalpād ayoniśo	asat viparyAsAt saFkalpa vikalpaH / tasmAt saMkalpa vikalpAt ayoniSo
   manasikāraḥ / tasmād ayoniśo manasikārād ātmasamāropaḥ / tasmād	manasikAraH / tasmAt ayoniSas manasikArAt Atma samAropaH / tasmAt 
   ātmasamāropād dṛṣṭiparyutthānam / tasmād dṛṣṭiparyutthānāt kleśāḥ	Atma samAropAt dRzwi paryutTAnam / tasmAt dRzwi paryutTAnAt kleSAH
   pravartante / yaḥ punaḥ devaputra! paramārthato 'tyantājātānutpannābhāvān	pravartante / yaH punar deva putra! paramArTataH atyanta ajAta an utpanna aBAvAn
   sarvadharmān prajānāti, sa paramārthato 'viparyastaḥ / yaśca paramārthato	sarva DarmAn prajAnAti, sa paramArTataH aviparyastaH / yaH ca paramArTa taH 
   'viparyastaḥ so 'vikalpaḥ / yaścāvikalpaḥ sa yoniśaḥ prayuktaḥ / yaśca	aviparyastaH saH avikalpaH / yaH ca avikalpaH sa yoniSas prayuktaH / yaH ca
   yoniśaḥ prayuktaḥ tasyātmasamāropo na bhavati / yasyātmasamāropo na	yoniSas prayuktaH tasya Atma samAropaH na Bavati / yasya Atma samAropaH na
   bhavati tasya dṛṣṭiparyutthānaṃ na bhavati / yāvat paramārthato	Bavati tasya dRzwi paryutTAnam na Bavati / yAvat paramArTa taH 
   nirvāṇadṛṣṭisarva dṛṣṭiparyutthānam api na bhavati / tasyaivam	nirvANa dRzwi sarva dRzwi paryutTAnam api na Bavati / tasya evam
   anutpādavihāriṇaḥ kleśā atyantaṃ vinītā draṣṭavyāḥ / ayam ucyate	anutpAda vihAriNaH kleSAH atyantam vinItAH drazwavyAH / ayam ucyate
   kleśavinayaḥ / yadā, devaputra! kleśān nirābhāsena jñānena paramārthato	kleSa vinayaH / yadA, deva putra! kleSAt nirABAsena jQAnena paramArTa taH 
   'tyantaśūnyān atyantābhāvān atyantanirnimittāt prajānāti, tadā devaputra!	atyanta SUnyAn atyanta aBAvAn atyanta nirnimittAt prajA anAti, tadA deva putra!
   kleśāḥ parijñātā bhavanti / tatra (Bhk 190) yathāpi nāma, devaputra! ya	kleSAH parijQAtAH Bavanti / tatra (Bhj 190) yaTA api nAma, deva putra! ya
   āśīviṣasya gotraṃ prajānāti / sa tasyāśīviṣasya viṣaṃ śamayati / evameva	ASIvizasya gotram prajAnAti / sa tasya ASIvizasya vizam Samayati / evam eva
   devaputra! ya kleśānāṃ gotraṃ prajānāti tasya kleśāḥ praśāmyanti /	deva putra! yaH kleSAnAm gotram prajAnAti tasya kleSAH praSAmyanti /
   devaputra āha  kataman mañjuśrīḥ! kleśānāṃ gotram / āha  yāvad eṣā	deva putraH Aha katamat maQjuSrIH! kleSAnAm gotram / Aha yAvat ezA
   paramārthato 'tyantājātānutpannābhāveṣu sarvadharmeṣu kalpanā idaṃ	paramArTataH atyanta ajAta an utpanna aBAvezu sarva Darmezu kalpanA idam
   kleśānāṃ gotram" iti vistaraḥ /	kleSAnAm gotram" iti vistaraH /
   bhāvādiviparyāsena ca sakalaviparyāsasya vyāptatvāt / tatprahāṇe	BAva Adi viparyAsena ca sakala viparyAsasya vyApta tvAt / tad prahANe
   sakalaviparyāsaprahāṇād jñeyāvaraṇam apyanena samyak prahīyate,	sakala viparyAsa prahANAt jQeya AvaraNam api anena samyak prahIyate,
   viparyāsalakṣaṇatvād āvaraṇasya / jñeyāvaraṇe ca prahīṇe pratibandhābhāvād	viparyAsa lakzaNa tvAt AvaraNasya / jQeya AvaraNe ca prahINe pratibanDa aBAvAt 
   ravikiraṇavad apagatameghādyāvaraṇe nabhasi sarvatrāvyāhato yogi pratyakṣo	ravi kiraNa vat apagata meGa Adi AvaraNe naBasi sarvatra avyAhataH yogi pratyakzaH 
   jñānālokaḥ pravartate / tathā hi vastusvabhāvaprakāśarūpaṃ vijñānam /	jQAna AlokaH pravartate / taTA hi vastu svaBAva prakASa rUpam vijQAnam /
   tacca saṃnihitam api vastu pratibandhasadbhāvānna prakāśayati /	tat ca saMnihitam api vastu pratibanDa sadBAvAt na prakASayati /
   pratibandhābhāve tu sati, acintyaśaktiviśeṣalābhāt kimiti sakalam eva	pratibanDa aBAve tu sati, acintya Sakti viSeza lABAt kim iti sakalam eva
   vastu yathāvad na prakāśayet / ataḥ saṃvṛtiparamārtharūpeṇa sakalasya	vastu yaTAvat na prakASayet / atas saMvRti parama arTa rUpeNa sakalasya
   vastuno yathāvat parijñānāt sarvajñatvam avāpyate / ato 'yam	vastunaH yaTAvat parijQAnAt sarvajQa tvam avApyate / atas ayam
   evāvaraṇaprahāṇo sarvajñatvādhigame ca paramo mārgaḥ /	eva AvaraNa prahANaH sarvajQa tva aDigame ca paramaH mArgaH /
   yastu śrāvakādīnāṃ mārgastena viparyāsāprahāṇān na samyag āvaraṇadvayaṃ	yaH tu SrAvaka AdInAm mArgaH tena viparyAsA prahANAt na samyak AvaraNa dvayam
   prahīyate / tathā coktam āryalaṅkāvatāre  "anye tu kāraṇādhīnān	prahIyate / taTA ca uktam Arya laFka avatAre "anye tu kAraNa aDInAn
   sarvadharmān dṛṣṭvānirvāṇe 'pi nirvāṇam iti buddhayo bhavanti /	sarva DarmAn dRzwvA nirvANe api nirvANam iti budDayaH Bavanti /
   dharmanairātmyādarśanād nāsti mahāmate! mokṣa eṣām / mahāmate,	Darma nErAtmya adarSanAt na asti mahAmate! mokzaH ezAm / mahAmate,
   śrāvakayānikābhisamayagotrasyāniryāṇe niryāṇabuddhiḥ / atra mahāmate, (Bhk	SrAvaka yAnika aBisamaya gotrasya aniryANe niryANa budDiH / atra mahAmate, (Bhj 
   191) kudṛṣṭivyāvartanā yogaḥ karaṇīyaḥ" iti / ata eva cānyena mārgeṇa	191) kudRzwi vyAvartanA yogaH karaNIyaH" iti / atas eva ca anyena mArgeNa
   mokṣābhāvād ekam eva yānam uktaṃ bhagavatā /	mokza aBAvAt ekam eva yAnam uktam BagavatA /
   kevalam [bālena bālasya] avatāraṇābhisandhinā śrāvakādimārgo deśitaḥ /	kevalam [bAlena bAlasya] avatAraNa aBisanDinA SrAvaka Adi mArgaH deSitaH /
   tathā hi sakandha mātramevaitat, na tvātmāstīti bhāvayan śrāvakaḥ	taTA hi sa kanDa mAtram eva etat, na tu AtmA asti iti BAvayan SrAvakaH
   pudgalanairātmyam avatarati, vijñaptimātraṃ traidhātukamiti bhāvayan	pudgala nErAtmyam avatarati, vijQaptimAtram trEDAtukam iti BAvayan
   vijñānavādibāhyārthanairātmyamavatarati / anena tvasyadvayajñānasya	vijQAna vAdi bAhya arTa nErAtmyam avatarati / anena tu asya dvaya jQAnasya
   nairātmyapraveśāt paramatattvapraviṣṭo bhavati / na tu	nErAtmya praveSAt parama tattva pravizwaH Bavati / na tu
   vijñaptimātratāpraveśa eva tattvapraveśaḥ / yathoktaṃ prāk / uktaṃ ca	vijQaptimAtra tA praveSaH eva tattva praveSaH / yaToktam prAk / uktam ca
   āryalokottaraparivarte "punaraparaṃ bho jinaputra! cittamātraṃ	Arya loka uttara parivarte "punar aparam Bo jinaputra! cittamAtram
   traidhātukam avatarati, tacca cittam anantamadhyatayāvatarati" iti /	trEDAtukam avatarati, tat ca cittam ananta maDya tayA avatarati" iti /
   antayorutpādabhaṅgalakṣaṇayoḥ sthitilakṣaṇasya ca madhyasyābhāvād	antayoH utpAda BaFga lakzaNayoH sTiti lakzaNasya ca maDyasya aBAvAt 
   anantamadhyacittam / tasmād advayajñānapraveśa eva tattvapraveśaḥ /	ananta maDya cittam / tasmAt advaya jQAna praveSaH eva tattva praveSaH /
   sā ceyaṃ yoginām avasthā kuto viśodhitā? ityāha 	sA ca iyam yoginAm avasTA kutas viSoDitA? iti Aha 
   "praṇidhānairviśodhitā" iti / mahākaruṇayā yat sarvasattvārthakaraṇāya	"praNiDAnEH viSoDitA" iti / mahA karuNayA yat sarva sattva arTa karaNAya
   bodhisattvena praṇihitam, tataḥ praṇidhānabalād	boDisattvena praNihitam, tatas praNiDAna balAt 
   uttarottaradānādikuśalābhyāsāt sā tathā viśuddhā jāta, yena	uttara uttara dAna Adi kuSala aByAsAt sA taTA viSudDA jAta, yena
   sarvadharmaniḥsvabhāvatājñāne 'pi sakalasattvāpekṣā na vyāvartate yāvat	sarva Darma niHsvaBAva tA jQAne api sakala sattva apekzA na vyAvartate yAvat 
   saṃsāra eva ananuliptāḥ saṃsāradoṣairavatiṣṭhanta iti / kathaṃ	saMsAraH eva ananuliptAH saMsAra dozEH avatizWante iti / kaTam
   punaranābhogā śāntetyatra kāraṇamāha 	punar anABogA SAntA iti atra kAraNam Aha 
   jñānaṃ nirātmakaṃ śreṣṭhaṃ nirābhāsena paśyati / iti /	jQAnam nirAtmakam SrezWam nirABAsena paSyati / iti /
   yasmād yad advayalakṣaṇaṃ jñānam advayavādināṃ śreṣṭhaṃ	yasmAt yat advaya lakzaNam jQAnam advaya vAdinAm SrezWam
   paramārthenābhimataṃ tadapi nirātmakaṃ niḥsvabhāvam advayanirābhāsena	parama arTena aBimatam tat api nirAtmakam niHsvaBAvam advaya nirABAsena
   jñānena paśyati yogī / ato 'parasya draṣṭavyasyābhāvād anābhogā,	jQAnena paSyati yogI / atas aparasya drazwavyasya aBAvAt anABogA,
   sarvavikalpābhāvat śānteti /	sarva vikalpa aBAvat SAntA iti /
   (Bhk 192)	(Bhj 192)
   atredānīṃ ko 'sau yogī vidyate, yaḥ paśyatīti cet? na paramārthataḥ kaścid	atra idAnIm kaH asO yogI vidyate, yaH paSyati iti cet? na paramArTataH kaScid 
   ātmādiḥ svatantro 'sti, yogī nāpi kaścit paśyati / kintu saṃvṛtyā yathā	Atma AdiH svatantraH asti, yogI na api kaScid paSyati / kintu saMvRtyA yaTA
   rūpādīviṣayākārajñānotpādamātreṇa vijñānameva loke tathā tathā	rUpa AdI vizaya AkAra jQAna utpAda mAtreNa vijQAnam eva loke taTA taTA
   vyavahriyate devadatto yajñadattaṃ jñānena paśyatīti na tu kaścid	vyavahriyate devadattaH yajQadattam jQAnena paSyati iti na tu kaScid 
   ātmādirasti / tathātrāpi jñānamevādvayajñānanirābhāsam utpadyamānaṃ tathā	Atma AdiH asti / taTA atra api jQAnam eva advaya jQAna nirABAsam utpadyamAnam taTA
   vyapadiśyate nirābhāsena jñānena paśyatiti / na hi sarvadharmāṇāṃ	vyapadiSyate nirABAsena jQAnena paSyat iti / na hi sarva DarmANAm
   paramārthato niḥsvabhāvatve 'pi saṃvṛtyā yogijñānam anyad vā pṛthagjñānaṃ	paramArTataH niHsvaBAva tve api saMvRtyA yogi jQAnam anyat vA pRTak jQAnam
   neṣṭam / tathā coktam āryasatyadvayanirdeśe  "paramārthato 'tyantābhāvaśca	na izwam / taTA ca uktam Arya satya dvaya nirdeSe "paramArTataH atyanta aBAvaH ca
   saṃvṛttyā ca mārga bhāvayati" iti /	saMvRttyA ca mArga BAvayati" iti /
   anyathā śrāvakapratyekabuddhabodhisattva [buddha]pṛthagjanādivyavasthā	anyaTA SrAvaka pratyekabudDa boDisattvaH [budDa] pRTagjana Adi vyavasTA
   kathaṃ bhavet, kintu yasya saṃvṛtyāpi kāraṇaṃ nāsti sa saṃvṛtyāpi	kaTam Bavet, kintu yasya saMvRtya api kAraNam na asti sa saMvRtya api
   notpadyate / yathā śaśaviṣāṇādi / yasya tu [kāraṇaṃ] vidyate sa	na utpadyate / yaTA SaSa vizANa Adi / yasya tu [kAraNan] vidyate sa
   paramārthato 'līko 'pi samutpadyata eva / yathā  māyāpratibimba	paramArTataH alIkaH api samutpadyate eva / yaTA mAyA pratibimba
   [pratidhvani]ādī / na ca māyādeḥ saṃvṛtyā pratītyasamutpāde paramārthato	[pratiDvani]AdI / na ca mAyA AdeH saMvRtyA pratItyasamutpAde paramArTa taH 
   vastutvaprasaṅgaḥ, tasya vicārākṣamatvāt / ataḥ sarvameva māyopamaṃ jagat	vastu tva prasaFgaH, tasya vicAra akzam atvAt / atas sarvam eva mAyA upamam jagat 
   / tatra yathā kleśakarmamāyāvaśāt sattvānāṃ janmamāyā pravarteta, tathā	/ tatra yaTA kleSa karma mAyA vaSAt sattvAnAm janma mAyA pravarteta, taTA
   yogināmapi puṇyajñānasambhāramāyāvaśād yogijñānamāyā pravartata eva /	yoginAm api puNya jQAna samBAra mAyA vaSAt yogi jQAna mAyA pravartate eva /
   tathā coktam āryaprajñāpāramitāyām  "kaścit śrāvakanirmitaḥ, kaścit	taTA ca uktam Arya prajQApAramitA AyAm "kaScid SrAvaka nirmitaH, kaScid 
   pratyekabuddhanirmitaḥ, kaścid bodhisattvanirmitaḥ, kaścit	pratyekabudDa nirmitaH, kaScid boDisattva nirmitaH, kaScid 
   tathāgatanirmitaḥ, kaścit kleśanirmitaḥ kaścit karmanirmitaḥ / anena	taTAgata nirmitaH, kaScid kleSa nirmitaH kaScid karma nirmitaH / anena
   subhūte, paryāyeṇa sarvadharmā nirmitotpannāḥ" iti / ayaṃ tu viśeṣo	suBUte, paryAyeNa sarva DarmAH nirmita utpannAH" iti / ayam tu viSezaH 
   yogināṃ pṛthagjanebhyaḥ, te hi māyākāravat tāṃ māyāṃ yathāvat parijñānāt	yoginAm pRTagjaneByaH, te hi mAyA kAra vat tAm mAyAm yaTAvat parijQAnAt 
   satyato nābhiniviśante, (Bhk 193) tena te yogina ucyante / ye tāṃ	satyataH na aBi niviSante, (Bhj 193) tena te yoginaH ucyante / ye tAm
   bālapṛthagjanavat kautūhalaṃ styatvenābhiniviṣṭāste viparītābhiniveśad	bAla pRTagjana vat kOtUhalam stya tvena aBinivizwAH te viparIta aBiniveSa d
   bāla ucyante iti sarvamaviruddham / tathā coktam āryadharmasaṅgītau 	bAlaH ucyante iti sarvam avirudDam / taTA ca uktam Arya Darma saFgItO 
   māyākāro yathā kaścinnirmita mokṣamudyataḥ /	mAyA kAraH yaTA kaScid nirmita  mokzam udyataH /
   na cāsya nirmite saṅgo jñātapūrvo yato 'sya saḥ //	na ca asya nirmite saFgaH jQAta pUrvaH yatas asya saH //
   tribhavaṃ nirmitaprakhyaṃ jñātvā sambodhipāragaḥ /	tri Bavam nirmita praKyam jQAtvA samboDi pAragaH /
   saṃnahyate jagaddhetorjñātapūrvaṃ jagat tathā // iti /	saMnahyate jagat hetoH jQAta pUrvam jagat taTA // iti /
   evamanena krameṇa tattvaṃ bhāvayet /	evam anena krameNa tattvam BAvayet /
   tatra ca layauddhatyādīn vyutthitān pūrvavat praśamayet / yadā tu	tatra ca laya OdDatyAdIn vyutTitAn pUrvavat praSamayet / yadA tu
   sarvadharmaniḥsvabhāvatālambane ca layauddhatyādirahitam anabhisaṃskāreṇa	sarva Darma niHsvaBAvatA Alambane ca laya OdDatyAdi rahitam anaBisaMskAreNa
   pravṛttaṃ jñānaṃ bhavati, tadā śamathavipaśyanāyuganaddhavāhī mārgo	pravRttam jQAnam Bavati, tadA SamaTa vipaSyanA yuga nadDa vAhI mArgaH 
   niṣpanno bhavati / tathā yāvat śaknoti tāvad adhimuktibalena	nizpannaH Bavati / taTA yAvat Saknoti tAvat aDimukti balena
   adhimukticaryābhūmau sthito bhāvayet /	aDimukti caryA BUmO sTitaH BAvayet /
   tato yathecchaṃ paryaṅkamābhujya vyutthāya punarevaṃ cintayet / yadi	tatas yaTecCam paryaFkam ABujya vyutTAya punar evam cintayet / yadi
   nāmāmī dharmāḥ paramārthata eva niḥsvabhāvā apyete saṃvṛtyā sthitā eva /	nAma amI DarmAH paramArTataH eva niHsvaBAvAH api ete saMvRtyA sTitAH eva /
   tathā coktam āryaratnameghe  "kathaṃ bodhisattvo nairātmyakuśalo bhavati?	taTA ca uktam Arya ratna meGe "kaTam boDisattvaH nErAtmya kuSalaH Bavati?
   iha kulaputra, bodhisattvaḥ samyakprajñayā rūpaṃ pratyevakṣate, vedanāṃ	iha kula putra, boDisattvaH samyak prajQayA rUpam pratyeva kzate, vedanAm
   saṃjñāṃ saṃskārān vijñānaṃ pratyavekṣate / sa rūpaṃ pratyavekṣamāṇo	saMjQAm saMskArAn vijQAnam pratyavekzate / sa rUpam pratyavekzamANaH 
   rūpasyotpādaṃ nopalabhate, virodhaṃ nopalabhate, samudayaṃ nopalabhate /	rUpasya utpAdam na upalaBate, viroDam na upalaBate, samudayam na upalaBate /
   evaṃ vedanāyāḥ saṃjñāyāḥ saṃskārāṇāṃ vijñānasyotpādaṃ nopalabhate,	evam vedanAyAH saMjQAyAH saMskArANAm vijQAnasya utpAdam na upalaBate,
   nirodhaṃ nopalabhate, samudayaṃ nopalabhate / ayaṃ ca paramārthato	niroDam na upalaBate, samudayam na upalaBate / ayam ca paramArTa taH 
   'nutpādavihāriṇyāḥ prajñāyā na punarvyāvahārikeṇa svabhāvena" iti vistaraḥ	anutpAda vihAriNyAH prajQAyAH na punar vyAvahArikeNa svaBAvena" iti vistaraH
   / ete ca bālabuddhaya evaṃ niḥsvabhāveṣu bhāveṣu (Bhk 194)	/ ete ca bAla budDayaH evam niHsvaBAvezu BAvezu (Bhj 194)
   viparītābhiniveśāt saṃsāre paribhramanto vividhāni duḥkhāni	viparIta aBiniveSAt saMsAre pariBramantaH viviDAni duHKAni
   pratyanubhavanti / mahākaruṇām eva āmukhīkṛtya evamanuvicintayet  tathāhaṃ	pratyanuBavanti / mahA karuNAm eva AmuKIkRtyaH evam anuvicintayet taTA aham
   kariṣyāmi yathā sarvajñatvaṃ prāpya eteṣāṃ dharmatāmavabodhayeyamiti /	karizyAmi yaTA sarvajQa tvam prApya etezAm Darma tAm avaboDayeyam iti /
   tataḥ sarvabuddhabodhisattvebhyaḥ pūjāstotropahāraṃ kṛtvā	tatas sarva budDa boDisattveByaH pUjA stotra upahAram kRtvA
   āryabhadracaryāpraṇidhānamabhinirharet / tataḥ śūnyatākaruṇāgarbha eva	Arya Badra caryA praNiDAnam aBinirharet / tatas SUnyatA karuNA garBaH eva
   sakaladānādipuṇyajñānasambhāropārjane pravartate / tathā coktam	sakala dAna Adi puNya jQAna samBAra upArjane pravartate / taTA ca uktam
   āryadharmasaṃgītau  "yathābhūtadarśino bodhisattvasya sattveṣu mahākaruṇā	Arya Darma saMgItO "yaTA BUta darSinaH boDisattvasya sattvezu mahA karuNA
   pravartate / evaṃ cāsya bhavati  idaṃ mayā samādhimukhaṃ	pravartate / evam ca asya Bavati idam mayA samADi muKam
   sarvadharmayathābhūtadarśaṃ ca sarvasattvānāṃ nispādayitavyam / sa tayā	sarva Darma yaTA BUta darSam ca sarva sattvAnAm nispAdayitavyam / sa tayA
   mahākaruṇayā saṃcodyamāno 'dhiśīlam adhicittam adhiprajñaṃ ca śikṣātrayaṃ	mahA karuNayA saMcodyamAnaH aDiSIlam aDicittam aDiprajQam ca SikzA trayam
   paripūryānuttaraṃ samyaksambodhim abhisambudhyate" iti /	paripUrya anuttaram samyaksamboDim aBisambuDyate" iti /
   ayameva prajñopāyayuganaddhabāhī bodhisattvānāṃ mārgo yat	ayam eva prajQA upAya yuga nadDa bAhI boDisattvAnAm mArgaH yat 
   paramārthadarśane 'pi saṃvṛtiṃ nocchedayanti / saṃvṛtiṃ cānucchedayanto	parama arTa darSane api saMvRtim na ucCedayanti / saMvRtim ca anucCedayantaH 
   mahākaruṇāpūrvaṅgamā aviparyastā eva sattvārthakriyāsu pravartante / uktam	mahA karuNA pUrvaFgamAH aviparyastAH eva sattva arTa kriyAsu pravartante / uktam
   āryaratnameghe  "kathaṃ bodhisattvo mahāyānakuśalo bhavati / iha	Arya ratna meGe "kaTam boDisattvaH mahAyAna kuSalaH Bavati / iha
   bodhisattvaḥ sarvāsu śikṣāsu śikṣate, śikṣāmārgaṃ ca nopalabhate / yacca	boDisattvaH sarvAsu SikzAsu Sikzate, SikzA mArgam ca na upalaBate / yat ca
   śikṣate tadapi nopalabhate / yaśca śikṣyate tamapi nopalabhate / na ca	Sikzate tat api na upalaBate / yaH ca Sikzyate tam api na upalaBate / na ca
   taddhetukaṃ tannidānaṃ tatpratyayam ucchedadṛṣṭau patati" iti /	tad hetukam tat nidAnam tat pratyayam ucCeda dRzwO patati" iti /
   āryadharmasaṃgītau coktam  "katamā bodhisattvānāṃ pratipattiḥ? yat kiñcid	Arya Darma saMgItO ca uktam "katamA boDisattvAnAm pratipattiH? yat kiQcid 
   bodhisattvānāṃ kāyakarma, yat kiñcid vākkarma, yat kiñcin manaḥkarma, tat	boDisattvAnAm kAya karma, yat kiQcid vAkkarma, yat kiQcid manaH karma, tat 
   sarvasattvāpekṣakaṃ pravartate, mahākaruṇāpūrvaṅgamatvāt /	sarva sattva apekzakam pravartate, mahA karuNA pUrvaFgama tvAt /
   mahākaruṇādhipatyaṃ sarvasattvāhitasukhādhyāśayasamutthitam" iti /	mahA karuNa ADipatyam sarva sattva Ahita suKa aDyASaya samutTitam" iti /
   ayamevaṃ hitāśayaḥ saṃjñībhavati / sā mayā (Bhk 195) pratipattiḥ	ayam evam hita ASayaH saMjQIBavati / sA mayA (Bhj 195) pratipattiH
   pratipattavyā sarvasattvānāṃ hitāvahā sukhāvahā / tasya skandheṣu māyāvat	pratipattavyA sarva sattvAnAm hita AvahA suKa AvahAH / tasya skanDezu mAyAvat 
   pratyavekṣaṇā pratipattirna ca skandhaparityāgaṃ spṛhayatīti /	pratyavekzaNA pratipattiH na ca skanDa parityAgam spRhayati iti /
   dhātuṣvāśīviṣavat pratyavekṣaṇā pratipattirna ca dhātuparityāgaṃ	DAtuzu ASIviza vat pratyavekzaNA pratipattiH na ca DAtu parityAgam
   spṛhayatīti / āyataneṣu śūnyagrāmavat pratyavekṣaṇāpratipattirna	spRhayati iti / Ayatanezu SUnya grAma vat pratyavekzaNa apratipattiH na
   cāyatanaparityāgaṃ spṛhayatīti / rūpasya phenapiṇḍavat pratyavekṣaṇā	ca Ayatana parityAgam spRhayati iti / rUpasya Pena piNxa vat pratyavekzaNA
   pratipattirna ca tathāgatarūpakāyaviṭhapanāṃ jahāti / vedanāyā budbudvat	pratipattiH na ca taTAgata rUpa kAya viWapanAm jahAti / vedanAyAH budbudvat 
   pratyavekṣaṇā pratipattirna ca	pratyavekzaNA pratipattiH na ca
   tathāgatadhyānasamādhisamāpattisukhaniṣpadanaprayogaṃ nārabhate /	taTAgata DyAna samADi samApatti suKa nizpadana prayogam na AraBate /
   saṃjñāyāṃ marīcivat pratyavekṣaṇā pratipattirna ca tathāgatajñānaniṣpādana	saMjQAyAm marIci vat pratyavekzaNA pratipattiH na ca taTAgata jQAna nizpAdana
   apratipattiḥ / saṃskārāṇāṃ kadalīvat pratyavekṣaṇā pratipattirna ca	apratipattiH / saMskArANAm kadalI vat pratyavekzaNA pratipattiH na ca
   buddhadharmasaṃskārāṇām apratipattiḥ / vijñānasya māyāvat pratyavekṣaṇā	budDa Darma saMskArANAm apratipattiH / vijQAnasya mAyA vat pratyavekzaNA
   pratipattirna ca jñānapūrvaṅgamakāyavāṅmanaskarmaniṣpādanā pratipattiḥ"	pratipattiH na ca jQAna pUrvaFgam akAya vAc manaskarma nizpAdanA pratipattiH"
   iti vistaraḥ / evam aparyanteṣu sūtrānteṣu prajñopāyarūpā	iti vistaraH / evam aparyantezu sUtrAntezu prajQA upAya rUpA
   pratipattiranugantavyā /	pratipattiH anugantavyA /
   tatra yadi nāma lokottaraprajñāvasthāyām upāyasevanā na sambhavati,	tatra yadi nAma lokottara prajQA avasTAyAm upAya sevanA na samBavati,
   upāyasevanākāle tu bodhisattvasya māyākāravad aviparyastatvāt	upAya sevanA kAle tu boDisattvasya mAyA kAra vat aviparyasta tvAt 
   lokottarajñānāt prayogapṛṣṭhabhāvani yathāvad	loka uttara jQAnAt prayoga pRzWa BAvani yaTAvat 
