   kaṭhopaniṣat	kaWopanizad-
   yad eveha tad amutra yad amutra tad anv iha /	yat eva-iha tat amutra yat amutra tat anu iha /
   mṛtyoḥ sa mṛtyum āpnoti ya iha nāneva paśyati // KaU_4.10 //	mRtyoH sa mRtyum Apnoti yaH iha nAnA-iva paSyati // KaU_4.10 //
   manasaivedam āptavyaṃ neha nānāsti kiṃcana /	manasA-eva-idam Aptavyam na-iha nAnA-asti kiMcana /
   mṛtyoḥ sa mṛtyuṃ gacchati ya iha nāneva paśyati // KaU_4.11 //	mRtyoH sa mRtyum gacCati yaH iha nAnA-iva paSyati // KaU_4.11 //
   aṅguṣṭhamātraḥ puruṣo madhya ātmani tiṣṭhati /	aFguzWa-mAtraH puruzaH maDye Atmani tizWati /
   īśāno bhūtabhavyasya na tato vijugupsate //	ISAnaH BUta-Bavyasya na tatas vijugupsate //
   etad vai tat // KaU_4.12 //	etat vE tat // KaU_4.12 //
   aṅguṣṭhamātraḥ puruṣo jyotir iva adhūmakaḥ /	aFguzWa-mAtraH puruzaH jyotiH iva aDUmakaH /
   īśāno bhūtabhavyasya sa evādya sa u śvaḥ //	ISAnaH BUta-Bavyasya saH eva-adya saH u Svas //
   etad vai tat // KaU_4.13 //	etat vE tat // KaU_4.13 //
   yathodakaṃ durge vṛṣṭaṃ parvateṣu vidhāvati /	yaTA-udakam durge vRzwam parvatezu viDAvati /
   evaṃ dharmān pṛthak paśyaṃs tān evānu vidhāvati // KaU_4.14 //	evam DarmAn pRTak paSyan tAn eva-anu viDAvati // KaU_4.14 //
   yathodakaṃ śuddhe śuddham āsiktaṃ tādṛg eva bhavati /	yaTA-udakam SudDe SudDam Asiktam tAdRS eva Bavati /
   evaṃ muner vijānata ātmā bhavati gautama // KaU_4.15 //	evam muneH vijAnataH AtmA Bavati gOtamaH // KaU_4.15 //
   // iti caturthī vallī //	// iti caturTI vallI //
   puram ekādaśadvāram ajasyāvakracetasaḥ /	puram ekAdaSa-dvAram ajasya-avakra-cetasaH /
   anuṣṭhāya na śocati vimuktaś ca vimucyate //	anuzWAya na Socati vimuktaH ca vimucyate //
   etad vai tat // KaU_5.1 //	etat vE tat // KaU_5.1 //
   haṃsaḥ śuciṣad vasur antarikṣasad dhotā vediṣad atithir duroṇasat /	haMsaH Sucizad vasuH antarikza-sat DotA vedizat atiTiH duroNa-sat /
   nṛṣad varasad ṛtasad vyomasad abjā gojā ṛtajā adrijā ṛtaṃ bṛhat // KaU_5.2	nRzat vara-sat Rta-sat vyomasat abjAH gojAH Rta-jAH adrijAH Rtam bRhat // KaU_5.2
   ūrdhvaṃ prāṇam unnayati apānaṃ pratyag asyati /	UrDvam prANam unnayati apAnam pratyak asyati /
   madhye vāmanam āsīnaṃ viśve devā upāsate // KaU_5.3 //	maDye vAmanam AsInam viSve devAH upAsate // KaU_5.3 //
   asya visraṃsamānasya śarīrasthasya dehinaḥ /	asya visraMsamAnasya SarIra-sTasya dehinaH /
   dehād vimucyamānasya kim atra pariśiṣyate //	dehAt vimucyamAnasya kim atra pariSizyate //
   etad vai tat // KaU_5.4 //	etat vE tat // KaU_5.4 //
   na prāṇena nāpānena martyo jīvati kaścana /	na prANena na-apAnena martyaH jIvati kaScana /
   itareṇa tu jīvanti yasminn etāv upāśritau // KaU_5.5 //	itareNa tu jIvanti yasmin etO upASritO // KaU_5.5 //
   hanta ta idaṃ pravakṣyāmi guhyaṃ brahma sanātanam /	hanta te idam pravakzyAmi guhyam brahma sanAtanam /
   yathā ca maraṇaṃ prāpya ātmā bhavati gautama // KaU_5.6 //	yaTA ca maraNam prApya AtmA Bavati gOtamaH // KaU_5.6 //
   yonim anye prapadyante śarīratvāya dehinaḥ /	yonim anye prapadyante SarIra-tvAya dehinaH /
   sthāṇum anye 'nusaṃyanti yathākarma yathāśrutam // KaU_5.7 //	sTANum anye anusaMyanti yaTAkarma yaTASrutam // KaU_5.7 //
   ya eṣa supteṣu jāgarti kāmaṃ kāmaṃ puruṣo nirmimāṇaḥ /	yaH eza suptezu jAgarti kAmam kAmam puruzaH nirmimANaH /
   tad eva śukraṃ tad brahma tad evāmṛtam ucyate /	tat eva Sukram tat brahma tat eva-amRtam ucyate /
   tasmiṃl lokāḥ śritāḥ sarve tad u nātyeti kaścana //	tasmin lokAH SritAH sarve tat u na-atyeti kaScana //
   etad vai tat // KaU_5.8 //	etat vE tat // KaU_5.8 //
   agnir yathaiko bhuvanaṃ praviṣṭo rūpaṃ rūpaṃ pratirūpo babhūva /	agniH yaTA-ekaH Buvanam pravizwaH rUpam rUpam pratirUpaH baBUva /
   ekas tathā sarvabhūtāntarātmā rūpaṃ rūpaṃ pratirūpo bahiś ca // KaU_5.9 //	ekaH taTA sarva-BUta-antarAtmA rUpam rUpam pratirUpaH bahis ca // KaU_5.9 //
   vāyur yathaiko bhuvanaṃ praviṣṭo rūpaṃ rūpaṃ pratirūpo babhūva /	vAyuH yaTA-ekaH Buvanam pravizwaH rUpam rUpam pratirUpaH baBUva /
   ekas tathā sarvabhūtāntarātmā rūpaṃ rūpaṃ pratirūpo bahiś ca // KaU_5.10	ekaH taTA sarva-BUta-antarAtmA rUpam rUpam pratirUpaH bahis ca // KaU_5.10
   sūryo yathā sarvalokasya cakṣur na lipyate cākṣuṣair bāhyadoṣaiḥ /	sUryaH yaTA sarva-lokasya cakzuH na lipyate cAkzuzEH bAhya-dozEH /
   ekas tathā sarvabhūtāntarātmā na lipyate lokaduḥkhena bāhyaḥ // KaU_5.11	ekaH taTA sarva-BUta-antarAtmA na lipyate loka-duHKena bAhyaH // KaU_5.11
   eko vaśī sarvabhūtāntarātmā ekaṃ rūpaṃ bahudhā yaḥ karoti /	ekaH vaSI sarva-BUta-antarAtmA ekam rUpam bahuDA yaH karoti /
   tam ātmasthaṃ ye 'nupaśyanti dhīrās teṣāṃ sukhaṃ śāśvataṃ netareṣām //	tam Atma-sTam ye anupaSyanti DIrAH tezAm suKam SASvatam na-itarezAm //
   KaU_5.12 //	KaU_5.12 //
   nityo 'nityānāṃ cetanaś cetanānām eko bahūnāṃ yo vidadhāti kāmān /	nityaH anityAnAm cetanaH cetanAnAm ekaH bahUnAm yaH vidaDAti kAmAn /
   tam ātmasthaṃ ye 'nupaśyanti dhīrās teṣaṃ śāntiḥ śāśvatī netareṣām //	tam Atma-sTam ye anupaSyanti DIrAH tezam SAntiH SASvatI na-itarezAm //
   KaU_5.13 //	KaU_5.13 //
   tad etad iti manyante 'nirdeśyaṃ paramaṃ sukham /	tat etat iti manyante anirdeSyam paramam suKam /
   kathaṃ nu tad vijānīyāṃ kim u bhāti vibhāti vā // KaU_5.14 //	kaTam nu tat vijAnIyAm kim u BAti viBAti vA // KaU_5.14 //
   na tatra sūryo bhāti na candratārakaṃ nemā vidyuto bhānti kuto 'yam agniḥ	na tatra sUryaH BAti na candra-tArakam na-imAH vidyutaH BAnti kutas ayam agniH
   tam eva bhāntam anu bhāti sarvaṃ tasya bhāsā sarvam idaṃ vibhāti //	tam eva BAntam anu BAti sarvam tasya BAsA sarvam idam viBAti //
   KaU_5.15 //	KaU_5.15 //
   // iti pañcamī vallī //	// iti paQcamI vallI //
   ūrdhvamūlo avākśākha eṣo 'śvatthaḥ sanātanaḥ /	UrDva-mUlaH avAk-SAKaH ezaH aSvatTaH sanAtanaH /
   tad eva śukraṃ tad brahma tad evāmṛtam ucyate /	tat eva Sukram tat brahma tat eva-amRtam ucyate /
   tasmiṃl lokāḥ śritāḥ sarve tad u nātyeti kaścana //	tasmin lokAH SritAH sarve tat u na-atyeti kaScana //
   etad vai tat // KaU_6.1 //	etat vE tat // KaU_6.1 //
   yad idaṃ kiṃca jagat sarvaṃ prāṇa ejati niḥsṛtam /	yat idam kiMca jagat sarvam prANaH ejati niHsRtam /
   mahad bhayaṃ vajram udyataṃ ya etad vidur amṛtās te bhavanti // KaU_6.2 //	mahat Bayam vajram udyatam ye etat viduH amRtAH te Bavanti // KaU_6.2 //
   bhayād asyāgnis tapati bhayāt tapati sūryaḥ /	BayAt asya-agniH tapati BayAt tapati sUryaH /
   bhayād indraś ca vāyuś ca mṛtyur dhāvati pañcamaḥ // KaU_6.3 //	BayAt indraH ca vAyuH ca mRtyuH DAvati paQcamaH // KaU_6.3 //
   iha ced aśakad boddhuṃ prākśarīrasya visrasaḥ /	iha ced aSakat bodDum prAc-SarIrasya visrasaH /
   tataḥ sargeṣu lokeṣu śarīratvāya kalpate // KaU_6.4 //	tatas sargezu lokezu SarIra-tvAya kalpate // KaU_6.4 //
   yathādarśe tathātmani yathā svapne tathā pitṛloke /	yaTA-AdarSe taTA-Atmani yaTA svapne taTA pitR-loke /
   yathāpsu parīva dadṛśe tathā gandharvaloke chāyātapayor iva brahmaloke //	yaTA-apsu pari-iva dadRSe taTA ganDarva-loke CAyA-tapayoH iva brahma-loke //
   KaU_6.5 //	KaU_6.5 //
   indriyāṇāṃ pṛthagbhāvam udayāstamayau ca yat /	indriyANAm pRTak-BAvam udaya-astamayO ca yat /
   pṛthag utpadyamānānāṃ matvā dhīro na śocati // KaU_6.6 //	pRTak utpadyamAnAnAm matvA DIraH na Socati // KaU_6.6 //
   indriyebhyaḥ paraṃ mano manasaḥ sattvam uttamam /	indriyeByaH param manaH manasaH sattvam uttamam /
   sattvād adhi mahānātmā mahato 'vyaktam uttamam // KaU_6.7 //	sattvAt aDi mahAn-AtmA mahataH avyaktam uttamam // KaU_6.7 //
   avyaktāt tu paraḥ puruṣo vyāpako 'liṅga eva ca /	avyaktAt tu paraH puruzaH vyApakaH aliFgaH eva ca /
   yaṃ jñātvā mucyate jantur amṛtatvaṃ ca gacchati // KaU_6.8 //	yam jQAtvA mucyate jantuH amRta-tvam ca gacCati // KaU_6.8 //
   na saṃdṛśe tiṣṭhati rūpam asya na cakṣuṣā paśyati kaścanainam /	na saMdRSe tizWati rUpam asya na cakzuzA paSyati kaScana-enam /
   hṛdā manīṣā manasābhikḷpto ya etad vidur amṛtās te bhavanti // KaU_6.9 //	hRdA manIzA manasA-aBik?ptaH ye etat viduH amRtAH te Bavanti // KaU_6.9 //
   yadā pañcāvatiṣṭhante jñānāni manasā saha /	yadA paQca-avatizWante jQAnAni manasA saha /
   buddhiś ca na viceṣṭati tām āhuḥ paramāṃ gatim // KaU_6.10 //	budDiH ca na vicezwati tAm AhuH paramAm gatim // KaU_6.10 //
   tāṃ yogam iti manyante sthirām indriyadhāraṇām /	tAm yogam iti manyante sTirAm indriya-DAraNAm /
   apramattas tadā bhavati yogo hi prabhavāpyayau // KaU_6.11 //	apramattaH tadA Bavati yogaH hi praBava-apyayO // KaU_6.11 //
   naiva vācā na manasā prāptuṃ śakyo na cakṣuṣā /	na-eva vAcA na manasA prAptum SakyaH na cakzuzA /
   astīti bruvato 'nyatra kathaṃ tad upalabhyate // KaU_6.12 //	asti-iti bruvataH anyatra kaTam tat upalaByate // KaU_6.12 //
   astīty evopalabdhavyas tattvabhāvena cobhayoḥ /	asti-iti eva-upalabDavyaH tattva-BAvena ca-uBayoH /
   astīty evopalabdhasya tattvabhāvaḥ prasīdati // KaU_6.13 //	asti-iti eva-upalabDasya tattva-BAvaH prasIdati // KaU_6.13 //
   yadā sarve pramucyante kāmā ye 'sya hṛdi śritāḥ /	yadA sarve pramucyante kAmAH ye asya hRdi SritAH /
   atha martyo 'mṛto bhavaty atra brahma samaśnute // KaU_6.14 //	aTa martyaH amRtaH Bavati atra brahma samaSnute // KaU_6.14 //
   yadā sarve prabhidyante hṛdayasyeha granthayaḥ /	yadA sarve praBidyante hRdayasya-iha granTayaH /
   atha martyo 'mṛto bhavaty etāvad dhy anuśāsanam // KaU_6.15 //	aTa martyaH amRtaH Bavati etAvat Di anuSAsanam // KaU_6.15 //
   śataṃ caikā ca hṛdayasya nāḍyas tāsāṃ mūrdhānam abhiniḥsṛtaikā /	Satam ca-ekA ca hRdayasya nAxyaH tAsAm mUrDAnam aBiniHsRtA-ekA /
   tayordhvam āyann amṛtatvam eti viṣvaṅṅ anyā utkramaṇe bhavati // KaU_6.16	tayA-UrDvam Ayan amRta-tvam eti vizvaF anyAH utkramaNe Bavati // KaU_6.16
   aṅguṣṭhamātraḥ puruṣo 'ntarātmā sadā janānāṃ hṛdaye saṃniviṣṭaḥ /	aFguzWa-mAtraH puruzaH antarAtmA sadA janAnAm hRdaye saMnivizwaH /
   taṃ svāc charīrāt pravṛhen muñjād iveṣīkāṃ dhairyeṇa /	tam svAt SarIrAt pravRhet muQjAt iva-izIkAm DEryeNa /
   taṃ vidyāc chukram amṛtaṃ taṃ vidyāc chukram amṛtam iti // KaU_6.17 //	tam vidyAt Sukram amRtam tam vidyAt Sukram amRtam iti // KaU_6.17 //
   mṛtyuproktāṃ naciketo 'tha labdhvā vidyām etāṃ yogavidhiṃ ca kṛtsnam /	mRtyu-proktAm naciketaH aTa labDvA vidyAm etAm yoga-viDim ca kRtsnam /
   brahmaprāpto virajo 'bhūd vimṛtyur anyo 'py evaṃ yo vid adhyātmam eva //	brahma-prAptaH virajaH aBUt vimRtyuH anyaH api evam yaH vid aDyAtmam eva //
   KaU_6.18 //	KaU_6.18 //
   // iti ṣaṣṭhī vallī //	// iti zazWI vallI //
   // iti kaṭhopaniṣat //	// iti kaWopanizad //
