   Kalpadrumāvadānamālāyāṃ	Kalpadruma-avadAna-mAlAyAm
   śvapacā api dharmasthāḥ saṃskṛtāḥ syur dvijādhamāḥ /	SvapacAH api Darma-sTAH saMskRtAH syuH dvija-aDamAH /
   guṇadharmānusāraiś ca devā daityāś ca mānuṣāḥ // KDA_93 //	guNa-Darma-anusArEH ca devAH dEtyAH ca mAnuzAH // KDA_93 //
   satvadharmadharā devā rajodharmadharā narāḥ /	satva-Darma-DarAH devAH rajaH-Darma-DarAH narAH /
   tamodharmadharā daityā iti siddhāntasaṃmatam* // KDA_94 //	tamaH-Darma-DarAH dEtyAH iti sidDAnta-saMmatam* // KDA_94 //
   iti dharmaguṇādhānāt traidhātukabhavālaye /	iti Darma-guNa-ADAnAt trEDAtuka-Bava-Alaye /
   caturyonisamudbhūtāḥ ṣaḍgatiṣu bhramanti te // KDA_95 //	catur-yoni-samudBUtAH zaxgatizu Bramanti te // KDA_95 //
   tatrāpi karmabhedena jātibhedā hy anekaśaḥ /	tatra-api karma-Bedena jAti-BedAH hi anekaSas /
   jātiṣv api ca sarvāsu svakarmapariṇāmataḥ // KDA_96 //	jAtizu api ca sarvAsu sva-karma-pariNAmataH // KDA_96 //
   satvā naikavidhā jātā adhamottamam adhyamāḥ /	satvAH na-ekaviDAH jAtAH aDama-uttamam aDyamAH /
   ye satvās tāmasā raudrā hiṃsākarmānusaṃratāḥ /	ye satvAH tAmasAH rOdrAH hiMsA-karma-anusaMratAH /
   te 'dhobhuvanasaṃjātā vasanti kleśabhāginaḥ // KDA_97 //	te aDas-Buvana-saMjAtAH vasanti kleSa-BAginaH // KDA_97 //
   rajodharmaratā ye hi rāgacaryānusāriṇaḥ /	rajaH-Darma-ratAH ye hi rAga-caryA-anusAriNaH /
   te satvā bhūmisaṃjātā vasanti mānuṣādayaḥ // KDA_98 //	te satvAH BUmi-saMjAtAH vasanti mAnuza-AdayaH // KDA_98 //
   satvadharmaratā ye tu sātvikāḥ śāntacāriṇaḥ /	satva-Darma-ratAH ye tu sAtvikAH SAnta-cAriNaH /
   te devā nirmalānandā vasanti svargatiṃ gatāḥ // KDA_99 //	te devAH nirmala-AnandAH vasanti svargatim gatAH // KDA_99 //
   tathaite sarvasatvāś ca guṇadharmānusārataḥ /	taTA-ete sarva-satvAH ca guNa-Darma-anusArataH /
   svakṛtaṃ karma bhuñjanto bhrāmyanti tribhavālaye // KDA_100 //	sva-kRtam karma BuQjantaH BrAmyanti triBava-Alaye // KDA_100 //
   vṛddhiṃ prāpya guṇāś cettham ekaikaṃ guṇavṛddhitaḥ /	vRdDim prApya guNAH ca-itTam ekEkam guNa-vRdDitaH /
   + + + + + + + + + + + + + + + + + // KDA_101 //	+ + + + + + + + + + + + + + + + + // KDA_101 //
   ākāśasya guṇaś caikaḥ śabda eva na cāparaḥ /	AkASasya guNaH ca-ekaH SabdaH eva na ca-aparaH /
   śabdasparśau ca vāyor vai dvau guṇau parikīrtitau // KDA_102 //	Sabda-sparSO ca vAyoH vE dvO guNO parikIrtitO // KDA_102 //
   agneḥ śabdaś ca sparśaś ca rūpam eva trayo guṇāḥ /	agneH SabdaH ca sparSaH ca rUpam eva trayaH guNAH /
   śabdasparśarūparasāś catvāry eva samīraṇe // KDA_103 //	Sabda-sparSa-rUpa-rasAH catvAri eva samIraNe // KDA_103 //
   sparśaḥ śabdo raso rūpaṃ gandhaś ca pṛthivīguṇāḥ /	sparSaH SabdaH rasaH rUpam ganDaH ca pRTivI-guNAH /
   evaṃ militayogaiś ca brahmāṇotpattir ucyate // KDA_104 //	evam milita-yogEH ca brahmANa-utpattiH ucyate // KDA_104 //
   -------------------- Vaidya, p. 272 --------------------	------------------- VEdya, p. 272 --------------------
   sarve jīvā militvaiva brahmāṇāṃś ca samudbhavāḥ	sarve jIvAH militvA-eva brahmANAn ca samudBavAH
   (Speyer:brahmāṇāṃśasamudbhavāḥ) /	(SpeyeH-:brahmANa-aMSa-samudBavAH) /
   caturaśīti lakṣāś ca proktā vai jīvajātayaḥ // KDA_105 //	caturaSIti lakzAH ca proktAH vE jIva-jAtayaH // KDA_105 //
   dharmataḥ sukhino bhūtāḥ pāpato duḥkhabhāginaḥ /	DarmataH suKinaH BUtAH pApataH duHKa-BAginaH /
   miśrato miśrabhuktāra ity uktam avadānikaiḥ // KDA_106 //	miSrataH miSra-BuktAraH iti uktam avadAnikEH // KDA_106 //
   bhārate 'pi tathā proktam ṛṣibhiḥ karmavādibhiḥ /	BArate api taTA proktam RziBiH karma-vAdiBiH /
   sapta vyādhā daśāraṇye mṛgāḥ kāliñjare girau // KDA_107 //	sapta vyADAH daSAraNye mRgAH kAliQjare girO // KDA_107 //
   cakravākau śaradvīpe haṃsāḥ sarasi mānase /	cakravAkO SaradvIpe haMsAH sarasi mAnase /
   te 'pi jātāḥ kurukṣetre brāhmaṇā vedapāragāḥ // KDA_108 //	te api jAtAH kurukzetre brAhmaNAH vedapAragAH // KDA_108 //
   uktaṃ ca mānave dharme muninā muninā + + /	uktam ca mAnave Darme muninA muninA + + /
   mithyājīvena jīvan yaḥ patito brāhmaṇo hy asau // KDA_109 //	miTyA-jIvena jIvan yaH patitaH brAhmaNaH hi asO // KDA_109 //
   vṛṣalīphenapītasya niḥśvāsopahatasya ca /	vRzalI-Pena-pItasya niHSvAsa-upahatasya ca /
   tayaiva sahasuptasya niṣkṛtir nopalabhyate // KDA_110 //	tayA-eva saha-suptasya nizkRtiH na-upalaByate // KDA_110 //
   śūdrīhastena yo bhuñkte māsam ekaṃ nirantaram* /	SUdrI-hastena yaH BuQkte mAsam ekam nirantaram* /
   jīvamāno bhavec chūdro mṛtaś ca sa prajāyate // KDA_111 //	jIvamAnaH Bavet SUdraH mRtaH ca sa prajAyate // KDA_111 //
   adhītya caturo vedān sāṅgopāṅgāṃś ca tatvataḥ /	aDItya caturaH vedAn sa-aFga-upAFgAn ca tatvataH /
   śūdrāt pratigrahagrāhī brāhmaṇo jāyate kharaḥ // KDA_112 //	SUdrAt pratigraha-grAhI brAhmaNaH jAyate KaraH // KDA_112 //
   kharo dvādaśa janmāni ṣaṣṭi janmāni sūkaraḥ /	KaraH dvAdaSa janmAni zazwi janmAni sUkaraH /
   śvānaḥ saptati janmāni ity evaṃ manur abravīt* // KDA_113 //	SvAnaH saptati janmAni iti evam manuH abravIt* // KDA_113 //
   tathoktam avadāne 'pi buddhenādvayavādinā /	taTA-uktam avadAne api budDena-advaya-vAdinA /
   brāhmaṇo 'dattam ādāya babhūva vānarādhipaḥ // KDA_114 //	brAhmaNaH adattam AdAya baBUva vAnara-aDipaH // KDA_114 //
   tatra sa buddhanāthāya dadau ca paṇasaṃ mudā /	tatra sa budDa-nATAya dadO ca paNasam mudA /
   tataś ca mānavo bhūtvā pāṃśudātā hy abhūc chiśuḥ // KDA_115 //	tatas ca mAnavaH BUtvA pAMSudAtA hi aBUt SiSuH // KDA_115 //
   tatkarmaphalato rājā sarvānando babhūva saḥ /	tad-karma-PalataH rAjA sarva-AnandaH baBUva saH /
   tatrāpi buddhanāthāya piṇḍapātaṃ dadau mudā // KDA_116 //	tatra-api budDa-nATAya piNxa-pAtam dadO mudA // KDA_116 //
   taddīpaṃkaraprasādena bodhisatvo 'bhavan nṛpaḥ (Speyer: bhaven) /	tad-dIpaMkara-prasAdena boDisatvaH aBavat nRpaH (Speyer: Baven) /
   sarvapāramitāḥ pūrya buddho 'pi sa bhaviṣyati // KDA_117 //	sarva-pAramitAH pUrya budDaH api sa Bavizyati // KDA_117 //
   ity uktam avadāne 'pi jinenādvayavādinā /	iti uktam avadAne api jinena-advaya-vAdinA /
   tasmāc caivaṃ vijānīyā na jīvo brāhmaṇaḥ khalu // KDA_118 //	tasmAt ca-evam vijAnIyAH na jIvaH brAhmaNaH Kalu // KDA_118 //
   jātyāpi brāhmaṇo naiva saṃskṛtas tu dvijo bhavet* /	jAtyA-api brAhmaNaH na-eva saMskRtaH tu dvijaH Bavet* /
   jātyā ced brāhmaṇo bhūto vṛthā syāt saṃskṛter vidhiḥ // KDA_119 //	jAtyA ced brAhmaNaH BUtaH vRTA syAt saMskRteH viDiH // KDA_119 //
   -------------------- Vaidya, p. 273 --------------------	------------------- VEdya, p. 273 --------------------
   smṛtau hi tat tathā proktaṃ nā jātyā dharmato dvijaḥ /	smRtO hi tat taTA proktam nA jAtyA DarmataH dvijaH /
   + + + + + + + + + + + + + + + + // KDA_120 //	+ + + + + + + + + + + + + + + + // KDA_120 //
   dharmasaṃskṛtivṛttisthaḥ śvapaco 'pi dvijo bhavet* /	Darma-saMskRti-vRtti-sTaH SvapacaH api dvijaH Bavet* /
   tathā hi mānave dharme manunābhihitaṃ khalu // KDA_121 //	taTA hi mAnave Darme manunA-aBihitam Kalu // KDA_121 //
   araṇīgarbhasaṃbhūtaḥ kaṭhinākhyo mahāmuniḥ /	araNI-garBa-saMBUtaH kaWina-AKyaH mahA-muniH /
   tapasā brāhmaṇo jātas tasmāj jātir akāraṇam* // KDA_122 //	tapasA brAhmaNaH jAtaH tasmAt jAtiH akAraNam* // KDA_122 //
   kaivartigarbhasaṃbhūto vyāso nāma mahāmuniḥ /	kEvarti-garBa-saMBUtaH vyAsaH nAma mahA-muniH /
   tapasā brāhmaṇo jātas tasmāj jātir akāraṇam* // KDA_123 //	tapasA brAhmaNaH jAtaH tasmAt jAtiH akAraNam* // KDA_123 //
   urvaśīgarbhasaṃbhūto vasiṣṭhākhyo mahāmuniḥ /	urvaSI-garBa-saMBUtaH vasizWa-AKyaH mahA-muniH /
   tapasā brāhmaṇo jātas tasmāj jātir akāraṇam* // KDA_124 //	tapasA brAhmaNaH jAtaH tasmAt jAtiH akAraNam* // KDA_124 //
   hariṇīgarbhasaṃbhūto ṛṣyaśṛṅgo mahāmuniḥ /	hariNI-garBa-saMBUtaH RzyaSRFgaH mahA-muniH /
   tapasā brāhmaṇo jātas tasmāj jātir akāraṇam* // KDA_125 //	tapasA brAhmaNaH jAtaH tasmAt jAtiH akAraNam* // KDA_125 //
   caṇḍālīgarbhasaṃbhūto viśvāmitro mahāmuniḥ /	caNxAlI-garBa-saMBUtaH viSvAmitraH mahA-muniH /
   tapasā brāhmaṇo jātas tasmāj jātir akāraṇam* // KDA_126 //	tapasA brAhmaNaH jAtaH tasmAt jAtiH akAraNam* // KDA_126 //
   taṇḍulīgarbhasaṃbhūto nāradākhyo mahāmuniḥ /	taNxulI-garBa-saMBUtaH nArada-AKyaH mahA-muniH /
   tapasā brāhmaṇo jātas tasmāj jātir akāraṇam* // KDA_127 //	tapasA brAhmaNaH jAtaH tasmAt jAtiH akAraNam* // KDA_127 //
   evam anye 'pi sarve ca ṛṣayo brahmacāriṇaḥ /	evam anye api sarve ca RzayaH brahmacAriNaH /
   tapasā brāhmaṇā bhūtā brāhmaṇīgarbhasaṃbhavāḥ // KDA_128 //	tapasA brAhmaNAH BUtAH brAhmaNI-garBa-saMBavAH // KDA_128 //
   dharmasaṃskārataḥ sarve mānavā brāhmaṇāḥ khalu /	Darma-saMskArataH sarve mAnavAH brAhmaNAH Kalu /
   dharmavṛttipramāṇena sarve syur brāhmaṇā narāḥ // KDA_129 //	Darma-vRtti-pramANena sarve syuH brAhmaNAH narAH // KDA_129 //
   ekavarṇam idaṃ sarvaṃ brahmasṛṣṭisamudbhavam* /	eka-varNam idam sarvam brahma-sRzwi-samudBavam* /
   dharmakalpavikalpena cāturvarṇyaṃ prakalpitam* // KDA_130 //	Darma-kalpa-vikalpena cAturvarNyam prakalpitam* // KDA_130 //
   sarve vai yonijā martyāḥ sarve mūtrapurīṣiṇaḥ /	sarve vE yoni-jAH martyAH sarve mUtra-purIziNaH /
   ekendriyakriyārthāś ca tasmāc chīlaguṇair dvijāḥ // KDA_131 //	eka-indriya-kriyA-arTAH ca tasmAt SIla-guNEH dvijAH // KDA_131 //
   śūdro 'pi śīlasaṃpanno guṇavān brāhmaṇo bhavet* /	SUdraH api SIla-saMpannaH guNavAn brAhmaNaH Bavet* /
   brāhmaṇo 'pi kriyāhīnaḥ śūdrāt pratyavaro bhavet* // KDA_132 //	brAhmaNaH api kriyA-hInaH SUdrAt pratyavaraH Bavet* // KDA_132 //
   guṇair dharmais tathā śīlair varṇā hy anekajātayaḥ /	guNEH DarmEH taTA SIlEH varNAH hi aneka-jAtayaH /
   brahmajeṣu hi sarveṣu nareṣu kiṃ viśeṣatā // KDA_133 //	brahma-jezu hi sarvezu narezu kim viSeza-tA // KDA_133 //
   yathā bhasmani sauvarṇe viśeṣa upalabhyate /	yaTA Basmani sOvarNe viSezaH upalaByate /
   brāhmaṇe cānyajātau vā na viśeṣo 'sti vai tathā // KDA_134 //	brAhmaNe ca-anya-jAtO vA na viSezaH asti vE taTA // KDA_134 //
   yathā prakāśatamasor viśeṣa upalabhyate /	yaTA prakASa-tamasoH viSezaH upalaByate /
   brāhmaṇe cānyajātau vā viśeṣo naiṣa vidyate // KDA_134 //	brAhmaNe ca-anya-jAtO vA viSezaH na-eza vidyate // KDA_134 //
   -------------------- Vaidya, p. 274 --------------------	------------------- VEdya, p. 274 --------------------
   na hi brāhmaṇa ākāśān maruto vā samudbhavaḥ /	na hi brAhmaNaH AkASAt marutaH vA samudBavaH /
   bhitvā vā pṛthivīṃ jāto jātavedā yathāraṇeḥ // KDA_136 //	BitvA vA pRTivIm jAtaH jAtavedAH yaTA-araNeH // KDA_136 //
   brāhmaṇā yonito jātāś caṇḍālā api yonitaḥ /	brAhmaNAH yonitaH jAtAH caNxAlAH api yonitaH /
   śreṣṭhatve vṛṣalatve ca kiṃ vāsti bhedakāraṇam* // KDA_137 //	SrezWa-tve vRzala-tve ca kim vA-asti Beda-kAraNam* // KDA_137 //
   brāhmaṇo 'pi mṛtotsṛṣṭo jugupsyo 'śucir ucyate /	brAhmaNaH api mRta-utsRzwaH jugupsyaH aSuciH ucyate /
   varṇās sathava cāpy anye kā nu tatra viśeṣatā // KDA_138 //	varNAH saTava ca-api anye kA nu tatra viSeza-tA // KDA_138 //
   yathā siṃhādijantūnāṃ padādibhedalakṣaṇam* /	yaTA siMha-Adi-jantUnAm pada-Adi-Beda-lakzaNam* /
   dehasaṃsthānaliṅgaiś ca narāṇāṃ kiṃ viśeṣatā // KDA_139 //	deha-saMsTAna-liFgEH ca narANAm kim viSeza-tA // KDA_139 //
   yathā haṃsamayūrādi- pakṣiṇāṃ ca viśeṣatā /	yaTA haMsa-mayUra-Adi pakziNAm ca viSeza-tA /
   mukhādivarṇaśabdaiś ca narāṇāṃ nāsti bhedatā // KDA_140 //	muKa-Adi-varNa-SabdEH ca narANAm na-asti Beda-tA // KDA_140 //
   yathā ca kṛmikīṭānāṃ kāyasaṃsthānabhedatā /	yaTA ca kRmi-kIwAnAm kAya-saMsTAna-Beda-tA /
   tathaiva narajātīnāṃ naivāsti bhedalakṣaṇam* // KDA_141 //	taTA-eva nara-jAtInAm na-eva-asti Beda-lakzaNam* // KDA_141 //
   yathā bhūruhavṛkṣāṇāṃ patrādyākārabhedatā /	yaTA BUruha-vRkzANAm patra-Adi-AkAra-Beda-tA /
   tathā nāsti manuṣyāṇām ākṛter bhedalakṣaṇam* // KDA_142 //	taTA na-asti manuzyANAm AkRteH Beda-lakzaNam* // KDA_142 //
   tṛṇauṣadhādiśasyānāṃ yathākṛtiviśeṣatā /	tRNOzaDa-Adi-SasyAnAm yaTA-AkRti-viSeza-tA /
   mānavānāṃ tathā nāsti saṃsthānaṃ bhinnalakṣaṇam* (Speyer:saṃsthānabhinnaŚ)	mAnavAnAm taTA na-asti saMsTAnam Binna-lakzaNam* (SpeyeH-:-saMsTAna-BinnaŚ)
   // KDA_143 //	// KDA_143 //
   dhānyādivrīhijātīnāṃ varṇākārādilakṣaṇam* /	DAnya-Adi-vrIhi-jAtInAm varNa-AkAra-Adi-lakzaNam* /
   tathā nāsti manuṣyāṇāṃ varṇākāraviśeṣatā // KDA_144 //	taTA na-asti manuzyANAm varNa-AkAra-viSeza-tA // KDA_144 //
   jātikundādipuṣpāṇāṃ yathā varṇādibhedatā /	jAti-kunda-Adi-puzpANAm yaTA varNa-Adi-Beda-tA /
   mānavānāṃ tathā nāsti varṇagandhādibhedatā // KDA_145 //	mAnavAnAm taTA na-asti varNa-ganDa-Adi-Beda-tA // KDA_145 //
   jalajānāṃ ca puṣpāṇāṃ padmādīnāṃ viśeṣatā /	jala-jAnAm ca puzpANAm padma-AdInAm viSeza-tA /
   varṇasaṃsthānagandhāś ca narāṇāṃ tu tathā na hi // KDA_146 //	varNa-saMsTAna-ganDAH ca narANAm tu taTA na hi // KDA_146 //
   yathāmrādiphalānāṃ ca svādādiguṇabhedatā /	yaTA-Amra-Adi-PalAnAm ca svAda-Adi-guNa-Beda-tA /
   manujānāṃ tathā nāsti māṃsāsthiguṇabhedatā // KDA_147 //	manujAnAm taTA na-asti mAMsa-asTi-guNa-BedatA // KDA_147 //
   yathā ṣaḍrasajātīnāṃ guṇāsvādādibhedatā /	yaTA zaz-rasa-jAtInAm guNa-AsvAda-Adi-Beda-tA /
   tathā nāsti manuṣyāṇāṃ ṣaḍindriyaviśeṣatā // KDA_148 //	taTA na-asti manuzyANAm zaz-indriya-viSeza-tA // KDA_148 //
   yathā hemādidhātūnāṃ dravyavarṇādibhedatā /	yaTA hema-Adi-DAtUnAm dravya-varNa-Adi-Beda-tA /
   tathā nāsti manuṣyāṇāṃ saṃsthānavarṇabhedatā // KDA_149 //	taTA na-asti manuzyANAm saMsTAna-varNa-BedatA // KDA_149 //
   yathā vajrādiratnānāṃ saṃsthānavarṇabhedatā /	yaTA vajra-Adi-ratnAnAm saMsTAna-varNa-Beda-tA /
   tathā nāsti manuṣyāṇāṃ śarīrākārabhedatā // KDA_150 //	taTA na-asti manuzyANAm SarIra-AkAra-BedatA // KDA_150 //
   samamāṃsādibhedāś ca ṣaḍindriyasamās tathā /	sama-mAMsa-Adi-BedAH ca zaz-indriya-samAH taTA /
   ekāṃśato viśeṣo na kuto deheṣu bhedatā // KDA_151 //	eka-aMSataH viSezaH na kutas dehezu Beda-tA // KDA_151 //
   -------------------- Vaidya, p. 275 --------------------	------------------- VEdya, p. 275 --------------------
   yathā hi bālakā bālā krīḍamānā mahāpathe /	yaTA hi bAlakA bAlA krIxamAnAH mahApaTe /
   pāṃśupuñjāni saṃpiṇḍya svayaṃ nāmāni kurvate // KDA_152 //	pAMSu-puQjAni saMpiNxya svayam nAmAni kurvate // KDA_152 //
   idaṃ kṣīram idaṃ māṃsam idaṃ ghṛtam idaṃ dadhi /	idam kzIram idam mAMsam idam GRtam idam daDi /
   na ca bālasya vacanāt pāṃśavo 'nnā bhavanti hi // KDA_153 //	na ca bAlasya vacanAt pAMSavaH annAH Bavanti hi // KDA_153 //
   varṇās tathaiva catvāraḥ subhūta iti kalpitāḥ /	varNAH taTA-eva catvAraH suBUtaH iti kalpitAH /
   pāṃśupuñjābhidhānena yogo 'py eṣa na vidyate // KDA_158 //	pAMSu-puQja-aBiDAnena yogaH api eza na vidyate // KDA_158 //
   na keśena na kaṛṇena na śīrṣeṇa na cakṣuṣā /	na keSena na kaRNena na SIrzeNa na cakzuzA /
   na mukhena na nāsāyā na grīvayā na bāhunā // KDA_155 //	na muKena na nAsAyAH na grIvayA na bAhunA // KDA_155 //
   norasā na ca pārśvena na pṛṣṭhenodareṇa vā /	na-urasAH na ca pArSvena na pRzWena-udareNa vA /
   norubhyām atha jaṅgābhyāṃ pāṇipādanakhair na ca // KDA_156 //	na-UruByAm aTa jaFgAByAm pANi-pAda-naKEH na ca // KDA_156 //
   na svareṇa na varnena na sarvāṃśair na maithunaiḥ /	na svareNa na varnena na sarva-aMSEH na mETunEH /
   naikā viśeṣatā vāpi manuṣyeṣu na vidyate // KDA_157 //	na-ekA viSeza-tA vA-api manuzyezu na vidyate // KDA_157 //
   tathā nāsti yathānyāsu jāter liṅgaṃ pṛthak pṛthak* /	taTA na-asti yaTA-anyAsu jAteH liFgam pRTak pRTak* /
   sāmāny akāraṇaṃ manye kiṃcin na bhedalakṣaṇam* // KDA_158 //	sAmAni akAraNam manye kiMcid na Beda-lakzaNam* // KDA_158 //
   saṃjñāmātreṇa kalpyante brāhmaṇāḥ kṣatriyās tathā /	saMjQA-mAtreNa kalpyante brAhmaNAH kzatriyAH taTA /
   vaiśyāḥ śūdrās tathānye 'pi saṃjñāmātre hi kīrtitāḥ // KDA_169 //	vESyAH SUdrAH taTA-anye api saMjQA-mAtre hi kIrtitAH // KDA_169 //
   yathaikavṛkṣajātānāṃ phalānāṃ nāsti bhedatā /	yaTA-eka-vRkza-jAtAnAm PalAnAm na-asti Beda-tA /
   tathaikam anujātānāṃ kiṃ viśeṣatvalakṣaṇam* // KDA_160 //	taTA-ekam anujAtAnAm kim viSeza-tva-lakzaNam* // KDA_160 //
   guṇadharmānucāreṇa jātibhedā bhavanti hi /	guNa-Darma-anucAreNa jAti-BedAH Bavanti hi /
   cāturvarṇyam idaṃ loke sarvaṃ hi manusaṃbhavam* // KDA_161 //	cAturvarNyam idam loke sarvam hi manu-saMBavam* // KDA_161 //
   guṇadharmapramāṇena jāter naiva pramāṇatā /	guNa-Darma-pramANena jAteH na-eva pramANa-tA /
   tathā ca procyate bauddhair avadānārthakovidaiḥ // KDA_162 //	taTA ca procyate bOdDEH avadAna-arTa-kovidEH // KDA_162 //
   mānavā ye praśāntāsthā satyadharmavratānvitāḥ /	mAnavAH ye praSAnta-AsTA satya-Darma-vrata-anvitAH /
   brāhmaṇās te mahāśuddhāś caturbrahmavihāriṇaḥ // KDA_163 //	brAhmaNAH te mahA-SudDAH catur-brahma-vihAriNaH // KDA_163 //
   parigrahān parityajya vanaprasthanivāsinaḥ /	parigrahAn parityajya vana-prasTa-nivAsinaH /
   ye bhajanti sadā brahma vānaprasthā hi te dvijāḥ // KDA_164 //	ye Bajanti sadA brahma vAnaprasTAH hi te dvijAH // KDA_164 //
   ṣaṭkarmaniratā ye tu śrotriyā gṛhavāsinaḥ /	zawkarma-niratAH ye tu SrotriyAH gRha-vAsinaH /
   mahāyajñasamācārā upādhyāyā hi te dvijāḥ // KDA_165 //	mahAyajQa-samAcArAH upADyAyAH hi te dvijAH // KDA_165 //
   nirapekṣāḥ svadehe 'pi tyaktamārābhigocarāḥ /	nirapekzAH sva-dehe api tyaktamAra-aBi-gocarAH /
   bhikṣāśino vratasthās te bhikṣavo brahmavādinaḥ // KDA_166 //	BikzA-ASinaH vrata-sTAH te BikzavaH brahma-vAdinaH // KDA_166 //
   ye ca mārān vinirjitya niḥsaṅgā dhīramānasāḥ /	ye ca mArAn vinirjitya niHsaFgAH DIra-mAnasAH /
   tapanti puṇyakṣetreṣu mānavās te tapasvinaḥ // KDA_167 //	tapanti puNya-kzetrezu mAnavAH te tapasvinaH // KDA_167 //
   -------------------- Vaidya, p. 276 --------------------	------------------- VEdya, p. 276 --------------------
   daśākuśalanirbhuktā daśākuśalasaṃratāḥ /	daSa-akuSala-nirBuktAH daSa-akuSala-saMratAH /
   satyavāco vratasthā ye ṛṣayas te dvijottamāḥ // KDA_168 //	satya-vAcaH vrata-sTAH ye RzayaH te dvijottamAH // KDA_168 //
   ye ca lokapracāreṣu viratā dharmamānasāḥ /	ye ca loka-pracArezu viratAH Darma-mAnasAH /
   vācaṃyamāś ca te bhadrā munayaḥ satyavādinaḥ // KDA_169 //	vAcaMyamAH ca te BadrAH munayaH satya-vAdinaH // KDA_169 //
   ye ca jitendriyagrāmā nirmuktabhavacārakāḥ /	ye ca jita-indriya-grAmAH nirmukta-Bava-cArakAH /
   nirmamā nirahaṃkārā yatayo yogino 'pi te // KDA_170 //	nirmamAH nirahaMkArAH yatayaH yoginaH api te // KDA_170 //
   ye ca sthaṇḍilam āśritya caranti vratam ādarāt* /	ye ca sTaNxilam ASritya caranti vratam AdarAt* /
   te 'pi ca mānavā dhīrāḥ sthaṇḍilā jaṭilās tathā (Speyer: sthāṇḍilā) //	te api ca mAnavAH DIrAH sTaNxilAH jawilAH taTA (Speyer: sTANxilA) //
   KDA_171 //	KDA_171 //
   ye ca bhasmaviliptāṅgā hārābharaṇabhūṣitāḥ /	ye ca Basma-vilipta-aFgAH hAra-ABaraNa-BUzitAH /
   kāpālikāś ca te vīrāḥ śmaśānavratacāriṇaḥ // KDA_172 //	kApAlikAH ca te vIrAH SmaSAna-vrata-cAriNaH // KDA_172 //
   ye samiddhavyadravyāṇi juhvatyagnau samāhitāḥ /	ye samiD-havya-dravyANi juhvati-agnO samAhitAH /
   te hotāraś ca yajvāno vedadharmārthasādhakāḥ // KDA_173 //	te hotAraH ca yajvAnaH veda-Darma-arTa-sADakAH // KDA_173 //
   ye ca kṣatrāṇi rakṣantaḥ pālayanti sadā prajāḥ /	ye ca kzatrANi rakzantaH pAlayanti sadA prajAH /
   satvarakṣāvratācārāḥ kṣatriyās te nṛpā narāḥ // KDA_174 //	satva-rakzA-vrata-AcArAH kzatriyAH te nRpAH narAH // KDA_174 //
   ye rañjayanti dharmārthe lokān nītiprayojakāḥ /	ye raQjayanti Darma-arTe lokAn nIti-prayojakAH /
   rājānas te mahāvīrāḥ sarvadharmābhipālakāḥ // KDA_175 //	rAjAnaH te mahA-vIrAH sarva-Darma-aBipAlakAH // KDA_175 //
   ye ca satvahitādhāne vividhārthānukāriṇaḥ /	ye ca satva-hita-ADAne viviDa-arTa-anukAriNaH /
   veśayanti prajā dharme vaiśyās te hi narottamāḥ // KDA_176 //	veSayanti prajAH Darme vESyAH te hi nara-uttamAH // KDA_176 //
   vratācāravihīnā ye satvarakṣārthacāriṇaḥ /	vrata-AcAra-vihInAH ye satva-rakzA-arTa-cAriNaH /
   manyante sevayā śuddhiṃ śūdrās te śreṣṭhinas tathā // KDA_177 //	manyante sevayA SudDim SUdrAH te SrezWinaH taTA // KDA_177 //
   ye ca kṣetrāṇi karṣanti dhānyādivrīhisādhakāḥ /	ye ca kzetrANi karzanti DAnya-Adi-vrIhi-sADakAH /
   kṛṣikās te narā dhānyaiḥ satvajīvānupoṣakāḥ // KDA_178 //	kRzikAH te narAH DAnyEH satva-jIva-anupozakAH // KDA_178 //
   sādhayanti mahatkāryaṃ dhanādivastusaṃgrahaiḥ /	sADayanti mahat-kAryam Dana-Adi-vastu-saMgrahEH /
   vaṇikkarmābhisaṃyuktā vaṇijas te mahodyamāḥ // KDA_179 //	vaNij-karma-aBisaMyuktAH vaNijaH te mahA-udyamAH // KDA_179 //
   ye ca sārthān samāhṛtya ratnākarasamāgatāḥ /	ye ca sArTAn samAhRtya ratna-Akara-samAgatAH /
   sādhayanti ca ratnāni sārthavāhāś ca te narāḥ // KDA_180 //	sADayanti ca ratnAni sArTavAhAH ca te narAH // KDA_180 //
   tathānye śilpavidyādīn ye ca kurvanti mānavāḥ /	taTA-anye Silpa-vidyA-AdIn ye ca kurvanti mAnavAH /
   śilpinas te tathānye 'pi svarṇakārādayo narāḥ // KDA_181 //	SilpinaH te taTA-anye api svarNakAra-AdayaH narAH // KDA_181 //
   jyotir vidyāvido ye ca gaṇayanti divāniśam* /	jyotiH vidyA-vidaH ye ca gaNayanti divAniSam* /
   yugāntakālavijñātā gaṇakās te 'pi mānavāḥ // KDA_182 //	yugAnta-kAla-vijQAtAH gaNakAH te api mAnavAH // KDA_182 //
   dhātudoṣāny abhijñāya lokānāṃ paricārakāḥ /	DAtu-dozAni aBijQAya lokAnAm paricArakAH /
   bhaiṣajyaṃ ye dadanty eva bhiṣajas te hi vaidyakāḥ // KDA_183 //	BEzajyam ye dadanti eva BizajaH te hi vEdyakAH // KDA_183 //
   -------------------- Vaidya, p. 277 --------------------	------------------- VEdya, p. 277 --------------------
