   // tarkatāṇḍavam //	// tarka tANxavam //
   tadbhinnaṃ grāhyetyādīrūpaṃ ca yajjñānaṃ siddhānte prāguktarūpasākṣijñānaṃ	tat Binnam grAhyA ityAdI rUpam ca yat jQAnam sidDAnte prAc ukta rUpa sAkzi jQAnam
   bhaṭṭamate jñānānumitirūpaṃ gurumate svaprakāśaghaṭādijñānaṃ miśramate	Bawwa mate jQAna anumiti rUpam guru mate sva prakASa Gawa Adi jQAnam miSra mate
   tadanuvyavasāyaḥ / tena gṛhyata evetyevaṃrūpaṃ tadviṣayatvanaiyatyaṃ	tad anu vyavasAyaH / tena gRhyate eva iti evaMrUpam tad vizaya tva nEyatyam
   tattanmate statastvamityarthaḥ / na ca gurumate	tat tad mate stataH tvam iti arTaH / na ca guru mate
   sarvajñānayāthārthyasvaprakāśatvayorupagamena prāmāṇyāviṣayakaṃ jñānaṃ	sarva jQAna yATArTya sva prakASa tvayoH upagamena prAmANya avizayakam jQAnam
   nāstyeveti śaṅkyam / idaṃ jñānapramāṇamityādyaprāmāṇyāropasthale jñānasya	na asti eva iti SaFkyam / idam jQAna pramANam iti Adya prAmANya Aropa sTale jQAnasya
   prāmāṇyāviṣayakatvasya gurūtārkikasaṃmateḥ /	prAmANya avizayaka tvasya gurUtArkika saMmateH /
   1.prāmāṇya. mu. cha."tat"iti nāsti.  gha. 2. hi catvāraḥ.   kuṃ.	1.prAmANya. mu. Ca."tat"iti nAsti.  Ga. 2. hi catvAraH.  kuM.
   3. nāsti   kuṃ. 4. nāsti.  kuṃ.	3. na asti  kuM. 4. nAsti.  kuM.
   "prāmāṇyavādaḥ pu  14.	"prAmANyavAdaH pu 14.
   tatra prāmāṇyāviṣayakajñānābhinnetyuktyā	tatra prAmANya avizaya ka jQAna aBinnA iti uktyA
   ghaṭa'yamityādighaṭādiviṣayakapratyakṣajñānaṃ prati jñānaṃ guṇa	Gawa ayam iti Adi Gawa Adi vizayaka pratyakza jQAnam prati jQAnam guNa
   ityādiśabdena ghaṭajñānamityādiśabdena ca janyaṃ jñānaviṣayaka jñānaṃ	ityAdi Sabdena Gawa jQAnam ityAdi Sabdena ca janyam jQAna vizayaka jQAnam
   prati pratibaddhānuvyavasāyaṃ prati ca svatastvapakṣepi   	prati pratibadDa anuvyavasAyam prati ca svatas tu apakzepi   
   āropastu gurumate icchāsthasya	AropaH tu guru mate icCA sTasya
   vyadhikaraṇaprakārakatvarūpāprāmāṇyasyāsaṃsargāgraho nyāyamate	vyaDikaraNa prakAraka tva rUpA prAmANyasya asaMsarga AgrahaH nyAya mate
   viśiṣṭajñānamityanyadetat / atra	viSizwa jQAnam iti anyat etat / atra
   grāhyaprāmāṇyāśrayatattajjñānaviṣayaketyuktyā tadaṃśa	grAhya prAmANya ASraya tat tad jQAna vizaya ka iti uktyA tad aMSa
   evoktarūpajñānabhinnatvasyābhimatatvājjñānaviṣayakaṃ jñānaṃ prameti	eva ukta rUpa jQAna Binna tvasya aBimata tvAt jQAna vizayakam jQAnam pramA iti
   jñānasyādyanujñāne prāmāṇyāviṣayakabhinnasatvānna doṣaḥ / prāmāṇyavādaṃ	jQAnasya Adi anujQAne prAmANya avizayaka Binna satvAt na dozaH / prAmANya vAdam
   grāhyatattatprāmāṇyaparaṃ vā / tathāca yathānyāsenaivoktasthale na doṣaḥ /	grAhya tad tad prAmANya param vA / taTA ca yaTAnyAsena eva ukta sTale na dozaH /
   atra	atra
   nañdvayāpraveśenobhayasiddhaprāmāṇyaviṣayakajñānaviṣayatvanaiyatyamityukte	naQdvaya apraveSena uBaya sidDa prAmANya vizaya ka jQAna vizaya tva nEyatyam iti ukte
   tādṛśānumityādinā siddhasādhanam / ato 'viṣayakabhinnetyuktiḥ /	tAdRSa anum iti AdinA sidDa sADanam / atas avizaya ka Binna iti uktiH /
   atrādyajñānapadaṃ yathoktarūpaghaṭādibhinnena ghaṭajñānādinā	atra Adya jQAna padam yaTA ukta rUpa Gawa Adi Binnena Gawa jQAna AdinA
   prāmāṇyāgrahādbādha iti śaṅkānirāsāya / antyaṃ tu	prAmANya agrahAt bADaH iti SaFkA nirAsAya / antyam tu
   tādṛśajñānabhinnaghaṭādīviṣayatvābhāvena bādha iti śaṅkānirāsāyeti	tAdRSa jQAna Binna Gawa AdI vizaya tva aBAvena bADaH iti SaFkA nirAsAya iti
   vyaktamiti śiṣṭapadakṛtyānyāha    tatreti //	vyaktam iti Sizwa pada kRtyAni Aha   tatra iti //
   prāmāṇyaviṣayakajñānabhinnetyanuktvobhayasiddhajñānaviṣayatvanaiyatyamityetāvatyukte	prAmANya vizaya ka jQAna BinnA iti anuktvA uBaya sidDa jQAna vizaya tva nEyatyam iti etO= atI ukte
   sati praṣṭavyaṃ ubhayasiddhajñānapadena kiṃ pratyakṣajñānamabhimataṃ uta	sati prazwavyam uBaya sidDa jQAna padena kim pratyakza jQAnam aBimatam uta
   śābdaṃ athānuvyavasāyarūpam ? dvitīye 'pi kiṃ jñānaviṣayakaṃ	SAbdam aTa anuvyavasAya rUpam ? dvitIye api kim jQAna vizaya kam
   viṣayāliṅgitajñānaviṣayakaṃ veti vikalpānvā ; viṣayagrāhijñānamiti vā	vizaya AliFgita jQAna vizayakam vA iti vikalpAn vA ; vizaya grAhi jQAnam iti vA
   jñānagrāhijñānamiti vā ubhayagrāhi jñānamiti vā	jQAna grAhi jQAnam iti vA uBaya grAhi jQAnam iti vA
   ubhayagrāhyanuvyavasāyarūpapratyakṣaṃ veti vikalpānvā hṛdi nidhāya krameṇa	uBaya grAhi anuvyavasAya rUpa pratyakzam vA iti vikalpAn vA hRdi niDAya krameNa
   nirāha    ghaṭoyamityādinā // pratyakṣajñānaṃ pratītyādeḥ	nirAha   Gawoyam iti AdinA // pratyakza jQAnam prati iti AdeH
   prāmāṇyasyāviṣayatvādityanvayaḥ / gurumate ghaṭoyamiti jñānenāpi	prAmANyasya avizaya tvAt iti anvayaH / guru mate Gawoyam iti jQAnena api
   prāmāṇyagrahādidaṃ jñānamapramāṇamityādijñānaṃ pratīti grāhyam /	prAmANya grahAt idam jQAnam apramANam ityAdi jQAnam prati iti grAhyam /
   1. janya.   mu. ca.	1. janya.  mu. ca.
   svama  jña ni.) prāmāṇyavādaḥ pu  15.	svama jQa ni.) prAmANya vAdaH pu 15.
   uktasya trividhasyāpi jñānasya prāmāṇyāviṣayakatvena tadbhinnatvābhāvāt /	uktasya triviDasya api jQAnasya prAmANya avizayaka tvena tad Binna tva aBAvAt /
   ubhayasiddhetyuktyā nyāyamate ' 2 pratibaddhasyāpyanuvyavasāyasya	uBaya sidDa iti uktyA nyAya mate a 2 pratibadDasya api anuvyavasAyasya
   prāmāṇyāviṣaya 3 katvena	prAmANya avizaya 3 katvena
   tadbhinnatvābhāvātsiddhāntyabhipretasyāpratibaddhānuvyavasāyaṃ prati	tad Binna tva aBAvAt sidDAnti aBipretasya apratibadDa anuvyavasAyam prati
   viṣayatvāsyāsiddhyār'thāntaramiti śaṅkā parāstā /	vizayatva asya asidDyAr aTa antaram iti SaFkA parAH tA /
   śaṅkānirāsaṃ vyanakti   uktasya trividhasyāpīti // yattu ghaṭajñānamiti	SaFkA nirAsam vyanakti  uktasya triviDasya api iti // yat tu Gawa jQAnam iti
   śabdajanyajñānena ghaṭatvavati ghaṭatvaprakārakatvarūpaṃ prāmāṇyaṃ gṛhyata	Sabda janya jQAnena Gawatvavati Gawa tva prakAraka tva rUpam prAmANyam gRhyata
   iti ; tattvapadarthatvādavākyārthatvādayuktam / pratibaddhānuvyavasāyaṃ	iti ; tattva padarTa tvAt avAkya arTa tvAt ayuktam / pratibadDa anuvyavasAyam
   pratītyatra gurumate idaṃ jñānamaprāmāṇamityādipratibaddhajñānaṃ pratīti	pratIti atra guru mate idam jQAnam aprAmANam iti Adi pratibadDa jQAnam prati iti
   bhaṭṭamate pratibaddhajñānānumitiṃ pratītyapi dhyeyam //	Bawwa mate pratibadDa jQAna anumitim prati iti api Dyeyam //
   ubhayasiddhetyukteti    prāmāṇyaviṣayaketyādāvukte satyanyatarasiddhaṃ	uBaya sidDa iti uktA iti   prAmANya vizayaka ityAdO= ukte sati anyatara sidDam
   prāmāṇyaviṣayakaṃ yadapratibaddhānuvyavasāyarūpaṃ jñānaṃ	prAmANya vizayakam yat apratibadDa anuvyavasAya rUpam jQAnam
   tadviṣayatvamādāya prāmāṇyasya svatastvaṃ siddhānta na siddhyet / tasya	tad vizaya tvam AdAya prAmANyasya svatas tvam sidDAnta na sidDyet / tasya
   prāmāṇyāviṣayakabhinnatvābhāvāt / ubhayasiddhatyuktau	prAmANya avizaya kaBinna tva aBAvAt / uBaya sidDati uktO
   apratibaddhānuvyavasāyasya	apratibadDa anuvyavasAyasya
   prāmāṇyāviṣayakatvenobhayasiddhatvābhāvādubhayasiddhatādṛśajñānabhinnatvamastyeveti	prAmANya avizayaka tvena uBaya sidDa tva aBAvAt uBaya sidDa tAdRSa jQAna Binna tvam asti eva iti
   nārthāntaratvadoṣa ityarthaḥ / anuvyavasāyasyetyupalakṣaṇam /	na arTa antara tva dozaH iti arTaH / anuvyavasAyasya iti upalakzaNam /
   apratibaddhajñānānumiterapratibaddhasvaprakāśajñānasyetyapi dhyeyam /	apratibadDa jQAna anumiteH apratibadDa sva prakASa jQAnasya iti api Dyeyam /
   evamagrepi / apratibaddhatvaṃ ca	evam agrepi / apratibadDa tvam ca
   prāmāṇyavirodhyupasthititatsāmagryasamavahitatvam / śaṅkānirāsaprakāraṃ	prAmANya viroDi upasTiti tad sAmagrya samavahita tvam / SaFkA nirAsa prakAram
   vyanakti    apratibaddheti // ubhayasiddhādityādeḥ	vyanakti   apratibadDA iti // uBaya sidDAt ityAdeH
   prāmāṇyāviṣayakatvenobhayasiddhādbhinnatvasaṃbhavādityarthaḥ //	prAmANya avizayaka tvena uBaya sidDAt Binna tva saMBavAt iti arTaH //
   1. yatvena.  mu. ca. cha. 2. matepya.  ka. 3. yatvena.  cha.	1. yatvena.  mu. ca. Ca. 2. matepya. ka. 3. yatvena. Ca.
   svama jña sva ni.) prāmāṇyavādaḥ pu  16.	sva m a jQa sva ni.) prAmANya vAdaH pu 16.
      1 apratibaddhānuvyavasāyasya nyāyamate prāmāṇyaviṣayatvepi manmate	  1 apratibadDa anuvyavasAyasya nyAya mate prAmANya vizaya tvepi manmate
   tadabhenobhayasiddhātprāmāṇyaviṣayakādbhinnatvasaṃbhavāt /	tad aBena uBaya sidDAt prAmANya vizaya kAt Binna tva saMBavAt /
   naiyatyamityuktyā nyāyamate prāmāṇyasyaivaṃvidhāṃ prāmāṇyānumitiṃ	nEyatyam iti uktyA nyAya mate prAmANyasya evaMviDAm prAmANya anumitim
   prati kvacidanuvyavasāyaṃ prita ca viṣayatvātsiddhasādhanamiti śaṅkā	prati kvacid anuvyavasAyam prita ca vizaya tvAt sidDa sADanam iti SaFkA
   vyudastā / atrādyaṃ pakṣadvayaṃ svamatāsādhāraṇam / tṛtīyaṃ tu	vyudastAH / atra Adyam pakza dvayam sva matAsA DAraNam / tRtIyam tu
   mīmāṃsakādimatasādhāraṇamiti jñeyam / etadeva pakṣatramabhipretyoktaṃ	mImAMsaka Adi mata sADAraNam iti jQeyam / etat eva pakzatram aBipretya uktam
   sudhāyāṃ"jñānagatayāthārthyasya jñānagrāhakamātragrāhyatvaṃ svatastvaṃ"iti	suDAyAn= jQAna gata yATArTyasya jQAna grAhaka mAtra grAhya tvam svatas tvaM"iti
   / atrādye 2 pakṣe sudhā 3 sthena jñānagrahakaśabdena grāhyaprāmāṇyāśrayata	/ atra Adye 2 pakze suDA 3 sTena jQAna grahaka Sabdena grAhya prAmANya ASrayata
   evaṃvidhāmiti // ubhayasiddhaprāmāṇyāviṣayakajñānabhinnajñānarūpāṃ idaṃ	evaMviDAm iti // uBaya sidDa prAmANya avizayaka jQAna Binna jQAna rUpAm idam
   jñānaṃ pramāṇaṃ samarthapravṛttihetutvādityanumitiṃ prati	jQAnam pramANam samarTa pravRtti hetu tvAt iti anumitim prati
   vakṣyamāṇadiśā smṛtyupanīte vyavasāye	vakzyamANa diSA smRti upanIte vyavasAye
   smṛtyupanītaprāmāṇyāvagāhyanuvyavasāyaṃ	smRti upanIta prAmANya avagAhi anuvyavasAyam
   gṛhītaprāmāṇyakajñānasajātīyajñānagocarānuvyavasāyaṃ ca prati // atreti   	gRhIta prAmANyaka jQAna sajAtIya jQAna gocara anuvyavasAyam ca prati // atra iti   
   uktasvatastvaniruktitrayamadhya ityarthaḥ // svamateti   	uktasvataH tu anirukti traya maDye iti arTaH // sva matA iti   
   tārkikamatasādhāraṇyepi mīmāṃsakatritayasādhāraṇaṃ netyarthaḥ /	tArkika m ata sADAraNyepi mImAMsaka tritaya sADAraNam na iti arTaH /
   mīmāṃsakādītyādipadena mirārimiśraḥ siddhāntī māyāvādiprabhṛtirvā grāhyaḥ	mImAMsaka Adi ityAdi padena mirAri miSraH sidDAntI mAyA vAdi praBRtiH vA grAhyaH
   / uktapakṣatrayaṃ sudhāvākyarūḍhaṃ karoti    etaditi // uktemiti //	/ ukta pakza trayam suDA vAkya rUXam karoti   etat iti // uktem iti //
   "pratyakṣavacca prāmāṇyaṃ svataḥ evāgamasya hi"	"pratyakza vat ca prAmANyam svatas eva Agamasya hi"
   iti jijñāsānayānuvyākhyānavyākhyāvasara uktamityarthaḥ / tadvyanakti	iti jijQAsA Anaya anuvyAKyAna vyAKyA avasaraH uktam iti arTaH / tat vyanakti
   atretyādinā //	atra ityAdinA //
   1. āpāstā.   ca.cha. nirastā. ga. 2. atrādya.  mu.ca. 3.sūdhāyām. ka	1. ApAH tA.  ca.Ca. nirasta a. ga. 2. atra Adya. mu.ca. 3. sUDAyAm. ka
   "prāmāṇyavādaḥ pu  17.	"prAmANyavAdaH pu 17.
      ttajñānaviṣayakasākṣijñānaṃ grāhyaśabdena tadviṣayatvaṃ mātrapadena 1	  ttajQAna vizaya ka sAkzi jQAnam grAhya Sabdena tad vizaya tvam mAtra padena 1
   kārsnyapareṇa tanniyamaḥ avadhāraṇapareṇa pratibaddhavyavacchedaśca	kArsnya pareNa tat niyamaH avaDAraNa pareNa pratibadDa vyavacCedaH ca
   vivakṣitaḥ / dvitīya 2 pakṣe grāhyaśabdenoktasākṣijñānaviṣayatvayogyatā	vivakzitaH / dvitIya 2 pakze grAhya Sabdena ukta sAkzi jQAna vizaya tva yogya tA
   avadhāraṇapareṇa mātrapadena 3	avaDAraNa pareNa mAtra padena 3
   jñānatvagrahaṇaśaktivatpramātvagrahaṇaśakterapi sahajatvaṃ vivakṣitam /	jQAna tva grahaNa Sakti vat pramAtva grahaNa SakteH api sahaja tvam vivakzitam /
   tṛtīya 4 pakṣe jñānagrāhakaśabdena sākṣitaditarasādhāraṇaṃ jñānam	tRtIya 4 pakze jQAna grAhaka Sabdena sAkzi taditarasADAraNam jQAnam
   mātraśabdenāvadhāraṇa 5 pareṇobhayasiddhaprāmāṇyāviṣayakajñāna 6	mAtra Sabdena avaDAraNa 5 pareNa uBaya sidDa prAmANya avizayaka jQAnaH 6
   vyavacchedaḥ, kārsnyārthenāpratibaddhasarvānuvyavasāyasaṃgrahaśca	vyavacCedaH, kArsnya arTena apratibadDa sarva anuvyavasAya saMgrahaH ca
   vivakṣita iti jñeyam // 3 //	vivakzitaH iti jQeyam // 3 //
   mātrapadasya dvyarthatvamupetyāha    kārsnyetyādi // yāvantijñānagrāhakāṇi	mAtra padasya dvi arTa tvam upetya Aha   kArsnya ityAdi // yAvanti jQAna grAhakANi
   tāvadbhirgrāhyatvoktau jñānagrāhakeṇa gṛhyata eveti niyamalābhāditi bhāvaḥ	tAvadBiH grAhya tva uktO jQAna grAhakeNa gRhyate eva iti niyama lABAt iti BAvaH
   // pratibaddheti // jñānagrāhakeṇaiva gṛhyata ityukte na tu	// pratibadDA iti // jQAna grAhakeNa eva gRhyate iti ukte na tu
   virodhisāmagrīsamavahitenetyarthalābhāditi bhāvaḥ /	viroDi sAmagrI samavahitena iti arTa lABAt iti BAvaH /
   arhārthaṇyatpratyayāntatvamupetyāha    grāhyaśabdeneti // pramātvetyādi //	arha arTaNyat pratyaya anta tvam upetya Aha   grAhya Sabdena iti // pramAtvA ityAdi //
   jñānagrāhakamātreṇetyasya jñānagrāhakeṇaiva na tvadhikenetyuktau	jQAna grAhaka mAtreNa iti asya jQAna grAhakeNa eva na tu aDikena iti uktO
   pramātvagrahaṇaśakterapi sahajatvalābhāditi bhāvaḥ / yadyāpe	pramAtva grahaNa SakteH api sahaja tvalABAt iti BAvaH / yadyApe
   śakterekatvameva labhyate / tathāpi pratibandha 7 sthale sākṣiṇaḥ	SakteH eka tvam eva laByate / taTA api pratibanDa 7 sTale sAkziNaH
   prāmāṇyagrahaṇaśakteḥ pratibandhe 'pi na jñānatvagrahaṇaśakteriti	prAmANya grahaNa SakteH pratibanDe api na jQAna tva grahaNa SakteH iti
   śaktidvitvamupetya sahajatvaṃ vivakṣitamityuktam    taditareti //	Sakti dvi tvam upetya sahaja tvam vivakzitam iti uktam   tat itarA iti //
   sākṣītarasvaprakāśā 8 numityanuvyavasāyarūpapamityarthaḥ / naiyatyalābha 9	sAkzItarasva prakASAH 8 num iti anuvyavasAya rUpapam iti arTaH / nEyati alABa 9
   prakāramāha    kartsnyartheneti //	prakAram Aha   kartsni arTena iti //
   apratibaddheti // virodhisāmagryasamavahitajñānagoyarāsarvajñānagrahaśca	apratibadDA iti // viroDi sAmagrya samavahita jQAna goyarA sarva jQAna grahaH ca
   vivakṣita ityarthaḥ // 3 //	vivakzitaH iti arTaH // 3 //
   1.śabdena  cha.ka. 2.ye. kuṃ. 3. śabdena. kuṃ.cha. ka. 4.ye  kuṃ	1. Sabdena Ca.ka. 2.ye.  kuM. 3. Sabdena. kuM.Ca. ka. 4.ye kuM
   5.ṇārtheno kuṃ.	5.NA arTena u kuM.
   cha.ka. 6. jñānapadaṃ na. cha. ka. 7. kuṃ. 8.anumitipadaṃ na.  kuṃ. i.	Ca.ka. 6. jQAna padam na. Ca. ka. 7. kuM. 8.anumiti padam na.  kuM. i.
   9bhāyā  kuṃ i.	9BAyA kum i.
   paroktasvatastvaniruktibhaṅgaḥ prāmāṇyavādaḥ pu  18.	para uktasvataH tu anirukti BaFgaH prAmANya vAdaH pu 18.
   svamate jñaptau svatastva niruktiḥ // 1 //	sva mate jQaptO svatas tva niruktiH // 1 //
   yattu maṇāvuktam /"tadaprāmāṇyāgrāhakayāvajjñānagrāhakasāmagrī /	yat tu maNO= uktam /"tad aprAmANyAgrAhaka yAvat jQAna grAhaka sAmagrI /
   grāhyatvaṃ svatastvaṃ tadabhāvaśca 1 paratastvam"iti tanna /	grAhya tvam svatas tvam tad aBAvaH ca 1 paratas tvam "iti tat na /
   svamate 2 jñaptau svatastvaniruktiḥ // 1 //	sva mate 2 jQaptO svatas tu aniruktiH // 1 //
   mīmāṃsakatritayasādhāraṇīṃ paroktasvatastvaniruktimanūdya nirāha   	mImAMsaka tritaya sADAraNIm para uktasvataH tu anirukti m anUdya nirAha   
   yattviti // maṇigranthe"jñānaprāmāṇyāśraye 'yaṃ ghaṭa ityādijñāne	yat tu iti // maNigranTe" jQAna prAmANya ASraye ayam GawaH ityAdi jQAne
   aprāmāṇyāgrāhikā yāvatī jñānagrāhikā sāmagrī gurumate ghaṭamahaṃ	aprAmANya agrAhikA yAvatI jQAna grAhikA sAmagrI guru mate Gawam aham
   jānāmītyevamākārasvaprakā 3 śavyavasāyajanikā cakṣurghaṭasaṃyogādirūpā	jAnAmi iti evam AkAra svaprakA 3 SavyavasAya janikA cakzuH Gawa saMyoga Adi rUpA
   miśramate tadanuvyavasāyajanakamanaḥsaṃyogādirūpā bhaṭṭamate ghaṭo	miSra mate tad anu vyavasAya janaka manaH saMyoga Adi rUpA Bawwa mate Gawo
   jñānaviṣayaḥ jñātatādhāratvādityādyanumitijanakavyāptijñānādirūpā /	jQAna vizayaH jQAta tA ADAra tvAt ityAdi anumiti janaka vyApti jQAna Adi rUpAH /
   tāvatyā grāhyatvaṃ svatastvamityarthaḥ / atra niruktau tatretyuktyā yatra	tAvatyA grAhya tvam svatas tvam iti arTaH / atra niruktO tatra iti uktyA yatra
   śuktirajatādijñāne	Sukti rajata Adi jQAne
   visaṃvādādīliṅgenāprāmāṇyānumityanantaramidamapramātvena	visaMvAda AdI liFgena aprAmANya anum iti anantaram idam apramAtvena
   jānāmītyanuvyavasāyaḥ	jAnAmi iti anuvyavasAyaH
   tatrāprāmāṇyavatyaprāmāṇyaprakārakatvarūpāprāmāṇyaghaṭitānumitiniṣṭhaprāmāṇyasya	tatra aprAmANyavatya prAmANya prakAraka tva rUpA prAmANya Gawita anumiti nizWa prAmANyasya
   prathamajñānaniṣṭhāprāmāṇyagrāhiṇaivānuvyavasāyena grahaṇādbādha iti śaṅkā	praTama jQAna nizWA prAmANya grAhiNA eva anuvyavasAyena grahaNAt bADaH iti SaFkA
   aprāmāṇyāgrāhaketyuktyā idaṃ jñānamaprametyādāvaprāmāṇyagrāhakasāmagryā	aprAmANya AgrAhaka iti uktyA idam jQAnam apramA itya AdA= aprAmANi agrAhaka sAmagryA
   tajjñānaniṣṭhasyaprāmāṇyasyāgrahaṇā 4 dbādha iti śaṅkā yāvadityuktyā	tad jQAna nizWasya prAmANyasya agrahaNAH 4 dbADaH iti SaFkA yAvat iti uktyA
   nyāyamate jñānagrāhakānumitisāmagryā kvacidanuvyavasāyena ca	nyAya mate jQAna grAhaka anumiti sAmagryA kvacid anuvyavasAyena ca
   prāmāṇyagrahātsiddhasādhanamiti śaṅkā nirastā / vidhikoṭau bādhavārakāṇāṃ	prAmANya grahAt sidDa sADanam iti SaFkA nirastA / viDi kowO bADavArakANAm
   tadabhāvakoṭau siddhasādhanatāvārakatvaṃ tadvārakasya ca bādhavārakatvaṃ	tad aBAva kowO sidDa sADana tA vAraka tvam tat vArakasya ca bADavAraka tvam
   jñeyam /	jQeyam /
   1. 'ca'iti nāsti  cha. 2 'jñaptau' iti nāsti  ā. i. 3. śānu  kuṃ.	1. aca aiti na asti  Ca. 2 ajQaptO a iti na asti  A. i. 3. SAnu kuM.
   4 . grahāt   kuṃ . i.	4 . grahAt  kum . i.
   "prāmāṇyavādaḥ pu  19.	"prAmANyavAdaH pu 19.
   gurumate sarvajñānanāṃ pramātvepi tadabhāvavati	guru mate sarvajQa AnanAm pramAtvA ipi tat aBAvavati
   tatprakārakatvarūpāprāmāṇyasyecchāyāṃ prasiddhasyedaṃ jñānamaprametyādau	tad prakAraka tva rUpA prAmANyasya icCAyAm prasidDasya idam jQAnam apramA ityAdO
   smaraṇasaṃbhavenāgṛhītāsaṃsargarūpāprāmāṇyagrahasaṃbhavāttanmatepyaprāmāṇyāgrāhakapadavaiyarthyaṃ	smaraNa saMBavena agRhIta asaMsarga rUpA prAmANya graha saMBavAt tad matepya prAmANya AgrAhaka pada vEyarTyam
   neti // atra yaduktaṃ prāmāṇyagrāhaṇādbādhavāraṇāya tatra	na iti // atra yat uktam prAmANya grAhaNAt bADa vAraNAya tatra
   grāhyaprāmāṇyāśrayajñāne ityarthakaṃ tatpadamiti tanna / imau vahnī iti	grAhya prAmANya ASraya jQAne iti arTakam tat padam iti tat naH / imO vahnI iti
   vahnidvayagoyaraikajñānaviṣayakānuvyavasāyādirūpajñānena	vahni dvaya goyara eka jQAna vizayaka anu vyavasAya Adi rUpa jQAnena
   doṣaśādanyatarāṃśāprāmāmyagrāhiṇā 1 pyanyatarāṃśe prāmāṇyagrahaṇena bādhāt	doza SAdanyatara aMSa aprAmAmya grAhiNA 1 pyanyatara aMSe prAmANya grahaNena bADAt 
   / yattu tadisyasya tatra tadaṃśe grāhyaprāmāṇyāśrayajñānāṃśe	/ yat tu tat isyasya tatra tad aMSe grAhya prAmANya ASraya jQAna aMSe
   aprāmāṇyagrāhaketyarthatvānna doṣa iti tanna / tathāpi tadaṃśe	aprAmANya grAhaka iti arTa tvAt na dozaH iti tat naH / taTA api tad aMSe
   bhāvarūpāprāmāṇyagrāhiṇāpi nedaṃ jñānaṃ 2 pramāṇamiti tadaṃśe	BAva rUpA prAmANya grAhiNA api na idam jQAnam 2 pramANam iti tad aMSe
   prāmāṇyābhāvāvagāhinā prāmāṇyāgrahaṇena bādhāditi mūloktadoṣagrāsāt /	prAmANya aBAva avagAhinA prAmANya agrahaNena bADAt iti mUla ukta doza grAsAt /
   yadapi tatpadaṃ grāhyaparaṃ 3 satprāmāṇyapadenānvīyamānaṃ	yat api tat padam grAhya param 3 sat prAmANya padena anvIyamAnam
   grāhyaprāmāṇyavirodhītyarthasābhārthamato na doṣa iti tadapi na / tathātve	grAhya prAmANya viroDi iti arTa sABa arTam atas na dozaH iti tat api na / taTA tve
   'tatprāmāṇyeti nirdeśāpātena yathoktanirdeśe tatpadasya	atad prAmANya iti nirdeSa ApAtena yaTA ukta nirdeSe tat padasya
   prāmāṇyapadenāsāmarthyāt / gurumate idaṃ jñānamaprametyādāvaprameti	prAmANya padena asAmarTyAt / guru mate idam jQAnam apramA itya AdO= apramA iti
   smṛteraprāmāṇyagrāhakatvepi idaṃ	smRteH aprAmANya grAhaka tvepi idam
   jñānamitigrahaṇātmakasyāprāmāṇyasmṛtipratibandhena prāmāṇyā 4 grahaṇena	jQAnamiti grahaNa Atmakasya aprAmANya smRti pratibanDena prAmANyAH 4 grahaNena
   bādhāpattyoktasvatastvanirukter gurumatasādhāraṇyāyogācca / na	bADA pattyA ukta svataH tu anirukteH guru mata sADAraNya ayogAt ca / na
   coptattiprāmāṇyagranthe maṇikṛtaiva"prābhākarāstvi"tyādinā gurumate	ca uptatti prAmANya granTe maNi kRtA eva" prABAkarAH tu i"tyAdinA guru mate
   saṃśayānupapattyupapādanaprastāve idaṃ jñānaṃ pramā na vettyādāvapi	saMSaya anupapatti upapAdana prastAve idam jQAnam pramA na vetti AdO= api
   prāmāṇyacagrahostītyupetya saṃśayasyānyavīṣayatvopapādanāttādṛśasthalepi	prAmANyacagraha usti iti upetya saMSayasya anya vIzaya tva upapAdanAt tAdRSa sTa lepi
   prāmāṇyagrahasadbhāvānna bādha iti śaṅkyam / tathātve tanmate	prAmANya graha sadBAvAt na bADaH iti SaFkyam / taTA tve tad mate
   tadaprāmāṇyāgrāhakapadavaiyarthyāpatteḥ /	tad aprAmANya AgrAhaka pada vEi arTya ApatteH /
   1.'pya' iti nāsti   kuṃ . 2. jñānapadaṃ na  a. 3 sadapramāṇya   mu . a.	1. api aa iti na asti  kum . 2. jQAna padam na  a. 3 sat apramANya  mu . a.
   4 graheṇa   a.	4 graheNa  a.
   prāmāṇyavādaḥ pu  20 .	prAmANya vAdaH pu 20 .
   tadabhāvavati tatprakārakatvarūpāprāmāṇyāgrāhakasyāpi tadvati	tad aBAvavati tad prakAraka tva rUpA prAmANya AgrAhakasya api tadvati
   tatprakārakatvarūpaprāmāṇyātyantābhāvaviṣayakasya jñānajñānasya	tad prakAraka tva rUpa prAmANya atyanta aBAva vizayakasya jQAna jQAnasya
   prāmāṇyāgrāhakatvena bādhāt / aprāmāṇyapadena prāmāṇyavirodhivivakṣāyāmapi	prAmANya AgrAhaka tvena bADAt / aprAmANya padena prAmANya viroDi vivakzAyAm api
   tādṛśasthale prāmāṇyagrahamupetyāgrāhakapadena grāhakasāmagryasamavadhāna	tAdRSa sTale prAmANya graham upetya AgrAhaka padena grAhaka sAmagrya samavaDAna
   vivakṣāyāṃ ca miśrādimate 'prāmāṇyagrahasthale tatsāmagryabhāvena	vivakzAyAm ca miSra Adimate aprAmANya graha sTale tad sAmagrya BAvena
