   prathamaḥ sargaḥ	praTamaH sargaH
   praveśayanti suhṛdaṃ na dhīrāḥ svārthasaṃkaṭe // Rc_1.96 //	praveSayanti suhRdam na DIrAH sva-arTa-saMkawe // Rt-_1.96 //
   kartavyopakṛtiḥ sadbhir yatra tatra vipadgate /	kartavyA-upakRtiH sadBiH yatra tatra vipad-gate /
   avimṛśya kṛto 'smābhiḥ sa punaḥ kṛpaṇaḥ paṇaḥ // Rc_1.97 //	avimRSya kRtaH asmABiH sa punar kRpaNaH paNaH // Rt-_1.97 //
   kiṃ kṣiptam acalaprāntād antaḥsuptaśivāśatam /	kim kziptam acala-prAntAt antar-supta-SivA-Satam /
   nirdeśapuruṣeṇeva kaṅkālaṃ dundubher mayā // Rc_1.98 //	nirdeSa-puruzeNa-iva kaFkAlam dunduBeH mayA // Rt-_1.98 //
   kasyārthasya kṛte viddhāḥ sapta sālās tapasvinaḥ /	kasya-arTasya kRte vidDAH sapta sAlAH tapasvinaH /
   sa mā pratyetu vaidheyaḥ kiṃ na sādhitam anyataḥ // Rc_1.99 //	sa mA pratyetu vEDeyaH kim na sADitam anyatas // Rt-_1.99 //
   akṣātraṃ kṣatriyayuvā ko nu rāma iva kṣipet /	akzAtram kzatriya-yuvA kaH nu rAmaH iva kzipet /
   viśikhaṃ vālini vyagre sugrīvasya paśoḥ kṛte // Rc_1.100 //	viSiKam vAlini vyagre sugrIvasya paSoH kRte // Rt-_1.100 //
   na parityajyate mārgas tāvan nirvācyakardamaḥ /	na parityajyate mArgaH tAvat nirvAcya-kardamaH /
   yāvat pihitakaṣṭāya kāryāyātmā na dīyate // Rc_1.101 //	yAvat pihita-kazwAya kAryAya-AtmA na dIyate // Rt-_1.101 //
   iṣvaikayā mayā viddho bāliśena valīmukhaḥ /	izva-ekayA mayA vidDaH bAliSena valImuKaH /
   anuddhārāḥ śarās tena ropitā mayi vāṅmayāḥ // Rc_1.102 //	anudDArAH SarAH tena ropitAH mayi vAc-mayAH // Rt-_1.102 //
   anavāptavipatpāraḥ smariṣyāmi kiyanti vā /	anavApta-vipad-pAraH smarizyAmi kiyanti vA /
   vatsa kālocitaṃ śādhi na rāmaḥ kiṃcid īkṣate // Rc_1.103 //	vatsa kAla-ucitam SADi na rAmaH kiMcid Ikzate // Rt-_1.103 //
   avalambasva māṃ bhrātaḥ sītāsmaraṇanissaham /	avalambasva mAm BrAtar sItA-smaraNa-nissaham /
   dūraṃ punaḥ prabhavatā mano mohena lupyate // Rc_1.104 //	dUram punar praBavatA manaH mohena lupyate // Rt-_1.104 //
   sanāthobhayapārśvasya tvayā vatsa tayā ca me /	sa-nATa-uBaya-pArSvasya tvayA vatsa tayA ca me /
   vaneṣu ca sataḥ kaṣṭam ajaniṣṭa na kiṃcana // Rc_1.105 //	vanezu ca sataH kazwam ajanizwa na kiMcana // Rt-_1.105 //
   hā bhīru hā priyatame hā madvirahakātare /	hA BIru hA priyatame hA mad-viraha-kAtare /
   kvāsīty ardhoktinissaṃjño jagāma sa mahītalam // Rc_1.106 //	kva-asi-iti arDa-ukti-nissaMjQaH jagAma sa mahI-talam // Rt-_1.106 //
   mātaḥ kaikeyi tuṣṭāsi bhuṅkṣva rājyam akaṇṭakam /	mAtar kEkeyi tuzwA-asi BuFkzva rAjyam akaNwakam /
   vadann ity apatat tasya lakṣmaṇaś caraṇābjayoḥ // Rc_1.107 //	vadan iti apatat tasya lakzmaNaH caraNa-abjayoH // Rt-_1.107 //
   tatas tau sāśrunayanau mṛgair vidhuravīkṣitau /	tatas tO sa-aSru-nayanO mRgEH viDura-vIkzitO /
   nipetatur diva iva bhraṣṭau vidhuravī kṣitau // Rc_1.108 //	nipetatuH divaH iva BrazwO viDuravI kzitO // Rt-_1.108 //
   iti nipatitayos tayor dvayor daśarathanandanayor mahītale /	iti nipatitayoH tayoH dvayoH daSaraTa-nandanayoH mahI-tale /
   daśabhir api digaṅganāmukhair adhṛtivaśād iva tatyaje ruciḥ // Rc_1.109 //	daSaBiH api diS-aFganA-muKEH aDRti-vaSAt iva tatyaje ruciH // Rt-_1.109 //
   ete nikāmarasikasya jayanti pādāḥ śrīhāravarṣayuvarājamahītalendoḥ /	ete nikAma-rasikasya jayanti pAdAH SrIhAra-varza-yuvarAja-mahI-tala-indoH /
   yair dvādaśārkakiraṇotkaradurnivāraḥ sṛṣṭo 'bhinandakumudasya mahāvikāsaḥ	yEH dvAdaSa-arka-kiraNa-utkara-durnivAraH sRzwaH aBinanda-kumudasya mahA-vikAsaH
   // Rc_1.110 //	// Rt-_1.110 //
   ity abhinandakṛtau rāmacarite mahākāvye prathamaḥ sargaḥ samāptaḥ |/	iti aBinanda-kRtO rAma-carite mahAkAvye praTamaH sargaH samAptaH |/
   dvitīyaḥ sargaḥ	dvitIyaH sargaH
   tām anīkṣitacarīm adhīratām ātmano 'tha viniyamya lakṣmaṇaḥ /	tAm anIkzita-carIm aDIra-tAm AtmanaH aTa viniyamya lakzmaNaH /
   sāntvanārtham iti vācam abravīt tīvramanyurayamūḍham agrajam // Rc_2.1 //	sAntvanA-arTam iti vAcam abravIt tIvra-manyuH-aya-mUXam agrajam // Rt-_2.1 //
   kāryam ārya pariśiṣṭam ucyatāṃ mucyatām idam ayogajaṃ tamaḥ /	kAryam Arya pariSizwam ucyatAm mucyatAm idam ayoga-jam tamaH /
   rājatūdyamadivākarodayasmeram āśu mukhapaṅkajaṃ tava // Rc_2.2 //	rAja-tu-udyama-divAkara-udaya-smeram ASu muKa-paFkajam tava // Rt-_2.2 //
   āsituṃ samaya eṣa nāvayor moham ittham avalambituṃ na ca /	Asitum samayaH eza na-AvayoH moham itTam avalambitum na ca /
   utsahasva nanu hṛṣyatāṃ cirādiṣv adhīnam adhunābhikāṅkṣitam // Rc_2.3 //	utsahasva nanu hRzyatAm cira-Adizu aDInam aDunA-aBikAFkzitam // Rt-_2.3 //
   kevalaṃ phalabhujo na tasya nas taskarasya nilaye 'sti niścayaḥ /	kevalam Pala-BujaH na tasya naH taskarasya nilaye asti niScayaH /
   abhyupaitu ravinandanaḥ kṣaṇād andhakāram idam apy apaiṣyati // Rc_2.4 //	aByupEtu ravinandanaH kzaNAt anDakAram idam api apEzyati // Rt-_2.4 //
   aurasān api sutān arīn iva ghnanti kāraṇavaśān mahībhujaḥ /	OrasAn api sutAn arIn iva Gnanti kAraNa-vaSAt mahIBujaH /
   nigrahād anujavidviṣaḥ kapeḥ kiṃ pṛthagjana ivānutapyase // Rc_2.5 //	nigrahAt anuja-vidvizaH kapeH kim pRTagjanaH iva-anutapyase // Rt-_2.5 //
   krīḍatāṃ mṛgavaneṣu dhanvināṃ jīvakoṭikadane 'pi kā kṣatiḥ /	krIxatAm mRga-vanezu DanvinAm jIva-kowi-kadane api kA kzatiH /
   khidyase kim aniśaṃ prayojanād ekavānaravadhaḥ kutaḥ kṛtaḥ // Rc_2.6 //	Kidyase kim aniSam prayojanAt eka-vAnara-vaDaH kutas kRtaH // Rt-_2.6 //
   tasya ca pravayaso jaṭāyuṣaḥ svargiṇaḥ kim adhunānuśocyate /	tasya ca pravayasaH jawAyuzaH svargiNaH kim aDunA-anuSocyate /
   yena jarjarakalevaravyayāt krītam indukiraṇojjvalaṃ yaśaḥ // Rc_2.7 //	yena jarjara-kalevara-vyayAt krItam indu-kiraNa-ujjvalam yaSaH // Rt-_2.7 //
   etad ekam ativāhyatām ahaḥ śvo na sa plavagarāṭpratīkṣyate /	etat ekam ativAhyatAm ahar Svas na sa plavaga-rAj-pratIkzyate /
   tat prasīda parito vicīyatātmanaiva sanagārṇavāvaniḥ // Rc_2.8 //	tat prasIda paritas vicIyata-AtmanA-eva sa-naga-arNava-avaniH // Rt-_2.8 //
   tat kabandhaśabarīhanūmatām āvayor ajani saṅgataṃ yathā /	tat kabanDa-SabarI-hanUmatAm AvayoH ajani saFgatam yaTA /
   iṣṭaśaṃsi vanaśailapānthayoḥ kiṃ tathānyad api nāpatet punaḥ // Rc_2.9 //	izwa-SaMsi vana-SEla-pAnTayoH kim taTA-anyat api na-apatet punar // Rt-_2.9 //
   yatra yatra tava siddhir agrataḥ kaḥ kariṣyati na te samīhitam /	yatra yatra tava sidDiH agratas kaH karizyati na te samIhitam /
   ujjvale kṛtavidāṃ na kevalaṃ tena vartmani durātmanā sthitam // Rc_2.10 //	ujjvale kRta-vidAm na kevalam tena vartmani durAtmanA sTitam // Rt-_2.10 //
   sambhavaty abhimaraḥ pure 'thavā tasya tīvram ayaśaḥ kim ucyate /	samBavati aBimaraH pure aTavA tasya tIvram ayaSaH kim ucyate /
   duḥkham utkhanati kaṇṭakāvalīr aṅgasandhiṣu navaḥ kileśvaraḥ // Rc_2.11 //	duHKam utKanati kaNwaka-AvalIH aFga-sanDizu navaH kila-ISvaraH // Rt-_2.11 //
   samprati prathamam ārya gṛhyatāṃ tatpravṛttim upalabdhum udyamaḥ /	samprati praTamam Arya gRhyatAm tad-pravRttim upalabDum udyamaH /
   marṣaṇīyaparilambadūṣaṇaḥ so 'dhunāpy akapaṭo ghaṭate cet // Rc_2.12 //	marzaNIya-parilamba-dUzaNaH saH aDunA-api akapawaH Gawate ced // Rt-_2.12 //
   muñca moham avatīryatām itaḥ sevyatām iyam anāvilā nadī /	muQca moham avatIryatAm itas sevyatAm iyam anAvilA nadI /
   eṣa gacchati javāj japāruṇo vāruṇīm aruṇasārathir diśam // Rc_2.13 //	eza gacCati javAt japa-aruNaH vAruNIm aruNa-sAraTiH diSam // Rt-_2.13 //
   unmimīla raghunandanaś cirāt tan niśamya vacanaṃ camatkṛtaḥ /	unmimIla raGunandanaH cirAt tat niSamya vacanam camatkRtaH /
   apy ayogavidhurā na śerate saṃmukhīnavidhayas tathāvidhāḥ // Rc_2.14 //	api ayoga-viDurAH na Serate saMmuKIna-viDayaH taTAviDAH // Rt-_2.14 //
   muktamoham avalokya lakṣmaṇas taṃ mṛgāṅkam iva meghanirgatam /	mukta-moham avalokya lakzmaNaH tam mRgAFkam iva meGa-nirgatam /
   ādade 'tha śaśikāntabhūdharasyandabinduśiśirāṃ sarasvatīm // Rc_2.15 //	Adade aTa SaSikAnta-BUDara-syanda-bindu-SiSirAm sarasvatIm // Rt-_2.15 //
   eṣa paśya patito nabhastalād astaśailagahaneṣu naśyati /	eza paSya patitaH naBastalAt asta-SEla-gahanezu naSyati /
   sandhyayā caramadikpragalbhayā bhagnasāndrakarapañjaraḥ khagaḥ // Rc_2.16	sanDyayA carama-diS-pragalBayA Bagna-sAndra-kara-paQjaraH KagaH // Rt-_2.16
   śakyam arcitum anuccapāṇibhiḥ pāśapāṇinagarīnivāsibhiḥ /	Sakyam arcitum anucca-pANiBiH pASa-pANi-nagarI-nivAsiBiH /
   sānurodha iva dūrabandhuro bandhujīvakusumāruṇo raviḥ // Rc_2.17 //	sa-anuroDaH iva dUrabanDuraH banDujIva-kusuma-aruNaH raviH // Rt-_2.17 //
   eṣa muktakarapāṭavo ravir nāṭayaty anuguṇatvam appatau /	eza mukta-kara-pAwavaH raviH nAwayati anuguNa-tvam appatO /
   āpadi prakṛtir ujjhitā varaṃ nāśrayasya visadṛg viceṣṭitam // Rc_2.18 //	Apadi prakRtiH ujJitAH varam na-ASrayasya visadRS vicezwitam // Rt-_2.18 //
   bimbamūlarucirā raver amī recayanti gaganaṃ gabhastayaḥ /	bimba-mUla-rucirAH raveH amI recayanti gaganam gaBastayaH /
   pūrayanti ca mahīṃ mahīruhām āyatāḥ pratiśarīrayaṣṭayaḥ // Rc_2.19 //	pUrayanti ca mahIm mahIruhAm AyatAH prati-SarIra-yazwayaH // Rt-_2.19 //
   agrataḥ śikharaśākhisaṃhateś chāyayopacitayāpasāritaḥ /	agratas SiKara-SAKi-saMhateH CAyayA-upacitayA-apasAritaH /
   pṛṣṭhato 'tinibhṛtaṃ mahībhṛtām ātapaḥ kaṭakam āśu nojjhati // Rc_2.20 //	pRzWatas ati-niBRtam mahIBRtAm AtapaH kawakam ASu na-ujJati // Rt-_2.20 //
   svīkaroti śanakair anokahacchāyam adriśikharasthalīr api /	svIkaroti SanakEs anokaha=-CAyam adri-SiKara-sTalIH api /
   hīyate nijavapuṣy api kramād ātapasya mamatā tapasvinaḥ // Rc_2.21 //	hIyate nija-vapuzi api kramAt Atapasya mamatA tapasvinaH // Rt-_2.21 //
   appater diśi viceṣṭate ravir vyākulāḥ śakunayaḥ svananty amī /	appateH diSi vicezwate raviH vyAkulAH SakunayaH svananti amI /
   dhvāntadṛṣṭiviṣadarśanād dine durnivāranidhane nimīlati // Rc_2.22 //	DvAnta-dRzwi-viza-darSanAt dine durnivAra-niDane nimIlati // Rt-_2.22 //
   kīryate kṛtaravaiḥ khagavrajair eṣa tallataṭacaityapādapaḥ /	kIryate kRta-ravEH Kaga-vrajEH eza talla-tawa-cEtya-pAdapaH /
   sāyam adhvanikaṭe nirargalaḥ sajjanālaya iva pravāsibhiḥ // Rc_2.23 //	sAyam aDva-nikawe nirargalaH sat-jana-AlayaH iva pravAsiBiH // Rt-_2.23 //
   yānti khinnajanasevyatām amī saumya sormiśucivālukācayāḥ /	yAnti Kinna-jana-sevyatAm amI sOmya sa-Urmi-Suci-vAlukA-cayAH /
   prāntasuptakalahaṃsapaṅktayaḥ svairanīramaruto nadītaṭāḥ // Rc_2.24 //	prAnta-supta-kalahaMsa-paFktayaH svEra-nIra-marutaH nadI-tawAH // Rt-_2.24 //
   dhik taṭāntavasatīn sitacchadān paśyataḥ kamalaṣaṇḍavaiśasam /	Dik tawa-anta-vasatIn sitacCadAn paSyataH kamala-zaNxa-vESasam /
   staumi taṃ divasam ārya kevalaṃ yo 'stam eti samam abjabandhunā // Rc_2.25	stOmi tam divasam Arya kevalam yaH astam eti samam abja-banDunA // Rt-_2.25
   dantamūlanihitaikasallakīpallavo 'lasavilokitānugaḥ /	danta-mUla-nihita-eka-sallakI-pallavaH alasa-vilokita-anugaH /
   eṣa muktagirikandaraḥ śanair vāri vāraṇapatiḥ pratiṣṭhate // Rc_2.26 //	eza mukta-giri-kandaraH SanEs vAri vAraNa-patiH pratizWate // Rt-_2.26 //
   śīlayanti kariṇaḥ svavāsitāvāri sairibhasamūharecitam /	SIlayanti kariNaH sva-vAsitA-vAri sEriBa-samUha-recitam /
   mālatīvanavikāsavāsitā vānti palvalataṭāntavāyavaḥ // Rc_2.27 //	mAlatI-vana-vikAsa-vAsitAH vAnti palvala-tawa-anta-vAyavaH // Rt-_2.27 //
   saṃtyajanti masṛṇaṃ saraḥsarittallamūlasalilāni sairibhāḥ /	saMtyajanti masRNam saraH-sarit-talla-mUla-salilAni sEriBAH /
   sambhajanti sahasā bhayadrutair īkṣitāḥ kurarasārasairibhāḥ // Rc_2.28 //	samBajanti sahasA Baya-drutEH IkzitAH kurarasAra-sEriBAH // Rt-_2.28 //
   saṃmukhīnaghanapatrabandhanāt paśya paṅkajavanād anāratam /	saMmuKIna-Gana-patra-banDanAt paSya paFkaja-vanAt anAratam /
   pītakośamakarandasaṃcayāḥ saṃcaranti madhupāḥ kumudvatīm // Rc_2.29 //	pItakoSa-makaranda-saMcayAH saMcaranti maDupAH kumudvatIm // Rt-_2.29 //
   nopanītamukhamudram ambujaṃ muktamudram atha naiva kairavam /	na-upanIta-muKa-mudram ambujam mukta-mudram aTa na-eva kEravam /
   etadīkṣitaparasparaṃ punaḥ patriyugmam apanidravaiśasam // Rc_2.30 //	etat-Ikzita-parasparam punar patri-yugmam apanidra-vESasam // Rt-_2.30 //
   rodhasaḥ pulinam abjinīṃ tatas tām atītya bhajate kumudvatīm /	roDasaH pulinam abjinIm tatas tAm atItya Bajate kumudvatIm /
   tatra tapta iva gāhate payaḥ sāyam ārdraviraho vihaṅgamaḥ // Rc_2.31 //	tatra tapte iva gAhate payaH sAyam Ardra-virahaH vihaFgamaH // Rt-_2.31 //
   svīkṛtaṃ na nalinair nimīlitaṃ na sphuṭaṃ kumudakuḍmalasmitam /	svIkRtam na nalinEH nimIlitam na sPuwam kumuda-kuxmala-smitam /
   etadīkṣitaparasparaṃ paraṃ mūḍham ambhasi vihaṅgamadvayam // Rc_2.32 //	etat-Ikzita-parasparam param mUXam amBasi vihaFgama-dvayam // Rt-_2.32 //
   jarjaraṃ tyajati vāsaraplavaṃ na prasārayati mantharān karān /	jarjaram tyajati vAsara-plavam na prasArayati manTarAn karAn /
   ety adṛṣṭam avalambya kevalaṃ vyomavārinidhiśeṣam aṃśumān // Rc_2.33 //	eti adRzwam avalambya kevalam vyoma-vAri-niDi-Sezam aMSumAn // Rt-_2.33 //
   śrāvitāgamam iva dvijāravair dhvāntam oṃ iti jagat pratīcchati /	SrAvita-Agamam iva dvija-AravEH DvAntam om iti jagat pratIcCati /
   trātum ūṣmarahitaḥ kṣamo 'dhunā na svamaṇḍalam api prabhākaraḥ // Rc_2.34	trAtum Uzma-rahitaH kzamaH aDunA na sva-maNxalam api praBAkaraH // Rt-_2.34
   dṛśyatām udayati sma yādṛśas tādṛśas taraṇir astam īyate /	dRSyatAm udayati sma yAdRSaH tAdRSaH taraNiH astam Iyate /
   utsavavyasanayoḥ prabhur vidhir vikriyāsu mahatām anīśvaraḥ // Rc_2.35 //	utsava-vyasanayoH praBuH viDiH vikriyAsu mahatAm anISvaraH // Rt-_2.35 //
   sphītam abjakulam īkṣyatām itas tallam ullasitahaṃsasārasam /	sPItam abja-kulam IkzyatAm itas tallam ullasita-haMsa-sArasam /
   niścalācchaparimaṇḍalodakaprāntamantharamṛṇālakaṇṭakam // Rc_2.36 //	niScala-at-Sa-parimaNxala-udaka-prAnta-manTara-mRNAla-kaNwakam // Rt-_2.36 //
   śīlayanty acalamekhalāsv amī śītalāsu ruravo nirudyamāḥ /	SIlayanti acala-meKalAsu amI SItalAsu ruravaH nirudyamAH /
   pūrvaśaṣpakabalānuvartinaḥ stokacañcalamukhāḥ sukhāsikām // Rc_2.37 //	pUrva-Sazpaka-bala-anuvartinaH stoka-caQcala-muKAH suKAsikAm // Rt-_2.37 //
   dīdhitīḥ paricitāḥ parityajaty abjinīr api ca nānurudhyate /	dIDitIH paricitAH parityajati ap-jinIH api ca na-anuruDyate /
   sandhyayā varuṇadigvadhūm anuprāpitaḥ kam api rāgam aṃśumān // Rc_2.38 //	sanDyayA varuNa-diS-vaDUm anuprApitaH kam api rAgam aMSumAn // Rt-_2.38 //
   dyaū ravīndurahitāpi nirmalā bhūr avṛkṣasalilāpi śītalā /	dyauH ravi-indurahitA-api nirmalA BUH avRkza-salilA-api SItalA /
   antarālam avalambya śobhate vāsarakṣaṇadayoḥ kṣaṇaṃ jagat // Rc_2.39 //	antarAlam avalambya SoBate vAsa-rakzaNa-dayoH kzaNam jagat // Rt-_2.39 //
   nirjharo 'yam iyam āpagā saraḥ palvalaṃ ca vimalaṃ vibhāty adaḥ /	nirJaraH ayam iyam ApagA saraH palvalam ca vimalam viBAti adaH /
   yatra cittam iha paryupāsyatāṃ tatra tatrabhavatī pitṛprasūḥ // Rc_2.40 //	yatra cittam iha paryupAsyatAm tatra tatraBavatI pitR-prasUH // Rt-_2.40 //
   ity ubhau vyavahitāntaravyathau tau samāpya samayocitaṃ vidhim /	iti uBO vyavahita-antara-vyaTO tO samApya samaya-ucitam viDim /
   satkṛtiṃ dadhatur ānane mithaḥ prārthanāṃ kim api rāmalakṣmaṇau // Rc_2.41	satkRtim daDatuH Anane miTas prArTanAm kim api rAma-lakzmaNO // Rt-_2.41
   yatra vāti na kumudvatīmarut kaumudī bata na yatra vīkṣyate /	yatra vAti na kumudvatI-marut kOmudI bata na yatra vIkzyate /
   taṃ nirūpitasamantam añjasā bhejatuḥ parisaraṃ raghūdvahau // Rc_2.42 //	tam nirUpita-samantam aQjasA BejatuH parisaram raGu-udvahO // Rt-_2.42 //
   dṛṣṭipāṇitalappātaśodhitām uddhṛtasthagitakaṇṭakāvaṭām /	dRzwi-pANi-talappAta-SoDitAm udDRta-sTagita-kaNwaka-avawAm /
   astṛṇān navatṛṇena medināṃ rāmabhadraśayanāya lakṣmaṇaḥ // Rc_2.43 //	astRNAn nava-tRNena medinAm rAma-Badra-SayanAya lakzmaNaH // Rt-_2.43 //
   nirṇineja sahasā suṣupsataḥ pādapadmayugam agrajanmanaḥ /	nirNinA-ija sahasA suzupsataH pAda-padma-yugam agrajanmanaH /
   svāṃśukoddhṛtajalaṃ karābjayoḥ kauśalāc ca samavāhayat punaḥ // Rc_2.44 //	sva-aMSuka-udDRta-jalam kara-abjayoH kOSalAt ca samavAhayat punar // Rt-_2.44 //
   adhvajarjaritarājalakṣaṇaṃ lakṣmaṇaś caraṇam agrajanmanaḥ /	aDva-jarjarita-rAja-lakzaNam lakzmaNaH caraNam agrajanmanaH /
   āmamarśa ciram aśru vartayan kevalopakaraṇena pāṇinā // Rc_2.45 //	AmamarSa ciram aSru vartayan kevala-upakaraNena pANinA // Rt-_2.45 //
   svairam agrakarajair vivṛtya ca vyākulāṃ samanayaj jaṭāṭavīm /	svEram agra-karajEH vivRtya ca vyAkulAm samanayat jawA-awavIm /
   aṅgadeśam anayad vidhūya ca srastarātisṛtam añcalaṃ tvacaḥ // Rc_2.46 //	aFga-deSam anayat viDUya ca srasta-rAti-sRtam aQcalam tvacaH // Rt-_2.46 //
   pārśvayor upadadhe maheṣudhī ādade śirasi pūjitaṃ dhanuḥ /	pArSvayoH upadaDe mahA-izuDI Adade Sirasi pUjitam DanuH /
   unmamārja dhutasaṃhṛtena ca svāñcalena punaruktam āstaram // Rc_2.47 //	unmamArja Duta-saMhRtena ca sva-aQcalena punaruktam Astaram // Rt-_2.47 //
   ity ajasram anujātasevayā jīyamānavanavāsayātanaḥ /	iti ajasram anujAta-sevayA jIyamAna-vana-vAsa-yAtanaH /
   svaptukāma iva sālasendriyaḥ saṃviveśa raghunandanaḥ kṣaṇam // Rc_2.48 //	svaptu-kAmaH iva sAlasa-indriyaH saMviveSa raGunandanaH kzaNam // Rt-_2.48 //
   mīlitonmiṣitalocanaḥ śanair jāgarūkam avalokya so 'nujam /	mIlita-unmizita-locanaH SanEs jAgarUkam avalokya saH anujam /
   uccavāmakarapaṅkajodaranyastamaulir avadan mitaṃ vacaḥ // Rc_2.49 //	ucca-vAma-kara-paFkaja-udara-nyasta-mOliH avadat mitam vacaH // Rt-_2.49 //
   gaccha vatsa śayanīyam ātmanaḥ kliśyase kṛśataraḥ kiyac ciram /	gacCa vatsa SayanIyam AtmanaH kliSyase kRSataraH kiyat ciram /
   nidrayā viśadatāṃ vraja kṣaṇaṃ na kṣamaḥ pratiniśīthajāgaraḥ // Rc_2.50 //	nidrayA viSadatAm vraja kzaNam na kzamaH pratiniSITa-jAgaraH // Rt-_2.50 //
   prātar asti bahu kṛtyam āvayor bhrātar ātmani kim asy atatparaḥ /	prAtar asti bahu kRtyam AvayoH BrAtar Atmani kim asi atatparaH /
   cintyatām uṣasi tasya saṃgatiḥ śītalasya kapicakravartinaḥ // Rc_2.51 //	cintyatAm uzasi tasya saMgatiH SItalasya kapi-cakravartinaH // Rt-_2.51 //
   āspadādhigamagarvito 'stu vāpy astu vānuditabhūtivikriyaḥ /	Aspada-aDigama-garvitaH astu vA-api astu vA-anudita-BUti-vikriyaH /
   āvayoḥ samayabaddhayoḥ puno niścayārtham adhigamya eva saḥ // Rc_2.52 //	AvayoH samaya-badDayoH punaH niScaya-arTam aDigamya eva saH // Rt-_2.52 //
   tad vibhātu rajanī sukhena te yāsyataḥ plavagarājamandiram /	tat viBAtu rajanI suKena te yAsyataH plavaga-rAja-mandiram /
   pakṣayor yad anurūpamuktayos tat tadaiva ca samarthayiṣyate // Rc_2.53 //	pakzayoH yat anurUpamuktayoH tat tadA-eva ca samarTayizyate // Rt-_2.53 //
   ūcivān iti babhūva nirvacāḥ kuḍmalīkṛtavilocanotpalaḥ /	UcivAn iti baBUva nirvacAH kuxmalIkRta-vilocana-utpalaH /
   adhyaśeta caraṇāmbujāntikaṃ tasya joṣam anagho jaghanyajaḥ // Rc_2.54 //	aDyaSeta caraNa-ambuja-antikam tasya jozam anaGaH jaGanya-jaH // Rt-_2.54 //
   tatra tatra ca śayānayoś cirād vīrayor vigatasādhvasā iva /	tatra tatra ca SayAnayoH cirAt vIrayoH vigata-sADvasAH iva /
   uddhatair dadur ulūkahuṃkṛtair andhakārajayaghoṣaṇāṃ drumāḥ // Rc_2.55 //	udDatEH daduH ulUka-huMkRtEH anDakAra-jaya-GozaNAm drumAH // Rt-_2.55 //
   vyātatoḍudaśanāpi mucyase na tvam arkacirasaṃstutādhunā /	vyAta-ta-uxudaSanA-api mucyase na tvam arka-cira-saMstuta-aDunA /
   ity ariṣṭaripukūjitais tamo dyāṃ bruvāṇam iva dūram udyayau // Rc_2.56 //	iti arizwaripu-kUjitEH tamaH dyAm bruvANam iva dUram udyayO // Rt-_2.56 //
   kevalaṃ śakunayo na nīḍagāḥ śākhino 'pi śayitāḥ samantataḥ /	kevalam SakunayaH na nIxa-gAH SAKinaH api SayitAH samantataH /
   jajñire timirataskarāvalīlupyamānavibhavāś ca bhūbhṛtaḥ // Rc_2.57 //	jajQire timira-taskara-avalI-lupyamAna-viBavAH ca BUBRtaH // Rt-_2.57 //
   na sthalī na pulinaṃ na sindhavo nācalā na taravaś cakāśire /	na sTalI na pulinam na sinDavaH na-acalAH na taravaH cakASire /
   dūṣitadvitayavādam udbabhāv ekam eva timiraṃ vibhūtimat // Rc_2.58 //	dUzita-dvitayavAdam udbaBO ekam eva timiram viBUtimat // Rt-_2.58 //
   tatra mugdhapṛṣatas tamoghane pārśvagām api mṛgīm ahārayat /	tatra mugDa-pRzataH tamaH-Gane pArSva-gAm api mRgIm ahArayat /
   prāpa kokayuvatir yadṛcchayā patyur ādhitaralasya saṃgamam // Rc_2.59 //	prApa koka-yuvatiH yadRcCayA patyuH ADi-taralasya saMgamam // Rt-_2.59 //
   vṛddham aṅkam anayac chiśubhramāc cumbati sma dayiteti yūthapam /	vRdDam aFkam anayat SiSu-BramAt cumbati sma dayitA-iti yUTapam /
   svīyam apy uditasaṃśayaḥ śanair aṅgam aṅgam amṛśad valīmukhaḥ // Rc_2.60	svIyam api udita-saMSayaH SanEs aFgam aFgam amRSat valImuKaH // Rt-_2.60
   sarvataḥ parigateva parvatair āciteva tarubhir nirantaram /	sarvatas parigatA-iva parvatEH AcitA-iva taruBiH nirantaram /
   āpluteva salilair itas tataḥ śakyate sma cirasaṃstutāpi bhūḥ // Rc_2.61 //	AplutA-iva salilEH itas tatas Sakyate sma cira-saMstutA-api BUH // Rt-_2.61 //
   dikṣu dakṣam avanāv anākulaṃ khe 'tikhelam aṭavīṣu bhīṣaṇam /	dikzu dakzam avanO anAkulam Ke ati-Kelam awavIzu BIzaNam /
   mattam adriṣu darīṣu durjayaṃ prādurāsa viṣame samaṃ tamaḥ // Rc_2.62 //	mattam adrizu darIzu durjayam prAdurAsa vizame samam tamaH // Rt-_2.62 //
   bhejur aikyam iva tulyavaiśasāḥ sāyam eva malinair mukhair diśaḥ /	BejuH Ekyam iva tulya-vESasAH sAyam eva malinEH muKEH diSaH /
   gṛhyamāṇaśikharā tamaścayair dyauḥ papāta vasudhāsakhītale // Rc_2.63 //	gRhyamANa-SiKarA tamaH-cayEH dyOH papAta vasuDA-saKI-tale // Rt-_2.63 //
   pratyabhān na purato na pṛṣṭhataḥ pārśvayoś ca viśadaṃ na kiṃcana /	pratyaBAt na puratas na pRzWatas pArSvayoH ca viSadam na kiMcana /
   vyānaśe bhuvanam añjanācalaprasthapaṅktinibiḍaṃ niśātamaḥ // Rc_2.64 //	vyAnaSe Buvanam aQjana-acala-prasTa-paFkti-nibixam niSAtamaH // Rt-_2.64 //
