   || Vṛttamālāstutiḥ ||	|| VRtta-mAla-AstutiH ||
   asaṃbādhā // JVms_79 //	asaMbADAH // JVmH-_79 //
   bhavataḥ kalāṃ kim api saṃyatair indriyaiḥ $ kva cid ādarastimitadhīr yadi	BavataH kalAm kim api saMyatEH indriyEH $ kva cit Adara-stimita-DIH yadi
   dhyāyati &	DyAyati &
   acirāt svayaṃ varayatīyam enaṃ janaṃ % vasudhā dhruvaṃ	acirAt svayam varayatI-iyam enam janam % vasuDA Druvam
   jaladhiśakvarībhūṣaṇā // JVms_80 //	jalaDi-Sa-kvarI-BUzaNAH // JVmH-_80 //
   svedapūravilasatpulakocchvasitais truṭat- $ kañcukaṃ dadhati nirdhutam apy	sveda-pUra-vilasat-pulaka-ucCvasitEH truwat $ kaQcukam daDati nirDutam api-
   amarastriyaḥ &	amara-striyaH &
   kāntikamram iva te samitāv atiśakvarī- % bandhasāram urukampam	kAnti-kamram iva te samitO ati-SakvarI % banDa-sAram uru-kampam
   anaṅgavijṛmbhitam // JVms_81 //	anaFga-vijRmBitam // JVmH-_81 //
   anupamaramaṇīyā bhaṅgir aṅgeṣu yasyā $ harati ratim udārāśeṣarūpāntareṣu &	anupama-ramaNIyA BaFgiH aFgezu yasyAH $ harati ratim udAra-aSeza-rUpa-antarezu &
   jayati tanur akhaṇḍākhaṇḍaleṣvāsalakṣmī- %	jayati tanuH aKaNxa-AKaNxalezvAsa-lakzmI %
   vijayaparamadhāmavyāmarugmālinīyam // JVms_82 //	vijaya-parama-DAma-vyAma-ruj-mAlinIyam // JVmH-_82 //
   avikalatālaśālikalakākalīkala- $ vyatikaravallakīvalitacārupañcamā &	avikala-tAla-SAli-kalakA-kalI-kala $ vyatikara-vallakI-valita-cAru-paQcamA &
   bhaṇati mudā pratīṣṭajinabhāra bhāratī % svamahimakāminī tava sabhāsu	BaNati mudA pratIzwa-jina-BAra BAratI % sva-mahima-kAminI tava saBAsu
   madrakam // JVms_83 //	madrakam // JVmH-_83 //
   jayati nātha jagajjayakuñjaraniścalī- $	jayati nATa jagat-jaya-kuQjara-niScalI $
   karaṇaśṛṅkhalajālanibhāṅgadabhūṣitaḥ &	karaNa-SRFKala-jAla-niBa-aFgada-BUzitaH &
   bhujatarus tava durgatimārgamahārgalaḥ % pramadamanmathanirmathanaḥ	BujataruH tava durgati-mArga-mahA-argalaH % pramada-manmaTa-nirmaTanaH
   sugatapriyaḥ // JVms_84 //	sugata-priyaH // JVmH-_84 //
   bhavaśirasi mahitaguṇamahimabhuvaṃ $ vyapagatasakalamalaśucim adhipate &	Bava-Sirasi mahita-guNa-mahima-Buvam $ vyapagata-sakalam-ala-Sucim aDipate &
   tava varavijayasamupacitayaśasaḥ % śriyam anuharati hi śaradi śaśikalā //	tava vara-vijaya-samupacita-yaSasaH % Sriyam anuharati hi Saradi SaSi-kalA //
   JVms_85 //	JVmH-_85 //
   paṭuparimalamilitamadhukarayuva- $ bhramasahaśitisugatasamucitasukhā &	pawu-parimala-milita-maDukara-yuva $ Brama-sahaSiti-sugata-samucita-suKAH &
   vilasati tava śirasi rasalayavatī % srag iyam amarapatiyuvativiracitā //	vilasati tava Sirasi rasalayavatI % sraj iyam amara-pati-yuvati-viracitAH //
   JVms_86 //	JVmH-_86 //
   na yatipadam ayasi yad atidayadhiyaḥ $ prathayasi jagati ca	na yati-padam ayasi yat ati-daya-DiyaH $ praTayasi jagati ca
   parahitakṛtinaḥ &	para-hita-kRtinaH &
   janayati himacayarucir iti bhavato % viyad upahatanijamaṇi guṇanikaraḥ //	janayati hima-caya-ruciH iti BavataH % viyat upahata-nija-maNi guNa-nikaraH //
   JVms_87 //	JVmH-_87 //
   atiratikarakatha katham iva samiyād $ aviratanavanavanava tava paramaiḥ &	atirati-kara-kaTa kaTam iva samiyAt $ aviratana-vana-vanava tava paramEH &
   guṇagaṇaparimitim udadhiṣu yatibhiḥ % suyatibhir agaṇitaguṇa maṇinikaraḥ	guNa-gaNa-parimitim udaDizu yatiBiH % suyatiBiH agaNita-guNa maNi-nikaraH
   // JVms_88 //	// JVmH-_88 //
   jayati tava tanur iyam urutarakaruṇa $ nikhilajagaducitaparibhugavanir iva	jayati tava tanuH iyam urutarakaruNa $ niKila-jagat-ucita-pariBuga-vaniH iva
   śiśumatikalitasakalajanabahuvidha- % vimatilaḍitavidhibhir acaladhrtir iha	SiSum-ati-kalita-sakala-jana-bahuviDa % vimati-laxita-viDiBiH acala-DrtiH iha
   // JVms_89 //	// JVmH-_89 //
   prati jaḍadhiyam iha samadhikagurudaya $ mṛdumatir api tava	prati jaxa-Diyam iha samaDika-guru-dayaH $ mRdu-matiH api tava
   śubhamayasamudaya &	SuBa-maya-samudayaH &
   karatalavinihitakuvalaya kalayati % jinakulakuvalayam aviṣamabharam iti //	kara-tala-vinihita-kuvalaya kalayati % jina-kula-kuvalayam avizama-Baram iti //
   JVms_90 //	JVmH-_90 //
   vyomavikīrṇakirtimadaparimalakalanā- $	vyoma-vikIrNa-kirti-mada-parimala-kalanA $
   bhaṅguratuṅgavādimadakalakarinikaraṃ &	BaFgura-tuFga-vAdi-mada-kalakari-nikaram &
   viśvavanodare 'tra ravayatijitajaladaṃ % nātha dadhāsy udāram	viSva-vana-udare atra ravayati-jita-jaladam % nATa daDAsi udAram
   ṛṣabhagajavilasitam // JVms_91 //	RzaBa-gaja-vilasitam // JVmH-_91 //
   kas tvayi baddhavarmaṇi jagaddhitadhānadhiyā $ nirvihatapratijña	kaH tvayi badDavarmaNi jagat-hita-DAna-DiyA $ nirvihata-pratijQa
   paritāpakaṇaḥ kva cana &	paritApa-kaNaH kva cana &
   māravadhūjanasya kamanīyakapolatale % yan navapattrabhaṅgaracanālasa eva	mAra-vaDU-janasya kamanIya-kapola-tale % yat nava-pattra-BaFga-racana-alase eva
   karaḥ // JVms_92 //	karaH // JVmH-_92 //
   nirupamaramyarūpa jinajātadṛśvano 'ṣṭau $ madayati te 'dhikaṃ vidhutaśoka	nirupama-ramya-rUpa jina-jAta-dRSvanaH azwO $ madayati te aDikam viDuta-Soka
   lokapālān &	lokapAlAn &
   sadupadhipuṇḍarīkanakharājirājiteyaṃ % viracitapañcacīrarucirā kumāralīlā	sat-upaDi-puNxarIka-naKa-rAji-rAjitA-iyam % viracita-paQca-cIra-rucirA kumAralIlA
   // JVms_93 //	// JVmH-_93 //
   guṇānām atyaṣṭiḥ katham iha mamevāstu jagatām $ iti cchandaḥ svairaṃ	guNAnAm atyazwiH kaTam iha mama-iva-astu jagatAm $ iti cCandaH svEram
   pariṇatim avāpat tava tathā &	pariNatim avApat tava taTA &
   yathā tvayy evāsmin paramarasabhedapraṇayanī % samudbhūtā bhūtir	yaTA tvayi eva-asmin parama-rasa-Beda-praNayanI % samudBUtA BUtiH-
   nikhilasukhaśākhāśikhariṇī // JVms_94 //	niKila-suKa-SAKA-SiKariNI // JVmH-_94 //
   jayaty amaramandiropalaviśālarakṣaḥsthalaḥ $	jayati amara-mandira-upala-viSAla-rakzaH-sTalaH $
   sthalīkamalakānanapratimapādakandaprabhaḥ &	sTalI-kamala-kAnana-pratima-pAda-kanda-praBaH &
   prabhākaraśatādhikaprakaṭatejasālaṅkṛtaḥ % kṛtāntamadamardanas	praBAkara-Sata-aDika-prakawa-tejasA-alaFkRtaH % kRtAnta-mada-mardana-s
   tribhavanāthapṛthvīdharaḥ // JVms_95 //	tri-Bava-nATa-pRTvI-DaraH // JVmH-_95 //
   vimohabahalāndhakārapaṭalāvanaddhair mudhā $	vimoha-bahala-anDakAra-pawala-avanadDEH muDA $
   rasātalaguhātiśāyibhavasaṃkaṭeṣu sthitam &	rasAtala-guhA-ati-SAyi-Bava-saMkawezu sTitam &
   tvadaṅghrikamalāśrayotsavasukhaṃ na ced ādṛtaṃ % cirasya jinavaṃśabhāskara	tvad-aFGri-kamala-ASraya-utsava-suKam na ced AdRtam % cirasya jina-vaMSa-BAskara
   kumāra mārair jitam // JVms_96 //	kumAra mArEH jitam // JVmH-_96 //
   kalpaśatopapāditamahāphalam iva vihitaṃ $ cañcalam etad āyur adhipa	kalpa-Sata-upapAdita-mahA-Palam iva vihitam $ caQcalam etat AyuH aDipa
   tvadavanatiparaiḥ &	tvad-avanati-parEH &
   bhūṣaṇabhavyabhāvagamitaṃ śritagurukaruṇā- % digyativaṃśa pattrapatitaṃ	BUzaNa-Bavya-BAva-gamitam Srita-guru-karuNA % digyati-vaMSa pattra-patitam
   kam iva jalaruhaḥ // JVms_97 //	kam iva jalaruhaH // JVmH-_97 //
   tava guṇavistarapraṇayapūtavacovibhavaṃ $ varada sa eka eva sumukho mukham	tava guNa-vistara-praNaya-pUta-vacaH-viBavam $ vara-da saH ekaH eva sumuKaH muKam
   āvahati &	Avahati &
   madhumayasāmadhāma yajuṣā sajuṣānugataṃ %	maDu-maya-sAma-DAma yajuzA sa-juzA-anugatam %
   śravaṇasudhābhimānabhavanarkkuṭakaṃ ca vidhiḥ // JVms_98 //	SravaNa-suDA-aBimAna-Bavana-rkkuwakam ca viDiH // JVmH-_98 //
   tribhuvanasaṃmadapradajinavyavasāyamadhau $ sphuṭasahakāratāmahitam īhitam	triBuvana-saMmada-pradajina-vyavasAyam-aDO $ sPuwa-sahakAra-tAm-ahitam Ihitam
   eti tava &	eti tava &
   pravacanamañjarīsrutaśamāmṛtapānamudā- % bhṛta yatiṣaṭpadaṃ	pravacana-maQjarI-sruta-Sama-amRta-pAna-mudA % BRta yati-zawpadam
   kalakaṇatkṛtikokilakam // JVms_99 //	kala-kaNatkRti-kokilakam // JVmH-_99 //
   kva cid api bhavadbhītyā bhūripravādimadadvipod- $ dalana	kva cit api Bavat-BItyA BUri-pravAdi-mada-dvipa-ud $ dalana
   sugatasvāntakṣmābhṛdgabhīraguhāgṛha &	sugata-sva-anta-kzmA-BRt-ga-BIra-guhA-gRha &
   tribhavanavanādhīśa krīḍārasārṇavasaṃyatā % dravati hariṇīvāraṃ	tri-Bavana-vanADISa krIxA-rasa-arNava-saMyatA % dravati hariNI-vAram
   mārapracaṇḍamahācamūḥ // JVms_100 //	mAra-pracaNxa-mahA-camUH // JVmH-_100 //
   durdāntānāṃ damanavidhaye kvāpi kāruṇyavegāt $ dhatse mūrtiṃ caraṇaśikhayā	durdAntAnAm damana-viDaye kvApi kAruNya-vegAt $ Datse mUrtim caraNa-SiKayA
   khyātavikrānta yasyāḥ &	KyAta-vikrAnta yasyAH &
   trailokīyaṃ śrutarasabhidākrandanādaikavṛttir % mandākrantā vrajati	trElokI-iyam Sruta-rasa-Bid-AkrandanAt-a-eka-vRttiH % manda-AkrantA vrajati
   vilayaṃ nātha na svāsthyam āśu // JVms_101 //	vilayam nATa na svAsTyam ASu // JVmH-_101 //
   śobhāsaṃpattiḥ śirasi guruṇaikena saivopajātā $ yā syāt kalpadroḥ	SoBA-saMpattiH Sirasi guruNA-ekena sA-eva-upajAtA $ yA syAt kalpadroH
   śubhaphalanibhaṃ bibhrato bhadrakumbham &	SuBa-Pala-niBam biBrataH Badra-kumBam &
   [vyā]khyānapreṅkhatkarakararuhodbhāsinī bhāti bhartur % dorvallī ceyaṃ	[vyA]KyAna-preFKat-kara-kararuhA-udBAsinI BAti BartuH % dorvallI ca-iyam
   kusumitalatā vellitevānilena // JVms_102 //	kusumita-latA vellitA-iva-anilena // JVmH-_102 //
   vṛttam etad aśeṣabuddhakulākalankakalānidher $ āhitaṃ hṛdi cen	vRttam etat aSeza-budDa-kulAkalanka-kalA-niDeH $ Ahitam hRdi ced-
   mahājaḍahārahāritavān asi &	mahA-jaxa-hAra-hAritavAn asi &
   jihvayā praṇayīti ced ghanasārasāramadena kiṃ % karṇapūram akāri cet	jihvayA praNayi-iti ced GanasAra-sAra-madena kim % karNapUram akAri ced-
   [khalu] khaṇḍitaṃ maṇikuṇḍalam // JVms_103 //	[Kalu] KaNxitam maNi-kuNxalam // JVmH-_103 //
   upacitapuṇyasaṃcaya śacīkaratalasukhadaiḥ $ paricaraṇair atṛptigam iva	upacita-puNya-saMcaya SacIkara-tala-suKa-dEH $ paricaraNEH atRpti-gam iva
   svam asamamahima[n] &	svam asamam-ahima[n] &
   maṇimayapādapīṭhaphalakaṃ sphuṭayati bhavataḥ % kalitatamālapattram alikān	maNi-maya-pAda-pIWa-Palakam sPuwayati BavataH % kalita-tamAla-pattram alikAn
   namati śatadhṛtau // JVms_104 //	namati SataDRtO // JVmH-_104 //
   parārthe sthāsnūnām atidhṛtimatām īśa viśvānukampā- $	para-arTe sTAsnUnAm atiDRtimatAm ISa viSva-anukampA $
   mukhonmīlannānārasarasapad ākarṇayāvedayāmi &	muKa-unmIlan=-AnA-rasa-rasa-pad AkarNayA-vedayAmi &
   daśāṃ tām ādhehi kṣaṇam api guro pāvanīṃ pāvanānāṃ % samantadhvāntāni	daSAm tAm ADehi kzaNam api guro pAvanIm pAvanAnAm % samantaDvAntAni
   praharasi yayā me 'ghavisphūrjitām // JVms_105 //	praharasi yayA me aGa-visPUrjitAm // JVmH-_105 //
   pāyād vo varabuddhavaṃśajaladher vṛddhau sudhādīdhitir $ mañjuśrīḥ	pAyAt vaH vara-budDa-vaMSa-jalaDeH vRdDO suDA-AdIDitiH $ maQjuSrIH
   paribhūtamanmathakathaḥ prajñāṅganāsaṃgame &	pariBUta-manmaTa-kaTaH prajQA-aFganA-saMgame &
   bhīmabhrāntivibhāvarīparibhave bibhrad yatiṃ bhāsvato %	BIma-BrAnti-viBAvarI-pariBave biBrat yatim BAsvataH %
   viśvakleśakuraṅgasaṅgaravidhau śārdūlavikrīḍitam // JVms_106 //	viSva-kleSa-kuraFga-saFgara-viDO SArdUla-vikrIxitam // JVmH-_106 //
   antastrāsāṅkurābhotpalitatanuruhais trailokyavijayā- $ vasthāṃ te vīkṣya	antar-trAsa-aFkura-ABa-utpalita-tanuruhEH trElokya-vijayA $ vasTAm te vIkzya
   bhagnaṃ suramunivisarair ugragrahanudaḥ &	Bagnam sura-muni-visarEH ugra-graha-nudaH &
   kāruṇyād udyatasyāpy amalataraśarajjyotsnāparikarād % indor bimbād	kAruNyAt udyatasya-api amalatara-Sarad-jyotsnA-parikarAt % indoH bimbAt-
   anarghasmitavasuvadanāśeṣapriyakṛtau // JVms_107 //	anarGa-smita-vasu-vadana-aSeza-priya-kRtO // JVmH-_107 //
   bhayabhagnair atidūrato virahiṇāṃ pattraiḥ śrayāyāyatām $ amarāṇāṃ	Baya-BagnEH ati-dUrataH virahiNAm pattrEH SrayAyAyatAm $ amarANAm
   gurubhaktinirbharamanovyaktau sahāyopamam &	guru-Bakti-nirBara-manaH-vyaktO sahAya-upamam &
   gaganāmeyarayaṃ yugāntajaladadhvānādhikakṣveditaṃ % paritaḥ khaṇḍitamāram	gaganAmeya-rayam yugAnta-jalada-DvAna-aDika-kzveditam % paritas KaNxitam-Aram
   astu jagatas tvatsiṃhavikrīḍitam // JVms_108 //	astu jagataH tvad-siMha-vikrIxitam // JVmH-_108 //
   vyāptaviśvayā śarannabhastalātiśuddhayā dhiyādhiyāta- $	vyApta-viSvayA Sarad-naBaH-tala-ati-SudDayA DiyA-aDiyAta $
   duḥsahārtiviklavāprameyasattvadhātvadhīnasatkṛpāḍhya &	duHsaha-Arti-viklava-aprameya-sattva-DAtu-aDIna-satkRpa-AXya &
   saṃsṛtau ca nirvṛtau ca śaśvadapratiṣṭhavādināṃ variṣṭha % vṛttam īdṛśaṃ	saMsRtO ca nirvRtO ca SaSvat-apratizWavAdinAm varizWa % vRttam IdRSam
   tu nāmato 'pi nāparasya siddhim abhyupeti // JVms_109 //	tu nAmataH api na-aparasya sidDim aByupeti // JVmH-_109 //
   tīvratāpavidrutāyasacchaṭāsadṛkkaṭākṣasaṃyamakṣaṇā- $ dhīnaviśvasaṃcayaiś	tIvra-tApa-vidruta-ayasa=-CawA-sadRk-kawAkza-saMyama-kzaNA $ DIna-viSva-saMcaya-EH-
   caturdigīśvaraiḥ prakṛtyudañcitātmabhiḥ &	catur-digISvarEH prakRti-udaQcita-AtmaBiH &
   sphāravibhramaprapañcapañcapañcabāṇajiṣṇubhir daśātmanā % sundarījanena	sPAra-viBrama-prapaQca-paQca-paQca-bANa-jizNuBiH daSa-AtmanA % sundarI-janena
   cātanoṣi kām api prakāmavismayāṃ śriyam // JVms_110 //	ca-atanozi kAm api prakAma-vismayAm Sriyam // JVmH-_110 //
   utkīrṇonnidrakundaprakaram iva dṛśāṃ cārubhaṅgais tribhāgaiḥ $	utkIrNa-unnidra-kunda-prakaram iva dRSAm cAru-BaFgEH tri-BAgEH $
   svedasrastāṅgarāgasnapitam iva muhuḥ kāntakānticchaṭābhiḥ &	sveda-srasta-aFga-rAga-snapitam iva muhur kAnta-kAnti=-CawABiH &
   vyāptaṃ vyoma tvadarcārucibhir abhihatāvidya vidyādharībhiḥ %	vyAptam vyoma tvad-arcA-ruciBiH aBihata-Avidya vidyADarIBiH %
   saurabhyākṛṣṭahṛṣṭakvaṇadalipaṭalollāsitasragdharābhiḥ // JVms_111 //	sOraBya-AkRzwa-hRzwa-kvaNa-dali-pawala-ullAsita-sraj-DarABiH // JVmH-_111 //
   ākṛtijanmavṛttavibhavakramātiśayasaṃpadaḥ sukham iyād $ īśa digantagītam	AkRti-janma-vRtta-viBava-krama-atiSaya-saMpadaH suKam iyAt $ ISa diS-anta-gItam
   amalaṃ yaśaś ca śaradindusundarataram &	amalam yaSaH ca Sarad-indu-sundarataram &
   gāyati yas tavāhvayamayaṃ sadaiva bhagavan bhavādhvagajano % nūnam	gAyati yaH tava-Ahvaya-m-ayam sadA-eva Bagavan Bava-aDva-gajanaH % nUnam
   agamyagaurava girāṃ guro guṇasamudra madrakam idam // JVms_112 //	agamya-gOrava girAm guro guNa-samudra madrakam idam // JVmH-_112 //
   madhvāsārasnātodbhrāntaprabalamadamukkharamadhukaranikaraṃ $ prīter ekaṃ	maDu-AsAra-snAta-udBrAnta-prabala-mada-mukKara-maDukara-nikaram $ prIteH ekam
   līlāvāsaṃ viditabalam api munihṛdayavikṛtaḥ &	lIlA-vAsam vidita-balam api muni-hRdaya-vikRtaH &
   vāgīśāna tvayy ekāntaṃ vasuviṣayaviratisamupacitabaliḥ %	vAgISAna tvayi ekAntam vasu-vizaya-virati-samupacita-baliH %
   saṃbhogaśrīmattākrīḍaṃ varada divi niyatam anubhavati // JVms_113 //	saMBoga-SrI-matta-AkrIxam vara-da divi niyatam anuBavati // JVmH-_113 //
   madagurugaṇḍagarjitajitonnatāmbudagajendravṛndamalinaṃ $	mada-guru-gaNxa-garjita-jita-unnata-ambuda-gaja-indra-vRnda-malinam $
   niśitasamastaśastrakiraṇaprabhāmbarapinaddhapattinivaham &	niSita-samasta-Sastra-kiraNa-praBA-ambara-pinadDa-patti-nivaham &
   pravararathādhirūḍhasubhaṭaṃ balaṃ balanidhe tvadekaśaraṇaṃ % śrayati	pravara-raTa-aDirUXa-su-Bawam balam balaniDe tvad-eka-SaraNam % Srayati
   naraṃ manoharayatipraveśavaśagottamāśvalalitam // JVms_114 //	naram manoharayati-praveSa-vaSaga-uttama-aSvalalitam // JVmH-_114 //
   prītinivāsaṃ kṛtibhuvi viditodāravarapradavarivasanaṃ tvāṃ $ yaḥ smaratīśa	prIti-nivAsam kRti-Buvi vidita-udAra-vara-pradavari-vasanam tvAm $ yaH smarati-ISa
   pratihatavimatiḥ saṃtatam antimapadam uditeṣu &	pratihata-vimatiH saMtatam antimapadam uditezu &
   yauvanalīlāsacivasamudayatpañcamakasvarayatiramaṇīyā % syād iha tanvī	yOvana-lIlA-saciva-samudayat-paQcamaka-svarayati-ramaNIyA % syAt iha tanvI
   himakaravadanā tadvaśagā saha narapatilakṣmyā // JVms_115 //	himakara-vadanA tad-vaSagA saha narapati-lakzmyA // JVmH-_115 //
   viśvahitaikāsaṅgasahāntaḥkaraṇakaraṇa vasupadam iva paramāṃ $ yo 'dhipa	viSva-hita-eka-AsaFga-saha-antaHkaraNa-karaNa vasu-padam iva paramAm $ yaH aDipa
   gṛhṇātīha tavākhyāṃ tam abhi kṛtivasatir api bhuvi sarasī &	gRhNAti-iha tava-AKyAm tam aBi kRti-vasatiH api Buvi sarasI &
   sidhyati majjaddiggajagaṇḍacyutamadaparimalasurabhitasarit %	siDyati majjat-diggaja-gaNxa-cyuta-mada-parimala-suraBita-sarit %
   sārasahaṃsakrauñcapadāṅkotkanakakamalavanaraṇadalipaṭalā // JVms_116 //	sArasa-haMsa-krOQca-pada-aFka-utkanaka-kamala-va-naraNa-dali-pawalA // JVmH-_116 //
   dhvāntadhvaṃsin mārārāte hatavṛjina jinatanayabhūvibhūṣaṇam utkṛtau $	DvAnta-DvaMsin mAra-arAte hata-vRjina jina-tanaya-BU-viBUzaNam utkRtO $
   prauḍhonmīlallāvaṇyaśrīḥ sthitijanaka giri bhavabhidām udāraparākrama &	prOXa-unmIlat-lAvaNya-SrIH sTiti-janaka giri Bava-BidAm udAra-parAkramaH &
   tvayy ārabdho vandhyārādho vidhurayati varada sudhiyāṃ virājatayā sphuran	tvayi ArabDaH vanDyA-ArADaH viDurayati vara-da suDiyAm virAjatayA sPuran
   % bhogāsakto 'pīha svairaṃ viṣamatamaviṣayatanubhṛdbhujaṅgavijṛmbhi tam //	% Boga-AsaktaH api-iha svEram vizamatama-vizaya-tanuBRt-BujaFga-vijRmBi tam //
   JVms_117 //	JVmH-_117 //
   tanvat susphuṭam aviratam amitam amṛtarasakaṇam iva parito 'ṅgeṣu $	tanvat su-sPuwam aviratam amitam amRta-rasa-kaNam iva paritas aFgezu $
   pratyālocanasamudayi navarasarasapadam asadṛśam atulaśrīkam &	pratyAlocana-samudayi nava-rasa-rasa-padam asadRSam atula-SrIkam &
   yat kṛcchrair api na sulabham aparavividhasukṛtavidhibhir abhiyuktātmā %	yat kRcCrEH api na sulaBam apara-viviDa-sukRta-viDiBiH aBiyukta-AtmA %
   tvatsevātaruphalam iha samanubhavati tad akhilavipadapavāhākhyam //	tvad-sevA-taru-Palam iha samanuBavati tat aKila-vipada-pavAha-AKyam //
   JVms_118 //	JVmH-_118 //
   capalacaraṇapīḍitāgādhipopetapātālatālūcchaladvyālapalastutaṃ $ jayati	capala-caraNa-pIxita-agADipa-upeta-pAtAla-tAlu-ucCalat-vyAla-pala-stutam $ jayati
   jayati cārukāruṇyakelisphuratpadmanarteśvarākāralīlāyitam &	jayati cAru-kAruNya-keli-sPurat-padma-narteSvara-AkAra-lIlAyitam &
   anibhṛtabhujadaṇḍaṣaṇḍapracaṇḍānilollāsitaḥ śrāntiśāntiṃ tanotīva te %	aniBRta-Buja-daNxa-zaNxa-pracaNxa-anila-ullAsitaH SrAnti-SAntim tanoti-iva te %
   pralayasamayaśaṅkayā yatra lokatrayīdaṇḍakaś caṇḍavṛṣṭiprayāto 'mbudaḥ //	pralaya-samaya-SaFkayA yatra lokatrayI-daNxakaH caNxa-vRzwi-prayAtaH ambudaH //
   JVms_119 //	JVmH-_119 //
   pratipadam iha jātaśuddheḥ samādhes trayasyākṣarasyābhisaṃvardhanād	pratipadam iha jAta-SudDeH samADeH trayasya-akzarasya-aBisaMvarDanAt-
   antyarūpaspṛśaḥ $ samadhigamavaśāj jayaty āryavaryaiḥ prabhūtapramodaiḥ	antya-rUpa-spRSaH $ samaDigama-vaSAt jayati Arya-varyEH praBUta-pramodEH
   pragītaḥ prabhāprakarṣas tava &	pragItaH praBA-prakarzaH tava &
   varada yadanumodanāvādasārāviṇātṛptacittaiḥ surair vādyamānā na	vara-da yat-anumodanA-vAda-sA-rAviNA-tRpta-cittEH surEH vAdyamAnA na
   yāntiśramaṃ %	yAnti-Sramam %
   aparimaparamopakārottamarṇārṇavavyālajīmūtalīlākaroddāmaśaṅkhādayaḥ //	aparimaparama-upakAra-uttamarNa-arNava-vyAla-jImUta-lIlA-kara-uddAma-SaFKa-AdayaH //
   JVms_120 //	JVmH-_120 //
   pravikacakanakapaṅkejasaubhāgyabhāgaṅga dattenabhāvāśritebhyas tamaḥsu $	pravikaca-kanaka-paFkeja-sOBAgya-BAj-aFga dattena-BAva-ASriteByaH tamaHsu $
   tribhuvanaśamavidhānāya nirvāṇanīvṛt tamālākṛtāv āttabhakte bhavārau &	triBuvana-Sama-viDAnAya nirvANa-nIvRt tamAla-akRtO Atta-Bakte BavArO &
   daśabalatanayavargāgrimeṇa tvayā nātha nirmāthiduḥkhāpahena stutena %	daSa-bala-tanaya-varga-agrimeNa tvayA nATa nirmATi-duHKa-apahena stutena %
   pracita iti śubharāśir mahān yas tataḥ stāj janaughe samṛddhiḥ samagre 'pi	pracitaH iti SuBa-rASiH mahAn yaH tatas stAd jana-oGe samRdDiH samagre api
   saiva // JVms_121 //	sA-eva // JVmH-_121 //
   aham api tava pādapadmābhisaṃrādhanādhīnadhīsaṃniruddhāntaradhvāntajātaḥ $	aham api tava pAda-padma-aBisaMrADana-aDIna-DI-saMnirudDa-antara-DvAnta-jAtaH $
   samadhigatasamastavastūtkaravyāpinaisargikasvapnamāyāmayādvaitatattvaḥ &	samaDigata-samasta-vastu-utkara-vyApi-nEsargika-svapna-m-AyA-Amaya-advEta-tattvaH &
   akaruṇakaruṇābalāvāryavīryodayārabdhanānāvidhavyāpṛtivyastamāras %	akaruNa-karuNA-balA-vArya-vIrya-udaya-ArabDa-nAnAviDa-vyApRti-vyasta-mAraH %
   trijagati paramopakāraikakṛtyapravṛttaś careyaṃ jano yāvad eko 'py amuktaḥ	trijagati parama-upakAra-eka-kRtya-pravRttaH careyam janaH yAvat ekaH api amuktaH
   // JVms_122 //	// JVmH-_122 //
   sphāraphullasthalāmbhojanirbhāsabhṛṭpādapīṭhāntaviśrāntakāntāmaravyāladaityendracūlopalārciścayo	sPAra-Pulla-sTala-amBoja-nirBAsa-BRz-pAda-pIWa-anta-viSrAnta-kAnta-amara-vyAla-dEtya-indra-cUla-upala-arciH-cayaH-
   duḥsahoddāmaduḥkhānalagrastaparyastaśaktitrilokīviśokīkriyānirvirāmaśramāścaryacaryānidhiḥ	duHsaha-uddAma-duHKa-anala-grasta-paryasta-Sakti-trilokI-viSokI-kriyA-nirvirAma-Srama-AScarya-caryA-niDiH
   śuddhasaṃbuddhavaṃśāvataṃsaprakāśasphuratkīrtikirṇāntarālaprasāraḥ kumāro	SudDa-saMbudDa-vaMSa-avataMsa-prakASa-sPurat-kIrti-kirNa-antarAla-prasAraH kumAraH-
   jayaty eṣa vāgīśvaraḥ %	jayati eza vAgISvaraH %
   sarvadurvāramārapravīradhvajinyuddhavadhvaṃsabaddhābhirāmā	sarva-durvAra-mAra-pravIra-DvajinyudDa-vaDvaMsa-badDa-aBirAmA
   samaprauḍhinirvyūḍhagāḍhapratāpodayaḥ // JVms_123 //	sama-prOXi-nirvyUXa-gAXa-pratApa-udayaH // JVmH-_123 //
   prauḍhavaravajravanitāṅgaparirambhavilasatpulakajālakajagajjayatanutraṃ $	prOXa-vara-vajra-vanitA-aFga-pariramBa-vilasat-pulaka-jAlaka-jagat-jayatanutram $
   sāndrasavasāsramadhupānamadamuktavikaṭāṭṭahasitatrasadaśeṣasuradaityam &	sAndra-savasa-asra-maDu-pAna-mada-m-ukta-vikawa-awwahasita-trasat-aSeza-sura-dEtyam &
   gāḍhavinigūḍhadayavismayamayāpratimaraudratanum advayamahārṇavanimagnaṃ %	gAXa-vinigUXa-daya-vismaya-maya-apratima-rOdra-tanum advaya-mahA-arNava-nimagnam %
   śuddhaguṇadhāma karuṇābalam udāranavanāṭyarasavallalitavṛttam abhivande //	SudDa-guNa-DAma karuNA-balam udAra-nava-nAwya-rasa-vallalita-vRttam aBivande //
   JVms_124 //	JVmH-_124 //
