   śrīḥ	SrIH
   kāsaṃ śvāsaṃ ca śūlārti grahaṇīmatidurdharām // VRrs_3.31 //	kAsam SvAsam ca SUla-Arti grahaNIm-ati-durDarAm // VRrH-_3.31 //
   āmaṃ vināśayatyāśu laghutvaṃ prakaroti ca /	Amam vinASayati-ASu laGu-tvam prakaroti ca /
   ghṛtākte lohapātre tu vidrutaṃ śuddhagandhakam // VRrs_3.32 //	GRta-akte loha-pAtre tu vidrutam SudDa-ganDakam // VRrH-_3.32 //
   ghṛtāktadarvikākṣiptaṃ dviniṣkapramitaṃ bhajet /	GRta-akta-darvikA-kziptam dvi-nizka-pramitam Bajet /
   hanti kṣayamukhānrogānkuṣṭharogaṃ viśeṣataḥ // VRrs_3.33 //	hanti kzaya-muKAn-rogAn-kuzWa-rogam viSezataH // VRrH-_3.33 //
   kṣārāmlatailasauvīravidāhi dvidalaṃ tathā /	kzAra-amla-tEla-sOvIra-vidAhi dvi-dalam taTA /
   śuddhagandhakasevāyāṃ tyajedyogayutena hi // VRrs_3.34 //	SudDa-ganDaka-sevAyAm tyajet-yoga-yutena hi // VRrH-_3.34 //
   gandhakastulyamaricaḥ ṣaḍguṇatriphalānvitaḥ /	ganDakaH-tulya-maricaH zaxguNa-triPalA-anvitaH /
   ghṛṣṭaḥ śamyākamūlena pītaścākhilakuṣṭhahā // VRrs_3.35 //	GRzwaH SamyAka-mUlena pItaH-ca-aKila-kuzWa-hA // VRrH-_3.35 //
   tanmūlasalile piṣṭhaṃ lepayetpratyaham tanau /	tad-mUla-salile pizWam lepayet-pratyaham tanO /
   dṛṣṭapratyayayogo 'yaṃ sarvatra prativīryavān // VRrs_3.36 //	dRzwa-pratyaya-yogaH ayam sarvatra prativIryavAn // VRrH-_3.36 //
   śrīmatā somadevena samyagatra prakīrtitaḥ /	SrImatA somadevena samyak-atra prakIrtitaH /
   dviniṣkapramitaṃ gandhaṃ piṣṭvā tailena saṃyutam // VRrs_3.37 //	dvi-nizka-pramitam ganDam pizwvA tElena saMyutam // VRrH-_3.37 //
   athāpāmārgatoyena satailamaricena hi /	aTa-apAmArga-toyena sa-tEla-maricena hi /
   vilipya sakalaṃ dehaṃ tiṣṭheddharme tataḥ param // VRrs_3.38 //	vilipya sakalam deham tizWet-Darme tatas param // VRrH-_3.38 //
   takrabhaktaṃ ca bhuñjīta tṛtīye prahare khalu /	takra-Baktam ca BuQjIta tRtIye prahare Kalu /
   bhajedrātrau tathā vahniṃ samutthāya tathā prage // VRrs_3.39 //	Bajet-rAtrO taTA vahnim samutTAya taTA prage // VRrH-_3.39 //
   mahiṣīchagaṇ.am liptvā snāyācchītena vāriṇā /	mahizI-CagaN.am liptvA snAyAt-SItena vAriNA /
   tato 'bhyajya ghṛtairdehaṃ snāyādiṣṭoṣṇavāriṇā // VRrs_3.40 //	tatas aByajya GRtEH-deham snAyAt-izwa-uzNa-vAriNA // VRrH-_3.40 //
   amunā kramayogena vinaśyatyativegataḥ /	amunA krama-yogena vinaSyati-ati-vegataH /
   durjayā bahukālīnā pāmā kaṇḍuḥ suniścitaṃ // VRrs_3.41 //	durjayA bahu-kAlInA pAmA kaNxuH su-niScitam // VRrH-_3.41 //
   gandhakasya prayogāṇāṃ śataṃ tanna prakīrtitam /	ganDakasya prayogANAm Satam tat-na prakIrtitam /
   granthavistārabhītena somadevena bhūbhujā // VRrs_3.42 //	granTa-vistAra-BItena somadevena BUBujA // VRrH-_3.42 //
   athavārkasnuhīkṣīrairvastraṃ lepyaṃ tu saptadhā /	aTavA-arka-snuhI-kzIrEH-vastram lepyam tu saptaDA /
   gandhakaṃ navanītena piṣṭvā vastraṃ lipeddhanam // VRrs_3.43 //	ganDakam navanItena pizwvA vastram lipet-Danam // VRrH-_3.43 //
   tadvartiṃ jvalitāṃ daṃśe ghṛtāṃ kuryādadhomukhīm /	tad-vartim jvalitAm daMSe GRtAm kuryAt-aDomuKIm /
   tailaṃ patedadhobhāṇḍe grāhyaṃ yogeṣu yojayet // VRrs_3.44 //	tElam patet-aDas-BANxe grAhyam yogezu yojayet // VRrH-_3.44 //
   śuddhagandho haredrogānkuṣṭhamṛtyujarādikān /	SudDa-ganDaH haret-rogAn-kuzWa-mRtyu-jarA-AdikAn /
   agnikārī mahānuṣṇo vīryavṛddhiṃ karoti ca // VRrs_3.45 //	agni-kArI mahAn-uzNaH vIrya-vRdDim karoti ca // VRrH-_3.45 //
   atha gaurikam -	aTa gOrikam -
   pāṣāṇagairikaṃ caikaṃ dvitīyaṃ svarṇagairikam /	pAzANagErikam ca-ekam dvitIyam svarNagErikam /
   pāṣāṇagairikaṃ proktaṃ kaṭhiṇ.am tāmravarṇakam // VRrs_3.46 //	pAzANagErikam proktam kaWiN.am tAmra-varNakam // VRrH-_3.46 //
   atyantaśoṇitaṃ snigdhaṃ masṛṇaṃ svarṇagairikam /	atyanta-SoNitam snigDam masRNam svarNagErikam /
   svādu snigdhaṃ himaṃ netryaṃ kaṣāyaṃ raktapittanut // VRrs_3.47 //	svAdu snigDam himam netryam kazAyam raktapitta-nud // VRrH-_3.47 //
   hidhmāvamiviṣaghnaṃ ca raktaghnaṃ svarṇagairikam /	hiDmA-vami-viza-Gnam ca rakta-Gnam svarNagErikam /
   pāṣāṇagairikaṃ cānyatpūrvasmādalpakaṃ guṇaiḥ // VRrs_3.48 //	pAzANagErikam ca-anyat-pUrvasmAt-alpakam guNEH // VRrH-_3.48 //
   gairikaṃ tu gavāṃ dugdhairbhāvitaṃ śuddhimṛcchati /	gErikam tu gavAm dugDEH-BAvitam SudDim-RcCati /
   gairikaṃ sattvarūpaṃ hi nandinā parikīrtitam // VRrs_3.49 //	gErikam sattva-rUpam hi nandinA parikIrtitam // VRrH-_3.49 //
   kairapyuktaṃ patetsattvaṃ kṣārāmlaklinnagairikāt /	kEH-api-uktam patet-sattvam kzAra-amla-klinna-gErikAt /
   upatiṣṭhati sūtendramekatvaṃ guṇavattaram // VRrs_3.50 //	upatizWati sUtendram-eka-tvam guNavattaram // VRrH-_3.50 //
   atha kāsīsam -	aTa kAsIsam -
   kāsīsaṃ vālukādyekaṃ puṣpapurvamathāparam /	kAsIsam vAlukA-Adi-ekam puzpa-purvam-aTa-aparam /
   kṣārāmlāgarudhūmābhaṃ soṣṇavīryaṃ viṣāpaham // VRrs_3.51 //	kzAra-amla-agaru-DUma-ABam sa-uzNa-vIryam viza-apaham // VRrH-_3.51 //
   bālukāpuṣpakāsīsaṃ śvitraghnaṃ keśarañjanam // VRrs_3.52 //	bAlukA-puzpakAsIsam Svitra-Gnam keSa-raQjanam // VRrH-_3.52 //
   puṣpādikāsīsamatipraśastaṃ soṣṇaṃ kaṣāyāamlamatīva netryam /	puzpa-Adi-kAsIsam-ati-praSastam sa-uzNam kazAyAamlam-atIva netryam /
   viṣānilaśleṣmagadavraṇaghnaṃ śvitrakṣayaghnaṃ kacarañjanaṃ ca // VRrs_3.53	viza-anila-Slezma-gada-vraNa-Gnam Svitra-kzaya-Gnam kaca-raQjanam ca // VRrH-_3.53
   sakṛdbhṛṅgāmbunā klinnaṃ kāsīsaṃ nirmalaṃ bhavet /	sakRt-BRFga-ambunA klinnam kAsIsam nirmalam Bavet /
   tuvarīsattvavatsattvametasyāpi samāharet /	tuvarI-sattva-vat-sattvam-etasya-api samAharet /
   kāsīsaṃ śuddhimāpnoti pittaiś ca rajasā striyaḥ // VRrs_3.54 //	kAsIsam SudDim-Apnoti pittEH ca rajasA striyaH // VRrH-_3.54 //
   balinā hatakāsīsaṃ krāntaṃ kāsīsamāritam /	balinA hata-kAsIsam krAntam kAsIsa-mAritam /
   ubhayaṃ samabhāgaṃ hi triphalāvellasaṃyutam // VRrs_3.55 //	uBayam sama-BAgam hi triPalA-vella-saMyutam // VRrH-_3.55 //
   viṣamāṃśaghṛtakṣaudraplutaṃ śāṇamitaṃ prage /	vizama-aMSa-GRta-kzOdra-plutam SANa-mitam prage /
   sevitaṃ hanti vegena śvitraṃ pāṇḍukṣayāmayam // VRrs_3.56 //	sevitam hanti vegena Svitram pANxu-kzaya-Amayam // VRrH-_3.56 //
   gulmaplīhagadaṃ śūlaṃ mūlarogaṃ viśeṣataḥ /	gulma-plIha-gadam SUlam mUla-rogam viSezataH /
   rasāyanavidhānena sevitaṃ vatsarāvadhi // VRrs_3.57 //	rasAyana-viDAnena sevitam vatsara-avaDi // VRrH-_3.57 //
   āmasaṃśoṣaṇaṃ śreṣṭhaṃ mandāgniparidīpanam /	Ama-saMSozaNam SrezWam manda-agni-paridIpanam /
   palitaṃ valibhiḥ sārdhaṃ vināśayati niścitam // VRrs_3.58 //	palitam valiBiH sArDam vinASayati niScitam // VRrH-_3.58 //
   atha tuvarī -	aTa tuvarI -
   saurāṣṭrya saṃbhūtā sā tuvarī matā /	sOrAzwrya saMBUtA sA tuvarI matA /
   vastreṣu lipyate yāsau mañjiṣṭā rāgabandhinī // VRrs_3.59 //	vastrezu lipyate yA-asO maQjizwA rAga-banDinI // VRrH-_3.59 //
   phaṭakī phullikā ceti dvitīyā parikīrtitā /	PawakI PullikA ca-iti dvitIyA parikIrtitA /
   īṣatpītā guruḥ snigdhā pītikā viṣanāśanī // VRrs_3.60 //	Izat-pItA guruH snigDA pItikA viza-nASanI // VRrH-_3.60 //
   vraṇakuṣṭhaharā sarvakuṣṭhaghnī ca viśeṣataḥ // VRrs_3.61 //	vraNa-kuzWa-harA sarva-kuzWa-GnI ca viSezataH // VRrH-_3.61 //
   nirbhārā śubhravarṇā ca snigdhā sāmlāparā matā /	nirBArA SuBra-varNA ca snigDA sa-amlA-aparA matA /
   sā phullatuvarī proktā lepāttāmraṃ caredayaḥ // VRrs_3.62 //	sA PullatuvarI proktA lepAt-tAmram caret-ayaH // VRrH-_3.62 //
   kāṅkṣī kaṣāyā kaṭukāmlakaṇthyā keśyā vraṇaghnī viṣanāśanī ca /	kAFkzI kazAyA kawukA-amla-kaNTyA keSyA vraNa-GnI viza-nASanI ca /
   śvitrāpahā netrahitā tridoṣa- śāntipradā pāradajāraṇī ca // VRrs_3.63 //	Svitra-apahA netra-hitA tridoza SAnti-pradA pArada-jAraNI ca // VRrH-_3.63 //
   tuvarī kāñjike kṣiptvā tridinācchuddhimṛcchati /	tuvarI kAQjike kziptvA tri-dinAt-SudDim-RcCati /
   kṣārāmlairmarditā dhmātā sattvaṃ muñcati niścitam // VRrs_3.64 //	kzAra-amlEH-marditA DmAtA sattvam muQcati niScitam // VRrH-_3.64 //
   gopittena śataṃ varānsaurāṣṭrāṃ bhāvayettataḥ /	go-pittena Satam varAn-sOrAzwrAm BAvayet-tatas /
   dhamitvā pātayetsattvaṃ krāmaṇaṃ cātiguhyakam // VRrs_3.65 //	DamitvA pAtayet-sattvam krAmaNam ca-ati-guhyakam // VRrH-_3.65 //
   atha tālakaḥ -	aTa tAlakaH -
   haritālaṃ dvidhā proktaṃ pratyādyaṃ piṇḍasaṃjñakam /	haritAlam dviDA proktam pratyAdyam piNxa-saMjQakam /
   svarṇavarṇa guru snigdhaṃ tanupatraṃ ca bhāsuram // VRrs_3.66 //	svarNa-varNa guru snigDam tanu-patram ca BAsuram // VRrH-_3.66 //
   tatpatratālakaṃ proktaṃ bahupatraṃ rasāyanam /	tad-patra-tAlakam proktam bahu-patram rasAyanam /
   niṣpatraṃ piṇḍasadṛśam svalpasattvaṃ tathā guru /	nizpatram piNxa-sadRSam svalpa-sattvam taTA guru /
   strīpuṣpaharaṇaṃ tattu guṇālpaṃ piṇḍatālakam // VRrs_3.67 //	strI-puzpa-haraNam tat-tu guNa-alpam piNxa-tAlakam // VRrH-_3.67 //
   śleṣmaraktaviṣavātabhūtanutkevalaṃ ca khalu puṣpahṛtstriyaḥ /	Slezma-rakta-viza-vAta-BUta-nud-kevalam ca Kalu puzpa-hRt-striyaH /
   snigdhamuṣṇakaṭukaṃ ca dīpanaṃ kuṣṭhahāri haritālamucyate // VRrs_3.68 //	snigDam-uzNa-kawukam ca dIpanam kuzWa-hAri haritAlam-ucyate // VRrH-_3.68 //
   snigdhaṃ kūṣmāṇḍatoye vā tilakṣārajale 'pi vā /	snigDam kUzmANxa-toye vA tila-kzAra-jale api vA /
   toye vā cūrṇasaṃyukte dolāyantreṇa śudhyati // VRrs_3.69 //	toye vA cUrNa-saMyukte dolAyantreNa SuDyati // VRrH-_3.69 //
   aśuddhaṃ tālamāyughnaṃ kaphamārutamehakṛt /	aSudDam tAlam-Ayu-Gnam kaPa-mAruta-meha-kRt /
   tāpasphoṭāṅgasaṃkocaṃ kurute tena śodhayet // VRrs_3.70 //	tApa-sPowa-aFga-saMkocam kurute tena SoDayet // VRrH-_3.70 //
   tālakaṃ kaṇaśaḥ kṛtvā daśāṃśena ca ṭaṅkaṇam /	tAlakam kaNaSas kRtvA daSa-aMSena ca waFkaNam /
   jambīrotthadravaiḥ kṣālyaṃ kāñjikaiḥ kṣālayettataḥ // VRrs_3.71 //	jambIra-utTa-dravEH kzAlyam kAQjikEH kzAlayet-tatas // VRrH-_3.71 //
   vastre caturguṇe baddhvā dolāyantre dinaṃ pacet // VRrs_3.72 //	vastre caturguNe badDvA dolAyantre dinam pacet // VRrH-_3.72 //
   sacūrṇenāranālena dinaṃ kūṣmāṇḍaje rase /	sa-cUrNena-AranAlena dinam kUzmANxa-je rase /
   svedyaṃ vā śālmalītoyaistālakaṃ śuddhimāpnuyāt // VRrs_3.73 //	svedyam vA SAlmalI-toyEH-tAlakam SudDim-ApnuyAt // VRrH-_3.73 //
   madhutulye ghanībhūte kaṣāye brahmamūlaje /	maDu-tulye GanIBUte kazAye brahma-mUla-je /
   trivāraṃ tālakaṃ bhāvyaṃ piṣṭvā mūtre 'tha māhiṣe // VRrs_3.74 //	tri-vAram tAlakam BAvyam pizwvA mUtre aTa mAhize // VRrH-_3.74 //
   upalairdaśabhirdeyaṃ puṭaṃ ruddhvātha peṣayet /	upalEH-daSaBiH-deyam puwam rudDvA-aTa pezayet /
   evaṃ dvādaśadhā pācyaṃ śuddhaṃ yogeṣu yojayet // VRrs_3.75 //	evam dvAdaSaDA pAcyam SudDam yogezu yojayet // VRrH-_3.75 //
   kulitthakvāthasaubhāgyamahiṣyājyamadhuplutam /	kulitTa-kvATa-sOBAgya-mahizI-Ajya-maDu-plutam /
   sthālyāṃ kṣiptvā vidadhyācca tvamlena cchidrayoginā // VRrs_3.76 //	sTAlyAm kziptvA vidaDyAt-ca tu-amlena cCidra-yoginA // VRrH-_3.76 //
   samyaṅnirudhya śikhinaṃ jvālayetkramavardhitam /	samyak-niruDya SiKinam jvAlayet-krama-varDitam /
   ekapraharamātraṃ hi randhramācchādya gomayaiḥ // VRrs_3.77 //	eka-prahara-mAtram hi ranDram-AcCAdya gomayEH // VRrH-_3.77 //
   yāmānte chidramuddhāṭya dṛṣṭe dhūme ca pāṇḍure /	yAma-ante Cidram-udDAwya dRzwe DUme ca pANxure /
   śītāṃ sthālīṃ samuttārya sattvamutkṛṣya cāharet // VRrs_3.78 //	SItAm sTAlIm samuttArya sattvam-utkRzya ca-Aharet // VRrH-_3.78 //
   sarvapāṣāṇasattvānāṃ prakārāḥ santi koṭiśaḥ /	sarva-pAzANa-sattvAnAm prakArAH santi kowiSas /
   granthavistārabhītyāto likhitā na mayā khalu // VRrs_3.79 //	granTa-vistAra-BItyA-atas liKitAH na mayA Kalu // VRrH-_3.79 //
   palālakaṃ raverdugdhairdinamekaṃ vimardayet /	palAlakam raveH-dugDEH-dinam-ekam vimardayet /
   kṣiptvā ṣoḍaśikātelai miśrayitvā tataḥ pacet // VRrs_3.80 //	kziptvA zoxaSikA-telE miSrayitvA tatas pacet // VRrH-_3.80 //
   anāvṛtapradeśe ca saptayāmāvadhi dhuvam /	anAvRta-pradeSe ca sapta-yAma-avaDi Duvam /
   svāṅgaśītamadhasthaṃ ca sattvaṃ śvetaṃ samāharet // VRrs_3.81 //	svAFgaSItam-aDasTam ca sattvam Svetam samAharet // VRrH-_3.81 //
   chāgalasyāthabālasya balinā ca samanvitam /	CAgalasya-aTa-bAlasya balinA ca samanvitam /
   tālakaṃ duvasadvaṃdvaṃ mardayitvātiyatnataḥ // VRrs_3.82 //	tAlakam duvasa-dvaMdvam mardayitvA-atiyatnataH // VRrH-_3.82 //
   yuktaṃ drāvaṇavargeṇa kācakupyāṃ vinikṣipet /	yuktam drAvaNa-vargeNa kAca-kupyAm vinikzipet /
   tridhā tāṃ ca mṛdā liptvā pariśoṣya kharātape // VRrs_3.83 //	triDA tAm ca mRdA liptvA pariSozya Kara-Atape // VRrH-_3.83 //
   tataḥ kharparakacchidre tāmardhāṃ caiva kūpikām /	tatas Karparaka=-Cidre tAm-arDAm ca-eva kUpikAm /
   praveśya jvālayedagniṃ dvādaśapraharāvadhi // VRrs_3.84 //	praveSya jvAlayet-agnim dvAdaSa-prahara-avaDi // VRrH-_3.84 //
   kupikaṇṭhasthitaṃ śītaṃ śuddhaṃ sattvaṃ samāharet /	kupikaNWa-sTitam SItam SudDam sattvam samAharet /
   palārdhapramitaṃ tālaṃ baddhvā vastre site dṛḍhe // VRrs_3.85 //	pala-arDa-pramitam tAlam badDvA vastre site dRXe // VRrH-_3.85 //
   balinālipya yatnena trivāraṃ pariśoṣya ca /	balinA-Alipya yatnena tri-vAram pariSozya ca /
   drāvite triphale tāmre kṣipettālakapoṭalīm // VRrs_3.86 //	drAvite triPale tAmre kzipet-tAlaka-powalIm // VRrH-_3.86 //
   bhasmanā chādayecchīghraṃ tāmreṇāveṣṭitaṃ sitam /	BasmanA CAdayet-SIGram tAmreNa-Avezwitam sitam /
   mṛdulaṃ sattvamādadyātproktaṃ rasarasāyane // VRrs_3.87 //	mRdulam sattvam-AdadyAt-proktam rasa-rasAyane // VRrH-_3.87 //
   atha manaḥśilā -	aTa manaHSilA -
   manaḥśilā tridhā proktā śyāmāṅgī kaṇavīrakā /	manaHSilA triDA proktA SyAma-aFgI kaNavIrakAH /
   khaṇḍākhyā ceti tadrūpaṃ vivicya parikathyate // VRrs_3.88 //	KaNxa-AKyA ca-iti tad-rUpam vivicya parikaTyate // VRrH-_3.88 //
   śyāmā raktā sagaurā ca bhārāḍhyā śyāmikā matā /	SyAmA raktA sa-gOrA ca BAra-AXyA SyAmikA matA /
   tejasvinī ca nirgaurā tāmrābhā kaṇavīrakā // VRrs_3.89 //	tejasvinI ca nirgOrA tAmra-ABA kaNavIrakAH // VRrH-_3.89 //
   cūrṇībhūtātiraktāṅgī sabhārā khaṇḍapūrvikā /	cUrNIBUtA-ati-rakta-aFgI sa-BArA KaNxa-pUrvikA /
   uttaroktaguṇaiḥ śreṣṭhā bhūrisattvā prakīrtitā // VRrs_3.90 //	uttara-ukta-guNEH SrezWA BUri-sattvA prakIrtitAH // VRrH-_3.90 //
   manaḥśilā sarvarasāyanāgryā tiktā kaṭūṣṇā kaphavātahantrī /	manaHSilA sarva-rasAyana-agryA tiktA kawu-uzNA kaPa-vAta-hantrI /
   sattvātmikā bhūtaviṣāgnimāndyakaṇḍūtikāsakṣayahāriṇī ca // VRrs_3.91 //	sattva-AtmikA BUta-viza-agni-mAndya-kaNxUti-kAsa-kzaya-hAriNI ca // VRrH-_3.91 //
   aśmarīṃ mūtrakṛcchraṃ ca aśuddhā kurute śilā /	aSmarIm mUtrakRcCram ca aSudDA kurute SilA /
   mandāgniṃ malabandhaṃ ca śuddhā sarvarujāpahā // VRrs_3.92 //	manda-agnim mala-banDam ca SudDA sarva-rujA-apahAH // VRrH-_3.92 //
   agastyapatratoyena bhāvitā saptavārakam /	agastya-patra-toyena BAvitA sapta-vArakam /
   śṛṅgaverarasairvāpi viśuddhyati manaḥśilā // VRrs_3.93 //	SRFgavera-rasEH-vA-api viSudDi-ati manaHSilA // VRrH-_3.93 //
   jayantībhṛṅgarājottharaktāgastyarasaiḥ śilām /	jayantI-BRFgarAja-utTa-rakta-agastya-rasEH SilAm /
   dolāyantre pacedyāmaṃ yāmaṃ chāgotthamūtrakaiḥ /	dolAyantre pacet-yAmam yAmam CAga-utTa-mUtrakEH /
   kṣālayedāranālena sarvarogeṣu yojayet // VRrs_3.94 //	kzAlayet-AranAlena sarva-rogezu yojayet // VRrH-_3.94 //
   aṣṭamāṃśena kiṭṭena guḍaguggulusarpiṣā /	azwama-aMSena kiwwena guxa-guggulu-sarpizA /
   koṣṭhyāṃ ruddhvā dṛḍhaṃ dhmātā sattvaṃ muñcenmanaḥśilā // VRrs_3.95 //	kozWyAm rudDvA dRXam DmAtA sattvam muQcet-manaHSilA // VRrH-_3.95 //
   bhūnāgadhautasaubhāgyamadanaiś ca vimarditaiḥ /	BUnAga-DOta-sOBAgya-madanEH ca vimarditEH /
   kāravallīdalāmbhobhirmūṣāṃ kṛtvātra nikṣipet // VRrs_3.96 //	kAravallI-dala-amBoBiH-mUzAm kRtvA-atra nikzipet // VRrH-_3.96 //
   śilāṃ kṣārāmlaniṣpiṣṭāṃ pradhamettadanantaram /	SilAm kzAra-amla-nizpizwAm praDamet-tad-anantaram /
   kokilādvayamātraṃ hi dhmānātsattvaṃ tyajatyasau // VRrs_3.97 //	kokilA-dvaya-mAtram hi DmAnAt-sattvam tyajati-asO // VRrH-_3.97 //
   athāñjanāni -	aTa-aQjanAni -
   sauvīramañjanaṃ proktaṃ rasāñjanamataḥ param /	sOvIram-aQjanam proktam rasAQjanam-atas param /
   srotoñjanaṃ tadanyacca puṣpāñjanakameva ca // VRrs_3.98 //	srotoQjanam tat-anyat-ca puzpAQjanakam-eva ca // VRrH-_3.98 //
   nīlāñjanaṃ ca teṣāṃ hi svarūpamiha varṇyate /	nIlAQjanam ca tezAm hi svarUpam-iha varNyate /
   sauvīramañjanaṃ dhūmraṃ raktapittaharaṃ himam // VRrs_3.99 //	sOvIram-aQjanam DUmram raktapitta-haram himam // VRrH-_3.99 //
   viṣahidhmākṣirogaghnaṃ vraṇaśodhanaropaṇam /	viza-hiDmA-akzi-roga-Gnam vraNa-SoDana-ropaNam /
   rasāñjanaṃ ca pītābhaṃ viṣavaktragadāpaham // VRrs_3.100 //	rasAQjanam ca pIta-ABam viza-vaktra-gada-apaham // VRrH-_3.100 //
   śvāsahidhmāpahaṃ varṇyaṃ vātapittāsranāśanaṃ /	SvAsa-hiDmA-apaham varNyam vAta-pitta-asra-nASanam /
   srotoñjanaṃ himaṃ snigdhaṃ kaṣāyaṃ svādu lekhanam // VRrs_3.101 //	srotoQjanam himam snigDam kazAyam svAdu leKanam // VRrH-_3.101 //
   netryaṃ hidhmāviṣacchardikaphapittāsraroganut // VRrs_3.102 //	netryam hiDmA-viza=-Cardi-kaPa-pitta-asra-roga-nud // VRrH-_3.102 //
   puṣpāñjanaṃ sitaṃ snigdhaṃ himaṃ sarvākṣiroganut /	puzpAQjanam sitam snigDam himam sarva-akzi-roga-nud /
   atidurdharahidhmāghnaṃ viṣajvaragadāpahaṃ // VRrs_3.103 //	ati-durDara-hiDmA-Gnam viza-jvara-gada-apaham // VRrH-_3.103 //
   nīlāñjanaṃ guru snigdhaṃ netryaṃ doṣatrayāpaham /	nIlAQjanam guru snigDam netryam dozatraya-apaham /
   rasāyanaṃ suvarṇaghnaṃ lohamārdavakārakaṃ // VRrs_3.104 //	rasAyanam suvarNa-Gnam loha-mArdava-kArakam // VRrH-_3.104 //
   añjanāni viśudhyanti bhṛṅgarājanijadravaiḥ /	aQjanAni viSuDyanti BRFgarAja-nija-dravEH /
   manohvāsattvavatsattvamañjanānāṃ samāharet // VRrs_3.105 //	manohvA-sattva-vat-sattvam-aQjanAnAm samAharet // VRrH-_3.105 //
   valmīkaśikharākāraṃ bhaṅge nīlotpaladyuti /	valmIka-SiKara-AkAram BaFge nIlotpala-dyuti /
   ghṛṣṭaṃ tu gaurikacchāyaṃ srotojaṃ lakṣayedbudhaḥ // VRrs_3.106 //	GRzwam tu gOrika=-CAyam srotojam lakzayet-buDaH // VRrH-_3.106 //
   gośakṛdrasamūtreṣu ghṛtakṣaudravasāsu ca /	go-SakRt-rasa-mUtrezu GRta-kzOdra-vasAsu ca /
   bhāvitaṃ bahuśastacca śīghraṃ badhnāti sūtakam // VRrs_3.107 //	BAvitam bahuSas-tat-ca SIGram baDnAti sUtakam // VRrH-_3.107 //
   sūryāvartādiyogena śuddhimeti rasāñjanam /	sUryAvarta-Adi-yogena SudDim-eti rasAQjanam /
   rājāvartakavatsattvaṃ grāhyaṃ srotoñjanādapi // VRrs_3.108 //	rAjAvartaka-vat-sattvam grAhyam srotoQjanAt-api // VRrH-_3.108 //
   atha kaṅkuṣṭham -	aTa kaFkuzWam -
   himavatpādaśikhare kaṅkuṣṭhamupajāyate /	himavat-pAda-SiKare kaFkuzWam-upajAyate /
   tatraikaṃ nālikākhyaṃ hi tadanyadreṇukaṃ matam // VRrs_3.109 //	tatra-ekam nAlika-AKyam hi tad-anyat-reNukam matam // VRrH-_3.109 //
   pītaprabhaṃ guru snigdhaṃ śreṣṭhaṃ kaṅkuṣṭhamādimam /	pIta-praBam guru snigDam SrezWam kaFkuzWam-Adimam /
   śyāmapītaṃ laghu tyaktasattvaṃ neṣṭaṃ hi reṇukam // VRrs_3.110 //	SyAma-pItam laGu tyakta-sattvam na-izwam hi reNukam // VRrH-_3.110 //
   kecidvadanti kaṅkuṣṭhaṃ sadyojātasya dantinaḥ /	kecid-vadanti kaFkuzWam sadyojAtasya dantinaH /
   varcaś ca śyāmapītābhaṃ recanaṃ parikathyate // VRrs_3.111 //	varcaH ca SyAma-pIta-ABam recanam parikaTyate // VRrH-_3.111 //
   katicittejivāhānāṃ nālaṃ kaṅkuṣṭhasaṃjñakam /	katicid-teji-vAhAnAm nAlam kaFkuzWa-saMjQakam /
   vadanti śvetapītābhaṃ tadatīva virecanam // VRrs_3.112 //	vadanti Sveta-pIta-ABam tat-atIva virecanam // VRrH-_3.112 //
   rase rasāyanaṃ śreṣṭhaṃ niḥsattvaṃ bahuvaikṛtam /	rase rasAyanam SrezWam niHsattvam bahu-vEkRtam /
   kaṅkuṣṭhaṃ tiktakaṭukaṃ vīryoṣṇaṃ cātirecanam /	kaFkuzWam tikta-kawukam vIrya-uzNam ca-ati-recanam /
   vraṇodāvartaśūlārtigulmaplīhagudārtinut // VRrs_3.113 //	vraNa-udAvarta-SUla-Arti-gulma-plIha-guda-Arti-nud // VRrH-_3.113 //
   sūryāvartakakadalī vandhyā kośātakī ca suradālī /	sUryAvartaka-kadalI vanDyA koSAtakI ca suradAlI /
   śigruś ca vajrakando niraṅkaṇā kākamācī ca // VRrs_3.114 //	SigruH ca vajrakandaH niraFkaNA kAkamAcI ca // VRrH-_3.114 //
   āsāmekarasena tu lavaṇakṣārāmlabhāvitaṃ bahuśaḥ /	AsAm-eka-rasena tu lavaNa-kzAra-amla-BAvitam bahuSas /
   śuddhyanti rasoparasā dhmātā muñcanti sattvāni // VRrs_3.117 //	SudDyanti rasa-uparasAH DmAtAH muQcanti sattvAni // VRrH-_3.117 //
   kaṅkuṣṭhaṃ śuddhimāyāti tridhā śuṇṭhyambubhāvitam /	kaFkuzWam SudDim-AyAti triDA SuNWI-ambu-BAvitam /
   sattvākarṣo 'sya na prokto yasmātsattvamayaṃ hi tat // VRrs_3.116 //	sattva-AkarzaH asya na proktaH yasmAt-sattva-mayam hi tat // VRrH-_3.116 //
   bhajedenaṃ virekārthaṃ grāhibhiryavamātrayā /	Bajet-enam vireka-arTam grAhiBiH-yava-mAtrayA /
   nāśayedāmapūrtiṃ ca virecya kṣaṇamātrataḥ // VRrs_3.117 //	nASayet-Ama-pUrtim ca virecya kzaNa-mAtrataH // VRrH-_3.117 //
   bhakṣitaḥ saha tāmbūlairviricyāsūnvināśayet // VRrs_3.118 //	BakzitaH saha tAmbUlEH-viricya-asUn-vinASayet // VRrH-_3.118 //
