   udayananirākaraṇam	udayana-nirAkaraNam
   śakti vyapadeśyaṃ	Sakti vyapadeSyam
   sahakārisāhityasametamupalabdhamaṅkurajananayojyamanyathātve (4) bījatve	sahakAri-sAhitya-sametam-upalabDam-aFkura-janana-yojyam-anyaTAtve (4) bIja-tve
   iti manasi niveśya sthairyasya pratyakṣasiddhiparyālocanātśūnyatvānnādyaḥ	iti manasi niveSya sTEryasya pratyakza-sidDi-paryAlocanAt-SUnya-tva-at-nAdyaH
   | tādṛk tvamapi paryantavatināmeva bījānāmiti dvitīyopi na | prasaṅgatadvi	| tAdRS tvam-api paryantavatinAm-eva bIjAnAm-iti dvitIyA-upi na | prasaFga-tadvi
   (5) paryayapramāṇaṃ punarnirastasamastadūṣaṇam | abījaparāvṛtyā bījatvaṃ	(5) paryaya-pramANam punar-nirasta-samasta-dUzaNam | abIja-parAvRtyA bIja-tvam
   bahutamavyaktisammate 'pi pūrvāparakālayorbīje niścāyayiṣyate tena	bahutama-vyakti-sammate api pUrva-apara-kAlayoH-bIje niScAyayizyate tena
   nijāgantukaśaktipakṣo (6) pakṣeṇa vailakṣaṇyāviṣkaraṇamātramatrāṇaṃ	nija-Agantuka-Sakti-pakzaH (6) pakzeNa vElakzaNya-AvizkaraNa-mAtram-atrANam
   aṃkurasya jātiniyamākarmmakatvaprasaṅgastuviparyayavādhakamabādhakameva	aMkurasya jAti-niyama-akarmmaka-tva-prasaFga-H-tu-viparyaya-vADakam-abADakam-eva
   yatī'bījaparāvṛttiviśeṣeṇa bījatva (7) vāṅkuratvaniyamasyopapatteḥ | etena	yatI-abIja-parAvRtti-viSezeNa bIja-tva (7) vA-aFkura-tva-niyamasya-upapatteH | etena
   viparyayopyanaikāntikaḥ kathitaḥ | bījaviśeṣa eva hi prayojako na	viparyaya-upi-anEkAntikaH kaTitaH | bIja-viSezaH eva hi prayojakaH na
   tanmātraṃ bījasya pramāṇavṛtterbalavatvāt | sthūladṛṣṭyā tvevamavasthāpya	tanmAtram bIjasya pramANa-vRtteH-balava-tvAt | sTUla-dRzwyA tu-evam-avasTApya
   tāṃ na vyavahārahāniḥ pratibandhasādhanopāyaḥ punaḥ sāpāyaḥ aṅkurasya hi	tAm na vyavahAra-hAniH pratibanDa-sADana-upAyaH punar sa-apAyaH aFkurasya hi
   jātiniyamo na tāvannirmittaḥ, sārvatrikaprasaṅgāt | nāpyanyanimittaḥ	jAti-niyamaH na tAvat-nirmittaH, sArvatrika-prasaFgAt | na-api-anya-nimittaH
   tathābhūtasyābhāvāt seyaṃ (2) nimittavatā vipakṣānnivartamānā	taTABUtasya-aBAvAt sA-iyam (2) nimittavatA vipakzAn-nivartamAnA
   svavyāpyamādāya bījaprayojakatāmeva viśrāmyatīti pratibandhasiddhirityevaṃ	sva-vyApyam-AdAya bIja-prayojaka-tAm-eva viSrAmyati-iti pratibanDa-sidDiH-iti-evam
   varṇitā bījatvādhiṣṭhitasvabhāvabhedasyānyāvasthārūpatayā tūpalakṣaṇa (3)	varNitA bIja-tva-aDizWita-svaBAva-Bedasya-anya-avasTA-rUpa-tayA tu-upalakzaNa (3)
   stha aṅkuratvaniyamaṃ pratiprayojakatvāt | vyabhicāryeva	sTa aFkura-tva-niyamam pratiprayojaka-tvAt | vyaBicArya-iva
   bījatvamātramaṅkurasyaprayojakatāyāṃ bījasvabhāvatvamātraṃ nāṅkure	bIja-tva-mAtram-aFkurasya-prayojaka-tAyAm bIja-svaBAva-tva-mAtram na-aFkure
   prayojakam, prayojakaṃ punaḥ tatsvabhāvādhiṣṭhita-(4) śeṣādhiṣṭhitaṃ	prayojakam, prayojakam punar tad-svaBAva-aDizWita--(4) Seza-aDizWitam
   prayatamāne bījatvamupalabdhamiti sthūlakalanam, na rūḍhakaphalaṃ tat	prayatamAne bIja-tvam-upalabDam-iti sTUla-kalanam, na rUXaka-Palam tat-
   anālokitastattvasthaloti etadeva tvamiti nāsau vyavahāraḥ pāramārthika(5)	anAlokitaH-tattva-sTaloti etat-eva tvam-iti na-asO vyavahAraH pAramArTika(5)
   ityetattadā evamavatārito vicāraḥ kathaṃ prastāvamavavisphūryate tena	iti-etat-tadA evam-avatAritaH vicAraH kaTam prastAvam-avavisPUryate tena
   bījasvabhāvatvaṃ kvacitkārye prayojakatvaṃ na vā? na cettatsvabhāvaṃ	bIja-svaBAva-tvam kvacid-kArye prayojaka-tvam na vA? na ced-tad-svaBAvam
   bījam, tena rūpeṇa (6) kaścidapyanupayogāt | evaṃ ca pratyakṣasiddhaṃ	bIjam, tena rUpeNa (6) kaScid-api-anupayogAt | evam ca pratyakza-sidDam
   bīṃjasvabhāvatvannāsti sarvapramāṇāgocarastu viśeṣo 'stīti viśuddhā	bIMja-svaBAva-tvat-na-asti sarva-pramANa-agocaraH-tu viSezaH asti-iti viSudDA
   buddhirityupahāsabhāvāpyupahasitabhāva(7) meva tiraskaroti |	budDiH-iti-upahAsa-BAvA-api-upahasita-BAva(7) mA-iva tiraskaroti |
   kvacidapyupayoge tvekasya tena rūpeṇa sarveṣāmaviśeṣa tādrūpyāditi |	kvacid-api-upayoge tu-ekasya tena rUpeNa sarvezAm-aviSeza tAdrUpyAt-iti |
   yadyapi kutaścitsāmyātsarūpā pratīyante tathāpi bhinna eva eṣāṃ (8)	yadi-api kutaScid-sAmyAt-sa-rUpA pratIyante taTA-api BinnaH eva ezAm (8)
   svabhāvastena kiñcideva kasyacitkāraṇamityanena tathātvaṃ yacca bhāva	svaBAvaH-tena kiQcid-eva kasyacid-kAraNam-iti-anena taTAtvam yat-ca BAva
   syāditi kathitaṃ tadapi aprāptasahakārisāhityābhyāṃ	syAt-iti kaTitam tat-api aprApta-sahakAri-sAhityAByAm
   viśeṣādipariṇāmalakṣaṇasāmarthyakāraṇa-(9)tvāt | antyabījarūpatvābhāvāt	viSeza-Adi-pariNAma-lakzaNa-sAmarTya-kAraNa--(9)tvAt | antya-bIja-rUpa-tva-aBAvAt
   prasiddharoṣastiṣṭhati | tadeva hi tanna pūrva na paratvāditi kiṃ	prasidDa-rozaH-tizWati | tat-eva hi tat-na pUrva na paratvAt-iti kim
   mukhasyete tasmāṃtpratikṣaṇamaparāparayat kāryānukūlapratyaya sākalyamadhi	muKasyete tasmAn=-pratikzaNam-aparA-aparayat kArya-anukUla-pratyaya sAkalyam-aDi
   śayya bījatvamavāntaraṃ svabhāvālambanaṃ samvedyate tadeka kāryaprati	Sayya bIja-tvam-avAntaram svaBAva-Alambanam samvedyate tat-eka kArya-prati
   tathābhūtaṃ samvedyate tadekakāryaṃ prati tathābhūtaṃ tadeva	taTABUtam samvedyate tad-eka-kAryam prati taTABUtam tat-eva
   prayojakamasadvādagrahaḥ yaduktamanena tathā ca (2) bījaṃ kiṃcideva	prayojakam-asadvAda-grahaH yat-uktam-anena taTA ca (2) bIjam kiMcid-eva
   svakārya kuryānnāparāṇi | na ca vastumātraṃ tatkāryaṃ	sva-kArya kuryAt-na-aparANi | na ca vastu-mAtram tat-kAryam
   abījādanutpattiprasaṅgāt | nāpi bījamātraṃ aṃkurakāriṇo 'pi	abIjAt-anutpatti-prasaFgAt | na-api bIja-mAtram aMkura-kAriNaH api
   tadutpattiprasaṅgāt | nāpyaṅkurānyatamamātraṃ prāgapi tadutpattiprasaṅgāt	tad-utpatti-prasaFgAt | na-api-aFkura-anyatama-mAtram prAk-api tad-utpatti-prasaFgAt-
   | yadāyadutpannaṃ (3) sat yatkāryānukūlasahakārimadhyamadhiśete tadā	| yadA-Ayat-utpannam (3) sat yat-kArya-anukUla-sahakAri-maDyam-aDiSete tadA
   tadeva kāyaṃ prati tasya prayojakamiti cet tatkimavāntarajātibhedamupādāya	tat-eva kAyam prati tasya prayojakam-iti ced tat-kim-avAntara-jAti-Bedam-upAdAya
   bījasvabhāvenaiveti vā ādye (4) sa eva jātibhedaḥ tatra prayojakaḥ	bIja-svaBAvena-eva-iti vA Adye (4) saH eva jAti-BedaH tatra prayojakaH
   kimāyātaṃ bījatvasya dvitīye tu samānaśīlānāmapi	kim-AyAtam bIja-tvasya dvitIye tu samAna-SIlAnAm-api
   sahakārivikalpādakaraṇamityāyātaṃ tattatsahakāri sā (5)- hitye tattat	sahakAri-vikalpAt-akaraNam-iti-AyAtam tad-tad-sahakAri sA (5) hitye tat-tat-
   kāryaṃ prati prayojakasya bījasvabhāvasya sarvasādhāraṇatvāditi | atrāpi	kAryam prati prayojakasya bIja-svaBAvasya sarva-sADAraNa-tvAt-iti | atra-api
   prayogaḥ yat yena rūpeṇa arthakriyāsu nopamucyate na tattadrū paṃ yathā bī	prayogaH yat yena rUpeNa arTa-kriyAsu na-upamucyate na tad-tad-rU pam yaTA bI
   (6) jaṃ aṅkuratvena na kiṃcidpyakurvan na aṅkurasvarūpaṃ tathā ca	(6) jam aFkura-tvena na kiMcid-pi-akurvan na aFkura-svarUpam taTA ca
   śālyādayaḥ sāmagrīṃ praviṣṭādhibījatvenārthakriyāsu upayujyanta iti	SAli-AdayaH sAmagrIm pravizwa-aDi-bIja-tvena-arTa-kriyAsu upayujyante iti
   vyāpakānupalabdhiḥ (7) prasaṅgahetuḥ tadrūpatāyāṃ arthakriyāṃ	vyApaka-anupalabDiH (7) prasaFga-hetuH tad-rUpa-tAyAm arTa-kriyAm
   pratiyogyatayā vyāptatvāt, anyathātiprasaṅgāt | tadrūpatvameva tasya	pratiyogyatayA vyApta-tvAt, anyaTA-ati-prasaFgAt | tad-rUpa-tvam-eva tasya
   pratyakṣasiddhatvādaśakyāpahravamiti cet - astu tarhi vi-(8)-paryayaḥ |	pratyakza-sidDa-tvAt-aSakyA-apahravam-iti ced  astu tarhi vi-(8)--paryayaH |
   yat yadrūpaṃ tattenārthakriyāsūpayujyate | yathā svabhāvena sāmagrī	yat yat-rUpam tat-tena-arTa-kriyAsu-upayujyate | yaTA svaBAvena sAmagrI
   niveśino bhāvā bījajātīyārścaite kuśūlasthāsādayaḥ iti svabhāvahetuḥ	niveSinaH BAvAH bIja-jAtIyArH-ca-ete kuSUla-sTAsa-AdayaH iti svaBAva-hetuH
   tadrūpamātrā (9) nubandhitvāt yogyatāyāḥ tataścāsti kiñcitkāryaṃ yatra	tad-rUpa-mAtrAH (9) nubanDi-tvAt yogyatAyAH tatas-ca-asti kiQcid-kAryam yatra
   bījamupajyate | ityādirārambhe gambhīraḥ kaṇeravat tatsūramargalaḥ	bIjam-upajyate | iti-AdiH-AramBe gamBIraH kaNera-vat tad-sUramargalaH
   prasphuṭitaśaṃkha-(śṛṃga)-vat prabandho baddho vā bāla kathaya kutaḥ	prasPuwita-SaMKa-(-SRMga)--vat prabanDaH badDaH vA bAla kaTaya kutas-
   kutarke tvayā kalitaḥ | yataḥ	kutarke tvayA kalitaH | yatas-
   pradarśādyānavadyavidyācāryaprakāṇḍaparipiṇḍinvīkṣikīkīrtitadharmakīrtikamatamaparāparapratyayogenetyādikaṃ	pradarSAdyAnavadya-vidyA-AcArya-prakANxa-paripiNxin-vIkzikI-kIrtita-Darma-kIrtika-matamapara-apara-pratyayogena-ityAdikam
   prasaṅgo nāṅgasaṃgataḥ |	prasaFgaH na-aFga-saMgataH |
   (2) tadrūpatāmātrasya vastuvat prasūtaprarohādikāryārjanayogyatayā	(2) tad-rUpa-tA-mAtrasya vastu-vat prasUta-praroha-Adi-kArya-arjana-yogya-tayA
   vyāptyayogāt | kāraṇābhāvāt samarthasvabhāvānupapatteḥ | tathāhi tatra yo	vyApti-ayogAt | kAraNa-aBAvAt samarTa-svaBAva-anupapatteH | taTA-hi tatra yaH-
   'vyavadhānādi deśabīja-(3)- viśvambharādikalāpaḥ sa sabhāgāṅkurakaraṇe	avyavaDAna-Adi deSa-bIja-(3) viSvamBara-Adi-kalApaH sa saBAga-aFkura-karaNe
   samartho hetuḥ yasteṣāṃ parasparopasarpaṇāśraya pratyayaviśeṣaḥ (4) sa	samarTaH hetuH yaH-tezAm paraspara-upasarpaNa-ASraya pratyaya-viSezaH (4) sa
   taddhetujanane samarthaḥ teṣāñca na pūrvaṃ na paścāt na pṛthak bhāva iti	tad-hetu-janane samarTaH tezAQca na pUrvam na paScAt na pRTak BAvaH iti
   samarthānāmapi pūrvāparapṛthagbhāvabhāvino doṣā nopalīyante | tenaiṣāṃ	samarTAnAm-api pUrva-apara-pRTak-BAva-BAvinaH dozAH na-upalIyante | tena-ezAm
   parasparopasarpaṇādiheturyaḥ samarthaheturiti tasya na	paraspara-upasarpaNa-Adi-hetuH-yaH samarTa-hetuH-iti tasya na
   kadācidanyathābhāvaḥ | anena (5) nyāyena sarvatra	kadAcid-anyaTA-BAvaH | anena (5) nyAyena sarvatra
   hetuphalabhāvapratiniyamaḥ draṣṭavyaḥ pratikṣaṇaṃ	hetu-Pala-BAva-pratiniyamaH drazwavyaH pratikzaNam
   anyānyasvabhāvabhedānvayinīṣu bhāvaśaktiṣu na tu sthiraikabhāveṣu bhāveṣu	anya-anya-svaBAva-Beda-anvayinIzu BAva-Saktizu na tu sTira-eka-BAvezu BAvezu
   svabhāvasyānyathātvāsaṃbhavāt (6) samarthāsamarthasvabhāvayoḥ	svaBAvasya-anyaTAtva-asaMBavAt (6) samarTa-asamarTa-svaBAvayoH
   kriyākriyāyogāt | anyasahitaḥ karoti cet kiṃ na kevala iti cet kiṃ	kriyA-kriyA-yogAt | anya-sahitaH karoti ced kim na kevalaH iti ced kim
   kevalasya kāryakaraṇe 'samarthaḥ svabhāvaḥ | samarthaḥ kiṃ na karoti? (7)	kevalasya kArya-karaNe asamarTaH svaBAvaH | samarTaH kim na karoti? (7)
   akurvan kathaṃ samartha iti?	akurvan kaTam samarTaH iti?
   hetuvindāvācāryavacanamakalaṅkahariṇāṅkanirmalamapi	hetu-vindO=-AcArya-vacanam-akalaFka-hariNa-aFka-nirmalam-api
   svapakṣanirvāhavāhādhirohādiva pratyūhavyūhavyastamupanyastavān	sva-pakza-nirvAha-vAha-aDirohAt-iva pratyUha-vyUha-vyastam-upanya-stavAn
   abhyasitamanīṣaḥ pā-(8) rśvakarāni utprekṣyate sāhityamupādhimadhiropya	aByasita-manIzaH pA-(8) rSva-karAni utprekzyate sAhityam-upADim-aDiropya
   sāmarthyāsāmarthyāpekṣayā prasaṅgatadviparya yapratyāśāṃ śāti bhavān	sAmarTya-asAmarTya-apekzayA prasaFga-tad-viparya ya-pratyASAm SAti BavAn
   tatrāpyācāryavacanaṃ na sāhityepi para-(9) rūpeṇa kartā svarūpañcāsya	tatra-api-AcArya-vacanam na sAhityepi para--(9) rUpeNa kartA svarUpaQcA-asya
   prāgapīti prāgapi kuryāt | iti sāhityepi na sāhityaviśeṣaṇaṃ	prAk-api-iti prAk-api kuryAt | iti sAhityepi na sAhitya-viSezaNam
   karaṇasāmarthya miti prasaṅgāt | proktaṃ vākyantu tataḥ	karaNa-sAmarTya miti prasaFgAt | proktam vAkyantu tatas-
   svabhāvaniṣṭha-(10) mapratiṣṭhāpya prasaṅgo	svaBAva-nizWa-(10) mapratizWApya prasaFgaH-
   nāṅgasaṅgatimaṅgīkarotyuktameva |	na-aFga-saFga-tim-aFgIkaroti-uktam-eva |
   nanu sati kṣaṇabhaṃga bhaṃgireṣāgurugariṣṭhopi śāstrakṛtaḥ	nanu sati kzaNa-BaMga BaMgiH-eza-aguru-garizWA-upi SAstra-kRtaH
   tatprasādhakapramāṇaprasaṅgasaṅgatau durgatāṅganādohadalīlāṃ samudvahati	tad-prasADaka-pramANa-prasaFga-saFgatO durgata-aFganA-dohada-lIlAm samudvahati
   picchilatattvatucchānacchārthā sa ya samūrcchalitā	picCila-tattva-tucCAna=-CA-arTA sa yaH sa-mUrcCalitA
   pakṣālakalaṅgaṇabharṅginaḥ sādhīyebhyo 'pi samyebhyo bībhatsanta iti (2)	pakzAla-ka-laFgaNa-BarFginaH sADIyeByaH api samyeByaH bIBatsantaH iti (2)
   naitadāścaryaṃ sahasreṇāpi hi niṣpīḍāmavadhānataḥ surapatirakṣāṃ	na-etat-AScaryam sahasreNa-api hi nizpIxAm-avaDAnataH surapati-rakzAm
   vīkṣyamāṇo na prekṣate 'sau sthitasthitasthityādisaṃvidhānādaparadaśāyāṃ	vIkzyamANaH na prekzate asO sTita-sTita-sTiti-Adi-saMviDAnAt-aparadaSAyAm
   bījasya janakatvamiti (3) sthirapakṣe kathamayaṃ niyamo mahanīyatāṃ	bIjasya janaka-tvam-iti (3) sTira-pakze kaTam-ayam niyamaH mahanIyatAm
   nīyatāṃ kiṃ svahetudattamaryādatayā sāmagrayepi vā	nIyatAm kim sva-hetu-datta-maryAda-tayA sAmagrayepi vA
   pratyekasāmarthyāsamarthamasahatayā vā	pratyeka-sAmarTyA-samarTam-asahatayA vA
   paryantapratipannaparyantapratipannasaṃmūrcchanatādi sva-(4)-bhāvahīnatayā	paryanta-pratipanna-paryanta-pratipanna-saMmUrcCana-tA-Adi sva-(4)-BAva-hIna-tayA
   vā paripakṣādṛṣṭasadasatkarmanirmāṇanirmūlatayā vā dṛśyate tāvadevamevaṃ	vA paripakza-adRzwa-sat-asat-karma-nirmANa-nirmUla-tayA vA dRSyate tAvat-evam-evam
   te kathamityanarthakaprathamakathā prathanādvā kaścarat purato gacchet	te kaTam-iti-anarTaka-praTama-kaTA praTanAt-vA kaH-carat puratas gacCet-
   svabhraṃ (5) vā svargameveti pakṣāḥ pañcendriyakalpanāt pañca vā	svaBram (5) vA svargam-eva-iti pakzAH paQca-indriya-kalpanAt paQca vA
   upaskṛtasañcitānyaviṣayaniścayanānnādyā manasi vipaścitaḥ praviśati	upaskRta-saQcita-ani-avizaya-niScayana-annAdyAH manasi vipaScitaH praviSati
   śakyamevamatathyamapi (6) sthāpayituṃ svakāraṇakalāpaparikalpitaṃ cakṣuṣo	Sakyam-evam-ataTyam-api (6) sTApayitum sva-kAraNa-kalApa-parikalpitam cakzuzaH-
   rūpaṃ yadidaṃ madīyo rūpaṃ ca samavaiti |	rUpam yat-idam madIyaH rUpam ca samavEti |
   śabdamatha pratyāsīdantaṃ tadātmanā tulayati aparatrānyevaṃ	Sabdam-aTa pratyAsIdantam tadAtmanA tulayati aparatrAni-evam
   viṣaye-(7)-'nuśāsanīyamiti tṛpañcatayī kalpanā pāramārthikī syāt	vizaye--(7)--anuSAsanIyam-iti tRpaQcatayI kalpanA pAramArTikI syAt-
   grāhyārthaviṣayā upadravyaṃ bhāvayituṃ pāryante | svahetudattamaryādatayā	grAhya-arTa-vizayAH upadravyam BAvayitum pAryante | sva-hetu-datta-maryAda-tayA
   yadekameva hi svahetuvihitaviśeṣa (8) pañca vā dhiyaṃ dhatte	yat-ekam-eva hi sva-hetu-vihita-viSeza (8) paQca vA Diyam Datte
   pañcaprapañcacakṣurādīndriyaprasādāditi tadanantaramaghātapariśīlinamapi	paQca-prapaQca-cakzuH-Adi-indriya-prasAdAt-iti tad-anantaram-aGAta-pariSIlinam-api
   (śīlanīyaṃ) ekaikaśaḥ kalitānvayavyatirekatvāt	(SIlanIyan) ekEkaSas kalita-anvaya-vyatireka-tvAt-
   anyapariṇāmapraṇāśamā-(9)-śaṃsatāṃ pūrvāśivatātiḥ prativādasya	anya-pariNAma-praNASam-A-(9)-SaMsa-tAm pUrva-aSiva-tAtiH prativAdasya
   prārabdhāpriyeṇa priyamanuṣṭhitam | karmmanirmāṇanaipuṇyaṃ na pramāṇayatā	prArabDa-apriyeNa priyam-anuzWitam | karmma-nirmANa-nEpuNyam na pramANayatA
   praṇetavyo vyomāntarjātoyo vījādi bhāva (grāmaḥ) tasya dṛṣṭābhiniviṣṭatve	praNetavyaH vyoma-antar-jAtoyaH vIja-Adi BAvaH (grAmaH) tasya dRzwa-aBinivizwa-tve
   vā kāmaṃ anya pratīkṣo 'stu, niyamastu virudhyata iti	vA kAmam anya pratIkzaH astu, niyamaH-tu viruDyate iti
   guruprabādhakapramāṇaprahāraḥ prakṛṣṭa āste | vādādikathā navyasya kathane	guru-prabADaka-pramANa-prahAraH prakRzwaH Aste | vAda-Adi-kaTA navyasya kaTane
   ca vikṣepanigrahaprasaṅgaḥ (2) syāt pakṣapūjāviṣkaraṇamātramantimasapakṣe	ca vikzepa-nigraha-prasaFgaH (2) syAt pakza-pUjA-vizkaraNa-mAtramantimasa-pakze
   lakṣyate na punaradhikaṃ kiñcit |	lakzyate na punar-aDikam kiQcid |
   tasmāt tathā tatkāraṇaṃ vastu tathaiva tadakāraṇam	tasmAt taTA tad-kAraNam vastu taTA-eva tat-akAraNam
   yathā tatkāraṇaṃ kena mataṃ neṣṭamakāraṇam | (3)	yaTA tad-kAraNam kena matam na-izwam-akAraNam | (3)
   svabhāvabhedena binā vyāpāro 'pi na yujyate |	svaBAva-Bedena binA vyApAraH api na yujyate |
   nityasyādhyatirekitvāt sāmarthyañca duranvanyam ||	nityasya-aDyatireki-tvAt sAmarTyaQca duranvanyam ||
   iti prasaṅgatadviparyaya preriṇāprasaraḥ sthiratve sati janakatvena	iti prasaFga-tad-viparyaya preriNA-prasaraH sTira-tve sati janaka-tvena
   nirṇītasyānti-(4)-ma pariṇāme brīhiviśeṣasyāvicala iti	nirNIta-sya-anti-(4)-ma pariNAme brIhi-viSezasya-avicalaH iti
   sthitamācāryavacanaṃ tasmāttatsvabhāvasya anyathātvāsambhavāt |	sTitam-AcArya-vacanam tasmAt-tad-svaBAvasya anyaTAtvAsamBavAt |
   taddharmaṇastu tathābhāvo 'ntyāvasthāvadanivāryaḥ |	tad-DarmaNaH-tu taTA-aBAvaH antya-avasTA-vat-anivAryaH |
   antyāvasthāyāṃ-(5)-prāga samarthasya sāmarthyotpattau sāmarthyasya	antya-avasTAya-aM-(5)-prAga samarTasya sAmarTya-utpattO sAmarTyasya
   tatsvabhāvatve 'pūrvotpattireva sā | atatsvabhāvatve sa prāgiva paścādapi	tad-svaBAva-tve apUrva-utpattiH-eva sA | atad-svaBAva-tve sa prAk-iva paScAt-api
   akāraka eva | sāmarthyākhyātapadārthānta (6) rātkāryonpatteriti	akArakaH eva | sAmarTya-AKyAta-padArTa-anta (6) rAtkAryonpatteH-iti
   tasmātpratiṣṭhitasvabhāvabhāgī bhāvaḥ | ahetubhirjanyate na	tasmAt-pratizWita-svaBAva-BAgI BAvaH | ahetuBiH-janyate na
   punaryayathānupratiṣṭhaḥ bījantu sati sahakārisākalye saṃdigdhe	punar-yayaTa-anupratizWaH bIjantu sati sahakAri-sAkalye saMdigDe
   ni-(7)-ghananibandhanādhīnatvaṃ saśaṃsitasaṃbhāvanaṃ svahetunā janyata iti	ni-(7)-Gana-nibanDana-aDIna-tvam sa-SaMsita-saMBAvanam sva-hetunA janyate iti
   janyametat samastanyāyanīte |	janyam-etat samasta-nyAya-nIte |
   pāratantryaṃ hi sambandhaḥ siddhe kā paratantratā |	pAratantryam hi sambanDaH sidDe kA paratantra-tA |
   tasmātsarvasya bhāvasya sambandho nāsti tattvataḥ |	tasmAt-sarvasya BAvasya sambanDaH na-asti tattvataH |
   rūpe śleṣo hi sambandho dvitve sati kathaṃ bhavet |	rUpe SlezaH hi sambanDaH dvi-tve sati kaTam Bavet |
   tasmātprakṛtibhiḥnnānāṃ sambandho nāsti tattvataḥ ||	tasmAt-prakRti-BiHnnAnAm sambanDaH na-asti tattvataH ||
   parāpekṣāpi sambandhaḥ so 'san (9) kathamapekṣate |	para-apekzA-api sambanDaH saH asan (9) kaTam-apekzate |
   saṃśca saṃvanirāśaṃso bhāvaḥ kathamapekṣate ||	san=-ca saMvaniH-ASaMsaH BAvaH kaTam-apekzate ||
   siddhāsiddhayorapekṣābhābādatyantasambhavī sambandhaḥ na siddhasyāsiddhaṃ	sidDa-asidDayoH-apekzA-BAbAt-atyanta-samBavI sambanDaH na sidDasya-asidDam
   kiñcidasti yadarthamapekṣyate yathā sāmānyātmanāsiddhaṃ	kiQcid-asti yad-arTam-apekzyate yaTA sAmAnya-AtmanA-sidDam
   viśeṣātmanārthamapekṣate aṅkurādiko bhāvaḥ	viSeza-AtmanA-arTam-apekzate aFkura-AdikaH BAvaH
   niṣpattyaniṣpattivirudddharyādhyāsena bhinnatvāt	nizpatti-anizpatti-viruddDarya-aDyAsena Binna-tvAt-
   siddhāsiddhavikalpānatikramāt tato na sahakārisāpekṣa-(2)	sidDa-asidDa-vikalpa-anatikramAt tatas na sahakAri-sApekza-(2)
   balakṣapakṣādipadārthasārthasya sambhavaḥ svahetoḥ sambhāvanāspada nahi	balakzapakza-Adi-padArTa-sArTasya samBavaH sva-hetoH samBAvana-Aspada na-hi
   bhavati nijajanananigaḍaniyamita evāyaṃ naropasannamaunaniyama eva vācā	Bavati nija-janana-nigaxa-niyamitaH eva-ayam nara-upasanna-mOna-niyamaH eva vAcA
   vācaspati-(3) mapi picchayati | tasmātpramāṇaviruddha evārtho jñāpakena	vAcaspati-(3) mapi picCayati | tasmAt-pramANa-virudDaH eva-arTaH jQApakena
   jñāpyate kāraka hetunā ca karaṇīya iti eṣa eva paramapramāṇikaḥ pracāraḥ |	jQApyate kAraka hetunA ca karaNIyaH iti ezaH eva parama-pramANikaH pracAraH |
   yaccoktam ḥathavā vyatirekeṇa prayogaḥ (4) vivādādhyāsitaṃ bījaṃ	yat-ca-uktam HaTavA vyatirekeNa prayogaH (4) vivAda-aDyAsitam bIjam
   sahakārivikalpaprayuktāṅkurādikāryavaikalyaṃ	sahakAri-vikalpa-prayukta-aFkura-Adi-kArya-vEkalyam
   tadutpattiniścayaviṣayībhūtabījajātīyatvāt, tatpunaḥ	tad-utpatti-niScaya-vizayIBUta-bIja-jAtIya-tva-at, tat-punar-
   sahakārivikalpaprayuktāṅkurādikārya (5) na bhavati tadevaṃbhūtajātīyam,	sahakAri-vikalpa-prayukta-aFkura-Adi-kArya (5) na Bavati tat-evaMBUta-jAtIyam,
   yathā śilāśakalamiti etadapi na sasāhityepi pararūpeṇa kartā ityetena	yaTA SilA-Sakalam-iti etat-api na sa-sAhitya-Ipi para-rUpeNa kartA iti-etena
   gatārthaḥ | aṃkurajanasvabhāvabhraṣṭabhāvādeva	gata-arTaH | aMkura-jana-svaBAva-Brazwa-BAvAt-eva
   anā-(6)-virbhūtābhinavodbhidvījaṃ prāgavasthāyāmiti sthāpitameva |	anA-(6)-virBUta-aBinava-udBidvIjam prAk-avasTAyAm-iti sTApitam-eva |
   sthūlaparāmarśāśraye	sTUla-parAmarSa-ASraye
   samāveśyābījavyāvṛttavījaviṣayamanvayavyatirekakalpanaṃ	samAveSyA-bIja-vyAvRtta-vIja-vizayam-anvaya-vyatireka-kalpanam
   sūkṣmāvā-(7)-ntaranirūpaṇaparāhanyamānamānasenāpi mantavyaṃ ko 'tra	sUkzma-avA-(7)-ntara-nirUpaNa-parAhanyamAna-mAnasena-api mantavyam kaH atra
   mantrayate | tasmātsthūlaparāmarśāpekṣayā yadi svabhāvaviśeṣabhraṃśena	mantrayate | tasmAt-sTUla-parAmarSa-apekzayA yadi svaBAva-viSeza-BraMSena
   nāsyāṅkurakāryavika(8) latvaṃ sādhyamevamanokāntaḥ |	na-asya-aFkura-kArya-vika(8) latvam sADyam-evamanokAntaH |
   sūkṣmaprekṣāpakṣāpekṣatā yajjātīyatvamasiddham | sa eva hi tasya nāsti	sUkzma-prekzA-pakza-apekzatA yat-jAtIya-tvam-asidDam | saH eva hi tasya na-asti
   yastajjanakaḥ | niḥsvabhāva iti bhāvaḥ | tadatra paramārthaḥ satvaṃ (9) tu	yaH-tad-janakaH | niHsvaBAvaH iti BAvaH | tat-atra parama-arTaH satvam (9) tu
   hetuḥ kṣaṇikatve kutaḥ sapakṣo jaladharaḥ sa ca sāśvadharmādhyāsito	hetuH kzaNika-tve kutas sa-pakzaH jalaDaraH sa ca sa-aSva-Darma-aDyAsitaH-
