   haṃsadūtaṃ	haMsa-dUtam
   sarojānāṃ vyūhaḥ śriyamabhilaṣan yasya padayo-	sarojAnAm vyUhaH Sriyam-aBilazan yasya padayo-
   ryayau rāgāḍhyānāṃ vidhuramudavāsavratavidhim |	ryayO rAga-AXyAnAm viDuram-uda-vAsa-vrata-viDim |
   himaṃ vande nīcairanucitavidhānavyasanināṃ	himam vande nIcEH-anucita-viDAna-vyasaninAm
   yadeṣāṃ prāṇāntaṃ damanamanuvarṣaṃ praṇayati ||55	yat-ezAm prANAntam damanam-anuvarzam praNayati ||55
   rucīnamullāsairmarakatamayasthūlakadalī-	rucInam-ullAsEH-marakata-maya-sTUla-kadalI-
   kadambāhaṃkāraṃ kavalayati yasyoruyugalam |	kadamba-ahaMkAram kavalayati yasya-Uru-yugalam |
   yadālānastambhadyūutimavalalambe kalavatāṃ	yad-AlAna-stamBa-dyUutim-avala-lambe kalavatAm
   madāduddāmānāṃ paśuparamaṇīcittakariṇīm ||56	madAt-uddAmAnAm paSu-paramaNI-citta-kariNIm ||56
   sakhe yasyābhīrīnayanasapharījīvanavidhau	saKe yasya-ABIrI-nayana-saParI-jIvana-viDO
   nidānaṃ gāmbhīryaprasarakalitā nābhisarasī |	nidAnam gAmBIrya-prasara-kalitA nABi-sarasI |
   yataḥ kalpasyādau sajalajanakotpattivaḍabhī-	yatas kalpasya-AdO sa-jala-janaka-utpatti-vaxaBI-
   gabhīrāntaḥ kakṣādhṛtabhuvanamambhoruhamabhūt ||57	gaBIra-antar kakzA-DRta-Buvanam-amBoruham-aBUt ||57
   dyutiṃ dhatte yasya trivalilatikāsaṅkaṭataraṃ	dyutim Datte yasya tri-vali-latikA-saFkawataram
   sakhe dāmaśreṇīkṣapaṇaracanābhijñamudaram |	saKe dAma-SreNI-kzapaNa-racana-aBijQam-udaram |
   yaśodā yasyāntaḥ suranarabhujaṅgaiḥ parivṛtaṃ	yaSodA yasya-antar sura-nara-BujaFgEH parivRtam
   mukhadvārā vāradvayamavaluloke tribhuvanam ||58	muKa-dvArAH vAra-dvayam-avalu-loke triBuvanam ||58
   urau yasya sphāraṃ sphurati vanamālāvalayitaṃ	urO yasya sPAram sPurati vana-mAlA-valayitam
   vitanvānaṃ tanvījanamanasi sadyo manasijam |	vitanvAnam tanvI-jana-manasi sadyas manasijam |
   marīcībhiryasmin ravinivahatulyo.api vahate	marIcIBiH-yasmin ravi-nivaha-tulyaH-.api vahate
   sadā khadyotābhāṃ bhuvanamadhuraḥ kaustubhamaṇiḥ ||59	sadA Kadyota-ABAm Buvana-maDuraH kOstuBa-maNiH ||59
   samantādunmīladvalabhidupalastambhayugala-	samantAt-unmIlat-vala-Bid-upala-stamBa-yugala-
   prabhājaitraṃ keśidvijadalitakeyūralalitam |	praBA-jEtram keSi-dvija-dalita-keyUra-lalitam |
   madaklāmyadgopīpaṭalahaṭakaṇṭhagrahaparaṃ	mada-klAmyadgopI-pawala-hawa-kaNWa-graha-param
   bhujadvandva,ṃ yasya sphuṭasurabhigandhaṃ vijayate ||60	Buja-dvandva,m yasya sPuwa-suraBi-ganDam vijayate ||60
   jihīte sāmrājyaṃ jagati navalāvaṇyalaharī	jihIte sAmrAjyam jagati nava-lAvaNya-laharI
   parīpākasyāntarmuditamadanāveśamadhuram |	parIpAkasya-antar-mudita-madana-AveSa-maDuram |
   naṭadbhrūvallīkaṃ smitanavasudhākelisadanaṃ	nawat-BrU-vallIkam smita-nava-suDA-keli-sadanam
   sphuranmuktāpaṅktipratimaradanaṃ yasya vadanam ||61	sPurat-muktA-paFkti-pratima-radanam yasya vadanam ||61
   kimebhirvyāhāraiḥ kalaya kathayāmi sphuṭamahaṃ	kim-eBiH-vyAhArEH kalaya kaTayAmi sPuwam-aham
   sakhe niḥsandehaṃ paricayapadaṃ kevalamidam |	saKe niHsandeham paricaya-padam kevalam-idam |
   parānando yasmin nayanapadavībhrāji bhavitā	parAnandaH yasmin nayana-padavI-BrAji BavitA
   tvayā vijñātavyā madhurarava so.ayaṃ madhuripuḥ ||62	tvayA vijQAtavyAH maDura-rava so.ayam maDuripuH ||62
   vilokethāḥ kṛṣṇaḥ madakalamarālīratikalā-	vilokeTAH kRzNaH mada-kalamarAlI-H-atikalA-
   vimugdha vyāmugdhaṃ yadi puravadhūvibhramabharaiḥ |	vimugDa vyAmugDam yadi puravaDU-viBrama-BarEH |
   tadā nāsmān grāmyāḥ pravaṇapadavīṃ tasya gamayeḥ	tadA na-asmAn grAmyAH pravaNa-padavIm tasya gamayeH
   sudhāpūrṇaṃ cetaḥ kathamapi na takraṃ mṛgayate ||63	suDA-pUrNam cetaH kaTam-api na takram mRgayate ||63
   yadā vṛndāraṇyasmaraṇalaharīheturamaṇaṃ	yadA vRnda-araNya-smaraNa-laharI-hetu-ramaNam
   pikānāṃ veveṣṭi pratiharitamuccaiḥ kuhurutam |	pikAnAm veva-izwi pratiharitam-uccEs kuhurutam |
   vahante vā vātāḥ sphurati girimallīparimalā-	vahante vA vAtAH sPurati giri-mallI-parimalA-
   stadaivāsmākīnāṃ giramupaharethā murabhidi ||64	stadA-eva-asmAkInAm giram-upahareTAH muraBidi ||64
   purātiṣṭhan goṣṭhān nikhilaramaṇībhyaḥ priyatayā	purA-atizWan gozWAn niKila-ramaNIByaH priya-tayA
   bhavān yasyāṃ gopīramaṇa vidadhe gauravabharam |	BavAn yasyAm gopI-ramaNa vidaDe gOrava-Baram |
   sakhī tasyā vijñāpayati lalitā dhīralalita	saKI tasyAH vijQApayati lalitA DIra-lalita
   praṇamya śrīpādāmbujakanakapīṭhīparisare ||65	praNamya SrI-pAda-ambuja-kanaka-pIWI-parisare ||65
   prayatnādābālyaṃ navakamalinīpallavakulai-	prayatnAt-AH-bAlyam nava-kamalinI-pallava-kulE-
   stvayā bhūyo yasyāḥ kṛtamahaha saṃvardhanamabhūt |	stvayA BUyas yasyAH kRtam-ahaha saMvarDanam-aBUt |
   cirādūdhobhāraṃ sphuraṇaparamākrāntajaghanā	cira-adUDas-BAram sPuraNa-parama-AkrAnta-jaGanA
   babhūva praṣṭhauhī muramathana seyaṃ kapalikā ||66	baBUva prazWOhI muramaTana sA-iyam kapalikA ||66
   samīpe nīpānāṃ tricaturadalā hanta gamitā	samIpe nIpAnAm tricatura-dalA hanta gamitA
   tvayā yā mākandapriyasahacarībhāvaniyatim |	tvayA yA mAkanda-priya-sahacarIBAva-niyatim |
   iyaṃ sā vāsantī galadamalamādhvīkapaṭalī-	iyam sA vAsantI galat-amala-mADvIka-pawalI-
   miṣādagre gopīramaṇa rudatī rodayatī naḥ ||67	mizAt-agre gopIramaNa rudatI rodayatI naH ||67
   prasūto devakyā madhumathana yaḥ ko.api puruṣaḥ	prasUtaH devakyAH maDumaTana yaH ko.api puruzaH
   sa yāto gopālābhyudayaparamānandavasatim |	sa yAtaH gopAla-aByudaya-paramAnanda-vasatim |
   dhṛto yo gāndhinyā kaṭhinajaṭhare samprati tataḥ	DRtaH yaH gAnDinyA kaWina-jaWare samprati tatas-
   samantādevāstaṃ śiva śiva gatā gokulakathā ||68	samantAt-eva-aH-tam Siva Siva gatA gokula-kaTA ||68
   ariṣṭenoddhatāḥ paśupasudṛśo yāti vipadaṃ	arizwena-udDatAH paSupa-sudRSaH yAti vipadam
   tṛṇāvartākrānto racayati bhayaṃ catvaracayaḥ |	tRNa-Avarta-AkrAntaH racayati Bayam catvara-cayaH |
   amī vyomībhūtā vrajavasatibhūmī parisarā	amI vyomIBUtA vraja-vasati-BUmI parisarA
   vahante santāpaṃ murahara vidūraṃ tvayi gate ||69	vahante santApam mura-hara vidUram tvayi gate ||69
   tvayā nāgantavyaṃ kathamapi hare goṣṭhamadhunā	tvayA na-Agantavyam kaTam-api hare gozWa-maDunA
   latā śreṇī vṛndāvanabhuvi yato.abhūdviṣamayī |	latA SreNI vRndAvana-Buvi yatas-.aBUt-viza-mayI |
   prasūnānāṃ gandhaṃ madhumathana tadā vātanihitaṃ	prasUnAnAm ganDam maDumaTana tadA vAta-nihitam
   bhajan sadyo mūrcchāṃ vahati nivaho gopasudṛśām ||70	Bajan sadyas mUrcCAm vahati nivahaH gopa-sudRSAm ||70
   kathaṃ saṅgo.asmābhiḥ saha samucitaḥ samprati hare-	kaTam saFgaH-.asmABiH saha samucitaH samprati hare-
   rayaṃ grāmyā nāryastvamasi nṛpakanyārcitapadaḥ |	rayam grAmyAH nAryaH-tvam-asi nRpa-kanyA-arcita-padaH |
   gataḥ kālo yasmin paśuparamaṇīsaṅgamakṛte	gataH kAlaH yasmin paSuparamaNI-saFgama-kRte
   bhavān vyagrastasthau tamasi gṛhavāṭiviṭapini ||71	BavAn vyagraH-tasTO tamasi gRha-vAwi-viwapini ||71
   vayaṃ tyaktāḥ svāmin yadi tava kiṃ dūṣaṇamidaṃ	vayam tyaktAH svAmin yadi tava kim dUzaNam-idam
   nisargaḥ śyāmānāmayamatitarāṃ duṣpariharaḥ |	nisargaH SyAmAnAm-ayam-atitarAm duzpariharaH |
   kuhūkaṇṭhairaṇḍāvadhi saha nivāsāt paricitā	kuhUkaNWEH-aNxa-avaDi saha nivAsAt paricitA
   visṛjyante sadyaḥ kalitanavapakṣairvalibhujaḥ ||72	visRjyante sadyas kalita-nava-pakzEH-vali-BujaH ||72
   ayaṃ pūrvo raṅgaḥ kila paricito yasya tarasā	ayam pUrvaH raFgaH kila paricitaH yasya tarasA
   rasādākhyātavyaṃ parikalaya tan nāṭakamidam |	rasAt-AKyAtavyam parikalaya tat nAwakam-idam |
   mayā praṣṭavyo.asi prathamamiti vṛndāvanapate	mayA prazwavyaH-.asi praTamam-iti vRndAvana-pate
   kimāhā rādheti smarasi hatakaṃ varṇayugalam ||73	kim-AhA rADA-iti smarasi hatakam varNa-yugalam ||73
   aye kuñjadroṇīkuharagṛhamedhin kimadhunā	aye kuQja-droNI-kuhara-gRham-eDin kim-aDunA
   parokṣaṃ vakṣyante paśuparamaṇīdurniyatayaḥ |	parokzam vakzyante paSuparamaNI-durniyatayaH |
   pravīṇā gopīnāṃ tava caraṇapadme.api yadiyaṃ	pravINA gopInAm tava caraNa-padme.-api yat-iyam
   yayau rādhā sādhāraṇasamucitapraśnapadavīm ||74	yayO rADA sADAraNa-samucita-praSna-padavIm ||74
   tvayā goṣṭhaṃ goṣṭhītilaka kila cedvismṛtamidaṃ	tvayA gozWam gozWI-tilaka kila ced-vismRtam-idam
   na tūrṇaṃ dhūmorṇāpatirapi vidhatte yadi kṛpām |	na tUrNam DUmorNA-patiH-api viDatte yadi kRpAm |
   aharvṛndaṃ vṛndāvanakusumapālīparimalair	ahar-vRndam vRndAvana-kusuma-pAlI-parimalEH-
   darālokaṃ śokāspadamiva kathaṃ neṣyati sakhī ||75	dara-Alokam Soka-Aspadam-iva kaTam nezyati saKI ||75
   taraṅgaiḥ kurvāṇā śamanabhaginīlāghavamasau	taraFgEH kurvANA Samana-BaginI-lAGavam-asO
   nadīṃ kāṃcidgoṣṭhe nayanajalapūrairajanayat |	nadIm kAMcid-gozWe nayana-jala-pUrEH-ajanayat |
   itīvāsyā dveṣādabhimatadaśāprārthanamayīṃ	iti-iva-asyAH dvezAt-aBimata-daSA-prArTana-mayIm
   murāre vijñaptiṃ niśamayati mānī na śamanaḥ ||76	murAre vijQaptim niSamayati mAnI na SamanaH ||76
   kṛtākṛṣṭikrīḍaṃ kimapi tava rūpaṃ mama sakhī	kRta-AkRzwi-krIxam kim-api tava rUpam mama saKI
   sakṛddṛṣṭvā dūrādahitahitabodhojjhitamatiḥ |	sakRt-dRzwvA dUrAt-ahita-hita-boDa-ujJita-matiH |
   hatā seyaṃ premānalamanu viśantī sarabhasaṃ	hatA sA-iyam prema-analam-anu viSantI saraBasam
   pataṅgīvātmānaṃ murahara muhurdāhitavatī ||77	pataFgI-iva-AtmAnam mura-hara muhur-dAhitavatI ||77
   mayā vācyaḥ kiṃ vā tvamiha nijadoṣāt paramasau	mayA vAcyaH kim vA tvam-iha nija-dozAt paramasO
   yayau mandā vṛndāvanakusumabandho vidhuratām |	yayO mandAH vRndAvana-kusuma-banDaH viDura-tAm |
   yadarthaṃ duḥkhāgnirvikṛśati tamadyāpi hṛdayān	yad-arTam duHKa-agniH-vikRSati tam-adya-api hRdayAn
   na yasmāddurmedhā lavamapi bhavantaṃ davayati ||78	na yasmAt-durmeDA lavam-api Bavantam davayati ||78
   trivakrāho dhanyā hṛdayamiva te svaṃ puramasau	trivakrA-aho DanyA hRdayam-iva te svam puram-asO
   samāsādya svairaṃ yadiha vilasantī nivasati |	samAsAdya svEram yat-iha vilasantI nivasati |
   dhruvaṃ puṇyabhraṃśādajani saraleyaṃ mama sakhī	Druvam puNya-BraMSAt-ajani saralA-iyam mama saKI
   praveśastatrābhūt kṣaṇamapi yadasyā na sulabhaḥ ||79	praveSaH-tatra-aBUt kzaNam-api yat-asyAH na sulaBaH ||79
   kimāviṣṭā bhūtaiḥ sapadi yadi vākrūraphaṇinā	kim-AvizwA BUtEH sapadi yadi vA-akrUra-PaNinA
   kṣatāpasmāreṇa cyutamatirakasmāt kimapatat |	kzata-apasmAreNa cyuta-matirakasmAt kim-apatat |
   iti vyagrairasyāṃ gurubhirabhitaḥ kīcakarava-	iti vyagrEH-asyAm guruBiH-aBitas kIca-karava-
   śravādaspandāyāṃ murahara vikalpā vidadhire ||80	SravAt-a-spandAyAm mura-hara vikalpAH vidaDire ||80
   navīneyaṃ sampratyakuśalaparīpākalaharī-	navInA-iyam samprati-akuSala-parIpAka-laharI-
   nirīṇarti svairaṃ mama sahacarīcittakuhare |	nirINa-rti svEram mama sahacarI-citta-kuhare |
   jagannetraśreṇīmadhuramathurāyāṃ nivasata-	jagat-netra-SreNI-maDura-maTurAyAm nivasata-
   ścirādārtā vārtāmapi tava yadeṣā na labhate ||81	ScirAt-ArtA vArtAm-api tava yat-ezA na laBate ||81
   janān siddhādaśān namati bhajate māntrikagaṇān	janAn sidDAdaSAn namati Bajate mAntrika-gaNAn
   vidhatte śuśrūṣāmadhikavinayenauṣadhavidām |	viDatte SuSrUzAm-aDika-vinayena-OzaDa-vidAm |
   tvadīkṣādīkṣāyai paricarati bhaktyā girisutāṃ	tvad-IkzA-dIkzAyE paricarati BaktyA girisutAm
   manīṣā hi vyagrā kimapi śubhahetuṃ na manute ||82	manIzA hi vyagrA kim-api SuBa-hetum na manute ||82
   paśūnāṃ pātāraṃ bhujagaripuputrapraṇayinaṃ	paSUnAm pAtAram Bujaga-ripu-putra-praNayinam
   smarodvardhikrīḍaṃ niviḍaghanasāradyutiharam |	smara-udvarDi-krIxam nivixa-GanasAra-dyuti-haram |
   sadābhyarṇe nandīśvaragiribhuvo raṅgarasikaṃ	sadA-aByarNe nandISvara-giri-BuvaH raFga-rasikam
   bhavantaṃ kaṃsāre bhajati bhavadāptyai mama sakhī ||83	Bavantam kaMsAre Bajati Bavat-AptyE mama saKI ||83
   bhavantaṃ santaptā vidalitatamālāṅkurarasai-	Bavantam santaptA vidalita-tamAla-aFkura-rasE-
   rvilikhya bhrūbhaṅgīkṛtamadanakodaṇḍakadanam |	rviliKya BrU-BaFgIkRta-madana-kodaNxa-kadanam |
   nidhāsayantī kaṇṭhe tava nijabhujāvallarīmasau	niDAsayantI kaNWe tava nija-BujA-vallarIm-asO
   dharanyāmunmīlajjāḍimaniviḍāṅgī viluṭhati ||84	DaranyAm-unmIlat-jAxima-nivixa-aFgI viluWati ||84
   kadācin mūḍheyaṃ niviḍabhavadīyasmṛtimadā-	kadAcid mUXA-iyam nivixa-BavadIya-smRti-madA-
   damandādātmānaṃ kalayati bhavantaṃ mama sakhī |	damandAt-AtmAnam kalayati Bavantam mama saKI |
   tathāsyā rādhāyā virahadahanākalpitadhiyo	taTA-asyAH rADAyAH viraha-dahana-akalpita-Diyo
   murāre duḥsādhyā kṣaṇamapi na bādhā viramati ||85	murAre duHsADyA kzaNam-api na bADA viramati ||85
   tvayā santāpānāmupari parimuktātirabhasā-	tvayA santApAnAm-upari parimukta-ati-raBasA-
   didānīmāpede tadapi tava ceṣṭāṃ priyasakhī |	didAnIm-Apede tat-api tava cezwAm priya-saKI |
   yadeṣā kaṃsāre bhidurahṛdayaṃ tvāmavayati	yat-ezA kaMsAre Bidura-hRdayam tvAm-avayati
   satīnāṃ mūrdhanyā bhidurahṛdayābhūdanudinam ||86	satInAm mUrDanyA Bidura-hRdaya-aBUt-anudinam ||86
   samakṣaṃ sarveṣāṃ viharasi madādhipraṇayinām	samakzam sarvezAm viharasi mada-aDi-praNayinAm
   iti śrutvā nūnaṃ gurutarasamādhiṃ kalayati |	iti SrutvA nUnam gurutara-samADim kalayati |
   sadā kaṃsārāte bhajasi yamināṃ netrapadavīm	sadA kaMsArAte Bajasi yaminAm netra-padavIm
   iti vyaktaṃ sajjībhavati yamamālocitumapi ||87	iti vyaktam sajjIBavati yamam-Alocitum-api ||87
   murāre kālindīsaliladaladindīvararuce	murAre kAlindI-salila-dalat-indI-vara-ruce
   mukunda śrīvṛndāvanamadana vṛndārakamaṇe |	mukunda SrI-vRndAvana-madana vRndAraka-maNe |
   vrajānandin nandīśvaradayita nandātmaja hare	vraja-Anandin nandISvara-dayita nanda-Atmaja hare
   sadeti krandantī parijanaśucaṃ kandalayati ||88	sadA-iti krandantI parijana-Sucam kandalayati ||88
   samantāduttaptastava virahadāvāgniśikharayā	samantAt-uttaptaH-tava viraha-dAva-agni-SiKarayA
   kṛtodvegaḥ pañcāśugamṛgayuvedha vyatikaraiḥ |	kRta-udvegaH paQca-aSu-ga-mRgayu-veDa vyatikarEH |
   tanūbhūtaṃ sadyastanuvanamidaṃ hāsyati hare	tanUBUtam sadyas-tanu-vanam-idam hAsyati hare
   haṭhādadya śvo vā mama sahacarīprāṇahariṇaḥ ||89	haWAt-adya Svas vA mama sahacarI-prANa-hariNaH ||89
   payorāśisphītatviṣi himakarottaṃsamadhure	payaH-rASi-sPIta-tvizi hima-kara-uttaMsa-maDure
   dadhāne dṛgbhaṅgyā smaravijayirūpaṃ mama sakhī |	daDAne dRS-BaFgyA smara-vijayi-rUpam mama saKI |
   hare dattasvāntā bhavati tadimāṃ kiṃ prabhavati	hare datta-sva-antA Bavati tat-imAm kim praBavati
   smaro hantuṃ kintu vyathayati bhavān eva kutukī ||90	smaraH hantum kintu vyaTayati BavAn eva kutukI ||90
   vijānīme bhāvaṃ paśuparamaṇīnāṃ yadumaṇe	vijAnIme BAvam paSu-para-maNInAm yadumaNe
   na jānīmaḥ kasmāt tadapi tava māyā racayati |	na jAnImaH kasmAt tat-api tava mAyA racayati |
   samantādadhyātmaṃ yadiha pavanavyādheralapa-	samantAt-aDyAtmam yat-iha pavana-vyADeH-alapa-
   dbalādasyāstena vyasanakulameva dviguṇitam ||91	dbalAt-asyAH-tena vyasana-kulam-eva dvi-guNitam ||91
   gurorantevāsī sa bhajati yadūnāṃ sacivatāṃ	guroH-antevAsI sa Bajati yadUnAm sacivatAm
   sakhīyaṃ kālindī kila bhavati kālasya bhaginī |	saKI-iyam kAlindI kila Bavati kAlasya BaginI |
   bhavedanyaḥ ko vā narapatipure matparicito	Bavet-anyaH kaH vA narapati-pure mad-paricitaH-
   daśāmasyāḥ śaṃsan yadutilaka yastvāmanunayet ||92	daSAm-asyAH SaMsan yadu-tilaka yaH-tvAm-anunayet ||92
   viśīrṇāṅgīmantarvraṇaviluṭhanādutkalikayā	viSIrNa-aFgIm-antar-vraNa-viluWanAt-utkalikayA
   parītāṃ bhūyasyā satatamuparāgavyatikarām |	parItAm BUyasyA satatam-uparAga-vyatikarAm |
   paridhvastāmodāṃ viramitasamastālikutukāṃ	pariDvasta-AmodAm viramita-samasta-ali-kutukAm
   vidho pādasparśādapi sukhaya rādhākumudinīm ||93	viDo pAda-sparSAt-api suKaya rADA-kumudinIm ||93
   vipattibhyaḥ prāṇān kathamapi bhavatsaṅgamasukha-	vipattiByaH prANAn kaTam-api Bavat-saFgam-asuKa-
   spṛhādhīnā śaure mama sahacarī rakṣitavatī |	spRhA-aDInA SOre mama sahacarI rakzitavatI |
   atikrānte sampraty avadhidivase jīvanavidhau	atikrAnte samprati avaDi-divase jIvana-viDO
   hatāśā niḥśaṅkaṃ vitarati dṛśau cutamukule ||94	hata-ASA niHSaFkam vitarati dRSO cuta-mukule ||94
   pratīkārārambhaślathamatibhirudyatpariṇate-	pratIkAra-AramBa-SlaTam-atiBiH-udyat-pariNate-
   rvimuktāyā vyaktasmarakadanabhājaḥ parijanaiḥ |	rvi-muktAyAH vyakta-smara-kadana-BAjaH parijanEH |
   amuñcantī saṅgaṃ kuvalayadṛśaḥ kevalamasau	amuQcantI saFgam kuvalaya-dRSaH kevalam-asO
   kalādadya prāṇān avati bhavāśāsahacarī ||95	kalAt-adya prANAn avati Bava-ASa-asahacarI ||95
   aye rāsakrīḍārasika mama sakhyāṃ navanavā	aye rAsa-krIxA-rasika mama saKyAm nava-navA
   purā baddhā yena praṇayalaharī hanta gahanā |	purA badDA yena praNaya-laharI hanta gahanA |
   sa cen muktāpekṣastvamapi dhig imāṃ tulaśakalaṃ	sa ced muktA-apekzaH-tvam-api Dik imAm tula-Sakalam
   yadetasyā nāsānihitamidamadyāpi calati ||96	yat-etasyAH nAsA-nihitam-idam-adya-api calati ||96
   mukunda bhrāntākṣī kimapi yadasaṃkalpitaśataṃ	mukunda BrAnta-akzI kim-api yat-asaMkalpita-Satam
   vidhatte tadvaktuṃ jagati manujaḥ kaḥ prabhavati |	viDatte tat-vaktum jagati manujaH kaH praBavati |
   kadācit kalyāṇī vilapati ya utkaṇṭhitamati-	kadAcid kalyANI vilapati yaH utkaNWita-mati-
   stadākhyāmi svāmin gamaya makarottaṃsapadavīm ||97	stadAKyAmi svAmin gamaya makara-uttaMsa-padavIm ||97
   abhūt ko.api premā mayi murariporyaḥ sakhi purā	aBUt kaH-.api premA mayi murari-poryaH saKi purA
   parāṃ karmāpekṣāmapi tadavalambān na gaṇayet |	parAm karma-apekzAm-api tad-avalambAt na gaNayet |
   tathedānīṃ hā dhik samajani taṭasthaḥ sphuṭamahaṃ	taTA-idAnIm hA Dik samajani tawa-sTaH sPuwam-aham
   bhaje lajjāṃ yena kṣaṇamapi punarjīvitumapi ||98	Baje lajjAm yena kzaNam-api punar-jIvitum-api ||98
   garīyān me premā tvayi paramiti snehalaghutā	garIyAt me premA tvayi param-iti sneha-laGu-tA
   na jīviṣyāmīti praṇayagarimakhyāpanavidhiḥ |	na jIvizyAmi-iti praNaya-garima-KyApana-viDiH |
   kathaṃ nāyāsīti smaraṇaparipāṭīprakaṭanaṃ	kaTam na-AyAsi-iti smaraNa-paripAwI-prakawanam
   harau sandeśāya priyasakhi na me vāgavasaraḥ ||99	harO sandeSAya priya-saKi na me vAc-avasaraH ||99
   amī kuñjaḥ pūrvaṃ na mama dadhire kāmapi mudaṃ	amI kuQjaH pUrvam na mama daDire kAm-api mudam
   drumālīyaṃ cetaḥ sakhi na katiśo nanditavatī |	drumAlIyam cetaH saKi na katiSas nanditavatI |
   idānīṃ paśyaite yugapadapatāpaṃ vidadhate	idAnIm paSya-ete yugapad-apatApam vidaDate
   prabho muktopekṣe bhajati na hi ko vā vimukhatām ||100	praBo mukta-upekze Bajati na hi kaH vA vimuKa-tAm ||100
   kadā premonmīlanmadanamadirākṣī samudayāt	kadA prema-unmIlat-madana-madirAkzI samudayAt-
   balādākarṣantaṃ madhuramuralīkākalikayā |	balAt-Akarzantam maDura-muralIkA-kalikayA |
   muhurbhrāmyaccillīculukitakulastrīvratamahaṃ	muhur-BrAmyat-cillI-culukita-kula-strI-vratam-aham
   vilokeyaṃ līlāmadamiladapāṅgī murabhidam ||101	vilokA-iyam lIlA-Amadamilat-apAFgI muraBidam ||101
   yayau kālaḥ kalyāṇy adhikalitakelī parimalāṃ	yayO kAlaH kalyANi aDikalita-kelI parimalAm
   vilāsārthī yasminn acalakuhare līnavapuṣam |	vilAsa-arTI yasmin acala-kuhare lIna-vapuzam |
   sa māṃ dhṛtvā dhūrtaḥ kṛtakapaṭaroṣāṃ sakhi haṭhā-	sa mAm DRtvA DUrtaH kRta-kapawa-rozAm saKi haWA-
   dakārṣīdākarṣann urasi śaśilekhāśatavṛtām ||102	dakArzIt-Akarzan urasi SaSi-leKA-Sata-vRtAm ||102
   rāṇadbhṛṅgaśreṇīsuhṛdi śaradārambhamadhure	rANat-BRFga-SreNI-suhRdi Sarad-AramBa-maDure
   vanānte cāndrībhiḥ kiraṇalaharībhirdhavalite |	vanAnte cAndrIBiH kiraNa-la-harIBiH-Davalite |
   kadā premoddaṇḍasmarakalahavaitaṇḍikamahaṃ	kadA prema-uddaNxa-smara-kalaha-vEtaNxikam-aham
   kariṣye govindaṃ niviḍabhujabandhapraṇayinam ||103	karizye govindam nivixa-Buja-banDa-praNayinam ||103
   mano me hā kaṣṭaṃ jvalati kimahaṃ hanta karavai	manaH me hA kazwam jvalati kim-aham hanta karavE
   na pāraṃ nāvāraṃ kimapi kalayāmy asya jaladheḥ |	na pAram na-avAram kim-api kalayAmi asya jalaDeH |
   iyaṃ vande mūrdhnā sapadi tamupāyaṃ kathaya māṃ	iyam vande mUrDnA sapadi tam-upAyam kaTaya mAm
   {patāmṛṣye} yasmāddhṛtikaṇikayāpe kṣaṇikayā ||104	{patAmRzye} yasmAt-DRti-kaNikayApe kzaNikayA ||104
   prayāto māṃ hitvā yadi kaṭhinacūḍāmaṇirasau	prayAtaH mAm hitvA yadi kaWina-cUxAmaNiH-asO
   paryātu svacchandaṃ mama samayadharmaḥ kila gatiḥ |	paryAtu svacCandam mama samaya-DarmaH kila gatiH |
   idaṃ soḍhuṃ kā vā prabhavati yataḥ svapnakapaṭā-	idam soXum kA vA praBavati yatas svapnaka-pawA-
   dihāyāto vṛndāvanabhuvi kalān māṃ ramayati ||105	diha-AyAtaH vRndAvana-Buvi kalAt mAm ramayati ||105
   anaucityaṃ tasya vyathayati mano hanta mathurāṃ	anOcityam tasya vyaTayati manaH hanta maTurAm
   tvamāsādya svairaṃ capalahṛdayaṃ vāraya harim |	tvam-AsAdya svEram capala-hRdayam vAraya harim |
   sakhi svapnārambhe punarapi yathā vibhrama madā-	saKi svapna-AramBe punar-api yaTA viBrama madA-
   dihāyāto dhūrtaḥ kṣapayati na me kiṅkiniguṇam ||106	diha-AyAtaH DUrtaH kzapayati na me kiFkiniguNam ||106
   ayi svapno dūre viramatu samakṣaṃ śṛṇu haṭhā-	ayi svapnaH dUre viramatu samakzam SRNu haWA-
   daviśvastā mā bhūriha sakhi manovibhramadhiyā |	daviSvastA mA BUH-iha saKi manaH-viBrama-DiyA |
   vayasyaste govardhanavipinamāsādya kutukā-	vayasyaH-te govarDana-vipinam-AsAdya kutukA-
   dakāṇḍe yadbhūyaḥ smarakalahapāṇḍityamatanot ||107	dakANxe yat-BUyas smara-kalaha-pANxitya-matanot ||107
   amarṣāddhāvantīṃ gahanakuhare sūcitapathāṃ	amarzAt-DAvantIm gahana-kuhare sUcita-paTAm
   tulākoṭikvānaiścakitapadapātadviguṇitaiḥ |	tulA-kowi-kvAnEH-cakita-pada-pAta-dvi-guNitEH |
   vidhīrṣan māṃ harṣottaralanayanāntaḥ sa kutukī	viDIrzan mAm harza-uttarala-nayana-antar sa kutukI
   na vaṃśīmajñāsīdbhuvi karasarojādvigalitām ||108	na vaMSIm-ajQAsIt-Buvi kara-sarojAt-vigalitAm ||108
   aśaktāṃ gantavye kalitanavacelāñcalatayā	aSaktAm gantavye kalita-nava-cela-aQcala-tayA
   latālībhiḥ puṣpasmitaśavalitābhirvirudatīm |	latAlIBiH puzpa-smita-SavalitABiH-virudatIm |
