   āmnāyasya //	AmnAyasya //
   kathañcidupapannatve 'pi prakṛte bājapeyeneṣṭvā bṛhaspatisavena	kaTaQcid-upapanna-tve api prakRte bAja-peyena-izwvA bRhaspati-savena
   yajetetyatreva prayogaikyanirvāhāyāṅgāṅgibhāvasaṃbandhabodhana eva	yajeta-iti-atra-iva prayoga-Ekya-nirvAhAya-aFga-aFgi-BAva-saMbanDa-boDanaH eva
   tattātparyakalpanaucityāt, tacchruterapi kriyādvayasya samabhivyāhāre 'pi	tat-tAtparya-kalpanA-OcityAt, tad-SruteH-api kriyA-dvayasya samaBivyAhAre api
   pradhānakriyāyā abhyarhitatvena tatraivānvayasyocitatvena	praDAna-kriyAyAH aByarhita-tvena tatra-eva-anvayasya-ucita-tvena
   adhyāpanāṅgatvabodhane prāmāṇyācca /	aDyApana-aFga-tva-boDane prAmANyAt-ca /
   aṅgapramāṇabhāvena sākṣātsaṃbandhino 'dhyāpanasya phalaṃ upanayane	aFga-pramANa-BAvena sAkzAt-saMbanDinaH aDyApanasya Palam upanayane
   nirdiśyate iti vaktuṃ śakye paraṃparāsaṃbandhakalpanaṃ tadupapādanasya	nirdiSyate iti vaktum Sakye paraMparA-saMbanDa-kalpanam tad-upapAdanasya
   nirarthakatvācca /	nirarTaka-tvAt-ca /
   ato 'dhyāpanavidhiprayuktamevādhyayanaṃ nārthajñānasādhanatvena	atas aDyApana-viDi-prayuktam-eva-aDyayanam na-arTa-jQAna-sADana-tvena
   svādhyāyādhyayanavidhiprayuktam - ityāhuḥ //	svADyAya-aDyayana-viDi-prayuktam  iti-AhuH //
   (adhyayanasyādhyāpanavidhiprayuktatvanirāsaḥ	(aDyayanasya-aDyApana-viDi-prayukta-tva-nirAsaH
   tatropanayanasyaivādhyāpanavidhiprayuktatvābhāve sutarāṃ adhyayanasya	tatra-upanayanasya-eva-aDyApana-viDi-prayukta-tva-aBAve sutarAm aDyayanasya
   tatprayuktatvābhāva iti nirūpaṇam) tanna ; tathātve	tad-prayukta-tva-aBAvaH iti nirUpaNam) tat-naH ; taTA-tve
   'adhyāpanavidhyanyathānupapattyaiva prayojyavyāpārarūpādhyayanasya	aaDyApana-viDi-anyaTA-anupapattyA-eva prayojya-vyApAra-rUpa-aDyayanasya
   prāptatvena svatantrasvādhyāyādhyayanavidherānarthakyāpitteḥ //	prApta-tvena svatantra-svADyAya-aDyayana-viDeH-AnarTakyApitteH //
   kiñca 'vasante brāhmaṇamupanayīta' ityādividhibhirbrāhmaṇādyarthatvena	kiQca avasante brAhmaNam-upanayIta-a ityAdi-viDiBiH-brAhmaNa-Adi-arTa-tvena
   pratīyamānamupanayanaṃ tadīyakāryādhyayanāṅgatvenaiva nirvāhyam,	pratIyamAnam-upanayanam tadIya-kArya-aDyayana-aFga-tvena-eva nirvAhyam,
   natvanyadīyakāryādhyāpanāṅgatvena ;	na-tu-anyadIya-kArya-aDyApana-aFga-tvena ;
   upanayanajanyācāryaprītirūpadṛṣṭasaṃskārasya viniyogākāṅkṣāyāṃ	upanayana-janya-AcArya-prIti-rUpa-dRzwa-saMskArasya viniyoga-AkAFkzAyAm
   adhyayanasyopaneyagatatvenāntaraṅgatvāt, upaneyasya sarvakarmādhikārārthaṃ	aDyayanasya-upaneya-gata-tvena-antaraFga-tva-at, upaneyasya sarva-karma-aDikAra-arTam
   upanayanajanyādṛṣṭarūpasaṃskārasyāvaśyakalpanīyopaneyakāryārthatvavattajja-	upanayana-janyA-dRzwa-rUpa-saMskArasya-avaSya-kalpanIyA-upaneya-kArya-arTa-tva-vat-tajja-
   nyatvāviśeṣeṇopanayanajanyācārya pratyāsattirūpasyadṛṣṭasyāpyupaneya-	nyatva-aviSezeNa-upanayana-janya-AcArya pratyAsatti-rUpasyadRzwasya-api-upaneya-
   kāryārthatvasyaivocitatvāt /	kArya-arTa-tvasya-eva-ucita-tvAt /
   apica upanayanasya bījagarbhasamudbhavainonibarhaṇadvārā	api-ce upanayanasya bIja-garBa-samudBava-enonibarhaNa-dvArA
   māṇavakasaṃskārārthatvaṃ spaṣṭameva	mANavaka-saMskAra-arTa-tvam spazwam-eva
   'gārbhaimairjātakarmacaulamauñjīnibandhanaiḥ /	agArBEmEH-jAtakarma-cOla-mOQjI-nibanDanEH /
   baijikaṃ gārbhikaṃ caino dvijānāmapamṛjyate /	bEjikam gArBikam ca-enaH dvijAnAm-apamRjyate /
   evamenaḥ prayātyāśuḥ bījatvaggarbhasaṃbhava' mityādismṛtiṣu pratīyate /	evam-enaH prayAti-ASuH bIja-tvac-garBa-saMBava-a miti-Adi-smRtizu pratIyate /
   ataeva - karmānadhikṛtayorapi	ataeva  karma-anaDikRtayoH-api
   mūkonmattayorenonibarhaṇārthatvenopanayanāvaśyaṃbhāvamabhipretyaiva	mUka-unmattayoH-ena-UnibarhaNa-arTa-tvena-upanayana-avaSyaMBAvam-aBipretya-eva
   mūkonmattau saṃskāryāviti - kecitpracakṣate /	mUka-unmattO saMskAryO=-iti  kecid-pracakzate /
   'karmasvanadhikarācca pātityaṃ caitayoḥ' iti manunā upanayanābhāvapakṣaḥ	akarmasu-anaDi-karAt-ca pAtityam ca-etayoH-a iti manunA upanayana-aBAva-pakzaH
   keṣāñcitpakṣatvenopanyastaḥ /	kezAQcid-pakza-tvena-upanyastaH /
   ataḥ svatantraphalārthasyopanayanasyādhyāpanāṅgatve pramāṇābhā-	atas svatantra-Pala-arTasya-upanayanasya-aDyApana-aFga-tve pramANa-ABA-
   vādupanayanasyaibādhyāpanavidhiprayuktatvābhāve sutarāṃ	vAdupanayanasya-ebADyApana-viDi-prayukta-tva-aBAve sutarAm
   taddvārapraviṣṭasyādhyayanasya na tadvidhiprayuktatvam //	tad-dvAra-pravizwasya-aDyayanasya na tad-viDi-prayukta-tvam //
   (upanayanāśritavayoviśeṣādīnāmivopanayanasyāpyupaneyārthatvam) ataeva	(upanayana-ASrita-vayaH-viSeza-AdInAm-iva-upanayanasya-api-upaneya-arTa-tvam) ataeva
   'saptame brahmavarcasakāmaṃ' 'aṣṭame	asaptame brahmavarcasa-kAmama aazwame
   āyuṣkāma'-mityādiguṇavidhibhirupanayanāśritavayoviśeṣalakṣaṇaguṇānāṃ	AyuzkAma-a-m-iti-Adi-guNa-viDiBiH-upanayana-ASrita-vayaH-viSeza-lakzaNa-guNAnAm
   upaneyārthatvādupanayanasyāpi tadāśrayasya tadarthatvena yuktam ;	upaneya-arTa-tvAt-upanayanasya-api tad-ASrayasya tad-arTa-tvena yuktam ;
   pradhānaguṇaphalayorekāśrayatvasyotsargasiddhatvasya tathā	praDAna-guNa-PalayoH-eka-ASraya-tvasya-utsarga-sidDatvasya taTA
   kāmor'thasaṃyogādityadhikaraṇe darśitatvāt /	kAmor-aTa-saMyogAt-iti-aDikaraNe darSita-tvAt /
   ataeva 'yadi kāmayeta varṣukaḥ parjanyaḥ syādi'ti vākye	ataeva ayadi kAmayeta varzukaH parjanyaH syAt-i-ati vAkye
   sadomānakarturadhvaryoḥ kāmanāṃ vihāya yajamānasyaiva kāmanā vivakṣitā	sadomAna-kartuH-aDvaryoH kAmanAm vihAya yajamAnasya-eva kAmanA vivakzitA
   saṃgacchate /	saMgacCate /
   nahi gītikriyārūpasāmasaṃskāryatvena tatpradhānabhūtāmevarcaṃ dvārīkṛtya	na-hi gIti-kriyA-rUpa-sAma-saMskArya-tvena tad-praDAna-BUtAm-eva-Rcam dvArIkRtya
   sāmno guṇiniṣṭhaguṇābhidhānarūpastutisādhanatvena stotrāṅgatvasyāpi 'sāmnā	sAmnaH guNi-nizWa-guNa-aBiDAna-rUpa-stuti-sADana-tvena stotra-aFga-tvasya-api asAmnA
   stuvīte'ti vacanena bodhanavadihādhyayanāṅgasyāpi	stuvIte-ati vacanena boDana-vat-iha-aDyayana-aFgasya-api
   upanayanasyādhyāpananivartanadvārādhyayanāṅgatvasya bodhane	upanayanasya-aDyApana-nivartana-dvAra-aDyayana-aFga-tvasya boDane
   kiñcidvacanamasti, yenobhayāṅgatvaṃ syāt //	kiQcid-vacanam-asti, yena-uBaya-aFga-tvam syAt //
   (upanīya tu ityādīnāṃ āśaucādinimittasvamaraṇavadācāryasvarūpaparatvam)	(upanIya tu ityAdInAm ASOca-Adi-nimitta-sva-maraNa-vat-AcArya-svarUpa-paratvam)
   'upanīyatu yaḥ śiṣyam' iti smṛteḥ, 'na vidyayā kevalayā tapasā vāpi	aupanIyatu yaH Sizyam-a iti smRteH, ana vidyayA kevalayA tapasA vA-api
   pātratā /	pAtra-tA /
   yatra vṛttamime cobhe taddhi pātraṃ pracakṣate' iti smṛteśrca /	yatra vRttam-ime ca-uBe tat-hi pAtram pracakzate-a iti smRteSrca /
   tribhiḥ pātratvakathanamātrārthatvavat nādhyāpanamātreṇācāryo bhavati,	triBiH pAtra-tva-kaTana-mAtra-arTa-tva-vat na-aDyApana-mAtreNa-AcAryaH Bavati,
   kintu upanayayenāpi ityetāvanmātrakathane tātparyāt /	kintu upanayayena-api iti-etAvat-mAtra-kaTane tAtparyAt /
   tatphalaṃ ca yathā dānādau tādṛśapātrasyaiva saṃpradānatvam, evaṃ	tad-Palam ca yaTA dAna-AdO tAdRSa-pAtrasya-eva saMpradAna-tvam, evam
   tādṛśācāryasyeva svamaraṇanimittādyāśaucādeḥ śiṣyeṇācārye	tAdRSa-AcAryasya-iva sva-maraNa-nimitta-Adya-aSOca-AdeH SizyeNa-AcArye
   nāticaritavyamityādiśāstrasiddhatadanatikramādeśrca prayojakatvameva /	na-ati-caritavyam-iti-Adi-SAstra-sidDa-tad-anatikrama-AdeSH-ca prayojaka-tvam-eva /
   anye - 'niṣekādikakarmāṇiḥ yaḥ karoti yathāvidhi /	anye  anizeka-Adika-karmANiH yaH karoti yaTAviDi /
   saṃbhāvayati cāntena sa vipro gururucyate /	saMBAvayati ca-antena sa vipraH guruH-ucyate /
   sa gururyaḥ kriyāḥ kṛtvā vedamasmai prayacchati' //	sa guruH-yaH kriyAH kRtvA vedam-asmE prayacCati-a //
   ityādismṛtibalāt niṣekādicaulāntakarmaṇāṃ adhyāpanāṅgatvāpatteḥ /	ityAdi-smRti-balAt nizeka-Adi-cOla-anta-karmaNAm aDyApana-aFga-tva-ApatteH /
   yathācaivaṃsatyakartṛgāmiphalavivakṣayā viśeṣasūtreṇa	yaTA-ca-evaMsati-akartR-gAmi-Pala-vivakzayA viSeza-sUtreNa
   vihitādātmanepadādeva māṇavakādisaṃskāradvārā adhyayanāṅgatvaṃ	vihitAt-AtmanA-ipadAt-eva mANavaka-Adi-saMskAra-dvArAH aDyayana-aFga-tvam
   tathopapāditaṃ - nakṣatravādāvalyām //	taTA-upapAditam  nakzatra-vAda-AvalyAm //
   (nityasyopanayanasya kāmyādhyāpanāprayuktatvam) evaṃ	(nityasya-upanayanasya kAmya-aDyApanA-prayukta-tvam) evam
   saptāṣṭavarṣatvāderuddeśyaviśeṣaṇasya vivakṣā upapādayiṣyate	sapta-azwa-varza-tva-AdeH-uddeSya-viSezaNasya vivakzA upapAdayizyate
   pūjyapādairādhānādhikaraṇe /	pUjya-pAdEH-ADAna-aDikaraNe /
   atastamadhyāpayīteti tacchabdaparāmṛṣṭasyopanayanasya	atas-tam-aDyApayIta-iti tad-Sabda-parAmRzwasya-upanayanasya
   prayojyabhūtādhyayanavyāpāra evānvayāt ātmanepadasya	prayojya-BUta-aDyayana-vyApAraH eva-anvayAt AtmanA-ipadasya
   cādhyayanasyādhyāpanopakārakatvamātreṇāpyupapādayituṃ śakyatvāt 'ata	ca-aDyayanasya-aDyApana-upakAraka-tva-mAtreNa-api-upapAdayitum Sakya-tvAt aata
   ūrdhvaṃ trayo 'pyete yathākālamasaṃskṛtāḥ /	UrDvam trayaH api-ete yaTAkAlam-asaMskRtAH /
   sāvitrīpatitā vrātyā bhavantyarthavigarhitāḥ /	sAvitrIpatitAH vrAtyAH Bavanti-arTa-vigarhitAH /
   yo 'nadhītya dvijo vedānanyatra kurute śramam /	yaH anaDItya dvijaH vedAn-anyatra kurute Sramam /
   sa jīvanneva śūdratvamāśu gacchati sānvayaḥ' /	sa jIvan=-eva SUdra-tvam-ASu gacCati sa-anvayaH-a /
   ityādismṛtibhirupanayanādhyayanayoḥ nityayoḥ	ityAdi-smRtiBiH-upanayana-aDyayanayoH nityayoH
   kāmyādhyāpanavidhiprayuktatvāyogādarthajñānārthā1dhyayanavidhi-	kAmya-aDyApana-viDi-prayukta-tva-ayogAt-arTa-jQAna-arTa-a1Dyayana-viDi-
   prayuktamevādhyayan /	prayuktam-eva-aDyayan /
   tatraiva yāvat vedasamāptyācāryādhīnatvasya	tatra-eva yAvat veda-samApti-AcArya-aDIna-tvasya
   'tapoviśeṣairvividhairvrataiśrca śruticoditaiḥ /	atapaH-viSezEH-viviDEH-vratEH-rca Sruti-coditEH /
   vedaḥ kṛtsno 'dhigantavyaḥ sarahasyo dvijanmanā' iti smṛtyuktadharmāṇāṃ	vedaH kRtsnaH aDigantavyaH sa-rahasyaH dvijanmanAa iti smRti-ukta-DarmANAm
   guruśuśrūṣādīnāṃ anyeṣāṃ ca nirvighnaparisamāptidvārā iti	guru-SuSrUzA-AdInAm anyezAm ca nirviGna-parisamApti-dvArAH iti
   kartavyatātvenānvayaḥ /	kartavya-tA-tvena-anvayaH /
   yattu - etādṛśāṅgaviṣeṣaṇāṃ kevalārthajñānarūpadṛṣṭārthopayogāsaṃbhavāt	yat-tu  etAdRSa-aFga-vizezaNAm kevala-arTa-jQAna-rUpa-dRzwa-arTa-upayoga-asaMBavAt
   yūpatvādivadalaukikasaṃskāragarbhaṃ svādhyāyatvamaṅgīkṛtya tatraivopayoga	yUpa-tva-Adi-vat-alOkika-saMskAra-garBam svADyAya-tvam-aFgIkRtya tatra-eva-upayoga
   iti - kaiśrciduktaṃ, tacchiṣṭākopādhikaraṇe kaustubhe pūjyapādairdūṣitaṃ	iti  kESrcit-uktaM, tad-SizwAka-upADi-karaNe kOstuBe pUjya-pAdEH-dUzitam
   tatraiva draṣṭavyam /	tatra-eva drazwavyam /
   nahi yāvadvedasamāptyācāryādhīnena smṛtyuktaṃśuśrūṣādiniyamaiḥ	na-hi yAvat-veda-samApti-AcArya-aDInena smRti-uktaMSu-SrUzA-Adi-niyamEH
   tadupāsanapareṇa svataḥ sarvavarṇādibhraṃśarāhityena	tad-upAsana-pareNa svatas sarva-varNa-Adi-BraMSarAhityena
   kleśasādhyamadhyayanaṃ anyapuruṣānatyācāryakaraṇarūpaphalārthaṃ	kleSa-sADyam-aDyayanam anya-puruzAn-ati-AcArya-karaNa-rUpa-Pala-arTam
   kathamapyanuṣṭhātuṃ śakyate /	kaTam-api-anuzWAtum Sakyate /
   tasmāddravyārjanopāyatvena pratigrahādivadadhyāpanamapi prāptam //	tasmAt-dravya-arjana-upAya-tvena pratigraha-Adi-vat-aDyApanam-api prAptam //
   <B1> nārthādhya1yanavidhiprayuktamevādhyayanam /	<B1> na-arTa-aDya1yana-viDi-prayuktam-eva-aDyayanam /
   tatraiva yāvat vedasamāptyācāryādhīnatvasya	tatra-eva yAvat veda-samApti-AcArya-aDIna-tvasya
   "tapoviśeṣairvividhairvrataiśca śruticoditaiḥ /	"tapaH-viSezEH-viviDEH-vratEH-ca Sruti-coditEH /
   vedaḥ kṛtsno 'dhigantavyaḥ sarahasyo dvijanmanā" iti smṛtyuktadharmāṇāṃ	vedaH kRtsnaH aDigantavyaH sa-rahasyaH dvijanmanA" iti smRti-ukta-DarmANAm
   guruśuśrūṣādīnāṃ anyeṣāṃ ca nirvighnaparisamāptidvārā iti	guru-SuSrUzA-AdInAm anyezAm ca nirviGna-parisamApti-dvArAH iti
   kartavyatātvenānvayaḥ /	kartavya-tA-tvena-anvayaH /
   yattu -- etādṛśāṅgaviśeṣāṇāṃ kevalārthajñānarūpadṛṣṭārthopayogāsaṃbhavāt	yat-tu - etAdRSa-aFga-viSezANAm kevala-arTa-jQAna-rUpa-dRzwa-arTa-upayoga-asaMBavAt
   yūpatvādivadalaukikasaṃskāragarbhaṃ svādhyāyatvamaṅgīkṛtya tatraivopayoga	yUpa-tva-Adi-vat-alOkika-saMskAra-garBam svADyAya-tvam-aFgIkRtya tatra-eva-upayoga
   iti -kaiściduktaṃ, tacchiṣṭākopādhikaraṇe kaustubhe pūjyapādairdūṣitaṃ	iti -kEScid-uktaM, tad-SizwAka-upADi-karaNe kOstuBe pUjya-pAdEH-dUzitam
   tatraiva draṣṭavyapratyayena <B3> (1) F.N.	tatra-eva drazwavya-pratyayena <B3> (1) F.N.
   atrādhvaramīmāṃsākutūhalavṛttikārāḥ--- svādhyāyavidhirakṣaragrahaṇārtha	atra-aDvaramImAMsA-kutUhala-vRtti-kArAH-- svADyAya-viDiH-akzara-grahaNa-arTa
   eva, arthāvabodhastu gṛhītapadatadarthasaṅgatikasya svata eva bhavati,	eva, arTa-avaboDaH-tu gRhIta-pada-tad-arTa-saFgatikasya svatas eva Bavati,
   natu tatrādhyayanavidhervyāpāraḥ; anyathā dharmāvabodhārthatve	na-tu tatra-aDyayana-viDeH-vyApAraH; anyaTA Darma-avaboDa-arTa-tve
   kṛtsnādhyayanābhāvaprasaṅgāt /	kRtsnA-aDyayana-aBAva-prasaFgAt /
   nahi rājasūyādyanadhikāriṇāṃ brāhmaṇādīnāṃ tadadhyayanārthajñānādikaṃ	na-hi rAjasUya-Adi-anaDikAriNAm brAhmaNa-AdInAm tad-aDyayana-arTa-jQAna-Adikam
   prayojanavat /	prayojana-vat /
   ataevoktaṃ vedabhāṣye --- "bodhāntatve 'dhyayanākārtsnyam" iti /	ataeva-uktam veda-BAzye -- "boDa-anta-tve aDyayana-AkArtsnyam" iti /
   pitrādyupadeśajanyārthajñānena yathā saṃdhyopāsanādāvadhikāraḥ, evaṃ	pitR-Adi-upadeSa-janyA-arTa-jQAnena yaTA saMDyA-upAsana-AdO=-aDikAraH, evam
   kratuṣvapīti siddhe tasmin na kāmanā saṃbhavati /	kratuzu-api-iti sidDe tasmin na kAmanA saMBavati /
   kiñcāgnihotrādivākyānāmanantatvānna viśiṣya tadarthoddeśasaṃbhavaḥ,	kiQca-agnihotra-Adi-vAkyAnAm-ananta-tvAt-na viSizya tad-arTa-uddeSa-saMBavaH,
   sāmānyākāreṇoddeśe tu sāmānyataḥ jñānamavādhyayanaphalamiti na	sAmAnya-AkAreNa-uddeSe tu sAmAnyatas jQAnam-avADyayana-Palam-iti na
   vicārasiddhisaṃbhavaḥ /	vicAra-sidDi-saMBavaH /
   vedavākyānāṃ svārthe tātparyāvagamastūpakramādiliṅgairbhaviṣyatīti na	veda-vAkyAnAm sva-arTe tAtparya-avagama-H-tu-upakrama-Adi-liFgEH-Bavizyati-iti na
   kiñcidanupapannam /	kiQcid-anupapannam /
   evañcārthajñānārthādhyayanavidhau na svādhyāyavidhestātparyam /	evaQca-arTa-jQAna-arTa-aDyayana-viDO na svADyAya-viDeH-tAtparyam /
   ataeva "brāhmaṇena niṣkāraṇo vedo 'dhyeyo jñeyaśce" ti	ataeva "brAhmaNena nizkAraNaH vedaH aDyeyaH jQeyaH-ce" ti
   jñānavidhirapyupapadyate ; anyathā tadānarthakyāt /	jQAna-viDiH-api-upapadyate ; anyaTA tadAnarTakyAt /
   nahi sarveṇāpi gṛhītapadatadarthasaṅgatikena bhāvyamiti niyamaḥ;	na-hi sarveNa-api gRhIta-pada-tad-arTa-saFgatikena BAvyam-iti niyamaH;
   avyutpannānāmapi bahuśo darśanena vyabhicārāt /	avyutpannAnAm-api bahuSas darSanena vyaBicArAt /
   astuvā niyamaḥ, evamapyatigahanasya vedārthasya vicāramantarā na	astuvAH niyamaH, evam-api-ati-gahanasya veda-arTasya vicAram-antarA na
   siddhiriti vicāravidhirarthavāneva /	sidDiH-iti vicAra-viDiH-arTavAn-eva /
   kṛtsnavedārthajñānasyādhyayanavidhiprayuktatvābhāvādeva	kRtsna-veda-arTa-jQAnasya-aDyayana-viDi-prayukta-tva-aBAvAt-eva
   kalpasūtrādipraṇayanamarthavat /	kalpa-sUtra-Adi-praNayanam-arTavat /
   brahmamīmāṃsāyāṃ tṛtīyacaturthādyadhikaraṇe "śeṣatvāt puruṣārthavādo	brahmamImAMsAyAm tRtIya-caturTa-Adi-aDikaraNe "Seza-tvAt puruza-arTa-vAdaH-
   yathānyeṣviti jaiminiḥ" iti sūtreṇātmajñānaṃ karmaśeṣabhūtakartudvārā	yaTA-anyezu-iti jEminiH" iti sUtreNa-Atma-jQAnam karma-Seza-BUta-kartu-dvArA
   parṇatādivatkarmāṅgam /	parNata-Adi-vat-karma-aFgam /
   "tarati śokamātmavit" iti phalaśrutistu apāpaślokaśravaṇavadarthavādaḥ iti	"tarati Sokam-Atma-vit" iti Pala-SrutiH-tu apApa-Sloka-SravaNa-vat-arTa-vAdaH iti
   jaiminimataṃ pūrvapakṣatayodbhāvya "tadvato vidhānādī"ti sūtrāntareṇa	jEmini-matam pUrva-pakzatayA-udBAvya "tadvataH viDAna-AdI"ti sUtra-antareNa
   "ācāryakulādvedamadhītye"ti śrutyā sakalavedārthajñānavataḥ	"a-AcArya-kulAt-vedam-aDIti-e"ti SrutyA sakala-veda-arTa-jQAnavataH
   karmavidhānādapi liṅgāt karmāṅgamātmavidyeti svayaṃ yuktyantaramudbhāvya	karma-viDAnAt-api liFgAt karma-aFgam-Atma-vidyA-iti svayam yukti-antaram-udBAvya
   "adhikopadeśānna bādarāyaṇasyaivaṃ taddarśanādi"ti siddhāntamupakṣipya	"aDika-upadeSAt-na bAdarAyaNasya-evam tad-darSana-Adi"ti sidDAntam-upakzipya
   "adhyayanamātrasya śrāvaṇādadhyayanamātravataḥ karmādhikāro	"aDyayana-mAtrasya SrAvaNAt-aDyayana-mAtravataH karma-aDikAraH-
   natvarthajñānavata ityuktatvāt nārthajñānaprayuktamadhyayanamiti	na-tu-arTa-jQAnavataH iti-ukta-tvAt na-arTa-jQAna-prayuktam-aDyayanam-iti
   spaṣṭamevāvagamyate /	spazwam-eva-avagamyate /
   "adhyayanamātravataḥkarmādhikāra ityadhyavasyāmaḥ" iti	"aDyayana-mAtravataH-karma-aDikAraH iti-aDyavasyAmaH" iti
   bhagavatpādabhāṣyādikamapyatra pramāṇam /	Bagavat-pAda-BAzya-Adikam-api-atra pramANam /
   vācaspatimiśrādibhirapyayamarthaḥ samyagupapādita iti tata eva draṣṭavyam	vAcaspati-miSra-AdiBiH-api-ayam-arTaH samyak-upapAditaH iti tatas eva drazwavyam
   evañcārthavādaviṣaye svādhyāyavidhitaḥ phalavadarthaparyavasānālābhāt	evaQca-arTa-vAda-vizaye svADyAya-viDitaH Palavat-arTa-paryavasAna-alABAt
   teṣāṃ vidhyuddeśākāṅkṣānutthānāt na parasparākāṅkṣāyā	tezAm viDi-uddeSa-AkAFkzA-an-utTAnAt na paraspara-AkAFkzAyA
   vidhyarthavādayorekavākyatvām, kintu raktaḥ paṭo bhavatītyatra	viDi-arTa-vAdayoH-eka-vAkya-tvAm, kintu raktaH pawaH Bavati-iti-atra
   kevalaraktapadākāṅkṣayeva vidhyuddeśamātrākāṅkṣayār'thavādānāṃ	kevala-rakta-pada-AkAFkzayA-iva viDi-uddeSa-mAtrA-kAFkzayAr-aTavAdAnAm
   tadekavākyateti bhāṣyānuyāyī sugamaḥ panthā iti ---nirūpayanti //	tat-ekavAkyatA-iti BAzya-anuyAyI sugamaH panTAH iti ---nirUpayanti //
   paramārthatastu -- adhītena svādhyāyenaivārthajñānaṃ saṃpādayet iti	paramArTataH-tu - aDItena svADyAyena-eva-arTa-jQAnam saMpAdayet iti
   niyamavidhirevātra vivakṣitaḥ; nāpūrvavidhiḥ, yena	niyama-viDiH-eva-atra vivakzitaH; na-apUrva-viDiH, yena
   tatrādhyayanavidhivyāpāravaiphalyamāśaṅkyeta /	tatra-aDyayana-viDi-vyApAra-vEPalyam-ASaFkyeta /
   adhyayanasaṃpāditarājasūyādyarthajñānasyāpi brāhmaṇānāṃ yājanādāvupayogo	aDyayana-saMpAdita-rAjasUya-Adi-arTa-jQAnasya-api brAhmaNAnAm yAjana-AdO=-upayogaH-
   vidyate /	vidyate /
   anyeṣāṃ tu brāhmaṇādimātrādhikārikakarmāvabodhādikamadṛṣṭārthaṃ	anyezAm tu brAhmaNa-Adi-mAtra-ADikArika-karma-avaboDa-Adikam-adRzwa-arTam
   bhaviṣyatīti na kṛtsnādhyayanābhāvaprasaṅgaḥ /	Bavizyati-iti na kRtsnA-aDyayana-aBAva-prasaFgaH /
   vedabhāṣyodāhṛtaṃ tu vacanaṃ pūrvapakṣiṇo na siddhāntavighātāyālaṃ bhavati	veda-BAzya-udAhRtam tu vacanam pUrva-pakziNaH na sidDAnta-viGAtAya-alam Bavati
   sādhitaṃhi tatraivārthajñānārthatvamadhyayanasyeti taddarśināṃ viśadameva	sADitaMhi tatra-eva-arTa-jQAna-arTa-tvam-aDyayanasya-iti tad-darSinAm viSadam-eva
   pitrādyupadeśajanyārthajñānenatu na kratvadhikārasiddhiḥ;	pitR-Adi-upadeSa-janyA-arTa-jQAnena-tu na kratu-aDikAra-sidDiH;
   niyamavidhyāśrayaṇāt /	niyama-viDi-ASrayaNAt /
   tattadvākyādhyayanasamanantarasajātāpātajñānena viśiṣya	tad-tad-vAkya-aDyayana-samananta-rasa-jAta-ApAta-jQAnena viSizya
   tattadarthajñānoddeśo 'pi saṃbhavatyeva /	tad-tad-arTa-jQAna-uddeSaH api saMBavati-eva /
   evañca prayojanavadarthajñānārthamevādhyayanamatra vidhīyate /	evaQca prayojana-vat-arTa-jQAna-arTam-eva-aDyayanam-atra viDIyate /
   nahyanyathā vedavākyānāṃ sarveṣāṃ dharmaprāmāṇyaṃ nirvahati /	na-hi-anyaTA veda-vAkyAnAm sarvezAm Darma-prAmANyam nirvahati /
   brāhmaṇena niṣkāraṇa ityatra tu na jñānavidhiḥ; jñānasya	brAhmaNena nizkAraNaH iti-atra tu na jQAna-viDiH; jQAnasya
   vastutantrasyāvidheyatvāt, bhavadupapāditarītyā pitrādyupadeśata eva	vastu-tantrasya-aviDeya-tva-at, Bavat-upapAdita-rItyA pitR-Adi-upadeSataH eva
   saṃdhyopāsanādāvivārthajñānasya kratuṣvapi prāptyā ṣaḍaṅgādhyayanasyāpi	saMDyA-upAsana-AdO=-iva-arTa-jQAnasya kratuzu-api prAptyA zaxaFga-aDyayanasya-api
   vihitatvena sarveṣāmapi gṛhītapadatadarthasaṅgatikatvāvaśyakatvena	vihita-tvena sarvezAm-api gRhIta-pada-tad-arTa-saFgatika-tva-AvaSyaka-tvena
   "sthāṇurayaṃ bhārahāraḥ kilābhūdi" ti niścayātmakajñānasyāpi prāptatvenaca	"sTANuH-ayam BAra-hAraH kila-aBUdi" ti niScaya-Atmaka-jQAnasya-api prApta-tvena-ca
   vicāravidherapyayogāt /	vicAra-viDeH-api-ayogAt /
   niyamavidhinātūpapattiḥ svādhyāyavākye 'pi saṃbhavatīti tatraiva	niyama-viDinA-Atu-upapattiH svADyAya-vAkye api saMBavati-iti tatra-eva
   vicāravyāpāro 'pi /	vicAra-vyApAraH api /
   kevalādhyayanasyānadhīyānā vrātyā bhavantītyanenaiva prāptatvāt /	kevala-aDyayanasya-anaDIyAnAH vrAtyAH Bavanti-iti-anena-eva prApta-tvAt /
   jñeyaśceti adhyayanavidhyapekṣitetikartavyatāsamarpaṇārthameva natu	jQeyaH-ca-iti aDyayana-viDi-apekzita-iti-karta-vyatA-samarpaNa-arTam-eva na-tu
   adhyayanasyārthajñānaprayuktatvaṃ vārayati /	aDyayanasya-arTa-jQAna-prayukta-tvam vArayati /
   athavānuvāda evāyamiti paśyāmaḥ /	aTavA-anuvAdaH eva-ayam-iti paSyAmaH /
