   dvitīya ucchvāsaḥ	dvitIyaH ucCvAsaH
   guṇavati dhanuṣi sahāyabuddhiḥ, na piṇḍopajīvini sevakajane /	guNavati Danuzi sahAya-budDiH, na piNxa-upajIvini sevaka-jane /
   api ca--asya mitropakaraṇamātmā, bhṛtyopakaraṇaṃ prabhutvam,	api ca--asya mitra-upakaraNam-AtmA, BRtya-upakaraNam praBu-tvam,
   paṇḍitopakaraṇaṃ vaidagdhyam, bāndhavopakaraṇaṃ lakṣmīḥ,	paNxita-upakaraNam vEdagDyam, bAnDava-upakaraNam lakzmIH,
   kṛpaṇopakaraṇamaiśvaryam, dvijopakaraṇaṃ sarvasvam,	kRpaNa-upakaraNam-ESvaryam, dvija-upakaraNam sarva-svam,
   sukṛtasaṃsmaraṇopakaraṇaṃ hṛdayam, dharmopakaraṇamāyuḥ, sāhasopakaraṇaṃ	su-kRta-saMsmaraNa-upakaraNam hRdayam, Darma-upakaraNam-AyuH, sAhasa-upakaraNam
   śarīram asilatopakaraṇaṃ pṛthivī, vinodopakaraṇaṃ rājakam,	SarIram asilatA-upakaraNam pRTivI, vinoda-upakaraNam rAjakam,
   pratāpopakaraṇaṃ pratipakṣaḥ /	pratApa-upakaraNam pratipakzaH /
   nāsyālpapuṇyairavāpyate sarvātiśāyisukharasaprasūtiḥ pādapallavacchāyā'	na-asya-alpa-puNyEH-avApyate sarva-atiSAyi-suKa-rasa-prasUtiH pAda-pallava=-CAyA-a
   iti /	iti /
   śrutvā ca tameva candrasenaṃ samādiśat--"kṛtakaśipuṃ viśrāntasukhinamenaṃ	SrutvA ca tam-eva candrasenam samAdiSat--"-kRtakaSipum viSrAnta-suKinam-enam
   kāraya' iti /	kAraya-a iti /
   atha gate tasmin, paryaste ca vāsare,	aTa gate tasmin, paryaste ca vAsare,
   saṃghaṭṭamānaraktapaṅkajasaṃpuṭapīyamāna eva kṣayiṇi kṣāmatāṃ vrajati	saMGawwamAna-rakta-paFkaja-saMpuwa-pIyamAnaH eva kzayiNi kzAma-tAm vrajati
   bālavāyasāsyāruṇe 'parāhṇātape, śithilitanijavājijave	bAla-vAyasa-asya-aruNe aparAhNa-Atape, SiTilita-nija-vAji-jave
   japāpīḍapāṭalimnyastācalaśikharaskhalite khañjatīva	japa-ApIxa-pAwalimni-asta-acala-SiKara-sKalite KaQjati-iva
   kamalinīkaṇṭakakṣatapādapallave pataṅge, puraḥ parāpatati	kamalinI-kaNwaka-kzata-pAda-pallave pataFge, puras parApatati
   preṅkhadandhakāraleśalambālake śaśivirahaśokaśyāma iva śyāmāmukhe,	preFKat-anDa-kAra-leSa-lambAlake SaSi-viraha-Soka-SyAmaH iva SyAmA-muKe,
   kṛtasaṃdhyopāsanaḥ śayanīyamagāt /	kRta-saMDyA-upAsanaH SayanIyam-agAt /
   acintayaccaikākī--kiṃ karomi /	acintayat-ca-ekAkI--kim karomi /
   anyathā sambhāvito 'smi rājñā /	anyaTA samBAvitaH asmi rAjQA /
   nirnimittabandhunā ca saṃdiṣṭamevaṃ kṛṣṇena /	nirnimitta-banDunA ca saMdizwam-evam kRzNena /
   kaṣṭā ca sevā /	kazwA ca sevA /
   viṣamaṃ bhṛtyatvam /	vizamam BRtya-tvam /
   atigambhīraṃ mahadrājakulam /	ati-gamBIram mahat-rAja-kulam /
   na ca me tatra pūrvajapuruṣapravartitā prītiḥ, na kulakramāgatā gatiḥ,	na ca me tatra pUrva-ja-puruza-pravartitA prItiH, na kula-krama-AgatA gatiH,
   nopakārasmaraṇānurodhaḥ, na bālasevāsnehaḥ, na gotragauravam, na	na-upakAra-smaraNa-anuroDaH, na bAla-sevA-snehaH, na gotra-gOravam, na
   pūrvadarśanadākṣiṇyam, na prajñāsaṃvibhāgopapralobhanam, na	pUrva-darSana-dAkziNyam, na prajQA-saMviBAga-upapraloBa-nam, na
   vidyātiśayakutuhalam, nākārasaundaryādaraḥ, na sevākākukauśalam, na	vidyA-atiSaya-kutuhalam, na-AkAra-sOndarI-AdaraH, na sevA-kAku-kOSalam, na
   vidvadgoṣṭhībandhavaidagdhyam, na vittavyayavaśīkaraṇam, na	vidvat-gozWI-banDa-vEdagDyam, na vitta-vyaya-vaSIkaraNam, na
   rājavallabhaparicayaḥ /	rAja-vallaBa-paricayaH /
   avaśyaṃ gantavyañca /	avaSyam gantavyaQca /
   sarvathā bhagavānbhavānīpatirbhuvanapatirgatasya me śaraṇam, sarvaṃ	sarvaTA BagavAn-BavAnI-patiH-Buvana-patiH-gatasya me SaraNam, sarvam
   sāmpratamācariṣyati, ityavadhāryaṃ gamanāya matimakarot /	sAmpratam-Acarizyati, iti-avaDAryam gamanAya matim-akarot /
   athānyasminnahanyutthāya, prātareva snātvā, dhṛtadhavaladukūlavāsāḥ,	aTa-anyasmin=-ahani-utTAya, prAtar-eva snAtvA, DRta-Davala-dukUla-vAsAH,
   gṛhītākṣamālaḥ, prāsthānikāni sūktāni mantrapadāni ca bahuśaḥ samāvartya	gRhIta-akzamAlaH, prAsTAnikAni sUktAni mantra-padAni ca bahuSas samAvartya
   devadevasya virūpākṣasya kṣīrasnapanapuraḥsarāṃ	devadevasya virUpAkzasya kzIra-snapana-puraHsarAm
   surabhikusumadhūpagandhadhvajabalivilepanapradīpakabahulāṃ vidhāya	suraBi-kusuma-DUpa-ganDa-Dvaja-bali-vilepana-pradIpaka-bahulAm viDAya
   paramayā bhaktyā pūjām,	paramayA BaktyA pUjA-m,
   prathamahutataralatilatvagvighaṭanacaṭulamukharaśikhāśekharaṃ	praTama-huta-tarala-tila-tvac-viGawana-cawula-muKara-SiKA-SeKaram
   prājyājyāhutipravardhitadakṣiṇārciṣaṃ bhagavantamāśuśukṣaṇiṃ hutvā, dattvā	prAjya-Ajya-Ahuti-pravarDita-dakziNa-arcizam Bagavantam-ASu-SukzaNim hutvA, dattvA
   dyumnaṃ yathāvidyamānaṃ dvijebhyaḥ, pradakṣiṇīkṛtya prāṅmukhīṃ naicikīm,	dyumnam yaTA-vidyamAnam dvijeByaH, pradakziNIkRtya prAc-muKIm nEcikIm,
   śuvalāṅgarāgaḥ, śuklamālyaḥ, śuklavāsāḥ,	Suvala-aFgarAgaH, Sukla-mAlyaH, Sukla-vAsAH,
   rocanācitradūrvāgrapallavagrathitagirikarṇikākusumakṛtakarṇapūraḥ,	rocanA-citra-dUrvA-agra-pallava-graTita-girikarNikA-kusuma-kRta-karNapUraH,
   śikhāsaktasiddhārthakaḥ, pituḥ kanīyasyā svasrā mātreva snehārdrahṛdayayā	SiKA-sakta-sidDArTakaH, pituH kanIyasyA svasrA mAtR-A-iva sneha-Ardra-hRdayayA
   śvetavāsasā sākṣādiva bhagavatyā mahāśvetayā mālatyākhyayā	Sveta-vAsasA sAkzAt-iva BagavatyA mahA-SvetayA mAlati-AKyayA
   kṛtasakalagamanamaṅgalaḥ, dattāśīrvādo bāndhavavṛddhābhiḥ, abhinanditaḥ	kRta-sakala-gamana-maFgalaH, datta-aSIrvAdaH bAnDava-vRdDABiH, aBinanditaH
   parijanajaratībhiḥ vanditacaraṇairabhyanujñāto gurubhiḥ,	parijana-jaratIBiH vandita-caraNEH-aByanujQAtaH guruBiH,
   abhivāditairāghrātaḥ śirasi kulavṛddhaiḥ, vardhitagamanotsāhaḥ śakunaiḥ,	aBivAditEH-AGrAtaH Sirasi kula-vRdDEH, varDita-gamana-utsAhaH SakunEH,
   mauhūrtikamatena kṛtanakṣatradohadaḥ, śobhane muhūrte	mOhUrtika-matena kRta-nakzatra-doha-daH, SoBane muhUrte
   haritagomayopaliptājirasthaṇḍilasthāpitamasitetarakusumamālāparikṣiptakaṇḍaṃ	harita-gomaya-upalipta-ajira-sTaNxila-sTApitam-asita-itara-kusuma-mAlA-parikzipta-kaNxam
   dattapiṣṭapañcāṅgulapāṇḍuraṃ mukhanihitanavacūtapallavaṃ	datta-pizwa-paQca-aFgula-pANxuram muKa-nihita-nava-cUta-pallavam
   pūrṇakalaśamīkṣamāṇaḥ praṇamya kuladevatābhyaḥ	pUrNa-kalaSam-IkzamANaH praNamya kula-devatAByaH
   kusumaphalapāṇibhirapratirathaṃ japadbhirnijardvijairanugamyamānaḥ,	kusuma-Pala-pANiBiH-apratiraTam japadBiH-nija-rdvijEH-anugamyamAnaH,
   prathamacalitadakṣiṇacaraṇaḥ, prītikūṭānniragāt /	praTama-calita-dakziNa-caraNaH, prIti-kUwAt-niragAt /
   prathame 'hani tu ghamakālakaṣṭaṃ nirudakaṃ niṣpatrapādapaviṣamaṃ	praTame ahani tu Gama-kAla-kazwam nirudakam nizpatra-pAdapa-vizamam
   pathikajananamaskriyamāṇapraveśapādapotkīrṇakātyāyanīpratiyātanaṃ	paTika-jana-namaskriyamANa-praveSa-pAdapa-utkIrNa-kAtyAyanI-pratiyAtanam
   śuṣkamapi pallavitamiva tṛṣitaśvāpadakulalambitalolajihvālatāsahasraiḥ	Suzkam-api pallavitam-iva tRzita-SvApada-kula-lambita-lola-jihvA-latA-sahasrEH
   pulakitamivācchabhallagolāṅgūlalihyamānamadhugolacalitasaraghāsaṃghātaiḥ,	pulakitam-iva-acCaBalla-golAFgUla-lihyamAna-maDu-gola-calita-saraGA-saMGAtEH,
   romāñcitamiva dagdhasthalīrūḍhasthūlābhīrukandalaśataiḥ,	romAQcitam-iva dagDa-sTalI-rUXa-sTUlA-BIru-kandala-SatEH,
   śanaiścaṇḍikāyatanakānanamatikramya mallakūṭanāmānaṃ grāmamagāt /	SanEs-caNxikA-Ayatana-kAnanam-atikramya mallakUwa-nAmAnam grAmam-agAt /
   tatra ca hṛdayanirviśeṣeṇa bhrātrā suhṛdā ca jagatpatināmnā	tatra ca hRdaya-nirviSezeNa BrAtrA suhRdA ca jagatpati-nAmnA
   saṃpāditasaparyaḥ sukhamavasat /	saMpAdita-saparyaH suKam-avasat /
   athāparedyuruttīrya bhagavatīṃ bhāgīrathīṃ yaṣṭigṛhakanāmni vanagrāmake	aTa-aparedyus-uttIrya BagavatIm BAgIraTIm yazwi-gRhaka-nAmni vana-grAmake
   niśāmanayat /	niSAm-anayat /
   anyasmindivase skandhāvāramupamaṇipuramanvajiravati kṛtasanniveśaṃ	anyasmin-divase skanDAvAram-upamaNipuram-anvajiravati kRta-sanniveSam
   samāsasāda /	samAsasAda /
   atiṣṭhacca nātidūre rājabhavanasya /	atizWat-ca na-ati-dUre rAja-Bavanasya /
   nivartitasnānāśanavyatikaro viśrāntaśca mekhalakena saha yāmamātrāvaśeṣe	nivartita-snAna-aSana-vyatikaraH viSrAntaH-ca meKalakena saha yAma-mAtra-avaSeze
   divase bhuktavati bhūbhuji prakhyātānāṃ kṣitibhujāṃ bahūñśibirasaṃni	divase Buktavati BUBuji praKyAtAnAm kzitiBujAm bahUn-SibirasaMni
   veśānvīkṣamāṇaḥ śanaiḥ śanaiḥ paṭṭabandhārthamupasthāpitaiśca	veSAn-vIkzamANaH SanEs SanEs pawwabanDa-arTam-upasTApitEH-ca
   ḍiṇḍimādhirohaṇāyāhṛtaiścābhinavabaddhaiśca vikṣepopārjitaiśca	xiNxima-aDirohaNAya-AhRtEH-ca-aBinava-badDEH-ca vikzepa-upArjitEH-ca
   kauśalikāgataiśca prathamadarśanakutūhalopanītaiśca	kOSalikA-gatEH-ca praTama-darSana-kutUhala-upanItEH-ca
   nāgavīthīpālapreṣitaiśca pallīparivṛḍhaḍhaukitaiśca	nAga-vITIpAla-prezitEH-ca pallI-parivRXa-XOkitEH-ca
   svecchāyuddhakrīḍākautukākāritaiśca dūtasaṃpreṣaṇapreṣitaiśca	sva-icCA-yudDa-krIxA-kOtuka-AkAritEH-ca dUta-saMprezaNa-prezitEH-ca
   dīyamānaiścācchidyamānaiśca mucchamānaiśca yāmāvasthāpitaiśca	dIyamAnEH-ca-AcCidyamAnEH-ca mucCamAnEH-ca yAma-avasTApitEH-ca
   sarvadvīpavijigīṣayā giribhiriva	sarva-dvIpa-vijigIzayA giriBiH-iva
   sāgarasetubandhanārthamekīkṛtairdhvajapaṭapaṭupaṭahaśaṅkhacāmarāṅgarāgaramaṇīyaiḥ	sAgara-setu-banDana-arTam-ekIkRtEH-Dvaja-pawa-pawu-pawaha-SaFKa-cAmara-aFgarAga-ramaNIyEH
   puṣyābhiṣekadivasairiva kalpitairvāraṇendraiḥ śyāmāyamānam,	puzya-aBizeka-divasEH-iva kalpitEH-vAraNa-indrEH SyAmAyamAnam,
   anavaratacalitakhurapuṭaprahatamṛdaṅgaiśca nartayadbhiriva	anavarata-calita-Kura-puwa-prahata-mRdaFgEH-ca nartayadBiH-iva
   rājalakṣmīmupahasadbhiriva sṛkvipuṭaprasṛtaphenāṭṭahāsena javajaḍajaṅghāṃ	rAja-lakzmIm-upahasadBiH-iva sRkvipuwa-prasRta-Pena-awwahAsena java-jaxa-jaFGAm
   hariṇajātimākārayadbhiriva	hariNa-jAtim-AkArayadBiH-iva
   saṃghaṭṭahetorharṣaheṣitenoccairuccaiḥśravasamutpatadbhiriva	saMGawwa-hetoH-harza-hezitena-uccEs-uccEHSrava-samutpatadBiH-iva
   divasakararathaturagaruṣā yakṣāyamāṇamaṇḍanacāmaramālaigaganatalaṃ	divasakara-raTa-turagaruzA yakzAyamANa-maNxana-cAmara-mAlA-Egagana-talam
   turaṅgaistaraṅgāyamāṇam, anyatra preṣitaiśca preṣyamāṇaiśca	turaFgEH-taraFgAyamANam, anyatra prezitEH-ca prezyamANEH-ca
   preṣitapratinivṛttaiśca bahuyojanagamanagaṇanasakhyākṣarāvalībhiriva	prezita-pratinivRttEH-ca bahu-yojana-gamana-gaNana-saKyA-akzara-AvalIBiH-iva
   varāṭikāvalībhirghaṭitamukhamaṇḍanakaistārakitairiva	varAwikA-valIBiH-Gawita-muKa-maNxanakEH-tArakitEH-iva
   saṃdhyātapacchedairaruṇacāmarikāracitakarṇapūraiḥ saraktotpalairiva	saMDyA-Atapa=-CedEH-aruNa-cAmarikA-racita-karNapUrEH sa-rakta-utpalEH-iva
   raktaśāliśāleyairanavaratajhaṇajhaṇāyamānacārucāmīkaraghurughurukamāli	raktaSAli-SAleyEH-anavarata-JaNa-JaNAyamAna-cAru-cAmIkara-GuruGurukamAli
   kairjatkarañjavanairiva raṇitaśūṣkabījakośīśataiḥ	kEH-jat-karaQja-vanEH-iva raNita-SUzka-bIja-koSI-SatEH
   śravaṇopāntapreṅkhatpañcarāgavarṇorṇācitrasūtrajūṭajaṭājālaiḥ	SravaNa-upAnta-preFKat-paQca-rAga-varNa-UrNA-citra-sUtra-jUwa-jawA-jAlEH
   kapikapolakapilaiḥ kramelakakulaiḥ kapilāyamānam, anaytra	kapi-kapola-kapilEH kramelaka-kulEH kapilAyamAnam, anaytra
   śarajjaladharairiva sadyaḥsrutapayaḥpaṭaladhavalatanubhiḥ kalpapādapairiva	Sarad-jalaDarEH-iva sadyas-sruta-payaH-pawala-Davala-tanuBiH kalpa-pAdapEH-iva
   muktāphalajālakajāyamānālokaluptacchāyāmaṇḍalairnārāyaṇanābhipuṇḍarīkairi	muktAPala-jAlaka-jAyamAna-Aloka-lupta=-CAyA-maNxalEH-nArAyaNa-nABi-puNxarIkEH-i
   vāśliṣṭagaruḍapakṣaiḥ kṣīrododdeśairiva dyotamānavikaṭavidrumadaṇḍaiḥ	vASlizwa-garuxa-pakzEH kzIroda-uddeSEH-iva dyotamAna-vikawa-vidruma-daNxEH
   śeṣaphaṇāphalakairivoparisphuratsphītamāṇikyakhaṇḍaiḥ	Seza-PaNA-PalakEH-iva-upari-sPurat-sPIta-mANikya-KaNxEH
   śvetagaṅgāpulinairiva rājahaṃsopasevitairabhibhavadbhiriva	Sveta-gaFgA-pulinEH-iva rAjahaMsa-upasevitEH-aBiBavadBiH-iva
   nidāghasamayamupahasadbhiriva vivasvataḥ pratāpamāpibadbhirivātapaṃ	nidAGa-samayam-upahasadBiH-iva vivasvataH pratApam-Api-badBiH-iva-Atapam
   candralokamayamiva jīvalokaṃ janayadbhiḥ kumudamayamiva kālaṃ	candra-loka-mayam-iva jIva-lokam janayadBiH kumuda-mayam-iva kAlam
   kurvadbhirjyotsnāmayamivavāsaraṃ viracayadbhiḥ phenamayīmiva divaṃ	kurvadBiH-jyotsnA-mayam-iva-vAsaram viracayadBiH Pena-mayIm-iva divam
   darśayadbhirakālakamudīsahasrāṇīvasṛjadbhirupahasadbhiriva śātakratavīṃ	darSayadBiH-akAlaka-mudI-sahasrANI-vasRjadBiH-upahasadBiH-iva SAtakratavIm
   śriyaṃ śvetāyamānairātapatrakhaṇḍaiḥ śvetadvīpāyamānam,	Sriyam SvetAyamAnEH-Atapatra-KaNxEH SvetadvIpAyamAnam,
   kṣaṇadṛṣṭanaṣṭāṣṭadiṅmukhaṃ ca muṣṇadbhiriva bhuvanamākṣepotkṣepadolāyituṃ	kzaNa-dRzwa-nazwa-azwa-diFmuKam ca muzNadBiH-iva Buvanam-Akzepa-utkzepa-dolAyitum
   dinaṃ gatāgatānīva kārayadbhirutsārayadbhiriva	dinam gatAgatAni-iva kArayadBiH-utsArayadBiH-iva
   kunṛpatisamparkakalaṅkakālīṃ kāleyīṃ sthitiṃ	ku-nRpati-samparka-kalaFka-kAlIm kAleyIm sTitim
   vikacaviśadakāśavanapāṇḍuradaśadiśaṃ	vikaca-viSada-kASa-vana-pANxura-daSa-diSam
   śaratsamayamivopapādayadbhirbisatantumayamivāntarikṣamāvirbhāvayadbhi ḥ	Sarad-samayam-iva-upapAdayadBiH-bisa-tantum-ayam-iva-antarikzam-AvirBAvayadhi H
   śaśikararucīnā calatāṃ cāmarāṇāṃ sahasrairdelāyamānam, api ca	SaSi-kara-rucInA calatAm cAmarANAm sahasrEH-delAyamAnam, api ca
   haṃsayūthāymānaṃ karikarṇaśaṅkheḥ, kalpalatāvanāyamānaṃ kadalikābhiḥ,	haMsa-yUTAymAnam kari-karNa-SaFKeH, kalpa-latA-avanAyamAnam kadalikABiH,
   māṇikyavṛkṣakavanāyamānaṃ māyūrātapatreḥ, mandākinīpravāhāyamāṇamaṃśukaiḥ,	mANikya-vRkza-kavanAyamAnam mAyUra-AtapatreH, mandAkinI-pravAhAyamANam-aMSukEH,
   kṣīrodāyamānaṃ kṣaumaiḥ, kadalīvanāyamānaṃ marakatamayūkhaiḥ,	kzIrodAyamAnam kzOmEH, kadalI-ivanAyamAnam marakatamayUKEH,
   janyamānānyadivasamiva pajharāgabālātapaiḥ,	janyamAnAni-adivasam-iva paJarAga-bAla-AtapEH,
   utpadyamānāparāmbaramivendranīlaprabāpaṭalaiḥ, ārabhyamāṇāpūrvaniśamiva	utpadyamAnA-apara-ambaram-iva-indranIla-prabApawalEH, AraByamANa-apUrva-niSam-iva
   mahānīlamayūkhāndhakāraiḥ syandamānānekakālindīsahasramiva	mahAnIla-mayUKa-anDakArEH syandamAna-aneka-kAlindI-sahasram-iva
   gāruḍamaṇiprabhāpratānaiḥ aṅgārakitamiva puṣparāgaraśmibhiḥ,	gAruxa-maNi-praBA-pratAnEH aFgArakitam-iva puzparAga-raSmiBiH,
   kaiścitpraveśamalabhamānairadhomukhaiścaraṇanakhapatitavadanapratibimbanibhena	kEScid-praveSam-alaBamAnEH-aDomuKEH-caraNa-naKa-patita-vadana-pratibimba-niBena
   lajjayā svāṅgānīva viśadbhiḥ kaiścidaṅgulīlikhitāyāḥ	lajjayA sva-aFgAni-iva viSadBiH kEScid-aFgulI-liKitAyAH
   kṣitervikīryamāṇakaranakhakiraṇakadambavyājena sevācāmarāṇīvārpayadbhiḥ	kziteH-vikIryamANa-kara-naKa-kiraNa-kadamba-vyAjena sevA-cAmarANi-iva-arpayadBiH
   kaiściduraḥsthaladolāyamānendranīlataralaprabhāpaṭṭaiḥ	kEScid-uraHsTala-dolAyamAna-indranIla-tarala-praBA-pawwEH
   svāmikopapraśamanāya kaṇṭhabaddhakṛpāṇapaṭṭairiva	svAmi-kopa-praSamanAya kaNWa-badDa-kRpANa-pawwEH-iva
   kaiściducchvāsasaurabhabhrāmyadbhramarapaṭalānvakāritamukhairapahṛtalakṣmīśokadhṛtalambaśmaśrubhirivānyaiḥ	kEScid-ucCvAsa-sOraBa-BrAmyat-Bramara-pawala-anvakArita-muKEH-apahRta-lakzmI-Soka-DRta-lamba-SmaSruBiH-iva-anyEH
   śekharoḍḍīyamānamadhupamaṇḍalaiḥ	SeKara-uxxIyamAna-maDupa-maNxalEH
   praṇāmaviḍambanābhayapalāyamānamaulibhiriva nirjitairapi	praNAma-vixambana-aBaya-palAyamAna-mOliBiH-iva nirjitEH-api
   susaṃmānitairivānanyaśaraṇairantarāntarā niṣpatatāṃ praviśatāṃ	su-saMmAnitEH-iva-ananya-SaraNEH-antarA-antarA nizpatatAm praviSatAm
   cāntarapratīhārāṇāmanumārgapradhānitānekārthijanasahasrāṇāmanuyāyinaḥ	ca-antara-pratIhArANAm-anumArga-praDAnita-an-eka-arTi-jana-sahasrANAm-anuyAyinaH
   puruṣā naśrāntaiḥ punaḥ punaḥ pṛcchadbhiḥ "bhadra! adya bhaviṣyati bhuktvā	puruzAH na-SrAntEH punar punar pRcCadBiH "Badra! adya Bavizyati BuktvA
   sthāne dāsyati darśanaṃ parameśvaraḥ, niṣpatiṣyati vā bāhyāṃ kakṣām' iti	sTAne dAsyati darSanam parameSvaraH, nizpatizyati vA bAhyAm kakzAma iti
   darśanāśayā divasaṃ nayadbhirbhujanirjitaiḥ śatrumahāsāmantaiḥ	darSana-ASayAH divasam nayadBiH-Buja-nirjitEH Satru-mahA-sAmantEH
   samantādāsevyamānam, anyaiśca	samantAt-AsevyamAnam, anyEH-ca
   pratāpānurāgāgatairnānādeśajairmahāmahopālaiḥ	pratApa-anurAga-AgatEH-nAnA-deSa-jEH-mahA-mahopAlEH
   pratipālayadbhirnarapatidarśanakālamadhyāsyamānam, ekāntopaviṣṭaiśca	pratipAlayadBiH-narapati-darSana-kAla-m-aDyAsyamAnam, ekAnta-upavizwEH-ca
   jainairārhataiḥ pāśupataiḥ pārāśaribhirvarṇibhiḥ sarvadeśajanmabhiśca	jEnEH-ArhatEH pASupatEH pArASariBiH-varNiBiH sarva-deSa-janmaBiH-ca
   janapadaiḥ sarvāmbhodhivelāvanavalayavāsibhiśca mlecchajātibhiḥ	janapadEH sarva-amBoDi-velA-vana-valaya-vAsiBiH-ca mlecCa-jAtiBiH
   sarvadeśāntarāgataiśca dūtamaṇḍalairupāsyamānam sarvaprajānirmāṇabhūmimiva	sarva-deSa-antara-AgatEH-ca dUta-maNxalEH-upAsyamAnam sarva-prajA-nirmANa-BUmim-iva
   prajāpatīnāṃ, lokatrayasāroccayaracitaṃ caturthamiva lokam,	prajApatInAn, lokatraya-sAra-uccaya-racitam caturTam-iva lokam,
   mahābhārataśatairapyakathanīyasamṛddhisaṃbhāram, kṛtayugasahasrairiva	mahABArata-SatEH-api-akaTanIya-samRdDi-saMBAram, kRta-yuga-sahasrEH-iva
   kalpitasanniveśam svarvārbudairiva vihātarāmaṇīyakam,	kalpita-sanniveSam svarvArbudEH-iva vihAta-rAmaNIyakam,
   rājalakṣmokoṭibhiriva kṛtaparigrahaṃ rājadvāramagamat /	rAja-lakzmaH-kowiBiH-iva kRta-parigraham rAja-dvAram-agamat /
   abhavaccāsya jātavismayasya manasi--"kathamivedamiyatpramāṇaṃ prāṇijātaṃ	aBavat-ca-asya jAta-vismayasya manasi--"kaTam-iva-idam-iyat-pramANam prANi-jAtam
   janayatāṃ prajāsṛjāṃ nāsītpariśramaḥ, mahābhūtānāṃ vā parikṣayaḥ, paramāṇū	janayatAm prajA-asRjAm na-AsIt-pariSramaH, mahABUtAnAm vA parikzayaH, paramANU
   nāṃ vā vicchedaḥ, kālasya vāntaḥ, āyuṣo vā vyuparamaḥ, ākṛtīnāṃ vā	nAm vA vicCedaH, kAlasya vAntaH, AyuzaH vA vyuparamaH, AkRtInAm vA
   parisamāptiḥ' iti /	parisamAptiH-a iti /
   mekhalakastu dūrādeva dvārapalalokena pratyabhijñāyamānaḥ "tiṣṭhatu	meKalakaH-tu dUrAt-eva dvAra-pala-lokena pratyaBijQAyamAnaH "tizWatu
   tāvatkṣaṇamātramatraiva puṇyabāgī' iti tamabhidhāyāpratihataḥ puraḥ	tAvat-kzaNa-mAtram-atra-eva puNya-bAgI-a iti tam-aBiDAya-apratihataH puras-
   prāviśat /	prAviSat /
   atha sa muhūrtādiva prāṃśunā, karṇikāragaureṇa,	aTa sa muhUrtAt-iva prAMSunA, karNikAra-gOreNa,
   vīdhrakañcukacchannavapuṣā,	vIDra-kaQcuka=-Canna-vapuzA,
   samunmiṣanmāṇikyapadakabandhabandhuravastabandhakṛśāvalagnena,	samunmizat-mANikya-padaka-banDa-banDura-vasta-banDa-kRSO=-alagnena,
   himaśailaśilāviśālavakṣasā, haravṛṣakakudakūṭavikaṭāṃsataṭena, urasā	himaSEla-SilA-viSAla-vakzasA, hara-vRzaka-kudakUwa-vikawa-aMsa-tawena, urasA
   capalahṛṣīkahariṇakulasaṃyamanapāśamiva hāraṃ bibhratā, "kathayataṃ yadi	capala-hRzIka-hariNa-kula-saMyamana-pASam-iva hAram biBratA, "kaTayatam yadi
   somavaṃśasaṃbhavaḥ sūryavaśasaṃbhavo vā bhūpatirabhūdevaṃvidhaḥ' iti	soma-vaMSa-saMBavaH sUrya-vaSa-saMBavaH vA BUpatiH-aBUt-evaMviDaH-a iti
   praṣṭumānītābhyāṃ somasūryābhyāmiva śravaṇagatābhyāṃ maṇikuṇḍalābyāṃ	prazwum-AnItAByAm soma-sUryAByAm-iva SravaNa-gatAByAm maNi-kuNxalAbyAm
   samudbhāsamānena,	samudBAsamAnena,
   vahadvadanalāvaṇyavisaraveṇikākṣipyamāṇairadhikāragauravāddīyamānamāgerṇeva	vahat-vadana-lAvaNya-visara-veNikA-kzipyamANEH-aDikAra-gOravAt-dIyamAna-m-AgerNA-iva
   dinakṛtaḥ kiraṇaiḥ prasādalabdhayā vikacapuṇḍarokamuṇḍamālayeva dīrghayā	dinakRtaH kiraNEH prasAda-labDayA vikaca-puNxa-roka-muNxa-mAlayA-iva dIrGayA
   dṛṣṭyā dūrādevānandayatā, naiṣṭhuryādhiṣṭhāne 'pi pratiṣṭhitena pade pade	dRzwyA dUrAt-eva-AnandayatA, nEzWurya-aDizWAne api pratizWitena pade pade
   praśrayamivāvanamreṇa, maulinā pāṇḍuramuṣṇīṣamudvahatā, vāmena	praSrayam-iva-avanamreNa, mOlinA pANxuram-uzNIzam-udvahatA, vAmena
   sthūlamuktāphalacchuraṇadanturatsaruṃ karakisalayena kalayatā kṛpāṇam,	sTUla-muktAPala=-CuraNa-dantura-tsarum kara-kisalayena kalayatA kRpANam,
   itareṇāpanītataralatāṃ tāḍinīmiva latāṃ śāta kaumbhīṃ vetrayaṣṭimunmṛṣṭāṃ	itareNa-apanIta-tara-latAm tAxinIm-iva latAm SAta kOmBIm vetra-yazwim-unmRzwAm
   dhārayatā puruṣeṇānugamyamāno nirgatyāvocat--"eṣa khalu	DArayatA puruzeNa-anugamyamAnaH nirgatya-avocat---"eza Kalu
   mahāpratīhārāṇāmanantaraścakṣuṣyo devasya pāriyātranāmā dauvārikaḥ /	mahA-pratIhArANAm-anantaraH-cakzuzyaH devasya pAriyAtra-nAmA dOvArikaH /
   samanugṛhṇātvenamanurūpayā pratipattyā kalyāṇābhiniveśī' iti /	samanugRhNAtu-enam-anurUpayA pratipattyA kalyANa-aBiniveSI-a iti /
   dauvārikastu samupasṛtya kṛtapraṇāmo madhurayā girā savinayamabhāṣata--	dOvArikaH-tu samupasRtya kRta-praNAmaH maDurayA girA sa-vinayam-aBAzata--
   "āgacchata /	"a-AgacCata /
   praviśata devadarśanāya /	praviSata deva-darSanAya /
