   Bhāvamiśra: Bhāvaprakāśaḥ	Bha-avamiSra: BhOva-prakASaH
   candraśūraṃ hitaṃ hikkāvātaśleṣmātisāriṇām /	candra-SUram hitam hikkA-vAta-Slezma-atisAriNAm /
   asṛgvātagadadveṣi balapuṣṭivivardhanam // 98	asRk-vAta-gada-dvezi bala-puzwi-vivarDanam // 98
   methikā candraśūraś ca kālājājī yavānikā /	meTikA candraSUraH ca kAlAjAjI yavAnikA /
   etaccatuṣṭayaṃ yuktaṃ caturbījam iti smṛtam // 99	etat-catuzwayam yuktam catur-bIjam iti smRtam // 99
   taccūrṇaṃ bhakṣitaṃ nityaṃ nihanti pavanāmayam /	tat-cUrNam Bakzitam nityam nihanti pavana-Amayam /
   ajīrṇaṃ śūlamādhmānaṃ pārśvaśūlaṃ kaṭivyathām // 100	ajIrNam SUlam-ADmAnam pArSva-SUlam kawi-vyaTAm // 100
   sahasravedhi jatukaṃ vāhlīkaṃ hiṅgu rāmaṭham // 101	sahasra-veDi jatukam vAhlIkam hiFgu rAmaWam // 101
   hiṅgūṣṇaṃ pācanaṃ rucyaṃ tīkṣṇaṃ vātabalāsanut /	hiFgu-uzNam pAcanam rucyam tIkzNam vAta-balAsa-nud /
   śūlagulmodarānāhakṛmighnaṃ pittavardhanam // 102	SUla-gulmodara-AnAha-kRmi-Gnam pitta-varDanam // 102
   vacogragandhā ṣaḍgranthā golomī śataparvikā /	vacA-ugraganDA zaxgranTA golomI SataparvikA /
   kṣudrapattrī ca maṅgalyā jaṭilogrā ca lomaśā // 103	kzudrapattrI ca maFgalyA jawilA-ugrA ca lomaSAH // 103
   vacogragandhā kaṭukā tiktoṣṇā vāntivahnikṛt /	vacA-ugraganDA kawukA tikta-uzNA vAnti-vahni-kRt /
   vibandhādhmānaśūlaghnī śakṛnmūtraviśodhinī /	vibanDa-ADmAna-SUla-GnI SakRt-mUtra-viSoDinI /
   apasmārakaphonmādabhūtajantvanilān haret // 104	apasmAra-kaPa-unmAda-BUta-jantu-anilAn haret // 104
   pārasīkavacā śuklā proktā haimavatīti sā /	pArasIkavacA SuklA proktA hEmavatI-iti sA /
   haimavatyuditā tadvadvātaṃ hanti viśeṣataḥ // 105	hEmavatI-uditA tadvat-vAtam hanti viSezataH // 105
   sugandhāpyugragandhā ca viśeṣātkaphakāsanut /	suganDA-api-ugraganDA ca viSezAt-kaPa-kAsa-nud /
   susvaratvakarī rucyā hṛtkaṇṭhamukhaśodhinī // 106	su-svara-tva-karI rucyA hRd-kaNWa-muKa-SoDinI // 106
   sthūlagranthiḥ sugandhā syāttato hīnaguṇā smṛtā // 107	sTUlagranTiH suganDA syAt-tatas hIna-guNA smRtAH // 107
   dvīpāntaravacā kiṃcit tiktoṣṇā vahnidīptikṛt /	dvIpa-antara-vacA kiMcid tikta-uzNA vahni-dIpti-kRt /
   vibandhādhmānaśūlaghnī śakṛnmūtraviśodhinī // 108	vibanDa-ADmAna-SUla-GnI SakRt-mUtra-viSoDinI // 108
   vātavyādhīnapasmāramunmādaṃ tanuvedanām /	vAta-vyADIn-apasmAram-unmAdam tanu-vedanAm /
   vyapohati viśeṣeṇa phiraṅgāmayanāśinī // 109	vyapohati viSezeNa PiraFga-Amaya-nASinI // 109
   havuṣā vapuṣā visrā parāśvatthaphalā matā /	havuzA vapuzA visrA para-aSvatTa-PalA matA /
   matsyagandhā plīhahantrī viṣaghnī dhvāṅkṣanāśinī // 110	matsyaganDA plIhahantrI viza-GnI DvAFkza-nASinI // 110
   havuṣā dīpanī tiktā mṛdūṣṇā tuvarā guruḥ /	havuzA dIpanI tiktA mRdu-uzNA tuvarA guruH /
   pittodarasamīrārśograhaṇīgulmaśūlahṛt /	pitta-udara-samIra-arSaH-grahaNI-gulma-SUla-hRt /
   parāpyetadguṇā proktā rūpabhedo dvayor api // 111	parA-api-etad-guNA proktAH rUpa-BedaH dvayoH api // 111
   puṃsi klībe viḍaṅgaḥ syātkṛmighno jantunāśanaḥ /	puMsi klIbe vixaFgaH syAt-kRmi-GnaH jantu-nASanaH /
   taṇḍulāśca tathā vellam amoghā citrataṇḍulā // 112	taNxulAH-ca taTA vellam amoGA citra-taNxulAH // 112
   viḍaṅgaṃ kaṭu tīkṣṇoṣṇaṃ rūkṣaṃ vahnikaraṃ laghu /	vixaFgam kawu tIkzNa-uzNam rUkzam vahni-karam laGu /
   śūlādhmānodaraśleṣmakṛmivātavibandhanut // 113	SUla-ADmAna-udara-Slezma-kRmi-vAta-vibanDa-nud // 113
   tumburuḥ saurabhaḥ sauro vanajaḥ sānujo 'ndhakaḥ // 114	tumburuH sOraBaH sOraH vanajaH sa-anujaH anDakaH // 114
   tumburu prathitaṃ tiktaṃ kaṭupāke'pi tatkaṭu /	tumburu praTitam tiktam kawu-pAke-api tad-kawu /
   rūkṣoṣṇaṃ dīpanaṃ tīkṣṇaṃ rucyaṃ laghu vidāhi ca // 115	rUkza-uzNam dIpanam tIkzNam rucyam laGu vidAhi ca // 115
   vātaśleṣmākṣikarṇauṣṭhaśirāruggurutākṛmīn /	vAta-Slezma-akzi-karNa-ozWa-SirA-ruj-guru-tA-kRmIn /
   kuṣṭhaśūlāruciśvāsaplīhakṛcchrāṇi nāśayet // 116	kuzWa-SUla-aruci-SvAsa-plIha-kRcCrANi nASayet // 116
   syādvaṃśarocanā vāṃśī tugākṣīrī tugā śubhā /	syAt-vaMSarocanA vAMSI tugAkzIrI tugA SuBA /
   tvakkṣīrī vaṃśajā śubhrā vaṃśakṣīrī ca vaiṇavī // 117	tvakkzIrI vaMSajA SuBrA vaMSakzIrI ca vENavI // 117
   vaṃśajā bṛṃhaṇī vṛṣyā balyā svādvī ca śītalā /	vaMSa-jA bRMhaNI vRzyA balyA svAdvI ca SItalA /
   tṛṣṇākāsajvaraśvāsakṣayapittāsrakāmalāḥ /	tRzNA-kAsa-jvara-SvAsa-kzaya-pitta-asra-kAmalAH /
   haretkuṣṭhaṃ vraṇaṃ pāṇḍuṃ kaṣāyā vātakṛcchrajit // 118	haret-kuzWam vraNam pANxum kazAyA vAta-kRcCra-jit // 118
   samudraphenaḥ phenaśca ḍiṇḍīro 'bdhikaphas tathā // 119	samudraPenaH PenaH-ca xiNxIraH abDikaPaH taTA // 119
   samudraphenaścakṣuṣyo lekhanaḥ śītalaśca saḥ /	samudraPenaH-cakzuzyaH leKanaH SItalaH-ca saH /
   kaṣāyo viṣapittaghnaḥ karṇarukkaphahṛt saraḥ // 120	kazAyaH viza-pitta-GnaH karNa-ruj-kaPa-hRt saraH // 120
   jīvakarṣabhakau mede kākolyau ṛddhivṛddhike /	jIvaka-RzaBakO mede kAkolyO RdDi-vRdDike /
   aṣṭavargo 'ṣṭabhir dravyaiḥ kathitaścarakādibhiḥ // 121	azwa-vargaH azwaBiH dravyEH kaTitaH-caraka-AdiBiH // 121
   aṣṭavargo himaḥ svādur bṛṃhaṇaḥ śukralo guruḥ /	azwa-vargaH himaH svAduH bRMhaNaH SukralaH guruH /
   bhagnasaṃdhānakṛt kāmabalāsabalavardhanaḥ /	Bagna-saMDAna-kRt kAma-balAsa-bala-varDanaH /
   vātapittāsratṛḍdāhajvaramehakṣayapraṇut // 122	vAta-pittAsra-tRz-dAha-jvara-meha-kzaya-praNud // 122
   jīvakarṣabhakau jñeyau himādriśikharodbhavau /	jIvaka-RzaBakO jQeyO himAdri-SiKara-udBavO /
   rasonakandavatkandau niḥsārau sūkṣmapattrakau // 123	rasona-kanda-vat-kandO niHsArO sUkzma-pattrakO // 123
   jīvakaḥ kūrcakākāra ṛṣabho vṛṣaśṛṅgavat /	jIvakaH kUrcaka-AkAraH RzaBaH vRzaSRFga-vat /
   jīvako madhuraḥ śṛṅgo hrasvāṅgaḥ kūrcaśīrṣakaḥ // 124	jIvakaH maDuraH SRFgaH hrasva-aFgaH kUrcaSIrzakaH // 124
   ṛṣabho vṛṣabho dhīro viṣāṇī drākṣa ityapi /	RzaBaH vRzaBaH DIraH vizANI drAkzaH iti-api /
   jīvakarṣabhakau balyau śītau śukrakaphapradau // 125	jIvaka-RzaBakO balyO SItO Sukra-kaPa-pradO // 125
   madhurau pittadāhāsrakārśyavātakṣayāpahau // 126	maDurO pitta-dAha-asra-kArSya-vAta-kzaya-apahO // 126
   mahāmedābhidhaḥ kando moraṅgādau prajāyate /	mahAmedA-aBiDaH kandaH moraFga-AdO prajAyate /
   mahāmedā khanīmedā syād ityuktaṃ munīśvaraiḥ // 127	mahAmedA KanImedA syAt iti-uktam muni-ISvarEH // 127
   śuklārdrakanibhaḥ kando latājātaḥ supāṇḍuraḥ /	Sukla-Ardraka-niBaH kandaH latA-jAtaH su-pANxuraH /
   mahāmedābhidho jñeyo medālakṣaṇamucyate // 128	mahAmedA-aBiDaH jQeyaH medA-lakzaNam-ucyate // 128
   śuklakando nakhacchedyo medodhātumiva sravet /	Sukla-kandaH naKa=-CedyaH medaH-DAtum-iva sravet /
   yaḥ sa medeti vijñeyo jijñāsātatparairjanaiḥ // 129	yaH sa medA-iti vijQeyaH jijQAsA-tatparEH-janEH // 129
   śalyaparṇī maṇicchidrā medā medobhavādhvarā /	SalyaparNI maNi=-CidrA medA medaH-BavA-aDvarAH /
   mahāmedā vasucchidrā tridantī devatāmaṇiḥ // 130	mahAmedA vasucCidrA tridantI devatAmaNiH // 130
   medāyugaṃ guru svādu vṛṣyaṃ stanyakaphāvaham /	medA-yugam guru svAdu vRzyam stanya-kaPa-Avaham /
   bṛṃhaṇaṃ śītalaṃ pittaraktavātajvarapraṇut // 131	bRMhaNam SItalam pitta-rakta-vAta-jvara-praNud // 131
   jāyate kṣīrakākolī mahāmedodbhavasthale // 132	jAyate kzIrakAkolI mahAmedA-udBava-sTale // 132
   yatra syāt kṣīrakākolī kākolī atra jāyate /	yatra syAt kzIrakAkolI kAkolI atra jAyate /
   pīvarīsadṛśaḥ kandaḥ sakṣīraḥ priyagandhavān // 133	pIvarI-sadRSaH kandaH sa-kzIraH priya-ganDavAn // 133
   sa proktaḥ kṣīrakākolī kākolīliṅgamucyate /	sa proktaH kzIrakAkolI kAkolI-liFgam-ucyate /
   yathā syāt kṣīrakākolī kākolyapi tathā bhavet // 134	yaTA syAt kzIrakAkolI kAkolI-api taTA Bavet // 134
   eṣā kiṃcid bhavet kṛṣṇā bhedo 'yam ubhayor api /	ezA kiMcid Bavet kRzNA BedaH ayam uBayoH api /
   kākolī vāyasolī ca vīrā kāyasthikā tathā // 135	kAkolI vAyasolI ca vIrA kAyasTikA taTA // 135
   sā śuklā kṣīrakākolī vayaḥsthā kṣīravallikā /	sA SuklA kzIrakAkolI vayaHsTA kzIravallikA /
   kathitā kṣīriṇī dhīrā kṣīraśuklā payasvinī // 136	kaTitA kzIriNI DIrA kzIraSuklA payasvinI // 136
   kākolīyugalaṃ śītaṃ śukralaṃ madhuraṃ guru /	kAkolI-yugalam SItam Sukralam maDuram guru /
   bṛṃhaṇaṃ vātadāhāsrapittaśoṣajvarāpaham // 137	bRMhaNam vAta-dAha-asra-pitta-Soza-jvara-apaham // 137
   ṛddhirvṛddhiśca kandau dvau bhavataḥ kośale 'cale /	RdDiH-vRdDiH-ca kandO dvO BavataH koSale acale /
   śvetalomānvitaḥ kando latājātaḥ sarandhrakaḥ // 138	Sveta-loma-anvitaH kandaH latA-jAtaH sa-ranDrakaH // 138
   sa eva ṛddhirvṛddhiśca bhedam apyetayor bruve /	saH eva RdDiH-vRdDiH-ca Bedam api-etayoH bruve /
   tūlagranthisamā ṛddhir vāmāvartaphalā ca sā // 139	tUla-granTi-samA RdDiH vAma-Avarta-PalA ca sA // 139
   vṛddhistu dakṣiṇāvartaphalā proktā maharṣibhiḥ /	vRdDiH-tu dakziNa-Avarta-PalA proktA mahA-RziBiH /
   ṛddhir yogyaṃ siddhilakṣmyau vṛddher apyāhvayā ime // 140	RdDiH yogyam sidDi-lakzmyO vRdDeH api-AhvayAH ime // 140
   ṛddhir balyā tridoṣaghnī śukralā madhurā guruḥ /	RdDiH balyA tridoza-GnI SukralA maDurA guruH /
   prāṇaiśvaryakarī mūrchāraktapittavināśinī // 141	prANa-ESvarya-karI mUrCA-rakta-pitta-vinASinI // 141
   vṛddhir garbhapradā śītā bṛṃhaṇī madhurā smṛtā /	vRdDiH garBa-pradA SItA bRMhaNI maDurA smRtA /
   vṛṣyā pittāsraśamanī kṣatakāsakṣayāpahā // 142	vRzyA pitta-asra-SamanI kzata-kAsa-kzaya-apahA // 142
   rājñāmapyaṣṭavargastu yato'yam atidurlabhaḥ /	rAjQAm-api-azwa-vargaH-tu yatas-ayam ati-durlaBaH /
   tasmādasya pratinidhiṃ gṛhṇīyāttadguṇaṃ bhiṣak /	tasmAt-asya pratiniDim gRhNIyAt-tad-guNam Bizaj /
   mukhyasadṛśaḥ pratinidhiḥ // 143	muKya-sadRSaH pratiniDiH // 143
   medājīvakakākolyṛddhidvaṃdve 'pi cāsati /	medA-jIvaka-kAkolI-RdDi-dvaMdve api ca-asati /
   varīvidāryaśvagandhāvārāhīś ca kramātkṣipet /	varI-vidArI-aSvaganDA-vArAhIH ca kramAt-kzipet /
   medāmahāmedāsthāne śatāvarīmūlam /	medA-mahA-medA-sTAne SatAvarI-mUlam /
   jīvakarṣabhakasthāne vidārīmūlam /	jIvaka-RzaBaka-sTAne vidArI-mUlam /
   kākolīkṣīrakākolīsthāne aśvagandhāmūlam /	kAkolI-kzIrakAkolI-sTAne aSvaganDA-mUlam /
   ṛddhivṛddhisthāne vārāhīkandaṃ guṇaistattulyaṃ kṣipet // 144	RdDi-vRdDi-sTAne vArAhI-kandam guNEH-tad-tulyam kzipet // 144
   yaṣṭīmadhu tathā yaṣṭīmadhukaṃ klītakaṃ tathā /	yazwImaDu taTA yazwImaDukam klItakam taTA /
   anyat klītanakaṃ tattu bhavettoye madhūlikā // 145	anyat klItanakam tat-tu Bavet-toye maDUlikA // 145
   yaṣṭī himā guruḥ svādvī cakṣuṣyā balavarṇakṛt /	yazwI himA guruH svAdvI cakzuzyA bala-varNa-kRt /
   susnigdhā śukralā keśyā svaryā pittānilāsrajit /	su-snigDA SukralA keSyA svaryA pitta-anila-asra-jit /
   vraṇaśothaviṣaccharditṛṣṇāglānikṣayāpahā // 146	vraNa-SoTa-viza=-Cardi-tRzNA-glAni-kzaya-apahAH // 146
   kāmpillaḥ karkaśaś candro raktāṅgo rocano 'pi ca /	kAmpillaH karkaSaH candraH raktAFgaH rocanaH api ca /
   kāmpillaḥ kaphapittāsrakṛmigulmodaravraṇān /	kAmpillaH kaPa-pitta-asra-kRmi-gulma-udara-vraNAn /
   hanti recī kaṭūṣṇaśca mehānāhaviṣāśmanut // 147	hanti recI kawu-uzNaH-ca meha-AnAha-viza-aSma-nud // 147
   āragvadho rājavṛkṣaḥ śamyākaścaturaṅgulaḥ /	AragvaDaH rAjavRkzaH SamyAkaH-caturaFgulaH /
   ārevato vyādhighātaḥ kṛtamālaḥ suvarṇakaḥ // 148	ArevataH vyADiGAtaH kRtamAlaH suvarNakaH // 148
   karṇikāro dīrghaphalaḥ svarṇāṅgaḥ svarṇabhūṣaṇaḥ /	karNikAraH dIrGaPalaH svarNa-aFgaH svarNaBUzaNaH /
   āragvadho guruḥ svāduḥ śītalaḥ sraṃsanottamaḥ // 149	AragvaDaH guruH svAduH SItalaH sraMsana-uttamaH // 149
   jvarahṛdrogapittāsravātodāvartaśūlanut /	jvara-hRd-roga-pitta-asra-vAta-udAvarta-SUla-nud /
   tatphalaṃ sraṃsanaṃ rucyaṃ kuṣṭhapittakaphāpaham // 150	tad-Palam sraMsanam rucyam kuzWa-pitta-kaPa-apaham // 150
   jvare tu satataṃ pathyaṃ koṣṭhaśuddhikaraṃ param // 151	jvare tu satatam paTyam kozWa-SudDi-karam param // 151
   kaṭvī tu kaṭukā tiktā kṛṣṇabhedā kaṭaṃbharā /	kawvI tu kawukA tiktA kRzNaBedA kawaMBarAH /
   aśokā matsyaśakalā cakrāṅgī śakulādanī // 152	aSokA matsyaSakalA cakrAFgI SakulAdanI // 152
   matsyapittā kāṇḍaruhā rohiṇī kaṭurohiṇī /	matsyapittA kANxaruhA rohiNI kawurohiNI /
   kaṭvī tu kaṭukā pāke tiktā rūkṣā himā laghuḥ // 153	kawvI tu kawukA pAke tiktA rUkzA himA laGuH // 153
   bhedinī dīpanī hṛdyā kaphapittajvarāpahā /	BedinI dIpanI hRdyA kaPa-pitta-jvara-apahA /
   pramehaśvāsakāsāsradāhakuṣṭhakrimipraṇut // 154	prameha-SvAsa-kAsa-asra-dAha-kuzWa-krimi-praNud // 154
   kirātatiktaḥ kairātaḥ kaṭutiktaḥ kirātakaḥ // 155	kirAtatiktaH kErAtaH kawu-tiktaH kirAtakaH // 155
   kāṇḍatikto 'nāryatikto bhūnimbo rāmasenakaḥ /	kANxatiktaH anAryatiktaH BUnimbaH rAmasenakaH /
   kirātako'nyo naipālaḥ so 'rdhatikto jvarāntakaḥ // 156	kirAtakaH-anyaH nEpAlaH saH arDatiktaH jvarAntakaH // 156
   kirātaḥ sārako rūkṣaḥ śītalas tiktako laghuḥ /	kirAtaH sArakaH rUkzaH SItalaH tiktakaH laGuH /
   saṃnipātajvaraśvāsakaphapittāsradāhanut /	saMnipAta-jvara-SvAsa-kaPa-pitta-asra-dAha-nud /
   kāsaśothatṛṣākuṣṭhajvaravraṇakṛmipraṇut // 157	kAsa-SoTa-tRzA-kuzWa-jvara-vraNa-kRmi-praNud // 157
   uktaṃ kuṭajabījaṃ tu yavamindrayavaṃ tathā /	uktam kuwaja-bIjam tu yavam-indrayavam taTA /
   kaliṅgaṃ cāpi kāliṅgaṃ tathā bhadrayavā api // 158	kaliFgam ca-api kAliFgam taTA BadrayavAH api // 158
   kvacidindrasya nāmaiva bhavettadabhidhāyakam /	kvacid-indrasya nAma-eva Bavet-tat-aBiDAyakam /
   phalānīndrayavās tasya tathā bhadrayavā api // 159	PalAni-indrayavAH tasya taTA BadrayavAH api // 159
   indrayavaṃ tridoṣaghnaṃ saṃgrāhi kaṭu śītalam // 160	indrayavam tridoza-Gnam saMgrAhi kawu SItalam // 160
   jvarātīsāraraktārśovamivīsarpakuṣṭhanut /	jvara-atIsAra-rakta-arSaH-vami-vIsarpa-kuzWa-nud /
   dīpanaṃ gudakīlāsravātāsraśleṣmaśūlajit // 161	dIpanam guda-kIla-asra-vAta-asra-Slezma-SUla-jit // 161
   madanaśchardanaḥ piṇḍo naṭaḥ piṇḍītakastathā /	madanaH-CardanaH piNxaH nawaH piNxItakaH-taTA /
   karahāṭo maruvakaḥ śalyako viṣapuṣpakaḥ // 162	karahAwaH maruvakaH SalyakaH vizapuzpakaH // 162
   madano madhurastikto vīryoṣṇo lekhano laghuḥ /	madanaH maDuraH-tiktaH vIrya-uzNaH leKanaH laGuH /
   vāntikṛdvidradhiharaḥ pratiśyāyavraṇāntakaḥ /	vAnti-kRt-vidraDi-haraH pratiSyAya-vraNa-antakaH /
   rūkṣaḥ kuṣṭhakaphānāhaśothagulmavraṇāpahaḥ // 163	rUkzaH kuzWa-kaPa-AnAha-SoTa-gulma-vraNa-apahaH // 163
   rāsnā yuktarasā rasyā suvahā rasanā rasā /	rAsnA yukta-rasAH rasyA su-vahAH rasanA rasAH /
   elāparṇī ca surasā sugandhā śreyasī tathā // 164	elAparNI ca surasA suganDA SreyasI taTA // 164
   rāsnāmapācinī tiktā gurūṣṇā kaphavātajit // 165	rAsnA-AmapAcinI tiktA guru-uzNA kaPa-vAta-jit // 165
   śothaśvāsasamīrāsravātaśūlodarāpahā /	SoTa-SvAsa-samIra-asra-vAta-SUla-udara-apahA /
   kāsajvaraviṣāśītivātikāmayasidhmahṛt // 166	kAsa-jvara-viza-aSIti-vAtika-Amaya-siDma-hRt // 166
   nākulī surasā nāgasugandhā gandhanākulī /	nAkulI surasA nAgasuganDA ganDanAkulI /
   nakuleṣṭā bhujaṃgākṣī sarpāṅgī viṣanāśinī // 167	nakulezwA BujaMgAkzI sarpa-aFgI viza-nASinI // 167
   nākulī tuvarā tiktā kaṭukoṣṇā vināśayet /	nAkulI tuvarA tiktA kawukA-uzNA vinASayet /
   bhogilūtāvṛścikākhuviṣajvarakṛmivraṇān // 168	Bogi-lUtA-vRScika-AKu-viza-jvara-kRmi-vraNAn // 168
   mācikā prasthikāmbaṣṭhā tathā cāmbālikāmbikā /	mAcikA prasTikA-ambazWA taTA ca-ambAlikA-ambikA /
   mayūravidalā keśī sahasrā bālamūlikā // 169	mayUravidalA keSI sahasrA bAlamUlikA // 169
   mācikāmlā rase pāke kaṣāyā śītalā laghuḥ /	mAcikA-amlA rase pAke kazAyA SItalA laGuH /
   pakvātisārapittāsrakaphakaṇṭhāmayāpahā // 170	pakva-atisAra-pitta-asra-kaPa-kaNWa-Amaya-apahAH // 170
   tejasvinī tejavatī tejohvā tejanī tathā /	tejasvinI tejavatI tejohvA tejanI taTA /
   tejasvinī kaphaśvāsakāsāsyāmayavātahṛt /	tejasvinI kaPa-SvAsa-kAsa-Asya-Amaya-vAta-hRt /
   pācanyuṣṇā kaṭustiktā rucivahnipradīpinī // 171	pAcanI-uzNA kawuH-tiktA ruci-vahni-pradIpinI // 171
   jyotiṣmatī syātkaṭabhī jyotiṣkā kaṅgunīti ca /	jyotizmatI syAt-kawaBI jyotizkA kaFgunI-iti ca /
   pārāvatapadī piṇyā latā proktā kakundanī // 172	pArAvatapadI piNyA latA proktA kakundanI // 172
   jyotiṣmatī kaṭus tiktā sarā kaphasamīrajit /	jyotizmatI kawuH tiktA sarA kaPa-samIra-jit /
   atyuṣṇā vāmanī tīkṣṇā vahnibuddhismṛtipradā // 173	ati-uzNA vAmanI tIkzNAH vahni-budDi-smRti-pradA // 173
   kuṣṭhaṃ rogāhvayaṃ vāpyaṃ pāribhavyaṃ tathotpalam // 174	kuzWam roga-Ahvayam vApyam pAriBavyam taTA-utpalam // 174
   kuṣṭhamuṣṇaṃ kaṭu svādu śukralaṃ tiktakaṃ laghu /	kuzWam-uzNam kawu svAdu Sukralam tiktakam laGu /
   hanti vātāsravīsarpakāsakuṣṭhamarutkaphān // 175	hanti vAta-asra-vIsarpa-kAsa-kuzWa-marut-kaPAn // 175
   uktaṃ puṣkaramūlaṃ tu pauṣkaraṃ puṣkaraṃ ca tat /	uktam puzkara-mUlam tu pOzkaram puzkaram ca tat /
   padmapattraṃ ca kāśmīraṃ kuṣṭhabhedamimaṃ jaguḥ // 176	padma-pattram ca kASmIram kuzWa-Bedam-imam jaguH // 176
   pauṣkaraṃ kaṭukaṃ tiktam uṣṇaṃ vātakaphajvarān /	pOzkaram kawukam tiktam uzNam vAta-kaPa-jvarAn /
   hanti śothāruciśvāsān viśeṣāt pārśvaśūlanut // 177	hanti SoTa-aruci-SvAsAn viSezAt pArSva-SUla-nud // 177
   kaṭuparṇī haimavatī hemakṣīrī himāvatī /	kawuparNI hEmavatI hemakzIrI himAvatI /
   hemāhvā pītadugdhā ca tanmūlaṃ cokamucyate // 178	hemAhvA pItadugDA ca tad-mUlam cokam-ucyate // 178
   hemāhvā recanī tiktā bhedinyutkleśakāriṇī /	hemAhvA recanI tiktA BedinI-utkleSa-kAriNI /
   kṛmikaṇḍūviṣānāhakaphapittāsrakuṣṭhanut // 179	kRmi-kaNxU-viza-AnAha-kaPa-pitta-asra-kuzWa-nud // 179
   śṛṅgī karkaṭaśṛṅgī ca syātkulīraviṣāṇikā /	SRFgI karkawaSRFgI ca syAt-kulIra-vizANikAH /
   ajaśṛṅgī tu cakrā ca karkaṭākhyā ca kīrtitā // 180	ajaSRFgI tu cakrA ca karkawAKyA ca kIrtitAH // 180
   śṛṅgī kaṣāyā tiktoṣṇā kaphavātakṣayajvarān /	SRFgI kazAyA tikta-uzNA kaPa-vAta-kzaya-jvarAn /
   śvāsordhvavātatṛṭkāsahikkārucivamīnharet // 181	SvAsa-UrDvavAta-tRz-kAsa-hikkA-aruci-vamIn-haret // 181
   kaṭphalaḥ somavalkaś ca kaiṭaryaḥ kumbhikāpi ca /	kawPalaH somavalkaH ca kEwaryaH kumBikA-api ca /
   śrīparṇikā kumudikā bhadrā bhadravatīti ca // 182	SrIparNikA kumudikA BadrA BadravatI-iti ca // 182
   kaṭphalastuvarastiktaḥ kaṭurvātakaphajvarān /	kawPalaH-tuvaraH-tiktaH kawuH-vAta-kaPa-jvarAn /
   hanti śvāsapramehārśaḥkāsakaṇṭhāmayārucīḥ // 183	hanti SvAsa-prameha-arSaH-kAsa-kaNWa-Amaya-arucIH // 183
   bhārgī bhṛgubhavā padmā phañjī brāhmaṇayaṣṭikā /	BArgI BRguBavA padmA PaQjI brAhmaNa-yazwikA /
   brāhmaṇyaṅgāravallī ca kharaśākaśca hañjikā // 184	brAhmaNI-aFgAravallI ca KaraSAkaH-ca haQjikAH // 184
   bhārgī rūkṣā kaṭustiktā rucyoṣṇā pācanī laghuḥ /	BArgI rUkzA kawuH-tiktA rucyA-uzNA pAcanI laGuH /
   dīpanī tuvarā gulmaraktanunnāśayed dhruvam /	dIpanI tuvarA gulma-rakta-nud-nASayet Druvam /
   śothakāsakaphaśvāsapīnasajvaramārutān // 185	SoTa-kAsa-kaPa-SvAsa-pInasa-jvara-mArutAn // 185
   pāṣāṇabhedako'śmaghno giribhidbhinnayojinī /	pAzANaBedakaH-aSmaGnaH giri-Bid-Binna-yojinI /
   aśmabhedo himas tiktaḥ kaṣāyo vastiśodhanaḥ // 186	aSmaBedaH himaH tiktaH kazAyaH vasti-SoDanaH // 186
   bhedano hanti doṣārśogulmakṛcchrāśmahṛdrujaḥ /	BedanaH hanti doza-arSaH-gulma-kRcCra-aSma-hRd-rujaH /
   yonirogānpramehāṃśca plīhaśūlavraṇāni ca // 187	yoni-rogAn-pramehAn=-ca plIha-SUla-vraNAni ca // 187
   dhātakī dhātupuṣpī ca tāmrapuṣpī ca kuñjarā /	DAtakI DAtupuzpI ca tAmrapuzpI ca kuQjarAH /
   subhikṣā bahupuṣpī ca vahnijvālā ca sā smṛtā // 188	suBikzA bahupuzpI ca vahnijvAlA ca sA smRtA // 188
   dhātakī kaṭukā śītā mṛdukṛttuvarā laghuḥ /	DAtakI kawukA SItA mRdu-kRt-tuvarA laGuH /
   tṛṣṇātīsārapittāsraviṣakrimivisarpajit // 189	tRzNA-atIsAra-pitta-asra-viza-krimi-visarpa-jit // 189
   mañjiṣṭhā vikasā jiṅgī samaṅgā kālameṣikā // 190	maQjizWA vikasA jiFgI samaFgA kAlamezikAH // 190
   maṇḍūkaparṇī bhaṇḍīrī bhaṇḍī yojanavallyapi /	maNxUkaparNI BaNxIrI BaNxI yojanavallI-api /
   rasāyanyaruṇā kālā raktāṅgī raktayaṣṭikā // 191	rasAyanI-aruNA kAlA rakta-aFgI raktayazwikAH // 191
   bhaṇḍītakī ca gambhīrī mañjūṣā vastrarañjinī /	BaNxItakI ca gamBIrI maQjUzA vastra-raQjinI /
   mañjiṣṭhā madhurā tiktā kaṣāyā svaravarṇakṛt // 192	maQjizWA maDurA tiktA kazAyA svara-varNa-kRt // 192
   gururuṣṇā viṣaśleṣmaśothayonyakṣikarṇaruk /	guruH-uzNA viza-Slezma-SoTa-yoni-akzi-karNa-ruj /
   raktātīsārakuṣṭhāsravisarpavraṇamehanut // 193	rakta-atIsAra-kuzWa-asra-visarpa-vraNa-meha-nud // 193
   syāt kusumbhaṃ vahniśikhaṃ vastrarañjakamityapi /	syAt kusumBam vahniSiKam vastraraQjakam-iti-api /
   kusumbhaṃ vātalaṃ kṛcchraraktapittakaphāpaham // 194	kusumBam vAtalam kRcCra-rakta-pitta-kaPa-apaham // 194
   lākṣā palaṃkaṣālakto yāvo vṛkṣāmayo jatuḥ /	lAkzA palaMkazA-alaktaH yAvaH vRkza-AmayaH jatuH /
