   [dhana-ṛṇa-ṣaṣ-vidham]	[Dana--RNa--zaz-viDam]
   guṇa-āptī//[upajāti-ab; cd=66ab]	guNa--AptI//[-upajAti--ab; cd=66ab]
   BG_60a/ ekaviṃśati-yutam śata-dvayam yad-guṇam gaṇaka pañcaṣaṣṭi-yuj/	Bu-_60a/ ekaviMSati--yutam Sata--dvayam yat--guNam gaNaka paQca-zazwi--yuj/
   BG_60c/ pañca-varjita-śata-dvaya-uddhṛtam śuddhim eti guṇakam vada āśu	Bu-_60c/ paQca--varjita--Sata--dvaya--udDRtam SudDim eti guNakam vada ASu
   tam//[rathoddhatā]	tam-//[raTa-udDatA]
   BG_61a/ śatam hatam yena yutam navatyā vivarjitam vā vihṛtam triṣaṣṭyā/	Bu-_61a/ Satam hatam yena yutam navatyA vivarjitam vA vihRtam trizazwyA/
   BG_61c/ nir-agrakam syāt vada me guṇam tam spaṣṭam paṭīyān yadi kuṭṭake	BG_61c/ nir-agrakam syAt vada me guNam tam spazwam pawIyAn yadi kuwwake
   asi//[upajāti]	asi//[upajAti]
   BG_62a/ yad-guṇā akṣaya-ga-ṣaṣṭis anvitā varjitā ca yadi vā tribhis tatas/	BG_62a/ yat--guNAH akzaya-ga-zazwiH anvitA varjitA ca yadi vA triBiH tatas-/
   BG_62c/ syāt trayodaśa-hṛtā nir-agrakā tam guṇam gaṇaka me pṛthak	Bu-_62c/ syAt trayodaSa--hRtA nir-agrakA tam guNam gaNaka me pRTak-
   vada//[rathoddhatā]	vada//[raTa-udDatA]
   BG_63a/ aṣṭādaśa guṇās kena daśa-āḍhyās vā daśa-ūnitās//[anuṣṭubh-cd;	Bu-_63a/ azwAdaSa guNAH kena daSa-a-AXyAH vA daSa--UnitAs//-[anuzwuB-cd;
   ab=58cd]	ab=58cd]
   BG_63c/ śuddham bhāgam prayacchanti kṣaya-ga-ekādaśa-uddhṛtās/	Bu-_63c/ SudDam BAgam prayacCanti kzaya-ga-ekAdaSa--udDRtA-as/
   BG_64a/ yena saṃguṇitās pañca trayoviṃśati-saṃyutās//[anuṣṭubh]	Bu-_64a/ yena saMguNitAH paQca trayoviMSati--saMyuta-As//[anuzwuB]
   BG_64c/ varjitās vā tribhis bhaktās nir-agrakās syus sas kas	Bu-_64c/ varjitAH vA triBiH BaktAH nir-agrakAH syuH saH kas
   guṇas//[anuṣṭubh-ab; cd=73ab]	guNa-s//[anuzwuB-ab; cd=73ab]
   BG_65a/ yena pañca guṇitās kha-saṃyutās pañcaṣaṣṭi-sahitās ca te atha vā/	Bu-_65a/ yena paQca guNitAH Ka--saMyutAH paQca-zazwi--sahitAH ca te aTa vA/
   BG_65c/ syus trayodaśa hṛtā nir-agrakās tam guṇam gaṇaka kīrtaya āśu	Bu-_65c/ syuH trayodaSa hRtAH nir-agrakAH tam guNam gaNaka kIrtayaH ASu
   me//[rathoddhatā]	me//[raTa-udDatA]
   BG_66a/ kṣepam viśuddhim parikalpya rūpam pṛthak tayos ye	Bu-_66a/ kzepam viSudDim parikalpya rUpam pRTak tayoH ye
   guṇa-kāra-labdhī//[upajāti-cd; ab=59]	guNa--kAra--labDI//[upajAti-cd; ab=59]
   BG_66c/ abhīpsita-kṣepa-viśuddhi-nighne sva-hāra-taṣṭe bhavatas tayos te/	BG_66c/ aBIpsita--kzepa--viSudDi-niGne sva--hAra-tazwe BavataH tayoH te/
   BG_67a/ kaalpyā atha śuddhis vikalā-avaśeṣam ṣaṣṭis ca bhājyas ku-dināni	Bu-_67a/ kaalpyAH aTa SudDiH vikala-a-avaSezam zazwiH ca BAjyaH ku-dinAni
   hāras//[upajāti]	hAra-s//[upajAti]
   BG_67c/ tad-jam phalam syus vikalās guṇas tu liptā-agram asmāt ca	Bu-_67c/ tad--jam Palam syuH vikalAH guNaH tu liptA-agram asmAt ca
   kalā-lava-agram/	kalA-a-lava-agram/
   BG_67e/ evam tad-ūrdhvam ca tathā adhimāsa-avama-agrakābhyas divasās	Bu-_67e/ evam tad--UrDvam ca taTA aDimAsa--avam-a-agrakAByaH divasAH-
   ravi-indvos//[upajāti]	ravi--indvos//[upajAti]
   BG_68a/ ekas haras ced guṇakau vibhinnau tadā guṇa-aikyam parikalpya	Bu-_68a/ ekaH haraH ced guNakO viBinnO tadA guNa--A-Ekyam parikalpya
   bhājyam/	BAjyam/
   BG_68c/ agra-aikyam agram kṛtas ukta-vat yas saṃśliṣṭa-saṃjñas	BG_68c/ agra-A-Ekyam agram kRtaH ukta-vat yaH saMSlizwa--saMjQas
   sphuṭa-kuṭṭakas asau//[upajāti]	sPuwa-kuwwakaH asO//[upajAti]
   BG_69a/ kas pañca-nighnas vihṛtas triṣaṣṭyā sapta avaśeṣas atha sas eva	Bu-_69a/ kaH paQca-niGnaH vihRtaH trizazwyA sapta avaSezaH aTa saH eva
   rāśis/	rASi-s/
   BG_69c/ daśa-āhatas syāt vihṛtas triṣaṣṭyā caturdaśa agras vada rāśim	Bu-_69c/ daSa-a-AhataH syAt vihRtaH trizazwyA caturdaSa agraH vada rASim
   enam//[upajāti]	enam-//[upajAti]
   [varga-prakṛtis]	[varga--prakRti-s]
   BG_70a/ iṣṭam hrasvam tasya vargas prakṛtyā kṣuṇṇas yuktas varjitas vā sas	Bu-_70a/ izwam hrasvam tasya vargaH prakRtyA kzuNNaH yuktaH varjitaH vA sas
   yena/	yena/
   BG_70c/ mūlam dadyāt kṣepakam tam dhana-ṛṇam mūlam tad ca jyeṣṭha-mūlam	BG_70c/ mUlam dadyAt kzepakam tam Dana-RNam mUlam tat ca jyezWa--mUlam
   vadanti//[śālinī]	vadanti//[-SAlinI]
   BG_71a/ hrasva-jyeṣṭha-kṣepakān nyasya teṣām tān anyān vā adhas niveśya	Bu-_71a/ hrasva--jyezWa-kzepakAn nyasya tezAm tAn anyAn vE aDas niveSya
   krameṇa/	krameNa/
   BG_71c/ sādhyāni ebhyas bhāvanābhis bahūni mūlāni eṣām bhāvanā procyate	Bu-_71c/ sADyAni eByaH BAvanABiH bahUni mUlAni ezAm BAvanA procyate
   atas//[śālinī]	atas//[-SAlinI]
   BG_71e/ vajra-abhyāsau jyeṣṭha-laghvos tad-aikyam hrasvam laghvos āhatis	Bu-_71e/ vajra--aByAsO jyezWa--laGvoH tad--Ekyam hrasvam laGvoH Ahatis
   ca prakṛtyā/	ca prakRtyA/
   BG_71g/ kṣuṇṇā jyeṣṭha-abhyāsa-yuj jyeṣṭha-mūlam tatra abhyāsas kṣepayos	Bu-_71g/ kzuNNA jyezWa--aByAsa-I-ud jyezWa--mUlam tatra aByAsaH kzepayoH-
   kṣepakas syāt//[śālinī]	kzepakaH syAt//[-SAlinI]
   BG_71i/ hrasvam vajra-abhyāsayos antaram vā laghvos ghātas yas prakṛtyā	Bu-_71i/ hrasvam vajra--aByAsayoH antaram vA laGvoH GAtaH yaH prakRtyA
   vinighnas/ BH 71k/ ghātas yas ca jyeṣṭhayos tad-viyogas jyeṣṭham kṣepas	viniGnas/ BH 71k/ GAtaH yaH ca jyezWayoH tad--viyogaH jyezWam kzepaH-
   atra api ca kṣepa-ghātas//[śālinī]	atra api ca kzepa-GAta-s//[-SAlinI]
   BG_72a/ iṣṭa-varga-hatas kṣepas kṣepas syāt iṣṭa-bhājite/	Bu-_72a/ izwa--varga--hataH kzepaH kzepaH syAt izwa-BAjite/
   BG_72c/ mūle te stas atha vā kṣepas kṣuṇṇas kṣuṇṇe tadā pade//[anuṣṭubh]	BG_72c/ mUle te staH aTa vA kzepaH kzuNNaH kzuNNe tadA pade//[anuzwuB]
   BG_73a/ iṣṭa-varga-prakṛtyos yad vivaram tena vā bhajet/[anuṣṭubh-cd;	Bu-_73a/ izwa--varga--prakRtyoH yat vivaram tena vA Bajet/[anuzwuB-cd;
   ab=64cd]	ab=64cd]
   BG_73c/ dvi-ghnam iṣṭam kaniṣṭham tad padam syāt eka-saṃyutau/	Bu-_73c/ dvi-Gnam izwam kanizWam tat padam syAt eka--saMyutO/
   BG_73e/ tatas jyeṣṭham iha ānantyam bhāvanātas tathā iṣṭatas//[anuṣṭubh]	Bu-_73e/ tatas jyezWam iha Anantyam BAvanAtaH taTA izwatas//[anuzwuB]
   BG_74a/ kas vargas aṣṭa-hatas sa-ekas kṛtis syāt gaṇaka ucyatām/	Bu-_74a/ kaH vargaH azwa-hataH sa--ekaH kRtiH syAt gaNakaH ucyatAm/
   BG_74c/ ekādaśa-guṇas kas vā vargas sa-ekas kṛtis sakhe//[anuṣṭubh]	Bu-_74c/ ekAdaSa--guNaH kaH vA vargaH sa--ekaH kRtiH sa-Ke//[anuzwuB]
   BG_75a/ hrasva-jyeṣṭha-pada-kṣepān bhājya-prakṣepa-bhājakān/	Bu-_75a/ hrasva--jyezWa--pada--kzepAn BAjya--prakzepa--BAjakAn/
   BG_75c/ kṛtvā kalpyas guṇas tatra tathā prakṛtitas cyute//[anuṣṭubh]	Bu-_75c/ kRtvA kalpyaH guNaH tatra taTA prakRtitaH cyute//[anuzwuB]
   BG_75e/ guṇa-varge prakṛti-ūne atha vā alpam śeṣakam yathā/	Bu-_75e/ guNa-varge prakRti--Une aTa vE alpam Sezakam yaTA/
   BG_75g/ tat tu kṣepa-hṛtam kṣepas vyastas prakṛtitas cyute//[anuṣṭubh]	Bu-_75g/ tat tu kzepa--hRtam kzepaH vyastaH prakRtitaH cyute//[anuzwuB]
   BG_75i/ guṇa-labdhis padam hrasvam tatas jyeṣṭham atas asakṛt/	Bu-_75i/ guNa-labDiH padam hrasvam tatas jyezWam atas asakRt/
   BG_75k/ tyaktvā pūrva-pada-kṣepān cakra-vālam idam jagus//[anuṣṭubh]	Bu-_75k/ tyaktvA pUrva-pada-kzepAn cakra-vAlam idam jagu-s//[anuzwuB]
   BG_75m/ catur-dvi-eka-yutau evam abhinne bhavatas pade/	Bu-_75m/ catur-dvi--eka--yutO evam aBinne BavataH pade/
   BG_75o/ catur-dvi-kṣepa-mūlābhyām rūpa-kṣepa-artha-bhāvanā//[anuṣṭubh]	Bu-_75o/ catur-dvi-kzepa--mUlAByAm rUpa--kzepa--arTa--BAvanA//[anuzwuB]
   BG_76a/ kā saptaṣaṣṭi-guṇitā kṛtis eka-yutā kā ca ekaṣaṣṭi-nihatā ca sakhe	BG_76a/ kA sapta-zazwi--guNitA kRtiH eka-yutA kA ca eka-zazwi-nihatA ca saKe
   sa-rūpā/	sa-rUpA/
   BG_76c/ syāt mūla-dā yadi kṛti-prakṛtis nitāntam tvad-cetasi pravada tāta	Bu-_76c/ syAt mUla-dA yadi kRti--prakRtiH nitAntam tvad--cetasi pravada tAta
   tatā-latā-vat//[vasantatilakā]	tata-a-latA-a-vat//[vasanta-tilakA]
   BG_77/ rūpa-śuddhau khila uddiṣṭam varga-yogas guṇas na ced/	Bu-_77/ rUpa--SudDO KilaH uddizwam varga-yogaH guNaH na ced-/
   BG_78a/ akhile kṛti-mūlābhyām dvidhā rūpam vibhājitam//[anuṣṭubh]	Bu-_78a/ aKile kRti-mUlAByAm dviDA rUpam viBAjitam-//[anuzwuB]
   BG_78c/ dvidhā hrasva-padam jyeṣṭham tatas rūpa-viśodhane/	Bu-_78c/ dviDA hrasva--padam jyezWam tatas rUpa--viSoDane/
   BG_78e/ pūrvavat vā prasādhyete pade rūpa-viśodhane//[anuṣṭubh]	Bu-_78e/ pUrvavat vA prasADyete pade rUpa-viSoDane//[anuzwuB]
   BG_79a/ trayodaśa-guṇas vargas nir-ekas kas kṛtis bhavet/	Bu-_79a/ trayodaSa--guNaH vargaH nir-ekaH kaH kRtiH Bavet-/
   BG_79c/ kas vā aṣṭa-guṇitas vargas nir-ekas mūla-das vada//[anuṣṭubh]	Bu-_79c/ kaH vE azwa--guNitaH vargaH nir-ekaH mUla-daH vada//[anuzwuB]
   BG_80a/ kas vargas ṣaṣ-guṇas tri-āḍhyas dvādaśa-āḍhyas atha vā kṛtis/	Bu-_80a/ kaH vargaH zaz-guNaH tri-AXyaH dvAdaSa-AXyaH aTa vA kRti-s/
   BG_80c/ yutas vā pañcasaptatyā triśatyā vā kṛtis bhavet//[anuṣṭubh]	Bu-_80c/ yutaH vA paQcasaptatyA triSatyA vA kRtiH Bavet-//[anuzwuB]
   BG_81a/ sva-buddhyā eva pade jñeye bahu-kṣepa-viśodhane/	Bu-_81a/ sva-budDyAH eva pade jQeye bahu-kzepa--viSoDane/
   BG_81c/ tayos bhāvanayā ānantyam rūpa-kṣepa-pada-utthayā//[anuṣṭubh]	Bu-_81c/ tayoH BAvanayA Anantyam rUpa-kzepa-pada--utTayA-a//[anuzwuB]
   BG_82/ varga-chinne guṇe hrasvam tad-padena vibhājayet/	Bu-_82/ varga--Cinne guNe hrasvam tad--padena viBAjayet-/
   BG_83/ dvātriṃśat-guṇitas vargas kas sa-ekas mūla-das vada//[anuṣṭubh]	Bu-_83/ dvAtriMSat--guNitaH vargaH kaH sa-ekaH mUla-daH vada//[anuzwuB]
   BG_84a/ iṣṭa-bhaktas dvidhā kṣepas iṣṭa-ūna-āḍhyas dalī-kṛtas/	Bu-_84a/ izwa-BaktaH dviDA kzepaH izwa-Una-a-AXyaH dalI-kRta-s/
   BG_84c/ guṇa-mūla-hṛtas ca ādyas hrasva-jyeṣṭhe kramāt pade//[anuṣṭubh]	Bu-_84c/ guNa--mUla-hRtaH ca AdyaH hrasva--jyezWe kramAt pade//[anuzwuB]
   BG_85a/ kā kṛtis navabhis kṣuṇṇā dvipañcāśat-yutā kṛtis/	Bu-_85a/ kA kRtiH navaBiH kzuNNA dvipaQcASat--yutA kRti-s/
   BG_85c/ kas vā catur-guṇas vargas trayastriṃśat-yutā kṛtis//[anuṣṭubh]	Bu-_85c/ kaH vA catur-guNaH vargaH trayastriMSat--yutA kRti-s//[anuzwuB]
   BG_86a/ trayodaśa-guṇas vargas kas trayodaśa-varjitas/	Bu-_86a/ trayodaSa--guNaH vargaH kaH trayodaSa-varjitas/
   BG_86c/ trayodaśa-yutas vā syāt vargas eva nigadyatām//[anuṣṭubh]	BG_86c/ trayodaSa---yutaH vA syAt vargaH eva nigadyatAm-//[anuzwuB]
   BG_87a/ ṛṇa-gais pañcabhis kṣuṇṇas kas vargas sa-ekaviṃśatis/	Bu-_87a/ RNa-gEH paQcaBiH kzuNNaH kaH vargaH sa-ekaviMSati-s/
   BG_87c/ vargas syāt vada ced vetsi kṣaya-ga-prakṛtau vidhim//[anuṣṭubh]	BG_87c/ vargaH syAt vada ced vetsi kzaya-ga--prakRtO viDim//[anuzwuB]
   BG_88a/ uktam bīja-upayogī idam saṃkṣiptam gaṇitam kila/	BG_88a/ uktam bIja--upayogI idam saMkziptam gaNitam kila/
   BG_88c/ atas bījam pravakṣyāmi gaṇaka-ānanda-kārakam//[anuṣṭubh]	BG_88c/ atas bIjam pravakzyAmi gaNaka-a-Ananda-kArakam-//[anuzwuB]
   [eka-varṇa-samī-karaṇam]	[eka--varNa--samI-karaNam]
   BG_89a/ yāvattāvat kalpyam avyakta-rāśes mānam tasmin kurvatā uddiṣṭam	BG_89a/ yAvat-tAvat kalpyam avyakta--rASeH mAnam tasmin kurvatA uddizwam
   eva/	eva/
   BG_89c/ tulyau pakṣau sādhanīyau prayatnāt tyaktvā kṣiptvā vā api saṃguṇya	Bu-_89c/ tulyO pakzO sADanIyO prayatnAt tyaktvA kziptvA vA api saMguNya
   bhaktvā//[śālinī]	BaktvA-a//[-SAlinI]
   BG_89e/ eka-avyaktam śodhayet anya-pakṣāt rūpāṇi anyasya itarasmāt ca	Bu-_89e/ eka-avyaktam SoDayet anya-pakzAt rUpANi anyasya itarasmAt ca
   pakṣāt/	pakzAt/
   BG_89g/ śeṣa-avyakte na uddharet rūpa-śeṣam vyaktam mānam jāyate	Bu-_89g/ Seza-avyakte naH udDaret rUpa-Sezam vyaktam mAnam jAyate
   vyakta-rāśes//[śālinī]	vyakta--rASes//[-SAlinI]
   BG_89i/ avyaktānām dvi-ādikānām api iha yāvattāvat dvi-ādi-nighnam hṛtam	Bu-_89i/ avyaktAnAm dvi-a-AdikAnAm api iha yAvat-tAvat dvi--a-Adi-niGnam hRtam
   vā/	vA/
   BG_89k/ yukta-ūnam vā kalpayet ātma-buddhyā mānam kva api vyaktam evam	Bu-_89k/ yukta--Unam vA kalpayet Atma-budDyA mAnam kva api vyaktam evam
   viditvā//[śālinī]	viditvA-a//[-SAlinI]
   BG_90a/ ekasya rūpa-triśatī ṣaṭ aśvās aśvās daśa anyasya tu tulya-maulyās/	Bu-_90a/ ekasya rUpa-triSatI zax aSvAH aSvAH daSa anyasya tu tulya--mOlya-As/
   BG_90c/ ṛṇam tathā rūpa-śatam ca yasya tau tulya-vittau ca kim	Bu-_90c/ RNam taTA rUpa-Satam ca yasya tO tulya-vittO ca kim
   aśva-maulyam//[upajāti]	aSva--mOlyam//[upajAti]
   BG_91a/ yat ādya-vittasya dalam dvi-yuktam tad-tulya-vittas yadi vā	Bu-_91a/ yat Adya--vittasya dalam dvi--yuktam tad--tulya--vittaH yadi vA
   dvitīyas/	dvitIyas/
   BG_91c/ ādyas dhanena tri-guṇas anyatas vā pṛthak pṛthak me vada	Bu-_91c/ AdyaH Danena tri-guNaH anyatas vA pRTak pRTak me vada
   vāji-maulyam//[upajāti]	vAji--mOlyam//[upajAti]
   BG_92a/ māṇikya-amala-nīla-mauktika-mitis pañca aṣṭa sapta kramāt ekasya	BG_92a/ mANikya--amala--nIla-mOktika--mitiH paQca azwa sapta kramAt ekasya
   anyatarasya sapta nava ṣaṭ tad-ratna-saṃkhyā sakhe/	anyatarasya sapta nava zaw tad--ratna--saMKyA saKe/
   BG_92c/ rūpāṇām navatis dvi-ṣaṣṭis anayos tau tulya-vittau tathā bīja-jña	BG_92c/ rUpANAm navatiH dvi-zazwiH anayoH tO tulya-vittO taTA bIja-jQa
   prati-ratna-jāni su-mate maulyāni śīghram vada//[śārdūlavikrīḍita]	prati-ratna-jAni su-mate mOlyAni SIGram vada//[SArdUla-vikrIxita]
   BG_93a/ ekas bravīti mama dehi atam dhanena tvattas bhavāmi hi sakhe	Bu-_93a/ ekaH bravIti mama dehi atam Danena tvattas BavAmi hi saKe
   dvi-guṇas tatas anyas/	dvi-guNaH tatas anyas/
   BG_93c/ brūte daśa arpayasi ced mama ṣaṣ-guṇas aham tvattas tayos vada	BG_93c/ brUte daSa arpayasi ced mama zaz-guNaH aham tvattaH tayoH vada
   dhane mama kim-pramāṇe//[siṃhoddhatā]	Dane mama kim-pramANe//[siMha-udDatA]
   BG_94a/ māṇikya-aṣṭakam indranīla-daśakam muktāphalānām śatam yat te	BG_94a/ mANikya--azwakam indranIla-daSakam muktAPalAnAm Satam yat te
   karṇa-vibhūṣaṇe sama-dhanam krītam tvad-arthe mayā/	karNa--viBUzaNe sama-Danam krItam tvad--arTe mayA/
   BG_94c/ tad-ratna-traya-maulya-saṃyuti-mitis tri-ūnam śata-ardham priye	Bu-_94c/ tad--ratna-traya--mOlya--saMyuti-mitiH tri--Unam Sata-arDam priye
   maulyam brūhi pṛthak yadi iha gaṇite kalpā asi	mOlyam brUhi pRTak yadi iha gaNite kalpAH asi
   kalyāṇini//[śārdūlavikrīḍita]	kalyANi-ni//[-SArdUla-vikrIxita]
   BG_95a/ pañca-aṃśas ali-kulāt kadambam agamat tri-aṃśas śilīndhram tayos	Bu-_95a/ paQca-aMSaH ali-kulAt kadambam agamat tri-aMSaH SilInDram tayos
   viśleṣas tri-guṇas mṛga-akṣi kuṭajam dolāyamānas aparas/	viSlezaH tri-guNaH mRga--akzi kuwajam dolAyamAnaH aparas/
   BG_95c/ kānte ketaka-mālatī-parimala-prāpta-eka-kāla-priyāt dūta-āhūtas	Bu-_95c/ kAnte ketaka-mAlatI--parimala--prApta--eka-kAla-priyAt dUta--AhUtas
   itas tatas bhramati khe bhṛṅgas ali-saṃkhyām vada//[śārdūlavikrīḍita]	itas tatas Bramati Ke BRFgaH ali--saMKyAm vada//[-SArdUla-vikrIxita]
   BG_96a/ pañcaka-śata-datta-dhanāt phalasya vargam viśodhya pariśiṣṭam/	Bu-_96a/ paQcaka-Sata-datta--DanAt Palasya vargam viSoDya pariSizwam/
   BG_96c/ dattam daśaka-śatena tulyas kālas phalam ca tayos//[āryā]	Bu-_96c/ dattam daSa-ka-Satena tulyaH kAlaH Palam ca tayA-us//[AryA]
   BG_97a/ eka-śata-datta-dhanāt phalasya vargam viśodhya pariśiṣṭam/	Bu-_97a/ eka-Sata-datta--DanAt Palasya vargam viSoDya pariSizwam/
   BG_97c/ pañcaka-śatena dattam tulyas kālas phalam ca tayos//[āryā]	Bu-_97c/ paQcaka-Satena dattam tulyaH kAlaH Palam ca tayA-us//[AryA]
   BG_98a/ māṇikya-aṣṭakam indranīla-daśakam muktāphalānām śatam sat-vajrāṇi	BG_98a/ mANikya--azwakam indranIla-daSakam muktAPalAnAm Satam sat--vajrANi
   ca pañca ratna-vaṇijām yeṣām caturṇām dhanam/	ca paQca ratna-vaNijAm yezAm caturNAm Danam/
   BG_98c/ saṅga-sneha-vaśena te nija-dhanāt dattvā ekam ekam mithas jātās	Bu-_98c/ saFga--sneha--vaSena te nija--DanAt dattvA ekam ekam miTas jAtAs
   tulya-dhanās pṛthak vada sakhe tad-ratna-maulyāni me//[śārdūlavikrīḍita]	tulya--DanAH pRTak vada saKe tad--ratna--mOlyAni me//[-SArdUla-vikrIxita]
   BG_99a/ pañcaka-śatena dattam mūlam sa-kalāntaram gate varṣe/	Bu-_99a/ paQcaka-Satena dattam mUlam sa-kala-antaram gate varze/
   BG_99c/ dvi-guṇam ṣoḍaśa-hīnam labdham kim mūlam ācakṣva//[āryā]	Bu-_99c/ dvi-guNam zoxaSa--hInam labDam kim mUlam Acakzu-a//[AryA]
   BG_100a/ yat pañcaka-dvika-catuṣka-śatena dattam khaṇḍais tribhis	Bu-_100a/ yat paQcaka-dvika-catuzka-Satena dattam KaNxEH triBiH-
   navati-yuj triśatī dhanam tat/	navati-yud triSatI Danam tat/
   BG_100c/ māseṣu sapta-daśa-pañcasu tulyam āptam khaṇḍa-traye api sa-phalam	BG_100c/ mAsezu sapta-daSa--paQcasu tulyam Aptam KaNxa--traye api sa-Palam
   vada khaṇḍa-saṃkhyām// [vasantatilakā]	vada KaNxa--saMKyA-am// [vasanta-tilakA]
   BG_101a/ pura-praveśe daśa-das dvi-saṃguṇam vidhāya śeṣam daśa-bhuk ca	Bu-_101a/ pura--praveSe daSa-daH dvi-saMguNam viDAya Sezam daSa-Buj ca
   nirgame/	nirgame/
   BG_101c/ dadau daśa evam nagara-traye abhavat tri-nighnam ādyam vada tat	BG_101c/ dadO daSa evam nagara-traye aBavat tri-niGnam Adyam vada tat-
   kiyat dhanam//	kiyat Danam//
   BG_102a/ sa=ardham tandula-mānaka-trayam aho drammeṇa māna-aṣṭakam	Bu-_102a/ sa=arDam tandula-mAnaka-trayam aho drammeNa mAna--azwakam
   mudgānām ca yadi trayodaśa-mitās etās vaṇik kākiṇīs/	mudgAnAm ca yadi trayodaSa-mitAH etAH vaNij kAkiNIs/
   BG_102c/ ādāya arpaya tandula-aṃśa-yugalam mudga-eka-bhāga-anvitam kṣipram	Bu-_102c/ AdAya arpaya tandula--aMSa--yugalam mudga--eka--BAga--anvitam kzipram
   kṣipra-bhujas vrajema hi yutas sa-arthas agratas yāsyati//	kzipra-BujaH vrajema hi yutaH sa-arTaH agratas yAsyati//
   BG_103a/ sva-ardha-pañca-aṃśa-navamais yuktās ke syus samās trayas/	Bu-_103a/ sva-arDa--paQca-aMSa-navamEH yuktAH ke syuH samAH trayas/
   BG_103c/ anya-aṃśa-dvaya-hīnās ye ṣaṣṭi-śeṣās ca tān vada//	BG_103c/ anya--aMSa--dvaya--hInAH ye zazwi-SezAH ca tAn vada//
   BG_104a/ trayodaśa tathā pañca karaṇyau bhujayos mitī/	Bu-_104a/ trayodaSa taTA paQca karaNyO BujayoH mitI/
   BG_104c/ bhūs ajñātā atra catvāras phalam bhūmim vada āśu me//	BG_104c/ BUH ajQAtA atra catvAraH Palam BUmim vada ASu me//
   BG_105a/ daśa-pañca-karaṇī-antaram ekas bāhus paras ca ṣaṭ karaṇī/	BG_105a/ daSa--paQca-karaNI-antaram ekaH bAhuH paraH ca zaw karaNI/
   BG_105c/ bhūs aṣṭādaśa karaṇī rūpa-ūnā lambam ācakṣva//	BG_105c/ BUH azwAdaSa karaNI rUpa-UnAH lambam Acakzva//
   BG_106a/ asamāna-sama-chedān rāśīn tān caturas vada/	Bu-_106a/ asamAna--sama-CedAn rASIn tAn caturaH vada/
   BG_106c/ yad-aikyam yad-ghana-aikyam vā yeṣām varg-aikya-saṃmitam//	Bu-_106c/ yat--Ekyam yat--Gana--Ekyam vA yezAm varg-a-Ekya--saMmitam//
   [āpaṭe: -dhana- < -ghana-]	[a-Apawe: -Dana < -Gana-]
   BG_107a/ tri-asra-kṣetrasya yasya syāt phalam karṇena saṃmitam/	Bu-_107a/ tri-asra-kzetrasya yasya syAt Palam karNena saMmitam/
   BG_107c/ dos-koṭi-śruti-ghātena samam yasya ca tad-vat//	Bu-_107c/ dos--kowi--Sruti-GAtena samam yasya ca tad--vat//
   BG_108a/ yutau vargas antare vargas yayos ghāte ghanas bhavet/	Bu-_108a/ yutO vargaH antare vargaH yayoH GAte GanaH Bavet-/
   BG_108c/ tau rāśī śīghram ācakṣva dakṣas asi gaṇite yadi//	Bu-_108c/ tO rASI SIGram Acakzva dakzaH asi gaNite yadi//
   BG_109a/ ghana-aikyam jāyate vargas varga-aikyam ca yayos ghanas/	BG_109a/ Gana-Ekyam jAyate vargaH varga-Ekyam ca yayoH Ganas/
   BG_109c/ tau ced vetsi tadā aham tvām manye bīja-vidām varam//	Bu-_109c/ tO ced vetsi tadA aham tvAm manye bIja--vidAm varam//
   BG_110a/ yatra tri-asre kṣetre dhātrī manu-saṃmitā sakhe bāhū/	Bu-_110a/ yatra tri-asre kzetre DAtrI manu--saMmitA saKe bAhU/
   BG_110c/ ekas pañcadaśa anyas trayodaśa vada avalambakam tatra//	Bu-_110c/ ekaH paQcadaSa anyaH trayodaSa vada avalambakam tatra//
   BG_111a/ yadi sama-bhuvi veṇus dvi-tri-pāṇi-pramāṇas gaṇaka pavana-vegāt	Bu-_111a/ yadi sama-Buvi veNuH dvi-tri-pANi--pramANaH gaNaka pavana--vegAt-
   eka-deśe su-bhagnas/	eka-deSe su-Bagna-s/
   BG_111c/ bhuvi nṛpa-mita-hasteṣu aṅga lagnam tad-agram kathaya katiṣu	Bu-_111c/ Buvi nRpa--mita--hastezu aFga lagnam tat--agram kaTaya katizu
   mūlāt eṣas bhagnas kareṣu//	mUlAt ezaH BagnaH karezu//
   BG_112a/ cakra-krauñca-ākulita-salile kva api dṛṣṭam taḍāge toyāt ūrdhvam	Bu-_112a/ cakra-krOQca-Akulita--salile kva api dRzwam taxAge toyAt UrDvam
   kamala-kalikā-agram vitasti-pramāṇam/	kamala-kalikA--agram vitasti--pramANam/
   BG_112c/ mandam mandam calitam anilena āhatam hasta-yugme tasmin magnam	BG_112c/ mandam mandam calitam anilena Ahatam hasta--yugme tasmin magnam
   gaṇaka kathaya kṣipram ambu-pramāṇam//	gaNaka kaTaya kzipram ambu--pramANam//
   BG_113a/ vṛkṣāt hasta-śata-ucchrayāt śata-yuge vāpīm kapis kas api agāt	Bu-_113a/ vRkzAt hasta-Sata-ucSrayAt Sata--yuge vApIm kapiH kaH api agAt-
   uttīrya atha paras drutam śruti-pathāt proḍḍīya kiṃcit drumāt/ [āpaṭe:	uttIrya aTa paraH drutam Sruti-paTAt proxxIya kiMcid drumAt/ [a-Apawe:
   kiṃci < kiṃcit]	kiMci < kiMcid-]
