   Mṛgendratantra, Vidyāpāda, 1	MRgendra-tantra, VidyA-pAda, 1
   * bhavatā kila śabdamātraṃ hi devatā iti pratijñātam ataḥ	* BavatA kila Sabda-mAtram hi devatAH iti pratijQAtam atas-
   śabdavyatiriktadevatānabhyupagame saty etad āpatitaṃ yad uta	Sabda-vyatirikta-devatA-anaByupagame sati etat Apatitam yat uta
   vācakavyatiriktavācyārthāsambhavaḥ /	vAcaka-vyatirikta-vAcyA-arTa-asamBavaH /
   * indrādiśabdānāṃ nānyo vācyo 'rtho vidyate /	* indra-Adi-SabdAnAm na-anyaH vAcyaH arTaH vidyate /
   * evaṃ śabdatvāviśeṣāt ghaṭādāv api ayam eva nyāyo 'stu na caitad yuktam	* evam Sabda-tva-aviSezAt Gawa-AdO api ayam eva nyAyaH astu na ca-etat yuktam
   anubhavavirodhāt // MrgTV_1,1.12ab:1	anuBava-viroDAt // MrgTV_1,1.12ab:1
   * tathā hi // MrgTV_1,1.12ab:2	* taTA hi // MrgTV_1,1.12ab:2
   nādatte ghaṭaśabdo 'mbhaś candraśabdo na rājate || MrgT_1,1.12 ||	na-Adatte Gawa-SabdaH amBaH candra-SabdaH na rAjate || MrgT_1,1.12 ||
   * ghaṭate ceṣṭate arthakriyām iti ghaṭaḥ candati hlādayati dīpyate ceti	* Gawate cezwate arTa-kriyAm iti GawaH candati hlAdayati dIpyate ca-iti
   candra ity evaṃvidhayā śabdavyutpattyā śabdavyatiriktavācyārthāsaṃbhavato	candraH iti evaMviDayA Sabda-vyutpattyA Sabda-vyatirikta-vAcya-arTa-asaMBavataH-
   ghaṭaśabdasyaivodakāharaṇaṃ candraśabdasyaiva cāhlādanādi prāptaṃ na	Gawa-Sabdasya-eva-udaka-AharaNam candra-Sabdasya-eva ca-AhlAt-ana-Adi prAptam na
   cānayos tad asti api tu tadvācyayoḥ	ca-anayoH tat asti api tu tad-vAcyayoH
   pṛthubudhnodarādyākārabhāsvarabimbasvarūpayos	pRTu-buDna-udara-Adi-AkAra-BAsvara-bimba-svarUpayoH-
   tattadarthakriyākaraṇakṣamatvaṃ dṛṣṭam // MrgTV_1,1.12cd:1	tad-tad-arTa-kriyA-karaNa-kzama-tvam dRzwam // MrgTV_1,1.12cd:1
   * tato na vācyavācakayor aikyam // MrgTV_1,1.12cd:2	* tatas na vAcya-vAcakayoH Ekyam // MrgTV_1,1.12cd:2
   * tataś ca na śabdamātraṃ devatā kiṃ tarhi tadvācyaiveti siddham //	* tatas ca na Sabda-mAtram devatA kim tarhi tad-vAcyA-eva-iti sidDam //
   MrgTV_1,1.12cd:3	MrgTV_1,1.12cd:3
   * idānīṃ vākyaṃ tadanyathāsiddham iti paramatam anusaṃdhāya dūṣayati //	* idAnIm vAkyam tat-anyaTA-sidDam iti para-matam anusaMDAya dUzayati //
   MrgTV_1,1.12cd:4	MrgTV_1,1.12cd:4
   athānyaviṣayaṃ vākyam astu śakrādivācakam /	aTa-anya-vizayam vAkyam astu Sakra-Adi-vAcakam /
   karmarūpādiśabdānāṃ sārthakatvaṃ kathaṃ bhavet || MrgT_1,1.13 ||	karma-rUpa-Adi-SabdAnAm sArTaka-tvam kaTam Bavet || MrgT_1,1.13 ||
   * indro vajrī hiraṇmayaḥ ityādīni vākyāni śakrādidevatāliṅgāni	* indraH vajrI hiraNmayaH ityAdIni vAkyAni Sakra-Adi-devatA-liFgAni
   mantrārthavādaparāṇi tv eṣāṃ svarūpayāthārthyam iti yad bhavadbhir	mantra-arTavAda-parANi tu ezAm svarUpa-yATArTyam iti yat BavadBiH-
   abhihitaṃ tat tathāstu svārthapratipādanaparāṇāṃ tu śrūyamāṇānāṃ	aBihitam tat taTA-astu sva-arTa-pratipAdana-parANAm tu SrUyamANAnAm
   karmarūpādiśabdānāṃ katham arthavattvaṃ syāt // MrgTV_1,1.13:1	karma-rUpa-Adi-SabdAnAm kaTam arTavat-tvam syAt // MrgTV_1,1.13:1
   * tatra karmaśabdāḥ kriyābhidhāyinaḥ vrīhīn avahanti ityādayaḥ //	* tatra karma-SabdAH kriyA-aBiDAyinaH vrIhIn avahanti ityAdayaH //
   MrgTV_1,1.13:2	MrgTV_1,1.13:2
   * evaṃ rūpaśabdāḥ jātyādiśabdāś ca // MrgTV_1,1.13:3	* evam rUpa-SabdAH jAti-Adi-SabdAH ca // MrgTV_1,1.13:3
   * yathā śvetaṃ chāgam ālabheta ity atra śvetaśabdasya rūpābhidhāyinaḥ	* yaTA Svetam CAgam AlaBeta iti atra Sveta-Sabdasya rUpa-aBiDAyinaH
   chāgaśabdasya ca jātivācinaḥ śakrādiśabdavat śabdatvāviśeṣāt	CAga-Sabdasya ca jAti-vAcinaH Sakra-Adi-Sabda-vat Sabda-tva-aviSezAt-
   svarūpayāthārthyāsaṃbhave saty ānarthakyaṃ tataś ca codanāvākyānām	svarUpa-yATArTya-asaMBave sati AnarTakyam tatas ca codanA-vAkyAnAm
   akiṃcitkaratvam // MrgTV_1,1.13:4	akiMcitkara-tvam // MrgTV_1,1.13:4
   * yad vā śakrādivācakasya vākyasyānyaviṣayatve kalpyamāne tadviṣayāṇām	* yat vA Sakra-Adi-vAcakasya vAkyasya-anya-vizaya-tve kalpyamAne tad-vizayANAm
   indro vṛtram avadhīt ityādīnāṃ karmaśabdānāṃ sahasradṛgvajrapāṇyādīnāṃ ca	indraH vRtram avaDIt ityAdInAm karma-SabdAnAm sahasra-dRS-vajrapANi-AdInAm ca
   rūpādyabhidhāyināṃ śabdānāṃ katham arthavattvaṃ syāt // MrgTV_1,1.13:5	rUpa-Adi-aBiDAyinAm SabdAnAm kaTam arTavat-tvam syAt // MrgTV_1,1.13:5
   * na cārghajaratīyanyāya upapādayituṃ śakyo yena vidhiśabdānām eva	* na ca-arGa-jaratIya-nyAyaH upapAdayitum SakyaH yena viDi-SabdAnAm eva
   svarūpayāthārthyaṃ nendrādiśabdānām iti syāt // MrgTV_1,1.13:6	svarUpa-yATArTyam na-indra-Adi-SabdAnAm iti syAt // MrgTV_1,1.13:6
   * yad apy uktaṃ lokavādāḥ kva sādhavaḥ iti tad ayuktam // MrgTV_1,1.13:7	* yat api uktam loka-vAdAH kva sADavaH iti tat ayuktam // MrgTV_1,1.13:7
   * yataḥ // MrgTV_1,1.13:8	* yatas // MrgTV_1,1.13:8
   pravādo 'py akhilo mithyā samūlatvān na yuktimat /	pravAdaH api aKilaH miTyA sa-mUla-tvAt na yuktimat /
   sa ced amūlo bhūtānāṃ hatāḥ sarvāḥ pravṛttayaḥ || MrgT_1,1.14 ||	sa ced amUlaH BUtAnAm hatAH sarvAH pravRttayaH || MrgT_1,1.14 ||
   * nadyās tīre guḍaśakaṭaṃ paryastam ityāder nirmūlasyāpi pravādasya	* nadyAH tIre guxa-Sakawam paryastam ityAdeH nirmUlasya-api pravAdasya
   ekāntena na mithyātvaṃ kadācit saṃvāditatvāt // MrgTV_1,1.14:1	ekAntena na miTyAtvam kadAcid saMvAdita-tvAt // MrgTV_1,1.14:1
   * tataś ca sarvapravādo na satya ity etan na yuktimat na pramāṇopapannam	* tatas ca sarva-pravAdaH na satyaH iti etat na yuktimat na pramANa-upapannam
   iti yāvat samūlatve sati mithyātvāsiddheḥ // MrgTV_1,1.14:2	iti yAvat sa-mUla-tve sati miTyAtva-asidDeH // MrgTV_1,1.14:2
   * mūlaṃ cāsyāgamaḥ // MrgTV_1,1.14:3	* mUlam ca-asya-AgamaH // MrgTV_1,1.14:3
   * tathā cāhuḥ /	* taTA ca-AhuH /
   * prasiddhim āgamaḥ prāpto loka ity abhidhīyate /	* prasidDim AgamaH prAptaH lokaH iti aBiDIyate /
   * iti // MrgTV_1,1.14:4	* iti // MrgTV_1,1.14:4
   * atha nirmūlo yaḥ pravādaḥ sa cen mithyārūpaḥ tad apy ayuktaṃ yasmād evaṃ	* aTa nirmUlaH yaH pravAdaH sa ced miTyA-rUpaH tat api ayuktam yasmAt evam
   kalpyamāne bhūtānāṃ sarvāḥ pravṛttayo vyāhanyeran // MrgTV_1,1.14:5	kalpyamAne BUtAnAm sarvAH pravRttayaH vyAhanyeran // MrgTV_1,1.14:5
   * sarvo hi hitaprepsur ahitajihāsur vā na pramāṇaghaṭanāṃ kṛtvā tāṃ	* sarvaH hi hita-prepsuH ahita-jihAsuH vA na pramANa-GawanAm kRtvA tAm
   puraskṛtya lokavyavahāre dṛṣṭaphale sevākṛṣyādāv adṛṣṭaphale veṣṭāpūrtādau	puraskRtya loka-vyavahAre dRzwa-Pale sevA-AkRzya-AdO adRzwa-Pale vezwA-pUrta-AdO
   pravartate kiṃ tu prāyaśo gatānugatikapravādamātrādhivāsitamatiḥ //	pravartate kim tu prAyaSas gata-anugatika-pravAda-mAtra-aDivAsita-matiH //
   MrgTV_1,1.14:6	MrgTV_1,1.14:6
   * kīdṛśaṃ ca bhavatā pravādasya mūlam anveṣṭavyam // MrgTV_1,1.14:7	* kIdRSam ca BavatA pravAdasya mUlam anvezwavyam // MrgTV_1,1.14:7
   * yadi cirakālapravṛttatvena bahujanoddhoṣsthayamāṇatvaṃ tad yuktam eva //	* yadi cira-kAla-pravRtta-tvena bahu-jana-udDa-uzsTayamANa-tvam tat yuktam eva //
   MrgTV_1,1.14:8	MrgTV_1,1.14:8
   * anyathā pravāda eva nāsau tathā ca sati nāsya mithyātvam //	* anyaTA pravAdaH eva na-asO taTA ca sati na-asya miTyAtvam //
   MrgTV_1,1.14:9	MrgTV_1,1.14:9
   * cirataram anekajanaprathitatve 'pi kuto 'syodbhava ity evaṃ vidhimūlaṃ	* cirataram aneka-jana-praTita-tve api kutas asya-udBavaH iti evam viDi-mUlam
   parīkṣyate tarhy āgamaparīkṣaiveyaṃ na lokavādavicāraḥ // MrgTV_1,1.14:10	parIkzyate tarhi Agama-parIkzA-eva-iyam na loka-vAda-vicAraH // MrgTV_1,1.14:10
   * na caitad evaṃ yato bhavadbhir api śrutirūpād āgamād anya eva	* na ca-etat evam yatas BavadBiH api Sruti-rUpAt AgamAt anyaH eva
   sajjanasevito vyavahāraḥ śiṣṭācārākhyo dharmamūlatvenābhyupagata ity alaṃ	sat-jana-sevitaH vyavahAraH Sizwa-AcAra-AKyaH Darma-mUla-tvena-aByupagataH iti alam
   pradveṣeṇa // MrgTV_1,1.14:11	pradvezeNa // MrgTV_1,1.14:11
   * tad evaṃ samūlena lokapravādeneśvarākhyaviśiṣṭadevatāsaṃbhavaḥ //	* tat evam sa-mUlena loka-pravAdena-ISvara-AKya-viSizwa-devatA-saMBavaH //
   MrgTV_1,1.14:12	MrgTV_1,1.14:12
   * tathā hi // MrgTV_1,1.14:13	* taTA hi // MrgTV_1,1.14:13
   upamanyur haraṃ dṛṣṭvā vimanyur abhavan muniḥ /	upamanyuH haram dRzwvA vimanyuH aBavat muniH /
   * kiṃ na nāmākhilajanapratītam etad yan munir upamanyuḥ parameśvareṇa	* kim na nAma-aKila-jana-pratItam etat yat muniH upamanyuH parameSvareNa
   varapradāne nānugṛhītaḥ // MrgTV_1,1.15ab:1	vara-pradAne na-anugRhItaH // MrgTV_1,1.15ab:1
   * tathā ca mahābhārate ānuśāsanike parvaṇi	* taTA ca mahABArate AnuSAsanike parvaNi
   bhagavadvyāsamuninopamanyuvākyaṃ pradarśitam /	Bagavat-vyAsa-muninA-upamanyu-vAkyam pradarSitam /
   * āha māṃ bhagavān īśaḥ prahasann iva śaṃkaraḥ /	* Aha mAm BagavAn ISaH prahasan iva SaMkaraH /
   * vatsopamanyo prīto 'smi paśya māṃ munipuṃgava // MrgTV_1,1.15ab:2	* vatsa-upamanyo prItaH asmi paSya mAm muni-puMgava // MrgTV_1,1.15ab:2
   * dṛḍhabhakto 'si viprarṣe mayā jijñāsitas tv asi /	* dRXa-BaktaH asi vipra-Rze mayA jijQAsitaH tu asi /
   * anayā vatsa sadbhaktyā te 'tyarthaṃ prītavān aham // MrgTV_1,1.15ab:3	* anayA vatsa sat-BaktyA te atyarTam prItavAn aham // MrgTV_1,1.15ab:3
   * tasmāt sarvān pradāsyāmi varān ye manasi sthitāḥ /	* tasmAt sarvAn pradAsyAmi varAn ye manasi sTitAH /
   * iti // MrgTV_1,1.15ab:4	* iti // MrgTV_1,1.15ab:4
   * athocyate mithyaitad upamanyunātmaprabhāvakathanāyoktam atra hi kiṃ	* aTa-ucyate miTyA-etat upamanyunA-Atma-praBAva-kaTanAya-uktam atra hi kim
   pramāṇaṃ yad evam asau bhagavatānugṛhīta iti /	pramANam yat evam asO BagavatA-anugRhItaH iti /
   * tad asad yasmāt // MrgTV_1,1.15ab:5	* tat asat yasmAt // MrgTV_1,1.15ab:5
   kathaṃ tasya vaco mithyā yasya vaśyaḥ payonidhiḥ || MrgT_1,1.15 ||	kaTam tasya vacaH miTyA yasya vaSyaH payoniDiH || MrgT_1,1.15 ||
   * yasya kila sakalamunijanapratyakṣaparidṛśyamānaḥ kṣīrābdhiḥ svādhīnaḥ	* yasya kila sakala-muni-jana-pratyakza-paridRSyamAnaH kzIrAbDiH svADInaH
   tasya vacasaḥ kiṃ nāma mithyātvam /	tasya vacasaH kim nAma miTyAtvam /
   * ayam āśayaḥ parameśvarāt prāptavaro 'ham ity anṛtavāditvaṃ tadānīṃ tasya	* ayam ASayaH parameSvarAt prApta-varaH aham iti anRta-vAdi-tvam tadAnIm tasya
   bhavet yadi dugdhodadhivaśīkāraḥ pracuramunijanapratyakṣo na syāt /	Bavet yadi dugDa-udaDi-vaSIkAraH pracura-muni-jana-pratyakzaH na syAt /
   * yadi ca saṃvādīny api vacāṃsi mithyā tarhi na kiṃcit satyavacanam /	* yadi ca saMvAdIni api vacAMsi miTyA tarhi na kiMcid satya-vacanam /
   * praśāntarāgadveṣāṇāṃ sākṣātkṛtabhūtabhaviṣyadarthānāṃ munīnām api	* praSAnta-rAga-dvezANAm sAkzAtkRta-BUta-Bavizyat-arTAnAm munInAm api
   mithyāvāditvābhyupagame manvādayo 'pi dattadakṣiṇās tvayety aho	miTyAvAdi-tva-aByupagame manu-AdayaH api datta-dakziNAH tvayA-iti aho
   svadarśanakauśalam // MrgTV_1,1.15cd:1	sva-darSana-kOSalam // MrgTV_1,1.15cd:1
   * kiṃ ca // MrgTV_1,1.15cd:2	* kim ca // MrgTV_1,1.15cd:2
   kroḍīkṛto hi pāśena viṣajvālāvalīmucā /	kroxIkRtaH hi pASena viza-jvAlA-AvalI-mucA /
   huṃkṛtya mocitaḥ patyā dṛṣṭaḥ śveto ghanair janaiḥ || MrgT_1,1.16 ||	huMkRtya mocitaH patyA dRzwaH SvetaH GanEH janEH || MrgT_1,1.16 ||
   * viṣānalārciḥparamparākṣepabhīṣaṇenāśīviṣapāśena vivaśīkṛtaḥ śvetaḥ	* viza-anala-arciH-paramparA-Akzepa-BIzaNena-ASIviza-pASena vivaSIkRtaH SvetaH
   pātīti patis tena patyā trāṇaśīlena parameśvareṇa huṃkāramātraṃ kṛtvā	pAti-iti patiH tena patyA trANa-SIlena parameSvareNa huMkAra-mAtram kRtvA
   krodhāgninā bhasmīkṛtya mocitaḥ iti ghanair aviralair bhūyobhir janair	kroDa-agninA BasmIkRtya mocitaH iti GanEH aviralEH BUyoBiH janEH-
   asmatsajātīyair muniprabhṛtibhiś ca dṛṣṭaḥ // MrgTV_1,1.16:1	asmad-sajAtIyEH muni-praBRtiBiH ca dRzwaH // MrgTV_1,1.16:1
   * atrāpi trikāladarśibhir devaiś ca pravartite pravāde yady asamāśvāsas	* atra-api tri-kAla-darSiBiH devEH ca pravartite pravAde yadi asamASvAsas
   tarhi āgamam eva na sahata iti vaktavyaṃ tathā ca sati śrutir api	tarhi Agamam eva na sahate iti vaktavyam taTA ca sati SrutiH api
   asahanasya bhavataḥ prāmāṇyalābhe dainyena bhītabhītā mukham anvīkṣata iti	asahanasya BavataH prAmANya-lABe dEnyena BIta-BItA muKam anvIkzate iti
   tadanukampayā saṃrakṣyatām atisāhasam // MrgTV_1,1.16:2	tad-anukampayA saMrakzyatAm ati-sAhasam // MrgTV_1,1.16:2
   * nanu mithyātvahetūnāṃ doṣāṇāṃ kartrāśrayatvād akṛtakatvena nityatvāt	* nanu miTyAtva-hetUnAm dozANAm kartR-ASraya-tvAt akRtaka-tvena nitya-tvAt-
   śrutes tasyāḥ prāmāṇyāya ko 'yam upahāsaḥ // MrgTV_1,1.16:3	SruteH tasyAH prAmANyAya kaH ayam upahAsaH // MrgTV_1,1.16:3
   * na kaścit kiṃ tu kartrabhāvaniścaye pramāṇaṃ notpaśyāmaḥ pratyuta	* na kaScid kim tu kartR-aBAva-niScaye pramANam na-utpaSyAmaH pratyuta
   svayaṃbhuve namaskṛtya ityādivākyavat racanāvattvāt	svayaMBuve namaskRtyaH ityAdi-vAkya-vat racanAvat-tvAt
   kartṛvyāpārāvivanābhāvitvam utprekṣāmaha ity alam anena // MrgTV_1,1.16:4	kartR-vyApArA-vivana-aBAvi-tvam utprekzAmahe iti alam anena // MrgTV_1,1.16:4
   * prakṛtam anusarāmaḥ // MrgTV_1,1.16:5	* prakRtam anusarAmaH // MrgTV_1,1.16:5
   iti vādānuṣaṅgeṇa haraśaṃsāpraharṣitān /	iti vAda-anuzaFgeNa hara-SaMsA-praharzitAn /
   sāśrugadgadavācas tān vīkṣya prīto 'bhavad dhīraḥ || MrgT_1,1.17 ||	sa-aSru-gadgada-vAcaH tAn vIkzya prItaH aBavat DIraH || MrgT_1,1.17 ||
   uktavaddevatāstitvaprastāvāyāyātaparameśvarapraśaṃsāharṣapravṛttānandāśruvaśād	ukta-vat-devatA-astitva-prastAvAya-ayAta-parameSvara-praSaMsA-harza-pravRtta-Ananda-aSru-vaSAd
   avispaṣṭagirastān bharadvājādīn dṛṣṭvā indras tān prati paraṃ tutoṣa ity	avispazwa-girastAn BaradvAja-AdIn dRzwvA indraH tAn prati param tutozaH iti-
   evaṃ hārītamuniḥ svaśiṣyān āha // MrgTV_1,1.17:1	evam hArIta-muniH sva-SizyAn Aha // MrgTV_1,1.17:1
   svaṃ rūpaṃ darśayāmāsa vajrī devaḥ śatakratuḥ /	svam rUpam darSayAmAsa vajrI devaH SatakratuH /
   taruṇādityasaṃkāśaṃ stūyamānaṃ marudgaṇaiḥ || MrgT_1,1.18 ||	taruNa-Aditya-saMkASam stUyamAnam marut-gaNEH || MrgT_1,1.18 ||
   * pratyagrārkabhāsvaraṃ devair gaṇaiś ca stūyamānam ātmīyaṃ rūpaṃ	* pratyagra-arka-BAsvaram devEH gaNEH ca stUyamAnam AtmIyam rUpam
   vajrapāṇir devaḥ śatakratuḥ prakaṭīcakāra /	vajrapANiH devaH SatakratuH prakawIcakAra /
   * tejo'tiśayayogasya hetutayā śatakratur vajrīti ca viśeṣaṇadvayam /	* tejaH-atiSaya-yogasya hetu-tayA SatakratuH vajrI-iti ca viSezaNa-dvayam /
   * kuliśasya svabhāva evāyaṃ yad adbhutaprabhābhāsvaratvaṃ śatakratutvāc ca	* kuliSasya svaBAvaH eva-ayam yat adButa-praBA-BAsvara-tvam Satakratu-tvAt ca
   tajjanitapuṇyaprabhāvād adbhutabhūrimahaḥsamūhatvam iti // MrgTV_1,1.18:1	tad-janita-puNya-praBAvAt adButa-BUri-mahaH-samUha-tvam iti // MrgTV_1,1.18:1
   te tam ṛgbhir yajurbhiś ca sāmabhiś cāstuvan natāḥ /	te tam RgBiH yajurBiH ca sAmaBiH ca-astuvan natAH /
   so 'bravīd ucyatāṃ kāmo jagatsu pravaro 'pi yaḥ || MrgT_1,1.19 ||	saH abravIt ucyatAm kAmaH jagatsu pravaraH api yaH || MrgT_1,1.19 ||
   te vavrire śivajñānaṃ śrūyatām iti so 'bravīt /	te vavrire Siva-jQAnam SrUyatAm iti saH abravIt /
   kiṃ tv eko 'stu mama praṣṭā nikhilaśrotṛsaṃmataḥ || MrgT_1,1.20 ||	kim tu ekaH astu mama prazwA niKila-SrotR-saMmataH || MrgT_1,1.20 ||
   * te bharadvājādayas taṃ pratyakṣīkṛtasvasvarūpam indraṃ ṛgyajuḥsāmabhiḥ	* te BaradvAja-AdayaH tam pratyakzIkRta-sva-svarUpam indram Rc-yajuH-sAmaBiH
   prahvāḥ santas tuṣṭuvuḥ /	prahvAH santaH tuzwuvuH /
   * sa ca sarvajagatpravaro varo bhavadbhir abhyarthyatām iti tān āha /	* sa ca sarva-jagat-pravaraH varaH BavadBiH aByarTyatAm iti tAn Aha /
   * te tadaivam uktāḥ pārameśvaraṃ jñānaṃ śāstraṃ vṛtavantaḥ /	* te tadA-evam uktAH pArameSvaram jQAnam SAstram vRtavantaH /
   * sa tu tadabhyarthitaṃ jñānopadeśaṃ dātuṃ tān prativacanaṃ śrūyatām ity	* sa tu tad-aByarTitam jQAna-upadeSam dAtum tAn prativacanam SrUyatAm iti-
   āha kiṃ tu mamaika eva bhavatāṃ madhyāt sakalaśrotṛjanābhimato	Aha kim tu mama-ekaH eva BavatAm maDyAt sakala-SrotR-jana-aBimataH-
   yathāvasaram anuktavastunaḥ praṣṭā bhavatu sarvaiś caiva bhavadbhiḥ	yaTAvasaram anukta-vastunaH prazwA Bavatu sarvEH ca-eva BavadBiH
   śrūyatām iti // MrgTV_1,1.20:1	SrUyatAm iti // MrgTV_1,1.20:1
   * evaṃ bhagavatā śakreṇokte sati // MrgTV_1,1.20:2	* evam BagavatA SakreNa-ukte sati // MrgTV_1,1.20:2
   atha teṣāṃ bharadvājo bhagavān agraṇīr abhūt /	aTa tezAm BaradvAjaH BagavAn agraNIH aBUt /
   vāgmī pragalbhaḥ papraccha nyāyataḥ surapūjitam || MrgT_1,1.21 ||	vAgmI pragalBaH papracCa nyAyataH sura-pUjitam || MrgT_1,1.21 ||
   * athānantaraṃ teṣāṃ madhyād aiśvaryādiguṇayogāt bhagavān	* aTa-anantaram tezAm maDyAt ESvarya-Adi-guNa-yogAt BagavAn
   vividhaśāstrābhyāsādhivāsapraśasyavāgyuktatvāc ca vāgmī praṣṭavyāvasareṣu	viviDa-SAstra-aByAsa-aDivAsa-praSasya-vAc-yukta-tvAt ca vAgmI prazwavya-avasarezu
   akauśalāpratipattyādyayogāt pragalbhaś ca bharadvājo munir nyāyata iti	akOSala-apratipatti-Adya-yogAt pragalBaH ca BaradvAjaH muniH nyAyate iti
   nyāyena śiṣyocitayā nītyā yuktyupapannapūrvapakṣakaraṇena vā indram	nyAyena Sizya-ucitayA nItyA yukti-upapanna-pUrva-pakza-karaNena vE indram
   apṛcchad iti // MrgTV_1,1.21:1	apRcCat iti // MrgTV_1,1.21:1
   * āha // MrgTV_1,1.21:2	* Aha // MrgTV_1,1.21:2
   kathaṃ maheśvarād etad āgataṃ jñānam uttamam /	kaTam maheSvarAt etat Agatam jQAnam uttamam /
   kiṃ ca cetasi saṃsthāpya nirmame bhagavān idam || MrgT_1,1.22 ||	kim ca cetasi saMsTApya nirmame BagavAn idam || MrgT_1,1.22 ||
   * yad etad bhagavatā asmabhyam upadeṣṭum ārabdham itarebhyo jñānebhyaḥ	* yat etat BagavatA asmaByam upadezwum ArabDam itareByaH jQAneByaH
   sātiśayaphalatvāc chreṣṭhatamaṃ jñānaṃ tat kathaṃ maheśvarāt	sa-atiSaya-Pala-tvAt SrezWatamam jQAnam tat kaTam maheSvarAt-
   praśāntasvarūpān niṣkalāc chivāt prasṛtam // MrgTV_1,1.22:1	praSAnta-svarUpAt nizkalAt SivAt prasRtam // MrgTV_1,1.22:1
   * jñānaṃ hi dvirūpam avabodharūpaṃ śabdarūpaṃ ca // MrgTV_1,1.22:2	* jQAnam hi dvi-rUpam avaboDa-rUpam Sabda-rUpam ca // MrgTV_1,1.22:2
   * tad avabodharūpaṃ śabdarūpārūḍhaṃ sarveṣu pravartate // MrgTV_1,1.22:3	* tat avaboDa-rUpam Sabda-rUpa-ArUXam sarvezu pravartate // MrgTV_1,1.22:3
   * tatrāditaḥ parameśvarād avabodharūpam eva tāvat kathaṃ prāptaṃ kathaṃ ca	* tatra-Aditas parameSvarAt avaboDa-rUpam eva tAvat kaTam prAptam kaTam ca
   śabdarūpatām etya bahubhedabhinnaṃ sampannam // MrgTV_1,1.22:4	Sabda-rUpa-tAm etya bahu-Beda-Binnam sampannam // MrgTV_1,1.22:4
   * kiṃ cākalayya bhagavān idam akarot // MrgTV_1,1.22:5	* kim ca-Akalayya BagavAn idam akarot // MrgTV_1,1.22:5
   * na hy anabhisaṃhitaprayojanaḥ kaścit kartā kiṃcit kāryaṃ kurvan dṛṣṭaḥ	* na hi anaBisaMhita-prayojanaH kaScid kartA kiMcid kAryam kurvan dRzwaH
   // MrgTV_1,1.22:6	// MrgTV_1,1.22:6
   * tasya ca bhagavata etat karaṇe kiṃ kāraṇam ity arthaḥ // MrgTV_1,1.22:7	* tasya ca BagavataH etat karaNe kim kAraNam iti arTaH // MrgTV_1,1.22:7
   * athātra prativacanam // MrgTV_1,1.22:8	* aTa-atra prativacanam // MrgTV_1,1.22:8
   sṛṣṭikāle maheśānaḥ puruṣārthaprasiddhaye /	sRzwi-kAle maheSAnaH puruza-arTa-prasidDaye /
   vidhatte vimalaṃ jñānaṃ pañcasroto 'bhilakṣitam || MrgT_1,1.23 ||	viDatte vimalam jQAnam paQca-srotaH aBilakzitam || MrgT_1,1.23 ||
   * sargaprārambhe parameśvareṇa puruṣārthasya bhuktimuktyātmanaḥ	* sarga-prAramBe parameSvareNa puruza-arTasya Bukti-mukti-AtmanaH
   sampattyarthaṃ vimalam ity avabodhātmano nādarūpatvena prathamaṃ	sampatti-arTam vimalam iti avaboDa-AtmanaH nAda-rUpa-tvena praTamam
   prasṛtatvād agṛhītopādhibhedaṃ paratas	prasRta-tvAt agRhIta-upADi-Bedam paratas-
   tūrdhvaprāgdakṣiṇapaścimottarasrotaḥpañcakenābhitaḥ samantāt prasṛtatvena	tu-UrDva-prAc-dakziNa-paScima-uttara-srotaH-paQcakena-aBitas samantAt prasRta-tvena
   lakṣitam iti sadāśivarūpeṇa darśanātmatāṃ prāpitaṃ jñānaṃ nirmitam iti	lakzitam iti sadASiva-rUpeNa darSana-Atma-tAm prApitam jQAnam nirmitam iti
   kramaḥ // MrgTV_1,1.23:1	kramaH // MrgTV_1,1.23:1
   * prayojanaṃ ca pūrvapraśnitam upavarṇitam // MrgTV_1,1.23:2	* prayojanam ca pUrva-praSnitam upavarNitam // MrgTV_1,1.23:2
   * kiṃ ca // MrgTV_1,1.23:3	* kim ca // MrgTV_1,1.23:3
   tadvartivācakavrātavācyān aṣṭau maheśvarān /	tad-varti-vAcaka-vrAta-vAcyAn azwO maheSvarAn /
   saptakoṭiprasaṃkhyātān mantrāṃś ca parame 'dhvani || MrgT_1,1.24 ||	sapta-kowi-prasaMKyAtAn mantrAn ca parame aDvani || MrgT_1,1.24 ||
   * mantroddhāraprakaraṇābhidhāsyamānajñānamadhyavartino vācakavrātasya	* mantra-udDAra-prakaraNa-aBiDAsyamAna-jQAna-maDya-vartinaH vAcaka-vrAtasya
   mantragaṇasya ye vācyā anantādayo 'ṣṭau vidyeśās tāṃs tathā	mantra-gaNasya ye vAcyAH ananta-AdayaH azwO vidyeSAH tAn taTA
   māyīyasyāśuddhasyādhvanas tatkālam anāvirbhāvāc chuddhavidyābhuvane	mAyIyasya-aSudDasya-aDvanaH tad-kAlam anAvirBAvAt SudDa-vidyA-Buvane
   kṛtasthitīn saptakoṭisaṃkhyātān mantrān parameśvaro vidhatta iti pūrveṇa	kRta-sTitIn sapta-kowi-saMKyAtAn mantrAn parameSvaraH viDattaH iti pUrveNa
   sambandhaḥ // MrgTV_1,1.24:1	sambanDaH // MrgTV_1,1.24:1
   * kālasāmānye 'pi prathamalakārasya spaṣṭatvāt sṛṣṭikāle vyadhād ity	* kAla-sAmAnye api praTama-lakArasya spazwa-tvAt sRzwi-kAle vyaDAt iti-
