   Adhyaya 3, Pada 1	ADyayaH 3, Pada 1
   etaduktaṃ bhavati /	etat uktam Bavati /
   ata ityarthadvayaṃ hetutvenoktam /	atas iti arTa dvayam hetu tvena uktam /
   pratyekaṃ copādhyadhīnatvādikaṃ vyāvartanīyam /	pratyekam ca upADi aDIna tva Adikam vyAvartanIyam /
   tadadhīnatvādeva tatsadṛśatvādeveti /	tad aDIna tvAt eva tad sadRSa tvAt eva iti /
   tasmādubhāvapi sārthakāviti /	tasmAt uBO= api sArTakO= iti /
   evaśabdenaikenaivaśabdenobhayāvadhāraṇaṃ pratiṣedhati /	eva Sabdena ekena eva Sabdena uBaya avaDAraNam pratizeDati /
   nanvekaikenaivaśabdenārthadvayasyoktatvādekenaivādhāraṇenālam /	nanu ekEkena eva Sabdena arTa dvayasya ukta tvAt ekena eva ADAraNena alam /
   maivam /	mA evam /
   buddhayā viviktenārthadvayena sambandhāt /	budDayA viviktena arTa dvayena sambanDAt /
   athārthadvayamekīkṛtya kasmānnāvadhāryate /	aTa arTa dvayam ekIkRtya kasmAt na avaDAryate /
   astyatra sūcanīyo 'rthaḥ /	asti atra sUcanIyaH arTaH /
   yadyata evetyetāvadevocyeta tadekasyaivārthasyāyaṃ parāmarśo na dvitayasya	yat yatas eva iti etAvat eva ucyeta tat ekasya eva arTasya ayam parAmarSaH na dvitayasya
   parāmarśo dvitīyaparāmarśe'pi militasya hetutvamiti jñāyeta /	parAmarSaH dvitIya parAmarSe api militasya hetu tvam iti jQAyeta /
   avadhāraṇadvayaprayoge tu tadanyathānupapattyā pratyekaṃ	avaDAraNa dvaya prayoge tu tat anyaTA anupapattyA pratyekam
   hetubhūtārthadvayaparāmarśo vijñāyate /	hetu BUta arTa dvaya parAmarSaH vijQAyate /
   tathāca bādhakasyānekatvena prābalyaṃ viśeṣaṇakṛtyagaveṣaṇaprayāsani(rāso	taTA ca bADakasya aneka tvena prAbalyam viSezaNa kRtya gavezaNa prayAsa ni(rAsaH 
   'pi na syā)rasaranaṃ ca labdhaṃ syāt /	api na syA) rasa ranam ca labDam syAt /
   tadidamuktam  sūtragatāviti //	tat idam uktam sUtra gatO= iti //
   [JOSHI 18]	[JOSHI 18]
   evaṃ cetanatvādyanumānasya bādhakatayoktamābhāsatvānumānaṃ samarthitam /	evam cetana tva Adi anumAnasya bADaka tayA uktam ABAsatva anumAnam samarTitam /
   tadidaṃ pramāṇāntaropalakṣaṇamityāśayavānāha  akhileti //	tat idam pramANa antara upalakzaNam iti ASa yavAn Aha aKila iti //
   ... akhilamānataḥ // MAnuv_3,2.129f //	... aKila mAnataH // Ma anuv_3,2.129f //
   jīveśabhedadṛṣṭayaiva samudāyaikatā kutaḥ // MAnuv_3,2.130ab //	jIveSa Beda dRzwayA eva samudAya eka tA kutas // Ma anuv_3,2.130aB //
   NYĀYASUDHĀ:	NYĀYA SUDHĀ:
   na kevalamābhāsatvānumānena kintvakhilairapi mānaiḥ /	na kevalam ABA satva anumAnena kintu aKilEH api mAnEH /
   bhedadṛṣṭayetyukte siddhasādhanatā syāt /	Beda dRzwayA iti ukte sidDa sADana tA syAt /
   pareṇāpi bhedasyāṅgīkṛtatvāt /	pareNa api Bedasya aFgIkRta tvAt /
   ata"eva'śabdaḥ /	ata"eva aSabdaH /
   sa ca samāse guṇabhūtenāpi buddhayā viviktena bhedaśabdena sambaddhayate	sa ca samAse guNa BUtena api budDayA viviktena Beda Sabdena sambadDayate
   'bhedanirāsena bhedasya darśanāditi /	aBeda nirAsena Bedasya darSanAt iti /
   kutaḥ pramāṇātsiddhayet /	kutas pramANAt sidDayet /
   tatraikyabādhakaṃ pratyakṣaṃ tāva(tprasiddha)tsiddhameva /	tatra Ekya bADakam pratyakzam tAva(t prasidDa)tsidDam eva /
   nāhaṃ sarvajño nirdeṣa ityādyanubhavāt /	na aham sarvajQaH nirdezaH ityAdi anuBavAt /
   yathā hi stambhe kumbhatādātmyābhāvaḥ pratyakṣastathā'tmani	yaTA hi stamBe kumBa tAdAtmya aBAvaH pratyakzaH taTA atmani
   sārvajñādilakṣaṇabrahmatādātmyābhāvaḥ sākṣiṇā siddha eva /	sArvajQa Adi lakzaNa brahma tAdAtmya aBAvaH sAkziNA sidDaH eva /
   tadabhrāntatā ca prāgevopapāditā /	tad aBra anta tA ca prAk eva upapAditA /
   āgamāstu tatra tatrodāhṛtā draṣṭavyāḥ /	AgamAH tu tatra tatra udAhRtAH drazwavyAH /
   anumānāntaraṃ (tvāha) cāha  aśeṣeti //	anumAna antaram (tvA aha) ca aha aSeza iti //
   aśeṣadoṣarāhityaṃ sarvaśaktitvato hareḥ // MAnuv_3,2.130cd //	aSeza doza rAhityam sarva Sakti tvataH hareH // MA anuv_3,2.130cd //
   sarvopeteti kathitamata aikyaṃ kva doṣiṇā // MAnuv_3,2.131ab //	sarva upeta iti kaTitam atas Ekyam kva doziNAH // Ma anuv_3,2.131aB //
   NYĀYASUDHĀ:	NYĀYA SUDHĀ:
   etaduktaṃ bhavati /	etat uktam Bavati /
   jīvabrahmaṇī nābhedavatī viruddhadharmādhikaraṇāt /	jIva brahmaNI na aBedavatI virudDa Darma aDikaraNAt /
   chāyā'tapavat /	CAyA atapavat /
   na cāsiddho hetuḥ /	na ca asidDaH hetuH /
   sarvopetā ca taddarśanāditi sarvaśaktitvena hetunā brahmaṇo	sarva upetA ca tad darSanAt iti sarva Sakti tvena hetunA brahmaNaH 
   'śeṣadoṣarāhityasya samarthitatvāt /	aSeza doza rAhiti asya samarTita tvAt /
   jīve duḥkhādidoṣāṇāmanubhavasiddhatvāt /	jIve duHKa Adi dozANAm anuBava sidDa tvAt /
   viruddhadharmādhikaraṇayorapyaikye stambhakumbhayorapyaikyaṃ syāditi /	virudDa Darma aDikaraNayoH api Ekye stamBa kumBayoH api Ekyam syAt iti /
   nanvastu paramātmā sarvaśaktiraśeṣadoṣarahitaśca /	nanu astu paramAtmA sarva SaktiH aSeza doza rahitaH ca /
   tathāpyupādhibhinnastadaṃśo jīvāstannimittadoṣavāṃśca bhaviṣyati ko	taTA api upADiBinnaH tad aMSaH jIvAH tad nimitta dozavAn= ca Bavizyati kaH 
   virodhaḥ /	viroDaH /
   prakārabhedasya virodhaśāntihetutvādityata āha  aśeṣeti //	prakAra Bedasya viroDa SAnti hetu tvAt iti atas Aha aSeza iti //
   aśeṣaśaktiyuktaścet svātantryād doṣavān katham // MAnuv_3,2.131cd //	aSeza Sakti yuktaH ced svAtantryAt dozavAn kaTam // MA anuv_3,2.131cd //
   NYĀYASUDHĀ:	NYĀYA SUDHĀ:
   yadyaśeṣaśaktiyuktaḥ paramātmāṅgīkṛtastadā tasyopādhau tannimitte ca	yadi aSeza Sakti yuktaH paramAtma aFgIkRtaH tadA tasya upADO tad nimitte ca
   svātantryātkathaṃ tannimittadoṣavānsyāt /	svAtantryAt kaTam tad nimitta dozavAn syAt /
   ayamabhisandhiḥ /	ayam aBisanDiH /
   bhavatu vānena prakārabhedena virodhaśāntirmā vā bhūt /	Bavatu vA anena prakAra Bedena viroDa SAntiH mA vA BUt /
   prakārabheda evāyamanupapannaḥ /	prakAra BedaH eva ayam anupapannaH /
   tathāhi /	taTA hi /
   antaḥkaraṇādayupādhayo 'vidyānimittamittāni ca svaśaktyā paramātmānaṃ	antaHkaraNAdayupADayaH avidyA nimittam ittAni ca sva SaktyA paramAtmAnam
   vicchidya tadaṃśasya jīvasya duḥkhādidoṣānkurvantīti tāvanna yujyate /	vicCidya tad aMSasya jIvasya duHKa Adi dozAn kurvanti iti tAvat na yujyate /
   paramātmanaḥ sarvaśaktisvātantryahāniprasaṅgāt /	paramAtmanaH sarva Sakti svAtantrya hAni prasaFgAt /
   ataḥ paramātmaiva sarvaśaktiḥ svādhīnaireva taiḥ svātmānaṃ vicchidya	atas paramAtmA eva sarva SaktiH svADInEH eva tEH sva AtmAnam vicCidya
   svāṃśaṃ jīvaṃ duḥkhādidoṣayoginaṃ karotīti mantavyam /	sva aMSam jIvam duHKa Adi doza yoginam karoti iti mantavyam /
   taccāyuktataram /	tat ca ayuktataram /
   aprekṣāvattvaprasakteḥ /	aprekzAvat tva prasakteH /
   na hi kaścitprekṣāvānātmānamātmādhīnairahikaṇṭakādibhirapuruṣārthabhājaṃ	na hi kaScid prekzAvAn AtmAnam Atma aDInEH ahikaNwaka AdiBiH apuruza arTa BAjam
   kurvāṇo dṛṣṭaḥ /	kurvANaH dRzwaH /
   naca tāpasasyevātmano duḥkhotpādanena paramātmanaḥ kiñcitprayojanamasti /	na ca tApasasya iva AtmanaH duHKa utpAdanena paramAtmanaH kiQcid prayojanam asti /
   paripūrṇatvāt /	paripUrNa tvAt /
   nacāvidyādino 'nāditātra samādhānam, anādino 'pi tatpravāhasya	naca avidyA AdinaH anAditA atra samADAnam, anAdinaH api tat pravAhasya
   tadadhīnatvāt /	tad aDIna tvAt /
   naca līlāmātrametaditi sāmpratam /	na ca lIlA mAtram etat iti sAmpratam /
   svāpuruṣārthahetorlīlāyāḥ prekṣāpūrvakāribhiranupādānāt /	svA puruza arTa hetoH lIlAyAH prekzA pUrva kAriBiH anupAdAnAt /
   ataḥ paramapuruṣasya na kenāpi prakāreṇa doṣasaṃsargo yujyata iti na	atas parama puruzasya na kena api prakAreNa doza saMsargaH yujyate iti na
   doṣiṇā jīvena tasyaikyaṃ yuktamiti /	doziNA jIvena tasya Ekyam yuktam iti /
   jīvabrahmaṇoraikye 'pi brahmaṇo	jIva brahmaNoH Ekye api brahmaNaH 
   jīvagataduḥkhādyanusandhānābhāvānnoktadoṣaprasaṅgaḥ /	jIva gata duHKa Adi anusanDAna aBAvAt na ukta doza prasaFgaH /
   tathā coktena prakārabhedena virodhaśāntirbhaviṣyatīti bhāvena śaṅkate 	taTA ca uktena prakAra Bedena viroDa SAntiH Bavizyati iti BAvena SaFkate 
   anusandhāneti //	anusanDAnA iti //
   anusandhānarahitamaikyaṃ ced ... // MAnuv_3,2.132ab //	anusanDAna rahitam Ekyam ced ... // MA anuv_3,2.132aB //
   NYĀYASUDHĀ:	NYĀYA SUDHĀ:
   anusandhānaṃ nāma bhogasamākhyātaḥ svīyatayā duḥkhādisākṣātkāro 'bhimataḥ	anusanDAnam nAma Boga samAKyAtaH svIyatayA duHKa Adi sAkzAtkAraH aBimataH
   pariharati /	pariharati /
   ekateti /	ekatA iti /
   ... ekatā na tat // MAnuv_3,2.132b //	... ekatA na tat // Ma anuv_3,2.132B //
   NYĀYASUDHĀ:	NYĀYA SUDHĀ:
   tat tarhi /	tat tarhi /
   jīvastāvadbrahmasvarūpaṃ nirduḥkhatvādikaṃ nānusandhatta ityavivādam /	jIvaH tAvat brahma svarUpam nirduHKa tva Adikam na anusanDattaH iti avivAdam /
   brahmāpi cejjīvagataṃ duḥkhādikaṃ nānusandadhyāttadā tayorekatā	brahmA api ced jIva gatam duHKa Adikam na anusanda DyAt tadA tayoH eka tA
   nāstītyevoktaprāyaṃ syāt kathamityata āha  cetaneti //	na asti iti eva ukta prAyam syAt kaTam iti atas Aha cetanA iti //
   cetanaikye 'nusandhānaṃ pramāṇaṃ naiva cāparam // MAnuv_3,2.132cd //	cetanA Ekye anusanDAnam pramANam na eva ca aparam // Ma anuv_3,2.132cd //
   NYĀYASUDHĀ:	NYĀYA SUDHĀ:
   co hetvarthaḥ /	caH hetu arTaH /
   astvaikyo 'nusandhānaṃ pramāṇam /	astu EkyaH anusanDAnam pramANam /
   tataḥ kim /	tatas kim /
   ekapramāṇavyāvṛttau prameyavyāvṛttyabhāvāt /	eka pramANa vyAvRttO prameya vyAvRtti aBAvAt /
   mā hi bhūddhūmābhāvo 'gnyabhāva ityata uktam  naivāparamiti //	mA hi BUt DUma aBAvaH agni aBAvaH iti atas uktam na eva aparam iti //
   nanvasti ghaṭasya ghaṭenaikyaṃ na tvanusandhānaṃ tatkathametadityata	nanu asti Gawasya Gawena Ekyam na tu anusanDAnam tat kaTam etat iti ata
   uktam  cetaneti //	uktam cetanA iti //
   etaduktaṃ bhavati /	etat uktam Bavati /
   caitanyāvacchinnamaikyamanusandhānaikapramāṇakam /	cEtanya avacCinnam Ekyam anusanDAna eka pramANakam /
   āgamādikaṃ tvanusandhāne sati saṃvāditayā pravartate /	Agama Adikam tu anusanDAne sati saMvAditayA pravartate /
   ata eva hi mamātmā bhadrasena iti vākyamanusandhānābhāvena bādhyate /	atas eva hi mama AtmA BadrasenaH iti vAkyam anusanDAna aBAvena bADyate /
   tathā nāyaṃ sa ityādivākyamanusandhānena /	taTA na ayam saH ityAdi vAkyam anusanDAnena /
   naca prāgbhavīyaduḥkhādyanusandhānamidānīṃ nāstyasti caikyamiti	na ca prAc BavIya duHKa Adi anusanDAnam idAnIm na asti asti ca Ekyam iti
   vyabhicāraḥ śaṅkanīyaḥ /	vyaBicAraH SaFkanIyaH /
   nahi vayaṃ sadānusandhānaṃ brūmaḥ /	na hi vayam sadA anusanDAnam brUmaH /
   kintu yaścetano yatsvarūpaṃ kadācidanusandhatte sa tenābhinno yo	kintu yaH cetanaH yat svarUpam kadAcid anusanDatte sa tena aBinnaH yaH 
   nānusandhatte sa tena nābhinna iti /	na anusanDatte sa tena na aBinnaH iti /
   tadekapramāṇakasya tannivṛttau nivṛttireva /	tad eka pramANakasya tad nivRttO nivRttiH eva /
   yathā rūpagrahaṇanivṛttau cakṣurnivṛttiḥ /	yaTA rUpa grahaNa nivRttO cakzuH nivRttiH /
   naca cetanatvaṃ śakyanivartanam /	na ca cetana tvam Sakya nivartanam /
   ubhayavādisiddhatvāt /	uBaya vAdi sidDa tvAt /
   tasmādekataiva nivartata iti /	tasmAt ekatA eva nivartate iti /
   etena cetanatvādyanumānasya sopādhikatvaṃ coktaṃ bhavati /	etena cetana tva Adi anumAnasya sa upADika tvam ca uktam Bavati /
   anusandhānaṃ khalu cetanatvāvacchinnasyaikyasya vyāpakamupalabdhaṃ	anusanDAnam Kalu cetanatva avacCinnasya Ekyasya vyApakam upalabDam
   devadattādau /	deva datta AdO /
   avyāpakaṃ ca cetanatvādeḥ /	avyApakam ca cetana tva AdeH /
   pakṣa eva tadabhāvāt /	pakzaH eva tad aBAvAt /
   tathāca sulabhaḥ prayogaḥ /	taTA ca sulaBaH prayogaH /
   jīvabrahmaṇī cetanatve sati parasparaikyavatī na bhavataḥ	jIva brahmaNI cetana tve sati paraspara EkyavatI na BavataH
   paraspa(rasvarūpānu)rānusandhānarahitatvātsampratipannavaditi /	paraspa(ra sva rUpa anu)ra anusanDAna rahita tvAt sampratipanna vat iti /
   naca pratijñāyāṃ viśeṣaṇaṃ vyartham /	na ca pratijQAyAm viSezaNam vyarTam /
   śabdo na sparśavadviśeṣaguṇa ityādāviva hetuvyabhicāraparihārārthatvāt /	SabdaH na sparSavat viSeza guNaH iti AdO= iva hetu vyaBicAra parihAra arTa tvAt /
   śaṅkate  anusandhāneti //	SaFkate anusanDAnA iti //
   anusandhānarahitasamudāyaikyameva cet /	anusanDAna rahita samudAya Ekyam eva ced /
   cetaneṣv ... // MAnuv_3,2.133a c //	cetanezu ... // Ma anuv_3,2.133a t //
   NYĀYASUDHĀ:	NYĀYA SUDHĀ:
   yataḥ samudāyaikyameva mayocyate nātyantaikyam /	yatas samudAya Ekyam eva mayA ucyate na ati anta Ekyam /
   ataścetaneṣvapyanusandhānarahitaṃ tadyuktam /	atas cetanezu api anusanDAna rahitam tat yuktam /
   ayamabhisandhiḥ /	ayam aBisanDiH /
   samudāyaikyavādinā hi jīvabrahmaṇorbhedābhedau svīkriyete /	samudAya Ekya vAdinA hi jIva brahmaNoH Beda aBedO svIkriyete /
   tatrānusandhānābhāvo bhedanimittastajjñāpanenaiva caritārtho nābhedaṃ	tatra anusanDAna aBAvaH Beda nimittaH tad jQApanena eva caritArTaH nABedam
   nivartayati /	nivartayati /
   tantupaṭādiṣu hi samudāyaikyasthaleṣu viruddhadharmādhyāso	tantu pawa Adizu hi samudAya Ekya sTalezu virudDa Darma aDyAsaH 
   bhedajñāpanamātreṇa kṛtārtho nābhedaṃ bādhate /	Beda jQApana mAtreNa kRtArTaH nABa idam bADate /
   anyathā tatrāpyabhedāṅgīkāro durghaṭaḥ syāt /	anyaTA tatra api aBeda aFgIkAraH durGawaH syAt /
   tasmādaikyaṃ nānupapannamiti /	tasmAt Ekyam na anupapannam iti /
   gūḍhābhisandhiḥ sampratipattimuttaramāha  astu taditi //	gUXa aBisanDiH sampratipattim uttaram Aha astu tat iti //
   ... astu tan ... // MAnuv_3,2.133c //	... astu tat ... // Ma anuv_3,2.133t //
   NYĀYASUDHĀ:	NYĀYA SUDHĀ:
   sarvathāpi parasparasvarūpānusandhānarahitaṃ jīvabrahmaṇoraikyaṃ	sarvaTA api paraspara svarUpa anusanDAna rahitam jIva brahmaNoH Ekyam
   bhavantvityarthaḥ /	Bavantu iti arTaH /
   vipratipannārthāṅgīkāre pratijñāhānirnigrahasthānaṃ syādityata āha 	vipratipanna arTa aFgIkAre pratijQAhAniH nigraha sTAnam syAt iti atas Aha 
   nāmamātrameveti //	nAma mAtram eva iti //
   ... nāmamātrameva yatastataḥ // MAnuv_3,2.133cd //	... nAma mAtram eva yatas tatas // Ma anuv_3,2.133cd //
   NYĀYASUDHĀ:	NYĀYA SUDHĀ:
   yatastadaikyaṃ nāmamātraṃ na vāstavaṃ tatastadabhyupagamo na dūṣaṇam /	yatas tat Ekyam nAma mAtram na vAstavam tatas tad aByupagamaH na dUzaNam /
   ayamabhisandhiḥ /	ayam aBisanDiH /
   tantupaṭādyabhedo na viruddhadharmādhyāsābhāvaikapramāṇakaḥ /	tantu pawa Adi a BedaH na virudDa Darma aDyAsa aBAva eka pramANakaH /
   pratyakṣādinā tadabhedasya siddhatvāt /	pratyakza AdinA tad aBedasya sidDa tvAt /
   tathāca viruddhadharmādhyāsaḥ	taTA ca virudDa Darma aDyAsaH
   kālātyayāpadiṣṭatvabhayādabhedabādhanānnivṛtto bhedasādhanenaiva kṛtī	kAla atyaya apadizwa tva BayAt aBeda bADanAt nivRttaH Beda sADanena eva kRtI
   bhavati /	Bavati /
   tathā yadi cetanaikyaṃ niravakāśapramāṇāntaragamyaṃ	taTA yadi cetana Ekyam niravakASa pramANa antara gamyam
   syāttadānusandhānābhāvo 'bhedamabādhamāno bhedamātrapratipādanena	syAt tadA anusanDAna aBAvaH aBedam abADamAnaH Beda mAtra pratipAdanena
   caritārthaḥ syāt /	caritArTaH syAt /
   nacaivam /	naca evam /
   cetanaikyasyānusandhānavyāpyatayoktatvāt /	cetana ekyasya anusanDAna vyApya tayA ukta tvAt /
   vyāpakābhāve ca vyāpyanivṛtterāvaśyakatvenaikyābhāve punastadvacanaṃ	vyApaka aBAve ca vyApya nivRtteH AvaSyaka tvena Ekya aBAve punar tat vacanam
   nirarthakameveti /	nirarTakam eva iti /
   bhavatvanusandhānaikapramāṇakaṃ cetanaikyam /	Bavatu anusanDAna eka pramANakam cetana Ekyam /
   anusandhānaṃ ca kādācitkamapyaikyaṃ sādhayati /	anusanDAnam ca kAdAcitkam api Ekyam sADayati /
   vidyate ca muktāvanusandhānamityaikyasiddhiḥ /	vidyate ca muktO= anusanDAnam iti Ekya sidDiH /
   muktasvarūpasya duḥkhādidoṣadūratvena prāguktadoṣābhāvaścetyata āha 	mukta svarUpasya duHKa Adi doza dUra tvena prAc ukta doza aBAvaH ca iti atas Aha 
   muktāviti //	muktO= iti //
   muktau syādanusandhānaṃ ityapi syāt suduṣkaram // MAnuv_3,2.134ab //	muktO syAt anusanDAnam iti api syAt su duzkaram // Ma anuv_3,2.134aB //
   NYĀYASUDHĀ:	NYĀYA SUDHĀ:
   ityapi vacanaṃ suduṣkaraṃ syāt /	iti api vacanam su duzkaram syAt /
   pramāṇābhāvena sandigdhatvāditi bhāvaḥ /	pramANa aBAvena sandigDa tvAt iti BAvaH /
   kiñca muktāvanusandhānaṃ bhaviṣyatīti vadatā vaktavyamidānīṃ kuto	kiQca muktO= anusanDAnam Bavizyati iti vadatA vaktavyam idAnIm kuto
   'nusandhānaṃ nāstīti /	anusanDAnam na asti iti /
   atha brūyādavidyākāmakarmādi(nimitta)pratibandhakasadbhāvāditi /	aTa brUyAt avidyA kAma karma Adi (nimitta) pratibanDaka sadBAvAt iti /
   tatra vaktavyam /	tatra vaktavyam /
   pratibandhakasadbhāvanibandhana evedānīmanusandhānābhāvo na	pratibanDaka sadBAva nibanDanaH eva idAnIm anusanDAna aBAvaH na
   punaraikyābhāvanibandhana iti kutaste niścaya iti /	punar Ekya aBAva nibanDanaH iti kutas te niScayaH iti /
   vayaṃ tu vadāmaḥ /	vayam tu vadAmaH /
   aikyābhāvanibandhana evāyamidānīmanusandhānābhāvo nājñānādinimitta iti /	Ekya aBAva nibanDanaH eva ayam idAnIm anusanDAna aBAvaH na ajQAna Adi nimittaH iti /
   kuto 'yaṃ niścaya iti tatrāha  sarvajña iti //	kutas ayam niScayaH iti tatra aha sarvajQaH iti //
   sarvajña ekatāṃ nānusandhatte naiva sā yataḥ // MAnuv_3,2.134cd //	sarvajQaH eka tAm na anusanDatte na eva sA yatas // Ma anuv_3,2.134cd //
   NYĀYASUDHĀ:	NYĀYA SUDHĀ:
   yataḥ sarvajña ekatāṃ nānusandhatte 'taḥ sā ekatā naiveti sambandhaḥ /	yatas sarvajQaH eka tAm na anusanDatte atas sA eka tA na eva iti sambanDaH /
   etaduktaṃ bhavati /	etat uktam Bavati /
   yadyajñānādinibandhano 'yamanusandhānābhāvo bhavet /	yadi ajQAna Adi nibanDanaH ayam anusanDAna aBAvaH Bavet /
   bhavettadā jīvānāmeva /	Bavet tadA jIvAnAm eva /
   teṣāmevājñānādisambandhitvāt /	tezAm eva ajQAna Adi sambanDi tvAt /
   paramātmā tvanusandadhyādeva /	paramAtmA tu anusandaDyAt eva /
   tasya sarvajñatvenājñānādyabhāvāt /	tasya sarvajQa tvena ajQAna Adi aBAvAt /
   nacāsāvanusandhatte /	naca asO= anusanDatte /
   yasmātkṣaramatīto 'hamityādivadvākyairbhedānubhavasyaivāvagamāt /	yasmAt kzaram atItaH aham ityAdi vat vAkyEH Beda anuBavasya eva avagamAt /
   tena niścinumo 'nusandhānābhāvo nājñānādipratibandhakanibandhanaḥ /	tena niScinumaH anusanDAna aBAvaH na ajQAna Adi pratibanDaka nibanDanaH /
   kintvaikyābhāvanimitta eveti /	kintvA Ekya aBAva nimittaH eva iti /
   īśvara evāsāviti cet /	ISvaraH eva asO= iti ced /
   kastato 'nyaḥ paramātmā pramāṇābhāvāt /	kaH tatas anyaH paramAtmA pramANa aBAvAt /
   kiñceśvaro 'pi sarvajña eveti kimaneneti /	kiQca ISvaraH api sarvajQaH eva iti kim anena iti /
   api caikye pramāṇasiddhe 'nusandhānābhāvaḥ pratibandhakanibandhana iti	api ca Ekye pramANa sidDe anusanDAna aBAvaH pratibanDaka nibanDanaH iti
   kalpanopapadyate /	kalpanA upapadyate /
   naca tadastītyuktam /	na ca tat asti iti uktam /
   nanu ca duḥkhādikaṃ jīvasya na caitanyasvarūpānubandhi /	nanu ca duHKa Adikam jIvasya na cEtanya svarUpa anubanDi /
   kinnāma viśiṣyākāragatameva /	kinnAma viSizya AkAra gatam eva /
   tatkathamīśvaro 'nusandhīteti duḥkhādyananusandhāne 'pyaikyaṃ	tat kaTam ISvaraH anusanDIta iti duHKa Adi ananusanDAne api Ekyam
   tāvadanusandadhyādevetyuktam  ekatāmiti //	tAvat anusandaDyAt eva iti uktam ekatAm iti //
   ata eva"vibhedajanake 'jñāne nāśamātyantikaṃ gate /	atas eva" viBeda janake ajQAne nASam Atyantikam gate /
   ātmano brahmaṇā bhedamasantaṃ kaḥ kariṣyati'; ityādivākyānyathā yojyāni /	AtmanaH brahmaNA Bedam asantam kaH karizyati a; ityAdi vAkyAnyaTA yojyAni /
   vibhedaśabdo hi virodhavācī /	viBeda SabdaH hi viroDa vAcI /
   mitrabheda iti yathā /	mitra BedaH iti yaTA /
   tathāca jīvasya paramātmanā viparītamatitvamajñānanibandhanam /	taTA ca jIvasya paramAtmanA viparItam ati tvam ajQAna nibanDanam /
   tadapāye na bhavatītyarthaḥ /	tad apAye na Bavati iti arTaH /
   paramātmana aikyānusandhānābhāvo 'siddhaḥ /	paramAtmanaH Ekya anusanDAna aBAvaH asidDaH /
   yata idānīmananusandadhadapīdamāgāmini kāle 'nusandhasyati /	yatas idAnIm ananusanda DadapIdam AgAmini kAle anusanDasyati /
   na hi sārvakālikamanusandhānamaikyasya vyāpakamityāśaṅkate  paścāditi //	na hi sArvakAlikam anusanDAnam Ekyasya vyApakam iti ASaFkate paScAt iti //
   paścāt syādanusandhānaṃ cen ... // MAnuv_3,2.135ab //	paScAt syAt anusanDAnam ced ... // Ma anuv_3,2.135aB //
   NYĀYASUDHĀ:	NYĀYA SUDHĀ:
   paramātmano jīvaikyasyeti śeṣaḥ /	paramAtmanaH jIva Ekyasya iti SezaH /
   atra pramāṇaṃ nāstīti sphuṭaḥ parihāraḥ /	atra pramANam na asti iti sPuwaH parihAraH /
   gūḍhābhisandhiḥ parihārāntaramāha  mithyeti //	gUXa aBisanDiH parihAra antaram Aha miTyA iti //
   ... mithyājñānitā bhavet // MAnuv_3,2.135b //	... miTyAjQAnitA Bavet // Ma anuv_3,2.135B //
   NYĀYASUDHĀ:	NYĀYA SUDHĀ:
   paramātmana iti śeṣaḥ /	paramAtmanaH iti SezaH /
   sarvajño hi yadīdānīṃ jīvaikyaṃ nānusandhatte tadā tadasadeva	sarvajQaH hi yadi idAnIm jIva Ekyam na anusanDatte tadA tat asat eva
   syātsaptamarasādivat /	syAt saptama rasa Adi vat /
   tathācāgāmini kāle tadanusandhāsyati cenmithyājñānī	taTA ca AgAmini kAle tat anusanDAsyati ced miTyAjQAnI
   prasajyetetyabhisandhiḥ /	prasajyeta iti aBisanDiH /
   nanvavidyamānaṃ vidyamānatayānusandadhāno mithyājñānī bhavati /	nanu avidyamAnam vidyamAna tayA anusandaDAnaH miTyAjQAnI Bavati /
   na caikyamavidyamānam /	na ca Ekyam avidyamAnam /
   tatkathaṃ paramātmano	tat kaTam paramAtmanaH 
   mithyājñānitvamityaviditābhisandherāśaṅkāmabhisandhimuddhāṭayanpariharati 	miTyAjQAni tvam iti avidita aBisanDeH ASaFkAm aBisanDim udDAwayan pariharati 
   vidyamāneti //	vidyamAnA iti //
   vidyamānānusandhānaṃ na cedajñatvamāpatet // MAnuv_3,2.135cd //	vidyamAna anusanDAnam na ced ajQa tvam Apatet // MA anuv_3,2.135cd //
   NYĀYASUDHĀ:	NYĀYA SUDHĀ:
   yadyaikyaṃ vidyamānaṃ tarhi tadidānīmananusandadhadasarvajñaḥ syāt /	yadi Ekyam vidyamAnam tarhi tat idAnIm ananu sanda Dada sarvajQaH syAt /
   naca tadyuktam /	na ca tat yuktam /
   ato nāstyeva taditi vācyam /	atas na asti eva tat iti vAcyam /
   tathāca tadanusandhāsyānkathaṃ mithyājñānī na bhavet /	taTA ca tad anusanDAsyAn kaTam miTyAjQAnI na Bavet /
   eteneśvarasyedānīṃ śarīrasadbhāvādananusandhānamityapi nirastam /	etena ISvarasya idAnIm SarIra sadBAvAt ananusanDAnam iti api nirastam /
   sārvajñahāniprasaṅgānistārāt /	sArvajQa hAni prasaFgA nistArAt /
   īśvarasya sākāratāyā nityatvena na bhāvinyapyanusandhāne pratyāśā /	ISvarasya sa AkAra tAyAH nitya tvena na BAvini api anusanDAne pratyASA /
   yadai(dyai)kyamavidyamānameva yadi vā vidyamānameva tadoktadoṣadvayaṃ syāt	yadA e(dyE)kyam avidyamAnam eva yadi vA vidyamAnam eva tadA ukta doza dvayam syAt 
   nacaivam /	naca evam /
