   Pariccheda 1	Pari=-CedaH 1
   yadātmotkarṣaṇābhāsaṃ parapaṃsanameva ca /	yadAtma-utkarzaNa-ABAsam para-paMsanam-eva ca /
   sādhikṣepaṃ sasaṃrambhaṃ sthātavyaṃ kāṣṭhavattadā // Bca_5.50 //	sa-aDikzepam sa-saMramBam sTAtavyam kAzWa-vat-tadA // Bca_5.50 //
   lābhasatkārakīrtyarthi parivārārthi vā punaḥ /	lABa-satkAra-kIrti-arTi parivAra-arTi vA punar /
   upasthānārthi me cittaṃ tasmāttiṣṭhāmi kāṣṭhavat // Bca_5.51 //	upasTAna-arTi me cittam tasmAt-tizWAmi kAzWa-vat // Bca_5.51 //
   parārtharūkṣaṃ svārthārthi pariṣatkāmameva vā /	para-arTa-rUkzam sva-arTa-arTi parizad-kAmam-eva vA /
   vaktumicchati me cittaṃ tasmāttiṣṭhāmi kāṣṭhavat // Bca_5.52 //	vaktum-icCati me cittam tasmAt-tizWAmi kAzWa-vat // Bca_5.52 //
   asahiṣṇvalasaṃ bhītaṃ pragalbhaṃ mukharaṃ tathā /	asahizNu-alasam BItam pragalBam muKaram taTA /
   svapakṣābhiniviṣṭaṃ vā tasmāttiṣṭhāmi kāṣṭhavat // Bca_5.53 //	sva-pakza-aBinivizwam vA tasmAt-tizWAmi kAzWa-vat // Bca_5.53 //
   evaṃ saṃkliṣṭamālokya niṣphalārambhi vā manaḥ /	evam saMklizwam-Alokya nizPala-AramBi vA manaH /
   nigṛhṇīyād dṛḍhaṃ śūraḥ pratipakṣeṇa tatsadā // Bca_5.54 //	nigRhNIyAt dRXam SUraH pratipakzeNa tad-sadA // Bca_5.54 //
   suniścitaṃ suprasannaṃ dhīraṃ sādaragauravam /	su-niScitam su-prasannam DIram sa-Adara-gOravam /
   salajjaṃ sabhayaṃ śāntaṃ parārādhanatatparam // Bca_5.55 //	sa-lajjam sa-Bayam SAntam para-ArADana-tatparam // Bca_5.55 //
   parasparaviruddhābhir bālecchābhirakheditam /	paraspara-virudDABiH bAla-icCABiH-aKeditam /
   kleśotpādādidaṃ hyetad eṣāmiti dayānvitam // Bca_5.56 //	kleSa-utpAdAt-idam hi-etat ezAm-iti dayA-anvitam // Bca_5.56 //
   ātmasattvavaśaṃ nityam anavadyeṣu vastuṣu /	Atma-sattva-vaSam nityam anavadyezu vastuzu /
   nirmāṇamiva nirmānaṃ dhārayāmyeṣa mānasam // Bca_5.57 //	nirmANam-iva nirmAnam DArayAmi-eza mAnasam // Bca_5.57 //
   cirātprāptaṃ kṣaṇavaraṃ smṛtvā smṛtvā muhurmuhuḥ /	cirAt-prAptam kzaNa-varam smRtvA smRtvA muhur-muhur /
   dhārayāmīdṛśaṃ cittam aprakampyaṃ sumeruvat // Bca_5.58 //	DArayAmi-IdRSam cittam aprakampyam sumeru-vat // Bca_5.58 //
   gṛdhrairāmiṣasaṃgṛddhaiḥ kṛṣyamāṇa itastataḥ /	gRDrEH-Amiza-saMgRdDEH kRzyamANaH itas-tatas /
   na karotyanyathā kāyaḥ kasmādatra pratikriyām // Bca_5.59 //	na karoti-anyaTA kAyaH kasmAt-atra pratikriyAm // Bca_5.59 //
   rakṣasīmaṃ manaḥ kasmād ātmīkṛtya samucchrayam /	rakzasi-imam manaH kasmAt AtmIkRtya samucCrayam /
   tvattaścetpṛthagevāyaṃ tenātra tava ko vyayaḥ // Bca_5.60 //	tvattaH-ced-pRTak-eva-ayam tena-atra tava kaH vyayaH // Bca_5.60 //
   na svīkaroṣi he mūḍha kāṣṭhaputtalakaṃ śucim /	na svIkarozi he mUXa kAzWa-puttalakam Sucim /
   amedhyaghaṭitaṃ yantraṃ kasmādrakṣasi pūtikam // Bca_5.61 //	ameDya-Gawitam yantram kasmAt-rakzasi pUtikam // Bca_5.61 //
   imaṃ carmapuṭaṃ tāvat svabuddhyaiva pṛthak kuru /	imam carma-puwam tAvat sva-budDyA-eva pRTak kuru /
   asthipañjarato māṃsaṃ prajñāśastreṇa mocaya // Bca_5.62 //	asTi-paQjarataH mAMsam prajQA-SastreNa mocaya // Bca_5.62 //
   asthīnyapi pṛthak kṛtvā paśya majjānamantataḥ /	asTIni-api pRTak kRtvA paSya majjAnam-antatas /
   kimatra sāramastīti svayameva vicāraya // Bca_5.63 //	kim-atra sAram-asti-iti svayam-eva vicAraya // Bca_5.63 //
   evamanviṣya yatnena na dṛṣṭaṃ sāramatra te /	evam-anvizya yatnena na dRzwam sAram-atra te /
   adhunā vada kasmāttvaṃ kāyamadyāpi rakṣasi // Bca_5.64 //	aDunA vada kasmAt-tvam kAyam-adya-api rakzasi // Bca_5.64 //
   na khāditavyamaśuci tvayā peyaṃ na śoṇitam /	na KAditavyam-aSuci tvayA peyam na SoNitam /
   nāntrāṇi cūṣitavyāni kiṃ kāyena kariṣyasi // Bca_5.65 //	na-antrANi cUzitavyAni kim kAyena karizyasi // Bca_5.65 //
   yuktaṃ gṛdhraśṛgālāder āhārārthaṃ tu rakṣitum /	yuktam gRDra-SRgAla-AdeH AhAra-arTam tu rakzitum /
   karmopakaraṇaṃ tvetan manuṣyāṇāṃ śarīrakam // Bca_5.66 //	karma-upakaraNam tu-etat manuzyANAm SarIrakam // Bca_5.66 //
   evaṃ te rakṣataścāpi mṛtyurācchidya nirdayaḥ /	evam te rakzataH-ca-api mRtyuH-AcCidya nirdayaH /
   kāyaṃ dāsyati gṛdhrebhyas tadā tvaṃ kiṃ kariṣyasi // Bca_5.67 //	kAyam dAsyati gRDreByaH tadA tvam kim karizyasi // Bca_5.67 //
   na sthāsyatīti bhṛtyāya na vastrādi pradīyate /	na sTAsyati-iti BRtyAya na vastra-Adi pradIyate /
   kāyo yāsyati khāditvā kasmāttvaṃ kuruṣe vyayam // Bca_5.68 //	kAyaH yAsyati KAditvA kasmAt-tvam kuruze vyayam // Bca_5.68 //
   dattvāsmai vetanaṃ tasmāt svārthaṃ kuru mano 'dhunā /	dattvA-asmE vetanam tasmAt sva-arTam kuru manaH aDunA /
   nahi vaitanikopāttaṃ sarvaṃ tasmai pradīyate // Bca_5.69 //	na-hi vEtanikopAttam sarvam tasmE pradIyate // Bca_5.69 //
   kāye naubuddhimādhāya gatyāgamananiścayāt /	kAye nO-budDim-ADAya gati-Agamana-niScayAt /
   yathākāmaṅgamaṃ kāyaṃ kuru sattvārthasiddhaye // Bca_5.70 //	yaTAkAm-aFgamam kAyam kuru sattva-arTa-sidDaye // Bca_5.70 //
   evaṃ vaśīkṛtasvātmā nityaṃ smitamukho bhavet /	evam vaSIkRta-sva-AtmA nityam smita-muKaH Bavet /
   tyajed bhṛkuṭisaṅkocaṃ pūrvābhāṣī jagatsuhṛt // Bca_5.71 //	tyajet BRkuwi-saFkocam pUrva-ABAzI jagat-suhRd // Bca_5.71 //
   saśabdapātaṃ sahasā na pīṭhādīn vinikṣipet /	sa-Sabda-pAtam sahasA na pIWa-AdIn vinikzipet /
   nāsphālayetkapāṭaṃ ca syānniḥśabdaruciḥ sadā // Bca_5.72 //	na-AsPAlayet-kapAwam ca syAt-niHSabda-ruciH sadA // Bca_5.72 //
   bako biḍālaścauraśca niḥśabdo nibhṛtaścaran /	bakaH bixAlaH-cOraH-ca niHSabdaH niBRtaH-caran /
   prāpnotyabhimataṃ kāryam evaṃ nityaṃ yatiścaret // Bca_5.73 //	prApnoti-aBimatam kAryam evam nityam yatiH-caret // Bca_5.73 //
   paracodanadakṣāṇām anadhīṣṭopakāriṇām /	para-codana-dakzANAm anaDIzwa-upakAriNAm /
   pratīcchecchirasā vākyaṃ sarvaśiṣyaḥ sadā bhavet // Bca_5.74 //	pratIcCet-SirasA vAkyam sarva-SizyaH sadA Bavet // Bca_5.74 //
   subhāṣiteṣu sarveṣu sādhukāramudīrayet /	su-BAzitezu sarvezu sADu-kAram-udIrayet /
   puṇyakāriṇamālokya stutibhiḥ saṃpraharṣayet // Bca_5.75 //	puNya-kAriNam-Alokya stutiBiH saMpraharzayet // Bca_5.75 //
   parokṣaṃ ca guṇān brūyād anubrūyācca toṣataḥ /	parokzam ca guNAn brUyAt anubrUyAt-ca tozataH /
   svavarṇe bhāṣyamāṇe ca bhāvayettadguṇajñatām // Bca_5.76 //	sva-varNe BAzyamANe ca BAvayet-tad-guNa-jQa-tAm // Bca_5.76 //
   sarvārambhā hi tuṣṭyarthāḥ sā vittairapi durlabhā /	sarva-AramBAH hi tuzwi-arTAH sA vittEH-api durlaBA /
   bhokṣye tuṣṭisukhaṃ tasmāt paraśramakṛtairguṇaiḥ // Bca_5.77 //	Bokzye tuzwi-suKam tasmAt para-Srama-kRtEH-guNEH // Bca_5.77 //
   na cātra me vyayaḥ kaścit paratra ca mahatsukham /	na ca-atra me vyayaH kaScid paratra ca mahat-suKam /
   aprītiduḥkhaṃ dveṣaistu mahadduḥkhaṃ paratra ca // Bca_5.78 //	aprIti-duHKam dvezEH-tu mahat-duHKam paratra ca // Bca_5.78 //
   viśvastavinyastapadaṃ vispaṣṭārthaṃ manoramam /	viSvasta-vinyasta-padam vispazwa-arTam manoramam /
   śrutisaukhyaṃ kṛpāmūlaṃ mṛdumandasvaraṃ vadet // Bca_5.79 //	Sruti-sOKyam kRpA-mUlam mRdu-manda-svaram vadet // Bca_5.79 //
   ṛju paśyetsadā sattvāṃś cakṣuṣā saṃpibanniva /	Rju paSyet-sadA sattvAn cakzuzA saMpiban=-iva /
   etāneva samāśritya buddhatvaṃ me bhaviṣyati // Bca_5.80 //	etAn-eva samASritya budDa-tvam me Bavizyati // Bca_5.80 //
   sātatyābhiniveśotthaṃ pratipakṣotthameva ca /	sAtatya-aBiniveSa-utTam pratipakza-utTam-eva ca /
   guṇopakārikṣetre ca duḥkhite ca mahacchubham // Bca_5.81 //	guNa-upakAri-kzetre ca duHKite ca mahat-SuBam // Bca_5.81 //
   dakṣa utthānasaṃpannaḥ svayaṅkārī sadā bhavet /	dakzaH utTAna-saMpannaH svayaFkArI sadA Bavet /
   nāvakāśaḥ pradātavyaḥ kasyacitsarvakarmasu // Bca_5.82 //	na-avakASaH pradAtavyaH kasyacid-sarva-karmasu // Bca_5.82 //
   uttarottarataḥ śreṣṭhā dānapāramitādayaḥ /	uttarottarataH SrezWAH dAna-pAramitA-AdayaH /
   netarārthaṃ tyajecchreṣṭhām anyatrācārasetutaḥ // Bca_5.83 //	na-itara-arTam tyajet-SrezWAm anyatra-AcAra-setutaH // Bca_5.83 //
   evaṃ buddhvā parārtheṣu bhavetsatatamutthitaḥ /	evam budDvA para-arTezu Bavet-satatam-utTitaH /
   niṣiddhamapyanujñātaṃ kṛpālorarthadarśinaḥ // Bca_5.84 //	nizidDam-api-anujQAtam kRpA-AloH-arTa-darSinaH // Bca_5.84 //
   vinipātagatānātha-bratasthān saṃvibhajya ca /	vinipAta-gatAnATa--brata-sTAn saMviBajya ca /
   bhuñjīta madhyamāṃ mātrāṃ tricīvarabahistyajet // Bca_5.85 //	BuQjIta maDyamAm mAtrAm tri-cIvara-bahis-tyajet // Bca_5.85 //
   saddharmasebakaṃ kāyam itarārthe na pīḍayet /	sadDarma-sebakam kAyam itara-arTe na pIxayet /
   evameva hi sattvānām āśāmāśu prapūrayet // Bca_5.86 //	evam-eva hi sattvAnAm ASAm-ASu prapUrayet // Bca_5.86 //
   tyajenna jīvitaṃ tasmād aśuddhe karuṇāśaye /	tyajet-na jIvitam tasmAt aSudDe karuNA-ASaye /
   tulyāśaye tu tattyājyam itthaṃ na parihīyate // Bca_5.87 //	tulya-ASaye tu tat-tyAjyam itTam na parihIyate // Bca_5.87 //
   dharmaṃ nirgaurave svasthe na śiroveṣṭhite vadet /	Darmam nirgOrave svasTe na SiraH-vezWite vadet /
   sacchatradaṇḍaśastre ca nāvaguṇṭhitamastake // Bca_5.88 //	sa=-Catra-daNxa-Sastre ca na-avaguNWita-mastake // Bca_5.88 //
   gambhīrodāramalpeṣu na strīṣu puruṣaṃ vinā /	gamBIra-udAram-alpezu na strIzu puruzam vinA /
   hīnotkṛṣṭeṣu dharmeṣu samaṃ gauravamācaret // Bca_5.89 //	hIna-utkRzwezu Darmezu samam gOravam-Acaret // Bca_5.89 //
   nodāradharmapātraṃ ca hīne dharme niyojayet /	na-udAra-Darma-pAtram ca hIne Darme niyojayet /
   na cācāraṃ parityajya sūtramantraiḥ pralobhayet // Bca_5.90 //	na ca-AcAram parityajya sUtra-mantrEH praloBayet // Bca_5.90 //
   dantakāṣṭhasya kheṭasya visarjanamapāvṛtam /	dantakAzWasya Kewasya visarjanam-apAvRtam /
   neṣṭaṃ jale sthale bhogye mūtrādeścāpi garhitam // Bca_5.91 //	na-izwam jale sTale Bogye mUtra-AdeH-ca-api garhitam // Bca_5.91 //
   mukhapūraṃ na bhuñjīta saśabdaṃ prasṛtānanam /	muKapUram na BuQjIta sa-Sabdam prasRta-Ananam /
   pralambapādaṃ nāsīta na bāhū mardayetsamam // Bca_5.92 //	pralamba-pAdam na-AsIta na bAhU mardayet-samam // Bca_5.92 //
   naikayā'nyastriyā kuryād yānaṃ śayanamāsanam /	na-ekayA-anya-striyA kuryAt yAnam Sayanam-Asanam /
   lokāprasādakaṃ sarvaṃ dṛṣṭvā pṛṣṭvā ca varjayet // Bca_5.93 //	loka-aprasAdakam sarvam dRzwvA pRzwvA ca varjayet // Bca_5.93 //
   nāṅgulyā kārayetkiṃcid dakṣiṇena tu sādaram /	na-aFgulyA kArayet-kiMcid dakziNena tu sa-Adaram /
   samastenaiva hastena mārgamapyevamādiśet // Bca_5.94 //	samastena-eva hastena mArgam-api-evam-AdiSet // Bca_5.94 //
   na bāhūtkṣepakaṃ kaṃcic chabdayedalpasaṃbhrame /	na bAhu-utkzepakam kaMcid Sabdayet-alpa-saMBrame /
   acchaṭādi tu kartavyam anyathā syādasaṃvṛtaḥ // Bca_5.95 //	acCawA-Adi tu kartavyam anyaTA syAt-asaMvRtaH // Bca_5.95 //
   nāthanirvāṇaśayyāvac chayītepsitayā diśā /	nATa-nirvANa-SayyA-vat SayIta-IpsitayA diSA /
   saṃprajāna/llaghūtthānaḥ prāgavaśyaṃ niyogataḥ // Bca_5.96 //	saMprajA-ana/llaGu-utTAnaH prAc-avaSyam niyogataH // Bca_5.96 //
   ācāro bodhisattvānām aprameya udāhṛtaḥ /	AcAraH boDisattvAnAm aprameyaH udAhRtaH /
   cittaśodhanamācāraṃ niyataṃ tāvadācaret // Bca_5.97 //	citta-SoDanam-AcAram niyatam tAvat-Acaret // Bca_5.97 //
   rātrindivaṃ ca triskandhaṃ trikālaṃ ca pravartayet /	rAtrindivam ca tri-skanDam tri-kAlam ca pravartayet /
   śeṣāpattiśamastena bodhicittajināśrayāt // Bca_5.98 //	Seza-Apatti-SamaH-tena boDi-citta-jina-ASrayAt // Bca_5.98 //
   yā avasthāḥ prapadyeta svayaṃ paravaśo 'pi vā /	yAH avasTAH prapadyeta svayam para-vaSaH api vA /
   tāsvavasthāsu yāḥ śikṣāḥ śikṣettā eva yatnataḥ // Bca_5.99 //	tAsu-avasTAsu yAH SikzAH Sikzet-tAH eva yatnatas // Bca_5.99 //
   na hi tadvidyate kiṃcid yanna śikṣyaṃ jinātmajaiḥ /	na hi tat-vidyate kiMcid yat-na Sikzyam jina-AtmajEH /
   na tadasti na yatpuṇyam evaṃ viharataḥ sataḥ // Bca_5.100 //	na tat-asti na yat-puNyam evam viharataH sataH // Bca_5.100 //
   pāramparyeṇa sākṣādvā sattvārthaṃ nānyadācaret /	pAramparyeNa sAkzAt-vA sattva-arTam na-anyat-Acaret /
   sattvānāmeva cārthāya sarvaṃ bodhāya nāmayet // Bca_5.101 //	sattvAnAm-eva ca-arTAya sarvam boDAya nAmayet // Bca_5.101 //
   sadā kalyāṇamitraṃ ca jīvitārthe 'pi na tyajet /	sadA kalyANa-mitram ca jIvita-arTe api na tyajet /
   bodhisattvavratadharaṃ mahāyānārthakovidam // Bca_5.102 //	boDisattva-vrata-Daram mahAyAna-arTa-kovidam // Bca_5.102 //
   śrīsaṃbhavavimokṣācca śikṣedyadguruvartanam /	SrI-saMBava-vimokzAt-ca Sikzet-yat-guru-vartanam /
   etaccānyacca buddhoktaṃ jñeyaṃ sūtrāntavācanāt // Bca_5.103 //	etat-ca-anyat-ca budDa-uktam jQeyam sUtrAnta-vAcanAt // Bca_5.103 //
   śikṣāḥ sūtreṣu dṛśyante tasmātsūtrāṇi vācayet /	SikzAH sUtrezu dRSyante tasmAt-sUtrANi vAcayet /
   ākāśagarbhe sūtre ca mūlāpattīrnirūpayet // Bca_5.104 //	AkASa-garBe sUtre ca mUla-ApattIH-nirUpayet // Bca_5.104 //
   śikṣāsamuccayo 'vaśyaṃ draṣṭavyaśca punaḥ punaḥ /	SikzA-samuccayaH avaSyam drazwavyaH-ca punar punar /
   vistareṇa sadācāro yasmāttatra pradarśitaḥ // Bca_5.105 //	vistareNa sat-AcAraH yasmAt-tatra pradarSitaH // Bca_5.105 //
   saṅkṣepeṇāthavā tāvat paśyetsūtrasamuccayam /	saFkzepeNa-aTavA tAvat paSyet-sUtra-samuccayam /
   āryanāgārjunābaddhaṃ dvitīyaṃ ca prayatnataḥ // Bca_5.106 //	Arya-nAgArjuna-AbadDam dvitIyam ca prayatnataH // Bca_5.106 //
   yato nivāryate yatra yadeva ca niyujyate /	yatas nivAryate yatra yat-eva ca niyujyate /
   tallokacittarakṣārthaṃ śikṣāṃ dṛṣṭvā samācaret // Bca_5.107 //	tad-loka-citta-rakzA-arTam SikzAm dRzwvA samAcaret // Bca_5.107 //
   etadeva samāsena saṃprajanyasya lakṣaṇam /	etat-eva samAsena saMprajanyasya lakzaNam /
   yatkāyacittāvasthāyāḥ pratyavekṣā muhurmuhuḥ // Bca_5.108 //	yat-kAya-citta-avasTAyAH pratyavekzA muhur-muhur // Bca_5.108 //
   kāyenaiva paṭhiṣyāmi vākpāṭhena tu kiṃ bhavet /	kAyena-eva paWizyAmi vAc-pAWena tu kim Bavet /
   cikitsāpāṭhamātreṇa rogiṇaḥ kiṃ bhaviṣyati // Bca_5.109 //	cikitsA-pAWa-mAtreNa rogiNaH kim Bavizyati // Bca_5.109 //
   iti bodhicaryāvatāre saṃprajanyarakṣaṇaṃ nāma pañcamaḥ paricchedaḥ ||	iti boDi-caryA-avatAre saMprajanya-rakzaNam nAma paQcamaH paricCedaH ||
   Pariccheda 6	Pari=-CedaH 6
   sarvametatsucaritaṃ dānaṃ sugatapūjanam /	sarvam-etat-su-caritam dAnam sugata-pUjanam /
   kṛtaṃ kalpasahasrairyat pratighaḥ pratihanti tat // Bca_6.1 //	kRtam kalpa-sahasrEH-yat pratiGaH pratihanti tat // Bca_6.1 //
   na ca dveṣasamaṃ pāpaṃ na ca kṣāntisamaṃ tapaḥ /	na ca dveza-samam pApam na ca kzAnti-samam tapaH /
   tasmāt kṣāntiṃ prayatnena bhāvayedvividhairnayaiḥ // Bca_6.2 //	tasmAt kzAntim prayatnena BAvayet-viviDEH-nayEH // Bca_6.2 //
   manaḥ śamaṃ na gṛhṇāti na prītisukhamaśnute /	manaH Samam na gRhNAti na prIti-suKam-aSnute /
   na nidrāṃ na dhṛtiṃ yāti dveṣaśalye hṛdi sthite // Bca_6.3 //	na nidrAm na DRtim yAti dveza-Salye hRdi sTite // Bca_6.3 //
   pūjayatyarthamānairyān ye 'pi cainaṃ samāśritāḥ /	pUjayati-arTa-mAnEH-yAn ye api ca-enam samASritAH /
   te 'pyenaṃ hantumicchanti svāminaṃ dveṣadurbhagam // Bca_6.4 //	te api-enam hantum-icCanti svAminam dveza-durBagam // Bca_6.4 //
   suhṛdo 'pyudvijante 'smād dadāti na ca sevyate /	suhRdaH api-udvijante asmAt dadAti na ca sevyate /
   saṅkṣepānnāsti tatkiṃcit krodhano yena susthitaḥ // Bca_6.5 //	saFkzepAt-na-asti tat-kiMcid kroDanaH yena susTitaH // Bca_6.5 //
   evamādīni duḥkhāni karotītyarisaṃjñayā /	evamAdIni duHKAni karoti-iti-ari-saMjQayA /
   yaḥ krodhaṃ hanti nirbandhāt sa sukhīha paratra ca // Bca_6.6 //	yaH kroDam hanti nirbanDAt sa suKI-iha paratra ca // Bca_6.6 //
   aniṣṭakaraṇājjātam iṣṭasya ca vighātanāt /	anizwa-karaNAt-jAtam izwasya ca viGAtanAt /
   daurmanasyāśanaṃ prāpya dveṣo dṛpto nihanti mām // Bca_6.7 //	dOrmanasya-aSanam prApya dvezaH dRptaH nihanti mAm // Bca_6.7 //
   tasmādvighātayiṣyāmi tasyāśanamahaṃ ripoḥ /	tasmAt-viGAtayizyAmi tasya-aSanam-aham ripoH /
   yasmānna madvadhādanyat kṛtyamasyāsti vairiṇaḥ // Bca_6.8 //	yasmAt-na mad-vaDAt-anyat kRtyam-asya-asti vEriNaH // Bca_6.8 //
   atyaniṣṭāgamenāpi na kṣobhyā muditā mayā /	ati-anizwa-Agamena-api na kzoByAH muditAH mayA /
   daurmanasye 'pi nāstīṣṭaṃ kuśalaṃ tvavahīyate // Bca_6.9 //	dOrmanasye api na-asti-izwam kuSalam tu-avahIyate // Bca_6.9 //
   yadyastyeva pratīkāro daurmanasyena tatra kim /	yadi-asti-eva pratIkAraH dOrmanasyena tatra kim /
   atha nāsti pratīkāro daurmanasyena tatra kim // Bca_6.10 //	aTa na-asti pratIkAraH dOrmanasyena tatra kim // Bca_6.10 //
   duḥkhaṃ nyakkārapāruṣyam ayaśaścetyanīpsitam /	duHKam nyakkAra-pAruzyam ayaSaH-ca-iti-anIpsitam /
   priyāṇāmātmano vāpi śatroścaitadviparyayāt // Bca_6.11 //	priyANAm-AtmanaH vA-api SatroH-ca-etat-viparyayAt // Bca_6.11 //
   kathaṃcillabhyate saukhyaṃ duḥkhaṃ sthitamayantataḥ /	kaTaMcid-laByate sOKyam duHKam sTitam-ayantataH /
   duḥkhenaiva ca niḥsāraś cetastasmāddṛḍhībhava // Bca_6.12 //	duHKena-eva ca niHsAraH cetaH-tasmAt-dRXIBava // Bca_6.12 //
   durgāputrakakarṇāṭā dāhacchedādivedanām /	durgA-putraka-karNAwAH dAha=-Ceda-Adi-vedanAm /
   vṛthā sahante muktyartham ahaṃ kasmāttu kātaraḥ // Bca_6.13 //	vRTA sahante mukti-arTam aham kasmAt-tu kAtaraH // Bca_6.13 //
   na kiṃcidasti tadvastu yadabhyāsasya duṣkaram /	na kiMcid-asti tat-vastu yat-aByAsasya duzkaram /
   tasmānmṛduvyathābhyāsāt soḍhavyāpi mahāvyathā // Bca_6.14 //	tasmAt-mRdu-vyaTA-aByAsAt soXavyA-api mahA-vyaTA // Bca_6.14 //
   uddaṃśadaṃśamaśaka-kṣutpipāsādivedanām /	uddaMSa-daMSa-maSaka--kzuD-pipAsA-Adi-vedanAm /
   mahatkaṇḍvādiduḥkhaṃ ca kimanarthaṃ na paśyasi // Bca_6.15 //	mahat-kaNxU-Adi-duHKam ca kim-anarTam na paSyasi // Bca_6.15 //
   śītoṣṇavṛṣṭivātādhi-vyādhibandhanatāḍanaiḥ /	SIta-uzNa-vRzwi-vAta-ADi-vyADi-banDana-tAxanEH /
   saukumāryaṃ na kartavyam anyathā vardhate vyathā // Bca_6.16 //	sOkumAryam na kartavyam anyaTA varDate vyaTA // Bca_6.16 //
   kecitsvaśoṇitaṃ dṛṣṭvā vikramante viśeṣataḥ /	kecid-sva-SoNitam dRzwvA vikramante viSezataH /
   paraśoṇitamapyeke dṛṣṭvā mūrcchāṃ vrajanti yat // Bca_6.17 //	para-SoNitam-api-eke dRzwvA mUrcCAm vrajanti yat // Bca_6.17 //
   taccittasya dṛḍhatvena kātaratvena cāgatam /	tad-cittasya dRXa-tvena kAtara-tvena ca-Agatam /
   duḥkhaduryodhanastasmād bhavedabhibhavedvyathām // Bca_6.18 //	duHKa-duryoDanaH-tasmAt Bavet-aBiBavet-vyaTAm // Bca_6.18 //
   duḥkhe 'pi naiva cittasya prasādaṃ kṣobhayedbudhaḥ /	duHKe api na-eva cittasya prasAdam kzoBayet-buDaH /
   saṅgrāmo hi saha kleśair yuddhe ca sulabhā vyathā // Bca_6.19 //	saFgrAmaH hi saha kleSEH yudDe ca sulaBA vyaTA // Bca_6.19 //
   urasārātighātān ye pratīcchanto jayantyarīn /	urasAra-atiGAtAn ye pratIcCantaH jayanti-arIn /
   te te vijayinaḥ śūrāḥ śeṣāstu mṛtamārakāḥ // Bca_6.20 //	te te vijayinaH SUrAH SezAH-tu mRta-mArakAH // Bca_6.20 //
   guṇo 'paraśca duḥkhasya yatsaṃvegānmadacyutiḥ /	guNaH aparaH-ca duHKasya yat-saMvegAn-mada-cyutiH /
   saṃsāriṣu ca kāruṇyaṃ pāpādbhītirjine spṛhā // Bca_6.21 //	saMsArizu ca kAruNyam pApAt-BItiH-jine spRhA // Bca_6.21 //
   pittādiṣu na me kopo mahāduḥkhakareṣvapi /	pitta-Adizu na me kopaH mahA-duHKa-karezu-api /
   sacetaneṣu kiṃ kopaḥ te 'pi pratyayakopitāḥ // Bca_6.22 //	sa-cetanezu kim kopaH te api pratyaya-kopitAH // Bca_6.22 //
   aniṣyamāṇamapyetac chūlamutpadyate yathā /	anizyamANam-api-etat SUlam-utpadyate yaTA /
   aniṣyamāṇo 'pi balāt krodha utpadyate tathā // Bca_6.23 //	anizyamANaH api balAt kroDaH utpadyate taTA // Bca_6.23 //
   kupyāmīti na saṃcintya kupyati svecchayā janaḥ /	kupyAmi-iti na saMcintya kupyati sva-icCayA janaH /
   utpatsya ityabhipretya krodha utpadyate na ca // Bca_6.24 //	utpatsyaH iti-aBipretya kroDaH utpadyate na ca // Bca_6.24 //
   ye kecidaparādhāstu pāpāni vividhāni ca /	ye kecid-aparADAH-tu pApAni viviDAni ca /
   sarvaṃ yatpratyayabalāt svatantraṃ tu na vidyate // Bca_6.25 //	sarvam yat-pratyaya-balAt svatantram tu na vidyate // Bca_6.25 //
   na ca pratyayasāmagryā janayāmīti cetanā /	na ca pratyaya-sAmagryA janayAmi-iti cetanA /
   na cāpi janitasyāsti janito 'smīti cetanā // Bca_6.26 //	na ca-api janitasya-asti janitaH asmi-iti cetanA // Bca_6.26 //
   yatpradhānaṃ kilābhīṣṭaṃ yattadātmeti kalpitam /	yat-praDAnam kila-aBIzwam yat-tat-AtmA-iti kalpitam /
   tadeva hi bhavāmīti na saṃcintyopajāyate // Bca_6.27 //	tat-eva hi BavAmi-iti na saMcintya-upajAyate // Bca_6.27 //
   anutpannaṃ hi tannāsti ka icchedbhavituṃ tadā /	anutpannam hi tat-na-asti kaH icCet-Bavitum tadA /
   viṣayavyāpṛtatvācca niroddhumapi nehate // Bca_6.28 //	vizaya-vyApRta-tvAt-ca nirodDum-api na-Ihate // Bca_6.28 //
   nityo hyacetanaścātmā vyomavat sphuṭamakriyaḥ /	nityaH hi-acetanaH-ca-AtmA vyoma-vat sPuwam-akriyaH /
   pratyayāntarasaṅge 'pi nirvikārasya kā kriyā // Bca_6.29 //	pratyaya-antara-saFge api nirvikArasya kA kriyA // Bca_6.29 //
   yaḥ pūrvavatkriyākāle kriyāyāstena kiṃ kṛtam /	yaH pUrvavat-kriyA-kAle kriyAyAH-tena kim kRtam /
   tasya kriyeti saṃbandhe katarattannibandhanam // Bca_6.30 //	tasya kriyA-iti saMbanDe katarat-tad-nibanDanam // Bca_6.30 //
   evaṃ paravaśaṃ sarvaṃ yadvaśaṃ so 'pi cāvaśaḥ /	evam para-vaSam sarvam yad-vaSam saH api ca-avaSaH /
   nirmāṇavadaceṣṭeṣu bhāveṣvevaṃ kva kupyate // Bca_6.31 //	nirmANa-vat-acezwezu BAvezu-evam kva kupyate // Bca_6.31 //
   vāraṇāpi na yuktaivaṃ kaḥ kiṃ vārayatīti cet /	vAraNA-api na yuktA-evam kaH kim vArayati-iti ced /
